
[00:00:00.000 --> 00:00:05.180]   So as someone who writes and talks a lot about producing meaningful stuff in a distracted world,
[01:05:07.900 --> 01:05:14.220]   And reinforcement learning models are, by definition, you kind of aim them at particular tasks.
[01:05:15.220 --> 01:05:20.560]   I want to make this alpha proof, really good at doing math Olympiad style math problems.
[01:05:20.560 --> 01:05:24.460]   And it's going to build a model and policies and get creative and be able to do stuff better than a human.
[01:05:24.460 --> 01:05:28.560]   I'm going to use Dreamer V3 to learn how to play Minecraft.
[01:05:28.560 --> 01:05:32.000]   And we're going to build a model here that's like very good at playing Minecraft, right?
[01:05:32.360 --> 01:05:33.120]   So, I don't know.
[01:05:33.120 --> 01:05:42.860]   I think we're just as likely to see a world with RL style models bespoke for very specific tasks that we think are important or useful.
[01:05:42.860 --> 01:05:50.840]   Not a world where we're trying to build this like mega brain that like ultimately comes alive and starts tricking us.
[01:05:51.360 --> 01:05:55.340]   So, you know, it's possible the world's going to end in 2027.
[01:05:55.340 --> 01:05:57.300]   Probably the future is more complicated.
[01:05:57.300 --> 01:06:01.420]   Probably just building these giant – and it's unclear what these giant things are.
[01:06:01.420 --> 01:06:06.380]   A language model can't think, so it would have to be some sort of multimodal model that's not really super specified here.
[01:06:06.380 --> 01:06:08.560]   I mean, there's tons – this is important.
[01:06:08.560 --> 01:06:09.460]   There's tons of concerns.
[01:06:09.460 --> 01:06:16.520]   And I think if you interview the writers of this 2027 article, they'd be like, yeah, look, we're not trying to pinpoint exactly what's going to happen.
[01:06:16.520 --> 01:06:18.180]   We're trying to get people's attention.
[01:06:18.180 --> 01:06:19.480]   Like, hey, you guys have to pay attention.
[01:06:19.600 --> 01:06:21.260]   Like, this is a type of thing that could happen.
[01:06:21.260 --> 01:06:24.140]   You've got to be thinking about AI safety now.
[01:06:24.140 --> 01:06:25.100]   That's what they're trying to do.
[01:06:25.100 --> 01:06:28.100]   And they're smart and this accomplishes that well.
[01:06:28.100 --> 01:06:35.600]   But I don't see the signs and a lot of other critics of this don't see the signs that that particular storyline is particularly plausible.
[01:06:35.600 --> 01:06:39.700]   But we should worry that bad storylines are possible.
[01:06:39.700 --> 01:06:47.120]   And now is the time to worry when nothing really bad is happening yet so that when things start going off the rails, we'll be a little bit more ready for it.
[01:06:47.120 --> 01:06:47.960]   So, I don't know.
[01:06:48.060 --> 01:06:53.360]   A little doomer-y, Jesse, but I don't know that we should build the bunker, I guess, quite yet.
[01:06:53.360 --> 01:06:55.780]   I didn't know that all the text is already in all the models.
[01:06:55.780 --> 01:06:57.100]   Yeah, they're out of text.
[01:06:57.100 --> 01:06:57.780]   Yeah.
[01:06:58.040 --> 01:07:03.120]   So, like, a lot of the improvements happening now is in this, like, fine-tuning step at the end.
[01:07:03.120 --> 01:07:06.800]   So, you'll come in and we want it to be better at doing this.
[01:07:06.800 --> 01:07:15.060]   And then you do a lot of, like, extra reinforcement learning to sort of push it towards being better at reasoning or being better at doing, like, these type of math problems.
[01:07:15.200 --> 01:07:16.280]   But it's all, like, human feedback.
[01:07:16.280 --> 01:07:17.920]   Like, that's the right answer.
[01:07:17.920 --> 01:07:18.560]   So, do that.
[01:07:18.560 --> 01:07:19.860]   Don't give us answers like that.
[01:07:19.860 --> 01:07:22.020]   So, it's sort of zapping it with these reinforcement signals.
[01:07:22.020 --> 01:07:29.220]   I'm a big believer that the RL, perhaps coordinated with knowledge and language models, that's probably going to be the future.
[01:07:29.680 --> 01:07:40.480]   Because reinforcement learning models learn, they build their own understanding of a novel world and come up with their own policies based off of direct experience for how to navigate that world in an effective fashion.
[01:07:40.480 --> 01:07:45.480]   Everything that AI does that's better than a human can do, it's all from reinforcement learning.
[01:07:45.480 --> 01:07:47.980]   We can play chess better than people, that's reinforcement learning.
[01:07:47.980 --> 01:07:51.100]   We can play go better than people, that's reinforcement learning.
[01:07:51.100 --> 01:07:54.260]   We can do protein folding better than people, that's all reinforcement learning.
[01:07:54.260 --> 01:07:58.400]   We're getting better at math than most people, that's all reinforcement learning.
[01:07:59.120 --> 01:08:02.620]   All the video games they can play really well, that's all reinforcement learning.
[01:08:02.620 --> 01:08:09.820]   Language models are good at trying to reproduce how a human would respond to something, the distributions that happen in a human's mind.
[01:08:09.820 --> 01:08:10.820]   And they're very good at that.
[01:08:10.820 --> 01:08:12.660]   But that's, like, what they can do.
[01:08:12.660 --> 01:08:15.400]   That's why it's, like, they're very compliant in some sense.
[01:08:15.400 --> 01:08:19.220]   There is no – you worry about an RL model because it's just trying to accomplish a goal.
[01:08:19.220 --> 01:08:22.540]   And you don't know how it is figured out, I'm going to accomplish this goal.
[01:08:23.040 --> 01:08:30.060]   So that's where you can have ideas like, if I can trick a person, that helps me accomplish my goal.
[01:08:30.060 --> 01:08:32.100]   I'm going to start tricking people because I want to accomplish my goal.
[01:08:32.100 --> 01:08:33.140]   A language model doesn't have that.
[01:08:33.140 --> 01:08:35.280]   It just tries to produce text that it thinks a human can produce.
[01:08:35.280 --> 01:08:37.600]   So it's sort of a different type of world.
[01:08:37.600 --> 01:08:39.100]   All right, that's enough of that for now.
[01:08:39.100 --> 01:08:40.140]   It's enough of this episode.
[01:08:40.140 --> 01:08:41.660]   We'll be back next week with another one.
[01:08:41.880 --> 01:08:44.400]   And until then, as always, stay deep.
[01:08:44.400 --> 01:08:50.440]   Hey, if you like Sam Altman's discussion of his productivity ideas, you might like episode 312.
[01:08:50.440 --> 01:08:52.000]   It's titled Productivity Basics.
[01:08:52.000 --> 01:08:54.500]   You'll get some of my productivity concepts.
[01:08:54.500 --> 01:08:56.060]   You can compare and contrast.
[01:08:56.060 --> 01:08:56.740]   Check it out.
[01:08:56.740 --> 01:08:57.500]   I think you'll like it.
[01:08:57.500 --> 01:09:08.680]   So I thought this would be a good moment to revisit some of the biggest ideas about the biggest topic that we cover on this show, productivity.

