
[00:00:00.000 --> 00:00:05.980]   For me, today is, in some sense, the first day of summer. I'm a college professor and my final
[01:12:06.380 --> 01:12:10.720]   the models will just be able to build their own. They'll solve the problem of how to build a more
[01:12:10.720 --> 01:12:14.440]   technically advanced AI. Yeah, we can't just scale language models. We don't know the tech story for
[01:12:14.440 --> 01:12:18.620]   what type of models would be super powerful or super intelligent, but maybe if we just make them
[01:12:18.620 --> 01:12:22.520]   better at programming, they'll figure it out in the year 2026 and then we'll be in trouble.
[01:12:22.660 --> 01:12:27.680]   That's a crazy assumption. Anyone who's actually working with the tuning of language models to
[01:12:27.680 --> 01:12:33.640]   produce computer code to think like, yeah, that's going to lead to giant breakthroughs and architectures
[01:12:33.640 --> 01:12:41.580]   for artificial intelligence. It's a, it's a crazy claim. It's like saying the Wright brothers being
[01:12:41.580 --> 01:12:48.000]   like, we've, we just found the new type of propeller and now we can, we can get powered flight. Now it used
[01:12:48.000 --> 01:12:51.880]   to just be for a little bit on Kitty Hawk beach. Now we can actually go up and circle the field and come
[01:12:51.880 --> 01:12:56.220]   down and do like 10 minute flights. So like, I don't think we're that far away from interstellar
[01:12:56.220 --> 01:13:01.900]   travel. It's like different. I mean, they're both flying, but it was like completely different levels
[01:13:01.900 --> 01:13:08.260]   of complexity and challenges. So anyways, this is an important story. I, you know, I'm, I'm increasingly
[01:13:08.260 --> 01:13:13.280]   believing there's this like weird temperature raising on AI that is becoming more disassociated
[01:13:13.280 --> 01:13:18.620]   from the tech story. And so not to talk about AI too much, but this I think is an important story
[01:13:18.620 --> 01:13:24.100]   understanding that the scaling laws seem to be faltering for language models puts us into a much
[01:13:24.100 --> 01:13:29.160]   more traditional business innovation cycle landscape for, for AI tools right now.
[01:13:29.160 --> 01:13:33.900]   All right, there we go. I'm writing a massive, actually it might be out by the time this, this
[01:13:33.900 --> 01:13:38.680]   comes out on my newsletter. I'm writing a big AI and work article where I'm just dumping a lot of
[01:13:38.680 --> 01:13:42.520]   this stuff I've learned in the one article that I can point people towards. So check that out at
[01:13:42.640 --> 01:13:47.240]   newport.com. It should be live when you hear this podcast episode. Nice. I've just been deep on this
[01:13:47.240 --> 01:13:50.080]   in a while. I was like, I don't want to keep talking about all the time. Let me just put down like,
[01:13:50.080 --> 01:13:53.620]   Hey, here's what I think is going on. And it's an article, at least in the draft that is now,
[01:13:53.620 --> 01:13:58.260]   here's the places where like AI is really affecting the world of work. Here's the places where I think
[01:13:58.260 --> 01:14:02.320]   it will soon. It hasn't been developed yet, but we'll soon here's some places where it's like a
[01:14:02.320 --> 01:14:05.900]   little more hazy, like how exactly is it going to play out, but there could be some cool stuff.
[01:14:05.900 --> 01:14:10.880]   And here's the stuff that's crazy town. I try to cite a lot of things and make the tech story a little bit
[01:14:10.880 --> 01:14:16.120]   clear. So look for that article, calendlyport.com. It should be up. All right. Speaking of which,
[01:14:16.120 --> 01:14:20.540]   I should probably go work some more on that. So let's call this episode to a close. Thank you all
[01:14:20.540 --> 01:14:26.920]   for listening back next week with another episode. And until then, as always, stay deep. Hey, if you
[01:14:26.920 --> 01:14:31.960]   like today's discussion about slowing down in the summer, I think you might also like episode 343,
[01:14:31.960 --> 01:14:37.820]   where I present a minimal protocol for taking control of your life. It's a great compliment to today's
[01:14:37.820 --> 01:14:43.120]   discussion. Check it out. I think you'll like it. So one of the conflicts we've confronted here
[01:14:43.120 --> 01:14:48.440]   is the one between having too little productivity and too much.

