
[00:00:00.000 --> 00:00:01.080]   That's today's deep question.
[00:48:00.080 --> 00:48:01.260]   throughout each day.
[00:48:01.260 --> 00:48:04.840]   I would say maybe two, one mid morning, one mid afternoon
[00:48:04.840 --> 00:48:08.360]   for working through those process columns.
[00:48:08.360 --> 00:48:10.100]   I would schedule this time on my calendar,
[00:48:10.100 --> 00:48:12.200]   give yourself about 45 minutes for each of these sessions
[00:48:12.200 --> 00:48:14.160]   and schedule on your calendar and protect it.
[00:48:14.160 --> 00:48:17.120]   Maybe at 10 and three.
[00:48:17.120 --> 00:48:19.040]   As you go through everything that's built up
[00:48:19.040 --> 00:48:22.080]   in the to process column,
[00:48:22.080 --> 00:48:24.440]   you have a few options for each item.
[00:48:24.440 --> 00:48:25.480]   If it's a very quick thing,
[00:48:25.480 --> 00:48:27.960]   someone has a question you can easily answer
[00:48:27.960 --> 00:48:31.240]   or you have to just go on their behalf and whatever,
[00:48:31.240 --> 00:48:33.280]   add their requests to buy paperclips
[00:48:33.280 --> 00:48:35.780]   to the list you keep of what to buy in your next order,
[00:48:35.780 --> 00:48:37.520]   just do it, move that card to done.
[00:48:37.520 --> 00:48:41.480]   If you need more information
[00:48:41.480 --> 00:48:44.440]   from the person who sent you the request,
[00:48:44.440 --> 00:48:45.960]   which is often the case
[00:48:45.960 --> 00:48:48.200]   and part of what makes the support roles really annoying
[00:48:48.200 --> 00:48:51.360]   is that the people you work for, the managers are often,
[00:48:51.360 --> 00:48:53.880]   me need pewter good and just send,
[00:48:53.880 --> 00:48:55.760]   you're like, I don't know what this means.
[00:48:55.760 --> 00:48:57.320]   They're just trying to get it off of their head
[00:48:57.320 --> 00:49:00.120]   using you as like a reminder system, very frustrating,
[00:49:00.120 --> 00:49:01.560]   but it happens all the time.
[00:49:01.560 --> 00:49:04.320]   So you need more information from the respondent.
[00:49:04.320 --> 00:49:08.320]   You can request that they clarify
[00:49:08.320 --> 00:49:10.120]   maybe by calling you during office hours.
[00:49:10.120 --> 00:49:12.040]   Remember office hours, I always come back to that.
[00:49:12.040 --> 00:49:14.100]   If you run, if you're an office manager,
[00:49:14.100 --> 00:49:16.840]   you should have probably twice a day office hours.
[00:49:16.840 --> 00:49:19.520]   You say, yeah, just call me, blah, blah, blah,
[00:49:19.520 --> 00:49:21.480]   at any of these days, and we'll figure out in more detail
[00:49:21.480 --> 00:49:22.580]   what I can do for you.
[00:49:22.580 --> 00:49:23.880]   It's all about how I can help you.
[00:49:23.880 --> 00:49:26.720]   You gotta play that, you gotta play that game.
[00:49:26.720 --> 00:49:29.160]   Or if you need to send a request to someone else
[00:49:29.160 --> 00:49:30.080]   to answer their question,
[00:49:30.080 --> 00:49:32.080]   they're asking you me want computer good.
[00:49:32.080 --> 00:49:34.000]   So you have to talk to the IT department
[00:49:34.000 --> 00:49:35.440]   about the computer replacement cycle.
[00:49:35.440 --> 00:49:38.920]   So if you have to request something else on behalf of them,
[00:49:38.920 --> 00:49:40.400]   you're gonna move that card
[00:49:40.400 --> 00:49:43.880]   to the waiting to hear back column.
[00:49:43.880 --> 00:49:45.460]   And you just write right there on the card
[00:49:45.460 --> 00:49:47.680]   under the description of what it is,
[00:49:47.680 --> 00:49:49.480]   who you're waiting to hear back from.
[00:49:49.480 --> 00:49:53.360]   I asked Jesse to stop by office hours at some point
[00:49:53.360 --> 00:49:54.480]   and clarify the question.
[00:49:54.480 --> 00:49:57.680]   I sent this request over to IT on Monday,
[00:49:57.680 --> 00:49:59.000]   waiting to hear back.
[00:49:59.000 --> 00:50:00.100]   So you have it, lost it.
[00:50:00.100 --> 00:50:02.280]   It's not in your inbox, it's not in your head.
[00:50:02.280 --> 00:50:04.040]   It is right there.
[00:50:04.040 --> 00:50:06.520]   The other thing that you might be doing
[00:50:06.520 --> 00:50:07.680]   as you're going, the other options
[00:50:07.680 --> 00:50:10.240]   you're going through this to process column
[00:50:10.240 --> 00:50:14.600]   is clarifying specifically what needs to be done.
[00:50:14.600 --> 00:50:17.320]   So again, you're translating from the informally type thing
[00:50:17.320 --> 00:50:18.860]   into here's what really has to happen.
[00:50:18.860 --> 00:50:20.440]   A request has to go over here
[00:50:20.440 --> 00:50:23.140]   and then we have to file this form, wait to hear back.
[00:50:23.140 --> 00:50:25.800]   You're clarifying, okay, this is specifically
[00:50:25.800 --> 00:50:27.920]   the work that needs to be done here.
[00:50:27.920 --> 00:50:30.240]   And so for complex tasks that are in the two process column,
[00:50:30.240 --> 00:50:31.160]   this is what you're doing with them.
[00:50:31.160 --> 00:50:34.200]   You're clarifying what really needs to be done.
[00:50:34.200 --> 00:50:37.240]   If it is something that needs to happen on a specific day,
[00:50:37.240 --> 00:50:38.480]   put it on your calendar,
[00:50:38.480 --> 00:50:42.240]   move the card to the schedule to execute column.
[00:50:42.240 --> 00:50:43.400]   If it's something that's big enough
[00:50:43.400 --> 00:50:45.260]   that it doesn't have to happen on a particular day,
[00:50:45.260 --> 00:50:46.880]   but if you don't put aside time for it,
[00:50:46.880 --> 00:50:48.020]   it's not gonna get done.
[00:50:48.020 --> 00:50:49.900]   Go schedule that on your calendar.
[00:50:49.900 --> 00:50:51.040]   This morning, this afternoon,
[00:50:51.040 --> 00:50:53.360]   I'm working on this big request that came in
[00:50:53.360 --> 00:50:55.760]   and move the card to schedule to execute.
[00:50:55.760 --> 00:50:58.460]   Otherwise move the card to ready to execute,
[00:50:58.460 --> 00:51:02.020]   which is just things, do them next time you get a chance.
[00:51:02.020 --> 00:51:03.680]   You know, you clarified what it is
[00:51:03.680 --> 00:51:06.300]   and it's do them next time you get a chance.
[00:51:08.280 --> 00:51:11.760]   In all cases, this is what really
[00:51:11.760 --> 00:51:13.600]   simulates a ticketing system.
[00:51:13.600 --> 00:51:16.280]   Whenever something moves from one column to another,
[00:51:16.280 --> 00:51:19.700]   send the note to the original source of that task,
[00:51:19.700 --> 00:51:22.240]   keeping people up to speed.
[00:51:22.240 --> 00:51:24.620]   So that means when you first add something to two process,
[00:51:24.620 --> 00:51:27.440]   it's Jesse, I got your note.
[00:51:27.440 --> 00:51:29.400]   It's in my queue, I'm gonna get to it.
[00:51:29.400 --> 00:51:30.320]   I'll keep you posted.
[00:51:30.320 --> 00:51:31.920]   So they know that you saw it.
[00:51:31.920 --> 00:51:34.240]   When you realize you have to ask IT something
[00:51:34.240 --> 00:51:35.720]   and you move it over to the waiting to hear back,
[00:51:35.720 --> 00:51:37.600]   hey, Jesse, just to let you know,
[00:51:37.600 --> 00:51:40.160]   I put in a request to IT, we're gonna figure this out.
[00:51:40.160 --> 00:51:42.560]   I'll keep you posted and I'll let you know when I hear back.
[00:51:42.560 --> 00:51:43.680]   They know what's going on.
[00:51:43.680 --> 00:51:46.180]   If you move it over to, you know, schedule to execute,
[00:51:46.180 --> 00:51:48.280]   you can say, hey, I got your request.
[00:51:48.280 --> 00:51:49.240]   It's on my calendar.
[00:51:49.240 --> 00:51:50.600]   I'm tackling it on this day.
[00:51:50.600 --> 00:51:52.000]   I'll let you know when I'm done, right?
[00:51:52.000 --> 00:51:55.320]   So you're always keeping people up to speed
[00:51:55.320 --> 00:51:57.720]   with what is going on.
[00:51:57.720 --> 00:51:58.560]   So that's the system.
[00:51:58.560 --> 00:52:00.720]   And then in all of your other time during the day,
[00:52:00.720 --> 00:52:01.760]   when you're not doing any of these things
[00:52:01.760 --> 00:52:02.580]   I just talked about,
[00:52:02.580 --> 00:52:05.280]   you're just pulling something off that ready to execute list
[00:52:05.280 --> 00:52:07.360]   and just doing it, send in an update.
[00:52:07.360 --> 00:52:08.200]   You put all that together
[00:52:08.200 --> 00:52:11.400]   and you have something like an informal ticketing system.
[00:52:11.400 --> 00:52:13.360]   People are up to speed on what you're doing
[00:52:13.360 --> 00:52:14.200]   and what the status is.
[00:52:14.200 --> 00:52:16.880]   So they won't demand this minute to minute accessibility.
[00:52:16.880 --> 00:52:18.040]   Like, I don't even know if you got this.
[00:52:18.040 --> 00:52:19.440]   You better answer me right away.
[00:52:19.440 --> 00:52:20.800]   You've gained yourself the breathing room
[00:52:20.800 --> 00:52:22.800]   you need to actually work on things until they're done
[00:52:22.800 --> 00:52:24.640]   before moving on to the next thing.
[00:52:24.640 --> 00:52:26.820]   This all might sound like a huge headache,
[00:52:26.820 --> 00:52:29.840]   a lot of overhead, but I'm telling you, Catherine,
[00:52:29.840 --> 00:52:32.840]   if you're able to work on one thing at a time
[00:52:32.840 --> 00:52:34.200]   with no interruption,
[00:52:34.200 --> 00:52:36.040]   if you're able to have captured everything
[00:52:36.040 --> 00:52:37.800]   that needs to be done and all the relevant information
[00:52:37.800 --> 00:52:38.840]   in one place,
[00:52:38.840 --> 00:52:42.160]   where you're not at all stressed about open loops
[00:52:42.160 --> 00:52:43.920]   or things you're forgetting,
[00:52:43.920 --> 00:52:45.880]   the cognitive drain of your job
[00:52:45.880 --> 00:52:47.080]   will be significantly reduced.
[00:52:47.080 --> 00:52:49.880]   In fact, you might even actually rediscover some joy for,
[00:52:49.880 --> 00:52:51.240]   hey, I like this company.
[00:52:51.240 --> 00:52:54.360]   I play a key role in this thing operating.
[00:52:54.360 --> 00:52:56.080]   I'm valued by people.
[00:52:56.080 --> 00:52:57.600]   And I feel good about what I'm doing.
[00:52:57.600 --> 00:53:00.600]   You can get back to that if you achieve those properties.
[00:53:00.600 --> 00:53:02.880]   Now you don't have to use this particular system.
[00:53:02.880 --> 00:53:04.880]   I just came up with these particular details.
[00:53:04.880 --> 00:53:06.200]   But my point is,
[00:53:06.200 --> 00:53:10.480]   this is what high-end elite knowledge work
[00:53:10.480 --> 00:53:11.880]   management systems look like.
[00:53:11.880 --> 00:53:13.840]   These are the type of things
[00:53:13.840 --> 00:53:15.080]   that you probably need in place
[00:53:15.080 --> 00:53:16.920]   if you have a high churn job.
[00:53:16.920 --> 00:53:18.760]   If you have a job where things are coming at you really quick
[00:53:18.760 --> 00:53:21.200]   and you don't wanna just completely burn out,
[00:53:21.200 --> 00:53:22.680]   this is what these systems look like.
[00:53:22.680 --> 00:53:24.080]   There's not just one tool
[00:53:24.080 --> 00:53:25.520]   that's gonna solve this for you.
[00:53:25.520 --> 00:53:27.360]   You gotta engineer information flow
[00:53:27.360 --> 00:53:28.520]   and task flow and time flow.
[00:53:28.520 --> 00:53:30.680]   It's non-trivial, but this effort is worth it.
[00:53:30.680 --> 00:53:32.600]   These type of things make a huge difference
[00:53:32.600 --> 00:53:33.800]   once you get them right.
[00:53:34.800 --> 00:53:36.360]   It's like my old days, Jesse.
[00:53:36.360 --> 00:53:38.000]   The systems and hacking.
[00:53:38.000 --> 00:53:38.840]   - Yeah.
[00:53:38.840 --> 00:53:41.320]   - That's like an old pitch you don't lose.
[00:53:41.320 --> 00:53:43.080]   It's like a knuckle curve.
[00:53:43.080 --> 00:53:44.720]   You asked me to build a system
[00:53:44.720 --> 00:53:46.880]   around information or task flows.
[00:53:46.880 --> 00:53:47.720]   - I'll do it.
[00:53:47.720 --> 00:53:48.560]   I love it.
[00:53:48.560 --> 00:53:49.400]   - Yeah.
[00:53:49.400 --> 00:53:50.400]   All right, let's keep rolling here.
[00:53:50.400 --> 00:53:51.440]   - All right, next question.
[00:53:51.440 --> 00:53:53.240]   Jason from Louisiana.
[00:53:53.240 --> 00:53:56.040]   I've recently accepted a job as an editor
[00:53:56.040 --> 00:53:58.280]   at a major Christian publishing house.
[00:53:58.280 --> 00:54:02.040]   It's a remote position with autonomy and flexibility.
[00:54:02.040 --> 00:54:03.440]   I'm wondering what advice you have
[00:54:03.440 --> 00:54:04.640]   on how to balance this job
[00:54:04.640 --> 00:54:07.400]   while maintaining my own research and writing projects.
[00:54:07.400 --> 00:54:12.680]   - Schedule first reasonable time
[00:54:12.680 --> 00:54:15.600]   for your individual research and writing projects
[00:54:15.600 --> 00:54:18.800]   in a way that's not gonna grossly infringe
[00:54:18.800 --> 00:54:19.640]   on your normal jobs.
[00:54:19.640 --> 00:54:21.040]   Don't say, well, from 10 to two,
[00:54:21.040 --> 00:54:23.040]   Monday through Friday, I work on my book.
[00:54:23.040 --> 00:54:24.720]   In the morning, the afternoon,
[00:54:24.720 --> 00:54:28.040]   you put it in reasonable time
[00:54:28.040 --> 00:54:29.960]   and build some good rituals around that.
[00:54:29.960 --> 00:54:31.560]   Where do I go and what do I do?
[00:54:31.560 --> 00:54:33.160]   Right before I start working.
[00:54:33.160 --> 00:54:34.440]   Then consider that time off limits
[00:54:34.440 --> 00:54:36.800]   and work around it for the rest of your job.
[00:54:36.800 --> 00:54:38.760]   There's a little fixed schedule productivity.
[00:54:38.760 --> 00:54:41.040]   I write these mornings and it's one afternoon.
[00:54:41.040 --> 00:54:43.520]   Now I gotta figure out how to make the rest of my job work.
[00:54:43.520 --> 00:54:45.040]   And just use all the different types of ideas
[00:54:45.040 --> 00:54:46.720]   I've talked about.
[00:54:46.720 --> 00:54:48.760]   The same enemies that we talked about in the beginning,
[00:54:48.760 --> 00:54:49.840]   this shows your enemies here.
[00:54:49.840 --> 00:54:51.520]   The more that all your work unfolds
[00:54:51.520 --> 00:54:52.680]   with informal back and forth,
[00:54:52.680 --> 00:54:54.200]   the harder it is to ever be away from it.
[00:54:54.200 --> 00:54:55.720]   The more that meetings can happen
[00:54:55.720 --> 00:54:56.840]   at any time at any place,
[00:54:56.840 --> 00:54:57.960]   the harder it is to get away from that.
[00:54:57.960 --> 00:54:59.240]   So you can put those type of ideas
[00:54:59.240 --> 00:55:02.840]   into the hopper, but just work backwards from,
[00:55:02.840 --> 00:55:04.560]   this is time I'm writing.
[00:55:04.560 --> 00:55:06.240]   And so let me work around it.
[00:55:06.240 --> 00:55:07.800]   You would be surprised.
[00:55:07.800 --> 00:55:10.480]   This approach, which I call fixed schedule productivity,
[00:55:10.480 --> 00:55:13.400]   you would be surprised about how innovative it makes you.
[00:55:13.400 --> 00:55:15.920]   It's like my rule that I try not to work
[00:55:15.920 --> 00:55:18.400]   outside of a standard roughly nine to five
[00:55:18.400 --> 00:55:20.280]   or nine to five 30 work hours,
[00:55:20.280 --> 00:55:22.360]   even though I have nine jobs.
[00:55:22.360 --> 00:55:25.280]   The power of just knowing this is my constraints
[00:55:25.280 --> 00:55:27.360]   and I make my work fit in those constraints
[00:55:27.360 --> 00:55:30.320]   has generated untold productivity innovation.
[00:55:30.320 --> 00:55:31.880]   So the simplest ideas can generate
[00:55:31.880 --> 00:55:33.160]   the most complicated responses.
[00:55:33.160 --> 00:55:34.320]   So just schedule that time, Jason,
[00:55:34.320 --> 00:55:36.280]   be reasonable about it, work around it.
[00:55:36.280 --> 00:55:39.080]   All right, what do we got?
[00:55:39.080 --> 00:55:40.720]   - Next question is from Courtney,
[00:55:40.720 --> 00:55:42.880]   a 40 year old from the Bay Area.
[00:55:42.880 --> 00:55:45.280]   My remote software job has a lot of things I like,
[00:55:45.280 --> 00:55:48.360]   autonomy, flexible schedule, and pretty good pay.
[00:55:48.360 --> 00:55:49.840]   Now that I'm more senior, however,
[00:55:49.840 --> 00:55:52.200]   I don't feel like I have much room to grow.
[00:55:52.200 --> 00:55:53.760]   The only option would be going to management,
[00:55:53.760 --> 00:55:56.160]   which is a hundred percent hyperactive high mind
[00:55:56.160 --> 00:55:57.400]   and miserable.
[00:55:57.400 --> 00:56:00.200]   Should I go back to the drawing board with a new career?
[00:56:00.200 --> 00:56:03.400]   - Well, Courtney, here's my follow-up.
[00:56:03.400 --> 00:56:05.800]   Why do you need room to grow?
[00:56:05.800 --> 00:56:09.360]   And I don't mean that to be dismissive or facetious.
[00:56:09.360 --> 00:56:13.160]   I actually think this is a common assumption
[00:56:13.160 --> 00:56:16.800]   that we should examine.
[00:56:16.800 --> 00:56:18.200]   So what I can tell from your question
[00:56:18.200 --> 00:56:21.240]   and the more elaborated version that you sent me
[00:56:21.240 --> 00:56:22.680]   is there's this baseline assumption
[00:56:22.680 --> 00:56:26.360]   that I need to be continually growing in my job,
[00:56:26.360 --> 00:56:29.080]   meaning salary, prestige, responsibility
[00:56:29.080 --> 00:56:30.400]   has to keep going up,
[00:56:30.400 --> 00:56:33.400]   much in the same way that economic growth has to continue
[00:56:33.400 --> 00:56:35.200]   or we're not gonna be able to pay back the loans
[00:56:35.200 --> 00:56:37.480]   that we just took out and the whole economy will collapse.
[00:56:37.480 --> 00:56:41.080]   And so we often have this growth mindset
[00:56:41.080 --> 00:56:42.120]   around our careers.
[00:56:42.120 --> 00:56:45.440]   Now, this is a good mindset, especially early on.
[00:56:45.440 --> 00:56:46.840]   You know, when you're in a knowledge work job
[00:56:46.840 --> 00:56:48.120]   and you're 22,
[00:56:48.120 --> 00:56:50.680]   it's not a very good knowledge work job, right?
[00:56:50.680 --> 00:56:52.920]   And if you just said, why do I need to grow?
[00:56:52.920 --> 00:56:55.800]   I'm perfectly happy in this entry-level knowledge work job.
[00:56:55.800 --> 00:56:58.680]   I'm very good at getting the coffee to my boss
[00:56:58.680 --> 00:57:00.560]   and Xeroxing or whatever.
[00:57:00.560 --> 00:57:02.960]   It's probably low salary, low autonomy.
[00:57:02.960 --> 00:57:04.040]   You don't have a lot of career capital.
[00:57:04.040 --> 00:57:05.040]   That's not so great.
[00:57:05.040 --> 00:57:06.560]   But when you've got to a point
[00:57:06.560 --> 00:57:09.280]   and in your 40s, you can get there, no problem.
[00:57:09.280 --> 00:57:10.280]   When you get to the point
[00:57:10.280 --> 00:57:11.880]   where you have a lot of career capital,
[00:57:11.880 --> 00:57:13.480]   meaning you have a lot of leverage in your job
[00:57:13.480 --> 00:57:16.120]   and your essay and how that job unfolds,
[00:57:16.120 --> 00:57:18.880]   you can craft something that fits really well
[00:57:18.880 --> 00:57:20.480]   with your vision for the other bucket of money
[00:57:20.480 --> 00:57:21.800]   and buckets of your deep life.
[00:57:21.800 --> 00:57:24.040]   Now we have to be careful
[00:57:24.040 --> 00:57:25.680]   about growth for the sake of growth.
[00:57:25.680 --> 00:57:27.800]   Now we're thinking about how does my work fit
[00:57:27.800 --> 00:57:29.120]   into my bigger vision of my life?
[00:57:29.120 --> 00:57:32.280]   And that might mean I need to get here.
[00:57:32.280 --> 00:57:33.560]   I'm here, but if I could get here,
[00:57:33.560 --> 00:57:35.080]   it unlocks all these other visions I have
[00:57:35.080 --> 00:57:36.040]   for these other parts of my life.
[00:57:36.040 --> 00:57:37.120]   And then, yeah, then that's what we're doing.
[00:57:37.120 --> 00:57:38.760]   We're getting after that, figuring it out.
[00:57:38.760 --> 00:57:40.720]   But it might be with, this is great.
[00:57:40.720 --> 00:57:42.040]   I like my job. I'm good at it.
[00:57:42.040 --> 00:57:43.520]   It's flexible. It's autonomous.
[00:57:43.520 --> 00:57:44.720]   I like where we live.
[00:57:44.720 --> 00:57:49.240]   The other buckets, constitution, community, contemplation
[00:57:49.240 --> 00:57:50.320]   are all, I'm developing those.
[00:57:50.320 --> 00:57:52.000]   I'm giving more time into those.
[00:57:52.000 --> 00:57:54.680]   Maybe my parents are aging and we live near them
[00:57:54.680 --> 00:57:56.120]   and I want to spend more time around them
[00:57:56.120 --> 00:57:57.440]   or have young kids or something.
[00:57:57.440 --> 00:57:58.280]   It's completely fine.
[00:57:58.280 --> 00:57:59.400]   I say, this job is great.
[00:57:59.400 --> 00:58:02.400]   I love it and it pays well and they like me.
[00:58:02.400 --> 00:58:03.920]   And I don't want to go into management
[00:58:03.920 --> 00:58:05.440]   and I don't want to start over.
[00:58:05.440 --> 00:58:07.600]   Most employers are happy if you're like,
[00:58:07.600 --> 00:58:10.760]   look, I just want to kill it at this for a while.
[00:58:10.760 --> 00:58:12.160]   I have other things going on in my life
[00:58:12.160 --> 00:58:15.560]   and this is really good for me and let's just do that.
[00:58:15.560 --> 00:58:18.000]   So I want you to consider that, Courtney.
[00:58:19.640 --> 00:58:23.400]   The good enough job, which is actually the name of a book
[00:58:23.400 --> 00:58:25.800]   that's not out yet, I don't think, but I blurbed it
[00:58:25.800 --> 00:58:26.640]   and I liked it.
[00:58:26.640 --> 00:58:27.840]   I read it and I blurbed it.
[00:58:27.840 --> 00:58:30.120]   It's called "The Good Enough Job", great title.
[00:58:30.120 --> 00:58:34.920]   Is sometimes the best option, at least for a while.
[00:58:34.920 --> 00:58:36.880]   So I don't know if that's your situation, Courtney,
[00:58:36.880 --> 00:58:38.960]   but I'm using your question as an excuse
[00:58:38.960 --> 00:58:43.280]   to talk about this idea more generally.
[00:58:43.280 --> 00:58:45.960]   That the goal is not continual growth.
[00:58:45.960 --> 00:58:48.080]   The goal is building a deep life
[00:58:48.080 --> 00:58:50.440]   in which each of the buckets is humming
[00:58:50.440 --> 00:58:52.800]   close to whatever your vision is for it.
[00:58:52.800 --> 00:58:55.000]   And so, especially for these sort of high-powered
[00:58:55.000 --> 00:58:58.320]   Bay Area engineering type jobs, people get there.
[00:58:58.320 --> 00:59:00.920]   They can get there by their late 30s, early 40s
[00:59:00.920 --> 00:59:03.000]   and have a lot of flexibility.
[00:59:03.000 --> 00:59:04.960]   So consider that, Courtney.
[00:59:04.960 --> 00:59:06.640]   Maybe that's just what you do for a while.
[00:59:06.640 --> 00:59:10.480]   I think your bosses would probably be ecstatic about it.
[00:59:10.480 --> 00:59:11.960]   And I think you're right to not want to go
[00:59:11.960 --> 00:59:13.560]   into a management role at a job
[00:59:13.560 --> 00:59:15.880]   where that means 100% hyperactive hive mind.
[00:59:15.880 --> 00:59:18.280]   To me, that's the equivalent of it's a game show
[00:59:18.280 --> 00:59:22.280]   where someone says, "Look, we are gonna give you
[00:59:22.280 --> 00:59:23.880]   "it's Fear Factor.
[00:59:23.880 --> 00:59:28.880]   "We're gonna give you this bag with a 50% salary increase,
[00:59:28.880 --> 00:59:32.280]   "but we're also gonna kick you in the groin every hour."
[00:59:32.280 --> 00:59:39.120]   I'm not gonna enjoy the 50% salary increase
[00:59:39.120 --> 00:59:41.760]   if Fear Factor host Joe Rogan,
[00:59:41.760 --> 00:59:43.840]   who used to be a national kickboxing champion
[00:59:43.840 --> 00:59:45.640]   is kicking me in the groin every hour.
[00:59:45.640 --> 00:59:48.800]   I think I'd rather just not have the 50% salary increase
[00:59:48.800 --> 00:59:50.920]   and keep my groin less kicked.
[00:59:50.920 --> 00:59:56.000]   This is a very important metaphor, Courtney, very precise.
[00:59:56.000 --> 00:59:59.680]   So sometimes getting a promotion can be Joe Rogan
[00:59:59.680 --> 01:00:00.520]   kicking you in the groin.
[01:00:00.520 --> 01:00:01.360]   That's what I'm trying to say here.
[01:00:01.360 --> 01:00:04.000]   That's what everyone has been trying to say.
[01:00:04.000 --> 01:00:05.440]   They just haven't been able to articulate it as well.
[01:00:05.440 --> 01:00:06.360]   So keep that in mind.
[01:00:06.360 --> 01:00:07.200]   Do you need growth?
[01:00:07.200 --> 01:00:08.080]   Maybe just chill for a little bit.
[01:00:08.080 --> 01:00:10.760]   There's other parts of life that are cool as well.
[01:00:10.760 --> 01:00:14.200]   All right, we've got one last thing here.
[01:00:14.200 --> 01:00:17.200]   It's actually, it's a case study, not a question.
[01:00:17.200 --> 01:00:18.800]   So occasionally someone will send in a question
[01:00:18.800 --> 01:00:20.880]   that I think is more, the question itself
[01:00:20.880 --> 01:00:22.480]   is actually just an interesting case study
[01:00:22.480 --> 01:00:25.400]   of the modern world of work and issues we care about.
[01:00:25.400 --> 01:00:27.000]   So I'm gonna read this one here.
[01:00:27.000 --> 01:00:32.200]   This is from Peter, a 35 year old software engineer.
[01:00:32.200 --> 01:00:33.760]   So here's what Peter wrote.
[01:00:33.760 --> 01:00:36.600]   "I worked for a remote only tech company
[01:00:36.600 --> 01:00:37.800]   "where everything about the way they worked
[01:00:37.800 --> 01:00:39.000]   "was very intentional.
[01:00:39.000 --> 01:00:41.680]   "They embraced almost exclusively asynchronous deep work
[01:00:41.680 --> 01:00:45.200]   "from the CEO down with a particular emphasis
[01:00:45.200 --> 01:00:47.200]   "on only work on one thing at a time,
[01:00:47.200 --> 01:00:48.680]   "only have one top priority at a time.
[01:00:48.680 --> 01:00:50.680]   "In many ways, it was great.
[01:00:50.680 --> 01:00:53.440]   "However, everything centered around
[01:00:53.440 --> 01:00:55.480]   "the company-wide project tracker
[01:00:55.480 --> 01:00:57.120]   "that served as a knowledge base,
[01:00:57.120 --> 01:01:01.280]   "a documentation layer, and a status tracker.
[01:01:01.280 --> 01:01:02.640]   "I could go read the latest draft
[01:01:02.640 --> 01:01:05.840]   "of the marketing company's upcoming blog post
[01:01:05.840 --> 01:01:06.960]   "or look at how the backend team
[01:01:06.960 --> 01:01:08.120]   "was tackling a new challenge.
[01:01:08.120 --> 01:01:09.800]   "I tried to prune my intake,
[01:01:09.800 --> 01:01:12.280]   "but it became clear that the people that excelled there
[01:01:12.280 --> 01:01:13.680]   "were the ones that involved themselves
[01:01:13.680 --> 01:01:14.760]   "in many things at once.
[01:01:14.760 --> 01:01:18.360]   "These people were subscribed to many different initiatives
[01:01:18.360 --> 01:01:20.520]   "across the company and could inhale mass amounts
[01:01:20.520 --> 01:01:22.520]   "of constant project updates,
[01:01:22.520 --> 01:01:24.400]   "remember many of the little details
[01:01:24.400 --> 01:01:25.800]   "about where everything was.
[01:01:25.800 --> 01:01:29.280]   "In short, hooking into the hive mind
[01:01:29.280 --> 01:01:32.320]   "was seemingly at odds with the one top priority mantra.
[01:01:32.320 --> 01:01:34.320]   "I used to think I was good at this sort of thing,
[01:01:34.320 --> 01:01:36.640]   "but somewhere between COVID and the birth of my second kid,
[01:01:36.640 --> 01:01:37.680]   "I seemed to have lost the ability
[01:01:37.680 --> 01:01:39.840]   "to keep tons of statuses in my head.
[01:01:39.840 --> 01:01:41.280]   "I wanted to excel, but I quickly learned
[01:01:41.280 --> 01:01:44.200]   "that I couldn't keep up and ended up burning out.
[01:01:44.200 --> 01:01:45.880]   "This was all with a virtually free calendar
[01:01:45.880 --> 01:01:48.400]   "and lots of autonomy in my day-to-day work.
[01:01:48.400 --> 01:01:49.440]   "Should I have done something differently?
[01:01:49.440 --> 01:01:50.480]   "Should this company have structured
[01:01:50.480 --> 01:01:53.120]   "or encouraged something else?"
[01:01:53.120 --> 01:01:54.680]   So I wanted to use this as a case study
[01:01:54.680 --> 01:01:57.200]   instead of a question because it pointed out
[01:01:57.200 --> 01:02:01.440]   something critical about even an intentional
[01:02:01.440 --> 01:02:02.960]   remote work environment.
[01:02:02.960 --> 01:02:05.640]   So we talked about how to make remote work work,
[01:02:05.640 --> 01:02:07.760]   get away from the hyperactive hive mind
[01:02:07.760 --> 01:02:09.720]   of things happening with unscheduled
[01:02:09.720 --> 01:02:11.640]   back and forth messaging.
[01:02:11.640 --> 01:02:14.040]   Tons of emails, tons of Slack, tons of meetings.
[01:02:14.040 --> 01:02:16.440]   This company that Peter's talking about
[01:02:16.440 --> 01:02:18.040]   actually had accomplished that.
[01:02:18.040 --> 01:02:19.000]   I think it's inaccurate.
[01:02:19.000 --> 01:02:23.400]   He referred to this behavior of inhaling information
[01:02:23.400 --> 01:02:25.040]   from the project management system
[01:02:25.040 --> 01:02:27.040]   as quote, "hooking into the hive mind."
[01:02:27.040 --> 01:02:29.000]   This is actually different than that, I think, Peter.
[01:02:29.000 --> 01:02:30.560]   The hive mind to me is very specific
[01:02:30.560 --> 01:02:32.000]   about collaboration unfolding
[01:02:32.000 --> 01:02:33.680]   with these unscheduled back and forth messaging.
[01:02:33.680 --> 01:02:36.560]   So you have to constantly be keeping track of these things.
[01:02:36.560 --> 01:02:37.560]   This was a little bit different.
[01:02:37.560 --> 01:02:40.920]   This was making the ability to follow
[01:02:40.920 --> 01:02:43.520]   and be a part of many different projects low friction.
[01:02:43.520 --> 01:02:45.120]   This is what was going on there.
[01:02:45.120 --> 01:02:48.920]   And this points out even an intentionally designed
[01:02:48.920 --> 01:02:52.640]   remote work company can fall into traps
