
[00:00:00.000 --> 00:00:01.880]   Hey, everybody, welcome back.
[00:52:53.200 --> 00:52:57.200]   something like an income sharing agreement actually rights the ship in so many ways.
[00:52:57.200 --> 00:52:59.200]   That's definitely the burden of capitalism.
[00:52:59.200 --> 00:53:01.200]   Ultimately, it devolves to that, right?
[00:53:01.200 --> 00:53:04.200]   Where like, "Oh, you're sick? You have cancer?
[00:53:04.200 --> 00:53:06.200]   Pay me a million dollars. I'll give you this drug."
[00:53:06.200 --> 00:53:12.080]   So, Hollywood's a little bit of its own beast where there's all these gatekeepers
[00:53:12.080 --> 00:53:15.080]   always trying to get control over, you know, the creative product.
[00:53:15.080 --> 00:53:19.080]   And so, yeah, like, you know, signing contracts with those sharks
[00:53:19.080 --> 00:53:22.080]   is always a dangerous thing to do.
[00:53:22.080 --> 00:53:25.080]   I think Silicon Valley is very different.
[00:53:25.080 --> 00:53:27.080]   We have much more of a culture of equity.
[00:53:27.080 --> 00:53:30.080]   I think the income sharing agreements are much more in that vein.
[00:53:30.080 --> 00:53:33.080]   And I think they're a great idea for like any trade
[00:53:33.080 --> 00:53:36.080]   that demonstrably increases your earning power, right?
[00:53:36.080 --> 00:53:41.960]   So, the beauty of Lambda School is they pay for you to get an education
[00:53:41.960 --> 00:53:43.960]   being a coder.
[00:53:43.960 --> 00:53:45.960]   It then increases your salary and they get a piece of that.
[00:53:45.960 --> 00:53:47.960]   That's like a win-win for everybody.
[00:53:47.960 --> 00:53:50.960]   I think where this goes, if these ISAs are successful,
[00:53:50.960 --> 00:53:56.960]   is that every trade that's valuable will get its own ISA type school.
[00:53:56.960 --> 00:54:00.960]   And then that gets peeled out of a university education.
[00:54:00.960 --> 00:54:02.960]   So, what's left for colleges to do?
[00:54:02.960 --> 00:54:05.960]   It's basically, you know, all the stuff that doesn't add value.
[00:54:05.960 --> 00:54:06.960]   They're museums.
[00:54:06.960 --> 00:54:09.960]   They're basically like these monasteries again, right?
[00:54:09.960 --> 00:54:11.840]   They go back to being monasteries.
[00:54:11.840 --> 00:54:13.840]   Not places where you get skills.
[00:54:13.840 --> 00:54:16.840]   We need to celebrate vocational capability.
[00:54:16.840 --> 00:54:21.840]   Because I think like, you know, we have so celebrated this mythical bachelor's degree.
[00:54:21.840 --> 00:54:23.840]   And it just means fucking nothing.
[00:54:23.840 --> 00:54:24.840]   Yeah.
[00:54:24.840 --> 00:54:25.840]   Learn a trade.
[00:54:25.840 --> 00:54:26.840]   Learn a trade.
[00:54:26.840 --> 00:54:30.840]   And that's just as, frankly, that should be as respected or more.
[00:54:30.840 --> 00:54:33.840]   But in the American culture, you don't do that right now.
[00:54:33.840 --> 00:54:34.840]   I've never understood that.
[00:54:34.840 --> 00:54:37.840]   If you go, for example, to different countries around the world,
[00:54:37.840 --> 00:54:41.720]   Europe's a good example actually of this because it's the closest.
[00:54:41.720 --> 00:54:43.720]   Analog in terms of quality of living to America.
[00:54:43.720 --> 00:54:48.720]   There's a real celebration of people who choose vocational tradecraft.
[00:54:48.720 --> 00:54:52.720]   Because there's an entire educational infrastructure that you can onboard yourself into.
[00:54:52.720 --> 00:54:54.720]   You can become a skilled person.
[00:54:54.720 --> 00:54:56.720]   And you can have a really good decent life.
[00:54:56.720 --> 00:54:58.720]   And there's pride in the work.
[00:54:58.720 --> 00:55:00.720]   And there's pride in that work.
[00:55:00.720 --> 00:55:03.720]   And in America, you know, you covet this piece of paper.
[00:55:03.720 --> 00:55:10.720]   The piece of paper is really just a scam that allows, you know, administrators to basically pay themselves millions of dollars.
[00:55:10.720 --> 00:55:16.720]   And they can spend or run an asset management business as the Trojan horse of that purpose.
[00:55:16.720 --> 00:55:18.720]   It just doesn't make any sense.
[00:55:18.720 --> 00:55:20.720]   And so, you know, I don't know.
[00:55:20.720 --> 00:55:22.720]   I just think it's, I just think.
[00:55:22.720 --> 00:55:27.720]   The most amazing thing about these companies, I've been digging into them because I'm looking for more to invest in.
[00:55:27.720 --> 00:55:33.720]   And these companies, these companies that are the trade schools that are based themselves on ISIS.
[00:55:33.720 --> 00:55:37.720]   And there are ones who are doing welding and plumbing and all kinds of different things.
[00:55:37.720 --> 00:55:40.600]   And there are ISA platforms that are providing ISIS.
[00:55:40.600 --> 00:55:42.600]   And there are companies that are doing, you know, the same thing.
[00:55:42.600 --> 00:55:44.600]   And they're doing the same thing.
[00:55:44.600 --> 00:55:46.600]   And they're doing the same thing.
[00:55:46.600 --> 00:55:48.600]   And they're doing the same thing.
[00:55:48.600 --> 00:55:50.600]   And they're doing the same thing.
[00:55:50.600 --> 00:55:52.600]   And they're doing the same thing.
[00:55:52.600 --> 00:55:54.600]   And they're doing the same thing.
[00:55:54.600 --> 00:55:56.600]   And they're doing the same thing.
[00:55:56.600 --> 00:55:58.600]   And they're doing the same thing.
[00:55:58.600 --> 00:56:00.600]   And they're doing the same thing.
[00:56:00.600 --> 00:56:02.600]   And they're doing the same thing.
[00:56:02.600 --> 00:56:04.600]   And they're doing the same thing.
[00:56:04.600 --> 00:56:06.600]   And they're doing the same thing.
[00:56:06.600 --> 00:56:08.600]   And they're doing the same thing.
[00:56:08.600 --> 00:56:09.600]   And they're doing the same thing.
[00:56:09.600 --> 00:56:11.600]   And they're doing the same thing.
[00:56:11.600 --> 00:56:13.600]   And they're doing the same thing.
[00:56:13.600 --> 00:56:15.600]   And they're doing the same thing.
[00:56:15.600 --> 00:56:17.600]   And they're doing the same thing.
[00:56:17.600 --> 00:56:19.600]   And they're doing the same thing.
[00:56:19.600 --> 00:56:21.600]   And they're doing the same thing.
[00:56:21.600 --> 00:56:23.600]   And they're doing the same thing.
[00:56:23.600 --> 00:56:25.600]   And they're doing the same thing.
[00:56:25.600 --> 00:56:27.600]   And they're doing the same thing.
[00:56:27.600 --> 00:56:29.600]   And they're doing the same thing.
[00:56:29.600 --> 00:56:31.600]   And they're doing the same thing.
[00:56:31.600 --> 00:56:33.600]   And they're doing the same thing.
[00:56:33.600 --> 00:56:35.600]   And they're doing the same thing.
[00:56:35.600 --> 00:56:37.600]   And they're doing the same thing.
[00:56:37.600 --> 00:56:38.600]   And they're doing the same thing.
[00:56:38.600 --> 00:56:40.600]   And they're doing the same thing.
[00:56:40.600 --> 00:56:42.600]   And they're doing the same thing.
[00:56:42.600 --> 00:56:44.600]   And they're doing the same thing.
[00:56:44.600 --> 00:56:46.600]   And they're doing the same thing.
[00:56:46.600 --> 00:56:48.600]   And they're doing the same thing.
[00:56:48.600 --> 00:56:50.600]   And they're doing the same thing.
[00:56:50.600 --> 00:56:52.600]   And they're doing the same thing.
[00:56:52.600 --> 00:56:54.600]   And they're doing the same thing.
[00:56:54.600 --> 00:56:56.600]   And they're doing the same thing.
[00:56:56.600 --> 00:56:58.600]   And they're doing the same thing.
[00:56:58.600 --> 00:57:00.600]   And they're doing the same thing.
[00:57:00.600 --> 00:57:02.600]   And they're doing the same thing.
[00:57:02.600 --> 00:57:04.600]   And they're doing the same thing.
[00:57:04.600 --> 00:57:06.600]   And they're doing the same thing.
[00:57:06.600 --> 00:57:07.600]   And they're doing the same thing.
[00:57:07.600 --> 00:57:09.600]   And they're doing the same thing.
[00:57:09.600 --> 00:57:11.600]   And they're doing the same thing.
[00:57:11.600 --> 00:57:13.600]   And they're doing the same thing.
[00:57:13.600 --> 00:57:15.600]   And they're doing the same thing.
[00:57:15.600 --> 00:57:17.600]   And they're doing the same thing.
[00:57:17.600 --> 00:57:19.600]   And they're doing the same thing.
[00:57:19.600 --> 00:57:21.600]   And they're doing the same thing.
[00:57:21.600 --> 00:57:23.600]   And they're doing the same thing.
[00:57:23.600 --> 00:57:25.600]   And they're doing the same thing.
[00:57:25.600 --> 00:57:27.600]   And they're doing the same thing.
[00:57:27.600 --> 00:57:29.600]   And they're doing the same thing.
[00:57:29.600 --> 00:57:31.600]   And they're doing the same thing.
[00:57:31.600 --> 00:57:33.600]   And they're doing the same thing.
[00:57:33.600 --> 00:57:35.600]   And they're doing the same thing.
[00:57:35.600 --> 00:57:37.600]   And they're doing the same thing.
[00:57:37.600 --> 00:57:39.600]   And they're doing the same thing.
[00:57:39.600 --> 00:57:41.600]   And they're doing the same thing.
[00:57:41.600 --> 00:57:43.600]   And they're doing the same thing.
[00:57:43.600 --> 00:57:45.600]   And they're doing the same thing.
[00:57:45.600 --> 00:57:47.600]   And they're doing the same thing.
[00:57:47.600 --> 00:57:49.600]   And they're doing the same thing.
[00:57:49.600 --> 00:57:51.600]   And they're doing the same thing.
[00:57:51.600 --> 00:57:53.600]   And they're doing the same thing.
[00:57:53.600 --> 00:57:55.600]   And they're doing the same thing.
[00:57:55.600 --> 00:57:57.600]   And they're doing the same thing.
[00:57:57.600 --> 00:57:59.600]   And they're doing the same thing.
[00:57:59.600 --> 00:58:01.600]   And they're doing the same thing.
[00:58:01.600 --> 00:58:03.600]   And they're doing the same thing.
[00:58:03.600 --> 00:58:05.600]   And they're doing the same thing.
[00:58:05.600 --> 00:58:07.600]   And they're doing the same thing.
[00:58:07.600 --> 00:58:09.600]   And they're doing the same thing.
[00:58:09.600 --> 00:58:11.600]   And they're doing the same thing.
[00:58:11.600 --> 00:58:13.600]   And they're doing the same thing.
[00:58:13.600 --> 00:58:15.600]   And they're doing the same thing.
[00:58:15.600 --> 00:58:17.600]   And they're doing the same thing.
[00:58:17.600 --> 00:58:19.600]   And they're doing the same thing.
[00:58:19.600 --> 00:58:21.600]   And they're doing the same thing.
[00:58:21.600 --> 00:58:23.600]   And they're doing the same thing.
[00:58:23.600 --> 00:58:25.600]   And they're doing the same thing.
[00:58:25.600 --> 00:58:27.600]   And they're doing the same thing.
[00:58:27.600 --> 00:58:29.600]   And they're doing the same thing.
[00:58:29.600 --> 00:58:31.600]   And they're doing the same thing.
[00:58:31.600 --> 00:58:33.600]   And they're doing the same thing.
[00:58:33.600 --> 00:58:35.600]   And they're doing the same thing.
[00:58:35.600 --> 00:58:37.600]   And they're doing the same thing.
[00:58:37.600 --> 00:58:39.600]   And they're doing the same thing.
[00:58:39.600 --> 00:58:41.600]   And they're doing the same thing.
[00:58:41.600 --> 00:58:43.600]   And they're doing the same thing.
[00:58:43.600 --> 00:58:45.600]   And they're doing the same thing.
[00:58:45.600 --> 00:58:47.600]   And they're doing the same thing.
[00:58:47.600 --> 00:58:49.600]   And they're doing the same thing.
[00:58:49.600 --> 00:58:51.600]   And they're doing the same thing.
[00:58:51.600 --> 00:58:53.600]   And they're doing the same thing.
[00:58:53.600 --> 00:58:55.600]   And they're doing the same thing.
[00:58:55.600 --> 00:58:57.600]   And they're doing the same thing.
[00:58:57.600 --> 00:58:59.600]   And they're doing the same thing.
[00:58:59.600 --> 00:59:01.600]   And they're doing the same thing.
[00:59:01.600 --> 00:59:03.600]   And they're doing the same thing.
[00:59:03.600 --> 00:59:05.600]   And they're doing the same thing.
[00:59:05.600 --> 00:59:07.600]   And they're doing the same thing.
[00:59:07.600 --> 00:59:09.600]   And they're doing the same thing.
[00:59:09.600 --> 00:59:11.600]   And they're doing the same thing.
[00:59:11.600 --> 00:59:13.600]   And they're doing the same thing.
[00:59:13.600 --> 00:59:15.600]   And they're doing the same thing.
[00:59:15.600 --> 00:59:17.600]   And they're doing the same thing.
[00:59:17.600 --> 00:59:19.600]   And they're doing the same thing.
[00:59:19.600 --> 00:59:21.600]   And they're doing the same thing.
[00:59:21.600 --> 00:59:23.600]   And they're doing the same thing.
[00:59:23.600 --> 00:59:25.600]   And they're doing the same thing.
[00:59:25.600 --> 00:59:27.600]   And they're doing the same thing.
[00:59:27.600 --> 00:59:29.600]   And they're doing the same thing.
[00:59:29.600 --> 00:59:31.600]   And they're doing the same thing.
[00:59:31.600 --> 00:59:33.600]   And they're doing the same thing.
[00:59:33.600 --> 00:59:35.600]   And they're doing the same thing.
[00:59:35.600 --> 00:59:37.600]   And they're doing the same thing.
[00:59:37.600 --> 00:59:39.600]   And they're doing the same thing.
[00:59:39.600 --> 00:59:41.600]   And they're doing the same thing.
[00:59:41.600 --> 00:59:43.600]   And they're doing the same thing.
[00:59:43.600 --> 00:59:45.600]   And they're doing the same thing.
[00:59:45.600 --> 00:59:47.600]   And they're doing the same thing.
[00:59:47.600 --> 00:59:49.600]   And they're doing the same thing.
[00:59:49.600 --> 00:59:51.600]   And they're doing the same thing.
[00:59:51.600 --> 00:59:53.600]   And they're doing the same thing.
[00:59:53.600 --> 00:59:55.600]   And they're doing the same thing.
[00:59:55.600 --> 00:59:57.600]   And they're doing the same thing.
[00:59:57.600 --> 00:59:59.600]   And they're doing the same thing.
[00:59:59.600 --> 01:00:01.600]   And they're doing the same thing.
[01:00:01.600 --> 01:00:03.600]   And they're doing the same thing.
[01:00:03.600 --> 01:00:05.600]   And they're doing the same thing.
[01:00:05.600 --> 01:00:07.600]   And they're doing the same thing.
[01:00:07.600 --> 01:00:09.600]   And they're doing the same thing.
[01:00:09.600 --> 01:00:11.600]   And they're doing the same thing.
[01:00:11.600 --> 01:00:13.600]   And they're doing the same thing.
[01:00:13.600 --> 01:00:15.600]   And they're doing the same thing.
[01:00:15.600 --> 01:00:17.600]   And they're doing the same thing.
[01:00:17.600 --> 01:00:19.600]   And they're doing the same thing.
[01:00:19.600 --> 01:00:21.600]   And they're doing the same thing.
[01:00:21.600 --> 01:00:23.600]   And they're doing the same thing.
[01:00:23.600 --> 01:00:25.600]   And they're doing the same thing.
[01:00:25.600 --> 01:00:27.600]   And they're doing the same thing.
[01:00:27.600 --> 01:00:29.600]   And they're doing the same thing.
[01:00:29.600 --> 01:00:31.600]   And they're doing the same thing.
[01:00:31.600 --> 01:00:33.600]   And they're doing the same thing.
[01:00:33.600 --> 01:00:35.600]   And they're doing the same thing.
[01:00:35.600 --> 01:00:37.600]   And they're doing the same thing.
[01:00:37.600 --> 01:00:39.600]   And they're doing the same thing.
[01:00:39.600 --> 01:00:41.600]   And they're doing the same thing.
[01:00:41.600 --> 01:00:43.600]   And they're doing the same thing.
[01:00:43.600 --> 01:00:45.600]   And they're doing the same thing.
[01:00:45.600 --> 01:00:47.600]   And they're doing the same thing.
[01:00:47.600 --> 01:00:49.600]   And they're doing the same thing.
[01:00:49.600 --> 01:00:51.600]   And they're doing the same thing.
[01:00:51.600 --> 01:00:53.600]   And they're doing the same thing.
[01:00:53.600 --> 01:00:55.600]   And they're doing the same thing.
[01:00:55.600 --> 01:00:57.600]   And they're doing the same thing.
[01:00:57.600 --> 01:00:59.600]   And they're doing the same thing.
[01:00:59.600 --> 01:01:01.600]   And they're doing the same thing.
[01:01:01.600 --> 01:01:03.600]   And they're doing the same thing.
[01:01:03.600 --> 01:01:05.600]   And they're doing the same thing.
[01:01:05.600 --> 01:01:07.600]   And they're doing the same thing.
[01:01:07.600 --> 01:01:09.600]   And they're doing the same thing.
[01:01:09.600 --> 01:01:11.600]   And they're doing the same thing.
[01:01:11.600 --> 01:01:13.600]   And they're doing the same thing.
[01:01:13.600 --> 01:01:15.600]   And they're doing the same thing.
[01:01:15.600 --> 01:01:17.600]   And they're doing the same thing.
[01:01:17.600 --> 01:01:19.600]   And they're doing the same thing.
[01:01:19.600 --> 01:01:21.600]   And they're doing the same thing.
[01:01:21.600 --> 01:01:23.600]   And they're doing the same thing.
[01:01:23.600 --> 01:01:25.600]   And they're doing the same thing.
[01:01:25.600 --> 01:01:27.600]   And they're doing the same thing.
[01:01:27.600 --> 01:01:29.600]   And they're doing the same thing.
[01:01:29.600 --> 01:01:31.600]   And they're doing the same thing.
[01:01:31.600 --> 01:01:33.600]   And they're doing the same thing.
[01:01:33.600 --> 01:01:35.600]   And they're doing the same thing.
[01:01:35.600 --> 01:01:37.600]   And they're doing the same thing.
[01:01:37.600 --> 01:01:39.600]   And they're doing the same thing.
[01:01:39.600 --> 01:01:41.600]   And they're doing the same thing.
[01:01:41.600 --> 01:01:43.600]   And they're doing the same thing.
[01:01:43.600 --> 01:01:45.600]   And they're doing the same thing.
[01:01:45.600 --> 01:01:47.600]   And they're doing the same thing.
[01:01:47.600 --> 01:01:49.600]   And they're doing the same thing.
[01:01:49.600 --> 01:01:51.600]   And they're doing the same thing.
[01:01:51.600 --> 01:01:53.600]   And they're doing the same thing.
[01:01:53.600 --> 01:01:55.600]   And they're doing the same thing.
[01:01:55.600 --> 01:01:57.600]   And they're doing the same thing.
[01:01:57.600 --> 01:01:59.600]   And they're doing the same thing.
[01:01:59.600 --> 01:02:01.600]   And they're doing the same thing.
[01:02:01.600 --> 01:02:03.600]   And they're doing the same thing.
[01:02:03.600 --> 01:02:05.600]   And they're doing the same thing.
[01:02:05.600 --> 01:02:07.600]   And they're doing the same thing.
[01:02:07.600 --> 01:02:09.600]   And they're doing the same thing.
[01:02:09.600 --> 01:02:11.600]   And they're doing the same thing.
[01:02:11.600 --> 01:02:13.600]   And they're doing the same thing.
[01:02:13.600 --> 01:02:15.600]   And they're doing the same thing.
[01:02:15.600 --> 01:02:17.600]   And they're doing the same thing.
[01:02:17.600 --> 01:02:19.600]   And they're doing the same thing.
[01:02:19.600 --> 01:02:21.600]   And they're doing the same thing.
[01:02:21.600 --> 01:02:23.600]   And they're doing the same thing.
[01:02:23.600 --> 01:02:25.600]   And they're doing the same thing.
[01:02:25.600 --> 01:02:27.600]   And they're doing the same thing.
[01:02:27.600 --> 01:02:29.600]   And they're doing the same thing.
[01:02:29.600 --> 01:02:31.600]   And they're doing the same thing.
[01:02:31.600 --> 01:02:33.600]   And they're doing the same thing.
[01:02:33.600 --> 01:02:35.600]   And they're doing the same thing.
[01:02:35.600 --> 01:02:37.600]   And they're doing the same thing.
[01:02:37.600 --> 01:02:39.600]   And they're doing the same thing.
[01:02:39.600 --> 01:02:41.600]   And they're doing the same thing.
[01:02:41.600 --> 01:02:43.600]   And they're doing the same thing.
[01:02:43.600 --> 01:02:45.600]   And they're doing the same thing.
[01:02:45.600 --> 01:02:47.600]   And they're doing the same thing.
[01:02:47.600 --> 01:02:49.600]   And they're doing the same thing.
[01:02:49.600 --> 01:02:51.600]   And they're doing the same thing.
[01:02:51.600 --> 01:02:53.600]   And they're doing the same thing.
[01:02:53.600 --> 01:02:55.600]   And they're doing the same thing.
[01:02:55.600 --> 01:02:57.600]   And they're doing the same thing.
[01:02:57.600 --> 01:02:59.600]   And they're doing the same thing.
[01:02:59.600 --> 01:03:01.600]   And they're doing the same thing.
[01:03:01.600 --> 01:03:03.600]   And they're doing the same thing.
[01:03:03.600 --> 01:03:05.600]   And they're doing the same thing.
[01:03:05.600 --> 01:03:07.600]   And they're doing the same thing.
[01:03:07.600 --> 01:03:09.600]   And they're doing the same thing.
[01:03:09.600 --> 01:03:11.600]   And they're doing the same thing.
[01:03:11.600 --> 01:03:13.600]   And they're doing the same thing.
[01:03:13.600 --> 01:03:15.600]   And they're doing the same thing.
[01:03:15.600 --> 01:03:17.600]   And they're doing the same thing.
[01:03:17.600 --> 01:03:19.600]   And they're doing the same thing.
[01:03:19.600 --> 01:03:21.600]   And they're doing the same thing.
[01:03:21.600 --> 01:03:23.600]   And they're doing the same thing.
[01:03:23.600 --> 01:03:25.600]   And they're doing the same thing.
[01:03:25.600 --> 01:03:27.600]   And they're doing the same thing.
[01:03:27.600 --> 01:03:29.600]   And they're doing the same thing.
[01:03:29.600 --> 01:03:31.600]   And they're doing the same thing.
[01:03:31.600 --> 01:03:33.600]   And they're doing the same thing.
[01:03:33.600 --> 01:03:35.600]   And they're doing the same thing.
[01:03:35.600 --> 01:03:37.600]   And they're doing the same thing.
[01:03:37.600 --> 01:03:39.600]   And they're doing the same thing.
[01:03:39.600 --> 01:03:41.600]   And they're doing the same thing.
[01:03:41.600 --> 01:03:43.600]   And they're doing the same thing.
[01:03:43.600 --> 01:03:45.600]   And they're doing the same thing.
[01:03:45.600 --> 01:03:47.600]   And they're doing the same thing.
[01:03:47.600 --> 01:03:49.600]   And they're doing the same thing.
[01:03:49.600 --> 01:03:51.600]   And they're doing the same thing.
[01:03:51.600 --> 01:03:53.600]   And they're doing the same thing.
[01:03:53.600 --> 01:03:55.600]   And they're doing the same thing.
[01:03:55.600 --> 01:03:57.600]   And they're doing the same thing.
[01:03:57.600 --> 01:03:59.600]   And they're doing the same thing.
[01:03:59.600 --> 01:04:01.600]   And they're doing the same thing.
[01:04:01.600 --> 01:04:03.600]   And they're doing the same thing.
[01:04:03.600 --> 01:04:05.600]   And they're doing the same thing.
[01:04:05.600 --> 01:04:07.600]   And they're doing the same thing.
[01:04:07.600 --> 01:04:09.600]   And they're doing the same thing.
[01:04:09.600 --> 01:04:11.600]   And they're doing the same thing.
[01:04:11.600 --> 01:04:13.600]   And they're doing the same thing.
[01:04:13.600 --> 01:04:15.600]   And they're doing the same thing.
[01:04:15.600 --> 01:04:17.600]   And they're doing the same thing.
[01:04:17.600 --> 01:04:19.600]   And they're doing the same thing.
[01:04:19.600 --> 01:04:21.600]   And they're doing the same thing.
[01:04:21.600 --> 01:04:23.600]   And they're doing the same thing.
[01:04:23.600 --> 01:04:25.600]   And they're doing the same thing.
[01:04:25.600 --> 01:04:27.600]   And they're doing the same thing.
[01:04:27.600 --> 01:04:29.600]   And they're doing the same thing.
[01:04:29.600 --> 01:04:31.600]   And they're doing the same thing.
[01:04:31.600 --> 01:04:33.600]   And they're doing the same thing.
[01:04:33.600 --> 01:04:35.600]   And they're doing the same thing.
[01:04:35.600 --> 01:04:37.600]   And they're doing the same thing.
[01:04:37.600 --> 01:04:39.600]   And they're doing the same thing.
[01:04:39.600 --> 01:04:41.600]   And they're doing the same thing.
[01:04:41.600 --> 01:04:43.600]   And they're doing the same thing.
[01:04:43.600 --> 01:04:45.600]   And they're doing the same thing.
[01:04:45.600 --> 01:04:47.600]   And they're doing the same thing.
[01:04:47.600 --> 01:04:49.600]   And they're doing the same thing.
[01:04:49.600 --> 01:04:51.600]   And they're doing the same thing.
[01:04:51.600 --> 01:04:53.600]   And they're doing the same thing.
[01:04:53.600 --> 01:04:55.600]   And they're doing the same thing.
[01:04:55.600 --> 01:04:57.600]   And they're doing the same thing.
[01:04:57.600 --> 01:04:59.600]   And they're doing the same thing.
[01:04:59.600 --> 01:05:01.600]   And they're doing the same thing.
[01:05:01.600 --> 01:05:03.600]   And they're doing the same thing.
[01:05:03.600 --> 01:05:05.600]   And they're doing the same thing.
[01:05:05.600 --> 01:05:07.600]   And they're doing the same thing.
[01:05:07.600 --> 01:05:09.600]   And they're doing the same thing.
[01:05:09.600 --> 01:05:11.600]   And they're doing the same thing.
[01:05:11.600 --> 01:05:13.600]   And they're doing the same thing.
[01:05:13.600 --> 01:05:15.600]   And they're doing the same thing.
[01:05:15.600 --> 01:05:17.600]   And they're doing the same thing.
[01:05:17.600 --> 01:05:19.600]   And they're doing the same thing.
[01:05:19.600 --> 01:05:21.600]   And they're doing the same thing.
[01:05:21.600 --> 01:05:23.600]   And they're doing the same thing.
[01:05:23.600 --> 01:05:25.600]   And they're doing the same thing.
[01:05:25.600 --> 01:05:27.600]   And they're doing the same thing.
[01:05:27.600 --> 01:05:29.600]   And they're doing the same thing.
[01:05:29.600 --> 01:05:31.600]   And they're doing the same thing.
[01:05:31.600 --> 01:05:33.600]   And they're doing the same thing.
[01:05:33.600 --> 01:05:35.600]   And they're doing the same thing.
[01:05:35.600 --> 01:05:37.600]   And they're doing the same thing.
[01:05:37.600 --> 01:05:39.600]   And they're doing the same thing.
[01:05:39.600 --> 01:05:41.600]   And they're doing the same thing.
[01:05:41.600 --> 01:05:43.600]   And they're doing the same thing.
[01:05:43.600 --> 01:05:45.600]   And they're doing the same thing.
[01:05:45.600 --> 01:05:47.600]   And they're doing the same thing.
[01:05:47.600 --> 01:05:49.600]   And they're doing the same thing.
[01:05:49.600 --> 01:05:51.600]   And they're doing the same thing.
[01:05:51.600 --> 01:05:53.600]   And they're doing the same thing.
[01:05:53.600 --> 01:05:55.600]   And they're doing the same thing.
[01:05:55.600 --> 01:05:57.600]   And they're doing the same thing.
[01:05:57.600 --> 01:05:59.600]   And they're doing the same thing.
[01:05:59.600 --> 01:06:01.600]   And they're doing the same thing.
[01:06:01.600 --> 01:06:03.600]   And they're doing the same thing.
[01:06:03.600 --> 01:06:05.600]   And they're doing the same thing.
[01:06:05.600 --> 01:06:07.600]   And they're doing the same thing.
[01:06:07.600 --> 01:06:09.600]   And they're doing the same thing.
[01:06:09.600 --> 01:06:11.600]   And they're doing the same thing.
[01:06:11.600 --> 01:06:13.600]   And they're doing the same thing.
[01:06:13.600 --> 01:06:15.600]   And they're doing the same thing.
[01:06:15.600 --> 01:06:17.600]   And they're doing the same thing.
[01:06:17.600 --> 01:06:19.600]   And they're doing the same thing.
[01:06:19.600 --> 01:06:21.600]   And they're doing the same thing.
[01:06:21.600 --> 01:06:23.600]   And they're doing the same thing.
[01:06:23.600 --> 01:06:25.600]   And they're doing the same thing.
[01:06:25.600 --> 01:06:27.600]   And they're doing the same thing.
[01:06:27.600 --> 01:06:29.600]   And they're doing the same thing.
[01:06:29.600 --> 01:06:31.600]   And they're doing the same thing.
[01:06:31.600 --> 01:06:33.600]   And they're doing the same thing.
[01:06:33.600 --> 01:06:35.600]   And they're doing the same thing.
[01:06:35.600 --> 01:06:37.600]   And they're doing the same thing.
[01:06:37.600 --> 01:06:39.600]   And they're doing the same thing.
[01:06:39.600 --> 01:06:41.600]   And they're doing the same thing.
[01:06:41.600 --> 01:06:43.600]   And they're doing the same thing.
[01:06:43.600 --> 01:06:45.600]   And they're doing the same thing.
[01:06:45.600 --> 01:06:47.600]   And they're doing the same thing.
[01:06:47.600 --> 01:06:49.600]   And they're doing the same thing.
[01:06:49.600 --> 01:06:51.600]   And they're doing the same thing.
[01:06:51.600 --> 01:06:53.600]   And they're doing the same thing.
[01:06:53.600 --> 01:06:55.600]   And they're doing the same thing.
[01:06:55.600 --> 01:06:57.600]   And they're doing the same thing.
[01:06:57.600 --> 01:06:59.600]   And they're doing the same thing.
[01:06:59.600 --> 01:07:01.600]   And they're doing the same thing.
[01:07:01.600 --> 01:07:03.600]   And they're doing the same thing.
[01:07:03.600 --> 01:07:05.600]   And they're doing the same thing.
[01:07:05.600 --> 01:07:07.600]   And they're doing the same thing.
[01:07:07.600 --> 01:07:09.600]   And they're doing the same thing.
[01:07:09.600 --> 01:07:11.600]   And they're doing the same thing.
[01:07:11.600 --> 01:07:13.600]   And they're doing the same thing.
[01:07:13.600 --> 01:07:15.600]   And they're doing the same thing.
[01:07:15.600 --> 01:07:17.600]   And they're doing the same thing.
[01:07:17.600 --> 01:07:19.600]   And they're doing the same thing.
[01:07:19.600 --> 01:07:21.600]   And they're doing the same thing.
[01:07:21.600 --> 01:07:23.600]   And they're doing the same thing.
[01:07:23.600 --> 01:07:25.600]   And they're doing the same thing.
[01:07:25.600 --> 01:07:27.600]   And they're doing the same thing.
[01:07:27.600 --> 01:07:29.600]   And they're doing the same thing.
[01:07:29.600 --> 01:07:31.600]   And they're doing the same thing.
[01:07:31.600 --> 01:07:33.600]   And they're doing the same thing.
[01:07:33.600 --> 01:07:35.600]   And they're doing the same thing.
[01:07:35.600 --> 01:07:37.600]   And they're doing the same thing.
[01:07:37.600 --> 01:07:39.600]   And they're doing the same thing.
[01:07:39.600 --> 01:07:41.600]   And they're doing the same thing.
[01:07:41.600 --> 01:07:43.600]   And they're doing the same thing.
[01:07:43.600 --> 01:07:45.600]   And they're doing the same thing.
[01:07:45.600 --> 01:07:47.600]   And they're doing the same thing.
[01:07:47.600 --> 01:07:49.600]   And they're doing the same thing.
[01:07:49.600 --> 01:07:51.600]   And they're doing the same thing.
[01:07:51.600 --> 01:07:53.600]   And they're doing the same thing.
[01:07:53.600 --> 01:07:55.600]   And they're doing the same thing.
[01:07:55.600 --> 01:07:57.600]   And they're doing the same thing.
