
[00:00:00.000 --> 00:00:01.080]   It looks really fun.
[01:00:12.840 --> 01:00:13.440]   Yeah.
[01:00:13.440 --> 01:00:14.960]   So that's what I did.
[01:00:14.960 --> 01:00:18.400]   So in this hyper parameter file, I just had the model name, which is
[01:00:18.400 --> 01:00:20.760]   exact, essentially this name here.
[01:00:20.760 --> 01:00:25.320]   Um, it will only be different models.
[01:00:25.760 --> 01:00:33.760]   And then in my code, if I go to, um, models, you can see that it's
[01:00:33.760 --> 01:00:35.200]   just using these auto classes.
[01:00:35.200 --> 01:00:39.640]   So I load the configuration using that model name.
[01:00:39.640 --> 01:00:45.760]   Um, the tokenizer, which is in the datasets file, it loads that from
[01:00:45.760 --> 01:00:48.280]   an auto tokenizer and then auto model as well.
[01:00:48.280 --> 01:00:50.280]   And that's just using the model name.
[01:00:50.680 --> 01:00:56.400]   So the, again, coming back to the same idea of trying, testing as many ideas
[01:00:56.400 --> 01:00:57.640]   in the shortest amount of time.
[01:00:57.640 --> 01:01:03.240]   If you can parameterize your code so that you can just change one string and
[01:01:03.240 --> 01:01:07.320]   completely change your model architecture, you can iterate ideas so much faster.
[01:01:07.320 --> 01:01:12.040]   Um, so that's essentially, go ahead.
[01:01:12.040 --> 01:01:15.920]   How much extra effort does it, uh, like, do you need, do you put in to
[01:01:15.920 --> 01:01:17.040]   like set up the repository?
[01:01:17.040 --> 01:01:18.360]   Like how much time did it take?
[01:01:18.400 --> 01:01:22.520]   I'm guessing it's less because like you've been in data science for a long time.
[01:01:22.520 --> 01:01:24.760]   So like, is this how you always start your experiments?
[01:01:24.760 --> 01:01:29.920]   Yeah, I guess, I guess like it's, it's a process of evolved over time.
[01:01:29.920 --> 01:01:36.360]   Um, so now, um, I think Abhishek did a really good video a while ago
[01:01:36.360 --> 01:01:38.280]   about how he sets up his folders.
[01:01:38.280 --> 01:01:42.000]   And I think I started with that and I sort of, um, swapped and
[01:01:42.000 --> 01:01:43.840]   changed stuff for how I work as well.
[01:01:44.440 --> 01:01:50.520]   Um, and then, yeah, I sort of converged on this sort of, um, layout.
[01:01:50.520 --> 01:01:55.240]   And then the other cool thing is I learned the other day is if you go to
[01:01:55.240 --> 01:02:00.920]   GitHub, you can set up, um, something called a template repository.
[01:02:00.920 --> 01:02:03.760]   So is this going to work?
[01:02:03.760 --> 01:02:06.000]   So I've made a repository called Kaggle template.
[01:02:06.000 --> 01:02:09.840]   You guys can use it if you want or whatever, and you can hit this button.
[01:02:10.560 --> 01:02:15.520]   Um, you go into the settings, say users set this as a template repository.
[01:02:15.520 --> 01:02:19.640]   And so you use this template and then you just set a new repository name and
[01:02:19.640 --> 01:02:23.320]   then it'll create a new repository using that template, which saves
[01:02:23.320 --> 01:02:24.400]   you a lot of time as well.
[01:02:24.400 --> 01:02:27.280]   Uh, yeah.
[01:02:27.280 --> 01:02:30.120]   So I, I've started using that, um, quite a lot.
[01:02:30.120 --> 01:02:33.280]   It is another, there's another tool called cookie cutter as well.
[01:02:33.280 --> 01:02:36.400]   Um, which makes template repositories for you.
[01:02:36.400 --> 01:02:37.360]   It's, it's quite heavy.
[01:02:37.360 --> 01:02:39.760]   It's quite like, it's quite customizable.
[01:02:39.800 --> 01:02:43.960]   But for what I need, these sort of GitHub templates work well.
[01:02:43.960 --> 01:02:48.480]   So I kind of, um, yeah, so I have usually have two entry
[01:02:48.480 --> 01:02:50.920]   points, uh, train and infer.
[01:02:50.920 --> 01:02:55.000]   Um, I'd have a shell script, which calls train.
[01:02:55.000 --> 01:02:58.600]   Um, so that, and then I can write another shell script, which will
[01:02:58.600 --> 01:03:00.440]   just do lots of experiments.
[01:03:00.440 --> 01:03:03.200]   All I do is change the config, the name of the configuration.
[01:03:03.200 --> 01:03:06.520]   And then most of my code lives in this source file.
[01:03:06.520 --> 01:03:08.760]   Awesome.
[01:03:09.240 --> 01:03:11.000]   So that's the models.
[01:03:11.000 --> 01:03:11.440]   Yeah.
[01:03:11.440 --> 01:03:12.160]   Let's go through that.
[01:03:12.160 --> 01:03:13.680]   Let's go into that.
[01:03:13.680 --> 01:03:18.040]   So this is, um, um, the model.
[01:03:18.040 --> 01:03:22.440]   So I do point out that like, I was really curious, like, it's quite
[01:03:22.440 --> 01:03:25.480]   confusing to understand how do you add a regression head and it's just
[01:03:25.480 --> 01:03:27.120]   like adding a simple linear layer.
[01:03:27.120 --> 01:03:29.080]   If I remember correctly, that's how you got it.
[01:03:29.080 --> 01:03:30.160]   Yeah.
[01:03:30.160 --> 01:03:31.800]   It's okay.
[01:03:31.800 --> 01:03:36.000]   It's quite confusing terminology because, um, I don't, lots of
[01:03:36.000 --> 01:03:38.240]   people ask what, what's a head.
[01:03:38.840 --> 01:03:43.040]   Um, so in my, in my mind, what a head is basically the bit, the
[01:03:43.040 --> 01:03:46.680]   last, very final part of the model is the bit that makes prediction.
[01:03:46.680 --> 01:03:52.840]   And you use a pre-trained encoder or pre-trained com net, whatever
[01:03:52.840 --> 01:03:54.440]   that does all the heavy lifting.
[01:03:54.440 --> 01:03:58.760]   And it generates a feature at the end, just a tensor of some shape.
[01:03:58.760 --> 01:04:02.880]   And then you pass that to your head, which turns that tensor
[01:04:02.880 --> 01:04:05.440]   of some shape into a prediction.
[01:04:05.960 --> 01:04:09.640]   And in this case, there's a prediction of shape one, because
[01:04:09.640 --> 01:04:11.120]   you're just predicting one value.
[01:04:11.120 --> 01:04:14.600]   In other cases, that prediction could be a segmentation
[01:04:14.600 --> 01:04:15.840]   mask or something like that.
[01:04:15.840 --> 01:04:20.680]   Um, so that's, that's what people mean when they talk about a head.
[01:04:20.680 --> 01:04:24.440]   So it's basically going from a feature that's extracted from the big
[01:04:24.440 --> 01:04:26.440]   transformer or com net or something.
[01:04:26.440 --> 01:04:30.600]   And you turn that feature into the actual thing you want to predict.
[01:04:30.600 --> 01:04:33.600]   Um, so this is my model.
[01:04:34.120 --> 01:04:40.000]   So I use, um, PyTorch lightning, um, which is, which I, I really enjoy using,
[01:04:40.000 --> 01:04:45.280]   but if you're, I would say if you're learning how to use PyTorch, or if you're
[01:04:45.280 --> 01:04:50.680]   new to deep learning, maybe don't use PyTorch lightning because, um, it's good
[01:04:50.680 --> 01:04:54.440]   to write your own training loops and validation loops and stuff like that.
[01:04:54.440 --> 01:04:56.280]   Because you really learn how things work.
[01:04:56.280 --> 01:04:58.960]   If there's a bug, then you know where to look for it.
[01:04:58.960 --> 01:05:01.240]   You learn how to calculate your own metrics and stuff.
[01:05:01.760 --> 01:05:04.680]   But once you've done that 20 or 30 times, it's only so many times you
[01:05:04.680 --> 01:05:05.640]   can write your own training.
[01:05:05.640 --> 01:05:07.640]   So I use PyTorch.
[01:05:07.640 --> 01:05:09.240]   Shameless plug as well.
[01:05:09.240 --> 01:05:12.840]   Uh, sorry to interrupt you again, but we'll be reading this book, which
[01:05:12.840 --> 01:05:14.840]   is our deep learning with PyTorch.
[01:05:14.840 --> 01:05:20.040]   This is by the cool devs and one of the author will be here next week for a webinar.
[01:05:20.040 --> 01:05:24.360]   So if you're, if you're new to PyTorch, uh, I would recommend signing up for that.
[01:05:24.360 --> 01:05:25.840]   Yeah, absolutely.
[01:05:25.840 --> 01:05:26.040]   Yeah.
[01:05:26.040 --> 01:05:30.080]   But yeah, PyTorch lightning is really cool.
[01:05:30.360 --> 01:05:35.320]   Um, but yeah, if you're new to PyTorch, I totally recommend just writing your
[01:05:35.320 --> 01:05:39.400]   own loops and stuff, training loops, validation loops, metric calculation,
[01:05:39.400 --> 01:05:40.080]   things like that.
[01:05:40.080 --> 01:05:45.200]   So the PyTorch lightning is it's, uh, it works.
[01:05:45.200 --> 01:05:50.360]   Um, you have a lightning module, which is actually just a normal torch module,
[01:05:50.360 --> 01:05:52.160]   which you'll probably cover later.
[01:05:52.160 --> 01:05:55.440]   And then you, you define all your stuff here.
[01:05:55.440 --> 01:05:59.000]   So here I defined, um, my model.
[01:05:59.000 --> 01:06:00.080]   So my transformer.
[01:06:01.080 --> 01:06:07.480]   And I also defined my head, uh, and then the regression, um, head here.
[01:06:07.480 --> 01:06:14.920]   So at this, at this stage, it kind of looks like a normal, um, PyTorch module.
[01:06:14.920 --> 01:06:22.000]   So you have, uh, an, um, an init function and you have a forward
[01:06:22.000 --> 01:06:24.200]   function, which is normal PyTorch.
[01:06:24.200 --> 01:06:26.280]   Yeah.
[01:06:26.560 --> 01:06:31.800]   And then the only bit different bits with PyTorch lightning is you put, um,
[01:06:31.800 --> 01:06:33.680]   what happens every training step.
[01:06:33.680 --> 01:06:37.680]   So with PyTorch lightning, you have a separate class called a trainer,
[01:06:37.680 --> 01:06:39.480]   which deals with all the loops.
[01:06:39.480 --> 01:06:46.200]   Um, and then that trainer calls these additional functions, um, to do stuff.
[01:06:46.200 --> 01:06:50.680]   Uh, and, you know, because a torch module is just a normal Python class.
[01:06:50.680 --> 01:06:52.640]   You can put anything in there and that's what they've done.
[01:06:53.240 --> 01:06:56.760]   Um, and you can make your own deep learning framework if you wanted to.
[01:06:56.760 --> 01:06:59.800]   Um, you can just put anything you want in these classes.
[01:06:59.800 --> 01:07:08.360]   Um, so my model is a transformer, uh, which I defined using this
[01:07:08.360 --> 01:07:10.440]   input argument called model name.
[01:07:10.440 --> 01:07:15.880]   And then it, it outputs, um, a state.
[01:07:15.880 --> 01:07:17.960]   And then that state goes into the head.
[01:07:17.960 --> 01:07:21.200]   And then that head calculates the target variable.
[01:07:21.920 --> 01:07:24.960]   Right at line 92, we can see the attention head as well.
[01:07:24.960 --> 01:07:27.480]   You would just talk about the attention that you've added.
[01:07:27.480 --> 01:07:32.040]   And at line 90, I believe you add the regressor head, which
[01:07:32.040 --> 01:07:33.200]   we were just talking about.
[01:07:33.200 --> 01:07:33.560]   Yeah.
[01:07:33.560 --> 01:07:33.920]   Yeah.
[01:07:33.920 --> 01:07:34.120]   Yeah.
[01:07:34.120 --> 01:07:34.400]   Yeah.
[01:07:34.400 --> 01:07:39.000]   So it's probably easier to show you what's going on in say maybe a notebook.
[01:07:39.000 --> 01:07:44.440]   So let's say if, if you've got a model, so I've got a reverse of base here.
[01:07:44.440 --> 01:07:48.960]   Um, I've got a tokenizer here.
[01:07:49.000 --> 01:07:52.720]   So auto tokenizer, which I've called from this model name parameter.
[01:07:52.720 --> 01:07:55.720]   Um, I called use the config as well.
[01:07:55.720 --> 01:07:59.040]   So the, these conflict files are useful for hugging face because they have
[01:07:59.040 --> 01:08:01.040]   some internal parameters of the model.
[01:08:01.040 --> 01:08:04.480]   So sometimes it's useful to know how many, what's the
[01:08:04.480 --> 01:08:06.560]   output size of the transformer.
[01:08:06.560 --> 01:08:09.280]   So then you can, um, you know what to do there.
[01:08:09.280 --> 01:08:15.640]   So for example, um, I want to know the hidden size.
[01:08:15.640 --> 01:08:18.000]   So it's 768.
[01:08:18.000 --> 01:08:24.960]   So if I know that that is 768, then I know that my head has to accept a tensor by 768.
[01:08:24.960 --> 01:08:29.720]   Um, so these auto model classes are super cool.
[01:08:29.720 --> 01:08:33.360]   You define the model like this, and then you just find an input.
[01:08:33.360 --> 01:08:35.280]   So I've got a little string here.
[01:08:35.280 --> 01:08:36.720]   Sorry, my dog is very naughty.
[01:08:36.720 --> 01:08:42.520]   And then, and then you get the outputs.
[01:08:42.520 --> 01:08:46.800]   So you could either, you can have this flag, the outputs hidden states as well.
[01:08:46.800 --> 01:08:49.920]   But so you get an output, which is this old dict.
[01:08:49.920 --> 01:08:56.480]   Um, so you get something called a last hidden state, a pooler output.
[01:08:56.480 --> 01:08:59.240]   And if you, there's these optional hidden states.
[01:08:59.240 --> 01:09:04.440]   Um, so that's the output you get from the transformer.
[01:09:04.440 --> 01:09:06.440]   So the idea of the head is,
[01:09:06.440 --> 01:09:09.080]   could you please repeat what's pooler output?
[01:09:09.080 --> 01:09:10.040]   I wasn't clear on that.
[01:09:10.040 --> 01:09:14.640]   So, so you've got, uh, I'll explain in a sec.
[01:09:14.640 --> 01:09:14.960]   Yeah.
[01:09:15.040 --> 01:09:18.240]   So, um, you've got different hidden states.
[01:09:18.240 --> 01:09:21.040]   So, um, let me show you.
[01:09:21.040 --> 01:09:22.480]   So you've got hidden states.
[01:09:22.480 --> 01:09:24.960]   So this is from each layer of the encoder.
[01:09:24.960 --> 01:09:39.520]   So this is actually a tuple of, uh, hidden states.
[01:09:39.520 --> 01:09:44.080]   So you've got 13 hidden states here from different layers of the transformer.
[01:09:44.400 --> 01:09:50.120]   Um, the last hidden state is a tensor, which is this shape.
[01:09:50.120 --> 01:09:51.800]   So this is batch size.
[01:09:51.800 --> 01:09:56.000]   This is the length of the sequence, which could be two, five, six or whatever.
[01:09:56.000 --> 01:10:00.880]   This, this number changes depending on the length of the sequence, but you can, you
[01:10:00.880 --> 01:10:04.760]   can fix that and then pad it to, if you've got short sequences, you can pad it to a
[01:10:04.760 --> 01:10:07.480]   certain size and then you've got the pooler output.
[01:10:07.480 --> 01:10:13.960]   So to, to send this to a linear layer, you need a one dimensional tensor.
[01:10:14.960 --> 01:10:17.200]   Um, which is what this is, right?
[01:10:17.200 --> 01:10:24.000]   So you go from a tensor like this, um, and you need to reduce one of the dimensions.
[01:10:24.000 --> 01:10:27.120]   So you need to get rid of this dimension here.
[01:10:27.120 --> 01:10:32.080]   So what the pooler output does is it takes the mean along this dimension.
[01:10:32.080 --> 01:10:39.560]   So you've got a tensor of 768 by nine and you just take the mean of those, um, nine
[01:10:39.560 --> 01:10:45.960]   rows, and then you end up with a, um, you end up with a tensor that looks like this
[01:10:45.960 --> 01:10:47.800]   and you can pass that to a linear layer then.
[01:10:47.800 --> 01:10:52.160]   So you go from 768 down to one, which is your target output target.
[01:10:52.160 --> 01:10:57.040]   Um, so the pool output is cool.
[01:10:57.040 --> 01:11:00.480]   And if you go into the head and face code, they use mean pooling.
[01:11:00.480 --> 01:11:06.600]   Um, and you know, mean pooling is cool, but if you think about it, a mean pooling
[01:11:06.600 --> 01:11:10.840]   is kind of just, it's a weighted average, but the weights are the number of features.
[01:11:10.840 --> 01:11:11.080]   Right?
[01:11:11.080 --> 01:11:17.320]   So what if you could just do a weighted combination, um, that wasn't mean, you
[01:11:17.320 --> 01:11:18.960]   know, you could choose what those weights are.
[01:11:18.960 --> 01:11:21.600]   So this is where the attention block comes in.
[01:11:21.600 --> 01:11:23.840]   So that's essentially what we're doing here.
[01:11:23.840 --> 01:11:28.520]   We're calculating what those weights are and then summing them up, which is the
[01:11:28.520 --> 01:11:31.360]   same as a mean pooling, but those, those weights are different.
[01:11:31.720 --> 01:11:37.600]   So instead of using this pooled output, I'm taking this last hidden state here.
[01:11:37.600 --> 01:11:44.000]   And then reducing this dimension by using this sort of weighted sum.
[01:11:44.000 --> 01:11:48.240]   And then I get, if I put that through the attention block using the last hidden
[01:11:48.240 --> 01:11:52.960]   state, I end up with a one dimensional tensor, and then I can pass that to a
[01:11:52.960 --> 01:11:57.400]   linear layer and output my target that I'm trying to predict.
[01:11:58.600 --> 01:12:01.960]   I want to plug my colleague Aman Arora's session.
[01:12:01.960 --> 01:12:05.560]   He just explained attention very nicely today as well.
[01:12:05.560 --> 01:12:08.880]   But if you've gone through those, you can understand it from what I
[01:12:08.880 --> 01:12:12.520]   understand, please correct me if I'm wrong, but adding this block at a high
[01:12:12.520 --> 01:12:18.640]   level would like just tell the model which words to pay attention to basically.
[01:12:18.640 --> 01:12:19.400]   Yeah.
[01:12:19.400 --> 01:12:20.080]   Yeah.
[01:12:20.080 --> 01:12:23.080]   That's a, that's a, that's a really easy way to explain it.
[01:12:23.080 --> 01:12:23.360]   Yeah.
[01:12:23.360 --> 01:12:27.800]   So those weights that, uh, you know, if you're, if you're just taking mean
[01:12:27.800 --> 01:12:32.440]   pooling, those weights are equal for everything you want with the attention
[01:12:32.440 --> 01:12:37.600]   block, those weights will be bigger or smaller depending on what's interesting
[01:12:37.600 --> 01:12:43.480]   to the model, um, and it's a, it's a more learnable way of getting the model to
[01:12:43.480 --> 01:12:49.560]   learn, okay, given a bit of text, tell me what's the most interesting bit for the
[01:12:49.560 --> 01:12:55.240]   readability score rather than you implying, um, almost an inductive bias by
[01:12:55.240 --> 01:12:56.800]   just taking the mean of everything.
[01:12:56.800 --> 01:12:57.760]   Hmm.
[01:12:58.200 --> 01:13:01.680]   Um, so you get, it's another way of getting the model to learn about what's
[01:13:01.680 --> 01:13:04.120]   interesting to help it predict more accurately.
[01:13:04.120 --> 01:13:05.640]   Thanks.
[01:13:05.640 --> 01:13:06.600]   Thanks for clarifying that.
[01:13:06.600 --> 01:13:07.400]   That's cool.
[01:13:07.400 --> 01:13:13.720]   Um, so after I've put that through the attention block, I get a tensor of
[01:13:13.720 --> 01:13:19.280]   shape 768, which I can then throw into, uh, just a linear head.
[01:13:19.280 --> 01:13:26.160]   So if you, if you tell it that N hidden is 768, um, it'll be a linear head with
[01:13:26.760 --> 01:13:30.800]   an output of one, I've also got two here because I was playing around with the
[01:13:30.800 --> 01:13:35.960]   different loss function, um, called KL loss, um, where I was actually trying to
[01:13:35.960 --> 01:13:38.560]   predict the target and the standard error.
[01:13:38.560 --> 01:13:44.160]   So that other standard error, um, feature we were talking about at the start, um,
[01:13:44.160 --> 01:13:47.720]   or, you know, you can just predict a size of one.
[01:13:47.720 --> 01:13:55.200]   So if you go down to here, so here we've got the model, um, you do the forward
[01:13:55.200 --> 01:13:58.440]   pass, Oh, I forgot about the additional features.
[01:13:58.440 --> 01:13:58.800]   Sorry.
[01:13:58.800 --> 01:14:04.040]   So this is the output from the attention head.
[01:14:04.040 --> 01:14:07.400]   So this is the shape in the example with Roberta base.
[01:14:07.400 --> 01:14:12.440]   So this will be a 768 long one dimensional tensor.
[01:14:12.440 --> 01:14:15.160]   And then I've got some other features.
[01:14:15.160 --> 01:14:17.720]   Which I just concatenate onto that.
[01:14:17.720 --> 01:14:20.400]   So what are those other features?
[01:14:20.400 --> 01:14:27.600]   So if we go back to my datasets, uh, here I've got the, this is the normal
[01:14:27.600 --> 01:14:31.440]   PI torch dataset, I generate some additional features.
[01:14:31.440 --> 01:14:36.240]   So this is using tech stat, which, which we had in Ruchi's, um, notebook.
[01:14:36.240 --> 01:14:42.040]   And I've calculated the flesh reading ease and smog, smog in texts.
[01:14:42.040 --> 01:14:44.840]   And also, um, normalize those as well.
[01:14:45.840 --> 01:14:50.520]   Um, according to some numbers, just, just from that I calculated from the entire
[01:14:50.520 --> 01:14:56.920]   dataset, um, so those features, uh, keep, keep them back.
[01:14:56.920 --> 01:14:59.000]   So we just been calculating those numbers.
[01:14:59.000 --> 01:14:59.360]   Yes.
[01:14:59.360 --> 01:15:00.800]   I've got those two numbers.
[01:15:00.800 --> 01:15:01.760]   Exactly.
[01:15:01.760 --> 01:15:07.320]   So I, I got those two numbers, concatenate that to the output for the attention
[01:15:07.320 --> 01:15:11.520]   head, and then throw that into the linear layer, which is the rest.
[01:15:11.520 --> 01:15:13.080]   Awesome.
[01:15:13.080 --> 01:15:14.280]   That makes sense.
[01:15:14.280 --> 01:15:15.160]   That that's how you get.
[01:15:16.160 --> 01:15:16.640]   Yeah.
[01:15:16.640 --> 01:15:17.360]   Yeah.
[01:15:17.360 --> 01:15:21.280]   So that's how we get from go from the transformer output.
[01:15:21.280 --> 01:15:23.880]   You put that output through the attention head.
[01:15:23.880 --> 01:15:25.640]   So you get one dimensional tensor.
[01:15:25.640 --> 01:15:30.560]   You concatenate two more features onto that, and then put that through the
[01:15:30.560 --> 01:15:33.320]   linear layer to get your predicted target.
[01:15:33.320 --> 01:15:39.200]   And then you push that through the loss function and then that's what
[01:15:39.200 --> 01:15:40.360]   you use to train the model.
[01:15:42.240 --> 01:15:46.920]   I'm curious, were you like also monitoring, uh, how much is the GPU being used?
[01:15:46.920 --> 01:15:51.280]   Because like I have 30 nineties as well, uh, but Kaggle has P 100.
[01:15:51.280 --> 01:15:54.480]   So for inference, were you like accounting for batch sizes or
[01:15:54.480 --> 01:15:55.760]   like, did you think about that?
[01:15:55.760 --> 01:15:56.520]   Yeah.
[01:15:56.520 --> 01:16:02.520]   So some, so in my final, uh, let's see.
[01:16:02.520 --> 01:16:10.320]   So my final ensemble had these 38 models and some of these were pretty big.
[01:16:11.080 --> 01:16:14.760]   So some were doing inference on the Kaggle GPUs.
[01:16:14.760 --> 01:16:16.640]   I had to use smaller batch sizes for those.
[01:16:16.640 --> 01:16:19.040]   And it's quite hard because Kaggle doesn't give you much
[01:16:19.040 --> 01:16:20.480]   feedback when there's an error.
[01:16:20.480 --> 01:16:27.240]   So, so I know, so I know it's a real struggle.
[01:16:27.240 --> 01:16:31.200]   You, you, you know, your submission notebook throwing an error and you have no idea why.
[01:16:31.200 --> 01:16:37.080]   So you have to backtrack and see what you, um, see what, see what changed.
[01:16:37.080 --> 01:16:38.480]   So I had to order these models.
[01:16:38.480 --> 01:16:40.040]   Some of these were pretty big models.
[01:16:40.040 --> 01:16:43.880]   So I think I would know if I added this model and I was doing an error is like,
[01:16:43.880 --> 01:16:45.520]   well, maybe I'm running out of memory.
[01:16:45.520 --> 01:16:47.400]   So I'd have to use a smaller batch size for that.
[01:16:47.400 --> 01:16:53.560]   Um, so this, this competition was a bit strange because, um,
[01:16:53.560 --> 01:16:55.520]   the, the test set was very small.
[01:16:55.520 --> 01:17:01.720]   So for, for say one of these models, you could run, you could produce all
[01:17:01.720 --> 01:17:03.640]   your predictions in about 10 minutes.
[01:17:03.640 --> 01:17:07.800]   But this competition, they gave you three hours of GPU time.
[01:17:07.800 --> 01:17:09.800]   And I was like, okay, we've got three hours.
[01:17:10.240 --> 01:17:13.760]   I may as well throw as many models at it as I can in those three hours.
[01:17:13.760 --> 01:17:19.960]   So that's how I got into this, uh, this 38 model ensemble, which
[01:17:19.960 --> 01:17:26.160]   sounds a bit crazy when you say, you know, if you were working in, in a, in, in my
[01:17:26.160 --> 01:17:30.680]   day job, if I showed my boss a 38 model ensemble to predict something, he'd throw
[01:17:30.680 --> 01:17:35.560]   me out, but this, this is the world of competitions, right?
[01:17:36.400 --> 01:17:42.840]   Um, so, and actually the GPU utilization during the submission was actually quite
[01:17:42.840 --> 01:17:47.240]   low, most of that time is actually loading models because these models are huge.
[01:17:47.240 --> 01:17:48.640]   These are like gigabytes, right?
[01:17:48.640 --> 01:17:52.080]   I think all of these models all together was something like 170,
[01:17:52.080 --> 01:17:54.080]   180 gigabytes of model weights.
[01:17:54.080 --> 01:17:59.440]   Um, so most of that, you mentioned the trick, uh, as well in the discussion,
[01:17:59.440 --> 01:18:00.560]   maybe you could highlight that.
[01:18:00.560 --> 01:18:01.720]   How did you fit these in?
[01:18:01.720 --> 01:18:03.800]   Because Kaggle has a 20 GB limit.
[01:18:03.800 --> 01:18:04.480]   Yeah.
[01:18:04.480 --> 01:18:04.760]   Yeah.
[01:18:05.880 --> 01:18:06.240]   Actually.
[01:18:06.240 --> 01:18:10.760]   So I think I've still got, still got it here.
[01:18:10.760 --> 01:18:13.520]   So I'll show you, I'll show you what I did.
[01:18:13.520 --> 01:18:20.720]   So, so Kaggle has, um, yeah, a private quota of a hundred gigabytes.
[01:18:20.720 --> 01:18:33.600]   So, um, so that, that, that was, but, um, a hundred gigabytes of models only used
[01:18:33.600 --> 01:18:37.160]   probably an hour and a half of submission time, so I needed to get another
[01:18:37.160 --> 01:18:38.760]   hundred gigabytes in there somehow.
[01:18:38.760 --> 01:18:46.640]   So there's a trick, there's a trick that, um, someone, I think I've forgotten
[01:18:46.640 --> 01:18:50.040]   their name, I'll, I'll have to go find it, but they, they shared on the, on the
[01:18:50.040 --> 01:18:58.160]   discussion board, there's a trick that if you, if you make a notebook, uh, if you
[01:18:58.160 --> 01:19:04.080]   make a notebook and then you save something in the Kaggle.output folder of
[01:19:04.080 --> 01:19:08.880]   your notebook, um, those things just stay there and it doesn't count
[01:19:08.880 --> 01:19:10.440]   towards your storage quota.
[01:19:10.440 --> 01:19:17.760]   So, um, so I, what I was doing is I was uploading my models to a Google cloud
[01:19:17.760 --> 01:19:22.800]   bucket, and then I had this little notebook where I would pull stuff from my
[01:19:22.800 --> 01:19:27.600]   Google cloud bucket and then save them in the, um, Kaggle.working folder.
[01:19:27.600 --> 01:19:29.760]   And then I would save that notebook.
[01:19:29.760 --> 01:19:34.400]   And I've got, if I go back here, I've got so many of these notebooks just
[01:19:34.400 --> 01:19:40.080]   full of, you see all of these, um, timestamps, that that was what I was
[01:19:40.080 --> 01:19:40.720]   showing before.
[01:19:40.720 --> 01:19:44.440]   So all of these, all of these models have different model weights and you can
[01:19:44.440 --> 01:19:48.920]   attach that to your notebook as a dataset and it doesn't count to your quota.
[01:19:48.920 --> 01:19:52.600]   So that's how I managed to get up to the three hour runtime limit.
[01:19:52.920 --> 01:19:57.280]   Um, just by doing this, maybe, maybe Kaggle will catch on to this trick one day.
[01:19:57.280 --> 01:20:00.280]   I was just going to say, if we get a limit, we know who caused it.
[01:20:00.280 --> 01:20:03.720]   I probably should delete some of these now.
[01:20:03.720 --> 01:20:07.760]   But yeah, that's, I love it.
[01:20:07.760 --> 01:20:08.480]   That's incredible.
[01:20:08.480 --> 01:20:12.440]   I'm sure many people would just be like scratching their head if they found this
[01:20:12.440 --> 01:20:12.920]   out now.
[01:20:12.920 --> 01:20:18.440]   So yeah, it was a real concern for me because, um, at that time, if you were in
[01:20:18.440 --> 01:20:22.480]   a team, you had an advantage because you could use hundred plus hundred and you'd
[01:20:22.480 --> 01:20:23.520]   have more storage.
[01:20:23.520 --> 01:20:29.280]   So, but luckily I found this trick that someone kindly shared on the, on the
[01:20:29.280 --> 01:20:31.800]   discussion board and it worked out well for me.
[01:20:31.800 --> 01:20:35.680]   Um, but yeah, it was, it was, it was interesting.
[01:20:35.680 --> 01:20:41.400]   So, so let me see.
[01:20:41.400 --> 01:20:45.640]   I think we've understood so far, how did you do the feature engineering, those two
[01:20:45.640 --> 01:20:50.920]   features that we added the models, uh, what's left, I believe was the ensemble
[01:20:50.920 --> 01:20:51.240]   part.
[01:20:51.240 --> 01:20:52.200]   Ensemble part.
[01:20:52.200 --> 01:20:52.640]   Yeah.
[01:20:52.640 --> 01:20:59.120]   So because, uh, usually when you ensemble, so this is what I did.
[01:20:59.120 --> 01:21:07.960]   So for every, every model that, um, I had, I would generate a file called oops.
[01:21:07.960 --> 01:21:11.680]   So oops stands for out of fold predictions.
[01:21:12.640 --> 01:21:17.520]   So it's really important that when you're running your model in inference mode.
[01:21:17.520 --> 01:21:22.400]   So if you train on four folds and then you predict on the fifth fold, you save
[01:21:22.400 --> 01:21:28.680]   those out of fold predictions and you can, if we, maybe I'll go somewhere else.
[01:21:28.680 --> 01:21:31.960]   It'd be easier to show here.
[01:21:31.960 --> 01:21:34.280]   Here you go.
[01:21:34.280 --> 01:21:35.640]   Here's some more data sets.
[01:21:35.640 --> 01:21:39.560]   So I would save these predictions.
[01:21:39.560 --> 01:21:41.280]   So I concatenated that.
[01:21:41.320 --> 01:21:43.560]   So this is the actual train CSV data.
[01:21:43.560 --> 01:21:47.240]   And then I've added these two columns called fold and prediction.
[01:21:47.240 --> 01:21:51.600]   So these are my out of fold predictions and these are really useful.
[01:21:51.600 --> 01:21:57.800]   So if you're ensembling models, you would use these predictions to train some sort
[01:21:57.800 --> 01:22:01.400]   of a other model to predict your final answer.
[01:22:01.400 --> 01:22:09.440]   Um, so I used all of these out of four predictions, but the tricky bit was, so
[01:22:09.440 --> 01:22:12.760]   normally when you do this, you're supposed to use the same validation scheme.
[01:22:12.760 --> 01:22:18.480]   So you keep your folds the same, but the thing I was worried about because I was
[01:22:18.480 --> 01:22:21.800]   changing my random seed, all of these folds are slightly different.
[01:22:21.800 --> 01:22:23.320]   So I was really scared about leakage.
