
[00:00:00.000 --> 00:00:07.400]   All right. Welcome everyone.
[01:01:27.220 --> 01:01:29.820]   so a gated linear unit actually
[01:01:29.820 --> 01:01:33.940]   defines like a separate weight matrix as part of the activation.
[01:01:33.940 --> 01:01:39.740]   And then a swish is like a sigmoid activation
[01:01:39.740 --> 01:01:41.500]   that applies to one part of the weight and not the other.
[01:01:41.500 --> 01:01:44.460]   I've code for all of this. It works better.
[01:01:44.460 --> 01:01:49.420]   This is actually the activation of choice now in most transformer implementations.
[01:01:49.420 --> 01:01:51.020]   So Lama was trained with this,
[01:01:51.020 --> 01:01:55.060]   Palm was trained with this, works really well.
[01:01:55.060 --> 01:02:00.860]   One thing that folks noticed is that moving the layer norm to happen,
[01:02:00.860 --> 01:02:07.340]   you know, before you actually feed it through the attention or the MLP layers instead of
[01:02:07.340 --> 01:02:11.780]   after is a more stabilizing force is actually kind of important.
[01:02:11.780 --> 01:02:14.660]   Also a layer norm has trainable weights.
[01:02:14.660 --> 01:02:16.580]   So some papers decide to be like,
[01:02:16.580 --> 01:02:20.980]   you don't actually need these trainable parameters for mean and variance.
[01:02:20.980 --> 01:02:23.500]   You can actually just like divide by the mean square
[01:02:23.500 --> 01:02:27.100]   or the RMS of like your tire activation feature.
[01:02:27.100 --> 01:02:28.940]   All things to just get rid of
[01:02:28.940 --> 01:02:31.700]   irrelevant flops because we're training massive models and we're
[01:02:31.700 --> 01:02:35.900]   trying to do the bigger model on the compute that we have.
[01:02:35.900 --> 01:02:40.860]   Oh, yeah, here's the code for like a swish glue activation and an RMS norm.
[01:02:40.860 --> 01:02:42.220]   So swish glue is like,
[01:02:42.220 --> 01:02:44.380]   so the Silly is like basically a sigmoid,
[01:02:44.380 --> 01:02:46.580]   a projection layer is basically saying like let's take
[01:02:46.580 --> 01:02:50.260]   this input feature projected into like two separate chunks.
[01:02:50.260 --> 01:02:53.260]   One chunk becomes like a gating value kind of like
[01:02:53.260 --> 01:02:57.300]   in a gated recurrent unit in like the RNN literature.
[01:02:57.300 --> 01:02:59.540]   One becomes the actual value,
[01:02:59.540 --> 01:03:03.100]   you apply the sigmoid to the gate and then multiply it element-wise with
[01:03:03.100 --> 01:03:06.620]   the value and you get your new thing, works really well.
[01:03:06.620 --> 01:03:10.180]   An RMS norm is like literally just dividing by the norm
[01:03:10.180 --> 01:03:13.940]   of the vector instead of like trying to learn anything fancy.
[01:03:13.940 --> 01:03:17.820]   Cool. This is what the modern transform looks like.
[01:03:17.820 --> 01:03:21.940]   So that's it for the evolution of the transformer.
[01:03:21.940 --> 01:03:23.420]   As far as I know,
[01:03:23.420 --> 01:03:26.860]   nothing in the last two weeks have like changed drastically from this.
[01:03:26.860 --> 01:03:29.900]   In the last two weeks. To what extent,
[01:03:29.900 --> 01:03:34.500]   let's say we are doing a fine-tune instead of like the full train,
[01:03:34.500 --> 01:03:36.660]   or we're doing like lower on top of it.
[01:03:36.660 --> 01:03:41.220]   How would we still want to follow these kinds of guidelines or these specific to
[01:03:41.220 --> 01:03:45.140]   just doing all of the data doing a full pre-train?
[01:03:45.140 --> 01:03:46.860]   Yeah. So question is,
[01:03:46.860 --> 01:03:50.420]   what of this do we really need if we're fine-tuning,
[01:03:50.420 --> 01:03:52.460]   or if we're kind of doing like parameter efficient fine-tuning,
[01:03:52.460 --> 01:03:54.380]   like is this only necessary for pre-training?
[01:03:54.380 --> 01:04:00.540]   So I've started using the Swish Glue instead of like any other activation like everywhere,
[01:04:00.540 --> 01:04:02.340]   even for like a two-layer MLP,
[01:04:02.340 --> 01:04:04.540]   tends to work better.
[01:04:04.540 --> 01:04:07.340]   So take that with a grain of salt.
[01:04:07.340 --> 01:04:10.540]   Everything else you can probably not care about.
[01:04:10.540 --> 01:04:16.180]   The RMS norm, the pre-norm is probably just like a general rule of thumb if you're adding
[01:04:16.180 --> 01:04:19.980]   any transformer layers just because it is like demonstrably more stable,
[01:04:19.980 --> 01:04:22.140]   but other than that, no.
[01:04:22.900 --> 01:04:30.300]   Other questions here before we move to how to train on lots and lots of compute.
[01:04:30.300 --> 01:04:35.500]   Cool. So let's talk about training at scale.
[01:04:35.500 --> 01:04:40.940]   So I'll start with a story, my story.
[01:04:40.940 --> 01:04:44.740]   Okay. So I am not old,
[01:04:44.740 --> 01:04:50.340]   but I have seen a few things as far as language models have gone.
[01:04:50.340 --> 01:04:55.940]   So like 2018 is when I think did my first deep learning tutorial.
[01:04:55.940 --> 01:04:59.740]   I trained a MNIST like the typical like two-layer,
[01:04:59.740 --> 01:05:03.060]   four-layer MLP for classification.
[01:05:03.060 --> 01:05:04.940]   There's actually a line there.
[01:05:04.940 --> 01:05:09.660]   It's the 100,000 parameter line. That's 2018.
[01:05:09.660 --> 01:05:12.700]   As I kind of start my PhD in 2019,
[01:05:12.700 --> 01:05:14.220]   I'm doing more NLP stuff.
[01:05:14.220 --> 01:05:15.700]   I'm looking at like word vectors,
[01:05:15.700 --> 01:05:18.500]   RNNs, some more sophisticated things.
[01:05:18.500 --> 01:05:21.460]   I'm getting up to a million parameters.
[01:05:21.460 --> 01:05:26.100]   2020, I kind of branch out from like the small NLP stuff I'm doing to like
[01:05:26.100 --> 01:05:30.420]   more intensive NLP so looking at tasks like summarization,
[01:05:30.420 --> 01:05:33.580]   training models with like 10 million parameters.
[01:05:33.580 --> 01:05:39.580]   Then by 2021, like the biggest models I was training,
[01:05:39.580 --> 01:05:41.660]   was like when I switched into multimodality robotics,
[01:05:41.660 --> 01:05:45.460]   looking at visual question answering, 18 million parameters.
[01:05:45.460 --> 01:05:47.660]   At the time, the standard pipeline for me,
[01:05:47.660 --> 01:05:49.340]   and I think this was the standard pipeline for a lot of
[01:05:49.340 --> 01:05:52.020]   grad students that I talked to then,
[01:05:52.020 --> 01:05:55.140]   is like I'd be able to train most of my things on
[01:05:55.140 --> 01:06:01.220]   one GPU or even my laptop CPU for like a maximum of a few hours.
[01:06:01.220 --> 01:06:03.620]   I got it is what a training run would take,
[01:06:03.620 --> 01:06:07.020]   at least for like most of the things I was doing on a day-to-day.
[01:06:07.020 --> 01:06:12.620]   But in 2021, Percy's like,
[01:06:12.620 --> 01:06:15.260]   "Hey, this GPT-3 thing seems cool.
[01:06:15.260 --> 01:06:18.140]   Let's at least figure out if we can get an academic lab to
[01:06:18.140 --> 01:06:21.420]   like try and train a GPT-2 like the earlier generation."
[01:06:21.420 --> 01:06:24.700]   So clocking in at like 124 million parameters,
[01:06:24.700 --> 01:06:26.700]   which is notably an order of
[01:06:26.700 --> 01:06:28.860]   magnitude bigger than anything I trained at the time.
[01:06:28.860 --> 01:06:31.260]   So why I decided to do this is still beyond me,
[01:06:31.260 --> 01:06:33.300]   but I learned a lot of useful things.
[01:06:33.300 --> 01:06:37.860]   One of the useful things that I learned is that training
[01:06:37.860 --> 01:06:40.940]   a 124 million parameter model on
[01:06:40.940 --> 01:06:44.300]   a decent GPU that we had access to at the time,
[01:06:44.300 --> 01:06:47.420]   with a batch size greater than four would go out of memory,
[01:06:47.420 --> 01:06:50.340]   which is bad because a batch size of four is small,
[01:06:50.340 --> 01:06:53.660]   and we wanted to ideally train with like a batch size of 512.
[01:06:53.660 --> 01:06:56.460]   So there was a simple trick,
[01:06:56.460 --> 01:06:57.980]   and it's called gradient accumulation,
[01:06:57.980 --> 01:07:00.140]   which is like I'm going to run batch sizes of
[01:07:00.140 --> 01:07:04.060]   four however many times it takes to get into 512,
[01:07:04.060 --> 01:07:05.740]   and then do an update after
[01:07:05.740 --> 01:07:07.860]   processing all of those batches sequentially.
[01:07:07.860 --> 01:07:10.140]   So I'm just going to keep accumulating the gradients,
[01:07:10.140 --> 01:07:11.580]   and PyTorch makes that really easy.
[01:07:11.580 --> 01:07:14.060]   It's just a for loop and an if statement.
[01:07:14.060 --> 01:07:16.860]   But if you do the math,
[01:07:16.860 --> 01:07:20.900]   it's like 100 days to train on that single GPU for 400,000 steps.
[01:07:20.900 --> 01:07:26.340]   So how do we go from this clock of 100 days to something reasonable?
[01:07:26.340 --> 01:07:27.940]   That's what we're going to talk about.
[01:07:27.940 --> 01:07:32.180]   So with the scaling toolbox,
[01:07:32.180 --> 01:07:37.300]   at least as far as we were concerned,
[01:07:37.300 --> 01:07:42.780]   ended up looking like three different parts across
[01:07:42.780 --> 01:07:45.460]   16 GPUs because Percy and Chris Ray,
[01:07:45.460 --> 01:07:48.900]   and I think Chris and Dan and Chris Manning,
[01:07:48.900 --> 01:07:51.220]   and the NLP group decided to invest upfront in
[01:07:51.220 --> 01:07:53.660]   like really powerful GPU machines,
[01:07:53.660 --> 01:07:57.100]   so we could actually train on like 16 GPUs at once.
[01:07:57.100 --> 01:08:02.260]   For reference, 16 GPUs on AWS,
[01:08:02.260 --> 01:08:06.580]   just rent on an hourly basis is 56 bucks an hour now.
[01:08:06.580 --> 01:08:11.460]   Fifty six bucks an hour if you want to just like sit on them.
[01:08:11.460 --> 01:08:15.180]   But if you're willing to like let anyone who has
[01:08:15.180 --> 01:08:18.140]   the money and like wants to sit on them like preempt you,
[01:08:18.140 --> 01:08:19.980]   you can get them for 16 bucks an hour.
[01:08:19.980 --> 01:08:23.180]   So like across four days like that's not the worst.
[01:08:23.180 --> 01:08:27.340]   It's like not great, but totally doable.
[01:08:27.340 --> 01:08:32.420]   So the scaling toolbox we ended up looking at was data parallelism.
[01:08:32.420 --> 01:08:35.220]   You can think about this as like literally just divide and conquer.
[01:08:35.220 --> 01:08:40.860]   How do I just parallelize work across all of these GPUs instead of one?
[01:08:40.860 --> 01:08:46.820]   Mixed precision training, and we're going to talk a little bit about what that means.
[01:08:46.820 --> 01:08:49.620]   Then this interesting idea called zero redundancy,
[01:08:49.620 --> 01:08:52.820]   which is about minimizing the memory footprint of training.
[01:08:52.820 --> 01:08:58.140]   Then later on as you want to scale up to hundreds of billions of
[01:08:58.140 --> 01:09:05.340]   parameters on 256, 512, 1024, 2048 GPUs.
[01:09:05.340 --> 01:09:09.700]   We'll talk like there are things that come in handy like model parallelism.
[01:09:09.700 --> 01:09:14.700]   There are things to consider like hardware and software limitations.
[01:09:14.700 --> 01:09:18.740]   But some of you might be here looking at me which is like, okay,
[01:09:18.740 --> 01:09:21.060]   do I need any of this stuff if I'm not training really big models?
[01:09:21.060 --> 01:09:23.620]   Like if I'm just fine tuning stuff.
[01:09:23.620 --> 01:09:31.020]   A lot of these tips and tricks like you may not have access to 100 GPUs or
[01:09:31.020 --> 01:09:35.460]   even eight, but you might have access to two or four, comes in handy.
[01:09:35.460 --> 01:09:40.100]   A lot of the ideas here are still ideas that I'm using when I'm training stuff on
[01:09:40.100 --> 01:09:43.020]   my laptop or when I'm trying to run inference with the latest big model
[01:09:43.020 --> 01:09:45.140]   that is publicly released, so it's useful.
[01:09:45.140 --> 01:09:52.180]   But please ask questions if things become too hazy or too not useful.
[01:09:52.180 --> 01:09:53.700]   >> [INAUDIBLE]
[01:09:53.700 --> 01:09:55.060]   >> Mm-hm.
[01:09:55.060 --> 01:09:58.180]   >> For people relying on Colab,
[01:09:58.180 --> 01:10:01.780]   data parallelism might actually not help.
[01:10:01.780 --> 01:10:04.980]   >> So Colab, yeah, Colab, you're still limited to a single GPU.
[01:10:04.980 --> 01:10:08.940]   >> And I'm guessing zero redundancy might help.
[01:10:08.940 --> 01:10:15.660]   >> So mixed precision would help, kind of, definitely for running inference.
[01:10:15.660 --> 01:10:18.140]   And zero redundancy would also help running inference.
[01:10:18.140 --> 01:10:20.380]   >> What's the zero redundancy?
[01:10:20.380 --> 01:10:24.940]   >> So zero redundancy has an add-on that they wrote up in a paper later called
[01:10:24.940 --> 01:10:28.500]   zero infinity, which is like, what if I didn't put all my weights on the GPU at
[01:10:28.500 --> 01:10:34.300]   once, what if I put some of them in CPU RAM or even in NVMe SSD storage?
[01:10:35.100 --> 01:10:39.460]   So actually turning your laptop into a more powerful workhorse than a Colab GPU.
[01:10:39.460 --> 01:10:47.340]   Cool, so this is a toy example kind of going through data parallelism.
[01:10:47.340 --> 01:10:54.700]   We're running low on time-ish, so this is MNIST with an MLP.
[01:10:54.700 --> 01:10:56.340]   We're trying to do classification.
[01:10:56.340 --> 01:10:59.180]   It's kind of the typical PyTorch workflow.
[01:10:59.180 --> 01:11:01.580]   I'm going to define an N dot module.
[01:11:01.580 --> 01:11:04.420]   I'm going to define a batch size, a data loader that's going to load from
[01:11:04.420 --> 01:11:06.020]   the TorchVision data set.
[01:11:06.020 --> 01:11:10.420]   And then I'm just going to run lots and lots of gradient steps.
[01:11:10.420 --> 01:11:17.620]   The idea here is, how do we parallelize this across multiple workers,
[01:11:17.620 --> 01:11:19.140]   multiple GPUs?
[01:11:19.140 --> 01:11:24.420]   Well, that batch size you see there is totally divisible, especially given that
[01:11:24.420 --> 01:11:28.220]   what we're doing at the end when we kind of compute the loss is just take an average.
[01:11:28.220 --> 01:11:31.860]   An average of averages is still the average.
[01:11:31.860 --> 01:11:33.420]   That's the idea we're going to work with.
[01:11:33.420 --> 01:11:36.460]   The mean of means is still the global mean.
[01:11:36.460 --> 01:11:41.020]   So just like in CPU land where you can kind of think about SIMD instructions,
[01:11:41.020 --> 01:11:42.860]   like single instruction, multiple data.
[01:11:42.860 --> 01:11:45.500]   Right, so this is kind of how most graphics and
[01:11:45.500 --> 01:11:48.260]   media operations work on your laptops.
[01:11:48.260 --> 01:11:51.220]   We're going to now think about the SPMD paradigm.
[01:11:51.220 --> 01:11:54.980]   I'm going to write one program, and it's just going to automatically scale to
[01:11:54.980 --> 01:11:56.900]   being split across our running machines,
[01:11:56.900 --> 01:11:59.460]   because we're going to split the data across multiple machines.
[01:11:59.460 --> 01:12:03.140]   It seems hard, but as of PyTorch 1.4,
[01:12:03.140 --> 01:12:06.220]   a lot of the hard parts are taken care of for you.
[01:12:06.220 --> 01:12:09.060]   These are the only lines you need to change in the implementation.
[01:12:09.060 --> 01:12:11.220]   Two of them are import statements.
[01:12:11.220 --> 01:12:14.780]   So the first thing we're going to do is we're going to just create something
[01:12:14.780 --> 01:12:17.980]   called a distributed sampler, which is going to automatically partition our data
[01:12:17.980 --> 01:12:20.580]   across the number of workers we define up front.
[01:12:20.580 --> 01:12:23.820]   Right, we're defining a world size of eight, so
[01:12:23.820 --> 01:12:25.500]   that means we're training on eight GPUs.
[01:12:25.500 --> 01:12:28.380]   So this is going to partition our data into eight different subsets that each
[01:12:28.380 --> 01:12:29.540]   worker gets to go through.
[01:12:29.540 --> 01:12:34.860]   We're going to wrap our nn.module with this nice little wrapper,
[01:12:34.860 --> 01:12:36.980]   this distributed data parallel wrapper,
[01:12:36.980 --> 01:12:40.340]   which is going to sync the gradients for us behind the scenes.
[01:12:40.340 --> 01:12:45.940]   And then we're going to run this with a special command called Cortron,
[01:12:45.940 --> 01:12:48.660]   which is just going to inject a bunch of environment variables so
[01:12:48.660 --> 01:12:53.020]   that we can get some statistics about our local rank,
[01:12:53.020 --> 01:12:55.300]   who's the guy who should be printing stuff to the screen,
[01:12:55.300 --> 01:13:00.060]   who's the guy who should be logging stuff, where each worker lives.
[01:13:00.060 --> 01:13:05.260]   And that's about it, and you can do all of this, and
[01:13:05.260 --> 01:13:07.860]   you just parallelize naively across 16 GPUs.
[01:13:07.860 --> 01:13:13.460]   You get not quite a 16x speedup, because there is some overhead from communication.
[01:13:13.460 --> 01:13:16.140]   It's like seven days, that's cool.
[01:13:16.140 --> 01:13:19.620]   It was not good enough, because we were trying to train lots of models
[01:13:19.620 --> 01:13:26.060]   reproducibly, five seeds for like ten different model types, so like 50 models.
[01:13:26.060 --> 01:13:28.540]   So we needed to go a little faster than this.
[01:13:28.540 --> 01:13:30.900]   So let's talk about memory footprints.
[01:13:30.900 --> 01:13:35.540]   When I am training any model with an atom optimizer,
[01:13:35.540 --> 01:13:40.980]   how much memory does just storing that model and the optimizer weights take up?
[01:13:43.980 --> 01:13:50.260]   So in 32-bit precision, our model's going to have parameters,
[01:13:50.260 --> 01:13:54.100]   where each parameter is stored with 32 bits, that's a float.
[01:13:54.100 --> 01:13:56.380]   Gradients, 32 bits.
[01:13:56.380 --> 01:13:58.380]   Now your optimizer is also going to do this weird thing where it's going to have
[01:13:58.380 --> 01:14:00.540]   a copy, its own separate copy of the parameters,
[01:14:00.540 --> 01:14:02.940]   like kind of duplicating a little bit of work there.
[01:14:02.940 --> 01:14:04.660]   That's also 32 bits.
[01:14:04.660 --> 01:14:08.540]   And then atom tracks momentum and variance, like the first and
[01:14:08.540 --> 01:14:10.940]   second order of the gradients.
[01:14:10.940 --> 01:14:14.580]   So that's another 64 bytes, or bits, right there.
[01:14:14.580 --> 01:14:19.300]   So the lower bound on static memory, just like storing this stuff on a GPU,
[01:14:19.300 --> 01:14:21.620]   is 20 bytes times the number of parameters that you have.
[01:14:21.620 --> 01:14:26.980]   This doesn't include activations at all for these larger transform models.
[01:14:26.980 --> 01:14:31.380]   If I want to keep around every buffer, like every intermediate matrix
[01:14:31.380 --> 01:14:34.420]   as I pass it through the network, that takes up way more space.
[01:14:34.420 --> 01:14:37.020]   But this at least gives us something that we can reason about.
[01:14:38.700 --> 01:14:42.260]   The training implications of this is that if I want to fit a model with
[01:14:42.260 --> 01:14:46.140]   a billion parameters, that's going to take about 18 gigs resting,
[01:14:46.140 --> 01:14:49.900]   31 gigs of GPU RAM with a batch size of one.
[01:14:49.900 --> 01:14:56.100]   Which is problematic, because most GPUs then cap out at 24 gigs.
[01:14:56.100 --> 01:14:59.740]   The really expensive ones now have like 40 or 80, but this is still bad.
[01:14:59.740 --> 01:15:04.980]   175 billion parameters would take three terabytes of RAM,
[01:15:04.980 --> 01:15:08.180]   not storage, just RAM, without activations.
[01:15:08.180 --> 01:15:10.860]   With activations, it's probably looking like ten terabytes.
[01:15:10.860 --> 01:15:11.380]   Good luck.
[01:15:11.380 --> 01:15:13.740]   >> [INAUDIBLE]
[01:15:13.740 --> 01:15:15.540]   >> The numbers in bold are batch size one.
[01:15:15.540 --> 01:15:19.180]   Numbers not in bold are just putting it on the thing.
[01:15:19.180 --> 01:15:25.300]   And things you should know about floats,
[01:15:25.300 --> 01:15:29.020]   it was a standard defined in this IEEE document.
[01:15:29.020 --> 01:15:34.620]   You have a one bit sign, eight bit exponent, 23 bit scientific notation,
[01:15:34.620 --> 01:15:37.460]   like all the stuff that happens after the exponent.
[01:15:37.460 --> 01:15:39.900]   Wide range, up to 1E38.
[01:15:39.900 --> 01:15:41.940]   And the question is, do you need that range?
[01:15:41.940 --> 01:15:45.060]   Answer is, kind of, but not really.
[01:15:45.060 --> 01:15:47.220]   So the mixed precision memory footprint.
[01:15:47.220 --> 01:15:50.700]   If I'm training a model in mixed precision, what that means is that I'm just
[01:15:50.700 --> 01:15:53.900]   going to run everything in a forward pass and
[01:15:53.900 --> 01:15:59.940]   part of the backwards pass in 16 bit precision instead of 32 bit precision.
[01:15:59.940 --> 01:16:03.380]   Notably, what that means is now I'm storing my parameters in 16 bits,
[01:16:03.380 --> 01:16:05.660]   my gradient in 16 bits.
[01:16:05.660 --> 01:16:08.820]   All of those intermediate activations that take up lots and
[01:16:08.820 --> 01:16:12.540]   lots and lots of memory, especially as you go bigger, are halved, which is great.
[01:16:12.540 --> 01:16:17.900]   But the weird part about mixed precision is not everything is mixed precision.
[01:16:17.900 --> 01:16:21.700]   So your optimizer to stably update your model still needs the 32 bit
[01:16:21.700 --> 01:16:25.660]   parameter copies, your 32 bit momentum, 32 bit variance.
[01:16:25.660 --> 01:16:31.260]   But you've dropped four bytes, and those four bytes are kind of useful.
[01:16:31.260 --> 01:16:34.940]   Yet training with mixed precision, at least a couple years ago, and
[01:16:34.940 --> 01:16:40.660]   it's still mostly true now, is still way faster than training with full precision.
[01:16:40.660 --> 01:16:45.580]   And the reason for that is most NVIDIA GPUs,
[01:16:45.580 --> 01:16:51.860]   starting with the Volta cards, started shipping with these things called tensor cores.
[01:16:51.860 --> 01:16:56.940]   Tensor cores are basically the individual logical units on a GPU that are responsible
[01:16:56.940 --> 01:16:58.660]   for matrix multiplies.
[01:16:58.660 --> 01:17:01.860]   Your GPU is really good at accelerating neural network training because it's
[01:17:01.860 --> 01:17:04.020]   really good at doing matrix multiplies.
[01:17:04.020 --> 01:17:11.660]   These things are optimized for 4x4 to 16x16 size shards.
[01:17:11.660 --> 01:17:13.460]   If you're training in 16 bit precision,
[01:17:13.460 --> 01:17:17.580]   you can actually end up using way more tensor cores than if you were using
[01:17:17.580 --> 01:17:18.460]   32 bit precision.
[01:17:18.460 --> 01:17:23.420]   And so you're able to get a ton of speed ups just because you're able to tap
[01:17:23.420 --> 01:17:26.460]   into the underlying hardware of your system more frequently.
[01:17:26.460 --> 01:17:31.380]   As of the Ampere style cards, like the A100s or
[01:17:31.380 --> 01:17:36.140]   the more recent 3090s, 3090TIs, 4090s.
[01:17:36.140 --> 01:17:41.420]   Those start shipping with these cores that are able to do float 32 precision, but
[01:17:41.420 --> 01:17:43.940]   are still even faster for 16 bit precision.
[01:17:43.940 --> 01:17:46.740]   So when you can, train with 16 bit precision.
[01:17:46.740 --> 01:17:54.020]   All right, this shaves a day off of our small scale training.
[01:17:54.020 --> 01:17:57.380]   This shaves off way more, especially as you go bigger.
[01:17:58.700 --> 01:18:02.460]   And now the final bit is how do we eliminate the redundancies?
[01:18:02.460 --> 01:18:04.380]   Right, so in standard data parallelism.
[01:18:04.380 --> 01:18:06.020]   Yeah.
[01:18:06.020 --> 01:18:07.020]   >> I have a question.
[01:18:07.020 --> 01:18:10.220]   So why do you need the 32 bit precision for the optimizer, but
[01:18:10.220 --> 01:18:11.140]   what is it for the model?
[01:18:11.140 --> 01:18:16.500]   >> So when you are estimating the gradients, precision matters more.
[01:18:16.500 --> 01:18:18.300]   You want that full range.
[01:18:18.300 --> 01:18:23.700]   Specifically, you want those 23 bits that kind of correspond to
[01:18:23.700 --> 01:18:27.460]   everything that has data to be meaningful.
[01:18:27.460 --> 01:18:32.380]   Because while the full range of float 32 is really, really big,
[01:18:32.380 --> 01:18:38.660]   it actually can't be super precise in the 0, 1 range, for example.
[01:18:38.660 --> 01:18:44.140]   So you kind of want as much there as possible to kind of ensure precision.
[01:18:44.140 --> 01:18:48.940]   Okay, so zero redundancy, standard data parallelism.
[01:18:48.940 --> 01:18:51.780]   You're basically storing everything on each GPU.
[01:18:51.780 --> 01:18:56.380]   Key idea is I don't need to store everything on every GPU.
[01:18:56.380 --> 01:18:59.100]   I just need to store some things on every GPU.
[01:18:59.100 --> 01:19:03.140]   So the model gets to stay on each GPU cuz the model has to do all the work.
[01:19:03.140 --> 01:19:06.140]   But the gradients, I can just split across the number of devices that I have.
[01:19:06.140 --> 01:19:09.580]   So half my gradients, if I have two GPUs, go on one device,
[01:19:09.580 --> 01:19:11.700]   half of them go on the other device.
[01:19:11.700 --> 01:19:12.900]   Same with the optimizer states.
[01:19:12.900 --> 01:19:15.340]   Half of them go on one device, half of them go on the other device.
[01:19:15.340 --> 01:19:17.460]   With this model of zero redundancy,
[01:19:17.460 --> 01:19:20.540]   you're actually not adding any extra communication cost.
[01:19:20.540 --> 01:19:24.620]   You just get free memory because you're just intelligently partitioning
[01:19:24.620 --> 01:19:26.780]   things across devices.
[01:19:26.780 --> 01:19:31.620]   Notice that this scales, you use less and
[01:19:31.620 --> 01:19:34.780]   less memory as you add more and more machines, right?
[01:19:34.780 --> 01:19:37.940]   So this is kind of like the biggest trick to start training 1 billion to
[01:19:37.940 --> 01:19:40.780]   10 billion parameter plus models.
[01:19:40.780 --> 01:19:43.260]   And now when you add this, you're at three days.
[01:19:43.260 --> 01:19:48.660]   >> So would you have to tell it what,
[01:19:48.660 --> 01:19:53.100]   cuz this would require things being slightly out of sync to optimize.
[01:19:53.100 --> 01:19:55.060]   Would you have to- >> So this actually doesn't require
[01:19:55.060 --> 01:19:58.700]   anything out of sync, because in a backwards pass with distributed data
[01:19:58.700 --> 01:20:05.700]   parallel, the individual updates already have to be synced across processes.
[01:20:05.700 --> 01:20:08.860]   If you take the loss across average and across all processes,
[01:20:08.860 --> 01:20:12.420]   that means that the gradients you apply have to be transferred as well.
[01:20:12.420 --> 01:20:15.860]   So this just basically does that work for you.
[01:20:15.860 --> 01:20:20.100]   We're gonna wrap up.
[01:20:20.100 --> 01:20:22.300]   You hit a communication wall, matrix multiplies,
[01:20:22.300 --> 01:20:24.860]   stop fitting on a device, so you start charting them.
[01:20:24.860 --> 01:20:27.980]   And then you have to start scheduling things wisely, and yeah, great.
[01:20:27.980 --> 01:20:32.140]   Fine tuning inference, there is a great library that you should use
[01:20:32.140 --> 01:20:34.780]   called Peft from Hugging Face, it's great, and that's it.
[01:20:34.780 --> 01:20:44.780]   [BLANK_AUDIO]

