
[00:00:00.000 --> 00:00:06.720]   for the vast majority of human existence we've been nomadic and we've done these kind of wider
[02:44:20.080 --> 02:44:26.480]   to prove it this is one of these you know end of my archaeological career chapters i'm either going to
[02:44:26.480 --> 02:44:33.120]   prove myself wrong or prove it but i think they used acids my dad's a chemist and he told me a long time
[02:44:33.120 --> 02:44:40.000]   ago that there's no way there's no naturally occurring acids but my current theory actually
[02:44:40.000 --> 02:44:46.880]   i got the idea initially from the show breaking bad i don't know if you ever saw that show but
[02:44:46.880 --> 02:44:52.720]   there's a point in which they're trying to dissolve a body yeah and they're using hydrofluoric acid and
[02:44:52.720 --> 02:44:58.720]   it goes right through the ceiling that hydrofluoric acid is so fascinating it you know it it won't go
[02:44:58.720 --> 02:45:08.640]   through plastic and you can also bring it in inert parts and then combine it um the the inca made tons
[02:45:08.640 --> 02:45:17.760]   of jewelry out of fluorite fluorite is big in the andes and they also mind a lot of things for gold and
[02:45:17.760 --> 02:45:26.480]   silver and the byproduct of that mining is sulfuric acid you put sulfuric acid and fluorite together
[02:45:27.360 --> 02:45:33.600]   and it's hydrofluoric acid and that will burn through andesite or anything and if you learned how to do
[02:45:33.600 --> 02:45:40.000]   it you know judiciously and then you didn't care whether you know servants lost a an arm or two
[02:45:40.000 --> 02:45:45.600]   then you could actually use them to fuse these together and i i think they're fused together
[02:45:46.320 --> 02:45:55.520]   i i asked the city of cuzco if i could take some core samples and they said go away gringo don't touch
[02:45:55.520 --> 02:46:02.320]   our walls so this actually this next this next time i'm going to go try to talk to the more quechua
[02:46:02.320 --> 02:46:09.680]   authorities in a place called oleantaytambo and maybe i can convince them but right now they just think i'm
[02:46:09.680 --> 02:46:18.400]   a i'm a weird ass gringo who wants to put holes in their walls it's a fascinating theory and so the
[02:46:18.400 --> 02:46:23.760]   how could you get to the the bottom of that so getting core samples to see if there's some kind
[02:46:23.760 --> 02:46:30.160]   of trace chemists i'm working with say that if there was hydrofluoric acid in between these that
[02:46:30.160 --> 02:46:37.200]   a core sample right along a seam they they can separate out the elements in there and detect
[02:46:37.200 --> 02:46:42.640]   whether there was actually elements of hydrofluoric acid i wanted to go straight to burning rocks but
[02:46:42.640 --> 02:46:48.080]   they were like no i mean we already know that's true i mean yeah we can burn some rocks but it would
[02:46:48.080 --> 02:46:53.840]   happen that's just chemistry we gotta we gotta prove that it would happen in the walls so go get us samples
[02:46:53.840 --> 02:46:59.840]   and that was before covid and all sorts of you know you know how it is you probably are the same guy where
[02:46:59.840 --> 02:47:05.520]   you've got a a thousand ideas and you know the ones that that are fruitful you run with and the other
[02:47:05.520 --> 02:47:11.520]   ones you'll get back to you that would be fascinating if true and i hope you do show that it's true or follow
[02:47:11.520 --> 02:47:21.520]   either one yeah i'll try to disprove it yeah i wonder if we discount how much amazing stuff a collection of
[02:47:21.520 --> 02:47:29.520]   humans can do because it just feels like if a large number of humans are eight are just working
[02:47:29.520 --> 02:47:37.040]   a little bit chipping away at stuff at scale that can do miraculous things so the question is how can
[02:47:37.040 --> 02:47:45.440]   a large number of humans be motivated to do a thing um because i just when we think about like stonehenger
[02:47:45.440 --> 02:47:51.440]   some very challenging architectural construction we don't think about a large number of humans working
[02:47:51.440 --> 02:47:59.200]   together well you know that large number of humans uh are motivated to work together by a small number of
[02:47:59.200 --> 02:48:06.160]   administrators who are dynamic and convincing in some way or another right one of my favorite quotes is
[02:48:06.160 --> 02:48:11.840]   and i'm probably going to misquote it here but i think it's margaret mead who said never underestimate
[02:48:11.840 --> 02:48:20.000]   the power of small groups working together and the truth is that those are the only people that have
[02:48:20.000 --> 02:48:27.280]   ever changed the world that small dedicated groups of people are what changed the world yeah and they inspire big
[02:48:27.280 --> 02:48:35.440]   groups of people to embrace their vision yeah yeah yeah i think we sometimes underestimate how much humans
[02:48:35.440 --> 02:48:41.520]   can do uh across time and we are way less capable than we used to be i mean the average human had all
[02:48:41.520 --> 02:48:48.800]   sorts of skills that at least i personally do not you know i i i'm wearing a shirt but i i can't make a shirt
[02:48:49.840 --> 02:48:58.960]   that's for somebody else to do you've also lectured about uh which i really enjoyed about north america
[02:48:58.960 --> 02:49:06.480]   and also helped teach me that there's a lot more complex societies going on here
[02:49:06.480 --> 02:49:14.480]   for a long period of time so maybe can we start at the beginning who were the early humans in north america
[02:49:15.200 --> 02:49:21.360]   well we go through that paleo indian and archaic period for thousands of years you know as we
[02:49:21.360 --> 02:49:29.440]   started this conversation probably you know 30 000 years as a conservative now humans first enter the
[02:49:29.440 --> 02:49:38.240]   americas but the first cultures we get here are mound builders around the mississippi and to the east
[02:49:38.880 --> 02:49:45.200]   and then also a totally separate group in the what we call the american southwest now the four corners
[02:49:45.200 --> 02:49:52.320]   who will develop into mostly the people we call the pueblo people who are still there today like zuni and
[02:49:52.320 --> 02:50:02.720]   hopi people so we've got these two clusters that the very first major community in north america is in the most
[02:50:02.720 --> 02:50:10.240]   unlikely place it's in northern louisiana people think i'm crazy when i say this but there is a pyramid
[02:50:10.240 --> 02:50:20.960]   in northern louisiana a big one at a site called poverty point that is uh 3 500 years old so it's the same age
[02:50:20.960 --> 02:50:29.760]   as the pyramids in egypt and it is a giant thing just poking out of the bayous of louisiana
[02:50:31.200 --> 02:50:37.120]   and uh people don't believe me when i say it but it's there the mound builders what was that society
[02:50:37.120 --> 02:50:41.760]   like in comparison to everything else we've been talking about in mesoamerica they they evolved over
[02:50:41.760 --> 02:50:46.400]   thousands of years we call them mound builders this is something i you know object to i think we should
[02:50:46.400 --> 02:50:54.800]   have a better we do the last uh version of them we call the mississippians now but generally speaking
[02:50:54.800 --> 02:51:00.640]   we call all these guys mound builders but what they built were pyramids they look like mounds now
[02:51:00.640 --> 02:51:06.400]   and they didn't build them out of stone that's you know that's kind of our just inherent western bias
[02:51:06.400 --> 02:51:13.200]   something that's built out of stone is is sophisticated and something that's built out of dirt is rudimentary
[02:51:14.080 --> 02:51:22.640]   but in their full living form they did have cores of dirt but then they also had uh kind of clay caps so
[02:51:22.640 --> 02:51:30.080]   they had terraces they had whole complexes of buildings up on top there were kings that lived up there
[02:51:30.880 --> 02:51:37.440]   there's uh the the biggest of the mississippian cities is called cahokia and it's right outside of
[02:51:37.440 --> 02:51:47.440]   uh st louis and it was huge it had a population of 20 000 people and pyramids all over the place a huge
[02:51:47.440 --> 02:51:56.320]   palisade wall around it it was absolutely gigantic a thriving metropolis and we in america have kind
[02:51:56.320 --> 02:52:04.720]   of a collective amnesia like we we never hear about these massive civilizations cahokia was the the big
[02:52:04.720 --> 02:52:12.720]   first city but then it spread from the mississippi all the way to the atlantic there were hundreds and
[02:52:12.720 --> 02:52:20.480]   hundreds of these big cities that had you know five to ten thousand people each were they their own
[02:52:20.480 --> 02:52:26.720]   thing or is there some kind of thread connecting all of them they had a unified religion and culture they
[02:52:26.720 --> 02:52:33.200]   were again not an empire so there were warring city-states there were kind of uh territories that
[02:52:33.200 --> 02:52:40.160]   were owned by big kings and then the cities around them were kind of the subsidiary lords and kings
[02:52:40.720 --> 02:52:49.040]   and then one one one kingdom could either ally with a neighbor or have a fight so they were they were
[02:52:49.040 --> 02:52:56.320]   kind of uh countries i think for yeah we could safely say there were different countries within
[02:52:56.320 --> 02:53:03.840]   this patchwork that was eastern united states and you know it's so weird that we don't know this because
[02:53:04.640 --> 02:53:11.760]   it was clearly documented by the by the spanish it's this i'm not talking about just archaeology we find
[02:53:11.760 --> 02:53:19.760]   them in archaeology now but hernando de soto landed in florida and went for three years from he went up
[02:53:19.760 --> 02:53:28.000]   into the carolinas and over down into alabama and louisiana and he's the first one to see the mississippi
[02:53:28.000 --> 02:53:36.640]   up there but for three years he went through city after city after city unfortunately decimating them
[02:53:36.640 --> 02:53:43.920]   eating all their corn giving them diseases but uh i mean the documentation is clearly there he met
[02:53:43.920 --> 02:53:52.720]   collectively millions of people in a very sophisticated and uniform civilization those disease
[02:53:53.920 --> 02:54:01.520]   and uh stealing of resources but was there like explicit murdering going on unfortunately yeah he
[02:54:01.520 --> 02:54:10.720]   was a murderer and a psycho and a liar he uh he he snowed them that he was some kind of deity actually
[02:54:10.720 --> 02:54:17.040]   learned a trick from the inca who he was with pizarro in his first run and got went back to spain was
[02:54:17.040 --> 02:54:24.400]   rich had a wife a castle then he got bored and he decided to have a reign of terror on northern america
[02:54:24.400 --> 02:54:34.160]   for three years but he had people uh burned at the stake he had his dogs ripped them apart he was very very
[02:54:34.160 --> 02:54:43.760]   brutal he he ruled that area through fear and had absolutely no respect for anybody he made promises and
[02:54:43.760 --> 02:54:53.120]   broke them all the time he was really he was a brutal man so this whole period when uh christopher columbus
[02:54:53.120 --> 02:55:03.360]   came how did that change everything well you know there's a there's a great uh anthropological uh body
[02:55:03.360 --> 02:55:09.680]   of literature it's it's called the columbian exchange based on columbus but it's you know all this trade back
[02:55:09.680 --> 02:55:17.120]   and forth between the new world and the old world and the the old world got just wonderful stuff all of
[02:55:17.120 --> 02:55:26.160]   a sudden their diet didn't suck all these vegetables came in the the new world got uh herd animals it got
[02:55:26.160 --> 02:55:35.840]   pigs and cows and goats that it didn't have but it also got 13 infectious diseases uh europe had had wave
[02:55:35.840 --> 02:55:41.040]   wave after wave and kind of had herd immunity on a lot of things but it didn't actually go away
[02:55:41.040 --> 02:55:44.640]   it just couldn't spread like a wildfire through the community
[02:55:44.640 --> 02:55:52.880]   so when they arrived to the americas all of a sudden these just a pile of horrible diseases hit people
[02:55:52.880 --> 02:55:56.960]   i think in the first 20 30 years there were people who like
[02:55:57.840 --> 02:56:06.080]   had contracted multiple deadly diseases at once and died of them but the numbers you know it's
[02:56:06.080 --> 02:56:11.920]   it's a it's a shameful part of history and it wasn't something that europe perpetrated on them
[02:56:11.920 --> 02:56:18.560]   the medical science at that time was still the four humors theory that people were made of yellow bile
[02:56:18.560 --> 02:56:24.080]   black bile blood and phlegm and we did things like well you've got to bleed him he'll feel better then
[02:56:24.720 --> 02:56:29.600]   so we had no idea what an infectious disease was but the reality was that this
[02:56:29.600 --> 02:56:36.960]   horde of diseases hit everyone and the numbers are now saying in the first 50 years that it
[02:56:36.960 --> 02:56:45.520]   90 of everybody was dead and that the the number of people has increased as well as far as the
[02:56:45.520 --> 02:56:55.200]   our estimates we're thinking it's somewhere around 150 million people and 90 of them died and with them
[02:56:55.200 --> 02:57:02.240]   all their knowledge just i mean imagine the moment where you know who dies when things get bad it's the
[02:57:02.240 --> 02:57:11.680]   young and the old so all the knowledge keepers die suddenly the children die this next generation that's half
[02:57:11.680 --> 02:57:19.520]   taught and now completely demoralized thinking that this is a spiritual attack that their gods hate them
[02:57:19.520 --> 02:57:26.400]   that the only way out of it is to uh to accept this new christianity but they you know they don't have
[02:57:26.400 --> 02:57:31.600]   bring kids into this world where everybody's dying and even if they do they can't teach them
[02:57:31.600 --> 02:57:37.280]   what the old people were going to teach them because the old people are gone and didn't finish the transmission
[02:57:37.280 --> 02:57:45.360]   so in a in a single terrible moment in human history you know the generation loses all their knowledge
[02:57:45.360 --> 02:57:53.920]   so a lot of the things that these people knew just blipped out but with that also just the the wisdom of
[02:57:53.920 --> 02:58:04.640]   the entire civilizations so much of what they knew was just lost at that moment we have the maya who had
[02:58:04.640 --> 02:58:10.000]   those hieroglyphs and that we've learned a lot from that yeah but not a significant integration of
[02:58:10.000 --> 02:58:17.520]   that wisdom into so it wasn't uh when the europeans came it wasn't like the cultures were integrated
[02:58:17.520 --> 02:58:24.960]   it was um a story of domination in the north in north america there's a a new term in the literature
[02:58:24.960 --> 02:58:32.800]   that i like we call it the uh the mississippian shatter zone that mississippian civilization was millions of
[02:58:32.800 --> 02:58:37.360]   people but they got spread out all over the place over the next centuries and now
[02:58:37.360 --> 02:58:44.560]   we have this shatter zone where we have how ruins and the people that were actually from those ruins
[02:58:44.560 --> 02:58:51.520]   are somewhere else on a reservation far away and you know that i'm just about to talk to a cherokee man
[02:58:51.520 --> 02:58:56.880]   who listened to some of the things i had to say and says all those ho-chunk things you were saying from
[02:58:56.880 --> 02:59:02.480]   that ho-chunk culture my grandparents talk about this sort of thing too can i can i talk to you by
[02:59:02.480 --> 02:59:07.920]   phone and tell you about these things so we've got this shatter zone where you know we're gonna try to
[02:59:07.920 --> 02:59:15.920]   put the piece the puzzle back together especially in terms of mississippian religion i really think we're
[02:59:15.920 --> 02:59:23.200]   making headway in this generation and it's exciting to be part of piecing this old religion and its
[02:59:23.200 --> 02:59:29.280]   mythology back together just as uh since a lot of people kind of refer to christopher columbus as the
[02:59:29.280 --> 02:59:37.520]   person who discovered america um i read that the vikings reached north america uh much earlier in um 1000
[02:59:38.640 --> 02:59:45.280]   ce and uh why do you think they didn't expand and colonize because they got their ass kicked
[02:59:45.280 --> 02:59:53.360]   okay it's the truth yeah it is absolutely true that the vikings were here there's a there's a great
[02:59:53.360 --> 03:00:02.320]   uh site in nova scotia called lenso meadows which definitely has what's left of a viking colony it was
[03:00:02.320 --> 03:00:07.280]   leaf eric and his father eric the red who they got kind of kicked out of europe because they
[03:00:07.280 --> 03:00:13.200]   apparently couldn't stop murdering people and so they went to greenland and then kind of island
[03:00:13.200 --> 03:00:18.960]   hopped over to canada but i think the culture that was in that area it was named the dorset
[03:00:18.960 --> 03:00:25.600]   but they would have nothing to do with the vikings they they attacked the viking settlement every day
[03:00:25.600 --> 03:00:31.840]   and did not give them an inch until they decided it was just worthless and they left it you know the
[03:00:31.840 --> 03:00:38.160]   vikings attacked ireland and they just found a bunch of you know monasteries full of gold with a bunch
[03:00:38.160 --> 03:00:43.920]   of guys going we're men of god we don't fight and the vikings were like this is great that's great this
[03:00:43.920 --> 03:00:50.160]   will be easy then we'll just loot all these easter eggs but the native americans in canada were like
[03:00:50.160 --> 03:00:57.680]   not having it they kicked their ass in fact uh leaf ericsson's brother thor died there the the natives
[03:00:57.680 --> 03:01:03.120]   killed him he was supposed to be in charge of expanding the settlement but they they just killed
[03:01:03.120 --> 03:01:10.240]   him so a lot of the native american cultures were also i mean they're sophisticated warring cultures also
[03:01:10.240 --> 03:01:17.360]   yes they fought especially the the mississippians boy they were tough and so were uh you know the the
[03:01:17.360 --> 03:01:24.800]   five nations the mohawk the huron those the ones that that kicked the viking's ass up there they were
[03:01:24.800 --> 03:01:32.640]   probably uh algonquin speakers but they were connected like you know just above the the great lakes but
[03:01:32.640 --> 03:01:40.560]   they were all a very tough people when you think about the spaniards and the the portuguese and the
[03:01:40.560 --> 03:01:47.760]   over 100 million people that were killed um do you see that as a tragedy of history or is it just the way of
[03:01:47.760 --> 03:01:56.320]   history i think that the epidemics i i consider it a tragedy that did not have to happen and that was
[03:01:56.320 --> 03:02:03.440]   not you know that was not a fair fight nobody knew what to do about it there was just a a tragic perfect
[03:02:03.440 --> 03:02:10.800]   storm of events it was not you know they i think that the spanish and the portuguese get unfairly maligned
[03:02:10.800 --> 03:02:16.480]   in what's been called the the black legend that they just marched into america and murdered everyone
[03:02:16.480 --> 03:02:23.120]   that's not the fact that it was the diseases that murdered everyone in fact there was a a really poignant
[03:02:23.120 --> 03:02:34.800]   uh story i read of a a spanish priest in the amazon in the in the brazilian northern part of the amazon where he made this utopian community
[03:02:35.680 --> 03:02:40.400]   and he was bringing people in that were getting sick and he he wrote you know i'm baptizing
[03:02:40.400 --> 03:02:47.360]   everyone you know i have baptized 10 000 people a day and yet god's still killing them why is he doing
[03:02:47.360 --> 03:02:53.280]   this to them they're doing everything that i asked them to do they are submitting to the will of god
[03:02:53.280 --> 03:02:59.920]   but this guy doesn't realize that the same bowl of holy water that he's baptizing them in he's just wiping
[03:02:59.920 --> 03:03:05.920]   the disease on everybody's faces he's accelerating it when he doesn't even realize he thinks he's saving
[03:03:05.920 --> 03:03:14.560]   them but he's actually killing them yeah that's a trap that's a tragedy you know that's not just like
[03:03:14.560 --> 03:03:22.720]   spoils go to the victor stuff that's just straight up tragedy yeah yeah but that one is even hard to know
[03:03:22.720 --> 03:03:28.960]   what to do with like black death it's i mean infections they don't operate on normal human
[03:03:28.960 --> 03:03:39.440]   terms right they just they just go through entire populations back to wild ideas all right just my style
[03:03:39.440 --> 03:03:45.520]   um i mean we didn't really talk about how life originated on earth or how
[03:03:47.280 --> 03:03:54.400]   uh how humans have evolved and we did talk about that there could be just a lot of stuff in ancient
[03:03:54.400 --> 03:04:02.960]   history we haven't even uncovered yet uh do you think it's possible that other intelligent civilizations
[03:04:02.960 --> 03:04:11.920]   from outside of earth aliens ever visited you had me right until the ever visited thing that one i'm not
[03:04:11.920 --> 03:04:18.560]   entirely sure about i'm not sure whether we have any we certainly have no archaeological proof that i would
[03:04:18.560 --> 03:04:27.920]   uh cite or contemplate as the evidence of such but you know uh you know the guys that that discovered dna
[03:04:27.920 --> 03:04:37.680]   watson and crick uh watson uh who actually habitually used hallucinogens to to uh invigorate his thinking he
[03:04:37.680 --> 03:04:46.240]   said that he thought that dna on this planet was way too complex to have developed over the time period
[03:04:46.240 --> 03:04:54.880]   that it had at its disposal and that his guess was that our dna was somehow seeded from outside of our
[03:04:54.880 --> 03:05:01.840]   planet and you know take that for what it is but the guy who we respect on many other levels also said that
[03:05:02.960 --> 03:05:10.880]   um so that's interesting but in terms of you know aliens visiting us i i don't know i it does smack
[03:05:10.880 --> 03:05:17.280]   of a kind of human hubris that we think we're important enough for some advanced species to give
[03:05:17.280 --> 03:05:23.920]   a about us statistically speaking the universe is way too big we can't be the only sentient beings
[03:05:23.920 --> 03:05:29.920]   there's got to be somebody else out there whether they care about us that's a question i've been on
[03:05:29.920 --> 03:05:36.160]   ancient aliens a number of times i show up and you know i'm an educator i mean refusing to be part of
[03:05:36.160 --> 03:05:43.040]   the conversations an immediate fail in my book um but there was one time where they asked me at the
[03:05:43.040 --> 03:05:51.120]   end you know do you have anything else uh do you want to say and i said well you know yeah y'all's premise
[03:05:51.120 --> 03:05:58.160]   is that aliens came down a long time ago and they gave humanity these wonderful gifts of you know science
[03:05:58.160 --> 03:06:04.240]   and medicine engineering all these things today we also have a lot of uh
[03:06:04.240 --> 03:06:11.680]   stories of the aliens coming down but now all they're doing is mutilating cows and sodomizing
[03:06:11.680 --> 03:06:20.320]   rednecks like whatever we did we super pissed them off apparently the quality of the gifts has decreased
[03:06:20.320 --> 03:06:28.880]   rapidly um what it's interesting thought you've mentioned what archaeologically would you have to
[03:06:28.880 --> 03:06:37.760]   see to be like this might be an alien a technology that doesn't belong there first and foremost i mean
[03:06:37.760 --> 03:06:45.520]   you know we gotta it if we just run with the premise that somebody was capable of making a vehicle that
[03:06:45.520 --> 03:06:53.440]   could get them from somewhere far away to here that was almost certainly mechanical now i you know i love
[03:06:53.440 --> 03:06:58.560]   the aliens thing where you know biomechanical is something that that certainly could be and that would
[03:06:58.560 --> 03:07:04.640]   you know that that would uh disintegrate we wouldn't see that at all but i would expect some kind of uh
[03:07:05.520 --> 03:07:12.000]   technology that that showed up out of the blue and change things that would be something um but but i
[03:07:12.000 --> 03:07:18.560]   would think you know mechanical right or you know a substance that's not from here but of course we
[03:07:18.560 --> 03:07:24.960]   would only see the the results of that mechanical you mean like literally a mechanical thing right some
[03:07:24.960 --> 03:07:31.120]   sort of thing like that uh you know it the typical thing people say is like you know how did they move
[03:07:31.120 --> 03:07:37.680]   these giant stones right but you know let's just just look at that on the face for a second aliens come
[03:07:37.680 --> 03:07:45.920]   from across the universe to meet humans and the thing they tell them is how to move rocks are you
[03:07:45.920 --> 03:07:51.280]   fucking kidding me i mean you know like give them give them antibiotics or a combustion engine or something
[03:07:51.280 --> 03:07:57.200]   you're gonna they said they came across the universe and they showed them how to move big rocks i mean
[03:07:57.200 --> 03:08:04.480]   that doesn't make any sense that just doesn't make any sense what do you think earth will look like
[03:08:04.480 --> 03:08:14.400]   10 000 years from now that's an interesting question i think it will be a lot more automated
[03:08:14.400 --> 03:08:21.200]   or it'll be a smoldering pile i mean if there is a possibility we could end ourselves
[03:08:21.200 --> 03:08:27.200]   there's always that possibility that we've really opened pandora's box in some regards
[03:08:27.200 --> 03:08:34.720]   i i did listen to one of your podcast guests with the uh what would happen in the case of nuclear war
[03:08:34.720 --> 03:08:41.120]   yeah that was chilling her opinion was certainly we would burn everything to a crisp within minutes
[03:08:41.120 --> 03:08:47.760]   apparently so we we have that capacity that's scary that's a possible future for us but i'm an optimist
[03:08:47.760 --> 03:08:52.320]   i'd you know i'd like to think that guys like you are going to make friendly robots who make my job better
[03:08:52.320 --> 03:09:03.840]   but a thousand ten thousand years is a long time and uh technology is improving and becoming more advanced
[03:09:03.840 --> 03:09:11.680]   rapidly and uh the rate of that improvement is increasing ever more so that that's the part that frightens me
[03:09:11.680 --> 03:09:17.680]   actually i don't know does that frighten you yes terrifying you know i i i heard somebody say i forget
[03:09:17.680 --> 03:09:27.040]   who it was but you know uh systems of any kind human systems biological systems can be put on a graph
[03:09:27.680 --> 03:09:39.520]   that's change over time and any graph that the change is way faster than the time and the and the the line
[03:09:39.520 --> 03:09:47.600]   starts going straight up that is a system in crisis in almost any biological system that has that fast a
[03:09:47.600 --> 03:09:54.880]   change over that little time you would any any other thing you'd describe it as a crisis when you apply
[03:09:54.880 --> 03:10:02.800]   that chart to technologies change it's a crisis from that perspective absolutely but i also have a faith
[03:10:02.800 --> 03:10:12.960]   in human ingenuity that we humans like to create a really difficult situation and then come up with ways to uh
[03:10:12.960 --> 03:10:19.200]   get out of that difficult situation and in so doing innovate and create a lot of awesome stuff and
[03:10:19.200 --> 03:10:27.280]   sometimes cause a lot of suffering but on the whole on average uh make a better world but yeah if it you
[03:10:27.280 --> 03:10:35.120]   know like with nuclear weapons the bad stuff might actually lead to the death of everybody i guess
[03:10:35.120 --> 03:10:41.200]   there's always that that chance but i am an optimist i you know i think you're an optimist too i i think
[03:10:41.840 --> 03:10:48.480]   exactly as you just said i think that the greatest capacity of humans is our ability to innovate and
[03:10:48.480 --> 03:10:56.000]   we are never more innovative than when we're under distress i think that a lot of the developments of
[03:10:56.000 --> 03:11:02.720]   humans over the last thousands of years have been about you know we didn't we didn't change the world when
[03:11:02.720 --> 03:11:10.480]   we were comfortable it was when we were in crisis mother necessity is the mother of invention and i think we'll be
[03:11:10.480 --> 03:11:19.120]   all right i think that uh this impending uh climate crisis is real and happening i actually personally
[03:11:19.120 --> 03:11:22.560]   think that uh i'm gonna i'm gonna answer a question that you didn't even ask me
[03:11:22.560 --> 03:11:33.200]   um i think we're wasting our time thinking that we can reverse this we're uh delusional i'm all for
[03:11:33.200 --> 03:11:36.480]   electric cars and uh you know uh being good stewards of the environment but uh you know uh being good
[03:11:36.480 --> 03:11:44.080]   stewards of the environment but we are wasting our time not technologically adapting to what's about
[03:11:44.080 --> 03:11:50.560]   to happen we're spending too much time pretending you know the average american thinks if we all just drive
[03:11:50.560 --> 03:11:55.920]   electric cars will be okay that's bullshit that's not going to happen we need to start making
[03:11:55.920 --> 03:12:02.160]   technologies that desalinize water that you know a host of things that uh that we need to use our
[03:12:02.160 --> 03:12:10.080]   technological past capacity to accept it and adapt instead of pollyanna thinking we can make it go away
[03:12:10.080 --> 03:12:18.160]   yeah yeah kind of accept that the world will change and uh a lot of big problems will arise
[03:12:19.760 --> 03:12:24.800]   and just develop technology that addresses them i think you have some some guys that have their finger
[03:12:24.800 --> 03:12:28.160]   on the pulse there we need to start thinking about how we're going to survive this not that we're going
[03:12:28.160 --> 03:12:34.800]   to make it go away and not just survive thrive um again we're pretty innovative in that regard
[03:12:35.360 --> 03:12:44.080]   but if some catastrophic thing happens or we just leave this planet what uh what do you think would be
[03:12:44.080 --> 03:12:50.960]   found by a aforementioned alien civilizations when they visit the anthropologists the grad student
[03:12:50.960 --> 03:12:59.680]   anthropologists that visit earth and study how much of what we now have and love and think of as human
[03:12:59.680 --> 03:13:07.840]   civilization will be lost do you think well you know time moves on and things that are perishable perish
[03:13:07.840 --> 03:13:14.640]   so you know you didn't put a time element in there but i would say that you know everything that can
[03:13:14.640 --> 03:13:21.200]   perish will and whoever shows up here will be stuck with only the things that didn't perish so we'll have
[03:13:21.200 --> 03:13:28.480]   you know buildings plaques but they won't have any books they won't have any you know billboards there
[03:13:28.480 --> 03:13:38.880]   they'll have the incomplete record i have i i one time did a did a talk in sue falls and i said you
[03:13:38.880 --> 03:13:48.480]   know i drove in here and there was a big obelisk in front of the town and everywhere i go i see the names
[03:13:48.480 --> 03:13:54.880]   lewis and clark and a thousand years from now if i was an archaeologist investigating this place i would
[03:13:54.880 --> 03:14:02.000]   think that it was founded by the egyptians and their kings were named lewis and clark but the truth is
[03:14:02.000 --> 03:14:09.200]   you know lewis and clark stayed one night here but it's just a big deal so i would be so wrong about what
[03:14:09.200 --> 03:14:16.160]   i thought about your town based on what preserved this is so beautiful as a thought experiment like what
[03:14:16.880 --> 03:14:23.120]   would archaeologists be really wrong about and what would they could possibly be right about washington
[03:14:23.120 --> 03:14:28.800]   dc was clearly made by a combination of the egyptians and the greeks and the romans because
[03:14:28.800 --> 03:14:35.760]   that's what all the architecture is yeah and would they be able to reconstruct the important empires
[03:14:35.760 --> 03:14:43.360]   the the the powerful empires and the the warring empires for that matter have me and my colleagues
[03:14:43.360 --> 03:14:49.120]   done that at all i i'm almost certain that the maya would just gut laugh at what i think i know what they
[03:14:49.120 --> 03:14:56.560]   were i wonder do you ever think about like what we just as a human civilization are wrong about the most
[03:14:56.560 --> 03:15:02.720]   like mainstream archaeology just like a suspicion what what could we get completely wrong
[03:15:02.720 --> 03:15:10.960]   uh well one way to get something wrong is totally like lost civils like an obviously gigantic
[03:15:10.960 --> 03:15:17.520]   civilization that was there along with the maya or something like this in the 10 000 years ago there's
[03:15:17.520 --> 03:15:22.880]   certainly that there could be things that were either wiped away or still hiding under the oceans that
[03:15:22.880 --> 03:15:28.000]   would completely change the way we think about things and everybody knew they existed and everybody
[03:15:28.000 --> 03:15:33.520]   interacted with them it was i think i think i think it's our estimation of their motivations that were
[03:15:33.520 --> 03:15:40.160]   probably most wrong on my uh my teacher shealy a long time ago said you know i i've come up with all
[03:15:40.160 --> 03:15:45.440]   sorts of theories i was always thinking about stuff and she looked at me and she said if you don't stop
[03:15:45.440 --> 03:15:52.800]   thinking like a western european and start trying to put yourself in the mindset of these people you
[03:15:52.800 --> 03:15:59.280]   will never understand any of it which i've always taken to heart i mean i really do when i approach these
[03:15:59.280 --> 03:16:07.680]   things i try to step out of my cultural assumptions trying to think like they would think is the best i could
[03:16:07.680 --> 03:16:13.280]   and it's very different i mean this whole you know the maya are are cyclical you know this the the whole
[03:16:13.280 --> 03:16:20.480]   sacrifice we're so you know obsessed with that but you know that was an austere actual sacrifice on
[03:16:20.480 --> 03:16:25.840]   their part they weren't just you know hey let's all get together and kill that guy that's pissing us off i
[03:16:25.840 --> 03:16:32.880]   mean they were like you know giving the best of them it was it was a different mentality this was not brutal this
[03:16:32.880 --> 03:16:40.240]   was a you know bona fide sacrifice on their part a loss plus the whole mystery of of the puppy
[03:16:40.240 --> 03:16:46.240]   that eventually starts having sex with this i tell you that one i'm gonna unweave that one one of these
[03:16:46.240 --> 03:16:53.760]   days one of these days now this that puppy appeared on the on pottery all over pottery yeah he's he's
[03:16:53.760 --> 03:16:59.840]   he's everywhere i gotta write this book i this next year is the year i'm gonna write my fang deity book and i will
[03:16:59.840 --> 03:17:07.760]   have a whole chapter dedicated to the puppy the mystery solved i mean it could just be the birth of
[03:17:07.760 --> 03:17:13.280]   memes of humor i don't know i mean again humor you don't know what the nature of their humor of what
[03:17:13.280 --> 03:17:19.280]   their jokes are oh that's a neat one too then that's so human you know that i'll tell you a little like
[03:17:19.280 --> 03:17:27.120]   side story here that uh when i worked with the maya people in palenque i spent three years making this map
[03:17:27.120 --> 03:17:33.280]   of the city and hiking through the jungle every day and they would talk to each other in their own
[03:17:33.280 --> 03:17:38.880]   language uh it was uh sell tall was the group i was working with but i noticed after a while they were
