
[00:00:00.040 --> 00:00:04.960]   all right everybody welcome to the number one podcast in the world here we are on the all in
[01:20:40.720 --> 01:20:46.400]   deal with can i get your reaction to this story from the washington reporter there was a story i don't
[01:20:46.400 --> 01:20:51.520]   know if it's true or not website washington post but no washington reporters so according to some
[01:20:51.520 --> 01:20:58.560]   senate sources kamala harris was considering gensler for treasury secretary i would call that okay what's
[01:20:58.560 --> 01:21:04.080]   the washington reporter about that or i i haven't asked her about any position at all but what i was
[01:21:04.080 --> 01:21:11.280]   told and look talking to people who are like always in the same room with her the response to me
[01:21:11.280 --> 01:21:20.480]   about gary gensler was have you heard anybody say anything positive that's intentional well i mean
[01:21:20.480 --> 01:21:27.040]   the reason he's in that role is because he is elizabeth warren's right ally and she has been
[01:21:27.040 --> 01:21:32.720]   enormously powerful during the biden administration have you heard her say a word mark mark boil it all
[01:21:32.720 --> 01:21:37.200]   up like what's your general sense of her like how should we all think about her so here's the way i look
[01:21:37.200 --> 01:21:44.640]   at kamala right she is open-minded she's smart she does the work she digs in and learns she's ethical
[01:21:44.640 --> 01:21:53.040]   she's honest she cares um she wants to bring the country to the middle she knows that when she was
[01:21:53.040 --> 01:21:58.800]   far left that might have been great for the state of california but it doesn't solve the problems of
[01:21:58.800 --> 01:22:04.000]   the united states of the america of america today and that's why you've seen her go to the middle and
[01:22:04.000 --> 01:22:09.680]   that is truly i know david you might not believe this it is truly honest and through and through
[01:22:09.680 --> 01:22:15.200]   her when she gave give speeches now she says i'll take ideas from independents i'll take them from
[01:22:15.200 --> 01:22:21.200]   republicans i don't care we have a lot of problems to solve in this country i i would be shocked if if
[01:22:21.200 --> 01:22:27.200]   she wins she talks to elon musk if elon would talk to her she doesn't care where the ideas do interviews
[01:22:27.200 --> 01:22:33.600]   with unfriendly or challenging folks this seems to be like you know a really valid criticism we've had
[01:22:33.600 --> 01:22:40.720]   trump here we've had jd vance here shine yeah i don't disagree look it is why does she why does she
[01:22:40.720 --> 01:22:46.080]   hide do you think i don't think she's hiding there's two elements there right one i think she understands
[01:22:46.080 --> 01:22:51.360]   the assignment which is to win the election and the best way to reach the most number of people and get
[01:22:51.360 --> 01:22:56.080]   them to change their mind is not the one percent of people who are high information voters it's all
[01:22:56.080 --> 01:23:00.320]   the people who are showing up at rallies and screaming and yelling those are the people who
[01:23:00.320 --> 01:23:05.600]   people whose mind she has changed so far and that's how she's caught up and who she wants to change and
[01:23:05.600 --> 01:23:11.920]   that's where she's putting her focus and two and this is brutally honest um she has too long a wind
[01:23:11.920 --> 01:23:18.320]   up in answering every single question and that makes interviews difficult she wants to inspire
[01:23:18.320 --> 01:23:23.680]   everybody with everything that she answers and tries to get people all excited about what she's going to
[01:23:23.680 --> 01:23:30.000]   do and so she takes too long to get to that if you cut out the wind-ups her answers aren't so bad her
[01:23:30.000 --> 01:23:36.080]   answers are absolutely legit but that wind-up makes it seem like the whole word salad thing you don't
[01:23:36.080 --> 01:23:40.400]   think it's relevant that she was born to a middle-class family as the answer to yeah she's going to solve
[01:23:40.400 --> 01:23:45.200]   inflation she's got to drop that yeah but on the flip side i mean if you listen i literally because
[01:23:45.200 --> 01:23:49.920]   i knew i'd be talking to you guys i listened to donald trump's speech in milwaukee did any of you
[01:23:49.920 --> 01:23:56.480]   guys listen to that yes i was there okay well you were there sex that was the last one no no not
[01:23:56.480 --> 01:24:03.920]   milwaukee no no no not the rnc not the rnc two days ago two days ago two days ago talking about the rnc
[01:24:03.920 --> 01:24:11.440]   so kamla might have a long windup donald trump has an eternal windup where all he does is get to his
[01:24:11.440 --> 01:24:16.640]   slogans and talking points and then talks gibberish the rest of the time let me fill you in and some
[01:24:16.640 --> 01:24:21.840]   of the jim about a rally he will speak extemporaneously for over an hour yeah but what he says
[01:24:21.840 --> 01:24:25.680]   should i'll take that any day over someone on a teleprompter for 19 minutes so what you're saying
[01:24:25.680 --> 01:24:32.080]   it doesn't matter what he says no i think it does matter but i think that i've watched enough trump
[01:24:32.080 --> 01:24:38.000]   rallies including his speech at the convention where i was there listening to understand what he's what
[01:24:38.000 --> 01:24:43.440]   issues he stands for okay well tell me what issues he stands for when he diminishes jimmy carter who
[01:24:43.440 --> 01:24:48.400]   just has his 100th birthday tell me what issues i haven't i've heard him say good things and bad things
[01:24:48.400 --> 01:24:52.320]   about okay so let's put that aside everyone makes fun of jimmy carter okay so let's put that aside
[01:24:52.320 --> 01:24:57.360]   let's just say it is what it is even though it's aside we'll go that put that under the character
[01:24:57.360 --> 01:25:02.960]   he started talking about apartments with no windows that builders under kamala harris are going to start
[01:25:02.960 --> 01:25:08.400]   are being forced to build apartments with no windows i haven't heard that bit yet yeah oh i listened to
[01:25:08.400 --> 01:25:13.520]   this today and then he also said that i also know that people take a lot of what trump says out of
[01:25:13.520 --> 01:25:19.520]   context to make it seem a lot worse if you actually listen to if you listen to what he says and you
[01:25:19.520 --> 01:25:25.200]   don't try to um you know shade it in the worst possible way a lot of what he says makes sense
[01:25:25.200 --> 01:25:29.680]   i believe that if you if you want to know why i support trump number one the border
[01:25:29.680 --> 01:25:35.600]   okay unlike kamala harris's election year conversion he has been very consistent ever since he came down
[01:25:35.600 --> 01:25:41.200]   the escalator yes he has that we needed to have a wall and that really that was just the first part
[01:25:41.200 --> 01:25:45.920]   of our border security we need to have a border democrats not just kamala pretty much all the
[01:25:45.920 --> 01:25:50.480]   democrats fought him on that for the last eight years to the point where i understand i understand
[01:25:50.480 --> 01:25:56.880]   so the board is one thing so you got that okay so i think that he and only he has credibility in this
[01:25:56.880 --> 01:26:03.440]   election on that issue number two on the on the foreign wars we talked about this i mean i don't
[01:26:03.440 --> 01:26:10.320]   think his record on foreign policy was perfect but it is true that he did not start any new foreign wars
[01:26:10.320 --> 01:26:16.240]   here is joe biden and and and the set no where did joe biden start the ukraine war we could have ended
[01:26:16.240 --> 01:26:24.160]   that he invaded ukraine i've argued on the show many times in my view he provoked it okay he provoked it okay so
[01:26:24.720 --> 01:26:32.640]   you're assigning whatever to joe biden he forced putin to invade ukraine come on stop acting dumb
[01:26:32.640 --> 01:26:38.240]   you understand that we try to convert ukraine into a giant nato base that was the russians said over
[01:26:38.240 --> 01:26:42.560]   and over again that that was a red line to them it was the brightest of all but to blame it on biden
[01:26:42.560 --> 01:26:49.440]   burns our current cia director said it best it's the brightest all red law of all red lines for the
[01:26:49.440 --> 01:26:54.400]   russian elite not just putin okay okay that has been a consistent you think he contributed to the
[01:26:54.400 --> 01:26:59.200]   war and moreover hold on a second even if you don't believe even if you disagree with me and
[01:26:59.200 --> 01:27:03.520]   you say that biden didn't provoke it we had the chance to end the war in its first month with a
[01:27:03.520 --> 01:27:09.600]   deal in istanbul okay and you know the mainstream media denied it for a year it was only an alternative
[01:27:09.600 --> 01:27:13.760]   media and then finally the new york times the wall street journal wrote stories about it it is the truth
[01:27:13.760 --> 01:27:18.000]   victoria newland just admitted it we could have agreed to a deal in the first month the biden
[01:27:18.000 --> 01:27:22.000]   administration shot that down that is why we have the war going in ukraine okay so let's just say
[01:27:22.000 --> 01:27:27.120]   that's a fact remember and that was also very destructive and by the way if you care about
[01:27:27.120 --> 01:27:31.440]   israel hold on mark if you care about israel you should be really concerned about the fact that
[01:27:31.440 --> 01:27:37.520]   the united states has significantly depleted its stockpiles of weapons and artillery ammunition
[01:27:37.520 --> 01:27:43.760]   in ukraine on a war that is futile we said we said david we didn't give them anything new we sent
[01:27:43.760 --> 01:27:50.560]   them our old israel gets the glengarry leads 155 155 millimeter artillery shells are 155 millimeter
[01:27:50.560 --> 01:27:56.160]   artillery shells it's not about new or old okay get the glengarry lee israel gets the glengarry leads
[01:27:56.160 --> 01:28:00.960]   right and look and on top of that zelinski there's only so much air defense there's only so many patriots
[01:28:00.960 --> 01:28:10.240]   to go around all right do you agree that zelinski could have said yes to that deal the the one in
[01:28:10.240 --> 01:28:15.760]   istanbul yeah he could only say yes to it if the u.s supported it and instead we encouraged him to
[01:28:15.760 --> 01:28:23.120]   fight we threw cold water on that deal we blocked it we should have told zelinski you know what just
[01:28:23.120 --> 01:28:28.720]   make that deal we don't need another war right now okay this nato thing's not happening anyway okay because
[01:28:28.720 --> 01:28:33.600]   we're not letting zelinski into nato well no the guy from norway the guy who just took over nato says
[01:28:33.600 --> 01:28:39.520]   otherwise we're not going to let in zelinski was just here in the u.s last week with his so-called
[01:28:39.520 --> 01:28:44.720]   victory plan you know what his victory plan was let us into nato immediately so that you can fight our
[01:28:44.720 --> 01:28:49.680]   war for us for you no i get that with the administration to its credit rejected that okay i
[01:28:49.680 --> 01:28:54.320]   give biden credit for that the good news is biden is not running in this election whenever it's
[01:28:54.320 --> 01:28:59.200]   inconvenient you want to pretend that harris has nothing to do with this administration i'm just
[01:28:59.200 --> 01:29:04.800]   giving you reality i'm giving you when i've had people who worked for me and started went out and
[01:29:04.800 --> 01:29:09.920]   started their own companies like samatha and in facebook right they're not people have different
[01:29:09.920 --> 01:29:15.360]   opinions the people who work for me do what i say period end of story maybe they do so she was just
[01:29:15.360 --> 01:29:20.240]   following orders basically the nuremberg defense do you think j do you think jd vance is going to do
[01:29:20.240 --> 01:29:25.200]   anything contrary to donald trump if he wins there's an abundant record i know what jd vance
[01:29:25.200 --> 01:29:28.720]   stands for there was an abundant record that's not the question that's not the question harris as a
[01:29:28.720 --> 01:29:34.000]   senator before she even that's not the vp job she was she was rated the most liberal member of the
[01:29:34.000 --> 01:29:38.320]   senate by govtrack why don't you answer mark's question it is the question is what does she really
[01:29:38.320 --> 01:29:45.280]   stand for what's your question sorry what's your question i'm happy to answer it would jd vance ever go
[01:29:45.280 --> 01:29:51.200]   against donald trump no obviously i understand that a vp cannot go against what the president
[01:29:51.200 --> 01:29:56.800]   in a nutshell that's it period now we can cut half the episode out now moving on hold on a second
[01:29:56.800 --> 01:30:02.640]   that fact does not prove that kamala harris has a different policy than joe biden whenever it's
[01:30:02.640 --> 01:30:08.160]   inconvenient for you to admit what she's doing david no you you're doing the exact thing you're saying
[01:30:08.160 --> 01:30:12.080]   you're saying that i'm doing you're trying to position her so that everything from the biden
[01:30:12.080 --> 01:30:17.040]   administration is she has ownership of it and what i'm saying is just look at what she's doing
[01:30:17.040 --> 01:30:22.160]   look at what she's saying you're you would see here's the here's the trump derangement
[01:30:22.160 --> 01:30:27.440]   here's the antithesis of the trump derangement syndrome syndrome right you tell whenever donald
[01:30:27.440 --> 01:30:32.800]   trump says something stupid everybody explains it for him when kamala harris says something smart
[01:30:32.800 --> 01:30:37.040]   everybody tries to explain why it's stupid and not true when did she say something smart i mean seriously
[01:30:37.040 --> 01:30:42.000]   what's the last thing she said that was smart just curious jason i want to fact check the
[01:30:42.000 --> 01:30:46.560]   window list by the way the window list the the windowless thing mark just so you know because nick's
[01:30:46.560 --> 01:30:52.640]   shared it with us it's an architectural digest article apparently eric adams the mayor of new york
[01:30:52.640 --> 01:30:59.760]   proposed windowless bedrooms as a way to change the building codes to incentivize more apartments being
[01:30:59.760 --> 01:31:03.840]   built i think it's also to fix the housing crisis converting the problem with converting the
[01:31:03.840 --> 01:31:08.640]   plates this is what always happens this is the gaslighting they try to make well i mean he also
[01:31:08.640 --> 01:31:13.280]   i mean trump lies constantly let's be honest you find out that there's a real basis to his
[01:31:13.280 --> 01:31:19.040]   in some cases he just lies anyway trump can't ever explain it himself why is it that the guy that you
[01:31:19.040 --> 01:31:23.760]   like can never come out and say hey you know this is crazy this is the most ridiculous thing eric
[01:31:23.760 --> 01:31:28.800]   adams suggested everybody else has got to do the research and explain what trump really means
[01:31:28.800 --> 01:31:35.120]   because he is losing it he is kind of you're the one who raised it as some example as an example of
[01:31:35.120 --> 01:31:40.400]   trump okay do you think it's a cognitive client sex no i think he's very sharp we met him personally
[01:31:40.400 --> 01:31:45.600]   so let's wrap let's wrap the politics section with just a final question because no wait i have a
[01:31:45.600 --> 01:31:52.720]   question yeah let's see politics mark very very pointed question why did you sell the mavs at this
[01:31:52.720 --> 01:31:57.840]   moment so i sold three quarters of them not the whole thing i still own 27.7 percent um for a
[01:31:57.840 --> 01:32:06.080]   couple reasons one when i first bought in in 2000 i i was the tech guy in the mba i was the media guy
[01:32:06.080 --> 01:32:12.720]   you know broadcast.com just sold it um hd net just created the very first ever high definition television
[01:32:12.720 --> 01:32:21.600]   network i had every edge in every angle now fast forward 24 years later um in order to sustain growth to be
[01:32:21.600 --> 01:32:25.680]   able to compete with the new collective bargaining agreement you have to have other sources of
[01:32:25.680 --> 01:32:32.080]   revenue and so you see other teams and all sports for that matter you know talking about casinos
[01:32:32.080 --> 01:32:37.120]   talking about creating doing real estate development all this hotel that's just not me i wasn't going
[01:32:37.120 --> 01:32:43.280]   to put up two billion dollars to you know to get an education on building same that so that was one
[01:32:43.280 --> 01:32:51.520]   that's part one part two is my kids are now 15 18 and 21 and over the next 10 years that's a lot
[01:32:51.520 --> 01:32:57.040]   of pressure on them to have to take over the team or deal with the trust you know god forbid something
[01:32:57.040 --> 01:33:02.720]   happens to me deal with the trust fund issues and so by selling three quarters of it i took all that
[01:33:02.720 --> 01:33:07.600]   pressure off of them because you you guys see the hate i mean jason can tell you all day long about
[01:33:07.600 --> 01:33:14.000]   jimmy dolan you know he's mia right now and the knicks are doing great do you think valuations peak mark
[01:33:14.880 --> 01:33:21.840]   i don't think they've peaked yet because it for the reasons i just mentioned if we're able to build
[01:33:21.840 --> 01:33:28.720]   a venetian type casino in dallas with an american airline center in the middle of it the valuation
[01:33:28.720 --> 01:33:35.680]   is 20 billion dollars but i own 27 percent of that uh well and you bought it for under 300 and yeah
[01:33:35.680 --> 01:33:41.360]   3.5 just not everybody's keeping the records i think chamath you bought a 300 and sold at 3 billion
[01:33:41.360 --> 01:33:44.960]   as well so congratulations boy actually let me ask you a question about that when you did it did you
[01:33:44.960 --> 01:33:48.480]   just do it for fun and it worked out to be a great business or did you think it's gonna be a great
[01:33:48.480 --> 01:33:55.920]   business no i did it for fun so you know it's a great question david um from 2000 to 2010 the the
[01:33:55.920 --> 01:34:04.080]   actual valuations went down and in 2010 we were not even able to sell the new orleans hornets the league
[01:34:04.080 --> 01:34:10.000]   had to buy it right and it was right around then that the sixers got purchased for 200 for the same
[01:34:10.000 --> 01:34:17.200]   price i paid and you know the um the cap the nba um salary cap is a reflection of the total revenues
[01:34:17.200 --> 01:34:24.080]   of the nba there were multiple years when the salary cap went down meaning our overall revenues went down
[01:34:24.080 --> 01:34:29.120]   which was great for me competitively because i would buy first round picks for three million dollars
[01:34:29.120 --> 01:34:33.760]   i would buy players from other teams that couldn't afford to run their teams and that's
[01:34:33.760 --> 01:34:38.960]   why we went on this you know 15 year streak of never having a losing season and winning 50 games
[01:34:38.960 --> 01:34:45.040]   in a row for for 10 years in a row so um you know it worked against me worked for me competitively
[01:34:45.040 --> 01:34:51.840]   but that just shows you that things can change and so i didn't do what's that what tv deal so when
[01:34:51.840 --> 01:34:58.640]   when um cable and satellite and um over the air became very competitive and they started to grow
[01:34:58.640 --> 01:35:06.240]   and subscriptions grew to 130 million people um or subscriptions that's a lot of money and they had
[01:35:06.240 --> 01:35:12.880]   to compete for content so that there would be less churn and i literally remember in 2001 when we first
[01:35:12.880 --> 01:35:19.360]   signed our first cable deal they nbc had the deal and they were going back to david stern saying we need
[01:35:19.360 --> 01:35:25.520]   fewer games and i sat there in one of our board of governors meetings and i'm like look tbs just
[01:35:25.520 --> 01:35:32.800]   signed a deal to pay a billion dollars per episode for repeats of seinfeld if you do that on evaluation
[01:35:32.800 --> 01:35:40.640]   per hour ours is fresher our ratings are actually better don't think of it as as um less um available
[01:35:40.640 --> 01:35:47.280]   less product will lead to more demand it's the exact opposite we're so inexpensive we can charge more and
[01:35:47.280 --> 01:35:52.480]   that led to the next tv deal and that led to the explosion mark you have a lot of fingers and a lot
[01:35:52.480 --> 01:35:56.480]   of pots and other businesses you have a really important thing you're doing in drugs that you
[01:35:56.480 --> 01:36:01.200]   may want to talk about yeah thanks for bringing that up smith if you look at the next 10 years of
[01:36:01.200 --> 01:36:08.400]   your life so you're 66 between now 14 years between now and 80 81 what's your goal like what are you
[01:36:08.400 --> 01:36:12.320]   working on what are the things that you care about where are you putting your capital what are you trying to
[01:36:12.320 --> 01:36:18.880]   do the number one's family obviously but beyond that is costplusdrugs.com um we're up the health
[01:36:18.880 --> 01:36:23.200]   industry like you wouldn't believe if you've seen just explain it for the folks that don't understand
[01:36:23.200 --> 01:36:27.120]   so let's just say guys our age or you guys are close enough to my age we use
[01:36:28.400 --> 01:36:36.400]   a drug called todilafil right for those of you who know what it is and you it's generic cialis
[01:36:36.400 --> 01:36:44.160]   yeah wait wait hold on we gotta double click on this i've heard from sax so you've heard from sax
[01:36:44.160 --> 01:36:47.360]   right are you a cialis or a viagra guy sax what's going on here
[01:36:48.960 --> 01:36:55.520]   or both so cialis just seems better value for money wait what are those never heard of them
[01:36:55.520 --> 01:37:01.840]   it's like what is that never heard of them he's turning red actually so if you go to costplusdrugs.com
[01:37:01.840 --> 01:37:08.720]   and you put into dillafil when it comes up we show your our actual cost and then we mark it up by 15
[01:37:08.720 --> 01:37:14.320]   and if you buy it via mail order then we add five dollars for a pharmacy fee to review everything and
[01:37:14.320 --> 01:37:19.440]   five dollars for shipping and handling the net result of that is you guys have a general idea of
[01:37:19.440 --> 01:37:26.320]   what the price is now from now all the ads you can buy a 90 pack of todilafil for about nine dollars
[01:37:26.320 --> 01:37:31.920]   and 90 cents plus shipping and handling so for less than the price of a bag of m&ms you could put up a
[01:37:31.920 --> 01:37:38.960]   little cup or jar next to your bed of either m&ms what is the name of this website
[01:37:41.920 --> 01:37:47.280]   you might be right back nine dollars for 90 days right we're like let's go for your mom
[01:37:47.280 --> 01:37:53.920]   that seems free it's an incredible deal so but you apply that to the 2500 drugs that we have
[01:37:53.920 --> 01:37:58.880]   and now all of a sudden you see what's wrong with these things called pharmacy benefit managers
[01:37:58.880 --> 01:38:02.480]   and the problem of an industry that's opaque and i'll give you another example
[01:38:02.480 --> 01:38:07.440]   there are drugs that are called specialty generics and the only thing special about them they're actually
[01:38:07.440 --> 01:38:13.360]   just pills is that they're they were traditionally more expensive so there's a drug um called imatinib
[01:38:13.360 --> 01:38:21.840]   which is a chemotherapy drug if you just walk into um a cvs as an example and i hate a big big pharmacy
[01:38:21.840 --> 01:38:26.800]   um and just you have your cash payer or a high deductible payer and you just needed it they'll
[01:38:26.800 --> 01:38:32.000]   charge you anywhere from 200 to 2 000 you have no idea what you're going to pay if you get it from cost
[01:38:32.000 --> 01:38:36.480]   plus drugs depending on the volume the number and the strength it might be 21 to 30 dollars
[01:38:36.480 --> 01:38:41.200]   there's another drug droxidopa one of my buddies came to me and said i'm losing my insurance they
[01:38:41.200 --> 01:38:45.920]   want to charge me um the pharmacy wants to charge me ten thousand dollars a quarter for this medication
[01:38:45.920 --> 01:38:51.840]   called droxidopa all right landon let me check then initially it was 64 a month now it's in the 20
[01:38:51.840 --> 01:38:57.760]   per month because as our cost goes down we pass it on and that's just changed the industry because think
[01:38:57.760 --> 01:39:02.160]   about what happens when you get a prescription what's the pushback but mark i mean what is the
[01:39:02.160 --> 01:39:08.160]   pushback you get because that's that's none count kids counter to the trend right so is it just
[01:39:08.160 --> 01:39:14.080]   infinite growth or how does the industry respond when you create that price differential so it's the
[01:39:14.080 --> 01:39:21.040]   innovators dilemma they can't just give up all of this margin they so most of the business of pharmacy
[01:39:21.040 --> 01:39:26.400]   benefit manage not most so a big chunk of the businesses comes from corporate um from corporations right
[01:39:26.400 --> 01:39:31.520]   and self-insured companies and they go to them and they put together the thing called the formulary
[01:39:31.520 --> 01:39:37.040]   which is all the drugs right that's available to them and they say we're going to price this so that
[01:39:37.040 --> 01:39:42.080]   we get rebates and we'll pass on the rebates we get from the manufacturers to you now they say they're
[01:39:42.080 --> 01:39:46.880]   going to pass on 100 of that rebate they don't they create all these subsidiaries and everything that
[01:39:46.880 --> 01:39:52.240]   skim 10 or whatever off the top but they know that they can continue working with these companies
[01:39:52.240 --> 01:39:57.360]   because the core competency of a ceo is not to know their health care costs and literally for
[01:39:57.360 --> 01:40:05.280]   any ceos that are out there audit your pbm contract audit it right now i promise you that that pbm is
[01:40:05.280 --> 01:40:10.560]   going to tell you you don't need to audit and then you can say we want to add cost plus drugs to our
[01:40:10.560 --> 01:40:16.000]   pharmacy supply contract and they're going to say no you're not allowed to do it because they know our
[01:40:16.000 --> 01:40:21.680]   prices are so much lower that is disrupting their industry are you doing this as like a for-profit
[01:40:21.680 --> 01:40:26.560]   business are you losing money on this and doing it just to help society what's your plan here
[01:40:26.560 --> 01:40:30.960]   right now um i'm losing money and most of that was because we built a factory a whole
[01:40:30.960 --> 01:40:37.840]   robotics driven factory that manufactures um sterile injectables that are in short supply
[01:40:37.840 --> 01:40:43.200]   so now like with the hurricane you know we're using our robotics to switch over to sterile water of all
[01:40:43.200 --> 01:40:47.520]   things and some other things so that we can manufacture it and get it to them at you know
[01:40:47.520 --> 01:40:52.960]   a reasonable price as opposed to price gouging which kamala has talked often about so you know
[01:40:52.960 --> 01:40:57.840]   because there will be price gouging and in pharmacy and we're here to be an alternative so to answer your
[01:40:57.840 --> 01:41:04.800]   question i've spent a whole a lot of money on these robotics and putting this together but our path is
[01:41:04.800 --> 01:41:10.960]   hockey stick double triple hockey stick and so we're taking business from them and i think the traditional
[01:41:10.960 --> 01:41:17.120]   legacy companies in the insurance did something happen to you or somebody around you that motivated
[01:41:17.120 --> 01:41:21.680]   you to go after the pbms or with just this clinical business analysis of like this just
[01:41:21.680 --> 01:41:26.720]   doesn't make sense and it can be done better so both um what happened was i got an email from
[01:41:26.720 --> 01:41:32.720]   my partner co-founder dr alex oshmiansky and he wanted to create a compounding pharmacy in denver
[01:41:32.720 --> 01:41:37.840]   that made drugs that were in short supply because there's always for whatever reason some generic
[01:41:37.840 --> 01:41:43.120]   drug that is on a shortage list and i'm like you're thinking too small and this was right
[01:41:43.120 --> 01:41:47.840]   around the time that the pharma bro was going to jail and i asked him you know how is it that this
[01:41:47.840 --> 01:41:53.920]   dude buys up a one-year supply of daraprim the drug he bought and just jacks it up and how does
[01:41:53.920 --> 01:41:59.200]   that happen and he goes it just happened i'm like well let me do some homework and dig in and the
[01:41:59.200 --> 01:42:04.400]   reason was obvious the industry was completely opaque the first line in every single pharmacy
[01:42:04.400 --> 01:42:09.040]   contract and healthcare contract for that matter is you're not allowed to talk about it you are
[01:42:09.040 --> 01:42:15.280]   restricted from talking about this to anybody anybody at all so we had a completely opaque market
[01:42:15.280 --> 01:42:20.960]   so we put together the website called costplusdrugs.com but really the smartest thing that we did and it
[01:42:20.960 --> 01:42:28.640]   was unintentional in terms of impact we created a full price list so you can get our 2500 drugs the actual
[01:42:28.640 --> 01:42:34.320]   price list and we release it every week because we're on a roll now where we've had since last a
[01:42:34.320 --> 01:42:39.280]   year ago more than a year ago every weekday we've lowered a price on a drug and so we just put that
[01:42:39.280 --> 01:42:44.720]   out and what's happened as a result is now companies can just get the price list and do comparisons to
[01:42:44.720 --> 01:42:49.120]   approximately what they're paying because their pbm won't tell them exactly what they're paying i got i
[01:42:49.120 --> 01:42:54.320]   have one suggestion for you there mark you can make this a non-profit when you sell the maps you could
[01:42:54.320 --> 01:43:00.240]   donate money to this then like six seven years later you could flip it into a for-profit and take it
[01:43:00.240 --> 01:43:07.520]   public there's like a strategy here this could work out exactly the point and you know sam altman is an
[01:43:07.520 --> 01:43:15.760]   investor no i'm just kidding um and so um so we put out this price list and all of a sudden harvard medical
[01:43:15.760 --> 01:43:22.640]   and vanderbilt and um the all these research institutes took our pricing and compared it to
[01:43:22.640 --> 01:43:27.520]   what medicare was paying for the same drugs and it was like well this is this is what i was going to
[01:43:27.520 --> 01:43:33.840]   ask you because cms is now in power to negotiate yeah and this is sort of maybe ties together with the
[01:43:33.840 --> 01:43:39.760]   governmental efficiency and just do the obvious right thing but shouldn't they just work with you as
[01:43:39.760 --> 01:43:47.440]   an example and and why don't they they are and it's just starting they are right so here's again i can't
[01:43:47.440 --> 01:43:53.520]   speak for her to say what she's going to do but here was the conversation i've had with her team when
[01:43:53.520 --> 01:44:01.680]   it comes to reducing out-of-pocket costs to deal with inflation what i have told them is one key area
[01:44:01.680 --> 01:44:07.760]   that in fact most families at some level nobody dies healthy is the cost of healthcare and pharmaceuticals
[01:44:07.760 --> 01:44:14.080]   and by working by requiring transparency in all contracts signed by anybody anywhere in terms
[01:44:14.080 --> 01:44:20.160]   of pricing you are going to see the same impact on across the board pricing of a decrease of 30 40
[01:44:20.160 --> 01:44:26.880]   and so all that is going to reduce out-of-pocket spending for everybody reduce government spending
[01:44:26.880 --> 01:44:32.640]   for everybody and have a net positive impact they see that and have you had the had that conversation
[01:44:32.640 --> 01:44:37.280]   with the republicans as well so that no i mean it seems it makes sense for everybody i had the
[01:44:37.280 --> 01:44:42.160]   converse a similar conversation like as i mentioned you in the white house when i went there um and it
[01:44:42.160 --> 01:44:46.880]   just didn't resonate boys any any final questions for mark here as we uh not gonna ask me about elon
[01:44:46.880 --> 01:44:52.560]   and why i troll elon and any of that good stuff i mean i want to know about are you investing in ai
[01:44:52.560 --> 01:44:57.600]   technology where are you investing in the stack how do you think about that are you an active venture
[01:44:57.600 --> 01:45:01.840]   investor mark i mean i know we've obviously done some stuff together but i'm curious like how how you look at
[01:45:01.840 --> 01:45:06.720]   stuff so now i've kind of slowed down i invested in grok right with schmatz right schmatz yeah let's
[01:45:06.720 --> 01:45:10.720]   go right and he can tell you all the reasons i think we all i think we all have a piece of that now
[01:45:10.720 --> 01:45:14.800]   okay well good so you guys know the whole story right and so i think that that's great picks and
[01:45:14.800 --> 01:45:19.680]   shovels i think are important i think the problem and this happens with all new technologies is we're
[01:45:19.680 --> 01:45:25.200]   seeing the gold rush right now where everybody calls everything ai particularly with agents and i think
[01:45:26.160 --> 01:45:30.960]   you can put all these vertical agents together to do all these different things but agents are
[01:45:30.960 --> 01:45:36.800]   just going to be a feature not a product because inherently in ai as it advances and gets smarter
[01:45:36.800 --> 01:45:41.920]   then it's going to be able to create its own agents for its users and go forward from there so
[01:45:41.920 --> 01:45:47.920]   i've been really hesitant now because you know you're not going to invest in the foundational models
[01:45:47.920 --> 01:45:54.240]   i mean through a fund i have part of um open ai but and some others but it's that's just so
[01:45:54.240 --> 01:45:59.360]   expensive you don't know who the winners are going to be but yet everything that everything that happens
[01:45:59.360 --> 01:46:03.360]   is going to be a derivative of what's your what's your business intuition tell you about that actually
[01:46:03.360 --> 01:46:08.720]   so you have this crazy capital race between closed and open how do you think that plays out
[01:46:08.720 --> 01:46:16.320]   i think there are going to be um tens of millions of models everybody's going to have a model your kids
[01:46:16.320 --> 01:46:21.840]   are going to have models you know their little um invisible friend is going to be a model that's in a
[01:46:21.840 --> 01:46:26.720]   you know a teddy bear um that they grow up with so there's going to be an unlimited number of models
[01:46:26.720 --> 01:46:33.360]   but we don't know who the winners are going to be to host those models i have no idea and if you
[01:46:33.360 --> 01:46:39.600]   go back over the history of technology it's that's always the case everybody there's always a race to
[01:46:39.600 --> 01:46:43.840]   be the winner for the foundation whether it was broadband whether it was networking whether it was
[01:46:43.840 --> 01:46:50.240]   whatever it's streaming and everybody battles it out and so it's okay and i for me now i'm just like
[01:46:50.240 --> 01:46:56.000]   let me just wait let me just there's a you think there's going to be or a chance at job displacement
[01:46:56.000 --> 01:47:01.680]   what do you think of like this uh universal basic income cataclysm i think it's the exact opposite okay
[01:47:01.680 --> 01:47:10.800]   so i think that in order to train a model you need access to information and the internet ain't what it
[01:47:10.800 --> 01:47:17.680]   used to be in terms of being a source of information right and so ip is becoming more valuable you're not i think
[01:47:17.680 --> 01:47:23.920]   everybody by this time expected um all the foundational models to have all this health care information
