
[00:00:00.000 --> 00:00:06.540]   [ Applause ]
[00:51:06.660 --> 00:51:08.140]   And the family decided, OK, the way
[00:51:08.140 --> 00:51:09.420]   we're going to pay for your last day
[00:51:09.420 --> 00:51:10.800]   is because they really want to stay in their home
[00:51:10.800 --> 00:51:12.300]   is a reverse mortgage.
[00:51:12.300 --> 00:51:15.780]   Who should consider a reverse mortgage?
[00:51:15.780 --> 00:51:18.940]   So the idea here is this is the story for the intuition
[00:51:18.940 --> 00:51:21.940]   about why a buffer asset can work.
[00:51:21.940 --> 00:51:24.260]   It's another way to manage sequence risk.
[00:51:24.260 --> 00:51:27.540]   If you don't take a distribution from the portfolio,
[00:51:27.540 --> 00:51:29.860]   it allows your portfolio an easier chance to recover.
[00:51:29.860 --> 00:51:32.020]   So if you took 34 distributions from the portfolio,
[00:51:32.020 --> 00:51:33.340]   you end up at zero.
[00:51:33.340 --> 00:51:37.220]   If you skipped one, you still have close to $1 million left.
[00:51:37.220 --> 00:51:39.380]   If you skipped all three, and these are years after a big
[00:51:39.380 --> 00:51:42.780]   market downturn, you still have $2.25 million left.
[00:51:42.780 --> 00:51:45.140]   So the idea with a buffer asset is
[00:51:45.140 --> 00:51:47.740]   if it costs less than $2.25 million
[00:51:47.740 --> 00:51:51.340]   to cover three years of spending from loans from my buffer
[00:51:51.340 --> 00:51:56.340]   asset, I can pay off the loan and still have a net windfall.
[00:51:56.340 --> 00:52:00.220]   And that's where the story of reverse mortgage fits in.
[00:52:00.220 --> 00:52:02.460]   It's another way-- it creates liquidity for the home
[00:52:02.460 --> 00:52:03.540]   without selling it.
[00:52:03.540 --> 00:52:05.420]   And so just like if you spend from your IRA,
[00:52:05.420 --> 00:52:07.780]   that money's gone, well, this provides a way
[00:52:07.780 --> 00:52:09.940]   to spend from your home in a similar manner.
[00:52:09.940 --> 00:52:12.100]   That's how I like to frame it.
[00:52:12.100 --> 00:52:13.980]   Who should consider it?
[00:52:13.980 --> 00:52:16.540]   Someone who's not going to have the temptation
[00:52:16.540 --> 00:52:18.340]   to just spend it frivolously.
[00:52:18.340 --> 00:52:19.900]   But if you're going to incorporate it
[00:52:19.900 --> 00:52:22.460]   into a responsible retirement income plan,
[00:52:22.460 --> 00:52:24.620]   and there's a lot of ways it can be done,
[00:52:24.620 --> 00:52:27.620]   it could have a potential role in the plan.
[00:52:27.620 --> 00:52:29.660]   Well, I know lunch is waiting.
[00:52:29.660 --> 00:52:31.700]   So I don't dare carry this on any longer.
[00:52:31.700 --> 00:52:34.460]   There's a lot more interesting stuff about retirement income
[00:52:34.460 --> 00:52:35.360]   we can talk about.
[00:52:35.360 --> 00:52:36.780]   But I think we better stop there,
[00:52:36.780 --> 00:52:39.580]   because I'm hearing some stomachs growling out there.
[00:52:39.580 --> 00:52:43.140]   Just by way of information, lunch will be in the hallway.
[00:52:43.140 --> 00:52:44.660]   You can take it into the other room.
[00:52:44.660 --> 00:52:46.780]   There are lots of tables in there you can eat at.
[00:52:46.780 --> 00:52:49.700]   I'm guessing this entire group is not going to fit in there.
[00:52:49.700 --> 00:52:52.140]   So if a few of you need to come back to the tables in here,
[00:52:52.140 --> 00:52:54.100]   that's OK as well.
[00:52:54.100 --> 00:52:55.780]   But thank you, Wade, for your expertise
[00:52:55.780 --> 00:52:57.620]   and sharing your thoughts on retirement.
[00:52:57.620 --> 00:53:00.980]   [APPLAUSE]
[00:53:00.980 --> 00:53:03.740]   [SIDE CONVERSATION]
[00:53:03.740 --> 00:53:13.740]   [BLANK_AUDIO]

