
[00:00:00.000 --> 00:00:02.000]   quiet quitting.
[00:56:02.800 --> 00:56:05.800]   It's text files in your computer that you can go and read you
[00:56:05.800 --> 00:56:07.100]   can open it up in text edit.
[00:56:07.100 --> 00:56:08.000]   You can change it.
[00:56:08.000 --> 00:56:10.600]   And when you look at it with Obsidian, it will be you will
[00:56:10.600 --> 00:56:11.300]   see those changes.
[00:56:11.300 --> 00:56:14.900]   So Obsidian is just an interface that allows you to edit text
[00:56:14.900 --> 00:56:18.100]   files in your computer and displays those text files in a
[00:56:18.100 --> 00:56:18.700]   nice way.
[00:56:18.700 --> 00:56:20.100]   So I like that.
[00:56:20.100 --> 00:56:20.900]   It's full control.
[00:56:20.900 --> 00:56:22.000]   So Obsidian could go away.
[00:56:22.000 --> 00:56:23.000]   I have all my notes.
[00:56:23.000 --> 00:56:26.400]   I could read them just directly with a text editor or get any
[00:56:26.400 --> 00:56:29.000]   other type of markup reader that exists and still read those
[00:56:29.000 --> 00:56:29.400]   notes.
[00:56:29.400 --> 00:56:32.600]   I mean, I only need to use Obsidian because I might like
[00:56:32.600 --> 00:56:33.400]   its interface.
[00:56:33.400 --> 00:56:37.400]   Now I use Dropbox with synced backup.
[00:56:37.400 --> 00:56:40.500]   So like my Obsidian setup is in a directory that's auto synced
[00:56:40.500 --> 00:56:41.100]   to Dropbox.
[00:56:41.100 --> 00:56:44.400]   So all of these notes are automatically also updated and
[00:56:44.400 --> 00:56:46.600]   copied to Dropbox.
[00:56:46.600 --> 00:56:47.700]   So everything's backed up.
[00:56:47.700 --> 00:56:51.200]   And so if I get a new computer, I just re-sync to my Dropbox
[00:56:51.200 --> 00:56:53.000]   directory structure and I have those notes there.
[00:56:53.000 --> 00:56:54.300]   So the notes live in multiple places.
[00:56:54.300 --> 00:56:55.100]   I'm not going to lose them.
[00:56:55.800 --> 00:56:57.000]   Anyways, that's why I like it.
[00:56:57.000 --> 00:57:01.700]   It feels like a sophisticated version of my dependence on
[00:57:01.700 --> 00:57:04.300]   plain text files that I already use in other parts of my
[00:57:04.300 --> 00:57:05.000]   productivity.
[00:57:05.000 --> 00:57:06.500]   So that's a nerd reason.
[00:57:06.500 --> 00:57:09.100]   I think for a lot of people that doesn't really matter.
[00:57:09.100 --> 00:57:14.300]   So I would not use this reason as a general recommendation
[00:57:14.300 --> 00:57:16.400]   that everyone definitely needs to be on Obsidian.
[00:57:16.400 --> 00:57:21.700]   But if you're a CS nerd like me or presumably like Will, it
[00:57:21.700 --> 00:57:22.400]   is kind of cool.
[00:57:25.500 --> 00:57:28.100]   All right, so I want to try something somewhat new here.
[00:57:28.100 --> 00:57:30.500]   We're trying to do more case studies on this show.
[00:57:30.500 --> 00:57:33.900]   This is the feedback we got that people would like to hear
[00:57:33.900 --> 00:57:37.400]   more details about real people's experiences putting these
[00:57:37.400 --> 00:57:38.500]   ideas into practice.
[00:57:38.500 --> 00:57:43.800]   As I've mentioned, the medium term goal is a call.
[00:57:43.800 --> 00:57:46.200]   We want to have people call in live and actually interact
[00:57:46.200 --> 00:57:46.600]   with me.
[00:57:46.600 --> 00:57:48.600]   That's all complicated.
[00:57:48.600 --> 00:57:49.600]   Sound is complicated.
[00:57:49.600 --> 00:57:51.500]   Don't even get me started on that, but we're working on it.
[00:57:51.500 --> 00:57:55.200]   In the meantime, I'm also soliciting you can send in
[00:57:55.200 --> 00:57:58.100]   text case studies in the same question survey that you can
[00:57:58.100 --> 00:57:59.300]   use to submit your questions.
[00:57:59.300 --> 00:58:01.200]   That link is in the show notes, but I wanted to read one
[00:58:01.200 --> 00:58:03.600]   today from Josh.
[00:58:03.600 --> 00:58:07.400]   He was a network engineer who's in his 20s.
[00:58:07.400 --> 00:58:08.800]   All right.
[00:58:08.800 --> 00:58:12.100]   So here's what Josh had to say and I'll just read this a world
[00:58:12.100 --> 00:58:15.600]   without email got my team and me through a crisis.
[00:58:15.600 --> 00:58:20.800]   I got a copy of it on pre-order and it just after it arrived
[00:58:20.800 --> 00:58:22.800]   my wife and I went on vacation to Puerto Rico.
[00:58:22.800 --> 00:58:26.400]   It was really lovely being able to just read about a better
[00:58:26.400 --> 00:58:29.300]   way to work while sitting on the beach and returning home
[00:58:29.300 --> 00:58:29.900]   from vacation.
[00:58:29.900 --> 00:58:36.700]   My IT team suffered an unexpected crisis and I was thrown
[00:58:36.700 --> 00:58:38.900]   into a demanding management role.
[00:58:38.900 --> 00:58:42.300]   I'm the kind of person who likes to feel in control and
[00:58:42.300 --> 00:58:45.200]   the one mission I could give myself to preserve some sibilance
[00:58:45.200 --> 00:58:47.800]   of that feeling was to make sure that we didn't drop a single
[00:58:47.800 --> 00:58:50.300]   ball in response to this crisis.
[00:58:50.300 --> 00:58:53.400]   As a team, we had minimal shared documentation and we had
[00:58:53.400 --> 00:58:54.800]   no central work repository.
[00:58:54.800 --> 00:58:57.500]   So I didn't even know what engineering work was happening.
[00:58:57.500 --> 00:59:00.400]   My first thought was to collect all work items into a task
[00:59:00.400 --> 00:59:03.500]   board just like a world without email lays out, but I didn't
[00:59:03.500 --> 00:59:06.500]   have the time to wait for corporate procurement to approve
[00:59:06.500 --> 00:59:09.800]   an enterprise Trello subscription and we didn't have a way
[00:59:09.800 --> 00:59:11.300]   to get the team onto any sort of task board.
[00:59:11.300 --> 00:59:15.600]   So I ended up creating a minimum viable product out of folders
[00:59:15.600 --> 00:59:17.600]   on a shared drive.
[00:59:18.200 --> 00:59:21.900]   We had a folder called active work inside of that folder.
[00:59:21.900 --> 00:59:24.200]   We had a new folder for each work item.
[00:59:24.200 --> 00:59:28.500]   The folder name was a short description of the task itself
[00:59:28.500 --> 00:59:32.800]   inside that folder was a notes dot txt file that detailed
[00:59:32.800 --> 00:59:36.600]   the task any emails pertaining to the task were copied and
[00:59:36.600 --> 00:59:40.100]   pasted into an emails dot txt file.
[00:59:40.100 --> 00:59:44.100]   Any working documents were also saved in that folder.
[00:59:45.200 --> 00:59:49.800]   So for example, we might have a folder named design data
[00:59:49.800 --> 00:59:54.400]   center core that would contain a notes dot txt file detailing
[00:59:54.400 --> 00:59:58.400]   all the design considerations and a working diagram and
[00:59:58.400 --> 00:59:59.900]   a spreadsheet also in that folder.
[00:59:59.900 --> 01:00:03.200]   If I were to take ownership of a task, I would modify the
[01:00:03.200 --> 01:00:05.400]   folder name to indicate that.
[01:00:05.400 --> 01:00:10.800]   So now it might say Josh colon design data center core that
[01:00:10.800 --> 01:00:13.900]   way an alphabetical sort of the active work folder would isolate
[01:00:13.900 --> 01:00:16.300]   all of my work as I finished a task.
[01:00:16.300 --> 01:00:19.600]   I would update the notes dot txt file with closeout notes
[01:00:19.600 --> 01:00:24.400]   and change the folder name to completed colon Josh colon
[01:00:24.400 --> 01:00:26.600]   design data center core.
[01:00:26.600 --> 01:00:30.000]   We could focus exclusively on a task by opening that folder.
[01:00:30.000 --> 01:00:32.700]   We could share notes and feedback between team members by
[01:00:32.700 --> 01:00:34.400]   dropping a txt file in that folder.
[01:00:34.400 --> 01:00:36.800]   We could see work in progress at a glance.
[01:00:36.800 --> 01:00:39.000]   We had a way to gather detailed information about a task
[01:00:39.000 --> 01:00:41.400]   without actually having to own the task and start working
[01:00:41.400 --> 01:00:41.800]   on it.
[01:00:42.600 --> 01:00:44.400]   We only use that system for a couple of months, but it
[01:00:44.400 --> 01:00:45.800]   accomplished its goal.
[01:00:45.800 --> 01:00:48.600]   We didn't drop or forget even a single task.
[01:00:48.600 --> 01:00:51.700]   There were no external teams at my company that felt like
[01:00:51.700 --> 01:00:53.900]   they needed to escalate issues to my manager.
[01:00:53.900 --> 01:00:57.500]   We were able to share the increased workload to the team,
[01:00:57.500 --> 01:01:00.000]   even though I was primarily the one collecting information
[01:01:00.000 --> 01:01:00.800]   about work items.
[01:01:00.800 --> 01:01:04.400]   From there, we were able to move to a real task board and
[01:01:04.400 --> 01:01:07.400]   18 months later, our little team is now seen as an agile
[01:01:07.400 --> 01:01:10.900]   transformation leader within our broader organization.
[01:01:11.600 --> 01:01:14.400]   All right, it's a cool case study because two reasons.
[01:01:14.400 --> 01:01:21.100]   One, it highlights something I say often on this show, which
[01:01:21.100 --> 01:01:24.400]   is when it comes to organizing work, especially in teams,
[01:01:24.400 --> 01:01:27.100]   start with the process first.
[01:01:27.100 --> 01:01:31.300]   What makes the most sense for us to organize our work and
[01:01:31.300 --> 01:01:35.300]   then to figure out what tools you need to implement that.
[01:01:35.300 --> 01:01:38.800]   And that is exactly what Josh did in that story because
[01:01:38.800 --> 01:01:41.500]   they couldn't procure the right tools fast enough.
[01:01:41.500 --> 01:01:44.600]   They said, we can just use text files and folder names and
[01:01:44.600 --> 01:01:45.400]   it worked great.
[01:01:45.400 --> 01:01:47.500]   What mattered was the process.
[01:01:47.500 --> 01:01:49.400]   And then once they got approval to switch to a task board,
[01:01:49.400 --> 01:01:52.600]   oh, they switched to a task board, but it was that process
[01:01:52.600 --> 01:01:54.300]   that they switched to a task board and it didn't really
[01:01:54.300 --> 01:01:57.300]   matter if they were implementing it by changing the name
[01:01:57.300 --> 01:02:00.300]   of folders or if they're on a Trello board, it was the
[01:02:00.300 --> 01:02:01.100]   same process.
[01:02:01.100 --> 01:02:03.100]   And so I think that's really cool to see.
[01:02:03.100 --> 01:02:05.700]   And then two, I just like that specific setup.
[01:02:05.700 --> 01:02:07.700]   That's a cool system.
[01:02:08.200 --> 01:02:08.700]   Right?
[01:02:08.700 --> 01:02:11.300]   Folders for each thing that we're actively working on,
[01:02:11.300 --> 01:02:14.600]   all of the information relevant to that thing, go into
[01:02:14.600 --> 01:02:18.200]   that folder, including relevant emails, have a key read
[01:02:18.200 --> 01:02:20.500]   me file in each folder that gives you the overview of
[01:02:20.500 --> 01:02:23.200]   exactly where everything lands, put your name into the
[01:02:23.200 --> 01:02:24.600]   directory title.
[01:02:24.600 --> 01:02:26.100]   So we know who's working on what.
[01:02:26.100 --> 01:02:27.100]   That's a great system.
[01:02:27.100 --> 01:02:29.000]   And see what Josh said there.
[01:02:29.000 --> 01:02:34.100]   Josh said all of the incoming was directed at him.
[01:02:34.100 --> 01:02:37.300]   So it's this was a, in his elaboration, he said,
[01:02:37.300 --> 01:02:39.100]   "IT team within a big organization."
[01:02:39.100 --> 01:02:44.000]   So IT teams get hammered with, "Build us this, fix this,
[01:02:44.000 --> 01:02:47.000]   add this new feature, implement this system."
[01:02:47.000 --> 01:02:48.600]   It's all day long.
[01:02:48.600 --> 01:02:50.400]   It all came to Josh.
[01:02:50.400 --> 01:02:55.000]   And yet he said he felt like all this work was very
[01:02:55.000 --> 01:02:58.600]   intelligently distributed to the whole team.
[01:02:58.600 --> 01:03:00.800]   Everyone was working on different things, beautiful
[01:03:00.800 --> 01:03:01.600]   collaboration.
[01:03:01.600 --> 01:03:05.700]   And because they built a process here that made sense.
[01:03:05.700 --> 01:03:09.600]   So anyways, great example, Josh, I appreciate that
[01:03:09.600 --> 01:03:12.900]   those specifics and I appreciate that opportunity to
[01:03:12.900 --> 01:03:15.500]   talk about when you get specific about workflows, as
[01:03:15.500 --> 01:03:17.100]   opposed to just saying, "Look, we're all on Slack.
[01:03:17.100 --> 01:03:17.900]   Let's rock and roll."
[01:03:17.900 --> 01:03:19.000]   Things can get a lot better.
[01:03:19.000 --> 01:03:22.900]   I like how he says when he does the alphabetical search,
[01:03:22.900 --> 01:03:24.700]   it can just show all his work right there.
[01:03:24.700 --> 01:03:28.100]   There's definitely an IT labor to that system.
[01:03:28.100 --> 01:03:28.700]   Yeah.
[01:03:28.700 --> 01:03:30.700]   Well, if you put your name in the folder and you can
[01:03:30.700 --> 01:03:34.500]   alphabetize folders, but it's not a big deal.
[01:03:34.500 --> 01:03:35.900]   You can alphabetize folders.
[01:03:35.900 --> 01:03:36.700]   But it is true.
[01:03:36.700 --> 01:03:39.900]   Like existing technology is great.
[01:03:39.900 --> 01:03:41.200]   Yeah, that's not the problem.
[01:03:41.200 --> 01:03:44.100]   The problem is not that someone hasn't built a fancy
[01:03:44.100 --> 01:03:46.100]   web interface for what you're trying to do.
[01:03:46.100 --> 01:03:47.700]   The problem is you don't have a system.
[01:03:47.700 --> 01:03:50.700]   That you're just on email like, "Did you get my last
[01:03:50.700 --> 01:03:51.700]   message? Why didn't you respond?"
[01:03:51.700 --> 01:03:54.900]   Good for you, Josh.
[01:03:54.900 --> 01:03:58.000]   All right.
[01:03:58.000 --> 01:04:01.000]   Let me talk about a sponsor real quick before we move
[01:04:01.000 --> 01:04:02.400]   on to our second block of questions.
[01:04:03.500 --> 01:04:06.100]   Blinkist Standing Sponsors, one of my favorite idea
[01:04:06.100 --> 01:04:09.200]   related companies, and that is Blinkist.
[01:04:09.200 --> 01:04:14.500]   As I often say, ideas are power in our current world
[01:04:14.500 --> 01:04:18.700]   and the best source of ideas is almost always books.
[01:04:18.700 --> 01:04:21.900]   The issue is figuring out which books you should read
[01:04:21.900 --> 01:04:23.200]   and which books you don't need to.
[01:04:23.200 --> 01:04:25.200]   That's where Blinkist enters the picture.
[01:04:25.200 --> 01:04:28.600]   They offer 15-minute text and audio explainers called
[01:04:28.600 --> 01:04:33.200]   Blinks of over 5,000 nonfiction books spread over
[01:04:33.200 --> 01:04:34.600]   27 categories.
[01:04:34.600 --> 01:04:38.000]   They're also now doing shortcast, which gives you
[01:04:38.000 --> 01:04:41.600]   summaries of long-form podcast.
[01:04:41.600 --> 01:04:43.800]   So here is how you use Blinkist.
[01:04:43.800 --> 01:04:45.800]   You're interested in a topic, right?
[01:04:45.800 --> 01:04:47.800]   So you're interested in crypto and blockchains.
[01:04:47.800 --> 01:04:50.700]   You go find two or three books, Blockchain Revolution,
[01:04:50.700 --> 01:04:51.700]   Blockchain, etc.
[01:04:51.700 --> 01:04:56.000]   Listen to the blinks while you're on a walk or on
[01:04:56.000 --> 01:04:58.100]   your commute or read them while you're waiting in
[01:04:58.100 --> 01:04:59.200]   line somewhere, whatever.
[01:04:59.200 --> 01:05:01.300]   Get the main ideas from those books.
[01:05:01.300 --> 01:05:03.100]   Now, you know the lay of the land of that idea.
[01:05:03.100 --> 01:05:05.000]   You're already way better off than you were before
[01:05:05.000 --> 01:05:06.800]   and you've only spent 30-45 minutes.
[01:05:06.800 --> 01:05:10.100]   You also can figure out if you need to read something,
[01:05:10.100 --> 01:05:12.000]   which of those books is going to be best because
[01:05:12.000 --> 01:05:13.900]   you've seen their summary and what they focus on.
[01:05:13.900 --> 01:05:18.800]   So I think of Blinkist as a sidekick that any serious
[01:05:18.800 --> 01:05:21.200]   idea reader needs.
[01:05:21.200 --> 01:05:24.000]   Okay, it's something that you should have if you're
[01:05:24.000 --> 01:05:25.400]   serious about the world of ideas.
[01:05:25.400 --> 01:05:27.100]   I read a Blink today, actually.
[01:05:27.100 --> 01:05:27.900]   Which book?
[01:05:27.900 --> 01:05:31.500]   It was a physics book.
[01:05:31.500 --> 01:05:33.000]   It was like pretty cool.
[01:05:33.200 --> 01:05:36.800]   And the thing I like about it is because you listen
[01:05:36.800 --> 01:05:39.000]   to a lot of podcasts, you read a lot of articles
[01:05:39.000 --> 01:05:41.000]   and stuff, you get all these lists of books and
[01:05:41.000 --> 01:05:43.500]   then you're never going to be able to read everything.
[01:05:43.500 --> 01:05:49.100]   So it's a good little way to maybe cross off some
[01:05:49.100 --> 01:05:51.100]   of those books on that list that you want to get
[01:05:51.100 --> 01:05:51.900]   an idea of.
[01:05:51.900 --> 01:05:53.100]   That's a smart idea.
[01:05:53.100 --> 01:05:55.000]   Yeah, so you listen to a podcast, you hear seven
[01:05:55.000 --> 01:05:55.900]   book recommendations.
[01:05:55.900 --> 01:05:58.400]   Do the blinks for all seven books.
[01:05:58.400 --> 01:06:00.600]   You'll have the main ideas of those seven books
[01:06:00.600 --> 01:06:03.600]   and maybe one of them you'll read.
[01:06:03.600 --> 01:06:05.100]   I mean, I don't know if you have this experience,
[01:06:05.100 --> 01:06:06.900]   Jesse, but for me, it's like really obvious.
[01:06:06.900 --> 01:06:10.300]   It's very bimodal when I'm reading a blink of a book.
[01:06:10.300 --> 01:06:13.500]   Whether I'm like, yeah, I got what I need and whether
[01:06:13.500 --> 01:06:15.400]   I'm thinking I got to read this book.
[01:06:15.400 --> 01:06:17.600]   There's a cool feature on the app too, where when
[01:06:17.600 --> 01:06:19.100]   you're going through the blink, it's got like the
[01:06:19.100 --> 01:06:20.800]   little timeline down below.
[01:06:20.800 --> 01:06:22.700]   So, you know how much more you have as you're
[01:06:22.700 --> 01:06:23.100]   reading it.
[01:06:23.100 --> 01:06:25.100]   So just bang it up.
[01:06:25.100 --> 01:06:26.700]   That's how I should evaluate my own books.
[01:06:26.700 --> 01:06:28.300]   I should go back and read the blinks and be like
[01:06:28.300 --> 01:06:30.000]   if this doesn't make me want to buy the book, I
[01:06:30.000 --> 01:06:32.300]   need to go back and make a better book.
[01:06:32.300 --> 01:06:35.600]   So right now Blinkist has a special offer just
[01:06:35.600 --> 01:06:36.800]   for our audience.
[01:06:36.800 --> 01:06:40.200]   Go to blinkist.com/deep to start your free
[01:06:40.200 --> 01:06:42.600]   seven-day trial and you'll get 25% off a Blinkist
[01:06:42.600 --> 01:06:44.000]   premium membership.
[01:06:44.000 --> 01:06:47.900]   That's Blinkist spelled B-L-I-N-K-I-S-T.
[01:06:47.900 --> 01:06:51.500]   Blinkist.com/deep to get 25% off a seven-day
[01:06:51.500 --> 01:06:52.300]   free trial.
[01:06:52.300 --> 01:06:55.800]   Blinkist.com/deep.
[01:06:55.800 --> 01:06:58.700]   I was laughing when I was thinking about you
[01:06:58.700 --> 01:06:59.500]   said physics.
[01:07:00.000 --> 01:07:03.300]   I was imagining reading a blink on Albert Einstein's
[01:07:03.300 --> 01:07:06.400]   1905 paper on special relativity and you just
[01:07:06.400 --> 01:07:09.400]   open up the blink and it says E equals MC squared.
[01:07:09.400 --> 01:07:12.500]   It was talking about that actually.
[01:07:12.500 --> 01:07:15.000]   That's great.
[01:07:15.000 --> 01:07:17.100]   All right, one of the sponsor want to mention
[01:07:17.100 --> 01:07:21.900]   another longtime friend of the show that is Express
[01:07:21.900 --> 01:07:23.700]   VPN.
[01:07:23.700 --> 01:07:27.800]   If you access the internet places outside of your
[01:07:27.800 --> 01:07:30.500]   home or your work, you need to use a VPN and we've
[01:07:30.500 --> 01:07:31.800]   explained this before on the show.
[01:07:31.800 --> 01:07:36.100]   This is CS security 101 with a VPN.
[01:07:36.100 --> 01:07:39.500]   You do not directly connect to a website or service
[01:07:39.500 --> 01:07:43.900]   you instead connect to a VPN server with a secure
[01:07:43.900 --> 01:07:44.800]   encrypted connection.
[01:07:44.800 --> 01:07:46.200]   You tell that server.
[01:07:46.200 --> 01:07:48.400]   This is the website or service.
[01:07:48.400 --> 01:07:50.700]   I want to talk to that server does it on your
[01:07:50.700 --> 01:07:52.500]   behalf and then sends the information back to
[01:07:52.500 --> 01:07:53.600]   you over the encrypted connection.
[01:07:53.600 --> 01:07:54.500]   Why is that important?
[01:07:54.500 --> 01:07:57.700]   It means that people who are watching who you're
[01:07:57.700 --> 01:07:58.400]   talking to.
[01:07:58.400 --> 01:08:00.500]   So the people who are sniffing the packets you're
[01:08:00.500 --> 01:08:03.000]   sending to the access point at Starbucks.
[01:08:03.000 --> 01:08:05.500]   All they know is that you're talking to a VPN
[01:08:05.500 --> 01:08:05.900]   server.
[01:08:05.900 --> 01:08:09.400]   They have no idea what site or service that server
[01:08:09.400 --> 01:08:11.200]   is going to talk to on your behalf or what you're
[01:08:11.200 --> 01:08:12.600]   asking for because that's encrypted.
[01:08:12.600 --> 01:08:15.500]   All right, so you need to use a VPN.
[01:08:15.500 --> 01:08:19.100]   If you're going to use a VPN, I recommend Express
[01:08:19.100 --> 01:08:23.100]   VPN and it's because two things they have a lot
[01:08:23.100 --> 01:08:23.700]   of servers.
[01:08:23.700 --> 01:08:25.600]   So for a VPN to work, well, you want there to be
[01:08:25.600 --> 01:08:27.900]   a server to connect to that's not that far away.
[01:08:27.900 --> 01:08:31.400]   If you are in Washington DC, you don't necessarily
[01:08:31.400 --> 01:08:32.900]   want to go through a server in Australia that
[01:08:32.900 --> 01:08:34.000]   would add extra lag.
[01:08:34.000 --> 01:08:36.500]   So the more servers the better Express VPN has a
[01:08:36.500 --> 01:08:39.900]   ton to they have a lot of bandwidth fast
[01:08:39.900 --> 01:08:41.300]   connections and I'm going to add three.
[01:08:41.300 --> 01:08:43.700]   Why not third the software is easy runs in the
[01:08:43.700 --> 01:08:44.300]   background.
[01:08:44.300 --> 01:08:46.500]   You turn it on with a click and you're just using
[01:08:46.500 --> 01:08:49.100]   using the VPN without even thinking about it.
[01:08:49.100 --> 01:08:52.100]   Of course, there's other advantages to VPNs
[01:08:53.800 --> 01:08:55.000]   locality stuff.
[01:08:55.000 --> 01:08:58.400]   Oh, I can't access UK content on Netflix.
[01:08:58.400 --> 01:08:59.200]   They live in the US.
[01:08:59.200 --> 01:09:02.000]   Hey connect to a VPN server in the UK Netflix
[01:09:02.000 --> 01:09:02.800]   thinks you're in the UK.
[01:09:02.800 --> 01:09:04.600]   So it's kind of cool stuff you can do but this
[01:09:04.600 --> 01:09:05.500]   is just basic CS.
[01:09:05.500 --> 01:09:08.200]   You need a VPN Express VPN is the one I recommend.
[01:09:08.200 --> 01:09:11.200]   So get your money's worth from your internet and
[01:09:11.200 --> 01:09:17.200]   get security and privacy at Express VPN.com/deep.
[01:09:17.200 --> 01:09:22.400]   Don't forget to use this link Express VPN.com/deep.
[01:09:22.400 --> 01:09:23.500]   Don't forget the /deep.
[01:09:23.500 --> 01:09:25.000]   That's how they know you came from me.
[01:09:25.000 --> 01:09:27.400]   If you use that /deep you will also get three
[01:09:27.400 --> 01:09:30.800]   extra months of Express VPN for free.
[01:09:30.800 --> 01:09:33.700]   Check on my time here.
[01:09:33.700 --> 01:09:34.300]   Oh, we're doing well.
[01:09:34.300 --> 01:09:34.700]   All right.
[01:09:34.700 --> 01:09:36.500]   So let's move on to our second block of questions.
[01:09:36.500 --> 01:09:40.700]   What we tried to do here is as we often do try
[01:09:40.700 --> 01:09:42.600]   to do is make the second block a little bit more
[01:09:42.600 --> 01:09:44.800]   deep life philosophical first block.
[01:09:44.800 --> 01:09:47.900]   We got into the weeds on some things second
[01:09:47.900 --> 01:09:51.200]   block will get a little more philosophical here.
[01:09:51.200 --> 01:09:52.500]   So what do we got Jesse?
[01:09:53.000 --> 01:09:55.300]   All right, first question here.
[01:09:55.300 --> 01:09:59.300]   It's an anonymous question and it states, how do
[01:09:59.300 --> 01:10:01.500]   you think about long-term career or work issues
[01:10:01.500 --> 01:10:04.500]   in the face of seemingly growing accidental threats
[01:10:04.500 --> 01:10:07.100]   such as climate change economic disparity in the
[01:10:07.100 --> 01:10:09.900]   world and new technologies such as AI?
[01:10:09.900 --> 01:10:15.100]   I mean, I think the key there is stop using so
[01:10:15.100 --> 01:10:18.300]   much social media stop reading so much online
[01:10:18.300 --> 01:10:22.300]   news and let me let me explain where I'm coming
[01:10:22.300 --> 01:10:23.100]   from with that answer.
[01:10:23.100 --> 01:10:24.100]   First.
[01:10:24.100 --> 01:10:27.300]   Let's begin with the premise that there always
[01:10:27.300 --> 01:10:30.100]   has been and there will always be to varying
[01:10:30.100 --> 01:10:32.500]   degrees up and down a lot of distressing stuff
[01:10:32.500 --> 01:10:35.300]   happening in the world.
[01:10:35.300 --> 01:10:38.700]   There is nothing exceptional about our current
[01:10:38.700 --> 01:10:39.300]   moment.
[01:10:39.300 --> 01:10:42.600]   I think back in a certain circumstance like this
[01:10:42.600 --> 01:10:43.400]   thing about a question like this.
[01:10:43.400 --> 01:10:47.400]   I think back to the Irish Christian monastics.
[01:10:48.400 --> 01:10:51.500]   Of the early medieval period the late dark ages.
[01:10:51.500 --> 01:10:54.100]   This was a very rough time.
[01:10:54.100 --> 01:10:56.400]   There was a lot of bad things happening.
[01:10:56.400 --> 01:11:00.800]   There were diseases that could kill 30 40 percent
[01:11:00.800 --> 01:11:03.100]   of a population of a continent in just a couple
[01:11:03.100 --> 01:11:03.800]   of years.
[01:11:03.800 --> 01:11:07.200]   There was no political stability.
[01:11:07.200 --> 01:11:11.800]   These monasteries were often raided by for example,
[01:11:11.800 --> 01:11:14.800]   Vikings where everyone would just be murdered.
[01:11:16.000 --> 01:11:17.500]   This was not a time where you're like, yeah.
[01:11:17.500 --> 01:11:18.900]   Pretty peaceful.
[01:11:18.900 --> 01:11:20.000]   I'm pretty happy about things.
[01:11:20.000 --> 01:11:22.200]   But what were those Irish monastics doing?
[01:11:22.200 --> 01:11:24.700]   They were very carefully preserving and copying
[01:11:24.700 --> 01:11:28.000]   over a lot of the intellectual fruits of the
[01:11:28.000 --> 01:11:30.200]   ancient period and you know what we're glad they
[01:11:30.200 --> 01:11:33.200]   were we're glad they worked in this terrible time
[01:11:33.200 --> 01:11:34.600]   because it was actually in a lot of these
[01:11:34.600 --> 01:11:37.800]   monasteries that we maintain our only copies of
[01:11:37.800 --> 01:11:40.000]   some of the key ancient philosophical and
[01:11:40.000 --> 01:11:41.700]   mathematical text that then helped spur the
[01:11:41.700 --> 01:11:43.300]   Renaissance a couple hundred years later.
[01:11:44.800 --> 01:11:45.900]   There's actually a book about that.
[01:11:45.900 --> 01:11:48.200]   I read called how the Irish saved the world and
[01:11:48.200 --> 01:11:49.900]   it goes what's called but I use that example
[01:11:49.900 --> 01:11:53.900]   to say in much worse circumstances of our today
[01:11:53.900 --> 01:11:56.000]   people working on things that are important
[01:11:56.000 --> 01:11:59.800]   ended up being really important for humanity.
[01:11:59.800 --> 01:12:04.000]   We are glad that our forebearers in much worse
[01:12:04.000 --> 01:12:06.700]   situations than today that had to deal with
[01:12:06.700 --> 01:12:09.500]   the entire continent is half dead and will
[01:12:09.500 --> 01:12:10.900]   probably be murdered within a week.
[01:12:10.900 --> 01:12:11.700]   That is worse.
[01:12:11.700 --> 01:12:14.200]   That is a worse situation than we are unsure
[01:12:14.200 --> 01:12:16.100]   about what the average temperature increase is
[01:12:16.100 --> 01:12:17.500]   going to be over the next 100 years.
[01:12:17.500 --> 01:12:19.300]   They still worked on what they thought was
[01:12:19.300 --> 01:12:19.900]   important.
[01:12:19.900 --> 01:12:23.000]   They still pursued a deep life and we are all
[01:12:23.000 --> 01:12:23.700]   the better for it.
[01:12:23.700 --> 01:12:25.600]   So that's the example I wanted to give there.
[01:12:25.600 --> 01:12:29.700]   You know Ezra Klein had he wrote an article
[01:12:29.700 --> 01:12:31.500]   New York Times op-ed about this a couple months
[01:12:31.500 --> 01:12:36.200]   ago where he was hearing this about climate
[01:12:36.200 --> 01:12:37.300]   change in particular.
[01:12:37.300 --> 01:12:40.800]   He was hearing more and more people from his
[01:12:40.800 --> 01:12:43.200]   circle who are saying well, why why would we
[01:12:43.200 --> 01:12:45.600]   even bother having kids?
[01:12:45.600 --> 01:12:48.600]   How would we why would we even bother trying
[01:12:48.600 --> 01:12:52.200]   to perpetuate humanity because of how bad
[01:12:52.200 --> 01:12:54.400]   climate change is going to be and Ezra was
[01:12:54.400 --> 01:12:56.200]   like look, I'm very concerned about this topic.
[01:12:56.200 --> 01:12:58.400]   Obviously, I'm very much, you know, progressive
[01:12:58.400 --> 01:13:01.500]   on this topic, but my god, we had kids as a
[01:13:01.500 --> 01:13:04.600]   species in much worse times with much worse
[01:13:04.600 --> 01:13:06.600]   things happening on the horizon and much worse
[01:13:06.600 --> 01:13:08.000]   things happening at the moment.
[01:13:08.000 --> 01:13:10.500]   We still continue to perpetuate the species
[01:13:10.500 --> 01:13:12.000]   and we're glad we are because we want to be
[01:13:12.000 --> 01:13:14.700]   here and all the all of the good and the art
[01:13:14.700 --> 01:13:16.200]   and the beauty and the love that has been
