
[00:00:00.000 --> 00:00:04.120]   All the people who sold the war in Iraq, they lied us into war after a war.
[02:44:22.020 --> 02:44:25.760]   You know, you're, you're, uh, then, then you're seeing what I say and then go, huh.
[02:44:25.760 --> 02:44:26.100]   Okay.
[02:44:26.100 --> 02:44:27.620]   Well, let me ask something based off that.
[02:44:27.620 --> 02:44:30.640]   Let me make a point based off that we're both kind of like unguarded.
[02:44:30.780 --> 02:44:36.340]   And when you consume somebody like that for, for like 40, 50 hours, you do see into their soul.
[02:44:36.340 --> 02:44:39.500]   I think there's almost no way, there's no way to avoid that.
[02:44:39.500 --> 02:44:44.680]   And, and also I would say if they're not letting you see into your, their soul, you'll notice that.
[02:44:44.680 --> 02:44:47.600]   And you know that about them, you know, this is a guarded person.
[02:44:47.600 --> 02:44:49.720]   This, this was ultimately Kamala Harris's issue.
[02:44:49.720 --> 02:44:49.960]   Right.
[02:44:49.960 --> 02:44:59.020]   And this is why she was probably, you know, correct not to do Rogan, even though everyone looks back at that and says like, no, no, no, this is, this was the big disaster of her campaign.
[02:44:59.020 --> 02:45:05.840]   And it's like, I don't know, you know, she was so guarded in every single interview that she ever did.
[02:45:05.840 --> 02:45:09.440]   She was always constantly not trying to let you see who she really was.
[02:45:09.440 --> 02:45:17.520]   And if she was going to try that on Rogan, that would have, that would have been so apparent to everybody involved.
[02:45:18.160 --> 02:45:20.480]   So you've had a lot of intense conversations on Jerry.
[02:45:20.480 --> 02:45:27.320]   What do you appreciate most about Joe as a human being, as a conversation partner?
[02:45:27.320 --> 02:45:34.960]   I can't overstate how, how much I love Joe and how much I admire him.
[02:45:34.960 --> 02:45:36.260]   Not as much as Ron Paul.
[02:45:36.260 --> 02:45:37.600]   Just let's be clear.
[02:45:37.600 --> 02:45:38.940]   There's like a hierarchy here.
[02:45:40.980 --> 02:45:42.040]   He's close, man.
[02:45:42.040 --> 02:45:42.820]   Holy shit.
[02:45:42.820 --> 02:45:46.620]   They're both like, they're both like, you know, there's like very few.
[02:45:46.620 --> 02:45:47.260]   That means a lot.
[02:45:47.260 --> 02:45:50.500]   Well, there's Ron, like Ron Paul and Joe Rogan.
[02:45:50.500 --> 02:45:56.360]   I'd like our, those are like my generals, like, and I'm a soldier and those are my, those are my guys.
[02:45:56.360 --> 02:46:02.060]   Like if, if Joe Rogan pointed to some guy and said, you got to go fight that guy right now, I'd be like, all right, I got to go fight that guy.
[02:46:02.060 --> 02:46:03.420]   Or what, you know, Ron Paul too.
[02:46:03.420 --> 02:46:10.680]   I just think it's both very personally for me, you know, like Ron Paul, like introduced me to like a set of ideas that like changed my life.
[02:46:10.680 --> 02:46:15.020]   And, um, and I'm just enormously grateful for that.
[02:46:15.020 --> 02:46:20.000]   Joe Rogan was like, I was a huge Joe Rogan fan before the Joe Rogan experience.
[02:46:20.000 --> 02:46:22.580]   Like I'm an old school Joe Rogan head.
[02:46:22.580 --> 02:46:27.560]   I used to go on Joe Rogan.net before the, when websites used to end with that.
[02:46:27.560 --> 02:46:29.000]   Before Jerry, before like whatever it is.
[02:46:29.000 --> 02:46:29.400]   Before everything.
[02:46:30.020 --> 02:46:39.420]   I remember, I mean, I was a fan of his before he confronted Carlos Mencia and the day he confronted Carlos Mencia, I watched the video on his website and was like, oh shit, Joe Rogan called him out.
[02:46:39.420 --> 02:46:40.720]   Dude, this is the craziest thing ever.
[02:46:40.720 --> 02:46:52.580]   And then, and then what I, I was a fan that like, when he started the podcast, I remember going, this is going to be big because he's going to be so good at this because he's got so much interesting shit to say.
[02:46:52.580 --> 02:46:58.680]   And, um, I didn't realize it was going to be quite what it became, but I did think like, oh, this is going to be an awesome thing.
[02:46:58.860 --> 02:47:00.540]   And then, so there's like that.
[02:47:00.540 --> 02:47:04.360]   So like, I always really admired him and I was always a huge fan of his.
[02:47:04.360 --> 02:47:09.560]   And then he literally, not only did he like change my life.
[02:47:09.920 --> 02:47:13.220]   but he changed like all of my friends lives.
[02:47:13.220 --> 02:47:15.340]   Like it's like a very weird situation.
[02:47:15.340 --> 02:47:19.000]   Like he's like the, he's the Santa Claus of my world.
[02:47:19.000 --> 02:47:22.800]   Like he's literally just, and, and there was something like, I don't know, man.
[02:47:22.800 --> 02:47:26.600]   He's just, he's just a very like genuine person.
[02:47:26.600 --> 02:47:40.600]   And he's really loves, I think he really, um, derives a lot of pleasure out of the fact that he gets to help the people who he sees as like the good guys, like the guys worth helping.
[02:47:40.600 --> 02:47:43.580]   And I just think that's like such an unbelievable thing.
[02:47:43.580 --> 02:47:49.860]   You know, I had the first time Rogan had me on his podcast was, I believe in 2016.
[02:47:50.600 --> 02:47:56.720]   And I had like, I might've had like 5,000 followers or something like that.
[02:47:56.720 --> 02:48:01.960]   Like I was really completely unknown and like, it was like, I did nothing for him.
[02:48:01.960 --> 02:48:06.260]   It was just the fact that he heard me on Ari's show and it was like, oh, I like what this guy's got to say.
[02:48:06.260 --> 02:48:07.240]   I think this is cool.
[02:48:07.240 --> 02:48:08.480]   Like, let's talk about it.
[02:48:08.480 --> 02:48:14.580]   And, um, yeah, I mean, he's just like, you know, like I, again, he's just been such a great guy to me.
[02:48:14.580 --> 02:48:21.620]   Um, and, and, and at every little angle, like everything, you know, you open for him, he takes care of you better than anybody else does.
[02:48:21.620 --> 02:48:24.440]   You'd work his club, his club pays better than anybody else does.
[02:48:24.520 --> 02:48:30.860]   He, you know, like just everything is always like, it, he's always great to the people who are around him.
[02:48:30.860 --> 02:48:31.720]   And.
[02:48:31.720 --> 02:48:39.700]   You know, again, like this is, it's, it's just hard to over, like, you know, again, I have a wife, I have two little kids.
[02:48:39.700 --> 02:48:43.880]   Like he's put me in a situation where I can like provide a great life for them.
[02:48:43.880 --> 02:48:44.740]   And like, don't get me wrong.
[02:48:44.740 --> 02:48:47.040]   I mean, you know, like I did something with the opportunity.
[02:48:47.040 --> 02:48:54.500]   It's not like he just gave me, you know, like, it's like he gave me the opportunity and I did something with it, but still, I mean, he didn't have to give me that opportunity.
[02:48:54.500 --> 02:49:03.760]   And I, I will always, I will go to my grave being enormously grateful for his friendship and his, um, his, you know, the platform that he's given me.
[02:49:03.760 --> 02:49:12.520]   And also just, he is like, and I try not to abuse this, but there's been like a few points, like over the years where I was like, I really need advice.
[02:49:13.020 --> 02:49:22.280]   on this and I've gone to him and he's been like the absolute best at literally every single time I've followed it a few times, a few times I didn't follow his advice.
[02:49:22.280 --> 02:49:28.020]   And I really regret not following his advice, but he was the absolute best like guy to be like, all right, let's talk about this.
[02:49:28.020 --> 02:49:44.020]   Um, which, and, and the last thing I'll say is that it was freaking crazy is that cause I, he's like, you know, got more shit going on than anybody else in the world and is still very interested to take time out to like discuss some thing that I'm asking him about, which is a really, really great quality.
[02:49:44.020 --> 02:49:45.020]   Yeah.
[02:49:45.020 --> 02:49:48.120]   Always takes a phone call and you're right about the advice.
[02:49:48.120 --> 02:50:04.060]   He's, uh, he's, his advice is spot on and it's, um, it's often the ones for me personally, uh, what's needed is like, he's been through so many fires that he's really good at like making you feel like, don't fucking worry about it.
[02:50:04.060 --> 02:50:05.600]   Just, just like move on.
[02:50:05.600 --> 02:50:08.020]   It's the, don't read the comments thing, but generally.
[02:50:08.020 --> 02:50:09.900]   Yeah, that's right.
[02:50:09.900 --> 02:50:10.200]   Yeah.
[02:50:10.200 --> 02:50:11.820]   Just like, fuck it.
[02:50:11.880 --> 02:50:25.600]   And there's, he has a whole, that whole vibe, which kind of looks effortless, but I think when you look at it seriously, especially in contrast with journalists, there's a fearlessness there.
[02:50:25.600 --> 02:50:26.620]   100%.
[02:50:26.620 --> 02:50:28.780]   Like that, not giving a fuck.
[02:50:28.780 --> 02:50:33.440]   I mean, he says it's like fuck because of fucking money or any of that.
[02:50:33.440 --> 02:50:34.620]   I don't, I don't think so.
[02:50:34.620 --> 02:50:36.060]   I think it's more than that.
[02:50:36.060 --> 02:50:39.860]   It's, I mean, I'm sure that's a component of it, but there's people who have that, who still don't have.
[02:50:39.860 --> 02:50:44.860]   A lot, most people who have money, a lot of money are actually become more scared.
[02:50:44.860 --> 02:50:45.180]   Yeah.
[02:50:45.180 --> 02:50:49.180]   Cause they like the comfort of just like normal life.
[02:50:49.180 --> 02:50:52.760]   Cause when you're taking risks, you're going to pay for it.
[02:50:52.760 --> 02:50:57.020]   Even if you have money, not just financially, just like, it's going to, it's going to hurt.
[02:50:57.020 --> 02:50:58.140]   It's going to disturb your life.
[02:50:58.140 --> 02:50:59.100]   It's going to create turbulence.
[02:50:59.100 --> 02:50:59.760]   Yeah.
[02:50:59.760 --> 02:51:04.020]   The guy is fearless and follows just his genuine curiosity.
[02:51:04.240 --> 02:51:14.680]   It's like an inspiration to me, friendships aside, just inspiration of how great of a conversationalist he is and not, he legitimately didn't give a fuck.
[02:51:14.680 --> 02:51:21.540]   If like, if he talks to any of the presidential candidates or not, if he, he'll just talk to friends.
[02:51:21.920 --> 02:51:25.360]   Just cause he wants to, and there's, there's no like clickbaitiness to it.
[02:51:25.360 --> 02:51:35.340]   There's no like giving a shit above views or like, I mean, during the COVID stuff, man, I mean, he was like interviewing Dr. McCullough and who's the other one?
[02:51:35.340 --> 02:51:36.760]   Malone, Dr. Malone.
[02:51:36.920 --> 02:51:48.940]   And had Bobby Kennedy, all these people like at this time when it was like, so, and he's had it with me before too, like talking about Ukraine and Israel, like at the times when it's really white hot, you know what I mean?
[02:51:48.940 --> 02:51:53.820]   And like, there's this huge penalty on not going along with the regime's talking points.
[02:51:53.820 --> 02:51:57.100]   And he's like, like, it's really hard to overstate it.
[02:51:57.200 --> 02:52:06.420]   I mean, there was, there used to be nothing like this that used to be that if, if CNN and Fox news agreed, well, then that was it, that was the line now.
[02:52:06.420 --> 02:52:13.700]   And now we got the biggest show in the country will actually allow the other perspective on and allow people to like challenge the regime.
[02:52:13.700 --> 02:52:14.420]   I think it's been historic.
[02:52:14.420 --> 02:52:21.980]   I think also there are shows, there are people that just are constant conspiracy theorists, which is fine also.
[02:52:22.520 --> 02:52:30.060]   But I sometimes feel that those lack genuineness, they kind of put themselves in a bin or everything.
[02:52:30.060 --> 02:52:36.860]   Like you question everything to a point where like, I don't know, I feel like you're not getting closer to the truth when you question everything.
[02:52:36.860 --> 02:52:47.880]   There is something that some people in the conspiracy world do, which is like, they, they speak about something with certainty when they're really not certain about it.
[02:52:47.880 --> 02:52:52.480]   And it's like, um, it's, it's fine to like ask questions and it's fine to speak.
[02:52:52.480 --> 02:52:57.320]   Speculate about things, but you also have to like, um, you just, it's true in general in life.
[02:52:57.320 --> 02:53:02.660]   You got to be really careful about like presuming your conclusion and then working backward from there.
[02:53:02.660 --> 02:53:07.400]   And then sometimes when you have one, like, it's just, it's a matter of being sloppy versus not being sloppy.
[02:53:07.400 --> 02:53:25.420]   And like, sometimes people like, I remember for a long time back in the day in the, in the nine 11 truth movement, there was this, one of the huge smoking guns that they would point to was that in the nineties, there was this one document, I'm blanking on the title of it, but it was from PNAC, the project for a new American century.
[02:53:25.420 --> 02:53:28.700]   And this was the think tank or one of the think tanks of the neoconservatives.
[02:53:28.700 --> 02:53:37.240]   Um, like all the big neoconservatives were involved in PNAC from Dick Cheney to Rumsfeld, uh, Richard Pearl, David Worms are all the big neocons.
[02:53:37.240 --> 02:53:46.620]   And there was this one document where they basically, they were like, you know, their, their project for the new American century was how we're going to have hegemony for another hundred years.
[02:53:46.620 --> 02:53:49.360]   Now that we won the 20th century, how are we going to win the 21st century?
[02:53:49.360 --> 02:53:51.120]   And they were like, okay, well, here's what we want to do.
[02:53:51.120 --> 02:53:57.960]   We want to start multiple wars in the middle East and we want to like go, like all the plans that they had NATO expansion in Europe was a big part of it too.
[02:53:57.960 --> 02:54:07.740]   And then there was one line where they said, um, it's going to be tough to work up popular, uh, uh, support for these multiple wars.
[02:54:07.740 --> 02:54:11.880]   We want to fight in the middle East short of another Pearl Harbor style event.
[02:54:12.020 --> 02:54:16.960]   And the nine 11 truthers would point to this and go, see, clearly they did it.
[02:54:16.960 --> 02:54:18.320]   They did nine 11.
[02:54:18.320 --> 02:54:22.720]   They even say in their own words here that they want another Pearl Harbor event so they can do this.
[02:54:22.720 --> 02:54:26.420]   And it's like, well, look, that doesn't actually prove anything.
[02:54:26.420 --> 02:54:32.560]   I mean, it's, it's, it might just be the case that they were like, oh, we wouldn't get this without a pro.
[02:54:32.560 --> 02:54:36.300]   And then when nine 11 happened, they went, Hey, we got our Pearl Harbor style event.
[02:54:36.300 --> 02:54:44.400]   And, you know, and, and even if you like that story of nine 11 was an inside job, you know, cause it's kind of sexy and exciting and like, oh my God, what a crazy world we're living in.
[02:54:44.400 --> 02:54:45.040]   If that's true.
[02:54:45.040 --> 02:54:47.020]   Um, and I'm not even saying it's not true.
[02:54:47.020 --> 02:54:51.780]   I'm just saying if you're not sloppy and you're scrupulous, you go, that's not really evidence.
[02:54:51.780 --> 02:54:54.040]   It's, it sounds like evidence.
[02:54:54.040 --> 02:55:00.920]   It's evidencey, you know, but it's not actually a piece of evidence because that doesn't in any way demonstrate that they actually were in on the thing.
[02:55:00.920 --> 02:55:03.080]   And there's just a lot of things like that.
[02:55:03.080 --> 02:55:14.260]   There's a lot of things I even see like, uh, cause it's a very popular conspiracy theory online now that, um, that Israel did nine 11 and I'm like, uh, I'm open, you know, what do you got?
[02:55:14.260 --> 02:55:15.220]   What's the evidence?
[02:55:15.220 --> 02:55:20.660]   And they'll be like, well, did you see that Larry Silverstein took out a huge insurance policy on the world trade center?
[02:55:20.660 --> 02:55:21.720]   How did he know?
[02:55:21.720 --> 02:55:27.440]   And you're like, how did he know that the number one terrorist target in the world might need a big insurance policy on it?
[02:55:27.440 --> 02:55:31.560]   You realize that the same guys attempted to knock those towers down in 1993, right?
[02:55:31.560 --> 02:55:39.680]   And so there's just little things like that where like, if you're being sloppy and you already really want this conclusion, I see where you could see these things as, as evidence.
[02:55:39.800 --> 02:55:45.580]   But if you're just being a little, if you're critically thinking about them, it's actually, it's not as strong a case as you think it is.
[02:55:45.580 --> 02:55:52.800]   And I, I like to, again, I'll speculate every now and again on things, but I like to take on something where I feel like I can prove this case.
[02:55:52.800 --> 02:55:55.880]   Like I really have enough evidence that I think I can prove this.
[02:55:55.880 --> 02:56:01.340]   I think I can prove that the neocons didn't invade Iraq because they were worried about weapons of mass destruction.
[02:56:01.340 --> 02:56:06.540]   And they actually had this agenda for at least a decade before the war broke out.
[02:56:06.540 --> 02:56:09.960]   You know, like there's, there's strong, tangible evidence for that.
[02:56:09.960 --> 02:56:20.980]   It's just some, sometimes the, the constant conspiracy guys, not always, but sometimes they just get sloppy when it comes to actually analyzing how strong the case is.
[02:56:20.980 --> 02:56:22.780]   I mean, there's several psychological effects.
[02:56:22.780 --> 02:56:27.160]   I think there's a certain drug to the dogmatic certainty that you were mentioning.
[02:56:27.160 --> 02:56:36.300]   It, you know, it really annoys me that there's something about human psychology, uh, because I usually, when I say stuff,
[02:56:36.300 --> 02:56:44.600]   I usually, uh, show doubt and show the humility that I might not have the right answer.
[02:56:44.600 --> 02:56:53.400]   And I sometimes look at multiple perspectives and that's seen as weakness and lack of intelligence.
[02:56:53.400 --> 02:57:01.480]   Often it just sounds like when I even like listen back to people that do that kind of thing, that certainty sounds like intelligence to people.
[02:57:01.480 --> 02:57:08.420]   Like if you say something with a lot of certainty, it sounds like this, this is smart motherfucker.
[02:57:08.420 --> 02:57:22.000]   And I hate that about myself and about human psyche that that's seems to be the case because then like the, the dumb dogmatists are going to be like the ones that are driving agenda.
[02:57:22.280 --> 02:57:23.180]   It is true.
[02:57:23.180 --> 02:57:24.760]   I've noticed that for a long time though.
[02:57:24.760 --> 02:57:39.480]   It's almost like in a weird way, it's kind of like a prerequisite for leadership in a way you kind of have to be certain about things, but then there's a real problem with that, which is that a lot of times you're just bullshitting or you're just, or you're, or you're not right.
[02:57:39.580 --> 02:57:41.620]   You're not correct to be this certain about this.
[02:57:41.620 --> 02:57:45.340]   It's at least debatable and, you know, so you always try.
[02:57:45.340 --> 02:57:53.860]   And then the thing like, I, I feel like at least for me is which I try to do, I'm sure I fail at the, at this a ton, but you try to at least go.
[02:57:53.860 --> 02:58:00.440]   Like you gotta almost, you gotta work on training your brain and you have to be conscious about it.
[02:58:00.520 --> 02:58:11.200]   And so you have to go like, Hey, if there's something here that is confirming my bias, that I get that, you know, you start getting that little sense of pleasure of like, Oh, great.
[02:58:11.200 --> 02:58:13.760]   Here's another point that proves the thing I want to be true.
[02:58:13.760 --> 02:58:21.600]   Then you have to like be 10 times as, you know, like, uh, you know, uh, skeptical about this.
[02:58:21.600 --> 02:58:31.240]   You have to really examine this one and be like, okay, am I sure that this one, you know, cause sometimes you'll hear people even throw out things where it's like, Oh, I know you liked that.
[02:58:31.240 --> 02:58:33.800]   Cause it was helping your case, but come on, think about this.
[02:58:33.800 --> 02:58:34.960]   This doesn't even make sense.
[02:58:34.960 --> 02:58:37.200]   It's like, okay, I want to make this argument.
[02:58:37.200 --> 02:58:42.080]   And then everything that would support that just gets sucked in like a, like a force of gravity or something.
[02:58:42.080 --> 02:58:44.800]   And you're like, yeah, but half of these are bad data points.
[02:58:44.800 --> 02:58:50.260]   I mean, like for me, there's something definitely about my brain that is attracted to conspiracy theories.
[02:58:50.980 --> 02:58:56.580]   So I'm very well aware that that gravitational pull is there.
[02:58:56.580 --> 02:58:59.400]   Well, it's, it's, if nothing else, it's a crazy story.
[02:58:59.400 --> 02:58:59.780]   Yeah.
[02:58:59.780 --> 02:59:00.640]   It's like a movie.
[02:59:00.640 --> 02:59:02.400]   So it's like, Oh, that's crazy.
[02:59:02.400 --> 02:59:02.900]   Yeah.
[02:59:02.900 --> 02:59:04.860]   Every fucking, you don't need to work on Epstein.
[02:59:04.860 --> 02:59:05.720]   I don't understand.
[02:59:05.720 --> 02:59:20.920]   I don't, that's one of the big mysteries of like our modern era is like, how the fuck did this guy get an island, this pedophile and got like smart.
[02:59:21.880 --> 02:59:22.280]   Smart.
[02:59:22.280 --> 02:59:25.020]   I think really smart people to like hang out with them.
[02:59:25.020 --> 02:59:25.400]   Yeah.
[02:59:25.400 --> 02:59:27.280]   And what the fuck?
[02:59:27.280 --> 02:59:35.080]   And has anybody, I mean, obviously, uh, uh, just lane, however you say her name, Ghislaine Maxwell.
[02:59:35.080 --> 02:59:35.680]   Okay.
[02:59:35.680 --> 02:59:37.300]   She went, she went to jail.
[02:59:37.800 --> 02:59:44.500]   It's like, is anybody else has anybody, has anybody anywhere been forced to resign?
[02:59:44.500 --> 02:59:50.540]   I mean, like, just even like, say like, I don't know, like at the FBI or something, just for not like catching the thing sooner.
[02:59:50.540 --> 02:59:55.120]   Like, even if you weren't in on it, it was like, no, there's a real problem with the American system.
[02:59:55.120 --> 03:00:04.200]   And, and it's that, that like, that I think this just went on for too long before, like the American people just wouldn't put up with it anymore.
[03:00:04.200 --> 03:00:13.180]   And this is why trust in every institution and the corporate media and Congress and all of it is evaporated is that it's like, is he just saying of all the people who sold the war in Iraq?
[03:00:13.500 --> 03:00:27.180]   No one so much as like, got kicked out of polite society, you know, like, I'm not even saying like, oh, they went to jail for war crimes for life, but was just like, yeah, you can't, we're not looking to you for advice on the next war.
[03:00:27.180 --> 03:00:27.660]   Thanks.
[03:00:27.660 --> 03:00:28.480]   Go home.
[03:00:28.480 --> 03:00:29.540]   Like none of that.
[03:00:29.540 --> 03:00:31.720]   And it's like all these like crazy things.
[03:00:31.720 --> 03:00:33.300]   Nobody goes down for it.
[03:00:33.300 --> 03:00:37.780]   I mean, like they freaking, they lied us into war after a war.
[03:00:37.780 --> 03:00:41.120]   They've bankrupted the country, damn near destroyed the dollar.
[03:00:41.340 --> 03:00:51.820]   They locked down the country on the basis of pseudoscience, then, then lied through their teeth about what this vaccine would do as they were forcing it on people.
[03:00:51.820 --> 03:00:53.760]   And like, no one loses their job.
[03:00:53.760 --> 03:00:56.560]   No one even gets in trouble over any of this.
[03:00:56.560 --> 03:01:10.320]   And look in any, in any area of life, a business or a relationship or whatever, you can't, you cannot screw up that catastrophically and face no repercussions for it.
[03:01:10.320 --> 03:01:14.660]   And think that your business or relationship isn't going to fail as a result of that.
[03:01:14.660 --> 03:01:20.600]   I think ultimately there's been a lot of wake up calls and I think we're going to build a better society from it.
[03:01:20.600 --> 03:01:21.880]   Like better institution.
[03:01:21.880 --> 03:01:22.680]   I believe.
[03:01:22.680 --> 03:01:23.460]   I hope you're right.
[03:01:23.460 --> 03:01:26.880]   My, you know, more transparency, more like authenticity.
[03:01:26.880 --> 03:01:31.780]   I think also the democratic party has learned the lesson of like, you have to have candidates that do.
[03:01:31.880 --> 03:01:38.840]   I, I don't give a shit about podcasts, but do podcasts like things, meaning reveal themselves as human beings.
[03:01:38.840 --> 03:01:43.020]   I think it's one of the best things that happened in this last, uh, election.
[03:01:43.020 --> 03:01:51.720]   And I'm not saying like, I did think they were great, but I'm not saying that like any of the Trump podcasts were perfect or like, maybe there'd be a better way that they could be done.
[03:01:51.720 --> 03:01:56.100]   But I will say that I always, I used to say this for a while.
[03:01:56.100 --> 03:02:05.500]   Um, like as of, you know, like the last few years, but I'd be like, so it's like, so I'm, I'm me, you know?
[03:02:05.500 --> 03:02:13.040]   And for me to do what I do, it's kind of expected that I'll probably like, I don't know.
[03:02:13.040 --> 03:02:32.380]   I get like, at least like maybe 15, 10 to 15 times a year, I'll come do a show like this, like a, a long form show on a big platform where I'm going to, you know, like my ideas will be poked and prodded and tested and there'll be pushback questions.
[03:02:32.380 --> 03:02:48.200]   And there'll be that sometimes they're more, you know, adversarial, sometimes they're more friendly, but like, you're going to, and then yet our standard for who is the commander in chief was like, you show up to these debates that are like 90 minutes long with these really, really stupid questions.
[03:02:48.200 --> 03:02:50.580]   And you give a 92nd answer to it or blah.
[03:02:50.580 --> 03:03:00.840]   And at least for the first time now, it does seem like, oh, the standard is kind of, you're going to have to do a long form show where people, you really have to have, you know?
[03:03:00.840 --> 03:03:09.440]   And, and that, that I think is long-term, a real positive development, you know, like you, you just kind of know going forward, the Democrats, right.
[03:03:09.440 --> 03:03:11.220]   Which I think is kind of what you were saying, right.
[03:03:11.220 --> 03:03:12.740]   You can't run a Kamala Harris.
[03:03:12.740 --> 03:03:20.700]   If she can't do a long form interview, you got to run somebody who's able to sit down and express themselves and have real genuine thoughts, or at least try to convince people.
[03:03:20.700 --> 03:03:31.820]   They have real genuine thoughts, at least, you know, and it's, that's very different in a way than, you know, I look back at some, like the most talented politicians of my lifetime, which I'd have to say the two were, were Bill Clinton and Barack Obama.
[03:03:31.900 --> 03:03:35.200]   Just like the most talented traditional politicians.
[03:03:35.200 --> 03:03:41.920]   Trump's like the anti-politician, but like, they were like the traditional and just unbelievably, but they never had to do that.
[03:03:41.920 --> 03:03:43.460]   It was just a different time.
[03:03:43.460 --> 03:03:47.380]   Bill Clinton had to walk up and like, you know, be like, oh, it's a beautiful baby I have here.
[03:03:47.380 --> 03:03:52.900]   They go back and then play the sax and then have a couple of good answers to a small, I'm from a little town called Hope.
[03:03:52.900 --> 03:03:55.420]   You know, like that, that's not the game anymore.
[03:03:55.420 --> 03:04:01.240]   Now the game is like, can you sit down and actually, you know, have some ideas in a long form?
[03:04:01.240 --> 03:04:05.940]   And I think that's so much better because it's so much more revealing of, you know, kind of like what we were saying before.
[03:04:05.940 --> 03:04:11.560]   You reveal a little bit, it's not 50 hours, but in those, in those three hours, you reveal a little bit of your soul.
[03:04:11.560 --> 03:04:11.900]   Yeah.
[03:04:11.900 --> 03:04:14.080]   And I think that process makes you actually a better person.
[03:04:14.080 --> 03:04:22.120]   I, I ultimately think that Barack Obama was a fascinating human being and there was a choice made early on to be more.
[03:04:22.120 --> 03:04:27.120]   to do like less interviews, be more behind the wall, I think.
[03:04:27.120 --> 03:04:31.940]   And that, that's, that's a disservice because I think it's a skill to be an authentic person.
[03:04:31.940 --> 03:04:37.580]   Like that you build, like to, to be able to allow yourself to be yourself.
[03:04:37.580 --> 03:04:40.540]   Like it's very possible that Kamala Harris is a fascinating person.
[03:04:40.540 --> 03:04:42.440]   Like she just never gotten to meet her.
[03:04:42.440 --> 03:04:51.980]   And I don't know if she has gotten to meet her, but you know, it's a practice thing to like reveal yourself as a tricky thing.
[03:04:51.980 --> 03:04:53.760]   And I think it's just good for the candidate.
[03:04:53.760 --> 03:04:58.820]   I think she, well, I think she, what she did, you know, I'm a critic.
[03:04:58.820 --> 03:05:02.540]   I don't think she's a good candidate, but what she does pretty fricking incredible.
[03:05:02.540 --> 03:05:11.340]   Meaning like in that, to raise that much money in that short amount of time, I think it was a terrible thing for the democratic party to do.
[03:05:11.440 --> 03:05:18.160]   I think she's a terrible candidate, but still with the tools you got, like use TikTok, use whatever.
[03:05:18.160 --> 03:05:23.640]   I'll say the fact that she came as close as she did to being president is pretty goddamn insane.
[03:05:23.640 --> 03:05:27.260]   If you ask me, but yeah, the Democrats are a mess.
[03:05:27.260 --> 03:05:27.780]   They're a mess.
[03:05:27.780 --> 03:05:33.860]   Like I've never seen a political party before, but that in itself is, is I think a very good thing.
[03:05:33.860 --> 03:05:38.080]   And what comes from here is there's a lot of possibilities now.
[03:05:38.200 --> 03:05:42.200]   And, you know, there's never been like, I don't know who the person is.
[03:05:42.200 --> 03:05:53.580]   I don't see anyone out there that I could think of that would fill this role, but there's never been a more ripe time for someone to Donald Trump, the democratic party.
[03:05:53.580 --> 03:06:08.180]   Now, you know, like somebody to what Donald Trump did, people tend to forget this because now, like it's also because the accusation from the Democrats is that, you know, the, the Republican parties are all a bunch of Trump cultists or something like that.
[03:06:08.180 --> 03:06:11.880]   But like, I'm, I'm old enough to remember 2016.
[03:06:11.880 --> 03:06:22.940]   And what actually happened was that Donald Trump came in and just really resonated with the voters and the establishment of the Republican party hated it.
[03:06:22.940 --> 03:06:32.200]   They were openly talking about changing the rules at the Republican national convention to deny him the nomination in 2016.
[03:06:32.200 --> 03:06:43.440]   What they were saying is that they were going to raise the number of delegates required so high that nobody could hit it and then say, Hey, since nobody hit it, we select Mitt Romney again, and we're going to run Mitt Romney again.
[03:06:43.440 --> 03:06:47.560]   Like they were openly, openly conspiring to steal the thing from him.
[03:06:47.560 --> 03:06:52.440]   And eventually he just had so much support on the ground that they couldn't do it right now.
[03:06:52.440 --> 03:06:58.800]   Someone could totally do that to the Democrats, but the thing is, it would have to be somebody outside of the three letter agency control.
[03:06:58.800 --> 03:07:00.840]   Cause that's what everyone's rejecting right now.
[03:07:00.840 --> 03:07:15.080]   But if you were to actually sit there and go like the, and even policies, I don't necessarily agree with, but there are a lot of policies that if it was actually like a pro labor working class party, you could, you could, you know, Bernie Sanders showed you a little bit of what's possible.
[03:07:15.080 --> 03:07:27.080]   And this was from like an 80 year old socialist who didn't really have the balls to go through with it at the end of the day, you know, like if somebody younger and, and a little bit more, um, more with the current zeitgeist, we're able to do that.
[03:07:27.080 --> 03:07:28.540]   That could happen.
[03:07:28.540 --> 03:07:31.700]   I mean, I legitimately think that AOC can develop into that candidate.
[03:07:31.700 --> 03:07:35.660]   Uh, she might not be there yet, but I think she can develop into that.
[03:07:35.660 --> 03:07:36.560]   It could be out there.
[03:07:36.560 --> 03:07:37.440]   It could be, I don't know.
[03:07:37.520 --> 03:07:42.160]   I don't see AOC being the one to do it, but I could be wrong about that.
[03:07:42.160 --> 03:07:46.900]   She's got some qualities, unlike almost all the other ones you could think of.
[03:07:46.900 --> 03:08:03.320]   Um, I just, you know, I don't see, I don't see anyone right now who I think could be that person, but I never would have said, I mean, if you had asked me in 2014, who's going to come take over the Republican party, I never would have guessed Donald Trump was going to come do what he did.
[03:08:03.460 --> 03:08:09.800]   So it might be the person we're seeing who we're not even thinking of, or it might just be some unknown, you know, same with Obama was an unknown.
