
[00:00:00.000 --> 00:00:13.000]   Carlos Esteban:
[01:18:08.420 --> 01:18:16.420]   So we walked through both within the platform running experiments, walked through the SDK running experiments as well.
[01:18:16.420 --> 01:18:18.420]   This is pre-production, right?
[01:18:18.420 --> 01:18:29.420]   This is, now when we have our logs running in production, we want to understand how our application is performing, relevant, or excuse me, relative to the scores that we've already configured.
[01:18:29.420 --> 01:18:50.420]   So I'm going to come back into Braintrust, click on the settings, and then the, where am I?
[01:18:50.420 --> 01:18:55.420]   Excuse me, just configuration over here on the left, and then online scoring.
[01:18:55.420 --> 01:18:58.420]   So this is where we can now create the rule.
[01:18:58.420 --> 01:19:03.420]   Let's say, this is, come on.
[01:19:03.420 --> 01:19:07.420]   This will allow you to select the different scores that you've configured within your project.
[01:19:07.420 --> 01:19:18.420]   Now, I could select all of these, or maybe I have, like in that example that I showed to you previously, I really just want to apply this to a particular span.
[01:19:18.420 --> 01:19:20.420]   All right, and this allows you to get very granular.
[01:19:20.420 --> 01:19:29.420]   Right now, we'll just configure all of these for the overall trace, and we'll do it for 100% of the samples.
[01:19:29.420 --> 01:19:47.420]   Okay, so now when we come back to our application, and when we generate this, we'll have the same sort of workflow, right?
[01:19:47.420 --> 01:19:54.420]   We're going to generate this, the logs will look the exact same as they did previously, but now we are going to score this.
[01:19:54.420 --> 01:19:58.420]   We're going to understand the things that are happening within production.
[01:19:58.420 --> 01:20:05.420]   How does this output fare to the scores that we've configured for this particular task?
[01:20:05.420 --> 01:20:12.420]   This allows us to understand, we could even create automation rules here, so maybe a score drops below 50%, whatever it is.
[01:20:12.420 --> 01:20:17.420]   We can now create sort of an automation that allows us to understand when something like that happens.
[01:20:17.420 --> 01:20:23.420]   So you could see here, we have our scores ran.
[01:20:23.420 --> 01:20:36.420]   Again, you can drill down into these things, and you can see, you know, what is the rationale for that particular score in that instance.
[01:20:36.420 --> 01:20:44.420]   Maybe the other thing here, and then because we had some good outputs, but this is where, like, we would want to think about,
[01:20:44.420 --> 01:20:51.420]   how do we give users the ability to traverse through these logs in a really scoped down way?
[01:20:51.420 --> 01:20:54.420]   This is where what Carlos was talking about with views.
[01:20:54.420 --> 01:21:01.420]   And so maybe it's being able to understand, if I open this up, and I create a filter on my completeness score,
[01:21:01.420 --> 01:21:13.420]   and I'm just going to modify this slightly, I'll say less than 50%, this now can become a view that I save to this project.
[01:21:13.420 --> 01:21:22.420]   And now it becomes really easy for somebody to come through and look through these logs, and they can start to understand the inputs and the outputs,
[01:21:22.420 --> 01:21:26.420]   and if it makes sense, we can add these spans to the data set.
[01:21:26.420 --> 01:21:33.420]   That's another thing that I think we think about, like, the sort of feedback loop that we need here.
[01:21:33.420 --> 01:21:34.420]   We were kind of like in pre-prod, right?
[01:21:34.420 --> 01:21:39.420]   We were developing evals in the UI or in our code base.
[01:21:39.420 --> 01:21:40.420]   We pushed it into production.
[01:21:40.420 --> 01:21:44.420]   How do we create that flywheel effect from those two different places?
[01:21:44.420 --> 01:21:45.420]   This is part of it, right?
[01:21:45.420 --> 01:21:56.420]   Being able to enable sort of like the humans looking at these things, and then being able to add those really unique or relevant spans to the existing data sets, or even creating net new data sets from them.
[01:21:56.420 --> 01:21:57.420]   Cool.
[01:21:57.420 --> 01:21:59.420]   That's activity three.
[01:21:59.420 --> 01:22:00.420]   Questions?
[01:22:00.420 --> 01:22:01.420]   Yes.
[01:22:01.420 --> 01:22:02.420]   Can you aggregate those scores?
[01:22:02.420 --> 01:22:21.420]   If you go to the settings, aggregate scores here, so you can do that.
[01:22:21.420 --> 01:22:26.420]   So like, yeah, you could create a true north, right?
[01:22:26.420 --> 01:22:30.420]   And just based on the aggregate score, decide if it's improving or regressing.
[01:22:30.420 --> 01:22:36.420]   So the SDK is meant to be pushed to production then to get all those data amounts?
[01:22:36.420 --> 01:22:41.420]   If you want to do online scoring, you'll need to push scores into Braintrust, right?
[01:22:41.420 --> 01:22:48.420]   So that they can then be referenced, because online scoring, if you're using the SAS model, right, we're running that compute.
[01:22:48.420 --> 01:22:53.420]   We're, you know, we're grading the logs.
[01:22:53.420 --> 01:23:01.420]   So yeah, I think one you would want to push to Braintrust is for online scoring.
[01:23:01.420 --> 01:23:10.420]   If you have teammates that are using the playground, and they want access to the prompts or the tools that you've made in your SDK, that's when it makes sense.
[01:23:10.420 --> 01:23:11.420]   But you don't need to, right?
[01:23:11.420 --> 01:23:18.420]   Like you could still do everything with code and get value from Braintrust.
[01:23:18.420 --> 01:23:26.420]   Maybe just to highlight really quick, we also have just sort of scores out of the box that you can configure.
[01:23:26.420 --> 01:23:31.420]   So if I go to the playground, like if you don't want to push up certain things.
[01:23:31.420 --> 01:23:36.420]   Now, there's not as much flexibility in this as there are with your custom scores.
[01:23:36.420 --> 01:23:44.420]   But there is an auto evals package that is developed internally by us that you can use to add to these tasks as well.
[01:23:44.420 --> 01:23:49.420]   And then you can use an online scoring also.
[01:23:53.420 --> 01:23:57.420]   Any other questions about logging or online scoring?
[01:23:57.420 --> 01:24:01.420]   Okay, cool.
[01:24:01.420 --> 01:24:04.420]   Now we're going to move into the human section, human in the loop.
[01:24:04.420 --> 01:24:07.420]   My favorite part.
[01:24:07.420 --> 01:24:11.420]   I'm needed.
[01:24:11.420 --> 01:24:12.420]   All right, let's get, let's get into it.
[01:24:12.420 --> 01:24:13.420]   Let's get into it.
[01:24:13.420 --> 01:24:19.420]   So yeah, it's honestly really helpful for certain companies to implement human in the loop, right?
[01:24:19.420 --> 01:24:22.420]   Not all AI mistakes are created equal.
[01:24:22.420 --> 01:24:31.420]   Depending on the industry that you're in, like healthcare, finance, or legal tech, a single failure can have, you know, huge, serious consequences.
[01:24:31.420 --> 01:24:40.420]   So that's where you may want to have and invest more resources and putting humans in front of those AI responses and making sure that they're up to par.
[01:24:40.420 --> 01:24:49.420]   This can be really helpful for catching hallucinations, especially in specific fields that require specific knowledge, establishing ground truth.
[01:24:49.420 --> 01:25:00.420]   So if you're going to start filling out that expected column in the data set of ideal outputs or, you know, ideal responses, it may be helpful to have a human help create that.
[01:25:00.420 --> 01:25:09.420]   And, you know, you also want to capture user feedback and make sure that that's being incorporated in your feedback level.
[01:25:09.420 --> 01:25:14.420]   And being used in, in the prompted duration.
[01:25:14.420 --> 01:25:30.420]   So this is great for quality, reliability, providing that ground truth and aligning with what human, humans need in specific areas where the, the LLM just doesn't have as much visibility.
[01:25:30.420 --> 01:25:35.420]   There are two types of human in the loop that we're going to cover.
[01:25:35.420 --> 01:25:36.420]   Human review.
[01:25:36.420 --> 01:25:41.420]   So this is an annotator and a subject matter expert that's going to come into brain trust.
[01:25:41.420 --> 01:25:46.420]   They're going to manually label a specific data set or a specific log, right?
[01:25:46.420 --> 01:25:48.420]   They'll score it or they'll audit outputs.
[01:25:48.420 --> 01:25:53.420]   And this is really useful for ground truth to the data set.
[01:25:53.420 --> 01:26:00.420]   They can audit certain edge cases and they can also help eval the LLM as a judge.
[01:26:00.420 --> 01:26:08.420]   So based on what that human annotator determined was a good response, you could train the LLM as a judge to also label it the same.
[01:26:08.420 --> 01:26:14.420]   And then for user feedback, that's, you know, closing the feedback loop.
[01:26:14.420 --> 01:26:17.420]   You're incorporating what your real users are thinking.
[01:26:17.420 --> 01:26:24.420]   If they keep thumbs downing a certain edge case, you can incorporate that feedback and add it into a specific data set, you know?
[01:26:24.420 --> 01:26:33.420]   And that is then used to help improve that problem that you're dealing with.
[01:26:33.420 --> 01:26:34.420]   So that's it.
[01:26:34.420 --> 01:26:41.420]   You know, now we're going to jump back in and show you how you can enable user feedback and set up human review.
[01:26:41.420 --> 01:26:44.420]   And at the end, we'll do some questions.
[01:26:44.420 --> 01:26:52.420]   We also have a bonus lecture and activity about remote evals that if you stick around, we'll probably have time to get to.
[01:26:52.420 --> 01:26:55.420]   Cool.
[01:26:55.420 --> 01:26:57.420]   Let's jump into activity four.
[01:26:57.420 --> 01:27:00.420]   Obviously, we're going to look at user feedback and human review.
[01:27:00.420 --> 01:27:04.420]   There's sort of like two different routes here with human in the loop.
[01:27:04.420 --> 01:27:11.420]   Maybe to give a little background here or just to show you where some of this is happening.
[01:27:11.420 --> 01:27:17.420]   If you look at API feedback and then route.ts, the one thing I'll highlight is this log feedback.
[01:27:17.420 --> 01:27:21.420]   So this is really all like what we need on the brain trust side.
[01:27:21.420 --> 01:27:24.420]   Again, using the brain trust SDK.
[01:27:24.420 --> 01:27:31.420]   We know of the span that we want to log this to from the current span that we are in.
[01:27:31.420 --> 01:27:33.420]   This is the user feedback score.
[01:27:33.420 --> 01:27:34.420]   Right?
[01:27:34.420 --> 01:27:35.420]   So this is like essentially what we're calling it.
[01:27:35.420 --> 01:27:36.420]   User underscore feedback.
[01:27:36.420 --> 01:27:37.420]   And then the score.
[01:27:37.420 --> 01:27:40.420]   In our case, it's really just going to be a thumbs up or thumbs down.
[01:27:40.420 --> 01:27:41.420]   So a zero or a one.
[01:27:41.420 --> 01:27:45.420]   We also optionally have the ability to add a comment.
[01:27:45.420 --> 01:27:51.420]   So if the user, like your application has the ability for the user to define free text, you
[01:27:51.420 --> 01:27:53.420]   can also put that in here as well.
[01:27:53.420 --> 01:27:56.420]   And then also, of course, using metadata.
[01:27:56.420 --> 01:27:59.420]   Metadata becomes really powerful from the filtering aspect.
[01:27:59.420 --> 01:28:06.420]   So like we can use this within our custom views to filter on these different metadata keys.
[01:28:09.420 --> 01:28:10.420]   coming back to the app.
[01:28:10.420 --> 01:28:14.420]   And you may have seen this at the bottom when we ran this last time.
[01:28:14.420 --> 01:28:19.420]   But we have at the bottom the thumbs up and the thumbs down.
[01:28:19.420 --> 01:28:25.420]   This will allow the application here to log this particular user's feedback.
[01:28:25.420 --> 01:28:29.420]   So based on what they think, we can obviously do a thumbs up.
[01:28:29.420 --> 01:28:34.420]   We can submit with comment.
[01:28:34.420 --> 01:28:38.420]   And now if we go back into the Braintrust application, we have that net new log.
[01:28:38.420 --> 01:28:43.420]   We have over here on the right, we have our comment from the user.
[01:28:43.420 --> 01:28:49.420]   And then we should see a net new column here within our logs for that user feedback.
[01:28:49.420 --> 01:28:54.420]   But again, as Carlos pointed out, we can now use this in a lot of different ways to help augment
[01:28:54.420 --> 01:28:56.420]   the workflows that we've already created.
[01:28:56.420 --> 01:29:00.420]   This can help create custom views on top of this.
[01:29:00.420 --> 01:29:06.420]   This can now feed into a workflow for our human annotators to understand what that user feedback is
[01:29:06.420 --> 01:29:09.420]   and whether or not we should incorporate it into other datasets.
[01:29:09.420 --> 01:29:13.420]   Again, being able to click here, add a span to a dataset, and so on.
[01:29:13.420 --> 01:29:18.420]   That's the sort of user feedback route.
[01:29:18.420 --> 01:29:21.420]   The other one is the human review.
[01:29:21.420 --> 01:29:31.420]   So back in our configuration pane over here, we have the ability to create different human review scores.
[01:29:31.420 --> 01:29:37.420]   So again, this will be a little bit more specific to your use case and what you want your humans to review
[01:29:37.420 --> 01:29:39.420]   or the scores that they should create.
[01:29:39.420 --> 01:29:48.420]   It could be an option, it could be a slider, or it could be sort of free form text.
[01:29:48.420 --> 01:29:55.420]   So we could say something like, what's a better score, and then give it sort of an option.
[01:29:55.420 --> 01:30:01.420]   You know, thumbs up and thumbs down.
[01:30:01.420 --> 01:30:09.420]   So sort of like the human now can sort of look at what the output was and give their own sort of thumbs up, thumb down of this.
[01:30:09.420 --> 01:30:19.420]   And now if you come back into the logs UI, users that are doing human review can have a different interface into those logs
[01:30:19.420 --> 01:30:25.420]   where maybe something like this is a little bit too much for what they're trying to do.
[01:30:25.420 --> 01:30:34.420]   Let's give them a little bit more pared down look at the inputs and outputs of this particular span.
[01:30:34.420 --> 01:30:37.420]   And then they have the different scores that we've configured over here.
[01:30:37.420 --> 01:30:39.420]   And so maybe this is a thumbs up.
[01:30:39.420 --> 01:30:41.420]   They'll go through and they can do that review.
[01:30:41.420 --> 01:30:48.420]   Again, this now can add to that sort of flywheel effect that we need to create to build this Gen AI app.
[01:30:48.420 --> 01:31:01.420]   Of course, yeah, I think I mentioned this a few different times, but being able to now add some of these spans to the data set,
[01:31:01.420 --> 01:31:03.420]   we can do that here as well.
[01:31:03.420 --> 01:31:12.420]   So now we should have, you know, if you look at the sample data, we had seven rows.
[01:31:12.420 --> 01:31:15.420]   Through this process, we've added two net new rows to this data set.
[01:31:15.420 --> 01:31:23.420]   This now can help our offline evals and really create a rigorous sort of workflow to building a robust AI app.
[01:31:23.420 --> 01:31:28.420]   Cool.
[01:31:28.420 --> 01:31:29.420]   Any questions?
[01:31:29.420 --> 01:31:30.420]   Yes.
[01:31:30.420 --> 01:31:34.420]   So those human evaluators, they have to have their own account.
[01:31:34.420 --> 01:31:35.420]   Yes.
[01:31:35.420 --> 01:31:41.420]   But how will they see those evals that they need to evaluate?
[01:31:41.420 --> 01:31:42.420]   Yeah.
[01:31:42.420 --> 01:31:47.420]   So you can add them to the specific project that you would want them to annotate.
[01:31:47.420 --> 01:31:49.420]   You could assign them.
[01:31:49.420 --> 01:31:58.420]   So we have the ability to add comments under specific, under data sets, under experiments, or a specific trace.
[01:31:58.420 --> 01:32:01.420]   You would tag them in something that you would want them to see.
[01:32:01.420 --> 01:32:07.420]   We have sometimes, you know, you'll create an experiment and you'll assign it to a specific annotator.
[01:32:07.420 --> 01:32:11.420]   And they'll go in and fill out everything in that experiment or in a data set.
[01:32:11.420 --> 01:32:12.420]   Yeah.
[01:32:12.420 --> 01:32:13.420]   Sorry.
[01:32:13.420 --> 01:32:13.420]   The first one is developed by the client, right?
[01:32:13.420 --> 01:32:13.420]   Because it's shown in that web page where you have thumbs up and thumbs down.
[01:32:13.420 --> 01:32:14.420]   Yeah.
[01:32:14.420 --> 01:32:31.420]   So the actual, like, the text box that you want them to fill out or, you know, the categories
[01:32:31.420 --> 01:32:34.420]   that you want them to thumbs up or thumbs down, you would define initially.
[01:32:34.420 --> 01:32:40.420]   And then you would let them go in and, and they would say, okay, based on completeness,
[01:32:40.420 --> 01:32:41.420]   I would give this a thumbs down.
[01:32:41.420 --> 01:32:44.420]   Or, you know, what, what is the ideal output?
[01:32:44.420 --> 01:32:47.420]   Let me use this text box and, and type it all out.
[01:32:47.420 --> 01:32:53.420]   So, so yeah, you would essentially create the form that they would then go and fill out.
[01:32:53.420 --> 01:32:54.420]   Okay.
[01:32:54.420 --> 01:32:56.420]   Any other questions?
[01:32:56.420 --> 01:32:57.420]   Yeah.
[01:32:57.420 --> 01:33:06.420]   This isn't so much of the e-mails, but I saw in your documentation that you support, like,
[01:33:06.420 --> 01:33:14.420]   writing tools and uploading those as well and kind of, like, injecting those in your, like,
[01:33:14.420 --> 01:33:15.420]   the evaluation prompt, right?
[01:33:15.420 --> 01:33:18.420]   Is there a way to, like, version the tools as well?
[01:33:18.420 --> 01:33:21.420]   Because, like, tools will also, like, be changing over time.
[01:33:21.420 --> 01:33:25.420]   And so, like, how can we keep track of that as well in the system?
[01:33:25.420 --> 01:33:26.420]   Yeah.
[01:33:26.420 --> 01:33:27.420]   That's a good question.
[01:33:27.420 --> 01:33:28.420]   Yeah.
[01:33:28.420 --> 01:33:29.420]   I believe it supports versioning.
[01:33:29.420 --> 01:33:35.420]   I guess this project doesn't have any tools.
[01:33:35.420 --> 01:33:36.420]   No.
[01:33:36.420 --> 01:33:44.420]   I'm going to give you a soft, like, yes, it should be versioned.
[01:33:44.420 --> 01:33:46.420]   Same with the prompts and, and scores.
[01:33:46.420 --> 01:33:51.420]   Like, they all, at the very bottom, if you create a tool and add a new version of it, at
[01:33:51.420 --> 01:33:54.420]   the very bottom, well, we can show you with the prompts.
[01:33:54.420 --> 01:34:01.420]   Potentially, if, yeah, so at the very bottom, we see this one version that was initially created.
[01:34:01.420 --> 01:34:12.420]   But if we were to go and, and make a change, save version, now we'd have that new version.
[01:34:12.420 --> 01:34:14.420]   So I, I believe the same thing would happen with the tools.
[01:34:14.420 --> 01:34:19.420]   So, like, you would, like, add a tool to this and that would just be, like, a new version of it, you know?
[01:34:19.420 --> 01:34:20.420]   Yeah, yeah, exactly.
[01:34:20.420 --> 01:34:21.420]   Yeah.
[01:34:21.420 --> 01:34:25.420]   If you were to add a tool or change the prompt at all, it would be a new version of the prompt.
[01:34:25.420 --> 01:34:26.420]   You'd save it.
[01:34:26.420 --> 01:34:27.420]   It would now appear at the bottom.
[01:34:27.420 --> 01:34:30.420]   And your question was specifically, like, in tools, right?
[01:34:30.420 --> 01:34:31.420]   Like, if you change a tool, would it be versioned?
[01:34:31.420 --> 01:34:36.420]   Yeah, I guess because you have, like, different-- oh, thanks.
[01:34:36.420 --> 01:34:41.420]   I guess you have, like, different prompt versions and then you have different tool versions.
[01:34:41.420 --> 01:34:45.420]   And then you're going to, like, evaluate those, like, mix and match those together, right?
[01:34:45.420 --> 01:34:48.420]   To, like, see which performs the best.
[01:34:48.420 --> 01:34:49.420]   Yeah.
[01:34:49.420 --> 01:34:56.420]   So there would be a scenario where the tool doesn't change, just the version that you're using in the prompt changes.
[01:34:56.420 --> 01:34:58.420]   And how would you then version the prompt?
[01:34:58.420 --> 01:34:59.420]   Yeah.
[01:34:59.420 --> 01:35:00.420]   Right.
[01:35:00.420 --> 01:35:01.420]   Yeah.
[01:35:01.420 --> 01:35:02.420]   That's an interesting scenario.
[01:35:02.420 --> 01:35:03.420]   I think we versioned it correctly today.
[01:35:03.420 --> 01:35:07.420]   But if there's any issues, you know, the SE team is here to help.
[01:35:07.420 --> 01:35:09.420]   So feel free to reach out.
[01:35:09.420 --> 01:35:10.420]   Great.
[01:35:10.420 --> 01:35:11.420]   Thank you.
[01:35:11.420 --> 01:35:12.420]   Yeah.
[01:35:12.420 --> 01:35:17.420]   Any other questions?
[01:35:17.420 --> 01:35:19.420]   Human in the loop?
[01:35:19.420 --> 01:35:24.420]   Okay, cool.
[01:35:24.420 --> 01:35:30.420]   All right, so now we're into the bonus session, I believe.
[01:35:30.420 --> 01:35:32.420]   Oh, not this one, I guess.
[01:35:32.420 --> 01:35:33.420]   Let's see.
[01:35:33.420 --> 01:35:36.420]   No bonus for you guys.
[01:35:36.420 --> 01:35:37.420]   No.
[01:35:37.420 --> 01:35:42.420]   This one has it.
[01:35:42.420 --> 01:35:59.420]   Okay, we can just do it this way.
[01:35:59.420 --> 01:36:01.420]   All right, so the new bonus session.
[01:36:01.420 --> 01:36:02.420]   Look at this.
[01:36:02.420 --> 01:36:05.420]   Extending playgrounds with remote evals.
[01:36:05.420 --> 01:36:13.420]   So as you've seen, right, the playground can handle one LLM call being made.
[01:36:13.420 --> 01:36:16.420]   It can handle multiple LLM calls chained together, right?
[01:36:16.420 --> 01:36:17.420]   The agent feature.
[01:36:17.420 --> 01:36:24.420]   But if you wanted to have intermediate code steps in between the prompts, not supported,
[01:36:24.420 --> 01:36:25.420]   right?
[01:36:25.420 --> 01:36:26.420]   You'd have to go via the SDK.
[01:36:26.420 --> 01:36:34.420]   Or if you wanted it to talk to these external systems that are part of your VPC, that also
[01:36:34.420 --> 01:36:35.420]   wouldn't work.
[01:36:35.420 --> 01:36:42.420]   Essentially, if your task gets too complex, it doesn't fit into the mold of the playground
[01:36:42.420 --> 01:36:43.420]   at the moment.
[01:36:43.420 --> 01:36:45.420]   So that's where remote evals comes in.
[01:36:45.420 --> 01:36:53.420]   It allows you to expose that local environment that you've set up in your laptop that has all
[01:36:53.420 --> 01:36:56.420]   the bells and whistles, has everything that you want set up.
[01:36:56.420 --> 01:37:01.420]   You can now make that available in the playground.
[01:37:01.420 --> 01:37:06.420]   So if you have custom internal tooling, intermediate code steps, you know, a dynamic R&D environment
[01:37:06.420 --> 01:37:11.420]   that's constantly changing and you don't want to keep pushing tools or pushing scores, everything,
[01:37:11.420 --> 01:37:16.420]   to brain trust, then you can just set up a remote eval and it will become available to anybody
[01:37:16.420 --> 01:37:17.420]   in the playground.
[01:37:17.420 --> 01:37:25.420]   So this is a great way of bridging the gap between very complex technical teams building
[01:37:25.420 --> 01:37:32.420]   crazy tasks in the SDK and non-technical people, maybe PMs, SMEs that still want to be hands-on,
[01:37:32.420 --> 01:37:38.420]   still want to iterate on the prompt, change certain parameters and see how that impacts the scores.
[01:37:38.420 --> 01:37:44.420]   So the remote evals can really help there.
[01:37:44.420 --> 01:37:49.420]   So how this works, right, brain trust will send an eval request to your remote server.
[01:37:49.420 --> 01:37:53.420]   This can be local host or you can set it up somewhere else.
[01:37:53.420 --> 01:37:57.420]   Your server will then run the task and the score logic all locally.
[01:37:57.420 --> 01:38:03.420]   So all the intermediate steps, crazy business that you have going on, it'll all work because it's occurring on that server.
[01:38:03.420 --> 01:38:04.420]   Same with the scores.
[01:38:04.420 --> 01:38:06.420]   You could have crazy complex scores.
[01:38:06.420 --> 01:38:08.420]   That would all work as well.
[01:38:08.420 --> 01:38:14.420]   And then it will return the outputs, the scores, metadata to brain trust and it'll populate the playground.
[01:38:14.420 --> 01:38:19.420]   To start this, it's very simple.
[01:38:19.420 --> 01:38:25.420]   You do the same brain trust eval and then point to a specific eval.ts file.
[01:38:25.420 --> 01:38:29.420]   The difference is that you use the --dev flag.
[01:38:29.420 --> 01:38:34.420]   So this will start that remote eval server.
[01:38:34.420 --> 01:38:38.420]   It will default to local host, but you can change it.
[01:38:38.420 --> 01:38:50.420]   And it will allow it to bind to all the -- it will allow it to list it to all the network interfaces so you could access it via -- yeah, access remote servers out in the world.
[01:38:50.420 --> 01:38:51.420]   Cool.
[01:38:51.420 --> 01:38:54.420]   So now we can get into the activity.
[01:38:54.420 --> 01:39:00.420]   We have something to -- you know, if you follow along with the activity document, you could set this up yourself.
[01:39:00.420 --> 01:39:02.420]   But if not, we can just show you quickly.
[01:39:02.420 --> 01:39:05.420]   All right.
[01:39:05.420 --> 01:39:07.420]   Let's first look at the code.
[01:39:07.420 --> 01:39:11.420]   It's going to look very similar to what I showed the first time.
[01:39:11.420 --> 01:39:16.420]   Slightly different prompt, just trying to layer in a little bit more complexity here within this task.
[01:39:16.420 --> 01:39:26.420]   We now have all these different parameters that we want the user to be able to define and don't yet necessarily have the ability to do that within -- or in a great way within -- within brain trust.
[01:39:26.420 --> 01:39:30.420]   Again, this can -- this can be very, very complex.
[01:39:30.420 --> 01:39:37.420]   Whatever sort of like, you know, the intermediate steps that you want to create are certainly allowed here.
[01:39:37.420 --> 01:39:45.420]   I'm going to take down this server and I'm going to run this command, pnpm remote eval, which is just under the hood.
[01:39:45.420 --> 01:39:52.420]   Is running that brain trust eval and it's giving the location of that file that we're running the remote eval on.
[01:39:52.420 --> 01:40:01.420]   Back in the brain trust playground, this now is exposed as something that we can -- we can load in here.
[01:40:01.420 --> 01:40:04.420]   So let me remove this.
[01:40:04.420 --> 01:40:06.420]   I'll remove this here as well.
[01:40:06.420 --> 01:40:13.420]   And now if you look down here, we have this -- this other option for remote eval.
[01:40:13.420 --> 01:40:16.420]   And this should link out to my change log generator eval.
[01:40:16.420 --> 01:40:23.420]   Here are the different -- excuse me -- parameters that I'm able to now configure that I've sort of exposed in that prompt.
[01:40:23.420 --> 01:40:30.420]   But again, now think of like the more complex type of workflows that you may have within your code base.
[01:40:30.420 --> 01:40:34.420]   And you don't have the ability necessarily to push those into brain trust.
[01:40:34.420 --> 01:40:40.420]   We can still leverage this platform with that existing code base via remote evals.
[01:40:40.420 --> 01:40:49.420]   And this sort of like interaction works very similar to what I showed earlier with the evals locally via the SDK as well as the playground.
[01:40:49.420 --> 01:40:55.420]   We should -- oh, well, probably have to -- oh, we did configure that.
[01:40:55.420 --> 01:40:56.420]   My scores.
[01:40:56.420 --> 01:41:02.420]   I'll switch this to the grid layout so we can start to see what the output is.
[01:41:02.420 --> 01:41:09.420]   But this is how we can really meet a maybe more technical team with a more complex task.
[01:41:09.420 --> 01:41:15.420]   And they're not necessarily wanting to push all of these things into the brain trust platform, but still leverage it in some way.
[01:41:15.420 --> 01:41:18.420]   This is how we can sort of bridge that gap.
[01:41:18.420 --> 01:41:28.420]   And grounding this in the notion use case, they use a lot of services, right?
[01:41:28.420 --> 01:41:31.420]   They have a lot of tools that will retrieve different user information.
[01:41:31.420 --> 01:41:36.420]   And they run all their evals via the SDK.
[01:41:36.420 --> 01:41:43.420]   And if they notice that there's an issue, right, it's underperforming in a certain area, a certain edge case isn't great.
[01:41:43.420 --> 01:41:47.420]   Maybe they isolate a certain row that they want to keep rerunning.
[01:41:47.420 --> 01:41:52.420]   Currently, they have to go to the SDK and run everything over and over again.
[01:41:52.420 --> 01:42:04.420]   So if they were to use remote evals, they could bring that custom task into the playground, and they could isolate just one row and run it on one specific thing that they're working on.
[01:42:04.420 --> 01:42:09.420]   They'd save money, and they'd move faster.
[01:42:09.420 --> 01:42:13.420]   So that's something that we're going to discuss shortly with them and a lot of our other customers.
[01:42:13.420 --> 01:42:18.420]   This is a brand new feature, and it's something that we've been hearing a lot of excitement around.
[01:42:18.420 --> 01:42:23.420]   So I hope you see the vision of where this could be effective.
[01:42:23.420 --> 01:42:31.420]   And, yeah, feel free to, you know, if you have any questions about remote evals or about anything else in the presentation, we've pretty much reached the end.
[01:42:31.420 --> 01:42:32.420]   And thank you for sticking around.
[01:42:32.420 --> 01:42:36.420]   I know it's been a long day, to say the least.
[01:42:36.420 --> 01:42:37.420]   For the remote, do you need your IP...
[01:42:37.420 --> 01:42:38.420]   I'm right here.
[01:42:38.420 --> 01:42:39.420]   I'm right here.
[01:42:39.420 --> 01:42:40.420]   I'm right here.
[01:42:40.420 --> 01:42:41.420]   For the remote...
[01:42:41.420 --> 01:42:42.420]   For the remote...
[01:42:42.420 --> 01:42:43.420]   Yeah, it's good.
[01:42:43.420 --> 01:43:01.420]   For the remote, do you need your IP address publicly available so Braintrust can hit it, or...?
[01:43:01.420 --> 01:43:05.420]   Yes, or you can use Logo Host.
[01:43:05.420 --> 01:43:08.420]   So, I mean, I guess, yeah.
[01:43:08.420 --> 01:43:14.420]   I can't imagine, like, if it's private, then Braintrust wouldn't be able to connect to it.
[01:43:14.420 --> 01:43:15.420]   Okay.
[01:43:15.420 --> 01:43:17.420]   All right.
[01:43:17.420 --> 01:43:27.420]   Any other questions?
[01:43:27.420 --> 01:43:32.420]   Great.
[01:43:32.420 --> 01:43:33.420]   Well, thanks, everyone.
[01:43:33.420 --> 01:43:34.420]   Thanks, all.
[01:43:34.420 --> 01:43:36.420]   Hope you have a good night, and we'll see you tomorrow.
[01:43:36.420 --> 01:43:37.420]   Day two.
[01:43:37.420 --> 01:43:38.420]   Day two.
[01:43:38.420 --> 01:43:39.420]   Day two.
[01:43:39.420 --> 01:43:40.420]   Day two.
[01:43:40.420 --> 01:43:41.420]   Day two.
[01:43:41.420 --> 01:43:42.420]   Day two.
[01:43:42.420 --> 01:43:43.420]   Day two.
[01:43:43.420 --> 01:43:44.420]   Day two.

