
[00:00:00.940 --> 00:00:02.680]   - Well, welcome gentlemen.
[00:53:25.060 --> 00:53:27.100]   you wonder whether you should go into the ministry.
[00:53:27.100 --> 00:53:29.220]   - Yeah, you're right.
[00:53:29.220 --> 00:53:30.500]   - We got a brother over here.
[00:53:30.500 --> 00:53:33.780]   - Brothers, thank you for your wisdom.
[00:53:33.780 --> 00:53:34.620]   I have a question.
[00:53:34.620 --> 00:53:36.700]   So, you know, when you get saved, right,
[00:53:36.700 --> 00:53:39.180]   you start reading the Bible, and this is amazing, right?
[00:53:39.180 --> 00:53:40.580]   You start learning and growing,
[00:53:40.580 --> 00:53:44.220]   and then you start discovering all these different truths
[00:53:44.220 --> 00:53:47.220]   and theologies and just deepening that, right?
[00:53:47.220 --> 00:53:48.820]   And then, you know, 10 years will pass.
[00:53:48.820 --> 00:53:50.540]   You've read your Bible every year.
[00:53:50.540 --> 00:53:54.820]   You've read your Bible 10 years, 10 times, 20 times,
[00:53:54.820 --> 00:53:57.780]   maybe 30 times, and sometimes you kind of get
[00:53:57.780 --> 00:53:59.940]   the curse of knowledge where you know
[00:53:59.940 --> 00:54:01.260]   what the next page is gonna say.
[00:54:01.260 --> 00:54:03.060]   You know what the next chapter contains.
[00:54:03.060 --> 00:54:05.040]   You've preached through it, right?
[00:54:05.040 --> 00:54:07.980]   How do you prevent it from just being,
[00:54:07.980 --> 00:54:10.500]   I'm reading this to preach, to serve,
[00:54:10.500 --> 00:54:13.020]   but I'm reading it for my soul, for my spirit.
[00:54:13.020 --> 00:54:14.540]   How do you rekindle that?
[00:54:14.540 --> 00:54:16.340]   - Sure, yeah, that's a great question.
[00:54:16.340 --> 00:54:19.020]   You know, I teach a course at the seminary.
[00:54:19.020 --> 00:54:20.180]   It's an elective.
[00:54:20.180 --> 00:54:22.620]   It's called Pastoral Holiness.
[00:54:22.620 --> 00:54:27.300]   And we address the issue of how does one maintain
[00:54:27.300 --> 00:54:30.220]   a spiritual life in the ministry.
[00:54:30.220 --> 00:54:33.380]   And one thing is that you have to take care of your own soul.
[00:54:33.380 --> 00:54:36.820]   There has to be a delight.
[00:54:36.820 --> 00:54:39.220]   You have to cherish the Lord.
[00:54:39.220 --> 00:54:43.220]   You have to believe what the psalmist did
[00:54:43.220 --> 00:54:47.060]   in Psalm 37 and four, delight yourself in the Lord.
[00:54:47.060 --> 00:54:50.280]   You have to believe what the psalmist said in Psalm 27,
[00:54:50.280 --> 00:54:53.500]   that he wants to behold the beauty of God
[00:54:53.500 --> 00:54:56.740]   and the gaze at his beauty in the temple.
[00:54:56.740 --> 00:54:59.500]   There has to be that sense of I need my soul
[00:54:59.500 --> 00:55:01.680]   to be nourished for my people.
[00:55:01.680 --> 00:55:04.700]   So one reason you do it is not simply
[00:55:04.700 --> 00:55:09.700]   for an academic exercise and even to prepare a servant.
[00:55:09.700 --> 00:55:12.640]   You do it because first, you are a child of God.
[00:55:12.640 --> 00:55:15.660]   Before I had a call to the ministry,
[00:55:15.660 --> 00:55:17.560]   I was simply a child of God.
[00:55:17.560 --> 00:55:22.380]   And so I have to nurture my life just as a child.
[00:55:22.380 --> 00:55:26.060]   And what happens with preachers, they can learn too much
[00:55:26.060 --> 00:55:29.520]   and they forget what is absolutely important,
[00:55:29.520 --> 00:55:33.460]   which is first, I'm his child.
[00:55:33.460 --> 00:55:35.580]   Let me behave like a child.
[00:55:35.580 --> 00:55:39.220]   Let me sit at the feet of my father.
[00:55:39.220 --> 00:55:42.100]   Let me cherish Jesus Christ and his death.
[00:55:42.100 --> 00:55:47.860]   Let me be appalled if I preach on hell
[00:55:47.860 --> 00:55:51.460]   and I don't have, like Whitfield said, tears in my eyes.
[00:55:51.460 --> 00:55:54.540]   Let me be like an Owen who said
[00:55:54.540 --> 00:55:57.360]   when he felt a sense of worldliness,
[00:55:57.360 --> 00:56:01.020]   that he would read like just 40 chapters of the Bible
[00:56:01.020 --> 00:56:02.580]   because he felt worldly.
[00:56:03.020 --> 00:56:08.020]   And this is Owen as well with his communion with God.
[00:56:08.020 --> 00:56:11.940]   So we do this out of communion with the living God
[00:56:11.940 --> 00:56:13.960]   because of a relationship.
[00:56:13.960 --> 00:56:17.300]   And so it's not just another page.
[00:56:17.300 --> 00:56:19.940]   It's not just another sermon.
[00:56:19.940 --> 00:56:22.900]   This is a relationship that you're nurturing
[00:56:22.900 --> 00:56:24.540]   with the living God.
[00:56:24.540 --> 00:56:26.260]   And we have to keep that in front of us.
[00:56:26.260 --> 00:56:27.100]   - Tom?
[00:56:27.100 --> 00:56:29.020]   - I just think exactly what he said.
[00:56:30.140 --> 00:56:32.860]   But to add to that, when you're saying
[00:56:32.860 --> 00:56:35.340]   I'm just preparing sermons and I get dry,
[00:56:35.340 --> 00:56:36.700]   you know, the big thing that I deal with,
[00:56:36.700 --> 00:56:37.940]   'cause sometimes on a Saturday,
[00:56:37.940 --> 00:56:41.260]   I'll listen to six or seven sermons that I have to critique.
[00:56:41.260 --> 00:56:44.460]   My whole Saturday is called Sanctification Saturday.
[00:56:44.460 --> 00:56:45.540]   (laughing)
[00:56:45.540 --> 00:56:47.460]   And it's just sermon after sermon.
[00:56:47.460 --> 00:56:49.820]   And my number one critique many times
[00:56:49.820 --> 00:56:51.100]   is not their exegesis,
[00:56:51.100 --> 00:56:53.220]   is not the fact that they didn't get the point,
[00:56:53.220 --> 00:56:54.940]   but the fact that they speak it
[00:56:54.940 --> 00:56:57.580]   as if it's some kind of flat, unaffected.
[00:56:57.580 --> 00:56:59.380]   And so my question always goes back to them.
[00:56:59.380 --> 00:57:03.100]   I go, how much time did you spend really grappling
[00:57:03.100 --> 00:57:05.780]   with your own heart in this text?
[00:57:05.780 --> 00:57:08.860]   So you might be giving sermons every week,
[00:57:08.860 --> 00:57:11.540]   but, and they may be biblical,
[00:57:11.540 --> 00:57:14.060]   but you're not really allowing yourself.
[00:57:14.060 --> 00:57:15.860]   I think John MacArthur says he has two positions
[00:57:15.860 --> 00:57:19.460]   when he studies, either this position or this position.
[00:57:19.460 --> 00:57:21.500]   He's either here or here.
[00:57:21.500 --> 00:57:23.700]   And I said so many people don't spend enough time
[00:57:23.700 --> 00:57:27.660]   with their back contemplating their own life in the text.
[00:57:27.660 --> 00:57:28.500]   I don't know about you guys,
[00:57:28.500 --> 00:57:30.340]   and I'm not trying to make anything about me,
[00:57:30.340 --> 00:57:33.260]   but I cry every time I prepare for a sermon
[00:57:33.260 --> 00:57:35.460]   because I'm a rotten sinner
[00:57:35.460 --> 00:57:37.780]   that needs God's grace every moment of my life,
[00:57:37.780 --> 00:57:38.620]   and I'm ready.
[00:57:38.620 --> 00:57:41.180]   So if you can go through a sermon and be dry,
[00:57:41.180 --> 00:57:43.220]   what's the old saying that Moody said?
[00:57:43.220 --> 00:57:44.940]   This book will keep you from sin,
[00:57:44.940 --> 00:57:47.340]   and sin will keep you from this book.
[00:57:47.340 --> 00:57:48.940]   And so just remember that
[00:57:48.940 --> 00:57:51.860]   and allow God to break your heart down
[00:57:51.860 --> 00:57:54.900]   because otherwise you might be effective in word,
[00:57:54.900 --> 00:57:56.500]   but not in heart.
[00:57:56.500 --> 00:57:59.060]   And I think your people can tell that, too,
[00:57:59.060 --> 00:58:00.380]   but God obviously knows.
[00:58:00.380 --> 00:58:01.740]   - Sheldon.
[00:58:01.740 --> 00:58:03.860]   - You know, a gentleman once said to me
[00:58:03.860 --> 00:58:05.580]   that I study the word of God
[00:58:05.580 --> 00:58:07.180]   because I get paid to do that.
[00:58:07.180 --> 00:58:11.420]   He did, and I said, well, it's priceless.
[00:58:11.420 --> 00:58:14.860]   So you study the word of God because it's priceless.
[00:58:14.860 --> 00:58:15.860]   I'm gonna learn more.
[00:58:15.860 --> 00:58:18.900]   I'm gonna grow to be the man of God that he wants me to be.
[00:58:18.900 --> 00:58:21.140]   And I know I'm not the man of God
[00:58:21.140 --> 00:58:23.020]   that he wants me to be yet.
[00:58:23.020 --> 00:58:25.860]   And so I study for that reason.
[00:58:25.860 --> 00:58:27.100]   Now, when you hit Leviticus,
[00:58:27.100 --> 00:58:28.740]   you go, why am I reading this?
[00:58:28.740 --> 00:58:31.300]   Yeah, there's a reason for reading it.
[00:58:31.300 --> 00:58:32.620]   You see God's exactness.
[00:58:32.620 --> 00:58:36.820]   You see God's masterfulness in putting things together.
[00:58:36.820 --> 00:58:39.380]   That's what you have to see is another aspect of God.
[00:58:39.380 --> 00:58:41.300]   It's not always the same.
[00:58:41.300 --> 00:58:43.380]   And so see it for those kinds of things
[00:58:43.380 --> 00:58:46.700]   that it can just give you a different picture of who he is.
[00:58:46.700 --> 00:58:49.580]   - One of the things that I love most about our pastor,
[00:58:49.580 --> 00:58:53.860]   he has been pastoring for 55 years.
[00:58:53.860 --> 00:58:55.260]   He was a preacher's kid.
[00:58:55.260 --> 00:58:56.620]   He grew up.
[00:58:56.620 --> 00:58:59.980]   He still is excited about finding new things.
[00:58:59.980 --> 00:59:02.380]   And that is manifest for those of us
[00:59:02.380 --> 00:59:05.300]   who have the chance to be close to him and to talk to him.
[00:59:05.300 --> 00:59:08.580]   As a practical matter, you're gonna laugh when I say this,
[00:59:08.580 --> 00:59:12.460]   allow yourself the luxury of periodically buying a new Bible.
[00:59:12.460 --> 00:59:17.020]   Sometimes it's enjoyable just to be able to look at that,
[00:59:17.020 --> 00:59:19.500]   get lost, think about the texture,
[00:59:19.500 --> 00:59:21.660]   but then focus on the words.
[00:59:21.660 --> 00:59:24.220]   Regardless though, I'm gonna take you back
[00:59:24.220 --> 00:59:29.060]   to what Paul tells Timothy, 2 Timothy 3.
[00:59:29.060 --> 00:59:34.180]   And it's actually in the imperative mode, verse 14.
[00:59:34.180 --> 00:59:38.380]   "As for you, you must continue.
[00:59:38.380 --> 00:59:40.720]   "You must continue in what you have learned
[00:59:40.720 --> 00:59:44.720]   "and have firmly believed, knowing from whom you learned it
[00:59:44.720 --> 00:59:47.860]   "and how from childhood you have been acquainted
[00:59:47.860 --> 00:59:52.100]   "with the sacred writings which are able to make you wise
[00:59:52.100 --> 00:59:54.500]   "for salvation through faith in Jesus Christ."
[00:59:54.500 --> 00:59:58.180]   We do not have the option of not continuing
[00:59:58.180 --> 01:00:00.100]   in the study of the words.
[01:00:00.100 --> 01:00:03.380]   Pray that God will enlighten your minds.
[01:00:03.380 --> 01:00:05.920]   Pray that God will show you.
[01:00:05.920 --> 01:00:08.060]   We have the expression at times in our culture,
[01:00:08.060 --> 01:00:09.300]   stay hungry.
[01:00:09.300 --> 01:00:11.860]   Blessed are those who hunger and thirst after righteousness.
[01:00:11.860 --> 01:00:13.940]   It's an ongoing present reality.
[01:00:13.940 --> 01:00:14.780]   Stay hungry.
[01:00:14.780 --> 01:00:16.620]   Do we have any other questions?
[01:00:16.620 --> 01:00:17.980]   - We have one more here. - It's okay.
[01:00:17.980 --> 01:00:18.820]   - All right.
[01:00:21.060 --> 01:00:23.620]   Aside from the scriptures, for you as pastors,
[01:00:23.620 --> 01:00:26.300]   what would be the one book that you would commend
[01:00:26.300 --> 01:00:28.860]   to all of the pastors? - Oh, great question.
[01:00:28.860 --> 01:00:29.980]   Bill?
[01:00:29.980 --> 01:00:32.260]   - Depends upon what week you're talking about.
[01:00:32.260 --> 01:00:34.220]   - Yeah. (audience laughing)
[01:00:34.220 --> 01:00:37.340]   - I read lots and lots of books.
[01:00:37.340 --> 01:00:40.060]   One of 'em, "The Power of Christian Contentment"
[01:00:40.060 --> 01:00:42.840]   just recently has touched my heart.
[01:00:42.840 --> 01:00:44.560]   I've fallen in love with that.
[01:00:44.560 --> 01:00:47.660]   But I also like to read biographies.
[01:00:47.660 --> 01:00:48.580]   - Yes.
[01:00:48.580 --> 01:00:51.580]   - And so I'm reading those kinds of things.
[01:00:51.580 --> 01:00:55.740]   I've got one now about a guy called R.C. Sproul.
[01:00:55.740 --> 01:00:57.020]   We've been talking about him before,
[01:00:57.020 --> 01:00:59.980]   and I'm reading that, that Nichols put together.
[01:00:59.980 --> 01:01:01.460]   And so I'm always reading.
[01:01:01.460 --> 01:01:02.840]   I've always got something.
[01:01:02.840 --> 01:01:05.580]   And then the war with children just came out,
[01:01:05.580 --> 01:01:07.300]   a war against children just came out,
[01:01:07.300 --> 01:01:08.780]   and I'm reading that as well.
[01:01:08.780 --> 01:01:10.940]   So I just like to read.
[01:01:10.940 --> 01:01:12.820]   - Is there one particular book
[01:01:12.820 --> 01:01:14.780]   that you have read in your life
[01:01:14.780 --> 01:01:18.620]   that stands out as perhaps the most important thing
[01:01:18.620 --> 01:01:20.060]   you've read outside of the Bible?
[01:01:20.060 --> 01:01:23.260]   - Outside of the Bible, whatever I'm reading.
[01:01:23.260 --> 01:01:25.300]   I mean, it's just, I gotta leave it there
[01:01:25.300 --> 01:01:30.000]   because I have so many that I've been through.
[01:01:30.000 --> 01:01:31.740]   If you wanna talk about missions, I've got books.
[01:01:31.740 --> 01:01:33.340]   You wanna talk about history, I've got books.
[01:01:33.340 --> 01:01:35.260]   And that's, well, I'll leave it there.
[01:01:35.260 --> 01:01:36.220]   - Okay.
[01:01:36.220 --> 01:01:37.700]   Tom.
[01:01:37.700 --> 01:01:38.540]   - Boy.
[01:01:38.540 --> 01:01:39.380]   - Let's get to Tom, and then we'll get to you.
[01:01:39.380 --> 01:01:40.200]   - Are you Tom?
[01:01:40.200 --> 01:01:41.040]   I don't know.
[01:01:41.040 --> 01:01:42.580]   - Yeah, oh boy, he's thinking about me.
[01:01:42.580 --> 01:01:46.260]   No, without a doubt, it's the Martin Lloyd-Jones' book,
[01:01:46.260 --> 01:01:48.260]   "Sermons on the Mount."
[01:01:48.260 --> 01:01:51.260]   It is, I've gone through that so many times.
[01:01:51.260 --> 01:01:53.260]   I discipled men through that book.
[01:01:53.260 --> 01:01:56.700]   If you wanna have your heart reacquainted
[01:01:56.700 --> 01:02:00.140]   with the most famous sermon our Lord ever gave,
[01:02:00.140 --> 01:02:02.420]   go to Martin Lloyd-Jones.
[01:02:02.420 --> 01:02:03.780]   It is priceless.
[01:02:03.780 --> 01:02:05.660]   It is so rich.
[01:02:05.660 --> 01:02:07.500]   So I can't commend that enough.
[01:02:07.500 --> 01:02:08.960]   That's the book I always go back.
[01:02:08.960 --> 01:02:11.280]   Because even just going through the Beatitudes,
[01:02:11.280 --> 01:02:14.540]   your heart will get refreshed and convicted,
[01:02:14.540 --> 01:02:17.860]   and you'll start to just meditate, and it's wonderful.
[01:02:17.860 --> 01:02:19.700]   - Fantastic. - Wow, that's hard.
[01:02:19.700 --> 01:02:24.300]   Whitfield, about Dalamore.
[01:02:24.300 --> 01:02:25.860]   - Oh yeah, biography.
[01:02:25.860 --> 01:02:27.940]   - Yeah, biography.
[01:02:27.940 --> 01:02:31.420]   Yeah, theological, going all the way back
[01:02:31.420 --> 01:02:33.900]   to my young days in the faith, knowing God.
[01:02:33.900 --> 01:02:36.460]   Yeah, Packer.
[01:02:36.460 --> 01:02:38.980]   Great impact on me.
[01:02:40.100 --> 01:02:42.560]   For me, the book, the one book that has had
[01:02:42.560 --> 01:02:45.560]   probably the most overriding influence over the years,
[01:02:45.560 --> 01:02:46.800]   what are you gonna guess I'm saying?
[01:02:46.800 --> 01:02:47.720]   - Calvin's Institute.
[01:02:47.720 --> 01:02:49.760]   - You got it, absolutely.
[01:02:49.760 --> 01:02:50.800]   - I know this man.
[01:02:50.800 --> 01:02:55.100]   - And read both the first one and the last one.
[01:02:55.100 --> 01:02:58.580]   In the first one, he's fire all the way.
[01:02:58.580 --> 01:03:02.420]   A sense of humor that you couldn't use today.
[01:03:02.420 --> 01:03:09.120]   In his last edition, reasoning precise, deep, intense.
[01:03:09.380 --> 01:03:10.220]   - Yeah, yeah.
[01:03:10.220 --> 01:03:15.780]   - Martin Lloyd-Jones did a course of reading
[01:03:15.780 --> 01:03:18.140]   that I had stumbled into myself without realizing
[01:03:18.140 --> 01:03:20.160]   that the doctor had recommended it.
[01:03:20.160 --> 01:03:23.740]   You read, recommend a book of doctrine,
[01:03:23.740 --> 01:03:25.740]   maybe a selection of sermons,
[01:03:25.740 --> 01:03:28.020]   a commentary on a particular book,
[01:03:28.020 --> 01:03:32.020]   alternate that with a book of biography,
[01:03:32.020 --> 01:03:34.660]   a great man in the history of the church,
[01:03:34.660 --> 01:03:37.220]   Dalamore's Biography of Whitfield.
[01:03:37.220 --> 01:03:38.580]   - It's just unbelievable.
[01:03:38.580 --> 01:03:42.040]   - Two volumes set, if you look close enough,
[01:03:42.040 --> 01:03:45.100]   you'll find a great abuse of church discipline.
[01:03:45.100 --> 01:03:49.280]   Dalamore writes about how Wesley disciplined a woman out
[01:03:49.280 --> 01:03:52.000]   because she did not respond to his romantic overtures.
[01:03:52.000 --> 01:03:58.240]   Sense of humor, but you'll see how truth gets ironed out.
[01:03:58.240 --> 01:03:59.360]   - Don't try it, guys.
[01:03:59.360 --> 01:04:00.200]   - Don't try it.
[01:04:00.200 --> 01:04:01.640]   (audience laughing)
[01:04:01.640 --> 01:04:03.960]   - Yeah, let's not have you come back next year.
[01:04:06.020 --> 01:04:11.020]   But how truth gets ironed out over the course of time.
[01:04:11.020 --> 01:04:13.600]   Read the biography of Athanasius,
[01:04:13.600 --> 01:04:16.460]   some of the history of the church,
[01:04:16.460 --> 01:04:19.880]   and then go back to another book on church doctrine.
[01:04:19.880 --> 01:04:24.160]   Studies in the Sermon on the Mount is fantastic.
[01:04:24.160 --> 01:04:26.620]   But go back and forth.
[01:04:26.620 --> 01:04:28.620]   Make sure you know the Puritans.
[01:04:28.620 --> 01:04:29.460]   - Amen.
[01:04:29.460 --> 01:04:30.600]   - Okay? - Yeah, amen.
[01:04:30.600 --> 01:04:32.660]   - Let's see, tell me a choice of,
[01:04:32.660 --> 01:04:35.580]   top recommended Puritan, let's give me a choice of names.
[01:04:35.580 --> 01:04:36.420]   - Sibbes.
[01:04:36.420 --> 01:04:37.340]   - Sibbes. - Yeah, Richard Sibbes.
[01:04:37.340 --> 01:04:38.180]   - Yeah.
[01:04:38.180 --> 01:04:39.000]   - Watson.
[01:04:39.000 --> 01:04:39.840]   - What's that?
[01:04:39.840 --> 01:04:40.680]   - Watson. - Watson.
[01:04:40.680 --> 01:04:41.500]   - Okay.
[01:04:41.500 --> 01:04:42.340]   Owen. - Owen.
[01:04:42.340 --> 01:04:43.660]   - Owen, you want to read the abridgments?
[01:04:43.660 --> 01:04:44.500]   Okay.
[01:04:44.500 --> 01:04:45.500]   (audience laughing)
[01:04:45.500 --> 01:04:47.020]   Let's close in prayer.
[01:04:47.020 --> 01:04:48.700]   Father in heaven, again, Lord,
[01:04:48.700 --> 01:04:50.300]   I thank you for each of these men.
[01:04:50.300 --> 01:04:53.140]   Thank you for the fun that we've had this afternoon.
[01:04:53.140 --> 01:04:56.060]   Thank you for their passion for Christ.
[01:04:56.060 --> 01:04:57.980]   Father, I pray that your hand of blessing,
[01:04:57.980 --> 01:05:01.120]   chastening, and direction would rest upon each of them.
[01:05:01.120 --> 01:05:03.580]   Father, may we be found faithful.
[01:05:03.580 --> 01:05:06.500]   May there be none of us who would in any way
[01:05:06.500 --> 01:05:10.760]   bring disgrace or disrepute to the gospel of Christ.
[01:05:10.760 --> 01:05:13.420]   We love you and we thank you, Lord, for the privilege.
[01:05:13.420 --> 01:05:17.320]   We look forward to the day when we hear you say,
[01:05:17.320 --> 01:05:19.580]   well done, good and faithful servant.
[01:05:19.580 --> 01:05:21.300]   Enter into the joy of the Lord.
[01:05:21.300 --> 01:05:24.660]   Father, thank you for this privilege.
[01:05:24.660 --> 01:05:27.460]   Guide us in all we do through the rest of the day, amen.

