
[00:00:00.000 --> 00:00:05.000]   Should be fine.
[01:02:19.320 --> 01:02:21.080]   answering and see what you get.
[01:02:21.080 --> 01:02:25.440]   So it like will give you a really good sense of how the model is doing.
[01:02:25.440 --> 01:02:28.840]   Maybe if you have time in the, after the EMA, we can like show them an example.
[01:02:28.840 --> 01:02:34.160]   But yeah, I just want to say that don't feel scared to like play with this.
[01:02:34.160 --> 01:02:39.360]   I think there's a lot more that can be done once, yeah, once you get used to like, you
[01:02:39.360 --> 01:02:43.840]   know, these kind of models and it's an exciting area to work in.
[01:02:43.840 --> 01:02:46.240]   And the one thing I do want to, I think that's a great point to highlight.
[01:02:46.240 --> 01:02:50.160]   Another thing is that at Wits and Biases, then there's something new that we're going
[01:02:50.160 --> 01:02:54.720]   to try as well, that after the paper reading groups, we're going to start going into the
[01:02:54.720 --> 01:02:56.080]   code for those paper reading groups.
[01:02:56.080 --> 01:02:57.920]   I guess it's really handy.
[01:02:57.920 --> 01:03:02.440]   It comes from the idea of like, it's really handy to know what the paper is about, but
[01:03:02.440 --> 01:03:04.400]   it's equally handy to then apply that paper.
[01:03:04.400 --> 01:03:08.320]   So we're going to try, actually, we're going to try and go into the details of how MDTR
[01:03:08.320 --> 01:03:09.320]   is implemented.
[01:03:09.320 --> 01:03:13.200]   And we might fail at doing that, but we at least are going to try and get our hands dirty
[01:03:13.200 --> 01:03:16.680]   and look at all the loss functions and everything in PyTorch code.
[01:03:16.680 --> 01:03:20.880]   So that's something that we will do very soon.
[01:03:20.880 --> 01:03:24.400]   So that being said, let me just quickly go to the forums for EMA.
[01:03:24.400 --> 01:03:26.360]   All right.
[01:03:26.360 --> 01:03:28.640]   So we've got a few questions.
[01:03:28.640 --> 01:03:31.200]   So we'll start with this one.
[01:03:31.200 --> 01:03:36.160]   Question by Ramesh, if there's no fixed number of classes in the output, the predicted boxes
[01:03:36.160 --> 01:03:38.760]   is doing soft distribution over input tokens.
[01:03:38.760 --> 01:03:40.320]   I answered this in the chat.
[01:03:40.320 --> 01:03:41.320]   Oh, okay.
[01:03:41.320 --> 01:03:42.320]   Oh yes.
[01:03:42.320 --> 01:03:43.320]   Okay.
[01:03:43.320 --> 01:03:45.080]   I did actually answer it in the chat.
[01:03:45.080 --> 01:03:48.280]   Sorry, I should read the whole thing first.
[01:03:48.280 --> 01:03:50.000]   Let's move on to the next one.
[01:03:50.000 --> 01:03:54.680]   Can you go over the flattening and concatenating of image features and text features?
[01:03:54.680 --> 01:03:57.960]   I didn't quite understand what the final shape is expected to be.
[01:03:57.960 --> 01:04:03.960]   So if it was like batch size by sequence length by feature dimension, by the time you apply
[01:04:03.960 --> 01:04:08.200]   the linearity to project to the size of the transformer.
[01:04:08.200 --> 01:04:10.680]   So the transformer size we use is 256.
[01:04:10.680 --> 01:04:13.080]   This is another thing that we never adulated, by the way.
[01:04:13.080 --> 01:04:14.560]   We never tried bigger sizes.
[01:04:14.560 --> 01:04:18.680]   It's very possible that if you increase the size, you'll get even better performance.
[01:04:18.680 --> 01:04:23.720]   But yeah, there was limited time and we didn't want to change too many things because Ditter
[01:04:23.720 --> 01:04:25.440]   has a lot of knobs.
[01:04:25.440 --> 01:04:29.840]   We know a setting that works, so we thought we'll just go with that.
[01:04:29.840 --> 01:04:33.640]   But yeah, so the CNN output is linearized.
[01:04:33.640 --> 01:04:40.600]   So you'll have batch size by a really long sequence of the linearized image features
[01:04:40.600 --> 01:04:44.120]   by whatever the feature dimension was at that layer.
[01:04:44.120 --> 01:04:49.040]   And that's going to be down projected basically to 256 or I don't know, down or up projected,
[01:04:49.040 --> 01:04:50.560]   basically changed to 256.
[01:04:50.560 --> 01:04:52.840]   And on the reverse- Sorry to cut you.
[01:04:52.840 --> 01:04:53.840]   Just a quick one then.
[01:04:53.840 --> 01:04:55.440]   So I'm just going to do this flattening.
[01:04:55.440 --> 01:04:57.320]   So this then just becomes 256, right?
[01:04:57.320 --> 01:05:01.400]   So then I've got 64 by 256 because then that becomes my number of channels.
[01:05:01.400 --> 01:05:04.240]   Or do you flatten this out as well, the whole thing?
[01:05:04.240 --> 01:05:08.320]   No, it's like sequence length remains the same.
[01:05:08.320 --> 01:05:09.320]   The sequence length stays.
[01:05:09.320 --> 01:05:10.320]   All right.
[01:05:10.320 --> 01:05:11.320]   Okay.
[01:05:11.320 --> 01:05:12.320]   So keep going.
[01:05:12.320 --> 01:05:16.160]   So I guess the 16 by 16 is what becomes the sequence length and the 64 is your feature
[01:05:16.160 --> 01:05:17.160]   dimension.
[01:05:17.160 --> 01:05:18.160]   The 64 will become also 256 basically.
[01:05:18.160 --> 01:05:19.160]   Okay.
[01:05:19.160 --> 01:05:22.320]   So it's just a reshaping operation that happens after.
[01:05:22.320 --> 01:05:24.680]   You end up being like 256 by 64.
[01:05:24.680 --> 01:05:25.680]   Yeah.
[01:05:25.680 --> 01:05:31.160]   And then 64 will go through a linear and then you like to be the size of the transformer.
[01:05:31.160 --> 01:05:32.800]   And on the other side, yeah.
[01:05:32.800 --> 01:05:38.080]   And then the other side, the 10 by 768 will become 10 by 256, which is the size of the
[01:05:38.080 --> 01:05:39.080]   transformer.
[01:05:39.080 --> 01:05:40.600]   And then you could reshape that again.
[01:05:40.600 --> 01:05:41.600]   Yeah.
[01:05:41.600 --> 01:05:46.680]   So the 10 by 256 will be concat with the 256 by 256 basically.
[01:05:46.680 --> 01:05:50.080]   So you'll get like 266 by 256.
[01:05:50.080 --> 01:05:51.080]   Yes.
[01:05:51.080 --> 01:05:52.080]   That makes sense.
[01:05:52.080 --> 01:05:53.080]   Yeah.
[01:05:53.080 --> 01:05:54.080]   Absolutely.
[01:05:54.080 --> 01:05:55.080]   Okay.
[01:05:55.080 --> 01:05:56.880]   For this question, I guess it will be helpful when we go through the code.
[01:05:56.880 --> 01:06:01.280]   So that's something we do plan on doing next week anyway, but that was really good.
[01:06:01.280 --> 01:06:03.040]   I think that should help it.
[01:06:03.040 --> 01:06:06.880]   So we have 10 by 256 for these words.
[01:06:06.880 --> 01:06:11.120]   And then, because this 64 is going through the linear layer, which will then just change
[01:06:11.120 --> 01:06:12.480]   the dimension to be 256.
[01:06:12.480 --> 01:06:16.340]   So you have 256 by 256 coming from here.
[01:06:16.340 --> 01:06:20.160]   And when you concatenate these two features, the top one being the image, the bottom one
[01:06:20.160 --> 01:06:26.400]   being the text, you get something like 266 by 256, which then goes into the transformer.
[01:06:26.400 --> 01:06:27.400]   Cool.
[01:06:27.400 --> 01:06:34.040]   Fromish, I'm still not very clear on contrastive loss alignment.
[01:06:34.040 --> 01:06:38.240]   Is it like a triplet loss of minimizing the cosine distance between similar things?
[01:06:38.240 --> 01:06:39.240]   How do you handle negative examples?
[01:06:39.240 --> 01:06:40.240]   Yes.
[01:06:40.240 --> 01:06:44.080]   You can think of it as like a margin loss where the thing that is being optimized, like
[01:06:44.080 --> 01:06:49.520]   the cosine distance between the two, between the image and text embeddings.
[01:06:49.520 --> 01:06:54.080]   So if you open up the equation that we have in the paper, you'll get two terms.
[01:06:54.080 --> 01:06:58.720]   Maybe you can just look at it quickly.
[01:06:58.720 --> 01:06:59.720]   So yeah.
[01:06:59.720 --> 01:07:06.000]   So if you look at the numerator, if you take a log of A by B, you're going to get log A
[01:07:06.000 --> 01:07:12.680]   minus like log of A minus log B. So basically, the log and the X will cancel.
[01:07:12.680 --> 01:07:17.120]   So you'll get one term, which will have all of this summation stuff outside.
[01:07:17.120 --> 01:07:23.380]   And then something which is just minus of OI transpose TJ divided by temperature.
[01:07:23.380 --> 01:07:30.220]   So that OI transpose TJ will need to become big so that this entire term is small because
[01:07:30.220 --> 01:07:31.900]   you want to minimize the loss.
[01:07:31.900 --> 01:07:37.100]   So minus of this term needs to be big so that you have the whole term go down.
[01:07:37.100 --> 01:07:43.240]   So that's why the embeddings of OI and TJ need to be similar so that their dot product
[01:07:43.240 --> 01:07:45.880]   basically needs to be big.
[01:07:45.880 --> 01:07:50.640]   And keep in mind that this OI and TJ, if you look at the code, you'll see that it's normalized
[01:07:50.640 --> 01:07:51.860]   before this dot product.
[01:07:51.860 --> 01:07:55.500]   So it's a cosine similarity and not just a dot product.
[01:07:55.500 --> 01:07:59.700]   Because if it was just a dot product, the norms of the vectors can basically just increase
[01:07:59.700 --> 01:08:02.840]   as much as possible to make this big.
[01:08:02.840 --> 01:08:05.380]   And you don't want that because you'll get instability in training.
[01:08:05.380 --> 01:08:10.060]   So it's important to normalize these two vectors, take the dot product, and that's the first
[01:08:10.060 --> 01:08:11.060]   part of the term.
[01:08:11.060 --> 01:08:17.940]   The second term, you'll notice, is a log sum x, which the denominator, when it comes up,
[01:08:17.940 --> 01:08:23.120]   you'll get minus of log of 1 by something so that negative cancels.
[01:08:23.120 --> 01:08:26.440]   So you'll get log of sum of x.
[01:08:26.440 --> 01:08:34.800]   So that term and the summation outside, you'll notice, has a J, which doesn't depend on the
[01:08:34.800 --> 01:08:36.600]   inner term of the denominator.
[01:08:36.600 --> 01:08:37.820]   Doesn't have any Js.
[01:08:37.820 --> 01:08:41.740]   So basically, your summation and the 1 by TI plus will cancel.
[01:08:41.740 --> 01:08:46.200]   And you'll just have a positive log sum x of the denominator.
[01:08:46.200 --> 01:08:52.460]   So that term is basically the thing which is all the positive and negative.
[01:08:52.460 --> 01:08:56.140]   So in general, yes, you can also have just the negatives.
[01:08:56.140 --> 01:08:58.220]   The summation could have been just over the negatives.
[01:08:58.220 --> 01:09:01.740]   But experimentally, we tried both.
[01:09:01.740 --> 01:09:06.460]   And it seemed like if you have all the terms instead of just the negative terms, it's more
[01:09:06.460 --> 01:09:07.460]   stable.
[01:09:07.460 --> 01:09:08.460]   So you can have it like this.
[01:09:08.460 --> 01:09:12.340]   I just have a quick question.
[01:09:12.340 --> 01:09:16.900]   When you mentioned J, what did you mean when you say the denominator?
[01:09:16.900 --> 01:09:17.900]   Just this bit here?
[01:09:17.900 --> 01:09:18.900]   Yeah, yeah.
[01:09:18.900 --> 01:09:25.940]   So when you expand the log of the numerator by denominator, if you do log A by B, it's
[01:09:25.940 --> 01:09:27.140]   log A minus log B, right?
[01:09:27.140 --> 01:09:33.780]   So when the second term will have all of the summation terms and will also have log of
[01:09:33.780 --> 01:09:35.020]   the denominator.
[01:09:35.020 --> 01:09:38.700]   But if you notice, the denominator does not have any J terms.
[01:09:38.700 --> 01:09:41.140]   It has no J index.
[01:09:41.140 --> 01:09:45.140]   So basically, you can take that out of the summation and the 1 by TI plus.
[01:09:45.140 --> 01:09:46.140]   Oh, of course.
[01:09:46.140 --> 01:09:47.140]   OK, that makes sense.
[01:09:47.140 --> 01:09:48.140]   Got it.
[01:09:48.140 --> 01:09:49.140]   Thank you very much.
[01:09:49.140 --> 01:09:56.040]   So I explain it like this because that's explicitly how it's implemented in the code.
[01:09:56.040 --> 01:09:59.340]   So it might help to hear this explanation when you read the code.
[01:09:59.340 --> 01:10:02.860]   It's like-- because we implemented it line by line from the equation.
[01:10:02.860 --> 01:10:06.100]   So you'll be like, oh, why are you doing it like this?
[01:10:06.100 --> 01:10:11.340]   And maybe after-- if it doesn't make sense next week when you're reading the code, try
[01:10:11.340 --> 01:10:13.020]   opening up the equation like this.
[01:10:13.020 --> 01:10:14.820]   And that's exactly what is implemented.
[01:10:14.820 --> 01:10:15.820]   So yeah.
[01:10:15.820 --> 01:10:16.820]   Thank you very much.
[01:10:16.820 --> 01:10:20.380]   Yeah, for context for everybody, I emailed Aishwarya before this event.
[01:10:20.380 --> 01:10:23.780]   And I'm like, Aishwarya, the equations 1 and 2 could be really daunting.
[01:10:23.780 --> 01:10:25.700]   So maybe it might help to go through the code.
[01:10:25.700 --> 01:10:28.380]   But that's something we will do next week anyway.
[01:10:28.380 --> 01:10:32.980]   But after that explanation, I don't think those equations are daunting at all.
[01:10:32.980 --> 01:10:34.900]   So thanks very much for that.
[01:10:34.900 --> 01:10:38.460]   So I guess Ramesh is asking, what downstream tasks can we use?
[01:10:38.460 --> 01:10:41.780]   MDT4, can it be image-only downstream tasks?
[01:10:41.780 --> 01:10:45.700]   Or does it need to be image text in GQA?
[01:10:45.700 --> 01:10:49.660]   Does the labels need to be as detailed as the initial pre-training?
[01:10:49.660 --> 01:10:52.420]   How much data is required for downstream tasks?
[01:10:52.420 --> 01:10:56.500]   So the first question, I'll just say that, I mean, it's supposed to be a multimodal model.
[01:10:56.500 --> 01:11:01.860]   So I'm not sure why you would want to use it for image or text only.
[01:11:01.860 --> 01:11:04.420]   For the GQA, that's a good question.
[01:11:04.420 --> 01:11:09.260]   Yes, like GQA, when we were training, when we were fine-tuning, we first fine-tuned where
[01:11:09.260 --> 01:11:14.600]   we actually used the alignment between the image-- sorry, the objects and the text.
[01:11:14.600 --> 01:11:17.060]   So because GQA provides this, we were like, why not?
[01:11:17.060 --> 01:11:22.780]   We will continue having this phrase grounding loss, like the normal loss from pre-training,
[01:11:22.780 --> 01:11:27.020]   in addition to the fine-tuning on the actual question answering.
[01:11:27.020 --> 01:11:29.180]   And how much data, it depends.
[01:11:29.180 --> 01:11:33.540]   Like for Flickr, we didn't fine-tune to it because we basically just used all of the
[01:11:33.540 --> 01:11:37.100]   data for pre-training and just reported the results.
[01:11:37.100 --> 01:11:42.100]   For RefCoCo, it's-- I don't remember anymore.
[01:11:42.100 --> 01:11:46.060]   Sorry, it's been-- my last few months have been working on a completely different project.
[01:11:46.060 --> 01:11:50.380]   So like the exact numbers of the data have slipped from my mind.
[01:11:50.380 --> 01:11:52.660]   But yeah, I would say it's not very big.
[01:11:52.660 --> 01:11:58.380]   So that's also a reason why we only fine-tune the ResNet model and the B3, but not the B5
[01:11:58.380 --> 01:12:02.740]   on the RefCoCo because the model is much bigger, and we didn't want it to overfit on the small
[01:12:02.740 --> 01:12:03.780]   data sets.
[01:12:03.780 --> 01:12:08.060]   So I would say if you don't have that much fine-tuning data for your downstream task,
[01:12:08.060 --> 01:12:09.900]   use the smaller model.
[01:12:09.900 --> 01:12:13.780]   And if you have lots of data, then just use the B5 because it's the best one.
[01:12:13.780 --> 01:12:19.200]   And yeah, so we also have-- if you look at the appendix, we have results on VQA.
[01:12:19.200 --> 01:12:22.880]   We didn't put it in the main paper because they're not stunning results.
[01:12:22.880 --> 01:12:31.480]   We just did it to see what if we don't have object to text span alignment, but we only
[01:12:31.480 --> 01:12:38.240]   have higher level, only at the entire-- so we pre-train on phrase grounding and then
[01:12:38.240 --> 01:12:40.640]   fine-tune only on question answering, basically.
[01:12:40.640 --> 01:12:44.080]   So the supervision only comes from the answers.
[01:12:44.080 --> 01:12:46.080]   And we got a decent score.
[01:12:46.080 --> 01:12:50.620]   It's not state of the art, but it was 70-something, which is not a joke.
[01:12:50.620 --> 01:12:52.320]   So we were happy with that score.
[01:12:52.320 --> 01:12:57.760]   So yeah, that is the one downstream task that we tried where we don't have that much dense
[01:12:57.760 --> 01:13:00.440]   annotation to answer your question.
[01:13:00.440 --> 01:13:02.480]   Thank you.
[01:13:02.480 --> 01:13:07.240]   And then there's this question about, OK, so are there any specific data augmentation
[01:13:07.240 --> 01:13:11.480]   on images and text that you ended up using for fine-tuning?
[01:13:11.480 --> 01:13:15.380]   Yeah, so for data augmentation, the only thing you need to be careful about when you're using
[01:13:15.380 --> 01:13:17.560]   image text is flips.
[01:13:17.560 --> 01:13:23.120]   Because if you flip the image, you need to also flip the left, right, and things like
[01:13:23.120 --> 01:13:25.680]   that, which was something that I didn't do in the beginning.
[01:13:25.680 --> 01:13:29.520]   And it kind of bit me when I was doing my very early experiments.
[01:13:29.520 --> 01:13:31.360]   It's something to be careful about.
[01:13:31.360 --> 01:13:36.240]   But other than that, on the image side, we used mostly the same transforms as Ditter,
[01:13:36.240 --> 01:13:41.080]   so random crops and things like that, jitters, whatever was in Ditter.
[01:13:41.080 --> 01:13:44.560]   So yeah, I didn't change much in that.
[01:13:44.560 --> 01:13:45.740]   Thank you.
[01:13:45.740 --> 01:13:50.700]   And then the last question is, is the Roberta frozen, or is that also fine-tuned?
[01:13:50.700 --> 01:13:51.700]   It's fine-tuned.
[01:13:51.700 --> 01:13:53.760]   Yeah, we train on everything.
[01:13:53.760 --> 01:13:58.540]   It has a different learning rate, so that was a bit hard because it was a lot of part--
[01:13:58.540 --> 01:14:03.320]   like, already in Ditter, you have the encoder and the decoder and the backbone.
[01:14:03.320 --> 01:14:06.640]   And now we were adding one more part to the model, which also needed to-- we had to figure
[01:14:06.640 --> 01:14:08.380]   out what learning rate to use it.
[01:14:08.380 --> 01:14:14.060]   So at some point, we had-- so the text encoder has a different learning rate schedule from
[01:14:14.060 --> 01:14:15.820]   the rest of the model, actually.
[01:14:15.820 --> 01:14:22.580]   We use a linear warm-up with decay, as is common in NLP for the Roberta model.
[01:14:22.580 --> 01:14:27.260]   But for the Ditter part, we were using a different step alert, kind of constant for filler point,
[01:14:27.260 --> 01:14:29.420]   and then drop for parts of the model.
[01:14:29.420 --> 01:14:34.660]   So yeah, there was a lot of hyperparameter tuning that went into that.
[01:14:34.660 --> 01:14:39.060]   In my head, I'm getting excited for getting my hands dirty with all this code.
[01:14:39.060 --> 01:14:41.860]   So everything you're saying, I'm like, oh, yes, that's another thing I want to look at
[01:14:41.860 --> 01:14:42.860]   in code.
[01:14:42.860 --> 01:14:45.940]   And then you say something else, I'm like, oh, yes, that's another thing I want to look
[01:14:45.940 --> 01:14:46.940]   at in code.
[01:14:46.940 --> 01:14:50.500]   So I guess that's where we'll stop.
[01:14:50.500 --> 01:14:54.060]   Thanks so much, Aishwarya, for finding the time and joining us today.
[01:14:54.060 --> 01:14:58.940]   I think it's been a really good experience learning about MDitter and learning about
[01:14:58.940 --> 01:15:03.780]   everything that's-- the wonderful things that the paper can do and the wonderful experiments
[01:15:03.780 --> 01:15:06.060]   that you run and that you ran.
[01:15:06.060 --> 01:15:10.500]   And it's really good to see all those stories that are behind the scenes of the paper.
[01:15:10.500 --> 01:15:12.540]   And it's really helpful, at least.
[01:15:12.540 --> 01:15:16.060]   So I guess thanks for finding the time and joining us on your evening.
[01:15:16.060 --> 01:15:17.060]   Of course.
[01:15:17.060 --> 01:15:18.900]   And we'll let you go now.
[01:15:18.900 --> 01:15:19.900]   And thanks, Aishwarya.
[01:15:19.900 --> 01:15:20.900]   So everybody, we will--
[01:15:20.900 --> 01:15:21.900]   Have a good day.
[01:15:21.900 --> 01:15:22.900]   Thank you.
[01:15:22.900 --> 01:15:28.460]   And everybody, for Weights and Biases context, and what we're going to start from here on
[01:15:28.460 --> 01:15:31.620]   is we're going to start also digging into our beginner-friendly papers.
[01:15:31.620 --> 01:15:34.900]   So we're going to start with ResNets or DenseNets and similar papers.
[01:15:34.900 --> 01:15:37.700]   So the details will be out very soon.
[01:15:37.700 --> 01:15:41.820]   But we're also going to look into the-- there's really a strong plan to start looking into
[01:15:41.820 --> 01:15:46.340]   the code for MData and run every experiment or whatever we've learned today.
[01:15:46.340 --> 01:15:47.740]   We're going to run all those experiments.
[01:15:47.740 --> 01:15:51.020]   And we're going to see how that thing looks like in code.
[01:15:51.020 --> 01:15:54.780]   And then we're going to try and match the equation to the code implementation.
[01:15:54.780 --> 01:15:57.860]   And we're going to try and match what-- the good things that Aishwarya has explained to
[01:15:57.860 --> 01:16:02.620]   us today and then try and match that to the code implementations and see if we can fine
[01:16:02.620 --> 01:16:04.020]   tune to our own data sets.
[01:16:04.020 --> 01:16:05.020]   Those are the plans.
[01:16:05.020 --> 01:16:06.020]   Next.
[01:16:06.020 --> 01:16:08.580]   Aishwarya, before you go, actually, I just had last question.
[01:16:08.580 --> 01:16:13.860]   I'm really sorry, but you did mention you have-- you're working on other projects.
[01:16:13.860 --> 01:16:15.740]   So what's next for MData?
[01:16:15.740 --> 01:16:18.700]   So what's-- is that something you could share with us?
[01:16:18.700 --> 01:16:19.700]   Yeah, sure.
[01:16:19.700 --> 01:16:25.060]   So, yeah, we're-- like, I haven't had much time to work on this during the summer because
[01:16:25.060 --> 01:16:27.060]   I've been at Google for the summer.
[01:16:27.060 --> 01:16:30.980]   And I'm working on, like, vision language navigation, not really using MData, so like
[01:16:30.980 --> 01:16:33.820]   other kind of approach.
[01:16:33.820 --> 01:16:38.540]   But now that the semester is starting again, I'll be going back to working on some follow-ups
[01:16:38.540 --> 01:16:46.300]   and it's mostly in, like, trying to make MData be more versatile in terms of what tasks you
[01:16:46.300 --> 01:16:50.980]   can approach, like more generation-based tasks, like captioning and things like that, and
[01:16:50.980 --> 01:16:54.140]   which will also help us, like, kind of use more data.
[01:16:54.140 --> 01:17:00.300]   Because I still feel bad that, you know, Oscar and all of these approaches use so much more
[01:17:00.300 --> 01:17:01.300]   data.
[01:17:01.300 --> 01:17:05.260]   So, like, we need to figure out how to, like, make MData also scale up like that.
[01:17:05.260 --> 01:17:07.100]   And, yeah, that's the next plan.
[01:17:07.100 --> 01:17:08.100]   Excellent.
[01:17:08.100 --> 01:17:09.100]   Thanks, Aishwarya.
[01:17:09.100 --> 01:17:10.100]   Thank you.
[01:17:10.100 --> 01:17:11.100]   Have a nice evening.
[01:17:11.100 --> 01:17:12.100]   And you.
[01:17:12.100 --> 01:17:12.100]   [END OF TRANSCRIPT]
[01:17:12.100 --> 01:17:14.100]   you.
[01:17:14.100 --> 01:17:16.100]   >> Thank you.
[01:17:16.100 --> 01:17:18.100]   >> Have a nice evening.
[01:17:18.100 --> 01:17:20.100]   >> And you.
[01:17:20.100 --> 01:17:22.100]   >> Thank you.
[01:17:22.100 --> 01:17:24.100]   >> Thank you.
[01:17:24.100 --> 01:17:26.100]   >> Thank you.
[01:17:26.100 --> 01:17:36.100]   [BLANK_AUDIO]

