
[00:00:00.000 --> 00:00:04.080]   Welcome to lesson 12.
[01:12:22.980 --> 01:12:25.460]   And then I went through each change that happened in the mixed position module.
[01:12:25.460 --> 01:12:30.940]   So like $5,000 later, I finally found the one line of code where we had forgotten to
[01:12:30.940 --> 01:12:33.520]   write the four letters dot opt.
[01:12:33.520 --> 01:12:37.940]   And so by failing to write dot opt, it meant that we were wrapping an Optim wrapper in
[01:12:37.940 --> 01:12:41.600]   an Optim wrapper, rather than wrapping an Optim wrapper with an optimizer.
[01:12:41.600 --> 01:12:45.420]   And that meant that weight decay was being applied twice.
[01:12:45.420 --> 01:12:52.260]   So that tiny difference, like, was so insignificant that no one using the library even noticed
[01:12:52.260 --> 01:12:54.260]   it wasn't working.
[01:12:54.260 --> 01:12:58.680]   I didn't notice it wasn't working until I started trying to, you know, get state-of-the-art
[01:12:58.680 --> 01:13:05.540]   results on ImageNet in 60 epochs with ResNet 50.
[01:13:05.540 --> 01:13:12.060]   So yeah, I mean, debugging is hard, and worth still is most of the time you don't know.
[01:13:12.060 --> 01:13:18.380]   So I mean, honestly, training models sucks, and deep learning is a miserable experience
[01:13:18.380 --> 01:13:23.740]   and you shouldn't do it, but on the other hand, it gives you much better results than
[01:13:23.740 --> 01:13:25.460]   anything else, and it's taking over the world.
[01:13:25.460 --> 01:13:29.860]   So it's either that or get eaten by everybody else, I guess.
[01:13:29.860 --> 01:13:35.020]   So yeah, I mean, it's so much easier to write normal code where, like, oh, you have to implement
[01:13:35.020 --> 01:13:39.500]   a wealth authentication in your web service, and so you go in and you say, oh, here's the
[01:13:39.500 --> 01:13:43.580]   API, and we have to take these five steps, and after each one I check that this has happened,
[01:13:43.580 --> 01:13:46.740]   and you check off each one, and at the end you're done, and you push it, and you have
[01:13:46.740 --> 01:13:49.500]   integration tests, and that's it, right?
[01:13:49.500 --> 01:13:53.620]   Even testing, it requires a totally different mindset.
[01:13:53.620 --> 01:13:56.580]   So you don't want reproducible tests.
[01:13:56.580 --> 01:13:57.860]   You want tests with randomness.
[01:13:57.860 --> 01:14:02.700]   You want to be able to see if something's changing just occasionally, because if it tests correctly
[01:14:02.700 --> 01:14:07.660]   all the time with a random set of 42, be sure it's going to work with a random set of 41.
[01:14:07.660 --> 01:14:13.060]   So you want non-reproducible tests, you want randomness, you want tests that aren't guaranteed
[01:14:13.060 --> 01:14:18.380]   to always pass, but the accuracy of this integration test should be better than 0.9 nearly all the
[01:14:18.380 --> 01:14:24.980]   time. You want to be warned if something looks off, you know?
[01:14:24.980 --> 01:14:27.980]   And this means it's a very different software development process, because if you push something
[01:14:27.980 --> 01:14:32.980]   to the fast AI repo and a test fails, it might not be your fault, right?
[01:14:32.980 --> 01:14:36.660]   It might be that Jeremy screwed something up a month ago, and one test fails one out
[01:14:36.660 --> 01:14:38.580]   of every thousand times.
[01:14:38.580 --> 01:14:45.220]   So as soon as that happens, then we try to write a test that fails every time, you know?
[01:14:45.220 --> 01:14:48.740]   So once you realize there's a problem with this thing, you try to find a way to make
[01:14:48.740 --> 01:14:55.300]   it fail every time, but it's -- yeah, debugging is difficult, and in the end, you just have
[01:14:55.300 --> 01:15:02.980]   to go through each step, look at your data, make sure it looks sensible, plot it, and
[01:15:02.980 --> 01:15:05.460]   try not to make mistakes in the first place.
[01:15:05.460 --> 01:15:12.500]   Great. Well, let's have a break and see you back here at 7.55.
[01:15:12.500 --> 01:15:23.860]   So we've all done ULM fit in part one, and there's been a lot of stuff happening in the
[01:15:23.860 --> 01:15:34.180]   -- oh, okay. Let's do the question.
[01:15:34.180 --> 01:15:36.940]   >> What do you mean by a scientific journal?
[01:15:36.940 --> 01:15:45.020]   >> Ah. Yeah, that's a good one. This is something I'm quite passionate about.
[01:15:45.020 --> 01:15:54.300]   When you look at the great scientists in history, they all, that I can tell, had careful scientific
[01:15:54.300 --> 01:15:57.020]   journal practices.
[01:15:57.020 --> 01:16:05.140]   In my case, my scientific journal is a file in a piece of software called Windows Notepad,
[01:16:05.140 --> 01:16:09.260]   and I paste things into it at the bottom, and when I want to find something, I press
[01:16:09.260 --> 01:16:15.540]   control F. It just needs to be something that has a record
[01:16:15.540 --> 01:16:24.980]   of what you're doing and what the results of that are, because scientists -- scientists
[01:16:24.980 --> 01:16:28.980]   who make breakthroughs generally make the breakthrough because they look at something
[01:16:28.980 --> 01:16:35.420]   that shouldn't be, and they go, oh, that's odd. I wonder what's going on.
[01:16:35.420 --> 01:16:40.340]   So the discovery of the noble gases was because the scientists saw, like, one little bubble
[01:16:40.340 --> 01:16:43.580]   left in a beaker, which they were pretty sure there shouldn't have been a little bubble
[01:16:43.580 --> 01:16:46.900]   there anymore. Most people would just be like, oops, there's
[01:16:46.900 --> 01:16:50.540]   a bubble, or we wouldn't even notice, but they studied the bubble, and they found noble
[01:16:50.540 --> 01:16:59.620]   gases, or penicillin was discovered because of a, oh, that's odd.
[01:16:59.620 --> 01:17:05.980]   And I find in deep learning, this is true as well. Like, I spent a lot of time studying
[01:17:05.980 --> 01:17:14.700]   batch normalization in transfer learning, because a few years ago in Keras, I was getting
[01:17:14.700 --> 01:17:18.780]   terrible transfer learning results for something I thought should be much more accurate, and
[01:17:18.780 --> 01:17:27.140]   I thought, oh, that's odd. And I spent weeks changing everything I could, and then almost
[01:17:27.140 --> 01:17:36.220]   randomly tried changing batch norm. So the problem is that all this fiddling around,
[01:17:36.220 --> 01:17:40.020]   you know, 90% of it doesn't really go anywhere, but it's the other 10% that you won't be able
[01:17:40.020 --> 01:17:45.900]   to pick it out unless you can go back and say, like, okay, that really did happen. I
[01:17:45.900 --> 01:17:51.660]   copied and pasted the log here. So that's all I mean.
[01:17:51.660 --> 01:17:55.380]   >> Are you also linking to your GitHub commits and datasets, sir?
[01:17:55.380 --> 01:18:01.980]   >> No, because I've got the date there and the time. So I know the GitHub commit. So I
[01:18:01.980 --> 01:18:14.140]   do make sure I'm pushing all the time. So, yeah. Okay. Yeah, so there's been a lot happening
[01:18:14.140 --> 01:18:20.460]   in NLP transfer learning recently, the famous GPT2 from OpenAI and BERT and stuff like that,
[01:18:20.460 --> 01:18:28.660]   lots of interest in transformers, which we will cover in a future lesson. One could think
[01:18:28.660 --> 01:18:36.580]   that LSTMs are out of favor and not interesting anymore. But when you look at actually recent
[01:18:36.580 --> 01:18:44.140]   competitive machine learning results, you see ULMFIT beating BERT. Now, I should say this
[01:18:44.140 --> 01:18:50.500]   is not just ULMFIT beating BERT. The guys at Mwaves are super smart, amazing people.
[01:18:50.500 --> 01:18:55.820]   So it's like two super smart, amazing people using ULMFIT bits and other people doing BERT.
[01:18:55.820 --> 01:19:06.700]   It's definitely not true that RNNs are in the past. I think what's happened is, in fact,
[01:19:06.700 --> 01:19:13.060]   as you'll see, transformers and CNNs for text have a lot of problems. They basically don't
[01:19:13.060 --> 01:19:20.220]   have state. So if you're doing speech recognition, every sample you look at, you have to do an
[01:19:20.220 --> 01:19:25.860]   entire analysis of all the samples around it again and again and again. It's ridiculously
[01:19:25.860 --> 01:19:36.020]   wasteful or else RNNs have state. But they're fiddly and they're hard to deal with, as you'll
[01:19:36.020 --> 01:19:45.900]   see, when you want to actually do research and change things. But partly, RNNs have state,
[01:19:45.900 --> 01:19:54.780]   but also partly, RNNs are the only thing which has had the level of carefulness around regularization
[01:19:54.780 --> 01:20:01.780]   that AWD LSTM did. So Stephen Meridy looked at what are all the ways I can regularize
[01:20:01.780 --> 01:20:07.220]   this model and came up with a great set of hyperparameters for that. And there's nothing
[01:20:07.220 --> 01:20:17.300]   like that outside of the RNN world. So, at the moment, my go-to choice definitely is
[01:20:17.300 --> 01:20:32.460]   still ULM fit for most real-world NLP tasks. And if people find BERT or GPT2 or whatever
[01:20:32.460 --> 01:20:36.060]   better for some real-world tasks, that would be fascinating. I would love that to happen,
[01:20:36.060 --> 01:20:40.500]   but I haven't been hearing that from people that are actually working in industry yet.
[01:20:40.500 --> 01:20:47.220]   I'm not seeing them win competitive machine learning stuff and so forth. So I still think
[01:20:47.220 --> 01:20:54.060]   RNNs should be our focus, but we will also learn about transformers later. And so ULM
[01:20:54.060 --> 01:21:03.260]   fit is just the normal transfer learning path applied to an RNN, which could be on text.
[01:21:03.260 --> 01:21:07.540]   Interestingly, there's also been a lot of state of the art results recently on genomics
[01:21:07.540 --> 01:21:15.860]   applications and on chemical bonding analysis and drug discovery. There's lots of things
[01:21:15.860 --> 01:21:22.020]   that are sequences and it turns out, and we're still just at the tip of the iceberg, right?
[01:21:22.020 --> 01:21:27.660]   Because most people that are studying like drug discovery or chemical bonding or genomics
[01:21:27.660 --> 01:21:30.940]   have never heard of ULM fit, right? So it's still the tip of the iceberg. But those who
[01:21:30.940 --> 01:21:36.100]   are trying it are consistently getting breakthrough results. So I think it's really interesting,
[01:21:36.100 --> 01:21:41.420]   not just for NLP, but for all kinds of sequence classification tasks. So the basic process
[01:21:41.420 --> 01:21:48.580]   is going to be create a language model on some large data set. And notice a language
[01:21:48.580 --> 01:21:53.900]   model is a very general term. It means predict the next item in the sequence. So it could
[01:21:53.900 --> 01:21:59.900]   be an audio language model that predicts the next sample in a piece of music or speech.
[01:21:59.900 --> 01:22:07.100]   It could be predicting the next genome in a sequence or whatever, right? So that's what
[01:22:07.100 --> 01:22:14.580]   I mean by language model. And then we fine-tune it, that language model using our in-domain
[01:22:14.580 --> 01:22:19.260]   corpus, which in this case is going to be IMDB. And then in each case, we first have
[01:22:19.260 --> 01:22:29.900]   to pre-process our data sets to get them ready for using an RNN on them. Language models
[01:22:29.900 --> 01:22:34.700]   require one kind of pre-processing. Classification models require another one. And then finally
[01:22:34.700 --> 01:22:40.580]   we can fine-tune our IMDB language model for classification. So this is the process we're
[01:22:40.580 --> 01:22:43.920]   going to go through from scratch.
[01:22:43.920 --> 01:22:50.060]   So Sylvain has done an amazing thing in the last week, which is basically to recreate
[01:22:50.060 --> 01:22:59.300]   the entire AWD LSTM and ULM fit process from scratch in the next four notebooks. And there's
[01:22:59.300 --> 01:23:06.660]   quite a lot in here, but a lot of it's kind of specific to text processing. And so some
[01:23:06.660 --> 01:23:11.340]   of it I might skip over a little bit quickly, but we'll talk about which bits are interesting.
[01:23:11.340 --> 01:23:17.140]   So we're going to start with the IMDB data set as we have before. And to remind you it
[01:23:17.140 --> 01:23:23.980]   contains a training folder, an unsupervised folder, and a testing folder. So the first
[01:23:23.980 --> 01:23:29.780]   thing we need to do is we need to create a data blocks item list subclass for text. Believe
[01:23:29.780 --> 01:23:36.080]   it or not, that's the entire code. Because we already have a get files, so here's a get
[01:23:36.080 --> 01:23:44.420]   files with dot text. And all you have to do is override get to open a text file like so.
[01:23:44.420 --> 01:23:50.100]   And we're now ready to create an item list. So this is like the data blocks API is just
[01:23:50.100 --> 01:23:56.740]   so super easy to create, you know, to handle your domain. So if you've got genomic sequences
[01:23:56.740 --> 01:24:02.980]   or audio or whatever, this is basically what you need to do.
[01:24:02.980 --> 01:24:07.340]   So now we've got an item list with 100,000 things in it. We've got the train, the test,
[01:24:07.340 --> 01:24:14.540]   and the unsupervised. And we can index into it and see a text. So here's a movie review.
[01:24:14.540 --> 01:24:18.500]   And we can use all the same stuff that we've used before. So for the previous notebook,
[01:24:18.500 --> 01:24:22.820]   we just built a random splitter. So now we can use it on texts. So the nice thing about
[01:24:22.820 --> 01:24:27.620]   this decoupled API is that we can mix and match things and things just work, right? And we
[01:24:27.620 --> 01:24:34.580]   can see the representation of them. They just work. Okay, so we can't throw this movie review
[01:24:34.580 --> 01:24:41.140]   into a model. It needs to be numbers. And so as you know, we need to tokenize and numericalize
[01:24:41.140 --> 01:24:49.900]   this. So let's look at the details. We use spacey for tokenizing. And we do a few things
[01:24:49.900 --> 01:24:56.580]   as we tokenize. One thing we do is we have a few pre rules. These are these are bits
[01:24:56.580 --> 01:25:03.940]   of code that get run before tokenization. So for example, if we find br slash, we replace
[01:25:03.940 --> 01:25:09.660]   it with a new line. Or if we find a slash or a hash, we put spaces around it. If we
[01:25:09.660 --> 01:25:17.020]   find more than two spaces in a row, we just make it one space. Then we have these special
[01:25:17.020 --> 01:25:24.140]   tokens. And this is what they look like as strings that we use symbolic names for them,
[01:25:24.140 --> 01:25:29.820]   essentially. And these different tokens have various special meanings. For example, if we
[01:25:29.820 --> 01:25:42.300]   see some non-whitespace character more than three times in a row, we replace it with this
[01:25:42.300 --> 01:25:49.740]   is really cool, right? In Python substitution, you can pass in a function, right? So rep.sub
[01:25:49.740 --> 01:25:53.580]   here is going to look for this and then it's going to replace it with the result of calling
[01:25:53.580 --> 01:25:57.880]   this function, which is really nice. And so what we're going to do is we're going to stick
[01:25:57.880 --> 01:26:05.940]   in the TK rep special token. So this means that there was a repeating token where they're
[01:26:05.940 --> 01:26:10.140]   going to put a number, which is how many times it repeated. And then the thing that was actually
[01:26:10.140 --> 01:26:15.580]   there. We'll do the same thing with words. There's a lot of bits of little crappy things
[01:26:15.580 --> 01:26:24.540]   that we see in texts that we replace mainly HTML entities. We call those our default pre-rules.
[01:26:24.540 --> 01:26:29.020]   And then this is our default list of special tokens. So for example, replace rep C C C
[01:26:29.020 --> 01:26:33.940]   would be XX rep for C. Or replace W rep, would, would, would, would, would, would, would, would,
[01:26:33.940 --> 01:26:44.420]   would be XXW rep 5 would. Why? Well, think about the alternatives, right? So what if
[01:26:44.420 --> 01:26:53.820]   you read a tweet that said this was amazing 28 exclamation marks. So you can either treat
[01:26:53.820 --> 01:27:00.220]   those 28 exclamation marks as one token. And so now you have a vocab item that is specifically
[01:27:00.220 --> 01:27:04.420]   28 exclamation marks. You probably never see that again, so probably won't even end up
[01:27:04.420 --> 01:27:09.540]   in your vocab. And if it did, you know, it's, it's going to be so rare that you won't be
[01:27:09.540 --> 01:27:15.420]   able to learn anything interesting about it. But if instead we replaced it with XX rep
[01:27:15.420 --> 01:27:24.380]   28 exclamation mark, then this is just three tokens where it can learn that lots of repeating
[01:27:24.380 --> 01:27:30.260]   exclamation marks is a general concept that has certain semantics to it, right? So that's
[01:27:30.260 --> 01:27:35.860]   what we're trying to do in NLP is we're trying to make it so that the things in our vocab
[01:27:35.860 --> 01:27:40.860]   are as meaningful as possible. And the nice thing is that because we're using an LSTM,
[01:27:40.860 --> 01:27:47.520]   we can have multi-word sequences and be confident that the LSTM will create some stateful computation
[01:27:47.520 --> 01:27:53.660]   that can handle that sequence. Another alternative is we could have turned the 28 exclamation
[01:27:53.660 --> 01:27:58.980]   marks into 28 tokens in a row, each one of the single exclamation mark. But now we're
[01:27:58.980 --> 01:28:05.540]   asking our LSTM to hang on to that state for 28 time steps, which is just a lot more work
[01:28:05.540 --> 01:28:08.820]   for it to do. And it's not going to do as good a job, right? So we want to make things
[01:28:08.820 --> 01:28:14.960]   easy for our models. That's what pre-processing is all about. So same with all caps, right?
[01:28:14.960 --> 01:28:19.980]   If you've got, I am shouting, then it's pretty likely that there's going to be exclamation
[01:28:19.980 --> 01:28:23.820]   marks after that. There might be swearing after that. Like the fact that there's lots
[01:28:23.820 --> 01:28:29.980]   of capitalized words is semantic of itself. So we replace capitalized words with a token
[01:28:29.980 --> 01:28:34.300]   saying this is a capitalized word. And then we replace it with the lowercase word. So
[01:28:34.300 --> 01:28:39.140]   we don't have a separate vocab item for capital am, capital shouting, capital, every damn
[01:28:39.140 --> 01:28:50.340]   word in the dictionary. Okay. Same thing for mixed case. So I don't know, I haven't come
[01:28:50.340 --> 01:28:54.580]   across other libraries that do this kind of pre-processing. There's little bits and pieces
[01:28:54.580 --> 01:29:00.940]   in various papers, but I think this is a pretty good default set of rules. Notice that these
[01:29:00.940 --> 01:29:04.980]   rules have to happen after tokenization because they're happening at a word level. So we have
[01:29:04.980 --> 01:29:12.460]   default post rules. And then this one here adds a beginning of stream and an end of stream
[01:29:12.460 --> 01:29:21.340]   on either side of a list of tokens. Why do we do that? These tokens turn out to be very
[01:29:21.340 --> 01:29:29.340]   important because when your language model sees like an end of stream character token,
[01:29:29.340 --> 01:29:34.540]   meaning like that's the end of a document, that it knows the next document is something
[01:29:34.540 --> 01:29:39.660]   new. So it's going to have to learn the kind of reset its state to say like, oh, we're
[01:29:39.660 --> 01:29:43.660]   not talking about the old thing anymore. So we're doing Wikipedia. We were talking about
[01:29:43.660 --> 01:29:48.420]   Melbourne, Australia. Oh, and now there's a new token. Then we're talking about the
[01:29:48.420 --> 01:29:57.340]   Emmys, right? So when it sees EOS, it has to learn to kind of reset its state somehow.
[01:29:57.340 --> 01:30:02.660]   So you need to make sure that you have the tokens in place to allow your model to know
[01:30:02.660 --> 01:30:10.180]   that these things are happening. Tokenization is kind of slow because Spacey does it so
[01:30:10.180 --> 01:30:14.700]   carefully. I thought it couldn't possibly be necessary to do it so carefully because
[01:30:14.700 --> 01:30:19.420]   it just doesn't seem that important. So last year I tried removing Spacey and replacing
[01:30:19.420 --> 01:30:27.020]   it with something much simpler. My IMDB accuracy went down a lot. So actually it seems like
[01:30:27.020 --> 01:30:34.460]   Spacey's sophisticated parser-based tokenization actually does better. So at least we can try
[01:30:34.460 --> 01:30:40.060]   and make it fast. So Python comes with something called a process pool executor, which runs
[01:30:40.060 --> 01:30:45.180]   things in parallel. And I wrap it around with this little thing called parallel. And so
[01:30:45.180 --> 01:30:49.660]   here's my thing that runs, look, compose, appears everywhere. Compose the pre-rules
[01:30:49.660 --> 01:30:55.980]   on every chunk, run the tokenizer, compose the post rules on every dock. That's processing
[01:30:55.980 --> 01:31:03.020]   one chunk. So run them all in parallel for all the chunks. So that's that. So this is
[01:31:03.020 --> 01:31:11.220]   a processor, which we saw last week, and this is a processor which tokenizes. And so we
[01:31:11.220 --> 01:31:18.180]   can try it out. So we can create one and try, here's a bit of text, and let's try tokenizing.
[01:31:18.180 --> 01:31:27.420]   And so you can see we've got beginning of stream, did int, so int is a token, comma is a token,
[01:31:27.420 --> 01:31:33.700]   xx, match, da1, so that was a capital D, and so forth. All right, so now we need to turn
[01:31:33.700 --> 01:31:39.940]   those into numbers, not just to have a list of words. We can turn them into numbers by
[01:31:39.940 --> 01:31:44.820]   numericalizing, which is another processor, which basically when you call it, we find
[01:31:44.820 --> 01:31:50.300]   out, do we have a vocab yet? Because numericalizing is just saying, what are all the unique words?
[01:31:50.300 --> 01:31:55.460]   And the list of unique words is the vocab. So if we don't have a vocab, we'll create
[01:31:55.460 --> 01:32:05.940]   it, okay? And then after we create it, it's just a case of calling object to int on each
[01:32:05.940 --> 01:32:11.940]   one. So O to I is just a dictionary, right? Or if deprocessing is just grabbing each
[01:32:11.940 --> 01:32:18.580]   thing from the vocab. So that's just an array. Okay, so we can tokenize, numericalize, run
[01:32:18.580 --> 01:32:27.980]   it for two and a half minutes. And so we've got the xobj is the thing which returns the
[01:32:27.980 --> 01:32:32.100]   object version, so as opposed to the numericalized version, and so we can put it back together
[01:32:32.100 --> 01:32:36.460]   and this is what we have after it's been turned into numbers and back again. So since that
[01:32:36.460 --> 01:32:43.180]   takes a couple of minutes, good idea to dump the labeled list so that we can then load
[01:32:43.180 --> 01:32:50.740]   it again later without having to rerun that. All right, this is the bit which a lot of
[01:32:50.740 --> 01:32:58.620]   people get confused about, which is how do we batch up language model data? So here's
[01:32:58.620 --> 01:33:07.700]   this bit of text. It's very meta, it's a bit of text which is from this notebook. So the
[01:33:07.700 --> 01:33:11.380]   first thing we're going to do is we're going to say, let's create some batch sizes, create
[01:33:11.380 --> 01:33:16.740]   a small one for showing you what's going on, six. So let's go through and create six batches,
[01:33:16.740 --> 01:33:21.540]   which is just all the tokens for each of those six batches. So here's, in this notebook,
[01:33:21.540 --> 01:33:26.740]   we will go back over the example of is the first element of, so this is the first row
[01:33:26.740 --> 01:33:31.220]   and then of classifying movie reviews we studied in part one, this is the second. So we just
[01:33:31.220 --> 01:33:39.660]   put it into six groups, right? And then let's say we have a BPTT of five, so it's kind of
[01:33:39.660 --> 01:33:45.520]   like our backprop through time sequence length of five, then we can split these up into groups
[01:33:45.520 --> 01:33:51.700]   of five. And so that'll create three of them. In this notebook, we will go back over the
[01:33:51.700 --> 01:33:58.060]   example of classifying movie reviews we studied in part one. These three things then are three
[01:33:58.060 --> 01:34:03.340]   mini batches. And this is where people get confused because it's not that each one has
[01:34:03.340 --> 01:34:10.880]   a different bunch of documents. Each one has the same documents over consecutive time steps.
[01:34:10.880 --> 01:34:18.700]   This is really important. Why is it important? Because this row here in the RNN is going
[01:34:18.700 --> 01:34:23.580]   to be getting some state about this document. So when it goes to the next batch, it needs
[01:34:23.580 --> 01:34:27.700]   to use that state. And then it goes to the next batch, needs to use that state. So from
[01:34:27.700 --> 01:34:33.220]   batch to batch, the state that it's building up needs to be consistent. That's why we do
[01:34:33.220 --> 01:34:41.540]   the batches this way. >> I wanted to ask if you did any other preprocessing,
[01:34:41.540 --> 01:34:53.580]   such as removing stop words, stemming, or limitization? >> Yeah, great question. So
[01:34:53.580 --> 01:34:58.380]   in traditional NLP, those are important things to do. Removing stop words is removing words
[01:34:58.380 --> 01:35:07.800]   like "ah" and "on." Stemming is like getting rid of the "ing" suffix or stuff like that.
[01:35:07.800 --> 01:35:14.060]   It's kind of like universal in traditional NLP. It's an absolutely terrible idea. Never
[01:35:14.060 --> 01:35:20.860]   ever do this. Because -- well, the first question is like why would you do it? Why would you
[01:35:20.860 --> 01:35:27.340]   remove information from your neural net which might be useful? And the fact is it is useful.
[01:35:27.340 --> 01:35:34.140]   Like stop words, your use of stop words tells you a lot about what style of language, right?
[01:35:34.140 --> 01:35:38.860]   So you'll often have a lot less kind of articles and stuff if you're like really angry and
[01:35:38.860 --> 01:35:45.180]   speaking really quickly. You know, the tense you're talking about is obviously very important.
[01:35:45.180 --> 01:35:52.700]   So stemming gets rid of it. So yeah, all that kind of stuff is in the past. You basically
[01:35:52.700 --> 01:36:00.220]   never want to do it. And in general, preprocessing data for neural nets, leave it as raw as you
[01:36:00.220 --> 01:36:08.780]   can is the kind of rule of thumb. So for a language model, each mini batch is basically
[01:36:08.780 --> 01:36:13.220]   going to look something like this for the independent variable. And then the dependent
[01:36:13.220 --> 01:36:18.260]   variable will be exactly the same thing but shifted over by one word. So let's create
[01:36:18.260 --> 01:36:23.540]   that. This thing is called LM freeloader. It would actually be better off being called
[01:36:23.540 --> 01:36:39.020]   an LM data set. Why don't we do it right now? LM pre freeloader. LM data set. That's really
[01:36:39.020 --> 01:36:48.340]   what it is. Okay. So an LM data set is a data set for a language model. Remember that a
[01:36:48.340 --> 01:36:55.360]   data set is defined as something with a length and a get item. So this is a data set which
[01:36:55.360 --> 01:37:02.020]   you can index into it. And it will grab an independent variable and a dependent variable.
[01:37:02.020 --> 01:37:09.780]   And the independent variable is just the text from wherever you asked for, for BPTT. And
[01:37:09.780 --> 01:37:16.060]   the dependent variable is the same thing offset by one. So you can see it here. We can create
[01:37:16.060 --> 01:37:20.780]   a data loader using that data set. Remember that's how data loaders work. You pass them
[01:37:20.780 --> 01:37:25.300]   a data set. And now we have something that we can iterate through, grabbing a mini batch
[01:37:25.300 --> 01:37:33.460]   at a time. And you can see here X is XXBOS well worth watching. And Y is just well worth
[01:37:33.460 --> 01:37:41.340]   watching. Okay. And then you can see the second batch, best performance to date. So make sure
[01:37:41.340 --> 01:37:47.140]   you print out things that all make sense. So that's stuff that we can all dump into a single
[01:37:47.140 --> 01:37:55.100]   function and use it again later and chuck it into a data bunch. So that's all we need for
[01:37:55.100 --> 01:38:01.780]   a data bunch for language models. We're also going to need a data bunch for classification.
[01:38:01.780 --> 01:38:05.060]   And that one's going to be super easy because we already know how to create data bunches
[01:38:05.060 --> 01:38:10.500]   for classification because we've already done it for lots of image models. And for NLP it's
[01:38:10.500 --> 01:38:21.740]   going to be exactly the same. So we create an item list. We split. We label. That's it.
[01:38:21.740 --> 01:38:30.140]   So the stuff we did for image is not different. Only thing we've added is two preprocesses.
[01:38:30.140 --> 01:38:40.340]   >> Question. What are the tradeoffs to consider between batch size and back propagation through
[01:38:40.340 --> 01:38:48.380]   time? For example, BPTT10 with BS100 versus BPTT100 with BS10. Both would be passing a
[01:38:48.380 --> 01:38:54.340]   thousand tokens at a time to the model. What should you consider when tuning the ratio?
[01:38:54.340 --> 01:38:59.900]   >> It's a great question. I don't know the answer. I would love to know. So try it. Because
[01:38:59.900 --> 01:39:03.780]   I haven't had time to fiddle with it. I haven't seen anybody else experiment with it. So that
[01:39:03.780 --> 01:39:15.740]   would make a super great experiment. I think the batch size is the thing that lets it parallelize.
[01:39:15.740 --> 01:39:20.740]   So if you don't have a large enough batch size it's just going to be really slow. But
[01:39:20.740 --> 01:39:26.060]   on the other hand, the large batch size with a short BPTT, depending on how you use it,
[01:39:26.060 --> 01:39:30.120]   you may end up kind of ending up with less state that's being back propagated. So the
[01:39:30.120 --> 01:39:35.500]   question of how much that matters, I'm not sure. And when we get to our ULM classification
[01:39:35.500 --> 01:39:43.100]   model I'll actually show you this, kind of where this comes in. Okay. So here's a couple
[01:39:43.100 --> 01:39:52.340]   of examples of a document and a dependent variable. And what we're going to be doing
[01:39:52.340 --> 01:40:00.300]   is we're going to be creating data loaders for them. But we do have one trick here. Which
[01:40:00.300 --> 01:40:07.020]   is that with images, our images were always, by the time we got to modeling they were all
[01:40:07.020 --> 01:40:13.060]   the same size. Now this is probably not how things should be. And we have started doing
[01:40:13.060 --> 01:40:16.700]   some experiments with training with rectangular images of different sizes. But we're not quite
[01:40:16.700 --> 01:40:24.620]   ready to show you that work because it's still a little bit fiddly. But for text we can't
[01:40:24.620 --> 01:40:29.900]   avoid it. You know, we've got different sized texts coming in. So we have to deal with it.
[01:40:29.900 --> 01:40:34.700]   And the way we deal with it is almost identical to how actually we're going to end up dealing
[01:40:34.700 --> 01:40:38.700]   with when we do do rectangular images. So if you are interested in rectangular images,
[01:40:38.700 --> 01:40:49.100]   try and basically copy this approach. Here's the approach. We are going to pad each document
[01:40:49.100 --> 01:40:53.420]   by adding a bunch of padding tokens. So we just pick some arbitrary token which we're
[01:40:53.420 --> 01:40:59.460]   going to tell PyTorch this token isn't text. It's just thrown in there because we have
[01:40:59.460 --> 01:41:07.100]   to put in something to make a rectangular tensor. If we have a mini batch with a 1,000
[01:41:07.100 --> 01:41:12.380]   word document and then a 2,000 word document and then a 20 word document, the 20 word document
[01:41:12.380 --> 01:41:18.020]   is going to end up with 1,980 padding tokens on the end. And as we go through the RNN,
[01:41:18.020 --> 01:41:24.820]   we're going to be totally pointlessly calculating on all these padding tokens. We don't want
[01:41:24.820 --> 01:41:34.260]   to do that. So the trick is to sort the data first by length. So that way your first mini
[01:41:34.260 --> 01:41:39.300]   batch will contain your really long documents and your last mini batch will create your
[01:41:39.300 --> 01:41:43.580]   really short documents and each mini batch will not contain a very wide variety of lengths
[01:41:43.580 --> 01:41:50.020]   of documents. So there won't be much padding and so there won't be much wasted computation.
[01:41:50.020 --> 01:41:55.100]   So we've already looked at samplers. If you've forgotten, go back to when we created our
[01:41:55.100 --> 01:42:01.420]   data loader from scratch and we actually created a sampler. And so here we're going to create
[01:42:01.420 --> 01:42:09.100]   a different type of sampler and it is simply one that goes through our data, looks at how
[01:42:09.100 --> 01:42:15.900]   many documents is in it, creates the range from zero to the number of documents, sorts
[01:42:15.900 --> 01:42:22.340]   them by some key and returns that iterator, sorts them in reverse order. So we're going
[01:42:22.340 --> 01:42:29.300]   to use sort sampler passing in the key, which is a lambda function that grabs the length
[01:42:29.300 --> 01:42:42.900]   of the document. So that way our sampler is going to cause each mini batch to be documents
[01:42:42.900 --> 01:42:48.700]   of similar lengths. The problem is we can only do this for validation, not for training because
[01:42:48.700 --> 01:42:55.180]   for training we want to shuffle and sorting would undo any shuffling because sorting is
[01:42:55.180 --> 01:43:01.860]   deterministic. So that's why we create something called sort ish sampler. And the sort ish
