
[00:00:00.040 --> 00:00:22.240]   so thank you everyone we have a very full room today so we'll get started with the repo here in
[01:14:06.380 --> 01:14:08.380]   We'll continue to use the relationships.
[01:14:08.380 --> 01:14:10.380]   Sounds good.
[01:14:10.380 --> 01:14:17.380]   So basically, what we're going to do here is we're going to create a customers also like relationship.
[01:14:17.380 --> 01:14:25.380]   So basically, this cell, so it's going to be the first cell after you get to augmented semantic search with knowledge graph and ML.
[01:14:25.380 --> 01:14:30.380]   And if you run that cell, it's going to run our GDS algorithms.
[01:14:30.380 --> 01:14:35.380]   So I have some utilities to kind of help clear, clean things up.
[01:14:35.380 --> 01:14:40.380]   And then basically, we're going to create something called a graph projection.
[01:14:40.380 --> 01:14:45.380]   And we don't have a whole ton of time to go into detail on these in a two-hour course.
[01:14:45.380 --> 01:14:53.380]   But the basic idea, right, is that I'm going to look for these common co-purchase relationships between articles and customers.
[01:14:53.380 --> 01:15:00.380]   And then I'm going to project that as a co-purchase relationship to an in-memory graph.
[01:15:00.380 --> 01:15:06.380]   So I'm creating basically this graph that contains articles and then a weighted co-purchase relationship between them.
[01:15:06.380 --> 01:15:11.380]   After that, I'm going to run our node embedding model.
[01:15:12.380 --> 01:15:16.380]   So we have supervised models that we can use.
[01:15:16.380 --> 01:15:21.380]   But in this case, I'm going to use something called fast RP, which stands for fast random projection.
[01:15:21.380 --> 01:15:33.380]   And basically, what this is is a graph embedding that is going to use a lot of sort of this matrix multiplication with sort of this sparse random matrix.
[01:15:33.380 --> 01:15:39.380]   So the math behind it basically allows it to calculate an embedding really quickly without necessarily needing a neural network.
[01:15:40.380 --> 01:15:43.380]   So I'm going to make these embeddings 128 dimensions.
[01:15:43.380 --> 01:15:51.380]   I'm going to specify certain things like an iteration weight that will tell me how many hops to go out when looking for other similar nodes.
[01:15:51.380 --> 01:15:58.380]   And then once I create that embedding, I'm going to write GDS KNN write.
[01:15:58.380 --> 01:16:03.380]   So basically what this is going to do is it's going to find nodes with similar embeddings.
[01:16:03.380 --> 01:16:07.380]   And it's going to write a customer also likes relationship between those nodes.
[01:16:08.380 --> 01:16:15.380]   And then there's some sampling procedures that I can use inside of KNN to make it run faster, which I'm doing here.
[01:16:15.380 --> 01:16:20.380]   And then once I have that, I can write both my embeddings back to the graph.
[01:16:20.380 --> 01:16:23.380]   And in KNN, I just wrote the relationships back.
[01:16:23.380 --> 01:16:28.380]   So now we have these customer also like relationships between articles inside of the graph.
[01:16:29.380 --> 01:16:34.380]   And I get some stats when that's run telling me about whether or not it converged.
[01:16:34.380 --> 01:16:40.380]   The number of new relationships written, which is going to be generally a lot because it's doing this quadratic comparison.
[01:16:40.380 --> 01:16:43.380]   And each relationship is scored.
[01:16:44.380 --> 01:16:49.380]   I had a similarity cutoff at I think 75 and this was using cosine similarity.
[01:16:49.380 --> 01:16:55.380]   So it would be negative one to one, I think, that it was using.
[01:16:55.380 --> 01:16:59.380]   And we can visualize node embeddings as well.
[01:16:59.380 --> 01:17:04.380]   And that's interesting to do in the sense that it will tell me clusters of purchase behavior.
[01:17:05.380 --> 01:17:10.380]   So these cells that I have here, I've commented out because they take a while to run.
[01:17:10.380 --> 01:17:15.380]   But basically, this should still be able to be rendered here.
[01:17:15.380 --> 01:17:17.380]   This visual.
[01:17:18.380 --> 01:17:21.380]   And basically, what this visual will show you is you see we get these clusters.
[01:17:21.380 --> 01:17:24.380]   And basically, what I did is I took those 128 dimensional embeddings.
[01:17:24.380 --> 01:17:29.380]   And I used a TISNI, which is just a way to condense that down to a smaller space.
[01:17:29.380 --> 01:17:31.380]   And I condensed it down to a 2D space.
[01:17:31.380 --> 01:17:36.380]   And basically, what you'll see is you'll get these clusters of commonly purchased things.
[01:17:36.380 --> 01:17:41.380]   And so, this is sort of doing the multi-hop thing that you were referring to earlier,
[01:17:42.380 --> 01:17:46.380]   where now it's starting to look at, okay, well, these different clusters, right?
[01:17:46.380 --> 01:17:50.380]   These clusters represent items that are often co-purchased together.
[01:17:50.380 --> 01:17:51.380]   Baskets, right?
[01:17:51.380 --> 01:17:52.380]   Baskets, yeah.
[01:17:52.380 --> 01:17:55.380]   And yes, baskets in a sort of sense.
[01:17:55.380 --> 01:17:57.380]   Right now, it's just co-purchasing.
[01:17:57.380 --> 01:17:59.380]   But you could organize into orders inside of the graph.
[01:17:59.380 --> 01:18:01.380]   And you could do co-purchasing baskets as well.
[01:18:01.380 --> 01:18:09.380]   And so, with that information, we can start to sort of scale how we power just plain recommendation.
[01:18:10.380 --> 01:18:16.380]   So, I can create a new query here, where basically, instead of going to the vector database,
[01:18:16.380 --> 01:18:21.380]   I can just say, okay, we'll match the customers, get me everything they purchase, the articles,
[01:18:21.380 --> 01:18:26.380]   get me what else customers also like to buy, and get me the product behind that.
[01:18:26.380 --> 01:18:33.380]   So, it's similar to what we did before, except it's scaling it to sort of a, to a multi-hop pattern.
[01:18:33.380 --> 01:18:37.380]   And you can substitute other machine learning models in here if you wanted to, too.
[01:18:38.380 --> 01:18:45.380]   If you had, for example, a supervised model that you wanted to use for recommendation, that could be substituted in here to make these inferences,
[01:18:45.380 --> 01:18:48.380]   and then you all of a sudden have these customer also purchase relationships.
[01:18:48.380 --> 01:18:53.380]   You could also create a vector index for that graph embedding, which we're not doing here.
[01:18:53.380 --> 01:18:57.380]   We've sort of done the KNN beforehand, right, and we've written the relationships to the graph.
[01:18:58.380 --> 01:19:03.380]   And that allows me to do this customer also liked relationship that I can draw in the query.
[01:19:03.380 --> 01:19:06.380]   And that gives me a set of recommendations.
[01:19:06.380 --> 01:19:12.380]   Again, not necessarily based off of a search pattern, but just based off of what the customer had purchased before.
[01:19:13.380 --> 01:19:17.380]   And to your point earlier, we could create time, date, and date cutoffs, and things like that.
[01:19:17.380 --> 01:19:25.380]   So, this is basically just a way to kind of scale things with the machine learning model and leverage graph embeddings.
[01:19:26.380 --> 01:19:32.380]   So, that was it for the graph embedding and sort of the graph machine learning section.
[01:19:32.380 --> 01:19:39.380]   And again, you can use a lot of different types of machine learning models here to basically infer these relationships.
[01:19:40.380 --> 01:19:45.380]   some of which exists, like, inside of our platform through graph data science and others that you can bring in externally.
[01:19:45.380 --> 01:19:52.380]   We're at 4:48, so we have, what, 45 minutes left, a little under.
[01:19:52.380 --> 01:19:55.380]   And we haven't taken a break yet.
[01:19:55.380 --> 01:19:58.380]   I'm wondering if we should power through.
[01:19:58.380 --> 01:20:00.380]   Yeah.
[01:20:00.380 --> 01:20:02.380]   How do people keep going?
[01:20:02.380 --> 01:20:04.380]   Yeah, keep power through.
[01:20:04.380 --> 01:20:05.380]   Okay.
[01:20:05.380 --> 01:20:07.380]   Yes.
[01:20:08.380 --> 01:20:12.380]   Do you always have to recalculate it?
[01:20:12.380 --> 01:20:15.380]   Is there, like, any communication going with customers coming in?
[01:20:15.380 --> 01:20:21.380]   So, right now, you do, yes, have to recalculate the graph embedding.
[01:20:21.380 --> 01:20:30.380]   Ideally, right, if you, like, over time, if customers have been in there for a while, that graph embedding, like, well, it'll slow down how much it changes.
[01:20:30.380 --> 01:20:37.380]   We are working on things for the future that might make that easier in terms of getting things in real time.
[01:20:37.380 --> 01:20:42.380]   But right now, for calculating graph embeddings, it is something where you have to recalculate it for the graph.
[01:20:42.380 --> 01:20:46.380]   Thankfully, though, with something like FastRP, that'll work.
[01:20:46.380 --> 01:20:53.380]   I mean, we've, I've seen it work on graphs with billions of nodes and relationships, and it can calculate in, like, half an hour.
[01:20:54.380 --> 01:20:57.380]   But yes, right now, you do have to recalculate it.
[01:20:57.380 --> 01:21:10.380]   You could use other methods, too, like, averaging the neighborhood as well, for sort of, like, intermediate embeddings as well.
[01:21:11.380 --> 01:21:17.380]   So, if you didn't want to recalculate it right away, you could take, like, the average of the neighborhood and use that as, like, a stand-in embedding.
[01:21:24.380 --> 01:21:25.380]   What's that?
[01:21:25.380 --> 01:21:25.380]   Is there an apple limit?
[01:21:25.380 --> 01:21:25.380]   Is there an apple limit?
[01:21:25.380 --> 01:21:26.380]   Is there an apple limit?
[01:21:26.380 --> 01:21:27.380]   Is there an apple limit?
[01:21:27.380 --> 01:21:28.380]   Is there an apple limit?
[01:21:28.380 --> 01:21:29.380]   Is there an apple limit?
[01:21:29.380 --> 01:21:30.380]   Is there an apple limit?
[01:21:30.380 --> 01:21:31.380]   Is there an apple limit?
[01:21:31.380 --> 01:21:32.380]   Yes.
[01:21:32.380 --> 01:21:33.380]   Is there an apple limit?
[01:21:33.380 --> 01:21:33.380]   Is there an apple limit?
[01:21:33.380 --> 01:21:34.380]   Is there an apple limit?
[01:21:34.380 --> 01:21:35.380]   Is there an apple limit?
[01:21:35.380 --> 01:21:36.380]   Is there an apple limit?
[01:21:36.380 --> 01:21:37.380]   Is there an apple limit?
[01:21:37.380 --> 01:21:38.380]   Is there an apple limit?
[01:21:38.380 --> 01:21:39.380]   Is there an apple limit?
[01:21:39.380 --> 01:21:40.380]   Is there an apple limit?
[01:21:40.380 --> 01:21:41.380]   Is there an apple limit?
[01:21:41.380 --> 01:21:42.380]   Is there an apple limit?
[01:21:42.380 --> 01:21:43.380]   Is there an apple limit?
[01:21:43.380 --> 01:21:44.380]   Is there an apple limit?
[01:21:44.380 --> 01:21:45.380]   Is there an apple limit?
[01:21:45.380 --> 01:21:46.380]   Is there an apple limit?
[01:21:46.380 --> 01:21:47.380]   Is there an apple limit?
[01:21:47.380 --> 01:21:48.380]   Is there an apple limit?
[01:21:48.380 --> 01:21:49.380]   Is there an apple limit?
[01:21:49.380 --> 01:21:50.380]   Is there an apple limit?
[01:21:50.380 --> 01:21:52.380]   Is there an apple limit?
[01:21:52.380 --> 01:21:53.380]   Is there an apple limit?
[01:21:53.380 --> 01:21:54.380]   Is there an apple limit?
[01:21:54.380 --> 01:21:55.380]   Is there an apple limit?
[01:21:55.380 --> 01:21:56.380]   Is there an apple limit?
[01:21:56.380 --> 01:21:57.380]   I think you have an apple limit?
[01:21:57.380 --> 01:21:58.380]   Is there an apple limit?
[01:21:58.380 --> 01:21:59.380]   Is there an apple limit?
[01:21:59.380 --> 01:22:00.380]   Yeah.
[01:22:00.380 --> 01:22:01.380]   There's no upper limit to dimension.
[01:22:01.380 --> 01:22:17.820]   Right now, inside of this graph, we only have, let me see how many customers we have.
[01:22:17.820 --> 01:22:20.700]   So this graph only has a thousand customers, right?
[01:22:20.700 --> 01:22:25.120]   There's been other examples and demos that we have where it's like millions or tens of millions
[01:22:25.120 --> 01:22:26.440]   of customers, right?
[01:22:26.440 --> 01:22:29.820]   So the more transactions you have, the more customers and articles you have, the higher
[01:22:29.820 --> 01:22:32.200]   that dimension needs to be, right?
[01:22:32.200 --> 01:22:37.340]   For demo purposes right now, and we're working off of sandbox instances, I kept it pretty small.
[01:22:37.340 --> 01:22:42.440]   But you can expand this to 256 or keep going up in orders of two.
[01:22:42.440 --> 01:22:46.940]   I found that these generally don't need to be as big as like the text embeddings that you
[01:22:46.940 --> 01:22:50.520]   get from OpenAI because it's a smaller space, right?
[01:22:50.520 --> 01:22:54.400]   When you, even if you have billions of nodes in your graph, it's still a smaller space than
[01:22:54.400 --> 01:22:57.740]   the entire human language, right?
[01:22:57.740 --> 01:23:02.140]   So you, so they tend to be on the, tend to be smaller, but they can go up and there's no
[01:23:02.140 --> 01:23:07.140]   upper limit that we, that we inherently have inside of the product, no.
[01:23:07.140 --> 01:23:10.960]   And what is the biggest use case you have at the moment deployed?
[01:23:10.960 --> 01:23:11.960]   For embeddings?
[01:23:11.960 --> 01:23:14.880]   Graph embeddings, yes.
[01:23:14.880 --> 01:23:22.080]   I'd say entity resolution, different forms of classification, like for fraud detection,
[01:23:22.080 --> 01:23:26.640]   and then also for recommendation and things like customer segmentation where you want to
[01:23:26.640 --> 01:23:34.880]   like create clusters based on, you know, behavior or other data inside of the graph.
[01:23:34.880 --> 01:23:50.780]   Is it possible to semantically retrieve the information about the graph structure itself?
[01:23:50.780 --> 01:23:57.020]   So let's say that you have 10 different types of pants, but you want to ask a question, how
[01:23:57.020 --> 01:24:03.260]   many types of pants do you have, which is like it's not in the data itself specifically, it's
[01:24:03.260 --> 01:24:06.400]   kind of metadata about it.
[01:24:06.400 --> 01:24:07.400]   Right.
[01:24:07.400 --> 01:24:10.640]   Yes, so very good question.
[01:24:10.640 --> 01:24:14.460]   So there's different types of retrieval patterns that are better at those sorts of queries.
[01:24:14.460 --> 01:24:17.160]   So we have something called text to cipher.
[01:24:17.160 --> 01:24:22.100]   We have it, it's sort of, it's a pattern, right, where you can actually get the LLM to generate
[01:24:22.100 --> 01:24:28.280]   like the cipher query to query the data and those tend to work well for aggregation.
[01:24:28.280 --> 01:24:32.920]   So like if you were building out a more mature system, you can have like a semantic layer
[01:24:32.920 --> 01:24:34.480]   with different tools.
[01:24:34.480 --> 01:24:39.980]   And so if you knew that you had more of like an aggregation question about types of things,
[01:24:39.980 --> 01:24:44.900]   then you can send it to that tool, which can do like a text to cipher or another sort
[01:24:44.900 --> 01:24:50.380]   of a cipher snippet that was like pre-generated or template that was pre-generated.
[01:24:50.380 --> 01:24:51.380]   Does that make sense?
[01:24:51.380 --> 01:24:52.380]   Yeah.
[01:24:52.380 --> 01:24:54.700]   Have you tried using that with like function calling?
[01:24:54.700 --> 01:24:59.140]   So you don't have to like specific, know in advance that you'd like to use it, but rather
[01:24:59.140 --> 01:25:00.140]   like...
[01:25:00.140 --> 01:25:06.480]   Yes, that is something that Michael, if he's still here, has done some work on for function
[01:25:06.480 --> 01:25:07.480]   calling.
[01:25:07.480 --> 01:25:08.480]   Yeah.
[01:25:08.480 --> 01:25:09.480]   So...
[01:25:09.480 --> 01:25:20.600]   Yes, in general, you can make many of these graph operations available as functions to an LLM.
[01:25:20.600 --> 01:25:27.280]   And then basically depends on the selectivity of how you describe the function and what you
[01:25:27.280 --> 01:25:29.360]   pass in to make this available.
[01:25:29.360 --> 01:25:35.120]   So you can do this kind of embedding work, but also other graph queries can be made available
[01:25:35.120 --> 01:25:36.600]   as functions to an LLM.
[01:25:36.600 --> 01:25:37.920]   And then it just selects them.
[01:25:37.920 --> 01:25:43.520]   So for instance, get a neighborhood of a node or find a shortest path between two nodes or
[01:25:43.520 --> 01:25:47.680]   find similar nodes to this nodes using graph embeddings or whatever.
[01:25:47.680 --> 01:25:52.440]   And then you have these kind of some generic functions that you offer to the LLM. And then you could
[01:25:52.440 --> 01:26:00.440]   have also specific functions that are basically built by a subject matter expert that, for instance,
[01:26:00.440 --> 01:26:06.860]   for legal domain or for a fintech domain, they have specific graph queries that are really specific
[01:26:06.860 --> 01:26:11.440]   to that domain. And then add them as functions as well. So you can have, you know, five, ten functions
[01:26:11.440 --> 01:26:16.120]   available and then the LLM fixed ones that are necessary to answer the questions and such.
[01:26:16.120 --> 01:26:21.700]   But it should work with all the LLM models that support function callings and such.
[01:26:21.700 --> 01:26:28.060]   Yes.
[01:26:28.060 --> 01:26:30.060]   Thanks.
[01:26:30.060 --> 01:26:34.180]   If you have more questions, you can always come to talk to us in detail.
[01:26:34.180 --> 01:26:34.680]   Yes.
[01:26:34.680 --> 01:26:42.220]   So I was just trying to gain a little more intuition about the idea of graph embeddings.
[01:26:42.220 --> 01:26:44.020]   I'm pretty new to graphs in general.
[01:26:44.020 --> 01:26:48.700]   Well, it seems to me like the whole motivation for using embeddings, it's really taken off
[01:26:48.700 --> 01:26:54.160]   in the last four years or so. And it's because you've got transformers, you've got unsupervised
[01:26:54.160 --> 01:26:59.740]   pre-training where you can leverage all of, you know, the text on the internet or all of the
[01:26:59.740 --> 01:27:03.380]   images on the internet and whatnot and train these embedding models that are just general
[01:27:03.380 --> 01:27:09.520]   purpose foundation models. And this is very different from that because you're just completely
[01:27:09.520 --> 01:27:14.200]   training your embeddings or if it even is training from scratch. I'm wondering if there's like
[01:27:14.200 --> 01:27:19.660]   a deeper intuition to why you'd be using embeddings for this instead of, it almost seems like there's
[01:27:19.660 --> 01:27:24.200]   a lot of more like traditional machine learning techniques that you could be using.
[01:27:24.200 --> 01:27:28.200]   I just don't know what the state of the art is. And I'm curious what the intuition is for
[01:27:28.200 --> 01:27:30.880]   using embeddings for this.
[01:27:30.880 --> 01:27:38.340]   Yeah, I mean so embeddings here basically is helping you kind of scale these other graph
[01:27:38.340 --> 01:27:43.020]   traversals, right, to go, because when we do that embedding, what we're basically doing is
[01:27:43.020 --> 01:27:46.880]   we're taking a graph traversal that's similar to the one we went over and going multiple hops,
[01:27:46.880 --> 01:27:52.200]   right. So you're sort of taking this structure of the graph and you're scaling your ability
[01:27:52.200 --> 01:27:57.440]   to search for related things inside of the graph without having to do a cypher query every single
[01:27:57.440 --> 01:28:03.920]   time. So it's basically and it can help you also infer information that you didn't know before.
[01:28:03.920 --> 01:28:09.780]   So like in this example, right, we're making these relationships on customer also liked.
[01:28:09.780 --> 01:28:15.380]   We could also do things like say, hey, like if we had like an identity graph of people and different
[01:28:15.380 --> 01:28:21.200]   identifiers and transactions, we could start resolving people in the same household, for example, using embeddings.
[01:28:21.200 --> 01:28:28.780]   So even though it is kind of local to your graph, the idea behind embeddings is that you're able
[01:28:28.780 --> 01:28:34.020]   to infer relationships between things inside of your graph that, you know, would be very hard
[01:28:34.020 --> 01:28:37.720]   to do without some sort of machine learning or just traditional methods, if that makes sense.
[01:28:37.720 --> 01:28:40.060]   A little bit?
[01:28:40.060 --> 01:28:41.260]   Yeah.
[01:28:41.260 --> 01:28:50.260]   Yeah, because you're basically using, depending on the graph embedding you're using, you're
[01:28:50.260 --> 01:28:54.840]   basically taking the structure of the relationships and that topology and you're using it as features,
[01:28:54.840 --> 01:29:00.040]   right, to power what something should look like in a representative space. And then you can
[01:29:00.040 --> 01:29:03.840]   then use those to basically predict where links should exist inside of the graph.
[01:29:03.840 --> 01:29:18.420]   Hopefully. I don't know if it really did. I mean, it's that you're, you're providing this sort
[01:29:18.420 --> 01:29:23.420]   of intermediate representation where you can do more general purpose things with it.
[01:29:23.420 --> 01:29:24.420]   Yes.
[01:29:24.420 --> 01:29:25.420]   Is that good paraphrasing?
[01:29:25.420 --> 01:29:26.420]   Yes, I think so.
[01:29:26.420 --> 01:29:28.000]   Okay. Understood something.
[01:29:28.000 --> 01:29:36.000]   Alrighty. Awesome. So this is going to be the final step for tonight. And then we'll see,
[01:29:36.000 --> 01:29:42.740]   maybe we'll even be able to get out a little bit early and get to the reception. So we're
[01:29:42.740 --> 01:29:47.680]   now going to take what we have and we're going to start using a large language model. So we're
[01:29:47.680 --> 01:29:51.420]   basically going to use the retrievers that we were just working on and we're going to take
[01:29:51.420 --> 01:29:56.820]   them into this prompt and we're going to have a language model generate an email for us.
[01:29:56.820 --> 01:30:01.900]   So this might be a little bit hard to see, but it's also in the notebook for when we go there.
[01:30:01.900 --> 01:30:04.900]   This is the prompt that we're going to use. We're going to instruct an LLM. We're going
[01:30:04.900 --> 01:30:08.600]   to give it a name. We're going to say it works for a certain company. And we're going to tell
[01:30:08.600 --> 01:30:13.800]   it to write an engaging email to a customer to promote unsummarized products relevant to them,
[01:30:13.800 --> 01:30:19.640]   given one, the current season and time of year. And two, recent searches and interests, which is
[01:30:19.640 --> 01:30:24.280]   going to be our search prompt. And so all of sort of the red things are where we're going to inject
[01:30:24.280 --> 01:30:28.680]   things inside of the prompt. And then the rag part comes in. So we're going to tell it,
[01:30:28.680 --> 01:30:35.320]   hey, please only use the below relevant products. So there's going to be what we're calling search
[01:30:35.320 --> 01:30:40.440]   products and recommendation products, which search products is going to be based on a vector search
[01:30:40.440 --> 01:30:44.680]   combined with a graph traversal. So that will give us something that matches the customer interest.
[01:30:44.680 --> 01:30:49.240]   The recommendation products are going to leverage our graph embeddings to give us additional
[01:30:49.240 --> 01:30:53.640]   recommendations that we can add to that. So there's going to be sort of two lists that it gets.
[01:30:53.640 --> 01:30:59.560]   And there's some other instruction there to tell it to only pick a certain number from those things
[01:30:59.560 --> 01:31:03.640]   and kind of be creative with that and make sure it aligns to the current season and time of year.
[01:31:04.680 --> 01:31:08.040]   And this is kind of what it looks like. I'll just go to the end of this thing. So
[01:31:08.040 --> 01:31:14.200]   if you were to think about the chain that we're going to put together, we're going to come in with
[01:31:14.200 --> 01:31:20.520]   basically four things. That search prompt, the customer ID, the customer name and the time of year.
[01:31:20.520 --> 01:31:24.520]   The search prompt is going to go with the customer ID for the personalized search,
[01:31:24.520 --> 01:31:30.760]   which is going to be that sort of peer group pattern. The customer ID is going to go directly
[01:31:30.760 --> 01:31:35.800]   to get recommendations based off of graph embeddings. And then these four things here,
[01:31:35.800 --> 01:31:40.040]   the products that were recommended here and the customer name and the time of year are going to
[01:31:40.040 --> 01:31:45.720]   go into the prompt to then generate an answer. So we're doing basically two retrievers here.
[01:31:45.720 --> 01:31:51.800]   One for recommendations and then another for basically search results. You can think of it that way.
[01:31:54.440 --> 01:32:04.520]   All right. So let's go and dive into the notebook. So we're going to use lane chain for this.
[01:32:04.520 --> 01:32:10.680]   We're going to instantiate the LLM that's going to be based off of GPT for Omni, which we have here.
[01:32:12.280 --> 01:32:18.280]   And then we are going to recreate two retrievers. So the first retriever here is going to be for the
[01:32:18.280 --> 01:32:24.440]   personalized search. This is going to use the text embeddings and then it's going to do this sort of
[01:32:24.440 --> 01:32:30.440]   post filtering pattern with that combined score, where we do this optional match to look at the peer
[01:32:30.440 --> 01:32:36.040]   group to kind of filter those results. We're going to create another function here based off of that.
[01:32:36.040 --> 01:32:42.200]   I'll zoom into this a little bit more. Where basically we are going to take the,
[01:32:42.200 --> 01:32:49.640]   this function is just so we can pass a customer ID parameter in. So this is the KG personalized
[01:32:49.640 --> 01:32:54.680]   search function, which is going to use this retrieval pattern. And then we have a KG recommendations
[01:32:54.680 --> 01:33:00.920]   function, which is going to use that customer also liked relationship that's going to just basically
[01:33:00.920 --> 01:33:06.840]   go off of customer history. And then both of these will sort of join, it'll do some formatting for the
[01:33:06.840 --> 01:33:14.600]   documents and return them for injection into the prompt. Here's the prompt itself. So this is just the
[01:33:14.600 --> 01:33:20.920]   prompt we look at in the slide before. It mentions, you know, customer name, time of year, and then it has
[01:33:20.920 --> 01:33:27.960]   the relevant products where you put in the search products and then other recommendations generated from
[01:33:27.960 --> 01:33:34.840]   the graph embedding. And then when you create the chain, so you can see here on this chain,
[01:33:34.840 --> 01:33:41.720]   we have four inputs, right? So the search products, which again comes from the personalized search pattern,
[01:33:41.720 --> 01:33:45.880]   the recommendation products, which comes from the recommendation pattern. So there's these two
[01:33:45.880 --> 01:33:52.120]   retrievers that are supplying each of these respectively, the customer name and the time of year and the
[01:33:52.120 --> 01:33:57.880]   customer interests as well. So I guess all five of these things, right, get passed and injected into the
[01:33:57.880 --> 01:34:03.720]   that prompt, go to the LLM. This is all a LangChain expression language. This is kind of a LangChain
[01:34:03.720 --> 01:34:09.480]   thing where we have this pipe operator that's just basically taking this dictionary of things and then
[01:34:09.480 --> 01:34:16.120]   passing it to be injected into the prompt, calls the LLM, in this case GPT-4O, and then just gets outputted.
[01:34:16.120 --> 01:34:22.760]   And so if we look at what it looks like when we invoke that chain, again, using our search prompt,
[01:34:22.760 --> 01:34:30.200]   which is DenimJeans, our customer ID and then I gave it a customer name and a time of year. And the customer
[01:34:30.200 --> 01:34:34.600]   name is probably something that could be stored in a database too, which is that this data was anonymized,
[01:34:34.600 --> 01:34:42.600]   so we don't have that, we don't have that in the database itself. But anyway, what this will do, you see
[01:34:42.600 --> 01:34:48.600]   it'll give me its responses, it'll make a subject header for the email. "Hi Alex, I hope this email finds
[01:34:48.600 --> 01:34:53.080]   you well and enjoy the start of the summer. As the days get warmer, it's a perfect time to refresh your
[01:34:53.080 --> 01:34:59.160]   wardrobe." And then it will give you the denim jeans. So these are the items that came from the search
[01:34:59.160 --> 01:35:06.840]   that was personalized to this user. And you see we get a set of five jean products here. "Summer essentials
[01:35:06.840 --> 01:35:12.040]   to pair with your denim." And then this is where it uses the graph embeddings to provide those other
[01:35:12.040 --> 01:35:18.360]   recommendations down here. So it's basically, right, using a combination of this vector search to pull
[01:35:18.360 --> 01:35:25.480]   things back, personalizing it so that it becomes specific to just this user, and then adding additional
[01:35:25.480 --> 01:35:30.680]   recommendations to that as well. And of course you can change the prompt to be just the recommendations
[01:35:30.680 --> 01:35:35.560]   portion if you wanted to or just the search portion or, you know, whatever, whatever was appropriate
[01:35:35.560 --> 01:35:43.080]   for the application at hand. And if we just looked at, so basically this cell, if I run it,
[01:35:43.080 --> 01:35:51.480]   all this next cell will do is show you the prompt, the full prompt that was set to the language model.
[01:35:51.480 --> 01:35:55.960]   So if we look at this, this is basically showing you, if I were to scroll all the way to the top,
[01:35:55.960 --> 01:36:01.160]   it provides quite a few products. You can see here this is the data that it retrieved and formatted from
[01:36:01.160 --> 01:36:07.640]   the database for the relevant products, all the different garments that it selected. And then if
[01:36:07.640 --> 01:36:13.000]   I were to go down more, it would eventually bring me down to the recommendation products, which I think
[01:36:13.000 --> 01:36:22.600]   it already did here. So if I go up further, yes, relevant products. And then it should give me about 10 of
[01:36:22.600 --> 01:36:27.480]   those. And then other recommendations from the graph embeddings that go along with that going down here.
[01:36:28.520 --> 01:36:34.120]   And then it basically chose from those products to generate that given response.
[01:36:34.120 --> 01:36:49.080]   Yes. Yeah. If you look at the way those queries were written in the cells before, I think the
[01:36:49.080 --> 01:36:54.760]   first one for the search responses, I limited them to 10. And then for the recommendations, I'm actually
[01:36:54.760 --> 01:37:00.360]   passing 100. So I'm passing quite a few. But yeah, eventually, if you provide enough of them,
[01:37:00.360 --> 01:37:08.120]   you will hit a context window issue. And then, so basically, once we have that, we can run a demo app.
[01:37:08.120 --> 01:37:16.920]   So in this case, we're using Gradio. This is just some examples, preset examples for that we can use in the
[01:37:16.920 --> 01:37:23.160]   application. And this is running the application. So I'll go ahead and give it a run. And if you have it in
[01:37:23.160 --> 01:37:30.040]   your notebook, it should just give you a link that you can go to. And basically, let me make this bigger
[01:37:30.040 --> 01:37:36.600]   so it's seeable. So here's just a UI of what we had before, right? So this is the example that we ran
[01:37:36.600 --> 01:37:44.760]   earlier. So if I say submit for this specific user, it should pull back hopefully in the next 20 seconds
[01:37:44.760 --> 01:37:51.400]   or so because the internet is slow. Normally, it's around 10 to 15 seconds. Yep. And this will pull
[01:37:51.400 --> 01:37:57.160]   back the email response. And the interesting thing about this is if I took, you see this customer ID
[01:37:57.160 --> 01:38:05.240]   is like D-A-A-E. If I select a different customer ID, but the same prompt, so say it's this person.
[01:38:06.600 --> 01:38:12.440]   So I click that and then, yes, this change to this other customer. This answer should
[01:38:12.440 --> 01:38:16.680]   be different. And if it isn't different, it's because they have a very similar
[01:38:16.680 --> 01:38:24.600]   peer group and a very similar piece in the graph. But if you see HW denim and skinny jeans, and then this,
[01:38:24.600 --> 01:38:30.520]   you'll see they get a bunch of different recommendations and search patterns. So the idea here,
[01:38:30.520 --> 01:38:36.520]   right, is even though these two individuals had the same interest based on their purchase behavior
[01:38:36.520 --> 01:38:41.080]   in the graph, we're able to give them very different recommendations because they exist in very
[01:38:41.080 --> 01:38:44.760]   different parts of the graph and have different interests based on their purchase history.
[01:38:44.760 --> 01:38:50.760]   And you can play around with this. Like if I, you'll see it'll give me some summer things here. If I
[01:38:50.760 --> 01:38:58.280]   change this to like February, right, this is nothing to do with graph. This is purely an LLM thing at this
[01:38:58.280 --> 01:39:03.240]   point and I submit it. It should, the email should change to winter and then it should give you,
[01:39:03.240 --> 01:39:09.560]   instead of summer must-haves, it should give you something about winter and it should be able to select
[01:39:09.560 --> 01:39:16.120]   different products down here that should hopefully, if the LLM is doing its job correctly,
[01:39:16.120 --> 01:39:19.640]   go for more winter related items like sweaters that you see here.
[01:39:19.640 --> 01:39:27.560]   So that's the, that's the full app that kind of leverages all the things that we just went over.
