
[00:00:00.000 --> 00:00:00.760]   You know who drank?
[01:45:00.840 --> 01:45:01.840]   I'm just gonna go and check.
[01:45:01.840 --> 01:45:02.840]   I'm just gonna go and check.
[01:45:02.840 --> 01:45:03.840]   I'm just gonna go and check.
[01:45:03.840 --> 01:45:04.840]   I'm just gonna go and check.
[01:45:04.840 --> 01:45:05.840]   I'm just gonna go and check.
[01:45:05.840 --> 01:45:06.840]   I'm just gonna go and check.
[01:45:06.840 --> 01:45:07.840]   I'm just gonna go and check.
[01:45:07.840 --> 01:45:08.840]   I'm just gonna go and check.
[01:45:08.840 --> 01:45:09.840]   I'm just gonna go and check.
[01:45:09.840 --> 01:45:10.840]   I'm just gonna go and check.
[01:45:10.840 --> 01:45:11.840]   I'm just gonna go and check.
[01:45:11.840 --> 01:45:12.840]   I'm just gonna go and check.
[01:45:12.840 --> 01:45:13.840]   I'm just gonna go and check.
[01:45:13.840 --> 01:45:14.840]   I'm just gonna go and check.
[01:45:14.840 --> 01:45:15.840]   I'm just gonna go and check.
[01:45:15.840 --> 01:45:16.840]   I'm just gonna go and check.
[01:45:16.840 --> 01:45:17.840]   I'm just gonna go and check.
[01:45:17.840 --> 01:45:18.840]   I'm just gonna go and check.
[01:45:18.840 --> 01:45:19.840]   I'm just gonna go and check.
[01:45:19.840 --> 01:45:20.840]   I'm just gonna go and check.
[01:45:20.840 --> 01:45:21.840]   I'm just gonna go and check.
[01:45:21.840 --> 01:45:22.840]   I'm just gonna go and check.
[01:45:22.840 --> 01:45:23.840]   I'm just gonna go and check.
[01:45:23.840 --> 01:45:24.840]   I'm just gonna go and check.
[01:45:24.840 --> 01:45:25.840]   I'm just gonna go and check.
[01:45:25.840 --> 01:45:26.840]   I'm just gonna go and check.
[01:45:26.840 --> 01:45:27.840]   I'm just gonna go and check.
[01:45:27.840 --> 01:45:28.840]   I'm just gonna go and check.
[01:45:28.840 --> 01:45:29.840]   I'm just gonna go and check.
[01:45:29.840 --> 01:45:30.840]   I'm just gonna go and check.
[01:45:30.840 --> 01:45:31.840]   I'm just gonna go and check.
[01:45:31.840 --> 01:45:32.840]   I'm just gonna go and check.
[01:45:32.840 --> 01:45:33.840]   I'm just gonna go and check.
[01:45:33.840 --> 01:45:34.840]   I'm just gonna go and check.
[01:45:34.840 --> 01:45:35.840]   I'm just gonna go and check.
[01:45:35.840 --> 01:45:36.840]   I'm just gonna go and check.
[01:45:36.840 --> 01:45:37.840]   I'm just gonna go and check.
[01:45:37.840 --> 01:45:38.840]   I'm just gonna go and check.
[01:45:38.840 --> 01:45:39.840]   I'm just gonna go and check.
[01:45:39.840 --> 01:45:40.840]   I'm just gonna go and check.
[01:45:40.840 --> 01:45:41.840]   I'm just gonna go and check.
[01:45:41.840 --> 01:45:42.840]   I'm just gonna go and check.
[01:45:42.840 --> 01:45:43.840]   I'm just gonna go and check.
[01:45:43.840 --> 01:45:44.840]   I'm just gonna go and check.
[01:45:44.840 --> 01:45:45.840]   I'm just gonna go and check.
[01:45:45.840 --> 01:45:46.840]   I'm just gonna go and check.
[01:45:46.840 --> 01:45:47.840]   I'm just gonna go and check.
[01:45:47.840 --> 01:45:48.840]   I'm just gonna go and check.
[01:45:48.840 --> 01:45:49.840]   I'm just gonna go and check.
[01:45:49.840 --> 01:45:50.840]   I'm just gonna go and check.
[01:45:50.840 --> 01:45:51.840]   I'm just gonna go and check.
[01:45:51.840 --> 01:45:52.840]   I'm just gonna go and check.
[01:45:52.840 --> 01:45:53.840]   I'm just gonna go and check.
[01:45:53.840 --> 01:45:54.840]   I'm just gonna go and check.
[01:45:54.840 --> 01:45:55.840]   I'm just gonna go and check.
[01:45:55.840 --> 01:45:56.840]   I'm just gonna go and check.
[01:45:56.840 --> 01:45:57.840]   I'm just gonna go and check.
[01:45:57.840 --> 01:45:58.840]   I'm just gonna go and check.
[01:45:58.840 --> 01:45:59.840]   I'm just gonna go and check.
[01:45:59.840 --> 01:46:00.840]   I'm just gonna go and check.
[01:46:00.840 --> 01:46:01.840]   I'm just gonna go and check.
[01:46:01.840 --> 01:46:02.840]   I'm just gonna go and check.
[01:46:02.840 --> 01:46:03.840]   I'm just gonna go and check.
[01:46:03.840 --> 01:46:04.840]   I'm just gonna go and check.
[01:46:04.840 --> 01:46:05.840]   I'm just gonna go and check.
[01:46:05.840 --> 01:46:06.840]   I'm just gonna go and check.
[01:46:06.840 --> 01:46:07.840]   I'm just gonna go and check.
[01:46:07.840 --> 01:46:08.840]   I'm just gonna go and check.
[01:46:08.840 --> 01:46:09.840]   I'm just gonna go and check.
[01:46:09.840 --> 01:46:10.840]   I'm just gonna go and check.
[01:46:10.840 --> 01:46:11.840]   I'm just gonna go and check.
[01:46:11.840 --> 01:46:12.840]   I'm just gonna go and check.
[01:46:12.840 --> 01:46:13.840]   I'm just gonna go and check.
[01:46:13.840 --> 01:46:14.840]   I'm just gonna go and check.
[01:46:14.840 --> 01:46:15.840]   I'm just gonna go and check.
[01:46:15.840 --> 01:46:16.840]   I'm just gonna go and check.
[01:46:16.840 --> 01:46:17.840]   I'm just gonna go and check.
[01:46:17.840 --> 01:46:18.840]   I'm just gonna go and check.
[01:46:18.840 --> 01:46:19.840]   I'm just gonna go and check.
[01:46:19.840 --> 01:46:20.840]   I'm just gonna go and check.
[01:46:20.840 --> 01:46:21.840]   I'm just gonna go and check.
[01:46:21.840 --> 01:46:22.840]   I'm just gonna go and check.
[01:46:22.840 --> 01:46:23.840]   I'm just gonna go and check.
[01:46:23.840 --> 01:46:24.840]   I'm just gonna go and check.
[01:46:24.840 --> 01:46:25.840]   I'm just gonna go and check.
[01:46:25.840 --> 01:46:26.840]   I'm just gonna go and check.
[01:46:26.840 --> 01:46:27.840]   I'm just gonna go and check.
[01:46:27.840 --> 01:46:28.840]   I'm just gonna go and check.
[01:46:28.840 --> 01:46:29.840]   I'm just gonna go and check.
[01:46:29.840 --> 01:46:30.840]   I'm just gonna go and check.
[01:46:30.840 --> 01:46:31.840]   I'm just gonna go and check.
[01:46:31.840 --> 01:46:32.840]   I'm just gonna go and check.
[01:46:32.840 --> 01:46:33.840]   I'm just gonna go and check.
[01:46:33.840 --> 01:46:34.840]   I'm just gonna go and check.
[01:46:34.840 --> 01:46:35.840]   I'm just gonna go and check.
[01:46:35.840 --> 01:46:36.840]   I'm just gonna go and check.
[01:46:36.840 --> 01:46:37.840]   I'm just gonna go and check.
[01:46:37.840 --> 01:46:38.840]   I'm just gonna go and check.
[01:46:38.840 --> 01:46:39.840]   I'm just gonna go and check.
[01:46:39.840 --> 01:46:40.840]   I'm just gonna go and check.
[01:46:40.840 --> 01:46:41.840]   I'm just gonna go and check.
[01:46:41.840 --> 01:46:42.840]   I'm just gonna go and check.
[01:46:42.840 --> 01:46:43.840]   I'm just gonna go and check.
[01:46:43.840 --> 01:46:44.840]   I'm just gonna go and check.
[01:46:44.840 --> 01:46:45.840]   I'm just gonna go and check.
[01:46:45.840 --> 01:46:46.840]   I'm just gonna go and check.
[01:46:46.840 --> 01:46:47.840]   I'm just gonna go and check.
[01:46:47.840 --> 01:46:48.840]   I'm just gonna go and check.
[01:46:48.840 --> 01:46:49.840]   I'm just gonna go and check.
[01:46:49.840 --> 01:46:50.840]   I'm just gonna go and check.
[01:46:50.840 --> 01:46:51.840]   I'm just gonna go and check.
[01:46:51.840 --> 01:46:52.840]   I'm just gonna go and check.
[01:46:52.840 --> 01:46:53.840]   I'm just gonna go and check.
[01:46:53.840 --> 01:46:54.840]   I'm just gonna go and check.
[01:46:54.840 --> 01:46:55.840]   I'm just gonna go and check.
[01:46:55.840 --> 01:46:56.840]   I'm just gonna go and check.
[01:46:56.840 --> 01:46:57.840]   I'm just gonna go and check.
[01:46:57.840 --> 01:46:58.840]   I'm just gonna go and check.
[01:46:58.840 --> 01:46:59.840]   I'm just gonna go and check.
[01:46:59.840 --> 01:47:00.840]   I'm just gonna go and check.
[01:47:00.840 --> 01:47:01.840]   I'm just gonna go and check.
[01:47:01.840 --> 01:47:02.840]   I'm just gonna go and check.
[01:47:02.840 --> 01:47:03.840]   I'm just gonna go and check.
[01:47:03.840 --> 01:47:04.840]   I'm just gonna go and check.
[01:47:04.840 --> 01:47:05.840]   I'm just gonna go and check.
[01:47:05.840 --> 01:47:06.840]   I'm just gonna go and check.
[01:47:06.840 --> 01:47:07.840]   I'm just gonna go and check.
[01:47:07.840 --> 01:47:08.840]   I'm just gonna go and check.
[01:47:08.840 --> 01:47:09.840]   I'm just gonna go and check.
[01:47:09.840 --> 01:47:10.840]   I'm just gonna go and check.
[01:47:10.840 --> 01:47:11.840]   I'm just gonna go and check.
[01:47:11.840 --> 01:47:12.840]   I'm just gonna go and check.
[01:47:12.840 --> 01:47:13.840]   I'm just gonna go and check.
[01:47:13.840 --> 01:47:14.840]   I'm just gonna go and check.
[01:47:14.840 --> 01:47:15.840]   I'm just gonna go and check.
[01:47:15.840 --> 01:47:16.840]   I'm just gonna go and check.
[01:47:16.840 --> 01:47:17.840]   I'm just gonna go and check.
[01:47:17.840 --> 01:47:18.840]   I'm just gonna go and check.
[01:47:18.840 --> 01:47:19.840]   I'm just gonna go and check.
[01:47:19.840 --> 01:47:20.840]   I'm just gonna go and check.
[01:47:20.840 --> 01:47:21.840]   I'm just gonna go and check.
[01:47:21.840 --> 01:47:22.840]   I'm just gonna go and check.
[01:47:22.840 --> 01:47:23.840]   I'm just gonna go and check.
[01:47:23.840 --> 01:47:24.840]   I'm just gonna go and check.
[01:47:24.840 --> 01:47:25.840]   I'm just gonna go and check.
[01:47:25.840 --> 01:47:26.840]   I'm just gonna go and check.
[01:47:26.840 --> 01:47:27.840]   I'm just gonna go and check.
[01:47:27.840 --> 01:47:28.840]   I'm just gonna go and check.
[01:47:28.840 --> 01:47:29.840]   I'm just gonna go and check.
[01:47:29.840 --> 01:47:30.840]   I'm just gonna go and check.
[01:47:30.840 --> 01:47:31.840]   I'm just gonna go and check.
[01:47:31.840 --> 01:47:32.840]   I'm just gonna go and check.
[01:47:32.840 --> 01:47:33.840]   I'm just gonna go and check.
[01:47:33.840 --> 01:47:34.840]   I'm just gonna go and check.
[01:47:34.840 --> 01:47:35.840]   I'm just gonna go and check.
[01:47:35.840 --> 01:47:36.840]   I'm just gonna go and check.
[01:47:36.840 --> 01:47:37.840]   I'm just gonna go and check.
[01:47:37.840 --> 01:47:38.840]   I'm just gonna go and check.
[01:47:38.840 --> 01:47:39.840]   I'm just gonna go and check.
[01:47:39.840 --> 01:47:40.840]   I'm just gonna go and check.
[01:47:40.840 --> 01:47:41.840]   I'm just gonna go and check.
[01:47:41.840 --> 01:47:42.840]   I'm just gonna go and check.
[01:47:42.840 --> 01:47:43.840]   I'm just gonna go and check.
[01:47:43.840 --> 01:47:44.840]   I'm just gonna go and check.
[01:47:44.840 --> 01:47:45.840]   I'm just gonna go and check.
[01:47:45.840 --> 01:47:46.840]   I'm just gonna go and check.
[01:47:46.840 --> 01:47:47.840]   I'm just gonna go and check.
[01:47:47.840 --> 01:47:48.840]   I'm just gonna go and check.
[01:47:48.840 --> 01:47:49.840]   I'm just gonna go and check.
[01:47:49.840 --> 01:47:50.840]   I'm just gonna go and check.
[01:47:50.840 --> 01:47:51.840]   I'm just gonna go and check.
[01:47:51.840 --> 01:47:52.840]   I'm just gonna go and check.
[01:47:52.840 --> 01:47:53.840]   I'm just gonna go and check.
[01:47:53.840 --> 01:47:54.840]   I'm just gonna go and check.
[01:47:54.840 --> 01:47:55.840]   I'm just gonna go and check.
[01:47:55.840 --> 01:47:56.840]   I'm just gonna go and check.
[01:47:56.840 --> 01:47:57.840]   I'm just gonna go and check.
[01:47:57.840 --> 01:47:58.840]   I'm just gonna go and check.
[01:47:58.840 --> 01:47:59.840]   I'm just gonna go and check.
[01:47:59.840 --> 01:48:00.840]   I'm just gonna go and check.
[01:48:00.840 --> 01:48:01.840]   I'm just gonna go and check.
[01:48:01.840 --> 01:48:02.840]   I'm just gonna go and check.
[01:48:02.840 --> 01:48:03.840]   I'm just gonna go and check.
[01:48:03.840 --> 01:48:04.840]   I'm just gonna go and check.
[01:48:04.840 --> 01:48:05.840]   I'm just gonna go and check.
[01:48:05.840 --> 01:48:06.840]   I'm just gonna go and check.
[01:48:06.840 --> 01:48:07.840]   I'm just gonna go and check.
[01:48:07.840 --> 01:48:08.840]   I'm just gonna go and check.
[01:48:08.840 --> 01:48:09.840]   I'm just gonna go and check.
[01:48:09.840 --> 01:48:10.840]   I'm just gonna go and check.
[01:48:10.840 --> 01:48:11.840]   I'm just gonna go and check.
[01:48:11.840 --> 01:48:12.840]   I'm just gonna go and check.
[01:48:12.840 --> 01:48:13.840]   I'm just gonna go and check.
[01:48:13.840 --> 01:48:14.840]   I'm just gonna go and check.
[01:48:14.840 --> 01:48:15.840]   I'm just gonna go and check.
[01:48:15.840 --> 01:48:16.840]   I'm just gonna go and check.
[01:48:16.840 --> 01:48:17.840]   I'm just gonna go and check.
[01:48:17.840 --> 01:48:18.840]   I'm just gonna go and check.
[01:48:18.840 --> 01:48:19.840]   I'm just gonna go and check.
[01:48:19.840 --> 01:48:20.840]   I'm just gonna go and check.
[01:48:20.840 --> 01:48:21.840]   I'm just gonna go and check.
[01:48:21.840 --> 01:48:22.840]   I'm just gonna go and check.
[01:48:22.840 --> 01:48:23.840]   I'm just gonna go and check.
[01:48:23.840 --> 01:48:24.840]   I'm just gonna go and check.
[01:48:24.840 --> 01:48:25.840]   I'm just gonna go and check.
[01:48:25.840 --> 01:48:26.840]   I'm just gonna go and check.
[01:48:26.840 --> 01:48:27.840]   I'm just gonna go and check.
[01:48:27.840 --> 01:48:28.840]   I'm just gonna go and check.
[01:48:28.840 --> 01:48:29.840]   I'm just gonna go and check.
[01:48:29.840 --> 01:48:30.840]   I'm just gonna go and check.
[01:48:30.840 --> 01:48:31.840]   I'm just gonna go and check.
[01:48:31.840 --> 01:48:32.840]   I'm just gonna go and check.
[01:48:32.840 --> 01:48:33.840]   I'm just gonna go and check.
[01:48:33.840 --> 01:48:34.840]   I'm just gonna go and check.
[01:48:34.840 --> 01:48:35.840]   I'm just gonna go and check.
[01:48:35.840 --> 01:48:36.840]   I'm just gonna go and check.
[01:48:36.840 --> 01:48:37.840]   I'm just gonna go and check.
[01:48:37.840 --> 01:48:38.840]   I'm just gonna go and check.
[01:48:38.840 --> 01:48:39.840]   I'm just gonna go and check.
[01:48:39.840 --> 01:48:40.840]   I'm just gonna go and check.
[01:48:40.840 --> 01:48:41.840]   I'm just gonna go and check.
[01:48:41.840 --> 01:48:42.840]   I'm just gonna go and check.
[01:48:42.840 --> 01:48:43.840]   I'm just gonna go and check.
[01:48:43.840 --> 01:48:44.840]   I'm just gonna go and check.
[01:48:44.840 --> 01:48:45.840]   I'm just gonna go and check.
[01:48:45.840 --> 01:48:46.840]   I'm just gonna go and check.
[01:48:46.840 --> 01:48:47.840]   I'm just gonna go and check.
[01:48:47.840 --> 01:48:48.840]   I'm just gonna go and check.
[01:48:48.840 --> 01:48:49.840]   I'm just gonna go and check.
[01:48:49.840 --> 01:48:50.840]   I'm just gonna go and check.
[01:48:50.840 --> 01:48:51.840]   I'm just gonna go and check.
[01:48:51.840 --> 01:48:52.840]   I'm just gonna go and check.
[01:48:52.840 --> 01:48:53.840]   I'm just gonna go and check.
[01:48:53.840 --> 01:48:54.840]   I'm just gonna go and check.
[01:48:54.840 --> 01:48:55.840]   I'm just gonna go and check.
[01:48:55.840 --> 01:48:56.840]   I'm just gonna go and check.
[01:48:56.840 --> 01:48:57.840]   I'm just gonna go and check.
[01:48:57.840 --> 01:48:58.840]   I'm just gonna go and check.
[01:48:58.840 --> 01:48:59.840]   I'm just gonna go and check.
[01:48:59.840 --> 01:49:00.840]   I'm just gonna go and check.
[01:49:00.840 --> 01:49:01.840]   I'm just gonna go and check.
[01:49:01.840 --> 01:49:02.840]   I'm just gonna go and check.
[01:49:02.840 --> 01:49:03.840]   I'm just gonna go and check.
[01:49:03.840 --> 01:49:04.840]   I'm just gonna go and check.
[01:49:04.840 --> 01:49:05.840]   I'm just gonna go and check.
[01:49:05.840 --> 01:49:06.840]   I'm just gonna go and check.
[01:49:06.840 --> 01:49:07.840]   I'm just gonna go and check.
[01:49:07.840 --> 01:49:08.840]   I'm just gonna go and check.
[01:49:08.840 --> 01:49:09.840]   I'm just gonna go and check.
[01:49:09.840 --> 01:49:10.840]   I'm just gonna go and check.
[01:49:10.840 --> 01:49:11.840]   I'm just gonna go and check.
[01:49:11.840 --> 01:49:12.840]   I'm just gonna go and check.
[01:49:12.840 --> 01:49:13.840]   I'm just gonna go and check.
[01:49:13.840 --> 01:49:14.840]   I'm just gonna go and check.
[01:49:14.840 --> 01:49:15.840]   I'm just gonna go and check.
[01:49:15.840 --> 01:49:16.840]   I'm just gonna go and check.
[01:49:16.840 --> 01:49:17.840]   I'm just gonna go and check.
[01:49:17.840 --> 01:49:18.840]   I'm just gonna go and check.
[01:49:18.840 --> 01:49:19.840]   I'm just gonna go and check.
[01:49:19.840 --> 01:49:20.840]   I'm just gonna go and check.
[01:49:20.840 --> 01:49:21.840]   I'm just gonna go and check.
[01:49:21.840 --> 01:49:22.840]   I'm just gonna go and check.
[01:49:22.840 --> 01:49:23.840]   I'm just gonna go and check.
[01:49:23.840 --> 01:49:24.840]   I'm just gonna go and check.
[01:49:24.840 --> 01:49:25.840]   I'm just gonna go and check.
[01:49:25.840 --> 01:49:26.840]   I'm just gonna go and check.
[01:49:26.840 --> 01:49:27.840]   I'm just gonna go and check.
[01:49:27.840 --> 01:49:28.840]   I'm just gonna go and check.
[01:49:28.840 --> 01:49:29.840]   I'm just gonna go and check.
[01:49:29.840 --> 01:49:30.840]   I'm just gonna go and check.
[01:49:30.840 --> 01:49:31.840]   I'm just gonna go and check.
[01:49:31.840 --> 01:49:32.840]   I'm just gonna go and check.
[01:49:32.840 --> 01:49:33.840]   I'm just gonna go and check.
[01:49:33.840 --> 01:49:34.840]   I'm just gonna go and check.
[01:49:34.840 --> 01:49:35.840]   I'm just gonna go and check.
[01:49:35.840 --> 01:49:36.840]   I'm just gonna go and check.
[01:49:36.840 --> 01:49:37.840]   I'm just gonna go and check.
[01:49:37.840 --> 01:49:38.840]   I'm just gonna go and check.
[01:49:38.840 --> 01:49:39.840]   I'm just gonna go and check.
[01:49:39.840 --> 01:49:40.840]   I'm just gonna go and check.
[01:49:40.840 --> 01:49:41.840]   I'm just gonna go and check.
[01:49:41.840 --> 01:49:42.840]   I'm just gonna go and check.
[01:49:42.840 --> 01:49:43.840]   I'm just gonna go and check.
[01:49:43.840 --> 01:49:44.840]   I'm just gonna go and check.
[01:49:44.840 --> 01:49:45.840]   I'm just gonna go and check.
[01:49:45.840 --> 01:49:46.840]   I'm just gonna go and check.
[01:49:46.840 --> 01:49:47.840]   I'm just gonna go and check.
[01:49:47.840 --> 01:49:48.840]   I'm just gonna go and check.
[01:49:48.840 --> 01:49:49.840]   I'm just gonna go and check.
[01:49:49.840 --> 01:49:50.840]   I'm just gonna go and check.
[01:49:50.840 --> 01:49:51.840]   I'm just gonna go and check.
[01:49:51.840 --> 01:49:52.840]   I'm just gonna go and check.
[01:49:52.840 --> 01:49:53.840]   I'm just gonna go and check.
[01:49:53.840 --> 01:49:54.840]   I'm just gonna go and check.
[01:49:54.840 --> 01:49:55.840]   I'm just gonna go and check.
[01:49:55.840 --> 01:49:56.840]   I'm just gonna go and check.
[01:49:56.840 --> 01:49:57.840]   I'm just gonna go and check.
[01:49:57.840 --> 01:49:58.840]   I'm just gonna go and check.
[01:49:58.840 --> 01:49:59.840]   I'm just gonna go and check.
[01:49:59.840 --> 01:50:00.840]   I'm just gonna go and check.
[01:50:00.840 --> 01:50:01.840]   I'm just gonna go and check.
[01:50:01.840 --> 01:50:02.840]   I'm just gonna go and check.
[01:50:02.840 --> 01:50:03.840]   I'm just gonna go and check.
[01:50:03.840 --> 01:50:04.840]   I'm just gonna go and check.
[01:50:04.840 --> 01:50:05.840]   I'm just gonna go and check.
[01:50:05.840 --> 01:50:06.840]   I'm just gonna go and check.
[01:50:06.840 --> 01:50:07.840]   I'm just gonna go and check.
[01:50:07.840 --> 01:50:08.840]   I'm just gonna go and check.
[01:50:08.840 --> 01:50:09.840]   I'm just gonna go and check.
[01:50:09.840 --> 01:50:10.840]   I'm just gonna go and check.
[01:50:10.840 --> 01:50:11.840]   I'm just gonna go and check.
[01:50:11.840 --> 01:50:12.840]   I'm just gonna go and check.
[01:50:12.840 --> 01:50:13.840]   I'm just gonna go and check.
[01:50:13.840 --> 01:50:14.840]   I'm just gonna go and check.
[01:50:14.840 --> 01:50:15.840]   I'm just gonna go and check.
[01:50:15.840 --> 01:50:16.840]   I'm just gonna go and check.
[01:50:16.840 --> 01:50:17.840]   I'm just gonna go and check.
[01:50:17.840 --> 01:50:18.840]   I'm just gonna go and check.
[01:50:18.840 --> 01:50:19.840]   I'm just gonna go and check.
[01:50:19.840 --> 01:50:20.840]   I'm just gonna go and check.
[01:50:20.840 --> 01:50:21.840]   I'm just gonna go and check.
[01:50:21.840 --> 01:50:22.840]   I'm just gonna go and check.
[01:50:22.840 --> 01:50:23.840]   I'm just gonna go and check.
[01:50:23.840 --> 01:50:24.840]   I'm just gonna go and check.
[01:50:24.840 --> 01:50:25.840]   I'm just gonna go and check.
[01:50:25.840 --> 01:50:26.840]   I'm just gonna go and check.
[01:50:26.840 --> 01:50:27.840]   I'm just gonna go and check.
[01:50:27.840 --> 01:50:28.840]   I'm just gonna go and check.
[01:50:28.840 --> 01:50:29.840]   I'm just gonna go and check.
[01:50:29.840 --> 01:50:30.840]   I'm just gonna go and check.
[01:50:30.840 --> 01:50:31.840]   I'm just gonna go and check.
[01:50:31.840 --> 01:50:32.840]   I'm just gonna go and check.
[01:50:32.840 --> 01:50:33.840]   I'm just gonna go and check.
[01:50:33.840 --> 01:50:34.840]   I'm just gonna go and check.
[01:50:34.840 --> 01:50:35.840]   I'm just gonna go and check.
[01:50:35.840 --> 01:50:36.840]   I'm just gonna go and check.
[01:50:36.840 --> 01:50:37.840]   I'm just gonna go and check.
[01:50:37.840 --> 01:50:38.840]   I'm just gonna go and check.
[01:50:38.840 --> 01:50:39.840]   I'm just gonna go and check.
[01:50:39.840 --> 01:50:40.840]   I'm just gonna go and check.
[01:50:40.840 --> 01:50:41.840]   I'm just gonna go and check.
[01:50:41.840 --> 01:50:42.840]   I'm just gonna go and check.
[01:50:42.840 --> 01:50:43.840]   I'm just gonna go and check.
[01:50:43.840 --> 01:50:44.840]   I'm just gonna go and check.
[01:50:44.840 --> 01:50:45.840]   I'm just gonna go and check.
[01:50:45.840 --> 01:50:46.840]   I'm just gonna go and check.
[01:50:46.840 --> 01:50:47.840]   I'm just gonna go and check.
[01:50:47.840 --> 01:50:48.840]   I'm just gonna go and check.
[01:50:48.840 --> 01:50:49.840]   I'm just gonna go and check.
[01:50:49.840 --> 01:50:50.840]   I'm just gonna go and check.
[01:50:50.840 --> 01:50:51.840]   I'm just gonna go and check.
[01:50:51.840 --> 01:50:52.840]   I'm just gonna go and check.
[01:50:52.840 --> 01:50:53.840]   I'm just gonna go and check.
[01:50:53.840 --> 01:50:54.840]   I'm just gonna go and check.
[01:50:54.840 --> 01:50:55.840]   I'm just gonna go and check.
[01:50:55.840 --> 01:50:56.840]   I'm just gonna go and check.
[01:50:56.840 --> 01:50:57.840]   I'm just gonna go and check.
[01:50:57.840 --> 01:50:58.840]   I'm just gonna go and check.
[01:50:58.840 --> 01:50:59.840]   I'm just gonna go and check.
[01:50:59.840 --> 01:51:00.840]   I'm just gonna go and check.
[01:51:00.840 --> 01:51:01.840]   I'm just gonna go and check.
[01:51:01.840 --> 01:51:02.840]   I'm just gonna go and check.
[01:51:02.840 --> 01:51:03.840]   I'm just gonna go and check.
[01:51:03.840 --> 01:51:04.840]   I'm just gonna go and check.
[01:51:04.840 --> 01:51:05.840]   I'm just gonna go and check.
[01:51:05.840 --> 01:51:06.840]   I'm just gonna go and check.
[01:51:06.840 --> 01:51:07.840]   I'm just gonna go and check.
[01:51:07.840 --> 01:51:08.840]   I'm just gonna go and check.
[01:51:08.840 --> 01:51:09.840]   I'm just gonna go and check.
[01:51:09.840 --> 01:51:10.840]   I'm just gonna go and check.
[01:51:10.840 --> 01:51:11.840]   I'm just gonna go and check.
[01:51:11.840 --> 01:51:12.840]   I'm just gonna go and check.
[01:51:12.840 --> 01:51:13.840]   I'm just gonna go and check.
[01:51:13.840 --> 01:51:14.840]   I'm just gonna go and check.
[01:51:14.840 --> 01:51:15.840]   I'm just gonna go and check.
[01:51:15.840 --> 01:51:16.840]   I'm just gonna go and check.
[01:51:16.840 --> 01:51:17.840]   I'm just gonna go and check.
[01:51:17.840 --> 01:51:18.840]   I'm just gonna go and check.
[01:51:18.840 --> 01:51:19.840]   I'm just gonna go and check.
[01:51:19.840 --> 01:51:20.840]   I'm just gonna go and check.
[01:51:20.840 --> 01:51:21.840]   I'm just gonna go and check.
[01:51:21.840 --> 01:51:22.840]   I'm just gonna go and check.
[01:51:22.840 --> 01:51:23.840]   I'm just gonna go and check.
[01:51:23.840 --> 01:51:24.840]   I'm just gonna go and check.
[01:51:24.840 --> 01:51:25.840]   I'm just gonna go and check.
[01:51:25.840 --> 01:51:26.840]   I'm just gonna go and check.
[01:51:26.840 --> 01:51:27.840]   I'm just gonna go and check.
[01:51:27.840 --> 01:51:28.840]   I'm just gonna go and check.
[01:51:28.840 --> 01:51:29.840]   I'm just gonna go and check.
[01:51:29.840 --> 01:51:30.840]   I'm just gonna go and check.
[01:51:30.840 --> 01:51:31.840]   I'm just gonna go and check.
[01:51:31.840 --> 01:51:32.840]   I'm just gonna go and check.
[01:51:32.840 --> 01:51:33.840]   I'm just gonna go and check.
[01:51:33.840 --> 01:51:34.840]   I'm just gonna go and check.
[01:51:34.840 --> 01:51:35.840]   I'm just gonna go and check.
[01:51:35.840 --> 01:51:36.840]   I'm just gonna go and check.
[01:51:36.840 --> 01:51:37.840]   I'm just gonna go and check.
[01:51:37.840 --> 01:51:38.840]   I'm just gonna go and check.
[01:51:38.840 --> 01:51:39.840]   I'm just gonna go and check.
[01:51:39.840 --> 01:51:40.840]   I'm just gonna go and check.
[01:51:40.840 --> 01:51:41.840]   I'm just gonna go and check.
[01:51:41.840 --> 01:51:42.840]   I'm just gonna go and check.
[01:51:42.840 --> 01:51:43.840]   I'm just gonna go and check.
[01:51:43.840 --> 01:51:44.840]   I'm just gonna go and check.
[01:51:44.840 --> 01:51:45.840]   I'm just gonna go and check.
[01:51:45.840 --> 01:51:46.840]   I'm just gonna go and check.
[01:51:46.840 --> 01:51:47.840]   I'm just gonna go and check.
[01:51:47.840 --> 01:51:48.840]   I'm just gonna go and check.
[01:51:48.840 --> 01:51:49.840]   I'm just gonna go and check.
[01:51:49.840 --> 01:51:50.840]   I'm just gonna go and check.
[01:51:50.840 --> 01:51:51.840]   I'm just gonna go and check.
[01:51:51.840 --> 01:51:52.840]   I'm just gonna go and check.
[01:51:52.840 --> 01:51:53.840]   I'm just gonna go and check.
[01:51:53.840 --> 01:51:54.840]   I'm just gonna go and check.
[01:51:54.840 --> 01:51:55.840]   I'm just gonna go and check.
[01:51:55.840 --> 01:51:56.840]   I'm just gonna go and check.
[01:51:56.840 --> 01:51:57.840]   I'm just gonna go and check.
[01:51:57.840 --> 01:51:58.840]   I'm just gonna go and check.
[01:51:58.840 --> 01:51:59.840]   I'm just gonna go and check.
[01:51:59.840 --> 01:52:00.840]   I'm just gonna go and check.
[01:52:00.840 --> 01:52:01.840]   I'm just gonna go and check.
[01:52:01.840 --> 01:52:02.840]   I'm just gonna go and check.
[01:52:02.840 --> 01:52:03.840]   I'm just gonna go and check.
