
[00:00:00.000 --> 00:00:02.040]   And we are live.
[00:55:48.760 --> 00:55:51.080]   Useful ideas and technologies like neural networks
[00:55:51.080 --> 00:55:53.360]   are usually compositions of simpler pieces
[00:55:53.360 --> 00:55:57.080]   or scaling up those simpler pieces in some way.
[00:55:57.080 --> 00:56:00.160]   And those simpler pieces tend to admit base cases
[00:56:00.160 --> 00:56:03.400]   that are particularly intuitive or easy to understand.
[00:56:04.400 --> 00:56:09.400]   And so the last, yeah, I guess the last thing is,
[00:56:09.400 --> 00:56:16.800]   of course you want to combine that
[00:56:16.800 --> 00:56:19.400]   with pathological counter examples.
[00:56:19.400 --> 00:56:22.120]   So, you've got an example like this
[00:56:22.120 --> 00:56:24.920]   where things are all looking nice, working nicely
[00:56:24.920 --> 00:56:27.040]   and things are very straightforward
[00:56:27.040 --> 00:56:29.440]   and easy to work with.
[00:56:29.440 --> 00:56:31.760]   Then there you've got your pathological counter examples
[00:56:31.760 --> 00:56:33.560]   like the memorization task.
[00:56:33.560 --> 00:56:35.480]   And then you've got this nice one-two punch
[00:56:35.480 --> 00:56:37.080]   for tackling difficult concepts.
[00:56:37.080 --> 00:56:40.200]   And this general approach, I think applies to things
[00:56:40.200 --> 00:56:43.120]   not just machine learning, but more broadly
[00:56:43.120 --> 00:56:45.720]   in both software engineering and in math.
[00:56:45.720 --> 00:56:50.280]   So I'll take a second to answer some of the questions
[00:56:50.280 --> 00:56:51.760]   that I saw in the chat there.
[00:56:51.760 --> 00:56:53.720]   So one question, what kinds of problems
[00:56:53.720 --> 00:56:58.240]   where JAX is better suited than other frameworks?
[00:56:58.240 --> 00:57:01.560]   So that question, that's an interesting one.
[00:57:01.560 --> 00:57:04.600]   I think right now, JAX is more suited
[00:57:04.600 --> 00:57:07.960]   for if you want to do fast math
[00:57:07.960 --> 00:57:10.960]   that isn't well handled by the other
[00:57:10.960 --> 00:57:14.000]   like neural network GPU acceleration frameworks.
[00:57:14.000 --> 00:57:17.480]   So it's, if you want to do things that it's generally
[00:57:17.480 --> 00:57:20.280]   it's gonna be something weird that other people
[00:57:20.280 --> 00:57:22.040]   in machine learning are not doing.
[00:57:22.040 --> 00:57:24.720]   So if you want the Jacobian of your neural network
[00:57:24.720 --> 00:57:27.720]   which is like the gradient, but for the outputs
[00:57:27.720 --> 00:57:30.400]   of the neural network, as opposed to the loss
[00:57:30.400 --> 00:57:32.320]   that's something that you can do really well.
[00:57:32.320 --> 00:57:36.280]   And with, it's well supported in JAX in a way
[00:57:36.280 --> 00:57:38.800]   that it for a long time was not supported
[00:57:38.800 --> 00:57:40.120]   in other frameworks.
[00:57:40.120 --> 00:57:43.720]   It's sort of an inheritor to AutoGrad in a lot of ways
[00:57:43.720 --> 00:57:45.200]   if you're familiar with AutoGrad
[00:57:45.200 --> 00:57:47.640]   which was the automatic differentiation software
[00:57:47.640 --> 00:57:50.760]   unaccelerated automatic differentiation software
[00:57:50.760 --> 00:57:52.600]   for a while there.
[00:57:52.600 --> 00:57:57.480]   So I would say what's most useful about JAX actually
[00:57:57.480 --> 00:58:00.480]   is that it's very principled and very thoughtful
[00:58:00.480 --> 00:58:02.960]   on a computational level.
[00:58:02.960 --> 00:58:05.120]   It's all about composition.
[00:58:05.120 --> 00:58:09.560]   It uses a lot of ideas from, uses a lot of ideas
[00:58:09.560 --> 00:58:14.440]   from the theory of functional programming
[00:58:14.440 --> 00:58:17.160]   and from essentially, category theory
[00:58:17.160 --> 00:58:19.760]   and to these branches of abstract math.
[00:58:19.760 --> 00:58:24.200]   And while it might not necessarily help you directly
[00:58:24.200 --> 00:58:26.040]   being able to program things in JAX
[00:58:26.040 --> 00:58:28.080]   the kind of mental exercise you get from it
[00:58:28.080 --> 00:58:29.280]   is certainly helpful.
[00:58:29.280 --> 00:58:32.280]   I felt like I learned quite a bit just by changing away
[00:58:32.280 --> 00:58:34.720]   around the way that I was thinking about my
[00:58:34.720 --> 00:58:36.160]   the various functions and pieces
[00:58:36.160 --> 00:58:37.640]   of my neural network pipeline.
[00:58:37.640 --> 00:58:41.280]   Then the last question, could you train something
[00:58:41.280 --> 00:58:44.080]   like a language model that has a more dynamic structure
[00:58:44.080 --> 00:58:46.680]   that's not neatly divisible into layers?
[00:58:46.680 --> 00:58:48.040]   Absolutely, yeah.
[00:58:48.040 --> 00:58:52.360]   You might run it if you're sort of overriding a value
[00:58:52.360 --> 00:58:54.560]   over and over again, you might find that you need to write
[00:58:54.560 --> 00:58:57.400]   it slightly differently in JAX than you would write it
[00:58:57.400 --> 00:58:59.920]   in a different programming paradigm,
[00:58:59.920 --> 00:59:04.920]   in a different, more, you know, more Pythonic paradigm
[00:59:04.920 --> 00:59:09.480]   like PyTorch, but you can certainly do it
[00:59:09.480 --> 00:59:11.400]   and you'd be able to make things, I think,
[00:59:11.400 --> 00:59:13.240]   very fast, pretty easily.
[00:59:13.240 --> 00:59:17.320]   All right, so those are all the questions that I see
[00:59:17.320 --> 00:59:19.720]   and it looks like it's about six o'clock.
[00:59:19.720 --> 00:59:24.720]   So I will leave you all here and I will catch you all again,
[00:59:24.720 --> 00:59:30.160]   I guess, let me throw this, yeah.
[00:59:30.160 --> 00:59:32.680]   I will catch you all again in two weeks
[00:59:32.680 --> 00:59:35.200]   for the next Weights & Biases Salon,
[00:59:35.200 --> 00:59:38.320]   where we'll have on some folks to talk
[00:59:38.320 --> 00:59:41.840]   about some public benchmarks in AI safety
[00:59:41.840 --> 00:59:46.840]   and in AI for social good in demystifying forms
[00:59:49.400 --> 00:59:51.560]   for political advertisements.
[00:59:51.560 --> 00:59:54.760]   So I'm looking forward to that salon, I hope you are too.

