
[00:00:00.000 --> 00:00:01.440]   Take Tiablo Canyon.
[00:54:22.060 --> 00:54:23.620]   "but we're not gonna be the risk capital."
[00:54:23.620 --> 00:54:26.460]   - It affects both of them, and maybe that's changing.
[00:54:26.460 --> 00:54:29.860]   When I first heard about Constellation Energy Group,
[00:54:29.860 --> 00:54:32.660]   which operates a bunch of nuclear reactors here in the US,
[00:54:32.660 --> 00:54:34.660]   I reached out to 'em, and I asked 'em,
[00:54:34.660 --> 00:54:36.060]   "Are you doing anything new?
[00:54:36.060 --> 00:54:37.060]   "Are you innovating?
[00:54:37.060 --> 00:54:38.660]   "Are you doing a new plant?"
[00:54:38.660 --> 00:54:42.020]   They said, "No, no, no, we just operate these old ones."
[00:54:42.020 --> 00:54:45.100]   Now there's a rumor that they're talking to Threema Island
[00:54:45.100 --> 00:54:49.980]   about restarting that, and so maybe these changes
[00:54:49.980 --> 00:54:51.820]   in attitude are gonna tip 'em in.
[00:54:51.820 --> 00:54:55.180]   If, I say this with a ton of confidence,
[00:54:55.180 --> 00:54:57.540]   even though it's unprovable,
[00:54:57.540 --> 00:55:00.740]   if these utilities could snap their fingers
[00:55:00.740 --> 00:55:04.900]   and have fission level three online at--
[00:55:04.900 --> 00:55:06.220]   - Competitive rates.
[00:55:06.220 --> 00:55:08.220]   - Korea and China price points,
[00:55:08.220 --> 00:55:09.180]   I think they'd be turning 'em on.
[00:55:09.180 --> 00:55:10.020]   - Of course, of course.
[00:55:10.020 --> 00:55:15.020]   - So there's a huge difference between 2.2 or 2.3 and 13.
[00:55:15.020 --> 00:55:17.700]   Like, there's just a huge difference.
[00:55:17.700 --> 00:55:20.460]   So if that problem were solvable,
[00:55:20.460 --> 00:55:22.460]   I think they'd be investing more.
[00:55:22.460 --> 00:55:24.420]   But I don't know if that's solvable, I really don't.
[00:55:24.420 --> 00:55:26.100]   - To answer my own question,
[00:55:26.100 --> 00:55:28.460]   or perhaps push you a little further on this,
[00:55:28.460 --> 00:55:31.300]   so if you listen to Gates talk about the reason
[00:55:31.300 --> 00:55:34.580]   for alternative to gen three power plants,
[00:55:34.580 --> 00:55:38.740]   is they effectively said the gen three design
[00:55:38.740 --> 00:55:43.540]   was a massively complex engineering solution
[00:55:43.540 --> 00:55:46.900]   to the safety challenges of the plants
[00:55:46.900 --> 00:55:48.940]   that came before it, okay?
[00:55:48.940 --> 00:55:52.060]   And so rather than designing with perhaps elegance,
[00:55:52.060 --> 00:55:54.820]   like passive cooling,
[00:55:54.820 --> 00:55:57.100]   they came up with very complex
[00:55:57.100 --> 00:56:01.420]   and expensive engineered solutions to those problems.
[00:56:01.420 --> 00:56:03.420]   Now, the great thing about the engineered solutions
[00:56:03.420 --> 00:56:05.100]   is they work, right?
[00:56:05.100 --> 00:56:07.660]   We know they work, they're repeatable processes,
[00:56:07.660 --> 00:56:09.100]   and we've driven down the cost
[00:56:09.100 --> 00:56:10.300]   in some of these other places.
[00:56:10.300 --> 00:56:12.940]   But if you look at the gen four reactors,
[00:56:12.940 --> 00:56:14.980]   they're much more modular.
[00:56:14.980 --> 00:56:18.500]   Some of 'em can be produced in factories.
[00:56:18.500 --> 00:56:22.580]   A lot of 'em have sodium or alternative mechanisms
[00:56:22.580 --> 00:56:24.100]   for passive cooling.
[00:56:24.100 --> 00:56:27.900]   Is that perhaps, again, when we think about the cost
[00:56:27.900 --> 00:56:30.420]   of driving down these plants,
[00:56:30.420 --> 00:56:33.860]   it does seem to me that we can't magically snap our fingers
[00:56:33.860 --> 00:56:36.100]   and make labor costs in the United States go down.
[00:56:36.100 --> 00:56:38.500]   We can't snap our fingers and make,
[00:56:38.500 --> 00:56:39.820]   say we're gonna scale this up
[00:56:39.820 --> 00:56:41.980]   and make all the regulatory stuff better.
[00:56:41.980 --> 00:56:46.300]   So a leapfrog would be just build a smaller, simpler plant.
[00:56:46.300 --> 00:56:50.420]   - Yeah, I mean, China, there's a new plant in China,
[00:56:50.420 --> 00:56:53.180]   I probably can't pronounce it right, Shidao,
[00:56:53.180 --> 00:56:54.660]   that is level four,
[00:56:54.660 --> 00:56:57.340]   but it came on at a price way above Vogel.
[00:56:57.340 --> 00:56:58.420]   So like-
[00:56:58.420 --> 00:57:01.060]   - Yeah, but any new plant, any novel thing
[00:57:01.060 --> 00:57:03.500]   is gonna be a lot more expensive on unit one
[00:57:03.500 --> 00:57:04.340]   than it's gonna be on unit two.
[00:57:04.340 --> 00:57:06.140]   - You know, they used to call,
[00:57:06.140 --> 00:57:10.340]   I've heard people refer to modern day semiconductor investing
[00:57:10.340 --> 00:57:11.780]   as a sport of kings,
[00:57:11.780 --> 00:57:14.020]   'cause you're 50 million to first take that.
[00:57:14.020 --> 00:57:15.580]   If that's a sport of kings,
[00:57:15.580 --> 00:57:17.180]   this is a sport of emperors.
[00:57:17.180 --> 00:57:21.740]   You may be multi billions to first revenue.
[00:57:21.740 --> 00:57:26.740]   And so good thing we have Bill Gates like emperors
[00:57:26.740 --> 00:57:28.380]   that wanna make this stuff work.
[00:57:28.380 --> 00:57:31.100]   Yeah, let's dive in on SMRs for a second.
[00:57:31.100 --> 00:57:35.620]   So I'm sure the at least high level pitch
[00:57:35.620 --> 00:57:38.060]   you would hear from all of the SMR vendors
[00:57:38.060 --> 00:57:41.220]   is one of the reasons that level three fission
[00:57:41.220 --> 00:57:44.940]   is so expensive is it's a huge infrastructure project
[00:57:44.940 --> 00:57:47.740]   and the US isn't good at those anymore.
[00:57:47.740 --> 00:57:51.180]   And if you could build this thing in a factory
[00:57:51.180 --> 00:57:53.780]   and then ship it and deliver it where it's used
[00:57:53.780 --> 00:57:57.860]   and there's talks of, oh, I could take an old coal plant
[00:57:57.860 --> 00:58:00.540]   and put an SMR in there, several of them.
[00:58:00.540 --> 00:58:03.060]   And now the transmission lines are all in the right place.
[00:58:03.060 --> 00:58:06.380]   And I get, and to what you just said,
[00:58:06.380 --> 00:58:08.620]   and then I can repeat it.
[00:58:08.620 --> 00:58:11.500]   Then the first unit might not be competitive,
[00:58:11.500 --> 00:58:13.180]   but the hundredth unit might be,
[00:58:13.180 --> 00:58:16.580]   'cause I could get into more of an automation factory thing
[00:58:16.580 --> 00:58:19.620]   and get out of this infrastructure build problem
[00:58:19.620 --> 00:58:21.300]   that we're no good at in the US.
[00:58:21.300 --> 00:58:23.020]   That is the argument.
[00:58:23.020 --> 00:58:28.020]   I think another super valid argument is the Navy.
[00:58:28.020 --> 00:58:32.460]   And one of the links we will provide is a 92 page PDF
[00:58:32.460 --> 00:58:36.860]   on the miraculous success of the Naval Nuclear Program,
[00:58:36.860 --> 00:58:40.460]   which are in essence SMRs that already exist
[00:58:40.460 --> 00:58:43.860]   on a hundred different vessels, some submarines,
[00:58:43.860 --> 00:58:46.220]   some carriers in the US Navy.
[00:58:46.220 --> 00:58:49.540]   And the track record is phenomenal.
[00:58:49.540 --> 00:58:51.980]   The costs are pretty interesting,
[00:58:51.980 --> 00:58:54.140]   especially since they've never been applied
[00:58:54.140 --> 00:58:56.620]   at a commercial level.
[00:58:56.620 --> 00:59:00.500]   And so there's reason to believe in this.
[00:59:00.500 --> 00:59:03.340]   The problem, I think the overwhelming problem
[00:59:03.340 --> 00:59:08.020]   is that the utilities aren't really,
[00:59:08.020 --> 00:59:10.300]   they're not acting like, say,
[00:59:10.300 --> 00:59:14.300]   Google and Amazon are buying Nvidia clusters
[00:59:14.300 --> 00:59:15.620]   where, oh, we're gonna put them up.
[00:59:15.620 --> 00:59:17.980]   And they're more conservative.
[00:59:17.980 --> 00:59:20.700]   They want the startup to bear most of the risk.
[00:59:20.700 --> 00:59:24.420]   There's an agreement called a power purchase agreement
[00:59:24.420 --> 00:59:27.980]   where the utility says, oh yeah, I'll buy it from you
[00:59:27.980 --> 00:59:30.980]   if you can deliver it to me at this price,
[00:59:30.980 --> 00:59:32.580]   where they know their margin.
[00:59:32.580 --> 00:59:35.420]   And the startup's completely on the hook
[00:59:35.420 --> 00:59:36.860]   for whether they can get there or not.
[00:59:36.860 --> 00:59:39.340]   And we've already had one colossal miss
[00:59:39.340 --> 00:59:41.340]   with a startup called NuScale
[00:59:41.340 --> 00:59:43.100]   that had one of these agreements in place
[00:59:43.100 --> 00:59:46.500]   and they got time to qualify.
[00:59:46.500 --> 00:59:50.060]   And the utility went, I'm out.
[00:59:50.060 --> 00:59:52.860]   And NuScale had to start laying people off.
[00:59:52.860 --> 00:59:53.780]   And it's just tough.
[00:59:53.780 --> 00:59:56.860]   And the other tough part, the NRC,
[00:59:56.860 --> 00:59:58.260]   which we haven't talked much about,
[00:59:58.260 --> 01:00:02.300]   but the regulatory commission here in the US is fee-based.
[01:00:02.300 --> 01:00:05.180]   And all the people that are playing in this market
[01:00:05.180 --> 01:00:08.060]   I've talked to say you're probably 60 million
[01:00:08.060 --> 01:00:09.220]   to first approval.
[01:00:09.220 --> 01:00:12.700]   Just on fees, the startup's gonna pay to the NRC
[01:00:12.700 --> 01:00:15.020]   to tell them what they're doing is okay.
[01:00:15.020 --> 01:00:16.660]   Once again, sport of emperors.
[01:00:16.660 --> 01:00:21.540]   - Yes, well, and that brings us back to,
[01:00:21.540 --> 01:00:25.380]   why did you and I really amp up this conversation?
[01:00:25.380 --> 01:00:28.420]   Because of Nvidia, because of Meta,
[01:00:28.420 --> 01:00:30.300]   because of Google, because of Microsoft,
[01:00:30.300 --> 01:00:32.380]   the power needs that they have.
[01:00:32.380 --> 01:00:34.820]   - And maybe those companies are the ones
[01:00:34.820 --> 01:00:35.660]   that need to kind of--
[01:00:35.660 --> 01:00:38.020]   - I mean, if they're spending $250 billion a year
[01:00:38.020 --> 01:00:40.420]   on CapEx associated with AI,
[01:00:40.420 --> 01:00:42.580]   that is emperor level spending, right?
[01:00:42.580 --> 01:00:44.700]   - Maybe they need to be the ones underwriting
[01:00:44.700 --> 01:00:45.860]   the risk on the SMR.
[01:00:45.860 --> 01:00:50.100]   - And I also think what they can do, Bill, how about this?
[01:00:50.100 --> 01:00:54.260]   Why don't the hyperscalers form a consortium, okay?
[01:00:54.260 --> 01:00:56.660]   And they go to Washington and they say,
[01:00:56.660 --> 01:00:59.460]   "Hey, we'll put up X amount
[01:00:59.460 --> 01:01:03.180]   "in order to build some AP 1000s," right?
[01:01:03.180 --> 01:01:07.340]   Or daisy chain a bunch of these SMRs together, right?
[01:01:07.340 --> 01:01:09.780]   I'm talking about a new type of project
[01:01:09.780 --> 01:01:12.260]   in partnership with Washington, DC,
[01:01:12.260 --> 01:01:14.660]   where there's a mutual need.
[01:01:14.660 --> 01:01:17.220]   They have the capital, public-private partnership
[01:01:17.220 --> 01:01:18.300]   to get this going.
[01:01:18.300 --> 01:01:20.300]   Because honestly, as I sit here today,
[01:01:20.300 --> 01:01:22.020]   take Tiablo Canyon.
[01:01:22.020 --> 01:01:24.260]   They built two nuclear reactors here.
[01:01:24.260 --> 01:01:28.620]   You know, this site was provisioned for six,
[01:01:28.620 --> 01:01:30.300]   for six reactors.
[01:01:30.300 --> 01:01:34.220]   I could imagine if you had four more reactors sitting here,
[01:01:34.220 --> 01:01:36.780]   right, if you could land them at the right price,
[01:01:36.780 --> 01:01:39.300]   you could have one reactor for Meta,
[01:01:39.300 --> 01:01:42.860]   one for Amazon, one for Microsoft, one for NVIDIA.
[01:01:42.860 --> 01:01:45.660]   You could have the data center sitting right next to them.
[01:01:45.660 --> 01:01:46.500]   It does seem--
[01:01:46.500 --> 01:01:49.140]   - By the way, I ran some math on the Diablo dollars,
[01:01:49.140 --> 01:01:50.500]   just 'cause it's interesting.
[01:01:50.500 --> 01:01:53.460]   So in the mid 80s dollars,
[01:01:53.460 --> 01:01:56.180]   the plant was built for 5.5 billion.
[01:01:56.180 --> 01:01:58.500]   So right around 2.4.
[01:01:59.700 --> 01:02:03.100]   Unfortunately, in today's dollars, that's 6.4.
[01:02:03.100 --> 01:02:07.180]   But 6.4 is still half of 13, which is Vogel.
[01:02:07.180 --> 01:02:10.580]   And so, yeah, just interesting.
[01:02:10.580 --> 01:02:12.540]   - I mean, you know, again,
[01:02:12.540 --> 01:02:15.100]   we know the reasons why they're not coming online
[01:02:15.100 --> 01:02:15.940]   at that price.
[01:02:15.940 --> 01:02:17.620]   So the question is whether or not you can change
[01:02:17.620 --> 01:02:19.460]   those dynamics through some of the things
[01:02:19.460 --> 01:02:20.940]   that we talked about.
[01:02:20.940 --> 01:02:23.580]   I do think these Gen 4 reactors,
[01:02:23.580 --> 01:02:26.260]   there's room, you know, I, like you,
[01:02:26.260 --> 01:02:28.420]   believe it's an all of the above strategy.
[01:02:28.420 --> 01:02:31.540]   We should have the large Gen 4 reactors,
[01:02:31.540 --> 01:02:34.100]   but we also should do this small modular stuff.
[01:02:34.100 --> 01:02:36.980]   We basically have a hundred floating SMRs
[01:02:36.980 --> 01:02:38.900]   in our naval fleet.
[01:02:38.900 --> 01:02:41.260]   You know, just imagine if you just took those ships
[01:02:41.260 --> 01:02:43.420]   and dropped them on land and, you know,
[01:02:43.420 --> 01:02:45.900]   set some transmission lines up again.
[01:02:45.900 --> 01:02:49.900]   What's great about those reactors is, you know, again,
[01:02:49.900 --> 01:02:53.060]   part of what we need to do is get the flywheel going
[01:02:53.060 --> 01:02:55.180]   on the marketplace.
[01:02:55.180 --> 01:03:00.020]   Not everybody needs, not every situation needs 1.5 gigs.
[01:03:00.020 --> 01:03:00.860]   - That's true.
[01:03:00.860 --> 01:03:03.340]   - Right, a hundred megawatts out of a small nuclear reactor
[01:03:03.340 --> 01:03:07.340]   may be a perfect fit for some of these smaller solutions.
[01:03:07.340 --> 01:03:09.700]   - Well, let's talk about possible solutions.
[01:03:09.700 --> 01:03:10.540]   - Okay.
[01:03:10.540 --> 01:03:11.780]   - Not that we get to decide.
[01:03:11.780 --> 01:03:16.460]   And I'll start with on the level three side
[01:03:16.460 --> 01:03:18.300]   and then let's go to the SMR side.
[01:03:18.300 --> 01:03:21.780]   But, you know, the first thing that popped in my mind
[01:03:21.780 --> 01:03:26.780]   when I see how far behind China and Korea we are is,
[01:03:26.780 --> 01:03:30.460]   like I said, I'm shocked no one's shocked.
[01:03:30.460 --> 01:03:35.460]   But if someone inside of Washington is like,
[01:03:35.460 --> 01:03:37.780]   oh my God, we have to fix this.
[01:03:37.780 --> 01:03:40.460]   The first thing that comes to my mind,
[01:03:40.460 --> 01:03:42.620]   and maybe this could be applied to both SMRs
[01:03:42.620 --> 01:03:46.780]   and level three scale out, is we could choose
[01:03:46.780 --> 01:03:49.340]   to do something more like a Manhattan project
[01:03:49.340 --> 01:03:51.060]   or a NASA project.
[01:03:51.060 --> 01:03:53.020]   And you hinted at this already,
[01:03:53.020 --> 01:03:55.820]   where you get the best and brightest people,
[01:03:55.820 --> 01:03:59.180]   you put them somewhere on the side,
[01:03:59.180 --> 01:04:01.780]   you give them the ability to do things
[01:04:01.780 --> 01:04:03.340]   they couldn't do before.
[01:04:03.340 --> 01:04:08.260]   Like re-imagine the NRC from the ground up.
[01:04:08.260 --> 01:04:12.060]   You give them a goal like the Manhattan project
[01:04:12.060 --> 01:04:17.060]   and NASA had to deliver nuclear at a competitive rate
[01:04:17.140 --> 01:04:21.500]   in the US, you know, and come hell or high water.
[01:04:21.500 --> 01:04:23.660]   Now, we haven't done one of those things
[01:04:23.660 --> 01:04:25.340]   since those two that I mentioned,
[01:04:25.340 --> 01:04:28.140]   but we were pretty successful when we did those.
[01:04:28.140 --> 01:04:30.740]   You know, and I think when you have an industry
[01:04:30.740 --> 01:04:32.700]   that's this important to the country
[01:04:32.700 --> 01:04:36.620]   and this highly regulated, it is kind of an exception
[01:04:36.620 --> 01:04:39.420]   where you say maybe the free market's not the right--
[01:04:39.420 --> 01:04:42.700]   - I mean, it's pretty clear to me
[01:04:42.700 --> 01:04:46.140]   that because of the regulation,
[01:04:46.140 --> 01:04:48.420]   which again, I'm sure we could regulate
[01:04:48.420 --> 01:04:50.420]   this industry better, but you're happy
[01:04:50.420 --> 01:04:53.420]   the industry has a lot of regulation, okay?
[01:04:53.420 --> 01:04:54.940]   It's incredibly safe.
[01:04:54.940 --> 01:04:58.860]   But given that burden of regulation,
[01:04:58.860 --> 01:05:00.260]   it does drive up the cost
[01:05:00.260 --> 01:05:02.300]   relative to alternative solutions.
[01:05:02.300 --> 01:05:04.300]   And the United States is just incredibly lucky.
[01:05:04.300 --> 01:05:06.380]   We have an abundance of natural gas.
[01:05:06.380 --> 01:05:08.340]   So left purely to market forces,
[01:05:08.340 --> 01:05:10.140]   if you don't subsidize any of this stuff,
[01:05:10.140 --> 01:05:12.940]   we wouldn't have any solar, we wouldn't have any wind,
[01:05:12.940 --> 01:05:14.340]   we wouldn't have, you know,
[01:05:14.340 --> 01:05:16.700]   we're not gonna have the investment required
[01:05:16.700 --> 01:05:18.140]   to bring on these new plants.
[01:05:18.140 --> 01:05:20.540]   So I do think it has to be a partnership
[01:05:20.540 --> 01:05:21.940]   where the government is willing.
[01:05:21.940 --> 01:05:26.300]   Now, listen, what we're doing in the IRA with chips,
[01:05:26.300 --> 01:05:28.740]   we've decided building chips in the United States
[01:05:28.740 --> 01:05:30.100]   is a strategic priority.
[01:05:30.100 --> 01:05:32.300]   You and I have debated whether or not
[01:05:32.300 --> 01:05:33.820]   that will be successful.
[01:05:33.820 --> 01:05:36.220]   We happen to both be on the same side of the agreement
[01:05:36.220 --> 01:05:38.100]   that that's going to be very challenged
[01:05:38.100 --> 01:05:40.460]   in the United States, but the United States--
[01:05:40.460 --> 01:05:43.300]   - They did in the recent week, including Intel stock price.
[01:05:43.300 --> 01:05:44.860]   - But the United States government
[01:05:44.860 --> 01:05:47.820]   is absolutely committed, you know, to that path.
[01:05:47.820 --> 01:05:50.620]   I think nuclear is at least as important.
[01:05:50.620 --> 01:05:52.660]   - But they didn't go as far as we're talking about.
[01:05:52.660 --> 01:05:54.500]   They just did loan programs and stuff.
[01:05:54.500 --> 01:05:57.380]   I'm saying, if you did a Manhattan Project
[01:05:57.380 --> 01:05:59.260]   or NASA scale thing,
[01:05:59.260 --> 01:06:02.780]   where you're trying to redo everything,
[01:06:02.780 --> 01:06:05.540]   not just provide loans or incentives.
[01:06:05.540 --> 01:06:07.940]   And by the way, there is, I think, an imperative,
[01:06:07.940 --> 01:06:12.940]   just as a quick side, to at least make sure nuclear
[01:06:13.740 --> 01:06:16.500]   is not disadvantaged relative to wind and solar.
[01:06:16.500 --> 01:06:21.500]   It has operating efficiency and this durability
[01:06:21.500 --> 01:06:24.060]   and this always-on piece
[01:06:24.060 --> 01:06:26.260]   that make it so much better than those.
[01:06:26.260 --> 01:06:28.140]   And right now, I think it actually
[01:06:28.140 --> 01:06:29.900]   has less incentive programs.
[01:06:29.900 --> 01:06:32.580]   And I'm not sure that's smart.
[01:06:32.580 --> 01:06:33.900]   - If you look at, you know,
[01:06:33.900 --> 01:06:36.220]   I saw this mashup the other day on Twitter.
[01:06:36.220 --> 01:06:42.420]   You know, it's Trump and Biden and Elon and Bill Gates
[01:06:42.860 --> 01:06:45.860]   folks on both sides of the political divide, right?
[01:06:45.860 --> 01:06:47.740]   The one thing that's very clear right now
[01:06:47.740 --> 01:06:49.860]   is that both sides of the political divide
[01:06:49.860 --> 01:06:51.460]   have come together on this issue.
[01:06:51.460 --> 01:06:54.500]   - Take nuclear power, biggest source of clean energy.
[01:06:54.500 --> 01:06:57.100]   - There's no question that there are benefits.
[01:06:57.100 --> 01:07:00.420]   - Our nuclear energy sector produces clean, renewable
[01:07:00.420 --> 01:07:02.660]   and emissions-free energy.
[01:07:02.660 --> 01:07:06.620]   - In Germany, they closed the nuclear power plants.
[01:07:06.620 --> 01:07:08.300]   They have to keep coal burning.
[01:07:08.300 --> 01:07:10.380]   They said no to clean energy.
[01:07:10.380 --> 01:07:12.220]   And they said yes to fossil fuels.
[01:07:12.220 --> 01:07:14.820]   And we in California, we have a nuclear power plant
[01:07:14.820 --> 01:07:17.380]   called Diablo Canyon Nuclear Power Plant.
[01:07:17.380 --> 01:07:19.420]   9% of clean energy.
[01:07:19.420 --> 01:07:20.900]   So why would we shut it down?
[01:07:20.900 --> 01:07:24.620]   - There's a new effort to increase the amount of energy
[01:07:24.620 --> 01:07:26.420]   obtained from nuclear power.
[01:07:26.420 --> 01:07:28.500]   It's a better form of energy
[01:07:28.500 --> 01:07:31.020]   because it doesn't have greenhouse gas emission.
[01:07:31.020 --> 01:07:33.460]   - It's crazy to shut down nuclear power plants.
[01:07:33.460 --> 01:07:34.660]   I can't emphasize enough.
[01:07:34.660 --> 01:07:36.620]   Please do not shut down the nuclear power plants.
[01:07:36.620 --> 01:07:39.660]   Please reopen the ones that have been shut.
[01:07:39.660 --> 01:07:41.980]   This is total madness to shut them down.
[01:07:41.980 --> 01:07:43.580]   - Total madness.
[01:07:43.580 --> 01:07:46.700]   - Think about where we were just, you know,
[01:07:46.700 --> 01:07:49.780]   like Maureen shared with us today, just 10 years ago.
[01:07:49.780 --> 01:07:50.980]   I mean, there was a moratorium.
[01:07:50.980 --> 01:07:53.060]   They were decommissioning plants.
[01:07:53.060 --> 01:07:56.540]   So I think we do have a lot of forward progress.
[01:07:56.540 --> 01:07:57.580]   And I think we need to come up
[01:07:57.580 --> 01:07:58.780]   with that statement of principles.
[01:07:58.780 --> 01:08:00.620]   No more decommissioning.
[01:08:00.620 --> 01:08:03.060]   Bring online the plants that we've decommissioned
[01:08:03.060 --> 01:08:05.340]   that are easy enough to bring online, right?
[01:08:05.340 --> 01:08:06.700]   Figure out whether or not,
[01:08:06.700 --> 01:08:10.100]   I think there's a startup maybe called The Nuclear Company
[01:08:10.100 --> 01:08:13.540]   that's trying to build six or seven of the AP1000s.
[01:08:13.540 --> 01:08:15.060]   You know, maybe there are some companies
[01:08:15.060 --> 01:08:16.420]   that we can get behind
[01:08:16.420 --> 01:08:18.500]   that are going to go cluster build
[01:08:18.500 --> 01:08:20.260]   some of the Gen 3 reactors.
[01:08:20.260 --> 01:08:22.460]   You know, maybe there are things the government can do
[01:08:22.460 --> 01:08:24.700]   to, you know, streamline that process,
[01:08:24.700 --> 01:08:27.220]   provide some credits, make that process work.
[01:08:27.220 --> 01:08:30.580]   And then I think, you know, letting the market work
[01:08:30.580 --> 01:08:33.020]   by removing some of the regulatory burdens.
[01:08:33.020 --> 01:08:35.460]   We've already done this through a lot of legislation
[01:08:35.460 --> 01:08:38.180]   at the federal level to let these Gen 4 reactors
[01:08:38.180 --> 01:08:39.740]   at least come online, experiment,
[01:08:39.740 --> 01:08:41.940]   see whether or not they're going to work.
[01:08:41.940 --> 01:08:43.580]   That feels like a pretty good solution.
[01:08:43.580 --> 01:08:48.100]   - I think it's tough, you know, on the NRC front,
[01:08:48.100 --> 01:08:50.060]   two of the links we're gonna provide
[01:08:50.060 --> 01:08:52.700]   are a presentation from the head of the NRC
[01:08:52.700 --> 01:08:54.980]   and a podcast with the head of the NRC.
[01:08:54.980 --> 01:08:57.940]   And one thing that becomes very apparent is like,
[01:08:57.940 --> 01:09:00.220]   he's like considers it a win that we've gone
[01:09:00.220 --> 01:09:02.380]   from a negative reduction
[01:09:02.380 --> 01:09:04.940]   to just keeping everything online.
[01:09:04.940 --> 01:09:07.020]   And we're sitting here staring at China going,
[01:09:07.020 --> 01:09:08.300]   why aren't we doing this?
[01:09:08.300 --> 01:09:10.860]   So they're just not in that mindset.
[01:09:10.860 --> 01:09:13.140]   And they've been around a long time.
[01:09:13.140 --> 01:09:17.020]   And I don't, I think there's red tape is red tape.
[01:09:17.020 --> 01:09:19.220]   And I just think that, you know,
[01:09:19.220 --> 01:09:22.620]   you're probably at a place where you might want to send
[01:09:22.620 --> 01:09:25.940]   a bunch of people off in a room and like zero base it,
[01:09:25.940 --> 01:09:26.780]   you know?
[01:09:26.780 --> 01:09:28.460]   - Well, I think this is, I mean, again,
[01:09:28.460 --> 01:09:33.140]   companies get built where markets are created.
[01:09:33.140 --> 01:09:35.500]   There's a lot of growth domestically in China.
[01:09:35.500 --> 01:09:37.260]   So there's a lot of this stuff coming online.
[01:09:37.260 --> 01:09:40.060]   - But they don't have the history of red tape that we have.
[01:09:40.060 --> 01:09:40.900]   - I agree with that.
[01:09:40.900 --> 01:09:43.140]   In South Korea, they're exporting.
[01:09:43.140 --> 01:09:45.980]   Well, we have export controls in the United States,
[01:09:45.980 --> 01:09:47.820]   which are preventing a lot of these companies
[01:09:47.820 --> 01:09:49.020]   from building and exporting.
[01:09:49.020 --> 01:09:52.180]   So like, again, we could change those export controls
[01:09:52.180 --> 01:09:55.580]   and perhaps build a domestic export industry,
[01:09:55.580 --> 01:09:56.500]   you know, for nuclear.
[01:09:56.500 --> 01:09:58.100]   Why do you do that?
[01:09:58.100 --> 01:10:00.100]   Because it builds the supply chains.
[01:10:00.100 --> 01:10:03.820]   It builds the resilience that benefits you domestically.
[01:10:03.820 --> 01:10:04.860]   - I'm a little skeptical.
[01:10:04.860 --> 01:10:09.660]   Like, I uncovered this document
[01:10:09.660 --> 01:10:14.020]   from the Idaho National Laboratory, I think it's called,
[01:10:14.020 --> 01:10:18.420]   which is a separate nuclear arm of the US government
[01:10:18.420 --> 01:10:20.220]   from the NRC.
[01:10:20.220 --> 01:10:24.060]   And they recommended 30 things to change about the NRC.
[01:10:24.060 --> 01:10:25.340]   And I'm sitting here thinking,
[01:10:25.340 --> 01:10:27.340]   "Wow, that's a lot of things you would change."
[01:10:27.340 --> 01:10:30.100]   And people can go find this document.
[01:10:30.100 --> 01:10:35.100]   But my guess is, even if Congress got behind this document
[01:10:35.100 --> 01:10:36.580]   and said, "You should change these things,"
[01:10:36.580 --> 01:10:38.980]   what would happen is, over five years,
[01:10:38.980 --> 01:10:40.940]   they'd change 20% of them.
[01:10:40.940 --> 01:10:42.460]   They wouldn't change all of them.
[01:10:42.460 --> 01:10:45.900]   And I don't think the impacts, we're at a 4X cost.
[01:10:45.900 --> 01:10:48.300]   I don't think you get there, you know?
[01:10:48.300 --> 01:10:51.060]   And so, you know, I mentioned this earlier,
[01:10:51.060 --> 01:10:54.500]   but Josh Shapiro, the Pennsylvania governor,
[01:10:54.500 --> 01:10:58.860]   who everyone praises because this bridge went down on I-95,
[01:10:58.860 --> 01:11:00.660]   and he got it back up in 12 days.
[01:11:00.660 --> 01:11:01.980]   - Yeah, how'd he do it?
[01:11:01.980 --> 01:11:06.820]   - He took all the regulation and lawsuits off the table.
[01:11:06.820 --> 01:11:10.020]   And so, we have to recognize that one of the reasons
[01:11:10.020 --> 01:11:11.420]   we can't build infrastructure
[01:11:11.420 --> 01:11:14.580]   in the California high-speed train thing is where it is,
[01:11:14.580 --> 01:11:19.580]   is because we've indoctrinated ourselves in red tape,
[01:11:19.580 --> 01:11:23.260]   both with regard to regulation and litigation.
[01:11:23.260 --> 01:11:25.740]   And if you want to go build
[01:11:25.740 --> 01:11:28.060]   this next generation level three plant,
[01:11:28.060 --> 01:11:30.180]   I think you've got to rewrite the regulation
[01:11:30.180 --> 01:11:34.860]   from zero ground up, like, make it thinner and tighter.
[01:11:34.860 --> 01:11:38.740]   And two, I think we've gotten to the point
[01:11:38.740 --> 01:11:40.380]   where we got to say, "This is so important,
[01:11:40.380 --> 01:11:42.260]   "you can't sue these people."
[01:11:42.260 --> 01:11:43.740]   Like, the government's doing this.
[01:11:43.740 --> 01:11:46.380]   - And that, to me, seems perhaps even more important, Bill,
[01:11:46.380 --> 01:11:50.140]   because in South Korea, their national regulation
[01:11:50.140 --> 01:11:53.180]   and the regulatory body that oversees it all
[01:11:53.180 --> 01:11:56.620]   is modeled on the U.S., okay?
[01:11:56.620 --> 01:11:59.300]   - So, that, to me, doesn't explain
[01:11:59.300 --> 01:12:01.540]   why we have this massive price differential,
[01:12:01.540 --> 01:12:04.380]   but I do think the litigation environment,
