
[00:00:00.000 --> 00:00:08.060]   They end up chanting in front of him, Viva la muerte. Long live death. They have their
[02:27:42.220 --> 02:27:48.140]   as a result. But I don't think that's the main, I think that's like a detail compared to the real
[02:27:48.140 --> 02:27:54.860]   thing. The real thing is that anti-Semitism is back. And there is a certain type of person who's
[02:27:54.860 --> 02:27:55.740]   loving it.
[02:27:55.740 --> 02:27:57.820]   Is it really back? So I watch a lot.
[02:27:57.820 --> 02:28:03.100]   Well, it never goes away. It's just that, it's just that it's, it's, it's, it's since the seventh,
[02:28:03.100 --> 02:28:07.660]   I think that it's had a great resurgence. And this isn't to say, and I'm just a steel man,
[02:28:07.660 --> 02:28:12.300]   that doesn't mean that any criticism of Israel is anti-Semitic. No, it doesn't.
[02:28:12.300 --> 02:28:20.380]   But as I have often said, if you don't ever express any interest in the murder of Muslims
[02:28:20.380 --> 02:28:29.420]   in Syria, not any interest in genocide in Sudan, killing of hundreds of thousands of people in Yemen,
[02:28:29.420 --> 02:28:33.500]   but on the 8th of October, you're on the street with a placard attacking Israel.
[02:28:33.500 --> 02:28:37.260]   I'm sorry, you're an anti-Semite, for sure. You may not know you are,
[02:28:37.260 --> 02:28:39.500]   but that's what's motivating you.
[02:28:39.500 --> 02:28:41.340]   It gets a lot of engagement.
[02:28:41.340 --> 02:28:42.300]   I watch it.
[02:28:42.300 --> 02:28:42.700]   It does.
[02:28:42.700 --> 02:28:43.500]   I watch it.
[02:28:43.500 --> 02:28:49.420]   But I mean, it's, it's one of several things you can always see get huge engagement. I mean,
[02:28:49.420 --> 02:28:53.900]   it's like, if you, if you say that there's like a massive pedophile ring run by prominent
[02:28:53.900 --> 02:28:59.820]   politicians, it might be total horse shit. It's likely to be total horse shit, but it'll
[02:28:59.820 --> 02:29:01.180]   also get a hell of a lot of engagement.
[02:29:01.900 --> 02:29:06.540]   Yeah. But that's still the, so the pedophile ring, like Epstein Island, that kind of stuff.
[02:29:06.540 --> 02:29:08.060]   Yeah. Which is very interesting.
[02:29:08.060 --> 02:29:12.460]   Yeah. And it's like, great. All right, cool. Let's, let's get behind that conspiracy.
[02:29:12.460 --> 02:29:20.700]   Uh, but the Jews thing, the hatred of Jews is still, that's the greatest hits still.
[02:29:20.700 --> 02:29:25.420]   It is. And I mean, you see it with, I mean, some of the people who've made minor celebrities of
[02:29:25.420 --> 02:29:33.500]   themselves with a sort of made up version of history with a smattering of this and a little
[02:29:33.500 --> 02:29:39.500]   bit of that. And then the just asking questions and, you know, I'm not saying, but, and all,
[02:29:39.500 --> 02:29:45.660]   there's certain, you know, rhetorical sites of hand that have, have helped this along. But as I said
[02:29:45.660 --> 02:29:52.060]   earlier, it's just a, the, the lowest grade explanation of a certain type of mind looking
[02:29:52.060 --> 02:29:59.500]   for a pattern and looking for meaning. And I mean, I can give you just one quick example of why that in
[02:29:59.500 --> 02:30:07.740]   the case of Israel is so extraordinary is the number of otherwise semi-intelligent people who will tell you
[02:30:08.620 --> 02:30:17.500]   that the problem is simply that the Israelis need to give the Palestinians another state
[02:30:17.500 --> 02:30:26.460]   and that if they do, it will solve the problems of the region and the wider world.
[02:30:26.460 --> 02:30:32.620]   And irrespective of the fact that the Palestinians have been given to several states,
[02:30:34.300 --> 02:30:47.260]   the claim that this particular land dispute would unlock every other injustice in the world should be
[02:30:47.260 --> 02:30:55.740]   seen on its face to be preposterous. There is no reason why if the Palestinians got another state,
[02:30:55.740 --> 02:31:04.060]   either in Gaza or in parts of Judea and Samaria, the West Bank, there is no reason why we should expect the
[02:31:04.460 --> 02:31:15.180]   economy of Yemen to boom. It would not inevitably lead to the mullahs in Tehran giving equal rights to women
[02:31:15.180 --> 02:31:25.340]   or anything else. It, it, it would solve the, the most likely thing is you simply have another failed
[02:31:25.340 --> 02:31:31.980]   Arab state run by a sort of proxy of Tehran. That's the best case scenario. And by the way, even lifelong
[02:31:31.980 --> 02:31:37.420]   defenders of the Palestinian cause, like Salman Rushdie, he said recently, he said, he said,
[02:31:37.420 --> 02:31:42.620]   I've always been a supporter of the Palestinian people and their cause, but it is an unavoidable fact
[02:31:42.620 --> 02:31:47.580]   that if another state was given to the Palestinians, it would simply be at best another front for the
[02:31:47.580 --> 02:31:55.740]   Iranian regime in Iran, the best. So why the passion about the, why the unbelievable wild passion about
[02:31:55.740 --> 02:32:04.140]   this? Why the, and, and I say some of it can be, should be argued out and so on. And some of it can
[02:32:04.140 --> 02:32:11.020]   be explained, but, but there's definitely a realm of it, a layer of it, which is simply at that level of
[02:32:11.820 --> 02:32:16.940]   this excites something within me. This excites something within me.
[02:32:16.940 --> 02:32:21.340]   Yeah. There's some, there's some, there's something compelling to people about hating Jews.
[02:32:21.340 --> 02:32:26.620]   Look at the, look at the prominence of, of, or, you know, semi-prominent people who are willing to play
[02:32:26.620 --> 02:32:33.260]   around with the idea that 9/11 was an inside job and somehow it's done by the Israelis or the Jews.
[02:32:33.260 --> 02:32:38.220]   I mean, I mean, look at the, like this, this shit is going around.
[02:32:38.220 --> 02:32:42.780]   I have to admit, you know, I'm, I, there's a part of my brain that's pulled towards conspiracies.
[02:32:42.780 --> 02:32:49.820]   There's something compelling and fun about a simple explanation for things, what's really going on
[02:32:49.820 --> 02:32:55.100]   behind the scenes. Because the real world, when you don't look at the conspiracies, first of all,
[02:32:55.100 --> 02:32:58.620]   it's complicated. And second of all, it's kind of boring. It's a bunch of incompetent people.
[02:32:58.620 --> 02:33:02.140]   Usually opening up Pandora's boxes. They don't understand.
[02:33:02.140 --> 02:33:09.580]   Yeah. It's pushing buffoons. And I've been, uh, I mean, I've, I've, uh, walked around and hung
[02:33:09.580 --> 02:33:14.140]   around with a lot of powerful and rich people. And like, the thing I learned is they're just human
[02:33:14.140 --> 02:33:23.500]   beings. There's not, I'm yet to be in a room where exceptionally brilliant psychopaths are plotting.
[02:33:25.980 --> 02:33:27.340]   You never got that invite?
[02:33:27.340 --> 02:33:32.300]   No. In fact, like a lot of people in the positions of power, they're just not good.
[02:33:32.300 --> 02:33:37.660]   I mean, I'm just continuously disappointed that they're not ultra, I love competence.
[02:33:37.660 --> 02:33:45.820]   The places where I've seen competence, inklings of it is in a low level, like soldiers, like low level,
[02:33:45.820 --> 02:33:50.220]   uh, what do you call that? People that do stuff with their hands. So, uh, builders of different
[02:33:50.220 --> 02:33:53.420]   kinds, like engineering, like craftsmen, like I've seen.
[02:33:53.420 --> 02:33:55.920]   Yes. Because you've got, because you've got a very specific,
[02:33:55.920 --> 02:34:01.120]   task that could be highly complicated, but you get to apply yourself to, and to solve.
[02:34:01.120 --> 02:34:06.080]   Yeah. Over years, you've mastered it. It's passed across generations and so on,
[02:34:06.080 --> 02:34:09.440]   but like States craft and like that, that kind of stuff.
[02:34:09.440 --> 02:34:14.000]   Well, it's because there's so many variables. I mean, this is, this is one of the reasons when
[02:34:14.000 --> 02:34:20.160]   you were trying to lure me on to prognostications on Ukraine. And I was saying, I just, I've seen enough
[02:34:20.160 --> 02:34:24.320]   to know that I just don't know because I know the amount of things that can change all the time.
[02:34:24.320 --> 02:34:33.520]   I was, some years ago, I was talking to a former public servant in the UK when, um, uh, uh, Boris
[02:34:33.520 --> 02:34:38.880]   Johnson was prime minister and COVID started. And I mentioned to this friend, I said, well, you know,
[02:34:38.880 --> 02:34:44.800]   it's, it's, it's pretty bad luck for Boris that, you know, he came in to do one thing,
[02:34:44.800 --> 02:34:51.760]   which was Brexit. And then there's a global pandemic from Wuhan, you know, and he's got to like mug up on
[02:34:51.760 --> 02:34:58.000]   that and then gets it really wrong. But anyway, and I was really struck by the fact that this man,
[02:34:58.000 --> 02:35:04.240]   a matter of great insider happened to disagree politically, but said to me, but Douglas is always
[02:35:04.240 --> 02:35:13.520]   like this. And he said, you know, I mean, look at Tony Blair came into power in 1997, wanting to reform
[02:35:13.520 --> 02:35:22.640]   education in the UK, ends up trying to remake the Middle East. And I, I do. I mean, as I say,
[02:35:22.640 --> 02:35:29.040]   one of the reasons why I am scornful of conspiracy theorists and most conspiracy theories, not to say
[02:35:29.040 --> 02:35:32.960]   that there aren't some that do actually turn out to be, you know, to have something in them.
[02:35:32.960 --> 02:35:37.040]   And that happens. A lot of things are called conspiracy theories that turn out to be true.
[02:35:37.040 --> 02:35:46.880]   Lab league. Um, but, but in general, the, the suspicion and the scorn I have for people who fall
[02:35:46.880 --> 02:35:52.560]   into this is, as I say, it's a very low grade, low resolution. Look at the world where people
[02:35:52.560 --> 02:36:02.880]   clearly have never seen the wildness of actions in the world and the way that they reverberate and
[02:36:02.880 --> 02:36:10.400]   the number of events. I mean, I once spoke some years ago to a politician who literally said to me,
[02:36:10.400 --> 02:36:17.760]   I won't name the country, but said to me, can you help us out with, with just how to cope on the,
[02:36:17.760 --> 02:36:25.040]   about with the date and understand the day to day struggle we're having with the cycle?
[02:36:25.040 --> 02:36:28.080]   And I said, well, right, what are you talking about? And they said,
[02:36:28.080 --> 02:36:35.520]   our experience in government is that every day, something comes up, which we have to firefight.
[02:36:35.520 --> 02:36:41.600]   And that's what we do that day. And then the next day, something else comes up, which we have to
[02:36:41.600 --> 02:36:49.760]   firefight. And we, we're not getting our policies done. And I, and I just thought for me, that rings
[02:36:49.760 --> 02:36:58.400]   an awful lot truer than that. That country gets the odd phone call from a member of a Jewish family
[02:36:58.400 --> 02:37:03.200]   telling them, yeah, I just, you know, it's like, come on.
[02:37:05.120 --> 02:37:10.240]   So, you know, that's, I do, before I forget, when I ask you about Iran, what role do they play in
[02:37:10.240 --> 02:37:20.960]   this conflict? It's such a, it's fascinating how it seems like Iran is, uh, fingerprints are everywhere
[02:37:20.960 --> 02:37:28.320]   in the Middle East. And it's also fascinating that, you know, I have a lot of friends, my best friend is
[02:37:28.320 --> 02:37:33.520]   Iranian. It's fascinating that the Islamic revolution in Iran took the country from the leadership
[02:37:33.520 --> 02:37:41.520]   perspective backwards in such a drastic way. And that they're still in power. That confuses me
[02:37:41.520 --> 02:37:47.600]   because I know that now it's possible. I don't know the people of Iran. Sorry to make the obvious
[02:37:47.600 --> 02:37:54.800]   statement, but I just have a lot of friends in Iran and a lot of them, everybody I know there opposes
[02:37:55.600 --> 02:38:06.640]   the regime. And they're brilliant, educated, thoughtful, worldly people. And it confuses me that there's this,
[02:38:06.640 --> 02:38:12.000]   this is one of the, I would say, uh, one of the greatest nations on earth.
[02:38:12.000 --> 02:38:16.560]   It's certainly one of the great cultures of the cultures, the peoples of Iran.
[02:38:16.560 --> 02:38:19.280]   Yeah. And then you look at that and then you look at the leadership
[02:38:20.480 --> 02:38:26.080]   when they're behind most of the terror groups in the region, certainly. Yeah.
[02:38:26.080 --> 02:38:32.800]   Can you just speak to that? And how is it still the same regime since 1979?
[02:38:32.800 --> 02:38:37.680]   I know, as you know, I start on democracy and death cults with the, the flight taking the Ayatollah
[02:38:37.680 --> 02:38:41.680]   Khomeini, Khomeini rather, uh, from Paris to Tehran.
[02:38:41.680 --> 02:38:47.600]   The flight that you say you wish never happened. I think it's one of the two worst journeys of the
[02:38:47.600 --> 02:38:53.280]   20th century. What's the other one? Was it Lenin's train getting to Petrograd?
[02:38:53.280 --> 02:38:54.320]   Oh, yeah.
[02:38:54.320 --> 02:38:57.280]   Oh, it's about the transportation.
[02:38:57.280 --> 02:39:04.720]   It's about, yes, I know. I'm really a transport guy. No, I, um, wait till my book of 10 best journeys.
[02:39:04.720 --> 02:39:06.880]   Yeah. Across the world.
[02:39:06.880 --> 02:39:15.200]   No, um, just as the train to the Finland station brought the basilis of Bolshevism into Russia.
[02:39:15.200 --> 02:39:23.920]   So the flight coming from Paris, bringing the Ayatollah Khomeini to Tehran brought the basilis of
[02:39:23.920 --> 02:39:33.600]   Khomeiniism, the most radical form of Shiite Islam to Tehran and to Iran. And it's one of the great
[02:39:33.600 --> 02:39:41.840]   tragedies of the modern era, what happened there. Like you, actually, I have a lot of Persian friends
[02:39:41.840 --> 02:39:48.560]   and I had the great good fortune early in my life to have a very close late friend who had grown up in
[02:39:48.560 --> 02:39:55.040]   pre-revolutionary Iran, was very fond of the Shah and, and, and so on. Her father had been an Ayatollah
[02:39:55.040 --> 02:40:02.720]   before the, the overthrow of the Shah. But, and you know, everyone had criticisms of him, but, um,
[02:40:02.720 --> 02:40:09.680]   when you saw what came after him, it just, uh, it was among other things, uh, what I learned from her
[02:40:09.680 --> 02:40:16.400]   and other friends from that region was that I suppose two things. One is, of course, is that
[02:40:17.440 --> 02:40:22.080]   it's a sort of central conservative insight. You know, things can always be worse. They can always
[02:40:22.080 --> 02:40:31.120]   be worse. Never say this is rock bottom because, yeah, you know, like you might have a Shah with
[02:40:31.120 --> 02:40:38.480]   hundreds or even thousands of political prisoners in cells, but you could always have Ayatollah Khomeini
[02:40:38.480 --> 02:40:44.720]   butchering them all. And, um, including the people who helped him get to power, like the communists and
[02:40:44.720 --> 02:40:49.600]   the trade unionists who, who simply were fighting against the Shah and then were very useful for the
[02:40:49.600 --> 02:40:55.760]   Ayatollah until he didn't need them anymore. Um, but the other thing I learned from that particular
[02:40:55.760 --> 02:41:04.320]   friend and, and others was that was this, this thing that, and again, it's very hard for the Western
[02:41:04.320 --> 02:41:08.720]   mindset, very hard for the American mindset in particular, that there is such a thing as
[02:41:08.720 --> 02:41:14.160]   fanaticism, real fanaticism and real ideological and real religious fanaticism. And the thing that
[02:41:14.160 --> 02:41:20.640]   I described leads to the death cult mindset. That fanaticism is something which is very easy for the
[02:41:20.640 --> 02:41:28.400]   West to forget because we haven't seen it in a while. You know, we get very, um, distant echoes of
[02:41:28.400 --> 02:41:35.280]   it in our own societies, really. And we're highly attuned to hear them, which is good in some ways.
[02:41:35.280 --> 02:41:49.360]   Um, but Khomeiniism not only vastly set back the Persian people, the Iranian nation, but has managed
[02:41:49.360 --> 02:41:56.000]   to keep it in subjugation since 1979. And your question of why gets to one of the really
[02:41:58.000 --> 02:42:04.080]   the biggest questions really that, that has to be understood, the answer to which has to be understood,
[02:42:04.080 --> 02:42:10.160]   which is, it's what Solzhenitsyn says at one point in Gulag Archipelago in that passage where
[02:42:10.160 --> 02:42:17.920]   he describes when we heard the footsteps on the staircase and the knock was on our neighbor's door
[02:42:17.920 --> 02:42:25.600]   and we knew our neighbor was being taken away. Why did we not stop them?
[02:42:25.600 --> 02:42:39.040]   And in the case of the revolutionary government in Iran, you know, it's the same answer as whether
[02:42:39.040 --> 02:42:43.520]   it's Hamas governing Gaza with the people, whoever the people in Gaza are who would have liked to have
[02:42:43.520 --> 02:42:47.520]   seen them overthrown. You know,
[02:42:47.520 --> 02:42:57.760]   people don't realize that despite the rhetoric and everything else, everything changes if the other
[02:42:57.760 --> 02:43:08.080]   guy might kill you. And that, you know, when the green revolution in 2009 started in Iran,
[02:43:10.000 --> 02:43:17.360]   why was it put down? Why didn't it work? Why, like you, the sort of Iranians who I
[02:43:17.360 --> 02:43:23.200]   really hope one day get their country back, why did all these smart young students and others,
[02:43:23.200 --> 02:43:28.880]   why after they came out, why was it put down? It was put down because the Bastyej militia
[02:43:28.880 --> 02:43:36.000]   will shoot you in the head and they'll take you to a prison, as they did with the Iranian students,
[02:43:36.000 --> 02:43:45.120]   and they'll rape you with bottles and kill you. And even a little bit of that goes an awfully long way
[02:43:45.120 --> 02:43:52.400]   to tell the rest of society not to do it again. You know, we know it happens like that from films,
[02:43:53.760 --> 02:44:02.880]   but too few people understand that regimes like that in Tehran operate like that on a grand scale,
[02:44:02.880 --> 02:44:09.760]   on the biggest of scales, and with the ultimate of brutality. And that's how they stay in power.
[02:44:09.760 --> 02:44:16.320]   And one other thing on that, by the way, which is, I was reminded of this the other day, but you know,
[02:44:17.280 --> 02:44:22.400]   thinking about this sort of, you know, what I've just described as a sort of a problem in democracies,
[02:44:22.400 --> 02:44:26.160]   is that we just, you know, we like to think everyone thinks like us, and you know, we'd like
[02:44:26.160 --> 02:44:31.600]   everyone to sort of be like us. And we, we believe fictions that we're taught in films like, you know,
[02:44:31.600 --> 02:44:38.640]   everyone basically wants the same things as us. And you go, you haven't stepped outside the walls of the
[02:44:38.640 --> 02:44:47.120]   city, if you think that. But the second thing is this thing of the death cults of why, why we sort
[02:44:47.120 --> 02:44:57.920]   of sing, singly fail to understand that this is possible. And Homanism is both very specific
[02:44:57.920 --> 02:45:05.280]   and also very strongly linked to totalitarian and radical and extremist death cult movements that are
[02:45:05.280 --> 02:45:12.720]   not that far in our past. I mean, you know, there's a moment in, uh, um,
[02:45:12.720 --> 02:45:19.920]   when Oriana Falaci interviewed the idol of Khomeini in 1979, one of the very few Western journalists to do
[02:45:19.920 --> 02:45:27.120]   so. She says to him, these people in the street, this movement, this revolution you've begun,
[02:45:28.320 --> 02:45:37.840]   it's guided by hate. It's hate. It's all hate. And Khomeini says, no, no, it's love. It's love.
[02:45:37.840 --> 02:45:47.040]   And, and it's actually a scene that, that, that appears in the satanic verses of Rushdie where that
[02:45:47.040 --> 02:45:50.720]   exact same thing happens. But I was thinking about this recently because I was thinking, but
[02:45:50.720 --> 02:45:56.560]   how can you explain to a Western mindset that that's, that's something that's going on. There
[02:45:56.560 --> 02:46:05.680]   are people directed by this hate that calls itself love, this, this. And I was reminded of a book I
[02:46:05.680 --> 02:46:10.880]   haven't read since I was probably a teenager or something. It made a great impression on me then.
[02:46:10.880 --> 02:46:18.400]   Did you ever read the tragic sense of life? Uh, Miguel de Unamuno, a great Spanish existentialist
[02:46:18.400 --> 02:46:24.400]   philosopher who died in the thirties. Unamuno had a encounter with students at the university in
[02:46:24.400 --> 02:46:28.480]   the thirties when he realized, I mean, this is the, the, the early period of the Francoists,
[02:46:28.480 --> 02:46:34.880]   de Rivera and all those people. Unamuno is at this meeting and the chant goes up
[02:46:35.760 --> 02:46:41.600]   from the eager students who have fallen into this sort of phalangist,
[02:46:41.600 --> 02:46:50.080]   Francoist ideology already. They end up chanting in front of him as he's trying to defend the principles
[02:46:50.080 --> 02:46:58.560]   by which he has lived his life. They end up chanting in front of him, "Viva la muerte, long live death,
[02:47:00.080 --> 02:47:07.840]   long live death." And he tries to explain them, this is, this is a necrophilic chant.
[02:47:07.840 --> 02:47:18.480]   Yeah, but those young men in free Francoist Spain shouting long live death, they have their counterparts
[02:47:18.480 --> 02:47:27.200]   today. They are the people who, who taunt Americans, Westerners, Israelis, and others with lines like,
[02:47:28.560 --> 02:47:34.160]   we love death more than you love life. Yeah, that's the line you return to. That's a
[02:47:34.160 --> 02:47:42.080]   really difficult line to load in. Because if you base your whole existence on that notion,
[02:47:42.080 --> 02:47:47.840]   then, um, well, you're a danger to the world.
[02:47:50.480 --> 02:47:58.000]   That's a good foundation for committing evil. Um, I have to ask because you mentioned that interview,
[02:47:58.000 --> 02:48:07.280]   you had a good interview with Benjamin Netanyahu after October 7th. And I've been very fortunate to
[02:48:07.280 --> 02:48:13.200]   get the opportunity to interview a few world leaders. It looks like I'll interview Vladimir Putin and others.
[02:48:13.200 --> 02:48:18.240]   I want to have a general question about how do you interview people like this?
[02:48:18.240 --> 02:48:26.080]   Maybe to put your historian hat on, of like, how do you approach the interview of world leaders
[02:48:26.080 --> 02:48:35.040]   such that you can gain a deeper understanding in the hope that that adds to the compassion in the world.
[02:48:35.600 --> 02:48:46.160]   So I have, I have a deep sense that understanding people you might hate helps in the long arc of history, add compassion to the world.
[02:48:47.200 --> 02:48:51.840]   But even just to add understanding is difficult in those kinds of contexts.
[02:48:51.840 --> 02:48:59.360]   And, you know, maybe it's more useful to think about from a historian perspective of how you
[02:48:59.360 --> 02:49:09.120]   need to interview somebody like Hitler or Stalin or Churchill, FDR during World War II.
[02:49:09.120 --> 02:49:16.720]   It's not, you know, I think about this a lot, especially if it's, uh, you know,
[02:49:17.200 --> 02:49:19.120]   two, three, four, five hour conversation.
[02:49:19.120 --> 02:49:24.240]   Well, there's a lot of, uh, weight on you when you do those conversations, isn't there?
[02:49:24.240 --> 02:49:29.520]   From where? So like where, who's watching? Is it historians 20 years from then?
[02:49:29.520 --> 02:49:39.600]   Who knows? I mean, the whole data might be wiped. I, I, I suspect there's a weight on you because every
[02:49:39.600 --> 02:49:46.320]   major world leader you interview and you've done some amazing ones, but I mean, you, you, presumably
[02:49:46.320 --> 02:49:53.200]   you have a set of people saying you've got to ask him about this. You've, you, you can't not address
[02:49:53.200 --> 02:49:59.520]   this. And, and that's a very challenging one because of course, although in an interview with
[02:49:59.520 --> 02:50:08.960]   a politician, it should not, it should not be supine nor can it be endlessly interrogative
[02:50:09.680 --> 02:50:16.000]   because that you're not the prosecutor and they don't have to be the guilty party answering to
[02:50:16.000 --> 02:50:22.320]   you. And I've noticed the number of people who interview people, world leaders and others who
[02:50:22.320 --> 02:50:28.880]   go in with a set of sort of those things. And they, and, and at some point, the other party can just,
[02:50:28.880 --> 02:50:34.640]   just, I don't need this. And people criticizing you, we don't realize that you just can't do that.
[02:50:34.640 --> 02:50:40.400]   Yeah. I suppose what journalists behave the way they do. Although I have increasingly less and less
[02:50:40.400 --> 02:50:46.640]   respect for the journalists, uh, the average journalist, I have more and more respect for
[02:50:46.640 --> 02:50:52.400]   the great journalists as my respect for the average journalist decreases. Uh, because a lot of the
[02:50:52.400 --> 02:51:00.400]   journalists seem to be signaling to their own in, in group, but there is a lot of pressure on, uh,
[02:51:01.280 --> 02:51:06.000]   people in that situation to ask the, what I would say is the dumb question. Why is it the dumb question?
[02:51:06.000 --> 02:51:16.160]   Uh, the adversarial question that the, the world leader, the person is ready for, they've answered
[02:51:16.160 --> 02:51:23.680]   that question. And what you're trying to do is, I guess, one, to signal that you've asked the question
[02:51:23.680 --> 02:51:31.200]   to push them. Yes. Uh, two, you're trying to like, just create drama because really what people,
[02:51:31.200 --> 02:51:37.040]   people that ask you to ask that question, they want you to embarrass that person, they hate them.
[02:51:37.040 --> 02:51:43.200]   And they want you to like, make them piss their pants or something, or just start crying and run
[02:51:43.200 --> 02:51:49.040]   out. Yeah. Walk out in a way that it's embarrassing for them. They could be like, look at that pathetic
[02:51:49.040 --> 02:52:00.160]   person. Uh, and that reveals to me nothing except maybe the weakness of the interviewee that they can't
[02:52:00.160 --> 02:52:06.720]   stand up to a tough question. Yes. But mostly like I'm, I'm starting, I have to do a lot of thinking
[02:52:06.720 --> 02:52:13.760]   because you get attacked a lot. If you ask questions from a place of curiosity that actually
[02:52:13.760 --> 02:52:19.600]   have a chance to reveal who the person is. There, there's a very interesting mind that Robin Day,
[02:52:19.600 --> 02:52:22.400]   who was quite a distinguished interviewer back to a very distinguished interviewer back in the day,
[02:52:23.120 --> 02:52:29.280]   uh, said about Jeremy Paxman, who was a very interrogative interviewer in the UK, uh, Robin Day,
[02:52:29.280 --> 02:52:34.880]   who was quite good at being rude to politicians, but carefully said the problem with the new approach
[02:52:34.880 --> 02:52:38.400]   as he saw it from the nineties of political interviewing was he said, if you think the
[02:52:38.400 --> 02:52:44.640]   person you're speaking to as a liar, you should get them to reveal that they're a liar. Don't just call
[02:52:44.640 --> 02:52:51.200]   them a liar. And I think that is, again, it's something that a lot of people sitting on the
[02:52:51.200 --> 02:53:00.560]   other side of the screen don't realize is that it may satisfy them that you call a person a liar to
[02:53:00.560 --> 02:53:07.600]   their face, but it doesn't do anything. And it actually reveals nothing. If somebody is a liar
[02:53:07.600 --> 02:53:12.160]   and they reveal themselves to be a liar, then that's, that's something else. But yes, I mean,
[02:53:12.160 --> 02:53:19.040]   I can, I hear you. You're, you're obviously, you have a lot of different voices telling you what to do.
[02:53:19.040 --> 02:53:25.760]   It's also difficult because one of the things that I don't think anyone really understands is that,
[02:53:25.760 --> 02:53:31.120]   is that in the end, it's just you. Yeah. I'm sure they, you have this about Putin.
[02:53:31.120 --> 02:53:36.560]   Like people say, I know exactly how you can, you know, they could give endless advice.
[02:53:36.560 --> 02:53:44.240]   The end is you sitting down and talking to him. It's, it's like, everybody knows how to behave on
[02:53:44.240 --> 02:53:49.440]   the presidential debate stage, but only a few people have done it in person. It's actually pretty
[02:53:49.440 --> 02:53:53.760]   difficult as I mean, it's very difficult because you've got all this weird behind the scenes stuff
[02:53:53.760 --> 02:53:58.400]   as well. You've got all of the games that people play. I mean, yeah, with, uh, you know,
[02:53:58.400 --> 02:54:04.560]   I interviewed Zelensky, you know, I'm pretty fearless in general. And he was a very human and
[02:54:04.560 --> 02:54:08.640]   fascinating human, but there is soldiers with guns standing all around.
[02:54:08.640 --> 02:54:13.360]   And you didn't have anyone? No one was packing on your side?
[02:54:13.360 --> 02:54:18.640]   I had one friend, a security person who was also crazy. You never know. He could turn on.
[02:54:18.640 --> 02:54:21.200]   You've been infiltrated.
[02:54:21.200 --> 02:54:24.720]   Yeah, exactly. No, I mean, uh, that doesn't have any effect. And by the way,
[02:54:24.720 --> 02:54:31.040]   I should mention that, uh, because it's, it's hilarious to me, but, um, process wise.
[02:54:31.040 --> 02:54:38.240]   No, with Narendra Modi and with anyone, they don't, they said it was scripted and all this
[02:54:38.240 --> 02:54:43.840]   kind of stuff. I would never do anything scripted. They don't get to have a say in anything.
[02:54:43.840 --> 02:54:50.720]   I asked to have complete freedom. Uh, sometimes you'll have people on the team very politely nudge,
[02:54:50.720 --> 02:54:57.280]   like, Hey, can you, uh, and I'll very politely say, thank you. You know, like smile, but that
[02:54:57.280 --> 02:55:02.720]   doesn't mean I have to fucking do it. I could do whatever the hell I want. The com, this actually,
[02:55:02.720 --> 02:55:07.520]   by the way, with world leaders, it doesn't happen. It happens more with CEOs because they have like,
[02:55:07.520 --> 02:55:15.040]   usually PR and comms people. They'll just be like very politely. Hey, you know, the thing about,
[02:55:15.040 --> 02:55:22.480]   about, you know, when they, that sexual assault, harassment charges, there's no reason to really
[02:55:22.480 --> 02:55:28.080]   linger on that. You don't have to do that. Yeah. One of my favorite things anyone has ever said,
[02:55:28.080 --> 02:55:32.800]   you know, it's only ever happening. I know a couple of cases of this happening in private,
[02:55:32.800 --> 02:55:39.600]   some friends, some, uh, a friend of mine once years ago was debating against the, this is before the
[02:55:39.600 --> 02:55:44.320]   war, the civil war in Syria was debating something to do with the middle East. And one of the people
[02:55:44.320 --> 02:55:49.600]   on the other side was the then Syrian ambassador in London. The then Syrian ambassador in London says
[02:55:49.600 --> 02:55:54.800]   something about the Israeli treatment of the Palestinians. And, uh, my friend stands up and starts
[02:55:54.800 --> 02:56:00.240]   talking about a sad seniors massacre of the Palestinians in hammer, where they killed like
[02:56:00.240 --> 02:56:05.680]   10,000 Palestinians in a day. Um, and my friend starts talking about the hammer massacre by, uh,
[02:56:05.680 --> 02:56:13.600]   a sad senior and the, the big fat Syrian ambassador like stands up to respond. And he says, that is,
[02:56:13.600 --> 02:56:20.640]   that is none of your business. And my friend was like, oh, I thought we were going to get it in denial.
[02:56:20.640 --> 02:56:27.200]   Uh, let me just ask you one more thing about Netanyahu. Um, because I also have the opportunity
[02:56:27.200 --> 02:56:34.800]   to do a three hour interview with him at this stage. And I've been, if I'm just being honest,
[02:56:34.800 --> 02:56:46.640]   very hesitant to do it. And I just don't know how a conversation there could, um, help add compassion
[02:56:46.640 --> 02:56:53.520]   to the world. And that particular topic, no matter how well you do it, you do take on a very large
[02:56:53.520 --> 02:57:03.200]   number of people that will just make it their daily activity to hate you and to write about it and to
[02:57:03.200 --> 02:57:09.280]   post about it and to accuse you of things. In some sense, I don't want to lose the part of me that's,
[02:57:09.280 --> 02:57:11.360]   that's vulnerable to the world.
[02:57:11.360 --> 02:57:16.560]   I think people have very little understanding of things. If they're willing to say that because
[02:57:16.560 --> 02:57:24.400]   you're sitting down and talking with somebody, you are ego platforming them, uh, um, advancing
[02:57:24.400 --> 02:57:30.080]   their cause, being used, being a shill or whatever like that, you might be actually just finding some
[02:57:30.080 --> 02:57:36.240]   things out, which I think something you do expertly. And another thing that your critics wouldn't realize
