
[00:00:00.000 --> 00:00:02.120]   of Intermediate Biblical Counseling.
[01:07:42.580 --> 01:07:44.780]   is rejoicing the Lord always.
[01:07:44.780 --> 01:07:46.420]   And again, I say rejoice.
[01:07:46.420 --> 01:07:47.380]   And if you don't do that,
[01:07:47.380 --> 01:07:49.740]   then you're on disobedience to the word of God
[01:07:49.740 --> 01:07:51.420]   and so you need to repent.
[01:07:51.420 --> 01:07:54.660]   Well, that's a very simplistic approach
[01:07:54.660 --> 01:07:56.140]   to that person's emotions.
[01:07:56.140 --> 01:07:57.700]   I believe we have more to say
[01:07:57.700 --> 01:08:03.580]   to capture the full teaching of the Bible on this subject.
[01:08:03.580 --> 01:08:09.260]   Number five, study the heart.
[01:08:09.260 --> 01:08:13.020]   Emotions are tied to the intellect, will and desire.
[01:08:13.020 --> 01:08:14.060]   As biblical counselors,
[01:08:14.060 --> 01:08:19.060]   we wanna become versed in how the Bible describes
[01:08:19.060 --> 01:08:21.220]   the dynamics of the heart.
[01:08:21.220 --> 01:08:24.180]   Ultimately, emotions are tied to a life of worship.
[01:08:24.180 --> 01:08:27.540]   And so become wise in seeing how emotions
[01:08:27.540 --> 01:08:29.540]   are tied to the issues of the heart.
[01:08:29.540 --> 01:08:34.540]   And then lastly, rejoice that when we are glorified,
[01:08:34.540 --> 01:08:37.140]   we will experience perfect emotions
[01:08:37.140 --> 01:08:39.580]   which are in line with the will of God.
[01:08:39.580 --> 01:08:42.060]   I'm so glad, dear friends,
[01:08:42.060 --> 01:08:44.140]   that what happens in our glorification
[01:08:44.140 --> 01:08:46.820]   when we go to heaven and we see Christ
[01:08:46.820 --> 01:08:49.220]   and we worship the lamb forever and ever
[01:08:49.220 --> 01:08:51.540]   is that God does not take us
[01:08:51.540 --> 01:08:56.020]   and he makes us into perfect Stoics
[01:08:56.020 --> 01:09:00.420]   who with Vulcan-like logic
[01:09:00.420 --> 01:09:04.820]   think with perfect rationality
[01:09:04.820 --> 01:09:08.380]   but feel nothing in heaven.
[01:09:08.380 --> 01:09:11.300]   I'm just so glad that that's not what the Bible says
[01:09:11.300 --> 01:09:12.260]   about heaven,
[01:09:12.260 --> 01:09:18.740]   but that we will have the image of God fully restored in us
[01:09:18.740 --> 01:09:23.220]   as we are perfectly made to be like Christ.
[01:09:23.220 --> 01:09:27.500]   And therefore we will experience perfect emotions
[01:09:27.500 --> 01:09:31.020]   that are holy and righteous
[01:09:31.020 --> 01:09:34.860]   and that respond with perfect clarity
[01:09:34.860 --> 01:09:38.540]   and the right intensity to those things
[01:09:38.540 --> 01:09:42.900]   which are most glorious and most perfect.
[01:09:42.900 --> 01:09:49.500]   This is the glorious hope that we have as believers.
[01:09:49.500 --> 01:09:54.420]   And so I just commend this study to you.
[01:09:54.420 --> 01:09:58.580]   I pray that this teaching will just be the beginning
[01:09:58.580 --> 01:10:03.060]   of a lifetime of learning on this subject.
[01:10:03.060 --> 01:10:07.820]   I pray that you and I will become wise in this area.
[01:10:08.660 --> 01:10:12.460]   Both understanding how to handle our own emotions
[01:10:12.460 --> 01:10:17.460]   and then learning to minister to others
[01:10:17.460 --> 01:10:20.860]   who are experiencing the emotions of life.
[01:10:20.860 --> 01:10:24.180]   And we pray that God will give you a wonderful
[01:10:24.180 --> 01:10:27.500]   and rich ministry as you apply these teachings
[01:10:27.500 --> 01:10:30.380]   to your relationships in the body of Christ.
[01:10:30.380 --> 01:10:33.060]   Thank you so much for joining us tonight.
[01:10:33.060 --> 01:10:35.620]   It's been a joy to walk through this subject with you.
[01:10:35.620 --> 01:10:40.500]   Please do avail yourself of those resources.
[01:10:40.500 --> 01:10:42.420]   Sam Williams' work.
[01:10:42.420 --> 01:10:45.740]   Do take a look at the work that my wife,
[01:10:45.740 --> 01:10:48.140]   my dear wife wrote on the subject of emotions.
[01:10:48.140 --> 01:10:52.620]   I think she has done a good job of summarizing
[01:10:52.620 --> 01:10:56.180]   much of this teaching in a clear way.
[01:10:56.180 --> 01:11:00.820]   And may God bless the study of your word this week.
[01:11:00.820 --> 01:11:03.340]   I do have, I wanna make an announcement
[01:11:03.340 --> 01:11:06.580]   about just the class scheduling.
[01:11:06.580 --> 01:11:10.220]   My wife and I will be on vacation for a week.
[01:11:10.220 --> 01:11:14.100]   We're just gonna enjoy some time together.
[01:11:14.100 --> 01:11:17.620]   And so fortunately for us,
[01:11:17.620 --> 01:11:20.380]   and then maybe unfortunately for this class,
[01:11:20.380 --> 01:11:23.340]   our vacation's gonna start on Sunday and then end on Sunday.
[01:11:23.340 --> 01:11:26.660]   So I will be unavailable to teach this class
[01:11:26.660 --> 01:11:28.180]   for the next two Sundays.
[01:11:28.180 --> 01:11:29.820]   So what we're gonna do is we're gonna take
[01:11:29.820 --> 01:11:33.820]   the next two Sundays off from a meeting together
[01:11:33.820 --> 01:11:35.100]   in this class.
[01:11:35.100 --> 01:11:40.100]   And we are gonna resume class on the first Sunday of March.
[01:11:40.100 --> 01:11:41.940]   So that's March 7th.
[01:11:41.940 --> 01:11:44.420]   That'll give you two weeks to get caught up.
[01:11:44.420 --> 01:11:48.700]   If you're a little bit behind or writing the essays,
[01:11:48.700 --> 01:11:51.300]   we hope to get you caught up by March 7th
[01:11:51.300 --> 01:11:52.700]   on essay number three.
[01:11:52.700 --> 01:11:55.300]   And we'll give you some time to reflect and study,
[01:11:55.300 --> 01:11:57.900]   especially on the subject of emotions.
[01:11:57.900 --> 01:12:01.180]   And then we will resume class on March 7th,
[01:12:01.180 --> 01:12:04.300]   same time at five o'clock p.m.
[01:12:04.300 --> 01:12:06.860]   And we do look forward to that time.
[01:12:06.860 --> 01:12:08.900]   So thank you so much for joining us tonight.
[01:12:08.900 --> 01:12:10.980]   Let me close this in a word of prayer.
[01:12:10.980 --> 01:12:12.700]   Father, thank you for the study.
[01:12:12.700 --> 01:12:18.820]   Bless it to our lives and help us to learn and to grow wise
[01:12:18.820 --> 01:12:22.380]   in light of the truths we've looked at tonight.
[01:12:22.380 --> 01:12:24.100]   Bless all my brothers and sisters here
[01:12:24.100 --> 01:12:27.340]   and gather us back together on March 7th
[01:12:27.340 --> 01:12:29.460]   as we continue to study your word.
[01:12:29.460 --> 01:12:32.460]   And we pray all this in Jesus name, amen.

