
[00:00:00.000 --> 00:00:01.000]   Guys, my dog.
[01:03:48.020 --> 01:03:54.580]   their capital into that investment. Generally, I would say go for it. The problem is we've socialized,
[01:03:54.580 --> 01:04:01.540]   you know, protection, right? So and this is the same with healthcare. In a model for governing
[01:04:01.540 --> 01:04:06.340]   or model for a state where you provide socialized care for people through healthcare, socialized
[01:04:06.340 --> 01:04:11.940]   healthcare, or you provide socialized support for people through the Social Security system and
[01:04:11.940 --> 01:04:12.500]   other services like that.
[01:04:12.500 --> 01:04:17.860]   It's difficult to say, okay, the government's going to be your backstop, and it's going to
[01:04:17.860 --> 01:04:23.300]   provide the support for you. And we're also going to let you take risky behavior. And that's where I
[01:04:23.300 --> 01:04:27.540]   think the two have to go hand in hand. If you want to get rid of one, you got to get rid of the other.
[01:04:27.540 --> 01:04:32.660]   And so because otherwise, we all end up paying the cost of the person that takes the you know,
[01:04:32.660 --> 01:04:37.380]   outsized risk. And then we all end up having to foot the bill for that person taking that risk. So
[01:04:37.380 --> 01:04:40.740]   if we're all going to be there to protect that person, we have to tell them you can't take
[01:04:40.740 --> 01:04:41.540]   unnecessary risks.
[01:04:41.540 --> 01:04:41.940]   Okay.
[01:04:42.340 --> 01:04:50.980]   Okay, hey, Sax, let me ask you a conspiracy theory here. Peter Thiel supported Trump when
[01:04:50.980 --> 01:04:58.660]   Trump was teetering on the Access Hollywood tape, and he went to bat for him, he gave him a big
[01:04:58.660 --> 01:05:03.460]   donation at that time, then obviously did the Republican National Convention, and was a key
[01:05:03.460 --> 01:05:11.380]   intellectual influencer in his election plan. Now the Democrats are in and suddenly the focus,
[01:05:11.380 --> 01:05:18.100]   focus becomes this one outsized Roth IRA, and we're going to rewrite the law so that Peter Thiel has to
[01:05:18.100 --> 01:05:24.820]   take $5 billion or so is one of the estimates that I saw online on CNBC out of his IRA. Do you think
[01:05:24.820 --> 01:05:32.340]   this is specific vindictiveness on the part of the Democrats to try to attack? Specifically, Peter
[01:05:32.340 --> 01:05:34.580]   Thiel? I know he's your bestie. Well, yeah, I mean,
[01:05:34.580 --> 01:05:38.420]   it does feel and I'm not I'm not a Peter Thiel apologist, but this feels vindictive and personal.
[01:05:38.420 --> 01:05:38.820]   So yes and no. Okay, so Peter Thiel is a vindictive Democrat.
[01:05:38.820 --> 01:05:38.980]   So yes and no. Okay, so I'm not a Peter Thiel apologist, but this feels vindictive and personal.
[01:05:38.980 --> 01:05:39.060]   So yes and no. Okay, so Peter Thiel is a vindictive Democrat.
[01:05:39.060 --> 01:05:39.300]   So yes and no. Okay, so Peter Thiel is a vindictive Democrat.
[01:05:39.300 --> 01:05:44.820]   So yes and no. Okay, so what I would say is there have been proposals over the last I think going
[01:05:44.820 --> 01:05:51.780]   back to maybe even 2014 on providing some restrictions or caps on, you know, these,
[01:05:51.780 --> 01:05:57.300]   these IRAs and the Roth IRAs. However, there's never been a proposal as punitive
[01:05:57.300 --> 01:06:02.340]   and retroactive and confiscatory. That's what they're doing here. And specifically,
[01:06:02.340 --> 01:06:07.700]   it's the fact that they're going to force Peter to distribute out everything above the cap,
[01:06:07.700 --> 01:06:08.740]   and then tax the rest of the money. And so, Peter, I think, you know,
[01:06:08.740 --> 01:06:09.700]   is going to be a very good candidate for the cap. So I think Peter Thiel is a vindictive Democrat.
[01:06:09.700 --> 01:06:10.660]   So yes and no. Okay, so what I would say is there have been proposals over the last I think going
[01:06:10.660 --> 01:06:10.660]   back to maybe even 2014 on providing some restrictions or caps on, you know, these IRAs and
[01:06:10.660 --> 01:06:10.820]   retroactive and confiscatory. That's what they're doing here. And specifically, it's the fact that
[01:06:10.820 --> 01:06:16.900]   that's just changing the rules. That part I think is directed at Peter and I've actually heard
[01:06:16.900 --> 01:06:21.860]   that staffers on Capitol Hill are calling this the Peter Thiel provision. So let me just confirm
[01:06:21.860 --> 01:06:27.780]   that part for you. So what I would say is I think there is a sensible way to provide some
[01:06:27.780 --> 01:06:32.900]   restrictions on these retirement accounts, but the way they're doing it is so punitive. I think
[01:06:32.900 --> 01:06:38.500]   it is motivated by political revenge against Peter Chamath, what do we think of the number of, you
[01:06:38.500 --> 01:06:42.340]   know, unicorns being created in the private markets, obviously, when a company hits unicorn
[01:06:42.340 --> 01:06:46.900]   status, I think they're going to start buzzing around and maybe knocking on your door and SPACs
[01:06:46.900 --> 01:06:51.540]   and boards might start thinking about that. These companies sometimes have $10 million,
[01:06:51.540 --> 01:06:56.660]   $30 million in revenue, 50 million in revenue, and they're becoming worth a billion dollars.
[01:06:56.660 --> 01:07:01.060]   Do these valuations make sense writ large? And are you concerned that this is a bubble?
[01:07:01.060 --> 01:07:03.540]   I don't think there's a bubble.
[01:07:03.540 --> 01:07:07.140]   Okay. Explain why there's not a bubble in early stage private companies.
[01:07:08.260 --> 01:07:12.500]   I think it's because of what we just talked about, which is that these companies,
[01:07:12.500 --> 01:07:18.820]   by and large, are growing at incredibly fast rates, and they are replacing legacy
[01:07:18.820 --> 01:07:26.500]   incumbents that are growing very slowly or not at all, who have basically won for a long time
[01:07:26.500 --> 01:07:33.060]   with inferior products. And so as these superior products with more nimble organizations get
[01:07:33.060 --> 01:07:38.020]   capitalized to go to market, they're just going to win. And so I think what we're seeing is a whole
[01:07:38.020 --> 01:07:44.020]   sale replacement of the economy from the old to the new. And so that's why these companies will
[01:07:44.020 --> 01:07:51.220]   do well. And I think it's going to be a really powerful force in the world because the world
[01:07:51.220 --> 01:07:57.300]   should be a little bit more efficient and fairer when you have all this modern technology working
[01:07:57.300 --> 01:08:02.660]   on your behalf. So I'm a real supporter of all of this. I think there's going to be even more.
[01:08:02.660 --> 01:08:07.780]   And I think the thing that we have to be comfortable with is whenever something goes from a
[01:08:07.780 --> 01:08:12.740]   fringe thing, which is what venture capital was, Jason, when all of us were first in Silicon Valley
[01:08:12.740 --> 01:08:20.660]   20 years ago, to today in 2021, we're sitting here, this is going to become a fundamental part
[01:08:20.660 --> 01:08:26.740]   of the economy. And when that happens, there'll be more and more money. The returns won't be as
[01:08:26.740 --> 01:08:31.060]   good. That'll be okay, but there'll be a lot of progress. And so we're going through the
[01:08:31.060 --> 01:08:37.540]   same transition that private equity did in the '80s and '90s, that hedge funds went through the
[01:08:37.540 --> 01:08:40.580]   same transition. And so we're going to see a lot of growth in the future. And I think that's
[01:08:40.580 --> 01:08:41.140]   going to be a big part of the economy. And I think that's going to be a big part of the economy.
[01:08:41.140 --> 01:08:45.940]   The kid from Lightspeed, a bunch of other folks, obviously our friend Bill Gurley is stepping back.
[01:08:45.940 --> 01:08:47.780]   The kid. Why do you call people kids?
[01:08:47.780 --> 01:08:48.420]   Jeremy Liu.
[01:08:48.420 --> 01:08:50.500]   He's 50. He's 50. Yeah, that kid from-
[01:08:50.500 --> 01:08:53.860]   Wait, am I doing something wrong here? I'm busy creating a venture firm at
[01:08:53.860 --> 01:08:55.860]   age almost 50 and all these people are-
[01:08:55.860 --> 01:08:58.500]   You're on the wrong side of this distribution curve, Sachs.
[01:08:58.500 --> 01:09:00.820]   What are we thinks behind this? They just made too much money in their-
[01:09:00.820 --> 01:09:02.020]   They made a ton of money.
[01:09:02.020 --> 01:09:04.500]   Or is it because it's too competitive now and it's too hard?
[01:09:04.500 --> 01:09:05.780]   They're moving to Wyoming.
[01:09:05.780 --> 01:09:07.300]   I would say it's slightly different.
[01:09:07.300 --> 01:09:13.460]   I don't know. I mean, I know all of those guys, but I don't know what their motivation is. But
[01:09:13.460 --> 01:09:20.500]   what I would say is I tend to think that the mindset of venture has a relatively short half
[01:09:20.500 --> 01:09:28.420]   life. And I think it's about 15 years. And I think that there is a... And because company building is
[01:09:28.420 --> 01:09:34.180]   roughly a 10-year arc, like when you get into something early. And so I think that there is
[01:09:34.180 --> 01:09:37.060]   like a newness whenever you start. I don't think it matters what your
[01:09:37.060 --> 01:09:48.580]   age is. And then there is this sort of like death march that sets in by year eight or nine.
[01:09:48.580 --> 01:09:54.660]   And then you try to see it through to returning the capital and making sure all the employees and
[01:09:54.660 --> 01:10:01.220]   founders you've been invested with land the ship. And I think what these guys did was get to that
[01:10:01.220 --> 01:10:06.820]   place and say, "Okay, I've had this 15-year beautiful arc. Do I want to do another 15-year arc?"
[01:10:06.820 --> 01:10:13.060]   And for a lot of people, it won't make much sense. And then also, I think your patience to do it goes
[01:10:13.060 --> 01:10:16.980]   away, right? Because it's like, you guys know what it is. We all know what it's like.
[01:10:16.980 --> 01:10:17.060]   It's exhausting. It's grinding.
[01:10:17.060 --> 01:10:22.340]   It is exhausting. It's exhausting. The amount of drama I'm dealing with right now in my portfolio
[01:10:22.340 --> 01:10:27.860]   is bonkers. I don't know if you're seeing this, Sax, but the amount of shenanigans,
[01:10:27.860 --> 01:10:32.900]   bad behavior, fraud, lying, backstabbing is at an all-time high.
[01:10:32.900 --> 01:10:34.740]   That would be your portfolio, J.K. Yeah.
[01:10:34.740 --> 01:10:36.580]   No, it's like, no, no. It's literally, you're going to get a lot of money. It's literally, you're
[01:10:36.580 --> 01:10:38.580]   going to get a lot of money. It's literally three companies. I'm literally dealing with
[01:10:38.580 --> 01:10:44.740]   three companies with drama out of 350. I think one out of 100 is probably fine. But I am seeing
[01:10:44.740 --> 01:10:47.460]   all kinds of shenanigans. Even in the diligence phase, I'm seeing a ton of bad behavior.
[01:10:47.460 --> 01:10:50.820]   No, Jason, I meant something more tactical, which is like, for example,
[01:10:50.820 --> 01:10:56.740]   yesterday, we're starting something really ambitious in batteries. And I have to sit
[01:10:56.740 --> 01:11:00.740]   there for an hour, and we have to go through ordering the equipment, setting up the lab,
[01:11:00.740 --> 01:11:01.380]   getting the-
[01:11:01.380 --> 01:11:02.580]   Human resources.
[01:11:02.580 --> 01:11:06.340]   And there's only so much of that that you have the energy to do after
[01:11:06.340 --> 01:11:11.780]   a certain amount of time. It's important work. You have to do it right, but it feels
[01:11:11.780 --> 01:11:18.500]   a little low leverage. Now, for that CEO, it's everything. And so you have to be on top of your
[01:11:18.500 --> 01:11:24.580]   game to help that person. And I think this is where I appreciate their honesty in basically
[01:11:24.580 --> 01:11:31.460]   saying, "Guys, I don't have that level of detailed focus in me anymore." And that's important because
[01:11:31.460 --> 01:11:34.180]   in a next generation of folks who want to put in that 15-year journey-
[01:11:34.180 --> 01:11:36.100]   You need somebody committed. You need somebody who's
[01:11:36.100 --> 01:11:37.140]   super committed.
[01:11:37.140 --> 01:11:42.980]   Yeah. And I do think there's a difference between being a partner in a large partnership where you
[01:11:42.980 --> 01:11:47.540]   kind of have your portfolio of companies and, to Chamath's point, you're going to be on that
[01:11:47.540 --> 01:11:53.620]   arc with them. And then kind of building a firm from scratch where, quite frankly, I would go
[01:11:53.620 --> 01:11:58.820]   crazy the way that you're dealing with Jason and Chamath is saying, "I would get burned out if I
[01:11:58.820 --> 01:12:02.260]   didn't have a team." So we now have a pretty big team.
[01:12:02.260 --> 01:12:02.660]   How many?
[01:12:02.660 --> 01:12:05.860]   Well, just on the investment team, I think we've got about 15,000.
[01:12:05.860 --> 01:12:10.660]   15 people. And then we now have a bunch of operating partners. So we were looking at what
[01:12:10.660 --> 01:12:14.260]   Andreessen Horowitz has done with services. We had this big debate in the venture community for
[01:12:14.260 --> 01:12:20.820]   a long time about whether venture firms should offer services and operating partners. And Andreessen
[01:12:20.820 --> 01:12:24.980]   went hog wild with that. They've got like 200 people doing it. And I think they've proven that
[01:12:24.980 --> 01:12:29.860]   it works in the sense... It's not totally clear how much value they're delivering, but it clearly
[01:12:29.860 --> 01:12:34.020]   works in the sense that founders would like the services if they can get them.
[01:12:34.020 --> 01:12:35.620]   It creates marketing, but I mean,
[01:12:35.620 --> 01:12:37.620]   it's not necessarily a marketing strategy. It's great marketing.
[01:12:37.620 --> 01:12:40.740]   Because if you're a great founder, when you were a great founder, you wouldn't want Andreessen
[01:12:40.740 --> 01:12:44.580]   Horowitz telling you how to run your HR and doing your marketing for you at Yammer.
[01:12:44.580 --> 01:12:51.140]   Right. But so what we've done is focus on bringing on not 200 people, but an expert in every
[01:12:51.140 --> 01:12:55.860]   functional area that a SaaS company might need. Because you do want access to an expert when
[01:12:55.860 --> 01:12:59.780]   you're setting up the department, you want to go talk to the digital marketing person or the legal
[01:12:59.780 --> 01:13:05.380]   person or, you know, we have an executive briefing center now. So we do believe that there is a
[01:13:05.380 --> 01:13:09.060]   version of the services model that makes a lot of sense. And we are building that. If I had to do all
[01:13:09.060 --> 01:13:14.100]   of that value add myself, yeah, I would burn out. Yeah. I mean, I think it's a very good point.
[01:13:14.100 --> 01:13:19.620]   I literally last week launched the syndicate.com/saas, a SaaS syndicate, just for the same
[01:13:19.620 --> 01:13:24.820]   reason. So I can build a group of individuals who are focused just on that and who have that domain
[01:13:24.820 --> 01:13:32.260]   expertise. But the great founders do not want you up in their business. So I'm concerned with like...
[01:13:32.260 --> 01:13:35.140]   That's why we have like kind of, we call it a teach them how to fish model.
[01:13:35.140 --> 01:13:39.140]   Yes. Exactly. Where we don't want to do the work, we want to give them an expert as a resource
[01:13:39.140 --> 01:13:41.700]   who can meet with them, show them some best practices and then they...
[01:13:41.700 --> 01:13:44.980]   Do you have people though coming to you expecting you to do the work? Because that's what I
[01:13:44.980 --> 01:13:46.980]   have happen sometimes is they're like... No. Although...
[01:13:46.980 --> 01:13:48.500]   Can you find us a developer? And I'm like,
[01:13:48.500 --> 01:13:52.740]   no, but I can talk to you about finding developers, but I don't have a
[01:13:52.740 --> 01:13:54.340]   recruiter on staff. Do you have a recruiter on staff?
[01:13:54.340 --> 01:13:56.900]   Yeah, we actually do now. We have three recruiters on staff. So...
[01:13:56.900 --> 01:14:01.780]   So you're paying a half million dollars a year to recruit for your company. So that's a big advantage.
[01:14:01.780 --> 01:14:03.140]   Basically. Basically.
[01:14:03.140 --> 01:14:04.900]   That's a big advantage. Is it working? Are
[01:14:04.900 --> 01:14:07.620]   you actually landing developers? Yeah. I mean, look, we can't...
[01:14:07.620 --> 01:14:09.780]   Freeport and I don't give a fuck about any of this.
[01:14:09.780 --> 01:14:12.740]   All right. Well, anyway, this is us in the weeds. So you want to talk about some...
[01:14:12.740 --> 01:14:16.660]   Okay. Well, just to kind of up level it for a second. I just want to go back to this like
[01:14:16.660 --> 01:14:22.180]   golden era point when we're talking about venture capital, because look, obviously in the weeds,
[01:14:22.180 --> 01:14:26.660]   we're going to talk about our problems, but I really think that what's happening
[01:14:26.660 --> 01:14:30.820]   here with a thousand new unicorns being minted every year is just unbelievable.
[01:14:30.820 --> 01:14:34.660]   If you look at the number of billionaires in the US, I just Googled this,
[01:14:34.660 --> 01:14:39.780]   there were 614 billionaires in the US as of October 2020. Now there's probably more,
[01:14:39.780 --> 01:14:43.460]   I don't know, let's say there's a thousand. Well, if you're minting a thousand new unicorns every
[01:14:43.460 --> 01:14:45.700]   year, how many billionaires is that creating? I mean...
[01:14:45.700 --> 01:14:50.820]   And how many millionaires? More importantly, how many people who were making 50 to $250,000
[01:14:50.820 --> 01:14:54.340]   a year before they joined the ecosystem and now are worth millions will buy homes,
[01:14:54.340 --> 01:14:57.060]   hire people, start the next... But let me just give you guys the
[01:14:57.060 --> 01:15:01.380]   counterpoint to that, which I'm not necessarily arguing, but this is what I think the narrative
[01:15:01.380 --> 01:15:04.340]   is, which is that those businesses that are kind of, you know,
[01:15:04.340 --> 01:15:10.260]   accumulating wealth and accumulating revenue are effectively destroying the old economy and
[01:15:10.260 --> 01:15:13.460]   shutting down companies and shutting down jobs. Wait, there's 11 million job openings.
[01:15:13.460 --> 01:15:16.340]   That's bullshit. I don't believe it's a zero sum game.
[01:15:16.340 --> 01:15:18.500]   Yeah. I think it's creative
[01:15:18.500 --> 01:15:20.100]   destruction. But it's disruptive. It is disruptive,
[01:15:20.100 --> 01:15:24.500]   right? So there is kind of a temporal flux and there's a flux of people across from the old
[01:15:24.500 --> 01:15:28.820]   economy to the new economy. And it's that flux that I think creates the great uncertainty and
[01:15:28.820 --> 01:15:30.900]   the great heartache that everyone's trying to solve for.
[01:15:30.900 --> 01:15:32.020]   That's the hand-wringing. That's the hand-wringing framework.
[01:15:32.020 --> 01:15:34.020]   Guys, this is why it is so important to me.
[01:15:34.020 --> 01:15:38.100]   It's so important to get corporate taxation right. Because if you're going to replace
[01:15:38.100 --> 01:15:44.340]   GDP dollar for dollar, don't focus on the fewer employees that work there. Focus on the largest
[01:15:44.340 --> 01:15:48.740]   number possible, which is the revenue that these employees are helping to generate for these
[01:15:48.740 --> 01:15:53.460]   companies. So if you had much, much higher corporate taxation, you can play around with
[01:15:53.460 --> 01:15:58.020]   all the personal taxation you want. But if a lot of people do get shut out of the economy, you're
[01:15:58.020 --> 01:16:02.820]   not going to make nearly as much for the government as you would by taxing companies more.
[01:16:02.820 --> 01:16:03.700]   You know... Chamath,
[01:16:03.700 --> 01:16:09.700]   should there be a backstop? Because we know tax law is so sophisticated, and if you're intelligent,
[01:16:09.700 --> 01:16:13.460]   you could make it seem like you didn't make any money because you're investing, you're distributing,
[01:16:13.460 --> 01:16:17.940]   yada yada. Should there just be a, "Hey, listen, whatever you want to do with your taxes is fine,
[01:16:17.940 --> 01:16:24.740]   but X percent of your top line revenue is your base tax, and you cannot get around that."
[01:16:24.740 --> 01:16:28.740]   Should there be something like that? There's a couple things that this tax bill attempted to do,
[01:16:28.740 --> 01:16:33.380]   which could be really powerful if it does get passed. I think that corporations
[01:16:33.380 --> 01:16:38.500]   should pay a large tax. I think that they should be forced to spend a certain percentage on R&D,
[01:16:38.500 --> 01:16:43.540]   and I think they should be forced to spend a certain percentage on basically benefits
[01:16:43.540 --> 01:16:50.500]   for their employees. I think that would do a lot to level the playing field. Then I do think that
[01:16:50.500 --> 01:16:55.860]   you can have much higher individual taxation, but you need to make it simpler because there's too
[01:16:55.860 --> 01:17:01.940]   many easy ways, like that ProPublica article showed, for you to play games for individuals
[01:17:01.940 --> 01:17:03.060]   to not pay taxes.
[01:17:03.060 --> 01:17:08.340]   Yes. You've got to simplify all of this stuff because it's too complicated. If you're
[01:17:08.340 --> 01:17:13.220]   rich enough to hire a fleet of lawyers, you will work your way around it.
[01:17:13.220 --> 01:17:13.460]   Yes.
[01:17:13.460 --> 01:17:14.660]   Period.
[01:17:14.660 --> 01:17:21.220]   They repealed it as part of the… The AMT was for corporations was repealed as part of the
[01:17:21.220 --> 01:17:25.220]   Tax Cuts and Jobs Act, I think. I don't know where that stands,
[01:17:25.220 --> 01:17:27.380]   but it does seem like a lot of companies because of…
[01:17:27.380 --> 01:17:30.980]   I don't know how that makes sense, J. Cal. Some businesses run high margins,
[01:17:30.980 --> 01:17:32.740]   some are low margins, some are losing money, some are losing money.
[01:17:32.740 --> 01:17:33.540]   Some are over investing.
[01:17:33.540 --> 01:17:36.100]   No, it's complicated. I don't have the solution. That's why I'm sort of saying…
[01:17:36.100 --> 01:17:42.100]   I think one of the optics issues here is people are like, "That company didn't pay any taxes.
[01:17:42.100 --> 01:17:44.500]   That company sells this many iPhones. That company sells this many…"
[01:17:44.500 --> 01:17:48.020]   Yes, but I mean, that's because they're doing what tax laws were designed to do,
[01:17:48.020 --> 01:17:50.020]   which is to encourage investment.
[01:17:50.020 --> 01:17:52.420]   So how do you fix it? Give me a solution, Friedberg.
[01:17:52.420 --> 01:17:56.020]   I think that once businesses are mature and they start dividending cash and making
[01:17:56.020 --> 01:17:59.380]   distributions and they're profitable, that might be the time to tax them. I'm not sure that like…
[01:17:59.380 --> 01:18:02.420]   Why would they ever do that if they had an army of people saying, "Hey, you don't have
[01:18:02.420 --> 01:18:02.740]   to."
[01:18:02.740 --> 01:18:05.860]   You don't want to do it because if they're investing in growth, they're creating jobs
[01:18:05.860 --> 01:18:07.380]   and they're growing the economy. And that's what we want to do.
[01:18:07.380 --> 01:18:10.820]   Okay, so their status quo is fine. I don't think they're creating as many jobs as you think,
[01:18:10.820 --> 01:18:14.580]   but they are growing the economy. That's why you have to tax the corporation because that's
[01:18:14.580 --> 01:18:17.300]   the effective proxy for taxing GDP.
[01:18:17.300 --> 01:18:22.980]   Yeah. Look, I would be all about… Let me just… I'll wear my libertarian hat again for a second,
[01:18:22.980 --> 01:18:27.700]   but like I would be all about taxation if I felt like my dollars had a positive ROI where they
[01:18:27.700 --> 01:18:32.100]   ended up. And the problem right now is like government spending is set up in such a way that…
[01:18:32.100 --> 01:18:35.940]   That it's effectively been gamified and people extract capital from the government
[01:18:35.940 --> 01:18:40.260]   and my dollars are not getting a positive ROI for me or for society. I would rather have them sit
[01:18:40.260 --> 01:18:40.420]   somewhere else.
[01:18:40.420 --> 01:18:43.380]   Which is why you left… Let's be honest. That's why you left San Francisco. I mean,
[01:18:43.380 --> 01:18:44.500]   it's just they're spending more…
[01:18:44.500 --> 01:18:48.020]   That's not why I left San Francisco. I've got a family and I need a backyard. So,
[01:18:48.020 --> 01:18:48.740]   that's a little different.
[01:18:48.740 --> 01:18:50.500]   But isn't part of it that you are…
[01:18:50.500 --> 01:18:53.860]   San Francisco is a separate degree of incompetence, but yes, you're right.
[01:18:53.860 --> 01:18:56.740]   They're spending more than ever and it's getting worse.
[01:18:56.740 --> 01:19:00.260]   San Francisco is a whole another nightmare, J Cal. Well, I'm just speaking in general.
[01:19:00.260 --> 01:19:01.780]   Or California writ large.
[01:19:01.780 --> 01:19:05.860]   In general. Right now, whether it's the state level or the federal level,
[01:19:05.860 --> 01:19:10.580]   it feels to me and I think it feels to a lot of people that dollars aren't being spent in a way
[01:19:10.580 --> 01:19:15.460]   that's generating a return for the taxpayer. And I think we all feel that way. And I think that's
[01:19:15.460 --> 01:19:19.780]   what's frustrating. It's not about how much one's being taxed. It's about how are those tax dollars
[01:19:19.780 --> 01:19:24.660]   being spent? And are they being spent in a way that secures the future of our nation, of our
[01:19:24.660 --> 01:19:31.460]   people, of our livelihoods, etc. And giving everyone access to opportunity. What's happened is we've
[01:19:31.460 --> 01:19:37.220]   created things like student loan programs, and housing programs, and infrastructure programs
[01:19:37.220 --> 01:19:41.060]   that are literally just giving away money to private companies that are profiteering off
[01:19:41.060 --> 01:19:42.340]   of government spending. Right.
[01:19:42.340 --> 01:19:46.100]   And it's crony capitalism as our favorite professor Scott Galloway says.
[01:19:46.100 --> 01:19:51.780]   It's one thing I really do agree with him on. It is that there is this notion of crony capitalism
[01:19:51.780 --> 01:19:56.180]   where the United States and state governments and even local governments as seen in San Francisco,
[01:19:56.180 --> 01:20:00.180]   California, all the way up to the federal level, are spending money in a way that I think we all
[01:20:00.180 --> 01:20:00.480]   feel that it's a waste of time. And I think that's what's really important. And I think it's a waste of time.
[01:20:00.480 --> 01:20:00.980]   Yeah, I think it's a waste of time. And I think it's a waste of time. And I think it's a waste of time.
[01:20:00.980 --> 01:20:01.420]   And I think it's a waste of time. I think it's a waste of time.
[01:20:01.420 --> 01:20:06.780]   It's benefiting some disproportionately to most. Now, if there was a high degree of taxation,
[01:20:06.780 --> 01:20:10.660]   and everyone was benefited in a meaningful way, and those programs were well managed, and
[01:20:10.660 --> 01:20:15.420]   capital flowed meaningfully to support everything we want to support, great. I think everyone would
[01:20:15.420 --> 01:20:19.500]   raise their hand, raise two hands and say, tax the heck out of me. Let's make that happen. But that's
[01:20:19.500 --> 01:20:22.820]   not what happens. And I think that's the primary aversion to high taxation.
[01:20:22.820 --> 01:20:24.700]   Sachs, you got the final word?
[01:20:24.700 --> 01:20:29.500]   Yeah, I mean, look, what I'm worried about is taxes are going up big time, no matter what
[01:20:29.500 --> 01:20:30.160]   happens in Washington. I think that's the primary aversion to high taxation.
[01:20:30.160 --> 01:20:32.800]   Yeah, I think that's the primary aversion to high taxation. Spending is going up big time,
[01:20:32.800 --> 01:20:40.000]   we now have peacetime deficits that are the biggest that they've ever been. The national debt,
[01:20:40.000 --> 01:20:45.680]   the peacetime national debt is the highest it's ever been. We have a looming debt crisis in China,
[01:20:45.680 --> 01:20:47.360]   we have supply chain shortages.
[01:20:47.360 --> 01:20:48.560]   What could go wrong?
[01:20:48.560 --> 01:20:54.160]   I mean, you know, there's a lot of things here that could upset the apple cart. And what I'm
[01:20:54.160 --> 01:20:59.200]   afraid of is we're going to look back at this year, the 1000 unicorns being minted and say,
[01:20:59.200 --> 01:20:59.840]   that really was the
[01:20:59.840 --> 01:21:03.360]   golden era and everything happened. And after that, we really screwed up.
[01:21:03.360 --> 01:21:06.480]   Sachs, you sound like the old guy at Starbucks. It says that every generation
[01:21:06.480 --> 01:21:09.440]   and complains about the last generation, golden era, and it's all down.
[01:21:09.440 --> 01:21:10.640]   How much does music suck today?
[01:21:10.640 --> 01:21:12.080]   Normally, normally,
[01:21:12.080 --> 01:21:16.800]   I will say how impressive it is that 10 years ago, none of those unicorns existed. And it is
[01:21:16.800 --> 01:21:21.920]   likely the case that $3 trillion of value was created via private funding and private companies
[01:21:21.920 --> 01:21:26.000]   over the last 10 years. So all these entrepreneurs, all these employees, anyone working at
[01:21:26.000 --> 01:21:29.520]   these businesses, anyone involved in these businesses should be thrilled about the fact
[01:21:29.520 --> 01:21:33.280]   that you from zero created three and a half trillion dollars of value in 10 years.
[01:21:33.280 --> 01:21:34.560]   That's extraordinary.
[01:21:34.560 --> 01:21:39.120]   Yeah, I'm not trying to create nostalgia about the past. I'm talking about the present and trying to
[01:21:39.120 --> 01:21:42.160]   preserve it because I'm seeing some storm clouds on the horizon.
[01:21:42.160 --> 01:21:45.680]   Yeah, I would like to play the best song from Tony, Tony, Tony is really
[01:21:45.680 --> 01:21:45.840]   Yeah.
[01:21:45.840 --> 01:21:50.320]   Okay, everybody, we're heading out this one's for you London breed.
[01:21:50.320 --> 01:21:59.200]   State approved entertainment. You can take off your mask for this entertainment. It's so good.
[01:21:59.200 --> 01:22:02.000]   I need you guys watch Squid Game. Anybody watch Squid Game?
[01:22:02.000 --> 01:22:03.600]   No, we have lives.
[01:22:03.600 --> 01:22:06.000]   Nobody watched Squid Game.
[01:22:06.000 --> 01:22:09.520]   Okay, my kid my kids been talking about that. Should I be letting them watch Squid Game or
[01:22:09.520 --> 01:22:09.680]   is it?
[01:22:09.680 --> 01:22:12.960]   No, it's the most violent Korean horror dystopian.
[01:22:12.960 --> 01:22:16.720]   Show ever watched they're going to be scarred for life.
[01:22:16.720 --> 01:22:17.680]   Oh, I want to watch that.
[01:22:17.680 --> 01:22:22.880]   Hey, Sax, as a follow up, did you? Did you stop your kids from from TikTok?
[01:22:22.880 --> 01:22:24.240]   Did you take your kids off TikTok?
[01:22:24.240 --> 01:22:28.960]   They told Yeah, I went in there. I'm like, kids, what are you watching?
[01:22:28.960 --> 01:22:32.400]   I'll tell you in a second.
[01:22:32.400 --> 01:22:36.400]   Yeah, so did you take your kids off TikTok?
[01:22:36.400 --> 01:22:39.360]   Yeah, I went in there. I was like, kids, what are you watching? They're like,
[01:22:39.360 --> 01:22:40.480]   dad get the hell out of here.
[01:22:40.480 --> 01:22:41.040]   Yeah.
[01:22:41.040 --> 01:22:45.440]   He was like, okay, I'll be right back.
[01:22:45.440 --> 01:22:50.800]   If you can tell me to turn off by my name. I'll do it. David. See you later.
[01:22:50.800 --> 01:22:55.200]   The conversation was what do you want? I was watching on TikTok. I hear it's all
[01:22:55.200 --> 01:22:58.720]   sex and drugs. They're like, no, watching dance. Okay, go ahead. I trust you.
[01:22:58.720 --> 01:23:07.200]   The dance videos are literally like, absolutely sex and drug based every single one of them.
[01:23:07.200 --> 01:23:08.320]   It is so deviant.
[01:23:08.320 --> 01:23:11.600]   No, stop it is not that you're so exaggerating.
[01:23:11.600 --> 01:23:17.360]   I am so not exaggerating. Literally, the if you listen, take the most obscene lyric to
[01:23:17.360 --> 01:23:21.120]   obscene hook to any rap song. That's what trends.
[01:23:21.120 --> 01:23:26.000]   Oh my god, it's so true, guys. Every generation says the same about the next. It's unbelievable,
