
[00:00:00.000 --> 00:00:06.080]   So good morning, everyone.
[01:22:52.860 --> 01:22:59.620]   I was wondering what was your intuition on the lost surface of those deep reinforcement
[01:22:59.620 --> 01:23:08.900]   learning optimization problems, and maybe especially how it evolves as the policy learns.
[01:23:08.900 --> 01:23:13.100]   And I should specify in the policy gradient case.
[01:23:13.100 --> 01:23:16.900]   So I think the situation is a little bit different in reinforcement learning from in supervised
[01:23:16.900 --> 01:23:17.900]   learning.
[01:23:17.900 --> 01:23:29.300]   So in reinforcement learning, you have one kind of local minima in policy space.
[01:23:29.300 --> 01:23:34.340]   So for example, let's say you want your-- so I keep going back to the locomotion example,
[01:23:34.340 --> 01:23:36.020]   because I spent a lot of time on it.
[01:23:36.020 --> 01:23:39.260]   But let's say you want your robot to walk.
[01:23:39.260 --> 01:23:42.980]   There's one local minimum where it just stands and it doesn't bother to walk, because there's
[01:23:42.980 --> 01:23:44.980]   too much penalty for falling over.
[01:23:44.980 --> 01:23:49.140]   And there's another local minimum where it just dives forward, because it gets a little
[01:23:49.140 --> 01:23:55.040]   bit of reward for that before it falls to its doom.
[01:23:55.040 --> 01:24:03.920]   So I think that that's actually the hard part about the optimization problem, is because
[01:24:03.920 --> 01:24:09.520]   of the different space of behaviors, and actually has nothing to do with the neural network.
[01:24:09.520 --> 01:24:18.300]   So I've also found that it matters surprisingly little what kind of neural network architecture
[01:24:18.300 --> 01:24:21.960]   you use, because I think that most of the hardness and the weirdness of the problem
[01:24:21.960 --> 01:24:28.360]   comes from what the behavior space looks like, rather than what the actual numerical optimization
[01:24:28.360 --> 01:24:30.200]   landscape looks like.
[01:24:30.200 --> 01:24:31.200]   Cool.
[01:24:31.200 --> 01:24:34.320]   Thank you.
[01:24:34.320 --> 01:24:41.960]   So there are many problems where the reward is only observed at the end of the task, so
[01:24:41.960 --> 01:24:45.280]   in the final-- in the terminal state in each episode.
[01:24:45.280 --> 01:24:48.120]   And you don't see rewards in intermediate states.
[01:24:48.120 --> 01:24:53.560]   So how much harder do these problems become for deep reinforcement learning in your experience?
[01:24:53.560 --> 01:24:54.560]   Thanks.
[01:24:54.560 --> 01:25:02.520]   Yeah, so you have-- if you don't get the reward until the end, then you can't-- well, then
[01:25:02.520 --> 01:25:04.480]   it's probably-- it might be harder to learn.
[01:25:04.480 --> 01:25:05.480]   Yeah.
[01:25:05.480 --> 01:25:08.880]   I don't have anything precise to say about that.
[01:25:08.880 --> 01:25:14.520]   I think it's going to be harder if you have less-- if your rewards are further away.
[01:25:14.520 --> 01:25:19.600]   So for example, in your video, for the last example of getting up and getting the head
[01:25:19.600 --> 01:25:25.120]   above a certain height, for example, that could be one where you only get a plus 1 if
[01:25:25.120 --> 01:25:27.160]   you're above and you don't get anything below.
[01:25:27.160 --> 01:25:28.160]   Oh, right.
[01:25:28.160 --> 01:25:30.960]   But when you're doing something that was kind of-- if you get your head higher, then you
[01:25:30.960 --> 01:25:32.520]   still get something partial.
[01:25:32.520 --> 01:25:38.880]   Yeah, so I think we came up with a reward like distance from height squared, which made
[01:25:38.880 --> 01:25:39.880]   the problem easier.
[01:25:39.880 --> 01:25:43.960]   Yeah, the problem would have been a lot harder if you get zero reward until you get your
[01:25:43.960 --> 01:25:45.560]   head above the height.
[01:25:45.560 --> 01:25:51.920]   And it's actually-- that would be a problem of exploration, which is that you have to
[01:25:51.920 --> 01:25:56.520]   explore all the different states to figure out where you're going to get good reward.
[01:25:56.520 --> 01:25:57.520]   Thanks.
[01:25:57.520 --> 01:25:59.560]   One last question.
[01:25:59.560 --> 01:26:02.720]   OK, one last question.
[01:26:02.720 --> 01:26:06.640]   So I have a question about how do you choose to quantize your space time, because in your
[01:26:06.640 --> 01:26:10.920]   locomotion example, it clearly has a continuous system.
[01:26:10.920 --> 01:26:11.920]   Right.
[01:26:11.920 --> 01:26:16.840]   Yeah, so it's actually really important how you discretize time, like what time step you
[01:26:16.840 --> 01:26:24.600]   use, because the algorithm has-- I mean, the algorithm does care about what the time step
[01:26:24.600 --> 01:26:25.600]   is.
[01:26:25.600 --> 01:26:32.240]   So it's not like-- yeah, because you have discount factors, and you're also sampling
[01:26:32.240 --> 01:26:34.080]   a different action at every time step.
[01:26:34.080 --> 01:26:43.520]   So yeah, so if you choose too small of a time step, then the rewards will be delayed by
[01:26:43.520 --> 01:26:44.760]   more time steps.
[01:26:44.760 --> 01:26:47.560]   So that makes the credit assignment harder.
[01:26:47.560 --> 01:26:52.480]   And also, your exploration will be more like a random walk, because you're changing your
[01:26:52.480 --> 01:26:54.960]   minds really frequently.
[01:26:54.960 --> 01:26:56.840]   So yeah, the time step is pretty important.
[01:26:56.840 --> 01:27:00.800]   And I'd say that's a flaw in current methods.
[01:27:00.800 --> 01:27:02.480]   OK, thank you.
[01:27:02.480 --> 01:27:09.760]   So at the same time, John will give a thank you.
[01:27:09.760 --> 01:27:10.760]   Thank you.
[01:27:10.760 --> 01:27:12.280]   So take a short break.
[01:27:12.280 --> 01:27:14.040]   We convene in 15 minutes.
[01:27:14.040 --> 01:27:22.720]   [BLANK_AUDIO]

