
[00:00:00.000 --> 00:00:06.140]   So one of the conflicts we've confronted here is the one between having too little productivity
[01:13:16.120 --> 01:13:22.520]   thing works, but it just starts working and we kind of watch what it can do. These other factors,
[01:13:22.520 --> 01:13:27.320]   world modeling incentives, actuation, any reasonable way we have thinking about building these,
[01:13:27.320 --> 01:13:30.440]   these aren't systems we train and don't know how they operate. They're just going to be hand
[01:13:30.440 --> 01:13:36.760]   engineered by people. So we choose the incentives. That gives us a lot of power about what these
[01:13:36.760 --> 01:13:41.560]   machines can do. We choose like how the actuation works, what actuation it can and can't do.
[01:13:41.560 --> 01:13:45.880]   That gives us a lot of control over what these things can do. Remember the understanding that we
[01:13:45.880 --> 01:13:51.080]   have encoded in language models. Language models are inert. They're giant matrices full of numbers
[01:13:51.960 --> 01:13:56.760]   that we can run through GPUs to create probability distribution tables on tokens or token sequences.
[01:13:56.760 --> 01:14:01.640]   They have no state, no recurrence, no loops, no ability to, no autonomy, right? It's just a
[01:14:01.640 --> 01:14:05.800]   large Play-Doh machine. We turn to crank and out of the other side comes tokens.
[01:14:05.800 --> 01:14:13.080]   So a language model has no ideas, has no memory, has no state, can't do anything. It is these other
[01:14:13.080 --> 01:14:17.560]   engineered systems that could work with a language model if you wanted to have a fully autonomous sort of
[01:14:17.560 --> 01:14:21.720]   digital intelligence. And those are hand engineered and they can be what we want to be. And I point to
[01:14:21.720 --> 01:14:29.960]   the example often here of Cicero, the multi-model system that played the board game diplomacy very
[01:14:29.960 --> 01:14:36.520]   well. Noam Brown worked on this before he got hired away to open AI. This is probably one of the closest
[01:14:36.520 --> 01:14:41.880]   systems we've seen to having all the Frankenstein factors. It used language models and it had incentives
[01:14:41.880 --> 01:14:45.960]   and it had actuation. It could actually like communicate with people over the internet to play
[01:14:45.960 --> 01:14:51.640]   this game. But because everything was engineered except for the model that like evaluated moves and
[01:14:51.640 --> 01:14:57.880]   created language, they could say, for example, we don't want you to lie. And because they could
[01:14:57.880 --> 01:15:02.760]   control the actuation and the incentives and the simulation of the world, they could just program
[01:15:02.760 --> 01:15:08.680]   in don't consider options with lies. So there's this kind of nicest, the Frankenstein factors have a lot
[01:15:08.680 --> 01:15:14.360]   of control outside of the understanding component. I call this IAI or intentional AI, the idea that if
[01:15:14.360 --> 01:15:19.080]   we're going to build an autonomous type of system, if and when we get to that, we'll have more control
[01:15:19.080 --> 01:15:25.320]   over that than we imagine when we think about the unsupervised training of language models.
[01:15:25.320 --> 01:15:30.120]   The other thing we should feel good about is another idea. I'm actually writing a paper about this right now.
[01:15:31.560 --> 01:15:37.240]   We don't have any reason to believe that our colloquial notion of superintelligence
[01:15:37.240 --> 01:15:42.040]   is actually computationally tractable. So we just have this idea of like, well,
[01:15:42.040 --> 01:15:48.360]   computers are doing these things pretty well. So we can just imagine a sufficiently powerful computer
[01:15:48.360 --> 01:15:54.280]   doing thinking at a level that is significantly more complicated than what humans could ever do,
[01:15:54.280 --> 01:15:59.960]   and then that computer would have power over us. But this sort of cognition that computers are doing,
[01:15:59.960 --> 01:16:04.200]   these are actual, you can think of these like actual problems being solved by computers. And here's
[01:16:04.200 --> 01:16:08.120]   something that every theoretical computer scientist knows, right? This is just ingrained into us in
[01:16:08.120 --> 01:16:12.840]   like every theory class we ever take, and this goes back to Turing. Most things can't be done by
[01:16:12.840 --> 01:16:16.840]   computers. Most problems are unsolvable, or if they're solvable, they're computationally intractable.
[01:16:16.840 --> 01:16:24.360]   So we don't actually know that it is possible for there to be a computer program that is somehow
[01:16:24.360 --> 01:16:31.400]   representing something like a supercharged human intelligence. That is like a fallacy of, it's a common
[01:16:31.400 --> 01:16:36.280]   philosophical fallacy to imagine we can make computers more powerful, so the things computers can do,
[01:16:36.280 --> 01:16:41.640]   they'll be able to do increasingly more sophisticated. Complexity theorists know like
[01:16:41.640 --> 01:16:45.240]   our main frustration is like most things can't be solved. Most problems are just impossible.
[01:16:45.240 --> 01:16:51.400]   Or if it's possible, it's computationally infeasible. It's actually the rare problem
[01:16:51.400 --> 01:16:55.880]   that a computer can efficiently solve. So we have no reason to believe that superintelligence
[01:16:56.840 --> 01:17:05.480]   is actually computationally feasible. We might be hitting the limits of what cognition a computer
[01:17:05.480 --> 01:17:09.880]   can do in any sort of reasonable computational efficiency, right? I mean, think about it. It might
[01:17:09.880 --> 01:17:14.920]   be true. We're building the biggest possible computer systems that are feasible right now. They might have
[01:17:14.920 --> 01:17:20.120]   tens of thousands of GPUs and these giant custom-built data centers. We can't really build these systems any
[01:17:20.120 --> 01:17:26.280]   larger. We just could be pretty close to some limit of like, this is it, right? So it's a logical fallacy
[01:17:26.280 --> 01:17:33.560]   to extend a curve. Things got smarter, they'll keep getting smarter. We don't know that's the case. Most
[01:17:33.560 --> 01:17:43.240]   problems are unsolvable. Now I'll throw in my final thing, which is like, yeah, but you don't need a super
[01:17:43.240 --> 01:17:49.240]   intelligence for one of these autonomous systems built on the four Frankenstein factors to create a lot of
[01:17:49.240 --> 01:17:54.600]   problems. In fact, some of the common scenarios we imagine of these things creating a lot of problems
[01:17:54.600 --> 01:18:00.520]   is more about recurrent spiraled out of control. I have some understanding, which means I can do a lot
[01:18:00.520 --> 01:18:06.520]   of stuff. So I'm a system that has a language model I can use, which means, for example, I can analyze
[01:18:06.520 --> 01:18:10.360]   code and produce computer code, and I'm pretty good at producing computer code. And I have an incentive
[01:18:10.360 --> 01:18:15.960]   over here that says I want to spread somehow, or it thinks that's what I want to do. And I have a world
[01:18:15.960 --> 01:18:20.120]   model that's like trying to figure out, it's evaluating different things we could do against
[01:18:20.120 --> 01:18:24.120]   those incentives. And then like that model might simulate and figure out like, oh, the right thing
[01:18:24.120 --> 01:18:30.440]   to do is to like, try to break through the security of this network and copy myself over here. And then
[01:18:30.440 --> 01:18:34.280]   the program is going to do the same thing. And then we have actuation, I can actually like communicate on
[01:18:34.280 --> 01:18:38.600]   a network and copy code. And it might not be anything super intelligent, but you turn this thing on,
[01:18:38.600 --> 01:18:44.200]   you come back the next day, and there's 100,000 copies of this bringing down computer networks around the world.
[01:18:44.200 --> 01:18:51.400]   So like, actually, the real first concern with an autonomous style, I think, AI system is not going to be,
[01:18:51.400 --> 01:18:56.360]   we get something alive, we feel bad about turning off, it's not going to be Skynet super intelligence,
[01:18:56.360 --> 01:19:02.360]   it's going to be like a supercharged power of a computer virus. It's going to be like the Morris worm from hell.
[01:19:03.480 --> 01:19:07.640]   And that's a reference, Jesse, as Robert Morris, in the early days of the internet,
[01:19:07.640 --> 01:19:12.760]   when it was still really just something among universities, a young graduate student at Carnegie
[01:19:12.760 --> 01:19:17.720]   Mellon, Robert Morris, wrote this very simple program. And he was like, oh, it's going to spread
[01:19:17.720 --> 01:19:23.480]   itself by exploiting, I think it was a flaw in the Unix send mail program, like an early email program,
[01:19:23.480 --> 01:19:27.320]   it could use to copy itself onto other computers, and it's kind of just like an experiment. And it ended
[01:19:27.320 --> 01:19:31.720]   up like taking over and crashing half the internet. That was the Morris worm.
[01:19:32.440 --> 01:19:36.840]   And interestingly, I ended up taking distributed systems with Robert Morris at MIT during my graduate
[01:19:36.840 --> 01:19:43.320]   days. And they always had this story that he wasn't allowed to do, there's a big pistol shooting
[01:19:43.320 --> 01:19:47.960]   team at MIT, they have a world class team. And it was always like, Robert Morris tried to sign up
[01:19:47.960 --> 01:19:52.680]   to do pistol shooting and couldn't because he has a federal record from the Morris worm. And the story
[01:19:52.680 --> 01:19:57.880]   doesn't check out. If you really think, these pieces don't check out, but it was like a big story.
[01:19:57.880 --> 01:20:02.600]   His class was hard to distribute systems with Robert Morris. Anyways, that that type of thing
[01:20:02.600 --> 01:20:07.880]   can happen. So this is where I think the Frankenstein factors get out of control. But okay, now I'm going
[01:20:07.880 --> 01:20:14.280]   to do to flip that again into a positive, which is, that's not a bad way to bring attention to the to
[01:20:14.280 --> 01:20:18.440]   the potential danger of the Frankenstein factors all coming together is like you have some supercharged
[01:20:18.440 --> 01:20:23.880]   Morris worm type things happen that catches everyone attention like whoa, we got to be much
[01:20:23.880 --> 01:20:30.680]   more careful about when we attach a world model and actuation to understanding maybe actuation needs
[01:20:30.680 --> 01:20:36.440]   to remain under human control. And you know, this is going to be some of the really interesting sort of
[01:20:36.440 --> 01:20:41.720]   AI safety talks of a few years from now. Right now, the focus is on AGI, which again, that's a scary term,
[01:20:41.720 --> 01:20:46.120]   we should really just think about a quality threshold for stuff that language models already
[01:20:46.120 --> 01:20:51.000]   do past which their potential economic and security impacts become harder to ignore. That's what we're
[01:20:51.000 --> 01:20:54.360]   focusing on now. I think that's hard for a lot of people in their day to day life to get their arms
[01:20:54.360 --> 01:21:01.800]   around. But if we want to talk about autonomous AIs doing stuff, it's the Frankenstein factors that'll
[01:21:01.800 --> 01:21:06.280]   matter. And that's a whole other complicated story. But it's one that I don't think is as scary.
[01:21:07.160 --> 01:21:11.160]   Because again, that like I don't want to turn this off or it's Skynet. There's so many it's there's
[01:21:11.160 --> 01:21:15.240]   so many things between us and that and so many other things are going to happen first. So basically,
[01:21:15.240 --> 01:21:19.240]   Jesse, I'm just ranting on AI here. I'm covering a lot of ground. This is like multiple different
[01:21:19.240 --> 01:21:25.160]   papers I could write right now. But I just listened to Ezra's podcast and figured, let's rock and roll.
[01:21:25.160 --> 01:21:28.920]   So is the paper for Georgia? Oh, I don't know. I'd write it for an academic journal.
[01:21:28.920 --> 01:21:33.480]   Yeah, yeah, it'd be a Georgetown thing. By the way, I'm looking at this video from Ezra's podcast.
[01:21:34.120 --> 01:21:38.680]   He now wears like a blazer and I don't even know that was him.
[01:21:38.680 --> 01:21:40.360]   Well, that's not him. That's been. Oh, yeah.
[01:21:40.360 --> 01:21:45.480]   Yeah. Yeah. He has a beard now. I've done a show a couple of times. It used to be more casual.
[01:21:45.480 --> 01:21:50.840]   Uh, yeah, look at that. He's got like, he, I should wear a blazer. Look, they have a fireplace.
[01:21:50.840 --> 01:21:54.920]   Oh man, we got to up our game. New York Times is up there again. When I first did Ezra's show back
[01:21:54.920 --> 01:22:01.960]   when he was still at Vox, they use Slate Studios here in downtown DC. And it was just like a nondescript,
[01:22:01.960 --> 01:22:08.520]   just a studio with sound a crates and there's no video back then. So we just in a t-shirt or whatever.
[01:22:08.520 --> 01:22:13.080]   And then during the pandemic, I did a show and it's just at his house. And yeah, he would just like zoom
[01:22:13.080 --> 01:22:19.480]   in or whatever. So he's up to his game. Um, so what's an example of a problem that can't be solved?
[01:22:19.480 --> 01:22:24.600]   Like, is there a God? No. So, so, okay. You have to formalize not to go down this rabbit hole too much,
[01:22:24.600 --> 01:22:30.680]   but you have to formalize what we mean by a problem. Um, so like one way you can formalize
[01:22:30.680 --> 01:22:37.560]   a problem is you can imagine like you, you, your abstract computer algorithm is given an input,
[01:22:37.560 --> 01:22:43.880]   like some sort of data or like a string. And all you have to do is accept it or reject it. Is this good
[01:22:43.880 --> 01:22:48.600]   or bad? And so in, in this formulation, this is like Mike Sipser's formulation of computability
[01:22:48.600 --> 01:22:53.160]   from his famous textbook. I also studied with Mike Sipser. Um, in this formulation,
[01:22:53.160 --> 01:22:58.360]   a problem is just a collection of inputs that you should accept. So to solve a problem in this
[01:22:58.360 --> 01:23:04.440]   particular formulation, it's just, you have the ability of accepting any input that's from that,
[01:23:04.440 --> 01:23:09.480]   that set and reject anything that's not. And because these sets can be infinite,
[01:23:09.480 --> 01:23:14.600]   like you can't just have it all hard coded, right? If you just think of a problem that way,
[01:23:14.600 --> 01:23:19.720]   the number of problems is what's known as uncountably infinite. Whereas the number of
[01:23:19.720 --> 01:23:23.560]   programs is countably infinite. And these are two different sizes of infinity. They're vastly
[01:23:23.560 --> 01:23:27.240]   different. It's the difference between whole numbers and numbers with like infinite decimal places.
[01:23:27.240 --> 01:23:32.040]   Then, and Turing did all this, by the way, in his original paper, uh, on computable numbers and
[01:23:32.040 --> 01:23:36.520]   their application to the Anschlodung theory. So it's like famous 1930s paper that like laid out
[01:23:36.520 --> 01:23:41.320]   all these issues pre-computer. He then said, look, we can look at, we can identify specific
[01:23:41.320 --> 01:23:45.080]   problems that can't be solved. So like here is the, the very first problem he identified that can't
[01:23:45.080 --> 01:23:49.720]   be solved. That like actually is a problem that many of these like uncountably infinite problems.
[01:23:49.720 --> 01:23:53.800]   Most of them don't have like a short summary. They're just abstract problems, but there's a lot
[01:23:53.800 --> 01:23:58.280]   you can identify that are specific problems that can't be solved. The very first unsolvable problem
[01:23:58.280 --> 01:24:03.560]   identified by Turing was the halting problem. So he said, like, imagine here's your challenge.
[01:24:03.560 --> 01:24:10.040]   You have a program and the input we're going to give your program is two things, another program
[01:24:10.040 --> 01:24:15.960]   and an input to that other program, right? So like, here's some source code and here's like a file
[01:24:15.960 --> 01:24:22.040]   you're going to run the program on. And your job as the program is to say, if I run this input program
[01:24:22.040 --> 01:24:29.080]   on this input, will it halt or will it loop forever? Like if I run this on this, will it eventually halt
[01:24:29.080 --> 01:24:33.080]   or will it loop forever? That's called the halting problem. This turns out to be like a really,
[01:24:33.080 --> 01:24:39.000]   this is a mathematically significant problem because they were trying to understand this problem of
[01:24:39.000 --> 01:24:43.960]   does there exist a machine that can tell if there's a proof for every, there's this, there's this whole
[01:24:43.960 --> 01:24:49.480]   thing about mechanically computing proofs for math problems, but that, because it's before computers,
[01:24:49.480 --> 01:24:54.680]   so put that aside. He pretty easily proved that can't be solved. And he did it by contradiction. He said,
[01:24:54.680 --> 01:24:58.600]   like, let's assume you had a program that could always solve that. I'm going to use that as a
[01:24:58.600 --> 01:25:03.400]   subroutine in another program that contradicts itself. So like that was the very first problem
[01:25:03.400 --> 01:25:10.120]   we identified that couldn't be solved. There is no unified does this program halt program. And now,
[01:25:10.120 --> 01:25:14.440]   you know, there's whole textbooks on this or this or that, but most problems can't be solved. And so
[01:25:14.440 --> 01:25:19.320]   we don't know where superintelligence falls into this universe of problems. So, and then of the problems
[01:25:19.320 --> 01:25:24.600]   that can be solved, most can't be solved computationally efficiently. So there might be
[01:25:24.600 --> 01:25:29.560]   problems like in theory, yes, you can solve this problem, but if we can't solve it in a number of
[01:25:29.560 --> 01:25:34.360]   like computing steps that can be expressed as a polynomial of the input size, it's something that
[01:25:34.360 --> 01:25:38.120]   the most powerful computers in the world will run until the heat death of the universe and never solved.
[01:25:38.120 --> 01:25:42.680]   So like most problems that can be solved are computationally intractable. So like what we're
[01:25:42.680 --> 01:25:47.000]   really talking about when we talk about solving problems is problems that can be solved and can happen to
[01:25:47.000 --> 01:25:51.480]   be solved in like a relatively small amount of time. And that's like a pretty small collection
[01:25:51.480 --> 01:25:56.600]   of things. And those are the things we do with computers, but superintelligence, we don't know.
[01:25:56.600 --> 01:26:03.080]   If you saw me, it's not. I took theory with Mike Sipser. He was the chair of the math department at MIT.
[01:26:03.080 --> 01:26:08.360]   He's a cool guy. All right. Well, anyways, that's enough geeking out. I don't know what's going to,
[01:26:08.360 --> 01:26:13.560]   what's losing more viewers, all the basketball references from the in-depth last week or the Mike Sipser
[01:26:13.560 --> 01:26:18.360]   references about computability complexity theory this week. But between those two, I think we're down
[01:26:18.360 --> 01:26:24.840]   to like three listeners and they are like MIT graduates who want basketball. So there we go.
[01:26:24.840 --> 01:26:29.800]   So we'll be back next week with another episode. Thank you for listening. And until then, as always,
[01:26:29.800 --> 01:26:35.240]   stay deep. Hey, if you liked today's discussion of minimally viable productivity systems, you might also
[01:26:35.240 --> 01:26:42.840]   like episode three 42 in which I talk about the good life algorithm, a mechanical way of trying to figure
[01:26:42.840 --> 01:26:46.760]   out what's going to make your life more meaningful. Check it out. I think you'll like it. So I want to
[01:26:46.760 --> 01:26:54.200]   talk today about the desire to build a good life, one that's focused on what you care about, one that feels

