
[00:00:00.000 --> 00:00:00.840]   That's good.
[00:53:07.560 --> 00:53:09.560]   And then at test time, because we don't really
[00:53:09.560 --> 00:53:13.600]   like a model that sort of randomly changes its output,
[00:53:13.600 --> 00:53:16.840]   because it will if we stochastically change the masks,
[00:53:16.840 --> 00:53:18.920]   what we do is we replace the mask
[00:53:18.920 --> 00:53:23.600]   by the probability of dropping out a unit,
[00:53:23.600 --> 00:53:25.480]   or actually of keeping a unit.
[00:53:25.480 --> 00:53:29.200]   So if we're using 0.5, that's just 0.5.
[00:53:29.200 --> 00:53:31.360]   We can actually show that if you have a neural net
[00:53:31.360 --> 00:53:34.720]   with a single hidden layer, doing this transformation
[00:53:34.720 --> 00:53:36.760]   at test time, multiplying by 0.5 is
[00:53:36.760 --> 00:53:39.640]   equivalent to doing a geometric average of all
[00:53:39.640 --> 00:53:42.120]   the possible neural networks with all the different binary
[00:53:42.120 --> 00:53:43.360]   mask patterns.
[00:53:43.360 --> 00:53:46.600]   So it's essentially one way of thinking about dropout
[00:53:46.600 --> 00:53:49.020]   in the single layer case is that it's kind of an assembling
[00:53:49.020 --> 00:53:51.040]   method where you have a lot of models,
[00:53:51.040 --> 00:53:52.760]   an exponential number of models, which
[00:53:52.760 --> 00:53:56.040]   are all sharing the same weights but have different masks.
[00:53:56.040 --> 00:53:59.520]   That intuition, though, doesn't transfer for deep neural nets
[00:53:59.520 --> 00:54:01.480]   in the sense that you cannot show this result.
[00:54:01.480 --> 00:54:05.920]   It really only applies to a single hidden layer.
[00:54:05.920 --> 00:54:08.480]   So in practice, it's very effective,
[00:54:08.480 --> 00:54:10.640]   but do expect some slowdown in training.
[00:54:10.640 --> 00:54:13.640]   So often, we tend to see that training a network
[00:54:13.640 --> 00:54:16.160]   to completion will take twice as many epochs
[00:54:16.160 --> 00:54:18.360]   if you're using dropout with 0.5.
[00:54:18.360 --> 00:54:19.980]   And here, you have the reference if you
[00:54:19.980 --> 00:54:21.920]   want to learn more about different variations
[00:54:21.920 --> 00:54:23.000]   of dropouts and so on.
[00:54:23.000 --> 00:54:28.920]   And I probably won't talk about unsupervised retraining
[00:54:28.920 --> 00:54:31.040]   for lack of time, but I'll talk about another thing
[00:54:31.040 --> 00:54:33.440]   that you'll definitely probably hear about,
[00:54:33.440 --> 00:54:35.740]   and that's implemented in these different packages, which
[00:54:35.740 --> 00:54:37.360]   is batch normalization.
[00:54:37.360 --> 00:54:39.660]   Batch normalization is kind of interesting in the sense
[00:54:39.660 --> 00:54:42.840]   that it's been shown to better optimize.
[00:54:42.840 --> 00:54:46.000]   That is, certain networks that would otherwise underfit
[00:54:46.000 --> 00:54:48.440]   would not underfit as much anymore
[00:54:48.440 --> 00:54:49.840]   if you use batch normalization.
[00:54:49.840 --> 00:54:51.440]   But also, it's been shown that when
[00:54:51.440 --> 00:54:54.720]   you use batch normalization, dropout is not as useful.
[00:54:54.720 --> 00:54:56.720]   And dropout being a regularization method,
[00:54:56.720 --> 00:54:59.760]   that suggests that perhaps batch normalization is also
[00:54:59.760 --> 00:55:01.280]   regularizing in some way.
[00:55:01.280 --> 00:55:03.800]   So these things are not one or the other.
[00:55:03.800 --> 00:55:05.160]   They're not mutually exclusive.
[00:55:05.160 --> 00:55:07.440]   You can have a regularizer that also, it turns out,
[00:55:07.440 --> 00:55:10.240]   helps you better optimize.
[00:55:10.240 --> 00:55:14.760]   So the intuition behind batch normalization
[00:55:14.760 --> 00:55:19.560]   is much like I've suggested that normalizing your inputs actually
[00:55:19.560 --> 00:55:21.120]   can help speeding up training.
[00:55:21.120 --> 00:55:24.380]   Well, how about we also normalize all the hidden layers
[00:55:24.380 --> 00:55:27.600]   when I'm doing my forward pass?
[00:55:27.600 --> 00:55:28.960]   Now, the problem in doing this is
[00:55:28.960 --> 00:55:31.880]   that I can compute the mean and the standard deviations
[00:55:31.880 --> 00:55:35.000]   of my inputs once and for all because they're constant.
[00:55:35.000 --> 00:55:36.640]   But my hidden layers are constantly
[00:55:36.640 --> 00:55:39.080]   changing because I'm training these parameters.
[00:55:39.080 --> 00:55:41.640]   So the mean and the standard deviation of my units
[00:55:41.640 --> 00:55:42.800]   will change.
[00:55:42.800 --> 00:55:45.920]   And so it would be very expensive
[00:55:45.920 --> 00:55:48.120]   if every time I did an update on my parameters,
[00:55:48.120 --> 00:55:50.540]   I recomputed the means and the standard deviations
[00:55:50.540 --> 00:55:52.400]   of all of my units.
[00:55:52.400 --> 00:55:54.980]   So batch normalization addresses some of these issues
[00:55:54.980 --> 00:55:56.360]   as follows.
[00:55:56.360 --> 00:55:59.520]   So the way it works is first, the normalization
[00:55:59.520 --> 00:56:02.240]   is going to be applied on actually the pre-activation.
[00:56:02.240 --> 00:56:03.660]   So not the activation of the unit,
[00:56:03.660 --> 00:56:06.480]   but before the non-linearity.
[00:56:06.480 --> 00:56:08.600]   During training, to address the issue
[00:56:08.600 --> 00:56:11.120]   that we don't want to compute means over the full training
[00:56:11.120 --> 00:56:12.720]   set because that would be too slow,
[00:56:12.720 --> 00:56:15.960]   I'm actually going to compute it on each mini-batch.
[00:56:15.960 --> 00:56:18.120]   So I have to do mini-batch training here.
[00:56:18.120 --> 00:56:21.560]   I'm going to take my small mini-batch of 64, 128 examples.
[00:56:21.560 --> 00:56:23.440]   And that's the set of examples on which
[00:56:23.440 --> 00:56:26.800]   I'm going to compute my means and standard deviations.
[00:56:26.800 --> 00:56:28.920]   And then when I do backprop, I'm actually
[00:56:28.920 --> 00:56:31.160]   going to take into account the normalization.
[00:56:31.160 --> 00:56:33.280]   So now there's going to be a gradient going
[00:56:33.280 --> 00:56:36.360]   through the computation of the mean and the standard deviation
[00:56:36.360 --> 00:56:38.320]   because they depend on the parameters
[00:56:38.320 --> 00:56:40.160]   of the neural network.
[00:56:40.160 --> 00:56:41.540]   And then at test time, we'll just
[00:56:41.540 --> 00:56:44.200]   use the global mean and global standard deviation.
[00:56:44.200 --> 00:56:45.880]   Once I finish training, I can actually
[00:56:45.880 --> 00:56:48.120]   do a full pass over the whole training set and get
[00:56:48.120 --> 00:56:52.000]   all of my means and standard deviations.
[00:56:52.000 --> 00:56:54.680]   So that's essentially the pseudocode for that,
[00:56:54.680 --> 00:56:57.360]   taken out of the paper directly.
[00:56:57.360 --> 00:57:00.520]   So if x is a pre-activation for a unit
[00:57:00.520 --> 00:57:02.640]   and have multiple pre-activations
[00:57:02.640 --> 00:57:05.240]   for a single unit across my mini-batch,
[00:57:05.240 --> 00:57:08.280]   I would compute what is the average for that unit
[00:57:08.280 --> 00:57:11.400]   pre-activation across my examples in my mini-batch,
[00:57:11.400 --> 00:57:15.000]   compute my variance, and then subtract the mean
[00:57:15.000 --> 00:57:17.760]   and divide by the square root of the variance,
[00:57:17.760 --> 00:57:19.680]   plus some epsilon for numerical stability
[00:57:19.680 --> 00:57:22.160]   in case the variance is too close to zero.
[00:57:22.160 --> 00:57:25.200]   And then another thing is that actually batch normalization
[00:57:25.200 --> 00:57:28.080]   doesn't just perform this normalization
[00:57:28.080 --> 00:57:30.400]   and outputs the normalized pre-activation.
[00:57:30.400 --> 00:57:34.640]   It then actually performs a linear transformation on it.
[00:57:34.640 --> 00:57:37.160]   So it multiplies it by this parameter gamma,
[00:57:37.160 --> 00:57:40.160]   which is going to be trained by gradient descent.
[00:57:40.160 --> 00:57:43.240]   And it's often called the gain parameter
[00:57:43.240 --> 00:57:45.760]   of batch normalization.
[00:57:45.760 --> 00:57:47.960]   And it adds a bias beta.
[00:57:47.960 --> 00:57:51.360]   And the reason is that if I'm subtracting by the mean,
[00:57:51.360 --> 00:57:54.620]   then each of these units have the bias parameter.
[00:57:54.620 --> 00:57:58.280]   So if I subtract it, then this essentially here,
[00:57:58.280 --> 00:57:59.680]   there's no bias anymore.
[00:57:59.680 --> 00:58:01.360]   It was present here, it was present here,
[00:58:01.360 --> 00:58:02.720]   and now it's been subtracted.
[00:58:02.720 --> 00:58:05.580]   So I have to add the bias, but after the batch normalization,
[00:58:05.580 --> 00:58:06.360]   essentially.
[00:58:06.360 --> 00:58:08.240]   So these betas here are essentially
[00:58:08.240 --> 00:58:10.380]   the new bias parameters.
[00:58:10.380 --> 00:58:11.800]   And those will actually be trained.
[00:58:11.800 --> 00:58:13.760]   So we do gradient descent also on those.
[00:58:13.760 --> 00:58:18.120]   So batch normalization adds a few parameters.
[00:58:18.120 --> 00:58:20.640]   All right, and as I said, I'm just going to skip over this.
[00:58:20.640 --> 00:58:23.200]   And I'm not showing what the gradients are when you back
[00:58:23.200 --> 00:58:24.760]   prop through the mean and so on.
[00:58:24.760 --> 00:58:27.300]   It's described in the paper if you want to see the gradients.
[00:58:27.300 --> 00:58:31.200]   But otherwise, in the different packages,
[00:58:31.200 --> 00:58:33.160]   you'll get the gradients automatically.
[00:58:33.160 --> 00:58:35.580]   It's usually been implemented.
[00:58:35.580 --> 00:58:38.080]   Skipping over that, I'll just finish.
[00:58:38.080 --> 00:58:40.160]   If you actually want to learn about unsupervised
[00:58:40.160 --> 00:58:42.480]   pre-training and why it works, I have videos on that.
[00:58:42.480 --> 00:58:44.200]   So you can check that out.
[00:58:44.200 --> 00:58:46.160]   And I guess that's it.
[00:58:46.160 --> 00:58:46.960]   Thank you.
[00:58:46.960 --> 00:58:49.880]   [APPLAUSE]
[00:58:49.880 --> 00:58:56.040]   Thanks, Hugo.
[00:58:56.040 --> 00:58:58.400]   So we have a few minutes for questions which
[00:58:58.400 --> 00:59:00.520]   are intermingled with a break.
[00:59:00.520 --> 00:59:04.800]   So feel free to either go for a break or ask questions to Hugo.
[00:59:04.800 --> 00:59:06.220]   I believe there are microphones.
[00:59:06.220 --> 00:59:07.760]   And I'll also stick around.
[00:59:07.760 --> 00:59:09.880]   So if you want to ask me questions offline,
[00:59:09.880 --> 00:59:10.960]   that's also fine.
[00:59:10.960 --> 00:59:13.040]   If anyone has questions, you can go to the mic.
[00:59:13.040 --> 00:59:23.080]   Go to the microphone.
[00:59:23.080 --> 00:59:23.580]   Hi.
[00:59:23.580 --> 00:59:24.080]   Hi.
[00:59:24.080 --> 00:59:26.340]   You mentioned the ReLU adds sparsity.
[00:59:26.340 --> 00:59:28.440]   Can you explain why?
[00:59:28.440 --> 00:59:34.400]   Yeah, so the first thing is that it's observed in practice.
[00:59:34.400 --> 00:59:37.200]   And it adds some sparsity in part
[00:59:37.200 --> 00:59:40.520]   because you have the non-linearity at 0 below.
[00:59:40.520 --> 00:59:43.560]   So it means that units are going to be potentially
[00:59:43.560 --> 00:59:49.480]   exactly sparse, essentially absent of the hidden layer.
[00:59:49.480 --> 00:59:54.400]   There are a few reasons to explain why you get sparsity.
[00:59:54.400 --> 00:59:56.900]   It turns out that this process of doing a linear
[00:59:56.900 --> 01:00:00.460]   transformation followed by the ReLU activation function
[01:00:00.460 --> 01:00:02.160]   is very close to some of the steps
[01:00:02.160 --> 01:00:04.840]   you would do when you're optimizing for sparse codes
[01:00:04.840 --> 01:00:07.700]   in a sparse coding model, if you know about sparse coding.
[01:00:07.700 --> 01:00:10.280]   So they're essentially an optimization method
[01:00:10.280 --> 01:00:12.720]   that, given some sparse coding model,
[01:00:12.720 --> 01:00:15.640]   will find what is the sparse representation,
[01:00:15.640 --> 01:00:17.580]   hidden representation for some input.
[01:00:17.580 --> 01:00:20.920]   And it's mostly a sequence of linear transformations
[01:00:20.920 --> 01:00:25.120]   followed by this ReLU-like activation function.
[01:00:25.120 --> 01:00:27.600]   And I think this is partly the explanation.
[01:00:27.600 --> 01:00:31.280]   Otherwise, I don't know of a solid explanation
[01:00:31.280 --> 01:00:34.280]   for why that is beyond what's observed in practice.
[01:00:34.280 --> 01:00:41.240]   Any more questions?
[01:00:41.240 --> 01:00:43.120]   If not, let's thank Hugo again.
[01:00:43.120 --> 01:00:47.600]   [APPLAUSE]
[01:00:47.600 --> 01:00:51.280]   And we are reconvening in 10 minutes.

