
[00:00:00.000 --> 00:00:02.000]   I'm now recording.
[01:19:03.000 --> 01:19:05.000]   They're not very open like OpenAI is.
[01:19:05.000 --> 01:19:07.000]   They talk about some of the advanced frontier stuff
[01:19:07.000 --> 01:19:09.000]   like AlphaFold and so on,
[01:19:09.000 --> 01:19:10.000]   and they've been public about that,
[01:19:10.000 --> 01:19:12.000]   but a lot of that is really to generate interest
[01:19:12.000 --> 01:19:14.000]   and hype in what's next.
[01:19:14.000 --> 01:19:16.000]   But my understanding is DeepMind's been applied
[01:19:16.000 --> 01:19:17.000]   to everything from--
[01:19:17.000 --> 01:19:18.000]   - Ads.
[01:19:18.000 --> 01:19:20.000]   - Ad optimization,
[01:19:20.000 --> 01:19:22.000]   but also the ranking on YouTube videos
[01:19:22.000 --> 01:19:24.000]   to get people more engagement on YouTube,
[01:19:24.000 --> 01:19:25.000]   et cetera, et cetera.
[01:19:25.000 --> 01:19:27.000]   So there's all these ways that DeepMind's been applied
[01:19:27.000 --> 01:19:28.000]   within Google services--
[01:19:28.000 --> 01:19:29.000]   - That we don't see.
[01:19:29.000 --> 01:19:31.000]   - And certainly within search.
[01:19:31.000 --> 01:19:32.000]   But the question is,
[01:19:32.000 --> 01:19:35.000]   is there an entirely new interface for search
[01:19:35.000 --> 01:19:38.000]   that risks Google's core search business?
[01:19:38.000 --> 01:19:40.000]   And I think that there certainly will be
[01:19:40.000 --> 01:19:41.000]   a lot of money thrown at this,
[01:19:41.000 --> 01:19:43.000]   and if anyone has any interesting ideas,
[01:19:43.000 --> 01:19:44.000]   send me an email.
[01:19:44.000 --> 01:19:45.000]   - Saks and then Shamath.
[01:19:45.000 --> 01:19:47.000]   - Yeah, I think that's a really interesting point.
[01:19:47.000 --> 01:19:49.000]   I saw a thread on this
[01:19:49.000 --> 01:19:54.000]   where somebody was asking GPT
[01:19:54.000 --> 01:19:56.000]   a bunch of questions.
[01:19:56.000 --> 01:19:58.000]   They were generally coding questions,
[01:19:58.000 --> 01:19:59.000]   and they were actually comparing
[01:19:59.000 --> 01:20:02.000]   the result in Google versus GPT,
[01:20:02.000 --> 01:20:04.000]   and Google would just give you a reference
[01:20:04.000 --> 01:20:06.000]   to a link to some page,
[01:20:06.000 --> 01:20:09.000]   whereas GPT-3 would actually construct the answer,
[01:20:09.000 --> 01:20:11.000]   like a multi-paragraph answer
[01:20:11.000 --> 01:20:13.000]   that was far more detailed
[01:20:13.000 --> 01:20:15.000]   and in a way user-friendly.
[01:20:15.000 --> 01:20:16.000]   - Yeah.
[01:20:16.000 --> 01:20:17.000]   - Whereas the Google page
[01:20:17.000 --> 01:20:19.000]   would kick you over to a reference
[01:20:19.000 --> 01:20:21.000]   where it was like this one, two, three,
[01:20:21.000 --> 01:20:23.000]   sort of maybe someone had created a checklist,
[01:20:23.000 --> 01:20:24.000]   but it just wasn't that detailed.
[01:20:24.000 --> 01:20:26.000]   It really is pretty interesting.
[01:20:26.000 --> 01:20:29.000]   I thought Andresen tweeted
[01:20:29.000 --> 01:20:32.000]   a really interesting example as well
[01:20:32.000 --> 01:20:38.000]   where he asked GPT to create a scene from a play
[01:20:38.000 --> 01:20:40.000]   starring a New York Times journalist
[01:20:40.000 --> 01:20:41.000]   and a Silicon Valley tech entrepreneur.
[01:20:41.000 --> 01:20:43.000]   They were arguing about free speech,
[01:20:43.000 --> 01:20:45.000]   and each person asserts the view
[01:20:45.000 --> 01:20:48.000]   associated with his profession and social circle.
[01:20:48.000 --> 01:20:49.000]   We don't need to read the whole thing,
[01:20:49.000 --> 01:20:51.000]   but I thought this was spot on
[01:20:51.000 --> 01:20:53.000]   where I was actually like,
[01:20:53.000 --> 01:20:55.000]   both sides are making their best arguments,
[01:20:55.000 --> 01:20:57.000]   and it's like to each other
[01:20:57.000 --> 01:20:59.000]   in a conversation that seems intelligible.
[01:20:59.000 --> 01:21:01.000]   Like they're making their points
[01:21:01.000 --> 01:21:04.000]   at the right time in the conversation.
[01:21:04.000 --> 01:21:06.000]   It's like they're playing off each other.
[01:21:06.000 --> 01:21:07.000]   In other words,
[01:21:07.000 --> 01:21:08.000]   it actually reads like a conversation.
[01:21:08.000 --> 01:21:10.000]   I actually thought this one was more impressive
[01:21:10.000 --> 01:21:13.000]   than the one with the bestie impersonation
[01:21:13.000 --> 01:21:14.000]   because I actually thought that
[01:21:14.000 --> 01:21:15.000]   the one about all in
[01:21:15.000 --> 01:21:19.000]   didn't really capture our personalities per se,
[01:21:19.000 --> 01:21:21.000]   but this one actually does a pretty good job
[01:21:21.000 --> 01:21:24.000]   capturing the arguments in this debate.
[01:21:24.000 --> 01:21:25.000]   - Chamath?
[01:21:25.000 --> 01:21:26.000]   - Pretty impressive.
[01:21:26.000 --> 01:21:27.000]   - Any thoughts here?
[01:21:27.000 --> 01:21:28.000]   - Yeah, lots.
[01:21:28.000 --> 01:21:31.000]   I've spent a lot of time learning about this area.
[01:21:31.000 --> 01:21:32.000]   Six years ago,
[01:21:32.000 --> 01:21:35.000]   a team that I partnered with
[01:21:35.000 --> 01:21:37.000]   who was at Google that built TPU,
[01:21:37.000 --> 01:21:39.000]   we've been building silicon for this space,
[01:21:39.000 --> 01:21:40.000]   so we've been kind of going from the ground up
[01:21:40.000 --> 01:21:42.000]   for the last six years.
[01:21:42.000 --> 01:21:43.000]   A couple things that I'll say.
[01:21:43.000 --> 01:21:46.000]   The first is that I think
[01:21:46.000 --> 01:21:48.000]   we're going to replace SAS
[01:21:48.000 --> 01:21:50.000]   with what I call MAS,
[01:21:50.000 --> 01:21:52.000]   which is Models as a Service.
[01:21:52.000 --> 01:21:53.000]   And so, you know,
[01:21:53.000 --> 01:21:55.000]   a lot of what software will be,
[01:21:55.000 --> 01:21:56.000]   particularly in the enterprise,
[01:21:56.000 --> 01:21:59.000]   will get replaced with a single-use model
[01:21:59.000 --> 01:22:01.000]   that allows you to solve a function.
[01:22:01.000 --> 01:22:03.000]   So these chat examples are one,
[01:22:03.000 --> 01:22:05.000]   and you can name a bunch of SAS companies
[01:22:05.000 --> 01:22:07.000]   that were purveyors of SAS
[01:22:07.000 --> 01:22:10.000]   that'll get replaced by essentially GPT-3
[01:22:10.000 --> 01:22:12.000]   or some other language model.
[01:22:12.000 --> 01:22:14.000]   And then there'll be a whole bunch
[01:22:14.000 --> 01:22:15.000]   of other things like that.
[01:22:15.000 --> 01:22:16.000]   If it's a, you know,
[01:22:16.000 --> 01:22:18.000]   expense management company,
[01:22:18.000 --> 01:22:19.000]   they'll have a model
[01:22:19.000 --> 01:22:21.000]   that'll allow them to actually do
[01:22:21.000 --> 01:22:23.000]   expense management or blah, blah, blah,
[01:22:23.000 --> 01:22:25.000]   forecasting better.
[01:22:25.000 --> 01:22:28.000]   So I think SAS will get replaced over time
[01:22:28.000 --> 01:22:30.000]   with these models incrementally.
[01:22:30.000 --> 01:22:31.000]   That's phase one.
[01:22:31.000 --> 01:22:33.000]   But the problem with all of these models,
[01:22:33.000 --> 01:22:34.000]   in my opinion,
[01:22:34.000 --> 01:22:36.000]   is that they're still largely brittle.
[01:22:36.000 --> 01:22:39.000]   They are good at one thing.
[01:22:39.000 --> 01:22:42.000]   They are a single-mode way
[01:22:42.000 --> 01:22:44.000]   of interfacing with data.
[01:22:44.000 --> 01:22:46.000]   The next big leap,
[01:22:46.000 --> 01:22:47.000]   and I think it will come from
[01:22:47.000 --> 01:22:48.000]   one of the big tech companies
[01:22:48.000 --> 01:22:50.000]   or from OpenAI,
[01:22:50.000 --> 01:22:51.000]   is, and we talked about this,
[01:22:51.000 --> 01:22:53.000]   I talked about this a few episodes ago,
[01:22:53.000 --> 01:22:55.000]   is a multimodal model,
[01:22:55.000 --> 01:22:57.000]   which then allows you to actually
[01:22:57.000 --> 01:22:59.000]   bring together and join
[01:22:59.000 --> 01:23:02.000]   video voice data in a unique way
[01:23:02.000 --> 01:23:05.000]   to answer real substantive problems.
[01:23:05.000 --> 01:23:07.000]   So if I had to steel man
[01:23:07.000 --> 01:23:08.000]   the opposite side reaction,
[01:23:08.000 --> 01:23:10.000]   so I think there's a lot of people gushing
[01:23:10.000 --> 01:23:12.000]   over the novelty of GPT-3,
[01:23:12.000 --> 01:23:14.000]   if I had to, or chat GPT,
[01:23:14.000 --> 01:23:16.000]   if I had to steel man the opposite,
[01:23:16.000 --> 01:23:17.000]   what I would say is
[01:23:17.000 --> 01:23:19.000]   it's going to get somewhere
[01:23:19.000 --> 01:23:21.000]   between 95 to 99%
[01:23:21.000 --> 01:23:24.000]   of all of these very simple questions right
[01:23:24.000 --> 01:23:26.000]   because they're kind of cute and simple.
[01:23:26.000 --> 01:23:28.000]   There is no consequence of saying
[01:23:28.000 --> 01:23:30.000]   "Write a play" because there is no wrong answer.
[01:23:30.000 --> 01:23:32.000]   Right? You either kind of,
[01:23:32.000 --> 01:23:34.000]   it tickles your fancy or it doesn't,
[01:23:34.000 --> 01:23:37.000]   it kind of entertains you or it doesn't.
[01:23:37.000 --> 01:23:39.000]   When this stuff becomes very valuable
[01:23:39.000 --> 01:23:42.000]   is that when you really need a precise answer
[01:23:42.000 --> 01:23:44.000]   and you can guarantee that
[01:23:44.000 --> 01:23:45.000]   to be overwhelmingly right,
[01:23:45.000 --> 01:23:47.000]   that's the last 1% to 2%
[01:23:47.000 --> 01:23:49.000]   that is exceptionally hard.
[01:23:49.000 --> 01:23:51.000]   And I don't think that we're at a place yet
[01:23:51.000 --> 01:23:53.000]   where these models can do that.
[01:23:53.000 --> 01:23:55.000]   But when we get there,
[01:23:55.000 --> 01:23:57.000]   all of these models as a service
[01:23:57.000 --> 01:24:00.000]   will be very much commoditized.
[01:24:00.000 --> 01:24:03.000]   And I think the real value is finding
[01:24:03.000 --> 01:24:06.000]   non-obvious sources of data
[01:24:06.000 --> 01:24:08.000]   that feed it.
[01:24:08.000 --> 01:24:09.000]   So it's all about training.
[01:24:09.000 --> 01:24:11.000]   So meaning you can break down
[01:24:11.000 --> 01:24:13.000]   machine learning and AI into two simple things.
[01:24:13.000 --> 01:24:14.000]   There's training,
[01:24:14.000 --> 01:24:16.000]   which is what you do asynchronously,
[01:24:16.000 --> 01:24:17.000]   and then there's inference,
[01:24:17.000 --> 01:24:19.000]   which is what you're doing in real time.
[01:24:19.000 --> 01:24:21.000]   So when you're typing something into chat API
[01:24:21.000 --> 01:24:23.000]   or a chat GPT,
[01:24:23.000 --> 01:24:25.000]   that's an inference that's running
[01:24:25.000 --> 01:24:26.000]   and then you're generating an output.
[01:24:26.000 --> 01:24:28.000]   But the real key is where do you find
[01:24:28.000 --> 01:24:31.000]   proprietary sources of data
[01:24:31.000 --> 01:24:33.000]   that you can learn on top of?
[01:24:33.000 --> 01:24:35.000]   That's the real arms race.
[01:24:35.000 --> 01:24:37.000]   So one example would be,
[01:24:37.000 --> 01:24:39.000]   let's say you build a model
[01:24:39.000 --> 01:24:41.000]   to detect tumors.
[01:24:41.000 --> 01:24:43.000]   Right? There's a lot of people doing that.
[01:24:43.000 --> 01:24:45.000]   Well, the company that will win
[01:24:45.000 --> 01:24:47.000]   may be the company that actually
[01:24:47.000 --> 01:24:49.000]   then vertically integrates,
[01:24:49.000 --> 01:24:51.000]   buys a hospital system,
[01:24:51.000 --> 01:24:53.000]   and get access to patient data
[01:24:53.000 --> 01:24:55.000]   that is completely proprietary to them
[01:24:55.000 --> 01:24:57.000]   and covers the most number of women
[01:24:57.000 --> 01:24:59.000]   of all age groups and of all ethnic
[01:24:59.000 --> 01:25:01.000]   categories.
[01:25:01.000 --> 01:25:03.000]   Those are the kinds of moves
[01:25:03.000 --> 01:25:05.000]   in business that we will see in the next
[01:25:05.000 --> 01:25:07.000]   five to ten years that I find much more
[01:25:07.000 --> 01:25:09.000]   exciting and trying to figure out
[01:25:09.000 --> 01:25:11.000]   how to play in that space.
[01:25:11.000 --> 01:25:13.000]   But I do think that chat GPT is a wonderful
[01:25:13.000 --> 01:25:15.000]   example to point
[01:25:15.000 --> 01:25:17.000]   us in that direction. But I'm sort
[01:25:17.000 --> 01:25:19.000]   of more of that case, which is
[01:25:19.000 --> 01:25:21.000]   it's a cute toy, but we
[01:25:21.000 --> 01:25:23.000]   haven't yet cracked the 1 to 2% of
[01:25:23.000 --> 01:25:25.000]   use cases that makes it super useful.
[01:25:25.000 --> 01:25:27.000]   But I think the first step,
[01:25:27.000 --> 01:25:29.000]   but the first step will be the transformation
[01:25:29.000 --> 01:25:31.000]   of SAS to MAS.
[01:25:31.000 --> 01:25:33.000]   And then from there, we think we can try to figure
[01:25:33.000 --> 01:25:35.000]   this out. It reminds me of in a way when you
[01:25:35.000 --> 01:25:37.000]   give that description of like, "Hey, this is really
[01:25:37.000 --> 01:25:39.000]   interesting, but it's not complete."
[01:25:39.000 --> 01:25:41.000]   Is remember when GPS came out and
[01:25:41.000 --> 01:25:43.000]   people were doing turn-by-turn
[01:25:43.000 --> 01:25:45.000]   navigation, they'd drive off the road because they were
[01:25:45.000 --> 01:25:47.000]   trusting it too much. And then
[01:25:47.000 --> 01:25:49.000]   over 20 years of GPS, we're
[01:25:49.000 --> 01:25:51.000]   kind of like, "Yeah, it's pretty bulletproof, but keep your eyes on
[01:25:51.000 --> 01:25:53.000]   the road." Same thing that's happening.
[01:25:53.000 --> 01:25:55.000]   And these changes tend to be slow.
[01:25:55.000 --> 01:25:57.000]   You said it right. These last 100 or 200 basis
[01:25:57.000 --> 01:25:59.000]   points literally takes decades.
[01:25:59.000 --> 01:26:01.000]   Exactly. So the last 15% of self-driving
[01:26:01.000 --> 01:26:03.000]   is like the decade-long
[01:26:03.000 --> 01:26:05.000]   slog. That may take a century. 15% may
[01:26:05.000 --> 01:26:07.000]   take a century. But the last 2% will take a few
[01:26:07.000 --> 01:26:09.000]   decades. It's like the change happens very slowly and then
[01:26:09.000 --> 01:26:11.000]   it all happens at once. For people who don't know
[01:26:11.000 --> 01:26:13.000]   what a TPU is, that's a
[01:26:13.000 --> 01:26:15.000]   Tensor Processing Unit. This is Google's
[01:26:15.000 --> 01:26:17.000]   application-specific
[01:26:17.000 --> 01:26:19.000]   circuits, right? Custom silicon
[01:26:19.000 --> 01:26:21.000]   that they invented for TensorFlow at the time.
[01:26:21.000 --> 01:26:23.000]   Yeah, so if you want to try to... Although now the modality
[01:26:23.000 --> 01:26:25.000]   of AI, we've changed that as well. So now we're totally
[01:26:25.000 --> 01:26:27.000]   in the world of transformers. So we're not even using...
[01:26:27.000 --> 01:26:31.000]   You're not letting the tensors flow the way they used to.
[01:26:31.000 --> 01:26:33.000]   All right, there's been a slowdown in SAS.
[01:26:33.000 --> 01:26:35.000]   Sax, what is happening
[01:26:35.000 --> 01:26:37.000]   in the software-as-a-service world?
[01:26:37.000 --> 01:26:39.000]   This is a good update by Jamin
[01:26:39.000 --> 01:26:41.000]   Ball, who works for Altimeter, our friend Brad Gerstner.
[01:26:41.000 --> 01:26:43.000]   He does these really great updates on
[01:26:43.000 --> 01:26:45.000]   what's happening in the SAS world. The big thing
[01:26:45.000 --> 01:26:47.000]   this week is that Salesforce had
[01:26:47.000 --> 01:26:49.000]   its quarter, and I would consider Salesforce
[01:26:49.000 --> 01:26:51.000]   to be the bellwether for the whole
[01:26:51.000 --> 01:26:53.000]   SAS category. I think they're the largest
[01:26:53.000 --> 01:26:55.000]   pure SAS company. They were
[01:26:55.000 --> 01:26:57.000]   the first multi-tenant SAS
[01:26:57.000 --> 01:26:59.000]   company at scale.
[01:26:59.000 --> 01:27:01.000]   What they've shown is
[01:27:01.000 --> 01:27:03.000]   a huge slowdown. Basically,
[01:27:03.000 --> 01:27:05.000]   their net new ARR
[01:27:05.000 --> 01:27:07.000]   that they just added in the previous quarter
[01:27:07.000 --> 01:27:09.000]   dropped two-thirds compared
[01:27:09.000 --> 01:27:11.000]   to the previous quarter.
[01:27:11.000 --> 01:27:13.000]   But because their sales and marketing spend
[01:27:13.000 --> 01:27:15.000]   was the same as the previous quarter,
[01:27:15.000 --> 01:27:17.000]   it exploded their
[01:27:17.000 --> 01:27:19.000]   CAC payback, which means the amount of time
[01:27:19.000 --> 01:27:21.000]   it takes to pay back your
[01:27:21.000 --> 01:27:23.000]   customer acquisition costs for a given
[01:27:23.000 --> 01:27:25.000]   customer. So you see there, 155
[01:27:25.000 --> 01:27:27.000]   months it would
[01:27:27.000 --> 01:27:29.000]   take now to pay back
[01:27:29.000 --> 01:27:31.000]   the customer acquisition costs.
[01:27:31.000 --> 01:27:33.000]   That's over 10 years. That doesn't work.
[01:27:33.000 --> 01:27:35.000]   I think before this quarter
[01:27:35.000 --> 01:27:37.000]   it was more like
[01:27:37.000 --> 01:27:39.000]   two and a half years. That's something that you can
[01:27:39.000 --> 01:27:41.000]   afford. A company can't
[01:27:41.000 --> 01:27:43.000]   if you're spending 10 years of
[01:27:43.000 --> 01:27:45.000]   gross profit on a customer
[01:27:45.000 --> 01:27:47.000]   to acquire them. The business doesn't make sense.
[01:27:47.000 --> 01:27:49.000]   So now, I'm not saying any of this
[01:27:49.000 --> 01:27:51.000]   to pick on Salesforce. It's an exceptionally
[01:27:51.000 --> 01:27:53.000]   run company.
[01:27:53.000 --> 01:27:55.000]   One of the absolute best.
[01:27:55.000 --> 01:27:57.000]   Marc Benioff, fantastic
[01:27:57.000 --> 01:27:59.000]   CEO, founder, great human
[01:27:59.000 --> 01:28:01.000]   being. But I think the point here is that
[01:28:01.000 --> 01:28:03.000]   what you're seeing is
[01:28:03.000 --> 01:28:05.000]   the whole SaaS industry
[01:28:05.000 --> 01:28:07.000]   is really slowing down here.
[01:28:07.000 --> 01:28:09.000]   In the first half of the year, you saw
[01:28:09.000 --> 01:28:11.000]   SaaS valuations correct.
[01:28:11.000 --> 01:28:13.000]   Now we're actually seeing SaaS
[01:28:13.000 --> 01:28:15.000]   top line correct.
[01:28:15.000 --> 01:28:17.000]   There's an interesting question
[01:28:17.000 --> 01:28:19.000]   here. If your CAC payback goes from
[01:28:19.000 --> 01:28:21.000]   two and a half years to 10 years, you have to
[01:28:21.000 --> 01:28:23.000]   bring your CAC down. How do you do that?
[01:28:23.000 --> 01:28:25.000]   You can either reduce marketing
[01:28:25.000 --> 01:28:27.000]   or you can reduce sales.
[01:28:27.000 --> 01:28:29.000]   So in other words, you can reduce... You mean cut the sales
[01:28:29.000 --> 01:28:31.000]   team? You can either cut
[01:28:31.000 --> 01:28:33.000]   people and headcount from your own team
[01:28:33.000 --> 01:28:35.000]   or you can cut spending you do
[01:28:35.000 --> 01:28:37.000]   on advertising or
[01:28:37.000 --> 01:28:39.000]   events or money that you spend
[01:28:39.000 --> 01:28:41.000]   on other companies. Either way,
[01:28:41.000 --> 01:28:43.000]   there's going to be a big contraction
[01:28:43.000 --> 01:28:45.000]   in jobs, basically,
[01:28:45.000 --> 01:28:47.000]   around this industry. And I think
[01:28:47.000 --> 01:28:49.000]   that what that could do is cause
[01:28:49.000 --> 01:28:51.000]   a vicious cycle where
[01:28:51.000 --> 01:28:53.000]   we start seeing... Death spiral?
[01:28:53.000 --> 01:28:55.000]   I wouldn't say death spiral. I think this vicious cycle
[01:28:55.000 --> 01:28:57.000]   for the next year or so where
[01:28:57.000 --> 01:28:59.000]   seat contraction becomes the
[01:28:59.000 --> 01:29:01.000]   norm instead of seat expansion.
[01:29:01.000 --> 01:29:03.000]   So if you go back over the last 10
[01:29:03.000 --> 01:29:05.000]   years, a major tailwind
[01:29:05.000 --> 01:29:07.000]   at the backs of SaaS startups has
[01:29:07.000 --> 01:29:09.000]   been that every year
[01:29:09.000 --> 01:29:11.000]   you start with 120%, 130%,
[01:29:11.000 --> 01:29:13.000]   150% of last year's
[01:29:13.000 --> 01:29:15.000]   revenue just from your existing customers.
[01:29:15.000 --> 01:29:17.000]   Why? Because they were hiring more
[01:29:17.000 --> 01:29:19.000]   and more people and they needed to buy more and more
[01:29:19.000 --> 01:29:21.000]   seats. But now headcount growth
[01:29:21.000 --> 01:29:23.000]   is frozen and in fact, companies
[01:29:23.000 --> 01:29:25.000]   are doing major layoffs. So the
[01:29:25.000 --> 01:29:27.000]   baseline for next year could be
[01:29:27.000 --> 01:29:29.000]   seat contraction. So instead of starting
[01:29:29.000 --> 01:29:31.000]   with 120% of last year's revenue,
[01:29:31.000 --> 01:29:33.000]   you might start with 80% or 90%
[01:29:33.000 --> 01:29:35.000]   because there's going to be so much churn.
[01:29:35.000 --> 01:29:37.000]   So I think that SaaS companies need
[01:29:37.000 --> 01:29:39.000]   to take this into account. This idea
[01:29:39.000 --> 01:29:41.000]   that growth is on autopilot,
[01:29:41.000 --> 01:29:43.000]   that could start to go in reverse. I don't
[01:29:43.000 --> 01:29:45.000]   think permanently, but I think for the next year
[01:29:45.000 --> 01:29:47.000]   or so. This is why I also tweeted
[01:29:47.000 --> 01:29:49.000]   2X is the new 3X. If you can
[01:29:49.000 --> 01:29:51.000]   grow 2X year over year in this environment,
[01:29:51.000 --> 01:29:53.000]   that is as good as
[01:29:53.000 --> 01:29:55.000]   better than growing 3X last year.
[01:29:55.000 --> 01:29:57.000]   Clearly, it's better. Like a
[01:29:57.000 --> 01:29:59.000]   lot of companies that weren't that great could
[01:29:59.000 --> 01:30:01.000]   grow 3X last year because it was
[01:30:01.000 --> 01:30:03.000]   so times are so frothy. Everyone was
[01:30:03.000 --> 01:30:05.000]   buying everything. But now it is going to be
[01:30:05.000 --> 01:30:07.000]   really hard to even double year over
[01:30:07.000 --> 01:30:09.000]   year. Companies need to take that into account
[01:30:09.000 --> 01:30:11.000]   into their financial planning.
[01:30:11.000 --> 01:30:13.000]   You need to restrain your burn because
[01:30:13.000 --> 01:30:15.000]   a lot of the revenue that you predict is going to be there
[01:30:15.000 --> 01:30:17.000]   may not be there.
[01:30:17.000 --> 01:30:19.000]   All right. Thanks so much
[01:30:19.000 --> 01:30:21.000]   to the Secretary of SaaS.
[01:30:21.000 --> 01:30:23.000]   I think you got a board meeting. I do. I got to run.
[01:30:23.000 --> 01:30:25.000]   One of the interesting things I saw in terms of use cases
[01:30:25.000 --> 01:30:27.000]   is somebody used the
[01:30:27.000 --> 01:30:29.000]   chat GPT to describe
[01:30:29.000 --> 01:30:31.000]   rooms. Then they took the descriptions
[01:30:31.000 --> 01:30:33.000]   of those rooms and then they put them into like
[01:30:33.000 --> 01:30:35.000]   Dolly or Stable Diffusion, one of those
[01:30:35.000 --> 01:30:37.000]   and it created the visual. I'm curious if
[01:30:37.000 --> 01:30:39.000]   you think the self-driving
[01:30:39.000 --> 01:30:41.000]   APIs and machine
[01:30:41.000 --> 01:30:43.000]   learning that's going on.
[01:30:43.000 --> 01:30:45.000]   Then you got images, then you got chat.
[01:30:45.000 --> 01:30:47.000]   Maybe you have proteins going on with
[01:30:47.000 --> 01:30:49.000]   the AlphaFold stuff. When
[01:30:49.000 --> 01:30:51.000]   these things start talking to each other,
[01:30:51.000 --> 01:30:53.000]   is that going to be the emergent
[01:30:53.000 --> 01:30:55.000]   behavior that we see
[01:30:55.000 --> 01:30:57.000]   of general AI and that's how we'll interpret
[01:30:57.000 --> 01:30:59.000]   it in our world is these
[01:30:59.000 --> 01:31:01.000]   100 different vertical
[01:31:01.000 --> 01:31:03.000]   AIs
[01:31:03.000 --> 01:31:05.000]   hitting some level of reasonableness
[01:31:05.000 --> 01:31:07.000]   to Chamath's point on data sets
[01:31:07.000 --> 01:31:09.000]   and then all of a sudden the self-driving AI
[01:31:09.000 --> 01:31:11.000]   is talking to the one that's looking at
[01:31:11.000 --> 01:31:13.000]   cancer and tumor diagnosis in the chat
[01:31:13.000 --> 01:31:15.000]   and the image ones and maybe Stable Diffusion,
[01:31:15.000 --> 01:31:17.000]   the protein AI
[01:31:17.000 --> 01:31:19.000]   and the one that's looking at cancer
[01:31:19.000 --> 01:31:21.000]   cells start talking to each other. Yeah,
[01:31:21.000 --> 01:31:23.000]   I'm not sure that's as
[01:31:23.000 --> 01:31:25.000]   likely as
[01:31:25.000 --> 01:31:27.000]   the... there's a lot of
[01:31:27.000 --> 01:31:29.000]   solutions that will emerge
[01:31:29.000 --> 01:31:31.000]   within verticals
[01:31:31.000 --> 01:31:33.000]   and I think you can distinguish them.
[01:31:33.000 --> 01:31:35.000]   So I kind of gave this example a few
[01:31:35.000 --> 01:31:37.000]   months ago.
[01:31:37.000 --> 01:31:39.000]   If you remember Kai's Power Tools
[01:31:39.000 --> 01:31:41.000]   was a plugin for Adobe Photoshop
[01:31:41.000 --> 01:31:43.000]   came out in 1993, I
[01:31:43.000 --> 01:31:45.000]   believe. Of course. And Kai's Power Tools
[01:31:45.000 --> 01:31:47.000]   completely transformed the
[01:31:47.000 --> 01:31:49.000]   potential of Adobe Photoshop. Because
[01:31:49.000 --> 01:31:51.000]   Photoshop had all the basic brushing and
[01:31:51.000 --> 01:31:53.000]   editing capabilities within it.
[01:31:53.000 --> 01:31:55.000]   Kai's Power Tools was statistical models
[01:31:55.000 --> 01:31:57.000]   that basically took the
[01:31:57.000 --> 01:31:59.000]   matrix of the pixels
[01:31:59.000 --> 01:32:01.000]   and created some
[01:32:01.000 --> 01:32:03.000]   evolution of them into some visual
[01:32:03.000 --> 01:32:05.000]   output like a blur. And so you
[01:32:05.000 --> 01:32:07.000]   could blur, motion blur something and you could change
[01:32:07.000 --> 01:32:09.000]   the parameters and now your photo
[01:32:09.000 --> 01:32:11.000]   looked like it was going through a motion blur.
[01:32:11.000 --> 01:32:13.000]   Ultimately, Photoshop bought and
[01:32:13.000 --> 01:32:15.000]   implemented those tools. But those
[01:32:15.000 --> 01:32:17.000]   were similar. They were statistical models
[01:32:17.000 --> 01:32:19.000]   that made some representation of the input
[01:32:19.000 --> 01:32:21.000]   which was the image and then created an
[01:32:21.000 --> 01:32:23.000]   output which was an adjusted image.
[01:32:23.000 --> 01:32:25.000]   I would argue that that is very similar
[01:32:25.000 --> 01:32:27.000]   although the models behind
[01:32:27.000 --> 01:32:29.000]   it are very different in
[01:32:29.000 --> 01:32:31.000]   terms of the contextual application
[01:32:31.000 --> 01:32:33.000]   of statistical
[01:32:33.000 --> 01:32:35.000]   models in software. And
[01:32:35.000 --> 01:32:37.000]   you could see stuff like, for example,
[01:32:37.000 --> 01:32:39.000]   a chatbot that replaces
[01:32:39.000 --> 01:32:41.000]   "Help me figure out
[01:32:41.000 --> 01:32:43.000]   whether my credit card charges are correct or not."
[01:32:43.000 --> 01:32:45.000]   Instead of having a customer service
[01:32:45.000 --> 01:32:47.000]   agent, an offshore customer service
[01:32:47.000 --> 01:32:49.000]   agent helping you resolve that.
[01:32:49.000 --> 01:32:51.000]   Or "Help me return my item."
[01:32:51.000 --> 01:32:53.000]   Or there are very specific
[01:32:53.000 --> 01:32:55.000]   kind of verticalized applications
[01:32:55.000 --> 01:32:57.000]   that can plug in
[01:32:57.000 --> 01:32:59.000]   that ultimately replace what was
[01:32:59.000 --> 01:33:01.000]   manual and human driven before.
[01:33:01.000 --> 01:33:03.000]   Because humans used to manually make the motion
[01:33:03.000 --> 01:33:05.000]   blur in Photoshop and then it was automated
[01:33:05.000 --> 01:33:07.000]   with these software packages. And I think you
[01:33:07.000 --> 01:33:09.000]   can kind of think about it in that same way that these
[01:33:09.000 --> 01:33:11.000]   are known knowns. They don't require
[01:33:11.000 --> 01:33:13.000]   necessarily human
[01:33:13.000 --> 01:33:15.000]   physical labor or some
[01:33:15.000 --> 01:33:17.000]   human responsiveness. That if 95%
[01:33:17.000 --> 01:33:19.000]   of the work can be handled, it will
[01:33:19.000 --> 01:33:21.000]   get handled by some verticalized
[01:33:21.000 --> 01:33:23.000]   solution. So I think the
[01:33:23.000 --> 01:33:25.000]   physical labor versus the non-physical labor is
[01:33:25.000 --> 01:33:27.000]   one way to think about the distinction. Meaning is there some
[01:33:27.000 --> 01:33:29.000]   change in the physical world?
