
[00:00:00.000 --> 00:00:05.540]   The following is a conversation with Jeffrey Wasserstrom, a historian of modern China.
[02:21:19.180 --> 02:21:26.060]   unexpected things are blows to where you thought his direction history was going. But history just
[02:21:26.060 --> 02:21:31.500]   shows you that history doesn't have a direction. That's not—there isn't a straight road.
[02:21:31.500 --> 02:21:39.100]   Yeah, and there's, you know, the idealism of youth can lead to things like the Russian Revolution,
[02:21:39.100 --> 02:21:44.700]   and then you get Stalin with Baltimore and the purges, and all of that entailed. So,
[02:21:44.700 --> 02:21:55.740]   a successful protest and a successful revolution might have unintended consequences that far overshadow
[02:21:55.740 --> 02:22:01.020]   whatever ideals and dreams you had fighting for the working class, whatever it was in that particular
[02:22:01.020 --> 02:22:08.620]   case, that can cause immeasurable suffering. So it's—there is no direction to history. There's just some
[02:22:08.620 --> 02:22:15.900]   lessons we pick up along the way, and we try to, hopefully, try to help humanity flourish,
[02:22:15.900 --> 02:22:19.580]   and we barely know what we're doing, and now we have nuclear weapons.
[02:22:19.580 --> 02:22:28.140]   And some of it is also, though, people—sometimes the people who I find really admirable—it's not about
[02:22:28.140 --> 02:22:33.500]   trying to create totalistic change, but they focus on trying to do what they can
[02:22:33.500 --> 02:22:40.940]   with—for the things they believe in within constrained circumstances. And in Thailand,
[02:22:40.940 --> 02:22:46.300]   they've sort of hit a roadblock now, again, over kind of trying to bring about electoral change.
[02:22:46.300 --> 02:22:52.860]   A party that did really well was then disqualified, and some of the activists I know are focusing on
[02:22:52.860 --> 02:22:59.900]   local efforts to improve a neighborhood, to keep a neighborhood from suffering from a kind of unthinking
[02:22:59.900 --> 02:23:04.380]   gentrification. They're thinking small. They're thinking sometimes about just,
[02:23:04.380 --> 02:23:12.540]   what can we do to improve the life of people within certain—how can we build—how can we contribute to
[02:23:12.540 --> 02:23:21.900]   the kinds of social groups that might make some kind of incremental improvement to being the kind of
[02:23:21.900 --> 02:23:27.420]   world that we want to live in? People do that in all kinds of ways.
[02:23:27.420 --> 02:23:34.300]   What kind of parallels can we draw between Taiwan and Hong Kong? What do you think the people of Taiwan
[02:23:34.300 --> 02:23:37.500]   are thinking, looking at Hong Kong?
[02:23:37.500 --> 02:23:47.340]   Well, I think the way that things developed in Hong Kong have undermined the kind of trust in any kind of
[02:23:47.340 --> 02:23:54.860]   story coming out of Beijing that there's a place within sort of Xi Jinping's version,
[02:23:54.860 --> 02:24:00.460]   at least of the People's Republic of China, for a place where people live very different kinds of lives.
[02:24:00.460 --> 02:24:05.580]   And I think a lot of people in Taiwan think of them—feel they're living a very different kind of life
[02:24:05.580 --> 02:24:11.180]   than on the mainland. So in that way, I think Hong Kong was an important
[02:24:13.340 --> 02:24:19.900]   example that way. And there were connections between—there was a Taiwan protest in 2014,
[02:24:19.900 --> 02:24:26.220]   before the big protest in Hong Kong, by people who were young people who felt the government
[02:24:26.220 --> 02:24:33.020]   then was moving toward—too much toward working together with Beijing. So there is—they've been
[02:24:33.020 --> 02:24:41.260]   interconnected stories. And I think we sometimes miss how people within a region are looking at what
[02:24:41.260 --> 02:24:46.780]   other people in the region are doing and are taking clues from it, about sort of how to
[02:24:46.780 --> 02:24:54.860]   how to agitate for the things they care about, what the risks are, what the dangers are. Autocrats
[02:24:54.860 --> 02:24:58.460]   within different parts of a region are looking at each other too, as well as globally.
[02:24:58.460 --> 02:25:02.860]   In part because there's a great dependence in the United States on TSMC,
[02:25:02.860 --> 02:25:07.980]   and in that way on Taiwan, for different supply chains, for electronics, for semiconductors,
[02:25:08.940 --> 02:25:14.460]   for a lot of our economy, there's been a lot of nervousness about Taiwan.
[02:25:14.460 --> 02:25:22.780]   What are the chances that there is some brewing military conflict over this question of Taiwan
[02:25:22.780 --> 02:25:25.900]   in the coming decades, and how can we avoid it?
[02:25:27.500 --> 02:25:35.660]   It's a—it's one of these really worrisome issues that there isn't a—there isn't an easy—I think any—I think experts who
[02:25:35.660 --> 02:25:44.860]   tell you they know what X, Y, and Z about this is are—are deluding themselves, probably. There are so many variables.
[02:25:44.860 --> 02:25:50.060]   Maybe you could just elaborate the possible—possible clues we have.
[02:25:50.060 --> 02:25:59.820]   So with talking to people in Taiwan and from Taiwan, there are a couple things that are clear. One is that
[02:25:59.820 --> 02:26:07.820]   daily life in Taiwan is not people waking up each morning living their life based on the fact that
[02:26:07.820 --> 02:26:18.380]   there's in such a perilous kind of predicament that life goes on and a lot of people feel very,
[02:26:18.380 --> 02:26:24.700]   very fortunate to be in Taiwan. You know, there are many reasons why it seems like a great place
[02:26:25.740 --> 02:26:35.740]   to live in many ways. So even though this is hanging—but at the same time, there is an awareness of things that
[02:26:35.740 --> 02:26:46.140]   increase precariousness. And there was a lot of concern with the invasion of Ukraine and watching how
[02:26:48.620 --> 02:26:55.260]   the response to the response to Putin was. And there was a sense of it being analogous. There was a sense
[02:26:55.260 --> 02:27:02.940]   that Xi Jinping would be watching the response to Putin and seeing what he would do then. And so then there
[02:27:02.940 --> 02:27:15.340]   was a sense of relief, I think, when there was as unified a Western NATO, including the United States, response.
[02:27:16.380 --> 02:27:26.940]   And then there's a concern about the Trump presidency because of Ukraine. At the same time,
[02:27:26.940 --> 02:27:32.940]   there are mixed signals. So I'm sure there are people there who are both saying
[02:27:32.940 --> 02:27:38.620]   Trump is going to be tough toward the Chinese Communist Party and others are going to say, "But
[02:27:38.620 --> 02:27:45.340]   if he's not as supportive of Ukraine, what does that say for
[02:27:45.340 --> 02:27:52.220]   do you think he's not as supportive of Ukraine?" So they're not the same situations, but all people
[02:27:52.220 --> 02:27:59.180]   have in a sense sometimes with unknowable situations is to look at things that have any degree of parallel
[02:27:59.180 --> 02:28:07.900]   connections in other places. Do you think Xi Jinping knows what he's going to do in the next 5-10 years with
[02:28:07.900 --> 02:28:18.460]   Taiwan or is it really like there's a loose historical notion that Taiwan should be part of China
[02:28:18.460 --> 02:28:22.460]   with Xi Jinping and the Communist Party? Believe that?
[02:28:22.460 --> 02:28:30.220]   That loose idea was accepted. Chiang Kai-shek and Mao both thought that these two places were part of
[02:28:30.220 --> 02:28:36.220]   somehow destined to be the same. It was just, under that period, Chiang Kai-shek thought, "How long until I
[02:28:36.220 --> 02:28:43.740]   take over the mainland and it all becomes the Republic of China?" This is not now something that any leader in
[02:28:43.740 --> 02:28:53.740]   Taiwan is believing. There is a degree to which that remains a sense within the Chinese Communist Party
[02:28:53.740 --> 02:29:04.620]   leadership as an eventuality. I don't think there's a set plan, in part because I think it is also dependent
[02:29:04.620 --> 02:29:17.180]   on what the costs in various realms would be of doing that. I think it still does. I think it still
[02:29:17.180 --> 02:29:26.780]   one scenario would be possibly a sense of becoming strong enough to not have to worry about consequences.
[02:29:26.780 --> 02:29:33.740]   I think another, I still think to some extent more, would be a sense of weakness or precarity of
[02:29:33.740 --> 02:29:40.060]   maintaining power domestically and needing to do something to distract.
[02:29:40.060 --> 02:29:47.500]   And another complexity about this is, it's not always so clear, the line between
[02:29:47.500 --> 02:29:55.980]   no conflict and conflict. So there's a lot of gray zone tactics of nonviolent pressure that China could
[02:29:55.980 --> 02:30:03.660]   exude. So it could do non-military violence. It could then escalate that to
[02:30:03.660 --> 02:30:11.020]   nonviolent military intimidation. And all of this has consequences for the United States,
[02:30:11.020 --> 02:30:16.940]   because there's a messaging thing going on here. And then of course, that could then go to a full-on
[02:30:16.940 --> 02:30:21.580]   do-as-you're-told actions that come at a high risk of a hot military conflict. So basically,
[02:30:21.580 --> 02:30:29.980]   just roll, don't do military violence, but just full-on pressure ordering Taiwan to do things.
[02:30:29.980 --> 02:30:37.740]   And there, it's like in order, the only way to respond is with violence. You're completely trapped. You're
[02:30:37.740 --> 02:30:46.860]   saying no, you have to say no with a military force behind it. And then what do you do? And every step in this,
[02:30:46.860 --> 02:30:54.620]   it's such an unstable, nonlinear dynamical system where anything could just, unintended consequences
[02:30:54.620 --> 02:31:01.500]   can happen. And it could just escalate in a matter of days, if not hours. And so like, this is where,
[02:31:01.500 --> 02:31:11.500]   this is where I think it's really important to find mechanisms and tax tactics and strategies for
[02:31:11.500 --> 02:31:19.500]   de-escalation. Which is why this trade war that's happening. One of the nice things of being so
[02:31:19.500 --> 02:31:28.380]   connected by trade is it creates a disincentive for any of this kind of posturing. Because I do agree
[02:31:28.380 --> 02:31:39.020]   with you, I think it will start, as these things often do, as a kind of military sort of early steps,
[02:31:39.820 --> 02:31:48.380]   posturing in order to maintain power internally. So that's, that's, that's, China will just create
[02:31:48.380 --> 02:31:54.300]   military conflict, conflict of different kinds in order to distract. But then how does that escalate?
[02:31:54.300 --> 02:32:00.300]   As if all that wasn't complicated enough, Taiwan isn't just one place or one island. There are also,
[02:32:00.300 --> 02:32:07.580]   there are islands that are closer to mainland Jinmen and their degrees of integration. And anyway, so it's,
[02:32:07.580 --> 02:32:17.020]   it's, it's a, but, but your, your comment about integration of trade and sort of having,
[02:32:17.020 --> 02:32:27.020]   being a check on kind of, there's a, um, there's a Chinese writer, um, who, fascinating guy, Han Han,
[02:32:27.020 --> 02:32:33.980]   who was a race car driver and a filmmaker and a bad boy novelist. Anyway, in his heyday,
[02:32:33.980 --> 02:32:38.860]   he was an interesting kind of blogger who is testing the edges of things. And he had this,
[02:32:38.860 --> 02:32:46.700]   um, blog post where he was talking about, this was, this was in the early 2000s. He was talking about
[02:32:46.700 --> 02:32:54.460]   how, um, China was building the massive three gorges dam project, this mess. And he said,
[02:32:54.460 --> 02:33:01.340]   some people are saying, um, building these dams, it could be so easy for the Americans to just,
[02:33:01.340 --> 02:33:09.020]   um, you know, just, just bomb them and, and destroy our country. And because it would be a massive flood.
[02:33:09.020 --> 02:33:15.980]   And he said, but that's really silly. That's a really silly argument because Americans know that
[02:33:15.980 --> 02:33:20.540]   down river from there will be flooded out was the place where their iPhones are built and,
[02:33:20.540 --> 02:33:25.260]   you know, and they want their iPhones. So that's what, you know, so this kind of notion, you know,
[02:33:25.260 --> 02:33:33.340]   he's making through a humorous point, the way in which interconnectedness can, um, can be a check.
[02:33:34.060 --> 02:33:40.380]   And interconnectedness can be in all kinds of ways. The flows, people between places and, um,
[02:33:40.380 --> 02:33:46.700]   having people from, from one place, living in another, traveling to another, studying in another,
[02:33:46.700 --> 02:33:53.420]   that can actually be something that helps to, um, to stabilize the world. And I think that's an
[02:33:53.420 --> 02:34:01.420]   important thing to keep in mind. Since you mentioned, uh, the long march and the unlikely, uh,
[02:34:01.420 --> 02:34:06.860]   coming to power with the communist party, let's go back. We began comparing Xi Jinping and Mao.
[02:34:06.860 --> 02:34:10.460]   Let's go back to Mao. How did Mao come to power?
[02:34:10.460 --> 02:34:19.740]   The road to Mao coming to power, we need to first say that China was under rule by emperors until
[02:34:19.740 --> 02:34:30.460]   1911, overthrown by an upheaval that was partly by people who wanted to change China into a republic,
[02:34:30.460 --> 02:34:37.020]   but also some people who wanted to get rid of the last dynasty was a, was a group of Manchu ruling
[02:34:37.020 --> 02:34:43.180]   families. So they saw them as like ethnic outsiders. So it was a strange combination of kind of, uh,
[02:34:43.180 --> 02:34:47.180]   ethnic nationalists who wanted China back under the control of Han Chinese.
[02:34:47.180 --> 02:34:53.260]   Other people who thought the time for rule by emperors was over and wanted to establish a republic.
[02:34:54.540 --> 02:35:02.380]   And Sun Yat-sen became a first president, provisional president of this newly formed Republic of China.
[02:35:02.380 --> 02:35:07.260]   But then he got nudged out of power by a military strong man.
[02:35:07.260 --> 02:35:14.860]   And then there was a period where the country was really divided. Republic of China didn't have a strong
[02:35:14.860 --> 02:35:23.660]   government. But there were then two groups. One rallied around, uh, Sun Yat-sen had founded something
[02:35:23.660 --> 02:35:29.340]   that became known as the Nationalist Party. And then there was a small group of people who formed a
[02:35:29.340 --> 02:35:35.740]   communist party. Mao was one of them. These were intellectuals who were part of the May 4th
[02:35:35.740 --> 02:35:40.700]   movement of 1919. They were inspired by Marxist ideas, but they were also just inspired by the
[02:35:40.700 --> 02:35:48.700]   Russian Revolution. Russia was nearby. It seemed good to think with, it had a largely rural population,
[02:35:48.700 --> 02:35:56.700]   and somehow it seemed to be getting strong in the world. And there was this interest in sort of what,
[02:35:56.700 --> 02:36:04.540]   how China could do that. And the newly formed Soviet Union did something very important. There were a group
[02:36:04.540 --> 02:36:13.660]   of foreign powers, including Tsarist Russia, that had gained big concessions out of China when, in 1900,
[02:36:13.660 --> 02:36:20.540]   the Boxer Uprising had taken place and then been crushed by a consortium of foreign powers who had gotten
[02:36:20.540 --> 02:36:27.820]   privileges and indemnities out of that. And the newly formed Soviet Union renounced those, said, you know,
[02:36:27.820 --> 02:36:39.500]   that was the old order, that was imperialism. And so Marx's ideas were attractive to some Chinese
[02:36:39.500 --> 02:36:44.460]   thinkers, but Lenin was very attractive because of his combination of anti-imperialism
[02:36:44.460 --> 02:36:49.740]   and his notion of a vanguard party leading a country forward.
[02:36:49.740 --> 02:36:57.100]   So there was a small communist party, a bigger nationalist party. They were involved in these protests
[02:36:57.100 --> 02:37:04.860]   against warlords and against imperialists. And while Sun Yat-sen was alive, Sun Yat-sen got the two
[02:37:04.860 --> 02:37:10.140]   parties to work together. Because Sun Yat-sen wasn't a Marxist, he didn't believe in class struggle,
[02:37:10.140 --> 02:37:17.340]   but he admired Lenin and Leninism. And so he said that actually the communist party and the nationalist
[02:37:17.340 --> 02:37:23.820]   party may have had different views of the path forward for China, but they agreed on who the enemies were.
[02:37:23.820 --> 02:37:29.900]   And the enemies were the warlords who were keeping China weak and too willing to compromise with Japan
[02:37:29.900 --> 02:37:37.820]   and foreign imperialism. So China needed to get rid of the warlords and become a stronger country. And
[02:37:37.820 --> 02:37:45.980]   then they could sort it out of what road to take. Sun Yat-sen dies in 1925 and his successor,
[02:37:46.540 --> 02:37:53.740]   Chiang Kai-shek is initially keeps the alliance going with the communist party. But in 1927,
[02:37:53.740 --> 02:37:58.940]   he turns against the communists and tries to carry out a purge against the communist party members.
[02:37:58.940 --> 02:38:04.460]   He's the head of the nationalists. He's the head of the nationalists. And he has some very different,
[02:38:04.460 --> 02:38:13.180]   he's a kind of culturally more conservative figure. But what's important in part about this is there are
[02:38:13.180 --> 02:38:19.820]   some members of the Chinese communist party who accept the basic ideas of Marxism, of revolution comes from
[02:38:19.820 --> 02:38:30.220]   the cities. But Mao has this idea that actually he's partly, he loves this idea of peasant rebellions in
[02:38:30.220 --> 02:38:37.180]   China's past as driving history forward. And he starts writing about how, well, maybe in China's case,
[02:38:37.180 --> 02:38:45.100]   actually the peasantry farmers can be a radical force. And so the communist party's on the run, it's being
[02:38:45.740 --> 02:38:53.340]   pushed around, but the nationalists are trying to exterminate them. But eventually, and the nationalists
[02:38:53.340 --> 02:38:59.660]   and the communists ally again after Japan invades China in the 1930s, they form what's called a second
[02:38:59.660 --> 02:39:07.900]   united front. But during this period, Mao is emerging as taking leadership in the Chinese communist party
[02:39:08.540 --> 02:39:16.140]   and his idea of a different kind of vision of communist revolution that has the revolutionary vanguard
[02:39:16.140 --> 02:39:24.380]   somehow being the peasantry. After World War II, after the two parties have
[02:39:24.380 --> 02:39:31.740]   brokered a truce and sort of worked together against Japan, there's a civil war between the nationalists and the communists.
[02:39:31.740 --> 02:39:38.860]   And against all odds, the communist party wins. The communist party gets support from the Soviet Union,
[02:39:38.860 --> 02:39:45.340]   the nationalists get support from the United States, even though neither of them are quite
[02:39:45.340 --> 02:39:52.220]   doing things the way that their backer would like them to. But there also is a way in which the, and this
[02:39:52.220 --> 02:39:57.740]   is something I think the communist party leaders remember, there's a feeling that the nationalist party
[02:39:57.740 --> 02:40:04.380]   doesn't really believe its own rhetoric that, in fact, all it cares about is having power and that it's
[02:40:04.380 --> 02:40:13.020]   internally corrupt. Chiang Kai-shek himself isn't viewed as sort of personally corrupt, but family members,
[02:40:13.020 --> 02:40:20.700]   and there's an idea that there's just a small band of people that are benefiting. And there's a kind of
[02:40:20.700 --> 02:40:27.580]   disgust with the leader, with the nationalists. The nationalists end up in retreat in Taiwan,
[02:40:27.580 --> 02:40:34.780]   that's why Taiwan then becomes the Republic of China. There's an uprising there that Chiang Kai-shek's
[02:40:34.780 --> 02:40:41.900]   people, the nationalists, repress. And there starts being, from the late 1940s on, this long period of
[02:40:41.900 --> 02:40:48.860]   martial law on Taiwan. And there becomes then this period where the mainland's under the control of a
[02:40:48.860 --> 02:40:57.340]   Leninist party, believes in one party rule, and believes that it was a bad, very bad period in
[02:40:57.340 --> 02:41:08.860]   Chinese history when China was unable to stand up to imperialists. Taiwan's control by a Leninist party that
[02:41:08.860 --> 02:41:16.140]   believes in one party rule, limits on participation, believes that it was a bad time when China was
[02:41:16.140 --> 02:41:21.260]   being bullied by imperialists. What distinguishes Chiang Kai-shek, Chiang Kai-shek has a personality
[02:41:21.260 --> 02:41:27.500]   cult, Mao has a personality cult. They have a lot in common, but one clear thing that makes them
[02:41:27.500 --> 02:41:33.260]   different is Chiang Kai-shek says that what's wrong with the Communist Party is they've abandoned Chinese
[02:41:33.260 --> 02:41:42.460]   traditional values of Confucianism. And Mao says that on the nationalists, what's really bad is they
[02:41:42.460 --> 02:41:49.420]   are still wedded to these traditional Chinese values of Confucianism. So cycling back to where we began
[02:41:49.420 --> 02:41:57.900]   with Mao and Xi, you could actually say Xi Jinping in some ways is like living out the dream that
[02:41:57.900 --> 02:42:05.180]   Chiang Kai-shek had of one party rule and also kind of celebrating Confucianism.
[02:42:05.180 --> 02:42:12.460]   Yeah, there's elements. You've spoken about the elements of Chiang Kai-shek and Mao that Xi Jinping kind
[02:42:12.460 --> 02:42:18.540]   of combines. You've also mentioned an interesting, you know, if we had, you know, a hundred hours to
[02:42:18.540 --> 02:42:25.660]   talk about, there's another interesting side effect similarity that you talk about where Xi Jinping's
[02:42:25.660 --> 02:42:34.940]   wife is out there, a part of his public image and same was the case with, uh, Chiang Kai-shek.
[02:42:34.940 --> 02:42:42.780]   Yes. And both of them, right. They had high profile wives who were, uh, sort of celebrity figures and,
[02:42:42.780 --> 02:42:50.380]   and made, um, a good impression globally and were more like kind of first, um, first ladies,
[02:42:50.380 --> 02:42:59.100]   um, but both Chiang Kai-shek and Xi Jinping were oversaw a period of, of emphasizing more traditional
[02:42:59.100 --> 02:43:04.860]   patriarchal values in China. And one of the things I didn't mention before, Xi Jinping has been very,
[02:43:04.860 --> 02:43:14.140]   um, in this idea of trying to do away with difference within PRC, he's been pushing against
[02:43:14.140 --> 02:43:16.300]   feminists of any kinds of feminist movements.
[02:43:16.300 --> 02:43:18.060]   So going back to Confucius.
[02:43:18.060 --> 02:43:24.460]   Yeah. Yeah. In some ways. I mean, there are people who will argue for a less patriarchal
[02:43:24.460 --> 02:43:26.860]   Confucius, but it, it fits with that mode.
[02:43:26.860 --> 02:43:31.020]   So now that gets us close to Mao consolidating power.
[02:43:31.020 --> 02:43:39.820]   Then the story after 1949 with, with Mao is there's, there, there were divisions within, um,
[02:43:42.300 --> 02:43:49.100]   within the communist party over sort of Mao was impatient. He wanted to transform the country
[02:43:49.100 --> 02:43:55.500]   quickly. He had a utopian streak. He thought just as the peasantry could sort of, you didn't have to
[02:43:55.500 --> 02:44:01.580]   stick to the traditional pattern of moving slowly to socialism and then to communism. He tried to,
[02:44:01.580 --> 02:44:08.780]   the great leap forward was this disastrous policy of his that imagined China outdoing, um,
[02:44:08.780 --> 02:44:14.380]   the West in a kind of quick industrialization and move like this. And it was just a,
[02:44:14.380 --> 02:44:18.940]   it just didn't, it just didn't work and all kinds of things were wrong. And that would be a whole,
[02:44:18.940 --> 02:44:25.420]   there'd be a, we'd need a whole nother session to do the great leap forward and the cultural revolution. But one of the
[02:44:25.420 --> 02:44:32.220]   simple ways to think about it is Mao made these kinds of disastrous moves and then was partially
[02:44:32.220 --> 02:44:40.220]   sidelined and then wanted to get back to power. And there was this struggle between people who are more gradualists,
[02:44:40.220 --> 02:44:52.220]   more, let's try to work more kind of rationally and the more utopian side with Mao and both the great leap forward. And then later the cultural revolution were Mao's efforts to, um,
[02:44:52.220 --> 02:45:10.300]   Mao's efforts to, um, to do things dramatically, even at the risk of chaos, even at the risk of, um, of, of undoing a lot of the kind of slow building of, of, um, of state building going on. And then there were other figures
[02:45:10.300 --> 02:45:17.660]   who were more concerned with, um, kind of incremental moves. And then after Mao's death,
[02:45:17.660 --> 02:45:25.660]   one of those figures, Deng Xiaoping ends up being the next long-term, uh, paramount leader.
[02:45:25.660 --> 02:45:32.220]   He led to decades of economic progress. His economic reforms led to record breaking growth for China and so
[02:45:32.220 --> 02:45:39.180]   on. But I got to linger on, um, the great leap forward a bit enough to understand modern day China.
[02:45:40.300 --> 02:45:45.660]   So, um, um, as people know, as I'll show, I'll talk about in other episodes,
[02:45:45.660 --> 02:45:53.660]   the great leap forward, this, uh, agricultural collectivization and rapid attempt to industrialize,
[02:45:53.660 --> 02:46:01.740]   um, has, have killed 30 to 45 million people. It's one of the greatest atrocities in human history.
[02:46:02.780 --> 02:46:13.420]   How could Mao be so catastrophically wrong on the policy of collectivization and be so unwilling to
[02:46:13.420 --> 02:46:18.460]   see the atrocity and the suffering he's causing in enough to change course?
[02:46:18.460 --> 02:46:24.620]   So with the great leap forward, it's caused this incredible famine, um, the just incredible
[02:46:24.620 --> 02:46:31.100]   devastation. One of the, one of the things that happened was getting very bad information. There
[02:46:31.100 --> 02:46:38.300]   was a sense that there was people, officials were afraid that if they gave bad news, if they, if they,
[02:46:38.300 --> 02:46:44.620]   if they admitted that they were failing to meet these giant targets that were being set,
[02:46:45.340 --> 02:46:52.380]   that would be seen as a political mistake. So it got, it got to be a survival mechanism to pass on
[02:46:52.380 --> 02:47:00.060]   unrealistic reports on what was going. So some of it was, um, a culture of fear around a great
[02:47:00.060 --> 02:47:08.380]   leader that led to not getting, um, not getting accurate information. So that was one part of the dynamic.
[02:47:08.380 --> 02:47:16.220]   Ego was a big part of it. There were all kinds of things that were unmoored. Um, when early in the
[02:47:16.220 --> 02:47:23.900]   Chinese Communist Party history and power, there was the connection to the Soviet Union and Mao and Stalin
[02:47:23.900 --> 02:47:32.780]   had a connection. After Stalin's death, Mao was haunted by the move toward de-Stalinization and the moves
[02:47:32.780 --> 02:47:39.580]   by Khrushchev and this laid the groundwork for the Sino-Soviet split. But there was also this kind of
[02:47:39.580 --> 02:47:46.620]   obsession with doing things differently, um, that Mao had in that case as well.
[02:47:46.620 --> 02:47:52.860]   And you have factional struggles. You have all kinds of things that are happening, uh, simultaneously.
[02:47:52.860 --> 02:48:00.540]   Uh, there's something I learned about called Gray's law, which states any sufficiently advanced incompetence
[02:48:00.540 --> 02:48:08.380]   is indistinguishable from malice. So I would say when 30 to 45 million people die, it doesn't really
[02:48:08.380 --> 02:48:15.420]   matter what the explanation is. That's a longer discussion, but the interesting discussion that
[02:48:15.420 --> 02:48:22.460]   connects to everything we've been talking about is how is Mao seen in modern day China? What, what has
[02:48:22.460 --> 02:48:34.060]   Xi Jinping said about Mao? So before Xi Jinping, there was this, this kind of assessment of, of, of
[02:48:34.060 --> 02:48:41.260]   Mao as having been, uh, early in the, in the early eighties of being 70% right, 30% wrong. I guess
[02:48:41.260 --> 02:48:49.980]   Mao's own analysis of Stalin was that Stalin was 70% right and 30% wrong. Uh, and so they apply the same
[02:48:49.980 --> 02:48:58.060]   kind of logic there. Yeah. Mathematical analysis to Mao. Yeah. But Xi Jinping has had a different way of
[02:48:58.060 --> 02:49:02.700]   talking about this and he's talked about the first 30 years of the People's Republic of China and the
[02:49:02.700 --> 02:49:10.460]   second 30 years and says that we should not use the successes of one to criticize the other, that we need
[02:49:10.460 --> 02:49:19.820]   to see where we are today as benefiting from both those first 30 years and the second 30 years, which
[02:49:19.820 --> 02:49:27.180]   implicitly, or he sometimes talks about a new era, suggests that in many ways he sees China's now in a
[02:49:27.180 --> 02:49:36.220]   post-reform era. We can think about a third stage and there are people who write about it in that way. Um, and so he
[02:49:36.220 --> 02:49:45.100]   clearly, uh, there's always been a way of trying to separate out a kind of Mao of the periods when
[02:49:45.100 --> 02:49:54.220]   things were not going horribly. And I think Xi Jinping would think that Mao having managed to
[02:49:54.220 --> 02:50:01.260]   fight the Korean war to a standstill, which is how things are, or how the, the history of that period is
[02:50:01.980 --> 02:50:06.780]   described in the PRC is said, look, you know, you had the, you had so many different forces of
[02:50:06.780 --> 02:50:14.380]   the more developed world fighting on one side and that war did not end in a defeat for, um, for North
[02:50:14.380 --> 02:50:21.420]   Korea and for the Chinese side. Um, so yeah, Xi Jinping, I think, wants to be seen as an inheritor,
[02:50:21.420 --> 02:50:27.820]   an inheritor of Mao, a continuer of one side of the Mao legacy,
[02:50:28.540 --> 02:50:35.260]   but clearly circling back to where we began, not the Mao who liked to stir things up, not the Mao
[02:50:35.260 --> 02:50:42.380]   who believed in mobilizing youth on, on the streets, not the Mao who let things get out of control,
[02:50:42.380 --> 02:50:46.380]   but the Mao who was responsible for strengthening the nation.
[02:50:46.380 --> 02:50:53.980]   Can I ask you about the 1953 speech? Can you just watch it real quick? This particular speech is about,
[02:50:53.980 --> 02:50:59.980]   uh, in 1953 at the end of the Korean war saying China will not surrender?
[02:50:59.980 --> 02:51:07.820]   Well, let's actually just listen to it. The speech reads as to how long this war will last. We're not
[02:51:07.820 --> 02:51:14.700]   the ones who can decide. It used to depend on president Truman. It will depend on president Eisenhower
[02:51:15.260 --> 02:51:21.740]   or whoever will become the next U.S. president. It's up to them. But no matter how long this war is going to last,
[02:51:21.740 --> 02:51:23.740]   we will never yield.
[02:51:32.940 --> 02:51:36.860]   We'll fight until we completely triumph.
[02:51:36.860 --> 02:51:45.020]   Yeah. So this is, uh, the version of Mao that you're speaking to, uh, that is still celebrated, uh, today.
[02:51:45.020 --> 02:51:52.220]   And from the Chinese perspective, I guess they could tell the story about that particular proxy war that they triumphed.
[02:51:54.380 --> 02:51:58.700]   Oh, what do you think about that speech about these performances? I don't know how many, uh,
[02:51:58.700 --> 02:52:00.460]   how many, how much you've listened
[02:52:00.460 --> 02:52:03.020]   to Mao speeches?
[02:52:03.020 --> 02:52:08.780]   Well, he had a, he had a really difficult accent to, um, make sense of. And people,
[02:52:08.780 --> 02:52:12.460]   people, native speakers of Chinese can have trouble with,
[02:52:12.460 --> 02:52:17.420]   with his, um, his, his speech. Uh, that one was less,
[02:52:17.420 --> 02:52:21.020]   less hard to follow than, um, than some of them.
[02:52:21.020 --> 02:52:22.540]   What explains the accent?
[02:52:22.540 --> 02:52:28.060]   Well, he's just from, from Hunan, and he, he had, uh, had a heavy accent. And he,
[02:52:28.060 --> 02:52:33.260]   this is another complicated side of, of Mao. He, he was
[02:52:33.260 --> 02:52:41.500]   both anti-intellectual and very intellectual. He liked to write poetry and to fashion himself as that,
[02:52:41.500 --> 02:52:44.460]   but he also liked to be seen as incredibly earthy
[02:52:45.340 --> 02:52:52.460]   and, um, critical of the, um, of, of intellectuals. And if he had an animus toward, you know,
[02:52:52.460 --> 02:52:58.780]   wanting to, even though he came, even though he was, since intellectually had that anti-intellectualism.
[02:52:58.780 --> 02:53:02.620]   But no, I think what's interesting about that speech in part is how, um,
[02:53:04.540 --> 02:53:12.300]   in even the, the, the depiction of the Korean war as being the war against America and resist America
[02:53:12.300 --> 02:53:20.540]   and support Korea. I think it fit with his idea that his, that it wasn't just about China. It
[02:53:20.540 --> 02:53:27.980]   wasn't about China working in self-interest, but siding with other siding with the underdog
[02:53:28.620 --> 02:53:38.300]   countries against the hegemonic ones. And that was another part of Mao's, um, Mao's desire to see China
[02:53:38.300 --> 02:53:48.940]   as representing the kind of, um, a, a third world and a sort of the, um, the countries that had felt the
[02:53:48.940 --> 02:53:56.780]   brunt of imperialism, of, uh, Western imperialism and Japanese imperialism, and trying to find one or
[02:53:56.780 --> 02:54:03.500]   another, um, one or another, um, one or another country's imperialism to focus on. At that point,
