
[00:00:00.000 --> 00:00:02.960]   if we impose high structural tariffs,
[01:20:05.620 --> 01:20:11.140]   there's a lot at stake here over the next 90 days. I mean, let me let me make three final thoughts on my,
[01:20:11.140 --> 01:20:18.900]   on my great, my silly theory. One, I think one of the reasons this can happen also is this steep price
[01:20:18.900 --> 01:20:27.300]   decline we've seen on models, and older models. And so I think it's very easy for a founder or a team to
[01:20:27.300 --> 01:20:32.340]   say, Well, it's okay, that I have negative gross margin, or that I'm pricing here. Because look
[01:20:32.340 --> 01:20:37.780]   what happens, like in six months, the compute for this will be a lot cheaper. And, and I think that's
[01:20:37.780 --> 01:20:44.740]   a very rational decision, too. I think that also leads to what everyone seems to be seeing what is
[01:20:44.740 --> 01:20:50.420]   when people go to production, they look for cheaper solutions. And this is why I think open source thrives,
[01:20:50.420 --> 01:20:55.780]   why deep seek is working on the enterprise. Like I think everyone, when they go to production,
[01:20:55.780 --> 01:21:01.620]   they optimize. And then, and then third, just in terms of this theory, if we're going to compare to
[01:21:01.620 --> 01:21:08.340]   the internet area, if there are high variable costs, I think you have to think about e commerce more than
[01:21:08.340 --> 01:21:14.980]   you think about like Google, right? Like, and, and, and there were a lot of businesses, this gets back to
[01:21:14.980 --> 01:21:21.140]   selling dollars for 85 cents, they were growing by by achieving that. And so I'm, I'm very curious how
[01:21:21.140 --> 01:21:28.020]   it all play out. All that said, as you know, I'm a huge believer in AI, it's causing all kinds of
[01:21:28.020 --> 01:21:34.020]   disruption, it's going to create all new kings and queens in the venture market. I just like getting under the
[01:21:34.020 --> 01:21:39.860]   hood and seeing what's happening on the margin. Well said. Well said. We're going to see a lot more
[01:21:39.860 --> 01:21:53.940]   in the weeks ahead. Good to see you. Good luck to Florida. All right. Appreciate that. Go Gators. Take it easy.
[01:21:53.940 --> 01:21:57.940]   Bye.
[01:21:57.940 --> 01:22:27.920]   We'll see you next time.

