
[00:00:00.000 --> 00:00:19.200]   Welcome to the AI Engineers World Fair. This is the first workshop. There's a few other running,
[02:09:47.680 --> 02:10:02.680]   Okay. It's a bit blurry. But you can see that, depending on the model, in Gemma, you have to actually upcast to float32. Everywhere. You must use float32 everywhere. Because the original implementation used float32. Right? So you must always follow the original implementation.
[02:10:02.680 --> 02:10:14.680]   If you don't follow the original implementation, then you will get wrong, like, you know, somewhat worse results. And the problem was other implementations just copied Lama and Mistral's code. And they did not do this.
[02:10:14.680 --> 02:10:25.680]   And so we found that you actually have to upcast correctly over here. Right? You have to upcast immediately. And then you downcast at the very end.
[02:10:25.680 --> 02:10:37.680]   And so we wrote a few comments, right? Lama does x.2 float16, whilst Gemma is x -- you know, it really -- like, Lama does that. Right? But Gemma does this. Right?
[02:10:37.680 --> 02:10:52.680]   So there were, like, small little issues, downcasting, upcasting. Another question is, like, why do we have to do downcasting? Does anyone know why? Like, why is there always, like, downcasting, upcasting? Float32, float16, float8? Does anyone know why we have to do downcasting, upcasting?
[02:10:52.680 --> 02:10:59.680]   Yes, correct. It's for faster speed. So do you know how much faster? Like --
[02:10:59.680 --> 02:11:05.680]   Eight? I don't know. So float32 to float16. What do you think?
[02:11:05.680 --> 02:11:14.680]   It depends. Who said two? Okay, good guess. Why? Why did you guess two?
[02:11:14.680 --> 02:11:34.680]   Well, that's for sparsity. Okay. Okay. Yes, okay. Float8, approximately two. Actually, it could be more. So float32 to float16 is actually not two. It's actually much more. I think it's five. I think. Or is it six?
[02:11:34.680 --> 02:11:46.680]   The reason is because the representation of the float is different. Right? So float32, I have floating point representation Wikipedia. I think it's in here somewhere.
[02:11:46.680 --> 02:11:57.680]   Oh, and maybe go to beatfloat16. Where is beatfloat16? Brain float. Beat float? Beat float. Yes.
[02:11:57.680 --> 02:12:25.680]   Right? So like, there it is. Oh, there's more pictures now. Oh, they edited this. I did not. Okay. This is new. I didn't see amd ft24 format or Pixar. Oh, okay. They have like weird formats now. This is float32. Right? And float32, the exponent has eight numbers. Right? Eight bits. And the fraction of a bit has 23.
[02:12:25.680 --> 02:12:46.680]   And when you do. And when you do matrix, when you do matrix multiplication, does anyone know how to calculate the number of transistors you need for float32? Does anyone know? It's a formula. That's related to the exponent, the fraction, and just the exponent and fraction. What do you think the formula is? Have a guess. Right? I said that it's approximately. So if you have beatfloat16, the fraction is seven.
[02:12:46.680 --> 02:13:13.680]   Right? But if you have beatfloat16 has 16 bits you can use. The exponent, the exponent is used for the dynamic range of the number. Right? So if you want larger numbers, you have to have larger exponents. Right? So this means 16 only has a range of two to the path. Okay. It's not two to the eight. Like, just assume, you know, it's two to the power of eight. Okay. That's not right. But just assume that. Um, two to the power of eight. Right? But.
[02:13:13.680 --> 02:13:32.680]   Yeah. Um, and this one, float32 also has two to the power of eight. There's another format called float16, which is two to the power of five. Um, and then the fraction of component is 10. So all of these numbers, you can scale, right? How many do you want for the exponent? How many do you want for the fraction? You must include the signed it. And the trick is you must have 16. You need to fit.
[02:13:32.680 --> 02:13:56.680]   You know, 16. So you could have, like, exponent one. And fraction could be, um, 14. That could also work. Um, but does anyone know how many transistors you need to use for float16, for example? And be for 16? Remember, I said it's like around five times faster. It's actually not right. I think it's even more. Um, what is the formula? Have a guess. How many transistors do you need to use?
[02:13:56.680 --> 02:14:03.680]   How many transistors do you need to do float16 multiplication, approximately? Or float multiplication? It's, it's a formula related to exponent and fraction.
[02:14:03.680 --> 02:14:30.680]   The answer is exponent plus fraction squared. That's the answer. Um, so what does that mean? That means float16 is 5 plus 10 squared. Right? And float32 is 8 plus 23 squared. So it is not two times faster. It is much faster. Right? So like, I don't know what that is. What is, um,
[02:14:30.680 --> 02:15:00.660]   So it's 8 plus 23 squared. So it's 8 plus 23 squared. So it's 8 plus 23 squared. Yeah. And so what, what is the other one? I think it goes, um, what's that? I can't remember. So, um, so it's 8 and 7, right? So 8 and 7. This is, this is Google's
[02:15:00.660 --> 02:15:17.660]   format. It is 57. So what does that mean? How many times faster? Yeah. So it's actually 10 times faster. Right? So 332 to float16 is around 10 times faster. Right? Float16 is 5 plus 10. Right? So 5 plus 10.
[02:15:17.660 --> 02:15:47.640]   So B for 16 is approximately 2 times faster than float16. Although no one really notices any difference. Um, but in general, B for 16 is actually faster. Right? So that's why it's not 2 times faster. It's 10 times faster. Um, and that's why you must use Tesla T4s, as I said, because it has tensor cores, which does this, right? The tensor cores does float16 multiplication very effectively and very efficiently. Um, and so do not use P100s again. Right? P100s do not have this methodology.
[02:15:47.640 --> 02:15:57.520]   Um, yes. Question? Yes. Float8. So float8. I don't know. Um, there are two formats for float8.
[02:15:57.520 --> 02:16:12.140]   Oh, wait, I don't think so. It's in Wikipedia. Float eight. Oh, okay. Floating point. It's
[02:16:12.140 --> 02:16:18.620]   called EEM -- oh, I'll just use mini float. They have some. Yeah, there we go. Right.
[02:16:18.620 --> 02:16:23.080]   So you get to -- remember, if you want to have eight bits, you get to decide how many
[02:16:23.080 --> 02:16:27.020]   you want to do for the exponent, how many you want to do for the fraction or the mantis
[02:16:27.020 --> 02:16:33.400]   apart, right? You get to decide. And depending on the company, you know, it's unclear. There's
[02:16:33.400 --> 02:16:41.560]   no standard. So this one's 1, 4, 3. So what's 1, 4, 3? 1 plus 4, right? 4, 3 squared. Is
[02:16:41.560 --> 02:16:49.540]   that 4, 3? Yeah. 13. So float eight is? I think it's around -- yeah. So around four times faster
[02:16:49.540 --> 02:16:54.360]   than Bfloat 16. But in general, it's not. In general, it's like two to three. It's not going
[02:16:54.360 --> 02:16:58.600]   to be four. The reason is because you're packing so many transistors in. You also have to do
[02:16:58.600 --> 02:17:02.740]   like energy. You have to like do the data movement. There's like other transistors you have to do.
[02:17:02.740 --> 02:17:08.320]   I just -- approximately it's two to three times faster. That's float eight. Can you go even
[02:17:08.320 --> 02:17:12.740]   lower? Why don't we do one bit?
[02:17:12.740 --> 02:17:19.940]   One bit. So you must have the sign though. So you can't do one bit. So 1.58 bit, some
[02:17:19.940 --> 02:17:24.420]   people have been talking about. Two bit. Two bit could be possible. The problem with two
[02:17:24.420 --> 02:17:31.300]   bit is it's problematic. Because when you do two bit training -- yes, okay. So let's see.
[02:17:31.300 --> 02:17:36.500]   Let's do two bit, right? So what do you want to do? How many exponent? Zero? Remember, you have to have a sign
[02:17:36.500 --> 02:17:42.740]   bit. That's the most important. One for the exponent and fraction zero, right? Because remember, it's squared.
[02:17:42.740 --> 02:17:53.220]   So plus one. Oh, wait. No. It's zero plus one. Okay. So it's one. Okay. 10 times faster? I don't think so.
[02:17:53.220 --> 02:17:59.380]   Okay. Maybe two bit is probably too low. Maybe four bit. Four bit could work. Yes?
[02:17:59.380 --> 02:18:17.620]   Oh, that's just because they wanted to do that. Just for easier calculation.
[02:18:17.620 --> 02:18:22.340]   And then, for their tensor32, they use it. So that's what I would say.
[02:18:22.340 --> 02:18:30.020]   Tensor32 is not 32. It is -- they have it somewhere. NVIDIA. TensorFlow, it's 19.
[02:18:30.020 --> 02:18:35.460]   That's the trick. They like to do marketing. And they say it's 32. But it's actually 19.
[02:18:35.460 --> 02:18:41.220]   Yes. That's why it's the same. Okay. Any other questions? Someone else raised their hand?
[02:18:42.100 --> 02:18:46.980]   Okay. But yes, I was going to say, like, you can do four bit, right? So four bit is actually a new -- NVIDIA's
[02:18:46.980 --> 02:18:55.780]   new GPUs. The B100s do have four bit. So that is approximately two times faster. Now, the reason it's
[02:18:55.780 --> 02:19:02.260]   not -- okay, let me just try. Four bit. I think it's one plus -- it's probably like two plus two or something.
[02:19:02.260 --> 02:19:08.260]   I don't know. Six. Okay. Right. It's not going to be that much faster because, as I said, there's power
[02:19:08.260 --> 02:19:12.980]   transistors and there's other transistors. You can only go so far. Just the jump from flow32 to flow16
[02:19:12.980 --> 02:19:19.860]   was very large. Yes. Yes. So a quick question. So for the example, the one bit bit net, that --
[02:19:19.860 --> 02:19:23.140]   1.58 bit. Yeah. Yeah. So that would be an example of one bit.
[02:19:23.140 --> 02:19:30.900]   So it's a different -- so actually, I had a tweet about this. 1.58 bit and float4 is the same in terms
[02:19:30.900 --> 02:19:36.260]   of number of transistors. You'd rather use float4. The reason why is 1.58 bit is you have to do more
[02:19:36.260 --> 02:19:42.340]   manipulation to make it work. You have to use the straight through estimator. It's a horrible mess.
[02:19:42.340 --> 02:19:46.820]   You'd rather just use float4. So float4 and 1.58 bit are similar.
[02:19:46.820 --> 02:19:52.740]   You get to create your own base model if you replicate the paper.
[02:19:52.740 --> 02:19:56.100]   Yes. What do you mean?
[02:19:56.100 --> 02:19:59.140]   Which most of us have never done, right? Which would be --
[02:19:59.140 --> 02:20:06.500]   Technium and the NOAA's research, we've replicated there some -- it does work. Somewhat. Somewhat works.
[02:20:06.500 --> 02:20:08.660]   I mean, yeah. It's one bit, but I mean --
[02:20:08.660 --> 02:20:10.740]   1.58. Yeah. It's not actually one bit. Yeah.
[02:20:10.740 --> 02:20:12.660]   Yeah. I think it's like three. They call it one bit.
[02:20:12.660 --> 02:20:14.100]   Oh, they like to call it one bit. Yeah.
[02:20:14.100 --> 02:20:22.260]   So, but my question is, like, so in theory, like, obviously, I don't know who works here, but like,
[02:20:22.260 --> 02:20:26.420]   most of us have never built a base model. Yes.
[02:20:26.420 --> 02:20:28.340]   So -- Well, you could. Yeah. Yeah.
[02:20:28.340 --> 02:20:34.980]   You can with enough GPU power, but one bit, you know, that was -- and they even had, like,
[02:20:34.980 --> 02:20:42.420]   a really great tutorial, and like -- but do you think that that's just like -- I'm just asking your opinion about that.
[02:20:42.420 --> 02:20:48.340]   I don't think so if 1.8 -- 1.58 bit will be the future. I think NVIDIA is, like, the focus is on float4.
[02:20:48.340 --> 02:20:53.140]   They might go to float -- I think float4 might be the final precision. I don't think you can go any faster with that.
[02:20:53.140 --> 02:20:58.100]   I think float4 is a final -- no more. So we won't be having that much faster GPUs. I don't
[02:20:58.100 --> 02:21:03.380]   think so. I mean, float4 is actually -- they don't actually do float4 anymore. It's like you float6 for
[02:21:03.380 --> 02:21:07.620]   the gradients, float6, and then float4 for the activations. Like, you know, it's very weird.
[02:21:07.620 --> 02:21:12.900]   I mean, you could do, like, float3, float2, but, like, it's your diminishing returns.
[02:21:12.900 --> 02:21:20.900]   So, in ARM silicon, though, there's -- there's been, like, advances in, like,
[02:21:20.900 --> 02:21:27.860]   super low bits, like, bits versus -- Fixpoint stuff? Is it called fixpoint stuff? Or --
[02:21:27.860 --> 02:21:28.420]   Huh?
[02:21:28.420 --> 02:21:30.980]   I think it's called fixed -- I knew ARM has fixpoint.
[02:21:30.980 --> 02:21:36.580]   Oh, well, yeah. So it's -- I mean, just like the Snapdragon X, like the new --
[02:21:36.580 --> 02:21:40.020]   Yes. They have -- so it's, like, customizable as well? Or -- I don't know.
[02:21:40.020 --> 02:21:46.580]   Yeah. Well, okay. So the SDK is broken. You have to pass the -- so this is why you can technically
[02:21:46.580 --> 02:21:58.100]   run Mixtrel 8x7v on your phone at, like, 20-something FPS -- sorry -- TPS is because you can use UFS 4.0
[02:21:58.100 --> 02:22:06.100]   as flash storage and subsequently use that as memory. And then the -- but the thing is,
[02:22:06.100 --> 02:22:12.660]   then you're running at 2-bit precision, which is -- So that's probably why this -- so if you use 2-bit
[02:22:12.660 --> 02:22:15.780]   precision, that's why you have memory reductions. But there's actually papers which show that if
[02:22:15.780 --> 02:22:20.660]   you do 2-bit for the MLP plus 4-bit for attention, that's actually the most appropriate. You can
[02:22:20.660 --> 02:22:24.260]   actually do that. So that's not an invalid approach.
[02:22:24.260 --> 02:22:27.700]   No, that's not invalid. Actually, it works. It works. The -- I've seen it work --
[02:22:27.700 --> 02:22:33.140]   Möbius people did that, I think. Yeah. Yes, question. Sorry. Okay.
[02:22:33.140 --> 02:22:39.220]   Two kind of related questions about precision. First one is, like, why is the negative bit -- like,
[02:22:39.220 --> 02:22:41.300]   you must have -- The sine bit? Yeah.
[02:22:41.300 --> 02:22:47.620]   You don't have to. But it's generally -- generally, like, standard practice to have the sine bit.
[02:22:47.620 --> 02:22:52.260]   In theory, you don't have to. The only problem is, if you don't have a sine bit,
[02:22:52.260 --> 02:22:57.380]   your numbers will be 0, 1, 2, right? But what happens if you wanted to, like,
[02:22:57.380 --> 02:23:02.180]   make the model -- like, you're trying to not make the model learn negative directions anymore?
[02:23:02.180 --> 02:23:05.700]   You could do that. I don't know if there are papers -- maybe you should write a paper about that.
[02:23:05.700 --> 02:23:09.140]   Train a model on that, and let's see what -- okay, but -- yeah.
[02:23:09.140 --> 02:23:13.300]   Well, it's very related. I think it's all bits. It's all bits, right? Yeah.
[02:23:16.020 --> 02:23:20.820]   Softmax, you're basically just linearly, like, getting stuff down to a certain number of bits.
[02:23:20.820 --> 02:23:24.500]   There's nothing special about softmax and things that could be, like, exponentially big,
[02:23:24.500 --> 02:23:26.260]   sort of going this way, right? Like --
[02:23:26.260 --> 02:23:29.780]   The reason -- it's because -- remember, when you do softmax,
[02:23:29.780 --> 02:23:32.740]   you also have to normalize by the sum of the exponentials.
[02:23:32.740 --> 02:23:36.020]   And if you do exponential of 10, you already get, like, some large number,
[02:23:36.020 --> 02:23:39.220]   and this -- this probability will take over the entire sum.
[02:23:39.220 --> 02:23:44.340]   Well, but you're not -- you're not, like, logging it. You're just square-booting it.
[02:23:44.340 --> 02:23:49.620]   No, no. It's -- it's -- it's -- the sum of exponentials divided by -- oh, sorry -- the exponential
[02:23:49.620 --> 02:23:53.860]   divided by the sum of the exponentials. Yeah, but, like, the biggest exponential dominates the sum,
[02:23:53.860 --> 02:23:57.940]   right? Yes. That's the problem, though. If you do that, then your model's not learning.
[02:23:57.940 --> 02:24:02.100]   You're just trying to learn to predict one token. Why don't you just predict that one token,
[02:24:02.100 --> 02:24:08.100]   then? Like, the largest one that you did. That's kind of what you -- you're forcing the model to not learn anything.
[02:24:08.100 --> 02:24:11.140]   That is why you have to, like, minus the maximum. That's a trick that we showed.
[02:24:11.140 --> 02:24:15.140]   It's, like, minus the maximum, and then you can, like, reduce this effect of this one token,
[02:24:15.140 --> 02:24:20.900]   or this one issue. So it's for training stability purposes. I don't know if that kind of -- okay,
[02:24:20.900 --> 02:24:23.620]   probably that didn't answer your question, but -- okay. Yes.
[02:24:23.620 --> 02:24:30.500]   From a back-to-back perspective, how much slower was that layer norm, and then do we know whether
[02:24:30.500 --> 02:24:36.900]   that's actually more accurate than the way that -- That is a good question. To be honest,
[02:24:36.900 --> 02:24:43.860]   I do not know. I don't think so. It changes too much. Layer norms, if you upcast, that's probably,
[02:24:43.860 --> 02:24:49.700]   yeah, small effect. Small effect. But the reason why you need to upcast is because Gemma did it before,
[02:24:49.700 --> 02:24:54.420]   so you have to do it. Remember, the trick is you must follow what the original implementation does.
[02:24:54.420 --> 02:25:03.140]   Any other questions? Or -- okay. There are, like, some other issues which we showed that more -- okay,
[02:25:03.140 --> 02:25:06.580]   it's funny, because it's all about upcasting, downcasting, and stuff like that. Each implementation
[02:25:06.580 --> 02:25:11.860]   does its own thing. Unfortunately, how do you actually analyze this? You have to open three
[02:25:11.860 --> 02:25:19.700]   screens up. The DeepMind one. The DeepMind one. Okay. Okay, I'm too excited. You have to open up
[02:25:19.700 --> 02:25:24.180]   three implementations. DeepMind one, the HuggingFace one, the KRS one. You have to open up three screens,
[02:25:24.180 --> 02:25:28.740]   and you see line by line, what did they do, and then now you have to guess which one's the correct
[02:25:28.740 --> 02:25:34.980]   one. The guessing part is the most painful, so you have to, like, inquire your ass-hugging face,
[02:25:34.980 --> 02:25:38.980]   which one's the correct one? You look at the paper, which one's the correct one? You assume the DeepMind
[02:25:38.980 --> 02:25:42.420]   one's correct and stuff like that. So there's, like, some human component you have to guess.
[02:25:42.420 --> 02:25:48.020]   Guessing. So that's probably why it can't be automated, right? These error-checking things cannot be
[02:25:48.020 --> 02:25:53.220]   automated. It's because there's a human there which made these decisions. And so you have to,
[02:25:53.220 --> 02:25:58.820]   now you have to decide which one, which of those decisions did they choose. And you can't really
[02:25:58.820 --> 02:26:03.460]   automate this away. I guess you could automate this by doing the methodology which we described,
[02:26:03.460 --> 02:26:07.220]   try all combinations and see which one has a lower error. I guess you could do that. But remember,
[02:26:07.220 --> 02:26:12.900]   you must have the original implementation first. That is a problem. So there's, like, chicken and
[02:26:12.900 --> 02:26:20.340]   egg problems. The rope position, so this is the one I was talking about, upcasting rope. This is in all
[02:26:20.340 --> 02:26:30.340]   architectures now. You must not downcast rope. If you do, you will get wrong results. So previously on the
[02:26:30.340 --> 02:26:38.500]   left, right, if you see 8192, 8192, 8192, that's the positions. That is definitely incorrect, right?
[02:26:38.500 --> 02:26:42.900]   What does that mean? Like, do you know why that's incorrect? 8192, 8192, 8192? Does anyone know why?
[02:26:42.900 --> 02:26:48.340]   Remember, this is positions. Why is it all the same? Like, does anyone know why this is really bad?
[02:26:48.340 --> 02:26:57.620]   So we kind of, like, essentially now we, the three words have the same position, right? 8192 is the
[02:26:57.620 --> 02:27:03.700]   position. And what is another big error of this? There's actually one more error. Let's assume the
[02:27:03.700 --> 02:27:16.980]   maximum is 8192, the sequence length. What is 8192? It's out of bounds. Remember it's minus one for
[02:27:16.980 --> 02:27:25.140]   Python, right? 8191 is the correct number, right? So if you correct this, you get 8189, 8190 and 8191,
[02:27:25.140 --> 02:27:29.700]   right? And you can see all the numbers are like this. So the point is if you use, remember the whole point
[02:27:29.700 --> 02:27:34.900]   of this problem is because we're using float 16 for faster training. Remember float 16 is how much
[02:27:34.900 --> 02:27:41.140]   times faster? Yes, around 10 or 5 to 10, something around there, right? That is why you have to do this.
[02:27:41.140 --> 02:27:44.900]   And these are the issues pop out because of this issue, right? We're trying to make training faster,
[02:27:44.900 --> 02:27:54.580]   but then these issues come. And the jelly one, which we described before, this was the first bug that we
[02:27:54.580 --> 02:27:58.980]   found. Actually, I think this is the main reason why we were trying to look through bugs is we found
[02:27:58.980 --> 02:28:05.780]   that, oh, look, there is this bug in Jellu in the activation function. And so the point is Keras used
[02:28:05.780 --> 02:28:13.380]   approximate Jellu, the PyTorch and the PyTorch version used exact Jellu, and Hugging Face also used exact
[02:28:13.380 --> 02:28:19.780]   Jellu. And the question is, which one is the correct one? Is the exact Jellu correct? Is approximate Jellu
[02:28:19.780 --> 02:28:24.580]   Jellu correct? So what's the difference between exact and Jellu activation function?
[02:28:24.580 --> 02:28:32.580]   There is the, where is the, I don't know if they have the exact and the, that's called flex.
[02:28:32.580 --> 02:28:43.140]   Oh, okay. That's night mode. Oh, that's even worse. Okay. Whatever. Oh wait, that's Prelude. Where is Jellu?
[02:28:44.420 --> 02:28:54.340]   Oh wait, no, I have to find it right. Yes. Right. So like the, the exact Jellu is this one, right?
[02:28:54.340 --> 02:29:00.340]   There's an error function. Um, okay. My thing is not rendering it properly. Um, but if you essentially
[02:29:00.340 --> 02:29:07.220]   what you do is you use Desmos. So what I like to do is I use Desmos, um, Desmos, right. And literally
[02:29:07.220 --> 02:29:13.140]   plot them together, plot them on the graph, right? So like, if you have, right. X, Y is equal to X over
[02:29:13.140 --> 02:29:18.740]   two, right. You literally type this in. And what is this one? I think you can do error function. Oh yes,
[02:29:18.740 --> 02:29:25.060]   you can. Right. You can do error function, right. X divided by square root of two. All right. That's the
[02:29:25.700 --> 02:29:35.540]   exact Jellu. Right. Now you type in this complicated formula for X divided by two. Um, one, one plus
[02:29:35.540 --> 02:29:44.900]   than what? I don't remember this square root of two divided by what? Was it pi? Oh, it's pi. Pi. And the
[02:29:44.900 --> 02:29:54.660]   what? Um, X plus zero point. Can I? Oh, we can't. Okay. Zero, four, four, seven. Zero, four, four, seven.
[02:29:54.660 --> 02:30:03.780]   What was the? Oh, one, five. One, five X to the cubed. Was it cubed? Yeah. Okay. Right.
[02:30:03.780 --> 02:30:11.380]   Oh, is it? Oh, you're right. Okay. Wait, is that? Oh, is it just the rendering problem? Or is it
[02:30:11.380 --> 02:30:16.820]   square root? No, no, no. It's square root of two over pi, I think. Wait, is that correct? Wait,
[02:30:16.820 --> 02:30:21.300]   something. I did something wrong. Maybe I did something wrong. Oh, whatever. Who cares? Just,
[02:30:21.300 --> 02:30:25.220]   just assume. Okay. Oh, wait. Oh, yeah. You're right. You're right. I put the square root everywhere.
[02:30:25.220 --> 02:30:32.180]   Oh, is that what you're saying? Yeah. Oh, okay. Oh, no, no, no, no, no. What? No, get rid of that.
[02:30:32.180 --> 02:30:39.780]   Okay. Let me just, no, it's, it's tan of everything. Now I have to do this. Oh, yeah. This is probably
[02:30:39.780 --> 02:30:43.620]   have to play around with this. Oh, there we go. There we go. Right. So the blue line,
[02:30:43.620 --> 02:30:48.660]   if you remove it, the blue line and the red line, right? They're the same thing. But what's the
[02:30:48.660 --> 02:30:52.980]   difference? Remember in Desmos, I don't know if people know this, but you can actually do derivatives
[02:30:52.980 --> 02:31:00.420]   D over DX. Did anyone know this? You can actually do derivatives. You get your D over DX. And then you can
[02:31:00.420 --> 02:31:10.820]   do this as well. D over DX. Right. And they generally align by the exact JLU and the approximate JLU generally
[02:31:10.820 --> 02:31:19.540]   align. And guess what? You can also do integration integral of minus infinity. Oh, did I spell it wrong?
[02:31:19.540 --> 02:31:28.820]   Oh, infinity to infinity, right? Of, I think this works. I'm not a hundred percent sure. Right. You
[02:31:28.820 --> 02:31:34.420]   take your exact JLU, you minus the difference. Oh, I don't think so. This works. I, I, I, yeah,
[02:31:34.420 --> 02:31:39.140]   I don't think so. Oh yes, it works. Yes, it works. So what you do is you can take the integral of minus
[02:31:39.140 --> 02:31:44.900]   infinity to infinity. So the entire line, you minus exact JLU and the approximate JLU and you do DX.
[02:31:44.900 --> 02:31:49.860]   And there is a difference, right? But the difference is very small, right? It's like 10 to the minus 16.
[02:31:49.860 --> 02:31:55.620]   It's very, very small. And notice it's like, when you do, when we do fast triton kernels,
[02:31:55.620 --> 02:32:01.940]   I generally use this feature. So you do, you can do integration, integration and derivatives,
[02:32:01.940 --> 02:32:07.300]   and you know, you can use Desmos. So I highly recommend Desmos. Um, and if you do this,
[02:32:07.300 --> 02:32:13.220]   that's where we found the problem. It's like, oh, okay, there is some sort of issue. And if you fix it,
[02:32:13.220 --> 02:32:19.540]   remember the JLU fix does do some effect. It does do some effect. But remember, we only showed,
[02:32:19.540 --> 02:32:24.180]   there was only very small effect. So it's not that useful. Um, the rope fix was the most important,
[02:32:24.180 --> 02:32:29.940]   right? The rope fix actually caused issues. Um, so you must fix that. And that's the most important
[02:32:29.940 --> 02:32:36.260]   fix that you must do. Um, and finally, there is like some other things that we do, um, depending on
[02:32:36.260 --> 02:32:40.420]   the precision that you use, there is actually a difference between float 16 and bleed float 16.
[02:32:40.420 --> 02:32:47.700]   And if you do this, we show that float 32, um, remember we showed before that in the fixes that
[02:32:47.700 --> 02:32:55.140]   we did, the lines sometimes go back up, right? But actually, if you do float 32, it actually does work.
[02:32:55.140 --> 02:33:00.820]   If you do float 32 position, the lines actually don't do separate very well. But once you use float 16,
[02:33:00.820 --> 02:33:06.100]   the lines then match up again, right? And be float 16, the lines match up again, right? So this is just a
[02:33:06.100 --> 02:33:10.260]   phenomenon that you're using faster, smaller positions. And that is why you have this problem.
[02:33:10.260 --> 02:33:16.900]   But if you do use full precision, you get good results. And the fine tuning notebook for the
[02:33:16.900 --> 02:33:22.100]   Gemma one also works. So Gemma is two times faster and uses like, I think 60% less memory as well. It's
[02:33:22.100 --> 02:33:27.380]   more now. Um, so if you run this, remember you have to connect to, um, you have to connect to your Google
[02:33:27.380 --> 02:33:31.220]   account and you will get this to run. Any questions on the Gemma one?
[02:33:31.220 --> 02:33:35.140]   Okay. Yes.
[02:33:35.140 --> 02:33:52.580]   Yes. Um, where did I put the picture? Oh, it's in the blog post. Um, yes, that's fine. Um, wait,
[02:33:52.580 --> 02:33:59.700]   where did I put it? Oh, it's the first picture. Right. Yeah. This one, right? So the x axis is the layer
[02:33:59.700 --> 02:34:05.940]   number. So Gemma has 18 layers. So each of those, the x axis just indicates which layer the, um,
[02:34:05.940 --> 02:34:13.780]   which layer it is. The y axis is log to log to norm, um, log, log L2 norm. So what you do is you take
[02:34:13.780 --> 02:34:18.420]   the original implementation, like deep minds implementation, you take hugging face, PyTorch,
[02:34:18.420 --> 02:34:24.340]   Gemma, like, you know, the other implementations, you check the output of both of them. So the output,
[02:34:24.340 --> 02:34:29.860]   you run the model through, you take output to layer one and outputs layer one, the other implementations,
[02:34:29.860 --> 02:34:34.580]   and you just find the error. Um, and so this is just the error. Um, and this is log scale. Um,
[02:34:34.580 --> 02:34:40.980]   so when it's log scale, it looks better when it's not log scale, it looks very bad. Um, so does that,
[02:34:40.980 --> 02:34:46.500]   is that better? Yes. Output of each layer. Yes.
[02:34:49.540 --> 02:34:55.940]   Um, that's called Gemma. So that's for Gemma. For fee three, um, similar. What you do is you open
[02:34:55.940 --> 02:35:00.020]   up the fee three implementation, you read through the fee three implementation. And because like,
[02:35:00.020 --> 02:35:05.300]   you guys like probably most likely can go through Lama and like, just look at it in general, remember,
[02:35:05.300 --> 02:35:12.740]   delete useless parts of the code, you will see there are differences in fee three. Um, and the differences
[02:35:12.740 --> 02:35:18.740]   are, um, they use other methodologies. Um, they use upcasting, they use stuff, but there was a weird
[02:35:18.740 --> 02:35:25.140]   thing that we found in the config file. Um, I will show you, um, fee three config.
[02:35:25.140 --> 02:35:31.380]   Okay. I'll just use the instruct version. Um,
[02:35:31.380 --> 02:35:38.580]   if you go to always, when you go to like new models, always read the config file, right?
[02:35:38.580 --> 02:35:44.020]   Config.json. When you open it up, it tells you all the tricks you need to know about the model
[02:35:44.020 --> 02:35:50.500]   architecture. Um, and I highly, right. It tells you what is the EOS token ID? 32,000. Right? When
[02:35:50.500 --> 02:35:56.820]   you look at this, Hmm, is that a good idea? 32,000, 32,000. What is the EOS token ID? Right? 32,000.
[02:35:56.820 --> 02:36:02.020]   Okay. That's fine. The pad token. No. Hmm. Is that a good idea? Like you have to think about like,
[02:36:02.020 --> 02:36:10.260]   why are these, why are they there? How many layers does fee three have? It's 40, right? So 40 layers. Um,
[02:36:10.260 --> 02:36:14.660]   how many positional encodings does it have? So how long, what is the context length? It is one,
[02:36:14.660 --> 02:36:21.140]   three, one, zero, seven, two. That's the context. Um, remember it's 100. So this model, the fee three
[02:36:21.140 --> 02:36:26.180]   medium is 128 K, right? It's not one, one, two, eight, zero, zero, zero, zero, right? Just be careful.
[02:36:26.180 --> 02:36:32.180]   It's actually 128 K, right? It's one, three, one, zero, seven, two. Um, there are other issues with
[02:36:32.180 --> 02:36:36.820]   this model as well. Um, okay. This is, okay. That's the, okay. That's probably, okay. Probably don't
[02:36:36.820 --> 02:36:43.940]   use the instruct version. The instruct, sorry, the true, choose a small version. Um, this is a smaller
[02:36:43.940 --> 02:36:49.060]   version. There is a thing we noticed as a sliding window. So Mr. Has sliding window, um, sliding window
[02:36:49.060 --> 02:36:55.460]   essentially attends to only 2048 tokens. Um, and this just makes training much faster. Um,
[02:36:55.460 --> 02:37:00.980]   and does anyone notice what the problem is for this? Why is it 2047? Anyone notice any issues?
[02:37:00.980 --> 02:37:09.700]   Yes. Well, it's not a power of two, right? Correct. So is that weird? I mean, that's horrible. Yeah.
[02:37:09.700 --> 02:37:14.660]   So I did ask the hugging face people and they said, yes, it is a bug. So they actually did fix it,
[02:37:14.660 --> 02:37:18.180]   but then I don't know why they reverted it back. So I'm a bit confused. Um, they never,
[02:37:18.180 --> 02:37:22.740]   they kind of forgot about this. Yeah. So it's actually, it's supposed to be 2048. Um,
[02:37:22.740 --> 02:37:26.740]   yeah, because that's, that only makes sense. Because if you're training on like, you know,
[02:37:26.740 --> 02:37:32.740]   you're training on the correct context, right? Then this sliding window makes no sense. In fact,
