
[00:00:00.320 --> 00:00:08.540]   I recently stumbled across a fascinating 2024 essay written by a Norwegian psychology professor.
[01:00:25.480 --> 01:00:28.480]   I have to, like stuff that happens week in, week out.
[01:00:28.480 --> 01:00:33.480]   When, where, and what you do, just have it auto-scheduled on your calendar.
[01:00:33.480 --> 01:00:34.480]   Don't even think about it.
[01:00:34.480 --> 01:00:35.480]   It's like, yeah.
[01:00:35.480 --> 01:00:37.480]   Like after lunch, I go to this library and that's when I do my grading.
[01:00:37.480 --> 01:00:40.480]   I do that on Thursdays because they handed their essays on Wednesdays.
[01:00:40.480 --> 01:00:41.480]   Like autopilot it.
[01:00:41.480 --> 01:00:43.480]   It makes your life easier.
[01:00:43.480 --> 01:00:46.480]   And it also means like when other things fall into your schedule, it's not going to steal
[01:00:46.480 --> 01:00:51.480]   the time you need to get the basic repeated stuff done that you need to get done.
[01:00:51.480 --> 01:00:56.480]   And then I would have communication protocols, especially for students.
[01:00:56.480 --> 01:00:58.480]   You know, Hey, here's how you get in touch with me.
[01:00:58.480 --> 01:01:05.480]   We come to my office hours, maybe have multiple email addresses, like a email address for class
[01:01:05.480 --> 01:01:10.480]   questions that are like just for that, that separate from what you use to talk to like your, your community,
[01:01:10.480 --> 01:01:11.480]   have a separate research address.
[01:01:11.480 --> 01:01:14.480]   Like, so have communication protocols, read a role without email.
[01:01:14.480 --> 01:01:17.480]   You have a ton of autonomy as a professor, so you might as well lean into it.
[01:01:17.480 --> 01:01:24.480]   But I think you're going to find this job intellectually stimulating and refreshingly not so grinding as law was.
[01:01:24.480 --> 01:01:26.480]   And don't make it into a grinding job.
[01:01:26.480 --> 01:01:28.480]   Enjoy the fact that it doesn't have to be.
[01:01:28.480 --> 01:01:31.480]   I haven't been back.
[01:01:31.480 --> 01:01:33.480]   It's been a year and a half since I've actually set foot on Georgetown.
[01:01:33.480 --> 01:01:34.480]   I don't think anyone's noticed.
[01:01:34.480 --> 01:01:35.480]   Not true.
[01:01:35.480 --> 01:01:36.480]   Not true.
[01:01:36.480 --> 01:01:37.480]   Not true.
[01:01:37.480 --> 01:01:38.480]   You were kind of talking about your office.
[01:01:38.480 --> 01:01:39.480]   What does your office look like?
[01:01:39.480 --> 01:01:41.480]   I have a lot of offices.
[01:01:41.480 --> 01:01:43.480]   I have two offices at Georgetown now.
[01:01:43.480 --> 01:01:44.480]   Are your papers everywhere?
[01:01:44.480 --> 01:01:45.480]   Or is it kind of neat?
[01:01:45.480 --> 01:01:46.480]   I got to decorate my office, man.
[01:01:46.480 --> 01:01:47.480]   It's kind of depressing.
[01:01:47.480 --> 01:01:51.480]   Like, so I had my original office.
[01:01:53.480 --> 01:01:54.480]   I had brought stuff in.
[01:01:54.480 --> 01:02:00.480]   I had a coffee maker and a table and a carpet and there was like a bookshelf in a certain place and what have you.
[01:02:00.480 --> 01:02:06.480]   And then like the, I moved offices because they, we renovated the floor or whatever, right before the pandemic.
[01:02:06.480 --> 01:02:08.480]   And so I didn't decorate when we moved in.
[01:02:08.480 --> 01:02:09.480]   And then I just lost that momentum.
[01:02:09.480 --> 01:02:11.480]   And so it's kind of depressing.
[01:02:11.480 --> 01:02:12.480]   It's undecorated.
[01:02:12.480 --> 01:02:18.480]   This, I mean, there's like this weird bookshelf in there that just has random books on it.
[01:02:18.480 --> 01:02:28.480]   Um, then I have on the, the shelf behind me at my desk is like a bunch of my books lined up as a true story.
[01:02:28.480 --> 01:02:35.480]   Uh, segment producer from the today show did that because they were interviewing me and they, they were shooting B roll in my office.
[01:02:35.480 --> 01:02:37.480]   And they're like, I think it's going to look better if there's something back here.
[01:02:37.480 --> 01:02:41.480]   Cause your office looks like a place in which a monk committed suicide.
[01:02:41.480 --> 01:02:43.480]   So we need to make this look more interesting.
[01:02:43.480 --> 01:02:49.480]   So they took a lot of books of mine off my shelf and they set them up behind like so that the shot of me at my desk would like at least have something in the background.
[01:02:49.480 --> 01:02:51.480]   And that's been there ever since.
[01:02:51.480 --> 01:02:52.480]   So it's really depressing.
[01:02:52.480 --> 01:02:54.480]   I don't even have any degrees on the wall though.
[01:02:54.480 --> 01:02:57.480]   I will say it's why do you have two offices?
[01:02:57.480 --> 01:02:58.480]   Well, so, okay.
[01:02:58.480 --> 01:03:02.480]   I have another office in which I didn't know until recently.
[01:03:02.480 --> 01:03:03.480]   So this one I'm excited about.
[01:03:03.480 --> 01:03:04.480]   I haven't seen it yet.
[01:03:04.480 --> 01:03:06.480]   So there's a Georgetown.
[01:03:06.480 --> 01:03:11.480]   I'm a computer science professor, but I'm also, uh, you know, a founding faculty member of the center for digital ethics, right?
[01:03:11.480 --> 01:03:14.480]   So I, a lot of my work at Georgetown now is about technology and its impact.
[01:03:14.480 --> 01:03:19.480]   So the center for digital ethics is headquartered in this cool new building is that by the law school campus.
[01:03:19.480 --> 01:03:20.480]   So it's down by the Capitol.
[01:03:20.480 --> 01:03:21.480]   Oh, that's near Gonzaga.
[01:03:21.480 --> 01:03:22.480]   Yes, near Gonzaga.
[01:03:22.480 --> 01:03:23.480]   Yeah.
[01:03:23.480 --> 01:03:24.480]   Yeah.
[01:03:24.480 --> 01:03:25.480]   It's, it's, it's, it's a couple of blocks off North Capitol.
[01:03:25.480 --> 01:03:32.480]   Um, yeah, it's real, real close, uh, to like the NPR headquarters union station and the Capitol.
[01:03:32.480 --> 01:03:34.480]   The Capitol and you have a doubler and the doubler.
[01:03:34.480 --> 01:03:35.480]   Oh, the restaurant.
[01:03:35.480 --> 01:03:36.480]   Oh yeah.
[01:03:36.480 --> 01:03:37.480]   You should meet up there.
[01:03:37.480 --> 01:03:42.480]   Um, so anyways, the point is I have an office there too, which I haven't seen yet, but like
[01:03:42.480 --> 01:03:45.480]   that's, it's cool down there because I can take the Metro there.
[01:03:45.480 --> 01:03:46.480]   I was just going to say that.
[01:03:46.480 --> 01:03:47.480]   Yeah.
[01:03:47.480 --> 01:03:48.480]   Which is nice.
[01:03:48.480 --> 01:03:51.480]   Um, and you can see the Capitol from the building, probably not from my office, but there's certain
[01:03:51.480 --> 01:03:54.480]   rooms in the building where, and the public policy schools down there and the law schools
[01:03:54.480 --> 01:03:55.480]   down there.
[01:03:55.480 --> 01:03:56.480]   Yeah.
[01:03:56.480 --> 01:04:00.480]   So I have two offices there and I have an office here and I have two offices at home.
[01:04:00.480 --> 01:04:02.480]   I've got to spruce up your office on the main campus.
[01:04:02.480 --> 01:04:04.480]   I don't have my diplomas up, but you know what?
[01:04:04.480 --> 01:04:09.480]   There's a, I remember reading this really interesting paper years ago when I was writing
[01:04:09.480 --> 01:04:14.480]   how to become a high school superstar, where I got deep into the psychology of impressiveness.
[01:04:14.480 --> 01:04:15.480]   It's a cool book by the way.
[01:04:15.480 --> 01:04:18.480]   I always recommend people read it, whether you're going to college or not.
[01:04:18.480 --> 01:04:23.480]   And one of these studies I found, it was on counter signaling where not bragging makes
[01:04:23.480 --> 01:04:24.480]   you more impressive, right?
[01:04:24.480 --> 01:04:26.480]   And, and they talked about like nature.
[01:04:26.480 --> 01:04:32.480]   This happens some places where in nature, it's more, uh, it's more raw.
[01:04:32.480 --> 01:04:36.680]   Like the idea is there's certain displays you can do to attract mates, but it also makes
[01:04:36.680 --> 01:04:39.480]   you more, uh, easily attacked by predators.
[01:04:39.480 --> 01:04:41.480]   So there's kind of like this balance you have to figure out.
[01:04:41.480 --> 01:04:44.980]   But in social psychology for humans, it shows up in subtle ways.
[01:04:44.980 --> 01:04:47.980]   And there was this famous, not famous study, a study that's famous to me because I thought
[01:04:47.980 --> 01:04:48.980]   it was very clever.
[01:04:48.980 --> 01:04:54.980]   they, in the UC system, they took, they randomly selected a bunch of professors of different
[01:04:54.980 --> 01:04:55.980]   ranks.
[01:04:55.980 --> 01:05:00.980]   So like tenured professors, um, down to like non tenure track professors.
[01:05:00.980 --> 01:05:05.980]   And they called at night when no one was around, they called their phones to get their voicemail
[01:05:05.980 --> 01:05:08.980]   to see how they described themselves on their voicemail.
[01:05:08.980 --> 01:05:15.380]   And the higher the rank or like the status of the professor, the less likely they were
[01:05:15.380 --> 01:05:16.980]   to say PhD.
[01:05:16.980 --> 01:05:20.980]   So like me as like a full professor, and this would be much more likely to be like, Hey,
[01:05:20.980 --> 01:05:21.980]   this is Cal.
[01:05:21.980 --> 01:05:22.980]   I'm not here.
[01:05:22.980 --> 01:05:23.980]   Like leave a message.
[01:05:23.980 --> 01:05:24.980]   You're a lower rank or non tenure track.
[01:05:24.980 --> 01:05:29.980]   You'd be much more likely to be like, this is Cal Newport PhD, you know?
[01:05:29.980 --> 01:05:34.980]   And so they were saying it's counter signaling that like, as you move your way up of like status
[01:05:34.980 --> 01:05:39.980]   hierarchies, you, you less, you, you would less mentioned that you want to, you want to put
[01:05:39.980 --> 01:05:41.980]   PhD, like my, I don't have PhD after my name on my books.
[01:05:41.980 --> 01:05:43.980]   Like you don't, because it's, it's counter signaling.
[01:05:43.980 --> 01:05:45.980]   It looks like you're trying too hard to prove.
[01:05:45.980 --> 01:05:48.980]   And it's, so it becomes, you, you signal less.
[01:05:48.980 --> 01:05:52.980]   So anyways, that's how I explained the fact I've never had my MIT diplomas hung up anywhere.
[01:05:52.980 --> 01:05:54.980]   I was like, I don't need to show my diploma.
[01:05:54.980 --> 01:05:55.980]   That's what I say.
[01:05:55.980 --> 01:05:56.980]   It's really cause I'm lazy.
[01:05:56.980 --> 01:05:57.980]   I don't need to show my diplomas.
[01:05:57.980 --> 01:06:02.980]   Like that's like, I don't need to convince someone that I'm, I'm so highly educated and
[01:06:02.980 --> 01:06:03.980]   like I'm at the top.
[01:06:03.980 --> 01:06:04.980]   I can't get any higher in academia.
[01:06:04.980 --> 01:06:06.980]   I'm at the, the, the highest rank you can get.
[01:06:06.980 --> 01:06:11.980]   So I'm not going to go out of my way in any way to indicate my training or whatever.
[01:06:11.980 --> 01:06:14.980]   You should at least bring back the rug and the coffee maker.
[01:06:14.980 --> 01:06:15.980]   Yeah.
[01:06:15.980 --> 01:06:16.980]   The coffee maker broke.
[01:06:16.980 --> 01:06:19.980]   Um, and someone talked to, I gave the table to someone else.
[01:06:19.980 --> 01:06:22.980]   I have a whole plan, but no, I got to decorate.
[01:06:22.980 --> 01:06:26.980]   I've got a whole plan to continue to change the office here that I'm renovating.
[01:06:26.980 --> 01:06:27.980]   I got to finish that plan first.
[01:06:27.980 --> 01:06:28.980]   Yeah.
[01:06:28.980 --> 01:06:30.980]   And then I'll start working on my offices.
[01:06:30.980 --> 01:06:32.980]   I, yeah, I should make that office cool.
[01:06:32.980 --> 01:06:37.980]   This is really interesting to people, by the way, like hearing about my office decoration.
[01:06:37.980 --> 01:06:38.980]   Do we have a case study?
[01:06:38.980 --> 01:06:39.980]   We do.
[01:06:39.980 --> 01:06:40.980]   All right.
[01:06:40.980 --> 01:06:43.980]   I want to do that just so we can hear the case study music.
[01:06:43.980 --> 01:06:56.980]   The music still makes me think about the case study.
[01:06:56.980 --> 01:07:00.980]   Then starting with just straightforward, brutal violence.
[01:07:00.980 --> 01:07:03.980]   It's because I love that contrast.
[01:07:03.980 --> 01:07:06.980]   Here's what they don't tell you about the feel of blood on your hands.
[01:07:06.980 --> 01:07:09.980]   It's slippery like an eel.
[01:07:09.980 --> 01:07:11.980]   That's what I thought.
[01:07:11.980 --> 01:07:13.980]   They looked at the body of the bus driver.
[01:07:13.980 --> 01:07:14.980]   Okay.
[01:07:14.980 --> 01:07:18.980]   I just think it would be a funny contrast is what I'm saying is from that music.
[01:07:18.980 --> 01:07:21.980]   But that's not what our current case study today is actually about.
[01:07:21.980 --> 01:07:27.980]   It's written by Rebecca who writes to say, I've always had trouble committing to one thing.
[01:07:27.980 --> 01:07:32.980]   I went to art school, worked at galleries, did freelance reporting, design jewelry, and more.
[01:07:32.980 --> 01:07:37.980]   Meanwhile, I'd been writing songs since high school and releasing an album every eight years.
[01:07:37.980 --> 01:07:40.980]   My songs are lyric focused, but I found lyrics excruciating to write.
[01:07:40.980 --> 01:07:47.980]   So I took forever to finish them at any time I was working on at least three ambitious, unrelated projects.
[01:07:47.980 --> 01:07:49.980]   This reminds me, we should find, I have it somewhere.
[01:07:49.980 --> 01:07:53.980]   The CD that my high school band cut should play that on the air.
[01:07:53.980 --> 01:07:55.980]   I have it somewhere.
[01:07:55.980 --> 01:07:57.980]   I don't know if we're going to find a CD player.
[01:07:57.980 --> 01:07:58.980]   I was just thinking that.
[01:07:58.980 --> 01:08:00.980]   That's going to be the harder part.
[01:08:00.980 --> 01:08:02.980]   I was thinking the exact same thing.
[01:08:02.980 --> 01:08:03.980]   Yeah.
[01:08:03.980 --> 01:08:05.980]   We wrote the theme song for our senior prom.
[01:08:05.980 --> 01:08:06.980]   Very proud of that.
[01:08:06.980 --> 01:08:08.980]   It was a song we wrote and recorded.
[01:08:08.980 --> 01:08:09.980]   All right.
[01:08:09.980 --> 01:08:12.980]   Anyways, it's called get off your damn phone.
[01:08:12.980 --> 01:08:13.980]   All right.
[01:08:13.980 --> 01:08:14.980]   Anyways, back to Rebecca's story.
[01:08:14.980 --> 01:08:18.980]   At any given time, I was working on at least three ambitious, unrelated projects.
[01:08:18.980 --> 01:08:21.980]   I tended to either jump ship before going fully deep with one discipline,
[01:08:21.980 --> 01:08:26.980]   or wait until right before a deadline to finish a project with no time to bring it to its full potential.
[01:08:26.980 --> 01:08:30.980]   True to form, I pivoted the web development a few years ago.
[01:08:30.980 --> 01:08:36.980]   Then I read your books, Digital Minimalism, Deep Work, and Slow Productivity in succession.
[01:08:36.980 --> 01:08:40.980]   While reading Deep Work, I took a lyrical seed I had jotted down a year earlier
[01:08:40.980 --> 01:08:45.980]   and started working on it every morning for one hour, first thing after dropping my kid at school.
[01:08:45.980 --> 01:08:47.980]   Some days I free wrote on the song's theme.
[01:08:47.980 --> 01:08:49.980]   Other days I labored over one line.
[01:08:49.980 --> 01:08:55.980]   Even if I disliked everything I wrote that day, it felt productive to just be ruling things out.
[01:08:55.980 --> 01:09:01.980]   By working on one song consistently, I found I was always mulling it over in the back of my mind.
[01:09:01.980 --> 01:09:06.980]   After two and a half months of doing this almost every morning, I solved the puzzle of the song.
[01:09:06.980 --> 01:09:12.980]   The final verse came around in a pleasing way I could never have predicted.
[01:09:12.980 --> 01:09:16.980]   Even though I spent more hours on these lyrics than on most songs, the overall timeline was shorter.
[01:09:16.980 --> 01:09:24.980]   I decided this is the way for me to work going forward and finished another lyrically ambitious song soon after.
[01:09:24.980 --> 01:09:30.980]   One that would later strike a prominent music journalist when he saw me open for a bigger act and which would eventually lead to an album review.
[01:09:30.980 --> 01:09:36.980]   After reading Slow Productivity, I realized I needed to solely focus on finishing the album.
[01:09:36.980 --> 01:09:42.980]   I've been obscure for two decades, but since this album came out, people seem to be connecting with my music on a new level.
[01:09:42.980 --> 01:09:48.980]   So here's some examples. Uncut Magazine called the album a triumph of dramatic storytelling.
[01:09:48.980 --> 01:09:58.980]   Rolling Stone called it fantastic and described the second song I wrote during the one hour blocks as one of the wittiest and warmest parenthood songs you'll hear this year.
[01:09:58.980 --> 01:10:07.980]   Aquarium Drunkard wrote before the future is that rare thing an album that feels as satisfying and complete as a great short story collection.
[01:10:07.980 --> 01:10:17.980]   I attribute this all to both a higher level of songwriting than before and my new willingness to focus on one project and see it through to the end, including the packaging and promotion phase.
[01:10:17.980 --> 01:10:20.980]   Most importantly, I no longer dread working on lyrics.
[01:10:20.980 --> 01:10:27.980]   I have faith that if I kept at it, I will eventually solve the song and I feel hopeful that I can release my next album in two to three years instead.
[01:10:27.980 --> 01:10:39.980]   That's a great case study because what this tells us, it's like what we talked about last week on the podcast when we talked about work-life balance and what it takes to not be mediocre.
[01:10:39.980 --> 01:10:48.980]   And the reality of that is what really matters relentless discipline work over a long period of time on a thing that you're trying to do really well.
[01:10:48.980 --> 01:10:54.980]   That is what almost always is going to be the secret to people doing the types of things where you say, wow.
[01:10:54.980 --> 01:11:00.980]   So if we look at this Rebecca's story here, Rebecca, of course, is a pseudonym for Taylor Swift.
[01:11:00.980 --> 01:11:01.980]   I assume.
[01:11:01.980 --> 01:11:03.980]   I assume.
[01:11:03.980 --> 01:11:11.980]   If we look at Rebecca's story here, what she's saying is like, okay, I worked on the hard thing.
[01:11:11.980 --> 01:11:12.980]   Lyrics.
[01:11:12.980 --> 01:11:15.980]   I worked on the hard thing every day even if I didn't want to.
[01:11:15.980 --> 01:11:23.980]   I worked on the hard thing every day if it meant all I got done was writing one line or just ruling out things that didn't work.
[01:11:23.980 --> 01:11:24.980]   Nothing worked today.
[01:11:24.980 --> 01:11:28.980]   But I'll still call that progress because I now know new things that don't work.
[01:11:28.980 --> 01:11:31.980]   And I do the hard work and I do it every day whether I want to or not.
[01:11:31.980 --> 01:11:34.980]   That led to a rave review in Rolling Stone.
[01:11:34.980 --> 01:11:37.980]   The stuff she has struggled for years and years to make progress on.
[01:11:37.980 --> 01:11:38.980]   Now she was making progress on it.
[01:11:38.980 --> 01:11:39.980]   That's hard work.
[01:11:39.980 --> 01:11:40.980]   That's relentless discipline.
[01:11:40.980 --> 01:11:41.980]   That's diligence.
[01:11:41.980 --> 01:11:43.980]   But you know what?
[01:11:43.980 --> 01:11:44.980]   It's not.
[01:11:44.980 --> 01:11:48.980]   Hard to do in the sense of long grinding days.
[01:11:48.980 --> 01:11:52.980]   Hard to do in the sense of I have to sacrifice almost everything else in my life to make this happen.
[01:11:52.980 --> 01:11:59.980]   Hard to do in the sense of I don't sleep anymore or like I have to cut off all ties to anything that I value.
[01:11:59.980 --> 01:12:02.980]   No, it's two hours a day.
[01:12:02.980 --> 01:12:07.980]   The magic of relentless deep work is not in what you do in any one day.
[01:12:07.980 --> 01:12:09.980]   It's how much you did over the last year.
[01:12:09.980 --> 01:12:16.980]   And when that's your game, I want to aggregate a large amount of actual deep work on hard stuff that matters over a year or two years.
[01:12:16.980 --> 01:12:19.980]   What you do in a particular day doesn't really matter.
[01:12:19.980 --> 01:12:21.980]   It doesn't have to be exhausting.
[01:12:21.980 --> 01:12:22.980]   It doesn't have to be busy.
[01:12:22.980 --> 01:12:23.980]   It doesn't have to be performative.
[01:12:23.980 --> 01:12:29.980]   In fact, if you do that, you're going to burn out and the amount of work you get done is going to be much less.
[01:12:29.980 --> 01:12:40.980]   So never underestimate the power of like in this case, an inspired mom and songwriter who's getting one to two hours a day in on the absolute hardest, most important stuff she could be doing creatively.
[01:12:40.980 --> 01:12:42.980]   And eventually that worked.
[01:12:42.980 --> 01:12:43.980]   So I think that's a great example.
[01:12:43.980 --> 01:12:45.980]   Rebecca, I appreciate it.
[01:12:45.980 --> 01:12:48.980]   We included the URLs to her music in the show notes.
[01:12:48.980 --> 01:12:49.980]   Oh yeah.
[01:12:49.980 --> 01:12:50.980]   They're in the show notes.
[01:12:50.980 --> 01:12:51.980]   Okay.
[01:12:51.980 --> 01:12:52.980]   Yeah.
[01:12:52.980 --> 01:12:53.980]   Yeah.
[01:12:53.980 --> 01:12:54.980]   This is Rebecca Schiffman.
[01:12:54.980 --> 01:12:55.980]   Cool.
[01:12:55.980 --> 01:12:56.980]   Yeah.
[01:12:56.980 --> 01:12:57.980]   Check that out in the, in the show notes.
[01:12:57.980 --> 01:12:58.980]   Again, suited in for Taylor Swift.
[01:12:58.980 --> 01:12:59.980]   I assume I'm Taylor Swift's muse.
[01:12:59.980 --> 01:13:01.980]   I was trying to think about this the other day.
[01:13:01.980 --> 01:13:07.980]   I think I could name, this is true, three Taylor Swift songs.
[01:13:07.980 --> 01:13:09.980]   Could you name more than three?
[01:13:09.980 --> 01:13:12.980]   I would recognize them, but I can't name them.
[01:13:12.980 --> 01:13:14.980]   I think I recognize three.
[01:13:14.980 --> 01:13:16.980]   There's a song called love story.
[01:13:16.980 --> 01:13:26.980]   There's the song that was in the singing animals movie that my, when my kids were younger, they watched the sing off movie sing, shake it off.
[01:13:26.980 --> 01:13:27.980]   These are older songs.
[01:13:27.980 --> 01:13:29.980]   I don't know our newer songs.
[01:13:29.980 --> 01:13:31.980]   And there's something like bad.
[01:13:31.980 --> 01:13:32.980]   Yeah.
[01:13:32.980 --> 01:13:33.980]   Something right.
[01:13:33.980 --> 01:13:34.980]   Yeah.
[01:13:34.980 --> 01:13:35.980]   Bad.
[01:13:35.980 --> 01:13:37.980]   Um, kidney stone or something.
[01:13:37.980 --> 01:13:38.980]   I don't know.
[01:13:38.980 --> 01:13:39.980]   I don't know what it actually is.
[01:13:39.980 --> 01:13:41.980]   You would probably, you could probably go on for two hours.
[01:13:41.980 --> 01:13:45.980]   Cause you listened to a podcast on I'm sure about like Kelsey's last year performance.
[01:13:45.980 --> 01:13:47.980]   I don't listen to their podcasts actually.
[01:13:47.980 --> 01:13:49.980]   No, I just, you probably hear about him from football context.
[01:13:49.980 --> 01:13:50.980]   All right.
[01:13:50.980 --> 01:13:52.980]   Anyways, I should know more Taylor Swift.
[01:13:52.980 --> 01:13:54.980]   I thought you were talking about the Kelsey podcast.
[01:13:54.980 --> 01:13:57.980]   No, I just mean, you probably know more about her fiance than you do about her.
[01:13:57.980 --> 01:13:58.980]   I guess that's what I was saying.
[01:13:58.980 --> 01:13:59.980]   Oh yeah.
[01:13:59.980 --> 01:14:00.980]   As an NFL football player.
[01:14:00.980 --> 01:14:01.980]   All right.
[01:14:01.980 --> 01:14:02.980]   Do we have a call this week?
[01:14:02.980 --> 01:14:03.980]   We do.
[01:14:03.980 --> 01:14:04.980]   All right.
[01:14:04.980 --> 01:14:06.980]   Let's hear it.
[01:14:06.980 --> 01:14:07.980]   Good morning.
[01:14:07.980 --> 01:14:10.980]   This is Kelso from South Africa.
[01:14:10.980 --> 01:14:14.980]   I want to start off by saying thank you to Kel for all the knowledge and insight that you've
[01:14:14.980 --> 01:14:17.980]   provided over the years in terms of your books and your podcast.
[01:14:17.980 --> 01:14:21.980]   I found it incredibly valuable and I appreciate your efforts around this.
[01:14:21.980 --> 01:14:23.980]   I have a question.
[01:14:23.980 --> 01:14:34.980]   When a person is in the weeds again, after potentially working for a while and sort of losing control
[01:14:34.980 --> 01:14:40.980]   over all of the commitments and everything that one needs to pay attention to, how does one
[01:14:40.980 --> 01:14:47.980]   sort of put a stake in the ground and I need some strategies to understand how one goes through the
[01:14:47.980 --> 01:14:51.980]   review process to get back on track in terms of commitments, in terms of projects, etc.
[01:14:51.980 --> 01:15:01.980]   Is there a framework or a strategy that you would recommend in order to put a stake in the ground, start again from scratch and understand exactly how to proceed from there?
[01:15:01.980 --> 01:15:02.980]   Thank you so much.
[01:15:02.980 --> 01:15:03.980]   Take care.
[01:15:03.980 --> 01:15:04.980]   All right.
[01:15:04.980 --> 01:15:05.980]   Kelso.
[01:15:05.980 --> 01:15:06.980]   I appreciate the question.
[01:15:06.980 --> 01:15:08.980]   Just that's actually the second Kelso I've met.
[01:15:08.980 --> 01:15:11.980]   It's an unusual name, but that's the second Kelso that I've met.
[01:15:11.980 --> 01:15:13.980]   Kind of ironic that we're also talking about Kelsey.
[01:15:13.980 --> 01:15:16.980]   I was worried at first that there's like, yeah, this is Kelsey.
[01:15:16.980 --> 01:15:18.980]   Why don't you know my fiance's songs?
[01:15:18.980 --> 01:15:19.980]   A.
[01:15:19.980 --> 01:15:21.980]   B.
[01:15:21.980 --> 01:15:22.980]   How do I hear this live?
[01:15:22.980 --> 01:15:24.980]   Because you're recording the tape.
[01:15:24.980 --> 01:15:25.980]   I just do.
[01:15:25.980 --> 01:15:26.980]   Taylor has that technology.
[01:15:26.980 --> 01:15:28.980]   C.
[01:15:28.980 --> 01:15:29.980]   I'm coming to fight you.
[01:15:29.980 --> 01:15:31.980]   Which would be a highly rated episode.
[01:15:31.980 --> 01:15:34.980]   All right.
[01:15:34.980 --> 01:15:34.980]   This is a good question.
[01:15:34.980 --> 01:15:36.980]   There's two different types of resets here that matter.
[01:15:36.980 --> 01:15:41.980]   There's like a purely professional reset, which is just, you know, you're making progress.
[01:15:41.980 --> 01:15:43.980]   You have various, you're all locked in.
[01:15:43.980 --> 01:15:48.980]   You have time blocking and multi-scale planning and working on different initiatives and keeping on control of stuff.
[01:15:48.980 --> 01:15:53.980]   And then you go through like a super chaotic work period because there's like a crisis or something and all that flies out the window.
[01:15:53.980 --> 01:15:54.980]   It's just like our hair's on fire.
[01:15:54.980 --> 01:15:55.980]   We're trying to make this done.
[01:15:55.980 --> 01:15:57.980]   And how do you turn back on your time management systems?
[01:15:57.980 --> 01:16:01.980]   We've talked about it on the show before about how you recover.
[01:16:01.980 --> 01:16:08.980]   I would point towards, if that was the issue, there was an issue, a podcast we did over the summer.
[01:16:08.980 --> 01:16:19.980]   And maybe you remember this more, Jesse, but we did a podcast over the summer where I talked about like going to a one page productivity system, like a highly reduced productivity system.
[01:16:19.980 --> 01:16:22.980]   And if you're looking for it, it's called one page productivity.
[01:16:22.980 --> 01:16:24.980]   And this would have been like six episodes ago.
[01:16:24.980 --> 01:16:25.980]   Episode 60, 360.
[01:16:25.980 --> 01:16:26.980]   Episode 360.
[01:16:26.980 --> 01:16:27.980]   So nine episodes ago.
[01:16:27.980 --> 01:16:30.980]   So if that's the issue, like, look, we have a fire drill at work.
[01:16:30.980 --> 01:16:32.980]   And so all of my systems are out the door.
[01:16:32.980 --> 01:16:43.980]   Just go in the summer mode and fall back on like a one page productivity system that just sort of keeps your head above water, prevents major things from being missed and makes you have some sort of peace of mind.
[01:16:43.980 --> 01:16:49.980]   And then once you have a little bit of breathing room after the crisis dies down, then you can sort of one by one turn your systems on.
[01:16:49.980 --> 01:16:53.980]   If it's a life overload, so it's not just work, it's all sorts of stuff going on.
[01:16:53.980 --> 01:16:58.980]   Maybe it was like a health issue with you or someone in your family or there's like a major disruption or a natural disaster.
[01:16:58.980 --> 01:17:01.980]   There's all sorts of stuff that can happen that throws your whole life in the chaos.
[01:17:01.980 --> 01:17:05.980]   And you're like, I don't even know what I'm, you know, doing anymore.
[01:17:05.980 --> 01:17:07.980]   I'm just sort of running from one crisis to another.
[01:17:07.980 --> 01:17:12.980]   Maybe I've fallen into like some unhappy, it's like unhealthy substance habits.
[01:17:12.980 --> 01:17:19.980]   And I'm, you know, just things aren't going well, but now the acute emergency has died down and I want to get out of it.
[01:17:19.980 --> 01:17:30.980]   And this is more of a, a reset where I would look at something like, you know, I'm thinking about my deep life book where part two is about what's this crash course in becoming a more capable human.
[01:17:30.980 --> 01:17:34.980]   And it's something I say, you could do this a lot of times in life.
[01:17:34.980 --> 01:17:38.980]   Like when things go chaotic, how do you, how do you get things back?
[01:17:38.980 --> 01:17:51.980]   So without going into too much detail because I haven't finished this part of the book yet, the basics of this sort of like I want to reset my whole life is you take four areas and you do one to two things per area one month at a time.
[01:17:51.980 --> 01:17:53.980]   That's like the framework you want to think about.
[01:17:53.980 --> 01:17:55.980]   I think I talk about this.
[01:17:55.980 --> 01:18:02.980]   We re-released a podcast episode like this in August where it was like four months to something, something.
[01:18:02.980 --> 01:18:08.980]   So I've talked about, you might find a sample system like that if you go back a few episodes.
[01:18:08.980 --> 01:18:09.980]   366.
[01:18:09.980 --> 01:18:10.980]   366.
[01:18:10.980 --> 01:18:15.980]   But mainly what you want to do if you're trying to reset your life is like, okay, it's going to like health, it's going to be relationship.
[01:18:15.980 --> 01:18:20.980]   If you're religious, it's going to be God fixing that, you know, relationship.
[01:18:20.980 --> 01:18:26.980]   And then, you know, it, it is going to be social and then maybe work.
[01:18:26.980 --> 01:18:27.980]   So like four or five things.
[01:18:27.980 --> 01:18:29.980]   And then you just like, you go one by one.
[01:18:29.980 --> 01:18:33.980]   Like I got to just throw a daily habit into each and just get that back.
[01:18:33.980 --> 01:18:41.980]   Something that doesn't take that long, but just like a small exercise habit, a small, like connecting with people habit, a small, like spiritual habit.
[01:18:41.980 --> 01:18:42.980]   Right.
