
[00:00:00.000 --> 00:00:03.080]   (slow hip hop music)
[00:56:36.800 --> 00:56:39.460]   - Well, when it's not, well, I need to hear,
[00:56:39.460 --> 00:56:41.140]   I need to hear stuff off camera.
[00:56:41.140 --> 00:56:42.300]   (laughing)
[00:56:42.300 --> 00:56:45.220]   But man, no, I really appreciate you getting on here.
[00:56:45.220 --> 00:56:50.860]   And you know, this, as someone who this issue,
[00:56:50.860 --> 00:56:54.060]   for some reason, it's always kind of like,
[00:56:54.060 --> 00:56:55.540]   it's something that's kind of touched my heart.
[00:56:55.540 --> 00:56:57.620]   I appreciate you doing your job
[00:56:57.620 --> 00:57:02.180]   and helping so many people and kind of sharing your story.
[00:57:02.180 --> 00:57:06.020]   And yeah, man, I wish you all the best in retirement.
[00:57:06.020 --> 00:57:08.580]   I wish you, you know, a lot of peace
[00:57:08.580 --> 00:57:10.060]   and a lot of joy in the rest of your life.
[00:57:10.060 --> 00:57:11.180]   - I appreciate it.
[00:57:11.180 --> 00:57:12.580]   - Yeah, man, is there anything else
[00:57:12.580 --> 00:57:13.700]   you wanna get off your chest?
[00:57:13.700 --> 00:57:15.140]   Or I feel like we covered a lot.
[00:57:15.140 --> 00:57:15.980]   I feel like that--
[00:57:15.980 --> 00:57:16.940]   - Yeah, if you ever wanna have me back,
[00:57:16.940 --> 00:57:18.660]   if you come up with like 10 more guests
[00:57:18.660 --> 00:57:20.060]   and you got questions that you wanna kind of
[00:57:20.060 --> 00:57:22.980]   wrap back around to, or maybe some of these investigations
[00:57:22.980 --> 00:57:24.780]   get over with and we can talk again.
[00:57:24.780 --> 00:57:26.220]   - 100% man, thank you.
[00:57:26.220 --> 00:57:27.440]   Curious Mike out.
[00:57:27.440 --> 00:57:30.540]   (upbeat music)
[00:57:30.540 --> 00:57:31.660]   Thank you, bro.
[00:57:31.660 --> 00:57:33.540]   - Wait, I have some questions.
[00:57:33.540 --> 00:57:36.980]   One, the guy that was abusing the two-year-olds,
[00:57:36.980 --> 00:57:39.420]   how did he get two-year-olds?
[00:57:39.420 --> 00:57:41.660]   - Mom was an alcoholic and a prostitute.
[00:57:41.660 --> 00:57:45.700]   She would go out and drink and run tricks.
[00:57:45.700 --> 00:57:48.820]   And he offered to stay back there with her babies,
[00:57:48.820 --> 00:57:49.660]   two-year-olds.
[00:57:49.660 --> 00:57:50.900]   - He would just like babysit people's kids?
[00:57:50.900 --> 00:57:51.900]   'Cause it wasn't just those two.
[00:57:51.900 --> 00:57:52.980]   - It was just her kids.
[00:57:52.980 --> 00:57:56.740]   He kind of had like a friendship relationship with her.
[00:57:56.740 --> 00:58:00.580]   He actually did kidnap one girl off of a playground
[00:58:00.580 --> 00:58:02.920]   outside of his apartment building and abuse her.
[00:58:02.920 --> 00:58:05.660]   But then he let her go and she went home
[00:58:05.660 --> 00:58:06.540]   and didn't tell anybody.
[00:58:06.540 --> 00:58:09.620]   So we only knew that he did it because of the pictures.
[00:58:09.620 --> 00:58:11.940]   He abused the nine-year-old older sister
[00:58:11.940 --> 00:58:13.540]   of the two-year-olds.
[00:58:13.540 --> 00:58:15.580]   He would feed her, like cough syrup
[00:58:15.580 --> 00:58:18.420]   and get her to fall asleep and then abuse her.
[00:58:18.420 --> 00:58:20.940]   I forget who else he abused, but--
[00:58:20.940 --> 00:58:22.300]   - Oh, it's so disgusting.
[00:58:22.300 --> 00:58:25.540]   - Did you hear about the Drake and Josh documentary?
[00:58:25.540 --> 00:58:27.820]   The Nickelodeon, have you seen that?
[00:58:27.820 --> 00:58:29.180]   - I haven't seen it yet.
[00:58:29.180 --> 00:58:33.260]   - The Nickelodeon documentary,
[00:58:33.260 --> 00:58:37.260]   just about how many of those dudes in that,
[00:58:37.260 --> 00:58:40.700]   man, they were, like the guy at Drake and Josh,
[00:58:40.700 --> 00:58:42.420]   that dude was getting molested.
[00:58:42.420 --> 00:58:44.620]   But like a lot of them in Nickelodeon
[00:58:44.620 --> 00:58:48.320]   were like doing that to these kids on these child shows.
[00:58:48.320 --> 00:58:49.160]   It was like a big thing.
[00:58:49.160 --> 00:58:51.100]   A lot of these kids are messed up now.
[00:58:51.100 --> 00:58:52.500]   - 'Cause of that.
[00:58:52.500 --> 00:58:54.300]   - That's why I think it's so much bigger,
[00:58:54.300 --> 00:58:56.960]   like that's why I think there's higher things
[00:58:56.960 --> 00:59:01.100]   that are running some weird organized ring type stuff.
[00:59:01.100 --> 00:59:02.580]   - I wonder if it's organized or if they just like--
[00:59:02.580 --> 00:59:03.420]   - Hunter Biden.
[00:59:03.420 --> 00:59:06.140]   - That's the son of Joe Biden, right?
[00:59:06.140 --> 00:59:08.860]   You wanna know a crazy story about him?
[00:59:08.860 --> 00:59:09.700]   - Yeah.
[00:59:09.700 --> 00:59:11.900]   - This dude, 'cause I know a girl, right,
[00:59:11.900 --> 00:59:16.540]   who was telling me about these sex parties in LA.
[00:59:16.540 --> 00:59:20.040]   This dude got kicked out of this sex party in LA.
[00:59:20.040 --> 00:59:21.860]   She was telling me kinda what goes on,
[00:59:21.860 --> 00:59:23.480]   how they're doing like all this.
[00:59:23.480 --> 00:59:24.540]   You walk from room to room
[00:59:24.540 --> 00:59:26.840]   and you see different celebrities, different politicians.
[00:59:26.840 --> 00:59:28.240]   You know, a lot of them have the masks on.
[00:59:28.240 --> 00:59:30.320]   But you know, the girl I was talking to is pretty famous
[00:59:30.320 --> 00:59:31.400]   and she was telling me what goes on
[00:59:31.400 --> 00:59:33.320]   at these sex parties in LA.
[00:59:33.320 --> 00:59:35.560]   That same dude, Hunter Biden, was at the same one
[00:59:35.560 --> 00:59:38.320]   and he got kicked out of the sex party,
[00:59:38.320 --> 00:59:40.800]   of the sex club because he,
[00:59:40.800 --> 00:59:43.000]   I guess one of the rules is you have to ask before you touch
[00:59:43.000 --> 00:59:45.640]   and he was like disrespecting the women in there or whatever
[00:59:45.640 --> 00:59:47.780]   but yeah, that's a bad guy right there.
[00:59:47.780 --> 00:59:50.900]   - Yeah, he is and he's got some younger people
[00:59:50.900 --> 00:59:54.660]   than were 18 on the list there too.
[00:59:54.660 --> 00:59:55.500]   - Really?
[00:59:55.500 --> 00:59:56.320]   - Yeah.
[00:59:56.320 --> 00:59:57.160]   - Okay, I have more questions.
[00:59:57.160 --> 00:59:58.700]   'Cause you were in the Pacific Northwest, right?
[00:59:58.700 --> 00:59:59.540]   - Yes, ma'am.
[00:59:59.540 --> 01:00:01.220]   - This guy that I knew,
[01:00:01.220 --> 01:00:04.480]   'cause at the time I had a boyfriend up there
[01:00:04.480 --> 01:00:07.340]   and his father worked at this church.
[01:00:07.340 --> 01:00:08.180]   He worked at the church,
[01:00:08.180 --> 01:00:09.620]   he worked with like college-age students.
[01:00:09.620 --> 01:00:12.020]   Like he was like a seemingly great guy,
[01:00:12.020 --> 01:00:13.500]   had a YouTube talking about God,
[01:00:13.500 --> 01:00:15.440]   talking about Jesus, da, da, da, da.
[01:00:15.440 --> 01:00:18.600]   A year or two now ago, he got arrested for,
[01:00:18.600 --> 01:00:20.360]   have you heard of Isaac Chirac?
[01:00:20.360 --> 01:00:22.880]   He got arrested for trafficking girls into Seattle.
[01:00:22.880 --> 01:00:24.640]   He was like someone like we kicked it with.
[01:00:24.640 --> 01:00:26.560]   Like we knew him, he was like normal, nice,
[01:00:26.560 --> 01:00:27.760]   like worshiped Jesus.
[01:00:27.760 --> 01:00:28.600]   - Really?
[01:00:28.600 --> 01:00:29.420]   - Yes.
[01:00:29.420 --> 01:00:32.840]   - I arrested a guy who, he molested his daughter.
[01:00:32.840 --> 01:00:34.440]   She was like 10 or 11.
[01:00:34.440 --> 01:00:36.560]   He got sent to prison for 10 years.
[01:00:36.560 --> 01:00:39.160]   He got out, joined a church,
[01:00:39.160 --> 01:00:41.360]   got on the missionary group for the church,
[01:00:41.360 --> 01:00:45.540]   went to Africa, found a lady there to marry
[01:00:45.540 --> 01:00:48.460]   who had two daughters and started abusing
[01:00:48.460 --> 01:00:50.220]   both of her daughters in Kenya.
[01:00:50.220 --> 01:00:53.700]   - So people just really use the church as a cover,
[01:00:53.700 --> 01:00:55.540]   which leads me to my last question.
[01:00:55.540 --> 01:00:57.540]   Why do you think it's so prevalent with like
[01:00:57.540 --> 01:00:58.720]   Catholic priests?
[01:00:58.720 --> 01:01:01.540]   - I have no clue.
[01:01:01.540 --> 01:01:04.740]   Like I think that's just child rape.
[01:01:04.740 --> 01:01:05.580]   You know what I mean?
[01:01:05.580 --> 01:01:07.340]   I don't think they're filming it, they're doing anything.
[01:01:07.340 --> 01:01:10.620]   I haven't had any investigations into the Catholic church,
[01:01:10.620 --> 01:01:12.140]   but I totally agree with you.
[01:01:12.140 --> 01:01:14.260]   And I think it's just like,
[01:01:14.260 --> 01:01:16.860]   once that kind of infection starts
[01:01:16.860 --> 01:01:18.780]   and you keep those people on
[01:01:18.780 --> 01:01:22.220]   and they bring on other people, it's like, just.
[01:01:22.220 --> 01:01:24.660]   - So do you think it's like--
[01:01:24.660 --> 01:01:25.700]   - You're right though, bro.
[01:01:25.700 --> 01:01:28.020]   It is the porn because like,
[01:01:28.020 --> 01:01:31.580]   you get desensitized to normal stuff
[01:01:31.580 --> 01:01:33.060]   and you need weird stuff.
[01:01:33.060 --> 01:01:36.300]   And then I bet you that's not how this stuff happens.
[01:01:36.300 --> 01:01:38.460]   - The Catholic priest, do you think that there's a part
[01:01:38.460 --> 01:01:39.900]   that's like, because of the job,
[01:01:39.900 --> 01:01:41.140]   where they're not allowed to get married,
[01:01:41.140 --> 01:01:42.300]   they're not allowed to have sex with women?
[01:01:42.300 --> 01:01:43.340]   - Yeah, it is.
[01:01:43.340 --> 01:01:45.980]   They, they, they, it's gotta be.
[01:01:45.980 --> 01:01:47.420]   They can't-- - It's gotta be.
[01:01:47.420 --> 01:01:49.100]   - Yeah, it's gotta be.
[01:01:49.100 --> 01:01:50.820]   They're supposed to be celibate for life,
[01:01:50.820 --> 01:01:52.740]   but those people who are supposed to be celibate,
[01:01:52.740 --> 01:01:54.340]   they end up doing wild stuff.
[01:01:54.340 --> 01:01:57.500]   - (laughs) That's always the most wild ones
[01:01:57.500 --> 01:02:00.460]   are the ones that are the quietest, shy ones.
[01:02:00.460 --> 01:02:02.540]   - It's just wild to me that this is such a,
[01:02:02.540 --> 01:02:04.460]   like you would think this is like a freak issue
[01:02:04.460 --> 01:02:07.660]   that only like a very few number of people deal with,
[01:02:07.660 --> 01:02:09.620]   but like you said, it's just so widespread
[01:02:09.620 --> 01:02:11.660]   and I think that's the scariest part.
[01:02:11.660 --> 01:02:13.660]   - Oh. - Like an hour.
[01:02:13.660 --> 01:02:14.500]   - That was good, man.
[01:02:14.500 --> 01:02:15.340]   I thought it was good.
[01:02:15.340 --> 01:02:16.180]   What'd you think, Steve?
[01:02:16.180 --> 01:02:17.020]   - Yeah, I thought it was good.
[01:02:17.020 --> 01:02:18.660]   I thought you, I thought it was like super natural
[01:02:18.660 --> 01:02:19.500]   to just blow everything up.
[01:02:19.500 --> 01:02:20.580]   - Yeah, I did, too.
[01:02:20.580 --> 01:02:21.780]   Good, good, good.
[01:02:21.780 --> 01:02:23.580]   - You're good at talking.
[01:02:23.580 --> 01:02:26.900]   - Oh, try being an undercover for a few years.
[01:02:26.900 --> 01:02:28.460]   - Oh yeah, you gotta-- - You gotta bullshit yourself
[01:02:28.460 --> 01:02:29.820]   out of a few situations.
[01:02:29.820 --> 01:02:31.060]   - Give your P's and Q's.
[01:02:31.060 --> 01:02:33.860]   - I have something that's called essential tremor syndrome
[01:02:33.860 --> 01:02:36.180]   and it's been getting worse as I get older, so I'll shake.
[01:02:36.180 --> 01:02:37.020]   - Yeah.
[01:02:37.020 --> 01:02:40.220]   - And so, when I'm under a lot of stress,
[01:02:40.220 --> 01:02:43.380]   it gets really bad, like it'll be really noticeable.
[01:02:43.380 --> 01:02:48.380]   And so, I had to buy a bunch of fentanyl last year,
[01:02:48.380 --> 01:02:51.140]   so I had to go meet this dude to buy, you know,
[01:02:51.140 --> 01:02:54.260]   couple thousand pills of fentanyl and I'm like, fuck,
[01:02:54.260 --> 01:02:56.220]   I'm just gonna be shaking like a motherfucker.
[01:02:56.220 --> 01:02:58.260]   So I'm texting with him beforehand.
[01:02:58.260 --> 01:03:00.980]   I'm like, hey dude, I can't do this shit
[01:03:00.980 --> 01:03:03.700]   'cause I have early onset Parkinson's
[01:03:03.700 --> 01:03:06.100]   and it'll fuck with my medication, stuff like that,
[01:03:06.100 --> 01:03:08.380]   so I just threw it in this subtle text.
[01:03:08.380 --> 01:03:10.820]   And so then, when I went, I noticed myself shaking.
[01:03:10.820 --> 01:03:13.900]   I'm like, fucking Parkinson's, man, this shit's gonna be bad.
[01:03:13.900 --> 01:03:16.900]   And I'm just like, it's not, it's not Parkinson's at all,
[01:03:16.900 --> 01:03:18.300]   but it's like, you know what I mean?
[01:03:18.300 --> 01:03:19.940]   Let me use my weakness as my strength.
[01:03:19.940 --> 01:03:21.980]   Like, who's thinking that somebody's gonna be a cop
[01:03:21.980 --> 01:03:22.900]   and has Parkinson's?
[01:03:22.900 --> 01:03:24.060]   - Right. - Right.
[01:03:24.060 --> 01:03:27.460]   - Nah, dude, I bet it is crazy
[01:03:27.460 --> 01:03:30.420]   having to work undercover and just put on that persona,
[01:03:30.420 --> 01:03:33.340]   like you're one of these freaks, you know?
[01:03:33.340 --> 01:03:35.660]   - Yeah, they have to watch every minute of it.
[01:03:35.660 --> 01:03:36.700]   You're literally an actor.
[01:03:36.700 --> 01:03:37.940]   You're like a professional actor.
[01:03:37.940 --> 01:03:39.820]   - I would just take confessions that I got
[01:03:39.820 --> 01:03:41.380]   'cause I love to do interviews.
[01:03:41.380 --> 01:03:43.340]   I would interview, and so I had a bunch of people
[01:03:43.340 --> 01:03:45.140]   that I interviewed and they would confess everything to me
[01:03:45.140 --> 01:03:47.100]   and tell me all about abusing.
[01:03:47.100 --> 01:03:49.980]   Like the guy from Africa, he confessed everything.
[01:03:49.980 --> 01:03:50.820]   - Yeah.
[01:03:50.820 --> 01:03:53.420]   - And so I would just make their story my own
[01:03:53.420 --> 01:03:55.420]   and I would just, that would be my story.

