
[00:00:00.000 --> 00:00:01.200]   That's good going.
[01:01:01.240 --> 01:01:03.480]   Like, I try explaining,
[01:01:03.480 --> 01:01:06.840]   but I just don't know if he's, like, fully there.
[01:01:06.840 --> 01:01:08.800]   I don't know. -If you're explaining
[01:01:08.800 --> 01:01:12.400]   prior to or during a temper tantrum,
[01:01:12.400 --> 01:01:14.960]   it is not going to work. -Yeah.
[01:01:14.960 --> 01:01:16.640]   -No. He's not learning.
[01:01:16.640 --> 01:01:18.920]   He's shut down in that moment.
[01:01:18.920 --> 01:01:22.160]   He's not going to hear you.
[01:01:22.160 --> 01:01:28.640]   So the chastisement has to come first.
[01:01:28.640 --> 01:01:31.680]   And, of course, when I'm saying let him calm down,
[01:01:31.680 --> 01:01:35.480]   there's times where you don't have to let him calm down.
[01:01:35.480 --> 01:01:38.720]   If they're not completely out of control
[01:01:38.720 --> 01:01:41.640]   and you can give them a chastisement,
[01:01:41.640 --> 01:01:44.680]   give them the chastisement as soon as you can.
[01:01:44.680 --> 01:01:47.360]   That's the quickest way to get to their heart
[01:01:47.360 --> 01:01:50.600]   so that that transition can happen, right?
[01:01:50.600 --> 01:01:53.000]   I say put them in a room by themselves
[01:01:53.000 --> 01:01:55.360]   because if they're completely out of control
[01:01:55.360 --> 01:01:59.680]   or if you, as a mom, you're in the middle of something
[01:01:59.680 --> 01:02:01.720]   you can't deal with right away,
[01:02:01.720 --> 01:02:04.400]   you can put them in their room by themselves,
[01:02:04.400 --> 01:02:07.640]   but just get in there as quickly as you can
[01:02:07.640 --> 01:02:09.720]   to apply the consequence.
[01:02:09.720 --> 01:02:11.760]   Does that make sense? -Yeah.
[01:02:11.760 --> 01:02:12.960]   -Okay. -Thank you.
[01:02:12.960 --> 01:02:14.320]   -All right. Anybody else?
[01:02:14.320 --> 01:02:16.480]   -Yeah, Brittany. -Okay.
[01:02:16.480 --> 01:02:17.280]   -Quick question.
[01:02:17.320 --> 01:02:21.920]   So my orthopedic doctor doesn't want me to lifting anything.
[01:02:21.920 --> 01:02:24.160]   -Lifting? Okay.
[01:02:24.160 --> 01:02:26.480]   -So my son threw a tantrum today
[01:02:26.480 --> 01:02:29.000]   outside with the bike in our backyard,
[01:02:29.000 --> 01:02:33.880]   and I had to lift him up to take him inside
[01:02:33.880 --> 01:02:37.800]   to calm him down and then to administer a discipline,
[01:02:37.800 --> 01:02:41.400]   and he hurt my back.
[01:02:41.400 --> 01:02:44.320]   So do you have any other suggestions for,
[01:02:44.320 --> 01:02:48.480]   instead of picking up, implementing something?
[01:02:48.480 --> 01:02:51.160]   -How old is he? -He's 2.
[01:02:51.160 --> 01:02:53.680]   -You can't lean him by the hand?
[01:02:53.680 --> 01:02:55.360]   -I -- He'll fall.
[01:02:55.360 --> 01:02:56.320]   So I did try.
[01:02:56.320 --> 01:02:58.480]   He fell to the ground and just, you know,
[01:02:58.480 --> 01:03:02.240]   became a floppy fish. -Okay.
[01:03:02.240 --> 01:03:04.720]   -And he was in your backyard, you say?
[01:03:04.720 --> 01:03:05.920]   -Mm-hmm.
[01:03:05.920 --> 01:03:09.920]   -And is it private back there?
[01:03:09.920 --> 01:03:12.000]   -We -- My husband says yes.
[01:03:12.000 --> 01:03:14.000]   I say no. -Okay.
[01:03:14.000 --> 01:03:18.960]   -It's our neighbor's backyards with a fence between.
[01:03:18.960 --> 01:03:22.160]   -Okay. Yeah, I wouldn't do it.
[01:03:22.160 --> 01:03:26.040]   So I would just tell him to come in the house,
[01:03:26.040 --> 01:03:29.360]   and I know he's probably not going to do that,
[01:03:29.360 --> 01:03:32.800]   and so when you do get him in the house,
[01:03:32.800 --> 01:03:38.760]   he's going to have one spanking for the first offense,
[01:03:38.760 --> 01:03:40.880]   and then he's going to have another spanking
[01:03:40.880 --> 01:03:43.960]   for not coming in when you asked him to.
[01:03:43.960 --> 01:03:47.160]   -Okay. My husband working from home,
[01:03:47.160 --> 01:03:50.640]   I don't want to interrupt him working,
[01:03:50.640 --> 01:03:53.600]   but he says, "I'll come out anytime to pick him up
[01:03:53.600 --> 01:03:55.280]   and bring him in," but I don't know
[01:03:55.280 --> 01:03:59.200]   if that's sending the wrong message to my son.
[01:03:59.200 --> 01:04:00.640]   -I -- Yeah, I agree.
[01:04:00.640 --> 01:04:03.640]   I would let your husband do his work,
[01:04:03.640 --> 01:04:08.240]   and I would do it this way because he's going to learn
[01:04:08.240 --> 01:04:11.880]   quickly that he doesn't have to have the second spanking
[01:04:11.880 --> 01:04:14.120]   if he comes in the first time.
[01:04:14.120 --> 01:04:15.360]   -Got it. Okay.
[01:04:15.360 --> 01:04:18.320]   -It's going to take you a few days with him.
[01:04:18.320 --> 01:04:20.360]   -Okay. Thank you.
[01:04:20.360 --> 01:04:22.120]   -It shouldn't take more than a week.
[01:04:22.120 --> 01:04:24.200]   If you are consistent with this,
[01:04:24.200 --> 01:04:26.480]   it shouldn't take you more than a week.
[01:04:26.480 --> 01:04:29.720]   -And catching him now that he's 2 years old is really --
[01:04:29.720 --> 01:04:32.280]   -Really good. Yes.
[01:04:32.280 --> 01:04:33.440]   Yeah. -Okay. All right.
[01:04:33.440 --> 01:04:35.360]   -Good job. -Watch that back.
[01:04:35.360 --> 01:04:36.480]   -Yeah. No kidding.
[01:04:36.480 --> 01:04:40.360]   I've got a bad back, too, so I --
[01:04:40.360 --> 01:04:42.760]   -You can relate. -I can relate, yes.
[01:04:42.760 --> 01:04:44.040]   -All right. -Yeah.
[01:04:44.040 --> 01:04:45.240]   -Let's talk about interruptions.
[01:04:45.240 --> 01:04:47.120]   We had previously talked about,
[01:04:47.120 --> 01:04:49.880]   and hopefully you'll learn the interrupt rule.
[01:04:49.880 --> 01:04:51.440]   Are you practicing it?
[01:04:51.440 --> 01:04:53.200]   Give me some feedback in terms of,
[01:04:53.200 --> 01:04:55.440]   are your kids understanding it?
[01:04:55.440 --> 01:04:58.000]   Is it working? Are you doing it correctly?
[01:04:58.000 --> 01:04:59.640]   Give me some feedback on it.
[01:04:59.640 --> 01:05:03.640]   -Did you ditch it?
[01:05:03.640 --> 01:05:06.640]   -Is anybody practicing this?
[01:05:06.640 --> 01:05:09.240]   -My 6-year-old is great with it.
[01:05:09.240 --> 01:05:10.840]   -Good.
[01:05:10.840 --> 01:05:13.200]   -Like, she doesn't really interrupt me anymore,
[01:05:13.200 --> 01:05:17.160]   or she needs a few reminders.
[01:05:17.160 --> 01:05:21.640]   My son, we've corrected, and we've corrected,
[01:05:21.640 --> 01:05:25.960]   but he's still not -- both of my boys,
[01:05:25.960 --> 01:05:28.640]   they just seem to not even care.
[01:05:28.640 --> 01:05:30.520]   And, like, when I'm on the phone,
[01:05:30.520 --> 01:05:32.480]   even when I'm on the phone with Ryan,
[01:05:32.480 --> 01:05:35.640]   like, I'll be like, "Okay, you need to go to your room
[01:05:35.640 --> 01:05:37.680]   until I can finish this."
[01:05:37.680 --> 01:05:42.400]   And then I go and talk to him, but it doesn't --
[01:05:42.400 --> 01:05:45.240]   -So, I'm going to ask you a question, Sarah.
[01:05:45.240 --> 01:05:49.400]   Are you doing it the minute they don't do
[01:05:49.400 --> 01:05:51.240]   what you've asked them to do,
[01:05:51.240 --> 01:05:56.440]   or do you try to convince them to do it?
[01:05:56.440 --> 01:05:59.000]   -I remind them the first time that I'm on the phone.
[01:05:59.000 --> 01:06:01.920]   Say, "Mommy's on the phone."
[01:06:01.920 --> 01:06:03.040]   I'll just say, "Mommy's on the phone,"
[01:06:03.040 --> 01:06:05.520]   like, if they don't see that or something.
[01:06:05.520 --> 01:06:07.960]   And then if they do it again, I'm just,
[01:06:07.960 --> 01:06:09.280]   "Okay, you need to go to your room
[01:06:09.280 --> 01:06:10.920]   because you're not listening."
[01:06:10.920 --> 01:06:13.880]   -Okay, so, just my encouragement to you,
[01:06:13.880 --> 01:06:20.160]   keep doing that where you are not giving them any debate time
[01:06:20.160 --> 01:06:23.280]   because when you give them any debate time at all,
[01:06:23.280 --> 01:06:27.640]   that's all they need to get their will strengthened
[01:06:27.640 --> 01:06:30.200]   so that they know that they can at least get
[01:06:30.200 --> 01:06:36.400]   that few minutes of tug-of-war before you do
[01:06:36.400 --> 01:06:39.320]   what you're telling them you're going to do.
[01:06:39.320 --> 01:06:41.120]   And I'm saying that not only to you,
[01:06:41.120 --> 01:06:43.680]   but everybody else in the class because I know everybody's
[01:06:43.680 --> 01:06:47.280]   probably dealing with something similar to that.
[01:06:47.280 --> 01:06:49.720]   And the more we debate with our children,
[01:06:49.720 --> 01:06:51.640]   the stronger their wills get.
[01:06:51.640 --> 01:06:57.600]   So, the more consistent we are in just applying lovingly,
[01:06:57.600 --> 01:07:00.800]   no wild emotion coming out of us.
[01:07:00.800 --> 01:07:03.680]   We're not angry. We're not disappointed.
[01:07:03.680 --> 01:07:06.800]   We know it's our job to train their hearts,
[01:07:06.800 --> 01:07:10.880]   and this is just one more opportunity that we get to do it.
[01:07:10.880 --> 01:07:17.520]   And so, if we're in that mindset and it's an immediate thing,
[01:07:17.520 --> 01:07:22.240]   your kids are going to learn to obey very quickly.
[01:07:22.240 --> 01:07:27.480]   So, I do understand that you might have a tigger.
[01:07:27.480 --> 01:07:31.960]   -That is not the case, yeah. -Yes.
[01:07:31.960 --> 01:07:35.120]   -So, he will be a tigger all the days of his life.
[01:07:35.120 --> 01:07:37.120]   -Forever and ever.
[01:07:37.120 --> 01:07:40.200]   -And so, it's always going to be challenging,
[01:07:40.200 --> 01:07:44.120]   but still hold him to that same standard
[01:07:44.120 --> 01:07:47.840]   because that is the best thing you can do for those tiggers.
[01:07:47.840 --> 01:07:50.880]   -Yeah. -They will become the heroes one day.
[01:07:50.880 --> 01:07:54.840]   -They will. -Is it normal for our tiggers
[01:07:54.840 --> 01:07:58.480]   to take longer to learn these things?
[01:07:58.480 --> 01:08:00.200]   -Oh, yes. -Oh, sure.
[01:08:00.200 --> 01:08:03.000]   -Because they're so impulsive, yeah.
[01:08:03.000 --> 01:08:05.760]   They act before they think.
[01:08:05.760 --> 01:08:08.840]   And so, yes, yes.
[01:08:08.840 --> 01:08:12.640]   It will get better, but it'll never be gone.
[01:08:12.640 --> 01:08:13.960]   -Yeah. -It'll never be gone.
[01:08:13.960 --> 01:08:16.640]   But it will get a lot better as you go.
[01:08:16.640 --> 01:08:18.720]   It'll get a lot better.
[01:08:18.720 --> 01:08:21.720]   And they really are learning the lessons,
[01:08:21.720 --> 01:08:26.080]   so it really radically impacts their life as adults.
[01:08:26.080 --> 01:08:27.200]   -Yeah. -It's good.
[01:08:27.200 --> 01:08:29.160]   -And one of the things that might be helpful --
[01:08:29.160 --> 01:08:30.600]   you may or may not be doing this,
[01:08:30.600 --> 01:08:31.880]   but it's our next session.
[01:08:31.880 --> 01:08:33.680]   It talks about the family schedule.
[01:08:33.680 --> 01:08:36.560]   So, if you're on the phone with someone,
[01:08:36.560 --> 01:08:39.600]   they should be doing something else that's on the schedule
[01:08:39.600 --> 01:08:41.560]   for them to be busy during that time.
[01:08:41.560 --> 01:08:45.440]   -Yeah, productive, busy and productive, yeah.
[01:08:45.440 --> 01:08:46.600]   -So, talk about the family schedule.
[01:08:46.600 --> 01:08:51.320]   -Yeah, I mean, guys, this is such a benefit to families,
[01:08:51.320 --> 01:08:54.680]   and, honestly, I think this is the last thing
[01:08:54.680 --> 01:08:58.600]   anybody ever applies in "Training Hearts,"
[01:08:58.600 --> 01:09:03.280]   and it breaks my heart because I am telling you
[01:09:03.280 --> 01:09:07.640]   this is such a benefit to you, to be on a schedule.
[01:09:07.640 --> 01:09:12.040]   And that does not mean that you are a slave to the schedule.
[01:09:12.040 --> 01:09:14.240]   That just means that you have a framework
[01:09:14.240 --> 01:09:17.800]   set up for your family, and the kids are aware of it.
[01:09:17.800 --> 01:09:20.000]   They know it.
[01:09:20.000 --> 01:09:24.400]   They begin to trust you more and more every day
[01:09:24.400 --> 01:09:28.520]   because you know what's coming next in the day.
[01:09:28.520 --> 01:09:30.680]   If you've got any kids out there that are saying,
[01:09:30.680 --> 01:09:32.800]   "What are we doing today, Mom? Can we go to the park?
[01:09:32.800 --> 01:09:35.040]   I think we should go visit so-and-so,"
[01:09:35.040 --> 01:09:39.160]   it is because they don't know what they're doing in their day,
[01:09:39.160 --> 01:09:41.320]   and it drives them crazy.
[01:09:41.320 --> 01:09:44.120]   It causes them to feel anxious.
[01:09:44.120 --> 01:09:47.240]   And so, if you've got a schedule set up,
[01:09:47.240 --> 01:09:51.720]   they don't ever have to feel like they need to be the inventor
[01:09:51.720 --> 01:09:53.920]   of what happens in their day.
[01:09:53.920 --> 01:09:57.560]   And then that gives them this glorious framework
[01:09:57.560 --> 01:09:59.720]   where you've set up different things
[01:09:59.720 --> 01:10:01.920]   during the day for them to do,
[01:10:01.920 --> 01:10:06.480]   and they can just be as creative within that framework
[01:10:06.480 --> 01:10:09.920]   as they want, and it is so much more fun.
[01:10:09.920 --> 01:10:13.880]   They are so much happier, and you will love it.
[01:10:13.880 --> 01:10:19.200]   So, even in those times where we were off track on the schedule,
[01:10:19.200 --> 01:10:24.880]   which happened a lot because I believe a schedule is for me,
[01:10:24.880 --> 01:10:27.600]   not me for the schedule.
[01:10:27.600 --> 01:10:31.640]   I'm not -- the schedule is not the authority over me.
[01:10:31.640 --> 01:10:34.360]   I am the authority over the schedule.
[01:10:34.360 --> 01:10:38.040]   And so, if I need to break my schedule
[01:10:38.040 --> 01:10:40.360]   or if I want to break my schedule,
[01:10:40.360 --> 01:10:42.840]   I'm going to break my schedule.
[01:10:42.840 --> 01:10:45.440]   But in those moments where --
[01:10:45.440 --> 01:10:47.040]   and I think I've mentioned this before,
[01:10:47.040 --> 01:10:51.320]   coming in with groceries is just probably my best example,
[01:10:51.320 --> 01:10:54.240]   and kids all helping me drag the bags in
[01:10:54.240 --> 01:10:57.200]   and up onto the counter, and now I'm putting them away,
[01:10:57.200 --> 01:11:01.640]   and pretty soon the kids are losing control in the other room
[01:11:01.640 --> 01:11:04.680]   because they're done bringing in the groceries.
[01:11:04.680 --> 01:11:09.440]   All I would have to do is say, "Guys, what's on the schedule?"
[01:11:09.440 --> 01:11:11.440]   And if they didn't know what was on the schedule,
[01:11:11.440 --> 01:11:12.880]   they would run to the schedule
[01:11:12.880 --> 01:11:15.920]   that was always posted on the refrigerator,
[01:11:15.920 --> 01:11:17.640]   and they would look at it, and they'd go,
[01:11:17.640 --> 01:11:23.960]   "It's coloring time," or "It's Lego time," or whatever.
[01:11:23.960 --> 01:11:27.720]   And I'd go, "Okay, go do it," and off they'd go.
[01:11:27.720 --> 01:11:29.480]   And it was peaceful.
[01:11:29.480 --> 01:11:32.280]   I didn't have to break up bites or anything.
[01:11:32.280 --> 01:11:35.320]   I just -- all I had to do was say what was on the schedule.
[01:11:35.320 --> 01:11:36.760]   And did that happen overnight?
[01:11:36.760 --> 01:11:41.240]   No, but it happened with consistency over time,
[01:11:41.240 --> 01:11:44.920]   and pretty soon my kids were never worried
[01:11:44.920 --> 01:11:47.120]   about what was going on in the day.
[01:11:47.120 --> 01:11:49.240]   And if I wanted to take them over
[01:11:49.240 --> 01:11:51.560]   and see some of their friends or go visit
[01:11:51.560 --> 01:11:54.400]   or go to the park with some people,
[01:11:54.400 --> 01:11:55.720]   we'd pack it up and go.
[01:11:55.720 --> 01:11:58.480]   We're not a slave to the schedule,
[01:11:58.480 --> 01:12:05.800]   but that schedule is a really incredible benefit to you.
[01:12:05.800 --> 01:12:08.880]   It will help you run your day.
[01:12:08.880 --> 01:12:14.680]   And so I highly, highly, highly, highly recommend it.
[01:12:14.680 --> 01:12:16.680]   -Sounds like you highly recommend it.
[01:12:16.680 --> 01:12:18.720]   -I do. I do.
[01:12:18.720 --> 01:12:22.360]   I hope that at least one of you out there
[01:12:22.360 --> 01:12:25.760]   will put your family on a schedule
[01:12:25.760 --> 01:12:28.880]   because you will see what a blessing it is.
[01:12:28.880 --> 01:12:30.360]   -Yeah. -Just, you know,
[01:12:30.360 --> 01:12:33.480]   just don't get rigorous about the schedule.
[01:12:33.480 --> 01:12:39.440]   Just it's a schedule to keep you all within these time boundaries
[01:12:39.440 --> 01:12:42.640]   that are amazing because you can be creative
[01:12:42.640 --> 01:12:44.320]   within those time boundaries.
[01:12:44.320 --> 01:12:46.040]   You can get things done.
[01:12:46.040 --> 01:12:47.520]   We've got questions. -We do.
[01:12:47.520 --> 01:12:51.640]   But before you say that, the schedule for preschoolers.
[01:12:51.640 --> 01:12:54.320]   -Yes. -You recommend "Creative Family Times"
[01:12:54.320 --> 01:12:55.560]   as a resource? -Yes. Yeah.
[01:12:55.560 --> 01:12:56.960]   -Okay. -Yeah, that's a great book.
[01:12:56.960 --> 01:12:58.840]   -Okay, good. -It'll give you some good ideas.
[01:12:58.840 --> 01:13:00.840]   But, you know, as far as the schedule goes,
[01:13:00.840 --> 01:13:03.360]   you start with when they wake up in the morning.
[01:13:03.360 --> 01:13:08.080]   Do a time and try and get on to that schedule,
[01:13:08.080 --> 01:13:10.480]   whatever that time is.
[01:13:10.480 --> 01:13:11.600]   Make it reasonable.
[01:13:11.600 --> 01:13:15.680]   Make it, you know, don't do an unrealistic wake-up time,
[01:13:15.680 --> 01:13:19.360]   like, "Okay, everybody's going to be brushing their teeth at 530."
[01:13:19.360 --> 01:13:21.360]   No, don't do that.
[01:13:21.360 --> 01:13:25.080]   Do something realistic that everybody can enjoy
[01:13:25.080 --> 01:13:29.640]   and then get your mealtimes on the schedule.
[01:13:29.640 --> 01:13:33.520]   And then I'm sure some of you are doing homeschooling,
[01:13:33.520 --> 01:13:36.280]   so get your homeschooling on the schedule.
[01:13:36.280 --> 01:13:38.120]   But, of course, if you've got a little one
[01:13:38.120 --> 01:13:39.440]   that is not homeschooling,
[01:13:39.440 --> 01:13:42.200]   you've got to get a schedule for that little one.
[01:13:42.200 --> 01:13:44.160]   And so, like, I had Natalie.
[01:13:44.160 --> 01:13:47.800]   She was four years younger than Michael,
[01:13:47.800 --> 01:13:49.360]   six years younger than Tori.
[01:13:49.360 --> 01:13:53.160]   So Tori and Michael were on a schedule
[01:13:53.160 --> 01:13:57.320]   that was very, you know, for school, very much for school.
[01:13:57.320 --> 01:14:01.120]   They were on, you know, blocks of subjects.
[01:14:01.120 --> 01:14:04.360]   So with Natalie, I had to make sure that I had fun,
[01:14:04.360 --> 01:14:09.840]   little, more preschool-ish types of things set up for her.
[01:14:09.840 --> 01:14:15.320]   And it was so much fun and easy to homeschool my boys
[01:14:15.320 --> 01:14:18.880]   because my daughter was very content and happy
[01:14:18.880 --> 01:14:22.240]   to move from one station to the next.
[01:14:22.240 --> 01:14:25.920]   And all those things can be pre-set up in your house.
[01:14:25.920 --> 01:14:28.760]   You know, we used to have a little table with colors,
[01:14:28.760 --> 01:14:32.840]   like crayons and coloring books and little kids' scissors
[01:14:32.840 --> 01:14:35.680]   and even glue because my kids learned
[01:14:35.680 --> 01:14:38.480]   to be self-controlled with the glue.
[01:14:38.480 --> 01:14:42.520]   And they could do their little projects at the little table,
[01:14:42.520 --> 01:14:45.400]   and we would have it for a certain amount of time.
[01:14:45.400 --> 01:14:48.320]   Maybe it would be 15 to 20 minutes,
[01:14:48.320 --> 01:14:51.360]   and then they'd move on to something else.
[01:14:51.360 --> 01:14:53.760]   So, anyway, I know I'm --
[01:14:53.760 --> 01:14:55.480]   -I know, I know.
[01:14:55.480 --> 01:14:57.520]   -Two more days to cover here. -I just have so much to tell.
[01:14:57.520 --> 01:14:58.920]   -You do, I know.
[01:14:58.920 --> 01:15:02.120]   We're going to extend the class to --
[01:15:02.120 --> 01:15:02.960]   -No. -Okay.
[01:15:02.960 --> 01:15:05.920]   We had a question real quick.
[01:15:05.920 --> 01:15:08.680]   -I just wanted to say, when I listened to your podcast
[01:15:08.680 --> 01:15:12.080]   a couple weeks ago, Sharon, on "Date Nights with the Woods,"
[01:15:12.080 --> 01:15:14.640]   we implemented a calendar where it has, like,
[01:15:14.640 --> 01:15:17.240]   visuals because my boys can't read yet.
[01:15:17.240 --> 01:15:18.440]   -Oh, sorry.
[01:15:18.440 --> 01:15:21.400]   -It has made all the difference with our oldest
[01:15:21.400 --> 01:15:24.360]   because he would ask me 30 times a day,
[01:15:24.360 --> 01:15:25.760]   "What are we doing now?
[01:15:25.760 --> 01:15:26.800]   What are we doing now?
[01:15:26.800 --> 01:15:28.320]   Maybe we should do this."
[01:15:28.320 --> 01:15:30.680]   And now he knows, so during breakfast time,
[01:15:30.680 --> 01:15:33.080]   he goes through the list with his little brother
[01:15:33.080 --> 01:15:34.560]   and says, "This is what we're doing,"
[01:15:34.560 --> 01:15:36.480]   and "Mom's changed the schedule,"
[01:15:36.480 --> 01:15:38.320]   and "This is when we'll do this."
[01:15:38.320 --> 01:15:39.520]   -They are so happy.
[01:15:39.520 --> 01:15:41.920]   -It's made, like, so much easier.
[01:15:41.920 --> 01:15:43.920]   -Good. -Like, so much easier.
[01:15:43.920 --> 01:15:46.280]   -That's great. -Thank you for your testimony.
[01:15:46.280 --> 01:15:48.320]   -Yes, so good.
[01:15:48.320 --> 01:15:50.360]   -So everybody doesn't have to think
[01:15:50.360 --> 01:15:52.920]   I'm just a crazy lady over here.
[01:15:52.920 --> 01:15:54.520]   -Take it to heart.
[01:15:54.520 --> 01:15:55.560]   -It is so helpful.
[01:15:55.560 --> 01:15:57.200]   I'm so glad that helped you.
[01:15:57.200 --> 01:15:58.720]   Good job. -Okay.
[01:15:58.720 --> 01:16:00.720]   Now, I'm going to fly through the rest here
[01:16:00.720 --> 01:16:02.360]   because we have a lot to cover.
[01:16:02.360 --> 01:16:03.760]   -That was so important, though.
[01:16:03.760 --> 01:16:05.240]   -It was, definitely.
[01:16:05.240 --> 01:16:08.640]   Playtime, make sure you make time in the schedule
[01:16:08.640 --> 01:16:09.920]   also for playtime,
[01:16:09.920 --> 01:16:12.480]   time when the child can play by himself, right?
[01:16:12.480 --> 01:16:13.600]   -Yes. -And make sure --
[01:16:13.600 --> 01:16:15.440]   And also some other suggestions.
[01:16:15.440 --> 01:16:18.920]   You can have mommy and daddy time, memorization time,
[01:16:18.920 --> 01:16:21.120]   sit time, talk time, et cetera.
[01:16:21.120 --> 01:16:22.320]   -Bible time. -Bible time.
[01:16:22.320 --> 01:16:24.520]   -Make sure you get Bible time in there, prayer time.
[01:16:24.520 --> 01:16:26.720]   -Yeah, you've got all those good things.
[01:16:26.720 --> 01:16:30.080]   Let's go to day four, discipline and correction,
[01:16:30.080 --> 01:16:32.720]   reviewing the points from Ted Tripp's DVD.
[01:16:32.720 --> 01:16:35.200]   We have corrective, and then we have formative,
[01:16:35.200 --> 01:16:36.760]   so make sure you know the difference
[01:16:36.760 --> 01:16:41.120]   and understand how they work with each other, okay?
[01:16:41.120 --> 01:16:44.200]   The circle of blessing, hopefully you guys are using that.
[01:16:44.200 --> 01:16:47.040]   It is a great visual, a great opportunity
[01:16:47.040 --> 01:16:49.360]   to bring your child to a place
[01:16:49.360 --> 01:16:51.160]   where they have an actual understanding
[01:16:51.160 --> 01:16:54.600]   of what it means to be in that circle of blessing.
[01:16:54.600 --> 01:16:59.680]   -Hopefully your kids are seeing that and loving it.
[01:16:59.680 --> 01:17:02.720]   -Yeah. -No, you don't do that.
[01:17:02.720 --> 01:17:05.880]   -No, you don't do that, yeah.
[01:17:05.880 --> 01:17:09.280]   -So, yeah, so they're getting on board
[01:17:09.280 --> 01:17:10.960]   with the circle of blessing, as well.
[01:17:10.960 --> 01:17:15.400]   Anybody's kids getting excited about the circle of blessing?
[01:17:15.400 --> 01:17:19.080]   -I hope so. -Raise your hand.
[01:17:19.080 --> 01:17:21.200]   Oh, good. There's one.
[01:17:21.200 --> 01:17:23.520]   -Yeah. Anyway, it's a good tool.
[01:17:23.520 --> 01:17:24.840]   We just encourage you to use it.
[01:17:24.840 --> 01:17:27.320]   -Maybe you guys aren't using the circle of blessing.
[01:17:27.320 --> 01:17:29.640]   -Yeah. Let's move on.
[01:17:29.640 --> 01:17:33.040]   Question number 25, when does a child need the rescue rod?
[01:17:33.040 --> 01:17:35.000]   Okay, when a child receives instructions
[01:17:35.000 --> 01:17:38.640]   that he understands and has the capacity to obey
[01:17:38.640 --> 01:17:41.280]   but does not obey without question,
[01:17:41.280 --> 01:17:44.000]   delay, or excuse, then he needs the rescue rod, right?
[01:17:44.000 --> 01:17:45.680]   -We have a lot of pages left.
[01:17:45.680 --> 01:17:48.080]   -I know we do, yes.
[01:17:48.080 --> 01:17:49.480]   Understanding some of the key points
[01:17:49.480 --> 01:17:50.760]   of giving that chastisement,
[01:17:50.760 --> 01:17:52.920]   you want to do it in a private place, right?
[01:17:52.920 --> 01:17:54.720]   Not a spectator sport.
[01:17:54.720 --> 01:17:57.800]   And you want to make sure that this is a specific situation
[01:17:57.800 --> 01:18:01.080]   where the child has failed to honor and obey.
[01:18:01.080 --> 01:18:04.040]   Again, don't focus on the circumstance.
[01:18:04.040 --> 01:18:06.240]   Focus on the sin issue, right?
[01:18:06.240 --> 01:18:07.680]   Make sure you do that.
[01:18:07.680 --> 01:18:12.080]   When a child lies, real quick, can you give us our impression
[01:18:12.080 --> 01:18:15.160]   of what Ted Tripp said versus how we kind of want to approach it
[01:18:15.160 --> 01:18:17.160]   and how Coswell and Lilly approaches it?
[01:18:17.160 --> 01:18:21.000]   -Okay, so Ted Tripp kind of was like,
[01:18:21.000 --> 01:18:23.360]   "I'm not going to call my child a liar,"
[01:18:23.360 --> 01:18:25.360]   and I agree with that.
[01:18:25.360 --> 01:18:27.440]   Obviously, you know,
[01:18:27.440 --> 01:18:32.120]   we do not want to call our children a sin, right?
[01:18:32.120 --> 01:18:36.240]   We don't want to classify them as a liar.
[01:18:36.240 --> 01:18:39.800]   But the fact of the matter is you are the adults,
[01:18:39.800 --> 01:18:44.200]   and if you know that your child lied, your child lied.
[01:18:44.200 --> 01:18:48.160]   And so just like in this lesson where we talk about Sarah
[01:18:48.160 --> 01:18:53.920]   and how the angels responded to her, "Yes, you did lie,"
[01:18:53.920 --> 01:18:56.800]   it was very point-blank, and I loved that
[01:18:56.800 --> 01:18:59.120]   because it's like, "Yes, she did lie."
[01:18:59.120 --> 01:19:00.480]   -Absolutely, you bet.
[01:19:00.480 --> 01:19:04.160]   -And that's how we need to deal with our children
[01:19:04.160 --> 01:19:08.640]   and help them to recognize that a lie
[01:19:08.640 --> 01:19:11.040]   is not going to be able to be hidden.
[01:19:11.040 --> 01:19:13.960]   There might be occasions where they get away with it,
[01:19:13.960 --> 01:19:18.520]   but as a rule, if they practice lying,
[01:19:18.520 --> 01:19:21.160]   it is going to be seen by everybody.
[01:19:21.160 --> 01:19:23.880]   Usually the liar is the only one that doesn't know
[01:19:23.880 --> 01:19:26.200]   that their lies aren't being believed.
[01:19:26.200 --> 01:19:29.040]   -Yeah, and I think we give some good scenarios here
[01:19:29.040 --> 01:19:31.840]   in terms of kind of what to look for.
[01:19:31.840 --> 01:19:34.280]   Under question number 31, you'll see those,
[01:19:34.280 --> 01:19:35.920]   and hopefully you had a chance to review those
[01:19:35.920 --> 01:19:37.600]   and understand those, as well.
[01:19:37.600 --> 01:19:39.040]   So important. -Okay, thank you so much.
[01:19:39.040 --> 01:19:43.080]   -Yep. We want to make sure, of course, that after spanking,
[01:19:43.080 --> 01:19:45.000]   you want to be able to restore with your child.
[01:19:45.000 --> 01:19:48.360]   You want to affirm your love for your child, right?
[01:19:48.360 --> 01:19:50.480]   You want to make sure you check your own spirit
[01:19:50.480 --> 01:19:53.240]   if it hasn't worked and there's a problem
[01:19:53.240 --> 01:19:56.080]   that's happening in terms of the restoration.
[01:19:56.080 --> 01:19:58.280]   Did you handle your child roughly, right?
[01:19:58.280 --> 01:20:00.160]   Were you out of control?
