
[00:00:00.000 --> 00:00:07.200]   Last week Jerry Seinfeld as part of the promotional tour for his new Netflix movie frosted
[01:10:08.400 --> 01:10:11.160]   It was a dark and bleak
[01:10:11.160 --> 01:10:12.880]   Sort of soul-sapping existence
[01:10:12.880 --> 01:10:17.800]   I saw this among my own students at Georgetown is that first year the pandemic wound on is that you could see the light going?
[01:10:17.800 --> 01:10:22.240]   Out of their eyes. They're just stuck at home. And so he went hard the other way. I'm not gonna look at my phone
[01:10:22.240 --> 01:10:25.820]   I'm gonna use retro equipment. He had these old-fashioned computers retro equipment
[01:10:26.560 --> 01:10:32.240]   And I'm just gonna sit here and concentrate for hours all day long and in doing so I'm going to sort of make the point
[01:10:32.240 --> 01:10:34.240]   That there's power in the opposite of what you're doing
[01:10:34.240 --> 01:10:40.240]   So there's power in the opposite of staring at a screen and being lost in an algorithmic rabbit hole. It was a monastic behavior
[01:10:40.240 --> 01:10:43.400]   we see this play out a lot in the Internet age the Internet age has
[01:10:43.400 --> 01:10:49.160]   Made this type of monastic behavior this inspiring monastic behavior more common another example
[01:10:49.160 --> 01:10:52.080]   Internet age example David Goggins
[01:10:53.080 --> 01:10:57.280]   Right. David Goggins is a character that for those who don't understand
[01:10:57.280 --> 01:11:03.640]   What he's responding to he's mystifying right Goggins has this very hard upbringing
[01:11:03.640 --> 01:11:07.200]   Really hard troubled childhood
[01:11:07.200 --> 01:11:15.840]   Grows up a little bit out of shape right going nowhere and gets his act together eventually becomes a Navy SEAL right getting after it Navy SEAL
[01:11:15.840 --> 01:11:19.760]   leaves Navy SEALs and starts doing in a sort of
[01:11:20.560 --> 01:11:23.840]   documented online sort of way just extreme feats of
[01:11:23.840 --> 01:11:26.600]   endurance athletics
[01:11:26.600 --> 01:11:29.440]   Extreme feet ultra marathons running every day
[01:11:29.440 --> 01:11:34.600]   He got the record for most pull-ups in a 24-hour period these type of things
[01:11:34.600 --> 01:11:40.760]   He started making these videos and then this would spread he began becoming a guest on a lot of
[01:11:40.760 --> 01:11:47.080]   Podcasts that has sort of male audiences where he was just saying, you know, hey get hard be disciplined. Just do it
[01:11:47.080 --> 01:11:48.560]   You got to get out there. Just do hard work
[01:11:48.560 --> 01:11:51.200]   He's puzzling to a lot of people like this guy's crazy
[01:11:51.200 --> 01:11:56.880]   Like he is a little bit crazy. I'm just like obsessive doing the physical activity all day long
[01:11:56.880 --> 01:12:02.680]   To like the point of almost nothing else his knees had been completely destroyed like his body is probably falling apart
[01:12:02.680 --> 01:12:05.480]   Like what's the point of this? We're not gonna no one's gonna go and do this
[01:12:05.480 --> 01:12:11.880]   I'm not gonna run a hundred miles like twice a week. I'm not going to you know, do a thousand pull-ups
[01:12:11.880 --> 01:12:15.640]   I'm not going to just run around and curse and say get hard like I have a family do other sorts of things
[01:12:15.640 --> 01:12:22.680]   But that was not the port-a-goggins. He was monastic. He was responding to there was a subset of sort of American Western male culture
[01:12:22.680 --> 01:12:24.520]   That was feeling
[01:12:24.520 --> 01:12:30.080]   Unengaged was feeling on efficacious was feeling sort of out of shape and useless. They were drinking too much
[01:12:30.080 --> 01:12:38.720]   They were out eating too bad food. They weren't being good fathers. They weren't being good husbands, but they were sort of lacking discipline and
[01:12:38.720 --> 01:12:44.360]   So seeing this extreme monastic aesthetic example of discipline was inspiring for that subset of guys
[01:12:44.360 --> 01:12:48.160]   It confused everyone else but for them they didn't go off and do the same elite
[01:12:48.160 --> 01:12:54.480]   Endurance athletic events, but they got in better shape. They got their finances under control. They became better fathers
[01:12:54.480 --> 01:12:58.640]   They cared more about their kids and their family. They stopped drinking right? It really turned a lot of lives around
[01:12:58.640 --> 01:13:04.440]   So when you do this sort of extreme example of something that's in reaction to a problem
[01:13:04.440 --> 01:13:08.840]   It really helps other people leave the problem. That's all I think is going on with James Schultz. It's just for a younger audience
[01:13:10.000 --> 01:13:16.560]   So I think I was wrong. I think others are wrong to label him as a paragon of hustle culture is really the opposite
[01:13:16.560 --> 01:13:21.840]   He is actually a prophet or saint or monastic in the digital era
[01:13:21.840 --> 01:13:26.800]   From the young generation speaking to the young generation. Don't be lost in your phones all day
[01:13:26.800 --> 01:13:34.280]   There be dragons and I'm going to sit outside decay for hours at a time. So you learn how to resist it
[01:13:35.380 --> 01:13:39.220]   So that's an apology at James Schultz. He's a much more rich interesting cultural
[01:13:39.220 --> 01:13:41.920]   Character and I think we made him out to be
[01:13:41.920 --> 01:13:48.360]   So I'm still searching. I'm still searching for the core of hustle culture. I need another example now
[01:13:48.360 --> 01:13:55.440]   Again, it really does feel like almost everyone I talked to even people who are really in this world of productivity
[01:13:55.440 --> 01:13:58.860]   They want to be organized but typically because they don't like the stress of being disorganized
[01:13:58.860 --> 01:14:01.620]   They're often worried about doing too many things
[01:14:02.380 --> 01:14:08.440]   They want to be good at what they do, you know, but we're the the group out there. That's really pushing
[01:14:08.440 --> 01:14:13.380]   I have the hack that's going to allow you to conquer everything in the world
[01:14:13.380 --> 01:14:18.700]   That group wherever they are needs to be louder because I'm not running into them a lot and I think that's a good thing
[01:14:18.700 --> 01:14:24.300]   But anyways James, I think what you did was cool and interesting and as much performance art as it was anything else
[01:14:24.300 --> 01:14:27.380]   And so, you know my hat actually now is tipped to you
[01:14:27.380 --> 01:14:31.520]   All right. That's all the time we have for today. Thank you for tuning in
[01:14:31.520 --> 01:14:36.280]   We'll be back next week with another episode of the show and until then as always
[01:14:36.280 --> 01:14:43.340]   Stay deep. Hey, if you like today's episodes about Jerry Seinfeld's advice for living a deeper life
[01:14:43.340 --> 01:14:49.100]   I think you'll like last week's episode episode 303 where I talk about the danger of trying to use
[01:14:49.100 --> 01:14:56.260]   Grand goals to find depth spoiler alert. It doesn't work. Take Jerry's advice instead. Check it out
[01:14:56.260 --> 01:14:58.780]   I think you'll enjoy it. How do you create a
[01:14:59.500 --> 01:15:07.460]   Deep life a life that is lived on purpose a life that the people who know you find to be in a quite
[01:15:07.460 --> 01:15:09.020]   literal sense

