
[00:00:00.000 --> 00:00:06.100]   The following is a conversation with Terence Tao, widely considered to be one of the greatest
[02:30:24.180 --> 02:30:29.780]   this parity barrier is, is the biggest remaining obstacle. Um, there are simpler versions of the
[02:30:29.780 --> 02:30:35.620]   conjecture where we are getting really close. Um, so I think we will, in 10 years, we will have
[02:30:35.620 --> 02:30:42.180]   many more, much closer results. We may not have the whole thing. Um, yeah, so two times is somewhat
[02:30:42.180 --> 02:30:47.300]   close. Yeah. Riemann hypothesis. Uh, I have no, I mean, it has to happen by accident. I think, uh,
[02:30:47.300 --> 02:30:52.900]   so the Riemann hypothesis is a kind of more general conjecture about the distribution of prime numbers.
[02:30:52.900 --> 02:30:56.660]   Right. Yeah. It's, it's, it's, it's sort of viewed multiplicatively, like for, for questions
[02:30:56.660 --> 02:31:01.380]   only involving multiplication, no addition, the primes really do behave as randomly as, as you
[02:31:01.380 --> 02:31:07.300]   could hope. So there's a phenomenon in probability called square root cancellation that, um, you know,
[02:31:07.300 --> 02:31:14.020]   like if you want to poll say America upon some issue, um, and you, you ask one or two voters and
[02:31:14.020 --> 02:31:19.220]   you may have sampled a bad sample and then you get, you get a really imprecise measurement of the full
[02:31:19.220 --> 02:31:24.020]   average. But if you sample more and more people, the accuracy gets better and better. And the accuracy
[02:31:24.020 --> 02:31:29.780]   improves like the square root of the number of people you, uh, you sample. So yeah, if you sample,
[02:31:29.780 --> 02:31:32.260]   um, a thousand people, you can get like a two, three percent margin of error.
[02:31:32.260 --> 02:31:36.580]   So in the same sense, if you measure the primes in a certain multiplicative sense,
[02:31:36.580 --> 02:31:40.900]   there's a certain type of statistic you can measure and it's called the Riemann's data function and it
[02:31:40.900 --> 02:31:46.100]   fluctuates up and down. But in some sense, um, as you keep averaging more and more, if you sample
[02:31:46.100 --> 02:31:50.020]   more and more, the fluctuations should go down as if they were random. And there's a very precise way to
[02:31:50.020 --> 02:31:55.860]   quantify that. And the Riemann hypothesis is a very elegant way that captures this. But, um,
[02:31:56.820 --> 02:32:00.820]   as with many other ways in mathematics, we have very few tools to show that something really genuinely
[02:32:00.820 --> 02:32:06.180]   behaves like really random. And this is actually not just a little bit random, but it's asking that it
[02:32:06.180 --> 02:32:12.900]   behaves as random as an actually random set, this square root cancellation. And we know, actually,
[02:32:12.900 --> 02:32:17.380]   because of things related to the parity problem, actually, that most of us' usual techniques cannot
[02:32:17.380 --> 02:32:25.620]   hope to settle this question. Um, the proof has to come out of left field. Um, yeah, but, uh, what that
[02:32:25.620 --> 02:32:32.340]   is, yeah, no one has any serious proposal. Um, and there's, there's various ways to sort of, as I said,
[02:32:32.340 --> 02:32:37.620]   you can modify the primes a little bit and you can destroy the Riemann hypothesis. Um, so like,
[02:32:37.620 --> 02:32:42.180]   it has to be very delicate. Um, you can't apply something that has huge margins of error. It has
[02:32:42.180 --> 02:32:49.300]   to just barely work. Um, and like, um, there's like all these pits, pitfalls that you like dodge very
[02:32:49.300 --> 02:32:54.180]   adeptly. The prime numbers is just fascinating. Yeah. Yeah. Yeah. What, what to you is, um,
[02:32:54.180 --> 02:32:57.620]   most mysterious about the prime numbers?
[02:32:57.620 --> 02:33:04.180]   That's a good question. So like conjecturally, we have a good model of them. I mean, like, as I said,
[02:33:04.180 --> 02:33:08.740]   I mean, they have certain patterns, like the primes are usually odd, for instance, but apart
[02:33:08.740 --> 02:33:12.900]   from these sort of obvious patterns, they behave very randomly and just assuming that they behave.
[02:33:12.900 --> 02:33:16.820]   So there's something called the Kramer random model of the primes that, that, that, that after a
[02:33:16.820 --> 02:33:21.300]   certain point, primes just behave like a random set. Um, and there's various slight modifications
[02:33:21.300 --> 02:33:26.180]   to this model, but this has been a very good model. It matches the numerics. It tells us what to
[02:33:26.180 --> 02:33:29.780]   predict. Like I can tell you with complete certainty, the true and prime conjecture is true. Uh,
[02:33:29.780 --> 02:33:32.980]   the random model gives overwhelming odds it is true. I just can't prove it.
[02:33:33.860 --> 02:33:38.820]   Most of our mathematics is optimized for solving things with patterns in them. Um,
[02:33:38.820 --> 02:33:46.900]   and the primes have this anti-pattern, um, as do almost everything really, but we can't prove that.
[02:33:46.900 --> 02:33:51.460]   Yeah. I guess it's not mysterious that the primes are kind of random because there's sort of no reason
[02:33:51.460 --> 02:33:59.060]   for them to be, um, uh, to have any kind of secret pattern. But what is mysterious is what is the
[02:33:59.060 --> 02:34:03.860]   mechanism that really forces the randomness to happen. Uh, and this is just absent.
[02:34:04.900 --> 02:34:09.860]   Another incredibly, surprisingly difficult problem is the collage conjecture.
[02:34:09.860 --> 02:34:09.860]   Oh yes.
[02:34:09.860 --> 02:34:09.860]   Oh yes.
[02:34:09.860 --> 02:34:17.940]   Simple to state, beautiful to visualize in its simplicity and yet extremely, uh, difficult
[02:34:17.940 --> 02:34:23.620]   to solve. And yet you have been able to make progress. Uh, uh, uh, Paul Urdar said about the
[02:34:23.620 --> 02:34:30.340]   collage conjecture that mathematics may not be ready for such problems. Others have stated that it is an
[02:34:30.340 --> 02:34:35.060]   extraordinarily difficult problem completely out of reach. This is in 2010 out of reach of
[02:34:35.060 --> 02:34:39.940]   present day mathematics. And yet you have made some progress. Why is it so difficult to make?
[02:34:39.940 --> 02:34:41.540]   Can you actually even explain what it is?
[02:34:41.540 --> 02:34:48.100]   Oh yeah. So it's, it's a, it's a problem that you can explain. Um, yeah, it, um, it helps with some, um,
[02:34:48.100 --> 02:34:53.540]   visual aids, but yeah. So you take any natural number, like say 13 and you apply the following
[02:34:53.540 --> 02:34:59.220]   procedure to it. So if it's even, you divide it by two and if it's odd, you multiply it by three and add
[02:34:59.220 --> 02:35:04.660]   one. So even numbers get smaller, odd numbers get bigger. So 13 will become 40 because 13 times
[02:35:04.660 --> 02:35:09.780]   3 is 39. Add one, you get 40. So it's a simple process for odd numbers and even numbers. They're
[02:35:09.780 --> 02:35:14.260]   both very easy operations. And then you put together, it's still reasonably simple. Um,
[02:35:14.260 --> 02:35:18.660]   but then you ask what happens when you iterate it. You take the output that you just got and feed it
[02:35:18.660 --> 02:35:24.820]   back in. So 13 becomes 40. 40 is now even divided by two is 20. 20 is still even divided by two, 10,
[02:35:25.380 --> 02:35:31.460]   five. And then five times three plus one is 16. And then eight, four, two, one. So, uh, and then
[02:35:31.460 --> 02:35:35.860]   from one, it goes one, four, two, one, four, two, one, it cycles forever. So the sequence I just
[02:35:35.860 --> 02:35:40.420]   described, um, you know, 13, 40, 20, 10, so both, uh, these are also called hailstone sequences
[02:35:40.420 --> 02:35:45.620]   because there's an oversimplified model of, of hailstone formation, you know, which is not actually
[02:35:45.620 --> 02:35:50.580]   quite correct, but it's somehow taught to high school students as a first approximation is that, um,
[02:35:50.580 --> 02:35:56.340]   like a, a little nugget of ice gets, gets a nice crystal forms in a cloud and it goes up
[02:35:56.340 --> 02:36:01.940]   and down because of the wind. And sometimes when it's cold, it requires a bit more mass and maybe
[02:36:01.940 --> 02:36:06.660]   it melts a little bit. And this process of going up and down creates this sort of partially melted
[02:36:06.660 --> 02:36:11.540]   ice, which eventually causes hailstone and eventually it falls out of the earth. So the conjecture is that
[02:36:11.540 --> 02:36:15.380]   no matter how high you start up, like you take a number, which is in the millions or billions,
[02:36:16.420 --> 02:36:22.740]   this process that goes up, if you're odd and down, if you're even, it eventually goes up to earth all
[02:36:22.740 --> 02:36:27.860]   the time. No matter where you start with this very simple algorithm, you end up at one. Right. And you
[02:36:27.860 --> 02:36:33.300]   might climb for a while. Right. Yeah. So it's, yeah, if you plot it, um, these sequences, they look like
[02:36:33.300 --> 02:36:38.100]   Brownian motion. Um, they look like the stock market, you know, they just go up and down in a, in a seemingly
[02:36:38.100 --> 02:36:42.900]   random pattern. And in fact, usually that's what happens that, that if you plug in a random number,
[02:36:42.900 --> 02:36:47.380]   you can actually prove at least initially that it would look like, um, uh, random walk. Um,
[02:36:47.380 --> 02:36:52.660]   and that's actually a random walk with a downward drift. Um, it's like, if you're always gambling on
[02:36:52.660 --> 02:36:57.620]   a roulette at the casino with odds slightly weighted against you. So sometimes you, you win, sometimes
[02:36:57.620 --> 02:37:03.460]   you lose, but over in the long run, you lose a bit more than you win. Um, and so normally your wallet
[02:37:03.460 --> 02:37:08.740]   will hit, will go to zero. Um, if you just keep playing over and over again. So statistically it makes
[02:37:08.740 --> 02:37:14.100]   sense. Yes. So, so the result that I proved roughly speaking asserts that, that statistically
[02:37:14.100 --> 02:37:21.700]   like 90% of all inputs would, would drift down to maybe not all the way to one, but to be much,
[02:37:21.700 --> 02:37:26.500]   much smaller than what you started. So it's, it's like, if I told you that if you go to a casino,
[02:37:26.500 --> 02:37:30.980]   most of the time you end up, if you keep playing long enough, you end up with a smaller amount in
[02:37:30.980 --> 02:37:34.660]   your wallet than when you started. Um, that's kind of like the, what the result that I proved.
[02:37:34.660 --> 02:37:42.340]   So why is that result? Like, can you continue down that thread to prove the full conjecture?
[02:37:42.340 --> 02:37:46.900]   Well, the, the problem is that, um, my, I, I used arguments from probability theory. Um,
[02:37:46.900 --> 02:37:51.220]   and there's always this exceptional event. So, you know, so in probability, we have this,
[02:37:51.220 --> 02:37:56.500]   this low, large numbers, um, which tells you things like if you play a casino with a, um,
[02:37:56.500 --> 02:38:00.900]   a game at a casino with a losing, um, expectation over time, you are guaranteed,
[02:38:00.900 --> 02:38:05.940]   well, almost surely with probably, probably as close to 100% as you wish, you're guaranteed to
[02:38:05.940 --> 02:38:11.540]   lose money. But there's always this exceptional outlier. Like it is mathematically possible that
[02:38:11.540 --> 02:38:15.700]   even in the game is, is the odds are not in your favor. You could just keep winning slightly more
[02:38:15.700 --> 02:38:20.740]   often than you lose very much like how in Navier Stokes, it could be, you know, um, most of the time,
[02:38:20.740 --> 02:38:26.820]   um, your waves can disperse. There could be just one outlier choice of initial conditions that would
[02:38:26.820 --> 02:38:34.180]   lead you to blow up. And there could be one outlier choice of, um, um, a special number that you stick
[02:38:34.180 --> 02:38:40.580]   in that shoots off infinity while all other numbers crash to earth, uh, crash to one. Um, in fact, um,
[02:38:40.580 --> 02:38:45.860]   there's some mathematicians, um, who've, uh, Alex Kontorovich, for instance, who've proposed that, um,
[02:38:45.860 --> 02:38:51.940]   that actually, um, these Kaldats, uh, iterations are like these cellular automata. Um,
[02:38:51.940 --> 02:38:56.100]   actually, if you look at what that happened on, on, in binary, they do actually look a little bit
[02:38:56.100 --> 02:39:02.180]   like, like these game of life type patterns. Um, and in an analogy to how the game of life can create
[02:39:02.180 --> 02:39:06.420]   these, these massive, like self-applicating objects and so forth, possibly you could create
[02:39:06.420 --> 02:39:11.140]   some sort of heavier than air flying machine, a number, which is actually encoding this machine,
[02:39:11.140 --> 02:39:16.420]   which is just whose job it is to encode is to create a version of itself, which is, which is larger.
[02:39:16.420 --> 02:39:22.820]   Yeah. Heavier than air machine encoded in a number. Yeah. That flies forever. Yeah.
[02:39:22.820 --> 02:39:28.020]   So Conway, in fact, worked on, worked on this problem as well. Oh, wow. So Conway, um, so similar,
[02:39:28.020 --> 02:39:33.220]   in fact, uh, that was one of my inspirations for the Navi, Navi Stokes project, uh, Conway studied
[02:39:33.220 --> 02:39:38.260]   generalizations of the Kaldats problem, where instead of multiplying by three and adding one or dividing by two,
[02:39:38.260 --> 02:39:42.980]   you have more complicated branching wheels, but, but instead of having two cases, maybe you have 17 cases
[02:39:42.980 --> 02:39:48.020]   and then you go up and down and he showed that once your iteration gets complicated enough,
[02:39:48.020 --> 02:39:52.260]   you can actually encode Turing machines and you can actually make these problems undecidable and do
[02:39:52.260 --> 02:39:58.100]   things like this. In fact, he invented a programming language for, uh, these kind of fractional linear
[02:39:58.100 --> 02:40:03.940]   transformations. He called a fact-trat as a play on Fortran, uh, and he showed that, that you can, um,
[02:40:03.940 --> 02:40:09.540]   you can program, if it was Turing complete, you could, you could, you could, uh, um, you could make a
[02:40:09.540 --> 02:40:13.540]   program that if, if your number you inserted in was encoded as a prime, it would sink to zero,
[02:40:13.540 --> 02:40:18.980]   it would go down. Otherwise it would go up, uh, and things like that. Um, so the general class of
[02:40:18.980 --> 02:40:22.980]   problems is, is really, uh, as complicated as all the mathematics.
[02:40:22.980 --> 02:40:28.260]   Some of the mystery of the cellular automata that we talked about, uh, having a mathematical
[02:40:28.260 --> 02:40:33.700]   framework to say anything about cellular automata, maybe the same kind of framework is required.
[02:40:33.700 --> 02:40:37.700]   Yeah. Yeah. Yeah. Glocks injector. Yeah. If you want to do it, not statistically,
[02:40:37.700 --> 02:40:43.540]   but you really want 100% of all inputs to, to, to for the earth. Yeah. So what might be feasible is,
[02:40:43.540 --> 02:40:50.340]   is, is assisting 99%, you know, go to, go to one, but like everything, you know, uh, that looks hard.
[02:40:50.340 --> 02:40:57.220]   What would you say is out of these within reach famous problems is the hardest problem we have
[02:40:57.220 --> 02:41:03.700]   today is the Riemann hypothesis. We want to, is up there. Um, P equals NP is, is a good one because
[02:41:03.700 --> 02:41:09.140]   like, uh, that's, that's, that's a meta problem. Like if you solve that in the, um, in the positive
[02:41:09.140 --> 02:41:13.300]   sense that you can find a P equals NP algorithm, then potentially this solves a lot of other problems
[02:41:13.300 --> 02:41:17.620]   as well. And we should mention some of the conjectures we've been talking about, you know,
[02:41:17.620 --> 02:41:22.260]   a lot of stuff is built on top of them now. There's ripple effects. P equals NP has more ripple
[02:41:22.260 --> 02:41:27.300]   effects than basically any other. Right. If the Riemann hypothesis is disproven, um,
[02:41:27.300 --> 02:41:33.860]   that'd be a big mental shock to the number of theories. Uh, but it would have follow on effects
[02:41:33.860 --> 02:41:40.980]   for, um, cryptography. Um, because a lot of cryptography uses number theory, um, uses number
[02:41:40.980 --> 02:41:45.780]   theory constructions involving primes and so forth. And, um, it relies very much on the intuition
[02:41:45.780 --> 02:41:50.820]   that number of theories are built over many, many years of what operations involving primes behave
[02:41:50.820 --> 02:41:56.580]   randomly and what ones don't. Um, and in particular, uh, encryption, um, methods are designed to turn
[02:41:56.580 --> 02:42:03.300]   text with information on it into text which is indistinguishable from, um, from random noise. So,
[02:42:03.300 --> 02:42:11.940]   um, and hence we believe to be almost impossible to crack, um, at least mathematically. Um, but, uh,
[02:42:11.940 --> 02:42:17.780]   if something as core to our beliefs as the Riemann hypothesis is wrong, it means that there are, there
[02:42:17.780 --> 02:42:22.420]   are actual patterns of the primes that we're not aware of. And if there's one, there's probably going
[02:42:22.420 --> 02:42:30.420]   to be more. Um, and suddenly a lot of our crypto systems are in doubt. Yeah. But then how do you
[02:42:30.420 --> 02:42:37.060]   then say stuff about the primes? Yeah. Like you're going towards the, uh, collection conjecture
[02:42:37.060 --> 02:42:42.420]   again? Um, because if I, I, I, you, do you want it to be random, right? Yes. You want it to be
[02:42:42.420 --> 02:42:46.500]   random. Yeah. So more broadly, I'm just looking for more tools, more ways to show that, that,
[02:42:46.500 --> 02:42:50.020]   yeah, that things are random. How do you prove a conspiracy doesn't happen? Right.
[02:42:50.020 --> 02:42:57.220]   Is there any chance to you that P equals NP? Is there some, can you imagine a possible universe?
[02:42:57.220 --> 02:43:02.100]   It is possible. I mean, there's, there's various, uh, scenarios. I mean, there's, there's one where
[02:43:02.100 --> 02:43:07.300]   it is technically possible, but in fact, it's never actually implementable. The evidence is sort of
[02:43:07.300 --> 02:43:12.180]   slightly pushing in favor of no, that we probably P is not equal to NP. I mean, it seems like it's one
[02:43:12.180 --> 02:43:18.740]   one of those cases similar to Riemann hypothesis that I think the evidence is leaning pretty heavily
[02:43:18.740 --> 02:43:23.300]   on the no. Certainly more on the no than on the yes. The funny thing about P equals NP is that we
[02:43:23.300 --> 02:43:28.100]   have also a lot more obstructions than we do for almost any other problem. Um, so while there's
[02:43:28.100 --> 02:43:33.620]   evidence, uh, we also have a lot of results ruling out many, many types of approaches to the problem.
[02:43:33.620 --> 02:43:37.220]   Uh, this is the one thing that the computer scientists have actually been very good at. It's
[02:43:37.220 --> 02:43:41.460]   actually saying that, that certain approaches cannot work. No go theorems. It could be
[02:43:41.460 --> 02:43:46.180]   undecidable. We don't, yeah, we don't know. There's a funny story. I read that when you
[02:43:46.180 --> 02:43:52.580]   won the fields metal, somebody from the internet wrote you and asked, uh, you know, what are you
[02:43:52.580 --> 02:43:58.100]   going to do now that you won this prestigious award? And then you just quickly, very humbly said that,
[02:43:58.100 --> 02:44:02.100]   you know, this, a shiny metal is not going to solve any of the problems I'm currently working on.
[02:44:02.100 --> 02:44:07.300]   I'm going to keep working on them. It's just, first of all, it's funny to me that you would answer
[02:44:07.300 --> 02:44:13.780]   an email in that context. And second of all, it, um, it just shows your humility. But anyway, uh,
[02:44:13.780 --> 02:44:18.180]   maybe you could speak to the fields metal, but it's another way for me to ask, uh,
[02:44:18.180 --> 02:44:24.900]   about, uh, Gregorio Perlman. What do you think about him famously declining the fields
[02:44:24.900 --> 02:44:31.700]   medal and the millennial prize, which came with a $1 million of prize money? He stated that I'm not
[02:44:31.700 --> 02:44:38.020]   interested in money or fame. The prize is completely irrelevant for me. If the proof is correct, then
[02:44:38.020 --> 02:44:42.580]   no other recognition is needed. Yeah. No, he's, he's somewhat of an outlier. Um,
[02:44:42.580 --> 02:44:48.660]   even among mathematicians who tend to, uh, to have, uh, somewhat idealistic views. Um, I've never met
[02:44:48.660 --> 02:44:52.900]   him. I think I'd be interested to meet him one day, but I never had the chance. I know people who met him,
[02:44:52.900 --> 02:44:57.460]   but he's always had strong views about certain things. Um, you know, I mean, it's not like he was
[02:44:57.460 --> 02:45:01.540]   completely isolated from the math community. I mean, he would, he would give talks and write papers and so
[02:45:01.540 --> 02:45:05.860]   forth. Um, but at some point he just decided not to engage with the rest of the community. He was, he was
[02:45:05.860 --> 02:45:14.180]   disillusioned or something. Um, I don't know. Um, and he decided to, to, uh, uh, to peace out, uh,
[02:45:14.180 --> 02:45:18.100]   and, you know, collect mushrooms in St. Petersburg or something. And that's, that's fine. You know,
[02:45:18.100 --> 02:45:23.060]   you can, you can do that. Um, I mean, that's another sort of flip side. I mean, we are not,
[02:45:23.060 --> 02:45:27.300]   a lot of problems that we solve, you know, they, some of them do have practical application and that's,
[02:45:27.300 --> 02:45:32.580]   that's great. But, uh, like if you stop thinking about a problem that you, you know, so he's,
[02:45:32.580 --> 02:45:36.020]   he hasn't published since in this field, but that's fine. There's many,
[02:45:36.020 --> 02:45:41.620]   many other people who've done so as well. Um, yeah. So I guess one thing I didn't realize
[02:45:41.620 --> 02:45:46.660]   initially with the Fields Medal is that it sort of makes you part of the establishment. Um, you know,
[02:45:46.660 --> 02:45:51.460]   so, you know, most mathematicians, you know, there's, uh, just career mathematicians, you know,
[02:45:51.460 --> 02:45:55.700]   you just focus on publishing your next paper, maybe getting one test to promote one, one rank,
[02:45:55.700 --> 02:46:00.020]   you know, and, and starting a few projects, maybe taking some students or something.
[02:46:00.020 --> 02:46:05.460]   Yeah. But then suddenly people want your opinion on things. And, uh, you have to think a little bit
[02:46:05.460 --> 02:46:08.500]   about, uh, you know, things that you might just so foolishly say, because you know, no one's going
[02:46:08.500 --> 02:46:11.300]   to listen to you. Uh, it's more important now.
[02:46:11.300 --> 02:46:17.220]   Is it constraining to you? Are you able to still have fun and be a rebel and try crazy stuff and
[02:46:17.220 --> 02:46:23.860]   play with ideas? Well, uh, I have a lot less free time than I had previously. Um, I mean,
[02:46:23.860 --> 02:46:28.900]   mostly by choice. I mean, I, I, I can always see I have the option to sort of, uh, decline.
[02:46:28.900 --> 02:46:33.620]   So I decline a lot of things. I, I did, I could decline even more. Um, or I could acquire a reputation
[02:46:33.620 --> 02:46:38.660]   of being so unreliable that people don't even ask anymore. Uh, but this is, I love the different
[02:46:38.660 --> 02:46:45.300]   algorithms here. This is great. This is, it's always an option. Um, but you know, um, there are things
[02:46:45.300 --> 02:46:50.980]   that are like, I mean, so, I mean, I, I, I don't spend as much time as I do as a postdoc, you know,
[02:46:50.980 --> 02:46:55.620]   just, just working on one problem at a time or, um, fooling around. I still do that a little bit,
[02:46:55.620 --> 02:47:01.780]   but yeah, as you're advancing your career, some of the more soft skills, so math somehow front loads
[02:47:01.780 --> 02:47:07.140]   all the technical skills to the early stages of your career. So, um, yeah, so it's, uh, as a postdoc,
[02:47:07.140 --> 02:47:12.260]   if you publish or perish, you're, you're, you're incentivized to basically focus on, on proving very
[02:47:12.260 --> 02:47:17.940]   technical theorems to sort of prove yourself, um, as well as proof the theorems. Um, but then as,
[02:47:17.940 --> 02:47:23.300]   as you get more senior, you have to start, you know, mentoring and, and, and, and giving interviews,
[02:47:23.300 --> 02:47:28.820]   uh, and, uh, and trying to shape, um, direction of the field, both research-wise and, and, you know,
[02:47:28.820 --> 02:47:35.060]   uh, sometimes you have to, uh, uh, you know, do various administrative things and it's kind of the
[02:47:35.060 --> 02:47:39.780]   right social contract because you, you need to work in the trenches to see what can help mathematicians.
[02:47:39.780 --> 02:47:44.180]   The other side of the establishment sort of the, the, the really positive thing is that,
[02:47:44.180 --> 02:47:49.140]   um, you get to be a light that's an inspiration to a lot of young mathematicians or young people
[02:47:49.140 --> 02:47:54.340]   that are just interested in mathematics. It's like, it's just how the human mind works. This
[02:47:54.340 --> 02:48:01.940]   is where I would probably, uh, say that I like the Fields Medal, that it does inspire a lot of
[02:48:01.940 --> 02:48:05.460]   young people somehow. I don't, this is just how human brains work.
[02:48:05.460 --> 02:48:06.180]   Yeah.
[02:48:06.180 --> 02:48:10.820]   At the same time, I also want to give sort of respect to somebody like Gregorio Perlman, who
[02:48:10.820 --> 02:48:18.180]   is critical of awards in his mind. Those are his principles and any human that's able for their
[02:48:18.180 --> 02:48:24.420]   principles to like, do the thing that most humans would not be able to do. It's beautiful to see.
[02:48:24.420 --> 02:48:31.140]   Some recognition is, is necessarily important. Uh, but yeah, it's, it's also important to not let these
[02:48:31.140 --> 02:48:36.580]   things take over your life. Um, and like only be concerned about, uh, getting the next big award or
[02:48:36.580 --> 02:48:42.340]   whatever. Um, I mean, yeah. Yeah. So again, you see these people try to only solve like a really big
[02:48:42.340 --> 02:48:48.420]   math problems and not work on, on, on things that are less, uh, sexy, if you wish, but, but, but
[02:48:48.420 --> 02:48:53.780]   actually, uh, still interesting and instructive. As you say, like the way the human mind works,
[02:48:53.780 --> 02:48:59.460]   it's, um, we understand things better when they're attached to humans. Um, and also, uh, if they're
[02:48:59.460 --> 02:49:06.020]   attached to a small number of humans, like the way our human mind is wired, we can comprehend
[02:49:06.020 --> 02:49:11.460]   the relationships between 10 or 20 people. Yeah. But once you get beyond like a hundred people,
[02:49:11.460 --> 02:49:15.940]   like this, there's a, there's a limit, I think there's a name for it. Um, beyond which, uh, it
[02:49:15.940 --> 02:49:21.140]   just becomes the other. Um, and, uh, so we have, you have to simplify the pole mass of, you know,
[02:49:21.140 --> 02:49:27.220]   99.9% of humanity becomes the other. Um, and, uh, and often these models are, are, are incorrect
[02:49:27.220 --> 02:49:32.660]   and this causes all kinds of problems. But, um, so yeah, so to humanize a subject, you know,
[02:49:32.660 --> 02:49:36.660]   if you identify a small number of people and say, you know, these are representative people of the
[02:49:36.660 --> 02:49:42.580]   the subject, you know, role models, uh, for example, um, that has some role, um, but it can
[02:49:42.580 --> 02:49:49.620]   also be, um, uh, yeah, too much of it can be harmful because it's, I'll be the first to say
[02:49:49.620 --> 02:49:55.460]   that my own career path is not that of a typical mathematician. Um, I, the very accelerated education,
[02:49:55.460 --> 02:50:01.540]   I skipped a lot of classes. Um, I think I was very fortunate mentoring opportunities. Um, and I think
[02:50:01.540 --> 02:50:06.500]   I was at the right place at the right time just because someone does, doesn't have my, um,
[02:50:06.740 --> 02:50:09.620]   trajectory, you know, it doesn't mean that they can't be good mathematicians. I mean,
[02:50:09.620 --> 02:50:14.260]   they'll be the mathematicians in a very different style, uh, and we need people with a different
[02:50:14.260 --> 02:50:21.300]   style. Um, and, you know, even if, and sometimes too much focus is given on the, on the person who
[02:50:21.300 --> 02:50:26.500]   does the last step to complete, um, a project in mathematics or elsewhere that's, that's really
[02:50:26.500 --> 02:50:31.540]   taken, you know, centuries or decades with lots and lots of building a lot of previous work. Um, but
[02:50:31.540 --> 02:50:36.260]   that's a story that's difficult to tell, um, if you're not an expert, because, you know, it's easier to just say,
[02:50:36.260 --> 02:50:39.780]   say one person did this one thing, you know, it makes for a much simpler history.
[02:50:39.780 --> 02:50:46.100]   I think on the whole, it, um, is a hugely positive thing to, to talk about Steve Jobs
[02:50:46.100 --> 02:50:53.140]   as a representative of Apple. When I personally know, and of course, everybody knows the incredible
[02:50:53.140 --> 02:50:58.820]   design, the incredible engineering teams, just the individual humans on those teams. They're not
[02:50:58.820 --> 02:51:04.740]   a team, they're individual humans on a team. And there's a lot of brilliance there, but it's just a
[02:51:04.740 --> 02:51:10.740]   nice shorthand, like a very, like Pi. Yeah. Steve Jobs. Yeah. Yeah. As a starting point,
[02:51:10.740 --> 02:51:15.540]   you see, you know, as a first approximation. And then read some biographies and then look into much
[02:51:15.540 --> 02:51:21.060]   deeper, first approximation. Yeah. That's right. Uh, so you mentioned you were a Princeton to, um,
[02:51:21.060 --> 02:51:22.260]   Andrew Wiles at that time. Oh yeah.
[02:51:22.260 --> 02:51:27.780]   He's a professor there. It's a funny moment how history is just all interconnected. And at that time,
[02:51:27.780 --> 02:51:31.700]   he announced that he proved the Fermat's last theorem. Oh yeah. What did you think, maybe
[02:51:31.700 --> 02:51:38.340]   looking back now with more context about that moment in math history? Yeah. So I was a graduate
[02:51:38.340 --> 02:51:43.140]   student at the time. I mean, I, I vaguely remember, you know, there was press attention and, uh, um,
[02:51:43.140 --> 02:51:47.380]   we all had the same, um, uh, we had pigeonholes in the same mailroom, you know? So we were
[02:51:47.380 --> 02:51:52.980]   picked up mail and like suddenly Andrew Wiles' mailbox exploded to be overflowing. That's a good,
[02:51:52.980 --> 02:51:58.260]   that's a good metric. Yeah. Um, you know, so yeah, we, we all talked about it at, at tea and
[02:51:58.260 --> 02:52:03.300]   so forth. I mean, we, we didn't understand most of us sort of understand the proof. Um, we understand
[02:52:03.300 --> 02:52:07.460]   sort of high level details. Um, like there's an ongoing project to formalize it in lean,
[02:52:07.460 --> 02:52:12.100]   right? Kevin buzzed it exactly. Yeah. Can, can we take that small tangent? Is it, is it,
[02:52:12.100 --> 02:52:17.460]   how difficult is that? Cause as, as I understand the Fermat's last, the, the proof for, uh, Fermat's
[02:52:17.460 --> 02:52:22.260]   last theorem has like super complicated objects. Yeah. Yeah. It's really difficult to formalize,
[02:52:22.260 --> 02:52:27.540]   no? Yeah. I guess, yeah, you're right. The objects that they use, um, you can define them. Uh,
[02:52:27.540 --> 02:52:32.260]   so they've been defined in lean. Okay. So, so just defining what they are can be done. Uh,
[02:52:32.260 --> 02:52:36.740]   that's really not trivial, but it's been done. Uh, but there's a lot of really basic facts about,
[02:52:36.740 --> 02:52:41.940]   um, these objects that have taken decades to prove that they're in all these different math papers.
[02:52:41.940 --> 02:52:48.340]   And so lots of these have to be formalized as well. Um, Kevin's, uh, Kevin Buzzard's goal,
[02:52:48.340 --> 02:52:53.700]   actually, he has a five-year grant to formalize Fermat's last theorem. And his aim is that he
[02:52:53.700 --> 02:52:58.820]   doesn't think he will be able to get all the way down to the basic axioms, but he wants to formalize
[02:52:58.820 --> 02:53:03.300]   it to the point where the only things that he needs to rely on as black boxes are things that were known
[02:53:03.300 --> 02:53:10.340]   by 1980 to, um, to number theories at the time. Um, and then some other person or some other work would have
[02:53:10.340 --> 02:53:16.020]   be done to get from there. Um, so it's, it's a different area of mathematics than, um,
[02:53:16.020 --> 02:53:21.060]   the type of mathematics I'm used to. Um, um, in analysis, which is kind of my area, um,
[02:53:21.060 --> 02:53:25.860]   the objects we study are kind of much closer to the ground. We study, I study things like prime numbers
[02:53:25.860 --> 02:53:32.260]   and, and, and functions and, and things that are within scope of a high school, um, uh,
