
[00:00:00.000 --> 00:00:07.000]   From a net worth of less than zero at the age of 27 to financially independent at the age of 40
[01:09:08.000 --> 01:09:19.000]   Almost the entire portfolio that he -- that's public, that's Berkshire's, you know, $100 billion plus investment portfolio, almost every single company on there pays and grows dividends.
[01:09:19.000 --> 01:09:24.000]   So he's collecting that cash flow, that capital, and he's just an excellent capital allocator.
[01:09:24.000 --> 01:09:26.000]   He's just, you know, kind of a god among us, right?
[01:09:26.000 --> 01:09:30.000]   But he's taking that capital and allocating it in the best way he sees fit.
[01:09:30.000 --> 01:09:37.000]   You know, so he's saying, hey, guys, I don't want to pay a dividend because I can allocate this capital, but I want to collect a dividend so that I can allocate that capital.
[01:09:37.000 --> 01:09:40.000]   So it's kind of an interesting scenario there.
[01:09:40.000 --> 01:09:51.000]   Again, I wouldn't prefer to compare myself to Warren Buffett because I'm not running a $300 billion company with massive insurance operations and a fully-owned locomotive company and everything else.
[01:09:51.000 --> 01:09:59.000]   But if you're looking at it from the individual standpoint on a micro level, you know, you have to ask yourself, you know, do you want cash flow or do you not want cash flow?
[01:09:59.000 --> 01:10:01.000]   And what's the best way to get that cash flow?
[01:10:01.000 --> 01:10:08.000]   Again, I view dividends as the best way to get that cash flow because what I was talking about earlier, it bypasses the market.
[01:10:08.000 --> 01:10:10.000]   It's a very tax-efficient way to collect income.
[01:10:10.000 --> 01:10:12.000]   And again, you don't need to sell any equity.
[01:10:12.000 --> 01:10:20.000]   But, you know, with Steve Jobs and Warren Buffett and all these other companies that don't pay dividends, you know, those are a couple of great examples.
[01:10:20.000 --> 01:10:24.000]   But there's also a lot of companies out there that don't pay dividends and aren't able to grow earnings and everything else.
[01:10:24.000 --> 01:10:26.000]   You know, like Amazon is a great example.
[01:10:26.000 --> 01:10:28.000]   I think they just had a horrible quarter.
[01:10:28.000 --> 01:10:30.000]   They're, you know, they're very – they're not profitable.
[01:10:30.000 --> 01:10:37.000]   So, you know, as a business owner, you've got to say, OK, well, Amazon is not paying a dividend and, you know, they're not increasing profits.
[01:10:37.000 --> 01:10:38.000]   So where are we going here?
[01:10:38.000 --> 01:10:40.000]   What exactly is happening here?
[01:10:40.000 --> 01:10:41.000]   They came out with a phone.
[01:10:41.000 --> 01:10:42.000]   They tried to innovate.
[01:10:42.000 --> 01:10:43.000]   It was a dud.
[01:10:43.000 --> 01:10:45.000]   So, you know, there's examples on either side of the coin.
[01:10:45.000 --> 01:10:50.000]   But, you know, I look at it as you've got to look at the type of company you're talking about, too.
[01:10:50.000 --> 01:10:54.000]   You've got to look at mature companies versus companies that are just starting out.
[01:10:54.000 --> 01:11:02.000]   A company that's very new, you know, probably needs a lot more capital versus a company that's worth $200 or $300 billion and doesn't have the type of growth opportunities a young company had.
[01:11:02.000 --> 01:11:04.000]   And you've also got to look at who's helming the ship.
[01:11:04.000 --> 01:11:06.000]   You've got to look at what kind of industry they're in.
[01:11:06.000 --> 01:11:16.000]   Again, technology is an industry where, you know, it's hard to pay out rising dividends every single year because of the competition, because of innovation, because you need research and development.
[01:11:16.000 --> 01:11:19.000]   And, again, that's why I don't have a lot of investments in the technology field.
[01:11:19.000 --> 01:11:25.000]   But when we're talking about companies like Colgate and Procter & Gamble, there's just only so many growth opportunities they have.
[01:11:25.000 --> 01:11:27.000]   They need to go somewhere with that cash.
[01:11:27.000 --> 01:11:39.000]   And so if you were to allow management to not pay dividends, say, hey, management of Procter & Gamble, you know, hey, you know, hey, Indra Nooyi of Pepsi, you know, I don't want you to pay me a dividend anymore.
[01:11:39.000 --> 01:11:40.000]   I just want you to grow all that cash.
[01:11:40.000 --> 01:11:44.000]   And so you've got to rely on Indra and the board of directors to go somewhere with that cash.
[01:11:44.000 --> 01:11:45.000]   But where do they go?
[01:11:45.000 --> 01:11:48.000]   You know, how many more lines of chips can they possibly come out with?
[01:11:48.000 --> 01:11:55.000]   How many more lines of beverages can they come out with before they start just acquiring companies that are completely unrelated to their business or they just start making poor decisions?
[01:11:55.000 --> 01:11:58.000]   So it's just the same as you or I.
[01:11:58.000 --> 01:12:06.000]   Like if you have $5,000 to your name, if you earn $5,000 a month, right, you have to be pretty careful with that money.
[01:12:06.000 --> 01:12:09.000]   You have to be pretty careful with your capital allocation decisions.
[01:12:09.000 --> 01:12:20.000]   You have to be very prudent with the type of home you live in, with the type of car you drive, and you have to create a gap between income and expenses in order to become financially independent.
[01:12:20.000 --> 01:12:25.000]   Now, if you raise your income level to $20,000 a month, all of a sudden you don't have to be very careful anymore.
[01:12:25.000 --> 01:12:28.000]   You can go out to restaurants every single day.
[01:12:28.000 --> 01:12:30.000]   You can live in a much nicer house.
[01:12:30.000 --> 01:12:34.000]   And so all of a sudden the decision-making process there becomes quite a bit looser.
[01:12:34.000 --> 01:12:36.000]   So that's kind of where I look at it.
[01:12:36.000 --> 01:12:49.000]   Yeah, we've lost very much, even in people who pay attention to investments and to financial topics, we've really lost a lot of the traditional conversations around companies and types of companies.
[01:12:49.000 --> 01:12:57.000]   So there's been a massive transition from the ownership of individual companies to the ownership of mutual funds and investing through mutual funds.
[01:12:57.000 --> 01:13:02.000]   And so traditionally this is why you would get into why we have the term blue chip.
[01:13:02.000 --> 01:13:09.000]   A blue chip company was a large, established, stable company, likely a dividend payer that you could count on for income.
[01:13:09.000 --> 01:13:18.000]   You didn't go to a blue chip to say, "Where's going to be my 600% possible rate of return with this massive new technology that's coming out?"
[01:13:18.000 --> 01:13:22.000]   Blue chip was where you went when you wanted safety, security, and income.
[01:13:22.000 --> 01:13:32.000]   And it makes all the sense in the world that a Coca-Cola, is there some innovative thing that they can do?
[01:13:32.000 --> 01:13:41.000]   Probably, but it's probably more incremental and it's probably more just simply buying something, buying a business that has been proven.
[01:13:41.000 --> 01:13:44.000]   Like, for example, didn't McDonald's buy Chipotle?
[01:13:44.000 --> 01:13:47.000]   I can't remember that.
[01:13:47.000 --> 01:13:52.000]   I was just thinking of that as an example and I'm not familiar with the facts on it.
[01:13:52.000 --> 01:14:01.000]   But it's more likely that a larger company will use its cash to buy some innovative company that they see has a lot of potential, like in the two Coca-Cola examples you mentioned.
[01:14:01.000 --> 01:14:03.000]   Yeah, exactly. They're bolt-on acquisitions.
[01:14:03.000 --> 01:14:10.000]   Right. And that can be major growth, but it's more suited for a company that's stable.
[01:14:10.000 --> 01:14:22.000]   However, if you were growing Papa Jason's Pizza, or if you were growing, like you mentioned, a restaurant franchise that was new, you would need to capitalize on the market.
[01:14:22.000 --> 01:14:28.000]   So it doesn't make sense for you to be paying dividends out when you've got a massive growth opportunity if you reinvest in the business.
[01:14:28.000 --> 01:14:34.000]   So we've just lost in our common culture because there's been this transition away from investing in individual stocks.
[01:14:34.000 --> 01:14:38.000]   And now we primarily invest through mutual funds.
[01:14:38.000 --> 01:14:44.000]   A lot of us have lost this ability to speak intelligently the language of investing and the language of these companies.
[01:14:44.000 --> 01:14:47.000]   Right, right. Yeah, exactly.
[01:14:47.000 --> 01:14:56.000]   Companies like that, you know, McDonald's had Chipotle at one point and they eventually allowed them to become an independent company, much to their chagrin, I'm sure.
[01:14:56.000 --> 01:15:01.000]   But yeah, Coca-Cola, exactly. Those were two bolt-on, not really full acquisitions.
[01:15:01.000 --> 01:15:06.000]   They just bought equity in these two businesses and they have a right to increase them at a later date.
[01:15:06.000 --> 01:15:09.000]   But yeah, I mean, there's limited growth.
[01:15:09.000 --> 01:15:24.000]   To paint everything with a real broad brush like that, no dividend, all dividend, you know, all retained earnings, no retained earnings and this and that, it's really just, in my opinion, just not the right way to look at it.
[01:15:24.000 --> 01:15:27.000]   You know, some companies are probably better off not paying a dividend.
[01:15:27.000 --> 01:15:35.000]   As you state, a very small company is growing at a very attractive rate and needs all the capital they can possibly get their hands on to take advantage of the market they're in.
[01:15:35.000 --> 01:15:38.000]   Yeah, I mean, obviously, but again, you're not talking about a blue chip at that point.
[01:15:38.000 --> 01:15:43.000]   You're not talking about a company that's stable and established and has built up 20 or 30 years of dividend increases.
[01:15:43.000 --> 01:15:49.000]   And it's not that kind of company that you might be able to sleep well at night and wake up in the morning and know that they're still going to be completely intact.
[01:15:49.000 --> 01:15:59.000]   You know, this might be a company that, you know, might make a wrong move or might make a decision that, you know, I don't know or might crash and burn because they're trying to grow too quickly and they take on too much leverage and everything else.
[01:15:59.000 --> 01:16:07.000]   So the companies that I prescribe and the companies that I put my money where my mouth is and personally invest in are companies that I can sleep well at night owning.
[01:16:07.000 --> 01:16:10.000]   I can sleep well at night knowing that Procter & Gamble is still going to be doing their thing.
[01:16:10.000 --> 01:16:13.000]   And obviously I have some investments in there that kind of spice things up as well.
[01:16:13.000 --> 01:16:18.000]   I have an investment in a very tiny food company based out of California named Armanino Foods.
[01:16:18.000 --> 01:16:22.000]   They do some, like, organic meatballs and sauces, pasta sauces and things like that.
[01:16:22.000 --> 01:16:24.000]   And they're a tiny company. I think they're like $60 million.
[01:16:24.000 --> 01:16:29.000]   But even this tiny little company pays a dividend and grows it every single year while still growing at double-digit rates.
[01:16:29.000 --> 01:16:38.000]   So, you know, the investment that – or excuse me, the point that, you know, even all tiny companies can't pay a dividend and can't grow a dividend really is incorrect in my view.
[01:16:38.000 --> 01:16:41.000]   It just depends on the management. It depends on the company. It depends on the market.
[01:16:41.000 --> 01:16:47.000]   In many ways, you could simplistically just simply view a dividend as keeping management accountable for actually making money.
[01:16:47.000 --> 01:16:56.000]   And this – you have – again, Amazon is a fascinating example of an investment case study is they don't actually make money.
[01:16:56.000 --> 01:16:58.000]   Like they're not actually profitable.
[01:16:58.000 --> 01:17:03.000]   And so just because they do a lot of business doesn't mean that the owners are actually making money.
[01:17:03.000 --> 01:17:13.000]   And this is a very interesting – I'm enjoying watching it because it's a fun case study to watch develop as time goes forward.
[01:17:13.000 --> 01:17:14.000]   It fascinates me.
[01:17:14.000 --> 01:17:21.000]   I'd like to close with one question and I'll give you two ways that you could answer it.
[01:17:21.000 --> 01:17:24.000]   I think about this a lot with respect to my son.
[01:17:24.000 --> 01:17:26.000]   With respect to my son.
[01:17:26.000 --> 01:17:29.000]   I have a one-year-old son and I think about how to teach him about investing.
[01:17:29.000 --> 01:17:40.000]   And I probably will use – I'm keeping my eye out for some brands that will – I don't like to allow a lot of the brands that many people would have in their house into my house.
[01:17:40.000 --> 01:17:43.000]   I don't – we don't – I don't like the marketing influence.
[01:17:43.000 --> 01:17:46.000]   We don't eat a lot of processed foods and things like that.
[01:17:46.000 --> 01:17:48.000]   And I don't like many of the media brands.
[01:17:48.000 --> 01:17:51.000]   So I keep a lot of those things out of my house.
[01:17:51.000 --> 01:17:58.000]   But I keep an eye out for – I'm trying to keep an eye out for some companies that he will probably become brand aware of.
[01:17:58.000 --> 01:18:10.000]   And then I will probably – I'm trying to – I want to use dividends as a – because of the tangible nature of the cash flow to teach him the topic of investing.
[01:18:10.000 --> 01:18:12.000]   And so I'm kind of keeping my eye out for that.
[01:18:12.000 --> 01:18:25.000]   So how would you – if you were going back, knowing what you now know, what path would you take to learn more about financial independence and dividend investing?
[01:18:25.000 --> 01:18:32.000]   And, again, you can answer it either or both towards teaching a young person, middle school or something like that.
[01:18:32.000 --> 01:18:37.000]   And then also towards an adult who's trying to follow a similar path to yours.
[01:18:37.000 --> 01:18:40.000]   Well, that's difficult.
[01:18:40.000 --> 01:18:46.000]   I mean I guess I'm kind of in the position where I am teaching others through my writing and through blogging and everything else.
[01:18:46.000 --> 01:18:54.000]   And it's the audience that I've been able to kind of recruit or generate or what have you has been wonderful.
[01:18:54.000 --> 01:18:59.000]   I mean a lot of people that stop by the site are incredible people, very, very kind, very generous.
[01:18:59.000 --> 01:19:05.000]   And they're also thankful for kind of me showing what this path looks like in real time.
[01:19:05.000 --> 01:19:10.000]   Because a lot of personal finance experts in the world, they kind of say, "Oh, this is what I did 20 years ago," or "This is what I did 30 years ago."
[01:19:10.000 --> 01:19:14.000]   And they're talking about things that already happened whereas I'm showing everything in real time.
[01:19:14.000 --> 01:19:24.000]   And I think that's where the value of my writing and the blog and my journey and everything else really is at, is showing everything in real time.
[01:19:24.000 --> 01:19:34.000]   If I were to go back and teach somebody how to do everything from the beginning, it would be hard, I guess, to kind of paint a broad brush and teach a large swath of people all at one time.
[01:19:34.000 --> 01:19:39.000]   But it's really just getting down to the fundamental basis of what you want out of life.
[01:19:39.000 --> 01:19:49.000]   And regardless of how you invest your free capital, again, whether that be in an index investing or mutual funds or your dividend growth stocks or what have you,
[01:19:49.000 --> 01:20:01.000]   the real main point is wanting more out of life than just working the 9 to 5 till 65 kind of routine and kind of running endlessly on this rat wheel.
[01:20:01.000 --> 01:20:04.000]   And not seeing that there's more to life out there.
[01:20:04.000 --> 01:20:09.000]   One of the things that I really love is the famous allegory of the cave by Plato.
[01:20:09.000 --> 01:20:17.000]   Right where you have these people sitting in a cave and they're chained up and they're looking at shadow puppets or shadow figures on the wall.
[01:20:17.000 --> 01:20:19.000]   And to them, that's life.
[01:20:19.000 --> 01:20:26.000]   They see this as life and they're really technically being controlled by chains, which you could make that jump in a number of different ways.
[01:20:26.000 --> 01:20:28.000]   Chains of death and things like that.
[01:20:28.000 --> 01:20:38.000]   But they're sitting on this cave floor and they're looking at these puppet figures on the wall because there's a fire behind them and these people behind them are making these hand puppets and everything else.
[01:20:38.000 --> 01:20:40.000]   And to them, that's life.
[01:20:40.000 --> 01:20:42.000]   To them, that's everything.
[01:20:42.000 --> 01:20:47.000]   And then you've got somebody who escapes from the cave and they walk out into the real world and they're blinded by the light and everything else at first.
[01:20:47.000 --> 01:20:54.000]   But after a while, they see, wow, there's a lot more out here than just these dancing flame figures on the wall.
[01:20:54.000 --> 01:20:58.000]   And that's kind of what I would talk about if I were to teach somebody.
[01:20:58.000 --> 01:21:06.000]   It's to say, hey, if you're comfortable with working 9 to 5 until you're 65 and if you're comfortable with the big house and the big car and everything else, more power to you, my friend.
[01:21:06.000 --> 01:21:09.000]   But I want you to really ask yourself, are you happy with that?
[01:21:09.000 --> 01:21:13.000]   Are you really happy every morning you hit that alarm clock and you march down to the office?
[01:21:13.000 --> 01:21:17.000]   Are you really happy with the way your life is right now?
[01:21:17.000 --> 01:21:19.000]   Because the scientists have already done all the hard work for us.
[01:21:19.000 --> 01:21:32.000]   They've already discovered that through countless studies that once you get to a certain income level, call it $50,000 or so a year, the incremental increases in money don't also result in corresponding incremental increases in happiness.
[01:21:32.000 --> 01:21:35.000]   So you've got to start looking at money in a new way.
[01:21:35.000 --> 01:21:38.000]   And I look at money as money allows me to buy time.
[01:21:38.000 --> 01:21:40.000]   They say time is money.
[01:21:40.000 --> 01:21:41.000]   I say money is time.
[01:21:41.000 --> 01:21:42.000]   Time is time.
[01:21:42.000 --> 01:21:43.000]   Time is life.
[01:21:43.000 --> 01:21:44.000]   Time is everything.
[01:21:44.000 --> 01:21:45.000]   Without time, you have nothing.
[01:21:45.000 --> 01:21:47.000]   Without time, you're basically not alive anymore.
[01:21:47.000 --> 01:21:49.000]   It doesn't matter how much money you had.
[01:21:49.000 --> 01:22:10.000]   So when you really want to think about where you want to be in life and when you think about success and everything else, I look at success, I look at happiness as autonomy, as freedom, as the ability to create for myself, as the ability to do what I want, when I want, set my own schedule.
[01:22:10.000 --> 01:22:19.000]   But money itself, objects and things like that that we consume ourselves with are not the driving factor behind happiness.
[01:22:19.000 --> 01:22:25.000]   So I think people really need to take a step back and really think about what do they really want out of life.
[01:22:25.000 --> 01:22:40.000]   And when I think about all the happiest memories I've ever had in my life, it was never buying a brand new car, it was never getting a new place to live, it was never that shopping trip at the mall or whatever.
[01:22:40.000 --> 01:22:43.000]   It was the times I had with people that I care about.
[01:22:43.000 --> 01:22:47.000]   It was intimate moments I had with people that I love.
[01:22:47.000 --> 01:22:50.000]   It was time.
[01:22:50.000 --> 01:22:51.000]   It was memories.
[01:22:51.000 --> 01:22:52.000]   It was experiences.
[01:22:52.000 --> 01:22:54.000]   It wasn't stuff.
[01:22:54.000 --> 01:23:11.000]   So when you kind of start thinking about that, when you kind of have that paradigm shift in terms of what life is all about and what money can truly be used for, then you can kind of get on the bandwagon or you can kind of get on that investing train of starting to put capital to use for you.
[01:23:11.000 --> 01:23:15.000]   And instead of working for money, have money work for you.
[01:23:15.000 --> 01:23:19.000]   There's a wide variety of ways you can get money to work for you.
[01:23:19.000 --> 01:23:24.000]   I prescribe one way that I feel is really wonderful, but you can go about it in any way you choose.
[01:23:24.000 --> 01:23:28.000]   But really the heart of my message isn't just dividend investing.
[01:23:28.000 --> 01:23:33.000]   The heart of my message is to be happy and to attain happiness.
[01:23:33.000 --> 01:23:42.000]   And I think true happiness is attained through true freedom, where you're not running on a wheel all day long and you're not clocking in and clocking out when somebody tells you to.
[01:23:42.000 --> 01:23:44.000]   You're not eating when somebody else tells you to.
[01:23:44.000 --> 01:23:50.000]   You take a week vacation when somebody tells you and you go to some all-inclusive resort where you're not experiencing the local culture.
[01:23:50.000 --> 01:23:53.000]   You're just trying to get away from the office for a little while.
[01:23:53.000 --> 01:23:59.000]   True happiness is living your life on your terms, irrespective of money.
[01:23:59.000 --> 01:24:02.000]   And that's kind of really what I try to talk about.
[01:24:02.000 --> 01:24:09.000]   Time is the only non-renewable resource and money is a very renewable resource.
[01:24:09.000 --> 01:24:10.000]   Exactly.
[01:24:10.000 --> 01:24:11.000]   There's plenty of it floating around.
[01:24:11.000 --> 01:24:13.000]   Jason, thank you for coming on.
[01:24:13.000 --> 01:24:21.000]   I think this has been one of the better interviews and I think more pithy interviews that I've done in a while.
[01:24:21.000 --> 01:24:27.000]   And I really appreciate you giving the audience some insight and encouragement and inspiration.
[01:24:27.000 --> 01:24:31.000]   I think it's an incredibly valuable resource and I appreciate you making the time for it.
[01:24:31.000 --> 01:24:33.000]   Sure, I appreciate it as well.
[01:24:33.000 --> 01:24:39.000]   Pretty cool to see that an ordinary guy can make it happen, right?
[01:24:39.000 --> 01:24:43.000]   I'm telling you, finance is simple. Not easy, but it's simple.
[01:24:43.000 --> 01:24:50.000]   There are really very few secrets to becoming financially independent.
[01:24:50.000 --> 01:24:54.000]   It's just a matter of hard work, thrift, industriousness, wise investing.
[01:24:54.000 --> 01:24:59.000]   And there's just some very simple things that need to be followed on a consistent basis.
[01:24:59.000 --> 01:25:02.000]   And if you'll follow them, I think you can make excellent progress.
[01:25:02.000 --> 01:25:07.000]   I hope that you learned and enjoyed this very practical information on dividend growth stock investing.
[01:25:07.000 --> 01:25:12.000]   It's an excellent strategy for financial planning and for financial independence.
[01:25:12.000 --> 01:25:16.000]   It's a well-worn, time-proven strategy that anybody really can follow.
[01:25:16.000 --> 01:25:21.000]   So I hope that you found this information educational and enlightening as always.
[01:25:21.000 --> 01:25:23.000]   That's it for today's show.
[01:25:23.000 --> 01:25:28.000]   Tomorrow I'm going to be releasing an interview that I have done with Chris from eatthefinancialelephant.com,
[01:25:28.000 --> 01:25:33.000]   another man and his wife and his family who are pursuing financial independence.
[01:25:33.000 --> 01:25:36.000]   They're right on the path to doing so.
[01:25:36.000 --> 01:25:42.000]   And I think they've got another very accessible story that I think is inspiring.
[01:25:42.000 --> 01:25:45.000]   He's going to share some of the lessons that he's learned, some of the things he's done well,
[01:25:45.000 --> 01:25:49.000]   and also some of the mistakes that he's made and some of the things that he hasn't done well.
[01:25:49.000 --> 01:25:50.000]   I hope you like these interviews.
[01:25:50.000 --> 01:25:54.000]   I'm trying to really strike a balance between interviewing experts
[01:25:54.000 --> 01:25:59.000]   and also interviewing people who don't hold themselves out to be experts.
[01:25:59.000 --> 01:26:04.000]   I get so annoyed at just hearing experts all the time because sometimes experts are unrelatable.
[01:26:04.000 --> 01:26:08.000]   If they can share some valuable information, that's helpful, but sometimes it's unrelatable.
[01:26:08.000 --> 01:26:13.000]   So I'm trying to bring you a diverse body of interviews on diverse topics from diverse people.
[01:26:13.000 --> 01:26:18.000]   If you are interested in coming on the show, shoot me an email, joshua@radicalpersonalfinance.com.
[01:26:18.000 --> 01:26:22.000]   I'm happy to have individual lay people who are right on the path, people who are learning,
[01:26:22.000 --> 01:26:23.000]   people who are knowledgeable.
[01:26:23.000 --> 01:26:27.000]   I'm willing to consider all types of people to bring on the show.
[01:26:27.000 --> 01:26:28.000]   So that's tomorrow's show.
[01:26:28.000 --> 01:26:30.000]   Friday I'll be doing a Q&A show.
[01:26:30.000 --> 01:26:31.000]   I've received a few questions.
[01:26:31.000 --> 01:26:37.000]   Call in those questions on the voicemail line on the website if you'd like me to answer your question on a Friday Q&A show.
[01:26:37.000 --> 01:26:43.000]   Next week we will be releasing some more interviews, and on Monday I think I'm going to be continuing the education series.
[01:26:43.000 --> 01:26:50.000]   And then on Tuesday, episode 100, I plan to roll out a membership portion of this site, of this program.
[01:26:50.000 --> 01:26:52.000]   It will all be voluntary.
[01:26:52.000 --> 01:26:55.000]   In case you haven't figured that out, voluntarism is a big deal to me.
[01:26:55.000 --> 01:26:58.000]   So the show will continue to be here for free.
[01:26:58.000 --> 01:27:03.000]   But if you're benefiting from the show and you're enjoying the show and you would like to support me financially,
[01:27:03.000 --> 01:27:07.000]   I'm going to roll out a win-win-win program that will be a win for all of us.
[01:27:07.000 --> 01:27:09.000]   And I'll describe the details of that.
[01:27:09.000 --> 01:27:15.000]   It will be slow in starting, but that's going to be the primary plan that I have to grow the show over time.
[01:27:15.000 --> 01:27:18.000]   So check back for that on Tuesday, episode 100.
[01:27:18.000 --> 01:27:20.000]   And have a great day, everybody.
[01:27:21.000 --> 01:27:39.000]   [Music]
[01:27:39.000 --> 01:27:41.000]   Thank you for listening to today's show.
[01:27:41.000 --> 01:27:49.000]   This show is intended to provide entertainment, education, and financial enlightenment.
[01:27:49.000 --> 01:27:57.000]   Your situation is unique, and I cannot deliver any actionable advice without knowing anything about you.
[01:27:57.000 --> 01:28:05.000]   This show is not, and is not intended to be any form of financial advice.
[01:28:05.000 --> 01:28:15.000]   Please, develop a team of professional advisors who you find to be caring, competent, and trustworthy.
[01:28:15.000 --> 01:28:22.000]   And consult them, because they are the ones who can understand your specific needs, your specific goals,
[01:28:22.000 --> 01:28:26.000]   and provide specific answers to your questions.
[01:28:26.000 --> 01:28:29.000]   Hold them accountable for your results.
[01:28:29.000 --> 01:28:36.000]   I've done my absolute best to be clear and accurate in today's show, but I'm one person, and I make mistakes.
[01:28:36.000 --> 01:28:42.000]   If you spot a mistake in something I've said, please come by the show page and comment, so we can all learn together.
[01:28:42.000 --> 01:28:45.000]   Until tomorrow, thanks for being here.
[01:28:45.000 --> 01:28:51.000]   The holidays start here at Ralph's, with a variety of options to celebrate traditions old and new.
[01:28:51.000 --> 01:28:59.000]   Whether you're making a traditional roasted turkey, or spicy turkey tacos, your go-to shrimp cocktail, or your first Cajun risotto,
[01:28:59.000 --> 01:29:03.000]   Ralph's has all the freshest ingredients to embrace your traditions.
[01:29:03.000 --> 01:29:05.000]   Ralph's, fresh for everyone.
[01:29:05.000 --> 01:29:08.000]   We've locked in low prices to help you save big store-wide.
[01:29:08.000 --> 01:29:12.000]   Look for the locked in low prices tags and enjoy extra savings throughout the store.
[01:29:12.000 --> 01:29:15.000]   Ralph's, fresh for everyone.

