
[00:00:00.000 --> 00:00:01.640]   what do women want?
[02:39:47.660 --> 02:39:50.460]   that basically prevents the activation
[02:39:50.460 --> 02:39:52.240]   of our callous producing mechanism.
[02:39:52.240 --> 02:39:53.540]   I think we can do the same thing
[02:39:53.540 --> 02:39:55.820]   with some of these other inclinations
[02:39:55.820 --> 02:40:01.780]   and have succeeded in reductions of homicide
[02:40:01.780 --> 02:40:04.620]   even in the last couple hundred years.
[02:40:04.620 --> 02:40:06.820]   - And some of that has to do with the myths and stories
[02:40:06.820 --> 02:40:08.900]   we tell ourselves, like again, it's language.
[02:40:08.900 --> 02:40:10.800]   'Cause I mean, I love the Vikings.
[02:40:10.800 --> 02:40:14.900]   Valhalla, that idea.
[02:40:14.900 --> 02:40:17.720]   That's a myth, that's an idea,
[02:40:18.940 --> 02:40:23.280]   that's a promise for the great land beyond,
[02:40:23.280 --> 02:40:25.240]   over there beyond the mountains.
[02:40:25.240 --> 02:40:27.820]   It's like Animal Farm, Sugarcane Mountain,
[02:40:27.820 --> 02:40:32.760]   that is promised to you if you're a great warrior.
[02:40:32.760 --> 02:40:36.200]   I believe Valhalla is where half the soldiers go
[02:40:36.200 --> 02:40:42.040]   as a reward for great soldiering, for being great warriors.
[02:40:42.040 --> 02:40:44.200]   And the thing I just recently have been reading
[02:40:44.200 --> 02:40:45.360]   quite a bit about Valhalla,
[02:40:45.360 --> 02:40:48.280]   which is it's such a fascinating
[02:40:48.280 --> 02:40:50.420]   how these myths are constructed.
[02:40:50.420 --> 02:40:57.140]   I believe, I just think this is such an awesome setup
[02:40:57.140 --> 02:40:59.480]   in terms of a kind of heaven,
[02:40:59.480 --> 02:41:02.240]   which is they spend the entire day fighting
[02:41:02.240 --> 02:41:09.520]   for joy, and if they die, they're reborn the next day.
[02:41:09.520 --> 02:41:13.080]   So it's, you're basically the passion,
[02:41:13.080 --> 02:41:15.640]   the thing you're passionate about without the consequences.
[02:41:15.640 --> 02:41:19.120]   On top of that, I think there's a pig or a boar
[02:41:19.120 --> 02:41:23.760]   that is, they keep eating.
[02:41:23.760 --> 02:41:25.560]   So it's regenerated every single day.
[02:41:25.560 --> 02:41:29.820]   So unlimited food, and there's unlimited beer, I believe.
[02:41:29.820 --> 02:41:31.680]   So it's like-- - Or mead, maybe.
[02:41:31.680 --> 02:41:34.280]   - Mead, mead, yes, yes, yes, it's mead.
[02:41:34.280 --> 02:41:35.880]   I don't know, that's fascinating
[02:41:35.880 --> 02:41:37.520]   that we construct these myths.
[02:41:37.520 --> 02:41:38.820]   And at the same time,
[02:41:41.320 --> 02:41:45.480]   these myths can be used to get humans
[02:41:45.480 --> 02:41:48.080]   to do some of the worst atrocities.
[02:41:48.080 --> 02:41:51.760]   So some of the violence requires us to have those myths
[02:41:51.760 --> 02:41:54.160]   of what is waiting for us beyond death,
[02:41:54.160 --> 02:41:57.880]   sort of beyond over there in Sugarcandy Mountain,
[02:41:57.880 --> 02:42:00.840]   as Crow says that in Animal Farm.
[02:42:00.840 --> 02:42:05.000]   And so I think the more and more in this modern society,
[02:42:05.000 --> 02:42:08.000]   the positive of not constructing so many myths
[02:42:08.000 --> 02:42:09.800]   is that we get to live more in the moment,
[02:42:09.800 --> 02:42:12.960]   and that forces us to optimize and improve the moment,
[02:42:12.960 --> 02:42:16.240]   and we get to face the irrational
[02:42:16.240 --> 02:42:17.760]   and the painful aspect of violence.
[02:42:17.760 --> 02:42:20.120]   Maybe we should reduce that in the here and now.
[02:42:20.120 --> 02:42:22.120]   Yeah, the downside is we may not,
[02:42:22.120 --> 02:42:25.240]   if we dispose of God or these kinds of religious
[02:42:25.240 --> 02:42:29.520]   and spiritual ideas, we might descend into,
[02:42:29.520 --> 02:42:32.080]   we need to worry about with nihilism.
[02:42:32.080 --> 02:42:33.480]   And it's a beautiful dance,
[02:42:33.480 --> 02:42:35.320]   'cause humans seem to tie themselves together
[02:42:35.320 --> 02:42:37.360]   with narratives. - Yes, yeah.
[02:42:37.360 --> 02:42:40.400]   - And with myths and stories that we all believe,
[02:42:40.400 --> 02:42:42.160]   if you completely dispose of them,
[02:42:42.160 --> 02:42:45.000]   society, I don't know, we don't know.
[02:42:45.000 --> 02:42:46.920]   We don't know what's going to happen,
[02:42:46.920 --> 02:42:48.000]   if it's going to collapse,
[02:42:48.000 --> 02:42:50.760]   or if it's actually going to rediscover better myths,
[02:42:50.760 --> 02:42:54.400]   better stories, more scientifically grounded ones,
[02:42:54.400 --> 02:42:57.360]   ones that are driven in data and all those kinds of things.
[02:42:57.360 --> 02:42:59.840]   - Yeah, I don't know.
[02:42:59.840 --> 02:43:01.760]   I mean, it's an interesting question.
[02:43:01.760 --> 02:43:05.440]   I mean, I don't have any brilliant insights into it
[02:43:05.440 --> 02:43:08.600]   other than that, to agree with you,
[02:43:08.600 --> 02:43:12.600]   that people construct narratives,
[02:43:12.600 --> 02:43:13.920]   well, of their own lives,
[02:43:13.920 --> 02:43:17.040]   and sometimes the life after death.
[02:43:17.040 --> 02:43:19.520]   But I guess I would add,
[02:43:19.520 --> 02:43:21.640]   and this is maybe a more cynical view,
[02:43:21.640 --> 02:43:23.520]   but you mentioned atrocities.
[02:43:23.520 --> 02:43:28.520]   I think that leaders can sometimes exploit those under them
[02:43:31.680 --> 02:43:36.680]   to create forms of violence or justification for warfare.
[02:43:36.680 --> 02:43:45.760]   Like in the group that we are conquering,
[02:43:45.760 --> 02:43:49.160]   they are a subhuman, they're insects,
[02:43:49.160 --> 02:43:52.640]   they're an infectious disease that is,
[02:43:52.640 --> 02:43:56.800]   and so these narratives can be used by leaders
[02:43:56.800 --> 02:44:01.040]   to exploit and motivate people under them
[02:44:01.040 --> 02:44:03.560]   to commit these atrocities.
[02:44:03.560 --> 02:44:07.640]   So it's a nastier part of our psychology,
[02:44:07.640 --> 02:44:09.000]   both that leaders do that,
[02:44:09.000 --> 02:44:11.400]   but also that people are vulnerable
[02:44:11.400 --> 02:44:13.400]   to narratives of that sort.
[02:44:13.400 --> 02:44:15.960]   - Yeah, it's fascinating to look pre-internet.
[02:44:15.960 --> 02:44:18.960]   You hope the internet makes us more resistant to that,
[02:44:18.960 --> 02:44:21.200]   which I do have probably a question on that.
[02:44:21.200 --> 02:44:23.720]   But if you look at just the propaganda machines
[02:44:23.720 --> 02:44:25.280]   during World War II,
[02:44:25.280 --> 02:44:28.680]   on the Nazi side and on the Soviet side,
[02:44:28.680 --> 02:44:32.160]   on every side, but particularly in those two,
[02:44:32.160 --> 02:44:35.000]   it's so fascinating both how effective
[02:44:35.000 --> 02:44:38.960]   a simple message can be in a leader being able
[02:44:38.960 --> 02:44:42.340]   to convince the small inner circle around them,
[02:44:42.340 --> 02:44:47.440]   convince themselves, which is fascinating, propaganda,
[02:44:47.440 --> 02:44:50.000]   and you start to believe the propaganda you generate,
[02:44:50.000 --> 02:44:53.800]   and then how easily the populace is convincible.
[02:44:53.800 --> 02:44:56.280]   Again, you hope that the internet,
[02:44:56.280 --> 02:44:58.280]   the distributed nature of the internet
[02:44:58.280 --> 02:45:01.920]   makes it more difficult to run a propaganda campaign,
[02:45:01.920 --> 02:45:03.560]   at least of the classical sort.
[02:45:03.560 --> 02:45:05.680]   I do have a question about this,
[02:45:05.680 --> 02:45:07.360]   'cause you mentioned Elon Musk.
[02:45:07.360 --> 02:45:09.800]   When we're talking about status hierarchies,
[02:45:09.800 --> 02:45:11.360]   like you and I can't buy Twitter.
[02:45:11.360 --> 02:45:13.720]   - And we're a wealth accumulation, yeah.
[02:45:13.720 --> 02:45:16.340]   - What do you think about Elon buying Twitter,
[02:45:16.340 --> 02:45:22.200]   in particular, in the reason, the state of reason,
[02:45:22.200 --> 02:45:26.280]   that he's doing so in emphasizing free speech?
[02:45:26.280 --> 02:45:27.360]   - That's an interesting question,
[02:45:27.360 --> 02:45:30.280]   but I don't really have an informed opinion about it.
[02:45:30.280 --> 02:45:34.640]   I don't know, it's not my area of expertise,
[02:45:34.640 --> 02:45:37.280]   and I don't know enough details,
[02:45:37.280 --> 02:45:40.920]   and I also don't know what his plans are for Twitter,
[02:45:40.920 --> 02:45:44.760]   what changes he proposes to implement.
[02:45:44.760 --> 02:45:47.400]   - Well, the reason I bring that up is because,
[02:45:47.400 --> 02:45:49.880]   and you've kind of said you don't necessarily
[02:45:49.880 --> 02:45:51.800]   feel a tremendous amount of pressure,
[02:45:51.800 --> 02:45:54.440]   but in doing controversial research,
[02:45:54.440 --> 02:45:57.760]   in doing research on controversial topics,
[02:45:57.760 --> 02:45:59.160]   you're also a communicator,
[02:45:59.160 --> 02:46:03.120]   and Twitter is a platform in which you communicate,
[02:46:03.120 --> 02:46:05.440]   and there's going to be, if you get canceled somewhere,
[02:46:05.440 --> 02:46:07.040]   you get canceled on Twitter.
[02:46:07.040 --> 02:46:09.440]   - Yeah. - And so, there's pressure.
[02:46:09.440 --> 02:46:14.280]   So what does free speech look like in these public platforms?
[02:46:14.280 --> 02:46:16.540]   It's communicating difficult ideas.
[02:46:16.540 --> 02:46:19.560]   It's changing your mind, it's exploring ideas,
[02:46:19.560 --> 02:46:22.860]   and not fearing the mob.
[02:46:23.860 --> 02:46:27.460]   The mob that pressures the platform
[02:46:27.460 --> 02:46:29.540]   to remove you from the platform,
[02:46:29.540 --> 02:46:33.100]   or to ban you, shadow ban you from the platform,
[02:46:33.100 --> 02:46:36.140]   decrease your reach artificially on the platform.
[02:46:36.140 --> 02:46:38.140]   And those are really fascinating questions
[02:46:38.140 --> 02:46:41.660]   that we get to deal with in this new digital age.
[02:46:41.660 --> 02:46:43.860]   So there's a lot of ideas.
[02:46:43.860 --> 02:46:46.100]   You said what Elon is planning to do.
[02:46:46.100 --> 02:46:48.740]   Forget Elon, how do you do this well?
[02:46:48.740 --> 02:46:50.260]   That's the question.
[02:46:50.260 --> 02:46:52.780]   And there's sort of an absolutist view of free speech,
[02:46:52.780 --> 02:46:54.580]   let anyone say anything.
[02:46:54.580 --> 02:46:57.220]   And I tend to be a person that believes
[02:46:57.220 --> 02:46:59.700]   everybody should have the freedom to say anything.
[02:46:59.700 --> 02:47:02.260]   The question with a social media platform is,
[02:47:02.260 --> 02:47:07.260]   well, can you force anyone to hear what you have to say?
[02:47:07.260 --> 02:47:13.740]   Because the virality, the viral nature of communication
[02:47:13.740 --> 02:47:18.740]   means that you can control who hears what you say.
[02:47:19.900 --> 02:47:23.340]   The virality of that, the search and discovery aspect.
[02:47:23.340 --> 02:47:25.620]   And I think that's a fascinating question
[02:47:25.620 --> 02:47:27.620]   from the algorithmic perspective.
[02:47:27.620 --> 02:47:29.500]   The amount of data out there, just like papers,
[02:47:29.500 --> 02:47:30.980]   there's a huge amount of papers.
[02:47:30.980 --> 02:47:35.400]   What you want is to find the best papers,
[02:47:35.400 --> 02:47:36.880]   the ones you agree with,
[02:47:36.880 --> 02:47:39.040]   but also the ones that challenge you.
[02:47:39.040 --> 02:47:41.540]   And you don't want to nonstop read
[02:47:41.540 --> 02:47:42.740]   the papers that challenge you.
[02:47:42.740 --> 02:47:44.620]   You're going to be mentally exhausted.
[02:47:44.620 --> 02:47:48.040]   There's a bucket of attention and focus
[02:47:48.040 --> 02:47:49.900]   and mental energy you can allocate.
[02:47:49.900 --> 02:47:51.540]   The ones that really challenge you,
[02:47:51.540 --> 02:47:54.040]   the ideas that really challenge you are exhausting.
[02:47:54.040 --> 02:47:54.880]   It's good.
[02:47:54.880 --> 02:47:56.720]   Just like going to the gym, it's good.
[02:47:56.720 --> 02:48:01.280]   But then you also want to read things that are fun for you.
[02:48:01.280 --> 02:48:02.720]   And those are, you know,
[02:48:02.720 --> 02:48:06.920]   if you're spending your whole life in arguments,
[02:48:06.920 --> 02:48:07.960]   that's going to be exhausting.
[02:48:07.960 --> 02:48:10.080]   You want to hang out, chill with your friends,
[02:48:10.080 --> 02:48:13.880]   watch some Netflix, have fun, whatever, easygoing.
[02:48:13.880 --> 02:48:16.680]   And sometimes have difficult academic arguments
[02:48:16.680 --> 02:48:19.040]   with people, for example, with people you disagree with,
[02:48:19.040 --> 02:48:20.480]   but not all the time.
[02:48:20.480 --> 02:48:22.080]   And you have to have a platform.
[02:48:22.080 --> 02:48:24.000]   What does free speech actually looks like?
[02:48:24.000 --> 02:48:27.360]   It's a platform where everybody can challenge anybody,
[02:48:27.360 --> 02:48:31.380]   but not destroy them by doing so mentally.
[02:48:31.380 --> 02:48:35.040]   So you have to balance personal growth
[02:48:35.040 --> 02:48:37.380]   of each individual person on the platform.
[02:48:37.380 --> 02:48:39.960]   But definitely removing people from a platform
[02:48:39.960 --> 02:48:41.400]   is a terrible thing.
[02:48:41.400 --> 02:48:44.160]   So on top of that, it's like,
[02:48:44.160 --> 02:48:49.160]   how do you get measures that the platform is doing good?
[02:48:49.160 --> 02:48:52.280]   What I really like what Elon said,
[02:48:52.280 --> 02:48:53.720]   and I've talked to him about this,
[02:48:53.720 --> 02:48:57.560]   is pissing off everybody equally,
[02:48:57.560 --> 02:48:59.680]   the extremes of every side equally.
[02:48:59.680 --> 02:49:00.680]   In the political spectrum,
[02:49:00.680 --> 02:49:02.360]   you could say the left and the right
[02:49:02.360 --> 02:49:06.400]   is measuring by pissing off the extremes equally,
[02:49:06.400 --> 02:49:09.340]   because currently there seems to be an asymmetry in that.
[02:49:09.340 --> 02:49:12.000]   So that's one good measure that allows you to maximize,
[02:49:12.000 --> 02:49:15.640]   as he says, the area under the curve of human happiness.
[02:49:15.640 --> 02:49:18.200]   That's one thing.
[02:49:18.200 --> 02:49:23.200]   The other is people representing themselves honestly.
[02:49:23.200 --> 02:49:25.360]   So removing the bots from the platform.
[02:49:25.360 --> 02:49:26.880]   It's such a weird world we live in,
[02:49:26.880 --> 02:49:29.520]   where you don't know who's real or not.
[02:49:29.520 --> 02:49:31.940]   So anonymity is an awesome thing.
[02:49:31.940 --> 02:49:35.880]   The awesome aspect of anonymity
[02:49:35.880 --> 02:49:37.600]   is it protects people's privacy.
[02:49:37.600 --> 02:49:39.780]   It actually gives them freedom to think,
[02:49:39.780 --> 02:49:42.380]   freedom to speak even more so.
[02:49:42.380 --> 02:49:45.380]   But when anonymity is weaponized,
[02:49:45.380 --> 02:49:48.560]   it allows you to be cruel to others
[02:49:48.560 --> 02:49:50.100]   without the repercussion of cruelty
[02:49:50.100 --> 02:49:52.660]   that you would feel in the physical world.
[02:49:52.660 --> 02:49:57.660]   So you wanna use anonymity as a shield versus as a sword.
[02:49:57.660 --> 02:50:00.860]   So to protect yourself from the attacks of others,
[02:50:00.860 --> 02:50:02.780]   but not as a way to hurt others.
[02:50:02.780 --> 02:50:06.100]   And those are all really tricky things to figure out.
[02:50:06.100 --> 02:50:09.340]   And not all of it's gonna be solved
[02:50:09.340 --> 02:50:10.300]   with an edit button,
[02:50:10.300 --> 02:50:13.260]   which I believe is the most requested Twitter feature.
[02:50:13.260 --> 02:50:16.940]   Anyway, I think this is fascinating,
[02:50:16.940 --> 02:50:19.980]   not just for people talking about politics,
[02:50:19.980 --> 02:50:21.980]   which is what everyone seems to care about,
[02:50:21.980 --> 02:50:23.700]   but also for science,
[02:50:23.700 --> 02:50:27.780]   for people challenging each other in the scientific domain.
[02:50:27.780 --> 02:50:30.860]   'Cause I at least have hope for scientific communication,
[02:50:30.860 --> 02:50:33.540]   where people can start playing around
[02:50:33.540 --> 02:50:35.100]   with different mediums of communication.
[02:50:35.100 --> 02:50:37.860]   So not just academic papers, but just ideas,
[02:50:37.860 --> 02:50:38.940]   playing with those ideas.
[02:50:38.940 --> 02:50:40.220]   - Yeah, absolutely.
[02:50:40.220 --> 02:50:42.660]   - Especially when you have, so evolution, psychology,
[02:50:42.660 --> 02:50:46.300]   well, no, even that, it can be super high
[02:50:46.300 --> 02:50:50.220]   turnover rate of importance.
[02:50:50.220 --> 02:50:52.260]   But you have with COVID,
[02:50:52.260 --> 02:50:55.860]   it seems like the progress of science and scientific debate
[02:50:55.860 --> 02:50:59.140]   is most powerful in that context
[02:50:59.140 --> 02:51:00.460]   if it's done really quickly.
[02:51:00.460 --> 02:51:01.660]   And it feels like Twitter,
[02:51:01.660 --> 02:51:04.940]   like most of the best things I've learned about COVID
[02:51:04.940 --> 02:51:08.140]   to stay up to date was on Twitter.
[02:51:08.140 --> 02:51:12.380]   It's so exciting to see science happening so, so, so quickly
[02:51:12.380 --> 02:51:13.860]   in all kinds of domains there.
[02:51:13.860 --> 02:51:15.980]   And that was great.
[02:51:15.980 --> 02:51:19.860]   But then you step in with labels of what's misinformation,
[02:51:19.860 --> 02:51:24.860]   you have this kind of conformity seeking labels
[02:51:24.860 --> 02:51:29.060]   of what is true and not,
[02:51:29.060 --> 02:51:31.700]   which is a very unscientific thing to me,
[02:51:31.700 --> 02:51:34.060]   in the name of protecting the populace.
[02:51:34.060 --> 02:51:38.540]   It's a weird impulse that people have,
[02:51:38.540 --> 02:51:40.980]   which is, well, here's an organization,
[02:51:40.980 --> 02:51:43.980]   here's an institution that is a possessor of the truth
[02:51:43.980 --> 02:51:45.820]   and everybody else is untrue.
[02:51:45.820 --> 02:51:49.780]   Now, a lot of the time, maybe majority of the time,
[02:51:49.780 --> 02:51:52.340]   that institution is going to be correct.
[02:51:52.340 --> 02:51:55.020]   This consensus, consensus is the consensus
[02:51:55.020 --> 02:51:56.700]   because it's usually correct.
[02:51:56.700 --> 02:52:01.340]   But the biggest ideas are going to be against the consensus.
[02:52:01.340 --> 02:52:04.500]   - And certainly that's true in evolutionary psychology,
[02:52:04.500 --> 02:52:09.460]   where it seems like, are we even, is the cake even baked yet?
[02:52:09.460 --> 02:52:11.620]   It feels like there's a lot of turmoil
[02:52:11.620 --> 02:52:14.220]   in terms of figuring out human psychology.
[02:52:14.220 --> 02:52:16.780]   - Well, there's a lot that we don't know.
[02:52:16.780 --> 02:52:21.780]   I mean, if human psychology, if it were a simple thing
[02:52:21.780 --> 02:52:27.220]   and we only had three or half a dozen
[02:52:27.220 --> 02:52:29.300]   psychological adaptations,
[02:52:29.300 --> 02:52:31.500]   we would have discovered all of them by now.
[02:52:31.500 --> 02:52:35.700]   It's that it's so complex, multifaceted,
[02:52:35.700 --> 02:52:40.700]   multi-mechanism part that describes human nature
[02:52:40.700 --> 02:52:44.860]   that it was what makes it exciting,
[02:52:44.860 --> 02:52:47.900]   but also the amount that we know is small
[02:52:47.900 --> 02:52:49.540]   compared to the amount that we don't know.
[02:52:49.540 --> 02:52:52.580]   And so that's why you have to approach these things
[02:52:52.580 --> 02:52:55.980]   with a certain humility.
[02:52:55.980 --> 02:52:59.280]   And that's why even like in the mating and sexuality domain,
[02:52:59.280 --> 02:53:02.100]   which I've been studying for a number of years,
[02:53:02.100 --> 02:53:05.460]   I keep coming across things that I don't know,
[02:53:05.460 --> 02:53:07.260]   questions that are unanswered,
[02:53:07.260 --> 02:53:12.460]   which makes it exciting from my perspective.
[02:53:12.460 --> 02:53:15.980]   I mean, that's what the joy is of being a scientist.
[02:53:15.980 --> 02:53:21.180]   - You mentioned, I gotta return real quick to Ted Bundy.
[02:53:21.180 --> 02:53:22.340]   You mentioned you have,
[02:53:22.340 --> 02:53:25.580]   so you've written about murder and violence
[02:53:25.580 --> 02:53:28.140]   in a long distant past,
[02:53:28.140 --> 02:53:30.880]   but the thread runs through your work today.
[02:53:30.880 --> 02:53:33.380]   Who to you is the most fascinating serial killer
[02:53:33.380 --> 02:53:39.440]   of the true crime things that you've explored?
[02:53:39.440 --> 02:53:42.840]   - I think, well, Ted Bundy's way up there.
[02:53:42.840 --> 02:53:45.340]   I think Charles Manson is another.
[02:53:45.340 --> 02:53:51.120]   - Have you seen on Ted Bundy,
[02:53:51.120 --> 02:53:53.320]   'cause I find him super fascinating.
[02:53:53.320 --> 02:53:56.160]   Have you seen, there's a lot of movies on him,
[02:53:56.160 --> 02:53:59.820]   extremely wicked, shockingly even vile.
[02:53:59.820 --> 02:54:02.060]   It's a retelling of his life
[02:54:02.060 --> 02:54:04.780]   from the perspective of his long-term girlfriend.
[02:54:04.780 --> 02:54:05.940]   - No, I have not seen that one yet.
[02:54:05.940 --> 02:54:08.860]   - Which ties together a lot of our conversation.
[02:54:08.860 --> 02:54:10.900]   So it's probably my favorite one.
[02:54:10.900 --> 02:54:13.540]   A lot of people say it's the best movie on Ted Bundy.
[02:54:13.540 --> 02:54:14.540]   So you should definitely watch it.
[02:54:14.540 --> 02:54:15.480]   - I will.
[02:54:15.480 --> 02:54:16.580]   - I recommend it to others,
[02:54:16.580 --> 02:54:21.500]   but it's from a perspective of the relationship.
[02:54:21.500 --> 02:54:26.500]   And it just, one of the really powerful windows
[02:54:26.500 --> 02:54:30.640]   into a serial killer that I saw there
[02:54:30.640 --> 02:54:32.560]   is that from the perspective of the relationship,
[02:54:32.560 --> 02:54:35.000]   you can have just this healthy looking relationship.
[02:54:35.000 --> 02:54:36.920]   Yeah, there's some fights and so on,
[02:54:36.920 --> 02:54:39.520]   but the usual dating and all that kind of stuff
[02:54:39.520 --> 02:54:40.600]   was all there.
[02:54:40.600 --> 02:54:42.120]   So all the murders he was doing,
[02:54:42.120 --> 02:54:45.680]   he had a long-term girlfriend throughout all of that.
[02:54:45.680 --> 02:54:47.920]   And also throughout all of that,
[02:54:47.920 --> 02:54:49.320]   I'll try not to give away,
[02:54:49.320 --> 02:54:50.920]   in case you don't know the story,
[02:54:50.920 --> 02:54:53.440]   throughout all of that, she stood by his side.
[02:54:53.440 --> 02:54:56.640]   She refused to believe everything that was happening
[02:54:56.640 --> 02:55:00.980]   until the very end.
[02:55:00.980 --> 02:55:02.500]   Of course, it shifts in the very end,
[02:55:02.500 --> 02:55:04.400]   and that's a fascinating shift,
[02:55:04.400 --> 02:55:07.240]   the breaking of the illusion.
[02:55:07.240 --> 02:55:09.160]   But it's really fascinating
[02:55:09.160 --> 02:55:11.340]   that you can have those two things.
[02:55:11.340 --> 02:55:15.560]   - Yeah, well, I think that part of it is
[02:55:15.560 --> 02:55:20.200]   we have these stereotypes that we expect
[02:55:20.200 --> 02:55:22.960]   people like serial killers to be these
[02:55:22.960 --> 02:55:27.960]   ugly, drooling creatures that are sort of evil all the time.
[02:55:27.960 --> 02:55:33.320]   And so, that's why even like you had,
[02:55:33.320 --> 02:55:36.360]   I don't know if I'm remembering this correctly,
[02:55:36.360 --> 02:55:40.600]   but like Stalin, who killed millions of people,
[02:55:40.600 --> 02:55:44.440]   apparently loved his kids and loved his family.
[02:55:44.440 --> 02:55:47.840]   So we have, as part of the complication,
[02:55:47.840 --> 02:55:51.520]   the complexity of human nature and human psychology
[02:55:51.520 --> 02:55:53.860]   is we don't have just this one,
[02:55:53.860 --> 02:55:59.400]   this one property that dictates
[02:55:59.400 --> 02:56:01.720]   how we behave in all circumstances.
[02:56:01.720 --> 02:56:07.480]   - Yeah, the devil is going to be charismatic.
[02:56:07.480 --> 02:56:12.600]   That's why, that's one of the things I've learned
[02:56:12.600 --> 02:56:14.280]   about just looking at evil people,
[02:56:14.280 --> 02:56:16.280]   looking at Jeffrey Epstein,
[02:56:16.280 --> 02:56:18.840]   who seemed to have hoodwinked quite a lot of people.
[02:56:18.840 --> 02:56:21.920]   - Yes, yeah, that's another fascinating case.
[02:56:21.920 --> 02:56:24.040]   Yeah, not that he wasn't a serial killer,
[02:56:24.040 --> 02:56:26.140]   but a serial sexual predator.
[02:56:26.140 --> 02:56:32.000]   - And a lot of people I know and respect
[02:56:32.000 --> 02:56:35.680]   didn't see the evil.
[02:56:35.680 --> 02:56:36.740]   - Yeah.
[02:56:36.740 --> 02:56:39.480]   - And so I never met the guy,
[02:56:39.480 --> 02:56:42.440]   but it's like, are you guys oblivious?
[02:56:42.440 --> 02:56:44.600]   Like, there must have been something,
[02:56:44.600 --> 02:56:47.800]   from everything I see is purely just charisma.
[02:56:47.800 --> 02:56:51.120]   It's the smoke and mirrors that--
[02:56:51.120 --> 02:56:54.400]   - Yeah, well, he was a very charming psychopath.
[02:56:54.400 --> 02:56:57.520]   - Yeah, but I think every psychopath
[02:56:57.520 --> 02:56:59.220]   to be effective has to be charming.
[02:56:59.220 --> 02:57:01.760]   - Yeah, the successful ones, yeah.
[02:57:01.760 --> 02:57:03.660]   Yeah, successful psychopaths.
[02:57:03.660 --> 02:57:06.720]   - Oh, yeah.
[02:57:06.720 --> 02:57:08.920]   - And that was, I mean, Ted Bundy was one.
[02:57:08.920 --> 02:57:12.520]   He was a good-looking guy, intelligent,
[02:57:12.520 --> 02:57:16.940]   and could turn on the charm, and then had this evil.
[02:57:16.940 --> 02:57:19.800]   - Is there something interesting to be said
[02:57:19.800 --> 02:57:22.720]   that I think a large percentage of the fan base,
[02:57:22.720 --> 02:57:25.840]   like I've seen numbers like 80% plus of the fan base
[02:57:25.840 --> 02:57:28.320]   for true crime shows is women?
[02:57:28.320 --> 02:57:31.000]   Is there some psychology behind that?
[02:57:31.000 --> 02:57:32.040]   - I haven't seen that.
[02:57:32.040 --> 02:57:36.060]   I'm not aware of a sex difference that I'm not aware of.
[02:57:36.060 --> 02:57:39.640]   - I mean, I've heard that in a lot of places.
[02:57:39.640 --> 02:57:44.640]   I wonder if there's something about true crime,
[02:57:44.640 --> 02:57:49.480]   maybe because it's just like sexual kinks
[02:57:49.480 --> 02:57:52.720]   for men develop early on, the cues.
[02:57:52.720 --> 02:57:56.540]   Maybe for women, there's the cues of the threat of violence.
[02:57:56.540 --> 02:58:00.680]   The attentiveness to violence develops early on,
[02:58:00.680 --> 02:58:03.120]   and therefore, fascination with violence.
[02:58:03.120 --> 02:58:06.860]   - Well, I think that, I mean, one thing is that,
[02:58:06.860 --> 02:58:08.680]   well, with serial killers specifically,
[02:58:08.680 --> 02:58:11.160]   I don't know if this is true of true crime in general,
[02:58:11.160 --> 02:58:16.160]   but serial killers, you find a lot of people,
[02:58:16.160 --> 02:58:19.360]   well, a lot of women fall in love with them,
[02:58:19.360 --> 02:58:23.240]   or even if they're jailed for serial killing.
[02:58:23.240 --> 02:58:26.040]   And I think one of the features of it
[02:58:26.040 --> 02:58:31.040]   is that it parasitizes or hijacks status mechanisms
[02:58:31.040 --> 02:58:37.600]   in that a key cue to status is the attention structure.
[02:58:37.600 --> 02:58:40.500]   That is, the high-status people are the people
[02:58:40.500 --> 02:58:43.120]   to whom the most people pay the most attention.
[02:58:43.120 --> 02:58:46.560]   And so serial killers garner a lot of attention,
[02:58:46.560 --> 02:58:51.560]   and even though for evil deeds, it's still attention.
[02:58:51.560 --> 02:58:56.200]   So I think that that hijacking
[02:58:56.200 --> 02:58:59.880]   of our status allocation adaptations
[02:58:59.880 --> 02:59:02.640]   is partly responsible for that.
[02:59:02.640 --> 02:59:05.600]   - Is there, given the trajectory of your life,
[02:59:05.600 --> 02:59:09.160]   you mentioned Berkeley and the East Coast and Michigan,
[02:59:09.160 --> 02:59:10.360]   you got everything.
[02:59:10.360 --> 02:59:12.800]   Is there, given the trajectory of your life,
[02:59:12.800 --> 02:59:16.880]   in geography and in science,
[02:59:16.880 --> 02:59:19.600]   can you give advice to young folks today,
[02:59:19.600 --> 02:59:20.720]   high school, college,
[02:59:20.720 --> 02:59:23.760]   thinking about how to make their own trajectory,
[02:59:23.760 --> 02:59:25.360]   how to make their own way through life
[02:59:25.360 --> 02:59:26.840]   that they can be proud of,
[02:59:26.840 --> 02:59:31.840]   either career or just love life or life?
[02:59:32.480 --> 02:59:36.480]   - Yeah, well, not necessarily on careers,
[02:59:36.480 --> 02:59:40.200]   but I can give advice on mating.
[02:59:40.200 --> 02:59:42.000]   And I think it's one of these things
[02:59:42.000 --> 02:59:47.000]   where we have requirements for the courses
[02:59:47.000 --> 02:59:51.800]   that students have to take in high school, for example.
[02:59:51.800 --> 02:59:53.520]   And I think there should be a required course
[02:59:53.520 --> 02:59:57.000]   on relationships, on mating.
