
[00:00:00.880 --> 00:00:01.720]   - Hey, everyone.
[00:45:47.200 --> 00:45:49.400]   will probably be very interrelated
[00:45:49.400 --> 00:45:53.760]   with like graphics, audio, video.
[00:45:53.760 --> 00:45:56.200]   I think it's going to be very hard to explain,
[00:45:56.200 --> 00:45:58.480]   you know, to a family relative
[00:45:58.480 --> 00:46:00.880]   who's not kind of in our world.
[00:46:00.880 --> 00:46:02.800]   And our world is like sometimes very, you know,
[00:46:02.800 --> 00:46:04.680]   we think it's very big, but it's very tiny
[00:46:04.680 --> 00:46:05.520]   compared to the rest of the world.
[00:46:05.520 --> 00:46:07.280]   Some people are like, there's still lots of humanity
[00:46:07.280 --> 00:46:09.320]   who have no idea what chat GPT is.
[00:46:09.320 --> 00:46:12.080]   And I think it's going to be very hard to explain,
[00:46:12.080 --> 00:46:14.960]   you know, to your uncle, aunt, whoever,
[00:46:14.960 --> 00:46:16.200]   you know, hey, I saw, you know,
[00:46:16.200 --> 00:46:19.800]   I saw President Biden say this thing on a video.
[00:46:19.800 --> 00:46:22.960]   You know, I can't believe, you know, he said that.
[00:46:22.960 --> 00:46:25.440]   I think that's going to be a very troubling thing
[00:46:25.440 --> 00:46:29.720]   going into the world next year, the year after.
[00:46:29.720 --> 00:46:32.280]   - Oh, I didn't, that's more like a risk thing.
[00:46:32.280 --> 00:46:33.840]   - Yeah. - Or like deep fakes.
[00:46:33.840 --> 00:46:35.800]   Well, faking, political faking.
[00:46:35.800 --> 00:46:39.680]   But there's just, there's a lot of studies on how,
[00:46:40.520 --> 00:46:42.080]   yeah, for most businesses,
[00:46:42.080 --> 00:46:44.480]   you don't want to train on not safe for work images,
[00:46:44.480 --> 00:46:47.560]   except that it makes you really good at bodies.
[00:46:47.560 --> 00:46:51.040]   - Yeah, I mean, yeah, I mean, we personally,
[00:46:51.040 --> 00:46:55.760]   we filter out NSFW type of images in our data set
[00:46:55.760 --> 00:46:58.440]   so that it's, you know, so our safety filter stuff
[00:46:58.440 --> 00:46:59.640]   doesn't have to work as hard.
[00:46:59.640 --> 00:47:01.600]   - But you've heard this argument that it gets,
[00:47:01.600 --> 00:47:04.160]   it makes you worse at, because obviously,
[00:47:04.160 --> 00:47:08.200]   not safe for work images are very good at human anatomy,
[00:47:08.200 --> 00:47:09.640]   which you do want to be good at.
[00:47:09.640 --> 00:47:11.280]   - Yeah, it's not about like,
[00:47:11.280 --> 00:47:14.120]   it's not like necessarily a bad thing to train on that data.
[00:47:14.120 --> 00:47:16.160]   It's more about like how you go and use it.
[00:47:16.160 --> 00:47:18.200]   That's why I was kind of talking about safety.
[00:47:18.200 --> 00:47:19.480]   - Yeah, I see. - You know, in part,
[00:47:19.480 --> 00:47:20.920]   because there are very terrible things
[00:47:20.920 --> 00:47:21.760]   that can happen in the world.
[00:47:21.760 --> 00:47:23.480]   If you have a sufficiently, you know,
[00:47:23.480 --> 00:47:25.280]   extremely powerful graphics model, you know,
[00:47:25.280 --> 00:47:27.840]   suddenly like you can kind of imagine, you know,
[00:47:27.840 --> 00:47:30.040]   now if you can like generate nudes and then there's like,
[00:47:30.040 --> 00:47:32.520]   you can do very character consistent things with faces,
[00:47:32.520 --> 00:47:33.560]   like what does that lead to?
[00:47:33.560 --> 00:47:35.480]   - Yeah. - I think it's like more
[00:47:35.480 --> 00:47:37.600]   what occurs after that, right?
[00:47:37.600 --> 00:47:40.880]   Even if you train on, let's say, you know, new data,
[00:47:40.880 --> 00:47:42.280]   if it does something to kind of help,
[00:47:42.280 --> 00:47:44.760]   there's nothing wrong with the human anatomy.
[00:47:44.760 --> 00:47:47.200]   It's very valid for a model to learn that,
[00:47:47.200 --> 00:47:49.440]   but then it's kind of like, how does that get used?
[00:47:49.440 --> 00:47:52.280]   And, you know, I won't bring up all of the very,
[00:47:52.280 --> 00:47:55.360]   very unsavory, terrible things that we see
[00:47:55.360 --> 00:47:57.640]   on a daily basis on the site.
[00:47:57.640 --> 00:48:00.320]   I think it's more about what occurs.
[00:48:00.320 --> 00:48:03.520]   And so we, you know, we just recently did like a big sprint
[00:48:03.520 --> 00:48:05.760]   on safety internally around,
[00:48:05.760 --> 00:48:08.560]   and it's very difficult with graphics and art, right?
[00:48:08.560 --> 00:48:12.940]   Because there is tasteful art that has nudity, right?
[00:48:12.940 --> 00:48:15.440]   They're all over in museums, like, you know,
[00:48:15.440 --> 00:48:18.120]   it's very, very valid situations for that.
[00:48:18.120 --> 00:48:19.920]   And then there's, you know,
[00:48:19.920 --> 00:48:22.280]   there's the things that are the gray line of that.
[00:48:22.280 --> 00:48:23.960]   You know, what I might not find tasteful,
[00:48:23.960 --> 00:48:26.840]   someone might be like, that is completely tasteful, right?
[00:48:26.840 --> 00:48:29.880]   And then there's things that are way over the line.
[00:48:29.880 --> 00:48:31.400]   And then there are things that are, you know,
[00:48:31.400 --> 00:48:35.600]   maybe you or, you know, maybe I would be okay with,
[00:48:35.600 --> 00:48:37.720]   but society isn't.
[00:48:37.720 --> 00:48:39.600]   I think it's really hard with art.
[00:48:39.600 --> 00:48:41.360]   I think it's really, really hard.
[00:48:41.360 --> 00:48:43.320]   Sometimes even if you have like,
[00:48:43.320 --> 00:48:45.440]   even if you have things that are not nude,
[00:48:45.440 --> 00:48:48.920]   if a child goes to your site, scrolls down some images,
[00:48:48.920 --> 00:48:52.040]   you know, classrooms of kids, you know, using our product,
[00:48:52.040 --> 00:48:53.640]   it's a really difficult problem.
[00:48:53.640 --> 00:48:57.040]   And it stretches mostly culture, society,
[00:48:57.040 --> 00:48:59.040]   politics, everything, yeah.
[00:48:59.040 --> 00:49:00.720]   - Okay.
[00:49:02.160 --> 00:49:06.880]   Another favorite topic of our listeners is UX and AI.
[00:49:06.880 --> 00:49:09.800]   And I think you're probably one of the best
[00:49:09.800 --> 00:49:12.040]   all-inclusive editors for these things.
[00:49:12.040 --> 00:49:14.680]   So you don't just have the, you know,
[00:49:14.680 --> 00:49:17.360]   prompt images come out, you pray,
[00:49:17.360 --> 00:49:19.240]   and now you do it again.
[00:49:19.240 --> 00:49:21.880]   First, you let people pick a seed
[00:49:21.880 --> 00:49:25.080]   so they can kind of have semi-repeatable generation.
[00:49:25.080 --> 00:49:28.840]   You also have, yeah, you can pick how many images,
[00:49:28.840 --> 00:49:31.280]   and then you leave all of them in the canvas,
[00:49:31.280 --> 00:49:33.720]   and then you have kind of like this box,
[00:49:33.720 --> 00:49:37.080]   the generation box, and you can even cross between them
[00:49:37.080 --> 00:49:39.040]   and outpaint, there's all these things.
[00:49:39.040 --> 00:49:41.920]   How did you get here?
[00:49:41.920 --> 00:49:43.800]   You know, most people are kind of like,
[00:49:43.800 --> 00:49:45.360]   give me text, I give you image.
[00:49:45.360 --> 00:49:47.680]   You know, you're like, these are all the tools for you.
[00:49:47.680 --> 00:49:50.200]   - Even though we were trying to make
[00:49:50.200 --> 00:49:52.600]   a graphics foundation model,
[00:49:52.600 --> 00:49:57.840]   I think we think that we're also trying to like re-imagine
[00:49:57.840 --> 00:49:59.680]   like what a graphics editor might look like
[00:49:59.680 --> 00:50:02.240]   given the change in technology.
[00:50:02.240 --> 00:50:06.160]   So, you know, I don't think we're trying to build Photoshop,
[00:50:06.160 --> 00:50:07.960]   but it's the only thing that we could say
[00:50:07.960 --> 00:50:10.000]   that people are, you know, largely familiar with.
[00:50:10.000 --> 00:50:11.520]   Oh, okay, there's Photoshop.
[00:50:11.520 --> 00:50:14.400]   I think, you know, I don't think you would think
[00:50:14.400 --> 00:50:16.840]   of Photoshop without like the, you know,
[00:50:16.840 --> 00:50:19.640]   you wouldn't think, what would Photoshop compare itself
[00:50:19.640 --> 00:50:22.040]   to pre-computer, I don't know, right?
[00:50:22.040 --> 00:50:24.440]   It's like, or kind of like a canvas,
[00:50:24.440 --> 00:50:26.360]   but, you know, there's these menu options,
[00:50:26.360 --> 00:50:28.520]   and you can use your mouse, what's a mouse?
[00:50:29.520 --> 00:50:31.640]   So I think that we're trying to make like,
[00:50:31.640 --> 00:50:32.600]   we're trying to re-imagine
[00:50:32.600 --> 00:50:34.120]   what a graphics editor might look like.
[00:50:34.120 --> 00:50:35.800]   Not just for the fun of it,
[00:50:35.800 --> 00:50:37.160]   but because we kind of have no choice.
[00:50:37.160 --> 00:50:39.560]   Like there's this idea in image generation
[00:50:39.560 --> 00:50:41.440]   where you can generate images.
[00:50:41.440 --> 00:50:42.760]   That's like a super weird thing.
[00:50:42.760 --> 00:50:44.440]   What is that in Photoshop, right?
[00:50:44.440 --> 00:50:46.920]   You have to wait right now for the time being,
[00:50:46.920 --> 00:50:50.600]   but the wait is worth it often for a lot of people
[00:50:50.600 --> 00:50:52.560]   because they can't make that with their own skills.
[00:50:52.560 --> 00:50:54.760]   So I think it goes back to, you know,
[00:50:54.760 --> 00:50:56.560]   how we started the company,
[00:50:56.560 --> 00:51:00.720]   which was kind of looking at GPT-3's Playground,
[00:51:00.720 --> 00:51:02.240]   that the reason why we're named Playground
[00:51:02.240 --> 00:51:04.120]   is a homage to that, actually.
[00:51:04.120 --> 00:51:06.480]   And, you know, it's like,
[00:51:06.480 --> 00:51:09.320]   shouldn't these products be more visual?
[00:51:09.320 --> 00:51:11.440]   Shouldn't, you know, shouldn't they,
[00:51:11.440 --> 00:51:15.080]   these prompt boxes are like a terminal window, right?
[00:51:15.080 --> 00:51:17.400]   We're kind of at this weird point where it's just like CLI.
[00:51:17.400 --> 00:51:18.400]   It's like MS-DOS.
[00:51:18.400 --> 00:51:20.400]   I remember my mom using MS-DOS,
[00:51:20.400 --> 00:51:23.160]   and I memorized the keywords, like D-I-R-L-S,
[00:51:23.160 --> 00:51:24.520]   all those things, right?
[00:51:24.520 --> 00:51:26.080]   It feels a little like we're there, right?
[00:51:26.080 --> 00:51:27.560]   Prompt engineering is just like--
[00:51:27.560 --> 00:51:29.480]   - The shirt I'm wearing, you know, it's a bug,
[00:51:29.480 --> 00:51:30.320]   not a feature.
[00:51:30.320 --> 00:51:31.160]   - Yeah, exactly.
[00:51:31.160 --> 00:51:33.120]   Parentheses to say beautiful or whatever,
[00:51:33.120 --> 00:51:37.160]   which waits the word token more in the model or whatever.
[00:51:37.160 --> 00:51:40.000]   Yeah, it's, that's like super strange.
[00:51:40.000 --> 00:51:42.880]   I think that's not, I think everybody,
[00:51:42.880 --> 00:51:45.240]   I think a large portion of humanity would agree
[00:51:45.240 --> 00:51:47.720]   that that's not user-friendly, right?
[00:51:47.720 --> 00:51:49.480]   So how do we think about the products
[00:51:49.480 --> 00:51:50.520]   to be more user-friendly?
[00:51:50.520 --> 00:51:52.000]   Well, sure, you know, sure it would be nice
[00:51:52.000 --> 00:51:53.680]   if I could like, you know,
[00:51:53.840 --> 00:51:56.360]   if I wanted to get rid of like the headphones on my head,
[00:51:56.360 --> 00:51:57.640]   you know, it'd be nice to mask it,
[00:51:57.640 --> 00:52:00.640]   and then say, you know, can you remove the headphones?
[00:52:00.640 --> 00:52:03.240]   You know, if I want to grow the, expand the image,
[00:52:03.240 --> 00:52:06.240]   it should, you know, how can we make that feel easier
[00:52:06.240 --> 00:52:09.320]   without typing lots of words and being really confused?
[00:52:09.320 --> 00:52:11.400]   And by no, by no stretch of the imagination,
[00:52:11.400 --> 00:52:14.480]   I don't even think we've nailed the UI/UX yet.
[00:52:14.480 --> 00:52:18.160]   Part of that is because we don't,
[00:52:18.160 --> 00:52:19.480]   we're still experimenting.
[00:52:19.480 --> 00:52:21.760]   And part of that is because the model
[00:52:21.760 --> 00:52:24.000]   and the technology is going to get better.
[00:52:24.000 --> 00:52:27.760]   And whatever felt like the right UX six months ago
[00:52:27.760 --> 00:52:29.600]   is going to feel very broken now.
[00:52:29.600 --> 00:52:34.920]   And so that's a little bit of how we got there,
[00:52:34.920 --> 00:52:37.120]   is kind of saying, does everything have to be
[00:52:37.120 --> 00:52:38.280]   like a prompt in a box?
[00:52:38.280 --> 00:52:39.960]   Or can we do, can we do things
[00:52:39.960 --> 00:52:42.080]   that make it very intuitive for users?
[00:52:42.080 --> 00:52:44.960]   - How do you decide what to give access to?
[00:52:44.960 --> 00:52:47.720]   So you have things like Expand Prompt,
[00:52:47.720 --> 00:52:51.280]   which Dali 3 just does, it doesn't let you decide
[00:52:51.280 --> 00:52:52.580]   whether you should or not.
[00:52:52.580 --> 00:52:55.560]   - As in like, rewrites your prompts for you.
[00:52:55.560 --> 00:52:56.400]   - Yeah.
[00:52:56.400 --> 00:52:59.920]   - Yeah, for that feature, I think we'll probably,
[00:52:59.920 --> 00:53:02.720]   I think once we get it to be cheaper,
[00:53:02.720 --> 00:53:03.760]   we'll probably just give it up,
[00:53:03.760 --> 00:53:04.840]   we'll probably just give it away.
[00:53:04.840 --> 00:53:07.600]   But we also decided something that,
[00:53:07.600 --> 00:53:08.760]   that might be a little bit different.
[00:53:08.760 --> 00:53:10.760]   We noticed that most of image generation
[00:53:10.760 --> 00:53:12.920]   is just like kind of casual.
[00:53:12.920 --> 00:53:14.840]   You know, it's in WhatsApp, it's, you know,
[00:53:14.840 --> 00:53:17.200]   it's in a Discord bot somewhere with Majorny,
[00:53:17.200 --> 00:53:19.240]   it's in ChatGPT.
[00:53:19.240 --> 00:53:21.480]   One of the differentiators I think we provide
[00:53:21.480 --> 00:53:26.480]   is at the expense of just lots of users necessarily,
[00:53:26.480 --> 00:53:29.800]   mainstream consumers, is that we provide as much like power
[00:53:29.800 --> 00:53:33.080]   and tweakability and configurability as possible.
[00:53:33.080 --> 00:53:35.000]   So the only reason why it's a toggle,
[00:53:35.000 --> 00:53:37.560]   because we know that users might want to use it
[00:53:37.560 --> 00:53:39.480]   and might not want to use it, right?
[00:53:39.480 --> 00:53:42.640]   There are some really powerful power user hobbyists
[00:53:42.640 --> 00:53:44.080]   that know what they're doing.
[00:53:44.080 --> 00:53:45.940]   And then there's a lot of people that,
[00:53:45.940 --> 00:53:49.120]   you know, just want something that looks cool,
[00:53:49.120 --> 00:53:50.080]   but they don't know how to prompt.
[00:53:50.080 --> 00:53:53.040]   And so I think a lot of Playground is more about
[00:53:53.040 --> 00:53:57.040]   going after that core user base that like knows,
[00:53:57.040 --> 00:53:59.160]   has a little bit more savviness
[00:53:59.160 --> 00:54:01.520]   and how to use these tools, yeah.
[00:54:01.520 --> 00:54:03.280]   So they might not use like these users probably,
[00:54:03.280 --> 00:54:04.360]   you know, the average Dell user
[00:54:04.360 --> 00:54:05.720]   is probably not going to use ControlNet.
[00:54:05.720 --> 00:54:08.360]   They probably don't even know what that is.
[00:54:08.360 --> 00:54:11.040]   And so I think that like, as the models get more powerful,
[00:54:11.040 --> 00:54:13.680]   as there's more tooling, yeah,
[00:54:13.680 --> 00:54:15.080]   I think you could imagine it,
[00:54:15.080 --> 00:54:17.040]   hopefully you'll imagine a new sort of
[00:54:17.040 --> 00:54:20.360]   AI first graphics editor that's
[00:54:20.360 --> 00:54:24.400]   just as like powerful and configurable as Photoshop.
[00:54:24.400 --> 00:54:27.360]   And you might have to master a new kind of tool.
[00:54:27.360 --> 00:54:28.720]   - Yeah, yeah, well.
[00:54:28.720 --> 00:54:33.640]   There's so many things I could bounce off of that.
[00:54:33.640 --> 00:54:35.820]   One, what you mentioned about waiting.
[00:54:35.820 --> 00:54:39.560]   We have to kind of somewhat address
[00:54:39.560 --> 00:54:40.760]   the elephant in the room.
[00:54:40.760 --> 00:54:45.640]   Consistency models have been blowing up the past month.
[00:54:45.640 --> 00:54:48.560]   Is that, like, how do you think about integrating that?
[00:54:48.560 --> 00:54:50.040]   Obviously there's a lot of other companies
[00:54:50.040 --> 00:54:52.960]   also trying to beat you to that space as well.
[00:54:52.960 --> 00:54:55.320]   - I think we were the first company to integrate it.
[00:54:55.320 --> 00:54:57.240]   Well, we integrated it in a different way.
[00:54:57.240 --> 00:54:58.600]   There are like 10 companies right now
[00:54:58.600 --> 00:55:00.880]   that have kind of tried to do like interactive editing
[00:55:00.880 --> 00:55:03.040]   where you can like draw on the left side
[00:55:03.040 --> 00:55:04.560]   and then you get an image on the right side.
[00:55:04.560 --> 00:55:06.480]   We decided to kind of like wait and see
[00:55:06.480 --> 00:55:09.160]   whether there's like true utility on that.
[00:55:09.160 --> 00:55:11.320]   We have a different feature that's like unique
[00:55:11.320 --> 00:55:15.520]   in our product that's called preview rendering.
[00:55:15.520 --> 00:55:18.760]   And so you go to the product and you say,
[00:55:18.760 --> 00:55:20.120]   we're like, what is the most common use case?
[00:55:20.120 --> 00:55:22.280]   The most common use case is you write a prompt
[00:55:22.280 --> 00:55:23.180]   and then you get an image.
[00:55:23.180 --> 00:55:24.960]   But what's the most annoying thing about that?
[00:55:24.960 --> 00:55:26.300]   The most annoying thing is like,
[00:55:26.300 --> 00:55:28.160]   it feels like a slot machine, right?
[00:55:28.160 --> 00:55:29.400]   You're like, okay, I'm gonna put it in
[00:55:29.400 --> 00:55:31.480]   and maybe I'll get something cool.
[00:55:31.480 --> 00:55:34.320]   So we did something that seemed a lot simpler
[00:55:34.320 --> 00:55:36.960]   but a lot more relevant to how users already use this
[00:55:36.960 --> 00:55:38.240]   product, which is preview rendering.
[00:55:38.240 --> 00:55:40.560]   You toggle it on and it will show you a render of the image.
[00:55:40.560 --> 00:55:44.840]   And then it's just like, graphics tools already have this.
[00:55:44.840 --> 00:55:47.480]   Like if you use Cinema 4D or After Effects or something,
[00:55:47.480 --> 00:55:49.600]   it's called viewport rendering.
[00:55:49.600 --> 00:55:52.280]   And so we try to take something that exists
[00:55:52.280 --> 00:55:54.200]   in the real world that has familiarity and say,
[00:55:54.200 --> 00:55:56.380]   okay, you're gonna get a rough sense
[00:55:56.380 --> 00:55:57.780]   of an early preview of this thing.
[00:55:57.780 --> 00:55:59.640]   And then when you're ready to generate,
[00:55:59.640 --> 00:56:01.720]   we're gonna try to be as coherent
[00:56:01.720 --> 00:56:03.440]   about that image that you saw.
[00:56:03.440 --> 00:56:05.300]   That way you're not spending so much time
[00:56:05.300 --> 00:56:08.900]   just like pulling down the slot machine lever.
[00:56:08.900 --> 00:56:11.160]   So we were actually the first company,
[00:56:11.160 --> 00:56:12.080]   I think we were the first company
[00:56:12.080 --> 00:56:16.160]   to actually ship a quick LCM thing, yeah.
[00:56:16.160 --> 00:56:17.000]   - Okay.
[00:56:17.000 --> 00:56:18.080]   (laughing)
[00:56:18.080 --> 00:56:19.120]   - We were very excited about it.
[00:56:19.120 --> 00:56:20.760]   So we shipped it very quick, yeah.
[00:56:20.760 --> 00:56:23.800]   - Yeah, I think like the other,
[00:56:23.800 --> 00:56:27.840]   well the demos I've been seeing it's also, I guess,
[00:56:27.840 --> 00:56:30.000]   it's not like a preview necessarily.
[00:56:30.000 --> 00:56:34.640]   They're almost using it to animate their generations,
[00:56:34.640 --> 00:56:36.240]   because you can kind of move shapes over.
[00:56:36.240 --> 00:56:37.840]   - Yeah, yeah, they're like doing it.
[00:56:37.840 --> 00:56:39.400]   They're like animating it,
[00:56:39.400 --> 00:56:41.520]   but they're sort of showing like if I move a moon,
[00:56:41.520 --> 00:56:42.640]   you know, can I, yeah.
[00:56:42.640 --> 00:56:43.960]   - Yeah, I don't know.
[00:56:43.960 --> 00:56:46.560]   To me it unlocks video in a way.
[00:56:46.560 --> 00:56:47.400]   - Yeah.
[00:56:47.400 --> 00:56:48.240]   - That--
[00:56:48.240 --> 00:56:49.480]   - But the video models are already
[00:56:49.480 --> 00:56:50.600]   so much better than that.
[00:56:50.600 --> 00:56:51.440]   Yeah, so.
[00:56:51.440 --> 00:56:53.440]   (laughing)
[00:56:53.440 --> 00:56:55.400]   - There's another one which I think is,
[00:56:55.400 --> 00:57:01.760]   like how about the just general ecosystem of Loras, right?
[00:57:01.760 --> 00:57:06.200]   That Civit is obviously the most popular repository of Loras.
[00:57:06.200 --> 00:57:09.680]   How do you think about sort of interacting
[00:57:09.680 --> 00:57:11.500]   with that ecosystem?
[00:57:11.500 --> 00:57:14.080]   - Yeah, I mean, the guy that did Lora,
[00:57:14.080 --> 00:57:15.280]   not the guy that invented Loras,
[00:57:15.280 --> 00:57:19.120]   but the person that brought Loras to Stable Diffusion
[00:57:19.120 --> 00:57:23.200]   actually works with us on some projects.
[00:57:23.200 --> 00:57:24.560]   His name is Simu.
[00:57:24.560 --> 00:57:26.360]   Shout out to Simu.
[00:57:26.360 --> 00:57:30.160]   And I think Loras are wonderful.
[00:57:30.160 --> 00:57:33.480]   Obviously fine tuning all these dream booth models
[00:57:33.480 --> 00:57:35.480]   and such, it's just so heavy.
[00:57:35.480 --> 00:57:38.240]   And giving, and it's obvious in our conversation
[00:57:38.240 --> 00:57:42.800]   around styles and vibes and it's very hard
[00:57:42.800 --> 00:57:44.860]   to evaluate the artistry of these things.
[00:57:44.860 --> 00:57:48.860]   Loras give people this wonderful opportunity
[00:57:48.860 --> 00:57:51.860]   to create sub-genres of art.
[00:57:51.860 --> 00:57:52.900]   And I think they're amazing.
[00:57:52.900 --> 00:57:54.880]   And so any graphics tool, any kind of thing
[00:57:54.880 --> 00:57:57.900]   that's expressing art has to provide
[00:57:57.900 --> 00:58:01.340]   some level of customization to its user base
[00:58:01.340 --> 00:58:04.980]   that goes beyond just typing Greg Rakowski in a prompt.
[00:58:04.980 --> 00:58:06.940]   Right, we have to give more than that.
[00:58:08.180 --> 00:58:11.200]   It's not like users want to type these real artist names.
[00:58:11.200 --> 00:58:12.960]   It's that they don't know how else to get an image
[00:58:12.960 --> 00:58:14.280]   that looks interesting.
[00:58:14.280 --> 00:58:16.720]   They truly want originality and uniqueness.
[00:58:16.720 --> 00:58:18.040]   And I think Loras provide that.
[00:58:18.040 --> 00:58:21.320]   And they provide it in a very nice scalable way.
[00:58:21.320 --> 00:58:24.040]   I hope that we find something even better than Loras
[00:58:24.040 --> 00:58:26.060]   in the long term.
[00:58:26.060 --> 00:58:31.000]   'Cause there are still weaknesses to Loras,
[00:58:31.000 --> 00:58:32.560]   but I think they do a good job for now.
[00:58:32.560 --> 00:58:34.440]   - Yeah, and so you don't want to be the,
[00:58:34.440 --> 00:58:36.320]   like you wouldn't ever compete with Civet.
[00:58:36.320 --> 00:58:37.920]   You would just kind of--
[00:58:37.920 --> 00:58:39.320]   - Civet's a site where like all these things
[00:58:39.320 --> 00:58:41.880]   get kind of hosted by the community, right?
[00:58:41.880 --> 00:58:43.960]   And so yeah, we'll often pull down
[00:58:43.960 --> 00:58:46.600]   like some of the best things there.
[00:58:46.600 --> 00:58:51.440]   I think when we have a significantly better model,
[00:58:51.440 --> 00:58:53.360]   we will certainly build something.
[00:58:53.360 --> 00:58:55.200]   - I see. - That gets closer to that.
[00:58:55.200 --> 00:58:57.080]   I still, again, I go back to saying just,
[00:58:57.080 --> 00:58:59.120]   I still think this is like very nascent.
[00:58:59.120 --> 00:59:00.920]   Things are very underpowered, right?
[00:59:00.920 --> 00:59:05.640]   Loras are not easy for people to train.
[00:59:05.640 --> 00:59:07.800]   You know, they're easy for an engineer,
[00:59:07.800 --> 00:59:10.160]   but they're not easy, you know,
[00:59:10.160 --> 00:59:11.920]   it sure would be nicer if I could just pick,
[00:59:11.920 --> 00:59:14.440]   you know, five or six reference images, right?
[00:59:14.440 --> 00:59:17.480]   And then say, hey, you know, this is,
[00:59:17.480 --> 00:59:19.080]   and they might even be five or six different
[00:59:19.080 --> 00:59:20.400]   reference images that are not,
[00:59:20.400 --> 00:59:22.200]   they're just very different, actually.
[00:59:22.200 --> 00:59:24.220]   Like they're, they communicate a style,
[00:59:24.220 --> 00:59:27.560]   but they're actually like, it's like a mood board, right?
[00:59:27.560 --> 00:59:30.480]   And it takes, you have to be kind of an engineer almost
[00:59:30.480 --> 00:59:32.120]   to train these Loras or go to some site
[00:59:32.120 --> 00:59:33.980]   and be technically savvy at least.
[00:59:33.980 --> 00:59:37.280]   It seems like it'd be much better if I could say,
[00:59:37.280 --> 00:59:38.500]   I love this style.
[00:59:38.500 --> 00:59:43.640]   I love this style, here are five images.
[00:59:43.640 --> 00:59:45.680]   And you tell the model, like, this is what I want.
[00:59:45.680 --> 00:59:48.320]   And the model gives you something that's very aligned
[00:59:48.320 --> 00:59:50.320]   with what your style is, what you're talking about.
[00:59:50.320 --> 00:59:52.400]   And it's a style you couldn't even communicate, right?
[00:59:52.400 --> 00:59:54.400]   There's no word, you know, this is,
[00:59:54.400 --> 00:59:56.040]   you know, if you have a Tron image, it's not just Tron,
[00:59:56.040 --> 00:59:57.980]   it's like Tron plus like four or five
[00:59:57.980 --> 00:59:59.480]   different weird things. - Cyberpunk, yeah.
[00:59:59.480 --> 01:00:03.360]   - Yeah, even cyberpunk can have its like sub-genre, right?
[01:00:03.360 --> 01:00:05.680]   But I just think training Loras and doing that
[01:00:05.680 --> 01:00:08.800]   is very heavy, so I hope we can do better than that.
[01:00:08.800 --> 01:00:09.640]   - Cool. - Yeah.
[01:00:09.640 --> 01:00:13.640]   - We have Sharif from Lexica on the podcast before.
[01:00:13.640 --> 01:00:14.600]   - Oh, nice.
[01:00:14.600 --> 01:00:17.360]   - Both of you have like a landing page
[01:00:17.360 --> 01:00:19.320]   with just a bunch of images
[01:00:19.320 --> 01:00:20.960]   where you can like explore things.
[01:00:20.960 --> 01:00:22.820]   - Yeah, yeah, we have a feed.
[01:00:22.820 --> 01:00:25.880]   - Yeah, yeah, is that something you see more and more of
[01:00:25.880 --> 01:00:27.660]   in terms of like coming up with these styles?
[01:00:27.660 --> 01:00:30.540]   Is that why you have that as the starting point
[01:00:30.540 --> 01:00:32.680]   versus a lot of other products, you just go in,
[01:00:32.680 --> 01:00:34.340]   you have the generation prompt,
[01:00:34.340 --> 01:00:36.160]   you don't see a lot of examples?
[01:00:36.160 --> 01:00:38.520]   - Our feed is a little different than their feed.
[01:00:38.520 --> 01:00:41.000]   Our feed is more about community.
[01:00:41.000 --> 01:00:43.800]   So we have kind of like a Reddit thing going on
[01:00:43.800 --> 01:00:47.200]   where it's a kind of a competition like every day,
[01:00:47.200 --> 01:00:49.640]   loose competition, mostly fun competition
[01:00:49.640 --> 01:00:51.460]   of like making things.
[01:00:51.460 --> 01:00:53.760]   And there's just this wonderful community of people
[01:00:53.760 --> 01:00:55.120]   where they're liking each other's images
[01:00:55.120 --> 01:00:58.440]   and just showing their genuine interest in each other.
[01:00:58.440 --> 01:01:01.700]   And I think we definitely learn about styles that way.
[01:01:01.700 --> 01:01:03.400]   One of the funniest polls,
[01:01:03.400 --> 01:01:06.640]   if you go to the Mid-Journey polls,
[01:01:06.640 --> 01:01:08.400]   they'll sometimes put these polls out and they'll say,
[01:01:08.400 --> 01:01:10.040]   you know, what do you wish you could like learn more from?
[01:01:10.040 --> 01:01:12.760]   And like one of the things that people vote the most for
[01:01:12.760 --> 01:01:16.080]   is like learning how to prompt, right?
[01:01:16.080 --> 01:01:17.520]   And so I think like, you know,
[01:01:17.520 --> 01:01:19.560]   if you put away your research hat for a minute
[01:01:19.560 --> 01:01:22.160]   and you just put on like your product hat for a second,
[01:01:22.160 --> 01:01:23.000]   you're kind of like, well,
[01:01:23.000 --> 01:01:25.400]   why do people want to learn how to prompt, right?
[01:01:25.400 --> 01:01:28.160]   It's because they want to get higher quality images.
[01:01:28.160 --> 01:01:29.600]   Well, what's higher quality composition,
[01:01:29.600 --> 01:01:32.660]   lighting, aesthetics, so on and so forth.
[01:01:32.660 --> 01:01:35.560]   And I think that the community on our feed,
[01:01:35.560 --> 01:01:38.300]   I think we might have the biggest community
[01:01:38.300 --> 01:01:43.300]   and it gives all of the users a way to learn how to prompt
[01:01:43.300 --> 01:01:47.300]   because they're just seeing this huge rising tide
[01:01:47.300 --> 01:01:49.980]   of all these images that are super cool and interesting
[01:01:49.980 --> 01:01:51.780]   and they can kind of like take each other's prompts
[01:01:51.780 --> 01:01:53.680]   and like kind of learn how to do that.
