
[00:00:00.000 --> 00:00:01.400]   I'm gonna take...
[00:57:35.040 --> 00:57:37.640]   like P is equal to this, Q is equal to this
[00:57:37.640 --> 00:57:41.760]   as a form of matrix multiplication like this.
[00:57:41.760 --> 00:57:45.240]   So if you have your input image flattened as A, B, C, D, E,
[00:57:45.240 --> 00:57:47.600]   F and so on,
[00:57:47.600 --> 00:57:49.840]   and you apply your first rule,
[00:57:49.840 --> 00:57:51.720]   'cause remember what was P like?
[00:57:51.720 --> 00:57:56.720]   P was alpha A, beta B, gamma D and delta E.
[00:57:57.680 --> 00:58:01.600]   So alpha A, beta B, gamma D, delta E.
[00:58:01.600 --> 00:58:03.600]   So what you can do is like at those positions,
[00:58:03.600 --> 00:58:06.320]   you can have those values, everywhere else can be zero.
[00:58:06.320 --> 00:58:08.680]   Same for Q, you could have it like this,
[00:58:08.680 --> 00:58:12.440]   same for R, same for S.
[00:58:12.440 --> 00:58:15.200]   So this gives you your PQRS.
[00:58:15.200 --> 00:58:17.560]   All this is saying,
[00:58:17.560 --> 00:58:20.320]   or like all this section of the book is saying is like,
[00:58:20.320 --> 00:58:23.400]   it is convolutions are just,
[00:58:23.400 --> 00:58:25.360]   this is just like,
[00:58:25.360 --> 00:58:28.320]   you can just look at convolutions as matrix multiplication,
[00:58:28.320 --> 00:58:30.960]   where there's like these bunch of zeros everywhere else.
[00:58:30.960 --> 00:58:34.280]   So the zeros actually are the untrainable things,
[00:58:34.280 --> 00:58:36.160]   like these are the things that you learn.
[00:58:36.160 --> 00:58:37.520]   So when I was saying like,
[00:58:37.520 --> 00:58:39.640]   you actually just learn these values,
[00:58:39.640 --> 00:58:41.600]   alpha, beta, gamma and delta.
[00:58:41.600 --> 00:58:42.760]   So remember until now,
[00:58:42.760 --> 00:58:44.760]   all we've looked at is kernels that are,
[00:58:44.760 --> 00:58:47.640]   that we define with values minus one, one and so on.
[00:58:47.640 --> 00:58:52.520]   In actual deep learning, when you're training your,
[00:58:52.520 --> 00:58:54.040]   when I keep saying actual deep learning,
[00:58:54.040 --> 00:58:56.320]   all I mean to say is like practical,
[00:58:56.320 --> 00:58:59.280]   when you implementation, when I say actual things,
[00:58:59.280 --> 00:59:01.680]   I just mean like the implementation of it.
[00:59:01.680 --> 00:59:04.480]   So when you're implementing things in PyTorch,
[00:59:04.480 --> 00:59:06.560]   all it is doing is like, you can look at this,
[00:59:06.560 --> 00:59:08.360]   it's just gonna train these,
[00:59:08.360 --> 00:59:11.120]   it's just gonna train the model to learn these four values,
[00:59:11.120 --> 00:59:12.720]   alpha, beta, gamma, delta.
[00:59:12.720 --> 00:59:14.040]   And then you can just look at that
[00:59:14.040 --> 00:59:16.560]   in terms of like a matrix multiplication operation,
[00:59:16.560 --> 00:59:19.160]   where everywhere else is zero, which is untrainable.
[00:59:19.160 --> 00:59:21.000]   So that's the point of this.
[00:59:21.000 --> 00:59:23.880]   That's just like a good point to see is this like,
[00:59:23.880 --> 00:59:27.440]   a different viewpoint of looking at things.
[00:59:27.440 --> 00:59:32.400]   Okay, before we move on to the first convolutional network.
[00:59:32.400 --> 00:59:34.400]   So actually I'm gonna go,
[00:59:34.400 --> 00:59:36.160]   today we're gonna wrap up 1.2
[00:59:36.160 --> 00:59:38.040]   and we're gonna go all about 1.3.
[00:59:38.040 --> 00:59:41.160]   So we're gonna cover until color images.
[00:59:41.160 --> 00:59:45.520]   From 1.4, so we'll be left with 1.4 for next section
[00:59:45.520 --> 00:59:47.520]   and that's gonna be fine.
[00:59:47.520 --> 00:59:49.360]   So we're gonna cover 1.4 next week
[00:59:49.360 --> 00:59:50.840]   and then straight after that,
[00:59:50.840 --> 00:59:53.120]   we're going to go into the first nets.
[00:59:53.120 --> 00:59:55.800]   So today then I'm just gonna cover the 1.3.
[00:59:55.800 --> 00:59:56.640]   So let me see,
[00:59:56.640 --> 01:00:00.400]   'cause I wanna cover things into more detail.
[01:00:00.400 --> 01:00:02.960]   So let me see if there's any questions.
[01:00:02.960 --> 01:00:03.800]   I'll figure it out.
[01:00:03.800 --> 01:00:06.760]   Kernel size doesn't really reduce image size
[01:00:06.760 --> 01:00:09.440]   nearly as much as strike does, only around the edges
[01:00:09.440 --> 01:00:12.080]   and kernel size would require
[01:00:12.080 --> 01:00:14.360]   memory intensive processes as well.
[01:00:14.360 --> 01:00:15.880]   Yes, that is correct.
[01:00:15.880 --> 01:00:18.080]   I'm so glad you're summarizing things
[01:00:18.080 --> 01:00:19.520]   better than I am Kevin.
[01:00:19.520 --> 01:00:22.200]   So that's really helpful to see.
[01:00:23.200 --> 01:00:24.800]   As I just said,
[01:00:24.800 --> 01:00:27.360]   I think of it as covering more of the image
[01:00:27.360 --> 01:00:28.200]   in a lot of stride.
[01:00:28.200 --> 01:00:31.240]   Thank you for agreeing with me.
[01:00:31.240 --> 01:00:38.720]   One of the formula I could click,
[01:00:38.720 --> 01:00:39.560]   the output size.
[01:00:39.560 --> 01:00:40.800]   Oh yes, that is correct.
[01:00:40.800 --> 01:00:45.800]   There's like, there's this Stanford CS231N.
[01:00:45.800 --> 01:00:51.040]   So I guess that's what you're referring to.
[01:00:51.040 --> 01:00:54.960]   So there's this introduction to convolutions, I guess.
[01:00:54.960 --> 01:00:57.400]   Sorry, let me just do a quick Google.
[01:00:57.400 --> 01:01:01.200]   Introduction to convolutions CS231N.
[01:01:01.200 --> 01:01:06.600]   I guess it's this one.
[01:01:06.600 --> 01:01:13.080]   So this is another course run by Stanford and Andrew Ng.
[01:01:13.080 --> 01:01:15.920]   And over here, there's like,
[01:01:15.920 --> 01:01:18.000]   everything that I've explained to you so far,
[01:01:18.000 --> 01:01:20.240]   you can like have formulas of like,
[01:01:20.240 --> 01:01:22.360]   oh, if the padding is gonna be two,
[01:01:22.360 --> 01:01:24.560]   if the stride is gonna be three,
[01:01:24.560 --> 01:01:27.080]   then what's the output size gonna be and all of that.
[01:01:27.080 --> 01:01:29.640]   I never look at the formulas,
[01:01:29.640 --> 01:01:31.280]   but some people like to,
[01:01:31.280 --> 01:01:32.840]   so it could be very helpful.
[01:01:32.840 --> 01:01:36.080]   I'm not saying like one approach is better than the other,
[01:01:36.080 --> 01:01:37.440]   but I think this is the place.
[01:01:37.440 --> 01:01:41.200]   So I just wanna also show everybody
[01:01:41.200 --> 01:01:42.080]   who's doing fast book,
[01:01:42.080 --> 01:01:43.840]   like there's these other resources as well
[01:01:43.840 --> 01:01:45.360]   that are really, really nice.
[01:01:45.360 --> 01:01:48.040]   So let me just post it in the discussion thread.
[01:01:49.040 --> 01:01:51.960]   (mouse clicking)
[01:01:51.960 --> 01:01:54.200]   All right, I guess it's that one.
[01:01:54.200 --> 01:02:00.720]   Cool, so now let's just go and create our first CNN.
[01:02:00.720 --> 01:02:03.160]   Somebody was typing,
[01:02:03.160 --> 01:02:07.000]   I'm just interested in if that's a question.
[01:02:07.000 --> 01:02:08.640]   Anyway, okay, I'll move on.
[01:02:14.480 --> 01:02:17.760]   So remember, all of this we're doing,
[01:02:17.760 --> 01:02:20.840]   we've just understood how kernels get applied,
[01:02:20.840 --> 01:02:22.600]   what the shape of the kernels are,
[01:02:22.600 --> 01:02:24.440]   how does the shape of the input change
[01:02:24.440 --> 01:02:25.400]   when the shape of,
[01:02:25.400 --> 01:02:27.080]   depending on the stride and the padding
[01:02:27.080 --> 01:02:29.240]   and the kernel size.
[01:02:29.240 --> 01:02:31.760]   But the main idea of like,
[01:02:31.760 --> 01:02:33.640]   this is all helpful to know,
[01:02:33.640 --> 01:02:34.920]   but actually what we want to do
[01:02:34.920 --> 01:02:36.240]   is we want to create a CNN
[01:02:36.240 --> 01:02:39.120]   and we want to learn the convolutional network, right?
[01:02:39.120 --> 01:02:40.800]   To do some tasks.
[01:02:40.800 --> 01:02:43.640]   So we're coming back to that problem in this section.
[01:02:44.600 --> 01:02:46.840]   Remember our task that we were trying to do
[01:02:46.840 --> 01:02:50.280]   was basically trying to classify input images
[01:02:50.280 --> 01:02:52.480]   and the input images were DLs.
[01:02:52.480 --> 01:02:56.680]   We have DLs defined?
[01:02:56.680 --> 01:02:57.520]   Yeah, we did.
[01:02:57.520 --> 01:03:02.280]   And the input images were these.
[01:03:02.280 --> 01:03:04.080]   You had threes and sevens.
[01:03:04.080 --> 01:03:05.520]   So all we're trying to do right now
[01:03:05.520 --> 01:03:07.800]   is we're gonna classify threes from sevens.
[01:03:07.800 --> 01:03:10.200]   So remember from MNIST chapter,
[01:03:10.200 --> 01:03:13.400]   we defined like a simple neural net like this.
[01:03:13.400 --> 01:03:15.920]   In this case, let's replace that
[01:03:15.920 --> 01:03:17.720]   and let's define a simple neural net
[01:03:17.720 --> 01:03:19.600]   using convolution operations.
[01:03:19.600 --> 01:03:22.480]   So the first operation is a convolution operation
[01:03:22.480 --> 01:03:25.160]   that takes a one channel input.
[01:03:25.160 --> 01:03:26.800]   So now you know how to read this.
[01:03:26.800 --> 01:03:29.280]   Excuse me.
[01:03:29.280 --> 01:03:31.440]   So it takes one channel inputs.
[01:03:31.440 --> 01:03:37.600]   You have 30 kernels or basically 30 kernels for each
[01:03:37.600 --> 01:03:39.720]   of those, each of the,
[01:03:39.720 --> 01:03:42.680]   you have 30 kernels for each image.
[01:03:42.680 --> 01:03:44.880]   Your kernel size is three by three
[01:03:44.880 --> 01:03:46.160]   and your padding is one.
[01:03:46.160 --> 01:03:47.560]   So what does that look like?
[01:03:47.560 --> 01:03:53.920]   Your input image, oh, sorry.
[01:03:53.920 --> 01:03:57.920]   Your input image is single channel
[01:03:57.920 --> 01:03:59.880]   and I think it's 28 by 28.
[01:03:59.880 --> 01:04:03.760]   So we know that from the input and you have 30 kernels.
[01:04:03.760 --> 01:04:08.760]   So these are 30 of them, 30 kernels of size three by three
[01:04:09.720 --> 01:04:14.240]   padding around this is one and stride is one.
[01:04:14.240 --> 01:04:15.080]   So that's fine.
[01:04:15.080 --> 01:04:17.080]   So padding around this is one.
[01:04:17.080 --> 01:04:20.200]   So the output is also going to be 28 by 28
[01:04:20.200 --> 01:04:22.240]   but 30 by 28 by 28.
[01:04:22.240 --> 01:04:26.360]   So let me explain what I'm trying to say.
[01:04:26.360 --> 01:04:29.400]   So if you just take this,
[01:04:29.400 --> 01:04:32.560]   one equals this.
[01:04:36.120 --> 01:04:40.000]   So my input shape is 64 by one by 28 by 28
[01:04:40.000 --> 01:04:42.440]   which is just representing this one image.
[01:04:42.440 --> 01:04:43.400]   So if I go
[01:04:43.400 --> 01:04:46.200]   con
[01:04:46.200 --> 01:04:48.480]   XP
[01:04:48.480 --> 01:04:51.000]   dot shape.
[01:04:51.000 --> 01:04:56.440]   As you can see, now my output is 64 by 30 by 28 by 28.
[01:04:56.440 --> 01:04:59.040]   But then see what this CNN does.
[01:04:59.040 --> 01:05:02.840]   It first goes from one channel to 30 channels
[01:05:02.840 --> 01:05:05.480]   and then it's going back from 30 channels to one channel.
[01:05:05.480 --> 01:05:07.880]   So how would you read this convolution operation?
[01:05:07.880 --> 01:05:11.600]   You would say, okay, remember now my output.
[01:05:11.600 --> 01:05:13.640]   So the output from this is
[01:05:13.640 --> 01:05:18.520]   the output from the first convolution operation channel
[01:05:18.520 --> 01:05:21.320]   looks something like this, right?
[01:05:21.320 --> 01:05:24.240]   So you have still 28 by 28
[01:05:24.240 --> 01:05:26.960]   but you have 30 such channels now.
[01:05:26.960 --> 01:05:28.400]   So this is the output.
[01:05:28.400 --> 01:05:32.160]   And then to this, we apply the second convolution operation
[01:05:32.160 --> 01:05:35.040]   which says for the second convolution operation
[01:05:35.040 --> 01:05:39.120]   we have a kernel size of input channels 30.
[01:05:39.120 --> 01:05:42.880]   So remember, this is my first con.
[01:05:42.880 --> 01:05:46.560]   This is my second con.
[01:05:46.560 --> 01:05:50.640]   This is my out
[01:05:50.640 --> 01:05:54.520]   from the first con.
[01:05:54.520 --> 01:05:57.120]   This is the out one.
[01:05:57.120 --> 01:05:57.960]   Okay.
[01:05:57.960 --> 01:06:00.840]   So then the second convolution is saying,
[01:06:01.680 --> 01:06:06.200]   hey, PyTorch, please apply a convolution of 30 input channels
[01:06:06.200 --> 01:06:08.400]   and then have just one such filter.
[01:06:08.400 --> 01:06:10.160]   So what's that gonna do?
[01:06:10.160 --> 01:06:13.400]   When you apply this to this,
[01:06:13.400 --> 01:06:16.280]   you're going to get a single output, right?
[01:06:16.280 --> 01:06:19.200]   'Cause it's gonna apply these 30 channels, 30 channels
[01:06:19.200 --> 01:06:20.480]   and then it's gonna apply,
[01:06:20.480 --> 01:06:24.560]   and then it's gonna apply, sorry, the kernel size is three.
[01:06:24.560 --> 01:06:26.000]   So you get output off.
[01:06:26.000 --> 01:06:31.560]   You just get the output of like this, 28 by 28.
[01:06:31.560 --> 01:06:33.800]   So for each position, when this gets applied,
[01:06:33.800 --> 01:06:35.640]   'cause this is three by three,
[01:06:35.640 --> 01:06:38.400]   so you have like being applied three by three,
[01:06:38.400 --> 01:06:42.240]   then to this point, three by three, so on, so on, so on,
[01:06:42.240 --> 01:06:44.040]   you get the output of 28 by 28.
[01:06:44.040 --> 01:06:47.840]   Correct?
[01:06:47.840 --> 01:06:49.440]   That's what this things look like.
[01:06:49.440 --> 01:06:50.280]   Oh, look at that.
[01:06:50.280 --> 01:06:52.720]   And exactly, that's it.
[01:06:52.720 --> 01:06:57.200]   I swear when I was going through this notebook,
[01:06:57.200 --> 01:07:00.080]   I didn't think of the output shapes in such detail
[01:07:00.080 --> 01:07:03.160]   and I never thought that I would explain this chapter
[01:07:03.160 --> 01:07:04.520]   by like drawing these things
[01:07:04.520 --> 01:07:07.880]   or like looking at the input shapes and output shapes.
[01:07:07.880 --> 01:07:11.560]   But now that this whole operation of like this broken CNN
[01:07:11.560 --> 01:07:13.560]   can now be represented by this image.
[01:07:13.560 --> 01:07:15.600]   And I hope it makes sense
[01:07:15.600 --> 01:07:19.600]   as to why the output is 64 by one by 28 by 28.
[01:07:19.600 --> 01:07:21.840]   So...
[01:07:21.840 --> 01:07:28.720]   Okay, so I hope that this makes sense
[01:07:28.720 --> 01:07:31.440]   that the output is 64 by one by 28 by 28.
[01:07:31.440 --> 01:07:33.160]   In case it's unclear, let me know.
[01:07:33.160 --> 01:07:36.320]   So let's leave it at that.
[01:07:36.320 --> 01:07:38.640]   So what you can do is, this is just refactoring,
[01:07:38.640 --> 01:07:40.920]   like you can just define a conf operation
[01:07:40.920 --> 01:07:42.720]   that takes in some number of input filters
[01:07:42.720 --> 01:07:44.320]   and says number of output filters.
[01:07:44.320 --> 01:07:46.640]   So you don't have to like define convolution like this.
[01:07:46.640 --> 01:07:48.400]   You could just say conf,
[01:07:48.400 --> 01:07:51.320]   you could say something like conf number input filters is 30,
[01:07:51.320 --> 01:07:54.120]   output filters is 30.
[01:07:54.120 --> 01:07:56.680]   So that would define this.
[01:07:56.680 --> 01:07:58.600]   Sorry, this is doing forward, don't worry about it.
[01:07:58.600 --> 01:08:00.640]   But all I'm trying to say is like,
[01:08:00.640 --> 01:08:05.640]   all this is doing is just creating like this,
[01:08:05.640 --> 01:08:07.840]   is first it's creating a convolution
[01:08:07.840 --> 01:08:10.400]   and then it's just returning my result.
[01:08:10.400 --> 01:08:13.960]   So, sorry, actually what it is doing is like,
[01:08:13.960 --> 01:08:18.320]   it's creating my convolution, adding value on top.
[01:08:18.320 --> 01:08:19.560]   Fair enough.
[01:08:19.560 --> 01:08:24.560]   So then why did it say, what if I go one by three?
[01:08:24.560 --> 01:08:25.880]   Oh yeah, that's fine.
[01:08:25.880 --> 01:08:27.720]   I hadn't defined it properly.
[01:08:28.240 --> 01:08:32.880]   So I could just, this is just the convenience of like,
[01:08:32.880 --> 01:08:35.560]   instead of writing conf to the end value,
[01:08:35.560 --> 01:08:38.320]   you could define these two things in this function.
[01:08:38.320 --> 01:08:41.880]   So if I say my input channel is one, output channel is 30,
[01:08:41.880 --> 01:08:43.560]   it just defines this sequential.
[01:08:43.560 --> 01:08:45.400]   So this is just a PyTorch convenience.
[01:08:45.400 --> 01:08:48.600]   So now I could define my simple CNN.
[01:08:48.600 --> 01:08:51.120]   Sequential just means like you apply operations
[01:08:51.120 --> 01:08:53.000]   one by one by one.
[01:08:53.000 --> 01:08:56.080]   So this con is just going from like single input channel
[01:08:56.080 --> 01:08:59.360]   to four, 'cause you have four kernels that get applied.
[01:08:59.360 --> 01:09:01.000]   Then it's going from four to eight,
[01:09:01.000 --> 01:09:03.800]   it's going from eight to 16 and so on.
[01:09:03.800 --> 01:09:06.120]   And remember in each of these places,
[01:09:06.120 --> 01:09:08.440]   you have a padding of one.
[01:09:08.440 --> 01:09:11.640]   So that's completely fine.
[01:09:11.640 --> 01:09:13.600]   So then you start and this just shows like
[01:09:13.600 --> 01:09:15.520]   what the output shapes are going to be.
[01:09:15.520 --> 01:09:17.480]   I'm not going to go into like the details
[01:09:17.480 --> 01:09:19.880]   of why the output shape is 14 by 14.
[01:09:19.880 --> 01:09:21.800]   I leave this as an exercise.
[01:09:21.800 --> 01:09:22.960]   So please come back.
[01:09:22.960 --> 01:09:24.960]   This is something you should do is like,
[01:09:25.960 --> 01:09:28.280]   oh, can you please explain how we go from 30 filters?
[01:09:28.280 --> 01:09:30.040]   I will do Kevin, just give me a one sec
[01:09:30.040 --> 01:09:32.000]   and I will go back to that.
[01:09:32.000 --> 01:09:35.440]   But one thing I do want to say is like as exercise,
[01:09:35.440 --> 01:09:39.000]   please come back to this forum and do something like this.
[01:09:39.000 --> 01:09:40.560]   For each of these operations,
[01:09:40.560 --> 01:09:43.360]   now I've told you how to like look at the output shapes
[01:09:43.360 --> 01:09:44.600]   and the input shapes.
[01:09:44.600 --> 01:09:46.200]   Please for each of these things,
[01:09:46.200 --> 01:09:51.000]   draw a drawing like this or like even on a piece of paper
[01:09:51.000 --> 01:09:54.800]   and then look why the output size is 14 by 14
[01:09:54.800 --> 01:09:57.040]   or look at it why the output size is seven by seven
[01:09:57.040 --> 01:09:58.560]   or four by four and so on.
[01:09:58.560 --> 01:10:02.960]   So we can define, Kevin, I'm going to come back to that
[01:10:02.960 --> 01:10:05.560]   just in a second, let me just wrap this up.
[01:10:05.560 --> 01:10:08.720]   So I'm just define, I define my simple CNN like this,
[01:10:08.720 --> 01:10:11.480]   which is just like the sequential of convolution operations
[01:10:11.480 --> 01:10:13.320]   followed by a value.
[01:10:13.320 --> 01:10:17.400]   So when I apply that to my input, I get this output 64 by two
[01:10:17.400 --> 01:10:19.760]   'cause remember the output is saying output channels
[01:10:19.760 --> 01:10:21.440]   of two by two.
[01:10:21.440 --> 01:10:24.600]   Finally, we can use the simple CNN in our learner.
[01:10:24.600 --> 01:10:27.480]   So this is just like the first lecture,
[01:10:27.480 --> 01:10:29.920]   you just have your learner, you have your data loader,
[01:10:29.920 --> 01:10:32.800]   you pass this in and you say, show me the learned on
[01:10:32.800 --> 01:10:35.520]   summary, so this is what my model looks like.
[01:10:35.520 --> 01:10:37.080]   And then you can say fit.
[01:10:37.080 --> 01:10:43.160]   And you see the accuracy is 0.99.
[01:10:43.160 --> 01:10:50.040]   So all we've done in this part is we've actually just
[01:10:50.040 --> 01:10:54.360]   created a convolution neural network from scratch.
[01:10:54.360 --> 01:10:56.240]   So what is a convolution neural network?
[01:10:56.240 --> 01:10:59.520]   It's just a network or a neural network that has convolution
[01:10:59.520 --> 01:11:01.520]   followed by some non-linearity.
[01:11:01.520 --> 01:11:04.320]   So see, in this case, we could classify,
[01:11:04.320 --> 01:11:06.640]   this is a big moment, like don't,
[01:11:06.640 --> 01:11:09.600]   I think I want to highlight how big of a moment this is.
[01:11:09.600 --> 01:11:13.000]   For everybody, each one of us,
[01:11:13.000 --> 01:11:17.160]   when we started our Fastbook journeys from the scratch,
[01:11:17.160 --> 01:11:21.080]   we just use things like ResNet,
[01:11:21.080 --> 01:11:23.440]   or we use things that were part of the learner.
[01:11:23.440 --> 01:11:26.080]   We never built a model architecture from scratch.
[01:11:26.080 --> 01:11:28.400]   So in this case, what we've done,
[01:11:28.400 --> 01:11:30.880]   even though it's a very simple, simple CNN, right?
[01:11:30.880 --> 01:11:32.520]   It's baby steps.
[01:11:32.520 --> 01:11:36.360]   But what we have done is we created our very first
[01:11:36.360 --> 01:11:39.480]   convolution neural network to do classification,
[01:11:39.480 --> 01:11:42.680]   and it can classify threes from,
[01:11:42.680 --> 01:11:44.960]   handwritten digit threes from sevens
[01:11:44.960 --> 01:11:47.440]   with a 99.11 accuracy.
[01:11:47.440 --> 01:11:50.640]   So I say well done to everybody who's followed me till here.
[01:11:50.640 --> 01:11:53.240]   So I think that's a really, really good step.
[01:11:53.240 --> 01:11:56.280]   And this is something to be proud of
[01:11:56.280 --> 01:11:59.240]   when we finish our chapter today.
[01:11:59.240 --> 01:12:02.040]   So now I'm going to go back to this point of like,
[01:12:02.040 --> 01:12:04.840]   can you explain how we go from 30 filters to one filter?
[01:12:04.840 --> 01:12:15.640]   So we're going back up.
[01:12:15.640 --> 01:12:17.800]   So remember we created like this small CNN,
[01:12:17.800 --> 01:12:20.800]   which looked like this, and I passed in my input.
[01:12:21.880 --> 01:12:24.160]   The first convolution operation
[01:12:24.160 --> 01:12:27.880]   had 30 kernels of one channel.
[01:12:27.880 --> 01:12:31.720]   So you have your input looks like this,
[01:12:31.720 --> 01:12:34.560]   one by 28 by 28, right?
[01:12:34.560 --> 01:12:35.800]   This is my input.
[01:12:35.800 --> 01:12:37.400]   And you have 30 kernels.
[01:12:37.400 --> 01:12:40.720]   So you have 30 kernels of three by three size.
[01:12:40.720 --> 01:12:45.480]   What we're doing is we're applying these 30 kernels,
[01:12:45.480 --> 01:12:48.520]   so your output becomes 30 by 28 by 28,
[01:12:48.520 --> 01:12:50.800]   'cause you had a padding of one, correct?
[01:12:50.800 --> 01:12:54.760]   So this is what my output looks like, 28 by 28,
[01:12:54.760 --> 01:12:56.000]   but 30 such things.
[01:12:56.000 --> 01:12:56.840]   So each of these,
[01:12:56.840 --> 01:13:00.080]   so it becomes like a 30 channel block, right?
[01:13:00.080 --> 01:13:05.960]   Now, my kernel in this second part was,
[01:13:05.960 --> 01:13:10.680]   it said the number of input channels is 30.
[01:13:10.680 --> 01:13:14.560]   I want one such kernel.
[01:13:14.560 --> 01:13:17.240]   So even though PyTorch calls this like out channels,
[01:13:17.240 --> 01:13:20.400]   I kind of look at it as the number of kernels.
[01:13:20.400 --> 01:13:23.080]   And the kernel size is three.
[01:13:23.080 --> 01:13:27.400]   So this is, let me make this smaller.
[01:13:27.400 --> 01:13:33.720]   So it's like this, right?
[01:13:33.720 --> 01:13:37.440]   You have 30 channels, three by three, correct?
[01:13:37.440 --> 01:13:40.400]   And then this kernel will get applied
[01:13:40.400 --> 01:13:43.360]   to the similar like a convolution operation here.
[01:13:43.360 --> 01:13:45.600]   So when this is being applied,
[01:13:45.600 --> 01:13:49.080]   it will start at a position over here like this,
[01:13:49.080 --> 01:13:51.800]   then it will move on to this, then so on like this.
[01:13:51.800 --> 01:13:54.120]   But remember now, instead of like my input
[01:13:54.120 --> 01:13:56.520]   being one channel, this is 30 channels.
[01:13:56.520 --> 01:14:00.480]   So the first time this kernel gets applied,
[01:14:00.480 --> 01:14:03.200]   let's say it's at the top left position,
[01:14:03.200 --> 01:14:05.000]   it's going to look like this, right?
[01:14:05.000 --> 01:14:08.880]   So it's going to get applied to the input image
[01:14:08.880 --> 01:14:12.200]   of 30 channels, and then this is 30 by three by three
[01:14:12.200 --> 01:14:13.040]   as well.
[01:14:13.040 --> 01:14:14.400]   So when you apply this whole thing,
[01:14:14.400 --> 01:14:16.680]   just don't worry about the depth.
[01:14:16.680 --> 01:14:17.800]   When you apply this whole thing,
[01:14:17.800 --> 01:14:20.440]   you're going to get output, which is one number.
[01:14:20.440 --> 01:14:24.800]   Does that make sense, Kevin?
[01:14:24.800 --> 01:14:26.600]   You're going to get an output of one number
[01:14:26.600 --> 01:14:28.640]   because the kernel has 30 channels.
[01:14:28.640 --> 01:14:31.600]   It's applying and doing the sum
[01:14:31.600 --> 01:14:34.720]   of like all those 30 channels all at once.
[01:14:34.720 --> 01:14:36.440]   So you get one number output.
[01:14:36.440 --> 01:14:38.080]   And because this kernel gets applied
[01:14:38.080 --> 01:14:40.760]   at like all these 28 by 28 positions,
[01:14:40.760 --> 01:14:45.760]   your output is a single channel, 28 by 28.
[01:14:45.760 --> 01:14:48.760]   (keyboard clicking)
[01:14:48.760 --> 01:14:51.280]   Could you...
[01:14:51.280 --> 01:14:54.000]   (keyboard clicking)
[01:14:54.000 --> 01:14:56.320]   Oh, how do we determine if it's a three or seven?
[01:14:56.320 --> 01:15:01.080]   Oh, in this case, this was like a broken CNN.
[01:15:01.080 --> 01:15:03.240]   This is, we're not using this for training
[01:15:03.240 --> 01:15:04.520]   for threes and sevens.
[01:15:04.520 --> 01:15:08.240]   What we're using for training is this simple CNN, right?
[01:15:08.240 --> 01:15:10.840]   So this was just a small CNN that we created.
[01:15:10.840 --> 01:15:14.240]   I just want to, this was just to like show
[01:15:14.240 --> 01:15:15.880]   like what exactly is going on
[01:15:15.880 --> 01:15:18.040]   and just to show input shapes and output shapes
[01:15:18.040 --> 01:15:20.560]   if you apply this to your input.
[01:15:20.560 --> 01:15:23.200]   But this is not the model that we use for,
[01:15:23.200 --> 01:15:25.200]   this is not the model that we use for learning.
[01:15:25.200 --> 01:15:30.200]   For the exact same reason, like the output is one filter.
[01:15:30.200 --> 01:15:33.160]   Like how are we classifying the threes and sevens?
[01:15:33.160 --> 01:15:34.280]   We are not.
[01:15:34.280 --> 01:15:38.960]   So we use this simple CNN that has an output of two.
[01:15:38.960 --> 01:15:41.000]   Okay, so then these becomes your probabilities.
[01:15:41.000 --> 01:15:45.400]   So just saying we're using simple CNN.
[01:15:45.400 --> 01:15:49.440]   All right, I think I will stop here
[01:15:49.440 --> 01:15:51.920]   even though I wanted to finish to 1.3.
[01:15:51.920 --> 01:15:55.920]   I will stop here.
[01:15:55.920 --> 01:16:01.360]   And when you go back, I think this week,
[01:16:01.360 --> 01:16:03.120]   'cause it's already time.
[01:16:03.120 --> 01:16:06.760]   When you go back this week, then do this, do the following.
[01:16:06.760 --> 01:16:08.600]   And you will really feel like
[01:16:09.880 --> 01:16:11.160]   you've learned a lot from this,
[01:16:11.160 --> 01:16:13.360]   from the exercise that I'm about to tell you.
[01:16:13.360 --> 01:16:14.280]   So do this.
[01:16:14.280 --> 01:16:17.400]   When you go back, just have a look at this simple CNN.
[01:16:17.400 --> 01:16:22.800]   Like I'm drawing these images for, to explain like
[01:16:22.800 --> 01:16:25.000]   when I had an input of 28 by 28,
[01:16:25.000 --> 01:16:28.280]   then why does the output have one filter and so on?
[01:16:28.280 --> 01:16:32.160]   Like I draw the output of using this broken CNN.
[01:16:32.160 --> 01:16:34.520]   You do the same thing for this simple CNN.
[01:16:34.520 --> 01:16:39.080]   So go back and figure out why the output is 64 by two.
[01:16:39.080 --> 01:16:44.040]   Okay, I want somebody to post in the forums
[01:16:44.040 --> 01:16:48.800]   and just say like why the output is 64 by two, okay?
[01:16:48.800 --> 01:16:54.840]   And we will get back to the RGB.
[01:16:54.840 --> 01:16:58.520]   I'm so sorry, Vinayak, I kept saying we're also,
[01:16:58.520 --> 01:16:59.360]   oh, that's correct.
[01:16:59.360 --> 01:17:00.280]   Yes, you've got it though.
[01:17:00.280 --> 01:17:02.440]   I won't explain it now, but you've got it.
[01:17:02.440 --> 01:17:04.080]   That's a good understanding.
[01:17:04.080 --> 01:17:05.400]   I'm sorry, Vinayak, I kept saying
[01:17:05.400 --> 01:17:07.400]   we're gonna look at RGB later, later, later,
[01:17:07.400 --> 01:17:11.760]   but we're out of time and we're gonna look at RGB next week.
[01:17:11.760 --> 01:17:14.840]   So thanks everybody for joining me
