
[00:00:00.500 --> 00:00:01.920]   - Good afternoon.
[00:57:11.660 --> 00:57:13.500]   This one is not only the Lord of heaven,
[00:57:13.500 --> 00:57:15.000]   the Lord of earth, exalted and equal,
[00:57:15.000 --> 00:57:17.300]   all victory, all people, all worship belonging to him,
[00:57:17.300 --> 00:57:18.300]   but he has it forever.
[00:57:18.300 --> 00:57:19.740]   He is king forever.
[00:57:19.740 --> 00:57:22.520]   Notice his dominion is an everlasting dominion
[00:57:22.520 --> 00:57:25.260]   which will not be taken away unlike all the other kings.
[00:57:25.260 --> 00:57:27.380]   And furthermore, his kingdom is one
[00:57:27.380 --> 00:57:29.400]   which will not be destroyed.
[00:57:29.400 --> 00:57:32.640]   Every other king, his kingdom just goes
[00:57:32.640 --> 00:57:35.260]   into the history books to be forgotten
[00:57:35.260 --> 00:57:37.940]   unless a history teacher brings it up to you
[00:57:37.940 --> 00:57:39.520]   and examines you on it.
[00:57:39.520 --> 00:57:43.860]   But with Christ, we will never have just memories
[00:57:43.860 --> 00:57:44.860]   of his kingdom.
[00:57:44.860 --> 00:57:48.660]   It will be the everlasting in your face reality
[00:57:48.660 --> 00:57:50.900]   that celebrates him for forever
[00:57:50.900 --> 00:57:55.180]   because his kingdom endures over all and forever.
[00:57:55.180 --> 00:57:57.860]   This is what this vision reveals.
[00:57:57.860 --> 00:58:00.180]   And when you are the Lord of heaven
[00:58:00.180 --> 00:58:02.980]   and the Lord of earth, exalted and equal,
[00:58:02.980 --> 00:58:05.900]   having all victory, all people, all worship,
[00:58:05.900 --> 00:58:08.720]   you are a king forever and your kingdom is forever.
[00:58:08.720 --> 00:58:11.160]   When you are the one who is all in all
[00:58:11.160 --> 00:58:14.580]   and everything and everywhere and every way
[00:58:14.580 --> 00:58:19.580]   and eternally, then you are the only one who is worthy.
[00:58:19.580 --> 00:58:21.000]   That's the truth of it.
[00:58:21.000 --> 00:58:24.680]   And what has happened is heaven has posed a question
[00:58:24.680 --> 00:58:27.440]   to earth, who is the one who has been worthy?
[00:58:27.440 --> 00:58:29.440]   Who is the one who is the final Adam?
[00:58:29.440 --> 00:58:31.800]   And all of earth history has been on a search
[00:58:31.800 --> 00:58:33.840]   for this individual, but in the end,
[00:58:33.840 --> 00:58:36.800]   heaven will declare to earth that there is only one.
[00:58:36.800 --> 00:58:38.920]   There is only one who is Lord of heaven.
[00:58:38.920 --> 00:58:40.920]   There is only one who is Lord of earth.
[00:58:40.920 --> 00:58:43.160]   There is only one who is exalted.
[00:58:43.160 --> 00:58:45.160]   There is only one who is equal to God.
[00:58:45.160 --> 00:58:47.040]   There is only one who has all victory,
[00:58:47.040 --> 00:58:49.680]   all peoples, all worship, who is king forever
[00:58:49.680 --> 00:58:51.120]   and his kingdom is forever.
[00:58:51.120 --> 00:58:55.780]   And that one is the Lord Jesus Christ.
[00:58:55.780 --> 00:58:58.280]   There is a moment we are waiting for.
[00:58:58.280 --> 00:59:02.240]   And we love that moment because it is all about Christ
[00:59:02.240 --> 00:59:05.480]   and we love him.
[00:59:05.480 --> 00:59:08.520]   That's why that moment matters so much to us.
[00:59:08.520 --> 00:59:10.560]   And brothers, in light of that,
[00:59:10.560 --> 00:59:15.440]   there is always a temptation in ministry to promote ourselves.
[00:59:15.440 --> 00:59:17.960]   That we feel like we're the guru,
[00:59:17.960 --> 00:59:19.600]   we're the center of everything.
[00:59:19.600 --> 00:59:23.920]   People have to come to us because we're just that central.
[00:59:23.920 --> 00:59:28.640]   And we want to believe that the world hangs on our shoulders.
[00:59:28.640 --> 00:59:31.160]   Brothers, there's a moment that we're waiting for.
[00:59:31.160 --> 00:59:34.560]   And in that moment, none of us matter.
[00:59:34.560 --> 00:59:36.960]   Who matters and who is on display
[00:59:36.960 --> 00:59:39.960]   is the Lord Jesus Christ.
[00:59:39.960 --> 00:59:42.880]   And we love that moment because of him.
[00:59:42.880 --> 00:59:45.360]   And therefore, we proclaim him.
[00:59:45.360 --> 00:59:47.360]   Truth triumphs, brothers, that's true.
[00:59:47.360 --> 00:59:49.080]   Truth triumphs, that's true.
[00:59:49.080 --> 00:59:52.240]   But truth triumphs in him alone.
[00:59:52.240 --> 00:59:53.720]   So we preach Christ.
[00:59:53.720 --> 00:59:57.680]   There's a moment that we are waiting for.
[00:59:57.680 --> 00:59:59.640]   It's a moment that history waits for.
[00:59:59.640 --> 01:00:01.720]   It's a moment, in a sense, that God waits for.
[01:00:01.720 --> 01:00:03.900]   It's a moment that's all about Christ.
[01:00:03.900 --> 01:00:06.400]   But here's something by way of epilogue to think about.
[01:00:06.400 --> 01:00:08.280]   Daniel wasn't the only one waiting for this moment.
[01:00:08.280 --> 01:00:10.920]   Think about with me the book of Isaiah, chapter six.
[01:00:10.920 --> 01:00:12.160]   What does Isaiah say?
[01:00:12.160 --> 01:00:16.320]   I saw the Lord seated on a throne high and lifted up,
[01:00:16.320 --> 01:00:17.280]   just like Daniel seven.
[01:00:17.280 --> 01:00:20.960]   Isaiah saw an aspect of the same vision.
[01:00:20.960 --> 01:00:22.000]   Think about Ezekiel.
[01:00:22.000 --> 01:00:24.560]   He saw a chariot thrown,
[01:00:24.560 --> 01:00:28.560]   a throne having wheels within a wheel, just like Daniel.
[01:00:28.560 --> 01:00:29.400]   Why?
[01:00:29.400 --> 01:00:32.280]   Because Ezekiel saw elements of the same vision.
[01:00:32.280 --> 01:00:35.560]   Paul, on the Damascus road, he saw the glorified Christ.
[01:00:35.560 --> 01:00:37.640]   And in that moment, the circumstances matched
[01:00:37.640 --> 01:00:39.320]   with Daniel seven, and even the discussion
[01:00:39.320 --> 01:00:42.460]   of the saints that Paul has on the Damascus road,
[01:00:42.460 --> 01:00:44.360]   it matches what happens in Daniel seven.
[01:00:44.360 --> 01:00:47.760]   Paul, on the Damascus road, saw elements of the same vision.
[01:00:47.760 --> 01:00:51.200]   And of course, John, in Revelation chapter four and five.
[01:00:51.200 --> 01:00:52.340]   What does he see?
[01:00:52.340 --> 01:00:55.960]   The Lamb of God taking the scroll from the Ancient of Days.
[01:00:55.960 --> 01:00:58.360]   They saw the same thing.
[01:00:58.360 --> 01:01:01.160]   Daniel wasn't the only one waiting for this vision.
[01:01:01.160 --> 01:01:02.360]   It was Isaiah.
[01:01:02.360 --> 01:01:04.080]   It was Ezekiel.
[01:01:04.080 --> 01:01:05.200]   It was Paul.
[01:01:05.200 --> 01:01:06.400]   It was John.
[01:01:06.400 --> 01:01:08.600]   It's all of the people of God.
[01:01:08.600 --> 01:01:12.520]   We are all waiting for this moment.
[01:01:12.520 --> 01:01:14.040]   And in light of that, brothers,
[01:01:14.040 --> 01:01:16.000]   if you ever get disillusioned,
[01:01:16.000 --> 01:01:18.600]   if you ever just are stuck in the here and now,
[01:01:18.600 --> 01:01:20.680]   and you can't get your mind off of that,
[01:01:20.680 --> 01:01:23.260]   remember, there is a moment we are waiting for.
[01:01:23.260 --> 01:01:26.040]   It is going to the future, not to the here and now.
[01:01:26.040 --> 01:01:28.040]   And brothers, if you are discouraged,
[01:01:28.040 --> 01:01:30.080]   and you are desperate, and you are wondering,
[01:01:30.080 --> 01:01:30.900]   is it worth it?
[01:01:30.900 --> 01:01:33.480]   There is a moment we are waiting for.
[01:01:33.480 --> 01:01:35.600]   It is a moment that is absolutely worthwhile,
[01:01:35.600 --> 01:01:37.560]   for it is for God's Son.
[01:01:37.560 --> 01:01:39.960]   And if there are times when you are distracted,
[01:01:39.960 --> 01:01:42.480]   and you are thinking more about yourself than Christ,
[01:01:42.480 --> 01:01:45.760]   remember, there is a moment that we are waiting for,
[01:01:45.760 --> 01:01:49.120]   and it reveals that there is only one who is worthy.
[01:01:49.120 --> 01:01:51.920]   There is a moment that we are waiting for.
[01:01:51.920 --> 01:01:54.240]   That is where we fix our eyes upon.
[01:01:54.240 --> 01:01:56.280]   That is the secret of perseverance.
[01:01:56.280 --> 01:01:57.680]   Truth triumphs.
[01:01:57.680 --> 01:01:59.280]   And Daniel knew that,
[01:01:59.280 --> 01:02:01.240]   because that's the center of the book,
[01:02:01.240 --> 01:02:03.280]   because it's the center of his own soul,
[01:02:03.280 --> 01:02:05.400]   and it kept him to the end.
[01:02:05.400 --> 01:02:07.160]   So may it be, brothers,
[01:02:07.160 --> 01:02:09.160]   may it be that we persevere,
[01:02:09.160 --> 01:02:10.720]   and we hang in there well,
[01:02:10.720 --> 01:02:13.360]   and we endure faithfully to the end,
[01:02:13.360 --> 01:02:15.640]   because there is a moment we are waiting for.
[01:02:15.640 --> 01:02:20.240]   And brothers, it will surely come soon.
[01:02:20.240 --> 01:02:21.960]   Shall we pray?
[01:02:21.960 --> 01:02:23.840]   Our God and Father,
[01:02:23.840 --> 01:02:27.200]   thank you for this revelation of your promise,
[01:02:27.200 --> 01:02:29.260]   and this revelation of your prophecy.
[01:02:29.260 --> 01:02:33.120]   Help us to lift our eyes from earth to heaven,
[01:02:33.120 --> 01:02:35.240]   to think of from the things of this world
[01:02:35.240 --> 01:02:38.360]   to the things above, where Christ is,
[01:02:38.360 --> 01:02:39.920]   and to see him and to know
[01:02:39.920 --> 01:02:41.600]   that he will be so exalted in the end,
[01:02:41.600 --> 01:02:45.680]   and in the end, it will be thy kingdom come,
[01:02:45.680 --> 01:02:49.300]   thy will be done on earth as it is in heaven.
[01:02:49.300 --> 01:02:51.160]   Help us to long for that,
[01:02:51.160 --> 01:02:53.880]   and through that, to endure to that end,
[01:02:53.880 --> 01:02:56.840]   and to proclaim the Christ of that moment,
[01:02:56.840 --> 01:02:59.580]   who is eternally worthy.
[01:02:59.580 --> 01:03:02.680]   Be glorified in our lives,
[01:03:02.680 --> 01:03:07.680]   and we delight that you are always so triumphant.
[01:03:07.680 --> 01:03:09.960]   In your name we pray, amen.
[01:03:10.160 --> 01:03:12.740]   (feet tapping)
[01:03:12.740 --> 01:03:14.900]   (silence)
[01:03:14.900 --> 01:03:16.960]   you

