
[00:00:00.000 --> 00:00:02.240]   a generally well-educated human.
[01:35:18.100 --> 01:35:19.700]   they're also going to have to be very secure.
[01:35:19.700 --> 01:35:21.500]   - So speaking of which, how, you know,
[01:35:21.500 --> 01:35:23.860]   there's been sorts of rumors on the difficulty
[01:35:23.860 --> 01:35:26.100]   of procuring the power and the GPUs
[01:35:26.100 --> 01:35:27.860]   for the next generation of models.
[01:35:27.860 --> 01:35:29.700]   What has the process been like to secure
[01:35:29.700 --> 01:35:32.700]   the necessary components to do the next generation?
[01:35:32.700 --> 01:35:35.620]   - That's something I can't go into great detail about.
[01:35:35.620 --> 01:35:38.180]   You know, I will say, look, like, you know,
[01:35:38.180 --> 01:35:41.580]   people think of even industrial scale data centers, right?
[01:35:41.580 --> 01:35:43.460]   People are not thinking at the scale
[01:35:43.460 --> 01:35:46.180]   that I think these models are going to go to very soon.
[01:35:46.180 --> 01:35:47.980]   And so whenever you do something at a scale
[01:35:47.980 --> 01:35:49.980]   where it's never been done before, you know,
[01:35:49.980 --> 01:35:52.900]   every single component, every single thing
[01:35:52.900 --> 01:35:55.100]   has to be done in a new way than it was before.
[01:35:55.100 --> 01:35:59.100]   And so, you know, you may run into problems
[01:35:59.100 --> 01:36:01.740]   with, you know, surprisingly simple components.
[01:36:01.740 --> 01:36:03.140]   Power is one that you mentioned.
[01:36:03.140 --> 01:36:05.060]   - And is this something that Anthropic has to handle
[01:36:05.060 --> 01:36:06.340]   or can you just outsource it?
[01:36:06.340 --> 01:36:08.260]   - You know, I mean, for data centers we work with,
[01:36:08.260 --> 01:36:09.980]   cloud providers, for instance.
[01:36:09.980 --> 01:36:12.220]   - What should we make about the fact that
[01:36:12.220 --> 01:36:14.900]   these models require so much training
[01:36:14.900 --> 01:36:17.020]   and the entire corpus of internet data
[01:36:17.020 --> 01:36:19.020]   in order to be subhuman?
[01:36:19.020 --> 01:36:22.500]   Whereas, you know, if GPT-4, there's been estimates
[01:36:22.500 --> 01:36:26.260]   that, you know, it was like a 10 to the 25 flops
[01:36:26.260 --> 01:36:28.940]   or something where, you know, whereas you,
[01:36:28.940 --> 01:36:30.500]   I mean, you can take these numbers to the grain of salt,
[01:36:30.500 --> 01:36:31.740]   but there's reports that, you know,
[01:36:31.740 --> 01:36:34.900]   human brain from the time it is born
[01:36:34.900 --> 01:36:37.060]   to the time a human being is 20 years old,
[01:36:37.060 --> 01:36:39.540]   that's like on the order of 10 to the 20 flops
[01:36:39.540 --> 01:36:41.300]   to simulate all those interactions.
[01:36:41.300 --> 01:36:42.940]   You don't have to go into particulars on those numbers,
[01:36:42.940 --> 01:36:45.980]   but should we be worried about how sample inefficient
[01:36:45.980 --> 01:36:47.060]   these models seem to be?
[01:36:47.060 --> 01:36:49.660]   - Yeah, so I think that's one of the remaining mysteries.
[01:36:49.660 --> 01:36:51.540]   One way you could phrase it is that
[01:36:51.540 --> 01:36:55.460]   the models are maybe two to three orders of magnitude
[01:36:55.460 --> 01:36:56.700]   smaller than the human brain,
[01:36:56.700 --> 01:36:58.820]   if you compare it to the number of synapses,
[01:36:58.820 --> 01:37:01.900]   while at the same time being trained on, you know,
[01:37:01.900 --> 01:37:04.500]   three to four more orders of magnitude of data.
[01:37:04.500 --> 01:37:07.500]   If you compare it to, you know, number of words
[01:37:07.500 --> 01:37:11.540]   a human sees as they're developing to age 18,
[01:37:11.540 --> 01:37:12.900]   it's, I don't remember exactly,
[01:37:12.900 --> 01:37:14.780]   but I think it's in the hundreds of millions.
[01:37:14.780 --> 01:37:16.020]   Whereas for the models,
[01:37:16.020 --> 01:37:17.620]   we're talking about the hundreds of billions,
[01:37:17.620 --> 01:37:18.820]   the trillions.
[01:37:18.820 --> 01:37:20.660]   So what explains this?
[01:37:20.660 --> 01:37:22.580]   There are these offsetting things
[01:37:22.580 --> 01:37:26.180]   where the models are smaller, they need a lot more data,
[01:37:26.180 --> 01:37:27.980]   and they're still below human level.
[01:37:27.980 --> 01:37:31.780]   But so, you know, there's some way in which,
[01:37:31.780 --> 01:37:35.300]   you know, the analogy to the brain is not quite right,
[01:37:35.300 --> 01:37:38.340]   or is breaking down, or there's some missing factor.
[01:37:38.340 --> 01:37:39.940]   You know, this is just kind of like in physics,
[01:37:39.940 --> 01:37:40.900]   where it's like, you know,
[01:37:40.900 --> 01:37:43.420]   we can't explain the Michelson-Morley experiment,
[01:37:43.420 --> 01:37:44.980]   or like, I'm forgetting one of the other
[01:37:44.980 --> 01:37:47.220]   19th century physics paradoxes.
[01:37:47.220 --> 01:37:48.500]   But like, I think it's one thing
[01:37:48.500 --> 01:37:50.260]   we don't quite understand, right?
[01:37:50.260 --> 01:37:54.380]   Humans see so little data, and they still do fine.
[01:37:54.380 --> 01:37:57.140]   One theory on it, it could be that it, you know,
[01:37:57.140 --> 01:37:59.620]   it's like our other modalities.
[01:37:59.620 --> 01:38:00.900]   You know, how do we get, you know,
[01:38:00.900 --> 01:38:03.540]   10 to the 14th bits into the human brain?
[01:38:03.540 --> 01:38:05.580]   Well, most of it is kind of these images,
[01:38:05.580 --> 01:38:08.140]   and maybe a lot of what's going on inside the human brain
[01:38:08.140 --> 01:38:10.180]   is like, you know, our mental workspace
[01:38:10.180 --> 01:38:13.460]   involves all these, you know, these simulated images,
[01:38:13.460 --> 01:38:14.740]   or something like that.
[01:38:14.740 --> 01:38:16.180]   But honestly, I think intellectually,
[01:38:16.180 --> 01:38:18.300]   we have to admit that that's a weird thing
[01:38:18.300 --> 01:38:19.500]   that doesn't match up.
[01:38:19.500 --> 01:38:21.700]   And, you know, it's one reason I'm a bit, you know,
[01:38:21.700 --> 01:38:23.820]   skeptical of kind of biological analogies.
[01:38:23.820 --> 01:38:26.780]   I thought in terms of them like five or six years ago,
[01:38:26.780 --> 01:38:28.740]   but now that we actually have these models
[01:38:28.740 --> 01:38:30.060]   in front of us as artifacts,
[01:38:30.060 --> 01:38:32.460]   it feels like almost all the evidence from that
[01:38:32.460 --> 01:38:34.980]   has been screened off by what we've seen.
[01:38:34.980 --> 01:38:36.180]   And what we've seen are models
[01:38:36.180 --> 01:38:38.300]   that are much smaller than the human brain,
[01:38:38.300 --> 01:38:40.900]   and yet can do a lot of the things that humans can do,
[01:38:40.900 --> 01:38:44.060]   and yet paradoxically require a lot more data.
[01:38:44.060 --> 01:38:45.820]   So maybe we'll discover something
[01:38:45.820 --> 01:38:47.300]   that makes it all efficient,
[01:38:47.300 --> 01:38:50.980]   or maybe we'll understand why the discrepancy is present.
[01:38:50.980 --> 01:38:53.060]   But at the end of the day, I don't think it matters, right?
[01:38:53.060 --> 01:38:55.220]   If we keep scaling the way we are,
[01:38:55.220 --> 01:38:56.980]   I think what's more relevant at this point
[01:38:56.980 --> 01:38:59.300]   is just measuring the abilities of the model
[01:38:59.300 --> 01:39:01.020]   and seeing how far they are from humans.
[01:39:01.020 --> 01:39:02.780]   And they don't seem terribly far to me.
[01:39:02.780 --> 01:39:04.020]   - Does this scaling picture
[01:39:04.020 --> 01:39:06.660]   and the big blob of compute more generally,
[01:39:06.660 --> 01:39:08.980]   does that underemphasize the role
[01:39:08.980 --> 01:39:10.780]   that algorithmic progress has played
[01:39:10.780 --> 01:39:14.060]   when you compose the big blob of compute?
[01:39:14.060 --> 01:39:17.260]   So you're talking about LSTMs presumably at that point,
[01:39:17.260 --> 01:39:18.500]   presumably the scaling on that
[01:39:18.500 --> 01:39:21.460]   would not have you at cloud two at this point.
[01:39:21.460 --> 01:39:23.180]   So are you under emphasizing the role
[01:39:23.180 --> 01:39:26.060]   that an improvement of the scale of transformer
[01:39:26.060 --> 01:39:27.020]   could be having here
[01:39:27.020 --> 01:39:28.900]   when you put it up behind the label of scaling?
[01:39:28.900 --> 01:39:30.540]   - This big blob of compute document,
[01:39:30.540 --> 01:39:31.980]   which I still have not made public,
[01:39:31.980 --> 01:39:34.020]   I probably should for like historical reasons.
[01:39:34.020 --> 01:39:36.100]   I don't think it would tell anyone anything
[01:39:36.100 --> 01:39:37.140]   they don't know now.
[01:39:37.140 --> 01:39:38.420]   But when I wrote it,
[01:39:38.420 --> 01:39:42.100]   I actually said, look, there are seven factors that,
[01:39:42.100 --> 01:39:44.420]   and I wasn't like, these are the factors,
[01:39:44.420 --> 01:39:45.260]   but I was just like,
[01:39:45.260 --> 01:39:46.780]   let me give us some sense of the kinds of things
[01:39:46.780 --> 01:39:47.940]   that matter and what don't.
[01:39:47.940 --> 01:39:50.420]   And so I wasn't thinking like these are the,
[01:39:50.420 --> 01:39:51.780]   there could be nine, there could be five,
[01:39:51.780 --> 01:39:54.260]   but like the things I said were,
[01:39:54.260 --> 01:39:56.460]   I said, number of parameters,
[01:39:56.460 --> 01:39:57.340]   scale of the model,
[01:39:57.340 --> 01:39:59.860]   like the compute matters,
[01:39:59.860 --> 01:40:02.300]   quantity of data matters,
[01:40:02.300 --> 01:40:04.220]   quality of data matters,
[01:40:04.260 --> 01:40:06.180]   loss function matters.
[01:40:06.180 --> 01:40:07.780]   So like, are you doing RL
[01:40:07.780 --> 01:40:09.460]   or are you doing next word prediction?
[01:40:09.460 --> 01:40:11.300]   If your loss function isn't rich
[01:40:11.300 --> 01:40:12.780]   or doesn't incentivize the right thing,
[01:40:12.780 --> 01:40:15.180]   you won't get anything.
[01:40:15.180 --> 01:40:17.340]   So those were the key four ones,
[01:40:17.340 --> 01:40:19.020]   which I think are the core of the hypothesis.
[01:40:19.020 --> 01:40:20.340]   But then I said three more things.
[01:40:20.340 --> 01:40:22.740]   One was symmetries,
[01:40:22.740 --> 01:40:24.500]   which is basically like,
[01:40:24.500 --> 01:40:27.420]   if your architecture doesn't take into account
[01:40:27.420 --> 01:40:29.260]   the right kinds of symmetries,
[01:40:29.260 --> 01:40:32.500]   it doesn't work or it's very inefficient.
[01:40:32.500 --> 01:40:33.860]   So for example,
[01:40:33.860 --> 01:40:35.380]   convolutional neural networks
[01:40:35.380 --> 01:40:37.820]   take into account translational symmetry.
[01:40:37.820 --> 01:40:41.220]   LSTMs take into account time symmetry.
[01:40:41.220 --> 01:40:43.060]   But a weakness of LSTMs
[01:40:43.060 --> 01:40:46.020]   is that they can't attend over the whole context.
[01:40:46.020 --> 01:40:47.820]   So there's kind of this structural weakness.
[01:40:47.820 --> 01:40:51.020]   Like if a model isn't structurally capable
[01:40:51.020 --> 01:40:53.700]   of like absorbing and managing
[01:40:53.700 --> 01:40:56.020]   things that happened in a far enough distant past,
[01:40:56.020 --> 01:40:57.100]   then it's just like,
[01:40:57.100 --> 01:40:58.180]   it's kind of like,
[01:40:58.180 --> 01:40:59.740]   you know, like the compute doesn't flow,
[01:40:59.740 --> 01:41:01.660]   like the spice doesn't flow.
[01:41:01.660 --> 01:41:03.060]   It's like, you can't,
[01:41:03.060 --> 01:41:05.940]   like the blob has to be unencumbered, right?
[01:41:05.940 --> 01:41:08.580]   It kind of, it's not gonna work
[01:41:08.580 --> 01:41:11.660]   if you artificially close things off.
[01:41:11.660 --> 01:41:13.780]   And I think RNNs and LSTMs
[01:41:13.780 --> 01:41:15.500]   artificially close things off
[01:41:15.500 --> 01:41:18.220]   because they close you off to the distant past.
[01:41:18.220 --> 01:41:21.100]   And so again, things need to flow freely.
[01:41:21.100 --> 01:41:22.380]   If they don't, it doesn't work.
[01:41:22.380 --> 01:41:24.820]   And then, you know, I added a couple of things.
[01:41:24.820 --> 01:41:26.780]   One of them was like conditioning,
[01:41:26.780 --> 01:41:27.780]   which is like, you know,
[01:41:27.780 --> 01:41:30.020]   if the thing you're optimizing with
[01:41:30.020 --> 01:41:32.020]   is just really numerically bad,
[01:41:32.020 --> 01:41:33.060]   like you're gonna have trouble.
[01:41:33.060 --> 01:41:35.260]   And so this is why like Atom works better than,
[01:41:35.260 --> 01:41:37.260]   you know, than normal STD.
[01:41:37.260 --> 01:41:40.340]   And I think I'm forgetting what the seventh condition was,
[01:41:40.340 --> 01:41:42.580]   but it was similar to things like this,
[01:41:42.580 --> 01:41:43.740]   where it's like, you know,
[01:41:43.740 --> 01:41:46.460]   if you set things up in kind of a way
[01:41:46.460 --> 01:41:48.620]   that's set up to fail,
[01:41:48.620 --> 01:41:50.460]   or that doesn't allow the compute to work
[01:41:50.460 --> 01:41:51.500]   in an uninhibited way,
[01:41:51.500 --> 01:41:52.420]   then it won't work.
[01:41:52.420 --> 01:41:54.740]   And so transformers were kind of within that,
[01:41:54.740 --> 01:41:56.660]   even though I can't remember
[01:41:56.660 --> 01:41:58.860]   if the transformer paper had been published.
[01:41:58.860 --> 01:42:01.220]   It was around the same time as I wrote that document.
[01:42:01.220 --> 01:42:02.180]   It might've been just before,
[01:42:02.180 --> 01:42:03.660]   it might've been just after.
[01:42:03.660 --> 01:42:05.180]   - It sounds like from that view,
[01:42:05.180 --> 01:42:09.620]   that the way to think about these algorithmic progresses
[01:42:09.620 --> 01:42:12.580]   is not as increasing the power of the blob of compute,
[01:42:12.580 --> 01:42:16.180]   but simply getting rid of the artificial hindrances
[01:42:16.180 --> 01:42:17.380]   that older architectures have.
[01:42:17.380 --> 01:42:18.340]   Is that a fair way to-
[01:42:18.340 --> 01:42:19.220]   - That's a little, yeah,
[01:42:19.220 --> 01:42:20.660]   that's a little how I think about it.
[01:42:20.660 --> 01:42:22.700]   You know, again, if you go back to like,
[01:42:22.700 --> 01:42:24.180]   earlier it was like the models wanna learn.
[01:42:24.180 --> 01:42:25.020]   - Yeah, yeah.
[01:42:25.020 --> 01:42:26.700]   - Like the compute wants to be free.
[01:42:26.700 --> 01:42:27.540]   - Yeah, yeah, yeah.
[01:42:27.540 --> 01:42:29.860]   - It's like, you know, it's being blocked in various ways
[01:42:29.860 --> 01:42:31.780]   where you like don't understand that it's being blocked
[01:42:31.780 --> 01:42:33.100]   and so you need to like free it up.
[01:42:33.100 --> 01:42:33.940]   - Right, right.
[01:42:33.940 --> 01:42:37.300]   I love the deradians, change that to spice.
[01:42:37.300 --> 01:42:38.140]   Okay.
[01:42:38.140 --> 01:42:40.500]   On that point though,
[01:42:40.500 --> 01:42:42.700]   so do you think that another thing
[01:42:42.700 --> 01:42:45.100]   on the scale of a transformer
[01:42:45.100 --> 01:42:46.860]   is coming down the pike
[01:42:46.860 --> 01:42:49.740]   to enable the next great iterations?
[01:42:49.740 --> 01:42:50.860]   - I think it's possible.
[01:42:50.860 --> 01:42:52.660]   I mean, people have worked on things like, you know,
[01:42:52.660 --> 01:42:56.700]   trying to model very long time dependencies
[01:42:56.700 --> 01:42:59.700]   or, you know, there's various different ideas
[01:42:59.700 --> 01:43:02.140]   where I could see that we're kind of missing
[01:43:02.140 --> 01:43:05.460]   an efficient way of representing or dealing with something.
[01:43:05.460 --> 01:43:07.860]   So I think those inventions are possible.
[01:43:07.860 --> 01:43:09.660]   I guess my perspective would be,
[01:43:09.660 --> 01:43:10.740]   even if they don't happen,
[01:43:10.740 --> 01:43:14.980]   we're already on this very, very steep trajectory.
[01:43:14.980 --> 01:43:17.060]   And so I'm less, I mean,
[01:43:17.060 --> 01:43:20.220]   we're constantly trying to discover them as are others,
[01:43:20.220 --> 01:43:22.300]   but things are already on such a fast trajectory.
[01:43:22.300 --> 01:43:24.860]   All that would do is speed up the trajectory even more
[01:43:24.860 --> 01:43:26.940]   and probably not by that much
[01:43:26.940 --> 01:43:28.700]   'cause it's already going so fast.
[01:43:28.700 --> 01:43:29.940]   - Is something embodied
[01:43:29.940 --> 01:43:32.580]   or having an embodied version of a model,
[01:43:32.580 --> 01:43:33.740]   is that at all important
[01:43:33.740 --> 01:43:36.100]   in terms of getting either data or progress?
[01:43:36.100 --> 01:43:38.780]   - I think of that less in terms of the, you know,
[01:43:38.780 --> 01:43:39.900]   like a new architecture
[01:43:39.900 --> 01:43:42.180]   and more in terms of like a loss function,
[01:43:42.180 --> 01:43:45.540]   like the data, the environments you're exposing yourself to
[01:43:45.540 --> 01:43:47.020]   end up being very different.
[01:43:47.020 --> 01:43:48.780]   And so I think that could be important
[01:43:48.780 --> 01:43:50.140]   for learning some skills,
[01:43:50.140 --> 01:43:52.780]   although data acquisition is hard.
[01:43:52.780 --> 01:43:55.540]   And so things have gone through the language route
[01:43:55.540 --> 01:43:57.860]   and I would guess we'll continue
[01:43:57.860 --> 01:44:00.580]   to go through the language route even as, you know,
[01:44:00.580 --> 01:44:03.500]   even as more as possible in terms of embodiment.
[01:44:03.500 --> 01:44:05.100]   - And then the other possibilities you mentioned,
[01:44:05.100 --> 01:44:06.580]   RL, you can see it as.
[01:44:06.580 --> 01:44:09.700]   - Yeah, I mean, we kind of already do RL with RLHF, right?
[01:44:09.700 --> 01:44:12.020]   People are like, is this an alignment, is this capabilities?
[01:44:12.020 --> 01:44:13.780]   I always think in terms of the two snakes, right?
[01:44:13.780 --> 01:44:16.260]   They're kind of often hard to distinguish.
[01:44:16.260 --> 01:44:18.980]   So we already kind of use RL in these language models,
[01:44:18.980 --> 01:44:21.220]   but I think we've used RL less
[01:44:21.220 --> 01:44:23.260]   in terms of getting them to take actions
[01:44:23.260 --> 01:44:25.100]   and, you know, do things in the world.
[01:44:25.100 --> 01:44:26.980]   But, you know, when you take actions
[01:44:26.980 --> 01:44:28.340]   over a long period of time
[01:44:28.340 --> 01:44:31.220]   and understand the consequences of those actions
[01:44:31.220 --> 01:44:32.500]   only later than, you know,
[01:44:32.500 --> 01:44:34.460]   RL is a typical tool we have for that.
[01:44:34.460 --> 01:44:36.820]   So I would guess that in terms of models
[01:44:36.820 --> 01:44:38.140]   taking action in the world,
[01:44:38.140 --> 01:44:41.020]   that RL will, you know, will become a thing
[01:44:41.020 --> 01:44:42.740]   with all the power and all the safety issues
[01:44:42.740 --> 01:44:43.580]   that come with it.
[01:44:43.580 --> 01:44:44.820]   - When you project out in the future,
[01:44:44.820 --> 01:44:46.900]   do you see the way in which these things
[01:44:46.900 --> 01:44:50.860]   will be integrated into productive supply chains?
[01:44:50.860 --> 01:44:53.060]   Do you see them talking with each other
[01:44:53.060 --> 01:44:54.220]   and criticizing each other
[01:44:54.220 --> 01:44:56.420]   and contributing to each other's output?
[01:44:56.420 --> 01:44:58.380]   Or is it just the model one shots,
[01:44:58.380 --> 01:45:02.660]   one model one shots the answer or the work?
[01:45:02.660 --> 01:45:05.420]   - Models will undertake extended tasks.
[01:45:05.420 --> 01:45:06.540]   That will have to be the case.
[01:45:06.540 --> 01:45:08.820]   I mean, we may want to limit that to some extent
[01:45:08.820 --> 01:45:11.820]   because it may make some of the safety problems easier.
[01:45:11.820 --> 01:45:14.380]   But, you know, some of that I think will be required.
[01:45:14.380 --> 01:45:16.460]   In terms of our models talking to models
[01:45:16.460 --> 01:45:18.340]   or are they talking to humans?
[01:45:18.340 --> 01:45:21.020]   Again, this goes kind of out of the technical realm
[01:45:21.020 --> 01:45:25.740]   and into the like socio-cultural economic realm
[01:45:25.740 --> 01:45:28.780]   where my heuristic is always that it's very,
[01:45:28.780 --> 01:45:30.740]   very difficult to predict things.
[01:45:30.740 --> 01:45:33.940]   And so I feel like these scaling laws
[01:45:33.940 --> 01:45:35.100]   have been very predictable.
[01:45:35.100 --> 01:45:37.140]   But then when you say like, well, you know,
[01:45:37.140 --> 01:45:39.340]   when is there going to be a commercial explosion
[01:45:39.340 --> 01:45:40.180]   in these models?
[01:45:40.180 --> 01:45:42.020]   Or what's the form it's going to be?
[01:45:42.020 --> 01:45:44.220]   Or are the models going to do things instead of humans
[01:45:44.220 --> 01:45:45.780]   or pairing with humans?
[01:45:45.780 --> 01:45:48.020]   I feel like certainly my track record
[01:45:48.020 --> 01:45:50.500]   on predicting these things is terrible.
[01:45:50.500 --> 01:45:52.220]   But I also looking around,
[01:45:52.220 --> 01:45:54.420]   I don't really see anyone whose track record is great.
[01:45:54.420 --> 01:45:56.460]   - You mentioned how fast progress is happening,
[01:45:56.460 --> 01:45:59.820]   but also the difficulties of integrating
[01:45:59.820 --> 01:46:03.140]   within the existing economy into the way things work.
[01:46:03.140 --> 01:46:04.740]   Do you think there will be enough time
[01:46:04.740 --> 01:46:07.780]   to actually have large revenues from AI products
[01:46:07.780 --> 01:46:10.580]   before the next model is just so much better
[01:46:10.580 --> 01:46:12.620]   or we're in like a different landscape entirely?
[01:46:12.620 --> 01:46:15.100]   - It depends what you mean by large, right?
[01:46:15.100 --> 01:46:16.500]   You know, I think multiple companies
[01:46:16.500 --> 01:46:20.300]   are already in the 100 million to billion per year range.
[01:46:20.300 --> 01:46:24.420]   What will it get to the 100 billion or trillion range?
[01:46:24.420 --> 01:46:28.260]   You know, that stuff is just so hard to predict, right?
[01:46:28.260 --> 01:46:31.420]   And it's not even super well-defined.
[01:46:31.420 --> 01:46:33.860]   Like, you know, I think right now there are companies
[01:46:33.860 --> 01:46:36.980]   that are throwing a lot of money at generative AI,
[01:46:36.980 --> 01:46:38.460]   you know, as customers.
[01:46:38.460 --> 01:46:41.300]   But, and, you know, I think that's the right thing
[01:46:41.300 --> 01:46:42.140]   for them to do.
[01:46:42.140 --> 01:46:44.060]   And they'll, you know, they'll find uses for it,
[01:46:44.060 --> 01:46:46.580]   but it doesn't mean it's, you know,
[01:46:46.580 --> 01:46:49.460]   they're finding uses or the best uses from day one.
[01:46:49.460 --> 01:46:52.940]   So even money changing hands is not quite the same thing
[01:46:52.940 --> 01:46:54.700]   as economic value being created.
[01:46:54.700 --> 01:46:55.780]   - But surely you've thought about this
[01:46:55.780 --> 01:46:57.100]   from the perspective of anthropic,
[01:46:57.100 --> 01:46:58.980]   where if these things are happening so fast,
[01:46:58.980 --> 01:47:01.700]   then it should be an insane valuation, right?
[01:47:01.700 --> 01:47:03.180]   - Even us who have, you know,
[01:47:03.180 --> 01:47:05.300]   not been super focused on commercialization
[01:47:05.300 --> 01:47:06.940]   and more on safety, I mean, you know,
[01:47:06.940 --> 01:47:11.300]   the graph goes up and it goes up relatively quickly.
[01:47:11.300 --> 01:47:12.140]   - Yeah.
[01:47:12.140 --> 01:47:13.940]   - So, you know, I can only imagine what's happening
[01:47:13.940 --> 01:47:16.020]   at, you know, the orgs where, you know,
[01:47:16.020 --> 01:47:19.060]   this is their singular focus.
[01:47:19.060 --> 01:47:23.020]   So it's certainly happening fast, but, you know,
[01:47:23.020 --> 01:47:26.260]   again, it's like, it's the exponential from the small base
[01:47:26.260 --> 01:47:28.380]   while the technology itself is moving fast.
[01:47:28.380 --> 01:47:30.900]   So it's kind of a race between
[01:47:30.900 --> 01:47:32.620]   how fast the technology is getting better
[01:47:32.620 --> 01:47:34.820]   and how fast it's integrated into the economy.
[01:47:34.820 --> 01:47:36.780]   And I think that's just a very unstable
[01:47:36.780 --> 01:47:38.860]   and turbulent process.
[01:47:38.860 --> 01:47:40.300]   Both things are going to happen fast,
[01:47:40.300 --> 01:47:43.420]   but if you ask me exactly how it's going to play out,
[01:47:43.420 --> 01:47:45.780]   exactly what order things are going to happen,
[01:47:45.780 --> 01:47:49.740]   I don't know, and I'm kind of skeptical
[01:47:49.740 --> 01:47:51.060]   of the ability to predict.
[01:47:51.060 --> 01:47:52.060]   - I'm kind of curious with regards
[01:47:52.060 --> 01:47:53.500]   to Anthropic specifically.
[01:47:53.500 --> 01:47:54.340]   - Yes.
[01:47:54.340 --> 01:47:55.180]   - You're a public benefit corporation.
[01:47:55.180 --> 01:47:56.020]   - Yes.
[01:47:56.020 --> 01:47:58.100]   - And rightfully so, you want to make sure
[01:47:58.100 --> 01:48:00.060]   that this is an important technology.
[01:48:00.060 --> 01:48:01.540]   Obviously, the only thing you want to care about
[01:48:01.540 --> 01:48:03.220]   is not shareholder value,
[01:48:03.220 --> 01:48:05.580]   but how do you talk to investors
[01:48:05.580 --> 01:48:07.220]   who are putting in like hundreds of millions,
[01:48:07.220 --> 01:48:09.300]   billions of dollars of money?
[01:48:09.300 --> 01:48:11.220]   Like, how do you talk to them about the fact that,
[01:48:11.220 --> 01:48:12.700]   how do you get them to put in this amount of money
[01:48:12.700 --> 01:48:15.500]   without the shareholder value being the main concern?
[01:48:15.500 --> 01:48:19.580]   - So, I think the LTBT is the right thing on this, right?
[01:48:19.580 --> 01:48:22.460]   You know, I mean, we're going to talk more about the LTBT,
[01:48:22.460 --> 01:48:24.620]   but like some version of that has been in development
[01:48:24.620 --> 01:48:28.900]   since the beginning of Anthropic, even formally, right?
[01:48:28.900 --> 01:48:31.380]   And so, from the beginning,
[01:48:31.380 --> 01:48:34.180]   even as the body has changed in some ways,
[01:48:34.180 --> 01:48:35.980]   it's like from the beginning, it was like,
[01:48:35.980 --> 01:48:38.460]   this body is going to exist and it's unusual.
[01:48:38.460 --> 01:48:42.580]   Like every traditional investor who invests in Anthropic,
[01:48:42.580 --> 01:48:45.060]   you know, looks at this.
[01:48:45.060 --> 01:48:46.780]   Some of them are just like, whatever,
[01:48:46.780 --> 01:48:48.420]   you run your company how you want.
[01:48:48.420 --> 01:48:50.740]   Some of them are like, you know, oh my God,
[01:48:50.740 --> 01:48:53.900]   like this body of random people or to them,
[01:48:53.900 --> 01:48:55.580]   random people could like, you know,
[01:48:55.580 --> 01:48:58.020]   could move Anthropic in a direction that's, you know,
[01:48:58.020 --> 01:48:59.500]   that's totally contrary to our,
[01:48:59.500 --> 01:49:02.300]   and now there are legal limits on that, of course.
[01:49:02.300 --> 01:49:04.580]   But, you know, we have to have this conversation
[01:49:04.580 --> 01:49:07.220]   with every investor and then it gets into a conversation
[01:49:07.220 --> 01:49:09.180]   of, well, what are the kinds of things that, you know,
[01:49:09.180 --> 01:49:13.620]   that we would, we might do that would be contrary to the,
[01:49:13.620 --> 01:49:16.660]   to the, you know, to the interests of traditional investors
[01:49:16.660 --> 01:49:18.580]   and just having those conversations
[01:49:18.580 --> 01:49:20.220]   has helped get everyone on the same page.
[01:49:20.220 --> 01:49:22.940]   - I want to talk about the physics
[01:49:22.940 --> 01:49:24.820]   and the fact that so many of the founders
[01:49:24.820 --> 01:49:27.980]   and the employees at Anthropic are physicists.
[01:49:27.980 --> 01:49:30.380]   What is the, I mean, we talked in the beginning
[01:49:30.380 --> 01:49:32.740]   about the scaling laws and how the power laws from physics
[01:49:32.740 --> 01:49:35.260]   are something you see here, but, you know,
[01:49:35.260 --> 01:49:37.420]   what are the actual like approaches
[01:49:37.420 --> 01:49:38.900]   and ways of thinking from physics
[01:49:38.900 --> 01:49:40.540]   that seem to have carried over so well?
[01:49:40.540 --> 01:49:42.580]   Is that notion of effective theory is super useful?
[01:49:42.580 --> 01:49:44.020]   What, you know, what is going on here?
[01:49:44.020 --> 01:49:46.060]   - I mean, I think part of it is just physicists
[01:49:46.060 --> 01:49:47.300]   learn things really fast.
[01:49:47.300 --> 01:49:50.660]   We have generally found that, you know,
[01:49:50.660 --> 01:49:52.700]   if we hire, you know, someone who is a, you know,
[01:49:52.700 --> 01:49:54.940]   physics PhD or something that they can,
[01:49:54.940 --> 01:49:57.500]   they can learn ML and contribute just very, very quickly
[01:49:57.500 --> 01:49:58.740]   in most cases.
[01:49:58.740 --> 01:50:00.380]   And, you know, because several of our founders,
[01:50:00.380 --> 01:50:05.100]   myself, Jared Kaplan, Sam McKendlish were physicists,
[01:50:05.100 --> 01:50:06.340]   we knew a lot of other physicists.
[01:50:06.340 --> 01:50:07.740]   And so we were able to hire them.
[01:50:07.740 --> 01:50:10.020]   And now there's, I don't know how many is exactly,
[01:50:10.020 --> 01:50:12.300]   you know, might be 30 or 40 of them here.
[01:50:12.300 --> 01:50:14.620]   ML is not, still not yet a field
[01:50:14.620 --> 01:50:16.620]   that has an enormous amount of depth.
[01:50:16.620 --> 01:50:19.140]   And so they've been able to get up to speed very quickly.
[01:50:19.140 --> 01:50:21.660]   - Are you concerned that there's like a lot of people
[01:50:21.660 --> 01:50:24.940]   who would have been doing physics or something, whatever,
