
[00:00:00.000 --> 00:00:03.000]   (keyboard clicking)
[00:51:01.220 --> 00:51:02.620]   Maybe I'm just getting old.
[00:51:02.620 --> 00:51:03.460]   (laughs)
[00:51:03.460 --> 00:51:04.300]   Yeah.
[00:51:04.300 --> 00:51:07.300]   - I'm in the same boat as it.
[00:51:07.300 --> 00:51:09.420]   Okay, so the next question will be in random order
[00:51:09.420 --> 00:51:11.820]   since these are from Yim and I want to mix them.
[00:51:11.820 --> 00:51:16.420]   If you were a biologist who self-learned machine learning,
[00:51:16.420 --> 00:51:19.340]   which direction and topics would you focus on today
[00:51:19.340 --> 00:51:21.940]   for the best opportunity career-wise?
[00:51:21.940 --> 00:51:25.620]   Any data sets you'd work on to build a good profile?
[00:51:25.840 --> 00:51:28.520]   (indistinct)
[00:51:28.520 --> 00:51:31.960]   - Okay, so that's a good question for, I think,
[00:51:31.960 --> 00:51:35.140]   yeah, so I feel like in biology,
[00:51:35.140 --> 00:51:38.440]   I don't know any general data sets in that way.
[00:51:38.440 --> 00:51:41.360]   Biology is also a very big field.
[00:51:41.360 --> 00:51:45.540]   So there are, for example, there's the CASP competition
[00:51:45.540 --> 00:51:49.880]   where people get, let's say a protein structure
[00:51:49.880 --> 00:51:52.760]   that they have to refine or they predict a structure
[00:51:52.760 --> 00:51:53.960]   from a sequence, for example,
[00:51:53.960 --> 00:51:56.860]   that is where Alpha Fold was also participating.
[00:51:56.860 --> 00:51:58.420]   That would be like something like Kaggle,
[00:51:58.420 --> 00:52:01.300]   but for biologists, but again, this is very specialized.
[00:52:01.300 --> 00:52:03.860]   So this would be for structural biology.
[00:52:03.860 --> 00:52:06.980]   So, and biology, I mean, there are so many different fields
[00:52:06.980 --> 00:52:10.300]   from neurobiology, structural biology,
[00:52:10.300 --> 00:52:13.620]   genomics, drug discovery.
[00:52:13.620 --> 00:52:15.180]   There are so many subfields.
[00:52:15.180 --> 00:52:17.080]   Every subfield has its own data set.
[00:52:17.080 --> 00:52:19.620]   So right now we are working on, let's say,
[00:52:19.620 --> 00:52:21.300]   the more like not drug discovery,
[00:52:21.300 --> 00:52:23.580]   but more like molecular screening.
[00:52:23.580 --> 00:52:25.480]   So drug discovery is very specific,
[00:52:25.480 --> 00:52:28.680]   but sometimes you just want to find a bioactive ligand.
[00:52:28.680 --> 00:52:31.120]   And there are also benchmark data sets.
[00:52:31.120 --> 00:52:34.920]   So you can usually find benchmark data sets in all areas.
[00:52:34.920 --> 00:52:37.520]   I don't know that much about genomics, I must say.
[00:52:37.520 --> 00:52:40.600]   I'm more like familiar with structural biology
[00:52:40.600 --> 00:52:44.980]   and small molecules, but then neurobiology,
[00:52:44.980 --> 00:52:47.880]   they have a lot of data too, like the whole MRI scan.
[00:52:47.880 --> 00:52:52.240]   So I would say if you are a biologist,
[00:52:52.240 --> 00:52:53.560]   or if you're interested in biology,
[00:52:53.560 --> 00:52:56.920]   there's also the thing that you really have to focus
[00:52:56.920 --> 00:52:59.480]   on a sub area because you can't do all of these things.
[00:52:59.480 --> 00:53:01.760]   Really, it's like the same with machine learning.
[00:53:01.760 --> 00:53:05.600]   I try to keep up with natural language processing,
[00:53:05.600 --> 00:53:08.840]   but I would say more like a computer vision person.
[00:53:08.840 --> 00:53:11.200]   Although I'm also, again, more general,
[00:53:11.200 --> 00:53:14.600]   I learn a little bit here and there, things like that.
[00:53:14.600 --> 00:53:17.960]   So it's kind of important to have a broad perspective
[00:53:17.960 --> 00:53:21.340]   on different fields, but then if you really want
[00:53:21.340 --> 00:53:23.840]   to do research, you have to hone in onto one of them
[00:53:23.840 --> 00:53:26.240]   because otherwise, yeah, you only scratch
[00:53:26.240 --> 00:53:27.400]   the surface essentially.
[00:53:27.400 --> 00:53:32.400]   So I can't make a general recommendation for biology,
[00:53:32.400 --> 00:53:35.280]   but for structural biology, there is, for example,
[00:53:35.280 --> 00:53:38.940]   the CASP data competitions to look at.
[00:53:38.940 --> 00:53:40.840]   And for small molecule discovery,
[00:53:40.840 --> 00:53:44.160]   there are also lots of small, not small,
[00:53:44.160 --> 00:53:46.440]   they are actually very big data sets to work on.
[00:53:46.440 --> 00:53:49.280]   Currently, most of my projects are very specific
[00:53:49.280 --> 00:53:52.220]   where I have collaborators that have a certain data set
[00:53:52.220 --> 00:53:53.120]   that I work with.
[00:53:53.120 --> 00:53:56.180]   - Thank you for that.
[00:53:56.180 --> 00:53:58.220]   Adi Andro is asking this,
[00:53:58.220 --> 00:54:00.740]   since you mentioned this, I'll loop it in.
[00:54:00.740 --> 00:54:03.380]   There's so many topics to learn at a personal level.
[00:54:03.380 --> 00:54:05.980]   Also, do you ever get formal fear of missing out?
[00:54:05.980 --> 00:54:09.420]   How do you deal with that?
[00:54:09.420 --> 00:54:10.940]   - Oh, that's a very tough one.
[00:54:10.940 --> 00:54:14.180]   I have a fear of missing out a lot, actually.
[00:54:14.180 --> 00:54:16.700]   I don't have like a cure for that,
[00:54:16.700 --> 00:54:19.260]   but what helps me is just to write these at least down.
[00:54:19.260 --> 00:54:22.640]   So it's always like I read also, yeah,
[00:54:22.640 --> 00:54:24.260]   news and newsletters around machine learning
[00:54:24.260 --> 00:54:27.300]   and deep learning, and there's always so much more stuff
[00:54:27.300 --> 00:54:29.580]   out there than I could possibly read.
[00:54:29.580 --> 00:54:30.940]   I just take notes.
[00:54:30.940 --> 00:54:35.460]   So I have files where I have topics, different topics.
[00:54:35.460 --> 00:54:38.500]   For example, topic is transformer,
[00:54:38.500 --> 00:54:40.860]   and then I have subcategories of visual transformers
[00:54:40.860 --> 00:54:44.020]   and language transformers and transformers
[00:54:44.020 --> 00:54:45.340]   for tabular data sets.
[00:54:45.340 --> 00:54:49.020]   And then if I find a paper or something new or news
[00:54:49.020 --> 00:54:51.780]   that falls into that category, I put that there.
[00:54:51.780 --> 00:54:55.820]   And I have a checkbox, and I'm hoping to read that one day.
[00:54:55.820 --> 00:54:59.340]   But what I do is I also have a weekly to-do list.
[00:54:59.340 --> 00:55:02.140]   So every Sunday, so it will be later today,
[00:55:02.140 --> 00:55:04.900]   I sit down and plan what I have to do for the week.
[00:55:04.900 --> 00:55:09.620]   And in there are two research papers and one video.
[00:55:09.620 --> 00:55:13.220]   It's mostly a conference video or conference talk.
[00:55:13.220 --> 00:55:15.420]   Sometimes I don't get to even read the two papers
[00:55:15.420 --> 00:55:16.580]   because there are too many other things,
[00:55:16.580 --> 00:55:18.460]   but I aim for reading two papers.
[00:55:18.460 --> 00:55:23.460]   So I'm trying to aim for having at least some consistency
[00:55:23.460 --> 00:55:29.740]   and not always, if you find something interesting,
[00:55:29.740 --> 00:55:31.780]   not getting distracted from your current task
[00:55:31.780 --> 00:55:32.620]   and jump to that one.
[00:55:32.620 --> 00:55:35.500]   Because yeah, that is, so I try to be disciplined.
[00:55:35.500 --> 00:55:39.080]   Okay, this is what I planned to read this week.
[00:55:39.080 --> 00:55:41.700]   And I have a list of things I want to read in the future.
[00:55:41.700 --> 00:55:43.620]   And if I see something interesting on the internet,
[00:55:43.620 --> 00:55:44.700]   I put that in there.
[00:55:44.700 --> 00:55:46.420]   And then each Sunday I would write,
[00:55:46.420 --> 00:55:48.700]   okay, should I read this new one I read
[00:55:48.700 --> 00:55:50.900]   or something I had bookmarked before?
[00:55:50.900 --> 00:55:52.420]   And then you have to make a decision
[00:55:52.420 --> 00:55:54.900]   which one is currently the most important one.
[00:55:54.900 --> 00:55:56.740]   And sometimes you will find,
[00:55:56.740 --> 00:55:59.100]   you have all these cool things that you see on the internet
[00:55:59.100 --> 00:56:00.060]   and you keep a list of them,
[00:56:00.060 --> 00:56:01.620]   but then like one or two weeks later,
[00:56:01.620 --> 00:56:03.180]   hmm, okay, that was actually cool,
[00:56:03.180 --> 00:56:04.220]   but it was not that cool.
[00:56:04.220 --> 00:56:05.900]   So actually, yeah.
[00:56:05.900 --> 00:56:07.700]   So just putting that down
[00:56:07.700 --> 00:56:10.140]   and then not immediately jumping to it,
[00:56:10.140 --> 00:56:13.220]   but just maybe thinking about revisiting it later
[00:56:13.220 --> 00:56:15.780]   might be something to kind of like at least curb
[00:56:15.780 --> 00:56:17.080]   the fear of missing out a little bit.
[00:56:17.080 --> 00:56:20.220]   But it is tricky because there are so many things out there
[00:56:20.220 --> 00:56:23.060]   that are exciting and you can't do everything really.
[00:56:23.060 --> 00:56:23.900]   Yeah.
[00:56:23.900 --> 00:56:24.900]   - That's fascinating to know.
[00:56:24.900 --> 00:56:26.780]   Sebastian, I love your opinion on this.
[00:56:26.780 --> 00:56:29.340]   I know you mentioned you shouldn't try to read all papers.
[00:56:29.340 --> 00:56:32.380]   As someone like me who's early in their career,
[00:56:32.380 --> 00:56:35.780]   I feel like for me, I try to read the impactful papers.
[00:56:35.780 --> 00:56:39.220]   So I'm reading sometimes more than one paper a day
[00:56:39.220 --> 00:56:42.220]   just because these are these classic papers.
[00:56:42.220 --> 00:56:45.300]   Moscow CNN was on my desk today.
[00:56:45.300 --> 00:56:47.460]   FCN was there on my desk.
[00:56:47.460 --> 00:56:48.860]   Do you think this is the right approach
[00:56:48.860 --> 00:56:51.020]   for at least the classical papers
[00:56:51.020 --> 00:56:52.260]   if you're trying to read more of them
[00:56:52.260 --> 00:56:55.140]   just to establish your understanding?
[00:56:55.140 --> 00:56:55.980]   - Yeah, that's a good point.
[00:56:55.980 --> 00:56:58.140]   And I also wanted to say,
[00:56:58.140 --> 00:57:01.200]   I read, let's say more than two papers a week,
[00:57:01.200 --> 00:57:04.260]   but with reading, I meant really like reading them in detail.
[00:57:04.260 --> 00:57:07.460]   So like most papers, I just skim to be honest.
[00:57:07.460 --> 00:57:10.740]   I have maybe like five papers a week that I skim.
[00:57:10.740 --> 00:57:12.340]   I think it's a good point.
[00:57:12.340 --> 00:57:13.180]   There are-
[00:57:13.180 --> 00:57:15.820]   - Sorry, I meant it in the same sense
[00:57:15.820 --> 00:57:17.380]   as someone who's just starting out,
[00:57:17.380 --> 00:57:19.780]   I feel they should be reading more just to capture.
[00:57:19.780 --> 00:57:21.220]   And once they have the understanding,
[00:57:21.220 --> 00:57:24.620]   then they can really understand one or two papers a week
[00:57:24.620 --> 00:57:26.500]   once they have a good understanding.
[00:57:26.500 --> 00:57:27.980]   Do you agree with that?
[00:57:27.980 --> 00:57:30.860]   - Yeah, no, I totally agree with that because papers,
[00:57:30.860 --> 00:57:35.420]   yeah, this goes back to the question
[00:57:35.420 --> 00:57:36.900]   why you read the paper, right?
[00:57:36.900 --> 00:57:40.940]   So, and this is also why I don't have
[00:57:40.940 --> 00:57:43.200]   like a reference manager for papers
[00:57:43.200 --> 00:57:46.460]   where I take notes about that paper.
[00:57:46.460 --> 00:57:49.580]   I have more like something where I have projects
[00:57:49.580 --> 00:57:52.600]   and then for each project, I take notes about that paper.
[00:57:52.600 --> 00:57:55.560]   'Cause sometimes I read the same paper multiple times
[00:57:55.560 --> 00:57:56.780]   for different purposes.
[00:57:56.780 --> 00:58:00.780]   And I think that goes kind of what you said is
[00:58:00.780 --> 00:58:01.780]   when you read the paper,
[00:58:01.780 --> 00:58:03.880]   so depends on what you're interested in.
[00:58:03.880 --> 00:58:05.580]   Are you interested in the hyperparameters?
[00:58:05.580 --> 00:58:07.380]   Maybe then you read the section differently
[00:58:07.380 --> 00:58:10.380]   compared to a math part or something like that,
[00:58:10.380 --> 00:58:11.960]   or the related work part.
[00:58:11.960 --> 00:58:13.780]   Sometimes I honestly just read a paper
[00:58:13.780 --> 00:58:15.500]   because I want to know the related work.
[00:58:15.500 --> 00:58:17.180]   And then I follow up with the related work.
[00:58:17.180 --> 00:58:19.260]   I don't so much care about the method itself.
[00:58:19.260 --> 00:58:20.940]   So sometimes you just have a good introduction
[00:58:20.940 --> 00:58:22.220]   or related work section.
[00:58:22.220 --> 00:58:25.340]   And yeah, here it really depends.
[00:58:25.340 --> 00:58:29.340]   I think it makes sense to read a lot of papers,
[00:58:29.340 --> 00:58:32.260]   but I think it doesn't make so much sense
[00:58:32.260 --> 00:58:34.820]   to read a lot of papers in detail.
[00:58:34.820 --> 00:58:37.580]   So skimming a lot of papers makes a lot of sense
[00:58:37.580 --> 00:58:39.300]   and focusing on certain sections.
[00:58:39.300 --> 00:58:42.980]   But also if you think about a topic
[00:58:42.980 --> 00:58:44.460]   you are already familiar with,
[00:58:44.460 --> 00:58:46.680]   it doesn't make so much sense
[00:58:46.680 --> 00:58:49.180]   to read the complete papers in detail
[00:58:49.180 --> 00:58:51.740]   because the introduction is kind of like similar
[00:58:51.740 --> 00:58:52.880]   every time, every paper.
[00:58:52.880 --> 00:58:54.500]   It's just something necessary
[00:58:54.500 --> 00:58:56.060]   that the authors have to provide,
[00:58:56.060 --> 00:58:58.340]   but then it would be kind of not very efficient
[00:58:58.340 --> 00:59:00.500]   to read every introduction in detail.
[00:59:00.500 --> 00:59:02.820]   So you can jump to the most interesting parts.
[00:59:02.820 --> 00:59:05.620]   So in that way, yeah, being a little bit,
[00:59:05.620 --> 00:59:07.260]   I would say time efficient with papers
[00:59:07.260 --> 00:59:09.460]   is also I think important.
[00:59:09.460 --> 00:59:11.580]   But yeah, sometimes also there's no,
[00:59:11.580 --> 00:59:12.940]   I would say a rule of thumb,
[00:59:12.940 --> 00:59:13.900]   how long it should take,
[00:59:13.900 --> 00:59:16.220]   because it really depends on why you read the paper.
[00:59:16.220 --> 00:59:17.980]   If you do a review, you have to spend
[00:59:17.980 --> 00:59:19.220]   maybe three or four hours.
[00:59:19.220 --> 00:59:21.140]   If you only care about, okay,
[00:59:21.140 --> 00:59:22.420]   how did they tune the hyperparameters?
[00:59:22.420 --> 00:59:25.680]   Is there like a learning rate schedule I find useful?
[00:59:25.680 --> 00:59:28.600]   You read that, it can be five minutes, right?
[00:59:28.600 --> 00:59:31.420]   Yeah, so it doesn't make sense
[00:59:31.420 --> 00:59:34.220]   if you only want to know about the learning rate schedule
[00:59:34.220 --> 00:59:36.620]   in the paper they use to read all about
[00:59:36.620 --> 00:59:39.580]   the related work or something like that.
[00:59:39.580 --> 00:59:43.340]   So yeah, there's I think a trade-off
[00:59:43.340 --> 00:59:45.260]   between what you want to get out of this paper,
[00:59:45.260 --> 00:59:46.660]   but also learning something useful.
[00:59:46.660 --> 00:59:49.140]   I think that's a tricky, tricky question.
[00:59:49.140 --> 00:59:50.740]   I wish I could read more papers,
[00:59:50.740 --> 00:59:52.700]   but then you also have to always think about,
[00:59:52.700 --> 00:59:54.420]   okay, instead of reading the paper,
[00:59:54.420 --> 00:59:55.820]   you could also read a textbook,
[00:59:55.820 --> 00:59:57.380]   which has more information,
[00:59:57.380 --> 00:59:59.740]   which is more dense about certain things.
[00:59:59.740 --> 01:00:03.100]   So of course, in an ideal world, I would do everything,
[01:00:03.100 --> 01:00:05.820]   but it's always like trading off things also.
[01:00:05.820 --> 01:00:08.860]   - That's great advice.
[01:00:08.860 --> 01:00:11.060]   Sebastian, is it okay to squeeze in another question?
[01:00:11.060 --> 01:00:11.900]   I know we're out of time.
[01:00:11.900 --> 01:00:13.260]   - Sure, we can do one more.
[01:00:13.260 --> 01:00:17.420]   - So this is by Brian Bishop, who's from Bates & Bises.
[01:00:17.420 --> 01:00:21.580]   What machine learning topic doesn't get enough attention
[01:00:21.580 --> 01:00:24.020]   that students should absolutely know?
[01:00:24.020 --> 01:00:27.020]   So any underrated topic, students?
[01:00:27.020 --> 01:00:30.340]   - I would say nowadays there's a lot of hype
[01:00:30.340 --> 01:00:34.660]   around deep learning, which is reasonable,
[01:00:34.660 --> 01:00:36.420]   which is totally justified.
[01:00:36.420 --> 01:00:38.940]   But then at the expense of deep learning,
[01:00:38.940 --> 01:00:42.820]   we sometimes forget the traditional methods.
[01:00:42.820 --> 01:00:45.300]   So maybe not necessarily something like,
[01:00:45.300 --> 01:00:47.020]   I mean, Naive Bayes and SVMs
[01:00:47.020 --> 01:00:49.700]   are also very important fundamentals,
[01:00:49.700 --> 01:00:51.940]   but I think gradient boosting.
[01:00:51.940 --> 01:00:55.740]   Honestly, I have even colleagues,
[01:00:55.740 --> 01:00:58.500]   let's say who are not super familiar with gradient boosting
[01:00:58.500 --> 01:01:01.900]   because it's somewhere in between like traditional methods
[01:01:01.900 --> 01:01:04.220]   and deep learning, not in terms of how they work,
[01:01:04.220 --> 01:01:05.420]   but the timeline.
[01:01:05.420 --> 01:01:08.260]   So SVMs were like super popular in the '90s.
[01:01:08.260 --> 01:01:10.140]   Everyone knows about them in some way.
[01:01:10.140 --> 01:01:12.900]   And a lot of classes teach you these types of things.
[01:01:12.900 --> 01:01:14.260]   And then there are classes that teach you
[01:01:14.260 --> 01:01:15.580]   about neural networks and deep learning.
[01:01:15.580 --> 01:01:19.180]   But I think when I looked at syllabi,
[01:01:19.180 --> 01:01:21.220]   a lot of people don't talk about gradient boosting.
[01:01:21.220 --> 01:01:25.100]   And I think this is something important to teach,
[01:01:25.100 --> 01:01:26.260]   I feel like.
[01:01:26.260 --> 01:01:29.620]   So I feel like this is an underappreciated technique
[01:01:29.620 --> 01:01:30.580]   in a sense.
[01:01:30.580 --> 01:01:31.860]   Might not be true everywhere.
[01:01:31.860 --> 01:01:35.460]   I think, I mean, your mileage may vary,
[01:01:35.460 --> 01:01:38.260]   but I feel like this is like a thing
[01:01:38.260 --> 01:01:41.540]   in your tool bag to know about, if that makes sense.
[01:01:41.540 --> 01:01:43.620]   - Awesome.
[01:01:43.620 --> 01:01:45.060]   On that note, I'll try to wrap up
[01:01:45.060 --> 01:01:47.500]   and I'll remind the audience that Sebastian,
[01:01:47.500 --> 01:01:49.180]   as you mentioned, in the fourth,
[01:01:49.180 --> 01:01:51.100]   not the fourth edition of,
[01:01:51.100 --> 01:01:53.300]   in the newer edition of this book,
[01:01:53.300 --> 01:01:54.620]   he'll be covering these topics.
[01:01:54.620 --> 01:01:56.300]   So keep an eye out for that.
[01:01:56.300 --> 01:01:59.660]   I'm guessing in the first part of next year,
[01:01:59.660 --> 01:02:01.660]   we should be able to do it with that.
[01:02:01.660 --> 01:02:03.860]   And let me quickly share my screen
[01:02:03.860 --> 01:02:06.340]   and remind the audience to follow Sebastian on Twitter.
[01:02:06.340 --> 01:02:08.900]   He is @RASBT.
[01:02:08.900 --> 01:02:11.100]   That is again @RASBT.
[01:02:11.100 --> 01:02:12.860]   That's his handle on Twitter.
[01:02:12.860 --> 01:02:15.100]   I always learn a lot just based on the resources
[01:02:15.100 --> 01:02:16.540]   he shares there.
[01:02:16.540 --> 01:02:18.820]   You can also hop over to his website from there
[01:02:18.820 --> 01:02:22.740]   and find his courses on YouTube.
[01:02:22.740 --> 01:02:25.980]   They're incredibly education-packed
[01:02:25.980 --> 01:02:27.820]   and really high quality.
[01:02:27.820 --> 01:02:30.260]   Any other platform you want to mention?
[01:02:30.260 --> 01:02:33.580]   - I don't have anything else in mind,
[01:02:33.580 --> 01:02:34.420]   but thank you so much.
[01:02:34.420 --> 01:02:35.460]   I wanted to just say something
[01:02:35.460 --> 01:02:36.580]   about my Twitter handle actually,
[01:02:36.580 --> 01:02:38.260]   because there wasn't a question,
[01:02:38.260 --> 01:02:40.860]   but I think just want to talk about it.
[01:02:40.860 --> 01:02:44.220]   So it's short for RASCHKA Sebastian.
[01:02:44.220 --> 01:02:46.020]   And I spent a lot of time back then
[01:02:46.020 --> 01:02:47.380]   coming up with a handle.
[01:02:47.380 --> 01:02:51.140]   So R-A for RASCHKA and S-B-T for Sebastian,
[01:02:51.140 --> 01:02:53.020]   because that was like long time ago
[01:02:53.020 --> 01:02:56.900]   when Twitter had a 140 character limit
[01:02:56.900 --> 01:02:59.540]   and a short handle was very precious.
[01:02:59.540 --> 01:03:02.060]   So I really tried very hard to come up
[01:03:02.060 --> 01:03:03.900]   with something as short as possible.
[01:03:03.900 --> 01:03:06.820]   Now it's a little bit awkward maybe to remember R-A-S-B-T,
[01:03:06.820 --> 01:03:08.140]   but yeah, that's where it's coming from
[01:03:08.140 --> 01:03:11.940]   because back then characters were very precious on Twitter.
[01:03:11.940 --> 01:03:15.380]   So nowadays I wish I had maybe a more longer Twitter handle
[01:03:15.380 --> 01:03:18.780]   that is let's say more like easy to remember or something,
[01:03:18.780 --> 01:03:20.260]   but yeah.
[01:03:20.260 --> 01:03:22.500]   So thanks so much for the invitation.
[01:03:22.500 --> 01:03:25.300]   Yeah, thanks so much for also talking about my book
[01:03:25.300 --> 01:03:29.980]   and yeah, that was like a fun hour to spend here.
[01:03:29.980 --> 01:03:30.820]   I really enjoyed it.
[01:03:30.820 --> 01:03:32.020]   - Thanks for your time.
[01:03:32.020 --> 01:03:34.220]   It was an honor to have you on the podcast earlier
[01:03:34.220 --> 01:03:37.020]   and again an honor to learn from you live this time
[01:03:37.020 --> 01:03:38.380]   and also have the audience with it.
[01:03:38.380 --> 01:03:40.700]   So thanks so much to you for your time.
[01:03:40.700 --> 01:03:43.340]   - Yeah, thank you and have a good rest of the day then.
[01:03:43.340 --> 01:03:46.300]   - And so I will end the live stream here.
[01:03:46.300 --> 01:03:48.380]   Thanks everybody for joining.
[01:03:48.380 --> 01:03:50.420]   - Yeah, thanks everyone for the questions.

