
[00:00:00.000 --> 00:00:05.280]   As a parent or mentor you have the awesome opportunity to help a young person build a future
[01:15:54.860 --> 01:16:01.300]   that radio chip in it is communicating with local cell phone towers and it's establishing a constant
[01:16:01.300 --> 01:16:07.500]   Connection through the local cell phone towers if your phone can reach a tower. It's reporting its position
[01:16:07.500 --> 01:16:12.980]   It's reporting its position through triangulation for the towers and they could tell exactly where it is
[01:16:12.980 --> 01:16:20.540]   So now you go back and let's use an event like say if you were in Washington DC on January 6 for a protest
[01:16:20.540 --> 01:16:21.900]   and
[01:16:21.900 --> 01:16:26.140]   You had your cell phone on you or if you were in downtown
[01:16:26.140 --> 01:16:30.380]   Insert City here for a protest and you had your cell phone on you
[01:16:30.380 --> 01:16:33.980]   If that cell phone is on you and it is powered on it is
[01:16:33.980 --> 01:16:38.900]   Communicating with a tower and it is creating a real-time record of your location
[01:16:38.900 --> 01:16:44.780]   This is for the most part for most of us doesn't matter right not going anywhere a place
[01:16:44.780 --> 01:16:47.980]   I shouldn't be right to go and protest as a First Amendment, right?
[01:16:47.980 --> 01:16:52.500]   There's no reason why I can't assemble on the streets of my local town. There's no problem with it
[01:16:52.500 --> 01:16:59.260]   But what happens is oftentimes there are events and then frequently in this case is law enforcement law enforcement will go and they will
[01:16:59.260 --> 01:17:05.780]   Solicit the request the subpoena the records from all the local cell phone providers and say tell us all of the phones that were
[01:17:05.780 --> 01:17:12.380]   In this certain place at this certain time and then continue their investigations and sometimes a protest that you went to
[01:17:12.740 --> 01:17:20.140]   that you thought was just a good ordinary protest for you to say say your mind downtown Kenosha, Wisconsin or
[01:17:20.140 --> 01:17:22.540]   You know downtown Washington DC, etc
[01:17:22.540 --> 01:17:25.380]   Can or just a local gathering of some kind?
[01:17:25.380 --> 01:17:30.180]   Call of a sudden loops you into some stuff that you really didn't want to be involved with and can wreck your life
[01:17:30.180 --> 01:17:37.260]   so the first vulnerability in a cell phone is the radio chip if a cell phone is powered on and if it has contact with
[01:17:37.260 --> 01:17:38.220]   a
[01:17:38.220 --> 01:17:41.020]   Tower it's creating a real-time record of your location
[01:17:41.460 --> 01:17:48.700]   Tower it's creating a real-time location now in some cases even if the phone is powered off if it's within contact with the tower
[01:17:48.700 --> 01:17:50.340]   It's creating a real-time connection
[01:17:50.340 --> 01:17:54.980]   I noticed with the most recent update from Apple on my iPhone that I had that it said
[01:17:54.980 --> 01:17:57.780]   We know that find my iPhone is going to work
[01:17:57.780 --> 01:18:03.660]   Even if your phone is powered off and we in the privacy community, they've been saying for a very long time
[01:18:03.660 --> 01:18:05.100]   Oh look, even if your phone is off
[01:18:05.100 --> 01:18:08.620]   It can still be accessed remotely and people weren't really sure well
[01:18:08.620 --> 01:18:13.300]   There was right on the screen of my iPhone last week saying find my iPhone is still gonna work
[01:18:13.300 --> 01:18:20.100]   even if your phone is powered off kind of a confirmation of that the second problem is that your phone has in it a
[01:18:20.100 --> 01:18:23.820]   GPS chip and so that GPS chip is also
[01:18:23.820 --> 01:18:28.340]   Absorbing and consuming data third problem is there's a wireless card
[01:18:28.340 --> 01:18:32.780]   And so it's keeping a record of all the Wi-Fi networks nearby the Bluetooth networks, etc
[01:18:32.780 --> 01:18:37.420]   And this is why even if you don't give Facebook author is your Facebook app on your phone
[01:18:37.660 --> 01:18:41.460]   Even if you don't authorize it to have access to your location
[01:18:41.460 --> 01:18:44.900]   It still knows exactly where you are. Even if it's not using your exact GPS chip
[01:18:44.900 --> 01:18:48.100]   It's using the information from all of those networks that are around
[01:18:48.100 --> 01:18:52.500]   This is why if you go into a foreign country and you want to navigate with your GPS
[01:18:52.500 --> 01:18:54.700]   even if you have your phone an airplane mode with Wi-Fi and
[01:18:54.700 --> 01:19:00.580]   Bluetooth on the phone can still figure out where it is because it has a GPS chip and it's accessing the local networks and
[01:19:00.580 --> 01:19:02.780]   Having an idea of where it is
[01:19:02.820 --> 01:19:06.740]   So now when you add to these sensors that it give real-time
[01:19:06.740 --> 01:19:14.320]   Geolocation data you add the other things that are in a phone you add the cameras and you add the microphone you get a very significant
[01:19:14.320 --> 01:19:21.140]   vulnerability now most of us are not being hunted by some by the US Marshals or by the NSA or by the
[01:19:21.140 --> 01:19:27.300]   Russian blah blah blah or the Chinese government most of us are not but some of us are right some of us have positions of
[01:19:27.300 --> 01:19:32.640]   power some of us have position where leaders and companies and there are people who are paying our competitors to
[01:19:32.760 --> 01:19:34.200]   to
[01:19:34.200 --> 01:19:40.960]   Going online and contacting a hacker and saying hey, I'd like you to study out the competitor who's leading the local
[01:19:40.960 --> 01:19:45.560]   You know fortune 500 company or who's in the the c-suite level
[01:19:45.560 --> 01:19:49.800]   I want to not find out where he is and this data is generally publicly available
[01:19:49.800 --> 01:19:53.760]   So if you're creating the data, although it's been denied many times
[01:19:53.760 --> 01:20:00.200]   There's ample evidence that the big cell phone companies were sharing this data and this data was available for purchase
[01:20:00.200 --> 01:20:01.800]   And so again think here again
[01:20:01.800 --> 01:20:05.920]   Most of us are not coming to the attention of law enforcement a lot of the time
[01:20:05.920 --> 01:20:12.480]   You simply might have a competitor or somebody who's trying to get inside industry information. So how do you get out of all this?
[01:20:12.480 --> 01:20:18.000]   Well, first way is you can just say I'm not gonna carry a cell phone. I'm gonna carry a CB radio
[01:20:18.000 --> 01:20:23.520]   Well that doesn't work for most people if you had the discipline where you could simply go around with a computer
[01:20:23.520 --> 01:20:28.840]   You could set up a secure computer and then you could find a Wi-Fi network when you needed one and you could do that
[01:20:28.840 --> 01:20:34.280]   But most of us don't want to fit a 15-inch Acer laptop running Linux in our back pocket. That doesn't really work
[01:20:34.280 --> 01:20:40.080]   So what are the alternatives to this you could if possible you could have some kind of device
[01:20:40.080 --> 01:20:43.320]   That would allow you to access information
[01:20:43.320 --> 01:20:48.000]   with minimal with with fewer of these radio chips and
[01:20:48.000 --> 01:20:54.060]   These devices would be known as an iPhone or an iPad right an iPad mini could also work
[01:20:54.060 --> 01:20:57.080]   So if you were to purchase sue me, I said iPhone I meant iPod
[01:20:57.600 --> 01:21:02.360]   if you were to Apple is for many years sold the iPod touch which
[01:21:02.360 --> 01:21:07.240]   Functionally works the same as the iPhone in terms of the apps that can be loaded onto it
[01:21:07.240 --> 01:21:11.220]   But it doesn't have a cellular card in it. It doesn't have a GPS chip
[01:21:11.220 --> 01:21:17.500]   So it's automatically creating fewer records and it's automatically communicating less with the local
[01:21:17.500 --> 01:21:19.040]   radio signals
[01:21:19.040 --> 01:21:25.080]   so if you take an iPod touch or you can do the same thing with an iPad mini or an iPad that doesn't have a
[01:21:25.160 --> 01:21:31.360]   Cellular card in it and you simply use it you use the Wi-Fi in it and you turn on a VPN
[01:21:31.360 --> 01:21:35.000]   You can access the information that you need from those applications without
[01:21:35.000 --> 01:21:38.660]   Creating all of the metadata all of the location data
[01:21:38.660 --> 01:21:42.720]   And so Gabriel is talking about as many people are quite sensitive about where do I sleep at night?
[01:21:42.720 --> 01:21:49.120]   and so they'll have the iPod touch which allows them to be in contact at home and then when traveling they might use an iPhone or
[01:21:49.120 --> 01:21:53.680]   some people who are super hardcore will take an iPod touch pair that with something like a
[01:21:54.680 --> 01:22:00.240]   What's it called the hotspot jetpack type of thing an internet jetpack device to get internet data
[01:22:00.240 --> 01:22:04.360]   And so this is one of your if you really if privacy were a big deal to you
[01:22:04.360 --> 01:22:07.320]   You were a big shot. You had a big risk profile or something like that
[01:22:07.320 --> 01:22:12.640]   Then this would be one way of accessing mobile data. You would have some kind of internet
[01:22:12.640 --> 01:22:16.040]   hotspot device
[01:22:16.040 --> 01:22:19.280]   Frequently the nice thing about those is they don't have cameras on them. They don't have
[01:22:19.960 --> 01:22:25.800]   Microphones they don't have speakers. They don't have GPS chips. They're just on the on the on the internet service
[01:22:25.800 --> 01:22:26.480]   also
[01:22:26.480 --> 01:22:28.240]   Frequently they have a removable batteries
[01:22:28.240 --> 01:22:32.520]   and so if you want to get them off the grid you pop the battery off and then you pair that with something like an
[01:22:32.520 --> 01:22:39.240]   iPod touch or an iPad mini that doesn't have a radio a cell phone radio chip in it and you have a pretty good
[01:22:39.240 --> 01:22:46.120]   Solution that allows you to stay connected when you want to be but have fewer of the vulnerabilities of the constant and never-ending metadata
[01:22:46.120 --> 01:22:49.960]   All I would say is I would personally never go to any kind of protest of any kind
[01:22:49.960 --> 01:22:56.160]   And carry a cell phone in my pocket. And so if you need to have something have information
[01:22:56.160 --> 01:23:01.720]   On it and again, remember it's just because for this simple reason my guys are in power today
[01:23:01.720 --> 01:23:03.680]   But my guys won't be in power tomorrow
[01:23:03.680 --> 01:23:11.180]   And so if all of a sudden my guys aren't in power anymore and I go from politically favored to politically disfavored
[01:23:11.180 --> 01:23:15.660]   I got a problem and so you want to be thoughtful about that and this is one way of potentially doing that
[01:23:15.660 --> 01:23:17.460]   a good summary
[01:23:17.460 --> 01:23:19.460]   that that was that was
[01:23:19.460 --> 01:23:26.180]   Great Josh. It's it's that time of the afternoon. My coffee's running out. So I'm glad you picked up the slack there
[01:23:26.180 --> 01:23:30.380]   Let me just bring it home real quick for for the people who are made
[01:23:30.380 --> 01:23:33.240]   May be lost in the last 15 minutes
[01:23:33.240 --> 01:23:37.400]   Your location. Why would you want to protect your location?
[01:23:37.400 --> 01:23:40.040]   You mentioned a couple things if you're involved in a protest
[01:23:40.440 --> 01:23:46.700]   Of course your location can and if you've watched looked at the news lately the people in January 6th
[01:23:46.700 --> 01:23:49.660]   Their location was pinpointed. They were inside
[01:23:49.660 --> 01:23:53.860]   Federal property. Okay, they there's proof right there or they
[01:23:53.860 --> 01:24:00.660]   Said X or Y via SMS. They interrupt you just to add because that's super politically charged
[01:24:00.660 --> 01:24:08.340]   The Australian government is knocking on people's doors right and asking you have you been to a protest in violation of kovat regulations?
[01:24:08.460 --> 01:24:14.620]   So don't just think this is about like right-wing ism in the US like all over the world people are doing this continue correct
[01:24:14.620 --> 01:24:21.320]   Yes, maybe it's it's best to use a neutral thing. And of course during the the kovat stuff. There was all kinds of geolocation
[01:24:21.320 --> 01:24:25.660]   and here's one example in in South Korea, there was a
[01:24:25.660 --> 01:24:32.920]   There was a man who went to a shop now in South Korea. They they had an app they were being
[01:24:33.480 --> 01:24:38.600]   They were being monitored their location by their their cell phone. And as I mentioned in South Korea your cell phone is
[01:24:38.600 --> 01:24:43.920]   deeply attached to your national ID now this man goes to a restaurant and
[01:24:43.920 --> 01:24:47.600]   He tells the restaurant owner that he has
[01:24:47.600 --> 01:24:52.920]   Kovat and if he doesn't give him something for free he is going to
[01:24:52.920 --> 01:25:02.720]   Yes, he's going to blackmail him so with kovat, of course you can understand the importance of
[01:25:03.240 --> 01:25:10.420]   Location, but let me just cover a couple of other things. Let's say that you visit a gold shop or a gun shop
[01:25:10.420 --> 01:25:16.880]   You bring your phone with you. Well, there's a record that you have visited those locations in the US
[01:25:16.880 --> 01:25:22.500]   There is a vice president who has publicly laughed at the idea that the Second Amendment cannot be overturned
[01:25:22.500 --> 01:25:29.400]   So don't be any doubt about what the future might hold for people who have visited
[01:25:29.800 --> 01:25:33.840]   Gun shops if you're being stalked or you're a CEO or you're a wanted person
[01:25:33.840 --> 01:25:38.380]   Obviously your location is the difference between life and death sometimes
[01:25:38.380 --> 01:25:45.480]   Verizon and a lot of other I think probably all phone services
[01:25:45.480 --> 01:25:53.080]   Offer a marketing service in Verizon's case that's called Verizon insights and basically they will sell the location information of their customers
[01:25:53.080 --> 01:25:58.040]   To businesses who want it. So let's say you are at a Trump rally
[01:25:58.640 --> 01:26:00.560]   Let's say that there are people at a Trump rally
[01:26:00.560 --> 01:26:06.800]   Well Verizon can sell the information of those people who are at the Trump rally to somebody else so you can you can kind of see
[01:26:06.800 --> 01:26:11.760]   How your your phone location can be a bit of a vulnerability one more story
[01:26:11.760 --> 01:26:16.680]   There was a man riding his bike through a neighborhood one afternoon
[01:26:16.680 --> 01:26:19.960]   He he rode it back and forth a couple of times now
[01:26:19.960 --> 01:26:24.360]   He had his phone with him and he gets a message from Google that they were going to share his
[01:26:24.360 --> 01:26:27.000]   Have you told this story?
[01:26:27.520 --> 01:26:34.840]   I don't know this one. So he gets a message from Google. They have shared that or they're about to share various information
[01:26:34.840 --> 01:26:41.760]   Including his location with law enforcement and so he kind of panics what what's going on here hires a lawyer burns through savings
[01:26:41.760 --> 01:26:44.200]   Burns through some of his family's money
[01:26:44.200 --> 01:26:47.480]   Fighting this he doesn't want to give this out
[01:26:47.480 --> 01:26:53.120]   it turns out that he just had a phone with him and he had a Google app on there which we most of us do and
[01:26:53.120 --> 01:26:55.360]   Google
[01:26:55.360 --> 01:27:01.440]   Was noting just like his phone service, right? Google is also noting your location
[01:27:01.440 --> 01:27:06.680]   When you have it on your phone and Google was aware that he was in this area
[01:27:06.680 --> 01:27:12.920]   law enforcement will oftentimes go to Google when there's been a crime in an area which was the case here and
[01:27:12.920 --> 01:27:19.080]   This gentleman not only was in the crime scene once but twice and so he has to fight this
[01:27:19.080 --> 01:27:22.020]   He has to defend this he burns through his family savings
[01:27:22.520 --> 01:27:26.760]   and just one more reason about why you might just want to
[01:27:26.760 --> 01:27:33.480]   Use your phone less use a Faraday bag use something like graphene OS or use the iPhone and
[01:27:33.480 --> 01:27:40.120]   iPod touch strategy which we've talked about just just a few examples there of why your location
[01:27:40.120 --> 01:27:47.080]   Can be a serious vulnerability and if you say oh, no, I you know back the blue I
[01:27:47.640 --> 01:27:53.840]   Beg you go and spend a little time on innocence project calm go and read some of the cases
[01:27:53.840 --> 01:28:00.800]   That are found and you'll see why this is a major a major concern for completely innocent law-abiding
[01:28:00.800 --> 01:28:03.640]   Citizens just always remember this in the United States
[01:28:03.640 --> 01:28:09.920]   You live in the statistics you said earlier Gabriel one in twenty you live in the country if you live in the United States
[01:28:09.920 --> 01:28:16.820]   You're dealing with the country that incarcerates more of its citizens than any other country in the world by a wide margin
[01:28:16.820 --> 01:28:19.000]   I need to go and check and see if it's double the next one
[01:28:19.000 --> 01:28:25.240]   But it's by a wide margin very much more than anyone and yet what percentage of those
[01:28:25.240 --> 01:28:31.960]   Incarcerations are justified and what percentage of them are actually of guilty people
[01:28:31.960 --> 01:28:38.880]   That's a very very different number. So I think it's best to be prudent in all affairs. All right last thing Gabriel
[01:28:38.880 --> 01:28:46.040]   Do you what ideas do you have for the person who like me says Gabriel listen, I'm into it
[01:28:46.040 --> 01:28:50.840]   I think it's so cool to set the stuff up. I love it. I can't do it Gabe. I can't live
[01:28:50.840 --> 01:28:55.560]   I can't live this way. I can't run my business from a my pseudo number
[01:28:55.560 --> 01:29:00.280]   I can't get that I can't get SMS reliably from the verification on my bank account
[01:29:00.280 --> 01:29:04.960]   I get like I can't do it as well as I'd like to do it because having been a privacy
[01:29:04.960 --> 01:29:08.320]   Enthusiast you got to be committed because it's a real hassle
[01:29:08.320 --> 01:29:15.180]   You have spent dozens and dozens and if not hundreds of hours of your life working out ways that work and fixing things when they go
[01:29:15.180 --> 01:29:21.800]   Wrong, do you have any ideas for how you can just simply have everything work?
[01:29:21.800 --> 01:29:27.880]   Without being so committed if not, I'll give you mine. But like let's say that you said, all right
[01:29:27.880 --> 01:29:33.120]   I don't want to have it. I can't do this all the time. It's all lost. Do I have to give up privacy?
[01:29:33.120 --> 01:29:34.280]   What do you think?
[01:29:34.280 --> 01:29:38.480]   Well, of course what I will say first is if you're doing something
[01:29:38.480 --> 01:29:42.920]   It's obviously better than nothing if you were going all the way
[01:29:43.440 --> 01:29:47.980]   then you would have to go very far indeed, and I can't say that I have
[01:29:47.980 --> 01:29:51.840]   Gone that far whatsoever. So if you're doing something
[01:29:51.840 --> 01:29:57.980]   That's great. If you were just switch to Linux a Linux operating system
[01:29:57.980 --> 01:30:04.560]   So you're not giving Microsoft and and possibly Apple your data. You have one small victory. So don't be
[01:30:04.560 --> 01:30:12.320]   Don't feel that you're a failure for not having gone all the way if you've gone any distance at all
[01:30:12.600 --> 01:30:15.680]   That's a great thing in terms of strategies for making this
[01:30:15.680 --> 01:30:17.800]   more smooth
[01:30:17.800 --> 01:30:23.200]   More efficient. I don't I don't know. I wish there were unfortunately. It's it says
[01:30:23.200 --> 01:30:26.200]   Tolstoy said everybody
[01:30:26.200 --> 01:30:29.480]   Thinks about changing the world. No one thinks about changing themselves
[01:30:29.480 --> 01:30:32.640]   Okay, that doesn't quite fit what I'm saying
[01:30:32.640 --> 01:30:40.360]   But my point being that if you want to have privacy that by definition means that you are doing everything yourself
[01:30:40.360 --> 01:30:43.200]   You're doing more things yourself. You're relying on fewer and fewer
[01:30:43.200 --> 01:30:47.960]   Third parties external services that is difficult that requires a lot of work
[01:30:47.960 --> 01:30:54.000]   Maybe it's not worth it in the end, but I want to just have one more pitch for privacy here, which is that privacy?
[01:30:54.000 --> 01:30:57.280]   Can shield you from the increasingly?
[01:30:57.280 --> 01:30:59.880]   ideological
[01:30:59.880 --> 01:31:02.680]   Constraints that are placed on the Internet's if you are
[01:31:02.680 --> 01:31:07.520]   if you're not using a VPN if you have your
[01:31:08.040 --> 01:31:11.760]   Cookies and history being remembered on your browser, which I would recommend
[01:31:11.760 --> 01:31:19.880]   Not it can change if you're only using Google and Google search and YouTube it can change your access to reality
[01:31:19.880 --> 01:31:26.200]   You will be shown things that Google and whoever else wants you to see you will not be exposed to other things
[01:31:26.200 --> 01:31:31.160]   So what we're talking here is not just about protection, which is important, but we're talking about how you have access
[01:31:31.160 --> 01:31:36.880]   to reality to what's really going on in the world as opposed to what somebody some company some
[01:31:37.520 --> 01:31:43.200]   Institution wants you to see what that said Josh. Let me know what what what you're thinking about making things easier
[01:31:43.200 --> 01:31:50.480]   Well the point you're making to drive off of that. I read this really great article the other day by I wish I could cite him
[01:31:50.480 --> 01:31:54.040]   He was talking about his
[01:31:54.040 --> 01:32:01.880]   The way that he controls his children's internet usage and this essay I make this I thought that made this point brilliantly
[01:32:02.920 --> 01:32:09.720]   Many times as parents you feel a little bit guilty controlling and monitoring your children's usage now
[01:32:09.720 --> 01:32:14.000]   If you're a parent and you don't know every single thing that your child is doing on the Internet
[01:32:14.000 --> 01:32:18.600]   You're a fool and you're gonna reap what you are, you know, you're gonna reap major problems
[01:32:18.600 --> 01:32:22.560]   But you need to fix that first of all and there are some good tools for doing that
[01:32:22.560 --> 01:32:26.760]   But he was talking about this guilt. I know that was a strong statement, but please I beg you
[01:32:26.760 --> 01:32:31.580]   It's very very important that with your children. I hope this what I'm about to say gives you reason to do it
[01:32:31.800 --> 01:32:34.960]   He was talking about this guilt that sometimes you have a feel as a parent of
[01:32:34.960 --> 01:32:41.760]   Watching your children's activity and monitoring them and you say well this flies right in the face of privacy. What about their privacy?
[01:32:41.760 --> 01:32:48.960]   The point he made which I thought was so well put he said if you think that you have privacy on the Internet
[01:32:48.960 --> 01:32:50.960]   You're living in a like a world from
[01:32:50.960 --> 01:32:57.560]   1996 right you have no privacy on the Internet and he says you're you're behaving foolishly
[01:32:57.560 --> 01:33:01.360]   Because you think that you're on a free and open Internet where you have privacy
[01:33:01.360 --> 01:33:07.440]   You are you are the one being manipulated step by step for every single thing that you're doing
[01:33:07.440 --> 01:33:13.720]   You're the one who's being who ever everything that you do online is being controlled monitored watched
[01:33:13.720 --> 01:33:17.480]   absorbed purchased every single thing that you're doing online is
[01:33:17.480 --> 01:33:24.060]   Manipulated and you are falling prey to a non-stop flood of algorithms
[01:33:24.060 --> 01:33:29.280]   That are seeking to control your behavior systematically and his point as a parent
[01:33:30.320 --> 01:33:37.720]   Was that by monitoring my children's activities online and by the fact that they know that I'm monitoring
[01:33:37.720 --> 01:33:42.400]   Them I'm teaching them how to live in the world that we live in
[01:33:42.400 --> 01:33:50.000]   Which is a world of constant and never-ending monitoring and I thought it was I didn't say it as clearly and eloquently as he did
[01:33:50.000 --> 01:33:52.000]   But I thought that's a really powerful point
[01:33:52.000 --> 01:33:55.560]   I say immediately sent it to all my friends and family like listen
[01:33:55.560 --> 01:34:02.160]   This is this is a very important point because I have a bias for privacy and my children have no privacy with regard to their
[01:34:02.160 --> 01:34:03.360]   online activities
[01:34:03.360 --> 01:34:09.080]   And and they won't for a very very long time and I thought how do you reconcile this and I thought this is the wreck
[01:34:09.080 --> 01:34:10.680]   This is the way that you reconcile it
[01:34:10.680 --> 01:34:16.240]   Can you be private on the Internet for a few minutes if you're a techno wizard and you know how to set up?
[01:34:16.240 --> 01:34:18.320]   You know a sandboxed
[01:34:18.320 --> 01:34:24.680]   Virtual machine running through multiple layers of VPNs. That's everything like you can do it. It is possible
[01:34:25.200 --> 01:34:28.440]   but it requires a vastly high level of technical knowledge and
[01:34:28.440 --> 01:34:33.920]   So most of us aren't gonna reach that level or live that way on a daily basis
[01:34:33.920 --> 01:34:39.200]   I think your point Gabriel about using clean browsers is really valuable for many years
[01:34:39.200 --> 01:34:43.360]   I have used a clean browser to simply change the browser settings
[01:34:43.360 --> 01:34:47.480]   If you just set Firefox every time you close eliminate history eliminate cookies
[01:34:47.480 --> 01:34:53.840]   I'll just scrub scrub the browser that in and of itself gives you a very different experience on the Internet because you don't wind up
[01:34:53.840 --> 01:34:57.680]   In a side and in a silo you don't wind up just constantly having feedback
[01:34:57.680 --> 01:35:00.040]   Of the an echo chamber
[01:35:00.040 --> 01:35:05.520]   And so if you go on YouTube and every time you see just native naked YouTube without your being signed in
[01:35:05.520 --> 01:35:11.040]   It gives you a vastly different experience than your own personally trained, you know algorithmically enhanced
[01:35:11.040 --> 01:35:15.160]   Personal account. So I guess what I was saying was I
[01:35:15.160 --> 01:35:21.960]   Believe that the audience of radical personal finance tends to be quite wealthy and quite well educated and quite busy
[01:35:21.960 --> 01:35:23.960]   And I think that privacy
[01:35:23.960 --> 01:35:28.760]   You are exactly right. There are levels of privacy that are possible
[01:35:28.760 --> 01:35:31.880]   And that are and that every level is good, right?
[01:35:31.880 --> 01:35:38.000]   Just putting a VPN putting it on your phone putting on your computer running it. It's great gives you a major upgrade
[01:35:38.000 --> 01:35:43.360]   Being thoughtful about the apps that are on your phone gives you a good upgrade being thoughtful about where you go on the internet
[01:35:43.360 --> 01:35:47.680]   And how you go good good upgrades. My answer is you can use money to solve some of this
[01:35:47.680 --> 01:35:49.740]   We didn't talk and I for the sake of time
[01:35:49.740 --> 01:35:52.280]   I don't want to get into things like location privacy
[01:35:52.280 --> 01:35:57.640]   but after doing all kinds of stuff over the years on location privacy, I became convinced that
[01:35:57.640 --> 01:36:03.600]   If you can afford it the best way to have location privacy is just simply to have an apartment where you live
[01:36:03.600 --> 01:36:06.720]   that you don't personally set foot in much and
[01:36:06.720 --> 01:36:11.240]   Looking like a normal person is a big deal for phone privacy
[01:36:11.240 --> 01:36:11.720]   right
[01:36:11.720 --> 01:36:14.880]   one of the best things you can do is just have a traditional phone number a
[01:36:14.880 --> 01:36:18.880]   Traditional thing that's useful for two-factor authentication and verification, etc
[01:36:19.480 --> 01:36:25.240]   and so I spent I have spent a lot of time and a lot of money using many of the solutions and
[01:36:25.240 --> 01:36:30.080]   Found out the limits as to where they work and don't work similar like with a business. I love my pseudo
[01:36:30.080 --> 01:36:33.600]   I think it's great. I would never run a business on it. It's gotten better, right?
[01:36:33.600 --> 01:36:36.280]   But I would never run a business on it's not reliable enough
[01:36:36.280 --> 01:36:39.480]   So if I'm running a business, I'm gonna have a phone that's dedicated to that business
[01:36:39.480 --> 01:36:42.120]   But knowing how to leave that phone behind
[01:36:42.120 --> 01:36:47.040]   Knowing how to put the phone in a Faraday cage knowing how to use the phone for what it's just to be used for
[01:36:47.280 --> 01:36:54.280]   Maybe I teach people right having a backup set right having you may not use a private phone every day all the time
[01:36:54.280 --> 01:37:01.880]   But knowing that you have a privately purchased phone that's clean that set up that's ready to go that has service and that's sitting in a Faraday
[01:37:01.880 --> 01:37:08.000]   Cage, you know a Faraday bag in your buddies gun safe or in your storage unit or at your office or something like that
[01:37:08.000 --> 01:37:13.020]   So if you need that secondary form of communication, these are powerful ways to do it
[01:37:13.020 --> 01:37:19.220]   And so this is I've had this kind of tenuous relationship with privacy where I'm totally into it because I'm into like weird hardcore stuff
[01:37:19.220 --> 01:37:22.420]   Like that, but I find that a lot of the techniques are
[01:37:22.420 --> 01:37:28.580]   Difficult, but yet I'm really glad I'm into it because having it as a backup option has been really powerful
[01:37:28.580 --> 01:37:35.120]   And that's kind of my point is that if you're a guy who's making a good income and you don't have a private phone
[01:37:35.120 --> 01:37:37.120]   at least as a backup sitting somewhere I
[01:37:38.100 --> 01:37:40.700]   Think you're you're not planning ahead enough, right?
[01:37:40.700 --> 01:37:41.720]   if you don't have a
[01:37:41.720 --> 01:37:45.800]   place you can go and know how to go to a place where you could fall off the grid if you all of a
[01:37:45.800 --> 01:37:50.020]   Sudden we're on the front page of the newspaper. I don't think you're planning ahead well enough in the modern world
[01:37:50.020 --> 01:37:56.320]   That's that's all well said let me just say one final thing here, which is slight tangent
[01:37:56.320 --> 01:38:01.100]   But I want to make sure to say it and that is for people who think we've gone off the deep end here
[01:38:01.100 --> 01:38:05.580]   Let me get let me give you something very practical for the the wealthy listener out there
[01:38:05.580 --> 01:38:11.980]   let's say that you have your bank account and you have X amount of money in there and you have your coinbase account and you
[01:38:11.980 --> 01:38:16.920]   Have your fidelity and Vanguard accounts and you have X amount of stock in there
[01:38:16.920 --> 01:38:19.420]   the easiest thing you can do to protect that is
[01:38:19.420 --> 01:38:26.260]   To have two-factor authentication. I didn't mention this. I should have Joshua referenced it just a minute ago
[01:38:26.260 --> 01:38:31.300]   Go into your important accounts go to the settings set up two-factor authentication
[01:38:32.500 --> 01:38:40.180]   That is going to force you whenever you log in to provide a code that can be sent to your phone
[01:38:40.180 --> 01:38:45.900]   Or through an app like Authy and I recommend that you consider an app called Authy
[01:38:45.900 --> 01:38:49.840]   This is an easy way to make sure that you're not part of some of my recent clients
[01:38:49.840 --> 01:38:55.000]   Who the statistic of six trillion dollars of cybercrime per year?
[01:38:55.000 --> 01:39:01.780]   Which is growing which my clients recently have contributed to because they didn't have two-factor authentication in their important accounts
[01:39:01.900 --> 01:39:08.340]   Because they were using a Yahoo email address, which they didn't change the password and Yahoo accounts were breached a few years ago
[01:39:08.340 --> 01:39:13.420]   So there's the keys to the kingdom right there. They lose all of their coinbase money
[01:39:13.420 --> 01:39:19.380]   Just like that and you can't recover cryptocurrency. So have the two-factor authentication
[01:39:19.380 --> 01:39:27.500]   Change your email address to one that is not hackable. For example proton mail
[01:39:27.500 --> 01:39:32.060]   They do not have the credentials of their users so they cannot
[01:39:32.060 --> 01:39:38.780]   Theoretically have a breach. So go create you a proton mail email account change your important
[01:39:38.780 --> 01:39:43.460]   Financial accounts to that make sure you don't forget the password because you will be locked out for eternity
[01:39:43.460 --> 01:39:49.180]   set up your two-factor authentication and you will have just done your financial future a
[01:39:49.180 --> 01:39:51.860]   Huge benefit by making just those steps
[01:39:52.300 --> 01:39:59.740]   Absolutely. So I want to plug your book the watchman guide to privacy reclaim your digital financial and lifestyle freedom
[01:39:59.740 --> 01:40:02.300]   This book is fantastic. I
[01:40:02.300 --> 01:40:07.860]   Strongly recommend it. It's wonderful. It's a it's a really good and Gabriel
[01:40:07.860 --> 01:40:16.580]   You're very good at organizing information and you're very good at laying out kind of the philosophical underpinnings of your position and giving a good
[01:40:17.900 --> 01:40:23.540]   Introduction to people but also giving enough tidbits of how you can go deep in this book. I love this book
[01:40:23.540 --> 01:40:26.340]   I think it's great. You're also doing a podcast
[01:40:26.340 --> 01:40:33.500]   Yes, that is simply the watchman privacy podcast available pretty much anywhere including YouTube, etc
[01:40:33.500 --> 01:40:39.100]   So watchman privacy podcast and are you additionally maintaining a blog or is it most of your writing in this book?
[01:40:39.100 --> 01:40:43.540]   You can if you want to track me down get the book check out my podcast
