
[00:00:00.000 --> 00:00:09.680]   So today, it's my pleasure to welcome Joshua Batson from Anthropic.
[01:11:22.540 --> 01:11:33.540]   I mean, if you could fully adapt to compute, you could just have it go until it's some level of confidence, right, and get variable compute per token and then sort of bail if it's not.
[01:11:33.540 --> 01:11:39.540]   I think there is a trick-y thing about hallucination is, like, people think of it as being, like, a well-defined thing.
[01:11:39.540 --> 01:11:43.540]   But, like, you know, it's producing, like, reams of text.
[01:11:43.540 --> 01:11:46.540]   Like, which word is the one that went wrong, you know?
[01:11:46.540 --> 01:11:57.540]   And there are some very factual questions where that's true, but I think if you think more generally, like, what would make a given token a hallucination, it's, like, a little bit less clear.
[01:11:57.540 --> 01:11:59.540]   I want to just see if there's anything-- yeah, OK.
[01:11:59.540 --> 01:12:03.540]   So there's nothing else here other than, like, if you want more, read the stuff.
[01:12:03.540 --> 01:12:09.540]   And I get this-- probably this ends formally in, like, two or three minutes.
[01:12:09.540 --> 01:12:11.540]   Is that-- yeah.
[01:12:11.540 --> 01:12:14.540]   So I will just be done now.
[01:12:14.540 --> 01:12:19.540]   And then people can clap and people can leave if they want, but I will just stay for questions for a while.
[01:12:19.540 --> 01:12:22.540]   And I'm happy to, like, continue doing questions as long as people want.
[01:12:22.540 --> 01:12:23.540]   So thank you.
[01:12:23.540 --> 01:12:24.540]   Thank you.
[01:12:24.540 --> 01:12:25.540]   Thank you.
[01:12:25.540 --> 01:12:26.540]   Thank you.
[01:12:26.540 --> 01:12:27.540]   Thank you.
[01:12:27.540 --> 01:12:57.520]   Thank you.

