
[00:00:00.000 --> 00:00:01.400]   OK, hi, everybody.
[01:01:51.640 --> 01:01:54.200]   But for now, yeah, you can put that aside.
[01:01:54.200 --> 01:01:56.960]   Don't worry about it because we're
[01:01:56.960 --> 01:01:59.360]   going to go on to something much more familiar to everybody,
[01:01:59.360 --> 01:02:01.880]   which is chat.
[01:02:01.880 --> 01:02:08.560]   So chat is just a class which is going
[01:02:08.560 --> 01:02:10.120]   to keep track of the history.
[01:02:10.120 --> 01:02:11.720]   So self.h is the history.
[01:02:11.720 --> 01:02:13.680]   And it's going to start out as an empty list.
[01:02:13.680 --> 01:02:14.480]   There's no history.
[01:02:14.480 --> 01:02:23.680]   And it's also going to contain the client, which
[01:02:23.680 --> 01:02:25.720]   is the thing we just made.
[01:02:25.720 --> 01:02:28.200]   And so if you ask the chat for its use,
[01:02:28.200 --> 01:02:30.520]   it'll just pass it along to the client to get its use.
[01:02:30.520 --> 01:02:35.920]   You can give it some tools.
[01:02:35.920 --> 01:02:37.440]   And you can give it a system prompt.
[01:02:37.440 --> 01:02:46.320]   OK, so the system prompt, pass it in, no tools, no usage,
[01:02:46.320 --> 01:02:49.080]   no history.
[01:02:49.080 --> 01:02:53.080]   Again, there's a stream version and a non-stream version.
[01:02:53.080 --> 01:02:55.520]   So you can pass in stream as true or false.
[01:02:55.520 --> 01:02:58.840]   If you pass in stream, it'll use the stream version.
[01:02:58.840 --> 01:03:01.360]   Otherwise, it won't.
[01:03:01.360 --> 01:03:10.960]   So again, we patch in, done to call.
[01:03:10.960 --> 01:03:13.320]   Now, of course, we don't need to use patch.
[01:03:13.320 --> 01:03:17.440]   We could have put these methods directly in inside here.
[01:03:17.440 --> 01:03:21.080]   But I feel like I really prefer to do things much more
[01:03:21.080 --> 01:03:22.680]   interactively and step by step.
[01:03:22.680 --> 01:03:25.280]   So this way, I can create my class.
[01:03:25.280 --> 01:03:27.480]   And then I can just gradually add a little bit to it
[01:03:27.480 --> 01:03:28.920]   at a time as I need it.
[01:03:28.920 --> 01:03:31.840]   And I can also document it a little bit as the time,
[01:03:31.840 --> 01:03:34.000]   rather than having a big wall of code, which
[01:03:34.000 --> 01:03:35.480]   is just, I find, overwhelming.
[01:03:35.480 --> 01:03:45.160]   So all right, so there's a prompt.
[01:03:45.160 --> 01:03:46.840]   So if you pass in the prompt, then we
[01:03:46.840 --> 01:03:50.200]   add that to the history as a message.
[01:03:50.200 --> 01:03:57.560]   Now, get our tools.
[01:03:57.560 --> 01:03:59.800]   So I just call get schema for you automatically.
[01:03:59.800 --> 01:04:06.000]   And then at the end, we'll add to the history
[01:04:06.000 --> 01:04:08.640]   the results, which may include tool use.
[01:04:08.640 --> 01:04:10.560]   So now I can just call chat.
[01:04:10.560 --> 01:04:17.640]   And then I can call chat again.
[01:04:17.640 --> 01:04:19.280]   And as you can see, it's now got state.
[01:04:20.240 --> 01:04:21.040]   It knows my name.
[01:04:21.040 --> 01:04:28.000]   And the reason why is because each time it calls the client,
[01:04:28.000 --> 01:04:29.640]   it's passing in the entire history.
[01:04:29.640 --> 01:04:36.520]   So again, we can also add pre-fill, just like before.
[01:04:36.520 --> 01:04:40.640]   We can add streaming, just like before.
[01:04:40.640 --> 01:04:41.560]   And that's it, right?
[01:04:41.560 --> 01:04:47.680]   So you can see adding chat required almost no code.
[01:04:47.680 --> 01:04:50.600]   Really, it's just a case of adding everything
[01:04:50.600 --> 01:04:52.720]   to the history, and every time you call the client,
[01:04:52.720 --> 01:04:54.320]   passing in the whole history.
[01:04:54.320 --> 01:05:00.320]   So that's all a stateful-seeming language model is.
[01:05:00.320 --> 01:05:05.960]   So I don't actually have to write anything
[01:05:05.960 --> 01:05:08.400]   to get tool use to work, which is nice.
[01:05:08.400 --> 01:05:11.160]   I can just pass in my tools.
[01:05:11.160 --> 01:05:13.160]   And the nice thing, the kind of interesting thing
[01:05:13.160 --> 01:05:19.680]   here is that because the tool use request and response are
[01:05:19.680 --> 01:05:23.920]   both added to the history, to do the next step,
[01:05:23.920 --> 01:05:25.360]   I don't pass in anything at all.
[01:05:25.360 --> 01:05:27.000]   That's already in the history.
[01:05:27.000 --> 01:05:31.280]   So I just run it, and it goes ahead and tells me the answer.
[01:05:31.280 --> 01:05:37.120]   OK.
[01:05:37.120 --> 01:05:39.200]   Anything to say about that?
[01:05:39.200 --> 01:05:41.760]   So I know in chat GPT, it sometimes
[01:05:41.760 --> 01:05:44.920]   is, would you like to go ahead with this tool activation?
[01:05:44.920 --> 01:05:46.720]   And here, the model is responding
[01:05:46.720 --> 01:05:49.400]   with the tool use block, like it would like to use this tool.
[01:05:49.400 --> 01:05:51.440]   Do you have a way of interrupting
[01:05:51.440 --> 01:05:53.720]   before it actually runs the code that you gave it?
[01:05:53.720 --> 01:05:57.720]   Maybe you want to check the inputs or something like that?
[01:05:57.720 --> 01:06:03.200]   So you would need to put that into your function.
[01:06:03.200 --> 01:06:06.280]   So I've certainly done that before.
[01:06:06.280 --> 01:06:09.440]   So one of the things-- in fact, we'll see it shortly.
[01:06:09.440 --> 01:06:11.320]   I've got a code interpreter.
[01:06:11.320 --> 01:06:13.640]   And you don't want to run arbitrary code,
[01:06:13.640 --> 01:06:15.800]   so it asks you if you want to complete it.
[01:06:15.800 --> 01:06:19.040]   And part of the definition of the tool
[01:06:19.040 --> 01:06:21.000]   will be, what is the response that you
[01:06:21.000 --> 01:06:23.280]   get, Claude, if the user's declined
[01:06:23.280 --> 01:06:26.080]   your request to run the tool?
[01:06:26.080 --> 01:06:28.040]   Cool.
[01:06:28.040 --> 01:06:28.960]   OK.
[01:06:28.960 --> 01:06:31.960]   So I think people might imagine--
[01:06:31.960 --> 01:06:32.600]   Good question.
[01:06:32.600 --> 01:06:33.800]   Yeah.
[01:06:33.800 --> 01:06:36.720]   So I had my earlier question before we introduced chat,
[01:06:36.720 --> 01:06:40.360]   where we forked a conversation, as it were,
[01:06:40.360 --> 01:06:43.400]   just by forcing stuff into earlier exchanges.
[01:06:43.400 --> 01:06:45.360]   And at that point, we were talking about how
[01:06:45.360 --> 01:06:47.120]   the interface was stateless, because there
[01:06:47.120 --> 01:06:49.240]   were no session IDs.
[01:06:49.240 --> 01:06:52.600]   Now that we have these tool interactions with tool IDs,
[01:06:52.600 --> 01:06:54.600]   does that change the story?
[01:06:54.600 --> 01:06:57.960]   Like, let's say I had a sequence of interactions
[01:06:57.960 --> 01:07:00.960]   that involved tool use, and now I
[01:07:00.960 --> 01:07:03.480]   want to create three variations to explore
[01:07:03.480 --> 01:07:06.120]   different ways I might respond.
[01:07:06.120 --> 01:07:09.000]   Is that problematic?
[01:07:09.000 --> 01:07:10.080]   No, not at all.
[01:07:10.080 --> 01:07:10.840]   I mean, let's do it.
[01:07:10.840 --> 01:07:11.600]   So actually--
[01:07:11.600 --> 01:07:12.400]   OK, let's try it.
[01:07:12.400 --> 01:07:13.440]   Actually, I'm not Jeremy.
[01:07:13.440 --> 01:07:17.640]   I'm actually Alexis.
[01:07:17.640 --> 01:07:23.520]   You might want to zero index there.
[01:07:23.520 --> 01:07:24.020]   Thanks.
[01:07:24.020 --> 01:07:35.880]   So at this point, it's now going to be very confused,
[01:07:35.880 --> 01:07:39.720]   because I'm Alexis.
[01:07:39.720 --> 01:07:41.760]   It's nice to meet you, Jeremy.
[01:07:41.760 --> 01:07:42.440]   What's my name?
[01:07:42.440 --> 01:07:43.960]   Your name is Jeremy.
[01:07:43.960 --> 01:07:46.680]   So yeah, let's try.
[01:07:46.680 --> 01:07:50.600]   Poor thing.
[01:07:50.600 --> 01:08:01.520]   Lord, really?
[01:08:04.600 --> 01:08:06.480]   Does that answer your question, Alexis,
[01:08:06.480 --> 01:08:08.120]   if that is your real name?
[01:08:08.120 --> 01:08:09.240]   This is abuse of Claude.
[01:08:09.240 --> 01:08:13.920]   One day, this will be illegal.
[01:08:13.920 --> 01:08:18.880]   Yeah.
[01:08:18.880 --> 01:08:20.440]   And so I also had a question, too.
[01:08:20.440 --> 01:08:24.600]   Yes.
[01:08:24.600 --> 01:08:29.880]   And if Claude returns a tool block,
[01:08:29.920 --> 01:08:34.600]   and is that added as a tool block to the history?
[01:08:34.600 --> 01:08:35.480]   Yes.
[01:08:35.480 --> 01:08:39.480]   Does it have to be converted to a string?
[01:08:39.480 --> 01:08:42.080]   No, no, no.
[01:08:42.080 --> 01:08:44.040]   It's just the tool block as part of the history.
[01:08:44.040 --> 01:08:46.440]   The history is perfectly-- the messages
[01:08:46.440 --> 01:08:49.040]   can be those message objects.
[01:08:49.040 --> 01:08:50.760]   They don't have to be dictionaries.
[01:08:50.760 --> 01:08:53.640]   The contents don't have to be strings.
[01:08:53.640 --> 01:08:54.280]   OK.
[01:08:54.280 --> 01:08:55.320]   OK, cool.
[01:08:55.320 --> 01:08:57.160]   Yeah.
[01:08:57.160 --> 01:08:58.160]   All right.
[01:08:58.160 --> 01:09:05.840]   So I was delighted to discover how straightforward images are
[01:09:05.840 --> 01:09:07.960]   to deal with.
[01:09:07.960 --> 01:09:16.800]   So yeah, I mean, we can read in our image,
[01:09:16.800 --> 01:09:18.160]   and it's just a bunch of bytes.
[01:09:21.440 --> 01:09:26.480]   And Anthropx documentation describes
[01:09:26.480 --> 01:09:31.040]   how they expect images to come in.
[01:09:31.040 --> 01:09:35.280]   Here we are.
[01:09:35.280 --> 01:09:43.960]   So yeah, basically, this is just something
[01:09:43.960 --> 01:09:46.520]   which takes in the bytes of an image
[01:09:46.520 --> 01:09:49.720]   and creates the message that they expect,
[01:09:49.720 --> 01:09:51.400]   which is type image.
[01:09:51.400 --> 01:09:56.360]   And the source is a dictionary containing base64,
[01:09:56.360 --> 01:09:57.760]   a MIME type, and the data.
[01:09:57.760 --> 01:09:59.760]   Anyway, you don't have to worry about any of that
[01:09:59.760 --> 01:10:01.960]   because it does it all for you.
[01:10:01.960 --> 01:10:09.480]   And so if we have a look at that,
[01:10:09.480 --> 01:10:12.160]   that's what it looks like.
[01:10:12.160 --> 01:10:14.440]   And so because you could--
[01:10:14.440 --> 01:10:16.040]   and so they're kind of quite like this.
[01:10:16.040 --> 01:10:18.960]   You can have multiple images and multiple pieces of text
[01:10:18.960 --> 01:10:19.840]   in a request.
[01:10:19.840 --> 01:10:21.920]   They can be interleaved, whatever.
[01:10:21.920 --> 01:10:25.440]   So to do that, it means you can't just pass in strings.
[01:10:25.440 --> 01:10:28.560]   You have to pass in little dictionaries type
[01:10:28.560 --> 01:10:30.680]   text in the string.
[01:10:30.680 --> 01:10:33.560]   So here we can say, all right, let's create--
[01:10:33.560 --> 01:10:37.760]   this is a single message containing multiple parts.
[01:10:37.760 --> 01:10:40.800]   So maybe these functions should be called image part and text
[01:10:40.800 --> 01:10:41.280]   part.
[01:10:41.280 --> 01:10:42.560]   I don't know.
[01:10:42.560 --> 01:10:44.200]   But they're not.
[01:10:44.240 --> 01:10:51.040]   A single message contains an image and this prompt.
[01:10:51.040 --> 01:10:52.560]   And so then we pass that in.
[01:10:52.560 --> 01:10:54.120]   And you see I'm passing in a list
[01:10:54.120 --> 01:10:55.880]   because it's a list of messages.
[01:10:55.880 --> 01:10:58.520]   And the first message contains a list of parts.
[01:10:58.520 --> 01:11:01.880]   And yep, it does contain purple flowers.
[01:11:01.880 --> 01:11:07.120]   And then it's like, OK, well, there's
[01:11:07.120 --> 01:11:09.920]   no particular reason to have to manually do these things.
[01:11:09.920 --> 01:11:13.080]   We can perfectly well just look and see, oh, it's a string.
[01:11:13.080 --> 01:11:15.120]   We should make it a text message, or it's bytes.
[01:11:15.120 --> 01:11:16.600]   We should make it an image message.
[01:11:16.600 --> 01:11:20.080]   So I just have a little private helper.
[01:11:20.080 --> 01:11:23.160]   And then finally, I've changed makeMessage.
[01:11:23.160 --> 01:11:25.360]   This is something I remember Jono and I talked about.
[01:11:25.360 --> 01:11:26.320]   Jono was saying--
[01:11:26.320 --> 01:11:29.440]   I think you said you feel like this is kind of like part
[01:11:29.440 --> 01:11:33.280]   of the Jeremy way of coding is I don't go back and refactor
[01:11:33.280 --> 01:11:36.960]   things, but I just redefine them later in my notebook.
[01:11:36.960 --> 01:11:39.560]   And so I previously hadn't exported makeMessage.
[01:11:39.560 --> 01:11:42.480]   I don't export it till now.
[01:11:42.480 --> 01:11:44.160]   And so here's my final version that's
[01:11:44.160 --> 01:11:49.640]   now going to actually call makeContent to automatically
[01:11:49.640 --> 01:11:52.160]   handle images as well.
[01:11:52.160 --> 01:11:54.840]   And so now we can just pass in-- we can call our client.
[01:11:54.840 --> 01:11:58.120]   We can pass in a list of one message.
[01:11:58.120 --> 01:12:02.640]   The list of one message contains a list of parts,
[01:12:02.640 --> 01:12:03.360]   as you can see.
[01:12:06.400 --> 01:12:15.040]   So behind the scenes, when we then run the last cell,
[01:12:15.040 --> 01:12:23.000]   it actually generates a Python file containing
[01:12:23.000 --> 01:12:24.960]   all of the exports code.
[01:12:24.960 --> 01:12:29.240]   So it's 229 lines, which isn't much,
[01:12:29.240 --> 01:12:32.160]   particularly when you look at how much empty space there is.
[01:12:32.160 --> 01:12:34.800]   And these all things say which cell it comes from and so forth.
[01:12:34.800 --> 01:12:36.560]   So in terms of actual code, it'll
[01:12:36.560 --> 01:12:37.960]   be well under 200 lines of code.
[01:12:37.960 --> 01:12:47.200]   OK, so that is the first of two modules to look at.
[01:12:47.200 --> 01:12:50.600]   Any thoughts or questions before we move on to the tool loop?
[01:12:50.600 --> 01:12:55.760]   I think it's coming through.
[01:12:55.760 --> 01:12:59.680]   Maybe do you want to go into your objective
[01:12:59.680 --> 01:13:02.840]   when you started this, if it was beyond what you've already
[01:13:02.840 --> 01:13:07.000]   shown, like what was the goal always
[01:13:07.000 --> 01:13:08.920]   to keep this a simple self-contained thing?
[01:13:08.920 --> 01:13:13.680]   Is there plans for this to grow into a fully stateful chat
[01:13:13.680 --> 01:13:15.880]   thing that can offer up different functionality?
[01:13:15.880 --> 01:13:20.440]   What's the journey of, oh, I should write this thing that's
[01:13:20.440 --> 01:13:21.720]   going into this?
[01:13:21.720 --> 01:13:24.800]   I mean, I imagine I must be a very frustrating person
[01:13:24.800 --> 01:13:28.840]   to work with because I'd never have any plans, really.
[01:13:28.840 --> 01:13:32.360]   I just have this vague, intuitive feeling
[01:13:32.360 --> 01:13:34.920]   that maybe I should do something in this general direction.
[01:13:34.920 --> 01:13:37.600]   And then people ask me, like, oh, why are you doing that?
[01:13:37.600 --> 01:13:41.160]   So it's like, I don't know.
[01:13:41.160 --> 01:13:43.120]   Just seems like, why not?
[01:13:43.120 --> 01:13:44.120]   Seems like a good idea.
[01:13:44.120 --> 01:13:47.560]   So yeah, I don't think I had any particular plans
[01:13:47.560 --> 01:13:48.600]   to where it would end up.
[01:13:48.600 --> 01:13:49.840]   Just a sense of like--
[01:13:49.840 --> 01:13:57.800]   the way I saw things being written,
[01:13:57.800 --> 01:14:00.080]   including in the Anthropic documentation for Claude,
[01:14:00.080 --> 01:14:04.400]   seemed unfairly difficult. I didn't
[01:14:04.400 --> 01:14:07.840]   think people should have to write stuff like that.
[01:14:07.840 --> 01:14:11.240]   And then when I started to write my own thing using
[01:14:11.240 --> 01:14:13.640]   the Anthropic client, I didn't find
[01:14:13.640 --> 01:14:16.400]   it very ergonomic and nice.
[01:14:16.400 --> 01:14:20.040]   I looked at some of the things that are out there,
[01:14:20.040 --> 01:14:25.120]   kind of general LLM toolkits, APIs, libraries.
[01:14:25.120 --> 01:14:31.800]   And on the whole, I found them really complicated, too long,
[01:14:31.800 --> 01:14:34.200]   too many new abstractions, not really
[01:14:34.200 --> 01:14:36.800]   taking advantage of my existing Python knowledge.
[01:14:36.800 --> 01:14:40.560]   So I guess that was my high-level hope.
[01:14:40.560 --> 01:14:42.160]   Simon Willison has a nice library
[01:14:42.160 --> 01:14:47.200]   called LLM, which Jono and I started looking at together.
[01:14:47.200 --> 01:14:50.800]   But it was missing a lot of the features that we wanted.
[01:14:50.800 --> 01:14:54.160]   And we did end up adding one as a PR.
[01:14:54.160 --> 01:14:55.400]   Not that it's been merged yet.
[01:14:55.400 --> 01:15:00.680]   But yeah, in the end, I guess the other thing about--
[01:15:00.680 --> 01:15:03.840]   so the interesting thing about Simon's approach with LLM
[01:15:03.840 --> 01:15:09.760]   is it's a general front end to dozens of different LLM
[01:15:09.760 --> 01:15:12.560]   backends, open source, and proprietary,
[01:15:12.560 --> 01:15:15.160]   and inference services.
[01:15:15.160 --> 01:15:20.280]   And as a result, he kind of has to have this lowest common
[01:15:20.280 --> 01:15:24.040]   denominator API of like, oh, they all support this.
[01:15:24.040 --> 01:15:26.800]   So that's kind of all we support.
[01:15:26.800 --> 01:15:28.840]   So this was a bit of an experiment in being like,
[01:15:28.840 --> 01:15:32.440]   OK, I'm going to make this as Claude-friendly as possible.
[01:15:32.440 --> 01:15:35.720]   Which is why I even gave it a name based on Claude.
[01:15:35.720 --> 01:15:38.440]   Because I was like, I want this to be--
[01:15:38.440 --> 01:15:41.720]   you know, that's why I said this is Claude's friend.
[01:15:41.720 --> 01:15:43.400]   I wanted to make it like something that
[01:15:43.400 --> 01:15:44.800]   worked really well with Claude.
[01:15:44.800 --> 01:15:47.200]   And I didn't know ahead of time whether that would turn out
[01:15:47.200 --> 01:15:49.520]   to be something I could then use elsewhere
[01:15:49.520 --> 01:15:52.880]   with slight differences or not.
[01:15:52.880 --> 01:15:54.160]   So that was kind of the goal.
[01:15:54.160 --> 01:16:00.120]   So where it's got to--
[01:16:00.120 --> 01:16:05.560]   I think what's happened in the few weeks
[01:16:05.560 --> 01:16:07.680]   since I started writing it is there's
[01:16:07.680 --> 01:16:12.600]   been a continuing standardization.
[01:16:12.600 --> 01:16:14.960]   Like, the platforms are getting-- which is nice,
[01:16:14.960 --> 01:16:16.680]   more and more similar.
[01:16:16.680 --> 01:16:20.840]   So the plan now, I think, is that there
[01:16:20.840 --> 01:16:28.560]   will be GPT's friend and Gemini's friend as well.
[01:16:28.560 --> 01:16:30.240]   GPT's friend is nearly done, actually.
[01:16:30.240 --> 01:16:35.520]   Maybe they'll have an entirely consistent API.
[01:16:35.520 --> 01:16:39.440]   We'll see, you know, or not.
[01:16:39.440 --> 01:16:41.680]   But again, I'm kind of writing each of them
[01:16:41.680 --> 01:16:44.800]   to be as good as possible to work with that LLM.
[01:16:44.800 --> 01:16:46.480]   And then I'll worry about like, OK,
[01:16:46.480 --> 01:16:49.200]   is it possible to make them compatible with each other
[01:16:49.200 --> 01:16:51.320]   later?
[01:16:51.320 --> 01:16:52.560]   And I think that's something--
[01:16:52.560 --> 01:16:54.760]   I mean, I'd be interested to hear your thoughts, Jono.
[01:16:54.760 --> 01:17:01.360]   But like, when we wrote the GPT version together,
[01:17:01.360 --> 01:17:06.640]   and we literally just duplicated the original Baudet notebook,
[01:17:06.640 --> 01:17:10.880]   started at the top cell, and just changed the--
[01:17:10.880 --> 01:17:15.080]   and did a search and replace of Anthropic with OpenAI,
[01:17:15.080 --> 01:17:18.760]   and of Claude with GPT, and then just went through each cell one
[01:17:18.760 --> 01:17:24.200]   at a time to see how do you port that to the OpenAI API.
[01:17:24.200 --> 01:17:27.280]   And I found that it took us, what, a couple of hours?
[01:17:27.280 --> 01:17:28.200]   It felt like a very--
[01:17:28.200 --> 01:17:29.440]   It was very quick, yeah.
[01:17:29.440 --> 01:17:30.080]   Simple.
[01:17:30.080 --> 01:17:32.840]   Didn't have to use my brain much.
[01:17:32.840 --> 01:17:33.360]   Yeah.
[01:17:33.360 --> 01:17:35.040]   I mean, that's maybe worth highlighting,
[01:17:35.040 --> 01:17:38.600]   is that this is not the full and only output of the AnswerAI
[01:17:38.600 --> 01:17:40.000]   organization over the last month.
[01:17:40.000 --> 01:17:43.600]   This is like, oh, you saw things Jeremy is tinkering with just
[01:17:43.600 --> 01:17:44.320]   on the side.
[01:17:44.320 --> 01:17:46.800]   So maybe, yeah, it's good to set expectations appropriately.
[01:17:46.800 --> 01:17:48.680]   But also, yeah, it didn't really feel like it was pretty easy,
[01:17:48.680 --> 01:17:50.520]   especially because I think they've all
[01:17:50.520 --> 01:17:52.520]   been inspired by, is the generous way of saying it,
[01:17:52.520 --> 01:17:52.960]   each other.
[01:17:52.960 --> 01:17:54.520]   And OpenAI, I think, maybe led the way
[01:17:54.520 --> 01:17:55.640]   with some of the API stuff.
[01:17:55.640 --> 01:17:58.240]   So yeah, it's chat.completions.create
[01:17:58.240 --> 01:18:01.120]   versus anthropic.client.messages.create
[01:18:01.120 --> 01:18:02.200]   or something.
[01:18:02.200 --> 01:18:04.520]   In a standard IDE environment, I think
[01:18:04.520 --> 01:18:07.920]   I would have found it a lot harder.
[01:18:07.920 --> 01:18:10.800]   You know, because it's so sequential, in some ways,
[01:18:10.800 --> 01:18:12.480]   it could feel like a bit of a constraint.
[01:18:12.480 --> 01:18:16.720]   But it doesn't mean you can do it from the top
[01:18:16.720 --> 01:18:19.120]   and you go all the way through until you get to the bottom.
[01:18:19.120 --> 01:18:21.040]   You don't have to jump around the place.
[01:18:21.040 --> 01:18:21.560]   Right.
[01:18:21.560 --> 01:18:24.040]   And the only part that was even mildly tricky
[01:18:24.040 --> 01:18:25.960]   then ended up being a change that we
[01:18:25.960 --> 01:18:28.600]   made for the OpenAI one, which instantly got mirrored back
[01:18:28.600 --> 01:18:29.120]   to Claude.
[01:18:29.120 --> 01:18:30.880]   And then, again, because they were built in the same way,
[01:18:30.880 --> 01:18:32.680]   it was like, oh, we've tweaked the way we do.
[01:18:32.680 --> 01:18:33.840]   I think it was streaming.
[01:18:33.840 --> 01:18:35.120]   One of the things that-- yeah.
[01:18:35.120 --> 01:18:36.320]   Like, OK, we've figured out a nice way
[01:18:36.320 --> 01:18:37.960]   to do that in the second rewrite.
[01:18:37.960 --> 01:18:40.520]   It was very easy to just go and find the equivalent function,
[01:18:40.520 --> 01:18:43.120]   because the two are so close together.
[01:18:43.120 --> 01:18:44.720]   Yeah, so I also-- it's quite a nice way
[01:18:44.720 --> 01:18:47.080]   to write software, especially for this kind of like--
[01:18:47.080 --> 01:18:49.240]   it's not going to grow too much in scope
[01:18:49.240 --> 01:18:51.520]   beyond what is one or two notebooks of stuff.
[01:18:51.520 --> 01:18:52.600]   I don't think it's not--
[01:18:52.600 --> 01:18:56.720]   If it did, I would add another project or another notebook.
[01:18:56.720 --> 01:18:58.560]   Like, I wouldn't change these.
[01:18:58.560 --> 01:19:02.240]   These are kind of like the bases which we can build on.
[01:19:02.240 --> 01:19:03.120]   Yeah.
[01:19:03.120 --> 01:19:03.640]   Yeah.
[01:19:03.640 --> 01:19:06.320]   OK, let's keep going then.
[01:19:06.320 --> 01:19:08.520]   So there's just one more notebook.
[01:19:08.520 --> 01:19:14.160]   And this, hopefully, will be a useful review
[01:19:14.160 --> 01:19:16.400]   of React framework.
[01:19:16.400 --> 01:19:20.560]   So yeah, Anthropic has this nice example
[01:19:20.560 --> 01:19:24.200]   in their documentation of a customer service agent.
[01:19:24.200 --> 01:19:30.960]   And again, there's a lot of this boilerplate.
[01:19:30.960 --> 01:19:40.080]   And then it's all a second time, because it's now the functions.
[01:19:40.080 --> 01:19:41.680]   And so basically, the idea is here,
[01:19:41.680 --> 01:19:46.080]   there's like a little pretend bunch of customers
[01:19:46.080 --> 01:19:48.400]   and a pretend bunch of orders.
[01:19:48.400 --> 01:19:50.200]   And I made this a bit more--
[01:19:50.200 --> 01:19:51.520]   a little bit more sophisticated.
[01:19:51.520 --> 01:19:53.040]   These customers don't have orders.
[01:19:53.040 --> 01:19:54.800]   The orders are not connected to customers.
[01:19:54.800 --> 01:19:59.760]   In my version, I have the orders separately.
[01:19:59.760 --> 01:20:03.440]   And then each customer has a number of orders.
[01:20:03.440 --> 01:20:07.400]   So it's a kind of a relational, but it's more like MongoDB
[01:20:07.400 --> 01:20:10.760]   style or whatever, denormalized.
[01:20:10.760 --> 01:20:13.400]   Not a relational database.
[01:20:13.400 --> 01:20:19.800]   Yeah, so they basically describe this rather long, complex
[01:20:19.800 --> 01:20:20.320]   process.
[01:20:20.320 --> 01:20:22.400]   And as you can see, they do absolutely everything
[01:20:22.400 --> 01:20:25.440]   manually, which maybe that's fine
[01:20:25.440 --> 01:20:28.760]   if you're really trying to show people the very low level
[01:20:28.760 --> 01:20:29.800]   details.
[01:20:29.800 --> 01:20:32.600]   But I thought it'd be fun to do exactly the same thing,
[01:20:32.600 --> 01:20:33.920]   but make it super simple.
[01:20:33.920 --> 01:20:35.520]   And also make it more sophisticated
[01:20:35.520 --> 01:20:37.760]   by adding some really important features
[01:20:37.760 --> 01:20:39.720]   that they never implemented.
[01:20:39.720 --> 01:20:44.400]   So the first feature they implement is getCustomerInfo.
[01:20:44.400 --> 01:20:48.040]   You pass in a customer ID, which is a string,
[01:20:48.040 --> 01:20:52.400]   and you get back the details.
[01:20:52.400 --> 01:20:55.720]   So that's what it is, customers.get.
[01:20:55.720 --> 01:20:59.160]   And so you'll see here we've got the documents,
[01:20:59.160 --> 01:21:02.960]   we've got the doc string, and we've got the type.
[01:21:02.960 --> 01:21:04.640]   So everything necessary to get a schema.
[01:21:09.440 --> 01:21:14.400]   Same thing for order details, orders.get.
[01:21:14.400 --> 01:21:18.080]   And then something that they didn't quite implement
[01:21:18.080 --> 01:21:20.400]   is a proper cancel order.
[01:21:20.400 --> 01:21:23.760]   So if order ID not in orders, so you
[01:21:23.760 --> 01:21:27.040]   can see we're returning a bool.
[01:21:27.040 --> 01:21:28.640]   So if the order ID is not there, we
[01:21:28.640 --> 01:21:30.360]   were not able to cancel it.
[01:21:30.360 --> 01:21:34.520]   If it is there, then we'll set the status to cancel
[01:21:34.520 --> 01:21:36.560]   and return true.
[01:21:36.560 --> 01:21:40.440]   OK, so this is interesting now.
[01:21:40.440 --> 01:21:43.640]   We've got more than one tool.
[01:21:43.640 --> 01:21:48.480]   And the only reason that Claude can possibly
[01:21:48.480 --> 01:21:51.240]   know what tool to use when, if any,
[01:21:51.240 --> 01:21:55.600]   is from their descriptions in the doc string here.
[01:21:55.600 --> 01:22:02.920]   So if we now go chat.tools, because we passed it in,
[01:22:02.920 --> 01:22:05.120]   you can see all the functions are there.
[01:22:05.120 --> 01:22:08.120]   And so when it calls them, it's going to, behind the scenes,
[01:22:08.120 --> 01:22:13.560]   automatically call getSchema on each one.
[01:22:13.560 --> 01:22:16.920]   But to see what that looks like, we could just do it here.
[01:22:16.920 --> 01:22:24.200]   And so getSchema is actually defined
[01:22:24.200 --> 01:22:27.840]   in a different library, which we created called tools.lm.
[01:22:34.600 --> 01:22:46.800]   OK, getSchema, oops, O for O in chat.tools, there you go.
[01:22:46.800 --> 01:22:48.400]   So you basically end up with something
[01:22:48.400 --> 01:22:54.160]   pretty similar to what Anthropx version had manually.
[01:22:54.160 --> 01:22:59.080]   So yeah, we can say, tell me the email address of customer C1.
[01:22:59.080 --> 01:23:03.400]   And I mean, Claude doesn't know.
[01:23:03.400 --> 01:23:08.720]   So it says, oh, you need to do a tool use.
[01:23:08.720 --> 01:23:10.680]   You need to call this function.
[01:23:10.680 --> 01:23:13.400]   You need to pass in this input.
[01:23:13.400 --> 01:23:17.040]   And so remember, with our thing, that's already now
[01:23:17.040 --> 01:23:18.760]   already got added to the history.
[01:23:18.760 --> 01:23:20.120]   So we just call chat.
[01:23:20.120 --> 01:23:24.120]   And it automatically calls it on our history.
[01:23:24.120 --> 01:23:25.400]   And there it is.
[01:23:25.400 --> 01:23:27.480]   And you can see this retrieving customer C1
[01:23:27.480 --> 01:23:31.240]   is because we added a print here.
[01:23:31.240 --> 01:23:35.640]   So you can see, as soon as we got that request,
[01:23:35.640 --> 01:23:37.640]   we went ahead and retrieved C1.
[01:23:37.640 --> 01:23:38.800]   And so then we call chat.
