
[00:00:00.000 --> 00:00:02.000]   Alright welcome back
[01:25:33.380 --> 01:25:39.460]   So if something is sold on the same day to the same person of the same kind of vehicle
[01:25:39.460 --> 01:25:45.180]   Then actually how does year made impact price and so this basically says for example if I am
[01:25:45.180 --> 01:25:51.540]   Deciding what to buy at an option then this is kind of saying to me okay like
[01:25:51.540 --> 01:25:56.780]   Getting a more recent vehicle on average really does on average
[01:25:56.820 --> 01:25:58.460]   Give you more money
[01:25:58.460 --> 01:26:02.720]   Which is not what the kind of the naive univariate plot said?
[01:26:02.720 --> 01:26:18.500]   For like this bulldozer bulldozers made in 2010 probably are not
[01:26:18.500 --> 01:26:26.500]   Close to the type of bulldozers that were made in 1960 right and if you're taking something that would be
[01:26:26.860 --> 01:26:27.980]   so
[01:26:27.980 --> 01:26:29.980]   very different like a
[01:26:29.980 --> 01:26:37.740]   2010 bulldozer and then trying to just drop it to say oh if it was made in 1960 that may cause
[01:26:37.740 --> 01:26:40.180]   poor
[01:26:40.180 --> 01:26:42.740]   Prediction at a point because it's so far outside. Absolutely
[01:26:42.740 --> 01:26:46.580]   Absolutely, so you know I think that's a good point. It's you know it's a
[01:26:46.580 --> 01:26:49.140]   limitation
[01:26:49.140 --> 01:26:53.140]   Of a random forest is if you're got a kind of data point
[01:26:53.140 --> 01:26:57.700]   That's like of a kind of you know which is kind of like in a part of the space that it's not seen before
[01:26:57.700 --> 01:27:02.780]   Like maybe people didn't put air conditioning really in bulldozers in 1960
[01:27:02.780 --> 01:27:09.320]   And you're saying how much with this bulldozer with air conditioning have gone for in 1960. You don't really have any information to know that so
[01:27:09.320 --> 01:27:12.620]   you know you it's a
[01:27:12.620 --> 01:27:20.140]   It's it's this is still the best technique. I know of but it's it's not perfect
[01:27:20.980 --> 01:27:22.980]   And you know you kind of hope that
[01:27:22.980 --> 01:27:26.620]   The trees are still going to find some
[01:27:26.620 --> 01:27:34.500]   Useful truth even though it hasn't seen that combination of features before but yeah, it's something to be aware of
[01:27:34.500 --> 01:27:41.860]   So you can also do the same thing in a PDP
[01:27:41.860 --> 01:27:47.980]   Interaction plot and a PDP interaction plot which is really what I'm trying to get to here is like how the sale elapsed and
[01:27:48.220 --> 01:27:56.820]   Year made together impact price and so if I do a PDP interaction plot it shows me sale elapsed versus price
[01:27:56.820 --> 01:28:02.260]   It shows me year made versus price, and it shows me the combination
[01:28:02.260 --> 01:28:05.420]   Versus price remember this is always log of price
[01:28:05.420 --> 01:28:11.500]   That's why these prices look weird right and so you can see that the combination of sale elapsed and year made is
[01:28:11.500 --> 01:28:13.940]   as you would expect
[01:28:14.900 --> 01:28:17.300]   Later dates so more or less time
[01:28:17.300 --> 01:28:20.460]   is
[01:28:20.460 --> 01:28:23.180]   Giving me. Oh, sorry. It's
[01:28:23.180 --> 01:28:27.460]   The other way around isn't it so the highest prices?
[01:28:27.460 --> 01:28:33.100]   Those where there's the least elapsed and the most recent year made
[01:28:33.100 --> 01:28:40.000]   So you can see here. There's the univariate relationship between sale elapsed and price
[01:28:41.020 --> 01:28:44.860]   And here is the univariate relationship between year made and price
[01:28:44.860 --> 01:28:49.900]   And then here is the combination of the two
[01:28:49.900 --> 01:28:56.140]   It's enough to see like clearly that these two things are driving price together
[01:28:56.140 --> 01:29:02.860]   You can also see these are not like simple diagonal lines, so it's kind of some interesting interaction going on
[01:29:02.860 --> 01:29:06.660]   And so based on looking at these plots
[01:29:07.820 --> 01:29:13.540]   It's enough to make me think oh, we should maybe put in some kind of interaction term and see what happens
[01:29:13.540 --> 01:29:16.980]   So let's come back to that in a moment, but let's just look at a couple more
[01:29:16.980 --> 01:29:21.720]   Remember in this case. I did one hot encoding
[01:29:21.720 --> 01:29:28.480]   Way back at the top here. I said max n cat equals 7 so I've got like n
[01:29:28.480 --> 01:29:33.620]   Closure erops with AC so if you've got one hot encoded variables
[01:29:33.620 --> 01:29:37.380]   You can pass an array of them
[01:29:38.060 --> 01:29:42.580]   To pit plot PDP, and it'll treat them as a category
[01:29:42.580 --> 01:29:49.900]   Right and so in this case. I'm going to create a PDP plot of these three categories. I'm going to call it enclosure
[01:29:49.900 --> 01:29:53.180]   and I can see here that
[01:29:53.180 --> 01:29:57.140]   Enclosure erops with AC
[01:29:57.140 --> 01:30:03.580]   On average are more expensive than enclosure erops and enclosure erops
[01:30:03.580 --> 01:30:09.140]   It actually looks like enclosure erops and enclosure erops are pretty similar or else erops with AC is higher
[01:30:09.140 --> 01:30:16.500]   So this is you know at this point. You know I'd probably be inclined to hop into Google and like type erops and erops
[01:30:16.500 --> 01:30:19.300]   And find out what the hell these things are
[01:30:19.300 --> 01:30:22.020]   And here we go
[01:30:22.020 --> 01:30:25.140]   So it turns out that erops is
[01:30:25.140 --> 01:30:32.500]   enclosed rollover protective structure and so it turns out that if your
[01:30:32.500 --> 01:30:41.040]   Your bulldozer is fully enclosed then optionally you can also get air conditioning
[01:30:41.040 --> 01:30:46.060]   So it turns out that actually this thing is telling us whether it's got air conditioning if it's an open structure
[01:30:46.060 --> 01:30:51.180]   Then obviously you don't have air conditioning at all, so that's what these three levels are and so we've now learnt
[01:30:51.180 --> 01:30:56.740]   All other things being equal the same bulldozer sold at the same time
[01:30:57.380 --> 01:31:03.580]   Built at the same time sold to the same person is going to be quite a bit more expensive as if it has air conditioning
[01:31:03.580 --> 01:31:08.860]   Than if it doesn't okay, so again. We're kind of getting this nice interpretation ability and
[01:31:08.860 --> 01:31:12.180]   You know now that I spent some time with this data set
[01:31:12.180 --> 01:31:17.780]   I've certainly noticed that this you know knowing this is the most important thing you do notice that there's a lot more
[01:31:17.780 --> 01:31:24.740]   air-conditioned bulldozers nowadays than they used to be and so there's definitely an interaction between kind of date and that
[01:31:25.540 --> 01:31:29.220]   So based on that earlier interaction analysis. I've tried
[01:31:29.220 --> 01:31:35.580]   First of all setting everything before 1950 to 1950 because it seems to be some kind of missing value
[01:31:35.580 --> 01:31:38.980]   I've been set age to be equal to
[01:31:38.980 --> 01:31:42.060]   sale year minus year made
[01:31:42.060 --> 01:31:46.700]   and so then I try running a random forest on that and
[01:31:46.700 --> 01:31:52.380]   Indeed age is now the single biggest thing
[01:31:53.180 --> 01:31:55.180]   Sale elapsed is way back down here
[01:31:55.180 --> 01:32:00.740]   Year made is back down here, so we've kind of used this to find
[01:32:00.740 --> 01:32:03.420]   an interaction
[01:32:03.420 --> 01:32:10.340]   But remember of course a random forest can create a can create an interaction through having multiple split points
[01:32:10.340 --> 01:32:14.660]   So we shouldn't assume that this is actually going to be a better result
[01:32:14.660 --> 01:32:18.660]   and in practice I actually found when I
[01:32:19.780 --> 01:32:25.500]   Looked at my score and my RMSE adding age was actually a little worse
[01:32:25.500 --> 01:32:29.060]   We'll see about that later probably in the next lesson
[01:32:29.060 --> 01:32:32.380]   Okay
[01:32:32.380 --> 01:32:38.100]   So one last thing is tree interpreter
[01:32:38.100 --> 01:32:40.940]   so
[01:32:40.940 --> 01:32:46.380]   This is also in the category of things that most people don't know exist, but it's super important
[01:32:47.100 --> 01:32:53.660]   Almost pointless for like Kaggle competitions, but super important for real life and here's the idea
[01:32:53.660 --> 01:32:57.620]   let's say you're an insurance company and
[01:32:57.620 --> 01:33:00.700]   somebody rings up and you give them a quote and
[01:33:00.700 --> 01:33:03.500]   They say oh, that's
[01:33:03.500 --> 01:33:06.180]   $500 more than last year why
[01:33:06.180 --> 01:33:12.580]   Okay, so in general you've made a prediction from some model and somebody asks why?
[01:33:13.380 --> 01:33:20.180]   And so this is where we use this method called tree interpreter and what tree interpreter does is
[01:33:20.180 --> 01:33:27.260]   It allows us to take a particular row so in this case. We're going to pick
[01:33:27.260 --> 01:33:33.340]   Row number zero right so here here is row zero right presumably. This is like a year made
[01:33:33.340 --> 01:33:39.460]   I don't know what all the codes stand for but like his is all of the columns in row zero
[01:33:40.380 --> 01:33:47.140]   What I can do with a tree interpreter is I can go ti dot predict pass in my random forest
[01:33:47.140 --> 01:33:54.760]   Pass in my row so this would be like this particular customers insurance information or this in this case this particular
[01:33:54.760 --> 01:34:00.700]   Auction right and it'll give me back three things the first is the prediction
[01:34:00.700 --> 01:34:03.420]   from the random forest
[01:34:03.420 --> 01:34:09.580]   The second is the bias the bias is basically the average sale price
[01:34:10.300 --> 01:34:17.620]   Across the whole original data set right so like remember in a random forest. We started with single trees
[01:34:17.620 --> 01:34:28.260]   We haven't got a drawing there anymore, but remember we started with a single tree in our random forest
[01:34:28.260 --> 01:34:35.420]   And we split it once and then we split that once and then we split that once right and we said like
[01:34:35.420 --> 01:34:38.620]   Oh, what's the average value for the whole data set?
[01:34:38.980 --> 01:34:42.820]   Then what's the average value for those where the first bit was true?
[01:34:42.820 --> 01:34:44.820]   And then what's the average value?
[01:34:44.820 --> 01:34:51.820]   Where the next bit was also true until eventually you get down to the leaf nodes where you've got the average value you predict right?
[01:34:51.820 --> 01:34:58.200]   So you can kind of think of it this way if this for a single tree if this is our final leaf node
[01:34:58.200 --> 01:35:00.600]   Right maybe we're predicting like nine point one
[01:35:00.600 --> 01:35:05.180]   Right and then maybe the average log sale price for the whole
[01:35:07.060 --> 01:35:12.260]   The whole lot is like ten point two right that's the average for all the options
[01:35:12.260 --> 01:35:18.020]   And so you could kind of like work your way down here, so let's go and create this
[01:35:18.020 --> 01:35:21.020]   Let's actually go and run this so we can see it
[01:35:21.020 --> 01:35:30.260]   Okay, so let's go back and redraw this single tree you'll find like in Jupyter notebooks often a
[01:35:30.260 --> 01:35:33.100]   lot of the things we create like
[01:35:34.060 --> 01:35:39.420]   Videos progress bars and stuff they don't know how to like save themselves to the file
[01:35:39.420 --> 01:35:43.440]   So you'll see just like a little string here, and so you actually have to rerun it
[01:35:43.440 --> 01:35:46.260]   to create the string
[01:35:46.260 --> 01:35:52.080]   So this was the single tree that we created
[01:35:52.080 --> 01:36:01.580]   So the whole data set had an average log sale price of 10.2
[01:36:02.860 --> 01:36:05.700]   The data set for those with couple system equals true
[01:36:05.700 --> 01:36:08.660]   had an average of ten point three
[01:36:08.660 --> 01:36:17.100]   The data set for couple system equals true enclosure less than point less than two was nine point nine and
[01:36:17.100 --> 01:36:19.740]   Then eventually we get all the way up here
[01:36:19.740 --> 01:36:26.780]   And also model ID less than 45 73 it's ten point two so you could kind of like say okay
[01:36:26.780 --> 01:36:28.980]   Why did this particular?
[01:36:30.020 --> 01:36:35.300]   Row let's say we had a row that ended up over in this leaf node. Why did we predict ten point two well?
[01:36:35.300 --> 01:36:38.740]   It's because we started with ten point one nine
[01:36:38.740 --> 01:36:44.020]   And then because the couple system was was was less than point five so it was actually false
[01:36:44.020 --> 01:36:52.620]   We added about two to that so we went from ten point one to ten point three right so ten point two to ten point three
[01:36:52.620 --> 01:36:59.560]   So we added a little bit because this one is true and then to go from ten point three to nine point nine
[01:36:59.760 --> 01:37:03.320]   So because enclosure is less than two we subtracted
[01:37:03.320 --> 01:37:09.920]   About point four and then because model ID was less than 4500 we
[01:37:09.920 --> 01:37:12.760]   added about point seven
[01:37:12.760 --> 01:37:19.740]   Right so you could see like with a single tree you could like break down like why is it that we predicted?
[01:37:19.740 --> 01:37:26.320]   10.2 right and it's like at each one of these decision points. We're adding or subtracting a little bit from the value
[01:37:27.500 --> 01:37:31.800]   So what we could then do is we could do that for all the trees
[01:37:31.800 --> 01:37:37.060]   And then we could take the average so every time we see in closure
[01:37:37.060 --> 01:37:45.420]   Did we increase or decrease the value and how much by every time we see model ID did we increase or decrease the value?
[01:37:45.420 --> 01:37:48.960]   and how much by and so we could take the average of all of those and
[01:37:48.960 --> 01:37:52.680]   That's what ends up in this thing called
[01:37:52.680 --> 01:37:56.040]   contributions so here is all of our
[01:37:57.480 --> 01:37:59.000]   predictors and
[01:37:59.000 --> 01:38:05.120]   Here is the value of each and so this is telling us and I've sorted them here that
[01:38:05.120 --> 01:38:08.000]   The fact that this thing was made in
[01:38:08.000 --> 01:38:09.960]   1999
[01:38:09.960 --> 01:38:14.040]   was the thing that most negatively impacted our prediction and
[01:38:14.040 --> 01:38:19.640]   the fact that the age of the vehicle was
[01:38:19.640 --> 01:38:24.360]   11 years was what most positively impacted
[01:38:24.360 --> 01:38:26.360]   I
[01:38:26.360 --> 01:38:34.480]   Think you actually need to sort after you zip them together. They seem to be sorted negative point five
[01:38:34.480 --> 01:38:38.600]   No, the values are sorted, but then they're just reassigned to the columns in the original order
[01:38:38.600 --> 01:38:45.140]   Which is why in 11 your own tractor is what's most thank you. Thank you
[01:38:45.140 --> 01:38:47.760]   That makes perfect sense
[01:38:47.760 --> 01:38:50.200]   Yes, we need to do an index sort
[01:38:50.200 --> 01:38:52.560]   Okay
[01:38:52.560 --> 01:38:55.120]   Thank you. We'll make sure we fix that by next week
[01:38:55.120 --> 01:38:58.040]   So we need to sort
[01:38:58.040 --> 01:39:02.460]   columns by the index from contributions
[01:39:02.460 --> 01:39:08.440]   So then there's this thing called bias and so the bias is just the
[01:39:08.440 --> 01:39:10.920]   average
[01:39:10.920 --> 01:39:15.560]   With before we start doing any splits right so if you basically start with the average
[01:39:15.560 --> 01:39:22.520]   Log of value and then we went down each tree and each time we saw a year made we had some impact
[01:39:22.600 --> 01:39:26.800]   Couple of systems some impact product size some impact and so forth, right?
[01:39:26.800 --> 01:39:35.440]   Okay, so I think what we might do is we might come back to because we kind of out of time we might come back to
[01:39:35.440 --> 01:39:36.800]   tree interpreter
[01:39:36.800 --> 01:39:39.580]   Next time but the basic idea. This is the last
[01:39:39.580 --> 01:39:44.120]   this was the last of our key interpretation points and the basic idea is that
[01:39:44.120 --> 01:39:46.920]   we want some ability to
[01:39:49.040 --> 01:39:52.840]   Not only tell us about the model as a whole and how it works on average
[01:39:52.840 --> 01:39:56.520]   But to look at how the model makes predictions for an individual
[01:39:56.520 --> 01:40:03.820]   Row and that's what we're doing here. Okay. Great. Thanks everybody. See you on Thursday

