
[00:00:00.760 --> 00:00:02.120]   Hi, I'm Tony Sager.
[00:32:47.680 --> 00:32:48.680]   And I think that's a very important thing.
[00:32:48.680 --> 00:32:49.680]   And I think that's a very important thing.
[00:32:49.680 --> 00:32:50.680]   And I think that's a very important thing.
[00:32:50.680 --> 00:32:51.680]   And I think that's a very important thing.
[00:32:51.680 --> 00:32:52.680]   And I think that's a very important thing.
[00:32:52.680 --> 00:32:53.680]   And I think that's a very important thing.
[00:32:53.680 --> 00:32:54.680]   And I think that's a very important thing.
[00:32:54.680 --> 00:32:55.680]   And I think that's a very important thing.
[00:32:55.680 --> 00:32:56.680]   And I think that's a very important thing.
[00:32:56.680 --> 00:32:57.680]   And I think that's a very important thing.
[00:32:57.680 --> 00:32:58.680]   And I think that's a very important thing.
[00:32:58.680 --> 00:32:59.680]   And I think that's a very important thing.
[00:32:59.680 --> 00:33:00.680]   And I think that's a very important thing.
[00:33:00.680 --> 00:33:01.680]   And I think that's a very important thing.
[00:33:01.680 --> 00:33:02.680]   And I think that's a very important thing.
[00:33:02.680 --> 00:33:03.680]   And I think that's a very important thing.
[00:33:03.680 --> 00:33:04.680]   And I think that's a very important thing.
[00:33:04.680 --> 00:33:05.680]   And I think that's a very important thing.
[00:33:05.680 --> 00:33:06.680]   And I think that's a very important thing.
[00:33:06.680 --> 00:33:07.680]   And I think that's a very important thing.
[00:33:07.680 --> 00:33:08.680]   And I think that's a very important thing.
[00:33:08.680 --> 00:33:09.680]   And I think that's a very important thing.
[00:33:09.680 --> 00:33:10.680]   And I think that's a very important thing.
[00:33:10.680 --> 00:33:11.680]   And I think that's a very important thing.
[00:33:11.680 --> 00:33:12.680]   And I think that's a very important thing.
[00:33:12.680 --> 00:33:13.680]   And I think that's a very important thing.
[00:33:13.680 --> 00:33:14.680]   And I think that's a very important thing.
[00:33:14.680 --> 00:33:15.680]   And I think that's a very important thing.
[00:33:15.680 --> 00:33:16.680]   And I think that's a very important thing.
[00:33:16.680 --> 00:33:17.680]   And I think that's a very important thing.
[00:33:17.680 --> 00:33:18.680]   And I think that's a very important thing.
[00:33:18.680 --> 00:33:19.680]   And I think that's a very important thing.
[00:33:19.680 --> 00:33:20.680]   And I think that's a very important thing.
[00:33:20.680 --> 00:33:21.680]   And I think that's a very important thing.
[00:33:21.680 --> 00:33:22.680]   And I think that's a very important thing.
[00:33:22.680 --> 00:33:23.680]   And I think that's a very important thing.
[00:33:23.680 --> 00:33:24.680]   And I think that's a very important thing.
[00:33:24.680 --> 00:33:25.680]   And I think that's a very important thing.
[00:33:25.680 --> 00:33:26.680]   And I think that's a very important thing.
[00:33:26.680 --> 00:33:27.680]   And I think that's a very important thing.
[00:33:27.680 --> 00:33:28.680]   And I think that's a very important thing.
[00:33:28.680 --> 00:33:29.680]   And I think that's a very important thing.
[00:33:29.680 --> 00:33:30.680]   And I think that's a very important thing.
[00:33:30.680 --> 00:33:31.680]   And I think that's a very important thing.
[00:33:31.680 --> 00:33:32.680]   And I think that's a very important thing.
[00:33:32.680 --> 00:33:33.680]   And I think that's a very important thing.
[00:33:33.680 --> 00:33:34.680]   And I think that's a very important thing.
[00:33:34.680 --> 00:33:35.680]   And I think that's a very important thing.
[00:33:35.680 --> 00:33:36.680]   And I think that's a very important thing.
[00:33:36.680 --> 00:33:37.680]   And I think that's a very important thing.
[00:33:37.680 --> 00:33:38.680]   And I think that's a very important thing.
[00:33:38.680 --> 00:33:39.680]   And I think that's a very important thing.
[00:33:39.680 --> 00:33:40.680]   And I think that's a very important thing.
[00:33:40.680 --> 00:33:41.680]   And I think that's a very important thing.
[00:33:41.680 --> 00:33:42.680]   And I think that's a very important thing.
[00:33:42.680 --> 00:33:43.680]   And I think that's a very important thing.
[00:33:43.680 --> 00:33:44.680]   And I think that's a very important thing.
[00:33:44.680 --> 00:33:45.680]   And I think that's a very important thing.
[00:33:45.680 --> 00:33:46.680]   And I think that's a very important thing.
[00:33:46.680 --> 00:33:47.680]   And I think that's a very important thing.
[00:33:47.680 --> 00:33:48.680]   And I think that's a very important thing.
[00:33:48.680 --> 00:33:49.680]   And I think that's a very important thing.
[00:33:49.680 --> 00:33:50.680]   And I think that's a very important thing.
[00:33:50.680 --> 00:33:51.680]   And I think that's a very important thing.
[00:33:51.680 --> 00:33:52.680]   And I think that's a very important thing.
[00:33:52.680 --> 00:33:53.680]   And I think that's a very important thing.
[00:33:53.680 --> 00:33:54.680]   And I think that's a very important thing.
[00:33:54.680 --> 00:33:55.680]   And I think that's a very important thing.
[00:33:55.680 --> 00:33:56.680]   And I think that's a very important thing.
[00:33:56.680 --> 00:33:57.680]   And I think that's a very important thing.
[00:33:57.680 --> 00:33:58.680]   And I think that's a very important thing.
[00:33:58.680 --> 00:33:59.680]   And I think that's a very important thing.
[00:33:59.680 --> 00:34:00.680]   And I think that's a very important thing.
[00:34:00.680 --> 00:34:01.680]   And I think that's a very important thing.
[00:34:01.680 --> 00:34:02.680]   And I think that's a very important thing.
[00:34:02.680 --> 00:34:03.680]   And I think that's a very important thing.
[00:34:03.680 --> 00:34:04.680]   And I think that's a very important thing.
[00:34:04.680 --> 00:34:05.680]   And I think that's a very important thing.
[00:34:05.680 --> 00:34:06.680]   And I think that's a very important thing.
[00:34:06.680 --> 00:34:07.680]   And I think that's a very important thing.
[00:34:07.680 --> 00:34:08.680]   And I think that's a very important thing.
[00:34:08.680 --> 00:34:09.680]   And I think that's a very important thing.
[00:34:09.680 --> 00:34:10.680]   And I think that's a very important thing.
[00:34:10.680 --> 00:34:11.680]   And I think that's a very important thing.
[00:34:11.680 --> 00:34:12.680]   And I think that's a very important thing.
[00:34:12.680 --> 00:34:13.680]   And I think that's a very important thing.
[00:34:13.680 --> 00:34:14.680]   And I think that's a very important thing.
[00:34:14.680 --> 00:34:15.680]   And I think that's a very important thing.
[00:34:15.680 --> 00:34:16.680]   And I think that's a very important thing.
[00:34:16.680 --> 00:34:17.680]   And I think that's a very important thing.
[00:34:17.680 --> 00:34:18.680]   And I think that's a very important thing.
[00:34:18.680 --> 00:34:19.680]   And I think that's a very important thing.
[00:34:19.680 --> 00:34:20.680]   And I think that's a very important thing.
[00:34:20.680 --> 00:34:21.680]   And I think that's a very important thing.
[00:34:21.680 --> 00:34:22.680]   And I think that's a very important thing.
[00:34:22.680 --> 00:34:23.680]   And I think that's a very important thing.
[00:34:23.680 --> 00:34:24.680]   And I think that's a very important thing.
[00:34:24.680 --> 00:34:25.680]   And I think that's a very important thing.
[00:34:25.680 --> 00:34:26.680]   And I think that's a very important thing.
[00:34:26.680 --> 00:34:27.680]   And I think that's a very important thing.
[00:34:27.680 --> 00:34:28.680]   And I think that's a very important thing.
[00:34:28.680 --> 00:34:29.680]   And I think that's a very important thing.
[00:34:29.680 --> 00:34:30.680]   And I think that's a very important thing.
[00:34:30.680 --> 00:34:31.680]   And I think that's a very important thing.
[00:34:31.680 --> 00:34:32.680]   And I think that's a very important thing.
[00:34:32.680 --> 00:34:33.680]   And I think that's a very important thing.
[00:34:33.680 --> 00:34:34.680]   And I think that's a very important thing.
[00:34:34.680 --> 00:34:35.680]   And I think that's a very important thing.
[00:34:35.680 --> 00:34:36.680]   And I think that's a very important thing.
[00:34:36.680 --> 00:34:37.680]   And I think that's a very important thing.
[00:34:37.680 --> 00:34:38.680]   And I think that's a very important thing.
[00:34:38.680 --> 00:34:39.680]   And I think that's a very important thing.
[00:34:39.680 --> 00:34:40.680]   And I think that's a very important thing.
[00:34:40.680 --> 00:34:41.680]   And I think that's a very important thing.
[00:34:41.680 --> 00:34:42.680]   And I think that's a very important thing.
[00:34:42.680 --> 00:34:43.680]   And I think that's a very important thing.
[00:34:43.680 --> 00:34:44.680]   And I think that's a very important thing.
[00:34:44.680 --> 00:34:45.680]   And I think that's a very important thing.
[00:34:45.680 --> 00:34:46.680]   And I think that's a very important thing.
[00:34:46.680 --> 00:34:47.680]   And I think that's a very important thing.
[00:34:47.680 --> 00:34:48.680]   And I think that's a very important thing.
[00:34:48.680 --> 00:34:49.680]   And I think that's a very important thing.
[00:34:49.680 --> 00:34:50.680]   And I think that's a very important thing.
[00:34:50.680 --> 00:34:51.680]   And I think that's a very important thing.
[00:34:51.680 --> 00:34:52.680]   And I think that's a very important thing.
[00:34:52.680 --> 00:34:53.680]   And I think that's a very important thing.
[00:34:53.680 --> 00:34:54.680]   And I think that's a very important thing.
[00:34:54.680 --> 00:34:55.680]   And I think that's a very important thing.
[00:34:55.680 --> 00:34:56.680]   And I think that's a very important thing.
[00:34:56.680 --> 00:34:57.680]   And I think that's a very important thing.
[00:34:57.680 --> 00:34:58.680]   And I think that's a very important thing.
[00:34:58.680 --> 00:34:59.680]   And I think that's a very important thing.
[00:34:59.680 --> 00:35:00.680]   And I think that's a very important thing.
[00:35:00.680 --> 00:35:01.680]   And I think that's a very important thing.
[00:35:01.680 --> 00:35:02.680]   And I think that's a very important thing.
[00:35:02.680 --> 00:35:03.680]   And I think that's a very important thing.
[00:35:03.680 --> 00:35:04.680]   And I think that's a very important thing.
[00:35:04.680 --> 00:35:05.680]   And I think that's a very important thing.
[00:35:05.680 --> 00:35:06.680]   And I think that's a very important thing.
[00:35:06.680 --> 00:35:07.680]   And I think that's a very important thing.
[00:35:07.680 --> 00:35:08.680]   And I think that's a very important thing.
[00:35:08.680 --> 00:35:09.680]   And I think that's a very important thing.
[00:35:09.680 --> 00:35:10.680]   And I think that's a very important thing.
[00:35:10.680 --> 00:35:11.680]   And I think that's a very important thing.
[00:35:11.680 --> 00:35:12.680]   And I think that's a very important thing.
[00:35:12.680 --> 00:35:13.680]   And I think that's a very important thing.
[00:35:13.680 --> 00:35:14.680]   And I think that's a very important thing.
[00:35:14.680 --> 00:35:15.680]   And I think that's a very important thing.
[00:35:15.680 --> 00:35:16.680]   And I think that's a very important thing.
[00:35:16.680 --> 00:35:17.680]   And I think that's a very important thing.
[00:35:17.680 --> 00:35:18.680]   And I think that's a very important thing.
[00:35:18.680 --> 00:35:19.680]   And I think that's a very important thing.
[00:35:19.680 --> 00:35:20.680]   And I think that's a very important thing.
[00:35:20.680 --> 00:35:21.680]   And I think that's a very important thing.
[00:35:21.680 --> 00:35:22.680]   And I think that's a very important thing.
[00:35:22.680 --> 00:35:23.680]   And I think that's a very important thing.
[00:35:23.680 --> 00:35:24.680]   And I think that's a very important thing.
[00:35:24.680 --> 00:35:25.680]   And I think that's a very important thing.
[00:35:25.680 --> 00:35:26.680]   And I think that's a very important thing.
[00:35:26.680 --> 00:35:27.680]   And I think that's a very important thing.
[00:35:27.680 --> 00:35:28.680]   And I think that's a very important thing.
[00:35:28.680 --> 00:35:29.680]   And I think that's a very important thing.
[00:35:29.680 --> 00:35:30.680]   And I think that's a very important thing.
[00:35:30.680 --> 00:35:31.680]   And I think that's a very important thing.
[00:35:31.680 --> 00:35:32.680]   And I think that's a very important thing.
[00:35:32.680 --> 00:35:33.680]   And I think that's a very important thing.
[00:35:33.680 --> 00:35:34.680]   And I think that's a very important thing.
[00:35:34.680 --> 00:35:35.680]   And I think that's a very important thing.
[00:35:35.680 --> 00:35:36.680]   And I think that's a very important thing.
[00:35:36.680 --> 00:35:37.680]   And I think that's a very important thing.
[00:35:37.680 --> 00:35:38.680]   And I think that's a very important thing.
[00:35:38.680 --> 00:35:39.680]   And I think that's a very important thing.
[00:35:39.680 --> 00:35:40.680]   And I think that's a very important thing.
[00:35:40.680 --> 00:35:41.680]   And I think that's a very important thing.
[00:35:41.680 --> 00:35:42.680]   And I think that's a very important thing.
[00:35:42.680 --> 00:35:43.680]   And I think that's a very important thing.
[00:35:43.680 --> 00:35:44.680]   And I think that's a very important thing.
[00:35:44.680 --> 00:35:45.680]   And I think that's a very important thing.
[00:35:45.680 --> 00:35:46.680]   And I think that's a very important thing.
[00:35:46.680 --> 00:35:47.680]   And I think that's a very important thing.
[00:35:47.680 --> 00:35:48.680]   And I think that's a very important thing.
[00:35:48.680 --> 00:35:49.680]   And I think that's a very important thing.
[00:35:49.680 --> 00:35:50.680]   And I think that's a very important thing.
[00:35:50.680 --> 00:35:51.680]   And I think that's a very important thing.
[00:35:51.680 --> 00:35:52.680]   And I think that's a very important thing.
[00:35:52.680 --> 00:35:53.680]   And I think that's a very important thing.
[00:35:53.680 --> 00:35:54.680]   And I think that's a very important thing.
[00:35:54.680 --> 00:35:55.680]   And I think that's a very important thing.
[00:35:55.680 --> 00:35:56.680]   And I think that's a very important thing.
[00:35:56.680 --> 00:35:57.680]   And I think that's a very important thing.
[00:35:57.680 --> 00:35:58.680]   And I think that's a very important thing.
[00:35:58.680 --> 00:35:59.680]   And I think that's a very important thing.
[00:35:59.680 --> 00:36:00.680]   And I think that's a very important thing.
[00:36:00.680 --> 00:36:01.680]   And I think that's a very important thing.
[00:36:01.680 --> 00:36:02.680]   And I think that's a very important thing.
[00:36:02.680 --> 00:36:03.680]   And I think that's a very important thing.
[00:36:03.680 --> 00:36:04.680]   And I think that's a very important thing.
[00:36:04.680 --> 00:36:05.680]   And I think that's a very important thing.
[00:36:05.680 --> 00:36:06.680]   And I think that's a very important thing.
[00:36:06.680 --> 00:36:07.680]   And I think that's a very important thing.
[00:36:07.680 --> 00:36:08.680]   And I think that's a very important thing.
[00:36:08.680 --> 00:36:09.680]   And I think that's a very important thing.
[00:36:09.680 --> 00:36:10.680]   And I think that's a very important thing.
[00:36:10.680 --> 00:36:11.680]   And I think that's a very important thing.
[00:36:11.680 --> 00:36:12.680]   And I think that's a very important thing.
[00:36:12.680 --> 00:36:13.680]   And I think that's a very important thing.
[00:36:13.680 --> 00:36:14.680]   And I think that's a very important thing.
[00:36:14.680 --> 00:36:15.680]   And I think that's a very important thing.
[00:36:15.680 --> 00:36:16.680]   And I think that's a very important thing.
[00:36:16.680 --> 00:36:17.680]   And I think that's a very important thing.
[00:36:17.680 --> 00:36:18.680]   And I think that's a very important thing.
[00:36:18.680 --> 00:36:19.680]   And I think that's a very important thing.
[00:36:19.680 --> 00:36:20.680]   And I think that's a very important thing.
[00:36:20.680 --> 00:36:21.680]   And I think that's a very important thing.
[00:36:21.680 --> 00:36:22.680]   And I think that's a very important thing.
[00:36:22.680 --> 00:36:23.680]   And I think that's a very important thing.
[00:36:23.680 --> 00:36:24.680]   And I think that's a very important thing.
[00:36:24.680 --> 00:36:25.680]   And I think that's a very important thing.
[00:36:25.680 --> 00:36:26.680]   And I think that's a very important thing.
[00:36:26.680 --> 00:36:27.680]   And I think that's a very important thing.
[00:36:27.680 --> 00:36:28.680]   And I think that's a very important thing.
[00:36:28.680 --> 00:36:29.680]   And I think that's a very important thing.
[00:36:29.680 --> 00:36:30.680]   And I think that's a very important thing.
[00:36:30.680 --> 00:36:31.680]   And I think that's a very important thing.
[00:36:31.680 --> 00:36:32.680]   And I think that's a very important thing.
[00:36:32.680 --> 00:36:33.680]   And I think that's a very important thing.
[00:36:33.680 --> 00:36:34.680]   And I think that's a very important thing.
[00:36:34.680 --> 00:36:35.680]   And I think that's a very important thing.
[00:36:35.680 --> 00:36:36.680]   And I think that's a very important thing.
[00:36:36.680 --> 00:36:37.680]   And I think that's a very important thing.
[00:36:37.680 --> 00:36:38.680]   And I think that's a very important thing.
[00:36:38.680 --> 00:36:39.680]   And I think that's a very important thing.
[00:36:39.680 --> 00:36:40.680]   And I think that's a very important thing.
[00:36:40.680 --> 00:36:41.680]   And I think that's a very important thing.
[00:36:41.680 --> 00:36:42.680]   And I think that's a very important thing.
[00:36:42.680 --> 00:36:43.680]   And I think that's a very important thing.
[00:36:43.680 --> 00:36:44.680]   And I think that's a very important thing.
[00:36:44.680 --> 00:36:45.680]   And I think that's a very important thing.
[00:36:45.680 --> 00:36:46.680]   And I think that's a very important thing.
[00:36:46.680 --> 00:36:47.680]   And I think that's a very important thing.
[00:36:47.680 --> 00:36:48.680]   And I think that's a very important thing.
[00:36:48.680 --> 00:36:49.680]   And I think that's a very important thing.
[00:36:49.680 --> 00:36:50.680]   And I think that's a very important thing.
[00:36:50.680 --> 00:36:51.680]   And I think that's a very important thing.
[00:36:51.680 --> 00:36:52.680]   And I think that's a very important thing.
[00:36:52.680 --> 00:36:53.680]   And I think that's a very important thing.
[00:36:53.680 --> 00:36:54.680]   And I think that's a very important thing.
[00:36:54.680 --> 00:36:55.680]   And I think that's a very important thing.
[00:36:55.680 --> 00:36:56.680]   And I think that's a very important thing.
[00:36:56.680 --> 00:36:57.680]   And I think that's a very important thing.
[00:36:57.680 --> 00:36:58.680]   And I think that's a very important thing.
[00:36:58.680 --> 00:36:59.680]   And I think that's a very important thing.
[00:36:59.680 --> 00:37:00.680]   And I think that's a very important thing.
[00:37:00.680 --> 00:37:01.680]   And I think that's a very important thing.
[00:37:01.680 --> 00:37:02.680]   And I think that's a very important thing.
[00:37:02.680 --> 00:37:03.680]   And I think that's a very important thing.
[00:37:03.680 --> 00:37:04.680]   And I think that's a very important thing.
[00:37:04.680 --> 00:37:05.680]   And I think that's a very important thing.
[00:37:05.680 --> 00:37:06.680]   And I think that's a very important thing.
[00:37:06.680 --> 00:37:07.680]   And I think that's a very important thing.
[00:37:07.680 --> 00:37:08.680]   And I think that's a very important thing.
[00:37:08.680 --> 00:37:09.680]   And I think that's a very important thing.
[00:37:09.680 --> 00:37:10.680]   And I think that's a very important thing.
[00:37:10.680 --> 00:37:11.680]   And I think that's a very important thing.
[00:37:11.680 --> 00:37:12.680]   And I think that's a very important thing.
[00:37:12.680 --> 00:37:13.680]   And I think that's a very important thing.
[00:37:13.680 --> 00:37:14.680]   And I think that's a very important thing.
[00:37:14.680 --> 00:37:15.680]   And I think that's a very important thing.
[00:37:15.680 --> 00:37:16.680]   And I think that's a very important thing.
[00:37:16.680 --> 00:37:17.680]   And I think that's a very important thing.
[00:37:17.680 --> 00:37:18.680]   And I think that's a very important thing.
[00:37:18.680 --> 00:37:19.680]   And I think that's a very important thing.
[00:37:19.680 --> 00:37:20.680]   And I think that's a very important thing.
[00:37:20.680 --> 00:37:21.680]   And I think that's a very important thing.
[00:37:21.680 --> 00:37:22.680]   And I think that's a very important thing.
[00:37:22.680 --> 00:37:23.680]   And I think that's a very important thing.
[00:37:23.680 --> 00:37:24.680]   And I think that's a very important thing.
[00:37:24.680 --> 00:37:25.680]   And I think that's a very important thing.
[00:37:25.680 --> 00:37:26.680]   And I think that's a very important thing.
[00:37:26.680 --> 00:37:27.680]   And I think that's a very important thing.
[00:37:27.680 --> 00:37:28.680]   And I think that's a very important thing.
[00:37:28.680 --> 00:37:29.680]   And I think that's a very important thing.
[00:37:29.680 --> 00:37:30.680]   And I think that's a very important thing.
[00:37:30.680 --> 00:37:31.680]   And I think that's a very important thing.
[00:37:31.680 --> 00:37:32.680]   And I think that's a very important thing.
[00:37:32.680 --> 00:37:33.680]   And I think that's a very important thing.
[00:37:33.680 --> 00:37:34.680]   And I think that's a very important thing.
[00:37:34.680 --> 00:37:35.680]   And I think that's a very important thing.
[00:37:35.680 --> 00:37:36.680]   And I think that's a very important thing.
[00:37:36.680 --> 00:37:37.680]   And I think that's a very important thing.
[00:37:37.680 --> 00:37:38.680]   And I think that's a very important thing.
[00:37:38.680 --> 00:37:39.680]   And I think that's a very important thing.
[00:37:39.680 --> 00:37:40.680]   And I think that's a very important thing.
[00:37:40.680 --> 00:37:41.680]   And I think that's a very important thing.
[00:37:41.680 --> 00:37:42.680]   And I think that's a very important thing.
[00:37:42.680 --> 00:37:43.680]   And I think that's a very important thing.
[00:37:43.680 --> 00:37:44.680]   And I think that's a very important thing.
[00:37:44.680 --> 00:37:45.680]   And I think that's a very important thing.
[00:37:45.680 --> 00:37:46.680]   And I think that's a very important thing.
[00:37:46.680 --> 00:37:47.680]   And I think that's a very important thing.
[00:37:47.680 --> 00:37:48.680]   And I think that's a very important thing.
[00:37:48.680 --> 00:37:49.680]   And I think that's a very important thing.
[00:37:49.680 --> 00:37:50.680]   And I think that's a very important thing.
[00:37:50.680 --> 00:37:51.680]   And I think that's a very important thing.
[00:37:51.680 --> 00:37:52.680]   And I think that's a very important thing.
[00:37:52.680 --> 00:37:53.680]   And I think that's a very important thing.
[00:37:53.680 --> 00:37:54.680]   And I think that's a very important thing.
[00:37:54.680 --> 00:37:55.680]   And I think that's a very important thing.
[00:37:55.680 --> 00:37:56.680]   And I think that's a very important thing.
[00:37:56.680 --> 00:37:57.680]   And I think that's a very important thing.
[00:37:57.680 --> 00:37:58.680]   And I think that's a very important thing.
[00:37:58.680 --> 00:37:59.680]   And I think that's a very important thing.
[00:37:59.680 --> 00:38:00.680]   And I think that's a very important thing.
[00:38:00.680 --> 00:38:01.680]   And I think that's a very important thing.
[00:38:01.680 --> 00:38:02.680]   And I think that's a very important thing.
[00:38:02.680 --> 00:38:03.680]   And I think that's a very important thing.
[00:38:03.680 --> 00:38:04.680]   And I think that's a very important thing.
[00:38:04.680 --> 00:38:05.680]   And I think that's a very important thing.
[00:38:05.680 --> 00:38:06.680]   And I think that's a very important thing.
[00:38:06.680 --> 00:38:07.680]   And I think that's a very important thing.
[00:38:07.680 --> 00:38:08.680]   And I think that's a very important thing.
[00:38:08.680 --> 00:38:09.680]   And I think that's a very important thing.
[00:38:09.680 --> 00:38:10.680]   And I think that's a very important thing.
[00:38:10.680 --> 00:38:11.680]   And I think that's a very important thing.
[00:38:11.680 --> 00:38:12.680]   And I think that's a very important thing.
[00:38:12.680 --> 00:38:13.680]   And I think that's a very important thing.
[00:38:13.680 --> 00:38:14.680]   And I think that's a very important thing.
[00:38:14.680 --> 00:38:15.680]   And I think that's a very important thing.
[00:38:15.680 --> 00:38:16.680]   And I think that's a very important thing.
[00:38:16.680 --> 00:38:17.680]   And I think that's a very important thing.
[00:38:17.680 --> 00:38:18.680]   And I think that's a very important thing.
[00:38:18.680 --> 00:38:19.680]   And I think that's a very important thing.
[00:38:19.680 --> 00:38:20.680]   And I think that's a very important thing.
[00:38:20.680 --> 00:38:21.680]   And I think that's a very important thing.
[00:38:21.680 --> 00:38:22.680]   And I think that's a very important thing.
[00:38:22.680 --> 00:38:23.680]   And I think that's a very important thing.
[00:38:23.680 --> 00:38:24.680]   And I think that's a very important thing.
[00:38:24.680 --> 00:38:25.680]   And I think that's a very important thing.
[00:38:25.680 --> 00:38:26.680]   And I think that's a very important thing.
[00:38:26.680 --> 00:38:27.680]   And I think that's a very important thing.
[00:38:27.680 --> 00:38:28.680]   And I think that's a very important thing.
[00:38:28.680 --> 00:38:29.680]   And I think that's a very important thing.
[00:38:29.680 --> 00:38:30.680]   And I think that's a very important thing.
[00:38:30.680 --> 00:38:31.680]   And I think that's a very important thing.
[00:38:31.680 --> 00:38:32.680]   And I think that's a very important thing.
[00:38:32.680 --> 00:38:33.680]   And I think that's a very important thing.
[00:38:33.680 --> 00:38:34.680]   And I think that's a very important thing.
[00:38:34.680 --> 00:38:35.680]   And I think that's a very important thing.
[00:38:35.680 --> 00:38:36.680]   And I think that's a very important thing.
[00:38:36.680 --> 00:38:37.680]   And I think that's a very important thing.
[00:38:37.680 --> 00:38:38.680]   And I think that's a very important thing.
[00:38:38.680 --> 00:38:39.680]   And I think that's a very important thing.
[00:38:39.680 --> 00:38:40.680]   And I think that's a very important thing.
[00:38:40.680 --> 00:38:41.680]   And I think that's a very important thing.
[00:38:41.680 --> 00:38:42.680]   And I think that's a very important thing.
[00:38:42.680 --> 00:38:43.680]   And I think that's a very important thing.
[00:38:43.680 --> 00:38:44.680]   And I think that's a very important thing.
[00:38:44.680 --> 00:38:45.680]   And I think that's a very important thing.
[00:38:45.680 --> 00:38:46.680]   And I think that's a very important thing.
[00:38:46.680 --> 00:38:47.680]   And I think that's a very important thing.
[00:38:47.680 --> 00:38:48.680]   And I think that's a very important thing.
[00:38:48.680 --> 00:38:49.680]   And I think that's a very important thing.
[00:38:49.680 --> 00:38:50.680]   And I think that's a very important thing.
[00:38:50.680 --> 00:38:51.680]   And I think that's a very important thing.
[00:38:51.680 --> 00:38:52.680]   And I think that's a very important thing.
[00:38:52.680 --> 00:38:53.680]   And I think that's a very important thing.
[00:38:53.680 --> 00:38:54.680]   And I think that's a very important thing.
[00:38:54.680 --> 00:38:55.680]   And I think that's a very important thing.
[00:38:55.680 --> 00:38:56.680]   And I think that's a very important thing.
[00:38:56.680 --> 00:38:57.680]   And I think that's a very important thing.
[00:38:57.680 --> 00:38:58.680]   And I think that's a very important thing.
[00:38:58.680 --> 00:38:59.680]   And I think that's a very important thing.
[00:38:59.680 --> 00:39:00.680]   And I think that's a very important thing.
[00:39:00.680 --> 00:39:01.680]   And I think that's a very important thing.
[00:39:01.680 --> 00:39:02.680]   And I think that's a very important thing.
[00:39:02.680 --> 00:39:03.680]   And I think that's a very important thing.
[00:39:03.680 --> 00:39:04.680]   And I think that's a very important thing.
[00:39:04.680 --> 00:39:05.680]   And I think that's a very important thing.
[00:39:05.680 --> 00:39:06.680]   And I think that's a very important thing.
[00:39:06.680 --> 00:39:07.680]   And I think that's a very important thing.
[00:39:07.680 --> 00:39:08.680]   And I think that's a very important thing.
[00:39:08.680 --> 00:39:09.680]   And I think that's a very important thing.
[00:39:09.680 --> 00:39:10.680]   And I think that's a very important thing.
[00:39:10.680 --> 00:39:11.680]   And I think that's a very important thing.
[00:39:11.680 --> 00:39:12.680]   And I think that's a very important thing.
[00:39:12.680 --> 00:39:13.680]   And I think that's a very important thing.
[00:39:13.680 --> 00:39:14.680]   And I think that's a very important thing.
[00:39:14.680 --> 00:39:15.680]   And I think that's a very important thing.
[00:39:15.680 --> 00:39:16.680]   And I think that's a very important thing.
[00:39:16.680 --> 00:39:17.680]   And I think that's a very important thing.
[00:39:17.680 --> 00:39:18.680]   And I think that's a very important thing.
[00:39:18.680 --> 00:39:19.680]   And I think that's a very important thing.
[00:39:19.680 --> 00:39:20.680]   And I think that's a very important thing.
[00:39:20.680 --> 00:39:21.680]   And I think that's a very important thing.
[00:39:21.680 --> 00:39:22.680]   And I think that's a very important thing.
[00:39:22.680 --> 00:39:23.680]   And I think that's a very important thing.
[00:39:23.680 --> 00:39:24.680]   And I think that's a very important thing.
[00:39:24.680 --> 00:39:25.680]   And I think that's a very important thing.
[00:39:25.680 --> 00:39:26.680]   And I think that's a very important thing.
[00:39:26.680 --> 00:39:27.680]   And I think that's a very important thing.
[00:39:27.680 --> 00:39:28.680]   And I think that's a very important thing.
[00:39:28.680 --> 00:39:29.680]   And I think that's a very important thing.
[00:39:29.680 --> 00:39:30.680]   And I think that's a very important thing.
[00:39:30.680 --> 00:39:31.680]   And I think that's a very important thing.
[00:39:31.680 --> 00:39:32.680]   And I think that's a very important thing.
[00:39:32.680 --> 00:39:33.680]   And I think that's a very important thing.
[00:39:33.680 --> 00:39:34.680]   And I think that's a very important thing.
[00:39:34.680 --> 00:39:35.680]   And I think that's a very important thing.
[00:39:35.680 --> 00:39:36.680]   And I think that's a very important thing.
[00:39:36.680 --> 00:39:37.680]   And I think that's a very important thing.
[00:39:37.680 --> 00:39:38.680]   And I think that's a very important thing.
[00:39:38.680 --> 00:39:39.680]   And I think that's a very important thing.
[00:39:39.680 --> 00:39:40.680]   And I think that's a very important thing.
[00:39:40.680 --> 00:39:41.680]   And I think that's a very important thing.
[00:39:41.680 --> 00:39:42.680]   And I think that's a very important thing.
[00:39:42.680 --> 00:39:43.680]   And I think that's a very important thing.
[00:39:43.680 --> 00:39:44.680]   And I think that's a very important thing.
[00:39:44.680 --> 00:39:45.680]   And I think that's a very important thing.
[00:39:45.680 --> 00:39:46.680]   And I think that's a very important thing.
[00:39:46.680 --> 00:39:47.680]   And I think that's a very important thing.
[00:39:47.680 --> 00:39:48.680]   And I think that's a very important thing.
[00:39:48.680 --> 00:39:49.680]   And I think that's a very important thing.
[00:39:49.680 --> 00:39:50.680]   And I think that's a very important thing.
