
[00:00:00.000 --> 00:00:04.000]   Welcome to the Latent Space Podcast, another super special edition.
[01:04:51.000 --> 01:04:56.000]   And so it becomes a lot trickier to do these evaluations as they become more realistic.
[01:04:56.000 --> 01:05:01.000]   And I think that's one of the things that we've been playing around with a lot, especially around like code generation.
[01:05:01.000 --> 01:05:05.000]   So if you're saying, you know, implement this function, OK, it can be kind of objective.
[01:05:05.000 --> 01:05:10.000]   But, you know, even MBPP, we've made our own internal version of this data set, right?
[01:05:10.000 --> 01:05:14.000]   Where we've taken like every single example and looked at it and then like, does this actually make sense?
[01:05:14.000 --> 01:05:15.000]   Like, what is the type signature?
[01:05:15.000 --> 01:05:18.000]   Like, can we, you know, remove all ambiguity, etc.
[01:05:18.000 --> 01:05:23.000]   So you basically like reviewed every single question on, I mean, that's impossible for like HelloSwag, right?
[01:05:23.000 --> 01:05:28.000]   Yeah, yeah, we didn't do that for HelloSwag, but this is for MBPP, which is only like a few hundred.
[01:05:28.000 --> 01:05:30.000]   So we just sat down and did it.
[01:05:30.000 --> 01:05:31.000]   Yeah.
[01:05:31.000 --> 01:05:33.000]   I'm so excited to get to look at this data set.
[01:05:33.000 --> 01:05:37.000]   Like, this is such a resource for the community.
[01:05:37.000 --> 01:05:38.000]   I absolutely can't wait.
[01:05:38.000 --> 01:05:40.000]   We should probably do the, I don't know.
[01:05:40.000 --> 01:05:44.000]   I don't know if we were planning on doing the healed MBPP one, but hopefully we can do that one in the future.
[01:05:44.000 --> 01:05:46.000]   Did you look at SweetBench?
[01:05:46.000 --> 01:05:48.000]   It's the sort of hot new data set of the summer.
[01:05:48.000 --> 01:05:50.000]   Yeah, I've taken a quick look at SweetBench.
[01:05:50.000 --> 01:05:51.000]   It's really interesting.
[01:05:51.000 --> 01:05:57.000]   I like that it's a much more difficult kind of coding, code related task for bug fixing.
[01:05:57.000 --> 01:06:04.000]   I think it gets into some of these problems where it is a lot harder to evaluate these things once they get more realistic.
[01:06:04.000 --> 01:06:09.000]   Like we were looking at the AgentBench paper, I think, just last week for our paper club.
[01:06:09.000 --> 01:06:16.000]   And one of the things that we noticed is that actually like both of the examples in the appendix that are given as like traces where it got it right.
[01:06:16.000 --> 01:06:18.000]   This is actually not the right solution.
[01:06:18.000 --> 01:06:21.000]   And it's okay.
[01:06:21.000 --> 01:06:22.000]   You know, it's fine.
[01:06:22.000 --> 01:06:24.000]   Like it did make it past the test.
[01:06:24.000 --> 01:06:25.000]   That's what the metric is.
[01:06:25.000 --> 01:06:26.000]   That's what the benchmark is about.
[01:06:26.000 --> 01:06:27.000]   Right.
[01:06:27.000 --> 01:06:30.000]   But like it just said, you know, like, you know, .encode ASCII.
[01:06:30.000 --> 01:06:32.000]   Like, well, that's not the right way to do this.
[01:06:32.000 --> 01:06:37.000]   Like it just dropped all the other edge cases that you actually would have cared about in production for this thing.
[01:06:37.000 --> 01:06:39.000]   And there is like a better way of doing it.
[01:06:39.000 --> 01:06:41.000]   And, you know, that's what the real golden patch was.
[01:06:41.000 --> 01:06:42.000]   But, you know, that's okay.
[01:06:42.000 --> 01:06:44.000]   But then how do you test all of that?
[01:06:44.000 --> 01:06:51.000]   Like as you start to do more realistic things, the test coverage, like getting test coverage over all possible ways of solving these bugs is really hard.
[01:06:51.000 --> 01:06:53.000]   Evaluation is the single hardest part of the whole thing.
[01:06:53.000 --> 01:07:04.000]   Like I spend a shocking amount of time just telling our customers, we need to find a way to measure what you actually want out of the model before you should ever touch a TPU.
[01:07:04.000 --> 01:07:09.000]   And, you know, trying to convince my team and me to follow our own advice a lot of the time on that.
[01:07:09.000 --> 01:07:14.000]   And I think everybody like on the one hand, it's easy to laugh at the state of the evaluations that we have.
[01:07:14.000 --> 01:07:15.000]   None of them are good.
[01:07:15.000 --> 01:07:19.000]   Like if you go read these eval benchmarks, you'll always come away disappointed.
[01:07:19.000 --> 01:07:22.000]   And yet they've given us useful hills to climb.
[01:07:22.000 --> 01:07:25.000]   And we do seem to be making progress and measuring progress in the field.
[01:07:25.000 --> 01:07:28.000]   And I think anecdotally models are getting better year to year.
[01:07:28.000 --> 01:07:33.000]   So I feel like people tend to go and get into one situation or the other, like evals don't matter.
[01:07:33.000 --> 01:07:38.000]   I'm just going to look at loss or like, you know, the evals matter a lot and they're all broken.
[01:07:38.000 --> 01:07:39.000]   So what do I do?
[01:07:39.000 --> 01:07:45.000]   And I think like a lot of things in deep learning, we have to make peace with just complete imperfection.
[01:07:45.000 --> 01:07:51.000]   Like the most successful scientists I see are the ones who are okay operating in a world where everything's going to be broken.
[01:07:51.000 --> 01:07:54.000]   And yet we can still cobble things together and make something interesting happen.
[01:07:54.000 --> 01:07:57.000]   I mean, we were just discussing that with literal infrastructure.
[01:07:57.000 --> 01:08:04.000]   And now we're all the way up to like, how do we measure whether a model performed a complex coding task correctly and everything is broken.
[01:08:04.000 --> 01:08:07.000]   And yet we're still able to make huge amounts of forward progress.
[01:08:07.000 --> 01:08:09.000]   I think that's right, Jonathan.
[01:08:09.000 --> 01:08:13.000]   And that the challenge isn't necessarily making perfect evaluations.
[01:08:13.000 --> 01:08:18.000]   I think our blog post here is about going really into the weeds on these to figure out like, what does that look like?
[01:08:18.000 --> 01:08:23.000]   And I think one thing is like, you know, as you said, we have been able to make a lot of progress without making these perfect.
[01:08:23.000 --> 01:08:24.000]   That's great.
[01:08:24.000 --> 01:08:26.000]   You don't have to have perfect evaluations.
[01:08:26.000 --> 01:08:36.000]   And, you know, the more interesting work is the stuff that we can't necessarily publish about, which is the imperfect evaluations that we have for, you know, actual coding tasks, for example.
[01:08:36.000 --> 01:08:38.000]   Like, what does this really mean as a person?
[01:08:38.000 --> 01:08:40.000]   And there, as you said, it's much messier.
[01:08:40.000 --> 01:08:45.000]   So it's a lot harder to put it out and say like, hey, everybody use this because there's so many rough edges.
[01:08:45.000 --> 01:08:48.000]   It's so hard to like, even say, oh, is this even the right task?
[01:08:48.000 --> 01:08:50.000]   Is this even the right way to do it?
[01:08:50.000 --> 01:08:51.000]   And there's a lot of judgment.
[01:08:51.000 --> 01:08:53.000]   There's a lot of intuition that it comes down to.
[01:08:53.000 --> 01:08:59.000]   But yeah, I think that's where it's critical to do if you actually want to make these systems work.
[01:08:59.000 --> 01:09:03.000]   You have to make peace with living in that in between.
[01:09:03.000 --> 01:09:07.000]   And I think that in some sense, when I hire researchers, that's the number one quality I look for.
[01:09:07.000 --> 01:09:13.000]   Like, can they be at peace living in a house that is neither clean nor messy, but it's just kind of somewhere in between?
[01:09:13.000 --> 01:09:15.000]   And are they okay with that?
[01:09:15.000 --> 01:09:19.000]   Are they okay with a few dishes being out on the table and a few clothes being on the floor?
[01:09:19.000 --> 01:09:21.000]   Or will that drive them insane?
[01:09:21.000 --> 01:09:24.000]   Or will they just end up with all the clothes on the floor and like all the dishes out all the time?
[01:09:24.000 --> 01:09:31.000]   Like, it's kind of, I'm looking for that perfect balance because, you know, we have to operate in this imperfect world.
[01:09:31.000 --> 01:09:37.000]   Like, yeah, go ahead and give me the perfect evaluation for programmers or for an LLM that is a program assistant tool.
[01:09:37.000 --> 01:09:42.000]   Like, there is no perfect evaluation, but clearly we've made progress.
[01:09:42.000 --> 01:09:45.000]   And so the most important part is just, are we climbing the right hills?
[01:09:45.000 --> 01:09:48.000]   And so this is why I'm so excited to see the ambiguity aspect of this.
[01:09:48.000 --> 01:09:52.000]   We often think we have more room to climb on these benchmarks and it turns out we don't.
[01:09:52.000 --> 01:09:59.000]   Or it turns out that actually we're climbing, getting good at the benchmark and not actually getting good at the task we care about underlying the benchmark anymore.
[01:09:59.000 --> 01:10:07.000]   Maybe the model, like this is the famous example where if you get a hundred percent on MNIST, your model must be broken in some way because there are four examples mislabeled.
[01:10:07.000 --> 01:10:11.000]   You know, it's, it's that all over again.
[01:10:11.000 --> 01:10:12.000]   Welcome to this.
[01:10:12.000 --> 01:10:13.000]   Yeah.
[01:10:13.000 --> 01:10:16.000]   It's the accidental canary in this.
[01:10:16.000 --> 01:10:27.000]   I think one thing that's actually really interesting about this also is that, yes, like the ambiguous examples are sort of, you know, not that great from the perspective of these particular tasks that we're evaluating.
[01:10:27.000 --> 01:10:30.000]   But actually one thing that we're very interested in is ambiguity itself.
[01:10:30.000 --> 01:10:36.000]   Like, can we detect whether a task from a user is ambiguous or whether you've, you know, completed a task successfully?
[01:10:36.000 --> 01:10:42.000]   Like these are actually hard, messy problems, but are really important from like the user experience of using these models.
[01:10:42.000 --> 01:10:46.000]   I would much rather have a coding agent that will give me back a thing.
[01:10:46.000 --> 01:10:55.000]   And, you know, it's, it's actually the code doesn't work like 10% less of the time than some other model, but it will tell me a hundred percent of the time when it got, like when it's not sure.
[01:10:55.000 --> 01:11:00.000]   Like that's so much more useful if it can communicate, like, I'm not really sure about this, or maybe there's some errors here.
[01:11:00.000 --> 01:11:01.000]   Then just like, here's some code.
[01:11:01.000 --> 01:11:03.000]   I have no idea if it works.
[01:11:03.000 --> 01:11:11.000]   And so these kinds of like, you know, detecting ambiguity and detecting correctness or uncertainty, I think are really interesting problems that we're really like digging into quite deeply.
[01:11:11.000 --> 01:11:18.000]   I'm going to touch on maybe a couple of hot topics in evals, maybe tangentially related, but we're on the evals train right now.
[01:11:18.000 --> 01:11:21.000]   So I'm just going to get on that.
[01:11:21.000 --> 01:11:27.000]   So ArcAGI, Francois Chollet's hot new thing.
[01:11:27.000 --> 01:11:34.000]   It's sort of my take on it is basically it's trying to measure reasoning through an abstract IQ test effectively.
[01:11:34.000 --> 01:11:37.000]   I noticed that you don't use it.
[01:11:37.000 --> 01:11:40.000]   There's a lot of community debate, pro and con about it.
[01:11:40.000 --> 01:11:44.000]   What are your thoughts on just more abstract reasoning and maybe ArcAGI specifically?
[01:11:44.000 --> 01:11:58.000]   I think we purposely stayed away from the very abstract, like there's Big Bench, for example, that has a lot of, I think, kind of, to me feels sort of similar types of tasks that are like very unrealistic.
[01:11:58.000 --> 01:12:04.000]   Like, oh, you know, we have books of different colors, and then you're going to shuffle them and like, which book is furthest to the left or something like, okay, cool.
[01:12:04.000 --> 01:12:05.000]   I guess it's neat.
[01:12:05.000 --> 01:12:11.000]   It's neat, I think, for us to explore in terms of like an agent reasoning in a larger loop.
[01:12:11.000 --> 01:12:14.000]   And we do care about these types of evaluations there.
[01:12:14.000 --> 01:12:22.000]   The types of evaluations we're talking about in the blog post here are for getting at like, does this model in a base model sense, is this working at all?
[01:12:22.000 --> 01:12:24.000]   Like there's no chain of thought in these evaluations.
[01:12:24.000 --> 01:12:26.000]   These are just like, go straight to the answer.
[01:12:26.000 --> 01:12:27.000]   Does this make sense?
[01:12:27.000 --> 01:12:29.000]   Like, is this a thing that you can answer very quickly?
[01:12:29.000 --> 01:12:31.000]   That's what we were selecting for with these evaluations.
[01:12:31.000 --> 01:12:34.000]   This is not to say that these are the only evaluations we have.
[01:12:34.000 --> 01:12:41.000]   I think the ARC ones are like a little bit too probably visual for us to really be able to integrate with.
[01:12:41.000 --> 01:12:43.000]   But I think some of the big bench ones are.
[01:12:43.000 --> 01:12:44.000]   You can tokenize it.
[01:12:44.000 --> 01:12:54.000]   Yeah, but you know, I think it's, it's not really, I think you can spend a lot of time getting really good at these kinds of benchmarks without making like, kind of more general purpose progress.
[01:12:54.000 --> 01:12:57.000]   So I think we're a little bit leery of going too far in that direction.
[01:12:57.000 --> 01:13:06.000]   Similarly, like coding competitions, like we do a lot of code generation, but we don't really do a lot on like code competition problems for the very, very hard ones.
[01:13:06.000 --> 01:13:13.000]   So I think you can go very far down that route and make something that's like really good at those problems, but not actually that useful as like a programmer day to day.
[01:13:13.000 --> 01:13:14.000]   Yeah.
[01:13:14.000 --> 01:13:23.000]   Take a different tactic, which is like at the end of the day at Databricks, I have 12,000 customers, or I think that's the latest number.
[01:13:23.000 --> 01:13:29.000]   All of whom are trying to do something with, you know, LLMs or AI or machine learning.
[01:13:29.000 --> 01:13:33.000]   And those things don't look like these tasks.
[01:13:33.000 --> 01:13:39.000]   I don't think I have a single customer that's asking to, you know, have AI solve abstract reasoning problems.
[01:13:39.000 --> 01:13:46.000]   Things are pretty, like they can be ambiguous, they can be challenging, they can be really interesting, but none of them look quite like this.
[01:13:46.000 --> 01:13:51.000]   And so, you know, I think to Josh's point, like it's really about asking, why are we doing this?
[01:13:51.000 --> 01:13:56.000]   Even if you're trying to build AGI, and that's not personally my purpose.
[01:13:56.000 --> 01:14:00.000]   And I, you know, Josh has much more interesting things to say about that than I do.
[01:14:00.000 --> 01:14:04.000]   I don't even know if this is the kind of intelligence I would get excited about or care about personally.
[01:14:04.000 --> 01:14:08.000]   Or if I would consider, you know, to Josh's point, this to be the indicia of intelligence.
[01:14:08.000 --> 01:14:10.000]   It's neat.
[01:14:10.000 --> 01:14:17.000]   But, you know, for me, it's like more down to earth things like having a model that can have a conversation with you about data.
[01:14:17.000 --> 01:14:20.000]   That on the backend is running SQL queries on your literal data.
[01:14:20.000 --> 01:14:22.000]   That's a much more interesting task to me.
[01:14:22.000 --> 01:14:27.000]   That's something that really matters day to day for my customers and, you know, different perspectives.
[01:14:27.000 --> 01:14:34.000]   But, you know, I think Josh and I would probably say the same thing, even though I would, I'm guessing I don't want to put words in your mouth.
[01:14:34.000 --> 01:14:37.000]   You would say that you're pursuing more general intelligence in your own way.
[01:14:37.000 --> 01:14:40.000]   And I would say that I'm very happy with narrow intelligence.
[01:14:40.000 --> 01:14:47.000]   Like I'm very happy with my little SQL bot and building 12,000 of those because they're moving the needle for a lot of folks every day.
[01:14:47.000 --> 01:14:52.000]   Yeah, I think we're, you know, we're not as far away in our position as it might seem.
[01:14:52.000 --> 01:14:56.000]   I think we're also excited about like, how do you actually make these things useful?
[01:14:56.000 --> 01:14:58.000]   And that does end up being pretty narrow.
[01:14:58.000 --> 01:15:06.000]   I think these other tasks can be interesting as like ways to explore these more abstract reasoning questions or like, okay, how could an agent actually work through this?
[01:15:06.000 --> 01:15:09.000]   But it's important to keep in mind that it's like a toy, not a real problem.
[01:15:09.000 --> 01:15:13.000]   It's like, it's a scientific tool to tell us something about the models.
[01:15:13.000 --> 01:15:16.000]   It's not something we should be optimizing for necessarily.
[01:15:16.000 --> 01:15:23.000]   The one thing I'll point out is, you know, as a kid, I was graded into a gifted program based on my ability to solve these exact type of problems.
[01:15:23.000 --> 01:15:32.000]   And then I entered college based on my ability to solve SATs, which again, have nothing to do with my college experience, but whatever.
[01:15:32.000 --> 01:15:39.000]   So, you know, we have a history in humanity of doing correlated IQ tests to general capability.
[01:15:39.000 --> 01:15:45.000]   Okay, so the two more viral evals, and then, you know, I just want to be mindful of your time.
[01:15:45.000 --> 01:15:48.000]   Needle in a haystack, long context utilization.
[01:15:48.000 --> 01:15:49.000]   Oh, for the love of God.
[01:15:49.000 --> 01:15:51.000]   Something, well, okay.
[01:15:51.000 --> 01:15:59.000]   Like, let's just assume that, you know, on our podcast, we've discussed the, you know, baseline problems of needle in a haystack, but just generally long context, right?
[01:15:59.000 --> 01:16:01.000]   It's a useful thing for agents.
[01:16:01.000 --> 01:16:06.000]   I assume, and it's something that, you know, it's out there.
[01:16:06.000 --> 01:16:13.000]   Like, we don't know, don't really know what the best way to utilize memory is, but like, I assume it's important, right?
[01:16:13.000 --> 01:16:16.000]   What I'll say is like, you know, I spend a lot of time thinking about RAG these days.
[01:16:16.000 --> 01:16:22.000]   And RAG, you know, in one sense, you know, the way that I think about RAG is it's the world's simplest agent.
[01:16:22.000 --> 01:16:27.000]   It is an agent that basically, you know, there's at least more than one thing happening in the process of building a model.
[01:16:27.000 --> 01:16:28.000]   It's at least a system.
[01:16:28.000 --> 01:16:35.000]   If you give the model the ability to decide when it wants to retrieve data from a context or retrieve data from a database, then we're talking about an agent.
[01:16:35.000 --> 01:16:39.000]   So RAG kind of, I think, like, tows that boundary really nicely.
[01:16:39.000 --> 01:16:42.000]   There are a lot of reasons why you do genuinely need a long context.
[01:16:42.000 --> 01:16:45.000]   Like, I don't think long contexts are problematic in and of themselves.
[01:16:45.000 --> 01:16:47.000]   I know there's some controversy even about that.
[01:16:47.000 --> 01:16:52.000]   I love the idea of doing like thousand shot tasks as an alternative to fine tuning.
[01:16:52.000 --> 01:16:54.000]   I love the idea of pulling in lots of data into the context.
[01:16:54.000 --> 01:16:58.000]   I love the idea of once you get into multimodal land, you're just going to end up with giant context.
[01:16:58.000 --> 01:17:00.000]   It's kind of unavoidable.
[01:17:00.000 --> 01:17:07.000]   The flip side is I don't know of anyone who, like, is hiding a secret passphrase in a book and needs the model to find it.
[01:17:07.000 --> 01:17:10.000]   Needle in a haystack is, it's interesting.
[01:17:10.000 --> 01:17:20.000]   The challenge with long context, to my mind, and Josh, I'm curious what you think, is simply that annotating long context evals is really hard and really expensive, you know, intrinsically.
[01:17:20.000 --> 01:17:30.000]   Because you need someone to read 10,000 tokens or 100,000 tokens or, like, you need someone to read a 1,000 page book or the equivalent thereof in order to measure these long context benchmarks.
[01:17:30.000 --> 01:17:38.000]   I don't know if a human could solve these tasks, let alone that a human could do this in any amount of time where you're willing to pay the money to get the data annotated.
[01:17:38.000 --> 01:17:42.000]   And so any long context eval has to, in some sense, be correct by construction.
[01:17:42.000 --> 01:17:46.000]   And you have to, you know, you have to know the answer before you've created the example.
[01:17:46.000 --> 01:17:49.000]   And needle in a haystack is kind of the simplest way of doing that.
[01:17:49.000 --> 01:17:53.000]   I think the problems with needle in a haystack are well known, you know, it doesn't measure anything real.
[01:17:53.000 --> 01:17:58.000]   You're not even testing the model's ability to holistically use the context just to identify one part of the context.
[01:17:58.000 --> 01:18:08.000]   So you can do some wacky things to your model, like quantize the hell out of the KV cache and still get needle in a haystack to work quite well because it's not trying to holistically take advantage of things.
[01:18:08.000 --> 01:18:15.000]   You know, I have some thoughts on things that I like more that are also still correct by construction.
[01:18:15.000 --> 01:18:24.000]   Like I really like the idea of doing thousand shot tasks where you can look at the scaling as you go from 10 shot to 100 shot to 1000 shot to fine tuning on that data instead.
[01:18:24.000 --> 01:18:32.000]   And I like that as a way to, you know, have something that's correct by construction, at least where you have a nice baseline that you can compare to automatically.
[01:18:32.000 --> 01:18:41.000]   So I'm typically looking for like contexts that are situations where long context is one way to solve the task, but not the only way to solve the task.
[01:18:41.000 --> 01:18:44.000]   And we have some other strong baseline floating around personally.
[01:18:44.000 --> 01:18:48.000]   But yeah, needle in a haystack, not my favorite thing in the world, to say the least.
[01:18:48.000 --> 01:18:52.000]   Yeah, I mean, I agree with most of what Jonathan said, I think.
[01:18:52.000 --> 01:19:03.000]   I think one other thing that I will call it is that, you know, from like a coding application perspective, it's useful to have long context because the lazy thing of just like throw the whole repo in the context is like, okay, cool.
[01:19:03.000 --> 01:19:05.000]   Like, you know, you can just get started with that.
[01:19:05.000 --> 01:19:10.000]   But then in, you know, in real scenarios, you don't necessarily want to put the whole thing in there.
[01:19:10.000 --> 01:19:11.000]   You can have code bases that are bigger.
[01:19:11.000 --> 01:19:14.000]   You probably want to filter down to the stuff that's relevant anyway to not be confusing.
[01:19:14.000 --> 01:19:19.000]   Like you probably, even if you did have a lot of context, you might want to sort it in some way to say this is more important than this other stuff.
[01:19:19.000 --> 01:19:25.000]   So, and you know, you don't want to wait for, you don't want to be wasting all this time and compute on inference and like doesn't really matter.
[01:19:25.000 --> 01:19:30.000]   So, yeah, I don't know that it's the most important thing.
[01:19:30.000 --> 01:19:38.000]   I think people will find creative use cases and like John said, I think the multimodality examples will naturally lend themselves to long context.
[01:19:38.000 --> 01:19:39.000]   Cool.
[01:19:39.000 --> 01:19:48.000]   And then one last one on just general sort of agent related capabilities that we didn't really talk about in eval section is function calling and tool use.
[01:19:48.000 --> 01:19:55.000]   There's a recent trend, I think, basically led again by OpenAI on parallel function calling.
[01:19:55.000 --> 01:20:03.000]   There's always, there's been a limit on how many tools you can call from four to now, I think 128.
[01:20:03.000 --> 01:20:07.000]   And I think theoretically Claude and Jem and I support a lot more.
[01:20:07.000 --> 01:20:11.000]   So just generally, how do you think about evaling tool use?
[01:20:11.000 --> 01:20:13.000]   Is that super important for you guys?
[01:20:13.000 --> 01:20:14.000]   Anything else?
[01:20:14.000 --> 01:20:19.000]   I think we're thinking about it in a slightly different way, which is, yes, you can have this like hard coded list of tools.
[01:20:19.000 --> 01:20:25.000]   But if only you could have like this really large open set of like tools, maybe they would be like functions that you could call.
[01:20:25.000 --> 01:20:30.000]   If only there was like a language or like a programming thing, like being able to write code.
[01:20:30.000 --> 01:20:39.000]   I think for us, it's like, well, look, if we can write code, like now you have all these tools accessible at the end of the day, like function calling is just a function invocation, like literally in code.
[01:20:39.000 --> 01:20:51.000]   I think our approach to this is like, instead of worrying about like weird, hard coded agents using tools, like let's just make them able to actually write code robustly and make that code work and be able to debug that code, know if that code is safe to run.
[01:20:51.000 --> 01:20:59.000]   Like get really good at the like code writing and execution part of things, because that will open up the action space like far more than, you know, 128 tools.
[01:20:59.000 --> 01:21:05.000]   Like just everything is at your fingertips, especially I think over the next few years, like we already have so many really good APIs.
[01:21:05.000 --> 01:21:10.000]   As we get better and better at writing code, we'll be able to make APIs to things that don't even have APIs today.
[01:21:10.000 --> 01:21:16.000]   I think that's, that's kind of how we think about it is less as like a special purpose thing and more as like, this is one of the reasons to focus on code.
[01:21:16.000 --> 01:21:22.000]   On my end, the way that I think about this is, you know, I think a lot about how models interact with data.
[01:21:22.000 --> 01:21:31.000]   And so for me, tool use is really a question of how do you take models that are really built for unstructured data and have them interact with structured data.
[01:21:31.000 --> 01:21:36.000]   So, you know, I, and I get the question a lot from my customers, like, what do I do with tabular data?
[01:21:36.000 --> 01:21:40.000]   Or what do I do with like, you know, JSON or what do I do?
[01:21:40.000 --> 01:21:41.000]   I mean, you name it.
[01:21:41.000 --> 01:21:43.000]   Like, even what do I do with a PDF?
[01:21:43.000 --> 01:21:48.000]   Because PDF parsing is still an unsolved problem, even in 2024.
[01:21:48.000 --> 01:21:52.000]   And the answer, or even just the basic question of like, should I bother to structure my data anymore?
[01:21:52.000 --> 01:21:54.000]   Shouldn't I just toss the table?
[01:21:54.000 --> 01:21:58.000]   Shouldn't I flatten it and just throw it into the LLM context and like let the model figure it out?
[01:21:58.000 --> 01:21:59.000]   The answer is no.
[01:21:59.000 --> 01:22:07.000]   Like, we've built all these fun APIs and fun languages and paradigms for dealing with structured data over the years.
[01:22:07.000 --> 01:22:08.000]   Just use them.
[01:22:08.000 --> 01:22:09.000]   Have your model use them.
[01:22:09.000 --> 01:22:12.000]   Train a model that can interact with these things in a meaningful way.
[01:22:12.000 --> 01:22:24.000]   Like, it's, you know, text to SQL is still, or like having a model be able to make SQL calls in the backend is actually like one of the single most useful things for my customers.
[01:22:24.000 --> 01:22:26.000]   It sounds really boring.
[01:22:26.000 --> 01:22:30.000]   But the models are really good at it and it moves the needle day to day.
[01:22:30.000 --> 01:22:32.000]   So tool use for me really is that.
[01:22:32.000 --> 01:22:44.000]   Like, how do you just interact with structured data sources and take advantage of the fact that you have some prior knowledge about the structure of your data that an LLM would completely flatten away?
[01:22:44.000 --> 01:22:51.000]   You know, in many ways, this is kind of one of the, one of my biggest frustrations with the fact that LLMs work well with code.
[01:22:51.000 --> 01:22:55.000]   We have decades and decades and decades of understanding about the structure and interpretation of programs.
[01:22:55.000 --> 01:22:59.000]   Like, I think that's literally the name of a book on programming, if I remember right.
[01:22:59.000 --> 01:23:03.000]   And like, we, you know, we have all this theory.
[01:23:03.000 --> 01:23:08.000]   We know everything there is to know about programming languages, if they're well-formed languages and have the right properties.
[01:23:08.000 --> 01:23:12.000]   And yet when we have an LLM work with them, we literally just turn it into a token stream.
[01:23:12.000 --> 01:23:14.000]   Despite the fact that we know how to parse it.
[01:23:14.000 --> 01:23:20.000]   We know, you know, how to do all sorts of, you know, reference, you know, disambiguation and things like that.
[01:23:20.000 --> 01:23:25.000]   We're still just flattening it into a model and making the model relearn all of these things from scratch.
[01:23:25.000 --> 01:23:27.000]   And it frustrates the hell out of me.
[01:23:27.000 --> 01:23:29.000]   I don't have a better answer when it comes to code.
[01:23:29.000 --> 01:23:33.000]   But I really appreciate that with a lot of data sources that have structure to them.
[01:23:33.000 --> 01:23:38.000]   Tool uses and function calling are just, in my mind, the right way to deal with this.
[01:23:38.000 --> 01:23:42.000]   So I think basically what you're saying is like code is the God tool for Jonathan.
[01:23:42.000 --> 01:23:49.000]   Like, you know, SQL is so much the right abstraction for accessing all this data.
[01:23:49.000 --> 01:23:55.000]   One thing I do spend a lot of time thinking about is, you know, for the stuff that doesn't fit in a SQL table.
[01:23:55.000 --> 01:23:58.000]   You know, is Knowledge Graph the answer?
[01:23:58.000 --> 01:24:01.000]   I think a lot of people are exploring that.
[01:24:01.000 --> 01:24:06.000]   And I think every now and then people get a bout of Knowledge Graph religion and then it kind of doesn't work out.
[01:24:06.000 --> 01:24:11.000]   So I wonder what that, you know, I wonder what the end state is.
[01:24:11.000 --> 01:24:19.000]   Like, you know, is this an idea where like it's a mirage or is this the idea where sometime it's going to work?
[01:24:19.000 --> 01:24:22.000]   It's about like having the right tools for the problems, right?
[01:24:22.000 --> 01:24:25.000]   Like as Jonathan was saying, SQL is sometimes definitely the right tool.
[01:24:25.000 --> 01:24:29.000]   Like you've got your, you know, order table or something and you want to know, you know, number of sales last month.
[01:24:29.000 --> 01:24:33.000]   Like you should be using SQL. Sum that column. Okay, great. You're all set.
[01:24:33.000 --> 01:24:37.000]   Knowledge Graphs also, you know, are sometimes the right tool for a particular problem.
[01:24:37.000 --> 01:24:42.000]   You have some like weird question about relationships between entities that are modeled on some particular ontology
[01:24:42.000 --> 01:24:45.000]   that you actually understand and is like maps to the real world.
[01:24:45.000 --> 01:24:49.000]   Great, you know, use a Knowledge Base, like use a Knowledge Graph. This is fine.
[01:24:49.000 --> 01:24:56.000]   But I think in the real world, it gets a lot messier than like Knowledge Graph style of things where it's like,
[01:24:56.000 --> 01:24:59.000]   well, is there a relationship between these two nodes? Like, I don't know.
[01:24:59.000 --> 01:25:01.000]   Like, are these two separate nodes?
[01:25:01.000 --> 01:25:06.000]   Like those kind of messy borders, I think, prevent it from being a tool that can like solve everything forever.
[01:25:06.000 --> 01:25:10.000]   And so I think it'll always be good for certain problems, just like SQL is good for certain problems.
[01:25:10.000 --> 01:25:12.000]   Like different abstractions are good for different problems.
[01:25:12.000 --> 01:25:15.000]   And, you know, yeah, I think this is why I'm excited about code.
[01:25:15.000 --> 01:25:18.000]   Like code lets you kind of pick the right, like, let's use this library for this problem.
[01:25:18.000 --> 01:25:20.000]   Let's use this library for this other problem.
[01:25:20.000 --> 01:25:27.000]   You know, like code is, I think, you know, Josh said it and you said it well, like code is kind of the God tool.
[01:25:27.000 --> 01:25:29.000]   It unlocks literally everything.
[01:25:29.000 --> 01:25:37.000]   The challenge for me is always like, you know, sometimes unlocking too much power can, sometimes inconvenient things can happen.
[01:25:37.000 --> 01:25:39.000]   And so it's all about balancing that.
[01:25:39.000 --> 01:25:41.000]   In some sense, language is the God tool.
[01:25:41.000 --> 01:25:45.000]   If only, you know, we knew how to, you know, we knew how to interpret it all the time.
[01:25:45.000 --> 01:25:49.000]   So code is, has the really nice property that at least you can always execute it.
[01:25:49.000 --> 01:25:54.000]   You know, and sometimes you just literally want your model to be able to do SQL calls and nothing else.
[01:25:54.000 --> 01:26:01.000]   And setting those boundaries properly for the problem, I think is going to be, I think at least a lot of my customers are going to be thinking very hard about that.
[01:26:01.000 --> 01:26:03.000]   Like, should I give the model access to the web?
[01:26:03.000 --> 01:26:05.000]   Is that actually helpful for this problem?
[01:26:05.000 --> 01:26:07.000]   It sounds great to just like flip yes on all the tools.
[01:26:07.000 --> 01:26:10.000]   Is that actually going to mean I'm going to get better solutions to my problems?
[01:26:10.000 --> 01:26:12.000]   So I want to be mindful of time.
