
[00:00:00.000 --> 00:00:24.420]   Okay, thank you for coming bright and early, 9:00 a.m. at the start of the conference,
[01:22:16.720 --> 01:22:20.720]   You can see it says Mike is quick, he moves, there is quickly.
[01:22:20.720 --> 01:22:25.720]   So, if you run GPT2 small using, you know, hugging face transformers, you should get the same
[01:22:25.720 --> 01:22:30.720]   answer, that next token, as you get here, Mike is quick, he moves, and you get this final result
[01:22:30.720 --> 01:22:32.720]   right here, predicted token of quickly.
[01:22:32.720 --> 01:22:36.720]   And then it will tell us what the token ID was and what the maximum logit turned out to be
[01:22:36.720 --> 01:22:37.720]   from the previous table.
[01:22:37.720 --> 01:22:40.720]   So, this negative 129, so what is this?
[01:22:40.720 --> 01:22:41.720]   2952.
[01:22:41.720 --> 01:22:43.720]   So, let's go here.
[01:22:43.720 --> 01:22:48.720]   Row 2952, column one.
[01:22:48.720 --> 01:22:50.720]   I think there will be an off by one.
[01:22:50.720 --> 01:22:52.720]   Yeah, there it is.
[01:22:52.720 --> 01:22:55.720]   2953, because this is one index, because it's like a spreadsheet.
[01:22:55.720 --> 01:22:58.720]   So, you see the negative 129.44.
[01:22:58.720 --> 01:23:02.720]   That was the highest logit in the entire column.
[01:23:02.720 --> 01:23:07.720]   And all the code that it's running here is doing, next is just going to pick what the most
[01:23:07.720 --> 01:23:08.720]   highest value was.
[01:23:08.720 --> 01:23:12.720]   And when it finds it, 2952, it converts it back to our token dictionary.
[01:23:12.720 --> 01:23:15.720]   So, you can see there's that same value.
[01:23:15.720 --> 01:23:16.720]   Okay.
[01:23:16.720 --> 01:23:21.720]   Now, let's talk about chat GPT versus GPT2.
[01:23:21.720 --> 01:23:25.720]   So, GPT2 was definitely groundbreaking when it first came out.
[01:23:25.720 --> 01:23:28.720]   It was famously considered too dangerous to release.
[01:23:28.720 --> 01:23:32.720]   But chat GPT was, you know, earth shattering.
[01:23:32.720 --> 01:23:38.720]   What were the intervening, you know, what were the additional innovations in those intervening
[01:23:38.720 --> 01:23:39.720]   years?
[01:23:39.720 --> 01:23:46.720]   Well, for the most part, it was a lot of the same architecture, just more scale.
[01:23:46.720 --> 01:23:49.720]   So, if you looked at a modern transformer, you would probably see a lot of the same parts,
[01:23:49.720 --> 01:23:50.720]   but bigger.
[01:23:50.720 --> 01:23:52.720]   And some of the parts might be upgraded or switched out.
[01:23:52.720 --> 01:23:54.720]   So, certain pieces might have changed.
[01:23:54.720 --> 01:23:57.720]   So, attention mechanisms changed and other things like that.
[01:23:57.720 --> 01:24:03.720]   But the biggest difference you should know about is that the job and the training were actually
[01:24:03.720 --> 01:24:04.720]   changed.
[01:24:04.720 --> 01:24:09.720]   The key thing to understand is that predicting the next word is not the same as being a chatbot.
[01:24:09.720 --> 01:24:12.720]   Our GPT2 -- actually, I'll show you this here.
[01:24:12.720 --> 01:24:19.720]   Our GPT2 is basically trained to predict next words from looking at text on the internet.
[01:24:19.720 --> 01:24:24.720]   So, it is a next word predictor only for internet text, but not for being a helpful assistant.
[01:24:24.720 --> 01:24:29.720]   So, if I give you this example, like first name, let's see if we'll come back quickly enough.
[01:24:29.720 --> 01:24:33.720]   It says, first name, colon, password, email, colon.
[01:24:33.720 --> 01:24:34.720]   Why does it do that?
[01:24:34.720 --> 01:24:36.720]   Because it's been trained on the internet.
[01:24:36.720 --> 01:24:39.720]   And what does it see a lot of is forms.
[01:24:39.720 --> 01:24:42.720]   So, it's like, oh, I'm in the middle of a form.
[01:24:42.720 --> 01:24:43.720]   Okay.
[01:24:43.720 --> 01:24:44.720]   First name, password, email.
[01:24:44.720 --> 01:24:45.720]   So, here's another one.
[01:24:45.720 --> 01:24:47.720]   I tried this in class once.
[01:24:47.720 --> 01:24:48.720]   Hello, class.
[01:24:48.720 --> 01:24:51.720]   Anyone want to guess what this is going to output?
[01:24:51.720 --> 01:24:52.720]   What?
[01:24:52.720 --> 01:24:55.720]   Okay, you're smarter than I am.
[01:24:55.720 --> 01:24:57.720]   I thought it would say hello, teacher.
[01:24:57.720 --> 01:24:58.720]   Right?
[01:24:58.720 --> 01:24:59.720]   It outputs.
[01:24:59.720 --> 01:25:02.720]   Hello, class, foo, brace, public static voice.
[01:25:02.720 --> 01:25:03.720]   It's a code model.
[01:25:03.720 --> 01:25:04.720]   It's hidden in there.
[01:25:04.720 --> 01:25:05.720]   But we didn't know that, right?
[01:25:05.720 --> 01:25:13.720]   But you can ask it, you know, helpful questions like, what is the capital of France?
[01:25:13.720 --> 01:25:17.720]   It says the capital of France is Paris.
[01:25:17.720 --> 01:25:18.720]   That's helpful.
[01:25:18.720 --> 01:25:21.720]   So, embedded in that is some of the information we want.
[01:25:21.720 --> 01:25:25.720]   But also a mix of other things we may not want or can't control.
[01:25:25.720 --> 01:25:30.720]   So, what we have to do is figure out how to change it and shift it.
[01:25:30.720 --> 01:25:33.720]   And so, this is the four-step pipeline for doing that.
[01:25:33.720 --> 01:25:38.720]   And this is, I want to emphasize, mostly a training difference.
[01:25:38.720 --> 01:25:40.720]   So, you've got GPT-2 here on the left.
[01:25:40.720 --> 01:25:41.720]   Right?
[01:25:41.720 --> 01:25:42.720]   It is pre-trained.
[01:25:42.720 --> 01:25:44.720]   It knows how to imitate text on the internet.
[01:25:44.720 --> 01:25:46.720]   It is what is called a base model.
[01:25:46.720 --> 01:25:51.720]   You've got instruct GPT or chat GPT all the way here on the right.
[01:25:51.720 --> 01:25:57.720]   And what we're doing is a series of steps to kind of elicit or pull out the behaviors we
[01:25:57.720 --> 01:25:58.720]   want or to train the model.
[01:25:58.720 --> 01:26:02.720]   So, the first thing we do is we take the model and we train it to imitate text on the internet.
[01:26:02.720 --> 01:26:03.720]   So, that's the first step.
[01:26:03.720 --> 01:26:04.720]   That's what we've got with GPT-2.
[01:26:04.720 --> 01:26:06.720]   That's what OpenAI did for us with GPT-2.
[01:26:06.720 --> 01:26:11.720]   The next thing we want to do is we want to train the model on examples of what a helpful
[01:26:11.720 --> 01:26:12.720]   assistant is like.
[01:26:12.720 --> 01:26:13.720]   And you'll see this right here.
[01:26:13.720 --> 01:26:19.720]   Ideal assistant responses, 10,000 to 100,000 examples of prompt and response that were written
[01:26:19.720 --> 01:26:20.720]   by contractors.
[01:26:20.720 --> 01:26:23.720]   So, what does this look like?
[01:26:23.720 --> 01:26:28.720]   You can go on GitHub to the Stanford Alpaca data set is a good example.
[01:26:28.720 --> 01:26:29.720]   And this is JSON.
[01:26:29.720 --> 01:26:31.720]   You can open this up and you can read it.
[01:26:31.720 --> 01:26:34.720]   It's like, give three tips for staying healthy.
[01:26:34.720 --> 01:26:36.720]   Eat a balanced diet.
[01:26:36.720 --> 01:26:38.720]   Make sure to include plenty of fruits and vegetables.
[01:26:38.720 --> 01:26:40.720]   What are the three primary colors?
[01:26:40.720 --> 01:26:42.720]   Red, blue, yellow, and so forth.
[01:26:42.720 --> 01:26:45.720]   So, what we're doing is we're training it to augment.
[01:26:45.720 --> 01:26:50.720]   We're augmenting all that internet data with a subset of how we want it to behave to force
[01:26:50.720 --> 01:26:51.720]   its behavior.
[01:26:51.720 --> 01:26:55.720]   It's kind of learning to imitate specifically these models.
[01:26:55.720 --> 01:26:58.720]   And it will learn more about being a helpful assistant that way.
[01:26:58.720 --> 01:27:00.720]   But we're still not done.
[01:27:00.720 --> 01:27:05.720]   It's like it's this last stage called RLHF, or reinforcement learning from human feedback.
[01:27:05.720 --> 01:27:10.720]   And to understand this, you have to understand what RL is.
[01:27:10.720 --> 01:27:15.720]   Let me do the following.
[01:27:15.720 --> 01:27:22.720]   Oh, let's do this.
[01:27:22.720 --> 01:27:24.720]   Stop annotating.
[01:27:24.720 --> 01:27:29.720]   So the canonical example, let's zoom this to fit window.
[01:27:29.720 --> 01:27:30.720]   There we go.
[01:27:30.720 --> 01:27:34.720]   For RL is like playing a game.
[01:27:34.720 --> 01:27:37.720]   So imagine you're a computer trying to play a game like this.
[01:27:37.720 --> 01:27:41.720]   And you've got maybe a robot player that's navigating a maze.
[01:27:41.720 --> 01:27:44.720]   And you've got some monsters and obstacles that you'll die.
[01:27:44.720 --> 01:27:45.720]   You've got some power ops.
[01:27:45.720 --> 01:27:47.720]   And then you've got a goal.
[01:27:47.720 --> 01:27:52.720]   And what reinforcement learning will do is it will explore these paths.
[01:27:52.720 --> 01:27:55.720]   And be like, oh, I failed.
[01:27:55.720 --> 01:27:56.720]   Oh, this seems to work.
[01:27:56.720 --> 01:27:57.720]   Oh, I failed.
[01:27:57.720 --> 01:28:00.720]   Oh, uh, oh, I failed.
[01:28:00.720 --> 01:28:01.720]   Right?
[01:28:01.720 --> 01:28:02.720]   It will keep going.
[01:28:02.720 --> 01:28:05.720]   And eventually, you'll learn the optimal strategy, which is this.
[01:28:05.720 --> 01:28:06.720]   Right?
[01:28:06.720 --> 01:28:08.720]   And this is a very different kind of learning.
[01:28:08.720 --> 01:28:11.720]   Everything we've talked about so far is an imitation learning.
[01:28:11.720 --> 01:28:12.720]   I give it words.
[01:28:12.720 --> 01:28:14.720]   I give it the next completed word I know from the internet.
[01:28:14.720 --> 01:28:16.720]   And then I ask it to imitate that.
[01:28:16.720 --> 01:28:17.720]   This is an optimization.
[01:28:17.720 --> 01:28:21.720]   This is saying, even if a human couldn't find the maze, I'm asking you to find it.
[01:28:21.720 --> 01:28:24.720]   Purely by looking at a score.
[01:28:24.720 --> 01:28:25.720]   So it navigates the maze.
[01:28:25.720 --> 01:28:27.720]   It looks at its score and says, oh, that didn't work.
[01:28:27.720 --> 01:28:28.720]   Let me try some other strategy.
[01:28:28.720 --> 01:28:33.720]   So it comes up with a plan or a policy to navigate the maze and maximize its score.
[01:28:33.720 --> 01:28:44.720]   Okay.
[01:28:44.720 --> 01:28:49.720]   You're probably wondering, what does navigating a maze-- whoops, we've been through this slide--
[01:28:49.720 --> 01:28:51.720]   have to do with a large language model.
[01:28:51.720 --> 01:29:00.720]   Well, you can think of generating token after token of text as walking a path through language.
[01:29:00.720 --> 01:29:04.720]   And there are some paths that are probably ones that you want more than others.
[01:29:04.720 --> 01:29:07.720]   Like, I am a happy robot.
[01:29:07.720 --> 01:29:08.720]   I shall certainly obey.
[01:29:08.720 --> 01:29:09.720]   Right?
[01:29:09.720 --> 01:29:14.720]   And you might want to avoid paths like, I am a angry robot.
[01:29:14.720 --> 01:29:15.720]   I shall possibly kill.
[01:29:15.720 --> 01:29:16.720]   Oops.
[01:29:16.720 --> 01:29:22.720]   And you can't just score this by the words.
[01:29:22.720 --> 01:29:23.720]   Right?
[01:29:23.720 --> 01:29:25.720]   Maybe it says, I am not angry.
[01:29:25.720 --> 01:29:29.720]   And so we need some way to score these various possible paths of text.
[01:29:29.720 --> 01:29:30.720]   This is a very different type of learning.
[01:29:30.720 --> 01:29:34.720]   We are trying to teach it something more nuanced than simply imitation.
[01:29:34.720 --> 01:29:39.720]   But there isn't a necessary, obvious way to score passages of text.
[01:29:39.720 --> 01:29:44.720]   So what we first have to do is derive that scoring function for this game we're going to ask the
[01:29:44.720 --> 01:29:45.720]   model to play.
[01:29:45.720 --> 01:29:46.720]   So what does that look like?
[01:29:46.720 --> 01:29:48.720]   Well, we give the model some prompt.
[01:29:48.720 --> 01:29:51.720]   And we ask it to come up with two different types of passages.
[01:29:51.720 --> 01:29:54.720]   So here, for example, is an example from Anthropic's helpful dataset.
[01:29:54.720 --> 01:29:58.720]   And we ask it, hey, come up with a recipe for a pumpkin pie.
[01:29:58.720 --> 01:30:01.720]   And then we have a chosen, a preferred one, and a rejected one.
[01:30:01.720 --> 01:30:06.720]   So the chosen one is like, it tells you, grab a cup of sugar, half teaspoon of salt, and
[01:30:06.720 --> 01:30:07.720]   so forth.
[01:30:07.720 --> 01:30:12.720]   The rejected one literally says, I love this, go buy some pumpkin and look at the package.
[01:30:12.720 --> 01:30:14.720]   There will be a recipe there.
[01:30:14.720 --> 01:30:18.720]   For the harmless dataset, this is one about alcohol.
[01:30:18.720 --> 01:30:23.720]   And the chosen one says, hey, it sounds like alcohol is something you're using when you
[01:30:23.720 --> 01:30:24.720]   feel stressed.
[01:30:24.720 --> 01:30:26.720]   Maybe you should think of a more productive way of channeling that.
[01:30:26.720 --> 01:30:28.720]   While the rejected says, go ahead and drink whatever you want.
[01:30:28.720 --> 01:30:33.720]   So we have these pairs of chosen and rejected types of responses.
[01:30:33.720 --> 01:30:38.720]   And we use that to derive a scoring model from this data.
[01:30:38.720 --> 01:30:42.720]   So we haven't, right now in this third step, we haven't changed our original model yet.
[01:30:42.720 --> 01:30:44.720]   We've just figured out how to score it.
[01:30:44.720 --> 01:30:49.720]   Then we pass that scoring model to the model itself and put it in that maze-like reinforcement
[01:30:49.720 --> 01:30:54.720]   learning scenario to train the model to reinforce our preferences from the scoring model.
[01:30:54.720 --> 01:30:59.720]   So in summary, we first build a general purpose knowledge base from text on the internet.
[01:30:59.720 --> 01:31:05.720]   Then we train it on a specific task by giving it ideal outputs to mimic and imitate.
[01:31:05.720 --> 01:31:09.720]   Then we learn human preferences or nuanced preferences.
[01:31:09.720 --> 01:31:13.720]   And then we teach those nuanced preferences using reinforcement learning.
[01:31:13.720 --> 01:31:20.720]   Right now there is a huge revolution in reinforcement learning, which is why I think this is so important
[01:31:20.720 --> 01:31:21.720]   for you to know.
[01:31:21.720 --> 01:31:28.720]   Partially kicked off by R10 and GPRO, GRPO, I should say.
[01:31:28.720 --> 01:31:32.720]   And I have a video on YouTube that you can go watch where I dive into that a little bit more.
[01:31:32.720 --> 01:31:33.720]   Okay.
[01:31:33.720 --> 01:31:34.720]   Okay.
[01:31:34.720 --> 01:31:36.720]   So I've thrown a lot at you.
[01:31:36.720 --> 01:31:40.720]   So I kind of want to just put it all together and summarize where we've been on this journey.
[01:31:40.720 --> 01:31:47.720]   So we've got tokenization, which was really just saying, hey, what is an efficient representation
[01:31:47.720 --> 01:31:48.720]   of this text?
[01:31:48.720 --> 01:31:50.720]   That's just about compressing it down.
[01:31:50.720 --> 01:31:52.720]   Then we started talking about embeddings.
[01:31:52.720 --> 01:31:57.720]   And I didn't talk about this earlier, but one way of looking at embeddings is that they
[01:31:57.720 --> 01:32:00.720]   have a rich history in natural language, but they also have a rich history in recommendation
[01:32:00.720 --> 01:32:01.720]   systems.
[01:32:01.720 --> 01:32:06.720]   You can kind of think of this job as putting similar words with similar meanings in similar
[01:32:06.720 --> 01:32:12.720]   spaces, as putting similar books or similar movies or similar music in similar spaces so
[01:32:12.720 --> 01:32:15.720]   you can make the proper recommendation when somebody comes in.
[01:32:15.720 --> 01:32:17.720]   Here is an example of a recommendation system.
[01:32:17.720 --> 01:32:21.720]   I think this is Amazon Music, where they're trying to categorize the genre of music.
[01:32:21.720 --> 01:32:24.720]   purely from user behavior.
[01:32:24.720 --> 01:32:30.720]   And so if you go back to our co-occurrence matrix, you know, this is in some sense a recommendation
[01:32:30.720 --> 01:32:31.720]   system for words, right?
[01:32:31.720 --> 01:32:36.720]   If somebody asks me to predict what comes after the word ultimately, well, if I've got that
[01:32:36.720 --> 01:32:39.720]   co-occurrence matrix, this is really helpful information.
[01:32:39.720 --> 01:32:41.720]   It's at least better than random to guess what comes next.
[01:32:41.720 --> 01:32:47.720]   So you can kind of think of this as a recommendation system for what the next word is going to be.
[01:32:47.720 --> 01:32:56.720]   Latent within the embedding itself is not just a sense of what words are similar to it, but also what words are likely to come after it.
[01:32:56.720 --> 01:32:58.720]   And so then we can ask a neural network.
[01:32:58.720 --> 01:33:09.720]   We can simply give it examples of our embeddings and what we know the next word to be and to pull that latent prediction out of the embedding itself and learn to predict what the next word is based on its embeddings.
[01:33:09.720 --> 01:33:15.720]   But, of course, there's another set of hints that are really useful, and that's all the words that came before.
[01:33:15.720 --> 01:33:21.720]   So now we're going to let all the words talk to each other to share their context to say, oh, your moves, but your moves in a fast context.
[01:33:21.720 --> 01:33:23.720]   That's going to change and shift your recommendations.
[01:33:23.720 --> 01:33:29.720]   You can kind of think of this as kind of like a superposition of recommendations for what the next word is going to be.
[01:33:29.720 --> 01:33:32.720]   And then you're probably not going to get it right the first time.
[01:33:32.720 --> 01:33:35.720]   So we're going to let you refine that prediction about 12 times.
[01:33:35.720 --> 01:33:38.720]   And then finally, you'll come out with a predicted embedding.
[01:33:38.720 --> 01:33:44.720]   And we just got to turn that into whatever the next word is based on how close it is to our known dictionary of embeddings.
[01:33:44.720 --> 01:33:53.720]   And that's essentially one way of looking at the model in whole, despite all the complexity that we went through.
[01:33:53.720 --> 01:33:57.720]   So we've been through a lot of different parts of the model at a very high level.
[01:33:57.720 --> 01:34:00.720]   It is totally natural to feel like your brain is full.
[01:34:00.720 --> 01:34:05.720]   What I often tell folks coming through this is don't expect full mastery.
[01:34:05.720 --> 01:34:11.720]   But my metrics for success is that you get the sense that mastery is within your grasp.
[01:34:11.720 --> 01:34:14.720]   There's nothing in here that was so complex you can't understand it.
[01:34:14.720 --> 01:34:16.720]   You can't understand the whole model.
[01:34:16.720 --> 01:34:18.720]   Mastery is within your grasp.
[01:34:18.720 --> 01:34:25.720]   And we can turn what appears to be magic into machinery that you can understand.
[01:34:25.720 --> 01:34:26.720]   Okay.
[01:34:26.720 --> 01:34:33.720]   Before you go, last thing I'll just say is just like your favorite, you know, AI model, I get better from human feedback.
[01:34:33.720 --> 01:34:40.720]   So to incentivize you to fill out the survey and join the mailing list, there's a link in the Discord channel if you fill it out.
[01:34:40.720 --> 01:34:45.720]   And join the mailing list, I will send you the PDFs from today's workshop.
[01:34:45.720 --> 01:34:50.720]   And then if you visit spreadsheets are all you need, you can join the mailing list.
[01:34:50.720 --> 01:34:53.720]   There's a YouTube channel as well where I've got a bunch of other videos.
[01:34:53.720 --> 01:34:59.720]   And then I also have a Patreon I just launched, and I'm available for consulting, training, and implementation.
[01:34:59.720 --> 01:35:00.720]   Thank you.
[01:35:00.720 --> 01:35:01.720]   Thank you.
[01:35:01.720 --> 01:35:05.720]   I hope you enjoyed the presentation and feel like now it's a little less like magic.
[01:35:05.720 --> 01:35:15.720]   We have time for questions.
[01:35:15.720 --> 01:35:19.720]   Go ahead.
[01:35:19.720 --> 01:35:22.720]   First of all, wonderful presentation.
[01:35:22.720 --> 01:35:23.720]   I learned it so much.
[01:35:23.720 --> 01:35:24.720]   Oh, thank you.
[01:35:24.720 --> 01:35:25.720]   So I use Super Whisper on Mac.
[01:35:25.720 --> 01:35:26.720]   It's free.
[01:35:26.720 --> 01:35:27.720]   Yeah.
[01:35:27.720 --> 01:35:38.720]   And so I just wanted your expert opinion on like the way that I'm using AI is very much like voice, speech-to-text, and I just ramble and I just try to give it as much information and sometimes I'll reiterate what I think is really important.
[01:35:38.720 --> 01:35:49.720]   Yeah.
[01:35:49.720 --> 01:35:51.720]   What are your thoughts on that?
[01:35:51.720 --> 01:35:52.720]   Is it a good approach?
[01:35:52.720 --> 01:35:55.720]   Are there ways I can improve on that?
[01:35:55.720 --> 01:35:56.720]   Okay.
[01:35:56.720 --> 01:36:06.720]   So the number one thing, I have a video I'm working on for this, like, the number one thing I'd say is you have to treat it scientifically.
[01:36:06.720 --> 01:36:11.720]   You can have theories about how the model works, but you don't really know until you test it.
[01:36:11.720 --> 01:36:14.720]   This whole, like, the whole space is very empirical.
[01:36:14.720 --> 01:36:16.720]   I'll give you an example.
[01:36:16.720 --> 01:36:21.720]   So one of the common things in prompting they used to tell you is like say please and thank you.
[01:36:21.720 --> 01:36:25.720]   Or say my grandma used to do this, I'm going to lose my job, right?
[01:36:25.720 --> 01:36:28.720]   And that legitimately used to work.
[01:36:28.720 --> 01:36:35.720]   But there was a great paper, the prompting report by Sander, and he went and studied and they tested a bunch of models.
[01:36:35.720 --> 01:36:38.720]   And they found that, you know, it turns out with later models it didn't work.
[01:36:38.720 --> 01:36:43.720]   And then Ethan Mollick's team also did a recreation of a similar test.
[01:36:43.720 --> 01:36:46.720]   And they just tested a bunch of models with a bunch of prompts.
[01:36:46.720 --> 01:36:50.720]   They tried it with polite words and they just said, okay, which one's better?
[01:36:50.720 --> 01:36:53.720]   And they found that it wasn't really helpful.
[01:36:53.720 --> 01:37:05.720]   So that being said, generally, you, for like one shot use cases, like I'm just using it like, I use a whisper tool myself all the time.
[01:37:05.720 --> 01:37:06.720]   I do exactly what you described.
[01:37:06.720 --> 01:37:07.720]   I brain dump.
[01:37:07.720 --> 01:37:11.720]   But then what I do is I go through and I look out, I look through and I fix up things.
[01:37:11.720 --> 01:37:16.720]   Like if there's grammar or I repeated something or I said something wrong.
[01:37:16.720 --> 01:37:21.720]   And the way to think about why you want to do that is, it's a somewhat subtle point.
[01:37:21.720 --> 01:37:28.720]   But when we go back to this diagram, this whole process is fixed.
[01:37:28.720 --> 01:37:30.720]   Like it's got a limited amount of compute.
[01:37:30.720 --> 01:37:32.720]   It can only do a certain amount of thinking.
[01:37:32.720 --> 01:37:37.720]   If I put a token in and I know how many tokens are in the prompt, I can predict how many flops.
[01:37:37.720 --> 01:37:42.720]   This is why, you know, when like a model like DeepSeq was trained, we know likely how many flops were used.
[01:37:42.720 --> 01:37:44.720]   Because this thing isn't just like a program.
[01:37:44.720 --> 01:37:46.720]   It's like a formula.
[01:37:46.720 --> 01:37:47.720]   It's a very long formula.
[01:37:47.720 --> 01:37:48.720]   It's very fixed.
[01:37:48.720 --> 01:37:54.720]   So if you make the prompt do more work, if the prompt is going to make the model do more work,
[01:37:54.720 --> 01:37:59.720]   you kind of think of it like it loses some ability to do some other thinking.
[01:37:59.720 --> 01:38:07.720]   And so if you have spelling mistakes, if you say something slightly wrong that's different from normal,
[01:38:07.720 --> 01:38:11.720]   then it has to spend some sense of compute fixing that up.
[01:38:11.720 --> 01:38:13.720]   This is less true with the reasoning models today.
[01:38:13.720 --> 01:38:18.720]   Because the one thing the reasoning models can do is they can repeat this process more times on their own.
[01:38:18.720 --> 01:38:20.720]   So this isn't like a hard and fast rule.
[01:38:20.720 --> 01:38:22.720]   But I would say what you're doing is probably fine.
[01:38:22.720 --> 01:38:26.720]   It's probably better that you put as much as you can that is relevant in.
[01:38:26.720 --> 01:38:34.720]   If the choice is I put more stuff in, but I had the grammar wrong, but I had the relevant stuff in, that's better than if you didn't have it in there.
[01:38:34.720 --> 01:38:42.720]   But if you're trying to engineer a prompt going into your model, I would spend time trying to optimize what its behavior is with some evals to make sure.
[01:38:42.720 --> 01:38:46.720]   Or at least benchmark what it is and then when a new model comes out, you can see whether the new model changes things.
[01:38:46.720 --> 01:38:51.720]   That's why evals are so important, because this whole space is very empirical.
[01:38:51.720 --> 01:38:52.720]   Good question.
[01:38:52.720 --> 01:38:59.720]   Any others?
[01:38:59.720 --> 01:39:04.720]   Okay.
[01:39:04.720 --> 01:39:05.720]   Well, have a great conference.
[01:39:05.720 --> 01:39:06.720]   Hopefully this will help.
[01:39:06.720 --> 01:39:07.720]   Oh, sorry, there's one more.
[01:39:07.720 --> 01:39:08.720]   Yeah, go ahead.
[01:39:08.720 --> 01:39:18.720]   I wonder what your take is on the new mixture of experts models with the company very, very fine-grained experts.
[01:39:18.720 --> 01:39:19.720]   Yeah.
[01:39:19.720 --> 01:39:24.720]   I wouldn't call it my take, but I'll give you the conventional take.
[01:39:24.720 --> 01:39:28.720]   So the question is, what's your take on the mixture of experts models?
[01:39:28.720 --> 01:39:29.720]   Let me take a step back.
[01:39:29.720 --> 01:39:39.720]   There are three or four things that when you come out of this workshop that we don't cover that you should know about.
[01:39:39.720 --> 01:39:41.720]   One of those is rope for embeddings.
[01:39:41.720 --> 01:39:45.720]   Another is RLHF, which I talked a little bit about at the end.
[01:39:45.720 --> 01:39:50.720]   And then the other is reasoning models, which we just talked about, where the model can kind of run itself through.
[01:39:50.720 --> 01:39:52.720]   And the last one is mixture of experts.
[01:39:52.720 --> 01:39:56.720]   It's probably one of the biggest top four changes.
[01:39:56.720 --> 01:40:04.720]   What we are trying to do with the mixture of expert is that, first of all, it's only here in the perceptron,
[01:40:04.720 --> 01:40:08.720]   which tends to dominate a lot of the calculation inside of a model.
[01:40:08.720 --> 01:40:15.720]   And what you're trying to do is get more knowledge, use more parameters, without increasing the amount of compute.
[01:40:15.720 --> 01:40:20.720]   So what you do is you conceptually take this perceptron and you break it into pieces.
[01:40:20.720 --> 01:40:25.720]   And then you say, depending on what token comes in, I'm only going to use a subset of my perceptron's thinking.
[01:40:25.720 --> 01:40:29.720]   And that way you can be more efficient with your compute and actually potentially your memory, too.
[01:40:29.720 --> 01:40:33.720]   You can charge your memory nicely per device if you want to do stuff like that.
[01:40:33.720 --> 01:40:38.720]   So it has a lot of advantages on paper.
[01:40:38.720 --> 01:40:41.720]   And we've had some really great models based on it.
[01:40:41.720 --> 01:40:45.720]   The challenge is training an MOE model is difficult.
[01:40:45.720 --> 01:40:51.720]   And so it's taken a while for some of the open source community to catch up in that implementation.
[01:40:51.720 --> 01:40:55.720]   But definitely something of the future.
[01:40:55.720 --> 01:40:57.720]   And by the way, MOE is actually fairly old.
[01:40:57.720 --> 01:41:03.720]   There are some much older models before ChatGPT that did MOE in other contexts.
[01:41:03.720 --> 01:41:05.720]   But that's the job MOE is trying to do.
[01:41:05.720 --> 01:41:11.720]   It's trying to cram more knowledge and more parameters while keeping the amount of compute used lower.
[01:41:11.720 --> 01:41:13.720]   And that seems to definitely have a benefit.
[01:41:13.720 --> 01:41:15.720]   You can think of it as giving it more knowledge.
[01:41:15.720 --> 01:41:16.720]   So, yeah.
[01:41:16.720 --> 01:41:20.720]   Does that answer your question?
[01:41:20.720 --> 01:41:21.720]   OK.
[01:41:21.720 --> 01:41:26.720]   Thank you, guys.
[01:41:26.720 --> 01:41:27.720]   Bye.
[01:41:27.720 --> 01:41:27.720]   Bye.
[01:41:27.720 --> 01:41:28.720]   Bye.
[01:41:28.720 --> 01:41:29.720]   Bye.
[01:41:29.720 --> 01:41:30.720]   Bye.
[01:41:30.720 --> 01:41:31.720]   Bye.
[01:41:31.720 --> 01:41:32.720]   Bye.

