
[00:00:00.000 --> 00:00:01.240]   we are becoming cyborgs.
[01:37:52.460 --> 01:37:55.380]   And so you can have all of that within one AI system.
[01:37:55.380 --> 01:37:57.500]   - I also think though that we need to,
[01:37:57.500 --> 01:37:59.940]   I mean, actually that's actually really interesting
[01:37:59.940 --> 01:38:00.780]   and really cool.
[01:38:00.780 --> 01:38:04.540]   But I also think there's a fine balance of,
[01:38:04.540 --> 01:38:08.460]   I think we maybe also overvalue
[01:38:08.460 --> 01:38:11.980]   the idea that the old systems are always bad.
[01:38:11.980 --> 01:38:14.860]   And I think there are things that we are perfecting
[01:38:14.860 --> 01:38:17.500]   and we might be accidentally overthrowing things
[01:38:17.500 --> 01:38:19.820]   that we actually have gotten to a good point.
[01:38:19.820 --> 01:38:22.900]   Just because we value disruption so much
[01:38:22.900 --> 01:38:25.540]   and we value fighting against the generations
[01:38:25.540 --> 01:38:30.540]   before us so much that there's also an aspect of,
[01:38:30.540 --> 01:38:32.820]   sometimes we're taking two steps forward, one step back
[01:38:32.820 --> 01:38:37.020]   because, okay, maybe we kind of did solve this thing
[01:38:37.020 --> 01:38:38.460]   and now we're fucking it up.
[01:38:39.980 --> 01:38:44.980]   And so I think there's a middle ground there too.
[01:38:44.980 --> 01:38:47.300]   - We're in search of that happy medium.
[01:38:47.300 --> 01:38:50.500]   Let me ask you a bunch of crazy questions, okay?
[01:38:50.500 --> 01:38:53.940]   You can answer in a short way or in a long way.
[01:38:53.940 --> 01:38:56.340]   What's the scariest thing you've ever done?
[01:38:56.340 --> 01:38:58.380]   These questions are gonna be ridiculous.
[01:38:58.380 --> 01:39:01.420]   Something tiny or something big.
[01:39:01.420 --> 01:39:07.420]   Skydiving or touring your first record,
[01:39:09.860 --> 01:39:12.100]   going on this podcast.
[01:39:12.100 --> 01:39:13.740]   - I've had two crazy brushes,
[01:39:13.740 --> 01:39:15.180]   really scary brushes with death
[01:39:15.180 --> 01:39:16.980]   where I randomly got away unscathed.
[01:39:16.980 --> 01:39:19.180]   I don't know if I should talk about those on here.
[01:39:19.180 --> 01:39:20.580]   - Well, I don't know.
[01:39:20.580 --> 01:39:23.220]   - I think I might be the luckiest person alive though.
[01:39:23.220 --> 01:39:25.980]   This might be too dark for a podcast though.
[01:39:25.980 --> 01:39:27.820]   I feel like I don't know if this is good content
[01:39:27.820 --> 01:39:28.660]   for a podcast.
[01:39:28.660 --> 01:39:30.220]   - I don't know what is good content.
[01:39:30.220 --> 01:39:32.340]   - It might hijack, here's a safer one.
[01:39:32.340 --> 01:39:36.720]   I mean, having a baby really scared me.
[01:39:36.720 --> 01:39:37.560]   - Before, during, after.
[01:39:37.560 --> 01:39:40.260]   - Just the birth process, surgery,
[01:39:40.260 --> 01:39:45.260]   like just having a baby is really scary.
[01:39:45.260 --> 01:39:47.540]   - So just like the medical aspect of it,
[01:39:47.540 --> 01:39:49.300]   not the responsibility.
[01:39:49.300 --> 01:39:51.260]   Were you ready for the responsibility?
[01:39:51.260 --> 01:39:53.980]   Were you ready to be a mother?
[01:39:53.980 --> 01:39:56.260]   All the beautiful things that comes with motherhood
[01:39:56.260 --> 01:39:57.580]   that you were talking about,
[01:39:57.580 --> 01:40:00.260]   all the changes and all that, were you ready for that?
[01:40:00.260 --> 01:40:02.980]   Did you feel ready for that?
[01:40:02.980 --> 01:40:05.340]   - No, I think it took about nine months
[01:40:05.340 --> 01:40:06.580]   to start getting ready for it.
[01:40:06.580 --> 01:40:08.360]   And I'm still getting more ready for it
[01:40:08.360 --> 01:40:12.980]   because now you keep realizing more things
[01:40:12.980 --> 01:40:14.220]   as they start getting--
[01:40:14.220 --> 01:40:16.420]   - As the consciousness grows.
[01:40:16.420 --> 01:40:18.400]   - And stuff you didn't notice with the first one,
[01:40:18.400 --> 01:40:19.720]   now that you've seen the first one older,
[01:40:19.720 --> 01:40:21.720]   you're noticing it more.
[01:40:21.720 --> 01:40:24.420]   Like the sort of like existential horror
[01:40:24.420 --> 01:40:28.300]   of coming into consciousness with baby Y
[01:40:28.300 --> 01:40:30.180]   or baby Sailor Mars or whatever,
[01:40:30.180 --> 01:40:31.460]   she has like so many names at this point
[01:40:31.460 --> 01:40:36.100]   that we really need to probably settle on one.
[01:40:36.100 --> 01:40:38.300]   - If you could be someone else for a day,
[01:40:38.300 --> 01:40:41.780]   someone alive today, but somebody you haven't met yet,
[01:40:41.780 --> 01:40:42.620]   who would you be?
[01:40:42.620 --> 01:40:44.180]   - Would I be modeling their brain state
[01:40:44.180 --> 01:40:46.380]   or would I just be in their body?
[01:40:46.380 --> 01:40:48.340]   - You can choose the degree
[01:40:48.340 --> 01:40:50.540]   to which you're modeling their brain state.
[01:40:50.540 --> 01:40:54.260]   'Cause you can still take a third person perspective
[01:40:54.260 --> 01:40:56.660]   and realize, you have to realize that you're--
[01:40:56.660 --> 01:40:58.660]   - Can they be alive or can it be dead?
[01:40:58.660 --> 01:41:01.380]   - No, oh--
[01:41:01.380 --> 01:41:04.460]   They would be brought back to life, right?
[01:41:04.460 --> 01:41:05.300]   If they're dead.
[01:41:05.300 --> 01:41:07.140]   - Yeah, you can bring people back.
[01:41:07.140 --> 01:41:09.340]   - Definitely Hitler or Stalin.
[01:41:09.340 --> 01:41:10.820]   I wanna understand evil.
[01:41:10.820 --> 01:41:15.020]   - You would need to, oh, to experience what it feels like.
[01:41:15.020 --> 01:41:17.580]   - I wanna be in their brain feeling what they feel.
[01:41:17.580 --> 01:41:20.900]   - That might change you forever, returning from that.
[01:41:20.900 --> 01:41:22.980]   - Yes, but I think it would also help me understand
[01:41:22.980 --> 01:41:25.420]   how to prevent it and fix it.
[01:41:25.420 --> 01:41:26.620]   - That might be one of those things,
[01:41:26.620 --> 01:41:29.980]   once you experience it, it'll be a burden to know it.
[01:41:29.980 --> 01:41:30.820]   'Cause you won't be able to transfer that.
[01:41:30.820 --> 01:41:33.900]   - Yeah, but a lot of things are burdens.
[01:41:33.900 --> 01:41:34.820]   - But it's a useful burden.
[01:41:34.820 --> 01:41:36.100]   - But it's a useful burden.
[01:41:36.100 --> 01:41:36.940]   - Yeah.
[01:41:36.940 --> 01:41:39.300]   - That for sure, I wanna understand evil
[01:41:39.300 --> 01:41:42.060]   and like psychopathy and that.
[01:41:42.060 --> 01:41:43.380]   I have all these fake Twitter accounts
[01:41:43.380 --> 01:41:45.620]   where I like go into different algorithmic bubbles
[01:41:45.620 --> 01:41:47.420]   to try to like understand.
[01:41:47.420 --> 01:41:48.780]   I'll keep getting in fights with people
[01:41:48.780 --> 01:41:50.700]   and realize we're not actually fighting.
[01:41:50.700 --> 01:41:53.100]   I think we're, we used to exist in a monoculture,
[01:41:53.100 --> 01:41:54.500]   like before social media and stuff,
[01:41:54.500 --> 01:41:56.540]   like we kind of all got fed the same thing.
[01:41:56.540 --> 01:41:58.780]   So we were all speaking the same cultural language.
[01:41:58.780 --> 01:42:00.220]   But I think recently, one of the things
[01:42:00.220 --> 01:42:02.140]   that like we aren't diagnosing properly enough
[01:42:02.140 --> 01:42:05.540]   with social media is that there's different dialects.
[01:42:05.540 --> 01:42:06.980]   There's so many different dialects of Chinese.
[01:42:06.980 --> 01:42:09.460]   There are now becoming different dialects of English.
[01:42:09.460 --> 01:42:11.860]   Like I am realizing like there are people
[01:42:11.860 --> 01:42:13.620]   who are saying the exact same things,
[01:42:13.620 --> 01:42:16.060]   but they're using completely different verbiage.
[01:42:16.060 --> 01:42:17.420]   And we're like punishing each other
[01:42:17.420 --> 01:42:18.980]   for not using the correct verbiage.
[01:42:18.980 --> 01:42:20.580]   And we're completely misunderstanding.
[01:42:20.580 --> 01:42:22.100]   Like people are just like misunderstanding
[01:42:22.100 --> 01:42:23.660]   what the other people are saying.
[01:42:23.660 --> 01:42:26.300]   And like, I just got in a fight with a friend
[01:42:26.300 --> 01:42:31.300]   about like anarchism and communism and shit
[01:42:31.300 --> 01:42:33.100]   for like two hours.
[01:42:33.100 --> 01:42:34.620]   And then by the end of a conversation,
[01:42:34.620 --> 01:42:36.020]   like, and then she'd say something and I'm like,
[01:42:36.020 --> 01:42:37.660]   but that's literally what I'm saying.
[01:42:37.660 --> 01:42:39.100]   And she was like, what?
[01:42:39.100 --> 01:42:40.980]   And then I was like, fuck, we've different,
[01:42:40.980 --> 01:42:43.020]   I'm like, we're, our English,
[01:42:43.020 --> 01:42:46.060]   like the way we are understanding terminology
[01:42:46.060 --> 01:42:50.660]   is like drastically, like our algorithm bubbles
[01:42:50.660 --> 01:42:52.940]   are creating many dialects.
[01:42:52.940 --> 01:42:54.980]   - Of how language is interpreted,
[01:42:54.980 --> 01:42:56.940]   how language is used, that's so fascinating.
[01:42:56.940 --> 01:42:59.300]   - And so we're like having these arguments
[01:42:59.300 --> 01:43:01.060]   that we do not need to be having.
[01:43:01.060 --> 01:43:02.460]   And there's polarization that's happening
[01:43:02.460 --> 01:43:03.500]   that doesn't need to be happening
[01:43:03.500 --> 01:43:06.540]   because we've got these like algorithmically created
[01:43:06.540 --> 01:43:09.900]   dialects occurring.
[01:43:09.900 --> 01:43:10.780]   - Plus on top of that,
[01:43:10.780 --> 01:43:12.420]   there's also different parts of the world
[01:43:12.420 --> 01:43:13.540]   that speak different languages.
[01:43:13.540 --> 01:43:16.260]   So there's literally lost in translation
[01:43:16.260 --> 01:43:17.900]   kind of communication.
[01:43:17.900 --> 01:43:19.820]   I happen to know the Russian language
[01:43:19.820 --> 01:43:21.540]   and just know how different it is.
[01:43:21.540 --> 01:43:22.500]   - Yeah.
[01:43:22.500 --> 01:43:23.940]   - Then the English language.
[01:43:23.940 --> 01:43:27.740]   And I just wonder how much is lost in a little bit of.
[01:43:27.740 --> 01:43:29.020]   - Man, I actually, 'cause I have a question for you.
[01:43:29.020 --> 01:43:30.340]   I have a song coming out tomorrow
[01:43:30.340 --> 01:43:31.980]   with Ice Peak, who are a Russian band.
[01:43:31.980 --> 01:43:33.780]   And I speak a little bit of Russian
[01:43:33.780 --> 01:43:35.460]   and I was looking at the title
[01:43:35.460 --> 01:43:38.300]   and the title in English doesn't match the title in Russian.
[01:43:38.300 --> 01:43:40.580]   I'm curious about this 'cause look, it says.
[01:43:40.580 --> 01:43:41.420]   - What's the English?
[01:43:41.420 --> 01:43:42.980]   - The title in English is "Last Day"
[01:43:42.980 --> 01:43:45.620]   and then the title in Russian is "Noviy",
[01:43:45.620 --> 01:43:48.820]   my pronunciation sucks, "Noviy den".
[01:43:48.820 --> 01:43:49.660]   - Yeah, "New Day".
[01:43:49.660 --> 01:43:50.500]   - Like a new day.
[01:43:50.500 --> 01:43:51.700]   - Yeah, yeah, "New Day", "New Day".
[01:43:51.700 --> 01:43:53.380]   - Like it's two different meanings.
[01:43:53.380 --> 01:43:54.900]   - Yeah, "New Day", yeah.
[01:43:54.900 --> 01:43:58.580]   Yeah, yeah, "New Day".
[01:43:58.580 --> 01:43:59.980]   - "New Day", but "Last Day".
[01:43:59.980 --> 01:44:04.300]   "Noviy den", so "Last Day" would be "Posledniy den".
[01:44:04.300 --> 01:44:05.140]   - Yeah.
[01:44:05.140 --> 01:44:05.980]   - Maybe they, "Noviy den".
[01:44:05.980 --> 01:44:07.620]   - Or maybe the title includes both the Russian
[01:44:07.620 --> 01:44:09.100]   and it's for.
[01:44:09.100 --> 01:44:09.940]   - Or maybe, maybe.
[01:44:09.940 --> 01:44:10.780]   - Maybe it's for bilingual.
[01:44:10.780 --> 01:44:12.060]   - But to be honest, "Noviy den" sounds better
[01:44:12.060 --> 01:44:15.180]   than just musically.
[01:44:15.180 --> 01:44:18.820]   Like "Noviy den" is "New Day", that's the current one.
[01:44:18.820 --> 01:44:22.180]   And "Posledniy den" is the last day.
[01:44:22.180 --> 01:44:25.700]   I think "Noviy den", boy.
[01:44:25.700 --> 01:44:26.740]   - I don't like "Noviy den".
[01:44:26.740 --> 01:44:28.900]   - But the meaning is so different.
[01:44:28.900 --> 01:44:32.380]   That's kind of awesome actually though.
[01:44:32.380 --> 01:44:34.740]   There's an explicit sort of contrast like that.
[01:44:34.740 --> 01:44:39.980]   If everyone on earth disappeared and it was just you left,
[01:44:39.980 --> 01:44:44.100]   what would your day look like?
[01:44:44.100 --> 01:44:45.300]   Like what would you do?
[01:44:45.300 --> 01:44:47.500]   Everybody's dead as far as you.
[01:44:47.500 --> 01:44:48.860]   - Are there corpses there?
[01:44:48.860 --> 01:44:53.380]   Well, seriously, it's a big day.
[01:44:53.380 --> 01:44:54.820]   - Let me think through this.
[01:44:54.820 --> 01:44:56.620]   - It's a big difference if there's just like birds
[01:44:56.620 --> 01:44:58.220]   singing versus if there's like corpses
[01:44:58.220 --> 01:44:59.060]   littering the street.
[01:44:59.060 --> 01:45:01.260]   - Yeah, there's corpses everywhere, I'm sorry.
[01:45:01.260 --> 01:45:05.100]   And you don't actually know what happened
[01:45:05.100 --> 01:45:07.580]   and you don't know why you survived.
[01:45:07.580 --> 01:45:10.460]   And you don't even know if there's others out there,
[01:45:10.460 --> 01:45:13.580]   but it seems clear that it's all gone.
[01:45:13.580 --> 01:45:15.260]   - What would you do?
[01:45:15.260 --> 01:45:16.180]   - What would I do?
[01:45:16.180 --> 01:45:19.580]   Listen, I'm somebody who really enjoys the moment,
[01:45:19.580 --> 01:45:20.460]   enjoys life.
[01:45:20.460 --> 01:45:25.460]   I would just go on like enjoying the inanimate objects.
[01:45:26.420 --> 01:45:30.620]   I would just look for food, basic survival.
[01:45:30.620 --> 01:45:34.700]   But most of it is just, listen, I take walks
[01:45:34.700 --> 01:45:36.900]   and I look outside and I'm just happy
[01:45:36.900 --> 01:45:38.620]   that we get to exist on this planet
[01:45:38.620 --> 01:45:41.980]   to be able to breathe air.
[01:45:41.980 --> 01:45:43.060]   It's just all beautiful.
[01:45:43.060 --> 01:45:45.300]   It's full of colors, all of this kind of stuff.
[01:45:45.300 --> 01:45:49.060]   There's so many things about life, your own life,
[01:45:49.060 --> 01:45:50.820]   conscious life that's fucking awesome.
[01:45:50.820 --> 01:45:52.180]   So I would just enjoy that.
[01:45:54.300 --> 01:45:56.940]   - But also maybe after a few weeks,
[01:45:56.940 --> 01:45:58.500]   the engineer would start coming out,
[01:45:58.500 --> 01:46:01.620]   like wanna build some things.
[01:46:01.620 --> 01:46:05.100]   Maybe there's always hope searching for another human.
[01:46:05.100 --> 01:46:09.380]   - Probably searching for another human.
[01:46:09.380 --> 01:46:13.140]   Probably trying to get to a TV or radio station
[01:46:13.140 --> 01:46:16.020]   and broadcast something.
[01:46:16.020 --> 01:46:19.900]   - That's interesting, I didn't think about that.
[01:46:19.900 --> 01:46:23.500]   So like really maximize your ability
[01:46:23.500 --> 01:46:24.540]   to connect with others.
[01:46:24.540 --> 01:46:29.260]   - Yeah, like probably try to find another person.
[01:46:29.260 --> 01:46:32.660]   - Would you be excited to meet another person
[01:46:32.660 --> 01:46:34.980]   or terrified 'cause you know.
[01:46:34.980 --> 01:46:36.260]   - I'd be excited even if they--
[01:46:36.260 --> 01:46:37.100]   - No matter what.
[01:46:37.100 --> 01:46:38.300]   - Yeah, yeah, yeah, yeah.
[01:46:38.300 --> 01:46:42.260]   Being alone for the last however long of my life
[01:46:42.260 --> 01:46:43.660]   would be really bad.
[01:46:43.660 --> 01:46:46.180]   That's the one instance I might,
[01:46:46.180 --> 01:46:47.300]   I don't think I'd kill myself,
[01:46:47.300 --> 01:46:48.860]   but I might kill myself if I had to undergo that.
[01:46:48.860 --> 01:46:49.700]   - Do you love people?
[01:46:49.700 --> 01:46:52.020]   Do you love connection to other humans?
[01:46:52.020 --> 01:46:54.580]   - Yeah, I kind of hate people too, but yeah.
[01:46:54.580 --> 01:46:56.500]   - It's a love hate relationship.
[01:46:56.500 --> 01:46:58.460]   - Yeah, I feel like we have a bunch of weird
[01:46:58.460 --> 01:47:00.620]   Nietzsche questions and stuff though.
[01:47:00.620 --> 01:47:01.460]   - Oh yeah.
[01:47:01.460 --> 01:47:02.900]   - Like I wonder, 'cause I'm like, when podcast,
[01:47:02.900 --> 01:47:05.660]   I'm like, is this interesting for people to just have like,
[01:47:05.660 --> 01:47:08.460]   or I don't know, maybe people do like this.
[01:47:08.460 --> 01:47:10.540]   When I listen to podcasts, I'm into like the lore,
[01:47:10.540 --> 01:47:11.980]   like the hard lore.
[01:47:11.980 --> 01:47:13.460]   Like I just love like Dan Carlin,
[01:47:13.460 --> 01:47:15.540]   I'm like, give me the facts, just like get,
[01:47:15.540 --> 01:47:18.820]   just like the facts into my bloodstream.
[01:47:18.820 --> 01:47:20.740]   - But you also don't know,
[01:47:20.740 --> 01:47:23.340]   like you're a fascinating mind to explore.
[01:47:23.340 --> 01:47:26.380]   So you don't realize as you're talking about stuff,
[01:47:26.380 --> 01:47:28.460]   the stuff you've taken for granted
[01:47:28.460 --> 01:47:30.460]   is actually unique and fascinating.
[01:47:30.460 --> 01:47:33.540]   The way you think, not always what,
[01:47:33.540 --> 01:47:35.820]   like the way you reason through things
[01:47:35.820 --> 01:47:39.500]   is the fascinating thing to listen to,
[01:47:39.500 --> 01:47:40.820]   because people kind of see,
[01:47:40.820 --> 01:47:43.460]   oh, there's other humans that think differently,
[01:47:43.460 --> 01:47:45.420]   that explore thoughts differently.
[01:47:45.420 --> 01:47:47.580]   That's the cool, that's also cool.
[01:47:47.580 --> 01:47:50.220]   So yeah, Dan Carlin retelling of history,
[01:47:50.220 --> 01:47:54.860]   by the way, his retelling of history is very,
[01:47:54.860 --> 01:47:57.100]   I think what's exciting is not the history,
[01:47:57.100 --> 01:48:00.380]   is his way of thinking about history.
[01:48:00.380 --> 01:48:02.740]   - No, I think Dan Carlin is one of the people,
[01:48:02.740 --> 01:48:04.420]   like when Dan Carlin was one of the people
[01:48:04.420 --> 01:48:06.180]   that really started getting me excited
[01:48:06.180 --> 01:48:08.940]   about like revolutionizing education,
[01:48:08.940 --> 01:48:12.700]   because like Dan Carlin instilled,
[01:48:12.700 --> 01:48:14.420]   I already like really liked history,
[01:48:14.460 --> 01:48:18.980]   but he instilled like an obsessive love of history in me
[01:48:18.980 --> 01:48:21.340]   to the point where like now I'm fucking reading,
[01:48:21.340 --> 01:48:23.980]   like going to bed,
[01:48:23.980 --> 01:48:25.700]   reading like part four of "The Rise and Fall
[01:48:25.700 --> 01:48:26.780]   of the Third Reich" or whatever.
[01:48:26.780 --> 01:48:28.780]   Like I got like dense ass history,
[01:48:28.780 --> 01:48:31.380]   but like he like opened that door
[01:48:31.380 --> 01:48:34.380]   that like made me want to be a scholar of that topic.
[01:48:34.380 --> 01:48:37.860]   Like it's like, I feel like he's such a good teacher.
[01:48:37.860 --> 01:48:39.780]   He just like, you know,
[01:48:39.780 --> 01:48:41.420]   and it sort of made me feel like
[01:48:42.340 --> 01:48:44.140]   one of the things we could do with education
[01:48:44.140 --> 01:48:46.660]   is like find like the world's great,
[01:48:46.660 --> 01:48:49.900]   the teachers that like create passion for the topic,
[01:48:49.900 --> 01:48:53.700]   because autodidacticism,
[01:48:53.700 --> 01:48:55.260]   I don't know how to say that properly,
[01:48:55.260 --> 01:48:57.980]   but like self-teaching is like much faster
[01:48:57.980 --> 01:48:59.580]   than being lectured to.
[01:48:59.580 --> 01:49:00.740]   Like it's much more efficient
[01:49:00.740 --> 01:49:02.380]   to sort of like be able to teach yourself
[01:49:02.380 --> 01:49:03.780]   and then ask a teacher questions
[01:49:03.780 --> 01:49:04.940]   when you don't know what's up.
[01:49:04.940 --> 01:49:06.580]   But like, you know,
[01:49:06.580 --> 01:49:08.460]   that's why it's like in university and stuff,
[01:49:08.460 --> 01:49:11.180]   like you can learn so much more material so much faster
[01:49:11.180 --> 01:49:13.420]   because you're doing a lot of the learning on your own
[01:49:13.420 --> 01:49:15.700]   and you're going to the teachers for when you get stuck.
[01:49:15.700 --> 01:49:19.060]   But like these teachers that can inspire passion
[01:49:19.060 --> 01:49:20.340]   for a topic,
[01:49:20.340 --> 01:49:22.180]   I think that is one of the most invaluable skills
[01:49:22.180 --> 01:49:23.260]   in our whole species.
[01:49:23.260 --> 01:49:26.540]   Like, because if you can do that, then you,
[01:49:26.540 --> 01:49:27.380]   it's like AI,
[01:49:27.380 --> 01:49:31.260]   like AI is gonna teach itself so much more efficiently
[01:49:31.260 --> 01:49:32.100]   than we can teach it.
[01:49:32.100 --> 01:49:32.940]   We just needed to get it to the point
[01:49:32.940 --> 01:49:34.380]   where it can teach itself.
[01:49:34.380 --> 01:49:35.220]   And then-
[01:49:35.220 --> 01:49:37.580]   - It finds the motivation to do so, right?
[01:49:37.580 --> 01:49:38.420]   - Yeah.
[01:49:38.420 --> 01:49:39.660]   - So like you inspire it to do so.
[01:49:39.660 --> 01:49:40.500]   - Yeah.
[01:49:40.500 --> 01:49:42.700]   - And then it could teach itself.
[01:49:42.700 --> 01:49:44.580]   What do you make of the fact,
[01:49:44.580 --> 01:49:46.380]   you mentioned "Rise and Fall of the Third Reich."
[01:49:46.380 --> 01:49:47.220]   I just-
[01:49:47.220 --> 01:49:48.060]   - Have you read that?
[01:49:48.060 --> 01:49:48.880]   - I read it twice.
[01:49:48.880 --> 01:49:49.720]   - You read it twice?
[01:49:49.720 --> 01:49:50.560]   - Yes.
[01:49:50.560 --> 01:49:51.620]   - Okay, so no one even knows what it is.
[01:49:51.620 --> 01:49:52.460]   - Yeah.
[01:49:52.460 --> 01:49:53.280]   - And I'm like, wait,
[01:49:53.280 --> 01:49:54.860]   I thought this was like a super popping book.
[01:49:54.860 --> 01:49:55.700]   - Super pop.
[01:49:55.700 --> 01:49:57.300]   - I'm not like that.
[01:49:57.300 --> 01:49:58.140]   - It's a classic.
[01:49:58.140 --> 01:50:00.340]   - I'm not that far in it, but it is, it's so interesting.
[01:50:00.340 --> 01:50:01.180]   - Yeah.
[01:50:01.180 --> 01:50:03.580]   It's written by a person that was there,
[01:50:03.580 --> 01:50:05.940]   which is very important to kind of-
[01:50:05.940 --> 01:50:07.060]   - You know, you start being like,
[01:50:07.060 --> 01:50:08.500]   how could this possibly happen?
[01:50:08.500 --> 01:50:10.100]   And then when you read "Rise and Fall of the Third Reich,"
[01:50:10.100 --> 01:50:14.100]   it's like, people tried really hard for this to not happen.
[01:50:14.100 --> 01:50:16.620]   People tried, they almost reinstated a monarchy at one point
[01:50:16.620 --> 01:50:18.020]   to try to stop this from happening.
[01:50:18.020 --> 01:50:19.860]   Like they almost like,
[01:50:19.860 --> 01:50:22.780]   like abandoned democracy to try to get this to not happen.
[01:50:22.780 --> 01:50:24.820]   - At least the way it makes me feel
[01:50:24.820 --> 01:50:28.220]   is that there's a bunch of small moments
[01:50:28.220 --> 01:50:30.140]   on which history can turn.
[01:50:30.140 --> 01:50:30.980]   - Yes.
[01:50:30.980 --> 01:50:32.260]   - It's like small meetings.
[01:50:32.260 --> 01:50:33.100]   - Yes.
[01:50:33.100 --> 01:50:34.260]   - Human interactions.
[01:50:34.260 --> 01:50:36.940]   And that's both terrifying and inspiring
[01:50:36.940 --> 01:50:37.780]   'cause it's like,
[01:50:38.180 --> 01:50:43.180]   even just attempts at assassinating Hitler,
[01:50:43.180 --> 01:50:47.300]   like time and time again, failed.
[01:50:47.300 --> 01:50:48.140]   And they were so close.
[01:50:48.140 --> 01:50:49.740]   - Was it like "Operation Valkyrie"?
[01:50:49.740 --> 01:50:51.660]   Such a good...
[01:50:51.660 --> 01:50:55.060]   - And then there's also the role of,
[01:50:55.060 --> 01:50:56.500]   that's a really heavy burden,
[01:50:56.500 --> 01:50:59.060]   which is from a geopolitical perspective,
[01:50:59.060 --> 01:51:00.820]   the role of leaders to see evil
[01:51:00.820 --> 01:51:02.500]   before it truly becomes evil,
[01:51:02.500 --> 01:51:05.460]   to anticipate it, to stand up to evil.
[01:51:05.460 --> 01:51:08.100]   'Cause evil is actually pretty rare in this world
[01:51:08.100 --> 01:51:09.380]   at a scale that Hitler was.
[01:51:09.380 --> 01:51:12.020]   We tend to, in the modern discourse,
[01:51:12.020 --> 01:51:13.980]   kind of call people evil too quickly.
[01:51:13.980 --> 01:51:17.340]   - If you look at ancient history,
[01:51:17.340 --> 01:51:18.860]   like there was a ton of Hitlers.
[01:51:18.860 --> 01:51:22.660]   I actually think it's more the norm than,
[01:51:22.660 --> 01:51:24.420]   like again, going back to like my
[01:51:24.420 --> 01:51:25.900]   sort of intelligent design theory,
[01:51:25.900 --> 01:51:28.380]   I think one of the things we've been successfully doing
[01:51:28.380 --> 01:51:31.300]   in our slow move from survival of the fittest
[01:51:31.300 --> 01:51:33.700]   to intelligent design is we've
[01:51:35.100 --> 01:51:37.660]   kind of been eradicating...
[01:51:37.660 --> 01:51:40.060]   Like if you look at ancient Assyria and stuff,
[01:51:40.060 --> 01:51:42.460]   like that shit was brutal.
[01:51:42.460 --> 01:51:44.260]   And just like the heads on the,
[01:51:44.260 --> 01:51:46.900]   like brutal, like Genghis Khan,
[01:51:46.900 --> 01:51:49.220]   just like genocide after genocide after genocide.
[01:51:49.220 --> 01:51:51.740]   There's like throwing plague bodies over the walls
[01:51:51.740 --> 01:51:53.300]   and decimating whole cities,
[01:51:53.300 --> 01:51:56.500]   or like the Muslim conquests of Damascus and shit.
[01:51:56.500 --> 01:51:59.380]   Just like people, cities used to get leveled
[01:51:59.380 --> 01:52:00.660]   all the fucking time.
[01:52:00.660 --> 01:52:03.060]   Okay, get into the Bronze Age collapse.
[01:52:03.060 --> 01:52:05.700]   It's basically, there was like almost
[01:52:05.700 --> 01:52:08.540]   like Roman level society.
[01:52:08.540 --> 01:52:10.020]   Like there was like all over the world,
[01:52:10.020 --> 01:52:12.420]   like global trade, like everything was awesome
[01:52:12.420 --> 01:52:14.420]   through a mix of, I think a bit of climate change
[01:52:14.420 --> 01:52:16.620]   and then the development of iron.
[01:52:16.620 --> 01:52:18.980]   'Cause basically bronze could only come from this,
[01:52:18.980 --> 01:52:20.020]   the way to make bronze,
[01:52:20.020 --> 01:52:21.180]   like everything had to be funneled
[01:52:21.180 --> 01:52:23.820]   through this one Iranian mine.
[01:52:23.820 --> 01:52:27.220]   And so it's like, there was just this one supply chain.
[01:52:27.220 --> 01:52:28.060]   And this is one of the things
[01:52:28.060 --> 01:52:29.620]   that makes me worried about supply chains
[01:52:29.620 --> 01:52:32.060]   and why I think we need to be so thoughtful about.
[01:52:32.060 --> 01:52:34.980]   I think our biggest issue with society right now,
[01:52:34.980 --> 01:52:36.980]   like the thing that is most likely to go wrong
[01:52:36.980 --> 01:52:39.060]   is probably supply chain collapse.
[01:52:39.060 --> 01:52:40.660]   You know, 'cause war, climate change, whatever,
[01:52:40.660 --> 01:52:42.340]   like anything that causes supply chain collapse,
[01:52:42.340 --> 01:52:44.780]   our population is too big to handle that.
[01:52:44.780 --> 01:52:46.820]   And like the thing that seems to cause dark ages
[01:52:46.820 --> 01:52:48.500]   is mass supply chain collapse.
[01:52:48.500 --> 01:52:50.940]   But the Bronze Age collapse happened,
[01:52:50.940 --> 01:52:55.900]   like it was sort of like this ancient collapse
[01:52:55.900 --> 01:52:59.820]   that happened where like literally like ancient Egypt,
[01:52:59.820 --> 01:53:02.260]   all these cities, everything just got like decimated,
[01:53:02.260 --> 01:53:05.020]   destroyed, abandoned cities, like hundreds of them.
[01:53:05.020 --> 01:53:06.500]   There was like a flourishing society,
[01:53:06.500 --> 01:53:07.940]   like we were almost coming to modernity
[01:53:07.940 --> 01:53:09.020]   and everything got leveled.
[01:53:09.020 --> 01:53:10.540]   And they had this mini dark ages,
[01:53:10.540 --> 01:53:11.500]   but it was just like,
[01:53:11.500 --> 01:53:13.660]   there's so little writing or recording from that time
[01:53:13.660 --> 01:53:15.340]   that like there isn't a lot of information
[01:53:15.340 --> 01:53:16.780]   about the Bronze Age collapse,
[01:53:16.780 --> 01:53:18.220]   but it was basically equivalent
