
[00:00:00.000 --> 00:00:05.400]   Hey, everybody, welcome to the all in podcast. I'm your moderator for the week Dave Friedberg
[01:12:46.520 --> 01:12:53.120]   it's 95% likely to fail and the venture investor is signing up for a
[01:12:53.120 --> 01:12:56.520]   70 or 80 percent
[01:12:56.520 --> 01:12:58.680]   Probability that they lose capital
[01:12:58.680 --> 01:13:03.080]   Maybe a 10 or 15 or 20 percent chance that they get their money back and then the small
[01:13:03.080 --> 01:13:05.560]   5 percent chance that it becomes reasonable
[01:13:06.240 --> 01:13:07.480]   so
[01:13:07.480 --> 01:13:10.440]   In that lens, I don't think that's where
[01:13:10.440 --> 01:13:15.440]   conservative economic policies really should play a role I
[01:13:15.440 --> 01:13:18.600]   Think you just kind of got to go for it
[01:13:18.600 --> 01:13:23.520]   And if it's gonna win it's gonna win big and if it doesn't you lose one extra money
[01:13:23.520 --> 01:13:30.640]   I think like where you want conservative economic and rational thinking is when you go to the extreme other end
[01:13:30.640 --> 01:13:37.760]   which is just like the large-scale decisions that affect the economic vibrancy of the country in which you live and
[01:13:37.760 --> 01:13:43.520]   They're on the margins. You probably want to be more rational than unrational irrational, but as a venture investor
[01:13:43.520 --> 01:13:47.120]   I think you want to be irrational, but I also think you have to be very judgmental and
[01:13:47.120 --> 01:13:51.520]   The reality is that most companies aren't gonna work and most people
[01:13:51.520 --> 01:13:57.000]   This may seem countervert controversial most people
[01:13:58.120 --> 01:14:03.080]   Actually when push comes to shove are a little afraid of the decisions they need to make to be truly successful
[01:14:03.080 --> 01:14:07.560]   They're not willing to fire the people that they need to fire
[01:14:07.560 --> 01:14:11.120]   They're not willing to be extreme in the product. They want to build they're not willing to price it
[01:14:11.120 --> 01:14:13.520]   they're not willing to go to market in an extreme way and
[01:14:13.520 --> 01:14:19.120]   It tends to be that these companies fail because of that a lack of courage a lack of conviction
[01:14:19.120 --> 01:14:22.680]   It's a lack of courage or conviction because that that's a very heightened word
[01:14:22.680 --> 01:14:28.040]   I just think that when push comes to shove most people implode with the pressure of making a very very hard decision
[01:14:28.560 --> 01:14:33.160]   Hmm interesting. All right in my experience. It could be yours could be no, I mean, I
[01:14:33.160 --> 01:14:36.400]   Agree with you largely when a startup does fail
[01:14:36.400 --> 01:14:41.640]   If the experience people around it are watching and can't get through to the founder of the founding team
[01:14:41.640 --> 01:14:47.720]   It's typically they are blocking their own success. They're unwilling to fire their co-founder
[01:14:47.720 --> 01:14:53.080]   their CTO as the example you're alluding to perhaps or raise the price of the software and lose some customers or
[01:14:53.240 --> 01:14:59.760]   To drive people to work harder because you've got a competitor in the space and that's why you see extreme people win in
[01:14:59.760 --> 01:15:04.240]   Our pursuit and I think there's been just a great fallacy that's gone on
[01:15:04.240 --> 01:15:08.800]   That you can have live work balance or life work balance and you could have this
[01:15:08.800 --> 01:15:13.300]   Nirvana where you have it all the fact is the great companies are made by people who make great
[01:15:13.300 --> 01:15:17.960]   Sacrifices period full stop and if you're not willing to make the great sacrifice, you're not gonna have great outcomes
[01:15:17.960 --> 01:15:22.560]   Hi, David Samuel earlier today Jason you had kind of a doomsday or AI
[01:15:23.080 --> 01:15:30.280]   Panelist and my question is you guys have been thrust into the public spotlight and we look at deep fakes in the next year
[01:15:30.280 --> 01:15:33.980]   Or two as you talk about, you know tweeting on Friday versus Wednesday
[01:15:33.980 --> 01:15:40.000]   how do you think about somebody having each of you saying things that you did not say and
[01:15:40.000 --> 01:15:48.480]   Like how might we know whether Chamath said that or it was a deep fake saying it. I already have that problem. Yeah
[01:15:50.160 --> 01:15:55.240]   Insider last week where somebody was saying I had a phone call. I never had so how do we solve this?
[01:15:55.240 --> 01:15:58.840]   Especially for you as well as public two things two things one
[01:15:58.840 --> 01:16:04.040]   I don't think people can say more outlandish and damaging things in AI than we say ourselves
[01:16:04.040 --> 01:16:11.480]   On this podcast at times but number two, you know as we've discussed many times on this podcast
[01:16:11.480 --> 01:16:14.040]   We have rebooted our trust
[01:16:14.040 --> 01:16:15.800]   in
[01:16:15.800 --> 01:16:22.440]   Institutions what we read what we say and I think people are now assuming they're being manipulated
[01:16:22.440 --> 01:16:28.960]   Assuming something might be fake news or doctored and I think it's like people are building up a much higher
[01:16:28.960 --> 01:16:34.240]   resiliency to bullshit lies manipulation and if I were to ask a hundred people
[01:16:34.240 --> 01:16:39.720]   What is the bias of CNN New York Times Fox MSNBC NPR?
[01:16:41.240 --> 01:16:47.800]   90 out of 100 Americans could describe it almost exactly people are not dumb. This is another fallacy
[01:16:47.800 --> 01:16:50.520]   I think we have in this country is that people are dumb and they're gonna get suckered
[01:16:50.520 --> 01:16:56.800]   People are kind of figuring it out and we've seen deep fakes for what five years ten years now and they're like, yeah
[01:16:56.800 --> 01:17:02.520]   You know Luke Skywalker didn't look really good in The Mandalorian, but there's a kid who redid it and now Dolly too is doing it
[01:17:02.520 --> 01:17:06.240]   I think we're kind of inoculating ourself to what do you think free bird?
[01:17:08.040 --> 01:17:13.440]   Deep fakes and truth when the Gutenberg press was invented a bunch of fake shit was
[01:17:13.440 --> 01:17:17.000]   Printed and people believed it. I don't think
[01:17:17.000 --> 01:17:24.200]   the current iteration with deep deep fakes is very different from any form of
[01:17:24.200 --> 01:17:29.160]   Mass media being used to tell people on truth. I'm just called a crusades. What's that?
[01:17:29.160 --> 01:17:33.000]   Oh the Crusades. Yeah. No, I mean but look I mean
[01:17:33.480 --> 01:17:37.920]   You're a hundred percent, right? I don't want to speak about religion negatively in that way. It is one of many
[01:17:37.920 --> 01:17:41.400]   institutions of power that leveraged mass media
[01:17:41.400 --> 01:17:43.880]   historically
[01:17:43.880 --> 01:17:50.560]   To get people to believe things to do things and to ultimately be able to tax people and get them to provide capital and labor
[01:17:50.560 --> 01:17:53.320]   in the interest of those who are in power and
[01:17:53.320 --> 01:17:58.040]   the the system of deep faking is one of a
[01:17:58.040 --> 01:18:01.520]   long string of using the current toolkit
[01:18:02.280 --> 01:18:05.320]   To take mass media and and follow that same track
[01:18:05.320 --> 01:18:11.840]   So it will be dealt with in the same way that things have been dealt with that have been fake news in the past
[01:18:11.840 --> 01:18:17.480]   Which is that there will be an opposing voice and there will be counter arguments and there will be debates and it will be
[01:18:17.480 --> 01:18:20.760]   rancorous and it will be noisy and it will be hard to discern and
[01:18:20.760 --> 01:18:27.440]   Alternatives will emerge and tools that identify deep fakes will emerge and it will be the same ongoing battle and seeking of the truth
[01:18:27.440 --> 01:18:30.260]   That humanity has tried to do
[01:18:31.480 --> 01:18:33.480]   Since the dawn of mass media, you know
[01:18:33.480 --> 01:18:37.440]   Yesterday's conspiracy theories are like tomorrow's Pulitzer prizes
[01:18:37.440 --> 01:18:38.920]   I always say like if you look at
[01:18:38.920 --> 01:18:44.800]   Shania O'Connor ripping up the Pope's picture on Saturday Night Live right in protest and saying like the this is the true enemy
[01:18:44.800 --> 01:18:51.960]   They're molesting children and then the Boston Globe and the movie spotlight is about them a decades later
[01:18:51.960 --> 01:18:56.800]   Winning a Pulitzer for uncovering what anybody who's in the room?
[01:18:56.800 --> 01:19:02.120]   Who's Catholic in the 70s and 80s knew or had heard was going on and so, you know
[01:19:02.120 --> 01:19:06.360]   Maybe the time frame is shortening between when we're being lied to and when we figure it out
[01:19:06.360 --> 01:19:11.840]   I actually think it's interesting and good because it forces us to find ways to find the truth more effectively and
[01:19:11.840 --> 01:19:19.680]   You know it kind of without the antagonism. I think it's you know, it's it's absent. What is the truth?
[01:19:19.680 --> 01:19:23.200]   You don't you don't force that debate. You don't force that question and this will
[01:19:23.920 --> 01:19:31.880]   Start to reveal ways that we can kind of find things that are actual evidentiary things versus things that someone told me with either
[01:19:31.880 --> 01:19:37.520]   Historically anecdote or innuendo or I'm a person in power where I'm an authority or I'm an expert and nowadays
[01:19:37.520 --> 01:19:40.640]   It's like I'm a piece of media. You should believe me or here
[01:19:40.640 --> 01:19:43.840]   I'm an image of a person and that's not gonna be the case anymore. Hi, I'm Jeff
[01:19:43.840 --> 01:19:49.560]   full-time corporate VC and part-time angel my questions about AI and higher education
[01:19:49.960 --> 01:19:54.720]   And it's actually some covert parenting advice so you can decide who's that's relevant for
[01:19:54.720 --> 01:19:59.280]   My son just finished his freshman year of college and I'm questioning
[01:19:59.280 --> 01:20:04.640]   What the future is for him in higher education given all the change that AI is going to
[01:20:04.640 --> 01:20:09.000]   Gonna have on on every career in every profession
[01:20:09.000 --> 01:20:15.440]   And I'm wondering what advice you'd give to to your child or or someone who's in college right now for what?
[01:20:15.560 --> 01:20:22.560]   what's an area of study that won't maybe won't be disrupted by by AI or or an area that
[01:20:22.560 --> 01:20:26.140]   AI you'll get leverage from your education
[01:20:26.140 --> 01:20:32.680]   Through AI. I think the reality is that most of the existing jobs that we have in the United States
[01:20:32.680 --> 01:20:41.860]   Are going to go to lower cost locations that have that tool chain to accelerate their capability
[01:20:44.680 --> 01:20:46.000]   So
[01:20:46.000 --> 01:20:48.800]   we're gonna have to reinvent the workforce and
[01:20:48.800 --> 01:20:51.920]   The things that we do
[01:20:51.920 --> 01:20:54.440]   Over the next 30 or 40 years to stay relevant
[01:20:54.440 --> 01:20:59.160]   That's probably like I think that should just be the operating principle
[01:20:59.160 --> 01:21:02.920]   If you think about it, we used to run great call centers
[01:21:02.920 --> 01:21:08.760]   Okay, those call centers were outsourced to the Philippines in India, but in the next, you know, five or ten years
[01:21:08.760 --> 01:21:11.440]   You'll have this flawless
[01:21:11.440 --> 01:21:13.600]   unaccented English or even more
[01:21:14.040 --> 01:21:15.000]   eerily
[01:21:15.000 --> 01:21:16.720]   perfectly accented English
[01:21:16.720 --> 01:21:21.920]   For the zip code of the person that's calling in so that it sounds like they're talking to somebody that's literally their neighbor
[01:21:21.920 --> 01:21:24.840]   That's like just makes so much sense, right?
[01:21:24.840 --> 01:21:28.920]   So it's like all this stuff is gonna happen where like all these classes of jobs are gonna go away
[01:21:28.920 --> 01:21:35.280]   I saw this article where a lawyer two lawyers use chat GPT to submit a legal brief
[01:21:35.280 --> 01:21:40.320]   The problem was that it cited cases that didn't exist and now they're gonna be disbarred
[01:21:41.600 --> 01:21:46.600]   So this is like serious business right like you can't do that. Like that's like real legal
[01:21:46.600 --> 01:21:51.880]   Malfeasance, so what are your kids not practice in college?
[01:21:51.880 --> 01:21:57.160]   You know if I had to choose something for my kids I would probably I
[01:21:57.160 --> 01:22:00.040]   Would probably tell them to do something
[01:22:00.040 --> 01:22:03.200]   mathematical or biological
[01:22:03.200 --> 01:22:09.120]   The reason I would point them to math is that I think that it's irrefutable. There's this great clip between
[01:22:09.720 --> 01:22:15.920]   Ricky Gervais and Stephen Colbert. You guys should go and Google this but it's a clip where he's on the Colbert show and
[01:22:15.920 --> 01:22:22.840]   Colbert is a deeply devout Catholic and he's offended by the fact that Ricky Gervais doesn't believe in God and
[01:22:22.840 --> 01:22:28.560]   He asked him why don't you believe in God and Ricky Gervais says look if we wiped out all the books in the world
[01:22:28.560 --> 01:22:34.000]   In a thousand years everything that's scientific and mathematical would be reestablished
[01:22:34.000 --> 01:22:39.480]   But everything that is religious or theoretically not, you know mythical if you want to say
[01:22:40.040 --> 01:22:42.440]   Would look very very different
[01:22:42.440 --> 01:22:45.480]   And that's why I don't believe in God
[01:22:45.480 --> 01:22:49.080]   I'm not trying to question that but it's a way of answering this question
[01:22:49.080 --> 01:22:52.240]   Which is I would try to point my children to the body of knowledge
[01:22:52.240 --> 01:22:55.120]   That's largely irrefutable
[01:22:55.120 --> 01:23:01.000]   Which is biological and mathematical versus belief oriented because I think these tools will change one's beliefs
[01:23:01.000 --> 01:23:04.520]   I've been thinking about this a lot too. I think teaching them to be entrepreneurial
[01:23:05.400 --> 01:23:12.560]   Resilient worldly ability to communicate ability to lead other people in teams. That stuff's not going to go away
[01:23:12.560 --> 01:23:15.240]   communication skill, etc, and
[01:23:15.240 --> 01:23:20.420]   I'm encouraging everybody who I work with to just use chat GPT for and
[01:23:20.420 --> 01:23:26.960]   Barred every day for every single thing that they do my base thesis right now. Is that
[01:23:26.960 --> 01:23:30.040]   the job
[01:23:30.600 --> 01:23:33.760]   Freezes the hiring freezes that all these companies is indefinite
[01:23:33.760 --> 01:23:38.200]   I'm assuming it's indefinite because the amount of work it takes to write a job requisition is
[01:23:38.200 --> 01:23:43.200]   more work in some cases than actually automating with
[01:23:43.200 --> 01:23:49.480]   AI or ready the job function and so I think 20 person companies might you know
[01:23:49.480 --> 01:23:51.860]   Double in size in the next two or three years
[01:23:51.860 --> 01:23:53.960]   But still have 20 people
[01:23:53.960 --> 01:23:59.200]   It's gonna be a big challenge for the for society and if it if that does come to pass
[01:23:59.440 --> 01:24:05.000]   There's just gonna be large swaths of people who are not going to be able to get job interviews for anything other than service jobs
[01:24:05.000 --> 01:24:09.160]   And you know, we need a lot more plumbers electricians waiters
[01:24:09.160 --> 01:24:13.720]   Etc. Those probably jobs won't go away. Especially if we don't let people immigrate. So I
[01:24:13.720 --> 01:24:17.120]   am super enthusiastic about that efficiency
[01:24:17.120 --> 01:24:22.240]   But I think it also means you have to be entrepreneurial because if you can't get a job and you can't get mentored
[01:24:22.240 --> 01:24:25.400]   You better create your own opportunity. You better create your own company and
[01:24:25.880 --> 01:24:31.280]   That's what I'm seeing. That's the game on the field right now two or three people who don't have job offers from uber and Airbnb
[01:24:31.280 --> 01:24:33.160]   And Google and Facebook just saying fuck it
[01:24:33.160 --> 01:24:38.960]   Let's start a company because there's nothing else for us to do and those are highly skilled people right now doing that
[01:24:38.960 --> 01:24:41.120]   I'll say two quick things about this topic. So
[01:24:41.120 --> 01:24:47.120]   One is I think there's a lot of AI fear porn out there right now, and I just think that like all these
[01:24:47.120 --> 01:24:52.880]   Doomer scenarios are they're not gonna play out overnight. I mean, this is gonna take a while
[01:24:54.720 --> 01:24:56.280]   Second
[01:24:56.280 --> 01:25:03.280]   If you think about like job elimination, it's gonna be some super specialized jobs. So for example, I
[01:25:03.280 --> 01:25:07.520]   Wouldn't want to be a radiologist right now, but doctors will be fine
[01:25:07.520 --> 01:25:13.520]   So I think if you're thinking about like going into a job category, that's super
[01:25:13.520 --> 01:25:20.960]   specialized and clearly in the way of AI then that probably is not a good idea, but
[01:25:21.560 --> 01:25:28.880]   Most general skills like you're talking about and most job categories are gonna be fine. There's just gonna be some
[01:25:28.880 --> 01:25:31.600]   specialties within them that may get
[01:25:31.600 --> 01:25:36.640]   Dislocated like I wouldn't want to be a truck driver either, you know because of self-driving
[01:25:36.640 --> 01:25:44.280]   But transportation companies are still gonna exist. So I think you just want to be careful about super specialization
[01:25:44.280 --> 01:25:48.400]   I think but building general skills is always really good. That really should be the point of college
[01:25:48.400 --> 01:25:55.280]   Where would you put lawyers and accountants on that? I'm curious. They're sufficiently general that I don't think they're gonna be eliminated
[01:25:55.280 --> 01:25:58.800]   But will they be able to do five times the amount of work therefore we won't need as many
[01:25:58.800 --> 01:26:02.760]   They may be able to get more done. Yeah, I would expect them to get more done
[01:26:02.760 --> 01:26:06.880]   Yeah, but I don't think necessarily think that means we'll need less of them
[01:26:06.880 --> 01:26:12.440]   I mean the old story about lawyers is that there was one lawyer in a town had no business
[01:26:12.440 --> 01:26:16.080]   Second lawyer came to town and they were both more busy than they knew what to do with
[01:26:17.600 --> 01:26:19.600]   So, you know
[01:26:19.600 --> 01:26:26.240]   Lawyers get 30% more productive. They file 30% more lawsuits and you know, we're good. Yeah, let's take another question
[01:26:26.240 --> 01:26:31.320]   These are great questions so far. Hey guys, Rick Spencer. I hope Chamath gets to choose the wine this evening for dinner
[01:26:31.320 --> 01:26:33.760]   I did not get to choose your wine. So I apologize in advance
[01:26:33.760 --> 01:26:40.120]   What kind of water would you get? This is the list of 2018 Chateau Conlefon, Brazil
[01:26:40.120 --> 01:26:43.160]   Oh, that's I love the bestie. Okay question
[01:26:43.200 --> 01:26:49.200]   So you've talked recently in episodes about the speed of AI the adoption and how the winners are still unknown
[01:26:49.200 --> 01:26:52.720]   That was reinforced in the sessions today a room full of investors
[01:26:52.720 --> 01:26:58.020]   How are you thinking differently about your investment, you know your strategic investment decisions and your strategy?
[01:26:58.020 --> 01:27:04.400]   Are there opportunities to look at venture investing differently like venture studios, you know in the future of AI?
[01:27:04.400 --> 01:27:08.440]   I had this conversation earlier today. I think I started a company in 2006
[01:27:08.440 --> 01:27:11.760]   Where we took large data sets
[01:27:11.760 --> 01:27:13.000]   and
[01:27:13.000 --> 01:27:18.280]   We built predictive models from those data sets and we use those predictive models to make analytical tools available
[01:27:18.280 --> 01:27:21.680]   to a specific vertical in our case agriculture farmers and
[01:27:21.680 --> 01:27:24.480]   the models were both
[01:27:24.480 --> 01:27:27.080]   Deterministic meaning there was kind of
[01:27:27.080 --> 01:27:33.560]   definitions algorithmic definitions of physical parameters and there was like all the statistical inference that you get from large data sets and
[01:27:33.560 --> 01:27:36.680]   It made recommendations for farmers
[01:27:37.760 --> 01:27:45.680]   What a lot of people are calling AI today is fundamentally a predictive model on text on language
[01:27:45.680 --> 01:27:50.120]   I am making a language predictor that gives you a sentence
[01:27:50.120 --> 01:27:55.840]   and it seems so profound because it is how we all interact with computers and interact with one another and
[01:27:55.840 --> 01:28:02.440]   As a result it is kind of viewed as this sea change across all of these industries instantaneously
[01:28:02.440 --> 01:28:03.760]   It's this whole new era
[01:28:03.840 --> 01:28:05.840]   But the fact is that
[01:28:05.840 --> 01:28:12.360]   Generally speaking the digitization of things and the amount of data that's being generated on earth is going up by some order of magnitude
[01:28:12.360 --> 01:28:14.880]   every number of months and
[01:28:14.880 --> 01:28:22.560]   Our ability to make predictions and build predictive models that are useful to specific vertical segments is improving every sequential cycle
[01:28:22.560 --> 01:28:29.480]   That this is happening across every vertical and it is continued and it hasn't changed and it's not any different
[01:28:29.480 --> 01:28:33.160]   So there's in this area of genomics and bioinformatics
[01:28:33.240 --> 01:28:37.120]   There is an absolute sea change happening in human health in synthetic biology
[01:28:37.120 --> 01:28:42.800]   And our ability to understand and predict the biological world and make changes and create new drugs
[01:28:42.800 --> 01:28:49.400]   Create new systems for producing molecules for producing things that humans consume and it is all buoyed by
[01:28:49.400 --> 01:28:55.040]   machine learning applied to large data sets and genomics and other metadata associated with human health and
[01:28:55.040 --> 01:29:01.080]   Biology and we're seeing the same thing in other areas whether it's chemistry material science
[01:29:01.960 --> 01:29:09.840]   Industrial application consumer markets and so on the era of what people are now calling AI is an interface layer of language
[01:29:09.840 --> 01:29:11.040]   That's really creating
[01:29:11.040 --> 01:29:18.200]   transformational opportunities on how these tools how these systems how these models can be utilized and provided to all these different verticals and allows us to
[01:29:18.200 --> 01:29:21.680]   rethink business models to rethink interaction models and
[01:29:21.680 --> 01:29:28.640]   To really change the economics of different businesses and the utility and the productivity of humans because it is about speech
[01:29:28.640 --> 01:29:35.400]   It is about communication is about what we fundamentally do as a species. So I would argue that the general
[01:29:35.400 --> 01:29:44.080]   Trajectory of machine learning the general trajectory of data generation our ability to make predictions generate value across all these different markets is
[01:29:44.080 --> 01:29:50.480]   Continuing in the way that it has been continuing for the last 20 years and it is profound in its own, right?
[01:29:50.480 --> 01:29:55.440]   and I wouldn't say that there's a massive sea change in that evolution because of
[01:29:55.800 --> 01:30:00.040]   Large language models large language models create another set of opportunities
[01:30:00.040 --> 01:30:04.080]   So I would kind of create a distinction and make sure that the categorization of the investment
[01:30:04.080 --> 01:30:09.440]   Opportunities in large language models be assessed on its own and everyone's all over the place as you guys probably heard today
[01:30:09.440 --> 01:30:16.440]   Foundational models are getting disrupted every other week. They're being decreased in size parameters are being reduced. They're being commoditized
[01:30:16.440 --> 01:30:21.080]   You can run these things on m2 chips. Everything is up in the air right now, and it's friggin nuts
[01:30:21.080 --> 01:30:24.480]   You're gonna invest in a company at a 500 million dollar valuation and six weeks later
[01:30:24.480 --> 01:30:28.920]   It's gonna be worth zero because someone open source the exact same thing that you can now do for 100k
[01:30:28.920 --> 01:30:33.720]   So that's very difficult and very different then but there are still like these
[01:30:33.720 --> 01:30:40.480]   Incredible points of inflection happening across all these other industries with respect to machine learning and that's where I spend my time
[01:30:40.480 --> 01:30:45.440]   Chamathi want to add what you're looking at. I think this is gonna be the big question. Yeah six or seven years ago
[01:30:45.440 --> 01:30:53.000]   There was a Google earnings release where they talked about building their own silicon. I've told this story before but I
[01:30:53.560 --> 01:30:57.720]   Ping those guys and I was basically like I just want to meet the team that built the TPU
[01:30:57.720 --> 01:31:01.240]   long story short a year later, I put them in business and
[01:31:01.240 --> 01:31:07.440]   You know, we've been building silicon for this moment for years. It's been really really hard
[01:31:07.440 --> 01:31:14.040]   And the reason it's been really really hard is that Nvidia is just really really good
[01:31:14.040 --> 01:31:17.400]   CUDA is very very complete
[01:31:17.400 --> 01:31:22.920]   And it's just very difficult to justify why one would build
[01:31:23.920 --> 01:31:26.240]   Once you have something that you think is profound
[01:31:26.240 --> 01:31:31.760]   Through you know implement multiple SDKs to like multiple points of silicon just doesn't make any sense
[01:31:31.760 --> 01:31:38.200]   That being said I still think you need to be at the absolute bottom of the stack and the absolute top of the stack
[01:31:38.200 --> 01:31:41.400]   I think I'm a little too biased for saying the former
[01:31:41.400 --> 01:31:46.600]   Which is I'm hoping that there's vendor diversity in silicon diversity
[01:31:46.600 --> 01:31:49.160]   Because I think it's going to be really important
[01:31:49.160 --> 01:31:52.840]   I don't think we want to have a world where Nvidia runs away with it. So I think there's
[01:31:52.840 --> 01:31:56.680]   Investment opportunity there just because I think everybody should want that to happen
[01:31:56.680 --> 01:31:59.640]   And then at the absolute top
[01:31:59.640 --> 01:32:02.440]   Freeberg's right that
[01:32:02.440 --> 01:32:03.960]   All these
[01:32:03.960 --> 01:32:08.200]   Foundational models I think are changing so rapidly that the thing that you want to figure out is like
[01:32:08.200 --> 01:32:13.000]   What are you seeding it with to drive learning that's unique and that's a data problem
[01:32:13.000 --> 01:32:17.080]   So there's an example that I've given this was a an example given to me
[01:32:18.440 --> 01:32:21.960]   By Nick Cash Aurora, so it's not I'm not going to take credit for it
[01:32:21.960 --> 01:32:24.280]   He's the CEO of Palo Alto Networks, but he was telling me
[01:32:24.280 --> 01:32:26.840]   You know when you look at
[01:32:26.840 --> 01:32:28.840]   travel
[01:32:28.840 --> 01:32:31.640]   The travel space all the public travel companies are like
[01:32:31.640 --> 01:32:36.600]   300 billion dollars of public market cap Expedia Travelocity all these companies
[01:32:36.600 --> 01:32:39.400]   but they're pure middlemen
[01:32:39.400 --> 01:32:45.560]   And they sit on top of the data feed that comes from a handful of companies one of them is Sabre
[01:32:47.000 --> 01:32:53.000]   And so I went in I looked at Sabre Sabre is like a 1.3 billion dollar company a small little company
[01:32:53.000 --> 01:32:58.840]   But they are the ones that go into all the airlines extract all this gobbledygook data
[01:32:58.840 --> 01:33:01.240]   normalize it and allow
[01:33:01.240 --> 01:33:03.800]   Expedia Travelocity booking.com to exist
[01:33:03.800 --> 01:33:07.080]   in a world of machine learning where
[01:33:07.080 --> 01:33:13.080]   An ai where theoretically you can have conversational languages in inside of whatsapp or messenger or instagram
[01:33:13.080 --> 01:33:16.600]   You see this beautiful picture. You're like book me a ticket to that place
[01:33:17.240 --> 01:33:18.840]   well
[01:33:18.840 --> 01:33:20.840]   Sabre is actually the key
[01:33:20.840 --> 01:33:24.360]   Value creator there
[01:33:24.360 --> 01:33:31.320]   And all these Expedia examples that are plugins at gbt make no sense. They make no economic sense. Those companies should go to zero
[01:33:31.320 --> 01:33:33.320]   so
[01:33:33.320 --> 01:33:39.160]   I've used that as a way a forcing function for me to try to prove that there's really these two barbells
[01:33:39.160 --> 01:33:43.800]   It's a barbell bookends one is a silicon and one of these sort of like data providers
[01:33:43.880 --> 01:33:46.860]   That's probably an investable thing. That's defensible
[01:33:46.860 --> 01:33:51.400]   Everything in the middle. I think what what freebrook said is true, which is today
[01:33:51.400 --> 01:33:54.200]   It looks like it's worth a couple billion dollars tomorrow's worth nothing
[01:33:54.200 --> 01:33:57.320]   And so I think you have to be very careful if you listen to
[01:33:57.320 --> 01:34:01.880]   There's an interview that steven wolfram did with lex friedman if you guys listened to it
[01:34:01.880 --> 01:34:06.680]   A few weeks ago. I had him on my pod a couple weeks ago, but haven't heard the free. Yeah, he's incredible
[01:34:06.680 --> 01:34:07.560]   Yeah, he's incredible
[01:34:07.560 --> 01:34:13.640]   If you listen to that interview, I think wolfram does a great job of describing the difference between inferential models or statistical models
[01:34:14.360 --> 01:34:16.360]   and computational models
[01:34:16.360 --> 01:34:20.440]   Statistical models are where you take large data sets and you build
[01:34:20.440 --> 01:34:23.380]   statistical models that infer
[01:34:23.380 --> 01:34:27.320]   And predict things in the future or predict things that you ask it to predict
[01:34:27.320 --> 01:34:31.640]   From the data set that it's trained on and then it creates a statistical representation
[01:34:31.640 --> 01:34:37.000]   It has a probability of being right or wrong and every prediction it makes and it creates a distribution of outputs from the model
[01:34:37.000 --> 01:34:40.120]   And you can train a model from nothing today
[01:34:41.240 --> 01:34:46.280]   Using a bunch of tools that are open source and generally available and a bunch of great silicon and all this amazing stuff
[01:34:46.280 --> 01:34:48.280]   That's that's that's now out in the world
[01:34:48.280 --> 01:34:50.680]   But there's a bunch of things that you can't
[01:34:50.680 --> 01:34:58.600]   Generate data and you can't necessarily train models on and that requires computational models models where you actually have to build some
[01:34:58.600 --> 01:35:01.240]   System
[01:35:01.240 --> 01:35:06.040]   That creates a deterministic outcome and deterministic means that it doesn't have a distribution of things that could happen
[01:35:06.040 --> 01:35:10.760]   It has one thing and it calculates it like two plus four is six
[01:35:10.760 --> 01:35:16.840]   There isn't a probability distribution on it being six two plus four is computable. It is calculable. It is six
[01:35:16.840 --> 01:35:20.200]   the great unlock
[01:35:20.200 --> 01:35:27.000]   That I think is ahead of us still generally speaking with respect to large language models is the connection back
[01:35:27.000 --> 01:35:34.520]   To computational models is the connection back to structured data where you can make requests and integrate structured data into the output
[01:35:34.920 --> 01:35:36.920]   combined with inferential output
[01:35:36.920 --> 01:35:44.120]   And computational models where you can take the inference you can take the request and figure out what computational models
[01:35:44.120 --> 01:35:47.480]   Can I now run in addition to making a prediction about an output?
[01:35:47.480 --> 01:35:54.040]   And that's where so much of the value is going to lie and it's going to require incredible software engineering talent
[01:35:54.040 --> 01:35:59.000]   Applied math statistics all the stuff that's made data science generally speaking
[01:35:59.320 --> 01:36:04.520]   So successful over the last two decades is going to continue and it's going to be this integration between
[01:36:04.520 --> 01:36:06.440]   computation
[01:36:06.440 --> 01:36:10.680]   And inference, um, and it's going to be applied in lots of different markets and it's going to be really powerful
[01:36:10.680 --> 01:36:12.840]   And we're all going to have our minds blown
[01:36:12.840 --> 01:36:16.840]   Just in terms of like the seed stage or super early pre-seed stage
[01:36:16.840 --> 01:36:21.560]   Two or three people who are obsessed with this technology who are playing with it every day
[01:36:21.560 --> 01:36:24.040]   Who are keeping up to speed on it?
[01:36:24.040 --> 01:36:28.840]   And who understand some customer base whether it's delighting themselves or delighting some other customer base
[01:36:28.920 --> 01:36:32.440]   I'm willing to take that small bet on that 100k to 250k bet
[01:36:32.440 --> 01:36:41.080]   Because in the previous paradigm shifts or platform shifts cloud computing apps and before that desktop computing
[01:36:41.080 --> 01:36:43.160]   and the web
[01:36:43.160 --> 01:36:48.620]   You saw people start tinkering with stuff and whatever their first two ideas were are long forgotten
[01:36:48.620 --> 01:36:52.840]   Because they figured something else out and I kind of feel like that's the stage we're in
[01:36:52.840 --> 01:36:55.960]   There were a lot of people who were playing with iPhones in the app store
[01:36:56.360 --> 01:37:01.800]   and you know, they made a calculator or a flashlight that got built into the operating system as um,
[01:37:01.800 --> 01:37:07.000]   I think freeberg is specifically pointing out like you could just be part of the model and your whole business is wiped out
[01:37:07.000 --> 01:37:10.120]   We have one company that's trying to make itineraries for travel
[01:37:10.120 --> 01:37:16.600]   And I looked at what they're building and then you know, they're figuring out prompts. They're figuring out the interface
