
[00:00:00.000 --> 00:00:08.380]   and you see that manifest itself on D-Day, where you've got 6,939 vessels, of which there are 1,213
[02:42:20.880 --> 02:42:27.040]   but let's look at some of the battles and maybe you can tell me which jumps out at you. I want to talk to you about
[02:42:27.040 --> 02:42:31.600]   the Western Front and definitely talk about Normandy.
[02:42:32.880 --> 02:42:40.400]   So there's the Battle of Midway in 1942, which is a naval battle. There's Eastern Front, Stalingrad,
[02:42:40.400 --> 02:42:48.320]   probably the deadliest battle in human history. Then there's the Battle of Kursk, which is a tank
[02:42:48.320 --> 02:42:56.720]   battle, the largest tank battle in history, probably the largest battle period in history. 6,000 tanks,
[02:42:56.720 --> 02:43:02.400]   2 million troops, 4,000 aircraft. And then that takes us also to the Battle of the Bulge,
[02:43:02.400 --> 02:43:07.680]   and Normandy, the Italian campaign that you talk a lot about. So what do you think is interesting to
[02:43:07.680 --> 02:43:17.840]   try to extract some wisdom from? Before we get to Normandy, do you find as a historian the Battle of
[02:43:17.840 --> 02:43:23.120]   Kursk or the Battle of Stalingrad more interesting? Stalingrad is often seen as the turner.
[02:43:23.120 --> 02:43:32.000]   Well, yeah, I think so. I mean, it's really interesting. So they get through 1941. Barbarossa
[02:43:32.000 --> 02:43:37.280]   doesn't happen as the Germans hope it will. The whole point is to completely destroy the Red Army
[02:43:37.280 --> 02:43:42.720]   in three months, and that just doesn't happen. And I think you can argue and argue convincingly that by,
[02:43:42.720 --> 02:43:51.200]   let's say, the beginning of December 1941, Germany is just not going to win. It just can't.
[02:43:51.200 --> 02:43:56.240]   And let me tell you what I mean by that. So if you take an arbitrary date, let's say the 15th of June,
[02:43:56.240 --> 02:44:02.800]   1941, Germany at that moment has one enemy, which is Great Britain, albeit Great Britain plus Dominion
[02:44:02.800 --> 02:44:10.480]   Empire. Fast forward six months to, let's say, the 16th of December. It's got three enemies. It's got
[02:44:10.480 --> 02:44:19.360]   Great Britain, Dominion Empire, USSR, and the USA. It is just not going to win. For all the talks of
[02:44:19.360 --> 02:44:25.040]   wonder weapons and all the rest of it, it's just not going to. It has lost that battle. Having said that,
[02:44:25.040 --> 02:44:34.000]   the Soviet Union is still in a really, really bad situation. It is being helped out a huge amount by
[02:44:35.600 --> 02:44:40.480]   supplies from the United States and from Britain. You know, just unprecedented amounts of material
[02:44:40.480 --> 02:44:47.840]   being sent through the Arctic or across Alaska into the Soviet Union at that time. It is absolutely
[02:44:47.840 --> 02:44:56.160]   staggering how much it's committed by Roosevelt and Churchill to try and stem the flow in the Soviet
[02:44:56.160 --> 02:45:02.720]   Union. Because for all the announcements and the pride that the Soviet Union has about moving factories to
[02:45:02.720 --> 02:45:09.520]   the other side of the Urals and stuff, which they do in 1941, huge amounts are overrun intact by the
[02:45:09.520 --> 02:45:15.280]   Germans in the opening stages of Barbarossa. I mean, really, you know, colossal losses. Huge amounts.
[02:45:15.280 --> 02:45:20.880]   So, you know, the grain has gone, coal has gone, entire factories have gone, steel production goes
[02:45:20.880 --> 02:45:27.840]   down by kind of, you know, 80% in the Soviet Union in 1941 and into 1942. So in 1942, despite the vast
[02:45:27.840 --> 02:45:33.200]   amount of numbers of men that they have at their hands, I mean, they create 80 new divisions in the
[02:45:33.200 --> 02:45:38.560]   second half of 1941, for example. I mean, Britain never has 80 divisions in the entire Second World War,
[02:45:38.560 --> 02:45:45.680]   division being about rule of thumb, 15,000 men. So, you know, despite that, and that is because
[02:45:45.680 --> 02:45:52.240]   Stalin's meddling, the woeful state of the Red Army in 1941, et cetera, et cetera, which we've already sort
[02:45:52.240 --> 02:45:57.840]   of touched upon. So 1942, it's still in a really bad way, but Germany's in a really bad way too.
[02:45:57.840 --> 02:46:05.440]   It's the attrition it's suffered in 1941. It's winning itself to death in 1941. So it's having
[02:46:05.440 --> 02:46:10.560]   these huge great encirclements like the encirclement of Kyiv in September 1941, you know, capturing the
[02:46:10.560 --> 02:46:16.000]   further kind of best part of 700,000 Red Army troops, et cetera, et cetera. But in the process of doing that,
[02:46:16.000 --> 02:46:21.520]   it is constantly being attrited, you know, both in battle casualties, but in also mechanical casualties
[02:46:21.520 --> 02:46:31.440]   too. Just can't cope. The scale is just too big. And what happens is, with every moment that the
[02:46:31.440 --> 02:46:39.920]   German forces, that ultimate victory slips away, so Hitler's personal handling of the battle increases.
[02:46:39.920 --> 02:46:46.320]   And, you know, you can say what you like about him, but he just hasn't had the military training to do
[02:46:46.320 --> 02:46:50.880]   that. He might have amazing attention to detail. He might be able to understand, you know, have an
[02:46:50.880 --> 02:46:57.680]   enormous capacity to remember units and where they are on a map, but he was only a half corporal in the
[02:46:57.680 --> 02:47:02.400]   First World War. He's never been to staff college. You know, he might have read lots about Frederick
[02:47:02.400 --> 02:47:05.760]   the Great. I mean, I've read lots of history, but that doesn't mean to say I'd be a competent
[02:47:05.760 --> 02:47:12.240]   field marshal. So he is not the right person for the job at all. And he micromanages and he looks at
[02:47:12.240 --> 02:47:16.560]   diggers and figures and doesn't understand what it's like at the actual front, the coal face.
[02:47:16.560 --> 02:47:23.440]   So he's stifling the very thing that made the German army effective, which is the ability to give
[02:47:23.440 --> 02:47:28.080]   commanders at the front the freedom on their leash to be able to make decisions and battle command
[02:47:28.080 --> 02:47:32.320]   decisions. And he's taken that away from them. So he's basically making them go into battle
[02:47:32.320 --> 02:47:39.920]   with decreasing amounts of supplies and firepower and with one hand behind their back in terms of
[02:47:39.920 --> 02:47:44.080]   decision-making process. And that is not a good combination. The other problem is that he decides,
[02:47:44.080 --> 02:47:48.000]   rather than going for Moscow in 1942, because basically there's a kind of cooling off period
[02:47:48.000 --> 02:47:52.240]   in the, in the winter because of the conditions, but everyone knows the Soviet Union. No, the Red
[02:47:52.240 --> 02:47:56.560]   Army knows that the moment springs come, there's going to be another offensive, but another major
[02:47:56.560 --> 02:48:02.160]   offensive in the summer. That is absolutely as certain as, you know, day following night, et cetera.
[02:48:02.160 --> 02:48:06.960]   The problem that the Germans have is they just don't have enough. They have less than they had
[02:48:06.960 --> 02:48:13.040]   when they launched Barbarossa the previous year. The Soviet Union has more. It is better prepared. It
[02:48:13.040 --> 02:48:17.840]   knows what's coming now. It's kind of learning some of the lessons, starting to absorb the lessons.
[02:48:17.840 --> 02:48:24.160]   Stalin, coincidentally, is pulling back from his very tight leash and the way that Hitler is doing the
[02:48:24.160 --> 02:48:30.720]   the opposite and increasing his micromanagement and control for recovery. And what Hitler decides is
[02:48:30.720 --> 02:48:35.760]   rather than going for Moscow, he's going to go for the oil fields. And this is absolutely insane because
[02:48:35.760 --> 02:48:41.360]   what's going to happen when they get to the oil fields? I mean, does he think really that the Soviet
[02:48:41.360 --> 02:48:47.600]   Union are going to let those oil fields come into German hands intact? Even if he does let them get in
[02:48:47.600 --> 02:48:53.760]   intact, what are they going to do with that oil? I mean, oil needs to be refined. Where are you going
[02:48:53.760 --> 02:48:58.480]   to refine it? You know, they don't have any oil. They don't have many oil refineries. How are you going
[02:48:58.480 --> 02:49:04.480]   to ship that oil to where you need it to be in the factories and the Third Reich and into your, you know,
[02:49:04.480 --> 02:49:10.960]   process it into gasoline and then get it and diesel and get it to your U-boats, get it to your tanks,
[02:49:10.960 --> 02:49:14.160]   get it to your armored units? How are you going to do that? How do you transport it from the
[02:49:14.800 --> 02:49:20.160]   from the Caucasus, which is a long, long way away from, from Berlin? How are you going to do that?
[02:49:20.160 --> 02:49:24.720]   There's no pipelines. There's only some pipelines. They've been built by American money and American
[02:49:24.720 --> 02:49:29.520]   engineering, and they're going backwards towards the Urals, not forwards. They have no more rail
[02:49:29.520 --> 02:49:36.400]   capacity whatsoever. They just don't have the oil tankers. So it's just, it's, it is absolute la la
[02:49:36.400 --> 02:49:42.480]   land. It is incredible that when you look at the detailed literature that the Germans have, no one is
[02:49:42.480 --> 02:49:46.320]   asking this question in the, in the spring and early summer of 1942.
[02:49:46.320 --> 02:49:47.840]   The logistics question in part.
[02:49:47.840 --> 02:49:51.760]   No one is saying, okay, it's great that we're going to go to the Caucasus and get all this oil,
[02:49:51.760 --> 02:49:54.800]   but then what? No one is asking that question.
[02:49:54.800 --> 02:49:59.120]   Nor how do you provide resources and feed and the soldiers and all that kind of stuff.
[02:49:59.120 --> 02:49:59.840]   Right. I mean, it's...
[02:49:59.840 --> 02:50:04.080]   So, so the case blew, first of all, they get distracted by going into the Crimea and they go,
[02:50:04.080 --> 02:50:09.360]   well, we've got to do that first. So they have to get Sevastopol and the Crimea, which they do.
[02:50:09.920 --> 02:50:16.400]   And then they have to push on. And at this point, suddenly looming in front of them is Stalingrad,
[02:50:16.400 --> 02:50:22.320]   on the banks of the Volga, this, this city, this industrial city, which has Stalin's name.
[02:50:22.320 --> 02:50:27.520]   And Hitler goes, okay, what I'm going to do now is I'm going to split my forces. So half of you can
[02:50:27.520 --> 02:50:30.560]   go south towards the Caucasus and the rest of you can confront Stalingrad.
[02:50:30.560 --> 02:50:36.800]   And on box, just to see who's the commando just goes, that's nuts. That makes no sense whatsoever.
[02:50:36.800 --> 02:50:43.440]   You know, you're, you're, you're splitting the mission. So he fires him. So suddenly they get,
[02:50:43.440 --> 02:50:49.920]   get into this assault for Stalingrad and it becomes this sort of street fight. Street fighting is the
[02:50:49.920 --> 02:50:53.920]   worst kind of fighting. I mean, the reason why the Israelis have just blown everything up in,
[02:50:53.920 --> 02:50:58.720]   in Gaza is because otherwise you can't see, you know, you need a field of fire. This is a fighting up in a,
[02:50:58.720 --> 02:51:02.960]   fighting in a buildup area is, is horrendous. Yeah. To clarify, we're talking about urban
[02:51:02.960 --> 02:51:07.680]   warfare, door to door, building to building. It's incredibly difficult. And home advantage
[02:51:07.680 --> 02:51:12.960]   is colossal in this, this instance. And of course it's piping hot when they attack in kind of August
[02:51:12.960 --> 02:51:18.000]   into early September, and then it suddenly gets very, very cold. And at the same time, American
[02:51:18.000 --> 02:51:25.600]   mechanization and slightly a British mechanization, but primarily American trucks are enabling Zoukov to
[02:51:25.600 --> 02:51:31.280]   to plan this great pincer movement. So it is, you know, and, and Russians will hate me for saying
[02:51:31.280 --> 02:51:36.720]   this. Um, and I probably will get a whole load of bots on the back of it, but, but, but the truth is,
[02:51:36.720 --> 02:51:44.640]   is it is not the street fighting that destroys sixth army. It is the encirclement, the subsequent
[02:51:44.640 --> 02:51:49.520]   encirclement. So they've, the Germans have been sucked into this street battle in Stalingrad.
[02:51:49.520 --> 02:51:53.520]   We cannot give up. We cannot give up. We cannot give up. We cannot back down. We cannot pull out.
[02:51:53.520 --> 02:51:58.080]   We've got to, we've got to destroy this city. Meanwhile, while their backs are turned and while
[02:51:58.080 --> 02:52:03.600]   most of their forces are going off to the Caucasus on a wild goose chase for absolutely zero oil,
[02:52:03.600 --> 02:52:10.080]   instantly, um, and they never get remotely close to Baku, this huge great pincer movement is, is,
[02:52:10.080 --> 02:52:16.160]   is being planned and it is only possible through mechanization from the United States.
[02:52:16.160 --> 02:52:23.760]   And that is the big turning point because from that moment onwards, the Germans are on the back foot.
[02:52:23.760 --> 02:52:28.560]   They're basically going backwards. There are little small counterattacks. There is obviously the curse
[02:52:28.560 --> 02:52:35.280]   salient, for example. Um, but it's, it's, it's game over. You know, the, the catastrophe of the
[02:52:35.280 --> 02:52:40.320]   surrender of the final. So I mean, the writings on the wall at the end of 1942, but by November 1942,
[02:52:40.320 --> 02:52:45.840]   when the, when the, when the, uh, the two, um, Soviet fronts meet up, then, then, you know,
[02:52:45.840 --> 02:52:52.480]   there is no possible chance of escape for sixth army. They are consigned. They are toast.
[02:52:52.480 --> 02:52:56.080]   And their final surrender obviously happens at the very beginning of February, 1943,
[02:52:56.080 --> 02:53:01.520]   but that's all over. And then at the same time that that is happening, disaster is unfolding in North
[02:53:01.520 --> 02:53:08.880]   Africa because Hitler has insisted on massively resupplying the Mediterranean theater. And the
[02:53:08.880 --> 02:53:13.520]   problem there is the amount of equipment that is lost in North Africa is greater than it is at
[02:53:13.520 --> 02:53:20.640]   Stalingrad. I don't think you could argue that psychologically Tunisia is a greater loss than
[02:53:20.640 --> 02:53:25.760]   Stalingrad. It absolutely isn't, but you have to see them in tandem as this is two fronts. This is
[02:53:25.760 --> 02:53:31.440]   Eastern front, Southern Western front. And this is the first time that the Americans have been on the
[02:53:31.440 --> 02:53:37.360]   ground against access forces and they lose big time. The allies become masters of the North African
[02:53:37.360 --> 02:53:43.440]   shores on the 13th of May, 1943. And it is a catastrophe. And in that time, 2,700 aircraft have
[02:53:43.440 --> 02:53:50.640]   been Luftwaffe aircraft have been destroyed over North Africa between November, 1942 and May, 1943.
[02:53:50.640 --> 02:53:56.080]   And overall, there's subsequent that summer as well. It's really interesting. The Luftwaffe loses between
[02:53:56.080 --> 02:54:03.040]   June and October, 1943. So this is including the Kursk battle, which takes place in July, 1943.
[02:54:03.040 --> 02:54:12.000]   In that period, the Luftwaffe loses 702 aircraft over the Eastern front, but 3,704 aircraft over the
[02:54:12.000 --> 02:54:17.120]   Mediterranean. So I think one has to also, one of the lessons about studying the Second World War is
[02:54:17.120 --> 02:54:23.600]   one has to be careful not to assign strategic importance to boots on the ground. It can be of
[02:54:23.600 --> 02:54:28.480]   great strategic importance, but not necessarily. You know, no one would argue, for example, that the
[02:54:28.480 --> 02:54:34.880]   Guadalcanal is not an absolutely game-changing battle in the Pacific War. And yet the number of
[02:54:34.880 --> 02:54:37.840]   troops compared to, you know, what's going on in the Eastern front or even, you know,
[02:54:37.840 --> 02:54:46.080]   the Western front is tiny in comparison. So it is absolutely true that the most German blood is lost
[02:54:46.080 --> 02:54:50.560]   on the Eastern front, but that doesn't mean to say that it's more strategically important than the
[02:54:50.560 --> 02:54:55.440]   Western front. And it's not saying that the Western front is more strategic either. It's just,
[02:54:55.440 --> 02:55:00.320]   you have to kind of be balanced about this. The psychological blovo of Stalingrad is immense
[02:55:00.320 --> 02:55:02.160]   and you, you cannot belittle that.
[02:55:02.160 --> 02:55:06.800]   I mean, there's the, we went over it really fast, but there is a human drama element.
[02:55:06.800 --> 02:55:08.240]   Yes.
[02:55:08.240 --> 02:55:14.880]   But yes, when we're talking about the operational side, the material loss of a battle is also
[02:55:14.880 --> 02:55:20.160]   extremely important to the big picture of the war. And we often don't talk about that
[02:55:20.800 --> 02:55:25.360]   because of course with war, the thing to focus on is the human drama of it.
[02:55:25.360 --> 02:55:33.040]   And I also think that what's interesting is the, is the Nazi high command's response to Stalingrad,
[02:55:33.040 --> 02:55:39.040]   which is not to go, we're screwed. It's to double down. It's, you know, then, so, so Goebbels,
[02:55:39.040 --> 02:55:44.800]   for example, gives his infamous speech in the sports palace and third week of February, 1943, where he
[02:55:44.800 --> 02:55:50.960]   goes, are you ready for this? You know, this is now total war. The war is coming. This is a fight for
[02:55:50.960 --> 02:55:56.640]   survival. We're all in it together. You are in this as well. You know, every single one, every single
[02:55:56.640 --> 02:56:05.040]   German is now, this is a fight for survival. And we are now in total war. And, and everyone is just so
[02:56:05.040 --> 02:56:11.440]   depressed by this. I mean, they realize that there is, that they have, they, they will, are going to
[02:56:11.440 --> 02:56:15.760]   reap what they have sown, you know, because everyone knows what's been going on in the Eastern front,
[02:56:15.760 --> 02:56:20.320]   because first part of the war, Germans have loads and loads of cameras. They're really into photographing
[02:56:20.320 --> 02:56:24.640]   everything, taking Sydney footage of everything. So part of recording the greatness of the Reich and the
[02:56:24.640 --> 02:56:28.480]   triumphs of the Reich, they want it recorded. So all this stuff is a bit like the radios is made very,
[02:56:28.480 --> 02:56:33.280]   very cheap. So lots of having, and people are sending it all back. And, you know, the people that are
[02:56:33.280 --> 02:56:36.480]   developing this stuff are all seeing it and people are talking about it. And then it's been sent to
[02:56:36.480 --> 02:56:42.560]   families and they're all seeing it and they're seeing pictures of Jews being rounded up and beaten.
[02:56:42.560 --> 02:56:50.240]   And they're seeing, um, Ukrainian partisans being executed and they're seeing villages being torched.
[02:56:50.240 --> 02:56:57.280]   And everyone knows they all know. Yeah. This whole idea is, you know, do they really know what was going
[02:56:57.280 --> 02:57:03.120]   on? Yeah, they do. They do know what's going on, you know, to lesser or greater detail.
[02:57:03.120 --> 02:57:07.680]   Well, of course, you know, there's some people who don't. And, you know, and a bit like people know about the news today.
[02:57:07.680 --> 02:57:10.880]   Some people do, some people don't. Oh, I never read the newspaper. I never listen to the news.
[02:57:10.880 --> 02:57:17.760]   You know, so you, you have that of course, but, but, but it is widely understood and widely known that
[02:57:17.760 --> 02:57:25.120]   really brutal things have been going on in the Eastern and troops coming back utterly traumatized by what they have
[02:57:25.120 --> 02:57:32.320]   taken part in, what they have witnessed, the kind of unspeakable brutality. This is war on a completely different level to anything
[02:57:32.320 --> 02:57:36.480]   that's been kind of seen in recent years. Yeah. We should, we should mention that,
[02:57:36.480 --> 02:57:40.560]   you know, the Western front and the Eastern front are very different in this regard.
[02:57:40.560 --> 02:57:44.880]   Yes. So a lot of the Holocaust by bullets, the Holocaust with the concentration camps and
[02:57:44.880 --> 02:57:52.960]   extermination camps is not in Germany. It's not in the Western front. It's in Poland. It's in the Soviet
[02:57:52.960 --> 02:57:58.640]   Union. Yeah. But don't forget that even Auschwitz, for example, is part of the new Reich. It is part of,
[02:57:59.760 --> 02:58:03.920]   you know, it is part of an area which has been absorbed into Germany. So as far as they're
[02:58:03.920 --> 02:58:08.000]   concerned, this has now got, you know, it's now no longer got the Polish name. It's now called
[02:58:08.000 --> 02:58:12.480]   Auschwitz, which is a German name. It is part of Germany. And there are German people moving there
[02:58:12.480 --> 02:58:17.520]   into this, you know, air comma model town and they all know exactly what's going on.
[02:58:18.480 --> 02:58:24.080]   Yeah. You, by the way, have a nice podcast series of four episodes on Auschwitz,
[02:58:24.080 --> 02:58:33.840]   um, the evolution of the dream world town that becomes a camp, a work camp,
[02:58:33.840 --> 02:58:40.240]   then becomes an extermination camp and a big Boona factory for IG Farben, which never produces a single
[02:58:40.240 --> 02:58:48.480]   bit of rubber. So this for sure is, uh, something I would have to dive deep in. There's a book you
[02:58:48.480 --> 02:58:55.200]   recommended KL. Yes. It's just called KL. It's about the, the whole concentration camp system. Um,
[02:58:55.200 --> 02:59:03.360]   cause K is concentration, um, in German Lager is a, is a camp. Um, it's a, it's an exhaustive book and
[02:59:03.360 --> 02:59:09.360]   I'm, I'm full of admiration for him for, for writing it just because jeepers, it must have been sort of,
[02:59:09.360 --> 02:59:14.320]   I mean, I, I was very depressed doing that work on Auschwitz, that deep dive. I just found the whole
[02:59:14.320 --> 02:59:20.080]   thing utterly dispiriting. Um, and I've been there a few times and it's ghastly. Um, so how he wrote a whole
[02:59:20.080 --> 02:59:26.560]   book on it. I don't know. I think in the details, there's a, there's two ways, I think, to look at
[02:59:26.560 --> 02:59:34.000]   the Holocaust. One is, uh, man's search for meaning, but Viktor Frankl sort of this philosophical thing
[02:59:34.000 --> 02:59:39.680]   about how a human being can confront that and find meaning and what it means. What,
[02:59:39.680 --> 02:59:47.040]   what does the human condition look like in the context of such, uh, evil? And then there is the
[02:59:47.040 --> 02:59:54.560]   the more sort of detailed, okay, well, how, how do you actually implement something like the final
[02:59:54.560 --> 03:00:03.280]   solution? So you have this ideology of evil implemented. Yes. And at the fine detail of what,
[03:00:03.280 --> 03:00:09.600]   what are the different technologies used? What are the different humans and the hierarchy of humans in
[03:00:09.600 --> 03:00:15.520]   a camp? How do they, what's the actual experience of the individual person who shows up at a camp?
[03:00:15.520 --> 03:00:20.240]   Yeah. Just get in the details. And in those details, I think there's some deep,
[03:00:20.240 --> 03:00:27.920]   profound human truth that can emerge that the, the mundane, um, one step at a time is how you can
[03:00:27.920 --> 03:00:35.920]   achieve evil. Yep. So you can get lost in the mundane. It's yes. The banality of evil. It's, um,
[03:00:35.920 --> 03:00:39.520]   it's incredible. I, I think, I think what, what is so,
[03:00:40.320 --> 03:00:45.680]   so completely horrific is, is that, you know, you know, half the 6 million were killed by kind
[03:00:45.680 --> 03:00:50.400]   of bullets to the back of the head. And the reason they stopped doing that and they wanted to stop
[03:00:50.400 --> 03:00:55.760]   doing that was because the guys, the perpetrators were finding it so traumatic, you know, Himmler goes
[03:00:55.760 --> 03:01:00.880]   and visits, uh, um, uh, an execution in Ukraine and, or maybe he's in the Baltic States. I can't
[03:01:00.880 --> 03:01:04.400]   remember where he goes, but he, but he, we witnessed some in the, you know, in the summer of 1941, he
[03:01:04.400 --> 03:01:07.680]   thinks, oh, that's horrible. You know, they don't have to do that. I don't want my men having to do
[03:01:07.680 --> 03:01:11.120]   that. I've got to find a more humane way of doing it. When he's talking about more humane way of doing
[03:01:11.120 --> 03:01:16.640]   it, humane for the, for the executors, executioners, not, not for the victims because
[03:01:17.920 --> 03:01:22.720]   trust me, cyclone B is not a nice way to go. You know, it basically, basically it's bursting all
[03:01:22.720 --> 03:01:27.360]   the capillaries in your lungs. It's extremely painful and, and you, you can no longer breathe
[03:01:27.360 --> 03:01:31.920]   and it can take up to 20, 25 minutes. You know, some people that can take a couple of minutes,
[03:01:31.920 --> 03:01:37.520]   but all of those who are standing naked in that gas chamber, first of all, extremely humiliated by
[03:01:37.520 --> 03:01:42.560]   this process in the first place. Then there's a sudden realization of the, that they're not having
[03:01:42.560 --> 03:01:47.440]   a shower. They're actually being gas and they're all going to die. Imagine what you're thinking.
[03:01:47.440 --> 03:01:51.040]   as that processes you, because you might be the first, but you're still going to,
[03:01:51.040 --> 03:01:55.360]   even the first person is going to know that I can't breathe and I'm, I'm dying. Everyone else
[03:01:55.360 --> 03:01:59.600]   is going to see the first few dying and then going to realize that is what's going to happen to them.
[03:01:59.600 --> 03:02:05.840]   And you've got those minutes, sometimes many minutes where you've got to contemplate that,
[03:02:05.840 --> 03:02:13.440]   that, and that's, that's in extreme pain and panic. And just think about how cruel that is.
[03:02:13.440 --> 03:02:17.040]   : While being humiliated all the way through.
[03:02:17.040 --> 03:02:24.320]   : While being humiliated all the way through. And so the inverted commas, humanity of, of,
[03:02:24.320 --> 03:02:31.280]   of the gas chambers is anything, but it's disgusting. And the fact that people could do this is just
[03:02:31.280 --> 03:02:38.160]   beyond horrific. And then the fact that you are taking your Jewish prisoners and getting them to cut off all
[03:02:38.160 --> 03:02:45.920]   the hair, pull out the teeth of the dead before you put them on a lift and incinerate them. If you go to
[03:02:45.920 --> 03:02:50.080]   Auschwitz now and you go to the collapse of the blown up gas chambers, which the Germans destroyed before
[03:02:50.080 --> 03:02:56.480]   the Russians overran them in January 45, you can still see some of the ash ponds and there are bits
[03:02:56.480 --> 03:03:04.800]   of bone there, but still there from the ash. It's just, it is utterly repulsive. And imagine arriving
[03:03:04.800 --> 03:03:08.240]   from that train on that incredibly long journey where you've had no comforts whatsoever. You've had,
[03:03:08.240 --> 03:03:12.400]   again, you've had humiliations and privations that, you know, the privations you've had to suffer
[03:03:12.400 --> 03:03:16.640]   as a result of that, you know, having to kind of defecate in a bucket in the corner in front of other
[03:03:16.640 --> 03:03:21.360]   people. It's just horrendous. And then you get there bewildered and immediately your kids are
[03:03:21.360 --> 03:03:24.800]   taken away from you or your, you know, husband and wife who've been married 20 years. They're
[03:03:24.800 --> 03:03:29.200]   separated just like that, sent off into different groups, straight to the gas chambers. I mean,
[03:03:29.200 --> 03:03:36.400]   you know, it is, the scale of cruelty is so immense. It's hard to fathom. And the thing that I find really
[03:03:36.400 --> 03:03:41.840]   difficult to reconcile, and this is where I think that, you know, the warning from history is important,
[03:03:42.400 --> 03:03:47.920]   is that Germany is such an amazing nation. You know, it's, it's, it's the, it's the country of
[03:03:47.920 --> 03:03:58.160]   Beethoven and Strauss and, and of Goethe and incredible art and culture and, and, and some of the greatest
[03:03:58.160 --> 03:04:05.120]   engineers and scientists have ever lived. And look how quickly it flipped into the descent of
[03:04:05.680 --> 03:04:14.000]   unspeakable inhumanity, which manifests itself in the Holocaust and the gas chambers and the executions
[03:04:14.000 --> 03:04:23.840]   into pits and tiny places and creeks in Lithuania or Ukraine or whatever. I mean, it's, it's, it's just
[03:04:23.840 --> 03:04:28.720]   horrendous. And, you know, this is from a nation, which a decade earlier had been a democracy.
[03:04:29.440 --> 03:04:33.920]   It seems like as a human civilization, we walked that soldier in instant line between good and evil.
[03:04:33.920 --> 03:04:34.320]   Yeah.
[03:04:34.320 --> 03:04:39.360]   Uh, it's, it's a thin line and we have to walk it carefully.
[03:04:39.360 --> 03:04:39.760]   Yes.
[03:04:39.760 --> 03:04:50.240]   So I, one of the great battles in, uh, in World War II on the Western front is Normandy.
[03:04:50.240 --> 03:04:57.680]   I have to talk to you about Normandy, uh, D-Day, the Normandy landings, the famous on June 6th,
[03:04:57.680 --> 03:05:05.360]   1944. This was a allied invasion of Nazi occupied Western Europe. What was the planning and those
[03:05:05.360 --> 03:05:09.360]   lengthy planning? What was the planning? What was the execution of the Normandy landings?
[03:05:09.360 --> 03:05:15.280]   Well, the decision to finally go into the, when the Americans joined the war in December 1941,
[03:05:15.280 --> 03:05:20.160]   there's the Arcadia conference a few days later, a week later between the British chiefs of staff
[03:05:20.160 --> 03:05:25.680]   and political leaders in Churchill and Roosevelt and his own chiefs of staff about what the policy
[03:05:25.680 --> 03:05:29.680]   should be. And the policy is to get American troops over to Europe as quickly as possible,
[03:05:29.680 --> 03:05:33.520]   get them over to Britain, get them training, um, and get them across the channel ASAP
[03:05:34.320 --> 03:05:40.640]   and, and start the liberation of Europe. But the reality is that, that, that in 1942,
[03:05:40.640 --> 03:05:43.680]   the Americans just aren't ready. You know, they've gone from this incredibly tiny army. They're still
[03:05:43.680 --> 03:05:48.320]   growing. They've got no battlefield experience. The British are still recovering the, you know,
[03:05:48.320 --> 03:05:53.040]   they're, they're good on the naval power. They're kind of increasingly good on air power. Um, but, but,
[03:05:53.040 --> 03:05:59.360]   but land power, they've had to kind of make up from the loss of their ally France and, and expand as
[03:05:59.360 --> 03:06:04.240]   well. So kind of ground zero for both America and Britain has been kind of June 1942.
[03:06:04.240 --> 03:06:09.840]   1940 when France is out and suddenly that's the strategic earthquake. And that's the,
[03:06:09.840 --> 03:06:14.400]   the issue that needs settling. And they need to just completely realign everything that they'd,
[03:06:14.400 --> 03:06:18.800]   they'd fought in 1939. They've got to start again, but it's also becomes clear that it's,
[03:06:18.800 --> 03:06:24.560]   they're not really ready in 1943 either. And one of the problems is, is that Molotov, who is the
[03:06:24.560 --> 03:06:28.880]   Soviet foreign minister has come over to Britain in May, 1942 and said, you know, we need you to kind
[03:06:28.880 --> 03:06:33.440]   of do your bit and get on the, get on the, on the campaign trail against the Germans and fight on the
[03:06:33.440 --> 03:06:36.480]   ground. And the British sort of go, well, yeah, but you know, cross-trail elevation is not really
[03:06:36.480 --> 03:06:40.240]   going to happen. We know we're doing that in North Africa at the moment. And then he goes over to
[03:06:40.240 --> 03:06:44.880]   Washington and, and, um, and the Americans go, you know, we are definitely going to go and take on the
[03:06:44.880 --> 03:06:49.600]   attack to the, uh, the Germans in 1942. They've made this promise. So the summer of 1942, it becomes
[03:06:49.600 --> 03:06:53.600]   clear that they can't keep that. So Churchill says, well, look, I've got, here's an idea. You know,
[03:06:53.600 --> 03:06:57.360]   we're in, we've got already got an army in, in Egypt. Why don't we land another one in
[03:06:57.360 --> 03:07:02.000]   Northwest Europe? We can Northwest Africa. We can, that's run by Vichy France, which is pro
[03:07:02.000 --> 03:07:08.560]   Axis French, um, colonies. Um, why don't we take that and we can do that. And then we can meet in
[03:07:08.560 --> 03:07:12.240]   the middle. We can pincer out and we can conquer the whole of North Africa. You can kill with two
[03:07:12.240 --> 03:07:16.240]   birds with one stone because you can get some experience fighting against Axis troops, you know,
[03:07:16.240 --> 03:07:21.120]   test some of your, your, your, your equipment and commanders, you know, what's not to like, and then
[03:07:21.120 --> 03:07:25.760]   we can sort of see how it goes. So this is a kind of opportunistic strategy. Whereas Americans are very much
