
[00:00:00.000 --> 00:00:02.000]   New on CuriosityStream.
[01:23:10.000 --> 01:23:13.000]   I think oftentimes people prioritize personal things too much.
[01:23:13.000 --> 01:23:22.000]   And so with the finances, I personally would not wait to marry depending on a financial situation, and I wouldn't wait to have children depending on finances.
[01:23:22.000 --> 01:23:29.000]   I think that both of those personal decisions are more important than finances, and you can always make the finances work.
[01:23:29.000 --> 01:23:37.000]   That said, of course, it's a lot easier to deal with children and all of the expenses and everything associated with that if you don't have any debt.
[01:23:37.000 --> 01:23:39.000]   Thank you all so much for calling in for today's show.
[01:23:39.000 --> 01:23:41.000]   I enjoyed talking about it with you.
[01:23:41.000 --> 01:23:48.000]   Look for Monday to launch of the new credit card course, and I hope that it will serve you effectively with some of these tools and strategies.
[01:23:49.000 --> 01:23:54.000]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[01:23:54.000 --> 01:24:02.000]   Whether you're making a traditional roasted turkey or spicy turkey tacos, your go-to shrimp cocktail, or your first Cajun risotto,
[01:24:02.000 --> 01:24:06.000]   Ralph's has all the freshest ingredients to embrace your traditions.
[01:24:06.000 --> 01:24:08.000]   Ralph's. Fresh for Everyone.
[01:24:08.000 --> 01:24:13.000]   Choose from a great selection of digital coupons and use them up to five times in one transaction.
[01:24:13.000 --> 01:24:15.000]   Check our app for details.
[01:24:15.000 --> 01:24:19.000]   Ralphs. Fresh for everyone.

