
[00:00:00.000 --> 00:00:08.000]   [no audio]
[01:11:03.000 --> 01:11:05.000]   even husbands and wives.
[01:11:05.000 --> 01:11:15.000]   I devoutly wish that when I was a young man I could have tolerated a 100% or doubly levered portfolio,
[01:11:15.000 --> 01:11:20.000]   but I don't believe there are any sentient beings in this quadrant of the galaxy capable of doing that.
[01:11:20.000 --> 01:11:26.000]   Well, unless you consider having a mortgage on your house.
[01:11:26.000 --> 01:11:31.000]   I mean, you could not have a mortgage on your house, and you'd have less to invest.
[01:11:31.000 --> 01:11:33.000]   If you have a mortgage on your house, you have a mortgage on your house.
[01:11:33.000 --> 01:11:39.000]   And one of the obvious things is tax efficiency and what tax brackets they're in.
[01:11:39.000 --> 01:11:44.000]   I have a friend who sold his business for a very large sum,
[01:11:44.000 --> 01:11:49.000]   and so most of his accounts are in the taxable--most of his assets are taxable.
[01:11:49.000 --> 01:11:54.000]   So in his case, he uses munis to reduce the tax burden,
[01:11:54.000 --> 01:12:05.000]   and he uses things like the whole stock market for his equities because that's a very tax-efficient holding.
[01:12:05.000 --> 01:12:12.000]   Here's a question for the panel about what major trends you have seen in the last 5 to 10 years.
[01:12:12.000 --> 01:12:15.000]   What do you think are here to stay or will grow?
[01:12:15.000 --> 01:12:26.000]   What new products, academic research, or legislation change will have the biggest effects on the gold-bed investment strategy?
[01:12:26.000 --> 01:12:31.000]   First, never use the word "product" in my presence.
[01:12:31.000 --> 01:12:35.000]   We aren't selling products, for God's sake.
[01:12:35.000 --> 01:12:37.000]   Actually, I banned the word when I was running Vanguard.
[01:12:37.000 --> 01:12:42.000]   You had to pay a $5 fine if you used it.
[01:12:42.000 --> 01:12:45.000]   You'd be surprised how the usage went to almost zero.
[01:12:45.000 --> 01:12:48.000]   I just think it's the wrong way to look at it.
[01:12:48.000 --> 01:12:50.000]   It's a great way to look at beer.
[01:12:50.000 --> 01:12:54.000]   It's a great way to look at, I don't know, toothpaste.
[01:12:54.000 --> 01:12:56.000]   It's a great way to look at bread.
[01:12:56.000 --> 01:12:58.000]   God knows what else.
[01:12:58.000 --> 01:13:00.000]   But we're not the product-selling business.
[01:13:00.000 --> 01:13:04.000]   I think we have created too many products in this business, far too many,
[01:13:04.000 --> 01:13:10.000]   because most "products" are created to enrich the provider of the service
[01:13:10.000 --> 01:13:13.000]   and not the consumer of the service.
[01:13:13.000 --> 01:13:16.000]   Wall Street creates products to make money for.
[01:13:16.000 --> 01:13:21.000]   Anybody want to spend a little time guessing who they create these new products for?
[01:13:21.000 --> 01:13:23.000]   To make money for themselves.
[01:13:23.000 --> 01:13:25.000]   I mean, this is not complicated.
[01:13:25.000 --> 01:13:27.000]   So, you can't.
[01:13:27.000 --> 01:13:34.000]   It is, I think, absolutely true that there is no way to improve on the oil market index fund.
[01:13:34.000 --> 01:13:35.000]   None.
[01:13:35.000 --> 01:13:36.000]   You can't.
[01:13:36.000 --> 01:13:42.000]   The only way to beat the market is to have an individual strategy that can win or lose.
[01:13:42.000 --> 01:13:45.000]   But overall, as we've said a thousand times here,
[01:13:45.000 --> 01:13:51.000]   I think you've all gotten the message even before you came all the way here these last couple of days,
[01:13:51.000 --> 01:13:53.000]   it is the universal strategy.
[01:13:53.000 --> 01:13:54.000]   And it cannot be.
[01:13:54.000 --> 01:13:56.000]   It's mathematically correct.
[01:13:56.000 --> 01:13:58.000]   It is a tautology.
[01:13:58.000 --> 01:14:00.000]   And nobody can outdo that.
[01:14:00.000 --> 01:14:03.000]   So, I hope we won't try.
[01:14:03.000 --> 01:14:11.000]   Because whenever you try, you know, I don't much like, I gave actually a height of a boom back in 2007,
[01:14:11.000 --> 01:14:15.000]   talking about financial innovation at the Federal Reserve back in Philadelphia.
[01:14:15.000 --> 01:14:18.000]   I think this is in my book.
[01:14:18.000 --> 01:14:19.000]   Don't count on it, maybe.
[01:14:19.000 --> 01:14:22.000]   One of the two books, probably the latest book.
[01:14:22.000 --> 01:14:27.000]   And I took a great view of innovation in America.
[01:14:27.000 --> 01:14:30.000]   Products, services, all those kind of things.
[01:14:30.000 --> 01:14:31.000]   Technology.
[01:14:31.000 --> 01:14:33.000]   And a very dim view of it today.
[01:14:33.000 --> 01:14:36.000]   And the next thing I knew, the roof had fallen down.
[01:14:36.000 --> 01:14:37.000]   And it all collapsed.
[01:14:37.000 --> 01:14:38.000]   All those great innovations.
[01:14:38.000 --> 01:14:39.000]   All those great derivatives.
[01:14:39.000 --> 01:14:42.000]   All those mortgage-backed securities.
[01:14:42.000 --> 01:14:46.000]   And all those phony, back where they call them,
[01:14:46.000 --> 01:14:48.000]   banks have them in their books.
[01:14:48.000 --> 01:14:52.000]   They said they would guarantee that the principal,
[01:14:52.000 --> 01:14:56.000]   the word, the specialists on the special investment.
[01:14:56.000 --> 01:15:03.000]   And the banks were putting them out as money market good to the clients.
[01:15:03.000 --> 01:15:06.000]   But they weren't money market good because of their asset bank.
[01:15:06.000 --> 01:15:08.000]   And they had to eat a lot of that stuff.
[01:15:08.000 --> 01:15:13.000]   Poor old Chuck Prince at Citibank, who had to keep dancing as long as the music was playing.
[01:15:13.000 --> 01:15:16.000]   I'm sure he'd like to take that one back.
[01:15:16.000 --> 01:15:18.000]   You know, suffered greatly from it.
[01:15:18.000 --> 01:15:22.000]   You know, thinking they had to keep in the flow of the market.
[01:15:22.000 --> 01:15:26.000]   And outdo it, products that they would buy.
[01:15:26.000 --> 01:15:30.000]   And it's all just a charade.
[01:15:30.000 --> 01:15:33.000]   It's a phony business, the financial business.
[01:15:33.000 --> 01:15:35.000]   Because we're all trading with one another.
[01:15:35.000 --> 01:15:41.000]   And, as I mentioned in one of my books,
[01:15:41.000 --> 01:15:44.000]   Boyd Blankfein, Goldman Sachs, and everybody else says,
[01:15:44.000 --> 01:15:47.000]   "The financial business is a great business.
[01:15:47.000 --> 01:15:50.000]   We provide new capital to industry.
[01:15:50.000 --> 01:15:53.000]   We make it possible for innovation, and blah, blah, blah, blah."
[01:15:53.000 --> 01:15:55.000]   And it's true.
[01:15:55.000 --> 01:16:00.000]   And the market produces about $250 billion, I think the number is.
[01:16:00.000 --> 01:16:03.000]   Providing new capital, the classic function of finance.
[01:16:03.000 --> 01:16:08.000]   Boiling the financial system, greasing the wheels of capitalism.
[01:16:08.000 --> 01:16:10.000]   All great.
[01:16:10.000 --> 01:16:12.000]   And compared to that $250 billion,
[01:16:12.000 --> 01:16:16.000]   we trade with one another to the tune of $36 trillion a year.
[01:16:16.000 --> 01:16:22.000]   So, investment accounts for, what is that, six-tenths of one percent
[01:16:22.000 --> 01:16:24.000]   of what we do in the marketplace.
[01:16:24.000 --> 01:16:28.000]   And speculation accounts for 99.4 percent.
[01:16:28.000 --> 01:16:32.000]   Is this a great financial system, or what?
[01:16:32.000 --> 01:16:37.000]   Jack, let me see if I understand what you're saying.
[01:16:37.000 --> 01:16:39.000]   I knew I didn't make it clear enough.
[01:16:39.000 --> 01:16:43.000]   I know a little story about when Jack banned the word "product."
[01:16:43.000 --> 01:16:45.000]   He also banned the word "sales."
[01:16:45.000 --> 01:16:50.000]   And so, Bill McNabb at the time was head of the Institutional Sales Department.
[01:16:50.000 --> 01:16:55.000]   And so, from that day forward, I've been telling him he was head of Purchase Facilitation.
[01:16:55.000 --> 01:17:00.000]   [laughter]
[01:17:00.000 --> 01:17:04.000]   I like it better, but it won't fly.
[01:17:04.000 --> 01:17:07.000]   I am concerned with the development over the last 10 years.
[01:17:07.000 --> 01:17:12.000]   And you might have picked it up on my presentation about the so-called smart beta.
[01:17:12.000 --> 01:17:19.000]   I mean, the one line on there that you saw ETF.com being quoted as anything but market cap weighted.
[01:17:19.000 --> 01:17:26.000]   And, you know, I agree with Jack that the market cap weighting is the one investment
[01:17:26.000 --> 01:17:31.000]   that has that topology proving it as the correct way to invest.
[01:17:31.000 --> 01:17:36.000]   It doesn't mean that other things might not outperform, but we'll know after the fact.
[01:17:36.000 --> 01:17:39.000]   We won't know before the fact.
[01:17:39.000 --> 01:17:44.000]   I mean, you know, what's happened in the past 10 years, I mean, I don't think there's anything new in the world.
[01:17:44.000 --> 01:17:50.000]   The only thing that's new in the world is the history that we haven't read.
[01:17:50.000 --> 01:17:52.000]   Human nature is not going to change.
[01:17:52.000 --> 01:17:54.000]   There's going to be bubbles.
[01:17:54.000 --> 01:17:57.000]   There's going to be panics.
[01:17:57.000 --> 01:18:00.000]   And, you know, puppies will continue to crawl into your lap and fall asleep.
[01:18:00.000 --> 01:18:05.000]   I don't think that there's anything new in the past 10 years in financing.
[01:18:05.000 --> 01:18:11.000]   It doesn't take much confidence in solving this individual investor.
[01:18:11.000 --> 01:18:14.000]   Okay, this will be the last question for this panel.
[01:18:14.000 --> 01:18:18.000]   And this is for Mr. Vogel from John Becker.
[01:18:18.000 --> 01:18:25.000]   I would like to have you ask Mr. Vogel if he's a stickler for periodic portfolio reallocation
[01:18:25.000 --> 01:18:33.000]   or if he'll just believe you should set it up one time and let the market move it all around at will.
[01:18:33.000 --> 01:18:40.000]   I don't mean to accrue a quipcake, but it all depends.
[01:18:41.000 --> 01:18:43.000]   [ Laughter ]
[01:18:43.000 --> 01:18:50.000]   [ Applause ]
[01:18:50.000 --> 01:18:55.000]   [ Silence ]
[01:18:55.000 --> 01:19:05.000]   [BLANK_AUDIO]

