
[00:00:00.000 --> 00:00:01.660]   So it's mid-summer.
[01:08:42.300 --> 01:08:44.740]   - You need a sufficient quantity of publications
[01:08:44.740 --> 01:08:47.220]   that are also in really good places.
[01:08:47.220 --> 01:08:49.020]   So it's not necessarily a trade-off,
[01:08:49.020 --> 01:08:50.620]   it's just like a really hard goal.
[01:08:50.620 --> 01:08:52.060]   My general advice here
[01:08:52.060 --> 01:08:56.860]   is working towards promotion in academia,
[01:08:56.860 --> 01:09:00.340]   you need to just work kind of relentlessly
[01:09:00.340 --> 01:09:03.340]   towards what it is that is valuable right now.
[01:09:03.340 --> 01:09:06.340]   Don't worry about if that makes sense or not.
[01:09:06.340 --> 01:09:08.020]   Don't get upset about it.
[01:09:08.020 --> 01:09:10.900]   Don't convince yourself it's somehow unfair
[01:09:10.900 --> 01:09:12.580]   or it's not measuring the right things.
[01:09:12.580 --> 01:09:14.980]   You can be worried about that post-promotion.
[01:09:14.980 --> 01:09:16.420]   Pre-promotion, you have to see it
[01:09:16.420 --> 01:09:18.060]   almost like an arbitrary challenge.
[01:09:18.060 --> 01:09:21.140]   I have to do X, what's the best way to get the X?
[01:09:21.140 --> 01:09:23.620]   And for, again, most research institutions,
[01:09:23.620 --> 01:09:26.380]   X is gonna be a sufficient number of papers
[01:09:26.380 --> 01:09:30.300]   in sufficiently good publication venues.
[01:09:30.300 --> 01:09:33.700]   You need specific numbers for each of those.
[01:09:33.700 --> 01:09:36.780]   Like how many is a sufficient number of papers for my field?
[01:09:36.780 --> 01:09:41.020]   What is the threshold for a sufficiently good venue?
[01:09:41.020 --> 01:09:43.180]   You get these by looking at recent successful promotion
[01:09:43.180 --> 01:09:44.340]   cases at your university,
[01:09:44.340 --> 01:09:45.780]   that's typically the best way to do it.
[01:09:45.780 --> 01:09:47.140]   So you have to have crystal clear targets.
[01:09:47.140 --> 01:09:50.660]   Now, again, you can complain about these targets later.
[01:09:50.660 --> 01:09:51.740]   You can rail against like,
[01:09:51.740 --> 01:09:53.380]   this is looking at the wrong thing
[01:09:53.380 --> 01:09:56.140]   and this isn't measuring what's valuable
[01:09:56.140 --> 01:09:58.820]   and you can pre-reduce dissidence about struggles
[01:09:58.820 --> 01:10:01.940]   or whatever you wanna do, do that all later.
[01:10:01.940 --> 01:10:02.980]   Now we just want numbers.
[01:10:02.980 --> 01:10:06.300]   This many papers in these places.
[01:10:06.300 --> 01:10:08.820]   It's evidence-based planning.
[01:10:08.820 --> 01:10:10.420]   All right, once you have those numbers,
[01:10:10.420 --> 01:10:12.820]   now we say, what's the most sustainable way to get there?
[01:10:12.820 --> 01:10:15.420]   And here's where slow productivity enters the scene.
[01:10:15.420 --> 01:10:17.140]   All right, I really need to do six papers
[01:10:17.140 --> 01:10:18.420]   in these type of journals.
[01:10:18.420 --> 01:10:21.300]   Now we can use slow productivity to get there
[01:10:21.300 --> 01:10:23.380]   in the most sustainable way possible, right?
[01:10:23.380 --> 01:10:25.500]   All the principles become relevant here.
[01:10:25.500 --> 01:10:29.580]   Obsess over quality, super important in academia.
[01:10:29.580 --> 01:10:32.620]   This means something very specific.
[01:10:32.620 --> 01:10:36.220]   Papers that can get into venues of this level of quality.
[01:10:36.220 --> 01:10:38.500]   Like that's specifically what this means.
[01:10:38.500 --> 01:10:40.140]   And you have to figure out the reality
[01:10:40.140 --> 01:10:41.180]   of how does that happen?
[01:10:41.180 --> 01:10:42.300]   Do not write your own story.
[01:10:42.300 --> 01:10:44.140]   You gotta work with collaborators
[01:10:44.140 --> 01:10:45.660]   who publish in those places.
[01:10:45.660 --> 01:10:48.380]   You have to read the papers in these places
[01:10:48.380 --> 01:10:50.780]   and say, what is really needed to get a paper here?
[01:10:50.780 --> 01:10:52.820]   You have to obsess over that.
[01:10:52.820 --> 01:10:54.580]   It's probably much harder than you think, right?
[01:10:54.580 --> 01:10:56.740]   So you have to obsess over quality
[01:10:56.740 --> 01:10:58.620]   when looking for a promotion.
[01:10:58.620 --> 01:11:00.580]   What about doing fewer things?
[01:11:00.580 --> 01:11:03.260]   Also really critical here, right?
[01:11:03.260 --> 01:11:04.900]   These are academically demanding,
[01:11:04.900 --> 01:11:06.300]   cognitively demanding things you're doing.
[01:11:06.300 --> 01:11:08.420]   So your work in progress limits need to be really small.
[01:11:08.420 --> 01:11:10.740]   It's like, I'm working actively on this paper
[01:11:10.740 --> 01:11:13.900]   and I'm preparing this paper and that's it, right?
[01:11:13.900 --> 01:11:15.900]   It's like, I'm focusing really intensely
[01:11:15.900 --> 01:11:18.020]   on a small number of things.
[01:11:18.020 --> 01:11:19.580]   As you were doing, keep doing.
[01:11:19.580 --> 01:11:21.260]   I'm keeping my service obligations low.
[01:11:21.260 --> 01:11:22.620]   I'm being a bit of a pain.
[01:11:22.620 --> 01:11:25.540]   I could be useful to the department after promotion.
[01:11:25.540 --> 01:11:27.420]   I could be useful to the university after promotion.
[01:11:27.420 --> 01:11:29.180]   Now I have to get these papers.
[01:11:29.180 --> 01:11:30.940]   You focus on a small number of things at a time
[01:11:30.940 --> 01:11:34.340]   and try to do them very well, critical for this period.
[01:11:34.340 --> 01:11:36.340]   What about work at a natural pace?
[01:11:36.340 --> 01:11:38.460]   Also critical, especially in academia,
[01:11:38.460 --> 01:11:40.940]   you need this sort of up and down intensity
[01:11:40.940 --> 01:11:43.300]   so you don't burn yourself out.
[01:11:43.300 --> 01:11:44.660]   So what I recommend, for example,
[01:11:44.660 --> 01:11:47.140]   is in the two to four week period
[01:11:47.140 --> 01:11:51.180]   following the submission of a paper,
[01:11:51.180 --> 01:11:53.140]   you have a severe wind down.
[01:11:53.140 --> 01:11:56.100]   Okay, I'm really like cutting back for a couple of weeks.
[01:11:56.100 --> 01:11:57.740]   I can do no work for a week at all,
[01:11:57.740 --> 01:11:58.980]   except for like my classes.
[01:11:58.980 --> 01:11:59.820]   And then I'm just gonna be doing
[01:11:59.820 --> 01:12:01.620]   some like background thinking and conversations.
[01:12:01.620 --> 01:12:03.780]   I am going to recharge and refresh,
[01:12:03.780 --> 01:12:06.460]   expose myself to ideas, get re-inspired,
[01:12:06.460 --> 01:12:07.740]   catch up on journal reading,
[01:12:07.740 --> 01:12:11.740]   finish working at three every day and go exercise instead.
[01:12:11.740 --> 01:12:13.100]   Give yourself two to four weeks
[01:12:13.100 --> 01:12:14.780]   before you then begin like ramping up
[01:12:14.780 --> 01:12:16.700]   more intensely on the next paper.
[01:12:16.700 --> 01:12:19.260]   So academics have to really lean into that seasonality
[01:12:19.260 --> 01:12:23.020]   to prevent them having a sort of brain exhaustion.
[01:12:23.020 --> 01:12:25.220]   All right, so the three principles of slow productivity,
[01:12:25.220 --> 01:12:27.140]   not surprisingly, given that, you know,
[01:12:27.140 --> 01:12:29.820]   I'm an academic who has gone through all these levels,
[01:12:29.820 --> 01:12:30.860]   assistant to associate,
[01:12:30.860 --> 01:12:32.660]   the more recently associate the full,
[01:12:32.660 --> 01:12:34.500]   not surprisingly, there's a congruence
[01:12:34.500 --> 01:12:36.980]   between the principles of slow productivity in my book
[01:12:36.980 --> 01:12:39.820]   and what's necessary to be successful in academia.
[01:12:39.820 --> 01:12:42.500]   So read that book, embody those rules,
[01:12:42.500 --> 01:12:43.540]   and make sure you're aiming
[01:12:43.540 --> 01:12:46.340]   towards a realistic assessment of what's needed.
[01:12:46.340 --> 01:12:49.020]   Once you get 10, I'll commiserate with you all day
[01:12:49.020 --> 01:12:50.740]   about whether it's fair or makes sense or not.
[01:12:50.740 --> 01:12:53.060]   But if you get obsessed on that story now,
[01:12:53.060 --> 01:12:56.060]   you're gonna get resentful.
[01:12:56.060 --> 01:12:59.380]   Your energy is gonna go towards like reducing dissidence.
[01:12:59.380 --> 01:13:01.900]   I wanna just like really establish why the system is bad.
[01:13:01.900 --> 01:13:04.460]   So if I don't get promoted, like I don't feel bad about it,
[01:13:04.460 --> 01:13:07.060]   that's all just wasted energy, right?
[01:13:07.060 --> 01:13:09.580]   Fair or not, here's what you need to do.
[01:13:09.580 --> 01:13:11.020]   Let's use slow productivity to get there
[01:13:11.020 --> 01:13:13.940]   as sustainable as possible.
[01:13:13.940 --> 01:13:16.180]   All right, Jessie, let's hear that music one more time.
[01:13:16.860 --> 01:13:19.460]   (upbeat music)
[01:13:19.460 --> 01:13:27.460]   - You know, slow productivity was selected,
[01:13:27.460 --> 01:13:29.220]   I don't know if it was announced yet or not.
[01:13:29.220 --> 01:13:32.620]   You know, the Next Big Idea Club,
[01:13:32.620 --> 01:13:35.100]   it's this company, it's like Gladwell and Dan Pink
[01:13:35.100 --> 01:13:37.300]   and Adam Grant, where you subscribe.
[01:13:37.300 --> 01:13:38.340]   And every quarter they're like,
[01:13:38.340 --> 01:13:40.140]   "Here's the two best idea books of the quarter."
[01:13:40.140 --> 01:13:42.100]   And they send it to all their subscribers.
[01:13:42.100 --> 01:13:43.940]   And they have this like long process of like,
[01:13:43.940 --> 01:13:47.580]   "Here's our nominees, then here's the finalists.
[01:13:47.580 --> 01:13:48.900]   "And then here's like the books,
[01:13:48.900 --> 01:13:50.420]   "the two books we think are the best."
[01:13:50.420 --> 01:13:53.700]   Slow productivity was chosen for the club.
[01:13:53.700 --> 01:13:54.540]   - Oh, wow.
[01:13:54.540 --> 01:13:55.740]   - Yeah, so all the subscribers are gonna get
[01:13:55.740 --> 01:13:57.620]   a copy of Slow Productivity.
[01:13:57.620 --> 01:14:00.540]   So there we go, those guys like that book too.
[01:14:00.540 --> 01:14:01.900]   You gotta read it if you have it.
[01:14:01.900 --> 01:14:03.700]   All right, I think we have a call, is that right?
[01:14:03.700 --> 01:14:05.340]   - Yep. - All right, let's hear it.
[01:14:05.340 --> 01:14:11.300]   - Cal, your content has been consistently excellent,
[01:14:11.300 --> 01:14:12.380]   so thank you.
[01:14:12.380 --> 01:14:16.020]   Your book, Slow Productivity, was also outstanding.
[01:14:16.020 --> 01:14:20.220]   My name is Etienne Huard, I'm a Benedictine monk,
[01:14:20.220 --> 01:14:22.700]   from whom you've actually answered a few questions before.
[01:14:22.700 --> 01:14:23.540]   Thank you.
[01:14:23.540 --> 01:14:26.540]   I use block scheduling as fast as possible
[01:14:26.540 --> 01:14:29.740]   and often teach it to students under my care.
[01:14:29.740 --> 01:14:34.060]   Now, recently I've been noticing AI-driven calendars,
[01:14:34.060 --> 01:14:36.580]   calendars like Motion and Reclaim
[01:14:36.580 --> 01:14:40.940]   that use, I guess, a kind of block scheduling principle,
[01:14:40.940 --> 01:14:44.060]   but automatically based on settings,
[01:14:44.060 --> 01:14:46.620]   levels of importance, time, et cetera,
[01:14:46.620 --> 01:14:49.020]   schedule them in appropriate places.
[01:14:49.020 --> 01:14:52.060]   So for example, if I cancel a one-hour meeting
[01:14:52.060 --> 01:14:54.180]   I was to have in the afternoon,
[01:14:54.180 --> 01:14:57.340]   the AI program would then fill that spot
[01:14:57.340 --> 01:15:01.660]   with a task that fits the timeframe and level of urgency.
[01:15:01.660 --> 01:15:07.300]   I'm curious about your thoughts concerning such technology
[01:15:07.300 --> 01:15:09.700]   and its integration with the deep life
[01:15:09.700 --> 01:15:12.140]   and slow productivity.
[01:15:12.140 --> 01:15:13.060]   Many thanks.
[01:15:13.060 --> 01:15:16.700]   - All right, it's a good question.
[01:15:16.700 --> 01:15:19.660]   I have been following these sort of AI innovations
[01:15:19.660 --> 01:15:20.940]   and AI scheduling.
[01:15:20.940 --> 01:15:25.940]   If you are a practitioner of the type of ideas
[01:15:25.940 --> 01:15:27.500]   we talked about today in my deep dive,
[01:15:27.500 --> 01:15:29.500]   and in particular, multi-scale planning,
[01:15:29.500 --> 01:15:32.260]   AI-based scheduling systems
[01:15:32.260 --> 01:15:35.340]   are superfluous and unnecessary, right?
[01:15:36.220 --> 01:15:40.020]   It doesn't take that much time to build a schedule.
[01:15:40.020 --> 01:15:43.420]   It doesn't take that much time to adjust your schedule
[01:15:43.420 --> 01:15:44.580]   when something changes.
[01:15:44.580 --> 01:15:48.660]   To automate all of that is saving you, at best,
[01:15:48.660 --> 01:15:52.780]   25 minutes in the course of a 40-hour workweek.
[01:15:52.780 --> 01:15:53.860]   It's negligible.
[01:15:53.860 --> 01:15:56.100]   What do you lose?
[01:15:56.100 --> 01:15:58.420]   The AI is way worse than you, right?
[01:15:58.420 --> 01:16:00.980]   I mean, think about our multi-scale planning philosophy.
[01:16:00.980 --> 01:16:04.180]   You have these large, bigger ideas
[01:16:04.180 --> 01:16:06.340]   and visions for what you wanna do.
[01:16:06.340 --> 01:16:08.700]   You have this weekly plan that kind of balances that
[01:16:08.700 --> 01:16:11.420]   and the other things that are going on in your week.
[01:16:11.420 --> 01:16:13.260]   You have your view of the particular day
[01:16:13.260 --> 01:16:14.620]   and what you're trying to fit into that day,
[01:16:14.620 --> 01:16:18.140]   and you have all the subjective factors,
[01:16:18.140 --> 01:16:19.380]   such as how you're doing, your energy,
[01:16:19.380 --> 01:16:20.820]   how you're feeling, what's really happening,
[01:16:20.820 --> 01:16:22.260]   what else is happening in the world.
[01:16:22.260 --> 01:16:23.460]   All these things come together
[01:16:23.460 --> 01:16:26.300]   to make your brain really good at saying,
[01:16:26.300 --> 01:16:29.420]   "Hey, how should I fill in this block that just got freed?"
[01:16:29.420 --> 01:16:30.700]   Or looking at your week and being like,
[01:16:30.700 --> 01:16:31.820]   "What do I wanna work on this week
[01:16:31.820 --> 01:16:33.620]   and when I wanna get it done?"
[01:16:33.620 --> 01:16:35.780]   Your brain is fantastic at that,
[01:16:35.780 --> 01:16:38.820]   and you gain very little by trying to automate it.
[01:16:38.820 --> 01:16:40.460]   And more importantly,
[01:16:40.460 --> 01:16:44.220]   you want to be actively involved in your scheduling.
[01:16:44.220 --> 01:16:46.700]   It's important for you to understand
[01:16:46.700 --> 01:16:48.220]   what you're working on, why you're working on it,
[01:16:48.220 --> 01:16:50.460]   how long things take, what your vision is.
[01:16:50.460 --> 01:16:52.940]   To me, this sort of AI-scheduled future
[01:16:52.940 --> 01:16:55.900]   sort of personifies this sort of worst vision
[01:16:55.900 --> 01:16:58.740]   of widget-cranking reduction of knowledge workers
[01:16:58.740 --> 01:17:03.740]   to sort of assembly line stations.
[01:17:03.740 --> 01:17:06.420]   It's this sort of worst pseudo-productivity notion
[01:17:06.420 --> 01:17:08.460]   of just like, "Be busy, more is better than less."
[01:17:08.460 --> 01:17:10.540]   And just, you always have to have something to do.
[01:17:10.540 --> 01:17:12.380]   You're putting steering wheels on the Model T,
[01:17:12.380 --> 01:17:14.820]   you're putting the trunk door
[01:17:14.820 --> 01:17:16.540]   on the back of the Ford Tauruses.
[01:17:16.540 --> 01:17:18.020]   It kind of reduces knowledge work
[01:17:18.020 --> 01:17:19.980]   into this more sort of just systematic,
[01:17:19.980 --> 01:17:22.100]   here's a new thing, crank, here's another thing, crank.
[01:17:22.100 --> 01:17:25.140]   And I see this more as like an opera.
[01:17:25.140 --> 01:17:26.460]   There's different acts to it.
[01:17:26.460 --> 01:17:30.060]   You're figuring out, this plays into my grand goal,
[01:17:30.060 --> 01:17:32.580]   and this is smaller, and you're playing with these pieces
[01:17:32.580 --> 01:17:35.660]   and trying to build this performance of your work week
[01:17:35.660 --> 01:17:38.180]   that is useful and beautiful and interesting
[01:17:38.180 --> 01:17:39.860]   and technically adept.
[01:17:39.860 --> 01:17:40.900]   So I don't like this idea
[01:17:40.900 --> 01:17:42.580]   of having machines schedule things for you,
[01:17:42.580 --> 01:17:44.860]   and it doesn't solve a problem we have.
[01:17:44.860 --> 01:17:47.380]   If we're listing the biggest hits
[01:17:47.380 --> 01:17:51.700]   to productivity in the knowledge workers week,
[01:17:51.700 --> 01:17:53.220]   nowhere near the top of that list
[01:17:53.220 --> 01:17:55.020]   are you gonna see time spent thinking about
[01:17:55.020 --> 01:17:56.540]   what to put on your calendar.
[01:17:56.540 --> 01:17:58.700]   No, it's context switching.
[01:17:58.700 --> 01:18:00.900]   It's the back and forth conversations over email.
[01:18:00.900 --> 01:18:02.500]   It's the excessive meetings.
[01:18:02.500 --> 01:18:04.540]   It's the administrative overhead aggregation
[01:18:04.540 --> 01:18:06.460]   that comes from having too many active projects
[01:18:06.460 --> 01:18:07.300]   on the same time.
[01:18:07.300 --> 01:18:08.340]   These things are huge killers
[01:18:08.340 --> 01:18:09.420]   of your ability to concentrate.
[01:18:09.420 --> 01:18:10.860]   They're burning everybody out.
[01:18:10.860 --> 01:18:11.820]   That's what matters.
[01:18:11.820 --> 01:18:13.940]   That's where, if we're gonna solve a problem with AI,
[01:18:13.940 --> 01:18:15.340]   solve those problems.
[01:18:15.340 --> 01:18:21.620]   Learning that you like to do meetings at three on Tuesdays,
[01:18:21.780 --> 01:18:25.260]   like this is a solution looking for a problem.
[01:18:25.260 --> 01:18:26.700]   So I'm not that interested in those tools.
[01:18:26.700 --> 01:18:28.100]   So I appreciate the question
[01:18:28.100 --> 01:18:30.580]   'cause there are a lot of those tools out there,
[01:18:30.580 --> 01:18:31.900]   and it's not something I would spend a lot of time
[01:18:31.900 --> 01:18:34.100]   thinking about if I was you.
[01:18:34.100 --> 01:18:37.580]   All right, so we've got a good final segment coming up
[01:18:37.580 --> 01:18:38.980]   and getting to the books I read in July,
[01:18:38.980 --> 01:18:41.340]   but first let's hear from another sponsor.
[01:18:41.340 --> 01:18:44.260]   So I heard a statistic, Jesse,
[01:18:44.260 --> 01:18:46.340]   that was pretty surprising to me.
[01:18:46.340 --> 01:18:51.340]   Netflix has more than 18,000 titles in their library.
[01:18:52.180 --> 01:18:55.060]   But only something like 6,000 of those titles
[01:18:55.060 --> 01:18:59.020]   are available in the US.
[01:18:59.020 --> 01:19:03.060]   So you are missing out on thousands of great shows
[01:19:03.060 --> 01:19:06.580]   when you are using Netflix in the US.
[01:19:06.580 --> 01:19:09.540]   That is unless you are using ExpressVPN.
[01:19:09.540 --> 01:19:11.860]   ExpressVPN is a product I've been talking about
[01:19:11.860 --> 01:19:12.700]   for a long time.
[01:19:12.700 --> 01:19:14.300]   It's my preferred VPN.
[01:19:14.300 --> 01:19:16.300]   You should be using a VPN in general.
[01:19:16.300 --> 01:19:19.700]   It's a way to regain some privacy
[01:19:19.700 --> 01:19:21.820]   over what sites and services you're accessing,
[01:19:21.820 --> 01:19:23.180]   whether it's like at home
[01:19:23.180 --> 01:19:24.820]   and your cable provider is looking at this,
[01:19:24.820 --> 01:19:25.700]   or you're on the road
[01:19:25.700 --> 01:19:27.860]   and people are sniffing these packets out of the air.
[01:19:27.860 --> 01:19:29.780]   But there's this cool other benefit you get
[01:19:29.780 --> 01:19:31.100]   from using a VPN,
[01:19:31.100 --> 01:19:33.980]   which is if you connect to a VPN server
[01:19:33.980 --> 01:19:35.180]   in a different country,
[01:19:35.180 --> 01:19:39.660]   you can gain access to services or content
[01:19:39.660 --> 01:19:42.020]   that's only available in that country.
[01:19:42.020 --> 01:19:43.580]   So like, for example, on Netflix,
[01:19:43.580 --> 01:19:45.740]   I was messing around with this the other day.
[01:19:45.740 --> 01:19:50.380]   If you connect to an ExpressVPN server in the UK,
[01:19:50.380 --> 01:19:52.340]   there are some like really cool shows
[01:19:52.340 --> 01:19:54.060]   that are available on Netflix in the UK,
[01:19:54.060 --> 01:19:55.100]   but not in the US.
[01:19:55.100 --> 01:19:57.460]   For example, like "Rick and Morty".
[01:19:57.460 --> 01:19:58.300]   It's a really cool cartoon.
[01:19:58.300 --> 01:20:00.420]   It's available in the UK, not in the US.
[01:20:00.420 --> 01:20:02.780]   The new drama, the FX drama "Fargo",
[01:20:02.780 --> 01:20:06.860]   the sort of the dramatization of the Coen Brothers movie.
[01:20:06.860 --> 01:20:08.060]   UK Netflix, yes.
[01:20:08.060 --> 01:20:08.980]   US Netflix, no.
[01:20:08.980 --> 01:20:10.820]   So if you just connect to a VPN server,
[01:20:10.820 --> 01:20:12.940]   an ExpressVPN server in UK,
[01:20:12.940 --> 01:20:13.780]   all that's available.
[01:20:13.780 --> 01:20:16.700]   So it's kind of like a cool extra benefit
[01:20:16.700 --> 01:20:19.060]   you can get from using a VPN.
[01:20:19.060 --> 01:20:23.500]   Now, as I've said, if you're going to use a VPN,
[01:20:23.500 --> 01:20:25.620]   I recommend ExpressVPN.
[01:20:25.620 --> 01:20:26.460]   It's easy to use.
[01:20:26.460 --> 01:20:27.300]   You just fire up the app
[01:20:27.300 --> 01:20:29.020]   and click one button to change locations.
[01:20:29.020 --> 01:20:30.780]   It works on all of your devices,
[01:20:30.780 --> 01:20:33.740]   phones, laptops, tablets, smart TVs, and more.
[01:20:33.740 --> 01:20:35.820]   Super fast, right?
[01:20:35.820 --> 01:20:37.340]   They have a lot of bandwidth, fast servers.
[01:20:37.340 --> 01:20:40.060]   You can stream in HD through a VPN server
[01:20:40.060 --> 01:20:41.060]   with zero buffering.
[01:20:41.060 --> 01:20:42.500]   You don't even know you're using it.
[01:20:42.500 --> 01:20:45.140]   It was rated number one by tech reviewers
[01:20:45.140 --> 01:20:47.940]   at places like CNET and The Verge.
[01:20:47.940 --> 01:20:50.740]   And again, you get all these privacy benefits
[01:20:50.740 --> 01:20:52.980]   from connecting in an encrypted tunnel
[01:20:52.980 --> 01:20:53.900]   through a VPN server.
[01:20:53.900 --> 01:20:57.180]   People nearby don't know what you're actually using.
[01:20:57.180 --> 01:20:58.700]   Right, so I'm a big fan of ExpressVPN,
[01:20:58.700 --> 01:21:00.420]   both for privacy and for cool things
[01:21:00.420 --> 01:21:03.660]   like finding shows that aren't available in your location.
[01:21:03.660 --> 01:21:07.160]   So be smart and stop paying full price
[01:21:07.160 --> 01:21:08.140]   for streaming services
[01:21:08.140 --> 01:21:11.020]   and only getting access to a fraction of their content.
[01:21:11.020 --> 01:21:15.500]   Get your money's worth at expressvpn.com/deep.
[01:21:15.500 --> 01:21:19.940]   Don't forget to use my link at expressvpn.com/deep
[01:21:19.940 --> 01:21:24.040]   to get an extra three months free of ExpressVPN.
[01:21:24.040 --> 01:21:29.580]   But I also wanna talk about my friends at ZocDoc.
[01:21:29.580 --> 01:21:31.660]   Look, I'm going to the dentist tomorrow.
[01:21:31.660 --> 01:21:35.540]   Got me thinking, how do you do things like find a dentist?
[01:21:35.540 --> 01:21:37.060]   Or like, let's say you need a dermatologist.
[01:21:37.060 --> 01:21:39.340]   How do you find a dermatologist to go to?
[01:21:39.340 --> 01:21:40.580]   Let's say you need a podiatrist.
[01:21:40.580 --> 01:21:41.580]   Your foot's hurting you.
[01:21:41.580 --> 01:21:44.260]   How does one go about finding a podiatrist, right?
[01:21:44.260 --> 01:21:45.460]   I think for my generation,
[01:21:45.460 --> 01:21:47.660]   these are all these things that fall into the categories
[01:21:47.660 --> 01:21:51.800]   of like adult things that our parents just seem to do.
[01:21:51.800 --> 01:21:53.240]   And now we have to do them
[01:21:53.240 --> 01:21:55.280]   and we have no idea how to go about it.
[01:21:55.280 --> 01:21:57.540]   Well, this is where ZocDoc enters the scene.
[01:21:57.540 --> 01:21:59.100]   It's an idea that makes so much sense.
[01:21:59.100 --> 01:22:01.260]   I can't believe it hasn't been around longer.
[01:22:01.260 --> 01:22:03.440]   ZocDoc is a free app and website
[01:22:03.440 --> 01:22:05.300]   where you can search and compare
[01:22:05.300 --> 01:22:08.200]   high quality in-network doctors,
[01:22:08.200 --> 01:22:09.820]   choose the right one for your needs
[01:22:09.820 --> 01:22:13.300]   and click to instantly book an appointment, right?
[01:22:13.300 --> 01:22:15.340]   We're talking about in-network appointments
[01:22:15.340 --> 01:22:17.620]   with more than a hundred thousand healthcare providers
[01:22:17.620 --> 01:22:19.380]   across every specialty from mental health
[01:22:19.380 --> 01:22:23.380]   to dental health, eye care to skin care, and much more.
[01:22:23.380 --> 01:22:25.020]   So like, look, you're looking for a dermatologist.
[01:22:25.020 --> 01:22:26.900]   You can go on your ZocDoc app.
[01:22:26.900 --> 01:22:28.240]   I could touch that.
[01:22:28.240 --> 01:22:29.960]   You can go into your ZocDoc app and say, okay,
[01:22:29.960 --> 01:22:31.860]   give me a dermatologist near where I am.
[01:22:31.860 --> 01:22:33.700]   Now let me filter this search.
[01:22:33.700 --> 01:22:37.300]   Dermatologist near where I am who take my insurance.
[01:22:37.300 --> 01:22:39.100]   Dermatologist near where I am who take my insurance
[01:22:39.100 --> 01:22:42.860]   and are looking for taking new patients.
[01:22:42.860 --> 01:22:44.140]   Now you get a couple options.
[01:22:44.140 --> 01:22:45.340]   Now you can read the reviews.
[01:22:45.340 --> 01:22:46.660]   These are real patient reviews.
[01:22:46.660 --> 01:22:48.500]   Oh, this one here, people really like,
[01:22:48.500 --> 01:22:49.860]   and there's a good chance you'll be able
[01:22:49.860 --> 01:22:52.200]   to then book your appointment right there
[01:22:52.200 --> 01:22:54.200]   using the ZocDoc technology.
[01:22:54.200 --> 01:22:58.100]   It really makes finding healthcare quite simple.
[01:22:58.100 --> 01:22:59.200]   I wanted to point out also
[01:22:59.200 --> 01:23:00.860]   that ZocDoc appointments happen fast,
[01:23:00.860 --> 01:23:04.420]   typically within 24 to 72 hours of booking.
[01:23:04.420 --> 01:23:08.020]   You can even often score same day appointments.
[01:23:08.020 --> 01:23:13.020]   So I have multiple healthcare providers who use ZocDoc.
[01:23:13.020 --> 01:23:14.980]   I have found healthcare providers with ZocDoc.
[01:23:14.980 --> 01:23:16.940]   I have healthcare providers who use ZocDoc
[01:23:16.940 --> 01:23:19.500]   to help do like the, once you set up the appointment,
[01:23:19.500 --> 01:23:21.260]   to do like your pre-appointment paperwork.
[01:23:21.260 --> 01:23:22.920]   So I'm a fan of this product
[01:23:22.920 --> 01:23:26.140]   and I think you should be as well.
[01:23:26.140 --> 01:23:27.960]   So stop putting off those doctor's appointments
[01:23:27.960 --> 01:23:30.660]   and go to ZocDoc.com/deep
[01:23:30.660 --> 01:23:33.600]   to find and instantly book a top-rated doctor today.
[01:23:33.600 --> 01:23:38.600]   That's Z-O-C-D-O-C.com/deep, ZocDoc.com/deep.
[01:23:38.600 --> 01:23:43.420]   All right, let's get now to our final segment.
[01:23:43.420 --> 01:23:45.680]   All right, so every month
[01:23:45.680 --> 01:23:46.920]   in the first episode of the new month,
[01:23:46.920 --> 01:23:49.840]   I like to review the books I read the month before.
[01:23:49.840 --> 01:23:52.120]   This episode is coming out in August.
[01:23:52.120 --> 01:23:56.320]   So I will talk about the books I read in July, 2024.
[01:23:56.320 --> 01:23:58.720]   I usually try to read five books per month.
[01:23:58.720 --> 01:24:01.240]   I was up in my undisclosed location up North this summer
[01:24:01.240 --> 01:24:03.720]   during much of July, so I read seven instead of five.
[01:24:03.720 --> 01:24:06.280]   So I got a little bit more done than normal.
[01:24:06.280 --> 01:24:07.920]   All right, here's what they are.
[01:24:07.920 --> 01:24:12.920]   Book number one, "The Revolutionary" by Stacey Schiff.
[01:24:12.920 --> 01:24:16.160]   Each year around July 4th, I like to read a book
[01:24:16.160 --> 01:24:19.560]   that's about the American founding or a founding father
[01:24:19.560 --> 01:24:21.860]   or a founding father adjacent character.
[01:24:21.860 --> 01:24:23.920]   So actually I started this last summer,
[01:24:23.920 --> 01:24:26.920]   but then returned to it and finished it this summer.
[01:24:26.920 --> 01:24:30.480]   Stacey Schiff's biography of Samuel Adams.
[01:24:30.480 --> 01:24:32.760]   We all know about his cousin, John Adams.
[01:24:32.760 --> 01:24:35.160]   We know about the beer named after Sam Adams.
[01:24:35.160 --> 01:24:36.640]   Didn't know much about the figure himself.
[01:24:36.640 --> 01:24:38.360]   So I think Schiff did a great job
[01:24:38.360 --> 01:24:42.640]   of getting into the history of Sam Adams.
[01:24:42.640 --> 01:24:44.000]   Heavily, heavily involved,
[01:24:44.000 --> 01:24:47.520]   especially in New England based revolutionary activity.
[01:24:47.520 --> 01:24:53.760]   Then I read "Blue Meridian" by Peter Matheson.
