
[00:00:00.000 --> 00:00:04.400]   Democrats still think the currency of politics is money and the currency of politics is attention.
[02:42:30.360 --> 02:42:47.000]   So I'm, I feel like experimenting with the government at that level is very dangerous, but if, assuming democracy survives, um, Democrats, if they're going to make the government work again, are going to have to become less rule bound than they were.
[02:42:47.720 --> 02:42:51.440]   I have this line that the problem with the personality type of the right is it's autocratic now.
[02:42:51.440 --> 02:42:54.080]   And the problem with the personality type of the left is it's bureaucratic.
[02:42:54.080 --> 02:43:02.820]   And I don't want to see things going either to where DOJ is in terms of, I think there's a fundamental lawlessness to it, but I also don't like the aims of it.
[02:43:03.160 --> 02:43:14.360]   But I don't want to see things where Democrats were, which is such unfathomably, which is such respect for process that they will put the process ahead of getting their own things done.
[02:43:14.360 --> 02:43:20.500]   They will listen to any lawyer with any super intense interpretation of any law, and that'll turn them all the way back.
[02:43:20.640 --> 02:43:31.940]   What DOJ has demonstrated is that the room for movement inside the American government, inside the state, is much wider than anybody gave it credit for, both Republican and Democratic administrations.
[02:43:31.940 --> 02:43:33.480]   It may not be as wide.
[02:43:33.480 --> 02:43:37.980]   It probably isn't legally as wide as what DOJ is trying to do, and that's why they're losing all these court cases.
[02:43:37.980 --> 02:43:40.980]   But it is wide, and you could also use Congress, right?
[02:43:40.980 --> 02:43:44.220]   You could pass statute to make it wider, and you should.
[02:43:44.840 --> 02:43:54.400]   There is no abundance agenda that works if the Democratic Party is as rule-bound and as process-obsessed as it was in the last 10 years.
[02:43:54.400 --> 02:43:56.820]   It doesn't work flatly, right?
[02:43:56.820 --> 02:44:09.480]   That is why so many of the stories we tell in the book are about process gone, not just—it's not process gone wrong because it's doing exactly what it was intended to do, but it is process that has become antagonistic to the promised outcomes.
[02:44:10.240 --> 02:44:15.000]   And so I do hope there's a kind of, you know, thesis, right?
[02:44:15.000 --> 02:44:16.600]   All the institutions are great.
[02:44:16.600 --> 02:44:18.280]   Democrats are the defenders of government.
[02:44:18.280 --> 02:44:21.820]   Antithesis, the government is a corrupt cesspool.
[02:44:21.820 --> 02:44:30.200]   It's a, you know, it's a ball of worms, and it has to be destroyed and taken over by a benevolent or non-benevolent dictator.
[02:44:30.200 --> 02:44:37.120]   And synthesis, which is that the government's process has made it not a functional state.
[02:44:37.280 --> 02:44:55.800]   It's non-responsive in many important ways, and it needs to be, like, reformed at a quite fundamental level, but in a way that is lawful, in a way that is thoughtful, in a way that is running experiments, it gathers information and then can make adjustments, in a way that is respectful of the human lives that it touches and affects.
[02:44:56.060 --> 02:45:07.040]   In a way that is not hostile to the goals of good government, but is more committed to them than it is committed to the process the government has erected and evolved over time.
[02:45:07.900 --> 02:45:17.700]   I just articulated the principle beautifully, and just to put some meat on the bones, abundance is about being incredibly concrete about what you want to accomplish in the world.
[02:45:17.700 --> 02:45:25.340]   Then it's about understanding how to accomplish that, a stage of the process that I think Doge has entirely skipped.
[02:45:25.340 --> 02:45:27.660]   I don't think we've reached the stage of understanding.
[02:45:27.660 --> 02:45:33.000]   We've destroyed, and then maybe it's sometimes promised to understand the thing that we've destroyed after the fact.
[02:45:33.800 --> 02:45:37.520]   You want to set goals, you want to understand how to meet those goals, and then you want to meet them.
[02:45:37.520 --> 02:45:44.780]   And the problem with liberalism of the last few years and the last few decades is that we've become disconnected from outcomes.
[02:45:44.780 --> 02:45:46.780]   Really, really crystal clear example.
[02:45:46.780 --> 02:45:58.220]   So Joe Biden in 2021 signs the bipartisan infrastructure law, and he and Pete Buttigieg call it, truthfully, one of the most important infrastructure bills passed in the last few decades.
[02:45:58.360 --> 02:46:03.960]   $1.2 trillion to do exactly what Ezra and I want to do, to build in the world.
[02:46:03.960 --> 02:46:12.280]   There's a piece of that law that's a $42 billion program called BEAD, which stands for Broadband Equity Access and Deployment, I think.
[02:46:12.280 --> 02:46:15.000]   $42 billion to build rural broadband.
[02:46:15.000 --> 02:46:18.620]   Fast forward to 2024, practically none of it is built.
[02:46:18.620 --> 02:46:23.440]   We're now four calendar years after it was passed, and the program is, at this point, it seems like it's going to die,
[02:46:23.440 --> 02:46:25.620]   and they're just going to transfer the whole thing to Starlink.
[02:46:26.140 --> 02:46:27.340]   So why, right?
[02:46:27.340 --> 02:46:35.560]   We want to understand why does government fail to achieve its outcomes, and how can we learn from those failures to allow government to succeed at its outcomes?
[02:46:35.560 --> 02:46:41.560]   Well, you look into it, and it turns out that in order to take these $42 billion and send it to the states,
[02:46:41.560 --> 02:46:47.260]   the states had to go through a 14-stage process in order to get the money.
[02:46:47.720 --> 02:46:54.920]   First, the FCC had to draw a map of the places where America needed more rural broadband, and then there was a challenge period where people could question the map.
[02:46:54.920 --> 02:46:59.600]   And the FCC would remake the map, and then the challengers would re-sue them to change the map again.
[02:47:00.040 --> 02:47:08.860]   Then the states had to file a letter of intent and a five-year action plan and a funding program, all of which could be subject to their own challenge periods.
[02:47:08.860 --> 02:47:12.540]   And in each of these challenge periods, the Commerce Department is going back to the states and saying,
[02:47:12.620 --> 02:47:20.800]   you really like your five-year plan, but your workforce development program didn't pass this matrix of equity, and you didn't reach out to the right bidders over here.
[02:47:20.800 --> 02:47:29.540]   And if you try harder to reach out to more people who just aren't white men to be your employees, that would be fantastic if you could put that into the new edit that you submit to us.
[02:47:29.780 --> 02:47:35.340]   And of course, there are delays because every state has to do its own programs, the Commerce Department is backed up, yada, yada, yada.
[02:47:35.340 --> 02:47:52.580]   You get to a point where out of 56 states and jurisdictions that have applied to begin the 14-stage process, by the time the Democrats lose the election in November 2024, three out of the 56 have passed all 14 stages,
[02:47:52.580 --> 02:47:58.920]   and very little of the money has actually been spent because of all the problems that Ezra and I discussed about how hard it is to build in the physical world.
[02:47:59.560 --> 02:48:04.760]   $42 billion, therefore, dies upon contact with planet Earth.
[02:48:04.760 --> 02:48:07.760]   That's not government achieving its goals.
[02:48:07.760 --> 02:48:16.700]   And a doge that we were sort of, you know, du-umvrits of in this parallel universe is one that would try very clearly to, A, articulate a goal.
[02:48:16.700 --> 02:48:17.860]   What are we trying to do here?
[02:48:17.860 --> 02:48:20.260]   We're trying to build rural broadband.
[02:48:20.260 --> 02:48:20.740]   Why?
[02:48:20.740 --> 02:48:23.900]   Because we think connectivity is incredibly important to the economy of the future.
[02:48:23.900 --> 02:48:25.220]   It helps people's health.
[02:48:25.220 --> 02:48:27.020]   It helps the economy of rural areas.
[02:48:27.020 --> 02:48:28.500]   Let's build rural broadband.
[02:48:28.680 --> 02:48:30.220]   Two, what are the roadblocks?
[02:48:30.220 --> 02:48:31.700]   What are the bottlenecks?
[02:48:31.700 --> 02:48:40.460]   What's hard about taking a pot of money that exists in Washington and actually creating broadband networks in rural Kentucky?
[02:48:40.460 --> 02:48:43.380]   Let's understand what those roadblocks are so that we can do two things.
[02:48:43.380 --> 02:48:51.160]   We can take away the things that need to be taken away to accelerate the program, and maybe we can add new policies that will accelerate the spending.
[02:48:51.240 --> 02:48:53.580]   Because bottom line, we want to make a difference in the world.
[02:48:53.580 --> 02:48:59.400]   That's a world where government is, to borrow Ezra's language, deregulated itself.
[02:48:59.400 --> 02:49:02.240]   It's easier for the government to achieve its goals.
[02:49:02.980 --> 02:49:17.040]   I think that it's really important at the level of principle here that liberals fall out of love with this procedural fetish that has dominated the left over the last half century and fall back in love with outcomes.
[02:49:17.040 --> 02:49:25.900]   To be ruthlessly obsessed with how liberalism has failed and how these kind of failures aren't just technocratic stories to tell in a podcast.
[02:49:26.420 --> 02:49:35.320]   I think this is fundamental to why Democrats are losing the communications war in an era of anti-establishment and anti-institution.
[02:49:35.320 --> 02:49:43.420]   We find ourselves in a reflexive position of having all the cranks, so to speak, having left the Democratic Party, and we're the ones who defend all institutions.
[02:49:43.420 --> 02:49:44.980]   We're the ones who defend the establishments.
[02:49:44.980 --> 02:49:47.140]   We're the ones saying government can only do good.
[02:49:47.560 --> 02:50:01.920]   But as a result, we lose the ability to talk to people about how government fails and how they can see that failure and how sometimes they're literally leaving cities and states run by Democrats because that failure is so effing obvious to them.
[02:50:01.920 --> 02:50:04.920]   So this isn't just about the BEAD program.
[02:50:04.920 --> 02:50:06.720]   It's not just about 14-step programs.
[02:50:06.720 --> 02:50:07.800]   It's not just about rural broadband.
[02:50:07.800 --> 02:50:11.960]   It really is about a higher-level principle of political communication.
[02:50:12.640 --> 02:50:25.260]   How do you develop a liberalism that, in an age of anti-establishment anger, both reflects that anger and channels it for proactive purposes, by not just doing destruction-destruction, but creative destruction?
[02:50:25.260 --> 02:50:26.860]   So first of all, beautifully put.
[02:50:26.860 --> 02:50:32.580]   And second, the big thing that Doge did is make this a sexy topic to discuss.
[02:50:32.580 --> 02:50:36.700]   And then you can tear down Doge with the way they're doing it, say it's wrong, criticize.
[02:50:36.700 --> 02:50:41.440]   But then people are all of a sudden more and more caring about the efficiency of government.
[02:50:41.940 --> 02:50:47.100]   And educating themselves, learning about it, and it's creating a culture of transparency to the whole thing.
[02:50:47.100 --> 02:50:56.020]   So now you can swoop in with a book like Abundance and describe, here's how to do actually, how to have a clear mission and metrics, how to solve these problems.
[02:50:56.020 --> 02:51:07.480]   But that allows, as opposed to have this culture of process, me personally, one of the things that really frustrates me about this world is that.
[02:51:08.880 --> 02:51:19.280]   The bureaucracy of that kind of process, especially because everybody, at least in the United States, is just all so fucking polite everywhere about the whole thing.
[02:51:19.280 --> 02:51:21.660]   They're all so nice to you as they're doing the process.
[02:51:21.660 --> 02:51:27.960]   About every single thing, they're just like, this is, and then you have to call from nine to five.
[02:51:28.100 --> 02:51:34.320]   There's hours and let's schedule a meeting and three weeks from now to discuss this document so we can have another document.
[02:51:34.320 --> 02:51:43.380]   And all of a sudden, the big dreams and the visions, the hopes that people have invested in building a project that's an incredible project, dies.
[02:51:43.380 --> 02:51:45.020]   It's not just a waste of money.
[02:51:45.020 --> 02:51:49.300]   It's the possibility of a beautiful thing that could have been built, never gets built.
[02:51:49.860 --> 02:51:57.140]   You're retracing Ezra's lovely line about how the character of the right these days is autocratic and the character of the left can be overly bureaucratic.
[02:51:57.140 --> 02:52:04.840]   I hope there's a middle synthesis lane here where there's a political identity that believes in efficient bureaucracies.
[02:52:04.840 --> 02:52:08.220]   Sometimes it actually does take a lot of people to get certain things done.
[02:52:08.220 --> 02:52:12.460]   But you really, I think, need to have an eye toward institutional reform.
[02:52:12.580 --> 02:52:26.900]   This is a theme of our book that we haven't talked about as much yet, but I think it's so important for abundance to believe that each generation adopts, is passed down, institutions that were created for different eras, different decades to solve different problems.
[02:52:26.900 --> 02:52:39.780]   That's how you get an environmental revolution in the 1960s that solves the problem of dirty air and dirty water, but leaves us with a set of norms like NEPA that make it impossible to add clean energy in our generation.
[02:52:39.780 --> 02:52:43.160]   Just a tragedy of unintended outcomes.
[02:52:43.160 --> 02:52:52.100]   And to narrow this down to a world that I know you care a lot about, there's a chapter in our book about science policy and the history of the NIH.
[02:52:52.100 --> 02:53:01.940]   The NIH really comes into its own after World War II, and it is immediately this beautifully funded crown jewel of biomedical research.
[02:53:01.940 --> 02:53:09.320]   Just the federal government irrigating university researchers studying cancer and heart disease and brain science and everything else.
[02:53:09.400 --> 02:53:17.180]   I mean, practically every single scientific breakthrough in the U.S. in the last 70 years at least bears the fingerprints of NIH.
[02:53:17.180 --> 02:53:19.300]   But the NIH is also a bureaucracy.
[02:53:19.300 --> 02:53:30.560]   And like every bureaucracy, it has accumulated a set of processes and habits that the people most affected by it, scientists in America, told us and will tell anybody else who's listening, has flaws.
[02:53:30.980 --> 02:53:41.620]   According to some surveys, 40% of the time that scientists are working today in America, they are filling out grants and doing paperwork, not doing science.
[02:53:41.760 --> 02:53:43.000]   That is astonishing.
[02:53:43.000 --> 02:53:58.580]   I mean, as we say in the book, imagine if we discovered that one year there was a virus that broke out in the American academic scene such that our scientists suffered from chronic fatigue disorder between January and June every single year.
[02:53:58.580 --> 02:53:59.620]   They just couldn't work.
[02:53:59.620 --> 02:54:01.400]   We'd be like, this is an absolute Shonda.
[02:54:01.400 --> 02:54:02.600]   We have to fix this problem.
[02:54:03.100 --> 02:54:04.120]   This problem exists.
[02:54:04.120 --> 02:54:05.600]   It's our own bureaucratic rules.
[02:54:05.600 --> 02:54:08.640]   It's the rules that we wrote that's slowing down science.
[02:54:08.640 --> 02:54:09.740]   So what should we do?
[02:54:09.740 --> 02:54:11.900]   I don't think we should tear down the NIH.
[02:54:11.900 --> 02:54:16.640]   I don't think we should slash and burn grants as we're currently doing in the administration.
[02:54:17.120 --> 02:54:21.560]   I think we should understand what's broken and be clear about our desired outcomes.
[02:54:21.560 --> 02:54:33.660]   My desired outcome for science is that we produce and pursue high-risk, high-reward science under the theory that almost no important breakthrough is going to be obvious before you discovered it.
[02:54:33.660 --> 02:54:35.420]   If it's obvious, you probably already knew it.
[02:54:35.420 --> 02:54:36.600]   So why is it some new science?
[02:54:36.600 --> 02:54:43.760]   You should want to incentivize scientists to ask their biggest, most curious questions in a high-risk, high-reward environment.
[02:54:43.760 --> 02:54:45.640]   And right now, the NIH doesn't do that.
[02:54:46.300 --> 02:54:54.280]   The NIH, for a variety of reasons, whether it's aspects of the peer-review process or just assumptions that scientists have of the system, is too incrementalist.
[02:54:54.280 --> 02:55:00.060]   It funds older researchers, and it wastes a lot of scientists' time with bureaucratic paperwork and kludge.
[02:55:00.060 --> 02:55:01.620]   We'd love to reform it.
[02:55:01.620 --> 02:55:03.000]   We have ideas for reforming it.
[02:55:03.000 --> 02:55:15.860]   But if liberals don't use the language of and act on institutional reform, we will allow institutions to grow old and sclerotic and piss off Americans.
[02:55:15.860 --> 02:55:20.820]   And they'll vote for people who come in with a wrecking ball to tear it down, right?
[02:55:20.820 --> 02:55:30.320]   So that's why I think it's so important for abundance liberals like us to be very clear about our goals, our outcomes, and exactly what we want to accomplish.
[02:55:30.320 --> 02:55:36.480]   Because I think that's the only way to really see how and why institutions that are all around us truly do need reform.
[02:55:36.480 --> 02:55:40.760]   Listen, I hope your book becomes the manifesto of the Democratic Party.
[02:55:40.760 --> 02:55:42.060]   It's a beautiful vision.
[02:55:42.420 --> 02:55:49.140]   I'm a little bit skeptical because of the momentum of bureaucratic thought, but I nevertheless remain hopeful.
[02:55:50.340 --> 02:55:55.480]   I have to ask, because I'm a fan of both of you in the interest of time, Ezra.
[02:55:57.560 --> 02:56:02.660]   You had an intense debate many years ago with Sam Harris.
[02:56:02.660 --> 02:56:03.800]   Okay.
[02:56:03.800 --> 02:56:08.300]   So you're, I would say, like I said, I'm a fan of both of you.
[02:56:08.300 --> 02:56:10.200]   You're both intellectually rigorous people.
[02:56:10.520 --> 02:56:19.060]   So it was, the debate, the contentiousness of it was both sad to me, but also just a fan of you.
[02:56:19.060 --> 02:56:23.340]   And since I admire your intellects, it's just fun to watch.
[02:56:23.920 --> 02:56:24.740]   What is it?
[02:56:24.740 --> 02:56:27.120]   Godzilla and King Kong fight.
[02:56:27.120 --> 02:56:29.460]   I wish there was more of it.
[02:56:29.460 --> 02:56:33.800]   I wish you would do this podcast again and debate it more on some other topic and argue.
[02:56:33.800 --> 02:56:34.420]   It's just great.
[02:56:34.420 --> 02:56:38.980]   Anyway, you know, some time has passed.
[02:56:38.980 --> 02:56:41.220]   What was this, eight years ago now?
[02:56:41.220 --> 02:56:42.560]   Yeah.
[02:56:42.560 --> 02:56:43.980]   2018-ish, something there.
[02:56:43.980 --> 02:56:44.560]   Yeah.
[02:56:44.560 --> 02:56:46.800]   The battles you have fought over the years.
[02:56:46.800 --> 02:56:48.560]   A lot of chapters.
[02:56:48.560 --> 02:56:49.480]   A lot of chapters.
[02:56:49.480 --> 02:56:49.800]   Yeah.
[02:56:49.800 --> 02:56:52.360]   This is like several chapters ago.
[02:56:53.140 --> 02:57:00.040]   But, you know, in the interest of camaraderie, what do you admire most about Sam Harris?
[02:57:00.040 --> 02:57:01.480]   Oh, that's not a hard question.
[02:57:01.480 --> 02:57:06.300]   If you go back, if you listen to that debate on my show at Vox, I introved that debate by saying,
[02:57:06.300 --> 02:57:12.020]   look, I disagree with Harris on like this specific conversation he had with Charles Murray about race and IQ.
[02:57:12.020 --> 02:57:13.780]   But he's good on meditation.
[02:57:13.780 --> 02:57:15.700]   He's good on psychedelics.
[02:57:15.700 --> 02:57:17.020]   He's good on consciousness.
[02:57:17.020 --> 02:57:17.680]   He's good.
[02:57:17.680 --> 02:57:19.840]   I don't know if I said AI back then, but I think he's good on AI.
[02:57:20.480 --> 02:57:30.180]   I always felt in that without going like back into the Wayback Machine that Sam really thought like he really somehow got where I was wrong.
[02:57:30.180 --> 02:57:33.600]   And I thought I offered like a lot of like tries for de-escalation.
[02:57:33.760 --> 02:57:37.760]   And you can he did me weirdly the favor of publishing our whole email correspondence.
[02:57:37.760 --> 02:57:41.300]   I think if you read that, you can see that like I was not angling for a fight here.
[02:57:41.300 --> 02:57:47.280]   What I admired about him since I think the thing that he's been good on is he's been very independent.
[02:57:47.980 --> 02:57:53.380]   So Sam at that time, there was sort of the emergence around then of this thing that people then called the intellectual dark web.
[02:57:53.380 --> 02:57:58.040]   And it was like Sam and the Weinstein brothers and Ben Shapiro.
[02:57:58.040 --> 02:58:00.260]   And I forget who was part of it.
[02:58:01.260 --> 02:58:05.540]   And as a bunch of those people, I think, I mean, it kind of split up over time.
[02:58:05.540 --> 02:58:18.560]   But Harris has done a good job not falling into conspiracy as the Weinstein brothers did, not letting his anger at the left blind him to the failures of the right.
[02:58:19.100 --> 02:58:25.340]   He's a guy, you know, I guess both for better and for worse, as we all are, but he is perfectly willing to stand alone in a crowd.
[02:58:25.340 --> 02:58:31.480]   Like I haven't listened to that much of his stuff lately, but my sense is he's been like quite clear eyed from my perspective on Donald Trump.
[02:58:31.480 --> 02:58:35.620]   So I don't think Sam, my view is not that Sam Harris is in general a bad actor.
[02:58:35.620 --> 02:58:36.780]   It just isn't.
[02:58:36.780 --> 02:58:48.380]   Yeah, he's been like difficult to categorize and fearless about it, meaning like he doesn't, he deliberately resists audience capture.
[02:58:48.380 --> 02:58:50.060]   So yeah, which is a hard thing to do.
[02:58:50.060 --> 02:58:55.040]   I think I saw a clip of him on this show sort of like going after Trump and it became like a big whole thing.
[02:58:55.040 --> 02:58:55.440]   Yeah.
[02:58:55.440 --> 02:58:57.820]   I mean, he's been very consistent on that.
[02:58:57.820 --> 02:59:00.780]   Let's, let's try to find the interesting thing here.
[02:59:00.780 --> 02:59:04.860]   I actually had a while back a podcast with Richard Heyer.
[02:59:04.860 --> 02:59:15.100]   He studies intelligence and it was a very detailed non-policy discussion about IQ tests and all that kind of stuff.
[02:59:15.240 --> 02:59:16.700]   And there I did.
[02:59:16.700 --> 02:59:23.660]   I tried extremely hard to be very nuanced because that felt like an uncomfortable topic back then.
[02:59:23.660 --> 02:59:25.560]   It doesn't feel so uncomfortable now.
[02:59:25.560 --> 02:59:28.500]   Do you think the Overton window has expanded?
[02:59:28.500 --> 02:59:31.820]   Do you think the kind of things we're willing to talk about now?
[02:59:32.020 --> 02:59:34.460]   I mean, this has to do with the Trump moment also.
[02:59:34.460 --> 02:59:42.720]   I think the place where the topic seems to me to have changed in my ambient awareness of it is two things.
[02:59:42.720 --> 02:59:49.480]   One is a sense of the Flynn effect, which is, yeah, it's hard to individually change your IQ, but there is a very well-documented effect.
[02:59:49.540 --> 02:59:51.760]   And I talked to James Flynn before I talked to Sam.
[02:59:51.760 --> 02:59:56.600]   There is a very well-documented effect where IQs have been rising over time.
[02:59:56.600 --> 02:59:59.000]   There's good evidence now that that has stopped.
[03:00:00.820 --> 03:00:04.080]   Again, this is ambiently my sense, right?
[03:00:04.080 --> 03:00:05.840]   I've read some things like in passing.
[03:00:05.840 --> 03:00:06.680]   I have not.
[03:00:06.680 --> 03:00:10.360]   I did not come to this podcast preparing to talk about IQ or I would have prepared very carefully.
[03:00:10.360 --> 03:00:13.240]   And then there was an interesting FT article just the other day.
[03:00:13.240 --> 03:00:15.340]   It was like, have we passed peak human intelligence?
[03:00:16.280 --> 03:00:21.300]   And my sense is not is that that wasn't about IQ, although, again, like I don't remember exactly what was in it.
[03:00:21.300 --> 03:00:23.780]   I kind of glanced at it and put it aside to read more later.
[03:00:23.780 --> 03:00:27.720]   But that literacy scores are going down and a number of test scores are going down.
[03:00:27.720 --> 03:00:37.000]   And the sort of sense of the piece was that we are making ourselves stupider by endlessly staring at screens and social media, which I think is probably right.
[03:00:37.000 --> 03:00:44.880]   I've had this sort of line since becoming aware of that piece in my head that we spend a lot of time talking about how to get smarter
[03:00:44.880 --> 03:00:48.020]   and not enough time talking about how to avoid getting dumber.
[03:00:48.020 --> 03:00:51.740]   But we do a lot of things that a lot of things that we think make us smarter.
[03:00:51.740 --> 03:00:57.420]   Like I would say having social media on our phones because like, oh, you're getting all this information all the time that in fact make us dumber.
[03:00:57.420 --> 03:01:05.140]   Because it's not just that the information is bad, but the lack of concentration, the constant distraction, the sort of lack of focus.
[03:01:05.140 --> 03:01:09.620]   And so my sense is that there is a different kind of conversation here.
[03:01:09.620 --> 03:01:14.420]   I'm not sure it's really an IQ conversation, but that there is a sense that we are.
[03:01:14.420 --> 03:01:22.620]   inflicting a possibly global, certainly societal, cognitive wound on ourselves, right?
[03:01:22.620 --> 03:01:24.580]   That's what John Height's book is a little bit about, right?
[03:01:24.580 --> 03:01:26.680]   That's sort of more coming at it from a behavioral standpoint.
[03:01:26.680 --> 03:01:30.760]   But we have, you know, the Flynn effect reflects, right?
[03:01:30.820 --> 03:01:33.120]   This is how James Flynn would describe it.
[03:01:33.120 --> 03:01:39.580]   The Flynn effect reflects societies putting on, as he, I think, put it, the scientific spectacles.
[03:01:39.580 --> 03:01:45.800]   You create societies where we prize things like reading, abstract intelligence, symbolic logic.
[03:01:45.800 --> 03:01:49.660]   You teach people and them a lot, and we get better and better and better at doing it.
[03:01:49.660 --> 03:01:51.720]   And I mean, reading changes the brain.
[03:01:51.720 --> 03:01:53.520]   It changes the physical structure of the brain.
[03:01:53.600 --> 03:01:58.440]   You're hijacking parts of the mind meant for other purposes to do this kind of interpretive work.
[03:01:58.440 --> 03:02:10.520]   But it's, of course, possible just as we became societally connected and then made more and more widespread technologies like literacy that changed our brains and led to the increase in this thing we call G, right?
[03:02:10.520 --> 03:02:11.100]   G intelligence.
[03:02:11.100 --> 03:02:13.080]   And decreases in other things, right?
[03:02:13.080 --> 03:02:24.520]   Like, I'm really shitty at knowing which direction I'm going into this sort of part of my brain that does navigation is terribly atrophied compared to somebody in a more, in a society that did not have Google Maps.
[03:02:24.520 --> 03:02:28.680]   It's entirely possible to go too far in that, right?
[03:02:28.680 --> 03:02:32.200]   It's entirely possible to move on to technologies to begin to weaken that.
[03:02:32.200 --> 03:02:37.960]   I have this concern very profoundly about AI, by the way, which obviously you have a lot of your roots in.
[03:02:38.680 --> 03:02:45.460]   And there are parts of AI I'm very optimistic about, but my biggest concern about AI is we're going to make ourselves much stupider without realizing it.
[03:02:45.460 --> 03:02:58.100]   Because the things that are easy to automate in AI, which is like getting the AI to summarize the reading of something or getting AI to write the first draft of something, that's where all the intelligence happens, in my view.
[03:02:59.040 --> 03:03:07.920]   I think, you know, one advantage I have over a lot of other podcast hosts who superficially do what I do, probably this is true for you, I'm sure this is true for you, I know, is that I really do do the reading.
[03:03:07.920 --> 03:03:17.620]   No summary is equivalent to me doing the reading and sitting there and making the associations myself and spending the time in the book and then like sort of thinking about what it brought up in me.
[03:03:17.960 --> 03:03:19.380]   I write the first draft.
[03:03:19.380 --> 03:03:22.220]   ChatGPT cannot write the first draft of my book.
[03:03:22.220 --> 03:03:24.460]   The first draft is fucking hard to write.
[03:03:24.460 --> 03:03:29.080]   And it's often hard because it's completely wrong, but not because it's narrowly wrong, right?
[03:03:29.080 --> 03:03:34.140]   ChatGPT will never tell you the problem with what you're trying to do is you're just trying to do the wrong thing.
[03:03:34.140 --> 03:03:36.420]   It'll never tell you if you tell it to write a first draft.
[03:03:36.420 --> 03:03:38.660]   That's the wrong direction for this draft.
[03:03:38.660 --> 03:03:40.760]   Some part of you has to know it.
[03:03:40.760 --> 03:03:44.840]   And often the problem is you just haven't done enough reporting, haven't done enough research.
[03:03:44.840 --> 03:03:46.380]   And ChatGPT can't tell you that either.
[03:03:46.940 --> 03:04:06.720]   And my worry for my kids, my worry for society is creating technologies that make it incredibly alluring to automate the part of creation that is most difficult, most laborious, and most likely to lead to genuine insight and the sort of sharpening of your own mental acuity.
[03:04:06.720 --> 03:04:11.880]   I mean, we better fucking hope the AIs can autonomously make innovations because we're going to stop.
[03:04:11.880 --> 03:04:14.020]   I really worry we're going to stop being able to.
[03:04:14.260 --> 03:04:20.760]   Yeah, I definitely think, and all of that is brilliantly put, I definitely think that social media is making me dumber.
[03:04:20.760 --> 03:04:31.000]   If I spend a week checking social media versus reading books, I'm just distinctly the quality of my thoughts.
[03:04:31.540 --> 03:04:36.740]   Even the same content, I don't read things anymore as much as I can on a screen.
[03:04:36.740 --> 03:04:39.680]   I print everything out and I sit at a table and I read it.
[03:04:39.680 --> 03:04:44.200]   I can read it on my iPad, I can read it on my laptop, I print it all out because my attention is different.
[03:04:44.200 --> 03:04:55.760]   And the same goes for AI, whether we're talking about this kind of research, it's more distinct and rigorous in the other space that I do every single day is programming.
[03:04:56.480 --> 03:05:03.720]   I'm definitely becoming a worse programmer by using AI, offloading, because it actually works really well there.
[03:05:03.720 --> 03:05:18.880]   I'm becoming worse at creative thinking at what you're saying, writing the first draft, which require that skill, that first little leap, that little mini leap into the creative genius that we all do every single day.
[03:05:19.820 --> 03:05:23.600]   AI is not able to do that, and it's definitely dulling that.
[03:05:23.600 --> 03:05:26.540]   All right, we covered a lot of ground today.
[03:05:26.540 --> 03:05:46.580]   On the note of optimism, what gives you hope about the future of this great nation of ours, the future of America, looking out in the next few years, in the next few decades, centuries, when we colonize the solar system and beyond?
[03:05:46.580 --> 03:05:49.160]   Or we could just stick to the next couple of decades.
[03:05:49.160 --> 03:05:49.540]   Sure.
[03:05:49.540 --> 03:06:03.340]   Despite the fact that our book is a deep diagnosis of modern liberalism, with a ton of criticism of the last half decade in politics, I am, at root, a profound optimist about everything.
[03:06:03.340 --> 03:06:07.340]   Just at a general personality sense, right?
[03:06:07.340 --> 03:06:18.500]   To a certain extent, a question like this is attempting to elicit a little bit of what can be considered analysis of the world, but you're also eliciting what is fundamentally like personality, right?
[03:06:18.500 --> 03:06:19.160]   Yeah.
[03:06:19.160 --> 03:06:20.620]   Like what makes you optimistic?
[03:06:20.620 --> 03:06:23.980]   I've just always been a real optimist.
[03:06:25.600 --> 03:06:33.780]   I'm optimistic about science and technology, especially in the realm of biomedical science in a big way.
[03:06:33.780 --> 03:06:57.660]   I think if you look at what's happening right now in mRNA cancer vaccines, in CAR T cell therapy for redesigning T cells to attack cancers, if you look at the GLP-1 drug revolution and some of these studies that have been done on the fact that GLP-1 drugs, while they were initially synthesized from lizard venom to help people with type 2 diabetes, turn out to have these effects that seem to reduce body-wide inflammation.
[03:06:58.440 --> 03:07:09.860]   That not only rewires our minds and makes it easier for people's desired sense of moderation to be actualized, so people who want to eat more fruits and vegetables seem to find it easier to eat more fruits and vegetables when they're on GLP-1 drugs.
[03:07:10.100 --> 03:07:26.260]   But also because there's probably a lot of neurological issues that are fundamentally issues of inflammation, including maybe dementia and Alzheimer's, we might have accidentally, from the tongue of a lizard, a partial medicine for Alzheimer's disease.
[03:07:26.760 --> 03:07:38.840]   The ability of science to connect these dots in the cosmos just absolutely thrills and fascinates me, and I hope that we get better at making those connections.
[03:07:38.840 --> 03:07:53.760]   And while I have a lot of fears about AI, many of them shared by Ezra, I am really interested in the possibility of AI being useful for synthesizing large bodies of knowledge to allow people to make cross-domain comparisons.
[03:07:53.760 --> 03:08:01.380]   I think a lot of inventions in tech history are essentially ingenious recombinations of ideas.
