
[00:00:00.000 --> 00:00:02.040]   The following is a conversation with Scott Horton.
[07:21:02.760 --> 07:21:07.880]   "Nope, we have supernatural property rights that says that we get to come and kill you and move into your
[07:21:07.880 --> 07:21:15.080]   house and do whatever we want and recognize no rights to the Palestinians." Just like Justice
[07:21:15.080 --> 07:21:24.360]   Taney saying that the black men have no rights that a white man is bound to respect in Dred Scott.
[07:21:24.360 --> 07:21:30.600]   That's the way that they treat the Palestinians. They call them grasshoppers, not even mammals. They're
[07:21:30.600 --> 07:21:37.080]   just insects to be eradicated because the Israelis covet their property. It's as simple as that.
[07:21:37.080 --> 07:21:42.040]   They want to covet it so they kill, so they can steal. And that's it. And then they'll come up with
[07:21:42.040 --> 07:21:47.240]   every lie in the world to try to justify it all. Now, David Ben-Gurion, the founding prime minister of
[07:21:47.240 --> 07:21:52.440]   Israel said, "Give it back. Give it up. Let them have it. Yeah, we want the land, but we don't want all
[07:21:52.440 --> 07:21:57.640]   these people. What are we going to do with them all? What's the end game here when we're taking
[07:21:57.640 --> 07:22:03.560]   possession of millions of people that we hate and don't want in our country? And so it's not worth
[07:22:03.560 --> 07:22:08.920]   it to do this." That's Ben-Gurion, the founding guy said that. And they told him, "Yeah, yeah, yeah,
[07:22:08.920 --> 07:22:13.000]   we know what we're doing." And you're probably familiar with this woman, Daniela Weiss. You'll see
[07:22:13.000 --> 07:22:19.800]   her in various documentaries and so forth. She's the insane zealot saying we must occupy and settle all of
[07:22:19.800 --> 07:22:30.280]   Gaza and all of the West Bank. There's a great new documentary called The Settlers. I forget. I never
[07:22:30.280 --> 07:22:35.400]   saw part one of it, but the sequel that just came out is called The Settlers. It's really good and it
[07:22:35.400 --> 07:22:43.160]   includes extensive interviews with her. And there was a statement that she made recently in the last two
[07:22:43.160 --> 07:22:50.280]   years where, or a video that came out that someone, some journalists had revealed this video, I guess,
[07:22:50.280 --> 07:22:56.920]   of her in the 1970s, explaining, or maybe it's her in more recent times, just talking about the 1970s.
[07:22:56.920 --> 07:23:02.040]   Forgive me, but people can find this, I'm sure. And what she's saying is from the moment they took over
[07:23:02.040 --> 07:23:09.480]   the West Bank. She worked with Ariel Sharon to create an archipelago of settlements
[07:23:09.480 --> 07:23:15.480]   across the West Bank in a way to preclude the possibility of a Palestinian state as fast as they
[07:23:15.480 --> 07:23:20.920]   possibly could. That was absolutely their first object is we've got to bisect them here and bisect
[07:23:20.920 --> 07:23:26.680]   them there so that they can never have a state of their own. And that was their goal this whole time,
[07:23:26.680 --> 07:23:33.960]   this radical settler movement. Now, we talked about the '90s. We talked about the clean break
[07:23:33.960 --> 07:23:42.280]   when Netanyahu came in. The clean break, again, is a clean break from Oslo and Yitzhak Rabin and
[07:23:42.280 --> 07:23:50.120]   Shimon Peres' attempt to negotiate with the Arab states and the Palestinians. And of course, Netanyahu,
[07:23:50.120 --> 07:23:53.720]   if you're not familiar with this, we should maybe play this as long as we're taking our time here, Lex.
[07:23:53.720 --> 07:23:57.240]   Let's see if we can find secret video of Netanyahu.
[07:23:57.240 --> 07:24:05.160]   This is it. This is it. Yeah. So you just mute that and, and just read the, uh, read the caption
[07:24:05.160 --> 07:24:10.120]   there. So let me set this up. Netanyahu in this, in this video, he is no longer the prime minister.
[07:24:10.120 --> 07:24:17.400]   He's, um, at a settler's house in the living room. He tells the boy, turn off the video camera and the boy
[07:24:17.400 --> 07:24:22.760]   either fails to turn it off or he deliberately turns it right back on again. It's a bit unclear,
[07:24:22.760 --> 07:24:28.600]   but the video keeps rolling and Netanyahu keeps blabbing. And he's saying, what you do is you
[07:24:28.600 --> 07:24:33.240]   just beat these Palestinians. You just hurt them and cripple them and kill them and weaken them
[07:24:33.240 --> 07:24:37.160]   and let them know that they'll never win. And we'll crush them and blah, blah, blah, blah, blah.
[07:24:37.160 --> 07:24:41.560]   And she says, ah, geez, baby, but aren't you going to drive the world crazy and make them mad,
[07:24:41.560 --> 07:24:47.800]   especially America. And, and Netanyahu then ridicules us and says, let me tell you something
[07:24:47.800 --> 07:24:57.480]   about America. Okay. America is a thing that is easily moved. 80% of them support us. It's absurd.
[07:24:57.480 --> 07:25:04.360]   I'm not afraid of Bill Clinton. Let me tell you what I did to Bill Clinton. Bill Clinton said, yada, yada,
[07:25:04.360 --> 07:25:10.840]   area C. I said, no problem, Bill. But then you know what I did? I made it where area C is this huge
[07:25:10.840 --> 07:25:17.480]   military area, two thirds of the West bank. Ha ha ha. Sexually assaulted old Bill right in the face
[07:25:17.480 --> 07:25:23.400]   and got away with murder. And not because his spies were blackmailing Bill Clinton, tapping his phone
[07:25:23.400 --> 07:25:28.440]   and all of his sexcapades. They use that blackmail to try to get him to pardon Jonathan Pollard. That's
[07:25:28.440 --> 07:25:35.320]   different. They were doing that. But Netanyahu here is mocking Bill Clinton and he's mocking the American
[07:25:35.320 --> 07:25:43.320]   people for being essentially a bunch of grasshoppers that he can do whatever he wants with us, including
[07:25:43.320 --> 07:25:51.000]   lie our fathers into sending their sons to die in his wars. If I may just comment, one of the things
[07:25:51.000 --> 07:25:58.440]   that troubles me a lot in these, the geopolitical aspect of this is when the prime minister of Israel
[07:25:58.440 --> 07:26:04.680]   shows so much disrespect towards the president of my country. No, he never had any respect at all.
[07:26:04.680 --> 07:26:09.960]   Don't let, don't let me sound sympathetic to old Bill Clinton, the child killer here when I say this,
[07:26:09.960 --> 07:26:17.000]   but I can almost sympathize with him when they say after his first meeting with Netanyahu in 1996,
[07:26:17.000 --> 07:26:24.840]   after half an hour, he came out and said, who the F does this guy think he is? Oh my God. Who's the
[07:26:24.840 --> 07:26:31.400]   superpower and who's the client state? Like he was out of breath, exasperate, just stunned.
[07:26:31.400 --> 07:26:38.040]   Why, why is he able to talk like this to the United States president? I have no idea. He blackmailed Bill.
[07:26:38.040 --> 07:26:42.920]   He told Bill Clinton, you better let Jonathan Pollard out. Cause I have you on tape with Monica Lewinsky,
[07:26:42.920 --> 07:26:48.920]   pal. And Bill Clinton was going to do it, except that George Tenet said he would resign and that
[07:26:48.920 --> 07:26:55.000]   many leaders of the CIA would resign in protest. If he did it, Jonathan Pollard was the, one of the most
[07:26:55.000 --> 07:27:00.040]   destructive spies in American history was spying for Israel and they were turning over everything that he
[07:27:00.040 --> 07:27:06.920]   stole. I mean, rooms full to the Soviet Union, but it's not just Clinton. Like he shows, even just,
[07:27:06.920 --> 07:27:13.240]   let's just take it to today. Uh, Benjamin Netanyahu seems to show a lot of continued disrespect towards
[07:27:13.240 --> 07:27:21.080]   Donald Trump. Like this is the, this is the, Donald Trump is the president of the most powerful country.
[07:27:21.080 --> 07:27:26.360]   And the best friend he ever had. Moved the, moved the embassy to Jerusalem, recognized Israel's seizure
[07:27:26.360 --> 07:27:31.640]   of the Golan Heights, wrangled these phony Abraham Accords, which we're about to describe here in a minute.
[07:27:31.640 --> 07:27:36.920]   Did all of this for him. Has only barely talked him out of annexation, but said, we'll get to it though,
[07:27:36.920 --> 07:27:42.120]   buddy. It's cool. Just wait. On full annexation of the West Bank last time around. Clearly it's the agenda this
[07:27:42.120 --> 07:27:46.600]   time. Clearly Trump's wrapped around his little finger and still he has nothing but contempt.
[07:27:46.600 --> 07:27:53.000]   And I wish that someone would tell Trump, listen, pal, you might as well be a Palestinian to this guy.
[07:27:53.000 --> 07:27:58.040]   He doesn't care about you at all. He doesn't care about our country at all.
[07:27:58.040 --> 07:28:02.680]   Back to my question about Mark Dubowitz, my hypothetical here, which goes for all pro-Israel
[07:28:02.680 --> 07:28:09.960]   factions in the United States. You think Benjamin Netanyahu cares that 3000 Americans died on September 11th
[07:28:09.960 --> 07:28:15.000]   because Mohammed Atta was taking revenge for what Israel had done in Lebanon. No. And you know,
[07:28:15.000 --> 07:28:21.400]   how I know that Lex, he told the New York times, they didn't overhear this and report it. He said to
[07:28:21.400 --> 07:28:30.600]   the New York times in an interview on September 11th, it's very good. You want to pull that up.
[07:28:30.600 --> 07:28:42.440]   September 12th, 2001, New York times, Netanyahu. Very good. That's how much respect Benjamin Netanyahu
[07:28:42.440 --> 07:28:51.720]   has for the enlistment age sons of the United States of America and the dead civilians on those
[07:28:51.720 --> 07:28:59.480]   planes and in those towers. New York times. That's it. A day of terror. The Israelis spilled blood is seen as
[07:28:59.480 --> 07:29:07.000]   a bond that draws two nations closer. Asked tonight what the attack meant for the relations
[07:29:07.000 --> 07:29:13.240]   between the United States and Israel. Benjamin Netanyahu, the former prime minister replied,
[07:29:13.240 --> 07:29:21.160]   it's very good. Then he edited himself. Well, it's not very good, but it will generate immediate sympathy.
[07:29:21.160 --> 07:29:27.640]   He predicted that the attack would, quote, strengthen the bond between our two peoples because
[07:29:28.680 --> 07:29:34.600]   we've experienced terror over so many decades. But the United States has now experienced a massive
[07:29:34.600 --> 07:29:40.200]   hemorrhaging of terror. Yeah, man. And listen, on September 11th, Donald Trump says that there
[07:29:40.200 --> 07:29:46.120]   were Muslims in New Jersey celebrating the attack. There was somebody in New Jersey celebrating the
[07:29:46.120 --> 07:29:52.760]   attack. They were Israeli Mossad officers and they were arrested. And they told the arresting officers,
[07:29:52.760 --> 07:29:58.440]   the problem isn't us. The problem is the Palestinians. And the FBI released the pictures and they're
[07:29:58.440 --> 07:30:03.240]   holding lighters up like they're the ones burning the tower down and they're all laughing and celebrating.
[07:30:03.240 --> 07:30:09.640]   Justin Raimondo called them the high-fivers. The FBI arrested them and held them for months. Carl
[07:30:09.640 --> 07:30:17.080]   Cameron of Fox News did a four-part investigative series, quoting FBI agents as saying they had to have
[07:30:17.080 --> 07:30:24.600]   known what was happening. Mossad was in the United States following the hijackers around and they only
[07:30:24.600 --> 07:30:31.720]   gave the barest of warnings that August. They did not tell everything that they knew about the September
[07:30:31.720 --> 07:30:40.200]   11th attack. And then it hit and Netanyahu said it's very good. And then his fifth column lied us into war
[07:30:40.200 --> 07:30:47.240]   with Iraq. And he never got his pipeline to Haifa, by the way, but he did make a deal with the Kurds to
[07:30:47.240 --> 07:30:54.280]   ship the, the, uh, oil out of there through Syria to Israel. So they got their nickel a barrel discount
[07:30:54.280 --> 07:31:03.000]   at the cost of $10 trillion of our wealth. And they just, and the ruining of the entire beginning of the
[07:31:03.000 --> 07:31:10.200]   third millennium, pardon me. Um, but it just did not have to be this way. It just did not at all.
[07:31:10.200 --> 07:31:15.560]   Is it worthwhile here before we talk about Gaza to draw a distinction between the Israeli government
[07:31:15.560 --> 07:31:20.840]   and the Israeli people, just like we can draw the distinction between Hamas and the Palestinian people.
[07:31:20.840 --> 07:31:26.920]   Yes, absolutely. Although I would say that by the Israeli's argument about popular sovereignty and
[07:31:26.920 --> 07:31:34.600]   popular consent among the Palestinians for Hamas, they are far more implicated in the actions of their
[07:31:34.600 --> 07:31:41.320]   government. There's virtually unanimous political consent for Israel's government's actions in that
[07:31:41.320 --> 07:31:47.480]   country. Their political spectrum is from Dick Cheney to Hitler with Dick Cheney being the leftist
[07:31:47.480 --> 07:31:57.160]   progressive. They are a national socialist regime at war under a theory of that they are a master race
[07:31:57.160 --> 07:32:06.440]   ruling over the Untermenschen. It is a barbarian society. And does that implicate every last Israeli
[07:32:06.440 --> 07:32:12.440]   individual civilian human being? Of course not, Lex. The, you know, a bunch of the people who were killed
[07:32:12.440 --> 07:32:18.840]   at that rave, they were actually there at a peace function. They were trying to figure out a way to
[07:32:18.840 --> 07:32:25.400]   help the people of the Gaza Strip and even to someday recognize their independence and freedom and do
[07:32:25.400 --> 07:32:31.800]   something for them. Those people got caught up and murdered by Hamas that day, right? There, there are
[07:32:31.800 --> 07:32:37.080]   not just liberals and leftists, but libertarians and different. There are plenty of army veterans and
[07:32:37.080 --> 07:32:45.320]   whatever. You want to go with like the overall percentages. There is a resounding consensus
[07:32:45.320 --> 07:32:49.880]   for this type of policy in that country, reminiscent of America, circa 2002,
[07:32:49.880 --> 07:32:58.760]   in a way that we do not have after October 7th, even more. So no, even before that, even before that,
[07:32:58.760 --> 07:33:06.680]   you know, the, the Palestinians are considered to be the barbarians. They are the enemy. They are the
[07:33:06.680 --> 07:33:17.080]   goyim. They are the obstacle to what the Palestinian, what the Israeli government and the ideal is for
[07:33:17.080 --> 07:33:21.560]   the country to have. Wouldn't it just be better if we could get rid of them all? And that is the
[07:33:21.560 --> 07:33:27.880]   consensus and just get rid of them all one way or the other. And I, I think that, you know, whatever,
[07:33:27.880 --> 07:33:33.800]   I'm not saying as Madeline Albright would say, the people of Iraq are all responsible for Saddam Hussein
[07:33:33.800 --> 07:33:38.520]   and I'll starve them all and grind their bones to make my bread. As long as they won't overthrow
[07:33:38.520 --> 07:33:45.560]   Saddam for me, which is the same thing Osama bin Laden said, which is the American people are responsible
[07:33:45.560 --> 07:33:50.200]   for the actions of our government. After all, you're a democracy, aren't you? And you pay your taxes,
[07:33:50.200 --> 07:33:55.880]   he said. And so that was why he said it was okay to kill us. I would never agree with Madeline Albright or
[07:33:55.880 --> 07:34:02.760]   Osama bin Laden about why it's okay to kill innocent civilians at all. I'm as diametrically opposed to their
[07:34:02.760 --> 07:34:09.160]   philosophy as I could possibly be. Um, and that goes for absolutely when Palestinians kill innocent
[07:34:09.160 --> 07:34:13.800]   Israeli civilians. And if people will say, well, they're settlers and colonists and all this too,
[07:34:13.800 --> 07:34:19.160]   fine. If they're not holding a gun, they're not a combatant, then they're not holding the gun and
[07:34:19.160 --> 07:34:24.360]   they're not a combatant. That's it. That's, you know, I don't know what the Geneva Conventions say.
[07:34:24.360 --> 07:34:28.520]   That's what the Horton Conventions say. I don't care about any of that, you know? Um, so,
[07:34:28.520 --> 07:34:34.360]   and especially when it's children. Yeah. And so even if the population of the United States,
[07:34:34.360 --> 07:34:43.400]   say the population of Texas broadly in hell and you could measure the polls go back, I bet you it's
[07:34:43.400 --> 07:34:50.200]   better than 85% of Texans supported George Bush's invasion of Iraq. Does that mean any of them deserve
[07:34:50.200 --> 07:34:56.600]   to be killed because they supported his evil premeditated plot to kill people? No, that's
[07:34:56.600 --> 07:35:01.640]   politics. That's government. And that's the individual men who pulled the decisions, the
[07:35:01.640 --> 07:35:07.800]   individual men who told the lies to convince the hapless to go along. They're responsible.
[07:35:07.800 --> 07:35:16.040]   People who cheer led for it. Let's just concede much less so. Okay. You know, if the people of
[07:35:16.040 --> 07:35:21.720]   America said absolutely not, well, that would have been better. And ultimately it was up to us
[07:35:21.720 --> 07:35:27.080]   if we could get enough of us to be good on it all at once. Like we talked about with Syria and stopping
[07:35:27.080 --> 07:35:31.800]   the war in 2013, they just could not get past the population that wouldn't budge.
[07:35:31.800 --> 07:35:38.440]   We should say that in such dire situations, the propaganda machine turns on in every individual
[07:35:38.440 --> 07:35:44.600]   nation. And so it's actually very difficult to be a citizen that can see the reality of the world
[07:35:44.600 --> 07:35:50.040]   clearly because you're swimming in information that is very constrained to a particular kind of
[07:35:50.040 --> 07:35:55.320]   narrative. And this is true for every single nation at war. And have you ever seen the documentary
[07:35:55.320 --> 07:36:01.560]   "Defamation"? It's really great. It's made by an Israeli Jew who goes out in search of anti-Semitism.
[07:36:01.560 --> 07:36:07.080]   And the worst anti-Semite in the whole movie is his grandma on the West Bank. I'm not going to quote
[07:36:07.080 --> 07:36:12.360]   her because she's a vicious anti-Semite. But the thing is, is he goes traveling all around the world,
[07:36:12.360 --> 07:36:17.000]   trying to find anybody who hates Jews for being Jews. And he has no such luck. And he goes and he
[07:36:17.000 --> 07:36:22.760]   hangs out with Abe Boxman at the Anti-Defamation League. And he goes on a field trip to Auschwitz with
[07:36:22.760 --> 07:36:29.080]   some Israeli kids. But at the beginning of the documentary, he shows how the propaganda campaign
[07:36:29.080 --> 07:36:35.160]   against the Israeli people by their government is essentially like America, 2002, forever.
[07:36:35.160 --> 07:36:43.960]   With no let up. It's show of this, show of that, always. And they really tell the people, they really
[07:36:43.960 --> 07:36:49.560]   do raise them to believe that every non-Jew in the world wakes up in the morning with only one goal:
[07:36:50.280 --> 07:36:57.560]   to kill all the Jews. And that's all anyone else cares about or thinks about. And they're all looking
[07:36:57.560 --> 07:37:04.840]   for the first opportunity. And aren't you glad that Israel's here to protect you? Otherwise,
[07:37:04.840 --> 07:37:12.040]   it would be another Holocaust immediately tomorrow. That wasn't the result of the most insane, fanatical,
[07:37:12.040 --> 07:37:20.680]   cranked out lunatics to ever seize power in a major industrial nation. No, that's what all of humanity
[07:37:20.680 --> 07:37:28.040]   wants to do to us and would do at any moment if they could. That's what they're told all day, every
[07:37:28.040 --> 07:37:34.840]   day. And to a great extent, then believe it. And so then it's like an anti-fragile belief. Daryl Cooper
[07:37:34.840 --> 07:37:41.640]   was talking about this on our show the other day, that the more people say, "My God, Israel, what they're
[07:37:41.640 --> 07:37:48.760]   doing is so wrong and I disapprove and I don't like them anymore." The more they say, "See?" He compared
[07:37:48.760 --> 07:37:55.400]   them to the Branch Davidians. When people turn against us, it's just like we predicted they would. You see what
[07:37:55.400 --> 07:38:03.320]   they're doing. It's just like before. And so there's no room in there to say, "Hey, wait a minute.
[07:38:03.320 --> 07:38:08.200]   Maybe we really are going too far here. If all our friends are telling us that we're doing the wrong
[07:38:08.200 --> 07:38:13.640]   thing, what the hell?" Nope. You know how the anti-Semites are. That's all they do. That's all they
[07:38:13.640 --> 07:38:20.200]   want to do. And that's all they think about all day long is how they can harm us. All of them. And so
[07:38:20.840 --> 07:38:28.120]   under that state of paranoid siege, then you shouldn't be too surprised that people are
[07:38:28.120 --> 07:38:34.360]   willing to then go to the utmost lengths to destroy their enemies, you know, when they can. And of course,
[07:38:34.360 --> 07:38:40.360]   Hamas did a very good job on October 7th of playing into that script. But now we're taking our time here
[07:38:40.360 --> 07:38:44.360]   today. So before we get to that, let's talk about Eros Aronimo a minute here, because...
[07:38:44.360 --> 07:38:49.400]   I should mention briefly that this defamation movie looks excellent.
[07:38:49.400 --> 07:38:50.680]   Oh, it's so good.
[07:38:50.680 --> 07:38:55.960]   Israeli director and a lot of the Israeli press are praising it. It looks fascinating. Of course,
[07:38:55.960 --> 07:39:00.920]   this 2009 would be interesting to see how that evolves with social media and all that kind of stuff.
[07:39:00.920 --> 07:39:05.160]   But it's actually, it's fascinating when you confront the reality.
[07:39:05.160 --> 07:39:17.720]   How uncomfortable people are when confronted with the fact that actually nobody hates you at all.
[07:39:17.720 --> 07:39:23.000]   And then it's like, they feel so uncomfortable. At one point when he goes on the field trip to
[07:39:23.000 --> 07:39:28.120]   Auschwitz with these high school kids and they meet this old man and he's like, "Hi, who are you?" And
[07:39:28.120 --> 07:39:31.400]   they're like, "We're kids from Israel. We came to see Auschwitz." He's like, "Oh, that's interesting.
[07:39:31.400 --> 07:39:34.280]   Why are you doing that?" And they're like, "Well, it's part of our history and the thing that we're
[07:39:34.280 --> 07:39:39.160]   doing." And he's like, "Oh, okay." And then the next day, at one point they're walking through this
[07:39:39.160 --> 07:39:47.400]   beautiful green field. It's like puffy clouds and blue skies and chirping birds. And the Holocaust is
[07:39:47.400 --> 07:39:53.080]   long over now in Poland. And so they're just, it's a beautiful scene and they have a Mossad bodyguard
[07:39:53.080 --> 07:39:57.480]   there to protect them from the anti-Semites who are going to jump out of the woods and Holocaust them
[07:39:57.480 --> 07:40:03.320]   all if he wasn't there to protect them. And then the next day, the guy says to him, "So, how was your trip
[07:40:03.320 --> 07:40:06.200]   to Poland? How have you liked it?" And everything. And the one girl starts explaining, "Yeah,
[07:40:06.200 --> 07:40:10.760]   this old man, he came up to us and attacked us and called us Jew donkeys and all these things."
[07:40:10.760 --> 07:40:16.520]   And he says, "No, he didn't. I have it on film. I'll show it to you right here." He said, "Hi,
[07:40:16.520 --> 07:40:20.200]   who are you? And what are you doing here? Oh, that's interesting. Why are you doing that?" That's what he said.
[07:40:20.200 --> 07:40:26.360]   But the thing is, is they came all this way after being told that everybody's trying to murder them.
[07:40:26.360 --> 07:40:32.280]   They're in the land of the Holocaust and there is no Holocaust going along anywhere. That was at that
[07:40:32.280 --> 07:40:39.880]   time, 70 years before. And they don't need a Mossad bodyguard at all. In fact, they don't even need
[07:40:39.880 --> 07:40:45.960]   Stanley Smith security there at all. Just their teacher would be fine. And no one there is anti-Semitic
[07:40:45.960 --> 07:40:51.240]   and no one there means them any harm at all. And these high school students then have a hard time coping
[07:40:51.240 --> 07:40:56.200]   with that and trying to figure out what this weird world is that they're living in where it can't be
[07:40:56.200 --> 07:41:01.400]   that they were lied to. It's gotta be, that guy must've said something hateful to us under his
[07:41:01.400 --> 07:41:05.400]   breath. I'm pretty sure he did. Didn't he say something about how we're donkeys or something?
[07:41:05.400 --> 07:41:10.520]   Right. And they just have to come up with this in their own mind to rationalize the danger that they've
[07:41:10.520 --> 07:41:15.960]   been told by people that they trust that they're in when in fact they're not. Right. And when in fact,
[07:41:15.960 --> 07:41:21.000]   when they are, it's the direct result of American wars, like scaring a bunch of refugees into
[07:41:21.000 --> 07:41:25.000]   Europe and then killing even more people. And then they commit terrorist attacks,
[07:41:25.000 --> 07:41:29.320]   things like that, which is again, all Israeli foreign policy, that's getting them killed.
[07:41:29.320 --> 07:41:35.800]   But now anti-Semitism is good for Israel and they know it. Benjamin Netanyahu is as cynical as can be
[07:41:35.800 --> 07:41:40.920]   about this. If you remember when, uh, there was one of these attacks, I believe at the kosher grocery
[07:41:40.920 --> 07:41:50.200]   store in Paris. Netanyahu came to France and he said, that's right. French Jews. You'll never be French.
[07:41:50.200 --> 07:41:58.840]   You're Jews. Come home to Israel. And they said, damn you. Screw you and get out. We are too French.
[07:41:58.840 --> 07:42:04.840]   And how dare you come here to this country and tell everybody else that we really were your fifth column
[07:42:04.840 --> 07:42:11.640]   and not patriotic members of our civil society, civic society that we are in fact part of and have lived
[07:42:11.640 --> 07:42:19.960]   here for centuries. Screw you, dude. But that's good for him. He likes it when people hate Jews overseas because it's
[07:42:19.960 --> 07:42:25.800]   it's good for driving Jews overseas to move to Israel. And that's, what's good for Israel. And that's the
[07:42:25.800 --> 07:42:33.800]   only thing he cares about again, September 11th. Oh man, this is great. Is the only way that he can see it.
[07:42:33.800 --> 07:42:41.960]   What he always wanted. And just like the high fibers. Oh, good. The Palestinians are the problem.
[07:42:42.920 --> 07:42:44.920]   Now we can get you to do what we want.
[07:42:44.920 --> 07:42:51.480]   Can we go to, Oh yeah. We got to do, uh,
[07:42:51.480 --> 07:42:57.720]   Aero Sharon 2005 real quick. Aero Sharon disengages from the Gaza Strip. Now, why do you do that? Well,
[07:42:57.720 --> 07:43:03.560]   there's two major reasons. Okay. The first one is, and you can pull this up if you want to at
[07:43:03.560 --> 07:43:11.640]   scotthorne.org/fairuse. It's the guy's name is Arnon Soffer with two Fs. Arnon Soffer and then type in
[07:43:11.640 --> 07:43:21.080]   kill and kill. That should bring it up. There you go. An interview with him from, as I say it here,
[07:43:21.080 --> 07:43:29.080]   the year is 2004. It is a year before prime minister, Ariel Sharon quote, disengages from Gaza. Two years
[07:43:29.080 --> 07:43:36.120]   before Hamas winds of plurality in the election George W. Bush forced them to hold. Three years
[07:43:36.120 --> 07:43:42.040]   before Elliott Abrams failed coup, which led to Hamas kicking the Palestinian authority out of Gaza
[07:43:42.040 --> 07:43:47.960]   and seizing so-called control under the Strip. Of the Strip, under Israeli overlordship, of course,
[07:43:47.960 --> 07:43:53.560]   and the institution of the full-scale siege and the beginning of the "mowing the grass" campaigns,
[07:43:53.560 --> 07:44:00.520]   which began in 2008. Sharon's advisor, Arnon Soffer, explained to the Jerusalem Post that the
[07:44:00.520 --> 07:44:06.280]   problem is the Palestinian Muslims and Christians are having too many babies. The Israelis don't want
[07:44:06.280 --> 07:44:14.040]   to let them have a state, but they do want to kick them, quote, out of Israel, at least virtually or
[07:44:14.040 --> 07:44:21.720]   figuratively, by so-called disengaging with them so as to reduce the number of Palestinians officially
[07:44:21.720 --> 07:44:29.320]   occupied by Israel by a couple of million people. Does that make sense? So this guy is a demographer
[07:44:29.320 --> 07:44:35.800]   from Tel Aviv University. He comes to Ariel Sharon and says, "Mr. Prime Minister, you got to look at my
[07:44:35.800 --> 07:44:41.880]   mathematics here. We have a problem. There are too many Palestinians and they are out reproducing us.
[07:44:41.880 --> 07:44:48.440]   We are approaching a 50/50 split or worse, where we are going to be a literal dictionary definition,
[07:44:48.440 --> 07:44:55.000]   apartheid state of a minority ruling the majority under this iron fist. And that could be very
[07:44:55.000 --> 07:44:59.320]   untenable for the future of the state and our support from the rest of the Western states, etc."
[07:44:59.320 --> 07:45:07.800]   So to solve this problem, what we want to do is just figuratively kick the Gazans out of Israel,
[07:45:07.800 --> 07:45:14.280]   even though Israel stole the Gaza Strip in 67 and they never did literally disengage. They just put the
[07:45:14.280 --> 07:45:21.880]   thing under siege. If you listen to pro-Israel propagandists now, they'll say, "Well, we gave
[07:45:21.880 --> 07:45:27.560]   them a Palestinian state. We gave them full independence with the disengagement of 2005,
[07:45:27.560 --> 07:45:33.720]   and all we got in return is rockets." But that's not true. It was the Israelis that broke the ceasefire
[07:45:33.720 --> 07:45:41.240]   originally, just as they always did ever since that time, until October the 7th of '23. They broke the
[07:45:41.240 --> 07:45:47.240]   ceasefires every single time. And then it was W. Bush who forced them to hold the election, where Hamas won,
[07:45:47.240 --> 07:45:53.400]   again, a plurality, not a majority in even any single district anywhere in Palestine, did they win a
[07:45:53.400 --> 07:46:02.200]   majority of the popular vote. Then they formed a coalition government, which W. Bush then secretly
[07:46:02.200 --> 07:46:07.240]   conspired. And it's funny to read, the article is called "The Gaza Bombshell" by David Rose and Vanity
[07:46:07.240 --> 07:46:15.640]   Fair. And in that article, David Wormser throws Elliott Abrams under the bus for this and says this was an
[07:46:15.640 --> 07:46:24.600]   idiotic scheme to help Fatah overthrow Hamas in the Gaza Strip, which led to Hamas kicking their ass and
[07:46:24.600 --> 07:46:31.080]   pushing them out instead. And Hamas then having more control over the Gaza Strip, which is what I think the
[07:46:31.080 --> 07:46:37.480]   Likud guys probably wanted. So first of all, now again, I'll get right back to that in a second, but
[07:46:37.480 --> 07:46:45.240]   Safar again. This article is from the Jerusalem Post, where he gives an interview to a lady named Sarah
[07:46:45.240 --> 07:46:51.800]   something, and he explains the whole thing. Now I found this, I forget where I got it from, but it was,
[07:46:51.800 --> 07:46:57.880]   I found on the Jerusalem Post where it used to be, like the URL is still there, but, and you can see where other
[07:46:57.880 --> 07:47:03.480]   people have linked to it in the past, but now that URL is dead, and that kind of thing. But if you
[07:47:03.480 --> 07:47:08.440]   search the Jerusalem Post website carefully for her name and his name, you will find other articles
[07:47:08.440 --> 07:47:13.480]   about it where they refer back to this and refer back to the most explosive quotes out of it, etc.
[07:47:13.480 --> 07:47:19.640]   So this is verified and definitely a real interview, even though I don't believe you can find the whole
[07:47:19.640 --> 07:47:24.600]   thing at the Jerusalem Post anymore. But that's where it comes from. So by the way, yes, go ahead.
[07:47:24.600 --> 07:47:32.920]   You've mentioned many times Scott Horton.org/fairyuse, so you're almost like creating an archive of
[07:47:32.920 --> 07:47:38.280]   important documents that if they were to be erased from the internet, they're here to be found.
[07:47:38.280 --> 07:47:43.000]   Right. As the stuff that's like most important, especially if I need it and I need to link to it,
[07:47:43.000 --> 07:47:46.600]   and I think, you know, whoever's got it now is going to be unreliable in the near future. Link
[07:47:46.600 --> 07:47:53.640]   rod is a real thing. That's a real problem. And so yeah, on things like this where it's like, I can
[07:47:53.640 --> 07:47:58.120]   only find it in a pretty obscure place, I'll go ahead and reprint it here so that if that obscure
[07:47:58.120 --> 07:48:03.800]   place goes away, it'll still exist. Because man, I mean, I really am shocked and surprised and dismayed
[07:48:03.800 --> 07:48:10.120]   how many times you'll have crucial information that there's only one version of it anywhere online,
[07:48:10.120 --> 07:48:15.720]   and it could go away any day. You know what I mean? Like there's a lot of things like that stresses me
[07:48:15.720 --> 07:48:24.120]   out. So I try to do stuff like this. So now, so he, he says, listen, this is what we got to do.
