
[00:00:00.000 --> 00:00:01.320]   Dating is inherently deceptive.
[00:27:13.040 --> 00:27:14.040]   And I say it this way sometimes.
[00:27:14.040 --> 00:27:15.040]   Cause it's slightly controversial.
[00:27:15.040 --> 00:27:16.040]   But.
[00:27:16.040 --> 00:27:17.040]   Dating is inherently deceptive.
[00:27:17.040 --> 00:27:20.040]   Um.
[00:27:20.040 --> 00:27:21.040]   So that's sort of a negative way of putting it.
[00:27:21.040 --> 00:27:22.040]   But the positive way of putting it.
[00:27:22.040 --> 00:27:23.040]   Is you're always going to put your best foot forward.
[00:27:23.040 --> 00:27:24.040]   Yeah.
[00:27:24.040 --> 00:27:25.040]   Which is good.
[00:27:25.040 --> 00:27:26.040]   You want to do that right.
[00:27:26.040 --> 00:27:27.040]   You're going to dress the best.
[00:27:27.040 --> 00:27:28.040]   Which you should.
[00:27:28.040 --> 00:27:29.040]   Yeah.
[00:27:29.040 --> 00:27:30.040]   If you don't normally shower.
[00:27:30.040 --> 00:27:31.040]   You're going to shower.
[00:27:31.040 --> 00:27:32.040]   You know.
[00:27:32.040 --> 00:27:33.040]   Like.
[00:27:33.040 --> 00:27:34.040]   You're going to be on your best behavior.
[00:27:34.040 --> 00:27:35.040]   And you should.
[00:27:35.040 --> 00:27:37.040]   But if that's the only thing that you see.
[00:27:37.040 --> 00:27:40.040]   You're only going to see that other person's sort of.
[00:27:40.040 --> 00:27:41.040]   Yeah.
[00:27:41.040 --> 00:27:42.040]   Best face.
[00:27:42.040 --> 00:27:44.040]   If you want to really understand who that person is.
[00:27:44.040 --> 00:27:48.040]   It's best to see them in context of other relationships.
[00:27:48.040 --> 00:27:49.040]   How.
[00:27:49.040 --> 00:27:50.040]   How are they with their friends.
[00:27:50.040 --> 00:27:52.040]   How are they with people older than them.
[00:27:52.040 --> 00:27:54.040]   How are they with people younger than them.
[00:27:54.040 --> 00:27:55.040]   Seeing all of those things.
[00:27:55.040 --> 00:27:56.040]   Actually gets you.
[00:27:56.040 --> 00:27:58.040]   A really good picture of what someone's going to be like.
[00:27:58.040 --> 00:27:59.040]   When you marry them.
[00:27:59.040 --> 00:28:00.040]   Um.
[00:28:00.040 --> 00:28:01.040]   And so.
[00:28:01.040 --> 00:28:02.040]   That's like one practical thing.
[00:28:02.040 --> 00:28:03.040]   I tell people.
[00:28:03.040 --> 00:28:04.040]   Look out for that.
[00:28:04.040 --> 00:28:05.040]   Yeah.
[00:28:05.040 --> 00:28:06.040]   That's really interesting because.
[00:28:06.040 --> 00:28:06.040]   You know.
[00:28:06.040 --> 00:28:07.040]   Dating today is.
[00:28:07.040 --> 00:28:08.040]   Seen so often as like a.
[00:28:08.040 --> 00:28:09.040]   Just one on one kind of thing.
[00:28:09.040 --> 00:28:10.040]   Or just like.
[00:28:10.040 --> 00:28:11.040]   That's just a couple.
[00:28:11.040 --> 00:28:12.040]   Kind of thing.
[00:28:12.040 --> 00:28:13.040]   And you're kind of expanding that.
[00:28:13.040 --> 00:28:14.040]   And.
[00:28:14.040 --> 00:28:15.040]   I find that kind of counter cultural too.
[00:28:15.040 --> 00:28:16.040]   So.
[00:28:16.040 --> 00:28:17.040]   Yeah.
[00:28:17.040 --> 00:28:18.040]   It talks about community so much.
[00:28:18.040 --> 00:28:19.040]   And I think it's so.
[00:28:19.040 --> 00:28:20.040]   It's so.
[00:28:20.040 --> 00:28:21.040]   Practical.
[00:28:21.040 --> 00:28:22.040]   Like.
[00:28:22.040 --> 00:28:23.040]   You need a village to raise a child.
[00:28:23.040 --> 00:28:24.040]   You know.
[00:28:24.040 --> 00:28:25.040]   Like.
[00:28:25.040 --> 00:28:26.040]   You need.
[00:28:26.040 --> 00:28:26.040]   Like.
[00:28:26.040 --> 00:28:27.040]   I don't know how we could have done.
[00:28:27.040 --> 00:28:28.040]   Marriage.
[00:28:28.040 --> 00:28:29.040]   Honestly.
[00:28:29.040 --> 00:28:30.040]   Without all of the relationships that kind of supported us.
[00:28:30.040 --> 00:28:31.040]   Oh yeah.
[00:28:31.040 --> 00:28:32.040]   If I.
[00:28:32.040 --> 00:28:33.040]   If.
[00:28:33.040 --> 00:28:34.040]   If.
[00:28:34.040 --> 00:28:35.040]   If.
[00:28:35.040 --> 00:28:36.040]   Like.
[00:28:36.040 --> 00:28:37.040]   I was the only source of.
[00:28:37.040 --> 00:28:38.040]   Like.
[00:28:38.040 --> 00:28:39.040]   Emotional support for her.
[00:28:39.040 --> 00:28:40.040]   Or vice versa.
[00:28:40.040 --> 00:28:41.040]   That's tough.
[00:28:41.040 --> 00:28:42.040]   Like.
[00:28:42.040 --> 00:28:43.040]   Who can shoulder that.
[00:28:43.040 --> 00:28:44.040]   Right.
[00:28:44.040 --> 00:28:45.040]   And so.
[00:28:45.040 --> 00:28:46.040]   You kind of need all of those relationships all together.
[00:28:46.040 --> 00:28:47.040]   Yeah.
[00:28:47.040 --> 00:28:48.040]   That's good.
[00:28:48.040 --> 00:28:49.040]   Are there any other.
[00:28:49.040 --> 00:28:50.040]   I don't know.
[00:28:50.040 --> 00:28:53.040]   Ways in which this issue has come out in your ministry.
[00:28:53.040 --> 00:28:54.040]   Just other things you try to do.
[00:28:54.040 --> 00:28:56.040]   Other than like your yearly presentation.
[00:28:56.040 --> 00:28:57.040]   Or whatever.
[00:28:57.040 --> 00:28:58.040]   That where you're trying to guard the culture.
[00:28:58.040 --> 00:28:59.040]   Or.
[00:28:59.040 --> 00:29:00.040]   Or teach.
[00:29:00.040 --> 00:29:01.040]   Right.
[00:29:01.040 --> 00:29:02.040]   Biblical values around this.
[00:29:02.040 --> 00:29:03.040]   Like.
[00:29:03.040 --> 00:29:04.040]   Is there anything else that.
[00:29:04.040 --> 00:29:05.040]   Either tell your staff.
[00:29:05.040 --> 00:29:06.040]   Or.
[00:29:06.040 --> 00:29:07.040]   Just anything.
[00:29:07.040 --> 00:29:08.040]   Anything where it kind of comes in.
[00:29:08.040 --> 00:29:09.040]   Well.
[00:29:09.040 --> 00:29:10.040]   One other.
[00:29:10.040 --> 00:29:11.040]   I guess.
[00:29:11.040 --> 00:29:12.040]   Piece of advice.
[00:29:12.040 --> 00:29:13.040]   That we generally advise.
[00:29:13.040 --> 00:29:14.040]   If they're asking for it.
[00:29:14.040 --> 00:29:15.040]   Is to.
[00:29:15.040 --> 00:29:16.040]   Um.
[00:29:16.040 --> 00:29:17.040]   We encourage them.
[00:29:17.040 --> 00:29:18.040]   To come up with guardrails.
[00:29:18.040 --> 00:29:19.040]   Around like.
[00:29:19.040 --> 00:29:20.040]   How late at night.
[00:29:20.040 --> 00:29:21.040]   Are you going to hang out.
[00:29:21.040 --> 00:29:22.040]   Um.
[00:29:22.040 --> 00:29:23.040]   Like.
[00:29:23.040 --> 00:29:24.040]   How private is the space.
[00:29:24.040 --> 00:29:25.040]   That you're going to be in together.
[00:29:25.040 --> 00:29:26.040]   And again.
[00:29:26.040 --> 00:29:27.040]   This is all with regards to.
[00:29:27.040 --> 00:29:28.040]   Kind of crossing the.
[00:29:28.040 --> 00:29:29.040]   The.
[00:29:29.040 --> 00:29:30.040]   The barrier of like.
[00:29:30.040 --> 00:29:31.040]   Um.
[00:29:31.040 --> 00:29:32.040]   Having sex before marriage.
[00:29:32.040 --> 00:29:33.040]   And that's what we're really concerned about.
[00:29:33.040 --> 00:29:34.040]   More than anything else.
[00:29:34.040 --> 00:29:35.040]   Really.
[00:29:35.040 --> 00:29:36.040]   Is purity.
[00:29:36.040 --> 00:29:37.040]   And so.
[00:29:37.040 --> 00:29:38.040]   Um.
[00:29:38.040 --> 00:29:39.040]   We will often advise them.
[00:29:39.040 --> 00:29:40.040]   To.
[00:29:40.040 --> 00:29:41.040]   Just come up with.
[00:29:41.040 --> 00:29:42.040]   What those guardrails are.
[00:29:42.040 --> 00:29:43.040]   And.
[00:29:43.040 --> 00:29:44.040]   So you set a guardrail.
[00:29:44.040 --> 00:29:45.040]   Let's say you go past that.
[00:29:45.040 --> 00:29:46.040]   That's not sin.
[00:29:46.040 --> 00:29:47.040]   That's your guardrail.
[00:29:47.040 --> 00:29:48.040]   What it's supposed to do.
[00:29:48.040 --> 00:29:49.040]   Is to prick your conscience.
[00:29:49.040 --> 00:29:50.040]   And cause you.
[00:29:50.040 --> 00:29:51.040]   To be like.
[00:29:51.040 --> 00:29:52.040]   Oh.
[00:29:52.040 --> 00:29:53.040]   Remember we agreed on something.
[00:29:53.040 --> 00:29:54.040]   Let's not let that slip.
[00:29:54.040 --> 00:29:55.040]   Yeah.
[00:29:55.040 --> 00:29:56.040]   So that it doesn't.
[00:29:56.040 --> 00:29:57.040]   It's not that slippery slope.
[00:29:57.040 --> 00:29:58.040]   That we're going to be sliding down.
[00:29:58.040 --> 00:29:59.040]   Mm-hmm.
[00:29:59.040 --> 00:30:00.040]   And.
[00:30:00.040 --> 00:30:01.040]   I think that's something that.
[00:30:01.040 --> 00:30:02.040]   Um.
[00:30:02.040 --> 00:30:03.040]   When couples have asked for.
[00:30:03.040 --> 00:30:04.040]   Mentorship.
[00:30:04.040 --> 00:30:05.040]   Through their.
[00:30:05.040 --> 00:30:06.040]   Uh.
[00:30:06.040 --> 00:30:07.040]   Courting relationship.
[00:30:07.040 --> 00:30:08.040]   Um.
[00:30:08.040 --> 00:30:09.040]   We will highly encourage.
[00:30:09.040 --> 00:30:10.040]   Having those types of things in place.
[00:30:10.040 --> 00:30:11.040]   Yeah.
[00:30:11.040 --> 00:30:12.040]   Yeah.
[00:30:12.040 --> 00:30:13.040]   Like.
[00:30:13.040 --> 00:30:14.040]   I.
[00:30:14.040 --> 00:30:15.040]   So.
[00:30:15.040 --> 00:30:16.040]   A lot of times I tell people like.
[00:30:16.040 --> 00:30:17.040]   I'm not against your dating.
[00:30:17.040 --> 00:30:18.040]   I think dating is great.
[00:30:18.040 --> 00:30:19.040]   How are you going to get married.
[00:30:19.040 --> 00:30:20.040]   Unless you date.
[00:30:20.040 --> 00:30:21.040]   Um.
[00:30:21.040 --> 00:30:22.040]   What I am for.
[00:30:22.040 --> 00:30:23.040]   Most of all though.
[00:30:23.040 --> 00:30:24.040]   Is your future marriage.
[00:30:24.040 --> 00:30:25.040]   Mm-hmm.
[00:30:25.040 --> 00:30:26.040]   Like.
[00:30:26.040 --> 00:30:27.040]   I want your future marriage to be awesome.
[00:30:27.040 --> 00:30:28.040]   Mm-hmm.
[00:30:28.040 --> 00:30:29.040]   You so much through that.
[00:30:29.040 --> 00:30:30.040]   Yeah.
[00:30:30.040 --> 00:30:31.040]   And so let's protect that as best we can.
[00:30:31.040 --> 00:30:32.040]   Yeah.
[00:30:32.040 --> 00:30:33.040]   Mm-hmm.
[00:30:33.040 --> 00:30:34.040]   And one of the most practical ways to do that.
[00:30:34.040 --> 00:30:35.040]   Is.
[00:30:35.040 --> 00:30:38.040]   To avoid sexual sin before you get married.
[00:30:38.040 --> 00:30:39.040]   Yeah.
[00:30:39.040 --> 00:30:40.040]   Um.
[00:30:40.040 --> 00:30:41.040]   So that's.
[00:30:41.040 --> 00:30:42.040]   That's sort of the principle there.
[00:30:42.040 --> 00:30:43.040]   Yeah.
[00:30:43.040 --> 00:30:44.040]   Man.
[00:30:44.040 --> 00:30:45.040]   I always.
[00:30:45.040 --> 00:30:46.040]   There's this quote.
[00:30:46.040 --> 00:30:47.040]   I think it's C.S. Lewis.
[00:30:47.040 --> 00:30:48.040]   But I haven't been able to track it down recently.
[00:30:48.040 --> 00:30:49.040]   But I remember one thing that he says.
[00:30:49.040 --> 00:30:50.040]   Is.
[00:30:50.040 --> 00:30:51.040]   Like people always talking about like missing out.
[00:30:51.040 --> 00:30:52.040]   Like I don't want to miss out.
[00:30:52.040 --> 00:30:53.040]   Right.
[00:30:53.040 --> 00:30:54.040]   Um.
[00:30:54.040 --> 00:30:55.040]   And so.
[00:30:55.040 --> 00:30:56.040]   Like that's a justification for like.
[00:30:56.040 --> 00:30:57.040]   Yeah.
[00:30:57.040 --> 00:30:58.040]   Dating around.
[00:30:58.040 --> 00:30:59.040]   Or kind of doing a lot of things.
[00:30:59.040 --> 00:31:00.040]   Mm-hmm.
[00:31:00.040 --> 00:31:01.040]   That you know.
[00:31:01.040 --> 00:31:02.040]   I don't want to miss out on that.
[00:31:02.040 --> 00:31:03.040]   And he says.
[00:31:03.040 --> 00:31:04.040]   Well you have to understand that you're making a choice.
[00:31:04.040 --> 00:31:05.040]   You're either going to miss out on one type of thing or another.
[00:31:05.040 --> 00:31:06.040]   Mm-hmm.
[00:31:06.040 --> 00:31:07.040]   Right.
[00:31:07.040 --> 00:31:08.040]   So yeah.
[00:31:08.040 --> 00:31:09.040]   If you.
[00:31:09.040 --> 00:31:10.040]   If you have premarital sex.
[00:31:10.040 --> 00:31:11.040]   And you.
[00:31:11.040 --> 00:31:12.040]   You're not going to miss out on that.
[00:31:12.040 --> 00:31:13.040]   But what you will miss out on.
[00:31:13.040 --> 00:31:14.040]   Is the experience of what it's like.
[00:31:14.040 --> 00:31:15.040]   To be faithful to just one person.
[00:31:15.040 --> 00:31:16.040]   Yeah.
[00:31:16.040 --> 00:31:17.040]   And you will never know what that's like.
[00:31:17.040 --> 00:31:18.040]   And you're giving that up.
[00:31:18.040 --> 00:31:19.040]   So I remember that being very powerful for me.
[00:31:19.040 --> 00:31:20.040]   Yeah.
[00:31:20.040 --> 00:31:21.040]   Like that really helped me as a young man.
[00:31:21.040 --> 00:31:22.040]   To kind of think to like.
[00:31:22.040 --> 00:31:23.040]   Okay.
[00:31:23.040 --> 00:31:24.040]   God knows best.
[00:31:24.040 --> 00:31:25.040]   And I don't want to miss out on his best.
[00:31:25.040 --> 00:31:26.040]   But I'll have to sacrifice that.
[00:31:26.040 --> 00:31:27.040]   If I.
[00:31:27.040 --> 00:31:28.040]   You know.
[00:31:28.040 --> 00:31:29.040]   Take these other things.
[00:31:29.040 --> 00:31:30.040]   I don't know.
[00:31:30.040 --> 00:31:31.040]   I just found that helpful.
[00:31:31.040 --> 00:31:32.040]   If you think it's C.S. Lewis.
[00:31:32.040 --> 00:31:33.040]   Sounds like the kind of thing he would say.
[00:31:33.040 --> 00:31:34.040]   But.
[00:31:34.040 --> 00:31:35.040]   I don't remember the source.
[00:31:35.040 --> 00:31:36.040]   Yeah.
[00:31:36.040 --> 00:31:37.040]   Yeah.
[00:31:37.040 --> 00:31:38.040]   Um.
[00:31:38.040 --> 00:31:39.040]   One question I have is like.
[00:31:39.040 --> 00:31:40.040]   What's.
[00:31:40.040 --> 00:31:41.040]   What's.
[00:31:41.040 --> 00:31:42.040]   Do you ever get pushback?
[00:31:42.040 --> 00:31:43.040]   Do you ever.
[00:31:43.040 --> 00:31:44.040]   Like what are some questions people ask.
[00:31:44.040 --> 00:31:45.040]   You know.
[00:31:45.040 --> 00:31:46.040]   Or like.
[00:31:46.040 --> 00:31:47.040]   You know.
[00:31:47.040 --> 00:31:48.040]   Yeah.
[00:31:48.040 --> 00:31:49.040]   Just ways people responded.
[00:31:49.040 --> 00:31:50.040]   Yeah.
[00:31:50.040 --> 00:31:51.040]   Just.
[00:31:51.040 --> 00:31:52.040]   On that.
[00:31:52.040 --> 00:31:53.040]   Cause it just sounds so reasonable.
[00:31:53.040 --> 00:31:54.040]   You know.
[00:31:54.040 --> 00:31:55.040]   Stuff like that.
[00:31:55.040 --> 00:31:56.040]   And I.
[00:31:56.040 --> 00:31:57.040]   I mean.
[00:31:57.040 --> 00:31:58.040]   I agree with everything you say.
[00:31:58.040 --> 00:31:59.040]   But.
[00:31:59.040 --> 00:32:00.040]   You know.
[00:32:00.040 --> 00:32:01.040]   Yeah.
[00:32:01.040 --> 00:32:02.040]   Yeah.
[00:32:02.040 --> 00:32:03.040]   Yeah.
[00:32:03.040 --> 00:32:04.040]   Well.
[00:32:04.040 --> 00:32:05.040]   Um.
[00:32:05.040 --> 00:32:06.040]   I think.
[00:32:06.040 --> 00:32:07.040]   Well.
[00:32:07.040 --> 00:32:08.040]   This is actually something that's happening more and more.
[00:32:08.040 --> 00:32:09.040]   Regularly.
[00:32:09.040 --> 00:32:10.040]   More than it used to.
[00:32:10.040 --> 00:32:11.040]   But.
[00:32:11.040 --> 00:32:12.040]   A lot of people don't even.
[00:32:12.040 --> 00:32:13.040]   Necessarily agree that.
[00:32:13.040 --> 00:32:14.040]   A Christian shouldn't date.
[00:32:14.040 --> 00:32:15.040]   A non-Christian.
[00:32:15.040 --> 00:32:16.040]   Which I think is.
[00:32:16.040 --> 00:32:17.040]   I don't know.
[00:32:17.040 --> 00:32:18.040]   Fairly clear.
[00:32:18.040 --> 00:32:19.040]   From scripture.
[00:32:19.040 --> 00:32:20.040]   Yeah.
[00:32:20.040 --> 00:32:21.040]   So.
[00:32:21.040 --> 00:32:22.040]   Cause you know.
[00:32:22.040 --> 00:32:23.040]   Again.
[00:32:23.040 --> 00:32:24.040]   The goal is to get married.
[00:32:24.040 --> 00:32:25.040]   Right.
[00:32:25.040 --> 00:32:26.040]   So you don't want to get.
[00:32:26.040 --> 00:32:27.040]   Um.
[00:32:27.040 --> 00:32:28.040]   So.
[00:32:28.040 --> 00:32:29.040]   So.
[00:32:29.040 --> 00:32:30.040]   So.
[00:32:30.040 --> 00:32:31.040]   Um.
[00:32:31.040 --> 00:32:34.040]   Who are you to.
[00:32:34.040 --> 00:32:36.040]   Say anything about my life.
[00:32:36.040 --> 00:32:37.040]   Mm-hmm.
[00:32:37.040 --> 00:32:38.040]   And.
[00:32:38.040 --> 00:32:39.040]   And I.
[00:32:39.040 --> 00:32:40.040]   And I get that.
[00:32:40.040 --> 00:32:41.040]   I.
[00:32:41.040 --> 00:32:42.040]   It's.
[00:32:42.040 --> 00:32:43.040]   It's not.
[00:32:43.040 --> 00:32:45.040]   It's never easy to invite.
[00:32:45.040 --> 00:32:46.040]   Someone into your life.
[00:32:46.040 --> 00:32:47.040]   Especially if there's.
[00:32:47.040 --> 00:32:48.040]   I mean.
[00:32:48.040 --> 00:32:49.040]   What.
[00:32:49.040 --> 00:32:51.040]   What is a more powerful force than attraction?
[00:32:51.040 --> 00:32:52.040]   Mm-hmm.
[00:32:52.040 --> 00:32:53.040]   That is so powerful.
[00:32:53.040 --> 00:32:54.040]   So.
[00:32:54.040 --> 00:32:55.040]   You know.
[00:32:55.040 --> 00:32:56.040]   What like.
[00:32:56.040 --> 00:32:57.040]   The number one.
[00:32:57.040 --> 00:32:58.040]   Biggest.
[00:32:58.040 --> 00:32:59.040]   Like.
[00:32:59.040 --> 00:33:00.040]   Concern for college students.
[00:33:00.040 --> 00:33:01.040]   Is.
[00:33:01.040 --> 00:33:02.040]   Probably dating.
[00:33:02.040 --> 00:33:03.040]   What's number two?
[00:33:03.040 --> 00:33:04.040]   It's probably dating.
[00:33:04.040 --> 00:33:05.040]   And then it's like maybe your GPA.
[00:33:05.040 --> 00:33:06.040]   Right.
[00:33:06.040 --> 00:33:07.040]   So.
[00:33:07.040 --> 00:33:08.040]   So.
[00:33:08.040 --> 00:33:09.040]   I get that too.
[00:33:09.040 --> 00:33:10.040]   So.
[00:33:10.040 --> 00:33:11.040]   You know.
[00:33:11.040 --> 00:33:12.040]   Again.
[00:33:12.040 --> 00:33:13.040]   Um.
[00:33:13.040 --> 00:33:14.040]   You know.
[00:33:14.040 --> 00:33:15.040]   For.
[00:33:15.040 --> 00:33:16.040]   For me.
[00:33:16.040 --> 00:33:17.040]   It's always permission based.
[00:33:17.040 --> 00:33:18.040]   Mm-hmm.
[00:33:18.040 --> 00:33:19.040]   Um.
[00:33:19.040 --> 00:33:20.040]   Yeah.
[00:33:20.040 --> 00:33:21.040]   Yeah.
[00:33:21.040 --> 00:33:22.040]   More often than not.
[00:33:22.040 --> 00:33:23.040]   I don't know that I've ever like.
[00:33:23.040 --> 00:33:24.040]   Been.
[00:33:24.040 --> 00:33:25.040]   Like.
[00:33:25.040 --> 00:33:26.040]   Oh.
[00:33:26.040 --> 00:33:27.040]   You're wrong.
[00:33:27.040 --> 00:33:28.040]   Like.
[00:33:28.040 --> 00:33:29.040]   I don't know that I've ever gotten that kind of response.
[00:33:29.040 --> 00:33:30.040]   It's more like.
[00:33:30.040 --> 00:33:31.040]   You know what.
[00:33:31.040 --> 00:33:32.040]   What you're saying is totally true.
[00:33:32.040 --> 00:33:33.040]   But we're different.
[00:33:33.040 --> 00:33:34.040]   That's actually generally.
[00:33:34.040 --> 00:33:35.040]   Yeah.
[00:33:35.040 --> 00:33:36.040]   Like.
[00:33:36.040 --> 00:33:37.040]   We're different.
[00:33:37.040 --> 00:33:38.040]   And so then like.
[00:33:38.040 --> 00:33:39.040]   At that point.
[00:33:39.040 --> 00:33:40.040]   Like.
[00:33:40.040 --> 00:33:41.040]   I have to say.
[00:33:41.040 --> 00:33:42.040]   You know.
[00:33:42.040 --> 00:33:43.040]   I've been doing this a long time.
[00:33:43.040 --> 00:33:44.040]   And.
[00:33:44.040 --> 00:33:45.040]   It's possible.
[00:33:45.040 --> 00:33:46.040]   It's possible.
[00:33:46.040 --> 00:33:47.040]   That you're different.
[00:33:47.040 --> 00:33:48.040]   You know.
[00:33:48.040 --> 00:33:49.040]   That I've been doing this a long time.
[00:33:49.040 --> 00:33:50.040]   And.
[00:33:50.040 --> 00:33:51.040]   It's been a rare.
[00:33:51.040 --> 00:33:52.040]   If.
[00:33:52.040 --> 00:33:53.040]   I don't know if I've ever known a situation.
[00:33:53.040 --> 00:33:54.040]   Where.
[00:33:54.040 --> 00:33:55.040]   People have not crossed those boundaries.
[00:33:55.040 --> 00:33:56.040]   And regretted it.
[00:33:56.040 --> 00:33:57.040]   Um.
[00:33:57.040 --> 00:33:58.040]   But.
[00:33:58.040 --> 00:33:59.040]   But.
[00:33:59.040 --> 00:34:00.040]   Yeah.
[00:34:00.040 --> 00:34:01.040]   Like.
[00:34:01.040 --> 00:34:02.040]   It's more along those lines.
[00:34:02.040 --> 00:34:03.040]   They fully agree with our logic.
[00:34:03.040 --> 00:34:04.040]   But then it's more like.
[00:34:04.040 --> 00:34:05.040]   Oh.
[00:34:05.040 --> 00:34:06.040]   But I'm the exception.
[00:34:06.040 --> 00:34:07.040]   Is often the.
[00:34:07.040 --> 00:34:08.040]   I see.
[00:34:08.040 --> 00:34:09.040]   That's interesting.
[00:34:09.040 --> 00:34:10.040]   Um.
[00:34:10.040 --> 00:34:11.040]   I imagine that.
[00:34:11.040 --> 00:34:12.040]   With today.
[00:34:12.040 --> 00:34:13.040]   You know.
[00:34:13.040 --> 00:34:14.040]   Like.
[00:34:14.040 --> 00:34:15.040]   Broken families.
[00:34:15.040 --> 00:34:16.040]   And stuff.
[00:34:16.040 --> 00:34:17.040]   I feel like.
[00:34:17.040 --> 00:34:18.040]   Uh.
[00:34:18.040 --> 00:34:19.040]   Like.
[00:34:19.040 --> 00:34:20.040]   Vision of marriage.
[00:34:20.040 --> 00:34:21.040]   So you talked about like.
[00:34:21.040 --> 00:34:22.040]   Uh.
[00:34:22.040 --> 00:34:23.040]   Meaning of marriage.
[00:34:23.040 --> 00:34:24.040]   Timothy.
[00:34:24.040 --> 00:34:25.040]   Talking about the goal.
[00:34:25.040 --> 00:34:26.040]   And trying to lift up that biblical vision.
[00:34:26.040 --> 00:34:27.040]   Of what marriage can be.
[00:34:27.040 --> 00:34:28.040]   Do you find yourself like.
[00:34:28.040 --> 00:34:29.040]   Doing that.
[00:34:29.040 --> 00:34:30.040]   Or having to do that.
[00:34:30.040 --> 00:34:31.040]   Just.
[00:34:31.040 --> 00:34:32.040]   Just cause I feel like.
[00:34:32.040 --> 00:34:33.040]   I mean a lot of college students.
[00:34:33.040 --> 00:34:34.040]   Who just.
[00:34:34.040 --> 00:34:35.040]   They don't have a good vision of marriage.
[00:34:35.040 --> 00:34:36.040]   Estrange from their.
[00:34:36.040 --> 00:34:37.040]   Whatever.
[00:34:37.040 --> 00:34:38.040]   And it's just like.
[00:34:38.040 --> 00:34:39.040]   My.
[00:34:39.040 --> 00:34:40.040]   My marriage might be the first one they ever seen.
[00:34:40.040 --> 00:34:41.040]   That's actually intact.
[00:34:41.040 --> 00:34:42.040]   I mean actually.
[00:34:42.040 --> 00:34:43.040]   Like.
[00:34:43.040 --> 00:34:44.040]   When they come to my house for dinner.
[00:34:44.040 --> 00:34:45.040]   That might be the first family dinner they ever had.
[00:34:45.040 --> 00:34:46.040]   You know.
[00:34:46.040 --> 00:34:47.040]   So like.
[00:34:47.040 --> 00:34:48.040]   What.
[00:34:48.040 --> 00:34:49.040]   What.
[00:34:49.040 --> 00:34:50.040]   You know.
[00:34:50.040 --> 00:34:51.040]   Do you guys experience the same thing.
[00:34:51.040 --> 00:34:52.040]   And what do you do with that.
[00:34:52.040 --> 00:34:53.040]   Like.
[00:34:53.040 --> 00:34:54.040]   Are.
[00:34:54.040 --> 00:34:55.040]   Are.
[00:34:55.040 --> 00:34:56.040]   Pictures of what a.
[00:34:56.040 --> 00:34:57.040]   Dating relationship should look like.
[00:34:57.040 --> 00:34:58.040]   It's like 90% from the media.
[00:34:58.040 --> 00:34:59.040]   Right.
[00:34:59.040 --> 00:35:00.040]   So.
[00:35:00.040 --> 00:35:01.040]   And.
[00:35:01.040 --> 00:35:02.040]   Yeah.
[00:35:02.040 --> 00:35:03.040]   And like.
[00:35:03.040 --> 00:35:04.040]   How many.
[00:35:04.040 --> 00:35:05.040]   How many movies.
[00:35:05.040 --> 00:35:06.040]   Or.
[00:35:06.040 --> 00:35:07.040]   TV shows.
[00:35:07.040 --> 00:35:08.040]   Do you know of.
[00:35:08.040 --> 00:35:09.040]   That.
[00:35:09.040 --> 00:35:10.040]   Portrays.
[00:35:10.040 --> 00:35:11.040]   A.
[00:35:11.040 --> 00:35:12.040]   Long-term.
[00:35:12.040 --> 00:35:13.040]   Loving.
[00:35:13.040 --> 00:35:14.040]   Marriage.
[00:35:14.040 --> 00:35:15.040]   It's actually pretty rare.
[00:35:15.040 --> 00:35:17.040]   Most of the romances are like.
[00:35:17.040 --> 00:35:18.040]   They're not married yet.
[00:35:18.040 --> 00:35:19.040]   And it's.
[00:35:19.040 --> 00:35:20.040]   Very.
[00:35:20.040 --> 00:35:21.040]   Physically based.
[00:35:21.040 --> 00:35:23.040]   And that's the only.
[00:35:23.040 --> 00:35:25.040]   Vision that the world has.
[00:35:25.040 --> 00:35:26.040]   And so.
[00:35:26.040 --> 00:35:26.040]   Again.
[00:35:26.040 --> 00:35:27.040]   It totally makes sense that.
[00:35:27.040 --> 00:35:28.040]   Like.
[00:35:28.040 --> 00:35:29.040]   That's sort of the cash.
[00:35:29.040 --> 00:35:30.040]   That's.
[00:35:30.040 --> 00:35:31.040]   That's what people have in their.
[00:35:31.040 --> 00:35:32.040]   In their minds.
[00:35:32.040 --> 00:35:33.040]   So.
[00:35:33.040 --> 00:35:34.040]   Yeah.
[00:35:34.040 --> 00:35:35.040]   I do think that.
[00:35:35.040 --> 00:35:36.040]   Like.
[00:35:36.040 --> 00:35:37.040]   Yeah.
[00:35:37.040 --> 00:35:38.040]   God's ways are better.
[00:35:38.040 --> 00:35:39.040]   He's not trying to say no.
[00:35:39.040 --> 00:35:40.040]   He's trying to say there is something better.
[00:35:40.040 --> 00:35:41.040]   So.
[00:35:41.040 --> 00:35:42.040]   Kind of.
[00:35:42.040 --> 00:35:43.040]   Building that out.
[00:35:43.040 --> 00:35:44.040]   And showing that.
[00:35:44.040 --> 00:35:45.040]   You know.
[00:35:45.040 --> 00:35:46.040]   It's hard though.
[00:35:46.040 --> 00:35:47.040]   It's hard.
[00:35:47.040 --> 00:35:48.040]   Because.
[00:35:48.040 --> 00:35:49.040]   You know.
[00:35:49.040 --> 00:35:50.040]   And again.
[00:35:50.040 --> 00:35:51.040]   Yeah.
