
[00:00:00.000 --> 00:00:05.000]   The following is a conversation with Jack Weatherford, anthropologist and historian
[03:44:22.540 --> 03:44:30.940]   recorded. I mean, he's the largest conqueror in the world. You do not have just children popping up
[03:44:30.940 --> 03:44:35.660]   all over the place. He had four wives all the time. He had children with two of them.
[03:44:36.140 --> 03:44:40.300]   Just not a lot of descendants. We know mostly who they are for many generations.
[03:44:40.300 --> 03:44:47.500]   His brother, Hasr, had many more children than he did. Many more. And they caused a lot of problems
[03:44:47.500 --> 03:44:52.860]   later on for the empire, too, by rivaling the power. So it could be that one of these other people,
[03:44:52.860 --> 03:45:00.300]   Boden Char de Ful, could have been the origin of this. It could have been back well before Genghis
[03:45:00.300 --> 03:45:04.620]   Khan. I just don't believe... And in Mongolia today,
[03:45:04.620 --> 03:45:09.260]   we have nobody who claims descent from Genghis Khan.
[03:45:09.260 --> 03:45:12.540]   Well, claims is a different thing than biology, right?
[03:45:12.540 --> 03:45:18.940]   So the reason I say this is this methodology is pretty solid.
[03:45:18.940 --> 03:45:23.580]   Oh, I believe that they found some connection of people.
[03:45:23.580 --> 03:45:24.380]   Yeah, but it's...
[03:45:24.380 --> 03:45:30.460]   But they have no evidence that it's really connected to Genghis Khan. I think it may be tangentially
[03:45:30.460 --> 03:45:31.420]   to connect it to him.
[03:45:31.420 --> 03:45:34.860]   Yeah, but it's somebody from the Mongolia region.
[03:45:34.860 --> 03:45:39.500]   Yeah, I think that's quite possible. But we've already had the Hans come through.
[03:45:39.500 --> 03:45:40.780]   We've had all the Turks.
[03:45:40.780 --> 03:45:41.420]   Yeah, yeah, yeah.
[03:45:41.420 --> 03:45:44.380]   Every one of the Turkic nations is descended from Mongolia.
[03:45:44.380 --> 03:45:44.700]   Yeah.
[03:45:44.700 --> 03:45:45.980]   They all came out of Mongolia.
[03:45:45.980 --> 03:45:49.100]   I mean, you're right. You're right.
[03:45:49.100 --> 03:45:54.540]   On the other hand, I wish they could get some proof. I mean, I wish it could be true.
[03:45:54.540 --> 03:45:55.340]   Yeah.
[03:45:55.340 --> 03:45:57.500]   I just can't believe it the way it is.
[03:45:57.500 --> 03:46:01.740]   We have no DNA. Nobody knows where he went.
[03:46:01.740 --> 03:46:04.140]   They don't. So they don't know where he's buried.
[03:46:04.140 --> 03:46:10.700]   Okay. Genghis Khan said, "Let my body go. Let my nation live."
[03:46:10.700 --> 03:46:14.300]   And he chose to be buried in an unmarked grave.
[03:46:14.300 --> 03:46:19.260]   And the Mongols believe very strongly it should always be that way.
[03:46:19.260 --> 03:46:24.220]   Most of the Khans who followed him were also buried in a similar way.
[03:46:24.220 --> 03:46:29.820]   The Chinese emperors, you know, were buried in very elaborate tombs, but not the Yuan dynasty.
[03:46:30.380 --> 03:46:37.260]   No. And so Kublai Khan was buried back with his grandfather in an anonymous grave.
[03:46:37.260 --> 03:46:41.900]   And not everyone, like Goethe died when he was on campaign towards Russia.
[03:46:41.900 --> 03:46:46.780]   He was buried out there. I think his father,
[03:46:46.780 --> 03:46:52.940]   Goethe, was also buried out there. That was more their homeland. But many of them were buried with him.
[03:46:53.900 --> 03:47:04.380]   And it's known and not known at the same time.
[03:47:04.380 --> 03:47:08.780]   You know, it's officially, you should not know it. You cannot know it.
[03:47:08.780 --> 03:47:15.340]   It should never be disturbed. He should never be disturbed. We're not going to have a tour group coming in.
[03:47:15.340 --> 03:47:20.220]   But you're saying like the people of Mongolia, they have a sense.
[03:47:20.220 --> 03:47:24.220]   They believe he's in a certain place. Yes. And they believe they know where the place is.
[03:47:24.220 --> 03:47:24.540]   Yeah.
[03:47:24.540 --> 03:47:28.220]   But they, it's sacred. You can do nothing. Nothing.
[03:47:28.220 --> 03:47:37.260]   Just leave it as it is. That's, no roads, no buildings, no killing of animals, no chopping of trees.
[03:47:37.820 --> 03:47:44.060]   Nothing can be done. It's a holy land dedicated to him and his family.
[03:47:44.060 --> 03:47:47.180]   It's pretty amazing. Unmarked grave.
[03:47:47.180 --> 03:47:47.980]   Yes.
[03:47:47.980 --> 03:47:52.380]   For the greatest conqueror in the history of humanity.
[03:47:52.380 --> 03:47:52.940]   Yeah.
[03:47:52.940 --> 03:47:59.660]   For good and for bad, the most impactful, one of the most impactful humans in history.
[03:47:59.660 --> 03:48:03.180]   Yes. I believe in his thing about let my nation live, let my body go.
[03:48:03.180 --> 03:48:07.420]   And I say to people, what, they ask me, well, what did he look like? And I say, well,
[03:48:07.420 --> 03:48:12.300]   the portrait was painted 50 years later by somebody who never saw him. And actually,
[03:48:12.300 --> 03:48:17.660]   if you look at the portrait of Kublai Khan and Genghis Khan, they look alike, except one's old and one's
[03:48:17.660 --> 03:48:23.900]   younger. And I think that's because Kublai was trying to establish, he wanted to establish his
[03:48:23.900 --> 03:48:29.020]   legitimacy as a real Mongol, that they looked alike, but his grandfather said he didn't. And then
[03:48:29.020 --> 03:48:34.700]   Okodei Khan and Mung Khan looked different. They looked different. So there was nothing. But I say,
[03:48:34.700 --> 03:48:38.780]   if you want to see the face of Genghis Khan, walk in any gear in Mongolia, the first child you see,
[03:48:38.780 --> 03:48:44.140]   that's the face of Genghis Khan. It's his nation. He created that nation. That's his face.
[03:48:44.940 --> 03:48:55.420]   Does that make you sad that he, that there's no, you know, from his time capturing of his image,
[03:48:55.420 --> 03:49:01.820]   that he really made himself sort of disappear into the land. Does that make you sad?
[03:49:01.820 --> 03:49:10.540]   No, not at all. No. Because he's everywhere. You know, when you have these clans that are still
[03:49:10.540 --> 03:49:18.620]   operating in Afghanistan and the Russians are still using the yam system. There are many aspects of him
[03:49:18.620 --> 03:49:25.420]   that are out there in the world. And I think there, I find personally inspiration the same way that Thomas
[03:49:25.420 --> 03:49:31.340]   Jefferson did. He found so much inspiration in the life of Genghis Khan and the books of Genghis Khan
[03:49:31.340 --> 03:49:37.180]   that you can still read. He bought so many copies and gave to the Library of Congress, the Library of
[03:49:37.180 --> 03:49:46.140]   Virginia, the University of Virginia, and to his granddaughter. These ideas live on, and we still
[03:49:46.140 --> 03:49:52.220]   have not fulfilled them. We do not have religious freedom. We do not have the protections for women.
[03:49:52.220 --> 03:49:59.020]   We do not have the protections for envoys and ambassadors. The ideas live on, and the rulers do
[03:49:59.020 --> 03:50:04.860]   not live as the common people. To eat the same food, wear the same clothes, sleep in the same,
[03:50:04.860 --> 03:50:12.780]   not a bed in his case, but sleep in the same situation and simple home. No.
[03:50:12.780 --> 03:50:22.940]   I have tremendous respect for leaders that live just as the people who they lead.
[03:50:22.940 --> 03:50:23.740]   Yes.
[03:50:23.740 --> 03:50:31.740]   It's mostly not done, but when it is, I have just infinite respect for that. That is the way.
[03:50:31.740 --> 03:50:38.860]   What lessons can we learn from Genghis Khan that apply to the modern world? You've already said
[03:50:39.420 --> 03:50:44.300]   religious freedom, some of these ideas. Well, I think his policy ideas, I think,
[03:50:44.300 --> 03:50:49.820]   are important. We can still learn from that about protection of diplomats, not buying and selling
[03:50:49.820 --> 03:50:57.740]   women, not kidnapping women, and having religious freedom of individuals. But also, he had interesting
[03:50:57.740 --> 03:51:06.780]   things. He had tax-free status for all religions, all physicians, and all teachers. They didn't pay taxes in his
[03:51:06.780 --> 03:51:15.420]   empire. As a former teacher, I embraced that idea out of pure greed and self-interest.
[03:51:15.420 --> 03:51:15.740]   Yes.
[03:51:15.740 --> 03:51:22.060]   But it's not to me the idea of saving the money. It's the idea of focusing on that as something
[03:51:22.060 --> 03:51:28.460]   important for the society. He didn't say tax-free for any other category of people, as I recall,
[03:51:28.460 --> 03:51:34.700]   just for those. And he's highlighting the health of the people, the education of the people, and the
[03:51:34.700 --> 03:51:42.300]   spirits of the people. That's very important. That's a profound approach to life. And
[03:51:42.300 --> 03:51:48.220]   so these are policies, and I'm not advocating so much to policies, but I think some of the general
[03:51:48.220 --> 03:51:54.540]   principles of being willing to learn from our mistakes. Admit your mistake to yourself,
[03:51:55.660 --> 03:52:02.780]   correct it, and go on with your life. All of us say it's important, but we don't do it,
[03:52:02.780 --> 03:52:07.340]   for the most part. We don't learn from our failures as much as we think.
[03:52:08.380 --> 03:52:16.860]   The other idea of promoting people on ability, I think that's certainly an idea that is very valuable,
[03:52:16.860 --> 03:52:21.260]   not in the simple way of meritocracy that we've done it with, "Oh, if you pass the exam with this
[03:52:21.260 --> 03:52:27.340]   score, you get this or that," but really evaluating people and their ability. I think it's a very good
[03:52:28.620 --> 03:52:34.140]   thing, not the only thing, but I think it's very important. And even though he failed in the end in
[03:52:34.140 --> 03:52:40.620]   his own life and he turned power over to his sons and his family, it's a principle that he lived by most
[03:52:40.620 --> 03:52:47.100]   of his life, and we can learn from that principle. The other thing I think is just his global
[03:52:47.100 --> 03:52:54.060]   feel for the world, his global understanding. Here was a man who had had no education in any formal sense,
[03:52:55.020 --> 03:53:00.700]   and he had this sense that the world should be united. We should have things that unite all people.
[03:53:00.700 --> 03:53:07.100]   Everybody should have their own law, but there should be a higher law of heaven that governs people.
[03:53:07.100 --> 03:53:12.300]   And this later was translated, everybody should have their own language, but they all write the same
[03:53:12.300 --> 03:53:19.820]   alphabet by Kublai Khan. It didn't work. Or his idea, he tried to impose the use of paper currency in Iran,
[03:53:19.820 --> 03:53:26.380]   the Persian Ilkhanate, Chinese paper money. It didn't work. The people there weren't used to it.
[03:53:26.380 --> 03:53:33.900]   So there, but all this international spirit of their empire, I think that we need today,
[03:53:33.900 --> 03:53:40.700]   we talk about all globalization, we're all connected, it's just incredible. And we're more provincial than
[03:53:40.700 --> 03:53:47.900]   ever. We are just so provincial. And sometimes we use all this technology to help preserve our
[03:53:47.900 --> 03:53:53.740]   provincialism. And we can't think in global terms, we can't think about the world.
[03:53:53.740 --> 03:53:57.980]   It's just amazing to me how narrow-minded we are.
[03:53:57.980 --> 03:54:07.340]   I also saw the Mongol proverb of, "If you're afraid, don't do it. If you do it, don't be afraid."
[03:54:07.340 --> 03:54:17.580]   That you especially celebrate. I mean, there is something to that. In many ways, Genghis Khan is a
[03:54:17.580 --> 03:54:25.900]   representation of a person, like of a self-made man. That person from nothing.
[03:54:25.900 --> 03:54:30.620]   Genghis Khan willed an entire empire into existence.
[03:54:30.620 --> 03:54:36.780]   Yes. And everything against him that you can think of, your own family deserting you, your father
[03:54:36.780 --> 03:54:44.860]   dying at an early age, all these things like that. But as Jamukha said, he had a good mother and he had a
[03:54:44.860 --> 03:54:53.980]   good wife. And there are many crucial points at which it was either his mother or his wife
[03:54:55.980 --> 03:55:04.300]   who made the deciding point. His wife Bushta was the one who caused the first break with Jamukha to go
[03:55:04.300 --> 03:55:11.820]   away. Later on, when the shamans had become too powerful and they had humiliated his younger brother,
[03:55:12.380 --> 03:55:19.500]   she was the one who said he had to clamp down on the shamans who were exercising too much power.
[03:55:19.500 --> 03:55:22.700]   And she guided him a lot.
[03:55:22.700 --> 03:55:30.460]   It cannot be understated how important and critical women are in this story of the Mongol Empire.
[03:55:30.460 --> 03:55:31.100]   Yes.
[03:55:31.100 --> 03:55:31.820]   It's fascinating.
[03:55:31.820 --> 03:55:37.020]   Yes. And sometimes we could say they're not behind the scenes because they're always out front.
[03:55:37.020 --> 03:55:40.220]   In the Mongol court, they always sat up front. They were always out front.
[03:55:40.220 --> 03:55:46.300]   And this horrified the Chinese who were very good Confucius. It horrified the Muslims.
[03:55:46.300 --> 03:55:52.620]   It horrified the Christians. They didn't know what to do. They said the women even drink in public.
[03:55:52.620 --> 03:55:55.740]   Okay. Yeah. They drink in public.
[03:55:55.740 --> 03:56:05.420]   So sometimes it was like that, but other times, as with Durjan, she's actually the ruler. Or the case of
[03:56:05.420 --> 03:56:12.380]   his daughters, such as Alakai Bek, who ruled over a part of Northern China called the Angut people,
[03:56:12.380 --> 03:56:19.020]   and the other daughters who ruled over different… They ruled in their own names. And he's very… This
[03:56:19.020 --> 03:56:25.020]   is something about the secret history that upset me. I get to chapter… All the sections are numbered. I get to
[03:56:25.020 --> 03:56:33.740]   chapter… Or number… Section 215. And there's only half a sentence left. In 214, he's just awarded a
[03:56:33.740 --> 03:56:38.620]   girl… He calls his daughter. So she's probably a clan daughter, but she lives with his mother at this
[03:56:38.620 --> 03:56:47.100]   point. His youngest son, Talul, is only four years old. A Tatar comes, and Mother Erlun gives him food,
[03:56:47.740 --> 03:56:53.020]   you food, everybody. He realized this is the mother of Chinggis Khan, and that's the child of Chinggis Khan.
[03:56:53.020 --> 03:56:57.820]   He grabs him up, and kidnaps him, and runs out. And he's holding the child in one hand, and he's pulling
[03:56:57.820 --> 03:57:04.860]   out a knife with another hand. Altani raced out, and she grabbed his arm and held it down. And two men,
[03:57:04.860 --> 03:57:12.620]   they were back behind the gear, slaughtering an ox with an axe, because that's… You have to do it in the
[03:57:12.620 --> 03:57:16.860]   shade behind the gear. That's… You don't do it in the light. And so they were back there doing that.
[03:57:16.860 --> 03:57:22.460]   And so they raced out with an axe, and they killed the man. And so then, Chinggis Khan is rewarding
[03:57:22.460 --> 03:57:28.780]   everybody for all their great deeds. And Jelma and Jeb, they wanted to be rewarded for saving the life of
[03:57:28.780 --> 03:57:36.220]   Talul. He said, "No. You killed the Tatar. Altani saved his life because she held the hand that had the
[03:57:37.500 --> 03:57:43.740]   knife until you got there to kill him. She saved it, and now we reward her." So he's finished that
[03:57:43.740 --> 03:57:51.420]   story in 2:14. We get to 2:15. He says, "Now, let us reward our daughters." It's actually only a phrase.
[03:57:51.420 --> 03:57:58.380]   I said it's a complete sentence, but it's not quite complete. The rest is gone. Cut out.
[03:58:00.300 --> 03:58:07.260]   It's missing. And I was just so… And I looked at all these different translations of how to different
[03:58:07.260 --> 03:58:14.540]   languages… And most often they translated as, "And now let us marry our daughters."
[03:58:14.540 --> 03:58:21.260]   Oh, no. Oh, no. He was very clear in his wedding speeches to his daughters.
[03:58:21.260 --> 03:58:29.900]   "I give these people to you to rule. You have three husbands. You have your honor,
[03:58:29.900 --> 03:58:37.980]   you have your nation, and you have the man that I give to you. But the man I give to you goes in the
[03:58:37.980 --> 03:58:42.300]   army with me and brings his soldiers to stay here and rule to people."
[03:58:42.300 --> 03:58:42.620]   Brilliant.
[03:58:42.620 --> 03:58:47.100]   The Chinese, when they arrived in the court of Altani, they didn't know what to think.
[03:58:47.100 --> 03:58:51.820]   There she is ruling this area to all good people. And they said, "Well, she can read and write,
[03:58:51.820 --> 03:58:56.860]   and she's the supreme judge, and she doesn't allow any death sentence without her permission."
[03:58:56.860 --> 03:59:04.380]   But they didn't say which languages she could read and write. That has really puzzled me a lot.
[03:59:04.380 --> 03:59:09.980]   So you're saying the secret history, as we have gotten access to, has been
[03:59:09.980 --> 03:59:16.940]   edited to remove the significance of women, even though they're still there.
[03:59:16.940 --> 03:59:22.940]   In that case. I mean, other cases with his mother, they did not and all. But I think in that case,
[03:59:22.940 --> 03:59:30.700]   because what happened is most of these women had few offsprings because their husband was gone to war.
[03:59:30.700 --> 03:59:37.980]   And Altani, of course, she married several times, sometimes the sons of the last one. But they were
[03:59:37.980 --> 03:59:43.260]   going off to war and they weren't reproducing. Only one, Tsetsegan, who was ruling in Siberia,
[03:59:44.380 --> 03:59:49.980]   she was the one who had a whole bunch of daughters. They wouldn't be going off to war. And so they
[03:59:49.980 --> 03:59:54.540]   actually spread out through the empire and did a lot of, had a lot of power later. But what happened
[03:59:54.540 --> 04:00:03.340]   was the area for Alakai Bek, for example, was then taken over by Kublai Khan. And then the areas,
[04:00:03.340 --> 04:00:10.940]   all the Turkey areas, one by one, were taken over by their nephews as they died out, not in their own
[04:00:10.940 --> 04:00:18.620]   lifetime. They didn't kill the women off. But as they died out, the men took it over. And so then
[04:00:18.620 --> 04:00:22.620]   they just wanted to kind of erase it. It's like, no, Northern China, even though it was ruled by
[04:00:22.620 --> 04:00:29.260]   Sorokhtani, it always was Mongol. She was ruling because her husband was Mongol and her sons were
[04:00:29.260 --> 04:00:34.460]   Mongol. Therefore, they had the right to rule it. So they cut out the women for those reasons. I think
[04:00:34.460 --> 04:00:39.340]   any time it threatened the power of a particular man. Then there were other little things that
[04:00:39.340 --> 04:00:46.380]   are added in there. Sometimes you can find a phrase and that phrase was not in the original.
[04:00:46.380 --> 04:00:51.980]   Yeah. In studying human history, what have you learned about human nature
[04:00:51.980 --> 04:00:58.380]   and just the trajectory of humanity throughout the past several millennia?
[04:00:58.380 --> 04:01:05.660]   I tend to have a certain love for individuals and persons, but not a love for people in general,
[04:01:05.660 --> 04:01:14.860]   and especially not for institutions. I tend to have a great suspicion about almost everything and mistrust in
[04:01:14.860 --> 04:01:22.940]   institutions over and over. And I think that's my own prejudice. And then I find reasons to support that.
[04:01:22.940 --> 04:01:30.460]   And Chinggis Khan was very good at destroying a lot of institutions or bringing them to heal within this
[04:01:30.460 --> 04:01:37.980]   empire. So then I like that and I stress that and I see those things. I think that's one thing. But
[04:01:37.980 --> 04:01:44.060]   other things that I learned from the Mongol people in general, not just about their history and all,
[04:01:44.620 --> 04:01:51.900]   but how it's possible to live for thousands of years in a place that for many people is not the most
[04:01:51.900 --> 04:01:58.540]   beautiful in the world. It's austere. You have a band of mountains and with some trees and then big
[04:01:58.540 --> 04:02:05.660]   band of step and then a big band of sand gravel desert, the Gobi. And for many people, it's not appealing.
[04:02:05.660 --> 04:02:09.980]   It's just open. There's too much space. It's like, we need to build something over here. Boy,
[04:02:09.980 --> 04:02:16.460]   you could have a condo right there. We could have a building. We could sell them off. They haven't given
[04:02:16.460 --> 04:02:25.020]   in to that. They really value their country. They protect their country. Even now, only 1% is privately
[04:02:25.020 --> 04:02:32.060]   owned. They keep it down. And in the Mongolian records, farm and city count as one category.
[04:02:32.060 --> 04:02:35.820]   It's just because it's settled people. It doesn't matter. You settle on a farm,
[04:02:35.820 --> 04:02:43.180]   you settle in a city, settled people, one category. And they lived there in this land
[04:02:44.620 --> 04:02:50.540]   that Chinggis Khan would return to in love. If he returned to the capital city, he would not know
[04:02:50.540 --> 04:02:56.220]   where he was. He would have no idea. And all the people would say, "Oh, be Mongol. I'm Mongolia. Yeah,
[04:02:56.220 --> 04:03:02.780]   I'm Mongol. I have the hat. I have the belt buckle. I have all the del that's all embroidered. You know,
[04:03:02.780 --> 04:03:09.260]   yeah, I'm Mongol." And Chinggis Khan would say, "Where's your horse?" "Oh, keep it in the countryside."
[04:03:09.260 --> 04:03:18.540]   But he wouldn't recognize the city, but it's still his country, his people. They worship him in a
[04:03:18.540 --> 04:03:24.700]   literal sense, not the way we would worship God, asking for favors, but in the sense of worshiping
[04:03:24.700 --> 04:03:31.340]   him with praise. They have so many songs to praise him. And about half of the hip-hop in the country is
[04:03:31.340 --> 04:03:37.900]   in praise of Chinggis Khan. It's something we can't understand, because when we pray, we're usually
[04:03:37.900 --> 04:03:42.380]   saying, "Oh, thank you, God, for this and that and the other, and you're so wonderful, and I love you,
[04:03:42.380 --> 04:03:47.740]   so would you please give me, and would you please do this? Would you please stop this pain in my knee?"
[04:03:47.740 --> 04:03:54.140]   We're asking for things all over the place. But Chinggis Khan, no. No. No one ever asks for anything.
[04:03:54.140 --> 04:03:58.220]   They just honor him. They just praise him and honor him.
[04:03:58.220 --> 04:04:04.860]   If I wanted to visit Mongolia, what would you recommend? What's the right way?
[04:04:04.860 --> 04:04:08.060]   Well, start with my home. Let's start there. You come over there.
[04:04:08.060 --> 04:04:18.380]   It's a nice valley. I have a nice valley there. I think almost any direction you go outside of the
[04:04:18.380 --> 04:04:23.740]   city is going to be interesting. It kind of depends a little bit on your purpose.
[04:04:24.620 --> 04:04:29.580]   Most people go south to the Gobi, and they do a loop to the Gobi and around to Karakorum,
[04:04:29.580 --> 04:04:34.700]   Hachor in the old capital from Ogudehan, but it was abandoned by Kublai Khan.
[04:04:34.700 --> 04:04:41.420]   And then they circle back to the city, and they may stop off to see what we call Prezwalski,
[04:04:41.820 --> 04:04:52.540]   the wild horse, but they call Kakhtaki, or they may go up to Khufskul Lake, a big beautiful lake, somewhat like Baikal, but much smaller.
[04:04:52.540 --> 04:04:58.380]   So that's a beautiful trip. If you want to see the more Turkic area where they hunt with eagles,
[04:04:58.380 --> 04:05:04.220]   the far west is where the Kazakh people live, and the mountains are absolutely incredibly
[04:05:04.220 --> 04:05:10.060]   beautiful. Most mountains in Mongolia are gentle, beautiful, but gentle. The farther west you go,
[04:05:10.060 --> 04:05:15.180]   the more dramatic they become, the more pointed and peaked and snow-covered.
[04:05:15.180 --> 04:05:22.940]   Then if you go to the eastern Mongolia, it tends to be very flat. There are massive, massive flocks
[04:05:22.940 --> 04:05:29.100]   flocks of cranes that come in every year, millions and millions of cranes. There are also tundra swans
[04:05:29.100 --> 04:05:37.580]   that come in, and golden ducks, and all kinds of beautiful birds out there. And so each area has
[04:05:37.580 --> 04:05:43.260]   something special. If you want particularly the history of Chinggis Khan, the Mongolians love him,
[04:05:43.260 --> 04:05:51.100]   they worship him, but they don't do too much to capitalize on his home area, the Hinti.
[04:05:51.900 --> 04:05:56.940]   You can go to the Hinti. There are areas you cannot go to, large, large areas, it's forbidden.
[04:05:56.940 --> 04:06:05.100]   But you can go, but they don't capitalize like this is the place. No. They go there themselves out of
[04:06:05.100 --> 04:06:15.100]   respect. But the only one place they built this statue of him, which is the largest equestrian statue
[04:06:15.100 --> 04:06:21.820]   in the world, but it's the place where they say he found his whip, which is when he was coming
[04:06:21.820 --> 04:06:29.340]   back from being at the camp of asking Orgol Han or Torgol Han or Bang Han to support him. And he's
[04:06:29.340 --> 04:06:34.620]   coming back to his family. And on the way, he supposedly found a whip there, which is just a
[04:06:34.620 --> 04:06:41.020]   small stick with a couple of strands of rawhide at the end of it that's used. But for the Mongolians,
[04:06:41.020 --> 04:06:47.660]   it's a symbolic thing, because obviously it's used for the horse. But for the Mongols, your destiny,
[04:06:47.660 --> 04:06:58.780]   your self, your will is your himor, your wind horse that lives inside of you, your wind horse that guides
[04:06:58.780 --> 04:07:06.700]   you and gives you opportunities. But it's up to you to ride that wind horse. It's up to you to use the wind
[04:07:06.700 --> 04:07:14.220]   wind horse, not to just go wild with the wind horse. And so I think it's at that crucial moment. He's on
[04:07:14.220 --> 04:07:21.980]   his way back home and to go with Jamulka and the other soldiers to the market to rescue Burstah. And so,
[04:07:21.980 --> 04:07:31.100]   symbolically, he found a whip there. But I think it means that he found the way to control his destiny,
[04:07:31.100 --> 04:07:39.580]   his fate. That's very important, very important. And that he did, that was the beginning of everything.
[04:07:39.580 --> 04:07:43.900]   Yes, yes. And it's symbolized in that statue. Some people think that he's holding this stick,
[04:07:43.900 --> 04:07:51.180]   that it's a baton or something like that. But no, it's that, what they call the whip or to shoot.
[04:07:51.180 --> 04:07:56.940]   We've talked a lot about the past. If we look out into the future, what gives you hope
[04:07:58.460 --> 04:08:04.380]   for human civilization, for us humans? Well, almost every day, I'm totally dissatisfied
[04:08:04.380 --> 04:08:11.900]   with everything on earth. It's just that kind of old man, blah, blah, blah, blah, blah, blah. What are
[04:08:11.900 --> 04:08:16.540]   they talking about? My grandchildren are talking to me. I don't understand a word they say. What are they,
[04:08:16.540 --> 04:08:22.860]   what? And who are they talking about? I never heard of this. It's kind of like that. And who's running for
[04:08:22.860 --> 04:08:30.220]   office? Oh my God. Oh my God. It's everything like that. But then almost every day I meet somebody,
[04:08:30.220 --> 04:08:38.700]   just one person, who gives you some kind of hope. You just see somebody doing something nice
[04:08:38.700 --> 04:08:44.780]   and, or they do something nice for you. And I do find in Asia that happens a lot,
[04:08:44.780 --> 04:08:51.260]   you know, that people just do nice things for old people every day. And
[04:08:51.260 --> 04:09:00.620]   So then my dissatisfaction with all the big things in the world and the way my grandchildren talk and
[04:09:00.620 --> 04:09:08.220]   the way young people are. And then I see something like that. And often it's something with the young
[04:09:08.220 --> 04:09:15.740]   people, something that the young people do. And in Asia, they're always bringing me things. They bring me
[04:09:15.740 --> 04:09:22.620]   dried curds. They bring me strawberries that they picked in the forest in the summer, or they bring
[04:09:22.620 --> 04:09:32.460]   the pine nuts that they found, or they bring me the milk in various forms or yogurt. Oh yeah. Everybody
[04:09:32.460 --> 04:09:37.340]   thinks you got to eat the yogurt. This is from my grandmother and all the other yogurt in the world
[04:09:37.340 --> 04:09:41.820]   is not good, but my grandmother, she knows how to make the best yogurt ever.
[04:09:42.700 --> 04:09:50.700]   And so over and over and over, I find, despite my all intentions to be in a bad mood,
[04:09:50.700 --> 04:09:59.740]   you know, somebody spoils you with these little nice acts that are really very touching, very touching.
[04:09:59.740 --> 04:10:05.500]   Yeah. And it reminds you that there's that little flame of goodness that burns in everybody. I believe
[04:10:05.500 --> 04:10:15.660]   that that on the whole will keep humanity flourishing and keep evolving and changing towards something
[04:10:15.660 --> 04:10:23.340]   better with every generation. Yes. You know, the people in Mongolia take such good care of me all the
[04:10:23.340 --> 04:10:31.340]   time, all the time. And I think my wife had MS. I've talked about this before. Sometimes she had MS and slowly
[04:10:31.340 --> 04:10:38.460]   declined for many years, becoming paralyzed, not able to speak, not able to control her movements or anything.
[04:10:38.460 --> 04:10:45.420]   And we lived half the year still in Mongolia. Part of it was because the climate and the altitude
[04:10:45.420 --> 04:10:51.340]   were better for her situation. It was very helpful for her, but also the people.
[04:10:51.340 --> 04:10:57.900]   There was a poor country. The sidewalks are broken. Everything's not working. But I would go out with
[04:10:57.900 --> 04:11:04.620]   her in a wheelchair alone. And I knew that every bump, some arm would pick her up or pick up the
[04:11:04.620 --> 04:11:10.140]   wheelchair and lift her over that and not make me do it. We could go to the opera and you had to go up
[04:11:10.140 --> 04:11:16.860]   this magnificent set of Soviet stairs to get to the opera, you know. We would go and I had no worries.
[04:11:16.860 --> 04:11:21.980]   I knew two guys would come from one side, two guys from the other side, they would carry out. And they do not
[04:11:21.980 --> 04:11:27.900]   say, "Excuse me, may I help you?" They do not wait for you to say, "Thank you." Nothing. They just do it and
[04:11:27.900 --> 04:11:35.900]   they walk away. They have such respect. Singers would come there all the time to sing to warm up the house
[04:11:35.900 --> 04:11:42.460]   house for my wife. And even dancers would come sometimes to dance or play the horse head fiddle,
[04:11:42.460 --> 04:11:51.500]   morin hur, to play that, to warm up the house for her, to see how they treated a totally disabled person.
[04:11:51.500 --> 04:11:57.100]   You know, and if I was feeding my wife and somebody, anyone, anybody saw it, they would come and
[04:11:57.100 --> 04:12:02.140]   immediately take over and start feeding her in their place. Children would come up to her. In America,
[04:12:02.940 --> 04:12:07.100]   they're often afraid they see somebody in a wheelchair. You know, they just kind of look,
[04:12:07.100 --> 04:12:12.220]   they don't know what to do. But over there, the children would always come to her, always. They
[04:12:12.220 --> 04:12:18.940]   were very calm. You just learn something about the people. And living there in a country where you,
[04:12:18.940 --> 04:12:24.620]   out in the countryside, you come to Aguirre, you never ask for permission to go in. You certainly don't
[04:12:24.620 --> 04:12:31.660]   knock on the doorframe. That's, no, that's hugely offensive. And you ask, it's like insulting the
[04:12:31.660 --> 04:12:36.300]   people. Like, "What? You're not good hospitable people? I have to ask you for something?" No,
[04:12:36.300 --> 04:12:45.180]   you walk in and you sit down and they fix food for you. It's an incredible thing. And these are the
[04:12:45.180 --> 04:12:52.780]   things that give me hope. It's no institution in the world. No, not the big things and not the pop culture
[04:12:52.780 --> 04:12:58.860]   not all the platitudes. Oh my God, save us from the platitudes of modern life. You know?
[04:12:58.860 --> 04:13:02.140]   Yeah. True.
[04:13:02.140 --> 04:13:07.100]   It's the family that will fix tea for you in two in the morning because there was a flash flood and
[04:13:07.100 --> 04:13:12.060]   you got stuck and now you're cold and wet and they build a fire and take care of you.
[04:13:12.060 --> 04:13:17.820]   Or you just show up and you make camp somewhere if you have your own tent. And I swear, within one hour,
[04:13:18.700 --> 04:13:24.380]   some child is going to be there with water and milk. And you think, "Where did you come from?" But the
[04:13:24.380 --> 04:13:29.020]   mother sent them over. "Oh, there's somebody over there in the forest." They believe that they're
