
[00:00:00.000 --> 00:00:04.740]   We have all heard to brush and floss our teeth, but what if that's just the tip of the iceberg?
[01:11:22.200 --> 01:11:26.180]   this, cause we're about to wrap is maybe I could just rapid fire a few topics and you could say,
[01:11:26.180 --> 01:11:31.840]   because I imagine any of these, we could talk for a long time. Um, so I'm going to run through a few.
[01:11:31.840 --> 01:11:36.940]   So when it comes to gum recession, is that reversible? Is it how important is it? What
[01:11:36.940 --> 01:11:41.820]   should we be doing? Typically not reversible. Try and prevent it. Okay. If you're aware that it's
[01:11:41.820 --> 01:11:46.140]   happening to get on that bandwagon right away, prevention, find out what the root cause is.
[01:11:46.140 --> 01:11:51.540]   Is it your brushing? Is it grinding? Is it trauma? Is it orthodontic trauma? 10 years ago,
[01:11:51.540 --> 01:11:56.760]   there are many, many reasons for it. Okay. Next one's orthodontia. Um, you know,
[01:11:56.760 --> 01:12:01.220]   we, we have kids under, under five right now, so it's not something we're thinking about,
[01:12:01.220 --> 01:12:04.780]   but there was that age when I was a child where it's like, well, everybody goes and gets their
[01:12:04.780 --> 01:12:10.700]   braces, anything, you know, people should be thinking about in today's world with orthodontia.
[01:12:10.700 --> 01:12:15.820]   The problem with the current model is that we wait too long right now. The, the new model and the,
[01:12:15.820 --> 01:12:22.860]   um, the functional model is get an assessment by age two or three years old. And by age nine,
[01:12:22.860 --> 01:12:27.540]   the development is done. So you want to be intervening at age five or earlier or slightly
[01:12:27.540 --> 01:12:34.600]   later. So orthodontia is very important, but the generalized form. And again, I get a lot of
[01:12:34.600 --> 01:12:38.080]   flack for this, but it's pretty much a racket when you wait for all the adult teeth to come in,
[01:12:38.080 --> 01:12:43.100]   or even with phase one, phase two therapy, that's not the way to go. It doesn't give you a good result
[01:12:43.100 --> 01:12:48.060]   and it doesn't fix the, the bigger issues. And that is the size of your airway, the shape of your face
[01:12:48.060 --> 01:12:53.940]   and all of that. So start early. And for adults with unstraight teeth, you know, any,
[01:12:53.940 --> 01:12:57.340]   is there anything they should be thinking about other than, you know, there's a lot of companies
[01:12:57.340 --> 01:13:03.760]   now offering trays as an alternative to braces. Right. Right. Expansion maxillary expansion. Uh,
[01:13:03.760 --> 01:13:09.220]   my daughter's going through it right now. She's 27 years old as an adult. You can, it's harder to do.
[01:13:09.220 --> 01:13:13.140]   It's easier to do on a child because they're soft and malleable and it goes a lot quicker,
[01:13:13.140 --> 01:13:17.540]   but you can do that on adults. Expand the maxilla to make room for those teeth.
[01:13:17.540 --> 01:13:24.040]   Even expanding the maxilla will help increase the size of posterior nasal apertures. You can breathe
[01:13:24.040 --> 01:13:28.660]   better through your nose. It helps in so many different ways beyond oral health. Uh, yes,
[01:13:28.660 --> 01:13:34.120]   it can be done as an adult. And then on the note of children, any other thoughts on, you know,
[01:13:34.120 --> 01:13:40.540]   oral hygiene, dental care for kids? Chew gum, keep throwing gum at them, get, find a healthy gum.
[01:13:40.740 --> 01:13:44.140]   That is the best thing you can do. There are plenty of studies out there. In fact,
[01:13:44.140 --> 01:13:54.140]   if mom, a pregnant mom chews gum and when the baby is born, her child will have, I think it's 64%
[01:13:54.140 --> 01:14:02.140]   less chance of having a cavity by age six. If the kid is chewing gum, I think it's like a 93%. There we
[01:14:02.140 --> 01:14:06.600]   have, I have a podcast episode on that, on, on those studies. And so brushing your kid's teeth is
[01:14:06.600 --> 01:14:10.680]   difficult. Flossing. It is difficult. Reminding them to do it is difficult. They're not going to do
[01:14:10.680 --> 01:14:17.740]   it correctly. Um, you know, mouth breathing is, is tough on teeth and it promotes decay. Diet is
[01:14:17.740 --> 01:14:23.200]   tough to regulate. Xolotol gum is a no brainer. It's so easy. Have it stashed everywhere after every
[01:14:23.200 --> 01:14:27.080]   meal, or if your kid is wakes up with a dry mouth, Xolotol gum.
[01:14:27.080 --> 01:14:31.180]   Okay. And then the last one I have is a teeth whitening. I know it's kind of a, you know,
[01:14:31.180 --> 01:14:34.840]   they, you talked about, you're not going to have your toothpaste at Costco. I always see the white
[01:14:34.840 --> 01:14:39.640]   strips at Costco. I know people are, are very concerned about their appearance and their breath
[01:14:39.640 --> 01:14:42.980]   and how does teeth whitening fit into functional dentistry?
[01:14:42.980 --> 01:14:46.600]   It was kind of like the diet industry. Everybody wants to be thin before they're healthy and,
[01:14:46.600 --> 01:14:52.380]   in overall medical health or overall health. Um, it's the same thing with whitening. In fact,
[01:14:52.860 --> 01:14:56.380]   a lot of dentists jump right to it and they see some yellow teeth. They know that the patient's
[01:14:56.380 --> 01:15:00.140]   probably concerned about it. Even before they mentioned cavities and other things, whitening
[01:15:00.140 --> 01:15:06.240]   is a big moneymaker. You know, it's, it's not readily known, but there's no regulation of dental
[01:15:06.240 --> 01:15:12.480]   whitening in the U S in Europe. It's heavily regulated. In fact, you can only use a 10% gel.
[01:15:12.480 --> 01:15:18.620]   We're handing out, you can get it on Amazon here. We're handing out 35, 40%, uh, concentration of
[01:15:18.620 --> 01:15:25.220]   gels. Uh, also it's, it's age gated. You cannot whiten a kid's teeth. You have to wait till they're
[01:15:25.220 --> 01:15:30.300]   18. And there's a reason for that. Pulpal sensitivity, et cetera. It's the wild, wild west
[01:15:30.300 --> 01:15:36.020]   out here in, in the U S with dentistry. So whitening is fine. It works. Make sure you do it correctly.
[01:15:36.020 --> 01:15:40.800]   Make sure it's a tray that's cut away from the gums. An Invisalign tray is the ideal, uh,
[01:15:40.800 --> 01:15:45.240]   tray for whitening because it only holds the gel on the teeth. If the gel gets out,
[01:15:45.240 --> 01:15:50.160]   it's going to affect the oral microbiome because it's, it's bactericidal. It's hydrogen peroxide.
[01:15:50.160 --> 01:15:54.740]   It creates free radicals in your mouth. The last thing you want, but, and if you whiten too often
[01:15:54.740 --> 01:16:01.000]   and too aggressively, you're going to have issues, even permanent ones. Um, so I would just make sure
[01:16:01.000 --> 01:16:06.300]   you're doing it the European way. Again, we have a blog post on this. I think I have a podcast episode
[01:16:06.300 --> 01:16:10.780]   on this. Do it slowly. I mean, if you waited to the last minute, you're getting married in four days,
[01:16:10.780 --> 01:16:15.340]   yeah, we can whiten your teeth. We can do it, but it's going to come at a cost,
[01:16:15.340 --> 01:16:20.220]   not just financial cost, a lot of sensitivity, uh, damage to the enamel. Be careful.
[01:16:20.220 --> 01:16:23.040]   Yeah. Yeah. You're probably better to use Photoshop in that case.
[01:16:23.040 --> 01:16:31.300]   Uh, okay. I think I hit so many of the things in here. I have a lot of takeaways for me. Uh,
[01:16:31.300 --> 01:16:36.080]   one that I, we didn't explicitly talk about, but it sounds like there's a lot going on in your oral
[01:16:36.080 --> 01:16:40.800]   microbiome snacking throughout the day, you know, give your teeth some time to go through
[01:16:40.800 --> 01:16:45.440]   these processes throughout the day. Is there, is there a window of time that you might need to say,
[01:16:45.440 --> 01:16:49.880]   Hey, make sure every day you've got two or three hours, two or three times to kind of do their own
[01:16:49.880 --> 01:16:55.320]   thing. Right. Again, it's that frequency issue. Uh, and that's why intermittent fasting has its,
[01:16:55.320 --> 01:16:59.840]   uh, advantages to oral health as well. I mean, if you keep snacking all the time,
[01:16:59.840 --> 01:17:04.980]   then think about it. Your, your teeth are always trying to remineralize and, and that demon is,
[01:17:04.980 --> 01:17:10.740]   we call it the Stefan's curve. It's a, it's a graph and it, it, you know, it based on pH and how
[01:17:10.740 --> 01:17:15.740]   often you eat, there has to be a recovery time. Otherwise the body cannot keep up with the fixing
[01:17:15.740 --> 01:17:21.020]   of the teeth and the remineralizing of teeth. So if you could eat two or three meals a day,
[01:17:21.020 --> 01:17:27.160]   six hours, four to five hours apart, if you're eating two meals a day, uh, I think the best way to
[01:17:27.160 --> 01:17:31.860]   intermittent fast is to eat a good breakfast, maybe an hour or two after you wake up, not
[01:17:31.860 --> 01:17:37.840]   immediately, uh, have a big lunch like the Europeans do, and maybe just some protein powder for dinner.
[01:17:37.840 --> 01:17:42.500]   That is a great way to go when it comes to teeth. I know that doesn't sound ideal for a lot of people,
[01:17:42.500 --> 01:17:47.440]   but it's kind of what my grandkids are doing. That's what my wife and I do. And it works and
[01:17:47.440 --> 01:17:52.300]   you can enjoy that if you're snacking all day long and you're really not aware of it and you're
[01:17:52.300 --> 01:17:59.840]   drinking, sipping a Red Bull and, and diet sodas, regular sodas, coffee, all of these beverages,
[01:17:59.840 --> 01:18:05.840]   uh, your, your teeth don't have a chance really to recover. You will pay the dentist.
[01:18:05.840 --> 01:18:11.220]   Great. Um, this has been fantastic. Uh, we referenced a lot of blog posts. I'm going to try to put as
[01:18:11.220 --> 01:18:16.920]   many of them as I can or podcast episodes in the show notes, but for people who want to go deeper on
[01:18:16.920 --> 01:18:21.780]   everything you're doing, where do they find you? Instagram, ask the dentist, uh, our website,
[01:18:21.780 --> 01:18:25.980]   ask the dentist.com. You could go to our toothpaste site. We've got a lot of information there.
[01:18:25.980 --> 01:18:33.500]   It has its own separate, uh, Instagram site. Fig F Y G G stands for feed your good guys. Um,
[01:18:33.500 --> 01:18:39.720]   we're on Tik TOK. Uh, we've just kind of started. Um, uh, I have a book on sleep. Uh, again, that's
[01:18:39.720 --> 01:18:44.740]   something we didn't talk about, but probably better to see your dentist first, rather than a physician.
[01:18:44.740 --> 01:18:48.760]   When it comes to sleep, we can see it decades before a physician can. It's not because they're
[01:18:48.760 --> 01:18:54.120]   dumb or stupid and, and, or we're super smart. We just have a different training. We see it differently.
[01:18:54.120 --> 01:18:59.280]   Um, so yeah, I would say start at the Instagram channel and, and probably the website.
[01:18:59.280 --> 01:19:02.520]   All right. This has been fantastic. Thank you so much for joining me.
[01:19:02.520 --> 01:19:03.780]   Thank you, Chris. I enjoyed it.

