
[00:00:00.000 --> 00:00:05.840]   (applause)
[00:50:47.860 --> 00:50:49.100]   plan, you might have to change it.
[00:50:49.100 --> 00:50:52.260]   So, expect to make changes to your plan.
[00:50:52.260 --> 00:50:53.940]   That's going to be way more important than
[00:50:53.940 --> 00:50:57.240]   whatever tool that you use.
[00:50:57.240 --> 00:50:57.900]   Yeah.
[00:50:57.900 --> 00:50:59.040]   Unfortunately, I don't have a very
[00:50:59.040 --> 00:51:02.120]   satisfactory answer here because the software that
[00:51:02.120 --> 00:51:05.380]   I personally use is priced for advisors, and it
[00:51:05.380 --> 00:51:08.160]   really wouldn't make sense for somebody to pay that
[00:51:08.160 --> 00:51:12.080]   full price themselves just to use it one time.
[00:51:12.080 --> 00:51:15.600]   New retirement is the one I hear about the most,
[00:51:15.600 --> 00:51:17.300]   without a doubt, and I don't know if Steve's in
[00:51:17.360 --> 00:51:19.760]   the room, but he's in the Bobleheads community.
[00:51:19.760 --> 00:51:20.800]   He's active here.
[00:51:20.800 --> 00:51:23.440]   He cares about your input.
[00:51:23.440 --> 00:51:25.860]   I can't say that I've test driven it thoroughly
[00:51:25.860 --> 00:51:28.000]   myself, so I can't say very much, but I hear
[00:51:28.000 --> 00:51:29.940]   generally good things.
[00:51:29.940 --> 00:51:32.380]   Other software that I hear good things about,
[00:51:32.380 --> 00:51:37.340]   Maxify Planner by Lawrence Kotlikoff, is
[00:51:37.340 --> 00:51:39.040]   something I hear universally good things
[00:51:39.040 --> 00:51:42.560]   about, and he's a deep subject matter expert on a
[00:51:42.560 --> 00:51:45.820]   range of retirement topics.
[00:51:45.880 --> 00:51:47.280]   Yeah, I will say really quickly that new
[00:51:47.280 --> 00:51:50.160]   retirement is quite similar to the very
[00:51:50.160 --> 00:51:53.560]   expensive advisor software that's out there, but
[00:51:53.560 --> 00:51:56.900]   again, just have flexibility in your plan.
[00:51:56.900 --> 00:51:58.500]   And on the software, I've been meaning to do a
[00:51:58.500 --> 00:51:59.700]   deeper dive into that.
[00:51:59.700 --> 00:52:01.740]   I haven't yet, but what I have heard from a lot of
[00:52:01.740 --> 00:52:03.440]   individuals, so in addition to doing
[00:52:03.440 --> 00:52:07.440]   retirement and Maxify, they have the full list of
[00:52:07.440 --> 00:52:08.740]   things I've heard good things about.
[00:52:08.740 --> 00:52:11.920]   Prolana Gold is another software package, and then
[00:52:11.920 --> 00:52:14.140]   Flexible Retirement Planner.
[00:52:14.220 --> 00:52:16.620]   I think all four of those get pretty detailed in
[00:52:16.620 --> 00:52:18.520]   the calculations.
[00:52:18.520 --> 00:52:19.920]   Okay.
[00:52:19.920 --> 00:52:22.300]   I want to note that we will have a 10-minute break,
[00:52:22.300 --> 00:52:24.900]   then we will reconvene in this room for a
[00:52:24.900 --> 00:52:27.460]   conversation with Dana Ansbach.
[00:52:27.460 --> 00:52:31.100]   I want you to join me in thanking Mike and John and
[00:52:31.100 --> 00:52:32.100]   Wade here today.
[00:52:32.100 --> 00:52:34.180]   (Applause)
[00:52:34.180 --> 00:52:36.180]   (Applause)
[00:52:36.180 --> 00:52:38.420]   (applause)
[00:52:38.420 --> 00:52:41.580]   (audience applauding)

