
[00:00:00.000 --> 00:00:02.320]   I hate affirmative action.
[02:48:33.060 --> 02:48:34.700]   She has a background.
[02:48:34.700 --> 02:48:39.580]   You do not have to be a world-class
[02:48:39.580 --> 02:48:41.820]   constitutional legal scholar to get onto
[02:48:41.820 --> 02:48:43.700]   the United States Supreme Court.
[02:48:43.700 --> 02:48:45.860]   A lot of members of the United States Supreme Court
[02:48:45.860 --> 02:48:48.580]   have had different kinds of legal careers
[02:48:48.580 --> 02:48:50.700]   before they were elevated to that position.
[02:48:50.700 --> 02:48:56.580]   Earl Warren of the famed Warren Court of the 1950s and '60s
[02:48:56.580 --> 02:49:01.140]   was a politician as well as a leading jurist and whatnot.
[02:49:01.140 --> 02:49:03.220]   I mean, many kinds of people in the US Supreme Court.
[02:49:03.220 --> 02:49:06.980]   I have no doubt that Judge Katonji Brown-Jackson
[02:49:06.980 --> 02:49:10.140]   is a qualified member to be on the Supreme Court.
[02:49:10.140 --> 02:49:13.820]   I wish that Biden had not done what he did.
[02:49:13.820 --> 02:49:16.180]   He could have just appointed a black woman
[02:49:16.180 --> 02:49:18.900]   by saying that he was limiting his considerations
[02:49:18.900 --> 02:49:20.460]   to black women, and what are black women
[02:49:20.460 --> 02:49:23.460]   as a percentage of all potential appointees
[02:49:23.460 --> 02:49:24.980]   to the Supreme Court?
[02:49:24.980 --> 02:49:26.660]   3%?
[02:49:26.660 --> 02:49:27.500]   4%?
[02:49:27.500 --> 02:49:29.020]   I don't know, we could look the number up.
[02:49:30.740 --> 02:49:33.500]   By saying that, he puts an asterisk on the appointment,
[02:49:33.500 --> 02:49:34.780]   but it's worse than that,
[02:49:34.780 --> 02:49:38.980]   because she will live down the asterisk
[02:49:38.980 --> 02:49:42.340]   if a person is inclined to do that.
[02:49:42.340 --> 02:49:45.900]   She will have the opportunity to show through her performance
[02:49:45.900 --> 02:49:47.300]   exactly what kind of jurist she is,
[02:49:47.300 --> 02:49:49.860]   just as Justice Clarence Thomas has shown
[02:49:49.860 --> 02:49:52.740]   through his performance that he was qualified
[02:49:52.740 --> 02:49:53.900]   and more than qualified to be
[02:49:53.900 --> 02:49:56.300]   on the United States Supreme Court.
[02:49:57.500 --> 02:49:59.740]   What I disliked was the pandering.
[02:49:59.740 --> 02:50:06.260]   He was seeking votes from black people by pandering to us,
[02:50:06.260 --> 02:50:09.020]   and he's treating us like children.
[02:50:09.020 --> 02:50:12.140]   Why should I care what color the person is
[02:50:12.140 --> 02:50:14.420]   who's on the United States Supreme Court?
[02:50:14.420 --> 02:50:17.700]   What I should care about is what kind of opinions
[02:50:17.700 --> 02:50:20.020]   they're gonna write when they're on the United States.
[02:50:20.020 --> 02:50:22.020]   Do I suppose that being a black woman
[02:50:22.020 --> 02:50:23.940]   means that you're gonna write different kind of opinions
[02:50:23.940 --> 02:50:24.780]   than others?
[02:50:24.780 --> 02:50:27.500]   Perhaps, perhaps.
[02:50:27.500 --> 02:50:30.700]   That kind of identity politics
[02:50:30.700 --> 02:50:35.100]   at the highest level of American legal establishment
[02:50:35.100 --> 02:50:38.820]   is something that rubs me very much the wrong way.
[02:50:38.820 --> 02:50:42.700]   What I should care about is the nature
[02:50:42.700 --> 02:50:43.740]   and the future of the law.
[02:50:43.740 --> 02:50:45.660]   I'm actually struck by this
[02:50:45.660 --> 02:50:49.820]   because the court is conservative.
[02:50:49.820 --> 02:50:53.780]   It has six conservative members on it,
[02:50:53.780 --> 02:50:56.340]   and it has three liberal members on it.
[02:50:56.340 --> 02:51:02.660]   And if I were, and I'm not a liberal Democrat,
[02:51:02.660 --> 02:51:04.860]   the highest concern that I would have
[02:51:04.860 --> 02:51:07.500]   about an appointment to the Supreme Court is,
[02:51:07.500 --> 02:51:11.020]   is this a person who is going to be effective
[02:51:11.020 --> 02:51:13.980]   in advocating my liberal views
[02:51:13.980 --> 02:51:16.980]   within the highest council of American law?
[02:51:16.980 --> 02:51:19.940]   Now, the fact that that person is a woman
[02:51:19.940 --> 02:51:23.140]   or is a black person is way down the list
[02:51:23.140 --> 02:51:26.300]   of the things that I would think are important
[02:51:26.300 --> 02:51:29.620]   to the kinds of opinions that they're going to write.
[02:51:29.620 --> 02:51:33.340]   So, I mean, I think Joe Biden,
[02:51:33.340 --> 02:51:39.380]   this is just a piece of a larger political strategy
[02:51:39.380 --> 02:51:41.620]   to cobble together a coalition
[02:51:41.620 --> 02:51:43.940]   that'll be successful at the polls
[02:51:43.940 --> 02:51:45.620]   in sustaining Democrats.
[02:51:45.620 --> 02:51:49.900]   Jim Crow 2.0, this whole characterization
[02:51:49.900 --> 02:51:52.860]   of the conflict in the States
[02:51:52.860 --> 02:51:56.100]   about election security and voting rights
[02:51:56.100 --> 02:51:58.420]   is another part of that strategy.
[02:51:58.420 --> 02:52:01.900]   He is pandering to black voters.
[02:52:01.900 --> 02:52:04.900]   He is trying to frighten us,
[02:52:04.900 --> 02:52:06.860]   thinking that if the Republicans win,
[02:52:06.860 --> 02:52:08.660]   our rights will be taken away.
[02:52:08.660 --> 02:52:14.660]   And I think it is a infantilization
[02:52:14.660 --> 02:52:16.300]   of African-American politics.
[02:52:16.300 --> 02:52:20.300]   I think black people ought not to be as concerned
[02:52:20.300 --> 02:52:21.740]   about the color of the skin
[02:52:21.740 --> 02:52:23.900]   of a person who is serving in government
[02:52:23.900 --> 02:52:26.860]   as they are about the content of their character
[02:52:26.860 --> 02:52:30.620]   and the focus of their political
[02:52:30.620 --> 02:52:32.740]   and ideological orientation,
[02:52:32.740 --> 02:52:37.300]   which for me would be center or even center-right,
[02:52:37.300 --> 02:52:38.980]   but that's me.
[02:52:38.980 --> 02:52:41.380]   - And it should not have a significant impact.
[02:52:41.380 --> 02:52:43.860]   Nevertheless, he said she can overcome the asterisk,
[02:52:43.860 --> 02:52:46.220]   but to me, it was deeply disrespectful
[02:52:46.220 --> 02:52:50.300]   that anyone would give an extra asterisk
[02:52:50.300 --> 02:52:51.620]   to have to overcome.
[02:52:51.620 --> 02:52:52.780]   He didn't have to say it.
[02:52:52.780 --> 02:52:53.980]   All he had to do was do it.
[02:52:53.980 --> 02:52:55.620]   If he wanted to put a black woman on the court,
[02:52:55.620 --> 02:52:57.380]   then he could have just gone ahead and done it.
[02:52:57.380 --> 02:52:59.700]   The reason he said it is because he wanted black people
[02:52:59.700 --> 02:53:01.500]   to vote for him by saying it.
[02:53:01.500 --> 02:53:04.460]   And I'm saying that treats us like we're children.
[02:53:04.460 --> 02:53:05.700]   - It's not a political statement.
[02:53:05.700 --> 02:53:06.780]   I just thought as a leader,
[02:53:06.780 --> 02:53:11.260]   that was not, that was kind of disgusting.
[02:53:11.260 --> 02:53:13.820]   Let me ask you about Thomas Sowell.
[02:53:13.820 --> 02:53:14.740]   You mentioned him.
[02:53:14.740 --> 02:53:19.300]   He's a colleague and somebody who was an influence.
[02:53:19.300 --> 02:53:22.580]   What, in the space of ideas,
[02:53:22.580 --> 02:53:27.580]   so what broadly, what impact has he had on your ideas?
[02:53:27.580 --> 02:53:32.980]   And how do you think he shaped the landscape of ideas
[02:53:32.980 --> 02:53:35.100]   in our culture in general?
[02:53:35.100 --> 02:53:37.500]   - I think Thomas Sowell, he's in his 90s now.
[02:53:37.500 --> 02:53:39.100]   He's been around for a long time.
[02:53:39.100 --> 02:53:40.260]   - He's still got it.
[02:53:40.260 --> 02:53:41.340]   He's still going at it.
[02:53:41.340 --> 02:53:42.180]   - He's still going at it.
[02:53:42.180 --> 02:53:43.140]   Books continue to come out.
[02:53:43.140 --> 02:53:44.380]   I think he's a great man.
[02:53:44.380 --> 02:53:49.020]   I think Thomas Sowell, regardless of his race,
[02:53:49.020 --> 02:53:54.020]   he's black, is one of the 100
[02:53:54.020 --> 02:53:57.780]   most significant economists of the 20th century.
[02:53:57.780 --> 02:53:59.620]   He has chosen as his subject,
[02:53:59.620 --> 02:54:01.300]   a substantial part of his subject,
[02:54:01.300 --> 02:54:04.940]   subject to investigate the deep causes
[02:54:04.940 --> 02:54:07.980]   and consequences of racial disparity
[02:54:07.980 --> 02:54:09.660]   of one kind or another.
[02:54:09.660 --> 02:54:12.860]   He's written fundamental books about that.
[02:54:12.860 --> 02:54:15.620]   Many of them.
[02:54:15.620 --> 02:54:17.700]   He's a social philosopher.
[02:54:17.700 --> 02:54:20.700]   He is a economic historian.
[02:54:20.700 --> 02:54:25.700]   He is a combatant in the conflict of ideas
[02:54:25.700 --> 02:54:27.740]   around how to think about society
[02:54:27.740 --> 02:54:30.180]   and this beyond racial differences,
[02:54:30.180 --> 02:54:32.020]   although race has been a big part of
[02:54:32.020 --> 02:54:33.220]   what he's written about.
[02:54:33.220 --> 02:54:35.380]   He's been critical of affirmative action,
[02:54:35.380 --> 02:54:37.900]   and he didn't just stand back and wag his finger.
[02:54:37.900 --> 02:54:39.780]   He got busy looking at the consequences
[02:54:39.780 --> 02:54:42.660]   of affirmative action in societies all around the world,
[02:54:42.660 --> 02:54:44.580]   and he's written books about that.
[02:54:44.580 --> 02:54:47.380]   He's been critical of the narrative
[02:54:47.380 --> 02:54:50.300]   about civil rights and racial inequality.
[02:54:50.300 --> 02:54:51.740]   He believes in small government.
[02:54:51.740 --> 02:54:55.580]   He doesn't think that efforts to redistribute income
[02:54:55.580 --> 02:54:57.340]   have proved to be the solution
[02:54:57.340 --> 02:55:00.220]   to the problem of racial disparity.
[02:55:00.220 --> 02:55:02.700]   Tom has not been honored by the committee
[02:55:02.700 --> 02:55:06.780]   that hands out Nobel recognition in economic science
[02:55:06.780 --> 02:55:09.380]   and probably won't be because he's controversial,
[02:55:09.380 --> 02:55:13.300]   and I reckon that that committee would be loath
[02:55:13.300 --> 02:55:16.500]   to encourage the blowback that they would be sure to receive
[02:55:16.500 --> 02:55:19.300]   if they were to take a controversial
[02:55:19.300 --> 02:55:23.700]   and politically focused and expressive
[02:55:23.700 --> 02:55:26.460]   black conservative and honor in that way.
[02:55:26.460 --> 02:55:29.020]   So I think another reason is that Tom,
[02:55:29.020 --> 02:55:31.900]   as a methodological matter,
[02:55:31.900 --> 02:55:34.220]   is not especially quantitative.
[02:55:34.220 --> 02:55:35.340]   He pays attention to data,
[02:55:35.340 --> 02:55:37.860]   but he doesn't do statistical analysis,
[02:55:37.860 --> 02:55:39.820]   and he doesn't do modeling.
[02:55:39.820 --> 02:55:41.700]   So from a methodological point of view,
[02:55:41.700 --> 02:55:43.860]   he's not a cutting edge,
[02:55:43.860 --> 02:55:47.740]   kind of mathematically sophisticated,
[02:55:47.740 --> 02:55:51.700]   kind of quantitatively statistically oriented,
[02:55:51.700 --> 02:55:53.100]   but he does descriptive stuff.
[02:55:53.100 --> 02:55:56.740]   He writes in a style that is much more
[02:55:56.740 --> 02:55:59.420]   like a social historian than it is
[02:55:59.420 --> 02:56:04.100]   like a mathematically trained analytical economist.
[02:56:04.100 --> 02:56:04.940]   On the other hand,
[02:56:04.940 --> 02:56:07.420]   he is an economist in the Chicago School,
[02:56:07.420 --> 02:56:09.900]   Milton Friedman and George Stickler,
[02:56:09.900 --> 02:56:11.860]   prominent amongst his teachers,
[02:56:11.860 --> 02:56:15.140]   who takes price theory,
[02:56:15.140 --> 02:56:20.140]   which is the analysis of the interplay of market forces,
[02:56:20.140 --> 02:56:24.100]   mindful of incentives,
[02:56:24.100 --> 02:56:29.100]   and so on to implement the basic insights
[02:56:29.100 --> 02:56:32.060]   from economic science.
[02:56:32.060 --> 02:56:33.060]   There is no free lunch.
[02:56:33.060 --> 02:56:34.420]   I mean, there's always gonna be a cost
[02:56:34.420 --> 02:56:36.420]   to anything that you do and so on.
[02:56:36.420 --> 02:56:37.660]   People respond to incentives,
[02:56:37.660 --> 02:56:39.180]   demand curve slope downward.
[02:56:40.180 --> 02:56:42.100]   You know, competition tends to work best
[02:56:42.100 --> 02:56:44.980]   when people are free to enter and not, and so on.
[02:56:44.980 --> 02:56:46.780]   I mean, that kind of thing.
[02:56:46.780 --> 02:56:51.700]   But Tom is also a social historian and a philosopher
[02:56:51.700 --> 02:56:54.820]   in the tradition of Friedrich von Hayek.
[02:56:54.820 --> 02:56:57.820]   One of Tom's books I've deeply admired,
[02:56:57.820 --> 02:56:59.900]   "Knowledge and Decisions,"
[02:56:59.900 --> 02:57:02.980]   is an extension of the Hayekian arguments
[02:57:02.980 --> 02:57:07.980]   about the limits of central planning and whatnot.
[02:57:08.980 --> 02:57:13.140]   So I think Tom Sowell, Thomas Sowell,
[02:57:13.140 --> 02:57:17.460]   African-American, born, as I understand it, in Louisiana,
[02:57:17.460 --> 02:57:20.500]   raised in New York City,
[02:57:20.500 --> 02:57:23.780]   graduate of Harvard College, a military veteran,
[02:57:23.780 --> 02:57:29.100]   a PhD in economics from the University of Chicago,
[02:57:29.100 --> 02:57:31.700]   a black conservative social scientist
[02:57:31.700 --> 02:57:33.380]   of very high stature.
[02:57:33.380 --> 02:57:34.500]   I think he's a great man.
[02:57:34.500 --> 02:57:37.740]   - And one of the great intellectuals of the 20th century.
[02:57:37.740 --> 02:57:42.740]   And you're saying implicitly deserves a Nobel Prize.
[02:57:42.740 --> 02:57:45.420]   - Yeah, I do think so.
[02:57:45.420 --> 02:57:49.780]   I mean, Hayek was awarded by the committee.
[02:57:49.780 --> 02:57:53.100]   Gunnar Myrdal, the Swedish economist
[02:57:53.100 --> 02:57:54.380]   who wrote about economic development,
[02:57:54.380 --> 02:57:56.420]   wrote a famous two-volume work,
[02:57:56.420 --> 02:57:59.380]   "An American Dilemma" about the status of blacks.
[02:57:59.380 --> 02:58:03.580]   I mean, I think Tom could be, you know,
[02:58:03.580 --> 02:58:06.020]   put in that company very easily without any difficulty.
[02:58:06.020 --> 02:58:07.060]   - I agree.
[02:58:07.060 --> 02:58:09.900]   - Daniel Kahneman, so it doesn't have to be numerical.
[02:58:09.900 --> 02:58:11.980]   - Psychologist, United Economist,
[02:58:11.980 --> 02:58:15.900]   Eleanor Ostrom, the political scientist
[02:58:15.900 --> 02:58:17.980]   who was honored in a joint prize given to her
[02:58:17.980 --> 02:58:21.860]   and Oliver Williamson 15 years ago or so.
[02:58:21.860 --> 02:58:24.620]   He could be put in that company really quite easily.
[02:58:24.620 --> 02:58:29.780]   - Let me ask you, you mentioned Obama in the very beginning
[02:58:29.780 --> 02:58:31.140]   that we were talking about.
[02:58:34.260 --> 02:58:38.140]   How did it feel that seems like forever ago,
[02:58:38.140 --> 02:58:41.740]   that in 2008, Barack Obama became president?
[02:58:41.740 --> 02:58:45.820]   Now at that time, perhaps you identified
[02:58:45.820 --> 02:58:48.940]   as conservative already, but how did,
[02:58:48.940 --> 02:58:53.940]   so politics aside, just in general,
[02:58:53.940 --> 02:58:59.860]   how did it feel that in 150 years
[02:58:59.860 --> 02:59:01.580]   where this country has come along?
[02:59:03.260 --> 02:59:07.300]   - Well, yeah, I didn't identify in 2008
[02:59:07.300 --> 02:59:10.740]   as a conservative to the same extent that I do today.
[02:59:10.740 --> 02:59:15.940]   I was kind of in transition yet again.
[02:59:15.940 --> 02:59:18.340]   I was excited by the Obama candidacy.
[02:59:18.340 --> 02:59:23.100]   At first I was skeptical because after all, he's not black.
[02:59:23.100 --> 02:59:27.380]   The man's father is a Kenyan
[02:59:27.380 --> 02:59:31.780]   and the man's mother is a white American
[02:59:31.780 --> 02:59:34.980]   and he identifies as black.
[02:59:34.980 --> 02:59:38.660]   I find it interesting that the first black president
[02:59:38.660 --> 02:59:41.100]   of the United States, and I could have put inverted commas
[02:59:41.100 --> 02:59:43.980]   around black, and the first black vice president
[02:59:43.980 --> 02:59:45.860]   of the United States,
[02:59:45.860 --> 02:59:48.380]   neither of them descend from American slaves.
[02:59:48.380 --> 02:59:54.660]   Kamala Harris's father is of African ancestry in part.
[02:59:54.660 --> 02:59:55.940]   He's a Jamaican immigrant
[02:59:55.940 --> 03:00:00.260]   and her mother is an Indian immigrant.
[03:00:00.260 --> 03:00:05.260]   She was Kamala Harris raised up largely in Canada,
[03:00:05.260 --> 03:00:11.300]   though born in the United States.
[03:00:11.300 --> 03:00:17.260]   Barack Obama is, as I've said, of mixed ancestry
[03:00:17.260 --> 03:00:20.140]   and neither of his parents are the descendants
[03:00:20.140 --> 03:00:25.140]   of American descendants of African slaves.
[03:00:26.260 --> 03:00:30.940]   But blackness is flexible.
[03:00:30.940 --> 03:00:35.380]   It's something that you can put on
[03:00:35.380 --> 03:00:38.500]   or you can take off to a certain degree for some people
[03:00:38.500 --> 03:00:41.580]   and so be it.
[03:00:41.580 --> 03:00:43.220]   I was excited.
[03:00:43.220 --> 03:00:44.540]   Our time has come.
[03:00:44.540 --> 03:00:47.220]   Hope and change.
[03:00:47.220 --> 03:00:51.060]   We are the ones we've been waiting for.
[03:00:51.060 --> 03:00:53.020]   These are slogans from 2008.
[03:00:54.580 --> 03:00:57.500]   I can't believe I bought that crap.
[03:00:57.500 --> 03:00:58.340]   - Oh, interesting.
[03:00:58.340 --> 03:01:00.060]   Let me push back here.
[03:01:00.060 --> 03:01:04.060]   You talked about, I mean, to me, a Jew is a Jew.
[03:01:04.060 --> 03:01:07.700]   Skin color is skin color.
[03:01:07.700 --> 03:01:15.100]   I mean, Barack Obama is black when it matters,
[03:01:15.100 --> 03:01:20.740]   when you're talking to a white supremacist,
[03:01:20.740 --> 03:01:25.740]   when you're talking to, if you're a slave owner, he's black.
[03:01:25.740 --> 03:01:30.660]   Just like you said, when Hitler comes around,
[03:01:30.660 --> 03:01:31.580]   a Jew is a Jew.
[03:01:31.580 --> 03:01:35.780]   It doesn't matter how you identify, doesn't matter what.
[03:01:35.780 --> 03:01:40.220]   So in that sense, don't you think that Barack Obama
[03:01:40.220 --> 03:01:43.380]   is black in the most powerful of ways,
[03:01:43.380 --> 03:01:48.380]   which is designating how far the MLK, the Dr. King vision?
[03:01:48.380 --> 03:01:50.140]   - Oh, sure.
[03:01:50.140 --> 03:01:52.740]   And look, I said it a little bit tongue in cheek.
[03:01:52.740 --> 03:01:54.100]   - Yes, yes, of course.
[03:01:54.100 --> 03:01:57.140]   - But I think Obama has been very careful
[03:01:57.140 --> 03:02:00.860]   about manufacturing a kind of public persona
[03:02:00.860 --> 03:02:05.860]   that is intended to position him in the most effective way.
[03:02:05.860 --> 03:02:10.780]   - You mean like every politician?
[03:02:10.780 --> 03:02:12.580]   - Yeah, like every politician, sure.
[03:02:12.580 --> 03:02:17.180]   And that the racial identity piece is an aspect of that.
[03:02:17.180 --> 03:02:21.300]   I mean, anything I say here would only be speculation
[03:02:21.300 --> 03:02:24.180]   because I have no facts about the personal history
[03:02:24.180 --> 03:02:25.020]   of Barack Obama.
[03:02:25.020 --> 03:02:27.060]   And I accept Barack Hussein Obama,
[03:02:27.060 --> 03:02:29.180]   as Hillary Clinton once said,
[03:02:29.180 --> 03:02:34.180]   I take him at his word about whatever she was talking about.
[03:02:34.180 --> 03:02:35.820]   Well, was he a Christian?
[03:02:35.820 --> 03:02:37.700]   I think is what the question was.
[03:02:37.700 --> 03:02:40.860]   And there was some right wing attack on Obama
[03:02:40.860 --> 03:02:45.540]   for having been raised for some years in the Philippines
[03:02:45.540 --> 03:02:48.420]   and all of that, or Indonesia, I beg your pardon,
[03:02:48.420 --> 03:02:51.540]   in Indonesia and his stepfather and all of that.
[03:02:51.540 --> 03:02:54.940]   But she took him at his word and I take him at his word
[03:02:54.940 --> 03:02:58.100]   about his racial identity.
[03:02:58.100 --> 03:02:58.940]   No.
[03:02:58.940 --> 03:03:01.700]   - But you were captivated by the power of his words
[03:03:01.700 --> 03:03:04.380]   and you regret to the degree you were captivated.
[03:03:04.380 --> 03:03:06.420]   - Well, I mean, I think in retrospect,
[03:03:06.420 --> 03:03:09.900]   that whole campaign looks like a pie in the sky
[03:03:09.900 --> 03:03:13.140]   kind of fairy tale.
[03:03:13.140 --> 03:03:15.780]   We are the ones we've been waiting for.
[03:03:15.780 --> 03:03:17.860]   I can't quote exactly that speech
[03:03:17.860 --> 03:03:19.860]   that he gave in Grant Park in Chicago
[03:03:19.860 --> 03:03:23.740]   when he was announced as the winner of the election.
[03:03:23.740 --> 03:03:27.500]   But today is the day that the rise of the ocean stopped,
[03:03:27.500 --> 03:03:28.900]   or words to this effect.
[03:03:28.900 --> 03:03:32.820]   I mean, those who doubted that we could do it,
[03:03:32.820 --> 03:03:35.420]   that tonight is your answer, this was gonna be a new day,
[03:03:35.420 --> 03:03:36.980]   it was gonna be a new regime.
[03:03:36.980 --> 03:03:40.100]   Well, it wasn't a new day and it wasn't a new regime.
[03:03:40.100 --> 03:03:43.140]   It was American politics more or less as usual.
[03:03:43.140 --> 03:03:46.380]   Barack Obama turns out not to be the Messiah.
[03:03:46.380 --> 03:03:48.480]   Maybe there should be no surprise in that.
[03:03:48.480 --> 03:03:52.640]   Race relations got set back during Obama's tenure.
[03:03:52.640 --> 03:03:57.900]   My beef with Obama is that, okay, you're black.
[03:03:57.900 --> 03:03:59.580]   You say you're black, you're black.
[03:03:59.580 --> 03:04:02.300]   You got elected, now we have a black president.
[03:04:02.300 --> 03:04:04.140]   A black president.
[03:04:04.140 --> 03:04:07.880]   You can do stuff that nobody else could do.
[03:04:09.060 --> 03:04:11.020]   You're a black president.
[03:04:11.020 --> 03:04:13.860]   You could tell the people burning down the city
[03:04:13.860 --> 03:04:17.580]   to get their butts back in their houses and to stop it.
[03:04:17.580 --> 03:04:22.980]   You could tell the race hustlers,
[03:04:22.980 --> 03:04:24.520]   the Al Sharptons of the world,
[03:04:24.520 --> 03:04:28.260]   not only has our time come,
[03:04:28.260 --> 03:04:30.740]   for those who supported my campaign,
[03:04:30.740 --> 03:04:34.740]   your time is over for those who wanna carry on
[03:04:36.140 --> 03:04:40.260]   a advocacy rooted in racial grievance.
[03:04:40.260 --> 03:04:44.060]   The election of myself to this highest office proves
[03:04:44.060 --> 03:04:46.720]   that the institution of this state are legitimate
[03:04:46.720 --> 03:04:49.220]   and open to all comers.
[03:04:49.220 --> 03:04:55.160]   I think Barack Obama, when the SHIT hit the fan,
[03:04:55.160 --> 03:04:58.220]   if I had a son, he'd look like Trayvon.
[03:04:58.220 --> 03:05:00.180]   I deeply regret that he said that.
[03:05:00.180 --> 03:05:02.460]   He's president of the United States.
[03:05:02.460 --> 03:05:06.500]   The color of his skin and the color of Trayvon's skin,
[03:05:06.500 --> 03:05:08.100]   the correlation between those two things,
[03:05:08.100 --> 03:05:09.460]   if I had a son, he'd look like Trayvon.
[03:05:09.460 --> 03:05:12.340]   Now he says, when he said it,
[03:05:12.340 --> 03:05:15.660]   he only meant to sympathize with the parents.
[03:05:15.660 --> 03:05:16.940]   But in fact, when he said it
[03:05:16.940 --> 03:05:19.460]   from the highest office in the land,
[03:05:19.460 --> 03:05:21.580]   and then sent his attorney general, Eric Holder,
[03:05:21.580 --> 03:05:24.660]   out to enforce this narrative,
[03:05:24.660 --> 03:05:27.460]   he doubled down on a racial narrative
[03:05:27.460 --> 03:05:29.980]   that I think is actually false.
[03:05:29.980 --> 03:05:34.940]   I think the story that systemic racism in America
[03:05:34.940 --> 03:05:38.300]   as reflected in policing that terrorizes black people
[03:05:38.300 --> 03:05:42.700]   because of the color of their skin is demonstrably false.
[03:05:42.700 --> 03:05:47.380]   I think that the central threat to black lives
[03:05:47.380 --> 03:05:52.380]   is violent crime perpetrated largely by black people
[03:05:52.380 --> 03:05:54.440]   against other black people.
[03:05:54.440 --> 03:05:56.300]   I think there is such a thing as police brutality,
[03:05:56.300 --> 03:05:58.820]   and I think there are reasons to have regulations of police,
[03:05:58.820 --> 03:06:02.240]   but I think it is a second order issue
[03:06:02.240 --> 03:06:06.980]   in terms of the quality of life of African-Americans.
[03:06:06.980 --> 03:06:08.820]   I think Obama could have told the people
[03:06:08.820 --> 03:06:11.980]   who after Freddie Gray died in police custody
[03:06:11.980 --> 03:06:14.060]   in a van in Baltimore,
[03:06:14.060 --> 03:06:16.800]   and who undertook to burn that city down,
[03:06:16.800 --> 03:06:19.260]   to get their asses off the street
[03:06:19.260 --> 03:06:21.060]   and go back to their apartments and stop it.
[03:06:21.060 --> 03:06:22.820]   I think he could have said in the aftermath
[03:06:22.820 --> 03:06:26.560]   of Michael Brown being shot dead by Darren Wilson
[03:06:26.560 --> 03:06:27.900]   in Ferguson, Missouri,
[03:06:27.900 --> 03:06:30.740]   and there was a grand jury deliberation
[03:06:30.740 --> 03:06:34.060]   that elected not to indict Officer Wilson,
[03:06:34.060 --> 03:06:35.700]   and people took to streets in that city
[03:06:35.700 --> 03:06:39.260]   and stood on top of vehicles and so forth and so on.
[03:06:39.260 --> 03:06:40.740]   He could have told them,
[03:06:40.740 --> 03:06:43.620]   "We don't mob around courthouses in this country.
[03:06:43.620 --> 03:06:45.920]   "We respect the rule of law.
[03:06:45.920 --> 03:06:48.400]   "Get your butts off the streets
[03:06:48.400 --> 03:06:49.820]   "and back into your apartments."
[03:06:49.820 --> 03:06:50.860]   He didn't do that.
[03:06:50.860 --> 03:06:53.380]   So--
[03:06:53.380 --> 03:06:54.660]   - To push back a little bit.
[03:06:54.660 --> 03:06:56.740]   - Yeah, good, push back.
[03:06:56.740 --> 03:06:59.620]   - I think you're asking Barack Obama,
[03:06:59.620 --> 03:07:04.460]   the first black president of the United States,
[03:07:04.460 --> 03:07:07.240]   to do the thing that I think should be done
[03:07:07.240 --> 03:07:09.740]   by the second black president of the United States.
[03:07:09.740 --> 03:07:11.780]   I think his very example,
[03:07:11.780 --> 03:07:13.400]   given the color of his skin,
[03:07:13.400 --> 03:07:17.480]   was the most powerful thing.
[03:07:17.480 --> 03:07:22.480]   And actually doing some of these hard Thomas Sowell type of,
[03:07:22.820 --> 03:07:26.940]   Glenn Loury type of strong words about race,
[03:07:26.940 --> 03:07:28.780]   it may be too much to ask,
[03:07:28.780 --> 03:07:31.660]   given the nature of modern day politics.
[03:07:31.660 --> 03:07:33.260]   He is a politician.
[03:07:33.260 --> 03:07:34.140]   - He is a politician.
[03:07:34.140 --> 03:07:35.180]   He needed to get elected. - We are playing politics.
[03:07:35.180 --> 03:07:36.820]   - He needed to get reelected.
[03:07:36.820 --> 03:07:38.340]   - Yeah.
[03:07:38.340 --> 03:07:39.620]   - It was in his second term
[03:07:39.620 --> 03:07:41.300]   where most of what I'm talking about happened,
[03:07:41.300 --> 03:07:43.020]   so he wasn't facing further election.
[03:07:43.020 --> 03:07:48.020]   But Obama was, what, 46 or 47 when he was inaugurated?
[03:07:48.020 --> 03:07:52.100]   He served for eight years, so he's in his mid-50s.
[03:07:52.100 --> 03:07:54.820]   He's got another half century or 40 years of life,
[03:07:54.820 --> 03:07:55.660]   God willing.
[03:07:55.660 --> 03:07:58.940]   His post-presidency, I think,
[03:07:58.940 --> 03:08:00.620]   was what was primarily on his mind.
[03:08:00.620 --> 03:08:03.100]   Not getting elected to anything,
[03:08:03.100 --> 03:08:05.260]   but being enshrined in a certain way.
[03:08:05.260 --> 03:08:10.260]   And the persona that he is now embodying,
[03:08:10.260 --> 03:08:14.840]   which depends upon a racial narrative
[03:08:14.840 --> 03:08:18.140]   that I and Thomas Sowell and others object to,
[03:08:18.140 --> 03:08:21.320]   I think was very much in the forefront of his mind
[03:08:21.320 --> 03:08:23.700]   when he made decisions as the chief executive officer
[03:08:23.700 --> 03:08:28.700]   of the country that we've all now have to live with.
[03:08:28.700 --> 03:08:34.380]   - Yeah, but the fact is he opened the door
[03:08:34.380 --> 03:08:36.900]   in a way that hasn't been done in the history
[03:08:36.900 --> 03:08:40.700]   of the United States,
[03:08:40.700 --> 03:08:45.700]   that I don't see there being even a significant discussion
[03:08:47.500 --> 03:08:52.060]   when an African-American, a black man or a black woman
[03:08:52.060 --> 03:08:54.920]   runs for president, maybe a black man, let's say,
[03:08:54.920 --> 03:08:56.960]   'cause there still hasn't been a woman president.
