
[00:00:00.000 --> 00:00:09.820]   All right, welcome to lesson six where we're going to do a deep dive into computer vision,
[01:50:38.400 --> 01:50:42.280]   And she has a playlist that you can check out.
[01:50:42.280 --> 01:51:08.600]   We've already touched on an example of bias, which was this gender shades study, where if you remember, for example, lighter male skin people on IBM's main computer vision system, 99.7 percent accurate and darker females are some hundreds of times less accurate in terms of error.
[01:51:08.600 --> 01:51:31.760]   So like extraordinary differences. And so it's interesting to kind of like, OK, it's first of all important to be aware that not only can this happen technically, that this can happen on a massive companies rolled out publicly available, highly marketed system that hundreds of quality control people have studied and lots of people are using.
[01:51:31.760 --> 01:51:40.160]   It's out there in the world. They all look kind of crazy.
[01:51:40.160 --> 01:51:52.800]   And so it's interesting to think about why. And so one of the reasons why is that the data we feed these things, we tend to use me included a lot of these data sets kind of unthinkingly.
[01:51:52.800 --> 01:52:03.040]   But like ImageNet, which is the basis of like a lot of the computer vision stuff we do, is over half American and Great Britain.
[01:52:03.040 --> 01:52:11.160]   Like when it comes to the countries that actually have most of the population in the world.
[01:52:11.160 --> 01:52:28.040]   I can't even see them here. They're somewhere in these impossibly thin lines. Because remember, these data sets are being created almost exclusively by people in US, Great Britain and nowadays increasingly also China.
[01:52:28.040 --> 01:52:40.040]   So there's a lot of bias in the content we're creating because of a bias in the kind of people that are creating that content, even when in theory it's being created in a very kind of neutral way.
[01:52:40.040 --> 01:52:47.200]   But you can't argue with the data, right? It's obviously not neutral at all.
[01:52:47.200 --> 01:52:55.920]   And so when you have biased data creating biased algorithms, you then need to say, like, what are we doing with that?
[01:52:55.920 --> 01:52:59.520]   So we've spent a lot of time talking about image recognition.
[01:52:59.520 --> 01:53:11.960]   So a couple of years ago, this company, DeepClint, advertised their image recognition system, which can be used to do mass surveillance on large crowds of people.
[01:53:11.960 --> 01:53:18.480]   Find any person passing through who is a person of interest in theory.
[01:53:18.480 --> 01:53:26.000]   And so putting aside even the question of like, is it a good idea to have such a system?
[01:53:26.000 --> 01:53:35.120]   You've got to think, is it a good idea to have such a system where certain kinds of people are 300 times more likely to be misidentified?
[01:53:35.120 --> 01:53:42.600]   And then thinking about it. So this is now starting to happen in America. These systems are being rolled out.
[01:53:42.600 --> 01:53:53.760]   And so there are now systems in America that will identify a person of interest in a video and send a ping to the local police.
[01:53:53.760 --> 01:53:59.280]   And so these systems are extremely inaccurate and extremely biased.
[01:53:59.280 --> 01:54:10.560]   And what happens then, of course, is if you're in a predominantly black neighborhood where the probability of successfully recognizing you is much lower
[01:54:10.560 --> 01:54:13.960]   and you're much more likely to be surrounded by black people.
[01:54:13.960 --> 01:54:21.760]   And so suddenly all of these black people are popping up as persons of interest or in a video of a person of interest.
[01:54:21.760 --> 01:54:26.920]   All the people in the video are all recognized as in the vicinity as a person of interest.
[01:54:26.920 --> 01:54:37.320]   You suddenly get all these pings going off the local police department, causing the police to run down there and therefore likely to lead to a larger number of arrests,
[01:54:37.320 --> 01:54:42.520]   which is then likely to feed back into the data being used to develop the systems.
[01:54:42.520 --> 01:54:50.440]   So this is happening right now. And so, like, thankfully, a very small number of people are actually bothering to look into these things.
[01:54:50.440 --> 01:54:53.240]   I mean, ridiculously small, but at least it's better than nothing.
[01:54:53.240 --> 01:55:07.480]   And so, for example, one of the best ways that people get publicity is to do kind of funny experiments like let's try the mugshot image recognition system that's being widely used
[01:55:07.480 --> 01:55:15.880]   and try it against the members of Congress and find out that there are 28 members of Congress who would have been identified by this system.
[01:55:15.880 --> 01:55:21.280]   Obviously incorrectly. Oh, I didn't know that.
[01:55:21.280 --> 01:55:28.360]   OK, members of black members of Congress. Not at all surprised to hear that. Thank you, Rachel.
[01:55:28.360 --> 01:55:35.120]   We see this kind of bias in a lot of the systems we use, not just image recognition, but text translation.
[01:55:35.120 --> 01:55:45.080]   When you convert she is a doctor, he is a nurse into Turkish, you quite correctly get a gender in specific pronoun because that's what Turkish uses.
[01:55:45.080 --> 01:55:52.040]   You could then take that and feed it back into Turkish with your gender in specific pronoun and you will now get he is a doctor.
[01:55:52.040 --> 01:56:00.440]   She is in this. So the bias again, this is in a massively widely rolled out, carefully studied system.
[01:56:00.440 --> 01:56:05.640]   And it's not like even these kind of things like a little one off things that then get fixed quickly.
[01:56:05.640 --> 01:56:14.200]   These issues have been identified in Google Translate for a very long time and they're still there and they don't get fixed.
[01:56:14.200 --> 01:56:26.200]   So the. The kind of results of this are, in my opinion, quite terrifying because what's happening is that in many countries,
[01:56:26.200 --> 01:56:37.480]   including America, where I'm speaking from now, algorithms are increasingly being used for all kinds of public policy, judicial and so forth purposes.
[01:56:37.480 --> 01:56:43.640]   For example, there's a system called Compass, which is very widely used to decide who's going to jail.
[01:56:43.640 --> 01:56:50.640]   And it does that in a couple of ways. It tells judges what sentencing guidelines they should use for particular cases.
[01:56:50.640 --> 01:56:58.760]   And it tells them also which people the system says should be let out on bail.
[01:56:58.760 --> 01:57:07.720]   But here's the thing, white people, it keeps on saying, let this person out, even though they end up reoffending and vice versa.
[01:57:07.720 --> 01:57:19.040]   It's systematically like out by double compared to what it should be in terms of getting it wrong with white people versus black people.
[01:57:19.040 --> 01:57:34.600]   So this is like kind of horrifying because I mean, amongst other things, the data that it's using in this system is literally asking people questions about things like,
[01:57:34.600 --> 01:57:39.880]   did any of your parents ever go to jail? Do any of your friends do drugs?
[01:57:39.880 --> 01:57:51.640]   Like they're asking questions about other people who they have no control over. So not only are these systems biased, very systematically biased,
[01:57:51.640 --> 01:57:57.640]   but they're also being done on the basis of data, which is totally out of your control.
[01:57:57.640 --> 01:58:01.520]   So this is kind of did you want to add something to that?
[01:58:01.520 --> 01:58:07.480]   Oh, yeah, are your parents divorced is another question that's being used to decide whether you go to jail or not.
[01:58:07.480 --> 01:58:18.600]   So when we raise these issues kind of on Twitter or in talks or whatever, there's always a few people, always white men,
[01:58:18.600 --> 01:58:26.480]   a few people who will always say, like, that's just the way the world is, that's just reflecting what the data shows.
[01:58:26.480 --> 01:58:39.560]   But when you actually look at it, it's not right. It's actually systematically erroneous and systematically erroneous against people of color minorities,
[01:58:39.560 --> 01:58:47.160]   the people who are less involved in creating the systems that these products are based on.
[01:58:47.160 --> 01:59:03.320]   Sometimes this can go a really long way. So, for example, in Myanmar, there was a genocide of the Rohingya people and that genocide was very heavily created by Facebook.
[01:59:03.320 --> 01:59:10.040]   Not because anybody at Facebook wanted it. I mean, heavens know. I know a lot of people at Facebook. I have a lot of friends at Facebook.
[01:59:10.040 --> 01:59:15.240]   They're really trying to do the right thing, right? They're really trying to create a product that people like.
[01:59:15.240 --> 01:59:25.560]   But not in a thoughtful enough way, because when you roll out something, we're literally in Myanmar, a country that most people didn't have most.
[01:59:25.560 --> 01:59:34.920]   Maybe half of people didn't have electricity until very recently. And you say, hey, you can all have free Internet as long as it's just Facebook.
[01:59:34.920 --> 01:59:42.000]   You've got to think carefully about what you're doing, right? And then you use algorithms to feed people the stuff they will click on.
[01:59:42.000 --> 01:59:48.320]   And of course, what people click on is stuff which is controversial, stuff that makes their blood boil.
[01:59:48.320 --> 01:59:57.200]   So when they actually started asking the generals in the Myanmar army that were literally throwing babies onto bonfires,
[01:59:57.200 --> 02:00:06.440]   they were saying, we know that these are not humans. We know that they are animals because we read the news, we read the Internet.
[02:00:06.440 --> 02:00:15.840]   And because this is the stories that the algorithms are pushing, and the algorithms are pushing the stories because the algorithms are good.
[02:00:15.840 --> 02:00:21.440]   They know how to create eyeballs, how to get people watching and how to get people clicking.
[02:00:21.440 --> 02:00:28.480]   And again, nobody at Facebook said, let's cause a massive genocide in Myanmar.
[02:00:28.480 --> 02:00:36.840]   They said, let's maximize the engagement of people in this new market on our platform, right?
[02:00:36.840 --> 02:00:45.960]   So they very successfully maximized engagement. Yes, please.
[02:00:45.960 --> 02:00:57.520]   It's just it's important to note people warned executives at Facebook how the platform was being used to incite violence as far back as 2013, 2014, 2015 and 2015.
[02:00:57.520 --> 02:01:07.440]   Someone even warned executives that Facebook could be used in Myanmar in the same way that the radio broadcast were used in Rwanda during the Rwandan genocide.
[02:01:07.440 --> 02:01:15.480]   And as of 2015, Facebook only had four contractors who spoke Burmese working for them.
[02:01:15.480 --> 02:01:24.480]   They really did not put many resources into the issue at all, even though they were getting very, very alarming warnings about it.
[02:01:24.480 --> 02:01:37.720]   So I mean, so why does this happen? A part of the issue is that ethics is complicated and you will not find Rachel or I telling you how to do ethics.
[02:01:37.720 --> 02:01:45.160]   You know, how do you fix this? We don't know. We can just give you kind of things to think about.
[02:01:45.160 --> 02:01:53.440]   Another part of the problem we keep hearing is it's not my problem. I'm just a researcher. I'm just a techie. I'm just holding a data set.
[02:01:53.440 --> 02:02:00.680]   I'm not part of the problem. I'm part of this foundation that's far enough away that I can imagine that I'm not part of this.
[02:02:00.680 --> 02:02:12.160]   But. You know, if you're creating image net and you wanted to be successful, you want lots of people to use it, you want lots of people to build products on it, lots of people to do research on top of it.
[02:02:12.160 --> 02:02:23.400]   If you're trying to create something that people are using, you want them to use, then please try to make it something that won't cause massive amounts of harm and doesn't have massive amounts of bias.
[02:02:23.400 --> 02:02:40.880]   And it can actually come back and bite you in the ass, right? The Volkswagen engineer who ended up actually encoding the thing that made them systematically cheat on their diesel emissions tests, on their pollution tests, ended up in jail.
[02:02:40.880 --> 02:02:56.080]   Not because it was their decision to cheat on the tests, but because their manager told them to write that code and they wrote the code and therefore they were at the ones that ended up being criminally responsible and they were the ones that were jailed.
[02:02:56.080 --> 02:03:07.600]   So if you do in some way a shitty thing that ends up causing trouble, that can absolutely come back around and get you in trouble as well.
[02:03:07.600 --> 02:03:22.560]   Sometimes it can cause huge amounts of trouble. So if we go back to World War II, then this was one of the first great opportunities for IBM to show off their amazing tabulating system.
[02:03:22.560 --> 02:03:35.920]   And they had a huge client in Nazi Germany. And Nazi Germany used this amazing new tabulating system to encode all of the different types of Jews that they had in the country and all the different types of problem people.
[02:03:35.920 --> 02:03:59.880]   So Jews were 8, Gypsies were 12, then different outcomes were coded, executions were a 4, death in a gash chamber was 6, a Swiss judge ruled that IBM was actively involved facilitating the commission of these crimes against humanity.
[02:03:59.880 --> 02:04:15.560]   So there are absolutely plenty of examples of people building data processing technology that are directly causing deaths, sometimes millions of deaths, right?
[02:04:15.560 --> 02:04:29.320]   So we don't want to be one of those people. And so you might have thought, oh, you know, I'm just creating some data processing software and somebody else is thinking I'm just a sales person and somebody else is thinking I'm just the biz dev person opening new markets, but it all comes together, right?
[02:04:29.320 --> 02:04:39.240]   So we need to care. And so one of the things we need to care about is getting humans back in the loop, right?
[02:04:39.240 --> 02:04:44.560]   And so when we pull humans out of the loop is one of the first times that trouble happens.
[02:04:44.560 --> 02:05:01.080]   I don't know if you remember. I remember this very clearly when I first heard that Facebook was firing the human editors that were responsible for basically curating the news that ended up on the Facebook pages.
[02:05:01.080 --> 02:05:12.920]   And I got to say at the time, I thought that's a recipe for disaster because I've seen again and again that humans can be the person in the loop that can realize this isn't right.
[02:05:12.920 --> 02:05:19.960]   You know, it's very hard to create an algorithm that can recognize this isn't right or else humans are very good at that.
[02:05:19.960 --> 02:05:28.440]   And we saw that's what happened. Right. After Facebook fired the human editors, the nature of stories on Facebook dramatically changed.
[02:05:28.440 --> 02:05:37.600]   But you started seeing this proliferation of conspiracy theories and the kind of the algorithms went crazy with recommending more and more controversial topics.
[02:05:37.600 --> 02:05:46.200]   And of course, that changed people's consumption behavior, causing them to want more and more controversial topics.
[02:05:46.200 --> 02:05:55.840]   So where one of the really interesting places this comes in and Kathy O'Neill, who's got a great book called weapons of math destruction.
[02:05:55.840 --> 02:06:07.560]   Thank you, Rachel. And many others have pointed out is that what happens to algorithms is that they end up impacting people.
[02:06:07.560 --> 02:06:16.000]   For example, compass sentencing guidelines go to a judge. Now, you can say the algorithm is very good.
[02:06:16.000 --> 02:06:23.720]   I mean, in compass, this case, it isn't. It actually turned out to be about as bad as random because it's a black box and all that.
[02:06:23.720 --> 02:06:28.680]   But even if it was very good, you could then say, well, you know, the judge is getting the algorithm.
[02:06:28.680 --> 02:06:36.320]   Otherwise, they'd just be getting a person. People also give bad advice. So what humans respond differently to algorithms.
[02:06:36.320 --> 02:06:46.520]   It's very common, particularly for a human that is not very familiar with the technology themselves, like a judge to say, like, oh, that's what the computer says.
[02:06:46.520 --> 02:07:01.480]   The computer looked it up and it figured this out. It's extremely difficult to get a non-technical audience to look at a computer recommendation and come up with a nuanced decision making process.
[02:07:01.480 --> 02:07:08.280]   So what we see is that algorithms are often put into place with no appeals process.
[02:07:08.280 --> 02:07:15.400]   They're often used to massively scale up decision making systems because they're cheap.
[02:07:15.400 --> 02:07:26.720]   And then the people that are using the outputs of those algorithms tend to give them more credence than they deserve because very often they're being used by people that don't have the technical competence to judge them themselves.
[02:07:26.720 --> 02:07:48.960]   So great example, right, was here's an example of somebody who lost their health care and they lost their health care because of an error in a new algorithm that was systematically failing to recognize that there are many people that need help with, was it Alzheimer's?
[02:07:48.960 --> 02:08:04.680]   Cerebral Palsy and Diabetes. Thanks, Rachel. And so this system, which had this this error that was later discovered, was cutting off these people from the home care that they needed so that cerebral palsy victims no longer had the care they needed.
[02:08:04.680 --> 02:08:23.920]   So their life was destroyed, basically. And so when the person that created that algorithm with the error was asked about this and was specifically said, should they have found a better way to communicate the system, the strength, the failures and so forth?
[02:08:23.920 --> 02:08:42.560]   He said, yeah, I should probably also dust under my bed. That was there. That was the level of interest they had. And this is extremely common. I hear this all the time. And it's much easier to kind of see it from afar and say, OK, after the problems happened, I can see that that's a really shitty thing to say.
[02:08:42.560 --> 02:08:53.760]   But it can be very difficult when you're kind of in the middle of it. I just want to say one more thing about that example, and that's that this was a case where it was separate.
[02:08:53.760 --> 02:09:00.840]   There was someone who created the algorithm. Then I think different people implemented the software. And this is in use in over half of the 50 states.
[02:09:00.840 --> 02:09:13.720]   And then there was also the particular policy decisions made by that state. And so this is one of those situations where nobody felt responsible because the algorithm creators like, oh, no, it's the policy decisions of the state that were bad.
[02:09:13.720 --> 02:09:23.080]   And the state can be like, oh, no, it's the ones who implemented the software. And so everyone just kind of pointing fingers and not taking responsibility.
[02:09:23.080 --> 02:09:44.280]   And, you know, in some ways, maybe it's unfair, but I would argue the person who is creating the data set and the person who is implementing the algorithm is the person best placed to get out there and say, hey, here are the things you need to be careful of and make sure that they're a part of the implementation process.
[02:09:44.280 --> 02:09:58.920]   So we've also seen this with YouTube, right? It's kind of similar to what happened with Facebook. And we're now seeing we've heard examples of students watching the fast AI courses who say, hey, Jeremy and Rachel, watching the fast AI courses really enjoyed them.
[02:09:58.920 --> 02:10:05.960]   And at the end of one of them, the YouTube autoplay fed me across to a conspiracy theory.
[02:10:05.960 --> 02:10:13.040]   And what happens is that once the system decides that you like the conspiracy theories, it's going to just feed you more and more.
[02:10:13.040 --> 02:10:21.840]   And then what happens is that please go on just briefly, you don't you don't even have to like conspiracy theories.
[02:10:21.840 --> 02:10:30.280]   The goal is to get as many people hooked on conspiracy theories as possible is what the algorithm is trying to do, kind of whether or not you've expressed interest.
[02:10:30.280 --> 02:10:38.440]   Right. And so the interesting thing, again, is I know plenty of people involved in YouTube recommendation systems, none of them are wanting to promote conspiracy theories.
[02:10:38.440 --> 02:10:43.360]   But people click on them, right? And people share them.
[02:10:43.360 --> 02:10:51.600]   And what tends to happen is also people that are into conspiracy theories consume a lot more YouTube media.
[02:10:51.600 --> 02:10:59.120]   So it actually is very good at finding a market that watches a lot of hours of YouTube and that it makes that market watch even more.
[02:10:59.120 --> 02:11:10.640]   So this is an example of a feedback loop and the New York Times is now describing YouTube as perhaps the most powerful radicalizing instrument of the 21st century.
[02:11:10.640 --> 02:11:21.120]   I can tell you my friends that worked on the YouTube recommendation system did not think they were creating the most powerful radicalizing instrument of the 21st century.
[02:11:21.120 --> 02:11:35.560]   And to be honest, most of them today, when I talk to them, still think they're not. They think it's all bullshit, you know, not all of them, but a lot of them now are at the point where they just feel like they're the victims here.
[02:11:35.560 --> 02:11:39.920]   People are unfairly, you know, they don't get it. They don't understand what we're trying to do.
[02:11:39.920 --> 02:11:43.560]   It's very, very difficult when you're right out there in the heart of it.
[02:11:43.560 --> 02:11:50.640]   So you've got to be thinking from right at the start, what are the possible unintended consequences of what you're working on?
[02:11:50.640 --> 02:11:57.840]   And as the technical people involved, how can you get out in front and make sure that people are aware of them?
[02:11:57.840 --> 02:12:03.240]   And I just also wanted to say that in particular, many of these conspiracy theories are promoting white supremacy.
[02:12:03.240 --> 02:12:14.040]   They're, you know, kind of far right ethno-nationalism, anti-science. And I think, I don't know, maybe five or ten years ago, I would have thought conspiracy theories are more a more fringe thing.
[02:12:14.040 --> 02:12:19.520]   But we're seeing the kind of huge societal impact it can have for many people to believe these.
[02:12:19.520 --> 02:12:25.520]   Yeah. And, you know, partly it's you see them on YouTube all the time. It starts to feel a lot more normal.
[02:12:25.520 --> 02:12:38.640]   So one of the things that people are doing to try to say, like, how to fix this problem is to explicitly get involved in talking to the people who might or will be impacted by the kind of decision making processes that you're enabling.
[02:12:38.640 --> 02:12:51.560]   So, for example, there was a really cool thing recently where literally statisticians and data scientists got together with people who had been inside the criminal system.
[02:12:51.560 --> 02:13:10.480]   I had gone through the bail and sentencing process of criminals themselves and talking to the lawyers who worked with them and put them together with the data scientists and actually kind of put together a timeline of how exactly does it work and where exactly the places that there are inputs and how do people respond to them and who's involved.
[02:13:10.480 --> 02:13:32.120]   This is really cool, right? This is the only way for you as a kind of a data product developer to actually know how your data products going to be working. A really great example of somebody who did a great job here was Evan Estola at Meetup who said, hey, a lot of men are going to our tech meetups.
[02:13:32.120 --> 02:13:40.640]   And if we use a recommendation system naively, it's going to recommend more tech meetups to men, which is going to cause more men to go to them.
[02:13:40.640 --> 02:13:48.320]   And then when women do try to go, they'll be like, oh, my God, there's so many men here, which is going to cause more men to go to the tech meetups.
[02:13:48.320 --> 02:13:55.200]   Yeah, yeah. So showing recommendations to men and therefore not showing them to women. Yes, yeah.
[02:13:55.200 --> 02:14:08.480]   So so what Evan and meetup decided was to make an explicit product decision that this would not even be representing the actual true preferences of people.
[02:14:08.480 --> 02:14:23.000]   It would be creating a runaway feedback loop. So let's explicitly stop it right before it happens and and not recommend less meetups to women and tech meetups, women and more tech meetups to men.
[02:14:23.000 --> 02:14:28.320]   And so I think that's that's just it's really cool. It's like it's saying we don't have to be slaves to the algorithm.
[02:14:28.320 --> 02:14:36.760]   We actually get to decide. Another thing that people can do to help is regulation.
[02:14:36.760 --> 02:14:42.400]   And normally when we kind of talk about regulation, there's a natural reaction of like, how do you regulate these things?
[02:14:42.400 --> 02:14:51.400]   That's ridiculous. You can't regulate A.I. But actually, when you look at it again and again and this fantastic paper called Datasheets for Data Sets,
[02:14:51.400 --> 02:14:58.200]   has lots of examples of this. There are many, many examples of industries where people thought they couldn't be regulated.
[02:14:58.200 --> 02:15:06.520]   People thought that's just how it was like cars. People died in cars all the time because they literally had sharp metal knobs on dashboards.
[02:15:06.520 --> 02:15:13.960]   Steering columns weren't collapsible. And all of the discussion in the community was that's just how cars are.
[02:15:13.960 --> 02:15:19.600]   And when people die in cars, it's because of the people. But then eventually the regulations did come in.
[02:15:19.600 --> 02:15:27.800]   And today driving is dramatically safer like dozens and dozens of times safer than it was before.
[02:15:27.800 --> 02:15:34.840]   So often there are things we can do through policy. So to summarize.
[02:15:34.840 --> 02:15:41.400]   We are part of the point three to point five percent of the world that knows how to code.
[02:15:41.400 --> 02:15:47.000]   We have a skill that very few other people do. Not only that, we now know how to code deep learning algorithms,
[02:15:47.000 --> 02:15:56.320]   which is like the most powerful kind of code I know. So I'm hoping that we can explicitly think about like at least not making the world worse
[02:15:56.320 --> 02:16:03.960]   and perhaps explicitly making it better. And so why is this interesting to you as an audience in particular?
[02:16:03.960 --> 02:16:12.520]   And that's because fast AI in particular is trying to make it easy for domain experts to use deep learning.
[02:16:12.520 --> 02:16:21.480]   And so this picture of the goats here is an example of one of our international fellows from a previous course who was a goat dairy farmer
[02:16:21.480 --> 02:16:30.240]   and told us that they were going to use deep learning on their remote Canadian island to help study other disease in goats.
[02:16:30.240 --> 02:16:36.240]   And to me this is a great example of like a domain experts problem which nobody else even knows about,
[02:16:36.240 --> 02:16:40.080]   let alone know that it's a computer vision problem that can be solved with deep learning.
[02:16:40.080 --> 02:16:52.960]   So in your field, whatever it is, you probably know a lot more now about the opportunities in your field to make it a hell of a lot better than it was before.
[02:16:52.960 --> 02:17:01.800]   You'll probably be able to come up with all kinds of cool product ideas, right, maybe build a startup or create a new product group in your company or whatever.
[02:17:01.800 --> 02:17:10.600]   But also, please be thinking about what that's going to mean in practice and think about where can you put humans in the loop, right?
[02:17:10.600 --> 02:17:18.760]   Where can you put those pressure release valves? Who are the people you can talk to who could be impacted, who could help you understand, right?
[02:17:18.760 --> 02:17:25.560]   And get the kind of humanities folks involved to understand history and psychology and sociology and so forth.
[02:17:25.560 --> 02:17:34.600]   So that's our plea to you. If you've got this far, you're definitely at a point now where you're ready to, you know, make a serious impact on the world.
[02:17:34.600 --> 02:17:38.360]   So I hope we can make sure that that's a positive impact. See you next week.
[02:17:38.360 --> 02:17:41.360]   (audience applauds)
[02:17:41.360 --> 02:17:44.360]   (audience applauds)

