
[00:00:00.000 --> 00:00:01.500]   - Hi, it's Helen.
[00:53:11.300 --> 00:53:15.100]   We're about four times our purchase price now.
[00:53:15.100 --> 00:53:18.580]   And basically they've cashflowed all the way along,
[00:53:18.580 --> 00:53:20.100]   they're still doing fine.
[00:53:20.100 --> 00:53:22.860]   However, I'm thinking in terms of the,
[00:53:22.860 --> 00:53:24.900]   sort of that four X that happened,
[00:53:24.900 --> 00:53:28.700]   that is unlikely to happen again at that class.
[00:53:28.700 --> 00:53:31.180]   So I'm just trying to consider if I should
[00:53:31.180 --> 00:53:33.980]   divest myself of some portion of the properties
[00:53:33.980 --> 00:53:37.700]   and consider other asset classes.
[00:53:37.700 --> 00:53:41.020]   To give some context, I'm not like new to Bitcoin,
[00:53:41.020 --> 00:53:46.020]   I would say about 18% of my net worth is there.
[00:53:46.020 --> 00:53:51.100]   And so I've been investing in that since about 2017.
[00:53:51.100 --> 00:53:53.420]   So I've weathered the highs and lows of it
[00:53:53.420 --> 00:53:54.940]   and I'm not afraid of it,
[00:53:54.940 --> 00:53:57.660]   but I just, you've always given great advice
[00:53:57.660 --> 00:53:59.860]   in these kinds of scenarios, so I thought I'd ask.
[00:53:59.860 --> 00:54:05.060]   - Yeah, so let's break the decision apart.
[00:54:05.060 --> 00:54:06.340]   I'm not gonna give you,
[00:54:06.340 --> 00:54:08.580]   and obviously I'm not gonna tell you what to do.
[00:54:08.580 --> 00:54:10.380]   - I'm not looking for your specific advice on them,
[00:54:10.380 --> 00:54:12.740]   but yeah, how to think about that.
[00:54:12.740 --> 00:54:13.820]   - But we can break it apart
[00:54:13.820 --> 00:54:16.620]   and we can kind of make good strategic decision-making,
[00:54:16.620 --> 00:54:17.700]   I think, if we break it apart.
[00:54:17.700 --> 00:54:20.420]   So first, recognize that the decision
[00:54:20.420 --> 00:54:21.860]   that you have in front of you
[00:54:21.860 --> 00:54:26.860]   is not either Ontario real estate or Bitcoin.
[00:54:27.420 --> 00:54:29.460]   And forgive me, the next caller is from Oregon
[00:54:29.460 --> 00:54:31.900]   and I misread on my screen, Ontario versus Oregon,
[00:54:31.900 --> 00:54:35.060]   ON versus OR, but we're talking about Ontario here.
[00:54:35.060 --> 00:54:38.900]   So the decision is not Ontario Canada real estate
[00:54:38.900 --> 00:54:42.580]   or Bitcoin, but there are a variety
[00:54:42.580 --> 00:54:44.220]   of other options available.
[00:54:44.220 --> 00:54:45.940]   So the first decision is,
[00:54:45.940 --> 00:54:49.300]   should I sell my Ontario real estate
[00:54:49.300 --> 00:54:51.300]   that has been good to me, I made a lot of money,
[00:54:51.300 --> 00:54:54.220]   or should I not sell my Ontario real estate
[00:54:54.220 --> 00:54:56.980]   that has made a good amount of money?
[00:54:56.980 --> 00:54:57.900]   So let's start with that.
[00:54:57.900 --> 00:55:00.060]   Let me just simplify it to that.
[00:55:00.060 --> 00:55:02.660]   If you were starting over today with the amount of,
[00:55:02.660 --> 00:55:05.620]   and are we talking half a million dollars,
[00:55:05.620 --> 00:55:07.300]   a million dollars, basically just big picture,
[00:55:07.300 --> 00:55:08.300]   how much money are we talking about
[00:55:08.300 --> 00:55:10.540]   that you're considering making a change with?
[00:55:10.540 --> 00:55:14.540]   - It could be, yeah, we'll go with half of it.
[00:55:14.540 --> 00:55:17.300]   - Okay, so if you had a half a million dollars of cash
[00:55:17.300 --> 00:55:18.700]   sitting in the bank account,
[00:55:18.700 --> 00:55:22.020]   would you purchase Ontario real estate today
[00:55:22.020 --> 00:55:24.220]   on February 16, 2024?
[00:55:24.220 --> 00:55:26.100]   - No.
[00:55:26.100 --> 00:55:28.780]   - Okay, so then the answer is you should sell it.
[00:55:28.780 --> 00:55:31.740]   Because even if you just took the money
[00:55:31.740 --> 00:55:33.180]   and you put it in the bank,
[00:55:33.180 --> 00:55:37.020]   you wouldn't purchase it again, so you should sell it.
[00:55:37.020 --> 00:55:38.460]   That was a very different decision
[00:55:38.460 --> 00:55:40.180]   than previous when you bought it,
[00:55:40.180 --> 00:55:42.780]   and you've had a forex return, et cetera.
[00:55:42.780 --> 00:55:45.820]   So you should sell the real estate
[00:55:45.820 --> 00:55:48.460]   and you should get out of it
[00:55:48.460 --> 00:55:50.740]   for I think the reasons that were obvious
[00:55:50.740 --> 00:55:51.860]   in the quickness of your answer.
[00:55:51.860 --> 00:55:53.420]   And I would generally affirm that.
[00:55:53.420 --> 00:55:56.540]   It seems that to me that real estate in Canada
[00:55:56.540 --> 00:55:59.180]   doesn't have, I don't wanna get,
[00:55:59.180 --> 00:56:03.140]   I'm not out trying to buy real estate in Canada
[00:56:03.140 --> 00:56:04.340]   with what I see today.
[00:56:04.340 --> 00:56:08.380]   But you know the market and you were confident in that.
[00:56:08.380 --> 00:56:10.740]   So you should sell the real estate in Canada.
[00:56:10.740 --> 00:56:13.020]   Now, what should you do with the money?
[00:56:13.020 --> 00:56:14.500]   Well, I don't know.
[00:56:14.500 --> 00:56:17.940]   And if you don't know, then that is a perfectly,
[00:56:17.940 --> 00:56:20.060]   it's perfectly reasonable just to put the money in the bank
[00:56:20.060 --> 00:56:22.620]   and sit tight and wait until you do know.
[00:56:23.620 --> 00:56:26.540]   But one option that you have
[00:56:26.540 --> 00:56:29.380]   is to put the money into Bitcoin
[00:56:29.380 --> 00:56:31.620]   or put some money into Bitcoin.
[00:56:31.620 --> 00:56:35.980]   So now tell me why you would buy Bitcoin
[00:56:35.980 --> 00:56:38.340]   and what you would hope that Bitcoin
[00:56:38.340 --> 00:56:40.380]   can do for you in your life.
[00:56:40.380 --> 00:56:43.980]   - All right.
[00:56:43.980 --> 00:56:47.140]   I can resell it, I like that.
[00:56:47.140 --> 00:56:52.140]   So it's interesting because I first started selling
[00:56:52.180 --> 00:56:53.980]   I first started thinking about this with Bitcoin
[00:56:53.980 --> 00:56:57.940]   at a significantly lower value than it is today.
[00:56:57.940 --> 00:57:03.820]   So I have become overwhelmingly convinced
[00:57:03.820 --> 00:57:10.980]   that it's not going to zero.
[00:57:10.980 --> 00:57:14.380]   It's not going to zero
[00:57:14.380 --> 00:57:16.540]   and the money continues to flow into it.
[00:57:16.540 --> 00:57:20.380]   And I only see one direction it can go.
[00:57:21.340 --> 00:57:23.300]   So it seems to me like it is,
[00:57:23.300 --> 00:57:26.860]   I believe it to be currently undervalued.
[00:57:26.860 --> 00:57:33.100]   And I am enjoying all the purchases I've ever made of it,
[00:57:33.100 --> 00:57:43.660]   including ones that I'm currently in the red on.
[00:57:48.740 --> 00:57:51.700]   It's not like they've increased my personal security
[00:57:51.700 --> 00:57:52.540]   and happiness.
[00:57:52.540 --> 00:57:56.540]   - Okay.
[00:57:56.540 --> 00:57:59.140]   All right.
[00:57:59.140 --> 00:58:03.660]   So it sounds to me then like you should buy some Bitcoin.
[00:58:03.660 --> 00:58:08.180]   So how much Bitcoin do you think you should buy?
[00:58:08.180 --> 00:58:11.180]   How much do you want to own and why?
[00:58:11.180 --> 00:58:16.380]   - I don't have that answer.
[00:58:16.380 --> 00:58:18.540]   I don't know.
[00:58:19.540 --> 00:58:22.660]   - And that's the hardest question, right?
[00:58:22.660 --> 00:58:24.180]   Because you could have conviction
[00:58:24.180 --> 00:58:26.460]   about an investment thesis.
[00:58:26.460 --> 00:58:29.540]   In your case, you believe that this is an asset class.
[00:58:29.540 --> 00:58:30.580]   It's not going to zero.
[00:58:30.580 --> 00:58:32.660]   It probably has good room to run
[00:58:32.660 --> 00:58:34.740]   and from your perspective.
[00:58:34.740 --> 00:58:38.300]   So you have the idea that I want to go after this
[00:58:38.300 --> 00:58:39.260]   with some of my money,
[00:58:39.260 --> 00:58:41.100]   but how do we figure out how to do it?
[00:58:41.100 --> 00:58:43.740]   And that's the hardest question.
[00:58:43.740 --> 00:58:47.020]   So what I would say is the framework
[00:58:47.020 --> 00:58:49.020]   without getting into all the personal details
[00:58:49.020 --> 00:58:52.500]   of your affairs is to think about
[00:58:52.500 --> 00:58:54.420]   what would happen if there were big wins
[00:58:54.420 --> 00:58:56.780]   and what would happen if there were big losses.
[00:58:56.780 --> 00:58:59.180]   So there are two basic models
[00:58:59.180 --> 00:59:01.180]   that I think can make a lot of sense.
[00:59:01.180 --> 00:59:04.260]   First of all, is you can just simply have
[00:59:04.260 --> 00:59:08.140]   a simple, strong asset allocation model.
[00:59:08.140 --> 00:59:11.460]   And the model doesn't have to be something
[00:59:11.460 --> 00:59:14.780]   that you necessarily have to defend to someone else.
[00:59:14.780 --> 00:59:17.540]   It just needs to be something that makes sense to you.
[00:59:17.540 --> 00:59:20.140]   So here would be an example of something
[00:59:20.140 --> 00:59:23.260]   that I think would make sense
[00:59:23.260 --> 00:59:25.300]   in terms of somebody who had that perspective,
[00:59:25.300 --> 00:59:26.740]   two examples.
[00:59:26.740 --> 00:59:29.220]   So the first example would be somebody who says,
[00:59:29.220 --> 00:59:32.020]   you know what, this is very common in personal finance.
[00:59:32.020 --> 00:59:35.060]   This would be the most, of all the things I'm going to say,
[00:59:35.060 --> 00:59:36.820]   this is the most conventional
[00:59:36.820 --> 00:59:39.020]   where you're sitting down with most financial advisors.
[00:59:39.020 --> 00:59:41.340]   They wouldn't say you're stupid if you said this.
[00:59:41.340 --> 00:59:42.700]   So if you said, you know what?
[00:59:42.700 --> 00:59:44.980]   I'm going to, with my investment capital,
[00:59:44.980 --> 00:59:47.620]   I'm not going to include my personal residence or et cetera,
[00:59:47.620 --> 00:59:49.300]   but with my investment capital,
[00:59:49.300 --> 00:59:51.980]   I'm going to keep 80% of my investment capital
[00:59:51.980 --> 00:59:53.740]   into mutual funds.
[00:59:53.740 --> 00:59:56.620]   I'm going to take 20% of my capital
[00:59:56.620 --> 00:59:58.500]   and not put it in mutual funds.
[00:59:58.500 --> 01:00:03.500]   Of that 20%, I'm going to put 5% in physical gold
[01:00:03.500 --> 01:00:08.020]   and I'm going to put 5% in Bitcoin
[01:00:08.020 --> 01:00:11.300]   and as insurance policies against crazy stuff happening
[01:00:11.300 --> 01:00:14.100]   with the bulk of my investment account
[01:00:14.100 --> 01:00:18.620]   and I'm going to keep 10% for my stock trading account
[01:00:18.620 --> 01:00:21.820]   where I'm going to trade stocks and derivatives.
[01:00:21.820 --> 01:00:24.260]   So that would be, nobody would argue with that.
[01:00:24.260 --> 01:00:25.380]   They would say, okay, well, you know,
[01:00:25.380 --> 01:00:28.420]   you've got 80% of your money in good, safe mutual funds
[01:00:28.420 --> 01:00:30.300]   and stocks, et cetera.
[01:00:30.300 --> 01:00:33.220]   We know that those have a pretty decent history.
[01:00:33.220 --> 01:00:35.780]   We think that they'll probably be okay in the future
[01:00:35.780 --> 01:00:38.140]   and you've got 5% investment funds.
[01:00:38.140 --> 01:00:40.060]   That would be a reasonable thing.
[01:00:40.060 --> 01:00:41.380]   Now, this would not be normal,
[01:00:41.380 --> 01:00:43.180]   but this would also be still in the realm
[01:00:43.180 --> 01:00:45.980]   of kind of not crazy thinking.
[01:00:45.980 --> 01:00:48.260]   Would be, if you said something like, you know what?
[01:00:48.260 --> 01:00:49.460]   I don't know what's going to happen
[01:00:49.460 --> 01:00:51.780]   and so I just want to own all the asset classes.
[01:00:51.780 --> 01:00:55.740]   So I'm going to put 20% of my money in stocks.
[01:00:55.740 --> 01:00:58.380]   I'm going to put 20% of my money in gold.
[01:00:58.380 --> 01:01:01.100]   I'm going to put 20% of my money into Bitcoin.
[01:01:01.100 --> 01:01:02.740]   I'm going to put 20% of my money in real estate
[01:01:02.740 --> 01:01:06.060]   and I'm going to put 20% of my money in long-term bonds.
[01:01:06.060 --> 01:01:09.140]   And that would be a model that is kind of interesting
[01:01:09.140 --> 01:01:11.340]   is that we've got quite a lot of exposure
[01:01:11.340 --> 01:01:12.820]   to different asset classes.
[01:01:12.820 --> 01:01:13.980]   We could backtest that.
[01:01:13.980 --> 01:01:15.220]   It's kind of interesting when you do it,
[01:01:15.220 --> 01:01:19.780]   but it's still kind of a spread it around type of scenario.
[01:01:19.780 --> 01:01:22.300]   So you could come up with some version of that
[01:01:22.300 --> 01:01:24.220]   that's going to feel good to you.
[01:01:24.220 --> 01:01:26.700]   And it's probably more,
[01:01:26.700 --> 01:01:28.060]   what I'm guessing would be your number
[01:01:28.060 --> 01:01:30.580]   would be more than 1% and less than 90%
[01:01:30.580 --> 01:01:32.460]   in terms of the amount of money
[01:01:32.460 --> 01:01:34.220]   that you're going to invest in Bitcoin.
[01:01:34.220 --> 01:01:36.860]   And you don't have to have a great logical argument
[01:01:36.860 --> 01:01:38.180]   for this necessarily.
[01:01:38.180 --> 01:01:41.460]   If you just instinctively know that my number is 20%
[01:01:41.460 --> 01:01:44.620]   or 10% or 5% and that's the amount of money
[01:01:44.620 --> 01:01:46.020]   I want to have in this asset class,
[01:01:46.020 --> 01:01:48.100]   that's a reasonable way to go about it.
[01:01:48.100 --> 01:01:50.420]   Even if you can't justify it,
[01:01:50.420 --> 01:01:53.300]   that kind of initial reaction that you have
[01:01:53.300 --> 01:01:56.340]   to me throwing out some numbers, pay attention to that.
[01:01:56.340 --> 01:01:59.060]   The second thing would be to analyze it
[01:01:59.060 --> 01:02:01.780]   based upon kind of potential.
[01:02:01.780 --> 01:02:04.100]   And so the best I've come up with,
[01:02:04.100 --> 01:02:07.780]   if we're speculating on something,
[01:02:07.780 --> 01:02:11.380]   then my rules of speculation are these.
[01:02:11.380 --> 01:02:15.420]   Your speculation needs to be big enough to make a difference
[01:02:15.420 --> 01:02:19.380]   if it wins big and small enough not to wipe you out
[01:02:19.380 --> 01:02:21.500]   if it completely loses.
[01:02:21.500 --> 01:02:24.300]   So let's put a little texture on this.
[01:02:24.300 --> 01:02:28.860]   What do you think is the absolute maximum thing
[01:02:28.860 --> 01:02:32.620]   that could happen to the value of Bitcoin?
[01:02:36.620 --> 01:02:41.580]   - I don't, I mean, it depends on the timeline.
[01:02:41.580 --> 01:02:46.580]   I mean, if it's 10 years, then I don't see it, yeah.
[01:02:46.580 --> 01:02:48.540]   It's a lot.
[01:02:48.540 --> 01:02:50.660]   - Okay, so as--
[01:02:50.660 --> 01:02:52.140]   - Too many people try to put a number on it
[01:02:52.140 --> 01:02:54.500]   and they're so wildly divergent.
[01:02:54.500 --> 01:02:56.700]   - All right, so let's just make some things up.
[01:02:56.700 --> 01:03:01.100]   So as we talk today, Bitcoin is trading
[01:03:01.100 --> 01:03:03.620]   for something like 50,
[01:03:03.660 --> 01:03:06.940]   just a little less than 52,000 US dollar tokens
[01:03:06.940 --> 01:03:10.500]   to each Bitcoin token in the current market, okay?
[01:03:10.500 --> 01:03:14.700]   So let's say that the value of Bitcoin tokens
[01:03:14.700 --> 01:03:16.900]   compared to US dollar tokens,
[01:03:16.900 --> 01:03:20.860]   let's say that the ratio between those doubled.
[01:03:20.860 --> 01:03:25.580]   And then you were trading with Bitcoin
[01:03:25.580 --> 01:03:29.180]   at 100,000 US dollar tokens as compared to today, right?
[01:03:29.180 --> 01:03:32.620]   That'd be pretty amazing investment performance, right?
[01:03:32.620 --> 01:03:33.700]   - Yeah. - All right.
[01:03:33.700 --> 01:03:35.540]   Let's say that it quadrupled
[01:03:35.540 --> 01:03:39.980]   and we were talking about 400,000 US dollar tokens
[01:03:39.980 --> 01:03:41.820]   for every one Bitcoin token.
[01:03:41.820 --> 01:03:44.900]   So that would be amazing, right, amazing.
[01:03:44.900 --> 01:03:47.100]   And a lot harder to see how it quadruples
[01:03:47.100 --> 01:03:52.100]   than where we went from a dollar to whatever, 40,000.
[01:03:52.100 --> 01:03:54.900]   But it would be amazing if it 4X'd.
[01:03:54.900 --> 01:03:56.820]   So you just figure out whatever you think
[01:03:56.820 --> 01:04:01.260]   is the most optimistic thing that could happen.
[01:04:01.260 --> 01:04:05.860]   Now let's assume that you invested 50,000 US dollars
[01:04:05.860 --> 01:04:09.820]   into Bitcoin at today's prices.
[01:04:09.820 --> 01:04:12.300]   And then it quadrupled in value
[01:04:12.300 --> 01:04:17.300]   from 50,000 US dollars to 200,000 US dollars.
[01:04:17.300 --> 01:04:19.180]   Would that make any meaningful difference
[01:04:19.180 --> 01:04:20.420]   in your financial life?
[01:04:20.420 --> 01:04:25.540]   - I mean, yes, it would.
[01:04:25.540 --> 01:04:27.660]   But at the same time, it would just sit there
[01:04:27.660 --> 01:04:29.500]   because outside of that,
[01:04:29.500 --> 01:04:32.100]   there's still lots of liquidity available.
[01:04:32.100 --> 01:04:34.980]   So it would just, I guess, be a number.
[01:04:34.980 --> 01:04:37.900]   - Right, I think it would probably be largely a number
[01:04:37.900 --> 01:04:40.700]   because there's, from what you described,
[01:04:40.700 --> 01:04:42.620]   if you got half a million dollars of real estate,
[01:04:42.620 --> 01:04:45.220]   I don't think having an extra $200,000 sitting here
[01:04:45.220 --> 01:04:47.140]   and not sitting here is gonna make much of a difference
[01:04:47.140 --> 01:04:48.060]   in your case.
[01:04:48.060 --> 01:04:49.300]   Now, I made up the numbers,
[01:04:49.300 --> 01:04:51.060]   so you feel free to judge for yourself.
[01:04:51.060 --> 01:04:52.780]   But you wouldn't quit working today
[01:04:52.780 --> 01:04:55.700]   because now you're independent for the rest of your life.
[01:04:55.700 --> 01:04:57.660]   It would just be a little bit more money
[01:04:57.660 --> 01:04:59.780]   than what you have right now.
[01:04:59.780 --> 01:05:00.820]   But now on the flip side,
[01:05:00.820 --> 01:05:03.860]   let's say that your $50,000 that you invested today
[01:05:03.860 --> 01:05:05.220]   went to zero.
[01:05:05.220 --> 01:05:09.560]   Would that make any meaningful difference in your life?
[01:05:09.560 --> 01:05:14.900]   - I mean, it wouldn't be any fun,
[01:05:14.900 --> 01:05:18.060]   but no, it would not end anything.
[01:05:18.060 --> 01:05:21.540]   - Right, and so you see the point that I'm driving at
[01:05:21.540 --> 01:05:24.740]   is that if you really believe in the Bitcoin thesis,
[01:05:24.740 --> 01:05:28.180]   the idea that Bitcoin is gonna increase in value,
[01:05:28.180 --> 01:05:30.220]   and you wanna speculate on that,
[01:05:30.220 --> 01:05:32.380]   then you need to speculate with enough money
[01:05:32.380 --> 01:05:36.820]   so that whatever your biggest winning opportunity is
[01:05:36.820 --> 01:05:38.460]   that you believe could happen,
[01:05:38.460 --> 01:05:42.140]   that that would make a meaningful difference in your life.
[01:05:42.140 --> 01:05:44.360]   But you don't wanna speculate with so much money
[01:05:44.360 --> 01:05:47.060]   that whatever you think is the worst case scenario
[01:05:47.060 --> 01:05:48.720]   would wipe you out.
[01:05:48.720 --> 01:05:50.660]   That's the idea that I'm driving at.
[01:05:50.660 --> 01:05:54.340]   And so if you think about those two extremes,
[01:05:54.340 --> 01:05:55.780]   there's probably some amount,
[01:05:55.780 --> 01:05:58.140]   and those numbers will vary based upon
[01:05:58.140 --> 01:05:59.260]   where you are in life.
[01:05:59.260 --> 01:06:00.660]   And so let's use,
[01:06:00.660 --> 01:06:04.540]   I have a lot of Bitcoin millionaires in my audience.
[01:06:04.540 --> 01:06:07.720]   Here's what has happened with many of them.
[01:06:07.720 --> 01:06:11.900]   Many of them saw the Bitcoin thesis early on,
[01:06:11.900 --> 01:06:13.640]   and they believed in it.
[01:06:13.640 --> 01:06:14.820]   They were often young,
[01:06:14.820 --> 01:06:17.260]   and they often didn't have a lot of money,
[01:06:17.260 --> 01:06:19.620]   but they took everything that they had,
[01:06:19.620 --> 01:06:21.300]   and they put it into Bitcoin.
[01:06:21.300 --> 01:06:23.580]   And so there are lots of people out there
[01:06:23.580 --> 01:06:26.980]   who are working a job as a waiter
[01:06:26.980 --> 01:06:29.140]   and putting every dollar they earned,
[01:06:29.140 --> 01:06:31.860]   sleeping on an air mattress in a friend's living room,
[01:06:31.860 --> 01:06:34.140]   putting every dollar they earned into Bitcoin
[01:06:34.140 --> 01:06:36.080]   because they really believed in it.
[01:06:36.080 --> 01:06:38.060]   So that kind of speculation
[01:06:38.060 --> 01:06:41.580]   for somebody who's, say, 23 years old,
[01:06:41.580 --> 01:06:45.860]   for a 23-year-old who's gained $50,000 of life savings
[01:06:45.860 --> 01:06:49.860]   to put all of it into Bitcoin and every dollar beside,
[01:06:49.860 --> 01:06:51.540]   for that 23-year-old to get wiped out,
[01:06:51.540 --> 01:06:53.100]   that's not that big of a deal
[01:06:53.100 --> 01:06:56.060]   because there's not a big crash in lifestyle
[01:06:56.060 --> 01:06:58.620]   that if things get wiped out,
[01:06:58.620 --> 01:07:00.780]   okay, I get another job and I start again.
[01:07:00.780 --> 01:07:05.780]   And so that guy could put 100% of his money into Bitcoin
[01:07:05.780 --> 01:07:08.940]   because he really believed in the long-term outcome,
[01:07:08.940 --> 01:07:12.740]   and he, yeah, losing his life savings was no fun,
[01:07:12.740 --> 01:07:15.180]   but he was depending on his job primarily
[01:07:15.180 --> 01:07:16.660]   as a pathway through that.
[01:07:16.660 --> 01:07:18.720]   After all, there's lots of 23-year-olds
[01:07:18.720 --> 01:07:19.860]   who don't have any money,
[01:07:19.860 --> 01:07:21.780]   and they just depend upon their job.
[01:07:21.780 --> 01:07:24.460]   Now, compare that with, you know,
[01:07:24.460 --> 01:07:26.900]   I've got a client of mine who's a physician,
[01:07:26.900 --> 01:07:28.700]   and he sold his practice.
[01:07:28.700 --> 01:07:30.300]   And I forget the exact number,
[01:07:30.300 --> 01:07:33.020]   but it was a 10-figure payday after taxes,
[01:07:33.020 --> 01:07:35.940]   a 10-figure payout after taxes.
[01:07:35.940 --> 01:07:37.300]   He's in his early 40s,
[01:07:37.300 --> 01:07:41.900]   and he's still making money as a physician, et cetera,
[01:07:41.900 --> 01:07:45.540]   but he basically was set up for the rest of his life
[01:07:45.540 --> 01:07:47.820]   based upon his lifestyle if he wanted to be.
[01:07:47.820 --> 01:07:49.820]   So imagine you're in your early 40s,
[01:07:49.820 --> 01:07:51.620]   or it's actually, yeah, maybe younger,
[01:07:51.620 --> 01:07:53.140]   anyway, about 40 or so,
[01:07:53.140 --> 01:07:57.500]   and you've got a 10-figure payday after taxes.
[01:07:57.500 --> 01:08:00.100]   Do you really wanna take your 10-figure payday
[01:08:00.100 --> 01:08:01.260]   and put it all in Bitcoin
[01:08:01.260 --> 01:08:04.340]   because Bitcoin's going to the moon?
[01:08:04.340 --> 01:08:08.380]   That would be an enormous price tag if Bitcoin disappeared.
[01:08:08.380 --> 01:08:13.380]   And so you would be much more thoughtful about how much,
[01:08:13.380 --> 01:08:18.380]   and you might actually wager significant amounts of money
[01:08:18.380 --> 01:08:22.060]   on your bet, you might invest seven figures,
[01:08:22.060 --> 01:08:25.460]   but you need to make certain your goal is not,
[01:08:25.460 --> 01:08:27.500]   there's not gonna be a big difference in your life
[01:08:27.500 --> 01:08:30.420]   between a $12 million net worth
[01:08:30.420 --> 01:08:31.980]   and a $30 million net worth.
[01:08:31.980 --> 01:08:34.280]   There's not that much there.
[01:08:34.280 --> 01:08:36.040]   There could be a difference between 12 million
[01:08:36.040 --> 01:08:38.820]   and 120 million, sure, okay, fine,
[01:08:38.820 --> 01:08:40.200]   but the difference of you going
[01:08:40.200 --> 01:08:45.200]   from a $12 million lifestyle to a $2 million lifestyle,
[01:08:45.200 --> 01:08:47.900]   because you risked it all on Bitcoin,
[01:08:47.900 --> 01:08:49.660]   that's enormously costly.
[01:08:49.660 --> 01:08:51.940]   So my point is you're basically playing a game
[01:08:51.940 --> 01:08:54.980]   with your speculation of best case scenario,
[01:08:54.980 --> 01:08:57.580]   worst case scenario, where I'm at in life,
[01:08:57.580 --> 01:09:01.700]   cost of a loss, time that I have to make up for it,
[01:09:01.700 --> 01:09:04.460]   how much income do I have, what percentage of my net worth,
[01:09:04.460 --> 01:09:06.080]   and that's a very personalized game
[01:09:06.080 --> 01:09:07.300]   that I couldn't answer for you,
[01:09:07.300 --> 01:09:10.540]   but I think that's a decent model to begin with
[01:09:10.540 --> 01:09:13.380]   to figure out how much money you're gonna speculate with.
[01:09:13.380 --> 01:09:17.420]   - That framework is exactly the type of answer
[01:09:17.420 --> 01:09:18.260]   I was looking for from you
[01:09:18.260 --> 01:09:20.300]   just to help think this through better.
[01:09:20.300 --> 01:09:21.140]   I appreciate that.
[01:09:21.140 --> 01:09:24.340]   And also, the last couple of answers on parenting,
[01:09:24.340 --> 01:09:26.100]   always appreciated your parenting,
[01:09:26.100 --> 01:09:30.340]   your podcast that was Radical Fatherhood,
[01:09:30.340 --> 01:09:33.860]   Radical something, anyway, that was very helpful to me.
[01:09:33.860 --> 01:09:35.260]   We've got a bunch of kids
[01:09:35.260 --> 01:09:39.940]   that have appreciated your advice on that over the years.
[01:09:39.940 --> 01:09:41.420]   - Good, thank you so much. - Thank you.
[01:09:41.420 --> 01:09:42.620]   - My pleasure, my pleasure.
[01:09:42.620 --> 01:09:43.780]   All right, we move on.
[01:09:43.780 --> 01:09:45.180]   Now we go to Oregon.
[01:09:45.180 --> 01:09:46.300]   Oregon, you're gonna wrap us up today.
[01:09:46.300 --> 01:09:48.420]   Welcome to the show, how can I serve you today?
[01:09:48.420 --> 01:09:50.860]   - Hey there, I just wanted to say
[01:09:50.860 --> 01:09:54.540]   I really wish I could come to your family camp,
[01:09:54.540 --> 01:09:55.820]   so I'm a little irritated I can't go.
[01:09:55.820 --> 01:09:58.420]   I hope you do it some other year, first of all.
[01:09:58.420 --> 01:09:59.460]   Sounds a lot of fun.
[01:09:59.460 --> 01:10:00.300]   - Absolutely.
[01:10:00.300 --> 01:10:03.900]   - Yeah, and then two questions.
[01:10:03.900 --> 01:10:06.580]   First one's really short, is you had an episode
[01:10:06.580 --> 01:10:08.040]   where you kind of did some self-talk.
[01:10:08.040 --> 01:10:11.220]   You told us your kind of rhythm in the morning
[01:10:11.220 --> 01:10:12.540]   where we talked to yourself.
[01:10:12.540 --> 01:10:15.200]   So I was wondering if you still do that, one,
[01:10:15.200 --> 01:10:17.380]   and if you could tell me which episode that is
[01:10:17.380 --> 01:10:19.700]   'cause I have looked and looked and cannot find it.
[01:10:19.700 --> 01:10:21.140]   (laughing)
[01:10:21.140 --> 01:10:21.980]   - Sure, sure.
[01:10:21.980 --> 01:10:23.420]   So by the way, for the uninitiated,
[01:10:23.420 --> 01:10:25.700]   I meant to do an ad for this earlier,
[01:10:25.700 --> 01:10:28.900]   but I am hosting in April, the middle of April,
[01:10:28.900 --> 01:10:30.820]   just the weekend before Tax Day,
[01:10:30.820 --> 01:10:34.380]   am hosting Radical Family Camp in Indiana.
[01:10:34.380 --> 01:10:36.620]   You can find details at RadicalFamilyCamp.com
[01:10:36.620 --> 01:10:39.100]   and at the end of the episode I'll say more about that.
[01:10:39.100 --> 01:10:42.140]   The initial sale tickets are more than half sold out now,
[01:10:42.140 --> 01:10:44.340]   so RadicalFamilyCamp.com if you're interested
[01:10:44.340 --> 01:10:45.640]   in coming and spending a weekend with me
[01:10:45.640 --> 01:10:46.960]   and other listeners.
[01:10:46.960 --> 01:10:50.340]   So the self-talk, I learned that years ago
[01:10:50.340 --> 01:10:52.860]   primarily from Zig Ziglar.
[01:10:52.860 --> 01:10:57.900]   In the early days of podcasting,
[01:10:57.900 --> 01:11:01.100]   one of the first podcasts I was,
[01:11:01.100 --> 01:11:03.260]   Apple Podcasts had almost nothing
[01:11:03.260 --> 01:11:07.180]   and I was working a job where I could listen to stuff
[01:11:07.180 --> 01:11:09.920]   while I was working and I didn't have much to listen to.
[01:11:09.920 --> 01:11:12.020]   This was, I guess when I was, I don't remember.
[01:11:12.020 --> 01:11:14.060]   It was in college, early years of college.
[01:11:14.060 --> 01:11:16.060]   And so I would load up iTunes
[01:11:16.060 --> 01:11:17.380]   and I was looking for podcasts.
[01:11:17.380 --> 01:11:20.460]   And at the time, Zig Ziglar's company
[01:11:20.460 --> 01:11:22.340]   had his stuff going out as podcasts.
[01:11:22.340 --> 01:11:24.140]   I listened to all his podcast episodes.
[01:11:24.140 --> 01:11:27.580]   Then I started listening to the,
