
[00:00:00.000 --> 00:00:02.000]   Freeberg, Freeberg. What's up?
[01:05:38.720 --> 01:05:38.960]   instantly worth it. Yeah.
[01:05:38.960 --> 01:05:43.880]   That would be the black swan on the negative side. I think the black swan on the positive.
[01:05:43.880 --> 01:05:47.780]   If it didn't happen in the first 11 years, what do you think the like is it on a percentage basis
[01:05:47.780 --> 01:05:50.120]   that it happens in the 20th? Exactly.
[01:05:50.120 --> 01:05:54.680]   It's too expensive now. And it's too visible. The way that it would have happened,
[01:05:54.680 --> 01:05:56.420]   it would have happened in the first two or three years.
[01:05:56.420 --> 01:05:59.660]   Or the argument could be maybe opposite, that now it's so valuable that it's worth
[01:05:59.660 --> 01:06:01.280]   investing to figure out how to- It's a bigger target.
[01:06:01.280 --> 01:06:01.580]   Yeah.
[01:06:01.580 --> 01:06:05.780]   Yeah. And rather than have it be about a diminishing probability,
[01:06:05.780 --> 01:06:08.720]   it could be an increasing probability over time, which is,
[01:06:08.720 --> 01:06:13.640]   is that the pathways to get there start to get resolved. Whereas in the past,
[01:06:13.640 --> 01:06:15.740]   you didn't have enough time to resolve those pathways.
[01:06:15.740 --> 01:06:17.120]   It would have to be- And I'm speaking highly
[01:06:17.120 --> 01:06:19.040]   theoretical here, but like certainly there's a lot of technical-
[01:06:19.040 --> 01:06:22.940]   That doesn't take into account that it's open source and that everybody can see it. So
[01:06:22.940 --> 01:06:26.840]   you would think that everybody would discover the vulnerability at the same time, right? In
[01:06:26.840 --> 01:06:29.600]   an open source project? Well, no, I think the issue,
[01:06:29.600 --> 01:06:34.220]   practically speaking, in this would be that you would see those resources getting organized,
[01:06:34.220 --> 01:06:38.480]   meaning you'd see silicon being bought in volume by some,
[01:06:38.480 --> 01:06:42.980]   centralized player, and then you'd have to see water and power come together as well.
[01:06:42.980 --> 01:06:48.140]   And this is where I think it's just not realistic, where today that I think the horse has left the
[01:06:48.140 --> 01:06:52.880]   barn because if you try to basically capture enough hash rate to kind of like overpower this
[01:06:52.880 --> 01:07:00.680]   network, it's like the scene in Austin Powers where he's screaming in front of a steamroller,
[01:07:00.680 --> 01:07:03.620]   but the steamroller is moving at like one foot a minute.
[01:07:03.620 --> 01:07:04.820]   Right. You'd see it coming.
[01:07:04.820 --> 01:07:06.740]   It's just like, you just see it coming.
[01:07:06.740 --> 01:07:08.240]   Well, would you have a black Swan, Friedberg?
[01:07:08.240 --> 01:07:10.400]   You asked a lot of questions. So do you have one?
[01:07:10.400 --> 01:07:15.020]   I think about it a lot. I don't really, I mean, it's a black Swan. It's because it's a black Swan,
[01:07:15.020 --> 01:07:20.180]   so you don't really see it coming. But like, you know, the thing about Bitcoin,
[01:07:20.180 --> 01:07:24.200]   which has always given me pause,
[01:07:24.200 --> 01:07:32.000]   is the fact that the only way it works is if everyone believes that more people are going
[01:07:32.000 --> 01:07:35.960]   to believe in it tomorrow than believe in it today. Well, that's the only way it appreciates.
[01:07:35.960 --> 01:07:38.000]   Yeah. But
[01:07:38.000 --> 01:07:42.920]   for a variety of reasons, it's also the only way that it works because
[01:07:42.920 --> 01:07:48.860]   if it starts to depreciate, it becomes almost like this unwinding circumstance. And there
[01:07:48.860 --> 01:07:51.380]   are moments where it unwinds, but then people kind of say, well, you know what,
[01:07:51.380 --> 01:07:54.680]   more people are going to get on this. There's the Chinese argument. There's the Argentinian argument.
[01:07:54.680 --> 01:08:00.680]   There's all the reasons why people will try and store wealth in this system. And that becomes a
[01:08:00.680 --> 01:08:06.320]   rationale for continuing to bet on it. And my observation is so many people that are active in
[01:08:06.320 --> 01:08:07.760]   Bitcoin compare Bitcoin to Bitcoin. And I think that's a very important thing. And I think that's
[01:08:07.760 --> 01:08:12.540]   Bitcoin to the price of the dollar, which to me seems like it doesn't make sense relative
[01:08:12.540 --> 01:08:18.120]   to the intention of Bitcoin, which is to not be part of the monetary system that uses the
[01:08:18.120 --> 01:08:24.680]   dollar. It's kind of a de facto, you know, system of value. And so why have the comparison
[01:08:24.680 --> 01:08:30.400]   to the dollar? As the objective for Bitcoin? Why is the objective not transactions, use
[01:08:30.400 --> 01:08:34.180]   cases, number of people that are active on the network, etc, etc.
[01:08:34.180 --> 01:08:38.420]   And nobody buying it is buying it as a substitute for dollars. They're buying it as a lottery
[01:08:38.420 --> 01:08:38.680]   ticket.
[01:08:38.680 --> 01:08:42.740]   So yeah, that's, that's right. And so then it becomes this rationale that it's like it's
[01:08:42.740 --> 01:08:48.020]   an investment that you put money in, in the form of dollars or your local currency, with
[01:08:48.020 --> 01:08:51.740]   the intention that you will be able to get more of your local currency out at some point
[01:08:51.740 --> 01:08:54.740]   in the future. And the only way that works is if you expect someone else will buy it
[01:08:54.740 --> 01:08:58.900]   from you at a higher price in the future. Therefore, it's all about propagating the,
[01:08:58.900 --> 01:09:03.000]   you know, the marketing around the Bitcoin. Whereas if your objective was really about
[01:09:03.000 --> 01:09:03.900]   making this become a replacement.
[01:09:03.900 --> 01:09:09.340]   A replacement currency system or replacement monetary system, you would ultimately care
[01:09:09.340 --> 01:09:12.880]   less about, you know, what's the dollar value per coin, and you would care more about how
[01:09:12.880 --> 01:09:15.120]   many people are using it, you know, how active
[01:09:15.120 --> 01:09:23.140]   let me build on that question. So sacks or Chamath, if the CBDC, and Americans currency,
[01:09:23.140 --> 01:09:28.600]   you know, starts to move towards a Bitcoin blockchain like experience, what would America
[01:09:28.600 --> 01:09:33.800]   start to look like if 10 or 20% of your dollars, instead of being held in a bank, we're on
[01:09:33.800 --> 01:09:35.800]   a blockchain with an American
[01:09:35.800 --> 01:09:41.220]   government, a government backed blockchain doesn't accomplish anything, it's still that
[01:09:41.220 --> 01:09:46.400]   people are it centralized, and not only is it centralized, but also, it's still prone
[01:09:46.400 --> 01:09:52.860]   to debasement. Right? Yeah. And so look, human beings have used everything from gold coins
[01:09:52.860 --> 01:09:57.960]   to seashells as money, we can make anything money that's easy to transact if we all agree
[01:09:57.960 --> 01:10:02.260]   on it. That's the sense in which Bitcoin is the bubble that becomes true. If everyone
[01:10:02.260 --> 01:10:07.060]   believes in it, provided provided the number of bitcoins today 21 million, and that the
[01:10:07.060 --> 01:10:12.120]   technology enforces the scarcity. The problem we have with the US dollar is the government
[01:10:12.120 --> 01:10:13.720]   can just print as many of them as they want.
[01:10:13.720 --> 01:10:19.320]   Yeah, you can nominate her. Yeah. And so I think there's a positive black swan as well
[01:10:19.320 --> 01:10:24.800]   for positive for Bitcoin, which is Stanley Druckenmiller thinks in the next 15 years,
[01:10:24.800 --> 01:10:27.160]   the US dollar will no longer be the world's reserve currency. Well, what's going to replace it?
[01:10:27.160 --> 01:10:35.320]   The positive black swan would be that Bitcoin becomes, if not the a world reserve currency,
[01:10:35.320 --> 01:10:42.100]   an unofficial world reserve currency. Why? Because people trust it. They trust the decentralization
[01:10:42.100 --> 01:10:46.280]   more than they trust any government. And that would that would be a big flip.
[01:10:46.280 --> 01:10:52.020]   Is that in is the United States and China? Are they going to let Bitcoin become the world's
[01:10:52.020 --> 01:10:57.160]   reserve currency? Well, it's not a choice that they have. You sure? So, yeah, I'm not
[01:10:57.160 --> 01:11:02.200]   Yeah. There's nothing they can do. What about the law? And guns
[01:11:02.200 --> 01:11:03.520]   and jail and tax?
[01:11:03.520 --> 01:11:06.040]   I don't I don't know what that means. There's there's nothing
[01:11:06.040 --> 01:11:07.900]   that they could there was nothing that they could do to
[01:11:07.900 --> 01:11:10.120]   stop it before there's nothing that they can do to stop it
[01:11:10.120 --> 01:11:10.540]   now.
[01:11:10.540 --> 01:11:13.820]   Well, you can't get the New York Times in China and you can't
[01:11:13.820 --> 01:11:15.820]   practice religion there. So they have a pretty easy system.
[01:11:15.820 --> 01:11:18.080]   They put you in jail, they want to stop Bitcoin, they could just
[01:11:18.080 --> 01:11:23.200]   put you in jail. How, by finding out that you have Bitcoin? And
[01:11:23.260 --> 01:11:27.740]   how just well, because they have 100% view into the internet
[01:11:27.740 --> 01:11:30.820]   there. They have how on because they have routers. That's how
[01:11:30.820 --> 01:11:33.940]   they capture all the Uyghurs is they know their location,
[01:11:33.940 --> 01:11:36.400]   because they have mobile phones. And when they use signal or any
[01:11:36.400 --> 01:11:39.400]   other encrypted technology, they catch them. No, I don't I don't
[01:11:39.400 --> 01:11:41.840]   think that's how it works. But that's how they catch all the
[01:11:41.840 --> 01:11:44.840]   dissidents there is they they have them. And they also have
[01:11:44.840 --> 01:11:48.520]   Apple's entire center is controlled by the Chinese
[01:11:48.520 --> 01:11:49.060]   government.
[01:11:49.060 --> 01:11:52.480]   There's no ledger somewhere that says this specific wallet
[01:11:52.480 --> 01:11:53.020]   address.
[01:11:53.020 --> 01:11:53.080]   Equal.
[01:11:53.080 --> 01:11:55.960]   Equals David Sachs, and there's not going to be one anytime
[01:11:55.960 --> 01:12:00.040]   soon. And so you'll have these centralized wallet authorities
[01:12:00.040 --> 01:12:03.220]   that actually, you know, have a lot of account information. But
[01:12:03.220 --> 01:12:07.420]   the reality is the sophisticated actors, you know, use tumblers,
[01:12:07.420 --> 01:12:11.080]   they they wash sort of like their, their paths in a way
[01:12:11.080 --> 01:12:13.000]   where it's very difficult to figure out who these people are.
[01:12:13.000 --> 01:12:16.300]   Now, if you if you don't, if you use a site that doesn't have
[01:12:16.300 --> 01:12:19.600]   KYC, that's always going to be the case. And, you know, people
[01:12:19.600 --> 01:12:22.540]   with huge amounts of Bitcoin are sophisticated enough to know how
[01:12:22.540 --> 01:12:23.040]   to stay anonymous.
[01:12:23.040 --> 01:12:26.880]   If they want to, for everybody else who doesn't care, because
[01:12:26.880 --> 01:12:29.580]   for them, it's sort of an investment asset class, and an,
[01:12:29.580 --> 01:12:33.900]   you know, a hedge, then they're not going to care either. And
[01:12:33.900 --> 01:12:37.320]   the point is, when enough people own it, governments aren't in a
[01:12:37.320 --> 01:12:40.440]   position to track record of them just waking up one day and
[01:12:40.440 --> 01:12:43.680]   pulling the plug on anything is zero. That's not how people do
[01:12:43.680 --> 01:12:47.040]   things. You have to have like centralized policy and support.
[01:12:47.040 --> 01:12:50.340]   And I don't see it one way or the other of all the things that
[01:12:50.340 --> 01:12:52.860]   China and the United States will face over the next 30 or 40 years
[01:12:52.860 --> 01:12:55.560]   this is like 50th on the list.
[01:12:55.560 --> 01:12:59.940]   Sachs, what do you think? Any closing thoughts?
[01:12:59.940 --> 01:13:05.520]   I mean, I think we've said it. So yeah, I mean, look, I think I
[01:13:05.520 --> 01:13:07.320]   think if you're going to stay in a place like the United States,
[01:13:07.320 --> 01:13:09.600]   you need to comply with tax law, you're absolutely going to
[01:13:09.600 --> 01:13:12.240]   report your Bitcoin holdings if it's required. But if the reason
[01:13:12.240 --> 01:13:15.540]   you're buying Bitcoin is because you're fleeing a country, or
[01:13:15.540 --> 01:13:17.760]   you're worried about fleeing a country, you're obviously not
[01:13:17.760 --> 01:13:21.600]   going to report it. And that's the advantage of it is that it's
[01:13:21.600 --> 01:13:22.200]   a portable
[01:13:22.200 --> 01:13:27.540]   money supply. That again, you can just, you don't have to carry
[01:13:27.540 --> 01:13:30.480]   anything with you. You just put a password in your brain wallet.
[01:13:30.480 --> 01:13:33.000]   Tell me about UFOs before we leave. I mean, can you believe
[01:13:33.000 --> 01:13:36.300]   this thing? This is the craziest thing I read.
[01:13:36.300 --> 01:13:39.660]   Yeah, there's a 60 minutes episode that just happened.
[01:13:39.660 --> 01:13:43.140]   Deputy Assistant Secretary of Defense for intelligence literally
[01:13:43.140 --> 01:13:46.440]   said, the crafts we're seeing are and then in quotes, far
[01:13:46.440 --> 01:13:49.260]   beyond anything that we're capable of. There's nothing we
[01:13:49.260 --> 01:13:52.020]   could build that would be strong enough to endure the amount of
[01:13:52.020 --> 01:13:55.260]   force and acceleration. Imagine a technology that can do 700 g
[01:13:55.260 --> 01:13:59.820]   forces flight 13 miles per hour, evade radar, and has every no
[01:13:59.820 --> 01:14:03.120]   obvious signs of propulsion and yet can clearly defy the effects
[01:14:03.120 --> 01:14:05.760]   of Earth's gravity. That's precisely what we're seeing from
[01:14:05.760 --> 01:14:07.860]   the director of advanced aerospace threat identification
[01:14:07.860 --> 01:14:11.160]   program. I mean, is this real? Like how is what what are we
[01:14:11.160 --> 01:14:14.640]   doing? What? Our government says there are crafts that out trip
[01:14:14.640 --> 01:14:17.460]   our arsenal by at least 100 years to 1000 years at the
[01:14:17.460 --> 01:14:21.240]   moment. And we're like, man, what do you think Friedberg?
[01:14:21.240 --> 01:14:21.840]   You're the scientist.
[01:14:21.840 --> 01:14:24.900]   I'm the scientist here. There's a if you read the original
[01:14:24.900 --> 01:14:31.320]   treatment written by Arthur Clark for the movie 2001, a space Odyssey,
[01:14:31.320 --> 01:14:34.740]   which was written before the movie, and then the book was written after the movie.
[01:14:34.740 --> 01:14:43.200]   He makes a really compelling point. And the point he makes is that when civilizations achieve
[01:14:43.200 --> 01:14:46.980]   a sophisticated enough level of technology,
[01:14:46.980 --> 01:14:51.660]   there's no longer a need to physically transport yourself from star to star.
[01:14:51.660 --> 01:14:55.560]   And transport yourself around the universe. Think about this for a second.
[01:14:55.560 --> 01:15:02.520]   Take what we have from virtual reality today, and fast forward 200 years. And then take what
[01:15:02.520 --> 01:15:06.780]   we have in terms of you know, the ability to print and create anything we want on demand
[01:15:06.780 --> 01:15:12.780]   and fast forward two or 300 years. Those two conditions alone might give us the ability to
[01:15:12.780 --> 01:15:18.840]   strap on something to our brain. And literally, remember, our brain is simply sensing what our
[01:15:18.840 --> 01:15:21.480]   body is given. And if you can control what your brain is sensing, you can control what your brain
[01:15:21.480 --> 01:15:25.380]   is sensing through some strap on device or whatever, you don't actually need to physically
[01:15:25.380 --> 01:15:29.940]   be in the place where that happens. So if we can remotely sense what's going on somewhere
[01:15:29.940 --> 01:15:34.560]   else in the universe or some other part of our planet, and we can remotely pick up those signals
[01:15:34.560 --> 01:15:38.940]   and view them or experience them, you don't need to physically be there. And then secondly,
[01:15:38.940 --> 01:15:40.920]   all this, sorry, all this via strap on.
[01:15:40.920 --> 01:15:46.200]   Okay, yeah. And then secondly, I shouldn't use the term. And then secondly, if you could print
[01:15:46.200 --> 01:15:51.300]   it, you can wearable. Yeah. But think about if you guys ever watched the TV show Star Trek Next
[01:15:51.300 --> 01:15:55.620]   Generation, which I would guess maybe one of the replicator or the replicator or the holodeck,
[01:15:55.620 --> 01:16:00.600]   and you could walk in there number three on my list of Star Trek series, if you walk in and you
[01:16:00.600 --> 01:16:04.860]   could literally recreate the physical space that you want to be in to accomplish anything, the
[01:16:04.860 --> 01:16:09.360]   holodeck and then you could print anything, why would you use all the energy and all of this work
[01:16:09.360 --> 01:16:14.400]   to transport physical matter from one part of the universe to the other when all matter is
[01:16:14.400 --> 01:16:18.120]   transmutable. And the only thing that differentiates things is the photons coming
[01:16:18.120 --> 01:16:21.120]   off that matter, which is just to sense it. So if you can sense things
[01:16:21.120 --> 01:16:25.080]   remotely, while you're physically here, I go through the trouble, why go through the trouble.
[01:16:25.080 --> 01:16:29.820]   And so the argument is the same reason that we go to Hawaii and not just watch a movie.
[01:16:29.820 --> 01:16:35.280]   No, because we don't have enough of the sensing capabilities today to truly recreate being in
[01:16:35.280 --> 01:16:40.980]   Hawaii. But imagine if we did, and we are very much on the path to doing that. And in 2300 years,
[01:16:40.980 --> 01:16:45.300]   we have the ability to physically recreate what it's like for our body to be in Hawaii in every
[01:16:45.300 --> 01:16:50.460]   form, smell, taste, color, everything about being there physically in our body experiences it, why
[01:16:50.460 --> 01:16:50.940]   the hell would you fly?
[01:16:50.940 --> 01:16:54.600]   You could fly to Hawaii, you could meet people, you could socialize. So in a world,
[01:16:54.600 --> 01:16:58.440]   short Hawaii in a world where that technology exists, which could, by the way, be neural link,
[01:16:58.440 --> 01:17:02.520]   right, where you can, you know, put these signals directly into the brain, etc. Moving physical
[01:17:02.520 --> 01:17:06.540]   matter from one part of the universe to the other makes zero sense. All matter is transmutable,
[01:17:06.540 --> 01:17:11.100]   you can convert one atom to another using technology locally. So you wouldn't do that. And
[01:17:11.100 --> 01:17:16.080]   so that's the premise of 2001 is that you've got these local communication pods that just transmit
[01:17:16.080 --> 01:17:20.760]   information from different parts of the universe, you don't need to physically transport yourself. So
[01:17:20.760 --> 01:17:26.460]   that's the the macro kind of argument against this notion that UFOs or aliens are in a physical
[01:17:26.460 --> 01:17:31.680]   spacecraft visiting, it's so old school technology, that it makes no sense. It's like saying, you know,
[01:17:31.680 --> 01:17:35.340]   oh, my gosh, all these people are coming over to the United States on horses from Europe,
[01:17:35.340 --> 01:17:40.200]   you know, like it just like, why would they do that? Why would they use a horse? So So I think
[01:17:40.200 --> 01:17:44.940]   that's the argument against UFOs being aliens and spacecraft. Now, is there a really cool technology
[01:17:44.940 --> 01:17:50.160]   that has this advanced capability, and there are these crafts that are in our sky, and someone has
[01:17:50.160 --> 01:17:55.980]   that technology, maybe. But I'm not sure about this general pieces. I mean, you blew my mind with
[01:17:55.980 --> 01:18:06.180]   that. So yeah, sacks. I you obviously don't care. So we have no way for this to increase the IRR of
[01:18:06.180 --> 01:18:12.660]   my fund, or to get me another home. Beep, boop, bop, boop on planet Earth. Why would I want to go?
[01:18:12.660 --> 01:18:18.000]   I just somehow feel like if they're really UFOs, it'd be like an even bigger story. Like we'd all
[01:18:18.000 --> 01:18:19.980]   know it. You know, it's not going to be some,
[01:18:19.980 --> 01:18:25.200]   like weird friends conspiracy thing. Here's the here's the thing. I do not care about emotions.
[01:18:25.200 --> 01:18:28.440]   I can tell you why this is bullshit. The emotions of others.
[01:18:28.440 --> 01:18:37.320]   Every single photograph that's been taken in the last year is absolutely recognizably better than
[01:18:37.320 --> 01:18:44.520]   the one taken 10 years ago. And every single photo or video of these aliens looks like it was shot in
[01:18:44.520 --> 01:18:49.800]   a on a camera from 1950 on film that was left in somebody's basement. And meanwhile, pick, meanwhile,
[01:18:49.800 --> 01:18:55.500]   Pixar movies can recreate literally the ocean. We're recording this on Zoom. Why can't I get me
[01:18:55.500 --> 01:19:01.200]   a clear shot? There's not one clear shot of this. Show me the alien in 4K high def. And then I'll
[01:19:01.200 --> 01:19:07.140]   believe it. I mean, if you do, it's probably a camera by the engine and we can see the engine.
[01:19:07.140 --> 01:19:14.100]   Like why can't we get a shot of the until then I will be traveling between my homes. I am living
[01:19:14.100 --> 01:19:17.940]   my best life not in San Francisco. We will get Chessa Boudin recalled.
[01:19:17.940 --> 01:19:22.560]   I will tell you, Sax, I don't think you need to harp on the Chessa point anymore because I don't
[01:19:22.560 --> 01:19:27.600]   hear anyone making the case on the other side anymore. Dustin Moskovitz. He does it publicly.
[01:19:27.600 --> 01:19:33.960]   Yes. What from a sauna? Yes. Yes. Nick pull up the tweet. So, you know, I've been basically because
[01:19:33.960 --> 01:19:38.520]   look there. Oh, we fired him up. Here we go. No, let me get this in and then we can take off. So
[01:19:38.520 --> 01:19:40.560]   insert quarter here.
[01:19:40.560 --> 01:19:54.480]   No, look, we're taking all this heat from these stupid reporters are talking about our donations,
[01:19:54.480 --> 01:20:00.420]   you know, like asking what are we up to? Look, we're very public about what we're up to. But
[01:20:00.420 --> 01:20:04.980]   this is a terrible tweet from Dustin. There there have been these tech billionaires,
[01:20:04.980 --> 01:20:10.500]   Dustin Moskovitz, Reed Hastings and Mike Krieger, and they've been donating money.
[01:20:10.500 --> 01:20:11.640]   To what?
[01:20:11.640 --> 01:20:14.100]   To Chessa Boudin and Gascona.
[01:20:14.100 --> 01:20:15.240]   That's disappointing.
[01:20:15.240 --> 01:20:20.100]   Yeah, horrible. So I asked, I just said, why are you donating money to this insanity? And
[01:20:20.100 --> 01:20:25.440]   Dustin's still defending it. And then he said, I'm going to mute you now because you know,
[01:20:25.440 --> 01:20:27.180]   you didn't want to you didn't want to wait.
[01:20:27.180 --> 01:20:31.500]   Just in fairness, let me pull this up. Dustin's quote is I live in the city and I'm not going
[01:20:31.500 --> 01:20:36.720]   anywhere. Crime happens to me too. Trust me. We write extensively about why of our grants here.
[01:20:36.720 --> 01:20:39.840]   You know, here's the thing. I think Dustin Reed Hastings,
[01:20:39.840 --> 01:20:47.040]   and their spouses are very involved in criminal justice reform. And what we have to do is give
[01:20:47.040 --> 01:20:51.000]   somebody like Dustin or Reed Hastings the benefit of the doubt here and say, we understand your
[01:20:51.000 --> 01:20:58.500]   donations were meaningful to you. And you wanted to maybe lower the incarceration of black people
[01:20:58.500 --> 01:21:05.580]   in jail for crimes that were not violent. And we agree. Let's parse this conversation.
[01:21:05.580 --> 01:21:09.780]   No, I'm not giving them the benefit of the doubt. Let me explain why. Okay, so Reed, so this is a
[01:21:09.780 --> 01:21:13.740]   good example. This Reed Hastings thing is a good example. By the way, just today it was announced
[01:21:13.740 --> 01:21:20.700]   that he donated 3 million to Gavin Newsom. In any event, so, you know, he keep he look, he's on that
[01:21:20.700 --> 01:21:24.000]   side of the spectrum. By the way, there's a little backstory there. I don't know if you guys remember
[01:21:24.000 --> 01:21:30.240]   when there was pressure on the Facebook board to kick Peter Thiel off. But back in 2016, it was
[01:21:30.240 --> 01:21:34.200]   Reed Hastings. That was from Reed Hastings. Okay, so the guy is very close minded.
[01:21:34.200 --> 01:21:36.360]   I think it's his wife is actually handling this.
[01:21:36.360 --> 01:21:39.720]   Well, he was the board member who pushed to get Peter off because he couldn't
[01:21:39.720 --> 01:21:43.980]   handle the fact that there might be another board member who disagree with him politically.
[01:21:43.980 --> 01:21:49.080]   So it's a very close minded point of view. But let's take let's take this example of crime in
[01:21:49.080 --> 01:21:56.220]   LA. Okay, so we had this election, where George Gascon, who was a failure as DA in San Francisco,
[01:21:56.220 --> 01:22:02.640]   he goes down to LA and runs against the the veteran DA down there, Jackie Lacey,
[01:22:02.640 --> 01:22:09.660]   who happens to be a black woman, a veteran seasoned DA, competent, nobody had a problem with
[01:22:09.660 --> 01:22:14.220]   her. I think she's a Democrat. Okay, it's not like this is a right wing person. And so George
[01:22:14.220 --> 01:22:19.260]   Gascon basically fails his way out of San Francisco goes down to LA. And he basically
[01:22:19.260 --> 01:22:25.620]   dislodges her from that seat with $15 million, an unprecedented amount spent in a DA election.
[01:22:25.620 --> 01:22:30.300]   Where did that money come from? 5 million came from source 5 million came for Reed Hastings.
[01:22:30.300 --> 01:22:38.280]   5 million came from BLM. Now, you know, in any other context, the idea that you're going to fire
[01:22:39.600 --> 01:22:46.680]   a talented, competent seasoned veteran black woman and replace her with an incompetent white male,
[01:22:46.680 --> 01:22:52.740]   that would be seen as institutional racism. But nobody complained about it at all. But it's
[01:22:52.740 --> 01:22:58.560]   outrageous. And what is the most charitable was behind that? What is the most charitable
[01:22:58.560 --> 01:23:03.420]   view of why they're supporting Gascon and Chesa?
[01:23:03.420 --> 01:23:09.540]   Well, there's this decarcerationist agenda. And so yes, you're right that they see
[01:23:09.540 --> 01:23:15.480]   mass incarceration as a problem. But the problem is it is but the solution is not mass decarceration
[01:23:15.480 --> 01:23:21.540]   that we need something in between. And the problem with Gascon and Chesa Boudin, they just want to let
[01:23:21.540 --> 01:23:25.260]   everybody out. They don't want to put me on. I don't want to add anybody. So I think if their
[01:23:25.260 --> 01:23:30.120]   agenda is to lower the number adding people is against that. There are people who need to go to
[01:23:30.120 --> 01:23:38.280]   jail murderers to go to jail people dying every day in San Francisco by at the hands of repeat offenders
[01:23:39.480 --> 01:23:45.180]   Chesa Boudin has made the decision to let them out of jail even though they should be in jail. These
[01:23:45.180 --> 01:23:49.980]   are dangerous violent felons. The problem with this is I think Chamath I would like to get your
[01:23:49.980 --> 01:23:55.320]   feedback on it is, you know, you when a person gives these kind of donations and they make it
[01:23:55.320 --> 01:24:06.420]   their public persona, and it doesn't go well, how does one you know, I don't know disentangle or
[01:24:06.420 --> 01:24:08.580]   reconcile they made a bet.
[01:24:08.580 --> 01:24:08.880]   Yeah,
[01:24:08.880 --> 01:24:09.420]   yeah.
[01:24:09.420 --> 01:24:15.960]   That had a bad outcome, because this is obviously a bad outcome. You don't want the city to devolve
[01:24:15.960 --> 01:24:16.500]   into chaos.
[01:24:16.500 --> 01:24:23.340]   I don't particularly care about San Francisco. And I think the two of you guys can talk about it on
[01:24:23.340 --> 01:24:23.640]   Colin.
[01:24:23.640 --> 01:24:25.380]   No, I'm done. I'm going to get rid of my place in the city.
[01:24:25.380 --> 01:24:28.560]   On Colin, but I couldn't care less about how that city is going to be.
[01:24:28.560 --> 01:24:28.860]   I think I'm done too.
[01:24:28.860 --> 01:24:30.120]   Any closing thoughts, Freiburg?
[01:24:30.120 --> 01:24:32.280]   I got nothing to say.
[01:24:32.280 --> 01:24:36.780]   Okay, I want to add just one thing. Look, so I care because I live there. But this trend,
[01:24:36.780 --> 01:24:39.360]   this is not just San Francisco, this whole idea of these
[01:24:39.360 --> 01:24:45.240]   radical decarcerationists, they are running for DA in every major city. This is going to
[01:24:45.240 --> 01:24:51.480]   be a national trend. And they're going to cause a lot of carnage, a lot of death and destruction
[01:24:51.480 --> 01:24:58.680]   until the people realize and there will inevitably be a backlash to this. And hopefully just not too
[01:24:58.680 --> 01:24:59.280]   many people die.
[01:24:59.280 --> 01:25:03.420]   Fair enough. I don't want to be too flippant. My point is, it's a really important debate. It's
[01:25:03.420 --> 01:25:08.700]   going to happen in every city. But folks need to get engaged in those cities and do something about
[01:25:08.700 --> 01:25:09.300]   it.
[01:25:09.300 --> 01:25:14.520]   If you want to hear the argument of why this is happening, you can go watch the TED Talk on
[01:25:14.520 --> 01:25:21.780]   YouTube of Adam Foss, F-O-S-S. He was the original proponent of the DAs coming in to drive the
[01:25:21.780 --> 01:25:28.620]   decarceration movements. And I just think it's important to be informed of the other perspective
[01:25:28.620 --> 01:25:33.720]   in evaluating where folks are coming from that are proponents for this movement.
[01:25:33.720 --> 01:25:39.240]   Yeah, I'm trying to be charitable towards their position, Dustin and Reid, if you want to come on
[01:25:39.240 --> 01:25:41.700]   the pod and be a bestie guestie, I guess, maybe.
[01:25:41.700 --> 01:25:45.480]   Dustin, Dustin responded to me and said, Listen, we don't know what the counterfactual is. If we
[01:25:45.480 --> 01:25:48.300]   had a more aggressive DA. That was his argument. We don't know the counterfactual.
[01:25:48.300 --> 01:25:48.660]   That's ridiculous.
[01:25:48.660 --> 01:25:55.560]   So I, of course, so I posted a list of people of innocent victims who've died. Okay. Because
[01:25:55.560 --> 01:26:00.660]   directly because of a decision that Chase Abudin made. That's your counterfactual.
[01:26:00.660 --> 01:26:01.200]   Yeah.
[01:26:01.200 --> 01:26:02.520]   That's your counterfactual.
[01:26:02.520 --> 01:26:09.180]   All right. Listen, it's been an amazing episode and no plugs, no ads, no nothing.
[01:26:09.180 --> 01:26:14.520]   If you like the show, great. And if you don't like it, how the hell did you make it to the minute 75
[01:26:14.520 --> 01:26:19.320]   for the Queen of Quinoa, the dictator himself, Jamali Papatia.
[01:26:19.320 --> 01:26:20.760]   I'm having steak tonight.
[01:26:20.760 --> 01:26:22.140]   He's having steak tonight.
[01:26:22.140 --> 01:26:27.540]   If you're vegan, David Friedberg, you're not invited to steak tonight.
[01:26:27.540 --> 01:26:30.240]   I'm having beers tonight. I'm having beers tonight.
[01:26:30.240 --> 01:26:36.780]   You're having beers and roasted eggplant tonight. You've never eaten fish in your life. Never had
[01:26:36.780 --> 01:26:38.400]   sushi and sacks.
[01:26:38.400 --> 01:26:39.120]   By the way, that's true. I don't know if you're a fan of the show.
[01:26:39.120 --> 01:26:41.580]   I don't know if our listeners are eating tonight.
[01:26:41.580 --> 01:26:46.680]   Sacks, can we talk about Sacks' health? Where's your first, second and third dinner tonight?
[01:26:46.680 --> 01:26:49.740]   I'm on a seafood diet. I see the food and I eat it.
[01:26:49.740 --> 01:26:57.300]   Sacks, if we take out your Postmates/Race account right now, how long is it going to be?
[01:26:57.300 --> 01:26:59.160]   Eat it out. Eat it out.
